"neniu"-determiner-eo "either"-determiner-en
"mainly"-adverb-en "precipe"-adverb-eo
"chiefly"-adverb-en "precipe"-adverb-eo
"above all"-adverb-en "precipe"-adverb-eo
"above all"-adverb-en "ĉefe"-adverb-eo
"especially"-adverb-en "speciale"-adverb-eo
"especially"-adverb-en "ĉefe"-adverb-eo
"speciale"-adverb-eo "especially"-adverb-en
"ĉefe"-adverb-eo "above all"-adverb-en
"ĉefe"-adverb-eo "especially"-adverb-en
"ŝia"-determiner-eo "their"-determiner-en
"ŝia"-determiner-eo "his"-determiner-en
"ŝia"-determiner-eo "its"-determiner-en
"their"-determiner-en "ŝia"-determiner-eo
"their"-determiner-en "lia"-determiner-eo
"their"-determiner-en "ĝia"-determiner-eo
"his"-determiner-en "ŝia"-determiner-eo
"his"-determiner-en "ĝia"-determiner-eo
"his"-determiner-en "ilia"-determiner-eo
"its"-determiner-en "ŝia"-determiner-eo
"its"-determiner-en "lia"-determiner-eo
"its"-determiner-en "ilia"-determiner-eo
"lia"-determiner-eo "their"-determiner-en
"lia"-determiner-eo "its"-determiner-en
"lia"-determiner-eo "her"-determiner-en
"ĝia"-determiner-eo "their"-determiner-en
"ĝia"-determiner-eo "his"-determiner-en
"ĝia"-determiner-eo "her"-determiner-en
"ilia"-determiner-eo "his"-determiner-en
"ilia"-determiner-eo "its"-determiner-en
"ilia"-determiner-eo "her"-determiner-en
"her"-determiner-en "lia"-determiner-eo
"her"-determiner-en "ĝia"-determiner-eo
"her"-determiner-en "ilia"-determiner-eo
"nenio"-pronoun-eo "anything"-pronoun-en
"anything"-pronoun-en "nenio"-pronoun-eo
"tio"-pronoun-eo "this"-pronoun-en
"tio"-pronoun-eo "that"-relativePronoun-en
"this"-pronoun-en "tio"-pronoun-eo
"that"-relativePronoun-en "tio"-pronoun-eo
"that"-relativePronoun-en "tiu"-pronoun-eo
"that"-relativePronoun-en "kiu"-pronoun-eo
"tiu"-pronoun-eo "that"-relativePronoun-en
"kiu"-pronoun-eo "that"-relativePronoun-en
"kiu"-pronoun-eo "which"-relativePronoun-en
"which"-relativePronoun-en "kiu"-pronoun-eo
"kio"-pronoun-eo "what"-relativePronoun-en
"what"-relativePronoun-en "kio"-pronoun-eo
"prpers"-pronoun-eo "ourselves"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "ourselves"-pronoun-en
"prpers"-pronoun-eo "himself"-pronoun-en
"prpers"-pronoun-eo "themselves"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "themselves"-pronoun-en
"prpers"-pronoun-eo "itself"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "itself"-pronoun-en
"prpers"-pronoun-eo "himself"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "herself"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "herself"-pronoun-en
"prpers"-pronoun-eo "yourselves"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "yourselves"-pronoun-en
"prpers"-pronoun-eo "yourself"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "yourself"-pronoun-en
"prpers"-pronoun-eo "myself"-reflexivePersonalPronoun-en
"prpers"-pronoun-eo "myself"-pronoun-en
"ourselves"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"ourselves"-pronoun-en "prpers"-pronoun-eo
"himself"-pronoun-en "prpers"-pronoun-eo
"themselves"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"themselves"-pronoun-en "prpers"-pronoun-eo
"itself"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"itself"-pronoun-en "prpers"-pronoun-eo
"himself"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"herself"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"herself"-pronoun-en "prpers"-pronoun-eo
"yourselves"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"yourselves"-pronoun-en "prpers"-pronoun-eo
"yourself"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"yourself"-pronoun-en "prpers"-pronoun-eo
"myself"-reflexivePersonalPronoun-en "prpers"-pronoun-eo
"myself"-pronoun-en "prpers"-pronoun-eo
"ĉiu"-pronoun-eo "everything"-pronoun-en
"everything"-pronoun-en "ĉiu"-pronoun-eo
"neniu"-pronoun-eo "anybody"-pronoun-en
"neniu"-pronoun-eo "anyone"-pronoun-en
"neniu"-pronoun-eo "any"-pronoun-en
"anybody"-pronoun-en "neniu"-pronoun-eo
"anybody"-pronoun-en "iu"-pronoun-eo
"anyone"-pronoun-en "neniu"-pronoun-eo
"anyone"-pronoun-en "iu"-pronoun-eo
"any"-pronoun-en "neniu"-pronoun-eo
"any"-pronoun-en "iu"-pronoun-eo
"iu"-pronoun-eo "anybody"-pronoun-en
"iu"-pronoun-eo "anyone"-pronoun-en
"iu"-pronoun-eo "any"-pronoun-en
"iom"-adverb-eo "a little bit"-adverb-en
"a little bit"-adverb-en "iom"-adverb-eo
"mildly"-adverb-en "iomete"-adverb-eo
"iomete"-adverb-eo "mildly"-adverb-en
"iomete"-adverb-eo "lightly"-adverb-en
"lightly"-adverb-en "iomete"-adverb-eo
"al"-preposition-eo "at"-preposition-en
"al"-preposition-eo "into"-preposition-en
"al"-preposition-eo "in"-preposition-en
"at"-preposition-en "al"-preposition-eo
"at"-preposition-en "en"-preposition-eo
"into"-preposition-en "al"-preposition-eo
"in"-preposition-en "al"-preposition-eo
"en"-preposition-eo "at"-preposition-en
"en"-preposition-eo "on"-preposition-en
"en"-preposition-eo "within"-preposition-en
"on"-preposition-en "en"-preposition-eo
"within"-preposition-en "en"-preposition-eo
"sur"-preposition-eo "over"-preposition-en
"sur"-preposition-eo "about"-preposition-en
"over"-preposition-en "sur"-preposition-eo
"over"-preposition-en "dum"-preposition-eo
"about"-preposition-en "sur"-preposition-eo
"by"-preposition-en "por"-preposition-eo
"por"-preposition-eo "by"-preposition-en
"fare de"-preposition-eo "per"-preposition-en
"per"-preposition-en "fare de"-preposition-eo
"for"-preposition-en "dum"-preposition-eo
"dum"-preposition-eo "over"-preposition-en
"dum"-preposition-eo "for"-preposition-en
"tra"-preposition-eo "across"-preposition-en
"across"-preposition-en "tra"-preposition-eo
"de"-preposition-eo "since"-preposition-en
"since"-preposition-en "de"-preposition-eo
"from"-preposition-en "ekde"-preposition-eo
"ekde"-preposition-eo "from"-preposition-en
"along"-preposition-en "laŭlonge de"-preposition-eo
"laŭlonge de"-preposition-eo "along"-preposition-en
"hela"-adjective-eo "luminous"-adjective-en
"luminous"-adjective-en "hela"-adjective-eo
"incendii"-verb-eo "ignite"-verb-en
"ignite"-verb-en "incendii"-verb-eo
"indispensable"-adjective-en "nepra"-adjective-eo
"nepra"-adjective-eo "indispensable"-adjective-en
"riĉa"-adjective-eo "affluent"-adjective-en
"affluent"-adjective-en "riĉa"-adjective-eo
"avid"-adjective-en "avida"-adjective-eo
"avida"-adjective-eo "avid"-adjective-en
"malcerta"-adjective-eo "uncertain"-adjective-en
"uncertain"-adjective-en "malcerta"-adjective-eo
"abduct"-verb-en "sekvestri"-verb-eo
"sekvestri"-verb-eo "abduct"-verb-en
"sekvestri"-verb-eo "kidnap"-verb-en
"kidnap"-verb-en "sekvestri"-verb-eo
"destini"-verb-eo "allocate"-verb-en
"allocate"-verb-en "destini"-verb-eo
"contribute"-verb-en "kotizi"-verb-eo
"kotizi"-verb-eo "contribute"-verb-en
"kotizi"-verb-eo "quote"-verb-en
"quote"-verb-en "kotizi"-verb-eo
"assistant"-noun-en "asistanto"-noun-eo
"asistanto"-noun-eo "assistant"-noun-en
"commodity"-noun-en "varo"-noun-eo
"varo"-noun-eo "commodity"-noun-en
"benefit"-noun-en "profito"-noun-eo
"profito"-noun-eo "benefit"-noun-en
"alvoko"-noun-eo "call"-noun-en
"call"-noun-en "alvoko"-noun-eo
"email"-noun-en "retmesaĝo"-noun-eo
"retmesaĝo"-noun-eo "email"-noun-en
"avo"-noun-eo "grandparent"-noun-en
"grandparent"-noun-en "avo"-noun-eo
"quality"-noun-en "eco"-noun-eo
"eco"-noun-eo "quality"-noun-en
"prevention"-noun-en "antaŭzorgo"-noun-eo
"antaŭzorgo"-noun-eo "prevention"-noun-en
"adviser"-noun-en "asesoro"-noun-eo
"asesoro"-noun-eo "adviser"-noun-en
"diet"-noun-en "reĝimo"-noun-eo
"reĝimo"-noun-eo "diet"-noun-en
"ribelo"-noun-eo "uprising"-noun-en
"uprising"-noun-en "ribelo"-noun-eo
"anstataŭo"-noun-eo "replacement"-noun-en
"anstataŭo"-noun-eo "substitution"-noun-en
"replacement"-noun-en "anstataŭo"-noun-eo
"replacement"-noun-en "substituo"-noun-eo
"substitution"-noun-en "anstataŭo"-noun-eo
"substituo"-noun-eo "replacement"-noun-en
"ŝelo"-noun-eo "shell"-noun-en
"shell"-noun-en "ŝelo"-noun-eo
"failure"-noun-en "bankroto"-noun-eo
"bankroto"-noun-eo "failure"-noun-en
"enspezo"-noun-eo "earnings"-noun-en
"earnings"-noun-en "enspezo"-noun-eo
"homo"-noun-eo "person"-noun-en
"person"-noun-en "homo"-noun-eo
"knabo"-noun-eo "child"-noun-en
"child"-noun-en "knabo"-noun-eo
"child"-noun-en "filo"-noun-eo
"boy"-noun-en "infano"-noun-eo
"infano"-noun-eo "boy"-noun-en
"infano"-noun-eo "girl"-noun-en
"girl"-noun-en "infano"-noun-eo
"filo"-noun-eo "child"-noun-en
"angoro"-noun-eo "anxiety"-noun-en
"anxiety"-noun-en "angoro"-noun-eo
"stair"-noun-en "skalo"-noun-eo
"skalo"-noun-eo "stair"-noun-en
"ŝtuparo"-noun-eo "scale"-noun-en
"scale"-noun-en "ŝtuparo"-noun-eo
"scale"-noun-en "pesilo"-noun-eo
"position"-noun-en "loko"-noun-eo
"loko"-noun-eo "position"-noun-en
"stand"-noun-en "pozicio"-noun-eo
"pozicio"-noun-eo "stand"-noun-en
"return"-noun-en "redono"-noun-eo
"redono"-noun-eo "return"-noun-en
"armilo"-noun-eo "arm"-noun-en
"arm"-noun-en "armilo"-noun-eo
"patro"-noun-eo "parent"-noun-en
"parent"-noun-en "patro"-noun-eo
"aspekto"-noun-eo "look"-noun-en
"aspekto"-noun-eo "appearance"-noun-en
"aspekto"-noun-eo "aspect"-noun-en
"look"-noun-en "aspekto"-noun-eo
"appearance"-noun-en "aspekto"-noun-eo
"aspect"-noun-en "aspekto"-noun-eo
"mastro"-noun-eo "owner"-noun-en
"owner"-noun-en "mastro"-noun-eo
"master"-noun-en "ŝablono"-noun-eo
"master"-noun-en "patrono"-noun-eo
"ŝablono"-noun-eo "master"-noun-en
"patrono"-noun-eo "master"-noun-en
"power"-noun-en "kapablo"-noun-eo
"kapablo"-noun-eo "power"-noun-en
"policano"-noun-eo "police"-noun-en
"police"-noun-en "policano"-noun-eo
"partio"-noun-eo "game"-noun-en
"game"-noun-en "partio"-noun-eo
"servo"-noun-eo "provision"-noun-en
"servo"-noun-eo "feature"-noun-en
"provision"-noun-en "servo"-noun-eo
"feature"-noun-en "servo"-noun-eo
"bildo"-noun-eo "footage"-noun-en
"footage"-noun-en "bildo"-noun-eo
"cloth"-noun-en "vesto"-noun-eo
"vesto"-noun-eo "cloth"-noun-en
"vesto"-noun-eo "clothes"-noun-en
"vesto"-noun-eo "clothing"-noun-en
"clothes"-noun-en "vesto"-noun-eo
"clothing"-noun-en "vesto"-noun-eo
"damage"-noun-en "damaĝo"-noun-eo
"damaĝo"-noun-eo "damage"-noun-en
"rajto"-noun-eo "royalty"-noun-en
"royalty"-noun-en "rajto"-noun-eo
"royalty"-noun-en "juro"-noun-eo
"juro"-noun-eo "royalty"-noun-en
"footpath"-noun-en "pado"-noun-eo
"pado"-noun-eo "footpath"-noun-en
"transport"-noun-en "transporto"-noun-eo
"transporto"-noun-eo "transport"-noun-en
"novaĵo"-noun-eo "news"-noun-en
"news"-noun-en "novaĵo"-noun-eo
"litero"-noun-eo "lyric"-noun-en
"lyric"-noun-en "litero"-noun-eo
"chance"-noun-en "hazardo"-noun-eo
"hazardo"-noun-eo "chance"-noun-en
"okazaĵo"-noun-eo "event"-noun-en
"event"-noun-en "okazaĵo"-noun-eo
"expiration"-noun-en "finiĝo"-noun-eo
"finiĝo"-noun-eo "expiration"-noun-en
"devo"-noun-eo "homework"-noun-en
"homework"-noun-en "devo"-noun-eo
"doll"-noun-en "pojno"-noun-eo
"pojno"-noun-eo "doll"-noun-en
"peak"-noun-en "supro"-noun-eo
"supro"-noun-eo "peak"-noun-en
"spring"-noun-en "fonto"-noun-eo
"fonto"-noun-eo "spring"-noun-en
"leather"-noun-en "haŭto"-noun-eo
"haŭto"-noun-eo "leather"-noun-en
"haŭto"-noun-eo "fur"-noun-en
"fur"-noun-en "haŭto"-noun-eo
"restaĵo"-noun-eo "waste"-noun-en
"restaĵo"-noun-eo "refuse"-noun-en
"waste"-noun-en "restaĵo"-noun-eo
"refuse"-noun-en "restaĵo"-noun-eo
"background"-noun-en "fundo"-noun-eo
"fundo"-noun-eo "background"-noun-en
"resto"-noun-eo "wreckage"-noun-en
"resto"-noun-eo "remains"-noun-en
"wreckage"-noun-en "resto"-noun-eo
"remains"-noun-en "resto"-noun-eo
"apogo"-noun-eo "support"-noun-en
"support"-noun-en "apogo"-noun-eo
"vase"-noun-en "kruĉo"-noun-eo
"kruĉo"-noun-eo "vase"-noun-en
"maniero"-noun-eo "way"-noun-en
"way"-noun-en "maniero"-noun-eo
"way"-noun-en "modo"-noun-eo
"modo"-noun-eo "way"-noun-en
"coat"-noun-en "mantelo"-noun-eo
"mantelo"-noun-eo "coat"-noun-en
"imposto"-noun-eo "taxation"-noun-en
"taxation"-noun-en "imposto"-noun-eo
"cut"-noun-en "redukto"-noun-eo
"redukto"-noun-eo "cut"-noun-en
"idaro"-noun-eo "descendant"-noun-en
"descendant"-noun-en "idaro"-noun-eo
"laboro"-noun-eo "job"-noun-en
"job"-noun-en "laboro"-noun-eo
"leader"-noun-en "ĉefo"-noun-eo
"leader"-noun-en "estro"-noun-eo
"ĉefo"-noun-eo "leader"-noun-en
"estro"-noun-eo "leader"-noun-en
"komentario"-noun-eo "commentary"-noun-en
"commentary"-noun-en "komentario"-noun-eo
"commentary"-noun-en "komento"-noun-eo
"komento"-noun-eo "commentary"-noun-en
"route"-noun-en "itinero"-noun-eo
"itinero"-noun-eo "route"-noun-en
"row"-noun-en "vico"-noun-eo
"vico"-noun-eo "row"-noun-en
"advice"-noun-en "konsilio"-noun-eo
"konsilio"-noun-eo "advice"-noun-en
"glass"-noun-en "kristalo"-noun-eo
"kristalo"-noun-eo "glass"-noun-en
"distrust"-noun-en "malkonfido"-noun-eo
"malkonfido"-noun-eo "distrust"-noun-en
"caution"-noun-en "singardeco"-noun-eo
"singardeco"-noun-eo "caution"-noun-en
"juvelo"-noun-eo "jewellery"-noun-en
"jewellery"-noun-en "juvelo"-noun-eo
"ornament"-noun-en "ornamo"-noun-eo
"ornamo"-noun-eo "ornament"-noun-en
"commission"-noun-en "komisio"-noun-eo
"komisio"-noun-eo "commission"-noun-en
"crack"-noun-en "fendo"-noun-eo
"fendo"-noun-eo "crack"-noun-en
"subject"-noun-en "afero"-noun-eo
"subject"-noun-en "materio"-noun-eo
"afero"-noun-eo "subject"-noun-en
"materio"-noun-eo "subject"-noun-en
"house"-noun-en "loĝejo"-noun-eo
"loĝejo"-noun-eo "house"-noun-en
"plan"-noun-en "ebeno"-noun-eo
"ebeno"-noun-eo "plan"-noun-en
"skill"-noun-en "lerteco"-noun-eo
"lerteco"-noun-eo "skill"-noun-en
"gang"-noun-en "bando"-noun-eo
"bando"-noun-eo "gang"-noun-en
"edzo"-noun-eo "wife"-noun-en
"wife"-noun-en "edzo"-noun-eo
"soil"-noun-en "tero"-noun-eo
"tero"-noun-eo "soil"-noun-en
"rage"-noun-en "kolero"-noun-eo
"kolero"-noun-eo "rage"-noun-en
"divido"-noun-eo "distribution"-noun-en
"distribution"-noun-en "divido"-noun-eo
"assessment"-noun-en "taksado"-noun-eo
"taksado"-noun-eo "assessment"-noun-en
"pesilo"-noun-eo "scale"-noun-en
"bordo"-noun-eo "edge"-noun-en
"edge"-noun-en "bordo"-noun-eo
"goal"-noun-en "objektivo"-noun-eo
"objektivo"-noun-eo "goal"-noun-en
"hall"-noun-en "salono"-noun-eo
"salono"-noun-eo "hall"-noun-en
"spirit"-noun-en "animo"-noun-eo
"animo"-noun-eo "spirit"-noun-en
"receipt"-noun-en "ricevo"-noun-eo
"ricevo"-noun-eo "receipt"-noun-en
"seizure"-noun-en "konfisko"-noun-eo
"konfisko"-noun-eo "seizure"-noun-en
"degree"-noun-en "titolo"-noun-eo
"titolo"-noun-eo "degree"-noun-en
"charge"-noun-en "posteno"-noun-eo
"posteno"-noun-eo "charge"-noun-en
"research"-noun-en "esplorado"-noun-eo
"esplorado"-noun-eo "research"-noun-en
"teaching"-noun-en "instruo"-noun-eo
"instruo"-noun-eo "teaching"-noun-en
"betting"-noun-en "veto"-noun-eo
"veto"-noun-eo "betting"-noun-en
"respondi"-verb-eo "answer"-verb-en
"answer"-verb-en "respondi"-verb-eo
"grafika"-adjective-eo "graphic"-adjective-en
"graphic"-adjective-en "grafika"-adjective-eo
"patroni"-verb-eo "support"-verb-en
"support"-verb-en "patroni"-verb-eo
"support"-verb-en "apogi"-verb-eo
"apogi"-verb-eo "support"-verb-en
"apogi"-verb-eo "lean"-verb-en
"apogi"-verb-eo "back"-verb-en
"demisii"-verb-eo "quit"-verb-en
"quit"-verb-en "demisii"-verb-eo
"drastic"-adjective-en "drasta"-adjective-eo
"drasta"-adjective-eo "drastic"-adjective-en
"mirinda"-adjective-eo "marvellous"-adjective-en
"mirinda"-adjective-eo "surprising"-adjective-en
"marvellous"-adjective-en "mirinda"-adjective-eo
"surprising"-adjective-en "mirinda"-adjective-eo
"definitiva"-adjective-eo "definite"-adjective-en
"definite"-adjective-en "definitiva"-adjective-eo
"defii"-verb-eo "defy"-verb-en
"defii"-verb-eo "dare"-verb-en
"defy"-verb-en "defii"-verb-eo
"dare"-verb-en "defii"-verb-eo
"oportuna"-adjective-eo "timely"-adjective-en
"timely"-adjective-en "oportuna"-adjective-eo
"unua"-adjective-eo "prime"-adjective-en
"prime"-adjective-en "unua"-adjective-eo
"plua"-adjective-eo "successive"-adjective-en
"successive"-adjective-en "plua"-adjective-eo
"hontinda"-adjective-eo "shameful"-adjective-en
"shameful"-adjective-en "hontinda"-adjective-eo
"muta"-adjective-eo "mute"-adjective-en
"muta"-adjective-eo "speechless"-adjective-en
"mute"-adjective-en "muta"-adjective-eo
"speechless"-adjective-en "muta"-adjective-eo
"generi"-verb-eo "spawn"-verb-en
"spawn"-verb-en "generi"-verb-eo
"manipuli"-verb-eo "operate"-verb-en
"manipuli"-verb-eo "handle"-verb-en
"operate"-verb-en "manipuli"-verb-eo
"handle"-verb-en "manipuli"-verb-eo
"funkcii"-verb-eo "work"-verb-en
"funkcii"-verb-eo "run"-verb-en
"work"-verb-en "funkcii"-verb-eo
"run"-verb-en "funkcii"-verb-eo
"interpreti"-verb-eo "play"-verb-en
"play"-verb-en "interpreti"-verb-eo
"aflikti"-verb-eo "ail"-verb-en
"ail"-verb-en "aflikti"-verb-eo
"aŭguri"-verb-eo "foreshadow"-verb-en
"foreshadow"-verb-en "aŭguri"-verb-eo
"alarmi"-verb-eo "alert"-verb-en
"alert"-verb-en "alarmi"-verb-eo
"fluctuate"-verb-en "fluktui"-verb-eo
"fluktui"-verb-eo "fluctuate"-verb-en
"oscili"-verb-eo "range"-verb-en
"range"-verb-en "oscili"-verb-eo
"aspiri"-verb-eo "inhale"-verb-en
"inhale"-verb-en "aspiri"-verb-eo
"enketi"-verb-eo "research"-verb-en
"enketi"-verb-eo "investigate"-verb-en
"research"-verb-en "enketi"-verb-eo
"investigate"-verb-en "enketi"-verb-eo
"jesa"-adjective-eo "affirmative"-adjective-en
"affirmative"-adjective-en "jesa"-adjective-eo
"crack"-verb-en "fendi"-verb-eo
"fendi"-verb-eo "crack"-verb-en
"tosti"-verb-eo "offer"-verb-en
"offer"-verb-en "tosti"-verb-eo
"apliki"-verb-eo "enforce"-verb-en
"enforce"-verb-en "apliki"-verb-eo
"elimini"-verb-eo "delete"-verb-en
"delete"-verb-en "elimini"-verb-eo
"riceli"-verb-eo "whitewash"-verb-en
"whitewash"-verb-en "riceli"-verb-eo
"remote"-adjective-en "fora"-adjective-eo
"fora"-adjective-eo "remote"-adjective-en
"malĉefa"-adjective-eo "secondary"-adjective-en
"secondary"-adjective-en "malĉefa"-adjective-eo
"daŭri"-verb-eo "take"-verb-en
"take"-verb-en "daŭri"-verb-eo
"take"-verb-en "porti"-verb-eo
"porti"-verb-eo "take"-verb-en
"porti"-verb-eo "bring"-verb-en
"bring"-verb-en "porti"-verb-eo
"delikata"-adjective-eo "exquisite"-adjective-en
"exquisite"-adjective-en "delikata"-adjective-eo
"antaŭa"-adjective-eo "leading"-adjective-en
"leading"-adjective-en "antaŭa"-adjective-eo
"lively"-adjective-en "viva"-adjective-eo
"viva"-adjective-eo "lively"-adjective-en
"elteni"-verb-eo "bear"-verb-en
"bear"-verb-en "elteni"-verb-eo
"malfermita"-adjective-eo "open"-adjective-en
"open"-adjective-en "malfermita"-adjective-eo
"malklara"-adjective-eo "garbled"-adjective-en
"garbled"-adjective-en "malklara"-adjective-eo
"obskura"-adjective-eo "obscure"-adjective-en
