"abako"-noun-eo "abacus"-noun-en
"disgust"-noun-en "naŭzo"-noun-eo
"abomination"-noun-en "abomeno"-noun-eo
"naŭzo"-noun-eo "disgust"-noun-en
"naŭzo"-noun-eo "nausea"-noun-en
"abonanto"-noun-eo "subscriber"-noun-en
"subscriber"-noun-en "abonanto"-noun-eo
"abonilo"-noun-eo "form"-noun-en
"form"-noun-en "abonilo"-noun-eo
"form"-noun-en "benko"-noun-eo
"form"-noun-en "formo"-noun-eo
"benko"-noun-eo "form"-noun-en
"formo"-noun-eo "form"-noun-en
"formo"-noun-eo "shape"-noun-en
"abono"-noun-eo "subscription"-noun-en
"subscription"-noun-en "abono"-noun-eo
"abort"-verb-en "haltigi"-verb-eo
"haltigi"-verb-eo "abort"-verb-en
"haltigi"-verb-eo "shelve"-verb-en
"abrikoto"-noun-eo "apricot"-noun-en
"apricot"-noun-en "abrikoto"-noun-eo
"abrupta"-adjective-eo "sudden"-adjective-en
"sudden"-adjective-en "abrupta"-adjective-eo
"absciso"-noun-eo "abscissa"-noun-en
"abscissa"-noun-en "absciso"-noun-eo
"absolute"-adverb-eo "absolutely"-adverb-en
"absolutely"-adverb-en "absolute"-adverb-eo
"absolutismo"-noun-eo "absolutism"-noun-en
"absolutismo"-noun-eo "authoritarianism"-noun-en
"absolutism"-noun-en "absolutismo"-noun-eo
"authoritarianism"-noun-en "absolutismo"-noun-eo
"absolvo"-noun-eo "absolution"-noun-en
"absolution"-noun-en "absolvo"-noun-eo
"absorbi"-verb-eo "absorb"-verb-en
"absorbi"-verb-eo "preoccupy"-verb-en
"absorb"-verb-en "absorbi"-verb-eo
"absorb"-verb-en "sorbi"-verb-eo
"preoccupy"-verb-en "absorbi"-verb-eo
"sorbi"-verb-eo "absorb"-verb-en
"abstemio"-noun-eo "abstinence"-noun-en
"abstinence"-noun-en "abstemio"-noun-eo
"abstinado"-noun-eo "fast"-noun-en
"fast"-noun-en "abstinado"-noun-eo
"fast"-noun-en "fasto"-noun-eo
"fasto"-noun-eo "fast"-noun-en
"absurdly"-adverb-en "sensence"-adverb-eo
"sensence"-adverb-eo "absurdly"-adverb-en
"abunda"-adjective-eo "copious"-adjective-en
"copious"-adjective-en "abunda"-adjective-eo
"abunde"-adverb-eo "readily"-adverb-en
"abunde"-adverb-eo "amply"-adverb-en
"readily"-adverb-en "abunde"-adverb-eo
"readily"-adverb-en "senhezite"-adverb-eo
"readily"-adverb-en "vole"-adverb-eo
"amply"-adverb-en "abunde"-adverb-eo
"senhezite"-adverb-eo "readily"-adverb-en
"vole"-adverb-eo "readily"-adverb-en
"vole"-adverb-eo "willingly"-adverb-en
"abundo"-noun-eo "plenty"-noun-en
"plenty"-noun-en "abundo"-noun-eo
"aĉa"-adjective-eo "nasty"-adjective-en
"aĉa"-adjective-eo "ghastly"-adjective-en
"nasty"-adjective-en "aĉa"-adjective-eo
"nasty"-adjective-en "malbona"-adjective-eo
"nasty"-adjective-en "malplaĉa"-adjective-eo
"ghastly"-adjective-en "aĉa"-adjective-eo
"malbona"-adjective-eo "nasty"-adjective-en
"malbona"-adjective-eo "mean"-adjective-en
"malplaĉa"-adjective-eo "nasty"-adjective-en
"aĉaĵo"-noun-eo "mess"-noun-en
"mess"-noun-en "aĉaĵo"-noun-eo
"mess"-noun-en "fuŝaĵo"-noun-eo
"mess"-noun-en "malordo"-noun-eo
"mess"-noun-en "rubo"-noun-eo
"fuŝaĵo"-noun-eo "mess"-noun-en
"fuŝaĵo"-noun-eo "blunder"-noun-en
"fuŝaĵo"-noun-eo "botch"-noun-en
"fuŝaĵo"-noun-eo "dud"-noun-en
"malordo"-noun-eo "mess"-noun-en
"rubo"-noun-eo "mess"-noun-en
"rubo"-noun-eo "rubble"-noun-en
"aĉe"-adverb-eo "badly"-adverb-en
"badly"-adverb-en "aĉe"-adverb-eo
"badly"-adverb-en "severe"-adverb-eo
"severe"-adverb-eo "badly"-adverb-en
"severe"-adverb-eo "roundly"-adverb-en
"aĉetanto"-noun-eo "customer"-noun-en
"aĉetanto"-noun-eo "buyer"-noun-en
"customer"-noun-en "aĉetanto"-noun-eo
"customer"-noun-en "kliento"-noun-eo
"buyer"-noun-en "aĉetanto"-noun-eo
"buyer"-noun-en "aĉetisto"-noun-eo
"kliento"-noun-eo "customer"-noun-en
"kliento"-noun-eo "client"-noun-en
"aĉetisto"-noun-eo "buyer"-noun-en
"aĉeto"-noun-eo "purchase"-noun-en
"purchase"-noun-en "aĉeto"-noun-eo
"acida"-adjective-eo "bitter"-adjective-en
"acida"-adjective-eo "acidic"-adjective-en
"bitter"-adjective-en "acida"-adjective-eo
"bitter"-adjective-en "amara"-adjective-eo
"bitter"-adjective-en "tranĉa"-adjective-eo
"bitter"-adjective-en "ĝismorta"-adjective-eo
"acidic"-adjective-en "acida"-adjective-eo
"amara"-adjective-eo "bitter"-adjective-en
"amara"-adjective-eo "sour"-adjective-en
"tranĉa"-adjective-eo "bitter"-adjective-en
"ĝismorta"-adjective-eo "bitter"-adjective-en
"sour"-adjective-en "amara"-adjective-eo
"acido"-noun-eo "acid"-noun-en
"acid"-noun-en "acido"-noun-eo
"acipensero"-noun-eo "sturgeon"-noun-en
"sturgeon"-noun-en "acipensero"-noun-eo
"sturgeon"-noun-en "sterledo"-noun-eo
"sturgeon"-noun-en "sturgo"-noun-eo
"sterledo"-noun-eo "sturgeon"-noun-en
"sturgo"-noun-eo "sturgeon"-noun-en
"adapti"-verb-eo "tailor"-verb-en
"adapti"-verb-eo "gear"-verb-en
"tailor"-verb-en "adapti"-verb-eo
"gear"-verb-en "adapti"-verb-eo
"adaptilo"-noun-eo "adapter"-noun-en
"adapter"-noun-en "adaptilo"-noun-eo
"adapto"-noun-eo "adaptation"-noun-en
"adaptation"-noun-en "adapto"-noun-eo
"adekvata"-adjective-eo "comprehensive"-adjective-en
"comprehensive"-adjective-en "adekvata"-adjective-eo
"comprehensive"-adjective-en "ampleksa"-adjective-eo
"comprehensive"-adjective-en "grandskala"-adjective-eo
"comprehensive"-adjective-en "multampleksa"-adjective-eo
"ampleksa"-adjective-eo "comprehensive"-adjective-en
"grandskala"-adjective-eo "comprehensive"-adjective-en
"multampleksa"-adjective-eo "comprehensive"-adjective-en
"adekvate"-adverb-eo "adequately"-adverb-en
"adequately"-adverb-en "adekvate"-adverb-eo
"adepto"-noun-eo "follower"-noun-en
"adepto"-noun-eo "adherent"-noun-en
"follower"-noun-en "adepto"-noun-eo
"adherent"-noun-en "adepto"-noun-eo
"adherent"-noun-en "disĉiplo"-noun-eo
"adherent"-noun-en "sekvanto"-noun-eo
"disĉiplo"-noun-eo "adherent"-noun-en
"disĉiplo"-noun-eo "disciple"-noun-en
"sekvanto"-noun-eo "adherent"-noun-en
"adiaŭ"-interjection-eo "goodbye"-interjection-en
"goodbye"-interjection-en "adiaŭ"-interjection-eo
"adiaŭo"-noun-eo "goodbye"-noun-en
"goodbye"-noun-en "adiaŭo"-noun-eo
"add"-verb-en "aldoni"-verb-eo
"aldoni"-verb-eo "add"-verb-en
"adicio"-noun-eo "addition"-noun-en
"addition"-noun-en "adicio"-noun-eo
"addition"-noun-en "aldono"-noun-eo
"aldono"-noun-eo "addition"-noun-en
"aldono"-noun-eo "appendix"-noun-en
"adjektivo"-noun-eo "adjective"-noun-en
"adjective"-noun-en "adjektivo"-noun-eo
"adjutanto"-noun-eo "aide"-noun-en
"aide"-noun-en "adjutanto"-noun-eo
"aide"-noun-en "asesoro"-noun-eo
"asesoro"-noun-eo "aide"-noun-en
"administra"-adjective-eo "executive"-adjective-en
"executive"-adjective-en "administra"-adjective-eo
"administracio"-noun-eo "administration"-noun-en
"administration"-noun-en "administracio"-noun-eo
"administration"-noun-en "dono"-noun-eo
"dono"-noun-eo "administration"-noun-en
"administrantaro"-noun-eo "management"-noun-en
"management"-noun-en "administrantaro"-noun-eo
"management"-noun-en "mastrumado"-noun-eo
"management"-noun-en "administrado"-noun-eo
"mastrumado"-noun-eo "management"-noun-en
"administrado"-noun-eo "management"-noun-en
"administranto"-noun-eo "administrator"-noun-en
"administrator"-noun-en "administranto"-noun-eo
"admiralo"-noun-eo "admiral"-noun-en
"admiral"-noun-en "admiralo"-noun-eo
"admiranto"-noun-eo "fan"-noun-en
"admiranto"-noun-eo "admirer"-noun-en
"fan"-noun-en "admiranto"-noun-eo
"fan"-noun-en "fano"-noun-eo
"fan"-noun-en "fervorulo"-noun-eo
"fan"-noun-en "ŝatanto"-noun-eo
"fan"-noun-en "ventolilo"-noun-eo
"fan"-noun-en "ventumilo"-noun-eo
"fan"-noun-en "zeloto"-noun-eo
"admirer"-noun-en "admiranto"-noun-eo
"fano"-noun-eo "fan"-noun-en
"fervorulo"-noun-eo "fan"-noun-en
"fervorulo"-noun-eo "enthusiast"-noun-en
"ŝatanto"-noun-eo "fan"-noun-en
"ventolilo"-noun-eo "fan"-noun-en
"ventumilo"-noun-eo "fan"-noun-en
"zeloto"-noun-eo "fan"-noun-en
"admirinda"-adjective-eo "admirable"-adjective-en
"admirable"-adjective-en "admirinda"-adjective-eo
"admirinde"-adverb-eo "wonderfully"-adverb-en
"admirinde"-adverb-eo "admirably"-adverb-en
"wonderfully"-adverb-en "admirinde"-adverb-eo
"admirably"-adverb-en "admirinde"-adverb-eo
"admiro"-noun-eo "admiration"-noun-en
"admiration"-noun-en "admiro"-noun-eo
"admono"-noun-eo "warning"-noun-en
"warning"-noun-en "admono"-noun-eo
"warning"-noun-en "averto"-noun-eo
"warning"-noun-en "deadmono"-noun-eo
"averto"-noun-eo "warning"-noun-en
"deadmono"-noun-eo "warning"-noun-en
"adoleska"-adjective-eo "teenage"-adjective-en
"adoleska"-adjective-eo "adolescent"-adjective-en
"teenage"-adjective-en "adoleska"-adjective-eo
"adolescent"-adjective-en "adoleska"-adjective-eo
"adoleskanto"-noun-eo "teenager"-noun-en
"adoleskanto"-noun-eo "teen"-noun-en
"adoleskanto"-noun-eo "adolescent"-noun-en
"teenager"-noun-en "adoleskanto"-noun-eo
"teen"-noun-en "adoleskanto"-noun-eo
"adolescent"-noun-en "adoleskanto"-noun-eo
"adolta"-adjective-eo "pornographic"-adjective-en
"pornographic"-adjective-en "adolta"-adjective-eo
"pornographic"-adjective-en "pornografia"-adjective-eo
"pornografia"-adjective-eo "pornographic"-adjective-en
"adolteco"-noun-eo "adulthood"-noun-en
"adulthood"-noun-en "adolteco"-noun-eo
"adulthood"-noun-en "plenaĝeco"-noun-eo
"plenaĝeco"-noun-eo "adulthood"-noun-en
"plenaĝeco"-noun-eo "majority"-noun-en
"adolto"-noun-eo "adult"-noun-en
"adult"-noun-en "adolto"-noun-eo
"adult"-noun-en "plenaĝulo"-noun-eo
"adult"-noun-en "plenkreskulo"-noun-eo
"plenaĝulo"-noun-eo "adult"-noun-en
"plenkreskulo"-noun-eo "adult"-noun-en
"adoptita"-adjective-eo "adoptive"-adjective-en
"adoptita"-adjective-eo "foster"-adjective-en
"adoptive"-adjective-en "adoptita"-adjective-eo
"foster"-adjective-en "adoptita"-adjective-eo
"adopto"-noun-eo "adoption"-noun-en
"adoption"-noun-en "adopto"-noun-eo
"adorado"-noun-eo "adoration"-noun-en
"adoration"-noun-en "adorado"-noun-eo
"adoro"-noun-eo "worship"-noun-en
"worship"-noun-en "adoro"-noun-eo
"worship"-noun-en "diservo"-noun-eo
"diservo"-noun-eo "worship"-noun-en
"adrenalino"-noun-eo "adrenaline"-noun-en
"adrenaline"-noun-en "adrenalino"-noun-eo
"adresaro"-noun-eo "directory"-noun-en
"directory"-noun-en "adresaro"-noun-eo
"directory"-noun-en "dosierujo"-noun-eo
"directory"-noun-en "nomaro"-noun-eo
"dosierujo"-noun-eo "directory"-noun-en
"nomaro"-noun-eo "directory"-noun-en
"adresato"-noun-eo "addressee"-noun-en
"addressee"-noun-en "adresato"-noun-eo
"adreso"-noun-eo "address"-noun-en
"address"-noun-en "adreso"-noun-eo
"adulta"-adjective-eo "adulterous"-adjective-en
"adulterous"-adjective-en "adulta"-adjective-eo
"adulterous"-adjective-en "adultema"-adjective-eo
"adultema"-adjective-eo "adulterous"-adjective-en
"adulto"-noun-eo "adultery"-noun-en
"adultery"-noun-en "adulto"-noun-eo
"adverbo"-noun-eo "adverb"-noun-en
"adverb"-noun-en "adverbo"-noun-eo
"adverse"-adjective-en "malfavora"-adjective-eo
"malfavora"-adjective-eo "adverse"-adjective-en
"advokato"-noun-eo "lawyer"-noun-en
"lawyer"-noun-en "advokato"-noun-eo
"aera"-adjective-eo "ephemeral"-adjective-en
"ephemeral"-adjective-en "aera"-adjective-eo
"aero"-noun-eo "air"-noun-en
"air"-noun-en "aero"-noun-eo
"air"-noun-en "ario"-noun-eo
"ario"-noun-eo "air"-noun-en
"aerobia"-adjective-eo "aerobic"-adjective-en
"aerobic"-adjective-en "aerobia"-adjective-eo
"aerodinamika"-adjective-eo "aerodynamic"-adjective-en
"aerodynamic"-adjective-en "aerodinamika"-adjective-eo
"aerolito"-noun-eo "meteorite"-noun-en
"meteorite"-noun-en "aerolito"-noun-eo
"meteorite"-noun-en "meteorito"-noun-eo
"meteorito"-noun-eo "meteorite"-noun-en
"aeroplano"-noun-eo "plane"-noun-en
"aeroplano"-noun-eo "aeroplane"-noun-en
"plane"-noun-en "aeroplano"-noun-eo
"plane"-noun-en "aviadilo"-noun-eo
"plane"-noun-en "ebeno"-noun-eo
"aeroplane"-noun-en "aeroplano"-noun-eo
"aviadilo"-noun-eo "plane"-noun-en
"aviadilo"-noun-eo "airplane"-noun-en
"aviadilo"-noun-eo "aircraft"-noun-en
"ebeno"-noun-eo "plane"-noun-en
"aerospaca"-adjective-eo "aerospace"-adjective-en
"aerospace"-adjective-en "aerospaca"-adjective-eo
"aerostato"-noun-eo "balloon"-noun-en
"balloon"-noun-en "aerostato"-noun-eo
"balloon"-noun-en "balono"-noun-eo
"balloon"-noun-en "aerŝipo"-noun-eo
"balono"-noun-eo "balloon"-noun-en
"aerŝipo"-noun-eo "balloon"-noun-en
"aerŝipo"-noun-eo "airship"-noun-en
"aertransporto"-noun-eo "airlift"-noun-en
"airlift"-noun-en "aertransporto"-noun-eo
"afabla"-adjective-eo "civil"-adjective-en
"afabla"-adjective-eo "genial"-adjective-en
"afabla"-adjective-eo "kind"-adjective-en
"afabla"-adjective-eo "affable"-adjective-en
"civil"-adjective-en "afabla"-adjective-eo
"civil"-adjective-en "civila"-adjective-eo
"civil"-adjective-en "ĝentila"-adjective-eo
"civil"-adjective-en "kompleza"-adjective-eo
"civil"-adjective-en "komplezema"-adjective-eo
"genial"-adjective-en "afabla"-adjective-eo
"kind"-adjective-en "afabla"-adjective-eo
"kind"-adjective-en "bonkora"-adjective-eo
"affable"-adjective-en "afabla"-adjective-eo
"affable"-adjective-en "plaĉivola"-adjective-eo
"civila"-adjective-eo "civil"-adjective-en
"ĝentila"-adjective-eo "civil"-adjective-en
"ĝentila"-adjective-eo "polite"-adjective-en
"kompleza"-adjective-eo "civil"-adjective-en
"kompleza"-adjective-eo "gracious"-adjective-en
"komplezema"-adjective-eo "civil"-adjective-en
"bonkora"-adjective-eo "kind"-adjective-en
"bonkora"-adjective-eo "cordial"-adjective-en
"plaĉivola"-adjective-eo "affable"-adjective-en
"afable"-adverb-eo "kindly"-adverb-en
"kindly"-adverb-en "afable"-adverb-eo
"kindly"-adverb-en "bonvole"-adverb-eo
"kindly"-adverb-en "ĝentile"-adverb-eo
"bonvole"-adverb-eo "kindly"-adverb-en
"ĝentile"-adverb-eo "kindly"-adverb-en
"ĝentile"-adverb-eo "in kind"-adverb-en
"ĝentile"-adverb-eo "courteously"-adverb-en
"ĝentile"-adverb-eo "politely"-adverb-en
"afableco"-noun-eo "kindness"-noun-en
"kindness"-noun-en "afableco"-noun-eo
"kindness"-noun-en "komplezo"-noun-eo
"komplezo"-noun-eo "kindness"-noun-en
"afekcia"-adjective-eo "affective"-adjective-en
"affective"-adjective-en "afekcia"-adjective-eo
"afekcii"-verb-eo "attack"-verb-en
"attack"-verb-en "afekcii"-verb-eo
"attack"-verb-en "atenci"-verb-eo
"attack"-verb-en "ataki"-verb-eo
"atenci"-verb-eo "attack"-verb-en
"atenci"-verb-eo "assault"-verb-en
"ataki"-verb-eo "attack"-verb-en
"afekcio"-noun-eo "emotion"-noun-en
"emotion"-noun-en "afekcio"-noun-eo
"emotion"-noun-en "emocio"-noun-eo
"emocio"-noun-eo "emotion"-noun-en
"afekta"-adjective-eo "showy"-adjective-en
"showy"-adjective-en "afekta"-adjective-eo
"showy"-adjective-en "afektema"-adjective-eo
"showy"-adjective-en "sinmontrema"-adjective-eo
"showy"-adjective-en "spektakla"-adjective-eo
"showy"-adjective-en "okulfrapa"-adjective-eo
"showy"-adjective-en "elmontrema"-adjective-eo
"afektema"-adjective-eo "showy"-adjective-en
"sinmontrema"-adjective-eo "showy"-adjective-en
"spektakla"-adjective-eo "showy"-adjective-en
"okulfrapa"-adjective-eo "showy"-adjective-en
"okulfrapa"-adjective-eo "prominent"-adjective-en
"elmontrema"-adjective-eo "showy"-adjective-en
"afekto"-noun-eo "manner"-noun-en
"manner"-noun-en "afekto"-noun-eo
"manner"-noun-en "mieno"-noun-eo
"mieno"-noun-eo "manner"-noun-en
"mieno"-noun-eo "demeanour"-noun-en
"afero"-noun-eo "affair"-noun-en
"afero"-noun-eo "cause"-noun-en
"afero"-noun-eo "issue"-noun-en
"afero"-noun-eo "matter"-noun-en
"afero"-noun-eo "thing"-noun-en
"affair"-noun-en "afero"-noun-eo
"affair"-noun-en "amafero"-noun-eo
"affair"-noun-en "amaĵo"-noun-eo
"affair"-noun-en "amintrigo"-noun-eo
"cause"-noun-en "afero"-noun-eo
"issue"-noun-en "afero"-noun-eo
"issue"-noun-en "zorgo"-noun-eo
"issue"-noun-en "emisio"-noun-eo
"matter"-noun-en "afero"-noun-eo
"matter"-noun-en "materio"-noun-eo
"thing"-noun-en "afero"-noun-eo
"amafero"-noun-eo "affair"-noun-en
"amaĵo"-noun-eo "affair"-noun-en
"amintrigo"-noun-eo "affair"-noun-en
"zorgo"-noun-eo "issue"-noun-en
"emisio"-noun-eo "issue"-noun-en
"materio"-noun-eo "matter"-noun-en
"afgana"-adjective-eo "afghan"-adjective-en
"afghan"-adjective-en "afgana"-adjective-eo
"Afganio"-properNoun-eo "Afghanistan"-properNoun-en
"Afghanistan"-properNoun-en "Afganio"-properNoun-eo
"afikso"-noun-eo "affix"-noun-en
"affix"-noun-en "afikso"-noun-eo
"afineco"-noun-eo "affinity"-noun-en
"affinity"-noun-en "afineco"-noun-eo
"affinity"-noun-en "proksimeco"-noun-eo
"affinity"-noun-en "simpatio"-noun-eo
"proksimeco"-noun-eo "affinity"-noun-en
"simpatio"-noun-eo "affinity"-noun-en
"simpatio"-noun-eo "empathy"-noun-en
"afiŝado"-noun-eo "advertising"-noun-en
"advertising"-noun-en "afiŝado"-noun-eo
"advertising"-noun-en "publikeco"-noun-eo
"advertising"-noun-en "reklamado"-noun-eo
"advertising"-noun-en "anoncado"-noun-eo
"publikeco"-noun-eo "advertising"-noun-en
"reklamado"-noun-eo "advertising"-noun-en
"anoncado"-noun-eo "advertising"-noun-en
"afiŝi"-verb-eo "advertise"-verb-en
"advertise"-verb-en "afiŝi"-verb-eo
"advertise"-verb-en "reklami"-verb-eo
"advertise"-verb-en "diskonigi"-verb-eo
"reklami"-verb-eo "advertise"-verb-en
"diskonigi"-verb-eo "advertise"-verb-en
"aflikti"-verb-eo "upset"-verb-en
"upset"-verb-en "aflikti"-verb-eo
"upset"-verb-en "ĉagreni"-verb-eo
"upset"-verb-en "kolerigi"-verb-eo
"upset"-verb-en "perturbi"-verb-eo
"ĉagreni"-verb-eo "upset"-verb-en
"kolerigi"-verb-eo "upset"-verb-en
"kolerigi"-verb-eo "enrage"-verb-en
"perturbi"-verb-eo "upset"-verb-en
"perturbi"-verb-eo "ail"-verb-en
"distress"-verb-en "angori"-verb-eo
"angori"-verb-eo "distress"-verb-en
"afliktiĝo"-noun-eo "grief"-noun-en
"afliktiĝo"-noun-eo "hardship"-noun-en
"grief"-noun-en "afliktiĝo"-noun-eo
"grief"-noun-en "funebro"-noun-eo
"hardship"-noun-en "afliktiĝo"-noun-eo
"hardship"-noun-en "aflikto"-noun-eo
"hardship"-noun-en "malprospero"-noun-eo
"hardship"-noun-en "mizero"-noun-eo
"hardship"-noun-en "malfacila horo"-noun-eo
"funebro"-noun-eo "grief"-noun-en
"funebro"-noun-eo "deceit"-noun-en
"aflikto"-noun-eo "hardship"-noun-en
"aflikto"-noun-eo "adversity"-noun-en
"aflikto"-noun-eo "affliction"-noun-en
"aflikto"-noun-eo "distress"-noun-en
"malprospero"-noun-eo "hardship"-noun-en
"mizero"-noun-eo "hardship"-noun-en
"mizero"-noun-eo "pittance"-noun-en
"malfacila horo"-noun-eo "hardship"-noun-en
"adversity"-noun-en "aflikto"-noun-eo
"affliction"-noun-en "aflikto"-noun-eo
"distress"-noun-en "aflikto"-noun-eo
"aforismo"-noun-eo "saying"-noun-en
"aforismo"-noun-eo "aphorism"-noun-en
"saying"-noun-en "aforismo"-noun-eo
"saying"-noun-en "popoldiro"-noun-eo
"saying"-noun-en "proverbo"-noun-eo
"saying"-noun-en "sentenco"-noun-eo
"aphorism"-noun-en "aforismo"-noun-eo
"popoldiro"-noun-eo "saying"-noun-en
"proverbo"-noun-eo "saying"-noun-en
"proverbo"-noun-eo "proverb"-noun-en
"sentenco"-noun-eo "saying"-noun-en
"sentenco"-noun-eo "adage"-noun-en
"afranki"-verb-eo "stamp"-verb-en
"stamp"-verb-en "afranki"-verb-eo
"stamp"-verb-en "stamfi"-verb-eo
"stamp"-verb-en "sigeli"-verb-eo
"stamp"-verb-en "stampi"-verb-eo
"stamfi"-verb-eo "stamp"-verb-en
"sigeli"-verb-eo "stamp"-verb-en
"stampi"-verb-eo "stamp"-verb-en
"afrika"-adjective-eo "African"-adjective-en
"African"-adjective-en "afrika"-adjective-eo
"Afriko"-properNoun-eo "Africa"-properNoun-en
"Africa"-properNoun-en "Afriko"-properNoun-eo
"aĝa"-adjective-eo "old"-adjective-en
"old"-adjective-en "aĝa"-adjective-eo
"old"-adjective-en "eluzita"-adjective-eo
"old"-adjective-en "malnova"-adjective-eo
"old"-adjective-en "plejaĝa"-adjective-eo
"eluzita"-adjective-eo "old"-adjective-en
"malnova"-adjective-eo "old"-adjective-en
"malnova"-adjective-eo "venerable"-adjective-en
"plejaĝa"-adjective-eo "old"-adjective-en
"agaci"-verb-eo "aggravate"-verb-en
"aggravate"-verb-en "agaci"-verb-eo
"aggravate"-verb-en "iriti"-verb-eo
"aggravate"-verb-en "pligravigi"-verb-eo
"iriti"-verb-eo "aggravate"-verb-en
"pligravigi"-verb-eo "aggravate"-verb-en
"agado"-noun-eo "activity"-noun-en
"agado"-noun-eo "gig"-noun-en
"activity"-noun-en "agado"-noun-eo
"activity"-noun-en "aktiveco"-noun-eo
"activity"-noun-en "programero"-noun-eo
"activity"-noun-en "aktivado"-noun-eo
"gig"-noun-en "agado"-noun-eo
"aktiveco"-noun-eo "activity"-noun-en
"programero"-noun-eo "activity"-noun-en
"aktivado"-noun-eo "activity"-noun-en
"agariko"-noun-eo "mushroom"-noun-en
"mushroom"-noun-en "agariko"-noun-eo
"agendo"-noun-eo "diary"-noun-en
"diary"-noun-en "agendo"-noun-eo
"diary"-noun-en "taglibro"-noun-eo
"taglibro"-noun-eo "diary"-noun-en
"agenteco"-noun-eo "agency"-noun-en
"agency"-noun-en "agenteco"-noun-eo
"agency"-noun-en "agentejo"-noun-eo
"agency"-noun-en "instanco"-noun-eo
"agentejo"-noun-eo "agency"-noun-en
"instanco"-noun-eo "agency"-noun-en
"agento"-noun-eo "agent"-noun-en
"agent"-noun-en "agento"-noun-eo
"agent"-noun-en "makleristo"-noun-eo
"agent"-noun-en "peranto"-noun-eo
"agent"-noun-en "peristo"-noun-eo
"makleristo"-noun-eo "agent"-noun-en
"peranto"-noun-eo "agent"-noun-en
"peranto"-noun-eo "intermediary"-noun-en
"peristo"-noun-eo "agent"-noun-en
"aĝio"-noun-eo "percentage"-noun-en
"percentage"-noun-en "aĝio"-noun-eo
"percentage"-noun-en "procento"-noun-eo
"procento"-noun-eo "percentage"-noun-en
"procento"-noun-eo "percent"-noun-en
"agiti"-verb-eo "agitate"-verb-en
"agitate"-verb-en "agiti"-verb-eo
"agitate"-verb-en "agitiĝi"-verb-eo
"agitiĝi"-verb-eo "agitate"-verb-en
"agitiĝo"-noun-eo "confusion"-noun-en
"confusion"-noun-en "agitiĝo"-noun-eo
"confusion"-noun-en "konfuzaĵo"-noun-eo
"confusion"-noun-en "konfuzo"-noun-eo
"konfuzaĵo"-noun-eo "confusion"-noun-en
"konfuzo"-noun-eo "confusion"-noun-en
"aglo"-noun-eo "eagle"-noun-en
"eagle"-noun-en "aglo"-noun-eo
"aglomeri"-verb-eo "fuse"-verb-en
"fuse"-verb-en "aglomeri"-verb-eo
"aglutina"-adjective-eo "agglutinative"-adjective-en
"agglutinative"-adjective-en "aglutina"-adjective-eo
"aglutini"-verb-eo "agglutinate"-verb-en
"agglutinate"-verb-en "aglutini"-verb-eo
"agnoski"-verb-eo "acknowledge"-verb-en
"agnoski"-verb-eo "admit"-verb-en
"acknowledge"-verb-en "agnoski"-verb-eo
"admit"-verb-en "agnoski"-verb-eo
