"cualquier"-determiner-es "neniu"-determiner-eo
"ordinare"-adverb-eo "habitualmente"-adverb-es
"ĝenerale"-adverb-eo "globalmente"-adverb-es
"globalmente"-adverb-es "ĝenerale"-adverb-eo
"enfrente"-adverb-es "antaŭe"-adverb-eo
"antaŭe"-adverb-eo "enfrente"-adverb-es
"fronte"-adverb-eo "delante"-adverb-es
"delante"-adverb-es "fronte"-adverb-eo
"malantaŭen"-adverb-eo "atrás"-adverb-es
"atrás"-adverb-es "malantaŭen"-adverb-eo
"además"-adverb-es "cetere"-adverb-eo
"cetere"-adverb-eo "además"-adverb-es
"malproksime"-adverb-eo "lejos"-adverb-es
"lejos"-adverb-es "malproksime"-adverb-eo
"treege"-adverb-eo "extremadamente"-adverb-es
"extremadamente"-adverb-es "treege"-adverb-eo
"ekstreme"-adverb-eo "sumamente"-adverb-es
"sumamente"-adverb-es "ekstreme"-adverb-eo
"tre"-adverb-eo "muchísimo"-adverb-es
"muchísimo"-adverb-es "tre"-adverb-eo
"supraĵe"-adverb-eo "ligeramente"-adverb-es
"ligeramente"-adverb-es "supraĵe"-adverb-eo
"livianamente"-adverb-es "iomete"-adverb-eo
"iomete"-adverb-eo "livianamente"-adverb-es
"de hecho"-adverb-es "efektive"-adverb-eo
"efektive"-adverb-eo "de hecho"-adverb-es
"kompreneble"-adverb-eo "naturalmente"-adverb-es
"naturalmente"-adverb-es "kompreneble"-adverb-eo
"sendube"-adverb-eo "indudablemente"-adverb-es
"indudablemente"-adverb-es "sendube"-adverb-eo
"en especial"-adverb-es "precipe"-adverb-eo
"tie"-adverb-eo "acá"-adverb-es
"acá"-adverb-es "tie"-adverb-eo
"aquí"-adverb-es "ĉi tie"-adverb-eo
"ĉi tie"-adverb-eo "aquí"-adverb-es
"ĉi tie"-adverb-eo "ahí"-adverb-es
"ahí"-adverb-es "ĉi tie"-adverb-eo
"finalmente"-adverb-es "finfine"-adverb-eo
"finfine"-adverb-eo "finalmente"-adverb-es
"fine"-adverb-eo "por último"-adverb-es
"por último"-adverb-es "fine"-adverb-eo
"prpers"-reflexivePersonalPronoun-es "si"-pronoun-eo
"prpers"-reflexivePersonalPronoun-es "si"-reflexivePersonalPronoun-eo
"si"-pronoun-eo "prpers"-reflexivePersonalPronoun-es
"si"-pronoun-eo "prpers"-pronoun-es
"si"-pronoun-eo "se"-pronoun-es
"si"-pronoun-eo "se"-reflexivePersonalPronoun-es
"si"-reflexivePersonalPronoun-eo "prpers"-reflexivePersonalPronoun-es
"si"-reflexivePersonalPronoun-eo "prpers"-pronoun-es
"si"-reflexivePersonalPronoun-eo "se"-pronoun-es
"si"-reflexivePersonalPronoun-eo "se"-reflexivePersonalPronoun-es
"prpers"-pronoun-es "si"-pronoun-eo
"prpers"-pronoun-es "si"-reflexivePersonalPronoun-eo
"se"-pronoun-es "si"-pronoun-eo
"se"-pronoun-es "si"-reflexivePersonalPronoun-eo
"se"-reflexivePersonalPronoun-es "si"-pronoun-eo
"se"-reflexivePersonalPronoun-es "si"-reflexivePersonalPronoun-eo
"kiu"-relativePronoun-eo "qué"-pronoun-es
"kiu"-relativePronoun-eo "aquel"-pronoun-es
"kiu"-relativePronoun-eo "aquél"-pronoun-es
"kiu"-relativePronoun-eo "ése"-pronoun-es
"kiu"-relativePronoun-eo "ese"-pronoun-es
"kiu"-relativePronoun-eo "aquello"-pronoun-es
"qué"-pronoun-es "kiu"-relativePronoun-eo
"qué"-pronoun-es "kiu"-pronoun-eo
"aquel"-pronoun-es "kiu"-relativePronoun-eo
"aquel"-pronoun-es "tio"-pronoun-eo
"aquél"-pronoun-es "kiu"-relativePronoun-eo
"aquél"-pronoun-es "tio"-pronoun-eo
"ése"-pronoun-es "kiu"-relativePronoun-eo
"ése"-pronoun-es "tio"-pronoun-eo
"ese"-pronoun-es "kiu"-relativePronoun-eo
"ese"-pronoun-es "tio"-pronoun-eo
"aquello"-pronoun-es "kiu"-relativePronoun-eo
"kiu"-pronoun-eo "qué"-pronoun-es
"tio"-pronoun-eo "aquel"-pronoun-es
"tio"-pronoun-eo "aquél"-pronoun-es
"tio"-pronoun-eo "ése"-pronoun-es
"tio"-pronoun-eo "ese"-pronoun-es
"tio"-pronoun-eo "esto"-pronoun-es
"kio"-relativePronoun-eo "cuanto"-relativePronoun-es
"kio"-relativePronoun-eo "cuanto"-adverb-es
"cuanto"-relativePronoun-es "kio"-relativePronoun-eo
"cuanto"-adverb-es "kio"-relativePronoun-eo
"esto"-pronoun-es "tio"-pronoun-eo
"kie"-adverb-eo "adónde"-adverb-es
"kie"-adverb-eo "adonde"-adverb-es
"adónde"-adverb-es "kie"-adverb-eo
"adonde"-adverb-es "kie"-adverb-eo
"con respecto a"-preposition-es "rilate al"-preposition-eo
"rilate al"-preposition-eo "con respecto a"-preposition-es
"rilate al"-preposition-eo "por lo que respecta a"-preposition-es
"rilate al"-preposition-eo "en cuanto a"-preposition-es
"rilate al"-preposition-eo "en lo que respecta a"-preposition-es
"rilate al"-preposition-eo "en lo que se refiere a"-preposition-es
"por lo que respecta a"-preposition-es "rilate al"-preposition-eo
"en cuanto a"-preposition-es "rilate al"-preposition-eo
"en lo que respecta a"-preposition-es "rilate al"-preposition-eo
"en lo que se refiere a"-preposition-es "rilate al"-preposition-eo
"mediante"-preposition-es "pere de"-preposition-eo
"pere de"-preposition-eo "mediante"-preposition-es
"excepto"-preposition-es "escepte de"-preposition-eo
"escepte de"-preposition-eo "excepto"-preposition-es
"de"-preposition-es "el"-preposition-eo
"el"-preposition-eo "de"-preposition-es
"a lo largo de"-preposition-es "dum"-preposition-eo
"dum"-preposition-eo "a lo largo de"-preposition-es
"sobre"-preposition-es "super"-preposition-eo
"super"-preposition-eo "sobre"-preposition-es
"sur"-preposition-eo "acerca de"-preposition-es
"acerca de"-preposition-es "sur"-preposition-eo
"antaŭ"-preposition-eo "en frente de"-preposition-es
"en frente de"-preposition-es "antaŭ"-preposition-eo
"ante"-preposition-es "fronte al"-preposition-eo
"fronte al"-preposition-eo "ante"-preposition-es
"fronte al"-preposition-eo "delante de"-preposition-es
"delante de"-preposition-es "fronte al"-preposition-eo
"jesa"-adjective-eo "positivo"-adjective-es
"positivo"-adjective-es "jesa"-adjective-eo
"intera"-adjective-eo "intermediario"-adjective-es
"intermediario"-adjective-es "intera"-adjective-eo
"laŭleĝa"-adjective-eo "legal"-adjective-es
"laŭleĝa"-adjective-eo "legítimo"-adjective-es
"legal"-adjective-es "laŭleĝa"-adjective-eo
"legítimo"-adjective-es "laŭleĝa"-adjective-eo
"kapabla"-adjective-eo "bueno"-adjective-es
"kapabla"-adjective-eo "buen"-adjective-es
"bueno"-adjective-es "kapabla"-adjective-eo
"bueno"-adjective-es "esperiga"-adjective-eo
"buen"-adjective-es "kapabla"-adjective-eo
"buen"-adjective-es "esperiga"-adjective-eo
"esperiga"-adjective-eo "bueno"-adjective-es
"esperiga"-adjective-eo "buen"-adjective-es
"real"-adjective-es "efektiva"-adjective-eo
"efektiva"-adjective-eo "real"-adjective-es
"independencia"-noun-es "sendependiĝo"-noun-eo
"sendependiĝo"-noun-eo "independencia"-noun-es
"paraíso"-noun-es "edeno"-noun-eo
"edeno"-noun-eo "paraíso"-noun-es
"batalo"-noun-eo "lucha"-noun-es
"batalo"-noun-eo "enfrentamiento"-noun-es
"lucha"-noun-es "batalo"-noun-eo
"enfrentamiento"-noun-es "batalo"-noun-eo
"butaca"-noun-es "fotelo"-noun-eo
"fotelo"-noun-eo "butaca"-noun-es
"senkulpigo"-noun-eo "excusa"-noun-es
"excusa"-noun-es "senkulpigo"-noun-eo
"aktivulo"-noun-eo "activista"-noun-es
"activista"-noun-es "aktivulo"-noun-eo
"relevo"-noun-es "reliefo"-noun-eo
"reliefo"-noun-eo "relevo"-noun-es
"supermercado"-noun-es "ĉiovendejo"-noun-eo
"ĉiovendejo"-noun-eo "supermercado"-noun-es
"experiencia"-noun-es "travivaĵo"-noun-eo
"travivaĵo"-noun-eo "experiencia"-noun-es
"sperto"-noun-eo "experimento"-noun-es
"experimento"-noun-es "sperto"-noun-eo
"tensio"-noun-eo "tensión"-noun-es
"tensión"-noun-es "tensio"-noun-eo
"ŝtofo"-noun-eo "ropa"-noun-es
"ropa"-noun-es "ŝtofo"-noun-eo
"tela"-noun-es "tolaĵo"-noun-eo
"tela"-noun-es "tolo"-noun-eo
"tolaĵo"-noun-eo "tela"-noun-es
"tolo"-noun-eo "tela"-noun-es
"escepto"-noun-eo "salvedad"-noun-es
"salvedad"-noun-es "escepto"-noun-eo
"inventado"-noun-eo "invención"-noun-es
"invención"-noun-es "inventado"-noun-eo
"invento"-noun-es "invento"-noun-eo
"invento"-noun-eo "invento"-noun-es
"cabello"-noun-es "hararo"-noun-eo
"hararo"-noun-eo "cabello"-noun-es
"hararo"-noun-eo "melena"-noun-es
"melena"-noun-es "hararo"-noun-eo
"tormenta"-noun-es "tempesto"-noun-eo
"tempesto"-noun-eo "tormenta"-noun-es
"grieta"-noun-es "krevaĵo"-noun-eo
"krevaĵo"-noun-eo "grieta"-noun-es
"frato"-noun-eo "fraile"-noun-es
"fraile"-noun-es "frato"-noun-eo
"cueva"-noun-es "groto"-noun-eo
"groto"-noun-eo "cueva"-noun-es
"monaĥinejo"-noun-eo "convento"-noun-es
"convento"-noun-es "monaĥinejo"-noun-eo
"metro"-noun-es "metroo"-noun-eo
"metroo"-noun-eo "metro"-noun-es
"glóbulo"-noun-es "globeto"-noun-eo
"globeto"-noun-eo "glóbulo"-noun-es
"baño"-noun-es "banejo"-noun-eo
"banejo"-noun-eo "baño"-noun-es
"túnica"-noun-es "robo"-noun-eo
"robo"-noun-eo "túnica"-noun-es
"almohada"-noun-es "kuseno"-noun-eo
"kuseno"-noun-eo "almohada"-noun-es
"linterna"-noun-es "lanterno"-noun-eo
"lanterno"-noun-eo "linterna"-noun-es
"fermo"-noun-eo "encierro"-noun-es
"encierro"-noun-es "fermo"-noun-eo
"aliĝo"-noun-eo "presentación"-noun-es
"presentación"-noun-es "aliĝo"-noun-eo
"scio"-noun-eo "conocimiento"-noun-es
"conocimiento"-noun-es "scio"-noun-eo
"ventanilla"-noun-es "giĉeto"-noun-eo
"giĉeto"-noun-eo "ventanilla"-noun-es
"resfriado"-noun-es "kataro"-noun-eo
"kataro"-noun-eo "resfriado"-noun-es
"autorización"-noun-es "permeso"-noun-eo
"permeso"-noun-eo "autorización"-noun-es
"talón"-noun-es "kalkanumo"-noun-eo
"kalkanumo"-noun-eo "talón"-noun-es
"kalkano"-noun-eo "tacón"-noun-es
"tacón"-noun-es "kalkano"-noun-eo
"pastor"-noun-es "pastro"-noun-eo
"pastro"-noun-eo "pastor"-noun-es
"sacerdote"-noun-es "sacerdoto"-noun-eo
"sacerdoto"-noun-eo "sacerdote"-noun-es
"narkotaĵo"-noun-eo "droga"-noun-es
"droga"-noun-es "narkotaĵo"-noun-eo
"fármaco"-noun-es "medikamento"-noun-eo
"medikamento"-noun-eo "fármaco"-noun-es
"remedio"-noun-es "kuracilo"-noun-eo
"kuracilo"-noun-eo "remedio"-noun-es
"ejo"-noun-eo "lugar"-noun-es
"ejo"-noun-eo "sitio"-noun-es
"lugar"-noun-es "ejo"-noun-eo
"sitio"-noun-es "ejo"-noun-eo
"fizionomio"-noun-eo "aspecto"-noun-es
"aspecto"-noun-es "fizionomio"-noun-eo
"aspecto"-noun-es "muaro"-noun-eo
"muaro"-noun-eo "aspecto"-noun-es
"haŝiŝo"-noun-eo "marihuana"-noun-es
"marihuana"-noun-es "haŝiŝo"-noun-eo
"prioridad"-noun-es "antaŭeco"-noun-eo
"antaŭeco"-noun-eo "prioridad"-noun-es
"legitimado"-noun-eo "identificación"-noun-es
"identificación"-noun-es "legitimado"-noun-eo
"loĝanto"-noun-eo "ocupante"-noun-es
"ocupante"-noun-es "loĝanto"-noun-eo
"página"-noun-es "paĝio"-noun-eo
"paĝio"-noun-eo "página"-noun-es
"tribuno"-noun-eo "plataforma"-noun-es
"plataforma"-noun-es "tribuno"-noun-eo
"dependeco"-noun-eo "adicción"-noun-es
"adicción"-noun-es "dependeco"-noun-eo
"kukaĵo"-noun-eo "tarta"-noun-es
"tarta"-noun-es "kukaĵo"-noun-eo
"pastel"-noun-es "torto"-noun-eo
"torto"-noun-eo "pastel"-noun-es
"apodo"-noun-es "kromnomo"-noun-eo
"kromnomo"-noun-eo "apodo"-noun-es
"gráfico"-noun-es "grafiko"-noun-eo
"grafiko"-noun-eo "gráfico"-noun-es
"asco"-noun-es "abomeno"-noun-eo
"abomeno"-noun-eo "asco"-noun-es
"bildo"-noun-eo "reproducción"-noun-es
"reproducción"-noun-es "bildo"-noun-eo
"normigo"-noun-eo "normalización"-noun-es
"normalización"-noun-es "normigo"-noun-eo
"profundidad"-noun-es "profundeco"-noun-eo
"profundeco"-noun-eo "profundidad"-noun-es
"gravedad"-noun-es "gravito"-noun-eo
"gravito"-noun-eo "gravedad"-noun-es
"recuerdo"-noun-es "memoraĵo"-noun-eo
"memoraĵo"-noun-eo "recuerdo"-noun-es
"oración"-noun-es "petego"-noun-eo
"petego"-noun-eo "oración"-noun-es
"moralo"-noun-eo "ética"-noun-es
"ética"-noun-es "moralo"-noun-eo
"beto"-noun-eo "acelga"-noun-es
"acelga"-noun-es "beto"-noun-eo
"amaso"-noun-eo "masa"-noun-es
"amaso"-noun-eo "muchedumbre"-noun-es
"masa"-noun-es "amaso"-noun-eo
"muchedumbre"-noun-es "amaso"-noun-eo
"multitud"-noun-es "homamaso"-noun-eo
"homamaso"-noun-eo "multitud"-noun-es
"amargura"-noun-es "vermuto"-noun-eo
"vermuto"-noun-eo "amargura"-noun-es
"disposición"-noun-es "inklino"-noun-eo
"inklino"-noun-eo "disposición"-noun-es
"inklino"-noun-eo "inclinación"-noun-es
"belo"-noun-eo "belleza"-noun-es
"belleza"-noun-es "belo"-noun-eo
"manko"-noun-eo "defecto"-noun-es
"defecto"-noun-es "manko"-noun-eo
"auto"-noun-es "ago"-noun-eo
"auto"-noun-es "agado"-noun-eo
"ago"-noun-eo "auto"-noun-es
"ago"-noun-eo "actuación"-noun-es
"agado"-noun-eo "auto"-noun-es
"agado"-noun-eo "acción"-noun-es
"actuación"-noun-es "ago"-noun-eo
"acción"-noun-es "agado"-noun-eo
"transporto"-noun-eo "transferencia"-noun-es
"transferencia"-noun-es "transporto"-noun-eo
"reveno"-noun-eo "devolución"-noun-es
"devolución"-noun-es "reveno"-noun-eo
"pecho"-noun-es "mamo"-noun-eo
"mamo"-noun-eo "pecho"-noun-es
"mamo"-noun-eo "seno"-noun-es
"seno"-noun-es "mamo"-noun-eo
"kosto"-noun-eo "precio"-noun-es
"precio"-noun-es "kosto"-noun-eo
"conexión"-noun-es "ligo"-noun-eo
"ligo"-noun-eo "conexión"-noun-es
"ligo"-noun-eo "vínculo"-noun-es
"ligo"-noun-eo "lazo"-noun-es
"vínculo"-noun-es "ligo"-noun-eo
"lazo"-noun-es "ligo"-noun-eo
"cuento"-noun-es "rakonto"-noun-eo
"rakonto"-noun-eo "cuento"-noun-es
"oficina"-noun-es "depeŝo"-noun-eo
"depeŝo"-noun-eo "oficina"-noun-es
"oficejo"-noun-eo "despacho"-noun-es
"despacho"-noun-es "oficejo"-noun-eo
"oferta"-noun-es "oferto"-noun-eo
"oferto"-noun-eo "oferta"-noun-es
"propono"-noun-eo "proposición"-noun-es
"proposición"-noun-es "propono"-noun-eo
"propuesta"-noun-es "propozicio"-noun-eo
"propozicio"-noun-eo "propuesta"-noun-es
"uso"-noun-es "uzado"-noun-eo
"uzado"-noun-eo "uso"-noun-es
"faena"-noun-es "posteno"-noun-eo
"posteno"-noun-eo "faena"-noun-es
"posteno"-noun-eo "trabajo"-noun-es
"posteno"-noun-eo "carga"-noun-es
"trabajo"-noun-es "posteno"-noun-eo
"trabajo"-noun-es "tasko"-noun-eo
"tasko"-noun-eo "trabajo"-noun-es
"carga"-noun-es "posteno"-noun-eo
"capacidad"-noun-es "kapableco"-noun-eo
"kapableco"-noun-eo "capacidad"-noun-es
"modo"-noun-eo "manera"-noun-es
"manera"-noun-es "modo"-noun-eo
"modo"-noun-es "maniero"-noun-eo
"maniero"-noun-eo "modo"-noun-es
"kolekto"-noun-eo "grupo"-noun-es
"grupo"-noun-es "kolekto"-noun-eo
"grupo"-noun-es "fasko"-noun-eo
"fasko"-noun-eo "grupo"-noun-es
"eskalo"-noun-eo "escalera"-noun-es
"eskalo"-noun-eo "escala"-noun-es
"escalera"-noun-es "eskalo"-noun-eo
"escalera"-noun-es "skalo"-noun-eo
"escala"-noun-es "eskalo"-noun-eo
"escala"-noun-es "ŝtuparo"-noun-eo
"skalo"-noun-eo "escalera"-noun-es
"ŝtuparo"-noun-eo "escala"-noun-es
"etato"-noun-eo "estado"-noun-es
"etato"-noun-eo "lista"-noun-es
"estado"-noun-es "etato"-noun-eo
"lista"-noun-es "etato"-noun-eo
"kesto"-noun-eo "caja"-noun-es
"caja"-noun-es "kesto"-noun-eo
"alcance"-noun-es "amplekso"-noun-eo
"amplekso"-noun-eo "alcance"-noun-es
"amplekso"-noun-eo "extensión"-noun-es
"extensión"-noun-es "amplekso"-noun-eo
"forĵetaĵo"-noun-eo "basura"-noun-es
"basura"-noun-es "forĵetaĵo"-noun-eo
"jarro"-noun-es "vazo"-noun-eo
"vazo"-noun-eo "jarro"-noun-es
"decoración"-noun-es "ornamaĵo"-noun-eo
"decoración"-noun-es "ordeno"-noun-eo
"ornamaĵo"-noun-eo "decoración"-noun-es
"ordeno"-noun-eo "decoración"-noun-es
"orden"-noun-es "komando"-noun-eo
"komando"-noun-eo "orden"-noun-es
"kompaniano"-noun-eo "compañero"-noun-es
"compañero"-noun-es "kompaniano"-noun-eo
"compañero"-noun-es "kolego"-noun-eo
"kolego"-noun-eo "compañero"-noun-es
"matrimonio"-noun-es "geedziĝo"-noun-eo
"geedziĝo"-noun-eo "matrimonio"-noun-es
"mujer"-noun-es "ino"-noun-eo
"ino"-noun-eo "mujer"-noun-es
"corteza"-noun-es "haŭto"-noun-eo
"haŭto"-noun-eo "corteza"-noun-es
"tubo"-noun-eo "tubería"-noun-es
"tubería"-noun-es "tubo"-noun-eo
"situación"-noun-es "situo"-noun-eo
"situo"-noun-eo "situación"-noun-es
"instalación"-noun-es "instalaĵo"-noun-eo
"instalaĵo"-noun-eo "instalación"-noun-es
"distribuo"-noun-eo "reparto"-noun-es
"reparto"-noun-es "distribuo"-noun-eo
"reparto"-noun-es "disdonado"-noun-eo
"comunicación"-noun-es "komuniko"-noun-eo
"komuniko"-noun-eo "comunicación"-noun-es
"cruce"-noun-es "vojkruciĝo"-noun-eo
"vojkruciĝo"-noun-eo "cruce"-noun-es
"firma"-noun-es "firmo"-noun-eo
"firmo"-noun-eo "firma"-noun-es
"entrada"-noun-es "enspezo"-noun-eo
"enspezo"-noun-eo "entrada"-noun-es
"vario"-noun-eo "variación"-noun-es
"variación"-noun-es "vario"-noun-eo
"conjunto"-noun-es "ensemblo"-noun-eo
"ensemblo"-noun-eo "conjunto"-noun-es
"difekto"-noun-eo "daño"-noun-es
"daño"-noun-es "difekto"-noun-eo
"lesión"-noun-es "vundo"-noun-eo
"vundo"-noun-eo "lesión"-noun-es
"kurso"-noun-eo "trayecto"-noun-es
"trayecto"-noun-es "kurso"-noun-eo
"manifestación"-noun-es "demonstracio"-noun-eo
"demonstracio"-noun-eo "manifestación"-noun-es
"litero"-noun-eo "carta"-noun-es
"carta"-noun-es "litero"-noun-eo
"carta"-noun-es "karto"-noun-eo
"letra"-noun-es "letero"-noun-eo
"letero"-noun-eo "letra"-noun-es
"karto"-noun-eo "carta"-noun-es
"rol"-noun-es "rolo"-noun-eo
"rolo"-noun-eo "rol"-noun-es
"kuriero"-noun-eo "correo"-noun-es
"correo"-noun-es "kuriero"-noun-eo
"rabia"-noun-es "kolero"-noun-eo
"kolero"-noun-eo "rabia"-noun-es
"emoción"-noun-es "afekcio"-noun-eo
"afekcio"-noun-eo "emoción"-noun-es
"afekcio"-noun-eo "enfermedad"-noun-es
"enfermedad"-noun-es "afekcio"-noun-eo
"inclinación"-noun-es "inklino"-noun-eo
"planko"-noun-eo "fondo"-noun-es
"fondo"-noun-es "planko"-noun-eo
"fondo"-noun-es "fono"-noun-eo
"fono"-noun-eo "fondo"-noun-es
"fundo"-noun-eo "trasfondo"-noun-es
"trasfondo"-noun-es "fundo"-noun-eo
"carretera"-noun-es "vojo"-noun-eo
"vojo"-noun-eo "carretera"-noun-es
"vojo"-noun-eo "ruta"-noun-es
"vojo"-noun-eo "carril"-noun-es
"ruta"-noun-es "vojo"-noun-eo
"carril"-noun-es "vojo"-noun-eo
"declaración"-noun-es "komunikaĵo"-noun-eo
"komunikaĵo"-noun-eo "declaración"-noun-es
"streko"-noun-eo "raya"-noun-es
"raya"-noun-es "streko"-noun-eo
"raya"-noun-es "linio"-noun-eo
"linio"-noun-eo "raya"-noun-es
"esploro"-noun-eo "búsqueda"-noun-es
"búsqueda"-noun-es "esploro"-noun-eo
"búsqueda"-noun-es "esplorado"-noun-eo
"esplorado"-noun-eo "búsqueda"-noun-es
"investigación"-noun-es "enketo"-noun-eo
"enketo"-noun-eo "investigación"-noun-es
"demando"-noun-eo "interrogación"-noun-es
"interrogación"-noun-es "demando"-noun-eo
"pregunta"-noun-es "afero"-noun-eo
"afero"-noun-eo "pregunta"-noun-es
"afero"-noun-eo "cuestión"-noun-es
"afero"-noun-eo "cosa"-noun-es
"afero"-noun-eo "causa"-noun-es
"cuestión"-noun-es "afero"-noun-eo
"cosa"-noun-es "afero"-noun-eo
"causa"-noun-es "afero"-noun-eo
"asunto"-noun-es "temo"-noun-eo
"asunto"-noun-es "subjekto"-noun-eo
"temo"-noun-eo "asunto"-noun-es
"temo"-noun-eo "sujeto"-noun-es
"subjekto"-noun-eo "asunto"-noun-es
"sujeto"-noun-es "temo"-noun-eo
"objeto"-noun-es "aĵo"-noun-eo
"aĵo"-noun-eo "objeto"-noun-es
"postulo"-noun-eo "demanda"-noun-es
"demanda"-noun-es "postulo"-noun-eo
"comisión"-noun-es "komisio"-noun-eo
"komisio"-noun-eo "comisión"-noun-es
"komisio"-noun-eo "recado"-noun-es
"komisio"-noun-eo "tarea"-noun-es
"recado"-noun-es "komisio"-noun-eo
"tarea"-noun-es "komisio"-noun-eo
"komisiono"-noun-eo "encargo"-noun-es
"encargo"-noun-es "komisiono"-noun-eo
"asigno"-noun-eo "asignación"-noun-es
"asignación"-noun-es "asigno"-noun-eo
"persecución"-noun-es "persekuto"-noun-eo
"persekuto"-noun-eo "persecución"-noun-es
"celo"-noun-eo "gol"-noun-es
"gol"-noun-es "celo"-noun-eo
"pieco"-noun-eo "devoción"-noun-es
"devoción"-noun-es "pieco"-noun-eo
"vista"-noun-es "vidado"-noun-eo
"vidado"-noun-eo "vista"-noun-es
"vidado"-noun-eo "visión"-noun-es
"visión"-noun-es "vidado"-noun-eo
"akordo"-noun-eo "acuerdo"-noun-es
"akordo"-noun-eo "convenio"-noun-es
"acuerdo"-noun-es "akordo"-noun-eo
"convenio"-noun-es "akordo"-noun-eo
"convenio"-noun-es "konvencio"-noun-eo
"konvencio"-noun-eo "convenio"-noun-es
"ŝanco"-noun-eo "probabilidad"-noun-es
"probabilidad"-noun-es "ŝanco"-noun-eo
"promocio"-noun-eo "fomento"-noun-es
"fomento"-noun-es "promocio"-noun-eo
"promoción"-noun-es "akcelado"-noun-eo
"akcelado"-noun-eo "promoción"-noun-es
"espacio"-noun-es "areo"-noun-eo
"areo"-noun-eo "espacio"-noun-es
"areo"-noun-eo "zona"-noun-es
"areo"-noun-eo "superficie"-noun-es
"zona"-noun-es "areo"-noun-eo
"superficie"-noun-es "areo"-noun-eo
"grandeco"-noun-eo "magnitud"-noun-es
"magnitud"-noun-es "grandeco"-noun-eo
"sugesto"-noun-eo "sugestión"-noun-es
"sugestión"-noun-es "sugesto"-noun-eo
"stango"-noun-eo "poste"-noun-es
"poste"-noun-es "stango"-noun-eo
"poste"-noun-es "bastono"-noun-eo
"bastono"-noun-eo "poste"-noun-es
