"abrogar"-verb-es "abrogi"-verb-eo
"luktanto"-noun-eo "luchador"-noun-es
"luktemulo"-noun-eo "luchador"-noun-es
"luchador"-adjective-es "luktema"-adjective-eo
"luktema"-adjective-eo "luchador"-adjective-es
"batería"-noun-es "drumisto"-noun-eo
"drumisto"-noun-eo "batería"-noun-es
"Basilio"-properNoun-es "Basilio"-properNoun-eo
"Basilio"-properNoun-eo "Basilio"-properNoun-es
"inmovilización"-noun-es "senmovigo"-noun-eo
"senmovigo"-noun-eo "inmovilización"-noun-es
"boicot"-noun-es "bojkotado"-noun-eo
"bojkotado"-noun-eo "boicot"-noun-es
"bombardeo"-noun-es "bombardado"-noun-eo
"bombardado"-noun-eo "bombardeo"-noun-es
"bombón"-noun-es "ĉokoladbombono"-noun-eo
"ĉokoladbombono"-noun-eo "bombón"-noun-es
"bueno"-interjection-es "nu"-interjection-eo
"nu"-interjection-eo "bueno"-interjection-es
"buey"-noun-es "okso"-noun-eo
"okso"-noun-eo "buey"-noun-es
"carnicería"-noun-es "buĉistbutiko"-noun-eo
"buĉistbutiko"-noun-eo "carnicería"-noun-es
"budista"-adjective-es "budhana"-adjective-eo
"budhana"-adjective-eo "budista"-adjective-es
"burocrático"-adjective-es "burokratia"-adjective-eo
"burokratia"-adjective-eo "burocrático"-adjective-es
"chalé"-noun-es "ĉaleto"-noun-eo
"ĉaleto"-noun-eo "chalé"-noun-es
"champaña"-noun-es "ĉampanvino"-noun-eo
"ĉampanvino"-noun-eo "champaña"-noun-es
"centenario"-noun-es "centjara datreveno"-noun-eo
"centjara datreveno"-noun-eo "centenario"-noun-es
"certeza"-noun-es "certo"-noun-eo
"certo"-noun-eo "certeza"-noun-es
"perennidad"-noun-es "pereneco"-noun-eo
"pereneco"-noun-eo "perennidad"-noun-es
"digitalización"-noun-es "ciferecigado"-noun-eo
"digitalización"-noun-es "bitigado"-noun-eo
"digitalización"-noun-es "bitigo"-noun-eo
"ciferecigado"-noun-eo "digitalización"-noun-es
"bitigado"-noun-eo "digitalización"-noun-es
"bitigo"-noun-eo "digitalización"-noun-es
"sionismo"-noun-es "sionismo"-noun-eo
"sionismo"-noun-eo "sionismo"-noun-es
"de tarde en tarde"-adverb-es "iam kaj tiam"-adverb-eo
"iam kaj tiam"-adverb-eo "de tarde en tarde"-adverb-es
"derechista"-noun-es "dekstristo"-noun-eo
"dekstristo"-noun-eo "derechista"-noun-es
"dignidad"-noun-es "digneco"-noun-eo
"digneco"-noun-eo "dignidad"-noun-es
"dilatación"-noun-es "dilatado"-noun-eo
"dilatado"-noun-eo "dilatación"-noun-es
"titulación"-noun-es "titolado"-noun-eo
"titolado"-noun-eo "titulación"-noun-es
"atomización"-noun-es "atomigo"-noun-eo
"atomización"-noun-es "atomiĝo"-noun-eo
"atomigo"-noun-eo "atomización"-noun-es
"atomiĝo"-noun-eo "atomización"-noun-es
"discriminar"-verb-es "diskrimini"-verb-eo
"diskrimini"-verb-eo "discriminar"-verb-es
"demarcación"-noun-es "limsignado"-noun-eo
"limsignado"-noun-eo "demarcación"-noun-es
"limsignado"-noun-eo "delimitación"-noun-es
"desenvolvimiento"-noun-es "disvolvado"-noun-eo
"desenvolvimiento"-noun-es "malvolvo"-noun-eo
"desenvolvimiento"-noun-es "malvolvado"-noun-eo
"desenvolvimiento"-noun-es "malenvolvo"-noun-eo
"desenvolvimiento"-noun-es "malvolviĝo"-noun-eo
"desenvolvimiento"-noun-es "malenvolviĝo"-noun-eo
"desenvolvimiento"-noun-es "malenvolvado"-noun-eo
"disvolvado"-noun-eo "desenvolvimiento"-noun-es
"malvolvo"-noun-eo "desenvolvimiento"-noun-es
"malvolvado"-noun-eo "desenvolvimiento"-noun-es
"malenvolvo"-noun-eo "desenvolvimiento"-noun-es
"malvolviĝo"-noun-eo "desenvolvimiento"-noun-es
"malenvolviĝo"-noun-eo "desenvolvimiento"-noun-es
"malenvolvado"-noun-eo "desenvolvimiento"-noun-es
"divorcio"-noun-es "eksedziinĝo"-noun-eo
"divorcio"-noun-es "eksgeedziĝo"-noun-eo
"eksedziinĝo"-noun-eo "divorcio"-noun-es
"eksgeedziĝo"-noun-eo "divorcio"-noun-es
"don"-noun-es "don"-noun-eo
"don"-noun-eo "don"-noun-es
"desagüe"-noun-es "elfluo"-noun-eo
"desagüe"-noun-es "elfluado"-noun-eo
"elfluo"-noun-eo "desagüe"-noun-es
"elfluado"-noun-eo "desagüe"-noun-es
"dual"-adjective-es "dunombra"-adjective-eo
"dunombra"-adjective-eo "dual"-adjective-es
"ducado"-noun-es "dukejdo"-noun-eo
"dukejdo"-noun-eo "ducado"-noun-es
"ex"-adjective-es "eks"-adjective-eo
"eks"-adjective-eo "ex"-adjective-es
"eks"-adjective-eo "ex-"-adjective-es
"ex-"-adjective-es "eks"-adjective-eo
"desmesurado"-adjective-es "senmodera"-adjective-eo
"senmodera"-adjective-eo "desmesurado"-adjective-es
"destitución"-noun-es "elpostenigo"-noun-eo
"elpostenigo"-noun-eo "destitución"-noun-es
"boom"-noun-es "kreskego"-noun-eo
"kreskego"-noun-eo "boom"-noun-es
"equivalente"-adjective-es "egalvalora"-adjective-eo
"equivalente"-adjective-es "samsignifa"-adjective-eo
"egalvalora"-adjective-eo "equivalente"-adjective-es
"samsignifa"-adjective-eo "equivalente"-adjective-es
"emigrante"-adjective-es "migrinta"-adjective-eo
"migrinta"-adjective-eo "emigrante"-adjective-es
"sustracción"-noun-es "substraho"-noun-eo
"substraho"-noun-eo "sustracción"-noun-es
"substraho"-noun-eo "resta"-noun-es
"recorte"-noun-es "eltondo"-noun-eo
"recorte"-noun-es "defalaĵoj"-noun-eo
"eltondo"-noun-eo "recorte"-noun-es
"defalaĵoj"-noun-eo "recorte"-noun-es
"evocación"-noun-es "elvokado"-noun-eo
"elvokado"-noun-eo "evocación"-noun-es
"ilustre"-adjective-es "distingita"-adjective-eo
"distingita"-adjective-eo "ilustre"-adjective-es
"emirato"-noun-es "emirujo"-noun-eo
"emirujo"-noun-eo "emirato"-noun-es
"hacia adentro"-adverb-es "interen"-adverb-eo
"interen"-adverb-eo "hacia adentro"-adverb-es
"encierro"-noun-es "enfermiteco"-noun-eo
"encierro"-noun-es "enkraligo"-noun-eo
"enfermiteco"-noun-eo "encierro"-noun-es
"enkraligo"-noun-eo "encierro"-noun-es
"localidad"-noun-es "loĝloko"-noun-eo
"loĝloko"-noun-eo "localidad"-noun-es
"loĝloko"-noun-eo "población"-noun-es
"implantación"-noun-es "enplantado"-noun-eo
"enplantado"-noun-eo "implantación"-noun-es
"memorización"-noun-es "parkerigado"-noun-eo
"parkerigado"-noun-eo "memorización"-noun-es
"inserción"-noun-es "insertado"-noun-eo
"insertado"-noun-eo "inserción"-noun-es
"empresario"-noun-es "dungisto"-noun-eo
"dungisto"-noun-eo "empresario"-noun-es
"escapada"-noun-es "forkuro"-noun-eo
"forkuro"-noun-eo "escapada"-noun-es
"posterioridad"-noun-es "malantaŭeco"-noun-eo
"malantaŭeco"-noun-eo "posterioridad"-noun-es
"etnográfico"-adjective-es "etnografa"-adjective-eo
"etnografa"-adjective-eo "etnográfico"-adjective-es
"Eugenio"-properNoun-es "Eugenio"-properNoun-eo
"Eugenio"-properNoun-eo "Eugenio"-properNoun-es
"evangelización"-noun-es "evangelizo"-noun-eo
"evangelizo"-noun-eo "evangelización"-noun-es
"facilidad"-noun-es "facilaĵo"-noun-eo
"facilaĵo"-noun-eo "facilidad"-noun-es
"famoso"-adjective-es "famkonata"-adjective-eo
"famkonata"-adjective-eo "famoso"-adjective-es
"gentilicio"-noun-es "laŭlanda nomo"-noun-eo
"laŭlanda nomo"-noun-eo "gentilicio"-noun-es
"pomo"-noun-es "tirilo"-noun-eo
"tirilo"-noun-eo "pomo"-noun-es
"fertilización"-noun-es "fekundiĝo"-noun-eo
"fekundiĝo"-noun-eo "fertilización"-noun-es
"efigie"-noun-es "monerfiguro"-noun-eo
"efigie"-noun-es "surmona portreto"-noun-eo
"monerfiguro"-noun-eo "efigie"-noun-es
"surmona portreto"-noun-eo "efigie"-noun-es
"fosa"-noun-es "foso"-noun-eo
"fosa"-noun-es "tombofoso"-noun-eo
"foso"-noun-eo "fosa"-noun-es
"tombofoso"-noun-eo "fosa"-noun-es
"goloso"-adjective-es "dolĉema"-adjective-eo
"dolĉema"-adjective-eo "goloso"-adjective-es
"frontalmente"-adverb-es "frunte"-adverb-eo
"frunte"-adverb-eo "frontalmente"-adverb-es
"helada"-noun-es "gelo"-noun-eo
"gelo"-noun-eo "helada"-noun-es
"vesícula biliar"-noun-es "gala veziko"-noun-eo
"gala veziko"-noun-eo "vesícula biliar"-noun-es
"jardinero"-noun-es "florbreto"-noun-eo
"florbreto"-noun-eo "jardinero"-noun-es
"Galia"-properNoun-es "Gallio"-properNoun-eo
"Gallio"-properNoun-eo "Galia"-properNoun-es
"genital"-adjective-es "generila"-adjective-eo
"generila"-adjective-eo "genital"-adjective-es
"gentil"-adjective-es "goja"-adjective-eo
"gentil"-adjective-es "nejuda"-adjective-eo
"goja"-adjective-eo "gentil"-adjective-es
"nejuda"-adjective-eo "gentil"-adjective-es
"vaquero"-noun-es "bovisto"-noun-eo
"bovisto"-noun-eo "vaquero"-noun-es
"transferir"-verb-es "transpagi"-verb-eo
"transpagi"-verb-eo "transferir"-verb-es
"comilón"-noun-es "manĝemulo"-noun-eo
"comilón"-noun-es "manĝego"-noun-eo
"manĝemulo"-noun-eo "comilón"-noun-es
"manĝego"-noun-eo "comilón"-noun-es
"sémola"-noun-es "semolo"-noun-eo
"sémola"-noun-es "gria faruno"-noun-eo
"semolo"-noun-eo "sémola"-noun-es
"gria faruno"-noun-eo "sémola"-noun-es
"grosella"-noun-es "ribobero"-noun-eo
"grosella"-noun-es "ruĝa ribo"-noun-eo
"ribobero"-noun-eo "grosella"-noun-es
"ruĝa ribo"-noun-eo "grosella"-noun-es
"grava"-noun-es "ŝotro"-noun-eo
"ŝotro"-noun-eo "grava"-noun-es
"dirigente"-adjective-es "estra"-adjective-eo
"estra"-adjective-eo "dirigente"-adjective-es
"oficioso"-adjective-es "duonoficiala"-adjective-eo
"duonoficiala"-adjective-eo "oficioso"-adjective-es
"vacilación"-noun-es "hezitado"-noun-eo
"hezitado"-noun-eo "vacilación"-noun-es
"híbrido"-noun-es "hibridaĵo"-noun-eo
"hibridaĵo"-noun-eo "híbrido"-noun-es
"hidroavión"-noun-es "hidroaeroplano"-noun-eo
"hidroaeroplano"-noun-eo "hidroavión"-noun-es
"quimo"-noun-es "ĉimo"-noun-eo
"ĉimo"-noun-eo "quimo"-noun-es
"quitina"-noun-es "kitino"-noun-eo
"kitino"-noun-eo "quitina"-noun-es
"hombre"-noun-es "malino"-noun-eo
"malino"-noun-eo "hombre"-noun-es
"escalofriante"-adjective-es "har-stariga"-adjective-eo
"escalofriante"-adjective-es "spin-vibriga"-adjective-eo
"har-stariga"-adjective-eo "escalofriante"-adjective-es
"spin-vibriga"-adjective-eo "escalofriante"-adjective-es
"identificación"-noun-es "identigado"-noun-eo
"identigado"-noun-eo "identificación"-noun-es
"equipo"-noun-es "ekipo"-noun-eo
"ekipo"-noun-eo "equipo"-noun-es
"impertinente"-adjective-es "entrudulo"-adjective-eo
"entrudulo"-adjective-eo "impertinente"-adjective-es
"impetuoso"-adjective-es "impetema"-adjective-eo
"impetema"-adjective-eo "impetuoso"-adjective-es
"señorial"-adjective-es "sinjora"-adjective-eo
"señorial"-adjective-es "senjora"-adjective-eo
"sinjora"-adjective-eo "señorial"-adjective-es
"senjora"-adjective-eo "señorial"-adjective-es
"indignado"-adjective-es "indignoplena"-adjective-eo
"indignoplena"-adjective-eo "indignado"-adjective-es
"infinito"-noun-es "senfino"-noun-eo
"infinito"-noun-es "nefinio"-noun-eo
"senfino"-noun-eo "infinito"-noun-es
"nefinio"-noun-eo "infinito"-noun-es
"inclusión"-noun-es "inkludado"-noun-eo
"inkludado"-noun-eo "inclusión"-noun-es
"reiteradamente"-adverb-es "ripete"-adverb-eo
"ripete"-adverb-eo "reiteradamente"-adverb-es
"insolencia"-noun-es "insolentaĵo"-noun-eo
"insolentaĵo"-noun-eo "insolencia"-noun-es
"comando"-noun-es "sturmo-taĉmento"-noun-eo
"sturmo-taĉmento"-noun-eo "comando"-noun-es
"negociador"-adjective-es "negocanta"-adjective-eo
"negocanta"-adjective-eo "negociador"-adjective-es
"paulatinamente"-adverb-es "laŭgrade"-adverb-eo
"paulatinamente"-adverb-es "poiome"-adverb-eo
"laŭgrade"-adverb-eo "paulatinamente"-adverb-es
"laŭgrade"-adverb-eo "gradualmente"-adverb-es
"poiome"-adverb-eo "paulatinamente"-adverb-es
"practicable"-adjective-es "surirebla"-adjective-eo
"surirebla"-adjective-eo "practicable"-adjective-es
"surirebla"-adjective-eo "transitable"-adjective-es
"transitable"-adjective-es "surirebla"-adjective-eo
"mahometano"-adjective-es "mahometano"-adjective-eo
"mahometano"-adjective-eo "mahometano"-adjective-es
"semestre"-noun-es "sesmonato"-noun-eo
"sesmonato"-noun-eo "semestre"-noun-es
"Jerónimo"-properNoun-es "Jerónimo"-properNoun-eo
"Jerónimo"-properNoun-eo "Jerónimo"-properNoun-es
"rural"-adjective-es "rura"-adjective-eo
"rura"-adjective-eo "rural"-adjective-es
"candidatura"-noun-es "kandidatlisto"-noun-eo
"kandidatlisto"-noun-eo "candidatura"-noun-es
"cantábrico"-adjective-es "kantabria"-adjective-eo
"kantabria"-adjective-eo "cantábrico"-adjective-es
"kantabria"-adjective-eo "cántabro"-adjective-es
"cántabro"-adjective-es "kantabria"-adjective-eo
"castellano"-noun-es "kastilano"-noun-eo
"kastilano"-noun-eo "castellano"-noun-es
"gatito"-noun-es "katineto"-noun-eo
"katineto"-noun-eo "gatito"-noun-es
"que"-subordinatingConjunction-es "ol"-subordinatingConjunction-eo
"ol"-subordinatingConjunction-eo "que"-subordinatingConjunction-es
"neurálgico"-adjective-es "neŭralgia"-adjective-eo
"neŭralgia"-adjective-eo "neurálgico"-adjective-es
"braza"-noun-es "brustonaĝado"-noun-eo
"brustonaĝado"-noun-eo "braza"-noun-es
"aclaración"-noun-es "klariĝo"-noun-eo
"klariĝo"-noun-eo "aclaración"-noun-es
"klariĝo"-noun-eo "clarificación"-noun-es
"clarificación"-noun-es "klariĝo"-noun-eo
"Claudio"-properNoun-es "Claudio"-properNoun-eo
"Claudio"-properNoun-eo "Claudio"-properNoun-es
"clavicordio"-noun-es "klavceno"-noun-eo
"klavceno"-noun-eo "clavicordio"-noun-es
"Cleopatra"-properNoun-es "Cleopatra"-properNoun-eo
"Cleopatra"-properNoun-eo "Cleopatra"-properNoun-es
"desgraciado"-adjective-es "senfortuna"-adjective-eo
"senfortuna"-adjective-eo "desgraciado"-adjective-es
"compilador"-noun-es "kompilisto"-noun-eo
"kompilisto"-noun-eo "compilador"-noun-es
"comunión"-noun-es "komuniiĝo"-noun-eo
"komuniiĝo"-noun-eo "comunión"-noun-es
"condenado"-noun-es "damnito"-noun-eo
"damnito"-noun-eo "condenado"-noun-es
"confederación"-noun-es "konfedero"-noun-eo
"konfedero"-noun-eo "confederación"-noun-es
"conservadurismo"-noun-es "konservativeco"-noun-eo
"konservativeco"-noun-eo "conservadurismo"-noun-es
"constructor"-noun-es "konstrukompanio"-noun-eo
"konstrukompanio"-noun-eo "constructor"-noun-es
"consumismo"-noun-es "konsumemo"-noun-eo
"konsumemo"-noun-eo "consumismo"-noun-es
"ilegal"-adjective-es "malleĝa"-adjective-eo
"malleĝa"-adjective-eo "ilegal"-adjective-es
"enfrentamiento"-noun-es "alfronto"-noun-eo
"alfronto"-noun-eo "enfrentamiento"-noun-es
"cardíaco"-adjective-es "kormalsana"-adjective-eo
"kormalsana"-adjective-eo "cardíaco"-adjective-es
"cuervo"-noun-es "granda korvo"-noun-eo
"granda korvo"-noun-eo "cuervo"-noun-es
"Cristo"-properNoun-es "Cristo"-properNoun-eo
"Cristo"-properNoun-eo "Cristo"-properNoun-es
"croqueta"-noun-es "krokedo"-noun-eo
"krokedo"-noun-eo "croqueta"-noun-es
"cocina"-noun-es "kuir-arto"-noun-eo
"kuir-arto"-noun-eo "cocina"-noun-es
"conjunto"-adjective-es "kombinita"-adjective-eo
"kombinita"-adjective-eo "conjunto"-adjective-es
"coordinación"-noun-es "kunordiĝo"-noun-eo
"kunordiĝo"-noun-eo "coordinación"-noun-es
"empalmar"-verb-es "junti"-verb-eo
"empalmar"-verb-es "kunrespondi"-verb-eo
"junti"-verb-eo "empalmar"-verb-es
"kunrespondi"-verb-eo "empalmar"-verb-es
"calificación"-noun-es "kvalifo"-noun-eo
"kvalifo"-noun-eo "calificación"-noun-es
"latón"-noun-es "flava kupro"-noun-eo
"flava kupro"-noun-eo "latón"-noun-es
"asignatura"-noun-es "lernoobjekto"-noun-eo
"lernoobjekto"-noun-eo "asignatura"-noun-es
"diestro"-adjective-es "dekstramana"-adjective-eo
"dekstramana"-adjective-eo "diestro"-adjective-es
"libertario"-adjective-es "libertariana"-adjective-eo
"libertariana"-adjective-eo "libertario"-adjective-es
"enlace"-noun-es "kunrespondo"-noun-eo
"enlace"-noun-es "komencloko"-noun-eo
"kunrespondo"-noun-eo "enlace"-noun-es
"komencloko"-noun-eo "enlace"-noun-es
"limitación"-noun-es "limiĝo"-noun-eo
"limiĝo"-noun-eo "limitación"-noun-es
"población"-noun-es "loĝloko"-noun-eo
"población"-noun-es "popolado"-noun-eo
"popolado"-noun-eo "población"-noun-es
"aleatorio"-adjective-es "aleatora"-adjective-eo
"aleatora"-adjective-eo "aleatorio"-adjective-es
"luxemburgués"-adjective-es "luksemburgia"-adjective-eo
"luksemburgia"-adjective-eo "luxemburgués"-adjective-es
"macroeconomía"-noun-es "makroekonomiko"-noun-eo
"makroekonomiko"-noun-eo "macroeconomía"-noun-es
"bajo"-adverb-es "base"-adverb-eo
"base"-adverb-eo "bajo"-adverb-es
"generosamente"-adverb-es "sindoneme"-adverb-eo
"sindoneme"-adverb-eo "generosamente"-adverb-es
"izquierdista"-noun-es "maldekstristo"-noun-eo
"maldekstristo"-noun-eo "izquierdista"-noun-es
"desesperación"-noun-es "despero"-noun-eo
"desesperación"-noun-es "senespero"-noun-eo
"despero"-noun-eo "desesperación"-noun-es
"senespero"-noun-eo "desesperación"-noun-es
"abiertamente"-adverb-es "aperte"-adverb-eo
"abiertamente"-adverb-es "malferme"-adverb-eo
"aperte"-adverb-eo "abiertamente"-adverb-es
"malferme"-adverb-eo "abiertamente"-adverb-es
"afligido"-adjective-es "afliktita"-adjective-eo
"afliktita"-adjective-eo "afligido"-adjective-es
"tristeza"-noun-es "tristo"-noun-eo
"tristeza"-noun-es "tristeco"-noun-eo
"tristo"-noun-eo "tristeza"-noun-es
"tristeco"-noun-eo "tristeza"-noun-es
"desinstalación"-noun-es "malinstaliĝo"-noun-eo
"malinstaliĝo"-noun-eo "desinstalación"-noun-es
"confusamente"-adverb-es "konfuze"-adverb-eo
"konfuze"-adverb-eo "confusamente"-adverb-es
"cobarde"-noun-es "kovardulo"-noun-eo
"cobarde"-noun-es "poltronulo"-noun-eo
"cobarde"-noun-es "senkuraĝulo"-noun-eo
"kovardulo"-noun-eo "cobarde"-noun-es
"poltronulo"-noun-eo "cobarde"-noun-es
"senkuraĝulo"-noun-eo "cobarde"-noun-es
"vulneración"-noun-es "malobservado"-noun-eo
"malobservado"-noun-eo "vulneración"-noun-es
"desorganización"-noun-es "misorganizo"-noun-eo
"desorganización"-noun-es "misorganizado"-noun-eo
"misorganizo"-noun-eo "desorganización"-noun-es
"misorganizado"-noun-eo "desorganización"-noun-es
"descendente"-adjective-es "descenda"-adjective-eo
"descendente"-adjective-es "malleviĝanta"-adjective-eo
"descenda"-adjective-eo "descendente"-adjective-es
"descenda"-adjective-eo "descendiente"-adjective-es
"malleviĝanta"-adjective-eo "descendente"-adjective-es
"capote"-noun-es "kapuĉmantelo"-noun-eo
"kapuĉmantelo"-noun-eo "capote"-noun-es
"empresarial"-adjective-es "entreprenista"-adjective-eo
"empresarial"-adjective-es "dungista"-adjective-eo
"empresarial"-adjective-es "mastrara"-adjective-eo
"entreprenista"-adjective-eo "empresarial"-adjective-es
"dungista"-adjective-eo "empresarial"-adjective-es
"mastrara"-adjective-eo "empresarial"-adjective-es
"mate"-noun-es "mateo"-noun-eo
"mateo"-noun-eo "mate"-noun-es
"mediación"-noun-es "mediaciado"-noun-eo
"mediaciado"-noun-eo "mediación"-noun-es
"mediaciado"-noun-eo "intermediación"-noun-es
"metropolitano"-adjective-es "metropolitena"-adjective-eo
"metropolitano"-adjective-es "metropolita"-adjective-eo
"metropolitena"-adjective-eo "metropolitano"-adjective-es
"metropolita"-adjective-eo "metropolitano"-adjective-es
"mesura"-noun-es "deteniĝemo"-noun-eo
"deteniĝemo"-noun-eo "mesura"-noun-es
"minero"-adjective-es "minista"-adjective-eo
"minista"-adjective-eo "minero"-adjective-es
"asombroso"-adjective-es "gapiga"-adjective-eo
"gapiga"-adjective-eo "asombroso"-adjective-es
"desdichado"-adjective-es "senŝanca"-adjective-eo
"senŝanca"-adjective-eo "desdichado"-adjective-es
"misionero"-adjective-es "misiista"-adjective-eo
"misiista"-adjective-eo "misionero"-adjective-es
"cordillera"-noun-es "montoĉeno"-noun-eo
"montoĉeno"-noun-eo "cordillera"-noun-es
"montoĉeno"-noun-eo "sierra"-noun-es
"sierra"-noun-es "montoĉeno"-noun-eo
"encarecimiento"-noun-es "plikostigo"-noun-eo
"plikostigo"-noun-eo "encarecimiento"-noun-es
"cándido"-adjective-es "senmalica"-adjective-eo
"senmalica"-adjective-eo "cándido"-adjective-es
"nabo"-noun-es "napobrasiko"-noun-eo
"napobrasiko"-noun-eo "nabo"-noun-es
"incompatibilidad"-noun-es "nekongruo"-noun-eo
"nekongruo"-noun-eo "incompatibilidad"-noun-es
"irregularidad"-noun-es "malregulaĵo"-noun-eo
"irregularidad"-noun-es "malreguleco"-noun-eo
"malregulaĵo"-noun-eo "irregularidad"-noun-es
"malreguleco"-noun-eo "irregularidad"-noun-es
"niobio"-noun-es "kolombio"-noun-eo
"kolombio"-noun-eo "niobio"-noun-es
"contador"-noun-es "kontilo"-noun-eo
"contador"-noun-es "mon-pruntisto"-noun-eo
"kontilo"-noun-eo "contador"-noun-es
"mon-pruntisto"-noun-eo "contador"-noun-es
"nórdico"-adjective-es "norena"-adjective-eo
"norena"-adjective-eo "nórdico"-adjective-es
"cancelación"-noun-es "nuliĝo"-noun-eo
"nuliĝo"-noun-eo "cancelación"-noun-es
"cero"-noun-es "nul"-noun-eo
"nul"-noun-eo "cero"-noun-es
"oftalmólogo"-noun-es "oftalmologiisto"-noun-eo
"oftalmologiisto"-noun-eo "oftalmólogo"-noun-es
"ocupación"-noun-es "okupad"-noun-eo
"okupad"-noun-eo "ocupación"-noun-es
"oligarquía"-noun-es "oligarkaro"-noun-eo
"oligarkaro"-noun-eo "oligarquía"-noun-es
"ordenación"-noun-es "ordinado"-noun-eo
"ordinado"-noun-eo "ordenación"-noun-es
"tregua"-noun-es "batal-paŭzo"-noun-eo
"tregua"-noun-es "milit-paŭzo"-noun-eo
"batal-paŭzo"-noun-eo "tregua"-noun-es
"batal-paŭzo"-noun-eo "alto el fuego"-noun-es
"milit-paŭzo"-noun-eo "tregua"-noun-es
"suspenso"-adjective-es "ĉesigita"-adjective-eo
"ĉesigita"-adjective-eo "suspenso"-adjective-es
"mentalidad"-noun-es "mensostato"-noun-eo
"mensostato"-noun-eo "mentalidad"-noun-es
"pentágono"-noun-es "kvinlatero"-noun-eo
"kvinlatero"-noun-eo "pentágono"-noun-es
"intermediación"-noun-es "mediaciado"-noun-eo
"gestor"-noun-es "mastrumanto"-noun-eo
"mastrumanto"-noun-eo "gestor"-noun-es
"perfección"-noun-es "perfektaĵo"-noun-eo
"perfektaĵo"-noun-eo "perfección"-noun-es
"traidor"-noun-es "perfidanto"-noun-eo
