English	Spanish	Correct/Wrong	Comments
pair-noun-en	pareja-noun-es	Correct	
over there-adverb-en	ahí-adverb-es	Correct	
four-numeral-en	cuatro-numeral-es	Correct	
attraction-noun-en	atractivo-noun-es	Correct	E.g., "turistic attraction" -> "atractivo turístico"
the Netherlands-properNoun-en	Holanda-properNoun-es	Correct	
twenty-four-numeral-en	veinticuatro-numeral-es	Correct	
French-adjective-en	francés-adjective-es	Correct	
in German-adverb-en	en alemán-adverb-es	Correct	
chain-noun-en	canal-noun-es	Wrong	
Pedro-properNoun-en	Pierre-properNoun-es	Wrong	
business-noun-en	comercio-noun-es	Correct	
whole-adjective-en	total-adjective-es	Correct	
the Netherlands-properNoun-en	Países Bajos-properNoun-es	Correct	
goal-noun-en	finalidad-noun-es	Correct	
reach-verb-en	conseguir-verb-es	Correct	
enter-verb-en	entrar-verb-es	Correct	
nice-adjective-en	bonito-adjective-es	Correct	
Iranian-adjective-en	iraní-adjective-es	Correct	
conceivably-adverb-en	quizás-adverb-es	Correct	maybe "posiblemente" is a more accurate translation, but I do not see "quizás" as an incorrect one
US-properNoun-en	EEUU-properNoun-es	Correct	
end-noun-en	plazo-noun-es	Wrong	they are close, though
a million-numeral-en	millón-numeral-es	Wrong	I'd say "un millón"
Navarra-properNoun-en	Nafarroa-properNoun-es	Wrong	
hall-noun-en	porche-noun-es	Wrong	
farm-noun-en	hacienda-noun-es	Correct	
news-noun-en	comunicado-noun-es	Wrong	
male-noun-en	hombre-noun-es	Correct	
joint-adjective-en	colectivo-adjective-es	Correct	
Czech-adjective-en	checo-adjective-es	Correct	
liberate-verb-en	liberar-verb-es	Correct	
story-noun-en	relato-noun-es	Correct	
esteem-noun-en	apreciación-noun-es	Wrong	I'd say "aprecio"
change-noun-en	intercambio-noun-es	Correct	
obvious-adjective-en	evidente-adjective-es	Correct	
violently-adverb-en	violentamente-adverb-es	Correct	
underline-verb-en	enfatizar-verb-es	Correct	
everlasting-adjective-en	eterno-adjective-es	Correct	
array-noun-en	conjunto-noun-es		I am not sure, they are close
lament-verb-en	lamentar-verb-es	Correct	
Danish-adjective-en	danés-adjective-es	Correct	
get hold of-verb-en	alcanzar-verb-es	Correct	
transplant-noun-en	transplante-noun-es	Correct	
sting-noun-en	pincho-noun-es	Wrong	I'd say "aguijón"
excessive-adjective-en	desmesurado-adjective-es	Correct	
personnel-noun-en	plantilla-noun-es	Correct	
support-verb-en	sostener-verb-es	Correct	
straight through-adverb-en	por completo-adverb-es		unsure
graduation-noun-en	gradación-noun-es	Correct	
here-adverb-en	allá-adverb-es	Wrong	
light up-verb-en	iluminar-verb-es	Correct	
continuous-adjective-en	incesante-adjective-es	Correct	
civil-adjective-en	amable-adjective-es	Correct	
clarify-verb-en	explicar-verb-es	Correct	
Scandinavian-adjective-en	escandinavo-adjective-es	Correct	
slacken-verb-en	soltar-verb-es	Correct	
gain-noun-en	adquisición-noun-es	Correct	
creation-noun-en	criatura-noun-es	Wrong	
sudden-adjective-en	inesperado-adjective-es	Correct	
Jordan-properNoun-en	Jourdain-properNoun-es	Wrong	
to the fore-adverb-en	a la cabeza-adverb-es	Correct	
sixty-one-numeral-en	sesenta y uno-numeral-es	Correct	
crew-noun-en	brigada-noun-es		unsure, maybe in some context that I do not know
reunion-noun-en	reunificación-noun-es	Correct	
nearby-adjective-en	próximo-adjective-es	Correct	
proper-adjective-en	adecuado-adjective-es	Correct	
visually-adverb-en	visualmente-adverb-es	Correct	
abolish-verb-en	abrogar-verb-es	Correct	
investigator-noun-en	investigador-noun-es	Correct	
gateway-noun-en	portal-noun-es	Correct	
likewise-adverb-en	igualmente-adverb-es	Correct	
Finnish-adjective-en	finés-adjective-es	Correct	
sixty-two-numeral-en	sesenta y dos-numeral-es	Correct	
essentially-adverb-en	máxime-adverb-es		it sounds correct but I'm not fully sure 
like this-adverb-en	tanto-adverb-es	Wrong	
timid-adjective-en	cobarde-adjective-es	Correct	
sixtieth-adjective-en	sexagésimo-adjective-es	Correct	
cup-noun-en	cáliz-noun-es	Correct	
especially-adverb-en	particularmente-adverb-es	Correct	
damage-verb-en	estropear-verb-es	Correct	
set off-verb-en	salir-verb-es		don't know
encouraging-adjective-en	esperanzador-adjective-es	Correct	
stuff-verb-en	rellenar-verb-es	Correct	
hunger-noun-en	antojo-noun-es	Wrong	they are close, though
complete-adjective-en	total-adjective-es	Correct	
wholly-adverb-en	por entero-adverb-es	Correct	
prime-adjective-en	primero-adjective-es	Correct	
Wikipedia-properNoun-en	Viquipèdia-properNoun-es	Wrong	
the UK-properNoun-en	Reino Unido-properNoun-es	Wrong	I'd say "el Reino Unido"
Bosnian-noun-en	bosnio-noun-es	Correct	
with great difficulty-adverb-en	apenas-adverb-es	Correct	
Scottish-adjective-en	escocés-adjective-es	Correct	
ECB-properNoun-en	BCE-properNoun-es	Correct	
jam-verb-en	bloquear-verb-es	Correct	
Second World War-properNoun-en	Primera Guerra mundial-properNoun-es	Wrong	
Castile-properNoun-en	Castella-properNoun-es	Wrong	
