"the other"-pronoun-en "l'altre"-pronoun-ca
"ActiveX"-noun-ca "ActiveX"-noun-en
"adularescence"-noun-en "adularescència"-noun-ca
"adularescència"-noun-ca "adularescence"-noun-en
"afterlife"-noun-en "més enllà"-noun-ca
"més enllà"-noun-ca "afterlife"-noun-en
"agrogeology"-noun-en "agrogeologia"-noun-ca
"agrogeologia"-noun-ca "agrogeology"-noun-en
"agrotourism"-noun-en "agroturisme"-noun-ca
"agroturisme"-noun-ca "agrotourism"-noun-en
"alcoholometry"-noun-en "alcoholimetria"-noun-ca
"alcoholimetria"-noun-ca "alcoholometry"-noun-en
"allitisation"-noun-en "al·litització"-noun-ca
"al·litització"-noun-ca "allitisation"-noun-en
"allophony"-noun-en "al·lofonia"-noun-ca
"al·lofonia"-noun-ca "allophony"-noun-en
"alveolectomy"-noun-en "alveolectomia"-noun-ca
"alveolectomia"-noun-ca "alveolectomy"-noun-en
"anemometry"-noun-en "anemometria"-noun-ca
"anemometria"-noun-ca "anemometry"-noun-en
"anticadence"-noun-en "anticadència"-noun-ca
"anticadència"-noun-ca "anticadence"-noun-en
"API"-noun-en "API"-noun-ca
"API"-noun-ca "API"-noun-en
"aquaplaning"-noun-en "hidroplanatge"-noun-ca
"hidroplanatge"-noun-ca "aquaplaning"-noun-en
"archery"-noun-en "tir amb arc"-noun-ca
"tir amb arc"-noun-ca "archery"-noun-en
"assembly"-adjective-en "assembleari"-adjective-ca
"assembleari"-adjective-ca "assembly"-adjective-en
"athermancy"-noun-en "atermància"-noun-ca
"atermància"-noun-ca "athermancy"-noun-en
"autocoding"-noun-en "autocodificació"-noun-ca
"autocodificació"-noun-ca "autocoding"-noun-en
"amitjanar"-verb-ca "average"-verb-en
"average"-verb-en "amitjanar"-verb-ca
"bacteriophagy"-noun-en "bacteriofàgia"-noun-ca
"bacteriofàgia"-noun-ca "bacteriophagy"-noun-en
"barotropy"-noun-en "barotropia"-noun-ca
"barotropia"-noun-ca "barotropy"-noun-en
"biamperometry"-noun-en "biamperometria"-noun-ca
"biamperometria"-noun-ca "biamperometry"-noun-en
"bioenergetics"-noun-en "bioenergètica"-noun-ca
"bioenergètica"-noun-ca "bioenergetics"-noun-en
"biometeorology"-noun-en "biometeorologia"-noun-ca
"biometeorologia"-noun-ca "biometeorology"-noun-en
"biopsychology"-noun-en "biopsicologia"-noun-ca
"biopsicologia"-noun-ca "biopsychology"-noun-en
"bioregulation"-noun-en "bioregulació"-noun-ca
"bioregulació"-noun-ca "bioregulation"-noun-en
"biostasy"-noun-en "biostàsia"-noun-ca
"biostàsia"-noun-ca "biostasy"-noun-en
"fer olorar la sang"-verb-ca "blood"-verb-en
"blood"-verb-en "fer olorar la sang"-verb-ca
"brachycrany"-noun-en "braquicrània"-noun-ca
"braquicrània"-noun-ca "brachycrany"-noun-en
"braille"-noun-en "braille"-noun-ca
"braille"-noun-ca "braille"-noun-en
"bromatometry"-noun-en "bromatometria"-noun-ca
"bromatometria"-noun-ca "bromatometry"-noun-en
"cartometry"-noun-en "cartometria"-noun-ca
"cartometria"-noun-ca "cartometry"-noun-en
"CDMA"-noun-en "CDMA"-noun-ca
"CDMA"-noun-ca "CDMA"-noun-en
"cheluviation"-noun-en "quelivació"-noun-ca
"quelivació"-noun-ca "cheluviation"-noun-en
"chemi-ionisation"-noun-en "quimioionització"-noun-ca
"quimioionització"-noun-ca "chemi-ionisation"-noun-en
"chromatopolarography"-noun-en "cromatopolarografia"-noun-ca
"cromatopolarografia"-noun-ca "chromatopolarography"-noun-en
"chromisation"-noun-en "cromització"-noun-ca
"cromització"-noun-ca "chromisation"-noun-en
"chronocoulometry"-noun-en "cronocoulombimetria"-noun-ca
"cronocoulombimetria"-noun-ca "chronocoulometry"-noun-en
"chronopotentiometry"-noun-en "cronopotenciometria"-noun-ca
"cronopotenciometria"-noun-ca "chronopotentiometry"-noun-en
"clinodactyly"-noun-en "clinodactília"-noun-ca
"clinodactília"-noun-ca "clinodactyly"-noun-en
"CO 2"-noun-en "CO₂"-noun-ca
"CO₂"-noun-ca "CO 2"-noun-en
"cochromatography"-noun-en "cocromatografia"-noun-ca
"cocromatografia"-noun-ca "cochromatography"-noun-en
"codisposal"-noun-en "codeposició"-noun-ca
"codeposició"-noun-ca "codisposal"-noun-en
"complexometry"-noun-en "complexometria"-noun-ca
"complexometria"-noun-ca "complexometry"-noun-en
"conductometry"-noun-en "conductometria"-noun-ca
"conductometria"-noun-ca "conductometry"-noun-en
"copyright"-verb-en "registrar els drets d'autor"-verb-ca
"registrar els drets d'autor"-verb-ca "copyright"-verb-en
"crinophagy"-noun-en "crinofàgia"-noun-ca
"crinofàgia"-noun-ca "crinophagy"-noun-en
"CSMA/CA"-noun-en "CSMA/CA"-noun-ca
"CSMA/CA"-noun-ca "CSMA/CA"-noun-en
"CSMA/CD"-noun-en "CSMA/CD"-noun-ca
"CSMA/CD"-noun-ca "CSMA/CD"-noun-en
"CSMA"-noun-en "CSMA"-noun-ca
"CSMA"-noun-ca "CSMA"-noun-en
"cutinisation"-noun-en "cutinització"-noun-ca
"cutinització"-noun-ca "cutinisation"-noun-en
"cytogenetics"-noun-en "citogenètica"-noun-ca
"citogenètica"-noun-ca "cytogenetics"-noun-en
"dactyloscopy"-noun-en "dactiloscòpia"-noun-ca
"dactiloscòpia"-noun-ca "dactyloscopy"-noun-en
"dephosphorisation"-noun-en "desfosforació"-noun-ca
"desfosforació"-noun-ca "dephosphorisation"-noun-en
"desensitisation"-noun-en "dessensibilització"-noun-ca
"dessensibilització"-noun-ca "desensitisation"-noun-en
"detribalisation"-noun-en "destribalització"-noun-ca
"destribalització"-noun-ca "detribalisation"-noun-en
"devitalisation"-noun-en "desvitalització"-noun-ca
"desvitalització"-noun-ca "devitalisation"-noun-en
"diathermancy"-noun-en "diatermància"-noun-ca
"diatermància"-noun-ca "diathermancy"-noun-en
"dichromatometry"-noun-en "dicromatometria"-noun-ca
"dicromatometria"-noun-ca "dichromatometry"-noun-en
"dielectrometry"-noun-en "dielectrometria"-noun-ca
"dielectrometria"-noun-ca "dielectrometry"-noun-en
"dimension"-verb-en "dimensionar"-verb-ca
"dimensionar"-verb-ca "dimension"-verb-en
"disestablishment"-noun-en "separació de l'Estat"-noun-ca
"separació de l'Estat"-noun-ca "disestablishment"-noun-en
"dispermy"-noun-en "dispèrmia"-noun-ca
"dispèrmia"-noun-ca "dispermy"-noun-en
"dressage"-noun-en "doma clàssica"-noun-ca
"doma clàssica"-noun-ca "dressage"-noun-en
"ecomanagement"-noun-en "ecogestió"-noun-ca
"ecogestió"-noun-ca "ecomanagement"-noun-en
"ecumene"-noun-en "ecumene"-noun-ca
"ecumene"-noun-ca "ecumene"-noun-en
"electrography"-noun-en "electrografia"-noun-ca
"electrografia"-noun-ca "electrography"-noun-en
"electrogravimetry"-noun-en "electrogravimetria"-noun-ca
"electrogravimetria"-noun-ca "electrogravimetry"-noun-en
"electrokinetics"-noun-en "electrocinètica"-noun-ca
"electrocinètica"-noun-ca "electrokinetics"-noun-en
"electromechanics"-noun-en "electromecànica"-noun-ca
"electromecànica"-noun-ca "electromechanics"-noun-en
"electrometallurgy"-noun-en "electrometal·lúrgia"-noun-ca
"electrometal·lúrgia"-noun-ca "electrometallurgy"-noun-en
"electrotyping"-noun-en "galvanotípia"-noun-ca
"galvanotípia"-noun-ca "electrotyping"-noun-en
"embourgeoisement"-noun-en "aburgesament"-noun-ca
"aburgesament"-noun-ca "embourgeoisement"-noun-en
"emphaticalness"-noun-en "emfatització"-noun-ca
"emfatització"-noun-ca "emphaticalness"-noun-en
"encephalitis"-noun-en "encefalitis"-noun-ca
"encefalitis"-noun-ca "encephalitis"-noun-en
"endodontology"-noun-en "endodontologia"-noun-ca
"endodontologia"-noun-ca "endodontology"-noun-en
"endometry"-noun-en "endometria"-noun-ca
"endometria"-noun-ca "endometry"-noun-en
"ensiling"-noun-en "ensitjament"-noun-ca
"ensitjament"-noun-ca "ensiling"-noun-en
"epidometry"-noun-en "epidometria"-noun-ca
"epidometria"-noun-ca "epidometry"-noun-en
"ethnoarchaeology"-noun-en "etnoarqueologia"-noun-ca
"etnoarqueologia"-noun-ca "ethnoarchaeology"-noun-en
"ethnopsychology"-noun-en "etnopsicologia"-noun-ca
"etnopsicologia"-noun-ca "ethnopsychology"-noun-en
"false positive"-adjective-en "fals positiu"-adjective-ca
"fals positiu"-adjective-ca "false positive"-adjective-en
"FDMA"-noun-en "FDMA"-noun-ca
"FDMA"-noun-ca "FDMA"-noun-en
"fetoscopy"-noun-en "fetoscòpia"-noun-ca
"fetoscòpia"-noun-ca "fetoscopy"-noun-en
"fornicotomy"-noun-en "fornicotomia"-noun-ca
"fornicotomia"-noun-ca "fornicotomy"-noun-en
"gelat"-adjective-ca "chilled"-adjective-en
"chilled"-adjective-en "gelat"-adjective-ca
"geothermics"-noun-en "geotèrmia"-noun-ca
"geotèrmia"-noun-ca "geothermics"-noun-en
"GHG"-noun-en "gas d'efecte d'hivernacle"-noun-ca
"gas d'efecte d'hivernacle"-noun-ca "GHG"-noun-en
"Gibraltarian"-adjective-en "gibraltareny"-adjective-ca
"gibraltareny"-adjective-ca "Gibraltarian"-adjective-en
"gnathology"-noun-en "gnatologia"-noun-ca
"gnatologia"-noun-ca "gnathology"-noun-en
"grain"-verb-en "granular"-verb-ca
"granular"-verb-ca "grain"-verb-en
"granulocytopenia"-noun-en "granulocitopènia"-noun-ca
"granulocitopènia"-noun-ca "granulocytopenia"-noun-en
"Haitian"-adjective-en "haitià"-adjective-ca
"haitià"-adjective-ca "Haitian"-adjective-en
"heliotechnology"-noun-en "heliotècnia"-noun-ca
"heliotècnia"-noun-ca "heliotechnology"-noun-en
"hemocytology"-noun-en "hemocitologia"-noun-ca
"hemocitologia"-noun-ca "hemocytology"-noun-en
"hepatoscopy"-noun-en "hepatoscòpia"-noun-ca
"hepatoscòpia"-noun-ca "hepatoscopy"-noun-en
"Honduran"-adjective-en "hondureny"-adjective-ca
"hondureny"-adjective-ca "Honduran"-adjective-en
"hydroextraction"-noun-en "hidroextracció"-noun-ca
"hidroextracció"-noun-ca "hydroextraction"-noun-en
"hydrogeography"-noun-en "hidrogeografia"-noun-ca
"hidrogeografia"-noun-ca "hydrogeography"-noun-en
"hydrogeomorphology"-noun-en "hidrogeomorfologia"-noun-ca
"hidrogeomorfologia"-noun-ca "hydrogeomorphology"-noun-en
"hydrometallurgy"-noun-en "hidrometal·lúrgia"-noun-ca
"hidrometal·lúrgia"-noun-ca "hydrometallurgy"-noun-en
"hydrometeorology"-noun-en "hidrometeorologia"-noun-ca
"hidrometeorologia"-noun-ca "hydrometeorology"-noun-en
"hydroseeding"-noun-en "hidrosembra"-noun-ca
"hidrosembra"-noun-ca "hydroseeding"-noun-en
"hygroscopy"-noun-en "higroscòpia"-noun-ca
"higroscòpia"-noun-ca "hygroscopy"-noun-en
"hyperonymy"-noun-en "hiperonímia"-noun-ca
"hiperonímia"-noun-ca "hyperonymy"-noun-en
"hypokinesia"-noun-en "hipocinèsia"-noun-ca
"hipocinèsia"-noun-ca "hypokinesia"-noun-en
"hyposensitisation"-noun-en "hiposensibilització"-noun-ca
"hiposensibilització"-noun-ca "hyposensitisation"-noun-en
"hyposystole"-noun-en "hiposistòlia"-noun-ca
"hiposistòlia"-noun-ca "hyposystole"-noun-en
"hypsobatimetry"-noun-en "hipsobatimetria"-noun-ca
"hipsobatimetria"-noun-ca "hypsobatimetry"-noun-en
"hypsography"-noun-en "hipsografia"-noun-ca
"hipsografia"-noun-ca "hypsography"-noun-en
"immunotolerance"-noun-en "immunotolerància"-noun-ca
"immunotolerància"-noun-ca "immunotolerance"-noun-en
"immunohematology"-noun-en "immunohematologia"-noun-ca
"immunohematologia"-noun-ca "immunohematology"-noun-en
"innatism"-noun-en "innatisme"-noun-ca
"innatisme"-noun-ca "innatism"-noun-en
"iodimetry"-noun-en "iodimetria"-noun-ca
"iodimetria"-noun-ca "iodimetry"-noun-en
"iodometry"-noun-en "iodometria"-noun-ca
"iodometria"-noun-ca "iodometry"-noun-en
"kinesiotherapy"-noun-en "cinesiteràpia"-noun-ca
"cinesiteràpia"-noun-ca "kinesiotherapy"-noun-en
"knight"-verb-en "ordenar cavaller"-verb-ca
"ordenar cavaller"-verb-ca "knight"-verb-en
"labiovelarisation"-noun-en "labiovelarització"-noun-ca
"labiovelarització"-noun-ca "labiovelarisation"-noun-en
"labradorescence"-noun-en "labradorescència"-noun-ca
"labradorescència"-noun-ca "labradorescence"-noun-en
"lagophthalmos"-noun-en "lagoftàlmia"-noun-ca
"lagoftàlmia"-noun-ca "lagophthalmos"-noun-en
"landscape"-verb-en "enjardinar"-verb-ca
"enjardinar"-verb-ca "landscape"-verb-en
"laryngography"-noun-en "laringografia"-noun-ca
"laringografia"-noun-ca "laryngography"-noun-en
"lexicometry"-noun-en "lexicometria"-noun-ca
"lexicometria"-noun-ca "lexicometry"-noun-en
"lupus"-noun-en "lupus"-noun-ca
"lupus"-noun-ca "lupus"-noun-en
"macroglia"-noun-en "macròglia"-noun-ca
"macròglia"-noun-ca "macroglia"-noun-en
"macroglossia"-noun-en "macroglòssia"-noun-ca
"macroglòssia"-noun-ca "macroglossia"-noun-en
"macrometeorology"-noun-en "macrometeorologia"-noun-ca
"macrometeorologia"-noun-ca "macrometeorology"-noun-en
"macrosociology"-noun-en "macrosociologia"-noun-ca
"macrosociologia"-noun-ca "macrosociology"-noun-en
"Manx"-noun-en "gaèlic manx"-noun-ca
"gaèlic manx"-noun-ca "Manx"-noun-en
"megalocephaly"-noun-en "megacefàlia"-noun-ca
"megacefàlia"-noun-ca "megalocephaly"-noun-en
"meralgia"-noun-en "meràlgia"-noun-ca
"meràlgia"-noun-ca "meralgia"-noun-en
"merotomy"-noun-en "merotomia"-noun-ca
"merotomia"-noun-ca "merotomy"-noun-en
"mesometeorology"-noun-en "mesometeorologia"-noun-ca
"mesometeorologia"-noun-ca "mesometeorology"-noun-en
"metacartography"-noun-en "metacartografia"-noun-ca
"metacartografia"-noun-ca "metacartography"-noun-en
"metallochromy"-noun-en "metal·locromia"-noun-ca
"metal·locromia"-noun-ca "metallochromy"-noun-en
"metascience"-noun-en "metaciència"-noun-ca
"metaciència"-noun-ca "metascience"-noun-en
"microclimatology"-noun-en "microclimatologia"-noun-ca
"microclimatologia"-noun-ca "microclimatology"-noun-en
"microcomputing"-noun-en "microinformàtica"-noun-ca
"microinformàtica"-noun-ca "microcomputing"-noun-en
"microglia"-noun-en "micròglia"-noun-ca
"micròglia"-noun-ca "microglia"-noun-en
"micrometeorology"-noun-en "micrometeorologia"-noun-ca
"micrometeorologia"-noun-ca "micrometeorology"-noun-en
"micromorphology"-noun-en "micromorfologia"-noun-ca
"micromorfologia"-noun-ca "micromorphology"-noun-en
"micronisation"-noun-en "micronització"-noun-ca
"micronització"-noun-ca "micronisation"-noun-en
"monosemy"-noun-en "monosèmia"-noun-ca
"monosèmia"-noun-ca "monosemy"-noun-en
"monospermy"-noun-en "monospèrmia"-noun-ca
"monospèrmia"-noun-ca "monospermy"-noun-en
"mortise"-verb-en "mortasar"-verb-ca
"mortasar"-verb-ca "mortise"-verb-en
"morulation"-noun-en "morulació"-noun-ca
"morulació"-noun-ca "morulation"-noun-en
"multimedia"-noun-en "multimèdia"-noun-ca
"multimèdia"-noun-ca "multimedia"-noun-en
"nitride"-verb-en "nitrurar"-verb-ca
"nitrurar"-verb-ca "nitride"-verb-en
"nonfiction"-noun-en "no-ficció"-noun-ca
"no-ficció"-noun-ca "nonfiction"-noun-en
"nonretroactivity"-noun-en "irretroactivitat"-noun-ca
"irretroactivitat"-noun-ca "nonretroactivity"-noun-en
"nutraceutical"-adjective-en "nutricèutic"-adjective-ca
"nutricèutic"-adjective-ca "nutraceutical"-adjective-en
"OFDMA"-noun-en "OFDMA"-noun-ca
"OFDMA"-noun-ca "OFDMA"-noun-en
"olfactometry"-noun-en "olfactometria"-noun-ca
"olfactometria"-noun-ca "olfactometry"-noun-en
"oligodendria"-noun-en "oligodèndria"-noun-ca
"oligodèndria"-noun-ca "oligodendria"-noun-en
"oligodendroglia"-noun-en "oligodendròglia"-noun-ca
"oligodendròglia"-noun-ca "oligodendroglia"-noun-en
"onychophagy"-noun-en "onicofàgia"-noun-ca
"onicofàgia"-noun-ca "onychophagy"-noun-en
"orbitonometry"-noun-en "orbitonometria"-noun-ca
"orbitonometria"-noun-ca "orbitonometry"-noun-en
"organogeny"-noun-en "organogènia"-noun-ca
"organogènia"-noun-ca "organogeny"-noun-en
"orthopantomography"-noun-en "ortopantomografia"-noun-ca
"ortopantomografia"-noun-ca "orthopantomography"-noun-en
"oscillometry"-noun-en "oscil·lometria"-noun-ca
"oscil·lometria"-noun-ca "oscillometry"-noun-en
"overcompression"-noun-en "sobrecompressió"-noun-ca
"sobrecompressió"-noun-ca "overcompression"-noun-en
"overemployment"-noun-en "sobreocupació"-noun-ca
"sobreocupació"-noun-ca "overemployment"-noun-en
"overfishing"-noun-en "sobrepesca"-noun-ca
"sobrepesca"-noun-ca "overfishing"-noun-en
"overpunching"-noun-en "sobreperforació"-noun-ca
"sobreperforació"-noun-ca "overpunching"-noun-en
"overtraining"-noun-en "sobreentrenament"-noun-ca
"sobreentrenament"-noun-ca "overtraining"-noun-en
"palaeoceanography"-noun-en "paleoceanografia"-noun-ca
"paleoceanografia"-noun-ca "palaeoceanography"-noun-en
"palatography"-noun-en "palatografia"-noun-ca
"palatografia"-noun-ca "palatography"-noun-en
"Panamanian"-adjective-en "panameny"-adjective-ca
"panameny"-adjective-ca "Panamanian"-adjective-en
"pancreatography"-noun-en "pancreatografia"-noun-ca
"pancreatografia"-noun-ca "pancreatography"-noun-en
"pantography"-noun-en "pantografia"-noun-ca
"pantografia"-noun-ca "pantography"-noun-en
"parthenocarpy"-noun-en "partenocàrpia"-noun-ca
"partenocàrpia"-noun-ca "parthenocarpy"-noun-en
"part"-adjective-ca "Parthian"-adjective-en
"Parthian"-adjective-en "part"-adjective-ca
"peak"-verb-en "assolir el punt màxim"-verb-ca
"assolir el punt màxim"-verb-ca "peak"-verb-en
"pediculation"-noun-en "pediculació"-noun-ca
"pediculació"-noun-ca "pediculation"-noun-en
"permanganometry"-noun-en "permanganimetria"-noun-ca
"permanganimetria"-noun-ca "permanganometry"-noun-en
"phototypesetting"-noun-en "fotocompaginació"-noun-ca
"fotocompaginació"-noun-ca "phototypesetting"-noun-en
"phytopharmacology"-noun-en "fitofarmacologia"-noun-ca
"fitofarmacologia"-noun-ca "phytopharmacology"-noun-en
"pneumatoarthrography"-noun-en "pneumatoartrografia"-noun-ca
"pneumatoartrografia"-noun-ca "pneumatoarthrography"-noun-en
"pneumatoencephalography"-noun-en "pneumatoencefalografia"-noun-ca
"pneumatoencefalografia"-noun-ca "pneumatoencephalography"-noun-en
"polyteny"-noun-en "politènia"-noun-ca
"politènia"-noun-ca "polyteny"-noun-en
"POSIX"-noun-en "POSIX"-noun-ca
"POSIX"-noun-ca "POSIX"-noun-en
"postediting"-noun-en "postedició"-noun-ca
"postedició"-noun-ca "postediting"-noun-en
"prohibitionism"-noun-en "prohibicionisme"-noun-ca
"prohibicionisme"-noun-ca "prohibitionism"-noun-en
"protactinium"-noun-en "protoactini"-noun-ca
"protoactini"-noun-ca "protactinium"-noun-en
"psychotechnics"-noun-en "psicotècnia"-noun-ca
"psicotècnia"-noun-ca "psychotechnics"-noun-en
"pultrusion"-noun-en "pultrusió"-noun-ca
"pultrusió"-noun-ca "pultrusion"-noun-en
"radiometeorology"-noun-en "radiometeorologia"-noun-ca
"radiometeorologia"-noun-ca "radiometeorology"-noun-en
"rediscount"-verb-en "redescomptar"-verb-ca
"redescomptar"-verb-ca "rediscount"-verb-en
"reggae"-noun-en "reggae"-noun-ca
"reggae"-noun-ca "reggae"-noun-en
"rephonologisation"-noun-en "refonologització"-noun-ca
"refonologització"-noun-ca "rephonologisation"-noun-en
"rhexistasy"-noun-en "rexistàsia"-noun-ca
"rexistàsia"-noun-ca "rhexistasy"-noun-en
"rumour"-verb-en "rumorejar"-verb-ca
"rumorejar"-verb-ca "rumour"-verb-en
"rumorejar"-verb-ca "rumor"-verb-en
"rumor"-verb-en "rumorejar"-verb-ca
"shear legs"-noun-en "càbria"-noun-ca
"càbria"-noun-ca "shear legs"-noun-en
"solodisation"-noun-en "solodització"-noun-ca
"solodització"-noun-ca "solodisation"-noun-en
"somatometry"-noun-en "somatometria"-noun-ca
"somatometria"-noun-ca "somatometry"-noun-en
"sonoluminescence"-noun-en "sonoluminescència"-noun-ca
"sonoluminescència"-noun-ca "sonoluminescence"-noun-en
"sophistics"-noun-en "sofística"-noun-ca
"sofística"-noun-ca "sophistics"-noun-en
"sparkliness"-noun-en "llambreig"-noun-ca
"llambreig"-noun-ca "sparkliness"-noun-en
"spectrofluorimetry"-noun-en "espectrofluorimetria"-noun-ca
"espectrofluorimetria"-noun-ca "spectrofluorimetry"-noun-en
"spectropolarimetry"-noun-en "espectropolarimetria"-noun-ca
"espectropolarimetria"-noun-ca "spectropolarimetry"-noun-en
"statistical machine translation"-noun-en "traducció automàtica estadística"-noun-ca
"traducció automàtica estadística"-noun-ca "statistical machine translation"-noun-en
"subminiaturisation"-noun-en "subminiaturització"-noun-ca
"subminiaturització"-noun-ca "subminiaturisation"-noun-en
"sullenness"-noun-en "sorruderia"-noun-ca
"sorruderia"-noun-ca "sullenness"-noun-en
"tacheometry"-noun-en "taquimetria"-noun-ca
"taquimetria"-noun-ca "tacheometry"-noun-en
"TDMA"-noun-en "TDMA"-noun-ca
"TDMA"-noun-ca "TDMA"-noun-en
"telesignalling"-noun-en "telesenyalització"-noun-ca
"telesenyalització"-noun-ca "telesignalling"-noun-en
"tensammetry"-noun-en "tensametria"-noun-ca
"tensametria"-noun-ca "tensammetry"-noun-en
"thermocoagulation"-noun-en "termocoagulació"-noun-ca
"termocoagulació"-noun-ca "thermocoagulation"-noun-en
"thermoelectricity"-noun-en "termoelectricitat"-noun-ca
"termoelectricitat"-noun-ca "thermoelectricity"-noun-en
"thermoretraction"-noun-en "termoretracció"-noun-ca
"termoretracció"-noun-ca "thermoretraction"-noun-en
"thoron"-noun-en "toró"-noun-ca
"toró"-noun-ca "thoron"-noun-en
"fer tic-tac"-verb-ca "tick away"-verb-en
"tick away"-verb-en "fer tic-tac"-verb-ca
"titrimetry"-noun-en "titulometria"-noun-ca
"titulometria"-noun-ca "titrimetry"-noun-en
"transcategorisation"-noun-en "transcategorització"-noun-ca
"transcategorització"-noun-ca "transcategorisation"-noun-en
"trimetry"-noun-en "trimetria"-noun-ca
"trimetria"-noun-ca "trimetry"-noun-en
"tympanometry"-noun-en "timpanometria"-noun-ca
"timpanometria"-noun-ca "tympanometry"-noun-en
"tyndallization"-noun-en "tindal·lització"-noun-ca
"tindal·lització"-noun-ca "tyndallization"-noun-en
"unpremeditation"-noun-en "impremeditació"-noun-ca
"impremeditació"-noun-ca "unpremeditation"-noun-en
"unsteeling"-noun-en "desaceració"-noun-ca
"desaceració"-noun-ca "unsteeling"-noun-en
"uranoplegy"-noun-en "uranoplegia"-noun-ca
"uranoplegia"-noun-ca "uranoplegy"-noun-en
"ABC"-noun-en "ABC"-noun-ca
"ABC"-noun-ca "ABC"-noun-en
"ATM"-noun-en "caixer automàtic"-noun-ca
"caixer automàtic"-noun-ca "ATM"-noun-en
"CEO"-noun-en "director general"-noun-ca
"director general"-noun-ca "CEO"-noun-en
"CPU"-noun-en "CPU"-noun-ca
"CPU"-noun-ca "CPU"-noun-en
"DJ"-noun-en "discjòquei"-noun-ca
"discjòquei"-noun-ca "DJ"-noun-en
"DNS"-noun-en "DNS"-noun-ca
"DNS"-noun-ca "DNS"-noun-en
"GNU"-noun-en "GNU"-noun-ca
"GNU"-noun-ca "GNU"-noun-en
"GSM"-noun-en "GSM"-noun-ca
"GSM"-noun-ca "GSM"-noun-en
"GUI"-noun-en "GUI"-noun-ca
"GUI"-noun-ca "GUI"-noun-en
"HBO"-noun-en "HBO"-noun-ca
"HBO"-noun-ca "HBO"-noun-en
"HTML"-noun-en "HTML"-noun-ca
"HTML"-noun-ca "HTML"-noun-en
"ISBN"-noun-en "ISBN"-noun-ca
"ISBN"-noun-ca "ISBN"-noun-en
"ISDN"-noun-en "ISDN"-noun-ca
"ISDN"-noun-ca "ISDN"-noun-en
"JPEG"-noun-en "JPEG"-noun-ca
"JPEG"-noun-ca "JPEG"-noun-en
"LAN"-noun-en "LAN"-noun-ca
"LAN"-noun-ca "LAN"-noun-en
"LCD"-noun-en "LCD"-noun-ca
"LCD"-noun-ca "LCD"-noun-en
"LED"-noun-en "LED"-noun-ca
"LED"-noun-ca "LED"-noun-en
"LGBT"-noun-en "LGBT"-noun-ca
"LGBT"-noun-ca "LGBT"-noun-en
"MIDI"-noun-en "MIDI"-noun-ca
"MIDI"-noun-ca "MIDI"-noun-en
"MPEG"-noun-en "MPEG"-noun-ca
"MPEG"-noun-ca "MPEG"-noun-en
