"any"-determiner-en "gens de"-determiner-ca
"tomorrow"-adverb-en "demà mateix"-adverb-ca
"demà mateix"-adverb-ca "tomorrow"-adverb-en
"today"-adverb-en "avui mateix"-adverb-ca
"avui mateix"-adverb-ca "today"-adverb-en
"tonight"-adverb-en "aquesta nit"-adverb-ca
"aquesta nit"-adverb-ca "tonight"-adverb-en
"nowhere"-adverb-en "per enlloc"-adverb-ca
"per enlloc"-adverb-ca "nowhere"-adverb-en
"on my own"-adverb-en "pel meu compte"-adverb-ca
"pel meu compte"-adverb-ca "on my own"-adverb-en
"on your own"-adverb-en "pel teu compte"-adverb-ca
"pel teu compte"-adverb-ca "on your own"-adverb-en
"en el seu propi"-adverb-ca "alone"-adverb-en
"alone"-adverb-en "en el seu propi"-adverb-ca
"alone"-adverb-en "sol"-adverb-ca
"more and more"-adverb-en "més i més"-adverb-ca
"més i més"-adverb-ca "more and more"-adverb-en
"the next day"-adverb-en "a l'endemà"-adverb-ca
"a l'endemà"-adverb-ca "the next day"-adverb-en
"once"-adverb-en "un cop"-adverb-ca
"un cop"-adverb-ca "once"-adverb-en
"once and for all"-adverb-en "d'una vegada per sempre"-adverb-ca
"d'una vegada per sempre"-adverb-ca "once and for all"-adverb-en
"back"-adverb-en "arrere"-adverb-ca
"arrere"-adverb-ca "back"-adverb-en
"arrere"-adverb-ca "backwards"-adverb-en
"backwards"-adverb-en "arrere"-adverb-ca
"lasciviousness"-noun-en "lascívia"-noun-ca
"lascívia"-noun-ca "lasciviousness"-noun-en
"hydrostatics"-noun-en "hidrostàtica"-noun-ca
"hidrostàtica"-noun-ca "hydrostatics"-noun-en
"football"-noun-en "pilota de futbol"-noun-ca
"pilota de futbol"-noun-ca "football"-noun-en
"holiday"-noun-en "vacacions"-noun-ca
"vacacions"-noun-ca "holiday"-noun-en
"by the way"-adverb-en "per cert"-adverb-ca
"per cert"-adverb-ca "by the way"-adverb-en
"prpers"-pronoun-en "els"-pronoun-ca
"els"-pronoun-ca "prpers"-pronoun-en
"",""-comma-en "",""-comma-ca
"",""-comma-ca "",""-comma-en
"thousand"-numeral-en "n mil"-numeral-ca
"n mil"-numeral-ca "thousand"-numeral-en
"ADP"-noun-en "ADP"-noun-ca
"ADP"-noun-ca "ADP"-noun-en
"affix"-verb-en "afixar"-verb-ca
"afixar"-verb-ca "affix"-verb-en
"A/H1N1"-noun-en "A/H1N1"-noun-ca
"A/H1N1"-noun-ca "A/H1N1"-noun-en
"A/H5N1"-noun-en "A/H5N1"-noun-ca
"A/H5N1"-noun-ca "A/H5N1"-noun-en
"anger"-verb-en "enfuriar"-verb-ca
"enfuriar"-verb-ca "anger"-verb-en
"enfuriar"-verb-ca "infuriate"-verb-en
"infuriate"-verb-en "enfuriar"-verb-ca
"ANSI"-noun-en "ANSI"-noun-ca
"ANSI"-noun-ca "ANSI"-noun-en
"AT&T"-noun-en "AT&T"-noun-ca
"AT&T"-noun-ca "AT&T"-noun-en
"audition"-verb-en "fer un càsting"-verb-ca
"fer un càsting"-verb-ca "audition"-verb-en
"average"-adjective-en "amitjanar"-verb-ca
"amitjanar"-verb-ca "average"-adjective-en
"awe"-noun-en "esglaiament"-noun-ca
"esglaiament"-noun-ca "awe"-noun-en
"barrel"-verb-en "sortir corrents"-verb-ca
"sortir corrents"-verb-ca "barrel"-verb-en
"bird flu"-noun-en "grip aviària"-noun-ca
"grip aviària"-noun-ca "bird flu"-noun-en
"blog"-verb-en "bloguejar"-verb-ca
"bloguejar"-verb-ca "blog"-verb-en
"blood"-adjective-en "fer olorar la sang"-verb-ca
"fer olorar la sang"-verb-ca "blood"-adjective-en
"bolt"-verb-en "collar"-verb-ca
"bolt"-verb-en "empernar"-verb-ca
"collar"-verb-ca "bolt"-verb-en
"empernar"-verb-ca "bolt"-verb-en
"bombard"-verb-en "bombardar"-verb-ca
"bombardar"-verb-ca "bombard"-verb-en
"bridge"-verb-en "abarcar"-verb-ca
"abarcar"-verb-ca "bridge"-verb-en
"abarcar"-verb-ca "span"-verb-en
"span"-verb-en "abarcar"-verb-ca
"bypass"-verb-en "circumval·lar"-verb-ca
"circumval·lar"-verb-ca "bypass"-verb-en
"callipers"-noun-en "peu de rei"-noun-ca
"peu de rei"-noun-ca "callipers"-noun-en
"campaign"-verb-en "fer campanya"-verb-ca
"fer campanya"-verb-ca "campaign"-verb-en
"captain"-verb-en "capitanejar"-verb-ca
"capitanejar"-verb-ca "captain"-verb-en
"carbon dioxide"-noun-en "diòxid de carboni"-noun-ca
"diòxid de carboni"-noun-ca "carbon dioxide"-noun-en
"carrier"-adjective-en "carregador"-adjective-ca
"carregador"-adjective-ca "carrier"-adjective-en
"car"-adjective-en "automobilístic"-adjective-ca
"automobilístic"-adjective-ca "car"-adjective-en
"cash"-noun-en "diner efectiu"-noun-ca
"diner efectiu"-noun-ca "cash"-noun-en
"Castroan"-adjective-en "castrenyo"-adjective-ca
"castrenyo"-adjective-ca "Castroan"-adjective-en
"chemometrics"-noun-en "quimiometria"-noun-ca
"quimiometria"-noun-ca "chemometrics"-noun-en
"cleansing"-adjective-en "netejador"-adjective-ca
"netejador"-adjective-ca "cleansing"-adjective-en
"click"-verb-en "fer clic"-verb-ca
"fer clic"-verb-ca "click"-verb-en
"Cl-"-noun-en "Cl-"-noun-ca
"Cl-"-noun-ca "Cl-"-noun-en
"CO₂"-noun-ca "CO2"-noun-en
"CO2"-noun-en "CO₂"-noun-ca
"context-based machine translation"-noun-en "traducció automàtica basada en el context"-noun-ca
"traducció automàtica basada en el context"-noun-ca "context-based machine translation"-noun-en
"cook"-verb-en "guisar"-verb-ca
"guisar"-verb-ca "cook"-verb-en
"guisar"-verb-ca "stew"-verb-en
"stew"-verb-en "guisar"-verb-ca
"coprime"-adjective-en "coprimer"-adjective-ca
"coprimer"-adjective-ca "coprime"-adjective-en
"corpus-based machine translation"-noun-en "traducció automàtica basada en corpus"-noun-ca
"traducció automàtica basada en corpus"-noun-ca "corpus-based machine translation"-noun-en
"crackdown"-noun-en "mà dura"-noun-ca
"mà dura"-noun-ca "crackdown"-noun-en
"crossword"-noun-en "mots encreuats"-noun-ca
"mots encreuats"-noun-ca "crossword"-noun-en
"ČSSD"-noun-en "ČSSD"-noun-ca
"ČSSD"-noun-ca "ČSSD"-noun-en
"ČTK"-noun-en "ČTK"-noun-ca
"ČTK"-noun-ca "ČTK"-noun-en
"current"-adjective-en "en curs"-adjective-ca
"en curs"-adjective-ca "current"-adjective-en
"custom"-adjective-en "fet per encàrrec"-adjective-ca
"fet per encàrrec"-adjective-ca "custom"-adjective-en
"cutter"-noun-en "guardacostes"-noun-ca
"guardacostes"-noun-ca "cutter"-noun-en
"cymbal"-noun-en "platerets"-noun-ca
"platerets"-noun-ca "cymbal"-noun-en
"DBMS"-noun-en "SGBD"-noun-ca
"SGBD"-noun-ca "DBMS"-noun-en
"decoder"-adjective-en "descodificador"-adjective-ca
"descodificador"-adjective-ca "decoder"-adjective-en
"dendrochronology"-noun-en "dendrocronologia"-noun-ca
"dendrocronologia"-noun-ca "dendrochronology"-noun-en
"derivative"-adjective-en "derivat"-adjective-ca
"derivat"-adjective-ca "derivative"-adjective-en
"dirty clothes"-noun-en "roba bruta"-noun-ca
"roba bruta"-noun-ca "dirty clothes"-noun-en
"roba bruta"-noun-ca "laundry"-noun-en
"laundry"-noun-en "roba bruta"-noun-ca
"distress"-verb-en "contristar"-verb-ca
"contristar"-verb-ca "distress"-verb-en
"dive"-verb-en "bussejar"-verb-ca
"bussejar"-verb-ca "dive"-verb-en
"drift"-verb-en "anar a la deriva"-verb-ca
"anar a la deriva"-verb-ca "drift"-verb-en
"drop"-verb-en "amollar"-verb-ca
"amollar"-verb-ca "drop"-verb-en
"amollar"-verb-ca "release"-verb-en
"release"-verb-en "amollar"-verb-ca
"DTP"-noun-en "DTP"-noun-ca
"DTP"-noun-ca "DTP"-noun-en
"duplicate"-adjective-en "duplicat"-adjective-ca
"duplicat"-adjective-ca "duplicate"-adjective-en
"duplicat"-adjective-ca "duplicate"-verb-en
"duplicate"-verb-en "duplicat"-adjective-ca
"dye"-verb-en "colorir"-verb-ca
"colorir"-verb-ca "dye"-verb-en
"electrodynamics"-noun-en "electrodinàmica"-noun-ca
"electrodinàmica"-noun-ca "electrodynamics"-noun-en
"electrostatics"-noun-en "electroestàtica"-noun-ca
"electroestàtica"-noun-ca "electrostatics"-noun-en
"electrotechnics"-noun-en "electrotècnia"-noun-ca
"electrotècnia"-noun-ca "electrotechnics"-noun-en
"endodontics"-noun-en "endodòncia"-noun-ca
"endodòncia"-noun-ca "endodontics"-noun-en
"EPP-ED"-noun-en "PPE-DE"-noun-ca
"PPE-DE"-noun-ca "EPP-ED"-noun-en
"EPROM"-noun-en "EPROM"-noun-ca
"EPROM"-noun-ca "EPROM"-noun-en
"face"-verb-en "estar de cara a"-verb-ca
"estar de cara a"-verb-ca "face"-verb-en
"FIDE"-noun-en "FIDE"-noun-ca
"FIDE"-noun-ca "FIDE"-noun-en
"fighting"-adjective-en "lluitador"-adjective-ca
"lluitador"-adjective-ca "fighting"-adjective-en
"fish"-verb-en "feinejar"-verb-ca
"feinejar"-verb-ca "fish"-verb-en
"flash"-verb-en "llampegar"-verb-ca
"flash"-verb-en "pampalluguejar"-verb-ca
"llampegar"-verb-ca "flash"-verb-en
"pampalluguejar"-verb-ca "flash"-verb-en
"flock"-verb-en "anar en massa"-verb-ca
"anar en massa"-verb-ca "flock"-verb-en
"foam"-verb-en "espumejar"-verb-ca
"espumejar"-verb-ca "foam"-verb-en
"freezing"-adjective-en "gelat"-adjective-ca
"gelat"-adjective-ca "freezing"-adjective-en
"freshwater"-noun-en "aigua dolça"-noun-ca
"aigua dolça"-noun-ca "freshwater"-noun-en
"fringe"-verb-en "franjar"-verb-ca
"franjar"-verb-ca "fringe"-verb-en
"gaze"-verb-en "mirar fixament"-verb-ca
"mirar fixament"-verb-ca "gaze"-verb-en
"mirar fixament"-verb-ca "stare"-verb-en
"stare"-verb-en "mirar fixament"-verb-ca
"gear"-verb-en "engranar"-verb-ca
"engranar"-verb-ca "gear"-verb-en
"engranar"-verb-ca "mesh"-verb-en
"mesh"-verb-en "engranar"-verb-ca
"geophysics"-noun-en "geofísica"-noun-ca
"geofísica"-noun-ca "geophysics"-noun-en
"georeferencing"-noun-en "georeferenciació"-noun-ca
"georeferenciació"-noun-ca "georeferencing"-noun-en
"glia"-noun-en "glia"-noun-ca
"glia"-noun-ca "glia"-noun-en
"gold exchange standard"-noun-en "patró canvi or"-noun-ca
"patró canvi or"-noun-ca "gold exchange standard"-noun-en
"patró canvi or"-noun-ca "gold-coin standard"-noun-en
"gold-coin standard"-noun-en "patró canvi or"-noun-ca
"grade"-verb-en "posar nota"-verb-ca
"posar nota"-verb-ca "grade"-verb-en
"granular"-verb-ca "granulate"-verb-en
"granulate"-verb-en "granular"-verb-ca
"great-great-grandparent"-noun-en "rebesavi"-noun-ca
"rebesavi"-noun-ca "great-great-grandparent"-noun-en
"grill"-verb-en "fer a la brasa"-verb-ca
"fer a la brasa"-verb-ca "grill"-verb-en
"groundwater"-noun-en "aigua freàtica"-noun-ca
"aigua freàtica"-noun-ca "groundwater"-noun-en
"gum"-verb-en "engomar"-verb-ca
"engomar"-verb-ca "gum"-verb-en
"H1N1"-noun-en "H1N1"-noun-ca
"H1N1"-noun-ca "H1N1"-noun-en
"H5N1"-noun-en "H5N1"-noun-ca
"H5N1"-noun-ca "H5N1"-noun-en
"hexakosioihexekontahexaphobia"-noun-en "hexakosioihexekontahexafòbia"-noun-ca
"hexakosioihexekontahexafòbia"-noun-ca "hexakosioihexekontahexaphobia"-noun-en
"hide"-verb-en "agotzonar"-verb-ca
"agotzonar"-verb-ca "hide"-verb-en
"hint"-verb-en "donar a entendre"-verb-ca
"donar a entendre"-verb-ca "hint"-verb-en
"hodman"-noun-en "manobre"-noun-ca
"manobre"-noun-ca "hodman"-noun-en
"hydraulics"-noun-en "hidràulica"-noun-ca
"hidràulica"-noun-ca "hydraulics"-noun-en
"IEEE"-noun-en "IEEE"-noun-ca
"IEEE"-noun-ca "IEEE"-noun-en
"income tax"-noun-en "IRPF"-noun-ca
"IRPF"-noun-ca "income tax"-noun-en
"inshore fishing"-noun-en "pesca litoral"-noun-ca
"pesca litoral"-noun-ca "inshore fishing"-noun-en
"IUPAC"-noun-en "IUPAC"-noun-ca
"IUPAC"-noun-ca "IUPAC"-noun-en
"Jamaican"-adjective-en "jamaicà"-adjective-ca
"jamaicà"-adjective-ca "Jamaican"-adjective-en
"Japanese-American"-adjective-en "americà d'origen japonès"-adjective-ca
"americà d'origen japonès"-adjective-ca "Japanese-American"-adjective-en
"jeans"-noun-en "texans"-noun-ca
"texans"-noun-ca "jeans"-noun-en
"kick"-verb-en "donar un cop de peu"-verb-ca
"donar un cop de peu"-verb-ca "kick"-verb-en
"kinetics"-noun-en "cinètica"-noun-ca
"cinètica"-noun-ca "kinetics"-noun-en
"kiss"-verb-en "fer una besada"-verb-ca
"fer una besada"-verb-ca "kiss"-verb-en
"knot"-verb-en "nugar"-verb-ca
"nugar"-verb-ca "knot"-verb-en
"kPa"-noun-en "kPa"-noun-ca
"kPa"-noun-ca "kPa"-noun-en
"Lagrangian"-adjective-en "lagrangià"-adjective-ca
"lagrangià"-adjective-ca "Lagrangian"-adjective-en
"LASIK"-noun-en "LASIK"-noun-ca
"LASIK"-noun-ca "LASIK"-noun-en
"leftover"-noun-en "resquícies"-noun-ca
"resquícies"-noun-ca "leftover"-noun-en
"lock"-verb-en "tancar amb clau"-verb-ca
"tancar amb clau"-verb-ca "lock"-verb-en
"magnetochemistry"-noun-en "magnetoquímica"-noun-ca
"magnetoquímica"-noun-ca "magnetochemistry"-noun-en
"match"-verb-en "fer joc"-verb-ca
"fer joc"-verb-ca "match"-verb-en
"meander"-verb-en "serpejar"-verb-ca
"serpejar"-verb-ca "meander"-verb-en
"melomaniac"-adjective-en "melòman"-adjective-ca
"melòman"-adjective-ca "melomaniac"-adjective-en
"meridian"-adjective-en "meridià"-adjective-ca
"meridià"-adjective-ca "meridian"-adjective-en
"merit"-verb-en "meritar"-verb-ca
"meritar"-verb-ca "merit"-verb-en
"metrics"-noun-en "mètrica"-noun-ca
"mètrica"-noun-ca "metrics"-noun-en
"minesweeper"-noun-en "pescamines"-noun-ca
"pescamines"-noun-ca "minesweeper"-noun-en
"MRI"-noun-en "IRM"-noun-ca
"IRM"-noun-ca "MRI"-noun-en
"MS-DOS"-noun-en "MS-DOS"-noun-ca
"MS-DOS"-noun-ca "MS-DOS"-noun-en
"mumps"-noun-en "galteres"-noun-ca
"galteres"-noun-ca "mumps"-noun-en
"NASDAQ"-noun-en "NASDAQ"-noun-ca
"NASDAQ"-noun-ca "NASDAQ"-noun-en
"Na+"-noun-en "Na+"-noun-ca
"Na+"-noun-ca "Na+"-noun-en
"neurochemistry"-noun-en "neuroquímica"-noun-ca
"neuroquímica"-noun-ca "neurochemistry"-noun-en
"neuropsychology"-noun-en "neuropsicologia"-noun-ca
"neuropsicologia"-noun-ca "neuropsychology"-noun-en
"notch"-verb-en "entallar"-verb-ca
"entallar"-verb-ca "notch"-verb-en
"nut"-noun-en "fruita seca"-noun-ca
"fruita seca"-noun-ca "nut"-noun-en
"ODS"-noun-en "ODS"-noun-ca
"ODS"-noun-ca "ODS"-noun-en
"orbit"-verb-en "orbitar"-verb-ca
"orbitar"-verb-ca "orbit"-verb-en
"organography"-noun-en "organografia"-noun-ca
"organografia"-noun-ca "organography"-noun-en
"orthodontics"-noun-en "ortodòncia"-noun-ca
"ortodòncia"-noun-ca "orthodontics"-noun-en
"pack"-verb-en "fer les maletes"-verb-ca
"fer les maletes"-verb-ca "pack"-verb-en
"part"-verb-en "part"-adjective-ca
"part"-adjective-ca "part"-verb-en
"patrol"-adjective-en "patruller"-adjective-ca
"patruller"-adjective-ca "patrol"-adjective-en
"PHP"-noun-en "PHP"-noun-ca
"PHP"-noun-ca "PHP"-noun-en
"pH"-noun-en "pH"-noun-ca
"pH"-noun-ca "pH"-noun-en
"physical chemistry"-noun-en "fisicoquímica"-noun-ca
"fisicoquímica"-noun-ca "physical chemistry"-noun-en
"PKK"-noun-en "PKK"-noun-ca
"PKK"-noun-ca "PKK"-noun-en
"polish"-verb-en "lustrar"-verb-ca
"lustrar"-verb-ca "polish"-verb-en
"ppm"-noun-en "ppm"-noun-ca
"ppm"-noun-ca "ppm"-noun-en
"print"-verb-en "estampat"-adjective-ca
"estampat"-adjective-ca "print"-verb-en
"estampat"-adjective-ca "patterned"-adjective-en
"patterned"-adjective-en "estampat"-adjective-ca
"psychometrics"-noun-en "psicometria"-noun-ca
"psicometria"-noun-ca "psychometrics"-noun-en
"psychopedagogics"-noun-en "psicopedagogia"-noun-ca
"psicopedagogia"-noun-ca "psychopedagogics"-noun-en
"punch"-verb-en "punxonar"-verb-ca
"punxonar"-verb-ca "punch"-verb-en
"purple"-adjective-en "porprat"-adjective-ca
"porprat"-adjective-ca "purple"-adjective-en
"pyroelectricity"-noun-en "piroelectricitat"-noun-ca
"piroelectricitat"-noun-ca "pyroelectricity"-noun-en
"quicksilver"-noun-en "argent viu"-noun-ca
"argent viu"-noun-ca "quicksilver"-noun-en
"recount"-verb-en "recomptar"-verb-ca
"recomptar"-verb-ca "recount"-verb-en
"reel"-verb-en "debanar"-verb-ca
"debanar"-verb-ca "reel"-verb-en
"repurchase"-verb-en "recomprar"-verb-ca
"recomprar"-verb-ca "repurchase"-verb-en
"RER A"-noun-en "RER A"-noun-ca
"RER A"-noun-ca "RER A"-noun-en
"RER B"-noun-en "RER B"-noun-ca
"RER B"-noun-ca "RER B"-noun-en
"RER"-noun-en "RER"-noun-ca
"RER"-noun-ca "RER"-noun-en
"reverse"-adjective-en "fer marxa arrere"-verb-ca
"reverse"-adjective-en "fer marxa enrere"-verb-ca
"fer marxa arrere"-verb-ca "reverse"-adjective-en
"fer marxa arrere"-verb-ca "reverse"-verb-en
"fer marxa enrere"-verb-ca "reverse"-adjective-en
"fer marxa enrere"-verb-ca "reverse"-verb-en
"reverse"-verb-en "fer marxa arrere"-verb-ca
"reverse"-verb-en "fer marxa enrere"-verb-ca
"roast"-verb-en "socarrar"-verb-ca
"socarrar"-verb-ca "roast"-verb-en
"roll"-verb-en "caragolar"-verb-ca
"caragolar"-verb-ca "roll"-verb-en
"round"-verb-en "arredonir"-verb-ca
"arredonir"-verb-ca "round"-verb-en
"RSA"-noun-en "RSA"-noun-ca
"RSA"-noun-ca "RSA"-noun-en
"RTL"-noun-en "RTL"-noun-ca
"RTL"-noun-ca "RTL"-noun-en
"rule-based machine translation"-noun-en "traducció automàtica basada en regles"-noun-ca
"traducció automàtica basada en regles"-noun-ca "rule-based machine translation"-noun-en
"salt water"-noun-en "aigua salada"-noun-ca
"aigua salada"-noun-ca "salt water"-noun-en
"sawdust"-noun-en "serradura"-noun-ca
"serradura"-noun-ca "sawdust"-noun-en
"seawater"-noun-en "aigua de mar"-noun-ca
"aigua de mar"-noun-ca "seawater"-noun-en
"shape"-verb-en "donar forma"-verb-ca
"donar forma"-verb-ca "shape"-verb-en
"slam"-verb-en "tancar de colp"-verb-ca
"slam"-verb-en "tancar de cop"-verb-ca
"tancar de colp"-verb-ca "slam"-verb-en
"tancar de cop"-verb-ca "slam"-verb-en
"slice"-verb-en "llescar"-verb-ca
"llescar"-verb-ca "slice"-verb-en
"spare"-adjective-en "sobrer"-adjective-ca
"sobrer"-adjective-ca "spare"-adjective-en
"sobrer"-adjective-ca "spare"-verb-en
"spare"-verb-en "sobrer"-adjective-ca
"spark"-verb-en "guspirejar"-verb-ca
"guspirejar"-verb-ca "spark"-verb-en
"spintronics"-noun-en "espintrònica"-noun-ca
"espintrònica"-noun-ca "spintronics"-noun-en
"stage"-verb-en "posar en escena"-verb-ca
"posar en escena"-verb-ca "stage"-verb-en
"stamp"-verb-en "picar de peus"-verb-ca
"picar de peus"-verb-ca "stamp"-verb-en
"steam"-verb-en "cuinar al vapor"-verb-ca
"cuinar al vapor"-verb-ca "steam"-verb-en
"step"-verb-en "fer un pas"-verb-ca
"fer un pas"-verb-ca "step"-verb-en
"stereotyping"-noun-en "estereotípia"-noun-ca
"estereotípia"-noun-ca "stereotyping"-noun-en
"stink"-verb-en "fer pudor"-verb-ca
"fer pudor"-verb-ca "stink"-verb-en
"subconsciousness"-noun-en "subconsciència"-noun-ca
"subconsciència"-noun-ca "subconsciousness"-noun-en
"superfluid"-adjective-en "superfluid"-adjective-ca
"superfluid"-adjective-ca "superfluid"-adjective-en
"swing"-verb-en "agrunsar"-verb-ca
"swing"-verb-en "engronsar"-verb-ca
"swing"-verb-en "engrunsar"-verb-ca
"swing"-verb-en "gronsar"-verb-ca
"agrunsar"-verb-ca "swing"-verb-en
"engronsar"-verb-ca "swing"-verb-en
"engrunsar"-verb-ca "swing"-verb-en
"engrunsar"-verb-ca "rock"-verb-en
"gronsar"-verb-ca "swing"-verb-en
"rock"-verb-en "engrunsar"-verb-ca
"tap"-verb-en "donar copets"-verb-ca
"donar copets"-verb-ca "tap"-verb-en
"TeV"-noun-en "TeV"-noun-ca
"TeV"-noun-ca "TeV"-noun-en
"thread"-verb-en "roscar"-verb-ca
"roscar"-verb-ca "thread"-verb-en
"tick"-verb-en "fer tic-tac"-verb-ca
"fer tic-tac"-verb-ca "tick"-verb-en
"tip"-verb-en "donar una propina"-verb-ca
"donar una propina"-verb-ca "tip"-verb-en
"TNT"-noun-en "TNT"-noun-ca
"TNT"-noun-ca "TNT"-noun-en
"tour"-verb-en "anar de viatge"-verb-ca
"anar de viatge"-verb-ca "tour"-verb-en
"transfer"-verb-en "fer transbord"-verb-ca
"transfer"-verb-en "transbordar"-verb-ca
"fer transbord"-verb-ca "transfer"-verb-en
"transbordar"-verb-ca "transfer"-verb-en
"treasure"-verb-en "atresorar"-verb-ca
"atresorar"-verb-ca "treasure"-verb-en
"trip"-verb-en "entropessar"-verb-ca
"entropessar"-verb-ca "trip"-verb-en
"TV"-noun-en "TV"-noun-ca
"TV"-noun-ca "TV"-noun-en
"voyeurism"-noun-en "escopofília"-noun-ca
"escopofília"-noun-ca "voyeurism"-noun-en
"W3C"-noun-en "W3C"-noun-ca
"W3C"-noun-ca "W3C"-noun-en
"welcome"-adjective-en "donar la benvinguda"-verb-ca
"donar la benvinguda"-verb-ca "welcome"-adjective-en
"donar la benvinguda"-verb-ca "welcome"-verb-en
"welcome"-verb-en "donar la benvinguda"-verb-ca
"whipped cream"-noun-en "nata muntada"-noun-ca
"nata muntada"-noun-ca "whipped cream"-noun-en
"wreck"-noun-en "ruina"-noun-ca
"ruina"-noun-ca "wreck"-noun-en
"wrestling"-noun-en "lluita lliure"-noun-ca
"lluita lliure"-noun-ca "wrestling"-noun-en
"xenobiology"-noun-en "xenobiologia"-noun-ca
"xenobiologia"-noun-ca "xenobiology"-noun-en
"ZDF"-noun-en "ZDF"-noun-ca
"ZDF"-noun-ca "ZDF"-noun-en
"ARC"-noun-en "ARC"-noun-ca
"ARC"-noun-ca "ARC"-noun-en
"FARC"-noun-en "FARC"-noun-ca
"FARC"-noun-ca "FARC"-noun-en
"GP"-noun-en "GP"-noun-ca
"GP"-noun-ca "GP"-noun-en
"LGT"-noun-en "LGT"-noun-ca
"LGT"-noun-ca "LGT"-noun-en
"SPIUK"-noun-en "SPIUK"-noun-ca
"SPIUK"-noun-ca "SPIUK"-noun-en
"XML"-noun-en "XML"-noun-ca
"XML"-noun-ca "XML"-noun-en
"abandoned"-adjective-en "abandonat"-adjective-ca
"abandonat"-adjective-ca "abandoned"-adjective-en
"abortive"-adjective-en "malmès"-adjective-ca
"malmès"-adjective-ca "abortive"-adjective-en
"abstemious"-adjective-en "abstemi"-adjective-ca
"abstemi"-adjective-ca "abstemious"-adjective-en
"absurd"-adjective-en "forassenyat"-adjective-ca
"forassenyat"-adjective-ca "absurd"-adjective-en
"forassenyat"-adjective-ca "cock-eyed"-adjective-en
"cock-eyed"-adjective-en "forassenyat"-adjective-ca
"acidic"-adjective-en "acídic"-adjective-ca
"acídic"-adjective-ca "acidic"-adjective-en
"acquisitive"-adjective-en "cobdiciós"-adjective-ca
"cobdiciós"-adjective-ca "acquisitive"-adjective-en
"admonitory"-adjective-en "admonitori"-adjective-ca
"admonitori"-adjective-ca "admonitory"-adjective-en
"adventitious"-adjective-en "adventici"-adjective-ca
"adventici"-adjective-ca "adventitious"-adjective-en
"agreed"-adjective-en "acordat"-adjective-ca
"acordat"-adjective-ca "agreed"-adjective-en
"aground"-adjective-en "encallat"-adjective-ca
"encallat"-adjective-ca "aground"-adjective-en
"allomorphic"-adjective-en "al·lomòrfic"-adjective-ca
"al·lomòrfic"-adjective-ca "allomorphic"-adjective-en
"alone"-adjective-en "tot sol"-adjective-ca
"tot sol"-adjective-ca "alone"-adjective-en
"aluminothermic"-adjective-en "aluminotèrmic"-adjective-ca
