"whatever"-determiner-en "qualsevol"-determiner-ca
"safe"-adjective-en "segur"-adjective-ca
"true"-adjective-en "autèntic"-adjective-ca
"autèntic"-adjective-ca "true"-adjective-en
"curt"-adjective-ca "short"-adjective-en
"short"-adjective-en "curt"-adjective-ca
"earthy"-adjective-en "groller"-adjective-ca
"groller"-adjective-ca "earthy"-adjective-en
"groller"-adjective-ca "vulgar"-adjective-en
"vulgar"-adjective-en "groller"-adjective-ca
"steady"-adjective-en "ferm"-adjective-ca
"ferm"-adjective-ca "steady"-adjective-en
"ferm"-adjective-ca "firm"-adjective-en
"firm"-adjective-en "ferm"-adjective-ca
"petit"-adjective-ca "small"-adjective-en
"small"-adjective-en "petit"-adjective-ca
"small"-adjective-en "xicotet"-adjective-ca
"xicotet"-adjective-ca "small"-adjective-en
"valent"-adjective-ca "brave"-adjective-en
"brave"-adjective-en "valent"-adjective-ca
"odd"-adjective-en "estrany"-adjective-ca
"estrany"-adjective-ca "odd"-adjective-en
"estrany"-adjective-ca "strange"-adjective-en
"strange"-adjective-en "estrany"-adjective-ca
"sincer"-adjective-ca "sincere"-adjective-en
"sincere"-adjective-en "sincer"-adjective-ca
"sinistre"-adjective-ca "grim"-adjective-en
"grim"-adjective-en "sinistre"-adjective-ca
"false"-adjective-en "fals"-adjective-ca
"fals"-adjective-ca "false"-adjective-en
"obvi"-adjective-ca "evident"-adjective-en
"evident"-adjective-en "obvi"-adjective-ca
"escàs"-adjective-ca "sparse"-adjective-en
"sparse"-adjective-en "escàs"-adjective-ca
"insòlit"-adjective-ca "rare"-adjective-en
"rare"-adjective-en "insòlit"-adjective-ca
"savi"-adjective-ca "wise"-adjective-en
"wise"-adjective-en "savi"-adjective-ca
"light"-adjective-en "lleuger"-adjective-ca
"lleuger"-adjective-ca "light"-adjective-en
"undoubted"-adjective-en "inequívoc"-adjective-ca
"inequívoc"-adjective-ca "undoubted"-adjective-en
"horrible"-adjective-en "horrorós"-adjective-ca
"horrorós"-adjective-ca "horrible"-adjective-en
"rígid"-adjective-ca "stiff"-adjective-en
"stiff"-adjective-en "rígid"-adjective-ca
"maco"-adjective-ca "lovely"-adjective-en
"lovely"-adjective-en "maco"-adjective-ca
"lovely"-adjective-en "bonic"-adjective-ca
"lovely"-adjective-en "bell"-adjective-ca
"lovely"-adjective-en "preciós"-adjective-ca
"bonic"-adjective-ca "lovely"-adjective-en
"bonic"-adjective-ca "nice"-adjective-en
"nice"-adjective-en "bonic"-adjective-ca
"bell"-adjective-ca "lovely"-adjective-en
"preciós"-adjective-ca "lovely"-adjective-en
"funny"-adjective-en "divertit"-adjective-ca
"divertit"-adjective-ca "funny"-adjective-en
"deep"-adjective-en "profund"-adjective-ca
"profund"-adjective-ca "deep"-adjective-en
"pesat"-adjective-ca "heavy"-adjective-en
"heavy"-adjective-en "pesat"-adjective-ca
"heavy"-adjective-en "feixuc"-adjective-ca
"feixuc"-adjective-ca "heavy"-adjective-en
"llarg"-adjective-ca "long"-adjective-en
"long"-adjective-en "llarg"-adjective-ca
"ric"-adjective-ca "rich"-adjective-en
"ric"-adjective-ca "wealthy"-adjective-en
"rich"-adjective-en "ric"-adjective-ca
"wealthy"-adjective-en "ric"-adjective-ca
"unstable"-adjective-en "precari"-adjective-ca
"precari"-adjective-ca "unstable"-adjective-en
"sober"-adjective-en "serè"-adjective-ca
"serè"-adjective-ca "sober"-adjective-en
"net"-adjective-ca "clean"-adjective-en
"clean"-adjective-en "net"-adjective-ca
"o"-coordinatingConjunction-ca "either"-coordinatingConjunction-en
"either"-coordinatingConjunction-en "o"-coordinatingConjunction-ca
"bowel"-noun-en "budell"-noun-ca
"budell"-noun-ca "bowel"-noun-en
"memòria"-noun-ca "memory"-noun-en
"memory"-noun-en "memòria"-noun-ca
"esquí"-noun-ca "ski"-noun-en
"ski"-noun-en "esquí"-noun-ca
"pólvora"-noun-ca "gunpowder"-noun-en
"gunpowder"-noun-en "pólvora"-noun-ca
"set up"-verb-en "instal·lar"-verb-ca
"instal·lar"-verb-ca "set up"-verb-en
"deixar"-verb-ca "give up"-verb-en
"give up"-verb-en "deixar"-verb-ca
"copsar"-verb-ca "pick up"-verb-en
"pick up"-verb-en "copsar"-verb-ca
"shut down"-verb-en "tancar"-verb-ca
"shut down"-verb-en "cloure"-verb-ca
"tancar"-verb-ca "shut down"-verb-en
"cloure"-verb-ca "shut down"-verb-en
"line up"-verb-en "alinear"-verb-ca
"alinear"-verb-ca "line up"-verb-en
"check out"-verb-en "comprovar"-verb-ca
"comprovar"-verb-ca "check out"-verb-en
"dret"-noun-ca "right"-noun-en
"dret"-noun-ca "law"-noun-en
"right"-noun-en "dret"-noun-ca
"law"-noun-en "dret"-noun-ca
"anguish"-noun-en "angoixa"-noun-ca
"angoixa"-noun-ca "anguish"-noun-en
"appetite"-noun-en "gana"-noun-ca
"gana"-noun-ca "appetite"-noun-en
"ladder"-noun-en "escala"-noun-ca
"escala"-noun-ca "ladder"-noun-en
"escala"-noun-ca "staircase"-noun-en
"staircase"-noun-en "escala"-noun-ca
"avi"-noun-ca "grandmother"-noun-en
"grandmother"-noun-en "avi"-noun-ca
"fill"-noun-ca "daughter"-noun-en
"daughter"-noun-en "fill"-noun-ca
"attic"-noun-en "golfa"-noun-ca
"golfa"-noun-ca "attic"-noun-en
"lawsuit"-noun-en "plet"-noun-ca
"plet"-noun-ca "lawsuit"-noun-en
"imatge"-noun-ca "image"-noun-en
"image"-noun-en "imatge"-noun-ca
"residu"-noun-ca "remnant"-noun-en
"residu"-noun-ca "rest"-noun-en
"remnant"-noun-en "residu"-noun-ca
"rest"-noun-en "residu"-noun-ca
"rest"-noun-en "resta"-noun-ca
"resta"-noun-ca "rest"-noun-en
"letter"-noun-en "lletra"-noun-ca
"lletra"-noun-ca "letter"-noun-en
"joia"-noun-ca "jewel"-noun-en
"joia"-noun-ca "joy"-noun-en
"jewel"-noun-en "joia"-noun-ca
"joy"-noun-en "joia"-noun-ca
"manera"-noun-ca "mode"-noun-en
"mode"-noun-en "manera"-noun-ca
"bosc"-noun-ca "woodland"-noun-en
"bosc"-noun-ca "forest"-noun-en
"woodland"-noun-en "bosc"-noun-ca
"forest"-noun-en "bosc"-noun-ca
"policeman"-noun-en "policia"-noun-ca
"policia"-noun-ca "policeman"-noun-en
"policia"-noun-ca "policewoman"-noun-en
"policewoman"-noun-en "policia"-noun-ca
"entry"-noun-en "ingrés"-noun-ca
"ingrés"-noun-ca "entry"-noun-en
"ingrés"-noun-ca "income"-noun-en
"income"-noun-en "ingrés"-noun-ca
"cane"-noun-en "canya"-noun-ca
"canya"-noun-ca "cane"-noun-en
"afició"-noun-ca "hobby"-noun-en
"hobby"-noun-en "afició"-noun-ca
"poble"-noun-ca "village"-noun-en
"village"-noun-en "poble"-noun-ca
"impost"-noun-ca "tax"-noun-en
"tax"-noun-en "impost"-noun-ca
"sword"-noun-en "espasa"-noun-ca
"espasa"-noun-ca "sword"-noun-en
"televisió"-noun-ca "television"-noun-en
"television"-noun-en "televisió"-noun-ca
"economia"-noun-ca "economy"-noun-en
"economy"-noun-en "economia"-noun-ca
"femení"-adjective-ca "female"-adjective-en
"female"-adjective-en "femení"-adjective-ca
"ros"-adjective-ca "blond"-adjective-en
"blond"-adjective-en "ros"-adjective-ca
"sant"-adjective-ca "holy"-adjective-en
"holy"-adjective-en "sant"-adjective-ca
"holy"-adjective-en "sacre"-adjective-ca
"holy"-adjective-en "sagrat"-adjective-ca
"sacre"-adjective-ca "holy"-adjective-en
"sagrat"-adjective-ca "holy"-adjective-en
"orthodox"-adjective-en "ortodox"-adjective-ca
"ortodox"-adjective-ca "orthodox"-adjective-en
"tos"-noun-ca "cough"-noun-en
"cough"-noun-en "tos"-noun-ca
"parisenc"-adjective-ca "parisian"-adjective-en
"parisian"-adjective-en "parisenc"-adjective-ca
"afganès"-adjective-ca "afghan"-adjective-en
"afghan"-adjective-en "afganès"-adjective-ca
"jueu"-adjective-ca "jewish"-adjective-en
"jewish"-adjective-en "jueu"-adjective-ca
"polonès"-adjective-ca "polish"-adjective-en
"polish"-adjective-en "polonès"-adjective-ca
"Castilian"-adjective-en "castellà"-adjective-ca
"castellà"-adjective-ca "Castilian"-adjective-en
"atlàntic"-adjective-ca "atlantic"-adjective-en
"atlantic"-adjective-en "atlàntic"-adjective-ca
"roman"-adjective-en "romà"-adjective-ca
"romà"-adjective-ca "roman"-adjective-en
"anglican"-adjective-en "anglicà"-adjective-ca
"anglicà"-adjective-ca "anglican"-adjective-en
