mı	particle	crh	mı	particle	tur
cümle	determiner	crh	bütün	determiner	tur
bazı	determiner	crh	bazı	determiner	tur
bu	determiner	crh	bu	determiner	tur
o	determiner	crh	o	determiner	tur
qaç	determiner	crh	kaç	determiner	tur
qaysı	determiner	crh	hangi	determiner	tur
angi	determiner	crh	hangi	determiner	tur
bir qaç	determiner	crh	birkaç	determiner	tur
ekser	determiner	crh	ekser	determiner	tur
çoq	determiner	crh	çok	determiner	tur
şu	determiner	crh	şu	determiner	tur
işbu	determiner	crh	bu	determiner	tur
çoqu	pronoun	crh	çoğu	pronoun	tur
çoqusı	pronoun	crh	çoğu	pronoun	tur
bir	numeral	crh	bir	numeral	tur
eki	numeral	crh	iki	numeral	tur
üç	numeral	crh	üç	numeral	tur
dört	numeral	crh	dört	numeral	tur
beş	numeral	crh	beş	numeral	tur
altı	numeral	crh	altı	numeral	tur
yedi	numeral	crh	yedi	numeral	tur
sekiz	numeral	crh	sekiz	numeral	tur
doquz	numeral	crh	dokuz	numeral	tur
on	numeral	crh	on	numeral	tur
yigirmi	numeral	crh	yetmiş	numeral	tur
otuz	numeral	crh	otuz	numeral	tur
qırq	numeral	crh	kırk	numeral	tur
elli	numeral	crh	elli	numeral	tur
altmış	numeral	crh	altmış	numeral	tur
yetmiş	numeral	crh	yetmiş	numeral	tur
seksen	numeral	crh	seksen	numeral	tur
doqsan	numeral	crh	doksan	numeral	tur
yüz	numeral	crh	yüz	numeral	tur
million	numeral	crh	milyon	numeral	tur
biñ	numeral	crh	bin	numeral	tur
milliard	numeral	crh	milyar	numeral	tur
aqay	noun	crh	adam	noun	tur
teprenüv	noun	crh	sarsılma	noun	tur
eykel	noun	crh	heykel	noun	tur
tögerek	noun	crh	yuvarlak	noun	tur
energetika	noun	crh	enerji	noun	tur
timsal	noun	crh	sembol	noun	tur
mevam	noun	crh	durum	noun	tur
rada	noun	crh	şura	noun	tur
baar	noun	crh	bahar	noun	tur
gvardiya	noun	crh	muhafız	noun	tur
gvardiya	noun	crh	muhafız	noun	tur
aydavcı	noun	crh	şoför	noun	tur
birdemlik	noun	crh	dayanışma	noun	tur
müür	noun	crh	mühür	noun	tur
mırza	noun	crh	bey	noun	tur
kefil	noun	crh	garanti	noun	tur
apay	noun	crh	eş	noun	tur
reberlik	noun	crh	yönetim	noun	tur
yarlıq	noun	crh	simge	noun	tur
ğazel	noun	crh	gazel	noun	tur
qafiye	noun	crh	kafiye	noun	tur
beyit	noun	crh	beyit	noun	tur
knâz	noun	crh	prens	noun	tur
yaqlı	noun	crh	yanlısı	noun	tur
polkovnik	noun	crh	albay	noun	tur
semetdeş	noun	crh	hemşehri	noun	tur
poyezd	noun	crh	tren	noun	tur
press	noun	crh	basın	noun	tur
serleva	noun	crh	başlık	noun	tur
loqsahane	noun	crh	doğumevi	noun	tur
grant	noun	crh	hibe	noun	tur
anneksiya	noun	crh	ilhak	noun	tur
derc	noun	crh	yayın	noun	tur
hayriye	noun	crh	hayır	noun	tur
numayış	noun	crh	gösteri	noun	tur
boyevik	noun	crh	savaşçı	noun	tur
kündüz	noun	crh	gündüz	noun	tur
yasaq	noun	crh	yasak	noun	tur
qasevet	noun	crh	endişe	noun	tur
yarış	noun	crh	yarışma	noun	tur
qısqa	adjective	crh	kısa	adjective	tur
izaat	noun	crh	açıklama	noun	tur
afu	noun	crh	af	noun	tur
yanğın	noun	crh	yangın	noun	tur
mesleatçı	noun	crh	danışman	noun	tur
iştiraq	noun	crh	katılım	noun	tur
acet	noun	crh	gerek	noun	tur
şarait	noun	crh	şart	noun	tur
energetika	noun	crh	enerji	noun	tur
mahkemeci	noun	crh	hakim	noun	tur
keñeş	noun	crh	toplantı	noun	tur
keñeşçi	noun	crh	danışman	noun	tur
ciet	noun	crh	yön	noun	tur
mütehassıs	noun	crh	uzman	noun	tur
mesüliet	noun	crh	mesuliyet	noun	tur
basamaq	noun	crh	basamak	noun	tur
tahliye	noun	crh	tahliye	noun	tur
uçucı	noun	crh	pilot	noun	tur
laqırdı	noun	crh	sohbet	noun	tur
qoltutuv	noun	crh	destek	noun	tur
piket	noun	crh	miting	noun	tur
avto	noun	crh	araba	noun	tur
mudaafa	noun	crh	savunma	noun	tur
biznes	noun	crh	işletme	noun	tur
şaat	noun	crh	şahit	noun	tur
inkâr	noun	crh	inkar	noun	tur
erzaq	noun	crh	erzak	noun	tur
erzaq	noun	crh	yiyecek	noun	tur
ayırım	noun	crh	ayrım	noun	tur
adliye	noun	crh	adliye	noun	tur
adliye	noun	crh	hukuk	noun	tur
nezaretçi	noun	crh	idareci	noun	tur
komissar	noun	crh	komiser	noun	tur
cemaatçılıq	noun	crh	kamu	noun	tur
gümrük	noun	crh	gümrük	noun	tur
duma	noun	crh	meclis	noun	tur
teleleyha	noun	crh	televizyon programı	noun	tur
zorbalıq	noun	crh	zulüm	noun	tur
yolaq	noun	crh	yol	noun	tur
yolaq	noun	crh	kanal	noun	tur
sergi	noun	crh	sergi	noun	tur
ilâc	noun	crh	ilaç	noun	tur
brifing	noun	crh	brifing	noun	tur
aqıl	noun	crh	akıl	noun	tur
ziddiyet	noun	crh	kutuplaşma	noun	tur
samooborona	noun	crh	özsavunma	noun	tur
ketişat	noun	crh	gidişat	noun	tur
qavğa	noun	crh	kavga	noun	tur
nefaqa	noun	crh	maaş	noun	tur
yevro	noun	crh	euro	noun	tur
teşkerüv	noun	crh	sorgu	noun	tur
teşkerüv	noun	crh	sınav	noun	tur
kampaniya	noun	crh	kampanya	noun	tur
qıtlığı	noun	crh	kıtlık	noun	tur
taqiqatçı	noun	crh	soruşturmacı	noun	tur
sermiya	noun	crh	sermaye	noun	tur
resurs	noun	crh	kaynak	noun	tur
nomera	noun	crh	numara	noun	tur
kira	noun	crh	kira	noun	tur
negiz	noun	crh	temel	noun	tur
şübe	noun	crh	şube	noun	tur
umumtasil	noun	crh	ilköğretim	noun	tur
qaçaq	noun	crh	kaçak	noun	tur
ıntıluv	noun	crh	niyet	noun	tur
bilgisayar	noun	crh	bilgisayar	noun	tur
zona	noun	crh	bölge	noun	tur
ştab	noun	crh	merkez	noun	tur
farq	noun	crh	fark	noun	tur
buhran	noun	crh	buhran	noun	tur
ofis	noun	crh	ofis	noun	tur
mesüliet	noun	crh	sorumluluk	noun	tur
çalğı	noun	crh	enstrüman	noun	tur
raqam	noun	crh	rakam	noun	tur
küz	noun	crh	güz	noun	tur
bloger	noun	crh	blogcu	noun	tur
baqış	noun	crh	bakış	noun	tur
filologiya	noun	crh	filoloji	noun	tur
daqqa	noun	crh	dakika	noun	tur
cermay	noun	crh	petrol	noun	tur
drujinnik	noun	crh	gönüllü	noun	tur
göñülli	noun	crh	gönüllü	noun	tur
terakt	noun	crh	terörist faaliyet	noun	tur
eşelon	noun	crh	grup	noun	tur
ediye	noun	crh	hediye	noun	tur
ceset	noun	crh	ceset	noun	tur
qaza	noun	crh	kaza	noun	tur
qabarcılıq	noun	crh	rüşvetçilik	noun	tur
qabar	noun	crh	rüşvet	noun	tur
parom	noun	crh	vapur	noun	tur
ombudsmen	noun	crh	denetçi	noun	tur
damartı	noun	crh	arazi	noun	tur
azlıq	noun	crh	azınlık	noun	tur
agrar	noun	crh	ziraat	noun	tur
viza	noun	crh	vize	noun	tur
qavehane	noun	crh	kıraathane	noun	tur
konkurs	noun	crh	yarışma	noun	tur
boyevik	noun	crh	savaşçı	noun	tur
ansambl	noun	crh	topluluk	noun	tur
qıdır	noun	crh	ara	noun	tur
radiokomitet	noun	crh	radyo komisyonu	noun	tur
klarnet	noun	crh	klarnet	noun	tur
kemane	noun	crh	keman	noun	tur
diktor	noun	crh	spiker	noun	tur
qışlaq	noun	crh	köy	noun	tur
estrada	noun	crh	sahne	noun	tur
yır	noun	crh	şarkı	noun	tur
deportatsiya	noun	crh	sürgün	noun	tur
bediiy	noun	crh	sanatsal	noun	tur
orkestr	noun	crh	orkestra	noun	tur
direktor	noun	crh	yönetici	noun	tur
cıyıntıq	noun	crh	derleme	noun	tur
şay	adverb	crh	böyle	adverb	tur
umumtasil	noun	crh	ilköğretim	noun	tur
zal	noun	crh	salon	noun	tur
çalğıcı	noun	crh	müzisyen	noun	tur
spektakl	noun	crh	gösteri	noun	tur
uran	noun	crh	uranyum	noun	tur
pyesa	noun	crh	piyes	noun	tur
truppa	noun	crh	grup	noun	tur
quv	noun	crh	kov	noun	tur
vokal	noun	crh	vokal	noun	tur
kadr	noun	crh	kadro	noun	tur
meraqlı	noun	crh	ilginç	noun	tur
albuki	adverb	crh	halbuki	adverb	tur
zanaat	noun	crh	zanaat	noun	tur
qurucılıq	noun	crh	tasarım	noun	tur
körümli	noun	crh	önemli	noun	tur
dirijor	noun	crh	orkestra şefi	noun	tur
ajiotaj	noun	crh	furya	noun	tur
yetişmemezlik	noun	crh	kıtlık	noun	tur
abituryent	noun	crh	mezun	noun	tur
informatika	noun	crh	bilişim	noun	tur
Kezlevli	noun	crh	Kezlevli	noun	tur
kelecek	noun	crh	gelecek	noun	tur
tama	noun	crh	arma	noun	tur
köpür	noun	crh	köprü	noun	tur
muessise	noun	crh	müessese	noun	tur
konvoy	noun	crh	konvoy	noun	tur
ihtiyaç	noun	crh	ihtiyaç	noun	tur
yetekçi	noun	crh	yedek	noun	tur
saylav	noun	crh	seçim	noun	tur
patlav	noun	crh	patlama	noun	tur
bücet	noun	crh	bütçe	noun	tur
ur	verb	crh	vur	verb	tur
ur	verb	crh	vur	verb	tur
zenaat	noun	crh	zanaat	noun	tur
terroristik	adjective	crh	terörist	adjective	tur
tibbiyet	noun	crh	sağlık	noun	tur
tantanalı	adjective	crh	tantanalı	adjective	tur
subetleş	verb	crh	sohbet et	verb	tur
uyğunlaştır	verb	crh	uyarla	verb	tur
kerginleştir	verb	crh	ger	verb	tur
oqutuv	noun	crh	okutma	noun	tur
vatanperverlik	noun	crh	vatanperverlik	noun	tur
müit	noun	crh	muhit	noun	tur
tafsilâtlı	adjective	crh	ayrıntılı	adjective	tur
kommunistik	adjective	crh	komünist	adjective	tur
qaytuv	noun	crh	dönüş	noun	tur
kâtibiyet	noun	crh	katiplik	noun	tur
muvafaqiyetli	adjective	crh	başarılı	adjective	tur
muvafaqiyet	noun	crh	muvaffakiyet	noun	tur
muvafaqiyet	noun	crh	başarı	noun	tur
eyileştir	verb	crh	iyileştir	verb	tur
kerçekleştir	verb	crh	gerçekleştir	verb	tur
yetmegen	adjective	crh	yetmeyen	adjective	tur
tol	verb	crh	dol	verb	tur
kerçekten	adverb	crh	gerçekten	adverb	tur
avtomat	noun	crh	otomat	noun	tur
tedaviylev	noun	crh	tedavi	noun	tur
peyda et	verb	crh	yarat	verb	tur
küçleştir	verb	crh	güçlendir	verb	tur
tök	verb	crh	dök	verb	tur
muqayt	adjective	crh	mukayyet	adjective	tur
kollektsiya	noun	crh	koleksiyon	noun	tur
uzaqlaştır	verb	crh	uzaklaştır	verb	tur
yuttur	verb	crh	yuttur	verb	tur
istenilgen	adjective	crh	istenilen	adjective	tur
uzaqtan	adverb	crh	uzaktan	adverb	tur
quvetleş	verb	crh	kuvvetlen	verb	tur
teminlen	verb	crh	temin edil	verb	tur
devletlerara	adjective	crh	devletlerarası	adjective	tur
tedqiqiy	adjective	crh	tetkiki	adjective	tur
şahsiyleştir	verb	crh	özelleştir	verb	tur
rezidentsiya	noun	crh	konut	noun	tur
rağbetleştir	verb	crh	rağbet et	verb	tur
memnüniyetsizlik	noun	crh	memnuniyetsizlik	noun	tur
yetişken	adjective	crh	yetişkin	adjective	tur
tanıştır	verb	crh	tanıştır	verb	tur
sağlamlaştır	verb	crh	sağlamlaştır	verb	tur
üstünlik	noun	crh	üstünlük	noun	tur
tüyüm	noun	crh	düğüm	noun	tur
lenta	noun	crh	paskalya	noun	tur
tasdıqlama	noun	crh	doğrulama	noun	tur
rıtsar	noun	crh	şövalye	noun	tur
islâatçı	noun	crh	islahatçı	noun	tur
islâatçı	noun	crh	reformist	noun	tur
printsipial	adjective	crh	ana	adjective	tur
mevcutlıq	noun	crh	mevcut	noun	tur
sakinleştir	verb	crh	sakinleştir	verb	tur
avstriyalı	noun	crh	Avusturyalı	noun	tur
tilşınas	noun	crh	dilbilimci	noun	tur
qalq	verb	crh	kalk	verb	tur
populârlaştır	verb	crh	popülerleştir	verb	tur
zorlaştır	verb	crh	zorlaştır	verb	tur
taqdir	noun	crh	takdir	noun	tur
subet	noun	crh	sohbet	noun	tur
bütünlik	noun	crh	bütünlük	noun	tur
teşviqat	noun	crh	teşvik	noun	tur
teminlev	noun	crh	temin	noun	tur
ekstremizm	noun	crh	aşırılıkçılık	noun	tur
imperializm	noun	crh	emperyalizm	noun	tur
imperializm	noun	crh	yayılımcılık	noun	tur
siyasetşınas	noun	crh	siyasetbilimci	noun	tur
közetici	noun	crh	gözetmen	noun	tur
muhtac	noun	crh	muhtaç	noun	tur
qanuniyet	noun	crh	kanunilik	noun	tur
mesüliyet	noun	crh	mesuliyet	noun	tur
sanaat	noun	crh	sanat	noun	tur
akkreditatsiya	noun	crh	akreditasyon	noun	tur
istisalcı	noun	crh	üretici	noun	tur
veteran	noun	crh	gazi	noun	tur
raatlanuv	noun	crh	rahatlama	noun	tur
aqaretlev	noun	crh	hakaret	noun	tur
kollektiv	noun	crh	kolektif	noun	tur
sutka	noun	crh	dokuma	noun	tur
laureat	noun	crh	ödüllü	noun	tur
tercimeial	noun	crh	özgeçmiş	noun	tur
ayvanat	noun	crh	hayvanat	noun	tur
kombinat	noun	crh	birleşim	noun	tur
kombinat	noun	crh	birleştirme	noun	tur
tilşınaslıq	noun	crh	dilbilim	noun	tur
közetüv	noun	crh	gözetim	noun	tur
deşet	noun	crh	dehşet	noun	tur
seyaatçı	noun	crh	seyyah	noun	tur
devletleştirüv	noun	crh	devletleştirme	noun	tur
eksponat	noun	crh	sergi	noun	tur
zenit	noun	crh	tepe	noun	tur
diskriminatsiya	noun	crh	ayrımcılık	noun	tur
elektrostantsiya	noun	crh	elektrik santrali	noun	tur
adaptatsiya	noun	crh	adaptasyon	noun	tur
yıqıntılıq	noun	crh	yıkıntı	noun	tur
toquma	noun	crh	dokuma	noun	tur
hititologiya	noun	crh	hititoloji	noun	tur
elektroteminlev	noun	crh	elektrik teminatı	noun	tur
tükân	noun	crh	dükkan	noun	tur
advokat	noun	crh	avukat	noun	tur
erkek	noun	crh	erkek	noun	tur
aşayt	noun	crh	yiyecek	noun	tur
ög	noun	crh	ön	noun	tur
parom	noun	crh	vapur	noun	tur
yarım	noun	crh	yarım	noun	tur
tehnika	noun	crh	teçhizat	noun	tur
rejissör	noun	crh	yapımcı	noun	tur
mevzu	noun	crh	mevzu	noun	tur
media	noun	crh	medya	noun	tur
masraf	noun	crh	masraf	noun	tur
telüke	noun	crh	tehlike	noun	tur
soqaq	noun	crh	sokak	noun	tur
yalan	noun	crh	yalan	noun	tur
eyyet	noun	crh	heyet	noun	tur
kodeks	noun	crh	kanun	noun	tur
ekspert	noun	crh	uzman	noun	tur
art	noun	crh	art	noun	tur
tan	noun	crh	tan	noun	tur
ten	noun	crh	ten	noun	tur
hükümet	noun	crh	hükümet	noun	tur
tür	noun	crh	tür	noun	tur
mevcut	noun	crh	mevcut	noun	tur
toplam	noun	crh	toplam	noun	tur
kontrol	noun	crh	kontrol	noun	tur
toplum	noun	crh	toplum	noun	tur
temsil	noun	crh	temsil	noun	tur
öt	noun	crh	öt	noun	tur
işaret	noun	crh	işaret	noun	tur
şart	noun	crh	şart	noun	tur
hayat	noun	crh	hayat	noun	tur
şiddet	noun	crh	şiddet	noun	tur
tehdit	noun	crh	tehdit	noun	tur
net	noun	crh	net	noun	tur
adet	noun	crh	adet	noun	tur
fırsat	noun	crh	fırsat	noun	tur
inşaat	noun	crh	inşaat	noun	tur
hareket	noun	crh	hareket	noun	tur
potansiyel	noun	crh	potansiyel	noun	tur
it	noun	crh	it	noun	tur
ihtiyaç	noun	crh	ihtiyaç	noun	tur
seyahat	noun	crh	seyahat	noun	tur
istifa	noun	crh	istifa	noun	tur
araştırma	noun	crh	araştırma	noun	tur
hat	noun	crh	hat	noun	tur
futbol	noun	crh	futbol	noun	tur
itibar	noun	crh	itibar	noun	tur
çift	noun	crh	çift	noun	tur
toplu	noun	crh	toplu	noun	tur
tartışma	noun	crh	tartışma	noun	tur
teknoloji	noun	crh	teknoloji	noun	tur
turist	noun	crh	turist	noun	tur
foto	noun	crh	foto	noun	tur
diplomat	noun	crh	diplomat	noun	tur
tatil	noun	crh	tatil	noun	tur
kent	noun	crh	kent	noun	tur
istihbarat	noun	crh	istihbarat	noun	tur
yetki	noun	crh	yetki	noun	tur
boykot	noun	crh	boykot	noun	tur
sistem	noun	crh	sistem	noun	tur
metre	noun	crh	metre	noun	tur
telekom	noun	crh	telekom	noun	tur
kart	noun	crh	kart	noun	tur
bağlantı	noun	crh	bağlantı	noun	tur
komuta	noun	crh	komuta	noun	tur
sanatçı	noun	crh	sanatçı	noun	tur
et	noun	crh	et	noun	tur
tazminat	noun	crh	tazminat	noun	tur
ücret	noun	crh	ücret	noun	tur
festival	noun	crh	festival	noun	tur
tip	noun	crh	tip	noun	tur
mülkiyet	noun	crh	mülkiyet	noun	tur
cesaret	noun	crh	cesaret	noun	tur
mevzuat	noun	crh	mevzuat	noun	tur
trafik	noun	crh	trafik	noun	tur
protokol	noun	crh	protokol	noun	tur
itiraf	noun	crh	itiraf	noun	tur
teşekkür	noun	crh	teşekkür	noun	tur
talimat	noun	crh	talimat	noun	tur
veto	noun	crh	veto	noun	tur
taban	noun	crh	taban	noun	tur
ittifak	noun	crh	ittifak	noun	tur
yatırımcı	noun	crh	yatırımcı	noun	tur
merkeziyet	noun	crh	merkeziyet	noun	tur
çatışma	noun	crh	çatışma	noun	tur
tedavi	noun	crh	tedavi	noun	tur
doktor	noun	crh	doktor	noun	tur
otel	noun	crh	otel	noun	tur
anahtar	noun	crh	anahtar	noun	tur
sigorta	noun	crh	sigorta	noun	tur
akt	noun	crh	faaliyet	noun	tur
Katolik	noun	crh	Katolik	noun	tur
istismar	noun	crh	istismar	noun	tur
işletme	noun	crh	işletme	noun	tur
tütün	noun	crh	tütün	noun	tur
süt	noun	crh	süt	noun	tur
stand	noun	crh	stand	noun	tur
test	noun	crh	test	noun	tur
tablo	noun	crh	tablo	noun	tur
batı	noun	crh	batı	noun	tur
hata	noun	crh	hata	noun	tur
dost	noun	crh	dost	noun	tur
patlama	noun	crh	patlama	noun	tur
ziyaretçi	noun	crh	ziyaretçi	noun	tur
tane	noun	crh	tane	noun	tur
demokrat	noun	crh	demokrat	noun	tur
basketbol	noun	crh	basketbol	noun	tur
tas	noun	crh	tas	noun	tur
restoran	noun	crh	restoran	noun	tur
not	noun	crh	not	noun	tur
nefret	noun	crh	nefret	noun	tur
manastır	noun	crh	manastır	noun	tur
raport	noun	crh	rapor	noun	tur
bilet	noun	crh	bilet	noun	tur
standart	noun	crh	standart	noun	tur
temizlik	noun	crh	temizlik	noun	tur
tanıma	noun	crh	tanıma	noun	tur
pilot	noun	crh	pilot	noun	tur
aktör	noun	crh	aktör	noun	tur
metal	noun	crh	metal	noun	tur
imalat	noun	crh	imalat	noun	tur
ameliyat	noun	crh	ameliyat	noun	tur
sırt	noun	crh	sırt	noun	tur
tebrik	noun	crh	tebrik	noun	tur
imtiyaz	noun	crh	imtiyaz	noun	tur
sıfat	noun	crh	sıfat	noun	tur
hitap	noun	crh	hitap	noun	tur
bet	noun	crh	bet	noun	tur
anıt	noun	crh	anıt	noun	tur
paket	noun	crh	paket	noun	tur
taksi	noun	crh	taksi	noun	tur
maliyet	noun	crh	maliyet	noun	tur
teftiş	noun	crh	teftiş	noun	tur
portal	noun	crh	portal	noun	tur
ant	noun	crh	ant	noun	tur
atlet	noun	crh	atlet	noun	tur
usta	noun	crh	usta	noun	tur
tavan	noun	crh	tavan	noun	tur
rota	noun	crh	rota	noun	tur
suistimal	noun	crh	suistimal	noun	tur
müşteri	noun	crh	müşteri	noun	tur
yaratıcı	noun	crh	yaratıcı	noun	tur
ihanet	noun	crh	ihanet	noun	tur
müttefik	noun	crh	müttefik	noun	tur
etik	noun	crh	etik	noun	tur
ihtimal	noun	crh	ihtimal	noun	tur
yurt	noun	crh	yurt	noun	tur
metro	noun	crh	metro	noun	tur
tüfek	noun	crh	tüfek	noun	tur
iftira	noun	crh	iftira	noun	tur
tarihçi	noun	crh	tarihçi	noun	tur
helikopter	noun	crh	helikopter	noun	tur
alet	noun	crh	alet	noun	tur
tüp	noun	crh	tüp	noun	tur
istisna	noun	crh	istisna	noun	tur
örtü	noun	crh	örtü	noun	tur
ayet	noun	crh	ayet	noun	tur
tank	noun	crh	tank	noun	tur
senat	noun	crh	senato	noun	tur
ihtiyat	noun	crh	ihtiyat	noun	tur
iltica	noun	crh	iltica	noun	tur
harita	noun	crh	harita	noun	tur
teşebbüs	noun	crh	teşebbüs	noun	tur
motor	noun	crh	motor	noun	tur
ibadet	noun	crh	ibadet	noun	tur
transfer	noun	crh	transfer	noun	tur
kütüphane	noun	crh	kütüphane	noun	tur
montaj	noun	crh	montaj	noun	tur
inat	noun	crh	inat	noun	tur
cennet	noun	crh	cennet	noun	tur
tersi	noun	crh	tersi	noun	tur
temsilcilik	noun	crh	temsilcilik	noun	tur
tatlı	noun	crh	tatlı	noun	tur
çiftlik	noun	crh	çiftlik	noun	tur
terminal	noun	crh	terminal	noun	tur
tepe	noun	crh	tepe	noun	tur
tekne	noun	crh	tekne	noun	tur
raket	noun	crh	raket	noun	tur
genetik	noun	crh	genetik	noun	tur
beton	noun	crh	beton	noun	tur
atom	noun	crh	atom	noun	tur
tecrübe	noun	crh	tecrübe	noun	tur
iştirak	noun	crh	iştirak	noun	tur
start	noun	crh	start	noun	tur
müthiş	noun	crh	müthiş	noun	tur
tramvay	noun	crh	tramvay	noun	tur
topçu	noun	crh	topçu	noun	tur
tiş	noun	crh	diş	noun	tur
tarak	noun	crh	tarak	noun	tur
tamamlayıcı	noun	crh	tamamlayıcı	noun	tur
talebe	noun	crh	talebe	noun	tur
set	noun	crh	set	noun	tur
ceset	noun	crh	ceset	noun	tur
atıcı	noun	crh	atıcı	noun	tur
tuz	noun	crh	tuz	noun	tur
keten	noun	crh	keten	noun	tur
hit	noun	crh	hit	noun	tur
fırtına	noun	crh	fırtına	noun	tur
yetim	noun	crh	yetim	noun	tur
toz	noun	crh	toz	noun	tur
tazmin	noun	crh	tazmin	noun	tur
servet	noun	crh	servet	noun	tur
sarsıntı	noun	crh	sarsıntı	noun	tur
hatır	noun	crh	hatır	noun	tur
taşıyıcı	noun	crh	taşıyıcı	noun	tur
tamir	noun	crh	tamir	noun	tur
kapitalizm	noun	crh	kapitalizm	noun	tur
hayret	noun	crh	hayret	noun	tur
forvet	noun	crh	forvet	noun	tur
faşist	noun	crh	faşist	noun	tur
büst	noun	crh	büst	noun	tur
yetiştirme	noun	crh	yetiştirme	noun	tur
merhamet	noun	crh	merhamet	noun	tur
menfaat	noun	crh	menfaat	noun	tur
jest	noun	crh	jest	noun	tur
format	noun	crh	format	noun	tur
travma	noun	crh	travma	noun	tur
narkotik	noun	crh	narkotik	noun	tur
tiraj	noun	crh	tiraj	noun	tur
tel	noun	crh	tel	noun	tur
tat	noun	crh	tat	noun	tur
sebat	noun	crh	sebat	noun	tur
ot	noun	crh	ot	noun	tur
haydut	noun	crh	haydut	noun	tur
hakimiyet	noun	crh	hakimiyet	noun	tur
emanet	noun	crh	emanet	noun	tur
aktivist	noun	crh	aktivist	noun	tur
turmuş	noun	crh	hayat	noun	tur
turmuş	noun	crh	varlık	noun	tur
hububat	noun	crh	hububat	noun	tur
teşekkül	noun	crh	teşekkül	noun	tur
imal	noun	crh	imal	noun	tur
telef	noun	crh	telef	noun	tur
rağbet	noun	crh	rağbet	noun	tur
mezuniyet	noun	crh	mezuniyet	noun	tur
lütfen	noun	crh	lütfen	noun	tur
kefalet	noun	crh	kefalet	noun	tur
ibadethane	noun	crh	ibadethane	noun	tur
