"10a"-adjective-eo "X"-adjective-ca
"forpermeso"-noun-eo "permís"-noun-ca
"adicio"-noun-eo "addició"-noun-ca
"adicio"-noun-eo "suma"-noun-ca
"addició"-noun-ca "adicio"-noun-eo
"addició"-noun-ca "sumo"-noun-eo
"suma"-noun-ca "adicio"-noun-eo
"sumo"-noun-eo "addició"-noun-ca
"administra"-adjective-eo "administratiu"-adjective-ca
"administratiu"-adjective-ca "administra"-adjective-eo
"administracie"-adverb-eo "administrativament"-adverb-ca
"administrativament"-adverb-ca "administracie"-adverb-eo
"administrativament"-adverb-ca "administre"-adverb-eo
"administre"-adverb-eo "administrativament"-adverb-ca
"administració"-noun-ca "administrejo"-noun-eo
"administrejo"-noun-eo "administració"-noun-ca
"administranto"-noun-eo "administrador"-noun-ca
"administranto"-noun-eo "administratiu"-noun-ca
"administranto"-noun-eo "gestor"-noun-ca
"administrador"-noun-ca "administranto"-noun-eo
"administratiu"-noun-ca "administranto"-noun-eo
"gestor"-noun-ca "administranto"-noun-eo
"admiralo"-noun-eo "almirall"-noun-ca
"almirall"-noun-ca "admiralo"-noun-eo
"admirinda"-adjective-eo "admirable"-adjective-ca
"admirable"-adjective-ca "admirinda"-adjective-eo
"admono"-noun-eo "exhortació"-noun-ca
"exhortació"-noun-ca "admono"-noun-eo
"adoleska"-adjective-eo "adolescent"-adjective-ca
"adolescent"-adjective-ca "adoleska"-adjective-eo
"adoleskanto"-noun-eo "adolescent"-noun-ca
"adolescent"-noun-ca "adoleskanto"-noun-eo
"adolescent"-noun-ca "adoleskulo"-noun-eo
"adoleskulo"-noun-eo "adolescent"-noun-ca
"adolta"-adjective-eo "adult"-adjective-ca
"adult"-adjective-ca "adolta"-adjective-eo
"adult"-adjective-ca "plenkreska"-adjective-eo
"plenkreska"-adjective-eo "adult"-adjective-ca
"adolto"-noun-eo "adult"-noun-ca
"adult"-noun-ca "adolto"-noun-eo
"adult"-noun-ca "plenkreskulo"-noun-eo
"plenkreskulo"-noun-eo "adult"-noun-ca
"adorado"-noun-eo "adoració"-noun-ca
"adoració"-noun-ca "adorado"-noun-eo
"adresato"-noun-eo "destinatari"-noun-ca
"destinatari"-noun-ca "adresato"-noun-eo
"adreso"-noun-eo "adreça"-noun-ca
"adreça"-noun-ca "adreso"-noun-eo
"adstringa"-adjective-eo "astringent"-adjective-ca
"astringent"-adjective-ca "adstringa"-adjective-eo
"adzo"-noun-eo "aixa"-noun-ca
"aixa"-noun-ca "adzo"-noun-eo
"aero"-noun-eo "aire"-noun-ca
"aire"-noun-ca "aero"-noun-eo
"aire"-noun-ca "aspekto"-noun-eo
"aspekto"-noun-eo "aire"-noun-ca
"aspekto"-noun-eo "aparença"-noun-ca
"afabla"-adjective-eo "afable"-adjective-ca
"afabla"-adjective-eo "afectuós"-adjective-ca
"afabla"-adjective-eo "educat"-adjective-ca
"afable"-adjective-ca "afabla"-adjective-eo
"afable"-adjective-ca "plaĉa"-adjective-eo
"afable"-adjective-ca "malakra"-adjective-eo
"afectuós"-adjective-ca "afabla"-adjective-eo
"afectuós"-adjective-ca "tenera"-adjective-eo
"educat"-adjective-ca "afabla"-adjective-eo
"plaĉa"-adjective-eo "afable"-adjective-ca
"malakra"-adjective-eo "afable"-adjective-ca
"malakra"-adjective-eo "suau"-adjective-ca
"malakra"-adjective-eo "dolç"-adjective-ca
"tenera"-adjective-eo "afectuós"-adjective-ca
"tenera"-adjective-eo "delicat"-adjective-ca
"tenera"-adjective-eo "tendre"-adjective-ca
"afable"-adverb-eo "afectuosament"-adverb-ca
"afable"-adverb-eo "amablement"-adverb-ca
"afectuosament"-adverb-ca "afable"-adverb-eo
"afectuosament"-adverb-ca "tenere"-adverb-eo
"amablement"-adverb-ca "afable"-adverb-eo
"tenere"-adverb-eo "afectuosament"-adverb-ca
"tenere"-adverb-eo "amb tendresa"-adverb-ca
"afableco"-noun-eo "amabilitat"-noun-ca
"afableco"-noun-eo "cordialitat"-noun-ca
"amabilitat"-noun-ca "afableco"-noun-eo
"cordialitat"-noun-ca "afableco"-noun-eo
"afekcii"-verb-eo "afectar"-verb-ca
"afectar"-verb-ca "afekcii"-verb-eo
"afekcio"-noun-eo "afecció"-noun-ca
"afekcio"-noun-eo "malaltia"-noun-ca
"afecció"-noun-ca "afekcio"-noun-eo
"malaltia"-noun-ca "afekcio"-noun-eo
"afekto"-noun-eo "afectació"-noun-ca
"afectació"-noun-ca "afekto"-noun-eo
"afero"-noun-eo "cosa"-noun-ca
"cosa"-noun-ca "afero"-noun-eo
"cosa"-noun-ca "objekto"-noun-eo
"assumpte"-noun-ca "temo"-noun-eo
"temo"-noun-eo "assumpte"-noun-ca
"temo"-noun-eo "matèria"-noun-ca
"objekto"-noun-eo "cosa"-noun-ca
"objekto"-noun-eo "tema"-noun-ca
"afgana"-adjective-eo "afganès"-adjective-ca
"afgana"-adjective-eo "afgà"-adjective-ca
"afganès"-adjective-ca "afgana"-adjective-eo
"afgà"-adjective-ca "afgana"-adjective-eo
"afgano"-noun-eo "afganès"-noun-ca
"afgano"-noun-eo "afgà"-noun-ca
"afganès"-noun-ca "afgano"-noun-eo
"afgà"-noun-ca "afgano"-noun-eo
"afido"-noun-eo "pugó"-noun-ca
"pugó"-noun-ca "afido"-noun-eo
"afikso"-noun-eo "afix"-noun-ca
"afix"-noun-ca "afikso"-noun-eo
"afiŝo"-noun-eo "pòster"-noun-ca
"pòster"-noun-ca "afiŝo"-noun-eo
"aflikta"-adjective-eo "angoixant"-adjective-ca
"aflikta"-adjective-eo "angoixós"-adjective-ca
"angoixant"-adjective-ca "aflikta"-adjective-eo
"angoixós"-adjective-ca "aflikta"-adjective-eo
"aflikti"-verb-eo "angoixar"-verb-ca
"aflikti"-verb-eo "desolar"-verb-ca
"angoixar"-verb-ca "aflikti"-verb-eo
"desolar"-verb-ca "aflikti"-verb-eo
"afonio"-noun-eo "afonia"-noun-ca
"afonia"-noun-ca "afonio"-noun-eo
"aforismo"-noun-eo "aforisme"-noun-ca
"aforisme"-noun-ca "aforismo"-noun-eo
"afrikano"-noun-eo "africà"-noun-ca
"africà"-noun-ca "afrikano"-noun-eo
"Àfrica"-properNoun-ca "Àfrica"-properNoun-eo
"Àfrica"-properNoun-eo "Àfrica"-properNoun-ca
"acció"-noun-ca "akcio"-noun-eo
"acció"-noun-ca "faro"-noun-eo
"akcio"-noun-eo "acció"-noun-ca
"faro"-noun-eo "acció"-noun-ca
"faro"-noun-eo "fet"-noun-ca
"agema"-adjective-eo "actiu"-adjective-ca
"agema"-adjective-eo "treballador"-adjective-ca
"actiu"-adjective-ca "agema"-adjective-eo
"treballador"-adjective-ca "agema"-adjective-eo
"agento"-noun-eo "agent"-noun-ca
"agent"-noun-ca "agento"-noun-eo
"agitiĝo"-noun-eo "agitació"-noun-ca
"agitació"-noun-ca "agitiĝo"-noun-eo
"aglo"-noun-eo "àliga"-noun-ca
"àliga"-noun-ca "aglo"-noun-eo
"agnostikismo"-noun-eo "agnosticisme"-noun-ca
"agnosticisme"-noun-ca "agnostikismo"-noun-eo
"ago"-noun-eo "acte"-noun-ca
"acte"-noun-ca "ago"-noun-eo
"acte"-noun-ca "akto"-noun-eo
"acte"-noun-ca "aranĝo"-noun-eo
"akto"-noun-eo "acte"-noun-ca
"aranĝo"-noun-eo "acte"-noun-ca
"aranĝo"-noun-eo "arranjament"-noun-ca
"agonii"-verb-eo "agonitzar"-verb-ca
"agonitzar"-verb-ca "agonii"-verb-eo
"agonio"-noun-eo "agonia"-noun-ca
"agonia"-noun-ca "agonio"-noun-eo
"agordo"-noun-eo "humor"-noun-ca
"agordo"-noun-eo "sintonia"-noun-ca
"humor"-noun-ca "agordo"-noun-eo
"humor"-noun-ca "humoro"-noun-eo
"sintonia"-noun-ca "agordo"-noun-eo
"humoro"-noun-eo "humor"-noun-ca
"agrafo"-noun-eo "tanca"-noun-ca
"tanca"-noun-ca "agrafo"-noun-eo
"tanca"-noun-ca "barilo"-noun-eo
"tanca"-noun-ca "fermilo"-noun-eo
"barilo"-noun-eo "tanca"-noun-ca
"barilo"-noun-eo "barrera"-noun-ca
"barilo"-noun-eo "obstacle"-noun-ca
"fermilo"-noun-eo "tanca"-noun-ca
"agrara"-adjective-eo "agrícola"-adjective-ca
"agrícola"-adjective-ca "agrara"-adjective-eo
"agresanto"-noun-eo "agressor"-noun-ca
"agressor"-noun-ca "agresanto"-noun-eo
"agrikulturo"-noun-eo "agricultura"-noun-ca
"agricultura"-noun-ca "agrikulturo"-noun-eo
"agricultura"-noun-ca "agrokulturo"-noun-eo
"agrokulturo"-noun-eo "agricultura"-noun-ca
"agro"-noun-eo "camp"-noun-ca
"camp"-noun-ca "agro"-noun-eo
"camp"-noun-ca "kamparo"-noun-eo
"camp"-noun-ca "regiono"-noun-eo
"kamparo"-noun-eo "camp"-noun-ca
"regiono"-noun-eo "camp"-noun-ca
"regiono"-noun-eo "esfera"-noun-ca
"regiono"-noun-eo "comarca"-noun-ca
"regiono"-noun-eo "contrada"-noun-ca
"agronomio"-noun-eo "agronomia"-noun-ca
"agronomia"-noun-ca "agronomio"-noun-eo
"agronomo"-noun-eo "agrònom"-noun-ca
"agrònom"-noun-ca "agronomo"-noun-eo
"aidoso"-noun-eo "SIDA"-noun-ca
"SIDA"-noun-ca "aidoso"-noun-eo
"ajlo"-noun-eo "all"-noun-ca
"ajlo"-noun-eo "ceba"-noun-ca
"ajlo"-noun-eo "porro"-noun-ca
"all"-noun-ca "ajlo"-noun-eo
"ceba"-noun-ca "ajlo"-noun-eo
"ceba"-noun-ca "bulbo"-noun-eo
"ceba"-noun-ca "cepo"-noun-eo
"ceba"-noun-ca "manio"-noun-eo
"porro"-noun-ca "ajlo"-noun-eo
"porro"-noun-ca "rulaĵo"-noun-eo
"bulbo"-noun-eo "ceba"-noun-ca
"bulbo"-noun-eo "bulb"-noun-ca
"cepo"-noun-eo "ceba"-noun-ca
"manio"-noun-eo "ceba"-noun-ca
"manio"-noun-eo "dèria"-noun-ca
"manio"-noun-eo "mania"-noun-ca
"rulaĵo"-noun-eo "porro"-noun-ca
"aĵo"-noun-eo "objecte"-noun-ca
"objecte"-noun-ca "aĵo"-noun-eo
"objecte"-noun-ca "kariero"-noun-eo
"kariero"-noun-eo "objecte"-noun-ca
"ajudiki"-verb-eo "adjudicar"-verb-ca
"adjudicar"-verb-ca "ajudiki"-verb-eo
"akacio"-noun-eo "acàcia"-noun-ca
"acàcia"-noun-ca "akacio"-noun-eo
"akademiano"-noun-eo "acadèmic"-noun-ca
"acadèmic"-noun-ca "akademiano"-noun-eo
"akademie"-adverb-eo "acadèmicament"-adverb-ca
"acadèmicament"-adverb-ca "akademie"-adverb-eo
"akaro"-noun-eo "àcar"-noun-ca
"àcar"-noun-ca "akaro"-noun-eo
"akcelilo"-noun-eo "catalitzador"-noun-ca
"catalitzador"-noun-ca "akcelilo"-noun-eo
"akcento"-noun-eo "accent"-noun-ca
"akcento"-noun-eo "èmfasi"-noun-ca
"accent"-noun-ca "akcento"-noun-eo
"accent"-noun-ca "korno"-noun-eo
"accent"-noun-ca "akĉento"-noun-eo
"èmfasi"-noun-ca "akcento"-noun-eo
"korno"-noun-eo "accent"-noun-ca
"korno"-noun-eo "banya"-noun-ca
"korno"-noun-eo "trompa"-noun-ca
"akĉento"-noun-eo "accent"-noun-ca
"akcepteble"-adverb-eo "acceptablement"-adverb-ca
"acceptablement"-adverb-ca "akcepteble"-adverb-eo
"akceptejo"-noun-eo "vestíbul"-noun-ca
"vestíbul"-noun-ca "akceptejo"-noun-eo
"vestíbul"-noun-ca "antaŭĉambro"-noun-eo
"antaŭĉambro"-noun-eo "vestíbul"-noun-ca
"akcepto"-noun-eo "rebuda"-noun-ca
"akcepto"-noun-eo "recepció"-noun-ca
"rebuda"-noun-ca "akcepto"-noun-eo
"recepció"-noun-ca "akcepto"-noun-eo
"akcesora"-adjective-eo "accessori"-adjective-ca
"accessori"-adjective-ca "akcesora"-adjective-eo
"accessori"-adjective-ca "malĉefa"-adjective-eo
"malĉefa"-adjective-eo "accessori"-adjective-ca
"akcidento"-noun-eo "accident"-noun-ca
"accident"-noun-ca "akcidento"-noun-eo
"akcipitro"-noun-eo "esparver"-noun-ca
"esparver"-noun-ca "akcipitro"-noun-eo
"esparver"-noun-ca "nizo"-noun-eo
"nizo"-noun-eo "esparver"-noun-ca
"akiraĵo"-noun-eo "adquisició"-noun-ca
"adquisició"-noun-ca "akiraĵo"-noun-eo
"akno"-noun-eo "gra"-noun-ca
"gra"-noun-ca "akno"-noun-eo
"gra"-noun-ca "grajno"-noun-eo
"grajno"-noun-eo "gra"-noun-ca
"grajno"-noun-eo "bri"-noun-ca
"akompanantaro"-noun-eo "comitiva"-noun-ca
"comitiva"-noun-ca "akompanantaro"-noun-eo
"akompananto"-noun-eo "acompanyant"-noun-ca
"acompanyant"-noun-ca "akompananto"-noun-eo
"acompanyant"-noun-ca "kunulo"-noun-eo
"kunulo"-noun-eo "acompanyant"-noun-ca
"akordigebla"-adjective-eo "compatible"-adjective-ca
"compatible"-adjective-ca "akordigebla"-adjective-eo
"akordo"-noun-eo "concordança"-noun-ca
"concordança"-noun-ca "akordo"-noun-eo
"acord"-noun-ca "kompromiso"-noun-eo
"kompromiso"-noun-eo "acord"-noun-ca
"kompromiso"-noun-eo "compromís"-noun-ca
"acre"-adjective-ca "akra"-adjective-eo
"aspre"-adjective-ca "akra"-adjective-eo
"aspre"-adjective-ca "aspra"-adjective-eo
"aspre"-adjective-ca "kruda"-adjective-eo
"aspre"-adjective-ca "malglata"-adjective-eo
"agut"-adjective-ca "sprita"-adjective-eo
"sprita"-adjective-eo "agut"-adjective-ca
"sprita"-adjective-eo "enginyós"-adjective-ca
"sprita"-adjective-eo "brillant"-adjective-ca
"aspra"-adjective-eo "aspre"-adjective-ca
"kruda"-adjective-eo "aspre"-adjective-ca
"kruda"-adjective-eo "rude"-adjective-ca
"kruda"-adjective-eo "verge"-adjective-ca
"malglata"-adjective-eo "aspre"-adjective-ca
"malglata"-adjective-eo "desigual"-adjective-ca
"malglata"-adjective-eo "pedregós"-adjective-ca
"akrido"-noun-eo "llagosta"-noun-ca
"llagosta"-noun-ca "akrido"-noun-eo
"llagosta"-noun-ca "palinuro"-noun-eo
"palinuro"-noun-eo "llagosta"-noun-ca
"akromata"-adjective-eo "acromàtic"-adjective-ca
"acromàtic"-adjective-ca "akromata"-adjective-eo
"aksa"-adjective-eo "axial"-adjective-ca
"axial"-adjective-ca "aksa"-adjective-eo
"akselo"-noun-eo "aixella"-noun-ca
"aixella"-noun-ca "akselo"-noun-eo
"aksiomo"-noun-eo "axioma"-noun-ca
"axioma"-noun-ca "aksiomo"-noun-eo
"aktive"-adverb-eo "dinàmicament"-adverb-ca
"dinàmicament"-adverb-ca "aktive"-adverb-eo
"aktiveco"-noun-eo "activitat"-noun-ca
"activitat"-noun-ca "aktiveco"-noun-eo
"aktivo"-noun-eo "actiu"-noun-ca
"actiu"-noun-ca "aktivo"-noun-eo
"aktivulo"-noun-eo "activista"-noun-ca
"activista"-noun-ca "aktivulo"-noun-eo
"activista"-noun-ca "aktivisto"-noun-eo
"aktivisto"-noun-eo "activista"-noun-ca
"aktoro"-noun-eo "actor"-noun-ca
"actor"-noun-ca "aktoro"-noun-eo
"aktuala"-adjective-eo "actual"-adjective-ca
"actual"-adjective-ca "aktuala"-adjective-eo
"actual"-adjective-ca "hodiaŭa"-adjective-eo
"actual"-adjective-ca "nuna"-adjective-eo
"hodiaŭa"-adjective-eo "actual"-adjective-ca
"hodiaŭa"-adjective-eo "present"-adjective-ca
"nuna"-adjective-eo "actual"-adjective-ca
"aktualeco"-noun-eo "actualitat"-noun-ca
"actualitat"-noun-ca "aktualeco"-noun-eo
"actualitat"-noun-ca "nuntempo"-noun-eo
"nuntempo"-noun-eo "actualitat"-noun-ca
"nuntempo"-noun-eo "present"-noun-ca
"akumulatoro"-noun-eo "acumulador"-noun-ca
"acumulador"-noun-ca "akumulatoro"-noun-eo
"akupunkturo"-noun-eo "acupuntura"-noun-ca
"acupuntura"-noun-ca "akupunkturo"-noun-eo
"akurateco"-noun-eo "puntualitat"-noun-ca
"puntualitat"-noun-ca "akurateco"-noun-eo
"part"-noun-ca "loko"-noun-eo
"loko"-noun-eo "part"-noun-ca
"loko"-noun-eo "indret"-noun-ca
"loko"-noun-eo "localitat"-noun-ca
"akustiko"-noun-eo "acústica"-noun-ca
"acústica"-noun-ca "akustiko"-noun-eo
"akuzativo"-noun-eo "acusatiu"-noun-ca
"acusatiu"-noun-ca "akuzativo"-noun-eo
"akuzi"-verb-eo "imputar"-verb-ca
"imputar"-verb-ca "akuzi"-verb-eo
"akuzito"-noun-eo "acusat"-noun-ca
"acusat"-noun-ca "akuzito"-noun-eo
"akva"-adjective-eo "nàutic"-adjective-ca
"nàutic"-adjective-ca "akva"-adjective-eo
"akvarelo"-noun-eo "aquarel·la"-noun-ca
"aquarel·la"-noun-ca "akvarelo"-noun-eo
"akvario"-noun-eo "aquari"-noun-ca
"aquari"-noun-ca "akvario"-noun-eo
"akvedukto"-noun-eo "aqüeducte"-noun-ca
"aqüeducte"-noun-ca "akvedukto"-noun-eo
"akvofalo"-noun-eo "cascada"-noun-ca
"cascada"-noun-ca "akvofalo"-noun-eo
"cascada"-noun-ca "falakvo"-noun-eo
"cascada"-noun-ca "kaskadego"-noun-eo
"cascada"-noun-ca "kaskado"-noun-eo
"cascada"-noun-ca "katarakto"-noun-eo
"falakvo"-noun-eo "cascada"-noun-ca
"kaskadego"-noun-eo "cascada"-noun-ca
"kaskado"-noun-eo "cascada"-noun-ca
"katarakto"-noun-eo "cascada"-noun-ca
"katarakto"-noun-eo "cataracta"-noun-ca
"akvomelono"-noun-eo "síndria"-noun-ca
"síndria"-noun-ca "akvomelono"-noun-eo
"alabastro"-noun-eo "alabastre"-noun-ca
"alabastre"-noun-ca "alabastro"-noun-eo
"alertar"-verb-ca "averti"-verb-eo
"averti"-verb-eo "alertar"-verb-ca
"averti"-verb-eo "avisar"-verb-ca
"alarmo"-noun-eo "alerta"-noun-ca
"alerta"-noun-ca "alarmo"-noun-eo
"albana"-adjective-eo "albanès"-adjective-ca
"albanès"-adjective-ca "albana"-adjective-eo
"albano"-noun-eo "albanès"-noun-ca
