"qualsevol"-determiner-ca "ajna"-determiner-eo
"mallarĝe"-adverb-eo "estretament"-adverb-ca
"estretament"-adverb-ca "mallarĝe"-adverb-eo
"íntimament"-adverb-ca "intime"-adverb-eo
"intime"-adverb-eo "íntimament"-adverb-ca
"aproximadament"-adverb-ca "proksimume"-adverb-eo
"proksimume"-adverb-eo "aproximadament"-adverb-ca
"al voltant"-adverb-ca "ĉirkaŭe"-adverb-eo
"ĉirkaŭe"-adverb-eo "al voltant"-adverb-ca
"intence"-adverb-eo "intencionadament"-adverb-ca
"intence"-adverb-eo "expressament"-adverb-ca
"intence"-adverb-eo "deliberadament"-adverb-ca
"intencionadament"-adverb-ca "intence"-adverb-eo
"expressament"-adverb-ca "intence"-adverb-eo
"deliberadament"-adverb-ca "intence"-adverb-eo
"eksplicite"-adverb-eo "explícitament"-adverb-ca
"explícitament"-adverb-ca "eksplicite"-adverb-eo
"intel·ligentment"-adverb-ca "inteligente"-adverb-eo
"inteligente"-adverb-eo "intel·ligentment"-adverb-ca
"specife"-adverb-eo "específicament"-adverb-ca
"específicament"-adverb-ca "specife"-adverb-eo
"concretament"-adverb-ca "konkrete"-adverb-eo
"konkrete"-adverb-eo "concretament"-adverb-ca
"de fet"-adverb-ca "fakte"-adverb-eo
"fakte"-adverb-eo "de fet"-adverb-ca
"preferentment"-adverb-ca "prefere"-adverb-eo
"prefere"-adverb-eo "preferentment"-adverb-ca
"tamen"-adverb-eo "tanmateix"-adverb-ca
"tanmateix"-adverb-ca "tamen"-adverb-eo
"dume"-adverb-eo "mentrestant"-adverb-ca
"dume"-adverb-eo "entretant"-adverb-ca
"mentrestant"-adverb-ca "dume"-adverb-eo
"entretant"-adverb-ca "dume"-adverb-eo
"hodiaŭ"-adverb-eo "avui"-adverb-ca
"hodiaŭ"-adverb-eo "hui"-adverb-ca
"avui"-adverb-ca "hodiaŭ"-adverb-eo
"hui"-adverb-ca "hodiaŭ"-adverb-eo
"nun"-adverb-eo "ara"-adverb-ca
"ara"-adverb-ca "nun"-adverb-eo
"unue"-adverb-eo "primer"-adverb-ca
"unue"-adverb-eo "primerament"-adverb-ca
"unue"-adverb-eo "en primer lloc"-adverb-ca
"primer"-adverb-ca "unue"-adverb-eo
"primerament"-adverb-ca "unue"-adverb-eo
"en primer lloc"-adverb-ca "unue"-adverb-eo
"actualment"-adverb-ca "nuntempe"-adverb-eo
"nuntempe"-adverb-eo "actualment"-adverb-ca
"nuntempe"-adverb-eo "avui en dia"-adverb-ca
"nuntempe"-adverb-eo "hui dia"-adverb-ca
"nuntempe"-adverb-eo "avui dia"-adverb-ca
"avui en dia"-adverb-ca "nuntempe"-adverb-eo
"hui dia"-adverb-ca "nuntempe"-adverb-eo
"avui dia"-adverb-ca "nuntempe"-adverb-eo
"tie"-adverb-eo "allà"-adverb-ca
"tie"-adverb-eo "allí"-adverb-ca
"tie"-adverb-eo "ací"-adverb-ca
"tie"-adverb-eo "aquí"-adverb-ca
"allà"-adverb-ca "tie"-adverb-eo
"allí"-adverb-ca "tie"-adverb-eo
"ací"-adverb-ca "tie"-adverb-eo
"aquí"-adverb-ca "tie"-adverb-eo
"a més"-adverb-ca "cetere"-adverb-eo
"a més"-adverb-ca "krome"-adverb-eo
"cetere"-adverb-eo "a més"-adverb-ca
"krome"-adverb-eo "a més"-adverb-ca
"krome"-adverb-eo "a més a més"-adverb-ca
"a més a més"-adverb-ca "krome"-adverb-eo
"pretere"-adverb-eo "més enllà"-adverb-ca
"més enllà"-adverb-ca "pretere"-adverb-eo
"per altra banda"-adverb-ca "aliflanke"-adverb-eo
"aliflanke"-adverb-eo "per altra banda"-adverb-ca
"aliflanke"-adverb-eo "d'altra banda"-adverb-ca
"d'altra banda"-adverb-ca "aliflanke"-adverb-eo
"malantaŭen"-adverb-eo "enrere"-adverb-ca
"malantaŭen"-adverb-eo "endarrere"-adverb-ca
"malantaŭen"-adverb-eo "endarrera"-adverb-ca
"enrere"-adverb-ca "malantaŭen"-adverb-eo
"endarrere"-adverb-ca "malantaŭen"-adverb-eo
"endarrera"-adverb-ca "malantaŭen"-adverb-eo
"malantaŭe"-adverb-eo "darrere"-adverb-ca
"malantaŭe"-adverb-eo "darrera"-adverb-ca
"malantaŭe"-adverb-eo "rere"-adverb-ca
"darrere"-adverb-ca "malantaŭe"-adverb-eo
"darrera"-adverb-ca "malantaŭe"-adverb-eo
"rere"-adverb-ca "malantaŭe"-adverb-eo
"neniam"-adverb-eo "mai"-adverb-ca
"mai"-adverb-ca "neniam"-adverb-eo
"sisteme"-adverb-eo "sistemàticament"-adverb-ca
"sistemàticament"-adverb-ca "sisteme"-adverb-eo
"akurate"-adverb-eo "puntualment"-adverb-ca
"puntualment"-adverb-ca "akurate"-adverb-eo
"regularment"-adverb-ca "kutime"-adverb-eo
"kutime"-adverb-eo "regularment"-adverb-ca
"kutime"-adverb-eo "habitualment"-adverb-ca
"kutime"-adverb-eo "normalment"-adverb-ca
"habitualment"-adverb-ca "kutime"-adverb-eo
"normalment"-adverb-ca "kutime"-adverb-eo
"ofte"-adverb-eo "sovint"-adverb-ca
"ofte"-adverb-eo "freqüentment"-adverb-ca
"sovint"-adverb-ca "ofte"-adverb-eo
"freqüentment"-adverb-ca "ofte"-adverb-eo
"conjuntament"-adverb-ca "kune"-adverb-eo
"kune"-adverb-eo "conjuntament"-adverb-ca
"kune"-adverb-eo "ensems"-adverb-ca
"kune"-adverb-eo "juntament"-adverb-ca
"ensems"-adverb-ca "kune"-adverb-eo
"juntament"-adverb-ca "kune"-adverb-eo
"abunde"-adverb-eo "abundantment"-adverb-ca
"abundantment"-adverb-ca "abunde"-adverb-eo
"apenaŭ"-adverb-eo "a penes"-adverb-ca
"a penes"-adverb-ca "apenaŭ"-adverb-eo
"difícilment"-adverb-ca "malfacile"-adverb-eo
"malfacile"-adverb-eo "difícilment"-adverb-ca
"sendepende"-adverb-eo "independentment"-adverb-ca
"independentment"-adverb-ca "sendepende"-adverb-eo
"nekredeble"-adverb-eo "increïblement"-adverb-ca
"increïblement"-adverb-ca "nekredeble"-adverb-eo
"potence"-adverb-eo "poderosament"-adverb-ca
"poderosament"-adverb-ca "potence"-adverb-eo
"meravellosament"-adverb-ca "mirinde"-adverb-eo
"mirinde"-adverb-eo "meravellosament"-adverb-ca
"fora"-adverb-ca "ekstere"-adverb-eo
"ekstere"-adverb-eo "fora"-adverb-ca
"pace"-adverb-eo "pacíficament"-adverb-ca
"pacíficament"-adverb-ca "pace"-adverb-eo
"nesufiĉe"-adverb-eo "insuficientment"-adverb-ca
"insuficientment"-adverb-ca "nesufiĉe"-adverb-eo
"eterne"-adverb-eo "eternament"-adverb-ca
"eternament"-adverb-ca "eterne"-adverb-eo
"sempre"-adverb-ca "ĉiam"-adverb-eo
"ĉiam"-adverb-eo "sempre"-adverb-ca
"periòdicament"-adverb-ca "periode"-adverb-eo
"periode"-adverb-eo "periòdicament"-adverb-ca
"repetidament"-adverb-ca "ree"-adverb-eo
"ree"-adverb-eo "repetidament"-adverb-ca
"indefinidament"-adverb-ca "nedifinite"-adverb-eo
"nedifinite"-adverb-eo "indefinidament"-adverb-ca
"quan"-adverb-ca "kiam"-adverb-eo
"kiam"-adverb-eo "quan"-adverb-ca
"a part"-adverb-ca "aparte"-adverb-eo
"aparte"-adverb-eo "a part"-adverb-ca
"aparte"-adverb-eo "separadament"-adverb-ca
"aparte"-adverb-eo "particularment"-adverb-ca
"separadament"-adverb-ca "aparte"-adverb-eo
"particularment"-adverb-ca "aparte"-adverb-eo
"hazarde"-adverb-eo "accidentalment"-adverb-ca
"accidentalment"-adverb-ca "hazarde"-adverb-eo
"de vegades"-adverb-ca "foje"-adverb-eo
"foje"-adverb-eo "de vegades"-adverb-ca
"foje"-adverb-eo "a vegades"-adverb-ca
"a vegades"-adverb-ca "foje"-adverb-eo
"rarament"-adverb-ca "malofte"-adverb-eo
"malofte"-adverb-eo "rarament"-adverb-ca
"de tempo al tempo"-adverb-eo "ocasionalment"-adverb-ca
"ocasionalment"-adverb-ca "de tempo al tempo"-adverb-eo
"eventuale"-adverb-eo "eventualment"-adverb-ca
"eventualment"-adverb-ca "eventuale"-adverb-eo
"sinsekve"-adverb-eo "successivament"-adverb-ca
"successivament"-adverb-ca "sinsekve"-adverb-eo
"violentament"-adverb-ca "perforte"-adverb-eo
"perforte"-adverb-eo "violentament"-adverb-ca
"en absolut"-adverb-ca "tute ne"-adverb-eo
"tute ne"-adverb-eo "en absolut"-adverb-ca
"tute ne"-adverb-eo "gens"-adverb-ca
"gens"-adverb-ca "tute ne"-adverb-eo
"tute"-adverb-eo "completament"-adverb-ca
"tute"-adverb-eo "enterament"-adverb-ca
"completament"-adverb-ca "tute"-adverb-eo
"enterament"-adverb-ca "tute"-adverb-eo
"indiscutiblement"-adverb-ca "nediskuteble"-adverb-eo
"nediskuteble"-adverb-eo "indiscutiblement"-adverb-ca
"amistosament"-adverb-ca "amike"-adverb-eo
"amike"-adverb-eo "amistosament"-adverb-ca
"atente"-adverb-eo "atentament"-adverb-ca
"atentament"-adverb-ca "atente"-adverb-eo
"subtilment"-adverb-ca "subtile"-adverb-eo
"subtile"-adverb-eo "subtilment"-adverb-ca
"unuflanke"-adverb-eo "per una banda"-adverb-ca
"unuflanke"-adverb-eo "d'una banda"-adverb-ca
"per una banda"-adverb-ca "unuflanke"-adverb-eo
"d'una banda"-adverb-ca "unuflanke"-adverb-eo
"injustament"-adverb-ca "maljuste"-adverb-eo
"maljuste"-adverb-eo "injustament"-adverb-ca
"severe"-adverb-eo "severament"-adverb-ca
"severament"-adverb-ca "severe"-adverb-eo
"videble"-adverb-eo "visiblement"-adverb-ca
"visiblement"-adverb-ca "videble"-adverb-eo
"considerablement"-adverb-ca "konsiderinde"-adverb-eo
"konsiderinde"-adverb-eo "considerablement"-adverb-ca
"esence"-adverb-eo "bàsicament"-adverb-ca
"esence"-adverb-eo "essencialment"-adverb-ca
"bàsicament"-adverb-ca "esence"-adverb-eo
"essencialment"-adverb-ca "esence"-adverb-eo
"furioze"-adverb-eo "furiosament"-adverb-ca
"furiosament"-adverb-ca "furioze"-adverb-eo
"efike"-adverb-eo "eficaçment"-adverb-ca
"eficaçment"-adverb-ca "efike"-adverb-eo
"agradablement"-adverb-ca "agrable"-adverb-eo
"agrable"-adverb-eo "agradablement"-adverb-ca
"alegrement"-adverb-ca "gaje"-adverb-eo
"gaje"-adverb-eo "alegrement"-adverb-ca
"laŭdeve"-adverb-eo "degudament"-adverb-ca
"degudament"-adverb-ca "laŭdeve"-adverb-eo
"persone"-adverb-eo "personalment"-adverb-ca
"personalment"-adverb-ca "persone"-adverb-eo
"laŭleĝe"-adverb-eo "legalment"-adverb-ca
"legalment"-adverb-ca "laŭleĝe"-adverb-eo
"sí"-adverb-ca "jes"-adverb-eo
"jes"-adverb-eo "sí"-adverb-ca
"així"-adverb-ca "tiel"-adverb-eo
"tiel"-adverb-eo "així"-adverb-ca
"tiel"-adverb-eo "tant"-adverb-ca
"tant"-adverb-ca "tiel"-adverb-eo
"també"-adverb-ca "ankaŭ"-adverb-eo
"ankaŭ"-adverb-eo "també"-adverb-ca
"same"-adverb-eo "igualment"-adverb-ca
"same"-adverb-eo "així mateix"-adverb-ca
"igualment"-adverb-ca "same"-adverb-eo
"així mateix"-adverb-ca "same"-adverb-eo
"exactament"-adverb-ca "ĝuste"-adverb-eo
"ĝuste"-adverb-eo "exactament"-adverb-ca
"ĝuste"-adverb-eo "correctament"-adverb-ca
"ĝuste"-adverb-eo "precisament"-adverb-ca
"ĝuste"-adverb-eo "justament"-adverb-ca
"correctament"-adverb-ca "ĝuste"-adverb-eo
"precisament"-adverb-ca "ĝuste"-adverb-eo
"justament"-adverb-ca "ĝuste"-adverb-eo
"bé"-adverb-ca "bone"-adverb-eo
"bone"-adverb-eo "bé"-adverb-ca
"facile"-adverb-eo "fàcilment"-adverb-ca
"fàcilment"-adverb-ca "facile"-adverb-eo
"gaire"-adverb-ca "tre"-adverb-eo
"tre"-adverb-eo "gaire"-adverb-ca
"tre"-adverb-eo "molt"-adverb-ca
"tre"-adverb-eo "altament"-adverb-ca
"molt"-adverb-ca "tre"-adverb-eo
"altament"-adverb-ca "tre"-adverb-eo
"principalment"-adverb-ca "precipe"-adverb-eo
"precipe"-adverb-eo "principalment"-adverb-ca
"precipe"-adverb-eo "sobretot"-adverb-ca
"sobretot"-adverb-ca "precipe"-adverb-eo
"notinde"-adverb-eo "notablement"-adverb-ca
"notablement"-adverb-ca "notinde"-adverb-eo
"clarament"-adverb-ca "klare"-adverb-eo
"klare"-adverb-eo "clarament"-adverb-ca
"kategorie"-adverb-eo "rotundament"-adverb-ca
"rotundament"-adverb-ca "kategorie"-adverb-eo
"milde"-adverb-eo "suaument"-adverb-ca
"suaument"-adverb-ca "milde"-adverb-eo
"una mica"-adverb-ca "iom"-adverb-eo
"iom"-adverb-eo "una mica"-adverb-ca
"sincerament"-adverb-ca "sincere"-adverb-eo
"sincere"-adverb-eo "sincerament"-adverb-ca
"sincere"-adverb-eo "francament"-adverb-ca
"francament"-adverb-ca "sincere"-adverb-eo
"evidente"-adverb-eo "evidentment"-adverb-ca
"evidente"-adverb-eo "òbviament"-adverb-ca
"evidentment"-adverb-ca "evidente"-adverb-eo
"òbviament"-adverb-ca "evidente"-adverb-eo
"certament"-adverb-ca "certe"-adverb-eo
"certe"-adverb-eo "certament"-adverb-ca
"segurament"-adverb-ca "verŝajne"-adverb-eo
"verŝajne"-adverb-eo "segurament"-adverb-ca
"sendube"-adverb-eo "indubtablement"-adverb-ca
"sendube"-adverb-eo "sens dubte"-adverb-ca
"indubtablement"-adverb-ca "sendube"-adverb-eo
"sens dubte"-adverb-ca "sendube"-adverb-eo
"força"-adverb-ca "sufiĉe"-adverb-eo
"sufiĉe"-adverb-eo "força"-adverb-ca
"sufiĉe"-adverb-eo "bastant"-adverb-ca
"sufiĉe"-adverb-eo "prou"-adverb-ca
"sufiĉe"-adverb-eo "suficientment"-adverb-ca
"bastant"-adverb-ca "sufiĉe"-adverb-eo
"prou"-adverb-ca "sufiĉe"-adverb-eo
"suficientment"-adverb-ca "sufiĉe"-adverb-eo
"male"-adverb-eo "en canvi"-adverb-ca
"en canvi"-adverb-ca "male"-adverb-eo
"per contra"-adverb-ca "kontraŭe"-adverb-eo
"kontraŭe"-adverb-eo "per contra"-adverb-ca
"rekte"-adverb-eo "directament"-adverb-ca
"directament"-adverb-ca "rekte"-adverb-eo
"nur"-adverb-eo "només"-adverb-ca
"nur"-adverb-eo "únicament"-adverb-ca
"només"-adverb-ca "nur"-adverb-eo
"únicament"-adverb-ca "nur"-adverb-eo
"espontàniament"-adverb-ca "spontane"-adverb-eo
"spontane"-adverb-eo "espontàniament"-adverb-ca
"simple nur"-adverb-eo "merament"-adverb-ca
"merament"-adverb-ca "simple nur"-adverb-eo
"simple"-adverb-eo "senzillament"-adverb-ca
"simple"-adverb-eo "simplement"-adverb-ca
"senzillament"-adverb-ca "simple"-adverb-eo
"simplement"-adverb-ca "simple"-adverb-eo
"poste"-adverb-eo "després"-adverb-ca
"poste"-adverb-eo "posteriorment"-adverb-ca
"després"-adverb-ca "poste"-adverb-eo
"posteriorment"-adverb-ca "poste"-adverb-eo
"contínuament"-adverb-ca "senĉese"-adverb-eo
"senĉese"-adverb-eo "contínuament"-adverb-ca
"senĉese"-adverb-eo "constantment"-adverb-ca
"constantment"-adverb-ca "senĉese"-adverb-eo
"konstante"-adverb-eo "permanentment"-adverb-ca
"permanentment"-adverb-ca "konstante"-adverb-eo
"abans"-adverb-ca "antaŭe"-adverb-eo
"antaŭe"-adverb-eo "abans"-adverb-ca
"antaŭe"-adverb-eo "anteriorment"-adverb-ca
"antaŭe"-adverb-eo "davant"-adverb-ca
"antaŭe"-adverb-eo "prèviament"-adverb-ca
"antaŭe"-adverb-eo "al davant"-adverb-ca
"anteriorment"-adverb-ca "antaŭe"-adverb-eo
"davant"-adverb-ca "antaŭe"-adverb-eo
"prèviament"-adverb-ca "antaŭe"-adverb-eo
"al davant"-adverb-ca "antaŭe"-adverb-eo
"endavant"-adverb-ca "antaŭen"-adverb-eo
"antaŭen"-adverb-eo "endavant"-adverb-ca
"a sota"-adverb-ca "sube"-adverb-eo
"sube"-adverb-eo "a sota"-adverb-ca
"sube"-adverb-eo "sota"-adverb-ca
"sube"-adverb-eo "a baix"-adverb-ca
"sube"-adverb-eo "davall"-adverb-ca
"sota"-adverb-ca "sube"-adverb-eo
"a baix"-adverb-ca "sube"-adverb-eo
"davall"-adverb-ca "sube"-adverb-eo
"davall"-adverb-ca "malsupre"-adverb-eo
"malsupre"-adverb-eo "davall"-adverb-ca
"jam"-adverb-eo "ja"-adverb-ca
"ja"-adverb-ca "jam"-adverb-eo
"més"-adverb-ca "pli"-adverb-eo
"pli"-adverb-eo "més"-adverb-ca
"ekstreme"-adverb-eo "extremadament"-adverb-ca
"extremadament"-adverb-ca "ekstreme"-adverb-eo
"finalment"-adverb-ca "fine"-adverb-eo
"fine"-adverb-eo "finalment"-adverb-ca
"novament"-adverb-ca "denove"-adverb-eo
"denove"-adverb-eo "novament"-adverb-ca
"denove"-adverb-eo "una altra vegada"-adverb-ca
"una altra vegada"-adverb-ca "denove"-adverb-eo
"lastatempe"-adverb-eo "últimament"-adverb-ca
"lastatempe"-adverb-eo "darrerament"-adverb-ca
"últimament"-adverb-ca "lastatempe"-adverb-eo
"darrerament"-adverb-ca "lastatempe"-adverb-eo
"plene"-adverb-eo "plenament"-adverb-ca
"plenament"-adverb-ca "plene"-adverb-eo
"ĝenerale"-adverb-eo "generalment"-adverb-ca
"generalment"-adverb-ca "ĝenerale"-adverb-eo
"substance"-adverb-eo "substancialment"-adverb-ca
"substancialment"-adverb-ca "substance"-adverb-eo
"vere"-adverb-eo "veritablement"-adverb-ca
"vere"-adverb-eo "realment"-adverb-ca
"veritablement"-adverb-ca "vere"-adverb-eo
"realment"-adverb-ca "vere"-adverb-eo
"urgentment"-adverb-ca "urĝe"-adverb-eo
"urĝe"-adverb-eo "urgentment"-adverb-ca
"malament"-adverb-ca "malbone"-adverb-eo
"malbone"-adverb-eo "malament"-adverb-ca
"komforte"-adverb-eo "còmodament"-adverb-ca
"còmodament"-adverb-ca "komforte"-adverb-eo
"encara"-adverb-ca "ankoraŭ"-adverb-eo
"ankoraŭ"-adverb-eo "encara"-adverb-ca
"mia"-determiner-eo "el meu"-determiner-ca
"el meu"-determiner-ca "mia"-determiner-eo
"via"-determiner-eo "el vostre"-determiner-ca
"via"-determiner-eo "el teu"-determiner-ca
"el vostre"-determiner-ca "via"-determiner-eo
"el teu"-determiner-ca "via"-determiner-eo
"ambdós"-determiner-ca "ambaŭ"-determiner-eo
"ambaŭ"-determiner-eo "ambdós"-determiner-ca
"el seu"-determiner-ca "ŝia"-determiner-eo
"el seu"-determiner-ca "ĝia"-determiner-eo
"el seu"-determiner-ca "lia"-determiner-eo
"el seu"-determiner-ca "ilia"-determiner-eo
"ŝia"-determiner-eo "el seu"-determiner-ca
"ĝia"-determiner-eo "el seu"-determiner-ca
"lia"-determiner-eo "el seu"-determiner-ca
"ilia"-determiner-eo "el seu"-determiner-ca
"ilia"-determiner-eo "llur"-determiner-ca
"llur"-determiner-ca "ilia"-determiner-eo
"nia"-determiner-eo "el nostre"-determiner-ca
"el nostre"-determiner-ca "nia"-determiner-eo
"res"-pronoun-ca "nenio"-pronoun-eo
"nenio"-pronoun-eo "res"-pronoun-ca
"tio"-pronoun-eo "això"-pronoun-ca
"tio"-pronoun-eo "allò"-pronoun-ca
"tio"-pronoun-eo "açò"-pronoun-ca
"això"-pronoun-ca "tio"-pronoun-eo
"allò"-pronoun-ca "tio"-pronoun-eo
"açò"-pronoun-ca "tio"-pronoun-eo
"que"-pronoun-ca "kiu"-relativePronoun-eo
"que"-pronoun-ca "kiu"-pronoun-eo
"kiu"-relativePronoun-eo "que"-pronoun-ca
"kiu"-relativePronoun-eo "el qual"-pronoun-ca
"kiu"-relativePronoun-eo "qui"-pronoun-ca
"kiu"-pronoun-eo "que"-pronoun-ca
"kiu"-pronoun-eo "el qual"-pronoun-ca
"kiu"-pronoun-eo "qui"-pronoun-ca
"el qual"-pronoun-ca "kiu"-relativePronoun-eo
"el qual"-pronoun-ca "kiu"-pronoun-eo
"qui"-pronoun-ca "kiu"-relativePronoun-eo
"qui"-pronoun-ca "kiu"-pronoun-eo
"kio"-relativePronoun-eo "què"-pronoun-ca
"què"-pronoun-ca "kio"-relativePronoun-eo
"què"-pronoun-ca "kio"-pronoun-eo
"kio"-pronoun-eo "què"-pronoun-ca
"prpers"-pronoun-eo "mi"-pronoun-ca
"prpers"-pronoun-eo "ho"-pronoun-ca
"mi"-pronoun-ca "prpers"-pronoun-eo
"ho"-pronoun-ca "prpers"-pronoun-eo
"ĉiu"-pronoun-eo "tothom"-pronoun-ca
"ĉiu"-pronoun-eo "tot"-pronoun-ca
"ĉiu"-pronoun-eo "cadascú"-pronoun-ca
"tothom"-pronoun-ca "ĉiu"-pronoun-eo
"tot"-pronoun-ca "ĉiu"-pronoun-eo
"cadascú"-pronoun-ca "ĉiu"-pronoun-eo
"ningú"-pronoun-ca "neniu"-pronoun-eo
"neniu"-pronoun-eo "ningú"-pronoun-ca
"algú"-pronoun-ca "iu"-pronoun-eo
"iu"-pronoun-eo "algú"-pronoun-ca
"iu"-pronoun-eo "algun"-pronoun-ca
"algun"-pronoun-ca "iu"-pronoun-eo
"on"-adverb-ca "kie"-adverb-eo
"kie"-adverb-eo "on"-adverb-ca
"mitjançant"-preposition-ca "pere de"-preposition-eo
"pere de"-preposition-eo "mitjançant"-preposition-ca
"pere de"-preposition-eo "per mitjà de"-preposition-ca
"per mitjà de"-preposition-ca "pere de"-preposition-eo
"laŭ"-preposition-eo "segons"-preposition-ca
"segons"-preposition-ca "laŭ"-preposition-eo
"amb"-preposition-ca "kun"-preposition-eo
"kun"-preposition-eo "amb"-preposition-ca
"al"-preposition-eo "a"-preposition-ca
"al"-preposition-eo "cap a"-preposition-ca
"al"-preposition-eo "envers"-preposition-ca
"a"-preposition-ca "al"-preposition-eo
"cap a"-preposition-ca "al"-preposition-eo
"envers"-preposition-ca "al"-preposition-eo
"pro"-preposition-eo "a causa de"-preposition-ca
"a causa de"-preposition-ca "pro"-preposition-eo
"ĉirkaŭ"-preposition-eo "al voltant de"-preposition-ca
"al voltant de"-preposition-ca "ĉirkaŭ"-preposition-eo
"a través de"-preposition-ca "tra"-preposition-eo
"tra"-preposition-eo "a través de"-preposition-ca
"per"-preposition-ca "por"-preposition-eo
"por"-preposition-eo "per"-preposition-ca
"por"-preposition-eo "per a"-preposition-ca
"de"-preposition-eo "de"-preposition-ca
"de"-preposition-eo "des de"-preposition-ca
"de"-preposition-ca "de"-preposition-eo
"des de"-preposition-ca "de"-preposition-eo
"per a"-preposition-ca "por"-preposition-eo
"sobre"-preposition-ca "sur"-preposition-eo
"sur"-preposition-eo "sobre"-preposition-ca
"sur"-preposition-eo "damunt"-preposition-ca
"damunt"-preposition-ca "sur"-preposition-eo
"en"-preposition-ca "en"-preposition-eo
"en"-preposition-eo "en"-preposition-ca
"en"-preposition-eo "dins"-preposition-ca
"en"-preposition-eo "dins de"-preposition-ca
"dins"-preposition-ca "en"-preposition-eo
"dins de"-preposition-ca "en"-preposition-eo
"fora de"-preposition-ca "ekster"-preposition-eo
"ekster"-preposition-eo "fora de"-preposition-ca
"a més de"-preposition-ca "krom"-preposition-eo
"krom"-preposition-eo "a més de"-preposition-ca
"krom"-preposition-eo "excepte"-preposition-ca
"excepte"-preposition-ca "krom"-preposition-eo
"després de"-preposition-ca "post"-preposition-eo
"post"-preposition-eo "després de"-preposition-ca
"malantaŭ"-preposition-eo "darrere de"-preposition-ca
"darrere de"-preposition-ca "malantaŭ"-preposition-eo
"dum"-preposition-eo "durant"-preposition-ca
"durant"-preposition-ca "dum"-preposition-eo
"sota"-preposition-ca "sub"-preposition-eo
"sub"-preposition-eo "sota"-preposition-ca
"sub"-preposition-eo "sota de"-preposition-ca
"sota de"-preposition-ca "sub"-preposition-eo
"sense"-preposition-ca "sen"-preposition-eo
"sen"-preposition-eo "sense"-preposition-ca
"entre"-preposition-ca "inter"-preposition-eo
"inter"-preposition-eo "entre"-preposition-ca
"abans de"-preposition-ca "antaŭ"-preposition-eo
