"a algún lugar"-adverb-es "to somewhere"-adverb-en
"stand-off"-noun-en "punto muerto"-noun-es
"reset"-noun-en "reset"-noun-es
"reset"-noun-es "reset"-noun-en
"incongruencia"-noun-es "incongruence"-noun-en
"incongruence"-noun-en "incongruencia"-noun-es
"oporto"-noun-es "port wine"-noun-en
"port wine"-noun-en "oporto"-noun-es
"concatenation"-noun-en "concatenación"-noun-es
"concatenación"-noun-es "concatenation"-noun-en
"authentication"-noun-en "autenticación"-noun-es
"autenticación"-noun-es "authentication"-noun-en
"nozzle"-noun-en "tobera"-noun-es
"tobera"-noun-es "nozzle"-noun-en
"heptagon"-noun-en "heptágono"-noun-es
"heptágono"-noun-es "heptagon"-noun-en
"icosahedron"-noun-en "icosaedro"-noun-es
"icosaedro"-noun-es "icosahedron"-noun-en
"iteration"-noun-en "iteración"-noun-es
"iteración"-noun-es "iteration"-noun-en
"millisecond"-noun-en "milisegundo"-noun-es
"milisegundo"-noun-es "millisecond"-noun-en
"micrófono oculto"-noun-es "hidden microphone"-noun-en
"hidden microphone"-noun-en "micrófono oculto"-noun-es
"octahedron"-noun-en "octaedro"-noun-es
"octaedro"-noun-es "octahedron"-noun-en
"parallelogram"-noun-en "paralelograma"-noun-es
"paralelograma"-noun-es "parallelogram"-noun-en
"quadrangle"-noun-en "cuadrángulo"-noun-es
"cuadrángulo"-noun-es "quadrangle"-noun-en
"tetrahedron"-noun-en "tetraedro"-noun-es
"tetraedro"-noun-es "tetrahedron"-noun-en
"turning"-noun-en "torneado"-noun-es
"torneado"-noun-es "turning"-noun-en
"alpha"-noun-en "alfa"-noun-es
"alfa"-noun-es "alpha"-noun-en
"ineffectiveness"-noun-en "inoperancia"-noun-es
"inoperancia"-noun-es "ineffectiveness"-noun-en
"silvicultura"-noun-es "sylviculture"-noun-en
"sylviculture"-noun-en "silvicultura"-noun-es
"latency"-noun-en "latencia"-noun-es
"latencia"-noun-es "latency"-noun-en
"estadístico"-noun-es "statistician"-noun-en
"statistician"-noun-en "estadístico"-noun-es
"delimiter"-noun-en "delimitador"-noun-es
"delimitador"-noun-es "delimiter"-noun-en
"multiplexer"-noun-en "multiplexor"-noun-es
"multiplexor"-noun-es "multiplexer"-noun-en
"equivalente"-noun-es "analogue"-noun-en
"analogue"-noun-en "equivalente"-noun-es
"debugger"-noun-en "depurador"-noun-es
"depurador"-noun-es "debugger"-noun-en
"decoder"-noun-en "descodificador"-noun-es
"decoder"-noun-en "decodificador"-noun-es
"descodificador"-noun-es "decoder"-noun-en
"decodificador"-noun-es "decoder"-noun-en
"carriage return"-noun-en "retorno de carro"-noun-es
"retorno de carro"-noun-es "carriage return"-noun-en
"heater"-noun-en "calefactor"-noun-es
"calefactor"-noun-es "heater"-noun-en
"boiling-point"-noun-en "punto de ebullición"-noun-es
"punto de ebullición"-noun-es "boiling-point"-noun-en
"freezing point"-noun-en "punto de congelación"-noun-es
"punto de congelación"-noun-es "freezing point"-noun-en
"clipboard"-noun-en "portapapeles"-noun-es
"portapapeles"-noun-es "clipboard"-noun-en
"sequencer"-noun-en "secuenciador"-noun-es
"secuenciador"-noun-es "sequencer"-noun-en
"recycleable"-adjective-en "reciclable"-adjective-es
"reciclable"-adjective-es "recycleable"-adjective-en
"reciclable"-adjective-es "recyclable"-adjective-en
"recyclable"-adjective-en "reciclable"-adjective-es
"extracurricular"-adjective-en "extracurricular"-adjective-es
"extracurricular"-adjective-es "extracurricular"-adjective-en
"khaki"-adjective-en "caqui"-adjective-es
"caqui"-adjective-es "khaki"-adjective-en
"detachable"-adjective-en "separable"-adjective-es
"separable"-adjective-es "detachable"-adjective-en
"separable"-adjective-es "disengagable"-adjective-en
"disengagable"-adjective-en "separable"-adjective-es
"bidirectional"-adjective-en "bidireccional"-adjective-es
"bidireccional"-adjective-es "bidirectional"-adjective-en
"cariado"-adjective-es "decayed"-adjective-en
"decayed"-adjective-en "cariado"-adjective-es
"decayed"-adjective-en "deteriorado"-adjective-es
"lustroso"-adjective-es "lustrous"-adjective-en
"lustrous"-adjective-en "lustroso"-adjective-es
"removable"-adjective-en "desmontable"-adjective-es
"desmontable"-adjective-es "removable"-adjective-en
"desmontable"-adjective-es "dismountable"-adjective-en
"dismountable"-adjective-en "desmontable"-adjective-es
"ordinal"-adjective-en "ordinal"-adjective-es
"ordinal"-adjective-es "ordinal"-adjective-en
"isochronous"-adjective-en "isócrono"-adjective-es
"isócrono"-adjective-es "isochronous"-adjective-en
"retell"-verb-en "volver a contar"-verb-es
"volver a contar"-verb-es "retell"-verb-en
"solidarizar"-verb-es "support"-presentParticipleAdjective-en
"support"-presentParticipleAdjective-en "solidarizar"-verb-es
"support"-presentParticipleAdjective-en "solidarizarse"-pronoun-es
"support"-presentParticipleAdjective-en "solidarizarse"-verb-es
"support"-presentParticipleAdjective-en "solidarizarse con"-pronoun-es
"support"-presentParticipleAdjective-en "solidarizarse con"-verb-es
"solidarizarse"-pronoun-es "support"-presentParticipleAdjective-en
"solidarizarse"-verb-es "support"-presentParticipleAdjective-en
"solidarizarse con"-pronoun-es "support"-presentParticipleAdjective-en
"solidarizarse con"-verb-es "support"-presentParticipleAdjective-en
"cansarse"-pronoun-es "tire"-presentParticipleAdjective-en
"cansarse"-pronoun-es "get tired"-verb-en
"tire"-presentParticipleAdjective-en "cansarse"-pronoun-es
"tire"-presentParticipleAdjective-en "cansarse"-verb-es
"get tired"-verb-en "cansarse"-pronoun-es
"get tired"-verb-en "cansarse"-verb-es
"cansarse"-verb-es "tire"-presentParticipleAdjective-en
"cansarse"-verb-es "get tired"-verb-en
"meddle"-verb-en "inmiscuirse"-pronoun-es
"meddle"-verb-en "inmiscuirse"-verb-es
"inmiscuirse"-pronoun-es "meddle"-verb-en
"inmiscuirse"-verb-es "meddle"-verb-en
"remendar"-verb-es "patch up"-verb-en
"patch up"-verb-en "remendar"-verb-es
"cluck"-verb-en "clocar"-verb-es
"clocar"-verb-es "cluck"-verb-en
"dar un beso"-verb-es "kiss"-presentParticipleAdjective-en
"kiss"-presentParticipleAdjective-en "dar un beso"-verb-es
"desenterrar"-verb-es "dig up"-verb-en
"dig up"-verb-en "desenterrar"-verb-es
"interesarse"-pronoun-es "become interested"-verb-en
"interesarse"-pronoun-es "ask after"-verb-en
"become interested"-verb-en "interesarse"-pronoun-es
"become interested"-verb-en "interesarse"-verb-es
"ask after"-verb-en "interesarse"-pronoun-es
"ask after"-verb-en "interesarse"-verb-es
"ask after"-verb-en "preguntar por"-verb-es
"interesarse"-verb-es "become interested"-verb-en
"interesarse"-verb-es "ask after"-verb-en
"enrollar"-verb-es "coil up"-verb-en
"enrollar"-verb-es "roll up"-verb-en
"coil up"-verb-en "enrollar"-verb-es
"roll up"-verb-en "enrollar"-verb-es
"pasar consulta"-verb-es "see"-presentParticipleAdjective-en
"see"-presentParticipleAdjective-en "pasar consulta"-verb-es
"posarse"-pronoun-es "alight"-verb-en
"alight"-verb-en "posarse"-pronoun-es
"alight"-verb-en "posarse"-verb-es
"alight"-verb-en "apearse"-pronoun-es
"alight"-verb-en "apearse"-verb-es
"posarse"-verb-es "alight"-verb-en
"hundirse"-pronoun-es "sink"-presentParticipleAdjective-en
"hundirse"-pronoun-es "slump down"-verb-en
"sink"-presentParticipleAdjective-en "hundirse"-pronoun-es
"sink"-presentParticipleAdjective-en "hundirse"-verb-es
"slump down"-verb-en "hundirse"-pronoun-es
"slump down"-verb-en "hundirse"-verb-es
"hundirse"-verb-es "sink"-presentParticipleAdjective-en
"hundirse"-verb-es "slump down"-verb-en
"moverse"-pronoun-es "move over"-verb-en
"move over"-verb-en "moverse"-pronoun-es
"move over"-verb-en "moverse"-verb-es
"move over"-verb-en "apartarse"-pronoun-es
"move over"-verb-en "apartarse"-verb-es
"moverse"-verb-es "move over"-verb-en
"trinar"-verb-es "trill"-verb-en
"trill"-verb-en "trinar"-verb-es
"ansiar"-verb-es "long for"-verb-en
"ansiar"-verb-es "yearn for"-verb-en
"long for"-verb-en "ansiar"-verb-es
"yearn for"-verb-en "ansiar"-verb-es
"look forward to"-verb-en "quedar a la espera de"-verb-es
"look forward to"-verb-en "esperar poder"-verb-es
"quedar a la espera de"-verb-es "look forward to"-verb-en
"esperar poder"-verb-es "look forward to"-verb-en
"flow into"-verb-en "afluir a"-verb-es
"afluir a"-verb-es "flow into"-verb-en
"slow down"-verb-en "ir más despacio"-verb-es
"ir más despacio"-verb-es "slow down"-verb-en
"turn sour"-verb-en "agriar"-verb-es
"turn sour"-verb-en "agriarse"-pronoun-es
"turn sour"-verb-en "agriarse"-verb-es
"agriar"-verb-es "turn sour"-verb-en
"agriarse"-pronoun-es "turn sour"-verb-en
"agriarse"-verb-es "turn sour"-verb-en
"enfadarse"-pronoun-es "become angry"-verb-en
"enfadarse"-pronoun-es "make angry"-verb-en
"become angry"-verb-en "enfadarse"-pronoun-es
"become angry"-verb-en "enfadarse"-verb-es
"make angry"-verb-en "enfadarse"-pronoun-es
"make angry"-verb-en "enfadarse"-verb-es
"make angry"-verb-en "cabrear"-verb-es
"enfadarse"-verb-es "become angry"-verb-en
"enfadarse"-verb-es "make angry"-verb-en
"cabrear"-verb-es "make angry"-verb-en
"cabrear"-verb-es "piss off"-verb-en
"piss off"-verb-en "cabrear"-verb-es
"get married"-verb-en "casarse"-pronoun-es
"get married"-verb-en "casarse"-verb-es
"casarse"-pronoun-es "get married"-verb-en
"casarse"-verb-es "get married"-verb-en
"Keane"-noun-en "Keane"-noun-es
"Keane"-noun-en "Keane"-properNoun-es
"Keane"-noun-es "Keane"-noun-en
"Keane"-noun-es "Keane"-properNoun-en
"Keane"-properNoun-es "Keane"-noun-en
"Keane"-properNoun-es "Keane"-properNoun-en
"Keane"-properNoun-en "Keane"-noun-es
"Keane"-properNoun-en "Keane"-properNoun-es
"Lennon"-noun-en "Lennon"-noun-es
"Lennon"-noun-es "Lennon"-noun-en
"Lennon"-noun-es "Lennon"-properNoun-en
"Lennon"-properNoun-en "Lennon"-noun-es
"Grace"-properNoun-en "Grace"-properNoun-es
"Grace"-properNoun-es "Grace"-properNoun-en
"O'Leary"-noun-en "O'Leary"-noun-es
"O'Leary"-noun-en "O'Leary"-properNoun-es
"O'Leary"-noun-es "O'Leary"-noun-en
"O'Leary"-noun-es "O'Leary"-properNoun-en
"O'Leary"-properNoun-es "O'Leary"-noun-en
"O'Leary"-properNoun-es "O'Leary"-properNoun-en
"O'Leary"-properNoun-en "O'Leary"-noun-es
"O'Leary"-properNoun-en "O'Leary"-properNoun-es
"O'Regan"-noun-en "O'Regan"-noun-es
"O'Regan"-noun-en "O'Regan"-properNoun-es
"O'Regan"-noun-es "O'Regan"-noun-en
"O'Regan"-noun-es "O'Regan"-properNoun-en
"O'Regan"-properNoun-es "O'Regan"-noun-en
"O'Regan"-properNoun-es "O'Regan"-properNoun-en
"O'Regan"-properNoun-en "O'Regan"-noun-es
"O'Regan"-properNoun-en "O'Regan"-properNoun-es
"Cork"-properNoun-en "Cork"-properNoun-es
"Cork"-properNoun-es "Cork"-properNoun-en
"Manchester"-properNoun-en "Mánchester"-properNoun-es
"Mánchester"-properNoun-es "Manchester"-properNoun-en
"Canberra"-properNoun-en "Camberra"-properNoun-es
"Camberra"-properNoun-es "Canberra"-properNoun-en
"Castile-La Mancha"-properNoun-en "Castilla La Mancha"-properNoun-es
"Castilla La Mancha"-properNoun-es "Castile-La Mancha"-properNoun-en
"Channel Islands"-properNoun-en "Islas del Canal"-properNoun-es
"Channel Islands"-properNoun-en "Islas Anglonormandas"-properNoun-es
"Islas del Canal"-properNoun-es "Channel Islands"-properNoun-en
"Islas Anglonormandas"-properNoun-es "Channel Islands"-properNoun-en
"Indian Ocean"-properNoun-en "Índico"-properNoun-es
"Índico"-properNoun-es "Indian Ocean"-properNoun-en
"Karlsruhe"-properNoun-en "Karlsruhe"-properNoun-es
"Karlsruhe"-properNoun-es "Karlsruhe"-properNoun-en
"Ohio"-properNoun-en "Ohio"-properNoun-es
"Ohio"-properNoun-es "Ohio"-properNoun-en
"Reykjavik"-properNoun-en "Reikiavik"-properNoun-es
"Reikiavik"-properNoun-es "Reykjavik"-properNoun-en
"first"-determiner-en "primer"-determiner-es
"primer"-determiner-es "first"-determiner-en
"second"-determiner-en "segundo"-determiner-es
"segundo"-determiner-es "second"-determiner-en
"third"-determiner-en "tercer"-determiner-es
"tercer"-determiner-es "third"-determiner-en
"fourth"-determiner-en "cuarto"-determiner-es
"cuarto"-determiner-es "fourth"-determiner-en
"fifth"-determiner-en "quinto"-determiner-es
"quinto"-determiner-es "fifth"-determiner-en
"sixth"-determiner-en "sexto"-determiner-es
"sexto"-determiner-es "sixth"-determiner-en
"seventh"-determiner-en "séptimo"-determiner-es
"séptimo"-determiner-es "seventh"-determiner-en
"eighth"-determiner-en "octavo"-determiner-es
"octavo"-determiner-es "eighth"-determiner-en
"ninth"-determiner-en "noveno"-determiner-es
"noveno"-determiner-es "ninth"-determiner-en
"tenth"-determiner-en "décimo"-determiner-es
"décimo"-determiner-es "tenth"-determiner-en
"twelfth"-determiner-en "duodécimo"-determiner-es
"duodécimo"-determiner-es "twelfth"-determiner-en
"fifteenth"-determiner-en "decimoquinto"-determiner-es
"decimoquinto"-determiner-es "fifteenth"-determiner-en
"twentieth"-determiner-en "vigésimo"-determiner-es
"vigésimo"-determiner-es "twentieth"-determiner-en
"tatarabuelo"-noun-es "great-great-grandfather"-noun-en
"tatarabuelo"-noun-es "great-great-grandmother"-noun-en
"great-great-grandfather"-noun-en "tatarabuelo"-noun-es
"great-great-grandmother"-noun-en "tatarabuelo"-noun-es
"inmediatez"-noun-es "immediacy"-noun-en
"immediacy"-noun-en "inmediatez"-noun-es
"de frente"-adverb-es "head on"-adverb-en
"head on"-adverb-en "de frente"-adverb-es
"en el sentido de las agujas del reloj"-adverb-es "in a clockwise direction"-adverb-en
"in a clockwise direction"-adverb-en "en el sentido de las agujas del reloj"-adverb-es
"menos aún"-adverb-es "still less"-adverb-en
"still less"-adverb-en "menos aún"-adverb-es
"aún más"-adverb-es "still more"-adverb-en
"still more"-adverb-en "aún más"-adverb-es
"por orden de llegada"-adverb-es "in order of arrival"-adverb-en
"in order of arrival"-adverb-en "por orden de llegada"-adverb-es
"fuera de temporada"-adverb-es "unseasonably"-adverb-en
"unseasonably"-adverb-en "fuera de temporada"-adverb-es
"al frente de"-preposition-es "at the head of"-preposition-en
"at the head of"-preposition-en "al frente de"-preposition-es
"la mayoría de"-determiner-es "the most"-determiner-en
"the most"-determiner-en "la mayoría de"-determiner-es
"la mayoría"-pronoun-es "the majority"-pronoun-en
"the majority"-pronoun-en "la mayoría"-pronoun-es
"un billón"-numeral-es "a trillion"-numeral-en
"un billón"-numeral-es "one trillion"-numeral-en
"a trillion"-numeral-en "un billón"-numeral-es
"one trillion"-numeral-en "un billón"-numeral-es
"one trillion"-numeral-en "un billón de"-numeral-es
"billón"-numeral-es "trillion"-numeral-en
"trillion"-numeral-en "billón"-numeral-es
"trillion"-numeral-en "billón de"-numeral-es
"abruptness"-noun-en "brusquedad"-noun-es
"brusquedad"-noun-es "abruptness"-noun-en
"trade union"-noun-en "asociación obrera"-noun-es
"asociación obrera"-noun-es "trade union"-noun-en
"professional union"-noun-en "sindicato profesional"-noun-es
"sindicato profesional"-noun-es "professional union"-noun-en
"workers' union"-noun-en "sindicato de trabajadores"-noun-es
"sindicato de trabajadores"-noun-es "workers' union"-noun-en
"sindicato de trabajadores"-noun-es "workers union"-noun-en
"workers union"-noun-en "sindicato de trabajadores"-noun-es
"reckless abandon"-noun-en "desenfreno"-noun-es
"desenfreno"-noun-es "reckless abandon"-noun-en
"desenfreno"-noun-es "wild abandon"-noun-en
"wild abandon"-noun-en "desenfreno"-noun-es
"riding school"-noun-en "escuela de equitación"-noun-es
"escuela de equitación"-noun-es "riding school"-noun-en
"aboriginal"-adjective-en "aborigen"-adjective-es
"aborigen"-adjective-es "aboriginal"-adjective-en
"across the pond"-preposition-en "al otro lado del charco"-preposition-es
"al otro lado del charco"-preposition-es "across the pond"-preposition-en
"political spectrum"-noun-en "espectro político"-noun-es
"espectro político"-noun-es "political spectrum"-noun-en
"monkey wrench"-noun-en "llave inglesa"-noun-es
"llave inglesa"-noun-es "monkey wrench"-noun-en
"coastal fishing"-noun-en "pesca costera"-noun-es
"pesca costera"-noun-es "coastal fishing"-noun-en
"go too far"-verb-en "pasarse de la raya"-pronoun-es
"go too far"-verb-en "pasarse de la raya"-verb-es
"pasarse de la raya"-pronoun-es "go too far"-verb-en
"pasarse de la raya"-verb-es "go too far"-verb-en
"ikurrina"-noun-en "ikurrina"-noun-es
"ikurrina"-noun-es "ikurrina"-noun-en
"scored season"-noun-en "temporada puntuable"-noun-es
"temporada puntuable"-noun-es "scored season"-noun-en
"scored regatta"-noun-en "regata puntuable"-noun-es
"regata puntuable"-noun-es "scored regatta"-noun-en
"scored journey"-noun-en "jornada puntuable"-noun-es
"jornada puntuable"-noun-es "scored journey"-noun-en
"authorisation for therapeutic use"-noun-en "autorización para uso terapéutico"-noun-es
"autorización para uso terapéutico"-noun-es "authorisation for therapeutic use"-noun-en
"council chamber"-noun-en "salón de plenos del ayuntamiento"-noun-es
"salón de plenos del ayuntamiento"-noun-es "council chamber"-noun-en
"rowing association of the Bay of Biscay"-noun-en "asociación de remo del cantábrico"-noun-es
"asociación de remo del cantábrico"-noun-es "rowing association of the Bay of Biscay"-noun-en
"navigation trade"-noun-en "gremio de mareantes"-noun-es
"gremio de mareantes"-noun-es "navigation trade"-noun-en
"rowing boats' league of Galicia"-noun-en "liga gallega de traineras"-noun-es
"liga gallega de traineras"-noun-es "rowing boats' league of Galicia"-noun-en
"BP"-noun-en "BP"-noun-es
"BP"-noun-es "BP"-noun-en
"bandeira"-noun-en "bandeira"-noun-es
"bandeira"-noun-es "bandeira"-noun-en
"fishing port"-noun-en "puerto pesquero"-noun-es
"puerto pesquero"-noun-es "fishing port"-noun-en
"coastal fishing port"-noun-en "puerto pesquero de bajura"-noun-es
"puerto pesquero de bajura"-noun-es "coastal fishing port"-noun-en
"Concello de Moaña"-properNoun-en "Concello de Moaña"-properNoun-es
"Concello de Moaña"-properNoun-es "Concello de Moaña"-properNoun-en
"Concello de Boiro"-properNoun-en "Concello de Boiro"-properNoun-es
"Concello de Boiro"-properNoun-es "Concello de Boiro"-properNoun-en
"Concello de Riveira"-properNoun-en "Concello de Riveira"-properNoun-es
"Concello de Riveira"-properNoun-es "Concello de Riveira"-properNoun-en
"Concello de Pontevedra"-properNoun-en "Concello de Pontevedra"-properNoun-es
"Concello de Pontevedra"-properNoun-es "Concello de Pontevedra"-properNoun-en
"Concello de O Grove"-properNoun-en "Concello de O Grove"-properNoun-es
"Concello de O Grove"-properNoun-es "Concello de O Grove"-properNoun-en
"Concello de Ogrove"-properNoun-en "Concello de Ogrove"-properNoun-es
"Concello de Ogrove"-properNoun-es "Concello de Ogrove"-properNoun-en
"Concello de Poio"-properNoun-en "Concello de Poio"-properNoun-es
"Concello de Poio"-properNoun-es "Concello de Poio"-properNoun-en
"Castro Urdiales"-properNoun-en "Castro Urdiales"-properNoun-es
"Castro Urdiales"-properNoun-es "Castro Urdiales"-properNoun-en
"Mikeo"-noun-en "Mikeo"-noun-es
"Mikeo"-noun-es "Mikeo"-noun-en
"Mikeo"-noun-es "Mikeo"-properNoun-en
"Mikeo"-properNoun-en "Mikeo"-noun-es
"Irasuegui"-noun-en "Irasuegui"-noun-es
"Irasuegui"-noun-en "Irasuegui"-properNoun-es
"Irasuegui"-noun-es "Irasuegui"-noun-en
"Irasuegui"-noun-es "Irasuegui"-properNoun-en
"Irasuegui"-properNoun-es "Irasuegui"-noun-en
"Irasuegui"-properNoun-es "Irasuegui"-properNoun-en
"Irasuegui"-properNoun-en "Irasuegui"-noun-es
"Irasuegui"-properNoun-en "Irasuegui"-properNoun-es
"Maritxalar"-noun-en "Maritxalar"-noun-es
"Maritxalar"-noun-es "Maritxalar"-noun-en
"Maritxalar"-noun-es "Maritxalar"-properNoun-en
"Maritxalar"-properNoun-en "Maritxalar"-noun-es
"Garai"-noun-en "Garai"-noun-es
"Garai"-noun-es "Garai"-noun-en
"Garai"-noun-es "Garai"-properNoun-en
"Garai"-properNoun-en "Garai"-noun-es
"Arruabarrena"-noun-en "Arruabarrena"-noun-es
"Arruabarrena"-noun-es "Arruabarrena"-noun-en
"Arruabarrena"-noun-es "Arruabarrena"-properNoun-en
"Arruabarrena"-properNoun-en "Arruabarrena"-noun-es
"Aranaga"-noun-en "Aranaga"-noun-es
"Aranaga"-noun-es "Aranaga"-noun-en
"Aranaga"-noun-es "Aranaga"-properNoun-en
"Aranaga"-properNoun-en "Aranaga"-noun-es
"Olasagasti"-noun-en "Olasagasti"-noun-es
"Olasagasti"-noun-es "Olasagasti"-noun-en
"Olasagasti"-noun-es "Olasagasti"-properNoun-en
"Olasagasti"-properNoun-en "Olasagasti"-noun-es
"Aranegi"-noun-en "Aranegi"-noun-es
"Aranegi"-noun-es "Aranegi"-noun-en
"Aranegi"-noun-es "Aranegi"-properNoun-en
"Aranegi"-properNoun-en "Aranegi"-noun-es
"Lete"-noun-en "Lete"-noun-es
"Lete"-noun-es "Lete"-noun-en
"Lete"-noun-es "Lete"-properNoun-en
"Lete"-properNoun-en "Lete"-noun-es
"Revolvo"-noun-en "Revolvo"-noun-es
"Revolvo"-noun-es "Revolvo"-noun-en
"Revolvo"-noun-es "Revolvo"-properNoun-en
"Revolvo"-properNoun-en "Revolvo"-noun-es
"Cotado"-noun-en "Cotado"-noun-es
"Cotado"-noun-es "Cotado"-noun-en
"Cotado"-noun-es "Cotado"-properNoun-en
"Cotado"-properNoun-en "Cotado"-noun-es
"Brizuela"-noun-en "Brizuela"-noun-es
"Brizuela"-noun-es "Brizuela"-noun-en
"Brizuela"-noun-es "Brizuela"-properNoun-en
"Brizuela"-properNoun-en "Brizuela"-noun-es
"Hijazo"-noun-en "Hijazo"-noun-es
"Hijazo"-noun-es "Hijazo"-noun-en
"Hijazo"-noun-es "Hijazo"-properNoun-en
"Hijazo"-properNoun-en "Hijazo"-noun-es
"Urien"-noun-en "Urien"-noun-es
"Urien"-noun-es "Urien"-noun-en
"Urien"-noun-es "Urien"-properNoun-en
"Urien"-properNoun-en "Urien"-noun-es
"Oribe"-noun-en "Oribe"-noun-es
"Oribe"-noun-es "Oribe"-noun-en
"Oribe"-noun-es "Oribe"-properNoun-en
"Oribe"-properNoun-en "Oribe"-noun-es
"López de Guereñu"-noun-en "López de Guereñu"-noun-es
"López de Guereñu"-noun-en "López de Guereñu"-properNoun-es
"López de Guereñu"-noun-es "López de Guereñu"-noun-en
"López de Guereñu"-noun-es "López de Guereñu"-properNoun-en
"López de Guereñu"-properNoun-es "López de Guereñu"-noun-en
"López de Guereñu"-properNoun-es "López de Guereñu"-properNoun-en
"López de Guereñu"-properNoun-en "López de Guereñu"-noun-es
"López de Guereñu"-properNoun-en "López de Guereñu"-properNoun-es
"Legarreta"-noun-en "Legarreta"-noun-es
"Legarreta"-noun-es "Legarreta"-noun-en
"Legarreta"-noun-es "Legarreta"-properNoun-en
"Legarreta"-properNoun-en "Legarreta"-noun-es
"Illarramendi"-noun-en "Illarramendi"-noun-es
"Illarramendi"-noun-es "Illarramendi"-noun-en
"Illarramendi"-noun-es "Illarramendi"-properNoun-en
"Illarramendi"-properNoun-en "Illarramendi"-noun-es
"Lasa"-noun-en "Lasa"-noun-es
"Lasa"-noun-es "Lasa"-noun-en
"Lasa"-noun-es "Lasa"-properNoun-en
"Lasa"-properNoun-en "Lasa"-noun-es
"port of pasaia"-properNoun-en "pasaiako portuko"-properNoun-es
"pasaiako portuko"-properNoun-es "port of pasaia"-properNoun-en
"boat race of getxo"-properNoun-en "getxoko estropaden"-properNoun-es
"getxoko estropaden"-properNoun-es "boat race of getxo"-properNoun-en
"ikurrina of the port of pasaia"-properNoun-en "pasaiako portuko ikurriña"-properNoun-es
"pasaiako portuko ikurriña"-properNoun-es "ikurrina of the port of pasaia"-properNoun-en
"fishermen's association"-properNoun-en "kofradiaren"-properNoun-es
"kofradiaren"-properNoun-es "fishermen's association"-properNoun-en
"Hondarribiko estropadak"-properNoun-en "Hondarribiko estropadak"-properNoun-es
"Hondarribiko estropadak"-properNoun-es "Hondarribiko estropadak"-properNoun-en
"Zarauzko estropadak"-properNoun-en "Zarauzko estropadak"-properNoun-es
"Zarauzko estropadak"-properNoun-es "Zarauzko estropadak"-properNoun-en
"estropadak"-noun-en "estropadak"-noun-es
"estropadak"-noun-es "estropadak"-noun-en
"anti-doping report"-noun-en "memoria antidopaje"-noun-es
"memoria antidopaje"-noun-es "anti-doping report"-noun-en
"anti-doping"-adjective-en "antidóping"-adjective-es
"antidóping"-adjective-es "anti-doping"-adjective-en
"anti-doping body"-noun-en "órgano antidopaje"-noun-es
"órgano antidopaje"-noun-es "anti-doping body"-noun-en
"anti-doping control"-noun-en "control antidopaje"-noun-es
"control antidopaje"-noun-es "anti-doping control"-noun-en
"anti-doping committee"-noun-en "comité antidopaje"-noun-es
"comité antidopaje"-noun-es "anti-doping committee"-noun-en
"anti-doping plan"-noun-en "plan antidopaje"-noun-es
"plan antidopaje"-noun-es "anti-doping plan"-noun-en
"anti-doping agency"-noun-en "agencia antidopaje"-noun-es
