"neniu"-determiner-eo "ninguno"-determiner-es
"periode"-adverb-eo "periódicamente"-adverb-es
"repetidamente"-adverb-es "ree"-adverb-eo
"ree"-adverb-eo "repetidamente"-adverb-es
"indefinidamente"-adverb-es "nedifinite"-adverb-eo
"nedifinite"-adverb-eo "indefinidamente"-adverb-es
"cuándo"-adverb-es "kiam"-adverb-eo
"kiam"-adverb-eo "cuándo"-adverb-es
"popole"-adverb-eo "popularmente"-adverb-es
"popularmente"-adverb-es "popole"-adverb-eo
"conjuntamente"-adverb-es "kune"-adverb-eo
"kune"-adverb-eo "conjuntamente"-adverb-es
"ofte"-adverb-eo "a menudo"-adverb-es
"ofte"-adverb-eo "frecuentemente"-adverb-es
"a menudo"-adverb-es "ofte"-adverb-eo
"frecuentemente"-adverb-es "ofte"-adverb-eo
"sistemáticamente"-adverb-es "sisteme"-adverb-eo
"sisteme"-adverb-eo "sistemáticamente"-adverb-es
"diariamente"-adverb-es "ĉiutage"-adverb-eo
"ĉiutage"-adverb-eo "diariamente"-adverb-es
"ĉiutage"-adverb-eo "a diario"-adverb-es
"a diario"-adverb-es "ĉiutage"-adverb-eo
"unuflanke"-adverb-eo "por un lado"-adverb-es
"por un lado"-adverb-es "unuflanke"-adverb-eo
"injustamente"-adverb-es "maljuste"-adverb-eo
"maljuste"-adverb-eo "injustamente"-adverb-es
"severe"-adverb-eo "severamente"-adverb-es
"severamente"-adverb-es "severe"-adverb-eo
"en absoluto"-adverb-es "tute ne"-adverb-eo
"tute ne"-adverb-eo "en absoluto"-adverb-es
"exclusivamente"-adverb-es "ekskluzive"-adverb-eo
"ekskluzive"-adverb-eo "exclusivamente"-adverb-es
"tute"-adverb-eo "completamente"-adverb-es
"tute"-adverb-eo "por entero"-adverb-es
"tute"-adverb-eo "enteramente"-adverb-es
"completamente"-adverb-es "tute"-adverb-eo
"por entero"-adverb-es "tute"-adverb-eo
"enteramente"-adverb-es "tute"-adverb-eo
"absolutamente"-adverb-es "absolute"-adverb-eo
"absolute"-adverb-eo "absolutamente"-adverb-es
"totalmente"-adverb-es "plene"-adverb-eo
"plene"-adverb-eo "totalmente"-adverb-es
"plene"-adverb-eo "plenamente"-adverb-es
"plene"-adverb-eo "llenamente"-adverb-es
"kiel decas"-adverb-eo "en debida forma"-adverb-es
"en debida forma"-adverb-es "kiel decas"-adverb-eo
"debidamente"-adverb-es "laŭdeve"-adverb-eo
"laŭdeve"-adverb-eo "debidamente"-adverb-es
"personalmente"-adverb-es "persone"-adverb-eo
"persone"-adverb-eo "personalmente"-adverb-es
"leĝe"-adverb-eo "legalmente"-adverb-es
"legalmente"-adverb-es "leĝe"-adverb-eo
"legalmente"-adverb-es "laŭleĝe"-adverb-eo
"laŭleĝe"-adverb-eo "legalmente"-adverb-es
"ĝuste"-adverb-eo "precisamente"-adverb-es
"ĝuste"-adverb-eo "justamente"-adverb-es
"ĝuste"-adverb-eo "exactamente"-adverb-es
"ĝuste"-adverb-eo "correctamente"-adverb-es
"precisamente"-adverb-es "ĝuste"-adverb-eo
"justamente"-adverb-es "ĝuste"-adverb-eo
"exactamente"-adverb-es "ĝuste"-adverb-eo
"correctamente"-adverb-es "ĝuste"-adverb-eo
"bien"-adverb-es "bone"-adverb-eo
"bone"-adverb-eo "bien"-adverb-es
"hazarde"-adverb-eo "accidentalmente"-adverb-es
"accidentalmente"-adverb-es "hazarde"-adverb-eo
"raramente"-adverb-es "malofte"-adverb-eo
"malofte"-adverb-eo "raramente"-adverb-es
"de tempo al tempo"-adverb-eo "ocasionalmente"-adverb-es
"ocasionalmente"-adverb-es "de tempo al tempo"-adverb-eo
"kelkfoje"-adverb-eo "a veces"-adverb-es
"a veces"-adverb-es "kelkfoje"-adverb-eo
"potenciale"-adverb-eo "potencialmente"-adverb-es
"potencialmente"-adverb-es "potenciale"-adverb-eo
"eventualmente"-adverb-es "eventuale"-adverb-eo
"eventuale"-adverb-eo "eventualmente"-adverb-es
"simple"-adverb-eo "simplemente"-adverb-es
"simple"-adverb-eo "sencillamente"-adverb-es
"simplemente"-adverb-es "simple"-adverb-eo
"sencillamente"-adverb-es "simple"-adverb-eo
"meramente"-adverb-es "simple nur"-adverb-eo
"simple nur"-adverb-eo "meramente"-adverb-es
"nunca"-adverb-es "neniam"-adverb-eo
"neniam"-adverb-eo "nunca"-adverb-es
"neniam"-adverb-eo "jamás"-adverb-es
"jamás"-adverb-es "neniam"-adverb-eo
"sólo"-adverb-es "nur"-adverb-eo
"nur"-adverb-eo "sólo"-adverb-es
"nur"-adverb-eo "tan sólo"-adverb-es
"nur"-adverb-eo "solamente"-adverb-es
"nur"-adverb-eo "solo"-adverb-es
"nur"-adverb-eo "únicamente"-adverb-es
"tan sólo"-adverb-es "nur"-adverb-eo
"solamente"-adverb-es "nur"-adverb-eo
"solo"-adverb-es "nur"-adverb-eo
"únicamente"-adverb-es "nur"-adverb-eo
"inclusive"-adverb-es "inkluzive"-adverb-eo
"inkluzive"-adverb-eo "inclusive"-adverb-es
"inkluzive"-adverb-eo "incluso"-adverb-es
"incluso"-adverb-es "inkluzive"-adverb-eo
"aun"-adverb-es "eĉ"-adverb-eo
"eĉ"-adverb-eo "aun"-adverb-es
"positivamente"-adverb-es "pozitive"-adverb-eo
"pozitive"-adverb-eo "positivamente"-adverb-es
"sí"-adverb-es "jes"-adverb-eo
"jes"-adverb-eo "sí"-adverb-es
"así"-adverb-es "tiel"-adverb-eo
"tiel"-adverb-eo "así"-adverb-es
"tiel"-adverb-eo "tanto"-adverb-es
"tanto"-adverb-es "tiel"-adverb-eo
"también"-adverb-es "ankaŭ"-adverb-eo
"ankaŭ"-adverb-eo "también"-adverb-es
"igualmente"-adverb-es "same"-adverb-eo
"same"-adverb-eo "igualmente"-adverb-es
"same"-adverb-eo "asimismo"-adverb-es
"same"-adverb-eo "así mismo"-adverb-es
"asimismo"-adverb-es "same"-adverb-eo
"así mismo"-adverb-es "same"-adverb-eo
"fácilmente"-adverb-es "facile"-adverb-eo
"facile"-adverb-eo "fácilmente"-adverb-es
"plenamente"-adverb-es "plene"-adverb-eo
"llenamente"-adverb-es "plene"-adverb-eo
"francamente"-adverb-es "sincere"-adverb-eo
"sincere"-adverb-eo "francamente"-adverb-es
"sincere"-adverb-eo "sinceramente"-adverb-es
"sinceramente"-adverb-es "sincere"-adverb-eo
"sincere dirite"-adverb-eo "a decir verdad"-adverb-es
"a decir verdad"-adverb-es "sincere dirite"-adverb-eo
"vere"-adverb-eo "realmente"-adverb-es
"vere"-adverb-eo "verdaderamente"-adverb-es
"realmente"-adverb-es "vere"-adverb-eo
"verdaderamente"-adverb-es "vere"-adverb-eo
"seriamente"-adverb-es "serioze"-adverb-eo
"serioze"-adverb-eo "seriamente"-adverb-es
"notablemente"-adverb-es "notinde"-adverb-eo
"notinde"-adverb-eo "notablemente"-adverb-es
"claramente"-adverb-es "klare"-adverb-eo
"klare"-adverb-eo "claramente"-adverb-es
"kategorie"-adverb-eo "rotundamente"-adverb-es
"kategorie"-adverb-eo "categóricamente"-adverb-es
"rotundamente"-adverb-es "kategorie"-adverb-eo
"categóricamente"-adverb-es "kategorie"-adverb-eo
"puntualmente"-adverb-es "akurate"-adverb-eo
"akurate"-adverb-eo "puntualmente"-adverb-es
"kutime"-adverb-eo "habitualmente"-adverb-es
"kutime"-adverb-eo "normalmente"-adverb-es
"habitualmente"-adverb-es "kutime"-adverb-eo
"normalmente"-adverb-es "kutime"-adverb-eo
"normalmente"-adverb-es "ordinare"-adverb-eo
"ordinare"-adverb-eo "normalmente"-adverb-es
"ĝenerale"-adverb-eo "generalmente"-adverb-es
"generalmente"-adverb-es "ĝenerale"-adverb-eo
"poste"-adverb-eo "después"-adverb-es
"poste"-adverb-eo "luego"-adverb-es
"poste"-adverb-eo "posteriormente"-adverb-es
"después"-adverb-es "poste"-adverb-eo
"luego"-adverb-es "poste"-adverb-eo
"posteriormente"-adverb-es "poste"-adverb-eo
"enseguida"-adverb-es "tuj"-adverb-eo
"tuj"-adverb-eo "enseguida"-adverb-es
"tuj"-adverb-eo "de inmediato"-adverb-es
"tuj"-adverb-eo "inmediatamente"-adverb-es
"de inmediato"-adverb-es "tuj"-adverb-eo
"inmediatamente"-adverb-es "tuj"-adverb-eo
"continuamente"-adverb-es "senĉese"-adverb-eo
"senĉese"-adverb-eo "continuamente"-adverb-es
"senĉese"-adverb-eo "constantemente"-adverb-es
"constantemente"-adverb-es "senĉese"-adverb-eo
"konstante"-adverb-eo "permanentemente"-adverb-es
"permanentemente"-adverb-es "konstante"-adverb-eo
"sekve"-adverb-eo "consiguientemente"-adverb-es
"consiguientemente"-adverb-es "sekve"-adverb-eo
"sube"-adverb-eo "debajo"-adverb-es
"sube"-adverb-eo "abajo"-adverb-es
"debajo"-adverb-es "sube"-adverb-eo
"abajo"-adverb-es "sube"-adverb-eo
"antaŭen"-adverb-eo "adelante"-adverb-es
"adelante"-adverb-es "antaŭen"-adverb-eo
"enfrente"-adverb-es "fronte"-adverb-eo
"fronte"-adverb-eo "enfrente"-adverb-es
"antaŭe"-adverb-eo "delante"-adverb-es
"antaŭe"-adverb-eo "antes"-adverb-es
"antaŭe"-adverb-eo "previamente"-adverb-es
"antaŭe"-adverb-eo "anteriormente"-adverb-es
"delante"-adverb-es "antaŭe"-adverb-eo
"antes"-adverb-es "antaŭe"-adverb-eo
"previamente"-adverb-es "antaŭe"-adverb-eo
"anteriormente"-adverb-es "antaŭe"-adverb-eo
"kontraŭe"-adverb-eo "en cambio"-adverb-es
"en cambio"-adverb-es "kontraŭe"-adverb-eo
"en cambio"-adverb-es "male"-adverb-eo
"male"-adverb-eo "en cambio"-adverb-es
"detrás"-adverb-es "malantaŭe"-adverb-eo
"malantaŭe"-adverb-eo "detrás"-adverb-es
"además"-adverb-es "krome"-adverb-eo
"krome"-adverb-eo "además"-adverb-es
"extremadamente"-adverb-es "ekstreme"-adverb-eo
"ekstreme"-adverb-eo "extremadamente"-adverb-es
"ege"-adverb-eo "enormemente"-adverb-es
"enormemente"-adverb-es "ege"-adverb-eo
"más"-adverb-es "pli"-adverb-eo
"pli"-adverb-eo "más"-adverb-es
"ya"-adverb-es "jam"-adverb-eo
"jam"-adverb-eo "ya"-adverb-es
"altamente"-adverb-es "tre"-adverb-eo
"tre"-adverb-eo "altamente"-adverb-es
"tre"-adverb-eo "mucho"-adverb-es
"mucho"-adverb-es "tre"-adverb-eo
"mucho"-adverb-es "multe"-adverb-eo
"multe"-adverb-eo "mucho"-adverb-es
"rekte"-adverb-eo "directamente"-adverb-es
"directamente"-adverb-es "rekte"-adverb-eo
"prudente"-adverb-eo "razonablemente"-adverb-es
"razonablemente"-adverb-es "prudente"-adverb-eo
"supraĵe"-adverb-eo "livianamente"-adverb-es
"livianamente"-adverb-es "supraĵe"-adverb-eo
"ligeramente"-adverb-es "iomete"-adverb-eo
"iomete"-adverb-eo "ligeramente"-adverb-es
"un poco"-adverb-es "iom"-adverb-eo
"iom"-adverb-eo "un poco"-adverb-es
"de hecho"-adverb-es "fakte"-adverb-eo
"fakte"-adverb-eo "de hecho"-adverb-es
"efektive"-adverb-eo "efectivamente"-adverb-es
"efectivamente"-adverb-es "efektive"-adverb-eo
"ciertamente"-adverb-es "certe"-adverb-eo
"certe"-adverb-eo "ciertamente"-adverb-es
"naturalmente"-adverb-es "nature"-adverb-eo
"nature"-adverb-eo "naturalmente"-adverb-es
"sendube"-adverb-eo "sin duda"-adverb-es
"sin duda"-adverb-es "sendube"-adverb-eo
"evidente"-adverb-eo "obviamente"-adverb-es
"evidente"-adverb-eo "evidentemente"-adverb-es
"obviamente"-adverb-es "evidente"-adverb-eo
"evidentemente"-adverb-es "evidente"-adverb-eo
"bastante"-adverb-es "sufiĉe"-adverb-eo
"sufiĉe"-adverb-eo "bastante"-adverb-es
"sufiĉe"-adverb-eo "suficientemente"-adverb-es
"suficientemente"-adverb-es "sufiĉe"-adverb-eo
"forte"-adverb-eo "fuertemente"-adverb-es
"fuertemente"-adverb-es "forte"-adverb-eo
"hondamente"-adverb-es "profunde"-adverb-eo
"profunde"-adverb-eo "hondamente"-adverb-es
"profunde"-adverb-eo "profundamente"-adverb-es
"profundamente"-adverb-es "profunde"-adverb-eo
"masivamente"-adverb-es "amase"-adverb-eo
"amase"-adverb-eo "masivamente"-adverb-es
"precipe"-adverb-eo "principalmente"-adverb-es
"principalmente"-adverb-es "ĉefe"-adverb-eo
"principalmente"-adverb-es "precipe"-adverb-eo
"esence"-adverb-eo "esencialmente"-adverb-es
"esence"-adverb-eo "básicamente"-adverb-es
"esencialmente"-adverb-es "esence"-adverb-eo
"básicamente"-adverb-es "esence"-adverb-eo
"urgentemente"-adverb-es "urĝe"-adverb-eo
"urĝe"-adverb-eo "urgentemente"-adverb-es
"allá"-adverb-es "tie"-adverb-eo
"tie"-adverb-eo "allá"-adverb-es
"tie"-adverb-eo "allí"-adverb-es
"tie"-adverb-eo "aquí"-adverb-es
"tie"-adverb-eo "ahí"-adverb-es
"allí"-adverb-es "tie"-adverb-eo
"aquí"-adverb-es "tie"-adverb-eo
"ahí"-adverb-es "tie"-adverb-eo
"acá"-adverb-es "ĉi tie"-adverb-eo
"ĉi tie"-adverb-eo "acá"-adverb-es
"por otro lado"-adverb-es "aliflanke"-adverb-eo
"aliflanke"-adverb-eo "por otro lado"-adverb-es
"aliflanke"-adverb-eo "por otra parte"-adverb-es
"por otra parte"-adverb-es "aliflanke"-adverb-eo
"finalmente"-adverb-es "fine"-adverb-eo
"fine"-adverb-eo "finalmente"-adverb-es
"finfine"-adverb-eo "por fin"-adverb-es
"por fin"-adverb-es "finfine"-adverb-eo
"ĵus"-adverb-eo "recientemente"-adverb-es
"recientemente"-adverb-es "ĵus"-adverb-eo
"recientemente"-adverb-es "antaŭ nelonge"-adverb-eo
"antaŭ nelonge"-adverb-eo "recientemente"-adverb-es
"amablemente"-adverb-es "ĝentile"-adverb-eo
"ĝentile"-adverb-eo "amablemente"-adverb-es
"suavemente"-adverb-es "milde"-adverb-eo
"milde"-adverb-eo "suavemente"-adverb-es
"mal"-adverb-es "malbone"-adverb-eo
"malbone"-adverb-eo "mal"-adverb-es
"a fondo"-adverb-es "ĝisfunde"-adverb-eo
"ĝisfunde"-adverb-eo "a fondo"-adverb-es
"kiel"-adverb-eo "cómo"-adverb-es
"cómo"-adverb-es "kiel"-adverb-eo
"mío"-determiner-es "mia"-determiner-eo
"mia"-determiner-eo "mío"-determiner-es
"tuyo"-determiner-es "via"-determiner-eo
"via"-determiner-eo "tuyo"-determiner-es
"via"-determiner-eo "vuestro"-determiner-es
"vuestro"-determiner-es "via"-determiner-eo
"suyo"-determiner-es "ŝia"-determiner-eo
"suyo"-determiner-es "ĝia"-determiner-eo
"suyo"-determiner-es "lia"-determiner-eo
"suyo"-determiner-es "ilia"-determiner-eo
"suyo"-determiner-es "sia"-determiner-eo
"ŝia"-determiner-eo "suyo"-determiner-es
"ĝia"-determiner-eo "suyo"-determiner-es
"lia"-determiner-eo "suyo"-determiner-es
"ilia"-determiner-eo "suyo"-determiner-es
"sia"-determiner-eo "suyo"-determiner-es
"nuestro"-determiner-es "nia"-determiner-eo
"nia"-determiner-eo "nuestro"-determiner-es
"nada"-pronoun-es "nenio"-pronoun-eo
"nenio"-pronoun-eo "nada"-pronoun-es
"si"-pronoun-eo "sí"-pronoun-es
"sí"-pronoun-es "si"-pronoun-eo
"sí"-pronoun-es "si"-reflexivePersonalPronoun-eo
"si"-reflexivePersonalPronoun-eo "sí"-pronoun-es
"prpers"-pronoun-eo "ti"-pronoun-es
"prpers"-pronoun-eo "mí"-pronoun-es
"prpers"-pronoun-eo "lo"-pronoun-es
"ti"-pronoun-es "prpers"-pronoun-eo
"mí"-pronoun-es "prpers"-pronoun-eo
"lo"-pronoun-es "prpers"-pronoun-eo
"nadie"-pronoun-es "neniu"-pronoun-eo
"neniu"-pronoun-eo "nadie"-pronoun-es
"neniu"-pronoun-eo "ninguno"-pronoun-es
"ninguno"-pronoun-es "neniu"-pronoun-eo
"alguien"-pronoun-es "iu"-pronoun-eo
"iu"-pronoun-eo "alguien"-pronoun-es
"iu"-pronoun-eo "alguno"-pronoun-es
"alguno"-pronoun-es "iu"-pronoun-eo
"io"-pronoun-eo "algo"-pronoun-es
"algo"-pronoun-es "io"-pronoun-eo
"ĉiu"-pronoun-eo "cada uno"-pronoun-es
"ĉiu"-pronoun-eo "cada cual"-pronoun-es
"ĉiu"-pronoun-eo "todo el mundo"-pronoun-es
"ĉiu"-pronoun-eo "todo"-pronoun-es
"cada uno"-pronoun-es "ĉiu"-pronoun-eo
"cada cual"-pronoun-es "ĉiu"-pronoun-eo
"todo el mundo"-pronoun-es "ĉiu"-pronoun-eo
"todo"-pronoun-es "ĉiu"-pronoun-eo
"cuál"-pronoun-es "kiu"-relativePronoun-eo
"cuál"-pronoun-es "kiu"-pronoun-eo
"kiu"-relativePronoun-eo "cuál"-pronoun-es
"kiu"-relativePronoun-eo "que"-relativePronoun-es
"kiu"-relativePronoun-eo "quién"-pronoun-es
"kiu"-pronoun-eo "cuál"-pronoun-es
"kiu"-pronoun-eo "que"-relativePronoun-es
"kiu"-pronoun-eo "quién"-pronoun-es
"que"-relativePronoun-es "kiu"-relativePronoun-eo
"que"-relativePronoun-es "kiu"-pronoun-eo
"quién"-pronoun-es "kiu"-relativePronoun-eo
"quién"-pronoun-es "kiu"-pronoun-eo
"qué"-pronoun-es "kio"-relativePronoun-eo
"qué"-pronoun-es "kio"-pronoun-eo
"kio"-relativePronoun-eo "qué"-pronoun-es
"kio"-pronoun-eo "qué"-pronoun-es
"aquel"-pronoun-es "tiu"-pronoun-eo
"tiu"-pronoun-eo "aquel"-pronoun-es
"tiu"-pronoun-eo "aquél"-pronoun-es
"tiu"-pronoun-eo "ése"-pronoun-es
"tiu"-pronoun-eo "ese"-pronoun-es
"aquél"-pronoun-es "tiu"-pronoun-eo
"ése"-pronoun-es "tiu"-pronoun-eo
"ese"-pronoun-es "tiu"-pronoun-eo
"aquello"-pronoun-es "tio"-pronoun-eo
"tio"-pronoun-eo "aquello"-pronoun-es
"tio"-pronoun-eo "ello"-pronoun-es
"tio"-pronoun-eo "eso"-pronoun-es
"éste"-pronoun-es "ĉi tiu"-pronoun-eo
"ĉi tiu"-pronoun-eo "éste"-pronoun-es
"ĉi tiu"-pronoun-eo "este"-pronoun-es
"este"-pronoun-es "ĉi tiu"-pronoun-eo
"ello"-pronoun-es "tio"-pronoun-eo
"eso"-pronoun-es "tio"-pronoun-eo
"esto"-pronoun-es "ĉi tio"-pronoun-eo
"ĉi tio"-pronoun-eo "esto"-pronoun-es
"dónde"-adverb-es "kie"-adverb-eo
"kie"-adverb-eo "dónde"-adverb-es
"kie"-adverb-eo "donde"-relativePronoun-es
"kie"-adverb-eo "donde"-adverb-es
"donde"-relativePronoun-es "kie"-adverb-eo
"donde"-relativePronoun-es "kie"-relativePronoun-eo
"donde"-adverb-es "kie"-adverb-eo
