"refoje"-adverb-eo "otra vez"-adverb-es
"atesti"-verb-eo "atestiguar"-verb-es
"atestiguar"-verb-es "atesti"-verb-eo
"konstati"-verb-eo "constatar"-verb-es
"constatar"-verb-es "konstati"-verb-eo
"kompara"-adjective-eo "comparativo"-adjective-es
"comparativo"-adjective-es "kompara"-adjective-eo
"forgesi"-verb-eo "olvidar"-verb-es
"olvidar"-verb-es "forgesi"-verb-eo
"profani"-verb-eo "profanar"-verb-es
"profanar"-verb-es "profani"-verb-eo
"plibonigi"-verb-eo "mejorar"-verb-es
"mejorar"-verb-es "plibonigi"-verb-eo
"pligravigi"-verb-eo "agravar"-verb-es
"agravar"-verb-es "pligravigi"-verb-eo
"impresi"-verb-eo "impresionar"-verb-es
"impresionar"-verb-es "impresi"-verb-eo
"impresionar"-verb-es "imponi"-verb-eo
"imponi"-verb-eo "impresionar"-verb-es
"bani"-verb-eo "bañar"-verb-es
"bañar"-verb-es "bani"-verb-eo
"identigi"-verb-eo "identificar"-verb-es
"identificar"-verb-es "identigi"-verb-eo
"planti"-verb-eo "plantar"-verb-es
"plantar"-verb-es "planti"-verb-eo
"portreti"-verb-eo "retratar"-verb-es
"retratar"-verb-es "portreti"-verb-eo
"influir"-verb-es "influi"-verb-eo
"influi"-verb-eo "influir"-verb-es
"vagar"-verb-es "vagi"-verb-eo
"vagi"-verb-eo "vagar"-verb-es
"konfesi"-verb-eo "confesar"-verb-es
"confesar"-verb-es "konfesi"-verb-eo
"consentir"-verb-es "konsenti"-verb-eo
"konsenti"-verb-eo "consentir"-verb-es
"escribir"-verb-es "skribi"-verb-eo
"skribi"-verb-eo "escribir"-verb-es
"citi"-verb-eo "citar"-verb-es
"citar"-verb-es "citi"-verb-eo
"kondamni"-verb-eo "condenar"-verb-es
"condenar"-verb-es "kondamni"-verb-eo
"tejer"-verb-es "teksi"-verb-eo
"teksi"-verb-eo "tejer"-verb-es
"chupar"-verb-es "suĉi"-verb-eo
"suĉi"-verb-eo "chupar"-verb-es
"fandi"-verb-eo "fundir"-verb-es
"fundir"-verb-es "fandi"-verb-eo
"derretir"-verb-es "degeli"-verb-eo
"degeli"-verb-eo "derretir"-verb-es
"restarigi"-verb-eo "restablecer"-verb-es
"restablecer"-verb-es "restarigi"-verb-eo
"manĝi"-verb-eo "comer"-verb-es
"comer"-verb-es "manĝi"-verb-eo
"paralizi"-verb-eo "paralizar"-verb-es
"paralizar"-verb-es "paralizi"-verb-eo
"kompili"-verb-eo "compilar"-verb-es
"compilar"-verb-es "kompili"-verb-eo
"voĉdoni"-verb-eo "votar"-verb-es
"votar"-verb-es "voĉdoni"-verb-eo
"abomena"-adjective-eo "atroz"-adjective-es
"atroz"-adjective-es "abomena"-adjective-eo
"maski"-verb-eo "enmascarar"-verb-es
"enmascarar"-verb-es "maski"-verb-eo
"firmar"-verb-es "subskribi"-verb-eo
"subskribi"-verb-eo "firmar"-verb-es
"asesorar"-verb-es "konsili"-verb-eo
"konsili"-verb-eo "asesorar"-verb-es
"konsili"-verb-eo "aconsejar"-verb-es
"aconsejar"-verb-es "konsili"-verb-eo
"sankcii"-verb-eo "sancionar"-verb-es
"sancionar"-verb-es "sankcii"-verb-eo
"rezervi"-verb-eo "reservar"-verb-es
"reservar"-verb-es "rezervi"-verb-eo
"reteni"-verb-eo "retener"-verb-es
"retener"-verb-es "reteni"-verb-eo
"perfektigi"-verb-eo "perfeccionar"-verb-es
"perfeccionar"-verb-es "perfektigi"-verb-eo
"observema"-adjective-eo "observador"-adjective-es
"observador"-adjective-es "observema"-adjective-eo
"hazardi"-verb-eo "arriesgar"-verb-es
"arriesgar"-verb-es "hazardi"-verb-eo
"akompani"-verb-eo "acompañar"-verb-es
"acompañar"-verb-es "akompani"-verb-eo
"vojaĝi"-verb-eo "viajar"-verb-es
"viajar"-verb-es "vojaĝi"-verb-eo
"segi"-verb-eo "aserrar"-verb-es
"segi"-verb-eo "serrar"-verb-es
"aserrar"-verb-es "segi"-verb-eo
"serrar"-verb-es "segi"-verb-eo
"mezuri"-verb-eo "medir"-verb-es
"medir"-verb-es "mezuri"-verb-eo
"konsisti"-verb-eo "consistir"-verb-es
"consistir"-verb-es "konsisti"-verb-eo
"unuigi"-verb-eo "unificar"-verb-es
"unificar"-verb-es "unuigi"-verb-eo
"garantii"-verb-eo "garantizar"-verb-es
"garantizar"-verb-es "garantii"-verb-eo
"enterigi"-verb-eo "enterrar"-verb-es
"enterrar"-verb-es "enterigi"-verb-eo
"enterrar"-verb-es "entombigi"-verb-eo
"entombigi"-verb-eo "enterrar"-verb-es
"surprizi"-verb-eo "sorprender"-verb-es
"surprizi"-verb-eo "asombrar"-verb-es
"sorprender"-verb-es "surprizi"-verb-eo
"asombrar"-verb-es "surprizi"-verb-eo
"asombrar"-verb-es "miri"-verb-eo
"miri"-verb-eo "asombrar"-verb-es
"dormi"-verb-eo "dormir"-verb-es
"dormir"-verb-es "dormi"-verb-eo
"encriptar"-verb-es "ĉifri"-verb-eo
"ĉifri"-verb-eo "encriptar"-verb-es
"prunti"-verb-eo "prestar"-verb-es
"prestar"-verb-es "prunti"-verb-eo
"tenti"-verb-eo "tentar"-verb-es
"tentar"-verb-es "tenti"-verb-eo
"labori"-verb-eo "trabajar"-verb-es
"trabajar"-verb-es "labori"-verb-eo
"torturar"-verb-es "torturi"-verb-eo
"torturi"-verb-eo "torturar"-verb-es
"turmenti"-verb-eo "atormentar"-verb-es
"atormentar"-verb-es "turmenti"-verb-eo
"konkretigi"-verb-eo "concretar"-verb-es
"concretar"-verb-es "konkretigi"-verb-eo
"kunlabori"-verb-eo "colaborar"-verb-es
"colaborar"-verb-es "kunlabori"-verb-eo
"sufrir"-verb-es "suferi"-verb-eo
"suferi"-verb-eo "sufrir"-verb-es
"suferi"-verb-eo "padecer"-verb-es
"padecer"-verb-es "suferi"-verb-eo
"sobrevivir"-verb-es "transvivi"-verb-eo
"transvivi"-verb-eo "sobrevivir"-verb-es
"administri"-verb-eo "administrar"-verb-es
"administrar"-verb-es "administri"-verb-eo
"renovigi"-verb-eo "renovar"-verb-es
"renovar"-verb-es "renovigi"-verb-eo
"blovi"-verb-eo "soplar"-verb-es
"soplar"-verb-es "blovi"-verb-eo
"adresi"-verb-eo "dirigir"-verb-es
"dirigir"-verb-es "adresi"-verb-eo
"dirigir"-verb-es "direkti"-verb-eo
"direkti"-verb-eo "dirigir"-verb-es
"incitar"-verb-es "instigi"-verb-eo
"instigi"-verb-eo "incitar"-verb-es
"instigi"-verb-eo "instigar"-verb-es
"instigar"-verb-es "instigi"-verb-eo
"aranĝi"-verb-eo "arreglar"-verb-es
"arreglar"-verb-es "aranĝi"-verb-eo
"arreglar"-verb-es "ripari"-verb-eo
"ripari"-verb-eo "arreglar"-verb-es
"ripari"-verb-eo "reparar"-verb-es
"reparar"-verb-es "ripari"-verb-eo
"resoni"-verb-eo "resonar"-verb-es
"resonar"-verb-es "resoni"-verb-eo
"reprochar"-verb-es "riproĉi"-verb-eo
"riproĉi"-verb-eo "reprochar"-verb-es
"eltiri"-verb-eo "extraer"-verb-es
"extraer"-verb-es "eltiri"-verb-eo
"extraer"-verb-es "ekstrakti"-verb-eo
"ekstrakti"-verb-eo "extraer"-verb-es
"grupigi"-verb-eo "agrupar"-verb-es
"agrupar"-verb-es "grupigi"-verb-eo
"kombini"-verb-eo "combinar"-verb-es
"combinar"-verb-es "kombini"-verb-eo
"conseguir"-verb-es "atingi"-verb-eo
"conseguir"-verb-es "akiri"-verb-eo
"atingi"-verb-eo "conseguir"-verb-es
"atingi"-verb-eo "alcanzar"-verb-es
"atingi"-verb-eo "lograr"-verb-es
"akiri"-verb-eo "conseguir"-verb-es
"akiri"-verb-eo "alcanzar"-verb-es
"akiri"-verb-eo "llegar"-verb-es
"akiri"-verb-eo "obtener"-verb-es
"akiri"-verb-eo "adquirir"-verb-es
"alcanzar"-verb-es "atingi"-verb-eo
"alcanzar"-verb-es "akiri"-verb-eo
"alcanzar"-verb-es "ĝisiri"-verb-eo
"lograr"-verb-es "atingi"-verb-eo
"llegar"-verb-es "akiri"-verb-eo
"obtener"-verb-es "akiri"-verb-eo
"adquirir"-verb-es "akiri"-verb-eo
"ĝisiri"-verb-eo "alcanzar"-verb-es
"kovri"-verb-eo "cubrir"-verb-es
"cubrir"-verb-es "kovri"-verb-eo
"soportar"-verb-es "elteni"-verb-eo
"soportar"-verb-es "teni"-verb-eo
"elteni"-verb-eo "soportar"-verb-es
"teni"-verb-eo "soportar"-verb-es
"teni"-verb-eo "mantener"-verb-es
"mantener"-verb-es "teni"-verb-eo
"jurar"-verb-es "ĵuri"-verb-eo
"jurar"-verb-es "blasfemi"-verb-eo
"ĵuri"-verb-eo "jurar"-verb-es
"blasfemi"-verb-eo "jurar"-verb-es
"dedicar"-verb-es "dediĉi"-verb-eo
"dediĉi"-verb-eo "dedicar"-verb-es
"postuli"-verb-eo "requerir"-verb-es
"postuli"-verb-eo "reclamar"-verb-es
"postuli"-verb-eo "exigir"-verb-es
"requerir"-verb-es "postuli"-verb-eo
"reclamar"-verb-es "postuli"-verb-eo
"exigir"-verb-es "postuli"-verb-eo
"exigir"-verb-es "depostuli"-verb-eo
"depostuli"-verb-eo "exigir"-verb-es
"enfokusigi"-verb-eo "enfocar"-verb-es
"enfocar"-verb-es "enfokusigi"-verb-eo
"timigi"-verb-eo "asustar"-verb-es
"asustar"-verb-es "timigi"-verb-eo
"ĉasi"-verb-eo "cazar"-verb-es
"cazar"-verb-es "ĉasi"-verb-eo
"persekuti"-verb-eo "perseguir"-verb-es
"perseguir"-verb-es "persekuti"-verb-eo
"ravi"-verb-eo "encantar"-verb-es
"encantar"-verb-es "ravi"-verb-eo
"aumentar"-verb-es "pliigi"-verb-eo
"aumentar"-verb-es "pligrandigi"-verb-eo
"pliigi"-verb-eo "aumentar"-verb-es
"pliigi"-verb-eo "incrementar"-verb-es
"pliigi"-verb-eo "acrecentar"-verb-es
"pligrandigi"-verb-eo "aumentar"-verb-es
"incrementar"-verb-es "pliigi"-verb-eo
"acrecentar"-verb-es "pliigi"-verb-eo
"elevar"-verb-es "levi"-verb-eo
"levi"-verb-eo "elevar"-verb-es
"levi"-verb-eo "levantar"-verb-es
"levantar"-verb-es "levi"-verb-eo
"kunigi"-verb-eo "juntar"-verb-es
"juntar"-verb-es "kunigi"-verb-eo
"componer"-verb-es "komponi"-verb-eo
"komponi"-verb-eo "componer"-verb-es
"komponi"-verb-eo "construir"-verb-es
"construir"-verb-es "komponi"-verb-eo
"construir"-verb-es "konstrui"-verb-eo
"konstrui"-verb-eo "construir"-verb-es
"ekzekuti"-verb-eo "ejecutar"-verb-es
"ejecutar"-verb-es "ekzekuti"-verb-eo
"obrar"-verb-es "agi"-verb-eo
"agi"-verb-eo "obrar"-verb-es
"agi"-verb-eo "actuar"-verb-es
"actuar"-verb-es "agi"-verb-eo
"tratar"-verb-es "trakti"-verb-eo
"trakti"-verb-eo "tratar"-verb-es
"procesi"-verb-eo "procesar"-verb-es
"procesar"-verb-es "procesi"-verb-eo
"murmuri"-verb-eo "murmurar"-verb-es
"murmurar"-verb-es "murmuri"-verb-eo
"flugi"-verb-eo "volar"-verb-es
"volar"-verb-es "flugi"-verb-eo
"intentar"-verb-es "provi"-verb-eo
"provi"-verb-eo "intentar"-verb-es
"provi"-verb-eo "probar"-verb-es
"probar"-verb-es "provi"-verb-eo
"probar"-verb-es "gustumi"-verb-eo
"gustumi"-verb-eo "probar"-verb-es
"gustumi"-verb-eo "degustar"-verb-es
"degustar"-verb-es "gustumi"-verb-eo
"proponer"-verb-es "proponi"-verb-eo
"proponi"-verb-eo "proponer"-verb-es
"proponi"-verb-eo "deparar"-verb-es
"proponi"-verb-eo "ofrecer"-verb-es
"deparar"-verb-es "proponi"-verb-eo
"ofrecer"-verb-es "proponi"-verb-eo
"llevar"-verb-es "porti"-verb-eo
"porti"-verb-eo "llevar"-verb-es
"porti"-verb-eo "portar"-verb-es
"portar"-verb-es "porti"-verb-eo
"coger"-verb-es "preni"-verb-eo
"coger"-verb-es "kapti"-verb-eo
"preni"-verb-eo "coger"-verb-es
"preni"-verb-eo "hacer"-verb-es
"preni"-verb-eo "tomar"-verb-es
"preni"-verb-eo "asir"-verb-es
"kapti"-verb-eo "coger"-verb-es
"kapti"-verb-eo "capturar"-verb-es
"kapti"-verb-eo "atrapar"-verb-es
"kapti"-verb-eo "captar"-verb-es
"hacer"-verb-es "preni"-verb-eo
"hacer"-verb-es "fari"-verb-eo
"tomar"-verb-es "preni"-verb-eo
"asir"-verb-es "preni"-verb-eo
"capturar"-verb-es "kapti"-verb-eo
"atrapar"-verb-es "kapti"-verb-eo
"captar"-verb-es "kapti"-verb-eo
"fari"-verb-eo "hacer"-verb-es
"fari"-verb-eo "cometer"-verb-es
"dungi"-verb-eo "contratar"-verb-es
"contratar"-verb-es "dungi"-verb-eo
"recordar"-verb-es "memori"-verb-eo
"memori"-verb-eo "recordar"-verb-es
"memori"-verb-eo "acordar"-verb-es
"acordar"-verb-es "memori"-verb-eo
"altiri"-verb-eo "atraer"-verb-es
"atraer"-verb-es "altiri"-verb-eo
"solicitar"-verb-es "peti"-verb-eo
"peti"-verb-eo "solicitar"-verb-es
"peti"-verb-eo "pedir"-verb-es
"pedir"-verb-es "peti"-verb-eo
"pedir"-verb-es "demandi"-verb-eo
"demandi"-verb-eo "pedir"-verb-es
"miksi"-verb-eo "mezclar"-verb-es
"miksi"-verb-eo "mezclarse"-verb-es
"miksi"-verb-eo "mezclarse"-pronoun-es
"mezclar"-verb-es "miksi"-verb-eo
"mezclarse"-verb-es "miksi"-verb-eo
"mezclarse"-pronoun-es "miksi"-verb-eo
"barrer"-verb-es "balai"-verb-eo
"balai"-verb-eo "barrer"-verb-es
"solvi"-verb-eo "disolver"-verb-es
"solvi"-verb-eo "resolver"-verb-es
"solvi"-verb-eo "zanjar"-verb-es
"solvi"-verb-eo "solucionar"-verb-es
"solvi"-verb-eo "solventar"-verb-es
"disolver"-verb-es "solvi"-verb-eo
"resolver"-verb-es "solvi"-verb-eo
"zanjar"-verb-es "solvi"-verb-eo
"solucionar"-verb-es "solvi"-verb-eo
"solventar"-verb-es "solvi"-verb-eo
"pruntedoni"-verb-eo "dejar"-verb-es
"dejar"-verb-es "pruntedoni"-verb-eo
"dejar"-verb-es "lasi"-verb-eo
"lasi"-verb-eo "dejar"-verb-es
"permesi"-verb-eo "permitir"-verb-es
"permitir"-verb-es "permesi"-verb-eo
"aclarar"-verb-es "klarigi"-verb-eo
"klarigi"-verb-eo "aclarar"-verb-es
"taksi"-verb-eo "evaluar"-verb-es
"evaluar"-verb-es "taksi"-verb-eo
"calcular"-verb-es "kalkuli"-verb-eo
"kalkuli"-verb-eo "calcular"-verb-es
"calmar"-verb-es "kvietigi"-verb-eo
"kvietigi"-verb-eo "calmar"-verb-es
"relevar"-verb-es "anstataŭi"-verb-eo
"anstataŭi"-verb-eo "relevar"-verb-es
"anstataŭi"-verb-eo "reemplazar"-verb-es
"reemplazar"-verb-es "anstataŭi"-verb-eo
"reemplazar"-verb-es "anstataŭigi"-verb-eo
"anstataŭigi"-verb-eo "reemplazar"-verb-es
"transmisii"-verb-eo "transmitir"-verb-es
"transmitir"-verb-es "transmisii"-verb-eo
"transporti"-verb-eo "transportar"-verb-es
"transportar"-verb-es "transporti"-verb-eo
"transloĝiĝi"-verb-eo "trasladar"-verb-es
"trasladar"-verb-es "transloĝiĝi"-verb-eo
"mover"-verb-es "movi"-verb-eo
"movi"-verb-eo "mover"-verb-es
"alinear"-verb-es "vicigi"-verb-eo
"vicigi"-verb-eo "alinear"-verb-es
"balanciĝi"-verb-eo "balancear"-verb-es
"balancear"-verb-es "balanciĝi"-verb-eo
"batali"-verb-eo "batallar"-verb-es
"batallar"-verb-es "batali"-verb-eo
"klarioni"-verb-eo "sonar"-verb-es
"sonar"-verb-es "klarioni"-verb-eo
"sonar"-verb-es "soni"-verb-eo
"soni"-verb-eo "sonar"-verb-es
"pinchar"-verb-es "piki"-verb-eo
"piki"-verb-eo "pinchar"-verb-es
"mostrar"-verb-es "montri"-verb-eo
"montri"-verb-eo "mostrar"-verb-es
"substreki"-verb-eo "subrayar"-verb-es
"subrayar"-verb-es "substreki"-verb-eo
"salir"-verb-es "eliri"-verb-eo
"eliri"-verb-eo "salir"-verb-es
"pendigi"-verb-eo "colgar"-verb-es
"pendigi"-verb-eo "ahorcar"-verb-es
"pendigi"-verb-eo "pender"-verb-es
"colgar"-verb-es "pendigi"-verb-eo
"ahorcar"-verb-es "pendigi"-verb-eo
"pender"-verb-es "pendigi"-verb-eo
"amparar"-verb-es "protekti"-verb-eo
"protekti"-verb-eo "amparar"-verb-es
"protekti"-verb-eo "proteger"-verb-es
"protekti"-verb-eo "resguardar"-verb-es
"proteger"-verb-es "protekti"-verb-eo
"resguardar"-verb-es "protekti"-verb-eo
"aprobi"-verb-eo "aprobar"-verb-es
"aprobar"-verb-es "aprobi"-verb-eo
"pasar"-verb-es "pasi"-verb-eo
"pasi"-verb-eo "pasar"-verb-es
"pasi"-verb-eo "transcurrir"-verb-es
"transcurrir"-verb-es "pasi"-verb-eo
"enlistigi"-verb-eo "alistar"-verb-es
"alistar"-verb-es "enlistigi"-verb-eo
"konverti"-verb-eo "convertir"-verb-es
"convertir"-verb-es "konverti"-verb-eo
"proyectar"-verb-es "projekcii"-verb-eo
"projekcii"-verb-eo "proyectar"-verb-es
"cruzar"-verb-es "transiri"-verb-eo
"transiri"-verb-eo "cruzar"-verb-es
"viziti"-verb-eo "visitar"-verb-es
"visitar"-verb-es "viziti"-verb-eo
"kontroli"-verb-eo "comprobar"-verb-es
"kontroli"-verb-eo "controlar"-verb-es
"comprobar"-verb-es "kontroli"-verb-eo
"controlar"-verb-es "kontroli"-verb-eo
"entender"-verb-es "kompreni"-verb-eo
"kompreni"-verb-eo "entender"-verb-es
"empujar"-verb-es "puŝi"-verb-eo
"puŝi"-verb-eo "empujar"-verb-es
"asfiksii"-verb-eo "asfixiar"-verb-es
"asfixiar"-verb-es "asfiksii"-verb-eo
"elstreki"-verb-eo "suprimir"-verb-es
"suprimir"-verb-es "elstreki"-verb-eo
"librar"-verb-es "liveri"-verb-eo
"liveri"-verb-eo "librar"-verb-es
"liveri"-verb-eo "entregar"-verb-es
"entregar"-verb-es "liveri"-verb-eo
"liberar"-verb-es "liberigi"-verb-eo
"liberigi"-verb-eo "liberar"-verb-es
"submeti"-verb-eo "someter"-verb-es
"someter"-verb-es "submeti"-verb-eo
"pozi"-verb-eo "posar"-verb-es
"pozi"-verb-eo "plantear"-verb-es
"posar"-verb-es "pozi"-verb-eo
"plantear"-verb-es "pozi"-verb-eo
"localizar"-verb-es "lokalizi"-verb-eo
"lokalizi"-verb-eo "localizar"-verb-es
"dubi"-verb-eo "dudar"-verb-es
"dudar"-verb-es "dubi"-verb-eo
"eldoni"-verb-eo "publicar"-verb-es
"publicar"-verb-es "eldoni"-verb-eo
"publicar"-verb-es "publikigi"-verb-eo
"publikigi"-verb-eo "publicar"-verb-es
"anonci"-verb-eo "anunciar"-verb-es
"anunciar"-verb-es "anonci"-verb-eo
"etendi"-verb-eo "extender"-verb-es
"extender"-verb-es "etendi"-verb-eo
