"absceso"-noun-es "abceso"-noun-eo
"ŝarĝilo"-noun-eo "cargador"-noun-es
"doktisto"-noun-eo "cargador"-noun-es
"hidrólogo"-noun-es "hidrologiisto"-noun-eo
"hidrologiisto"-noun-eo "hidrólogo"-noun-es
"esvástica"-noun-es "svastiko"-noun-eo
"svastiko"-noun-eo "esvástica"-noun-es
"homónimo"-noun-es "samnomulo"-noun-eo
"samnomulo"-noun-eo "homónimo"-noun-es
"escalofriantemente"-adverb-es "har-starige"-adverb-eo
"escalofriantemente"-adverb-es "spin-vibrige"-adverb-eo
"har-starige"-adverb-eo "escalofriantemente"-adverb-es
"spin-vibrige"-adverb-eo "escalofriantemente"-adverb-es
"intelectualidad"-noun-es "intelekteco"-noun-eo
"intelekteco"-noun-eo "intelectualidad"-noun-es
"amigo íntimo"-noun-es "intima amiko"-noun-eo
"intima amiko"-noun-eo "amigo íntimo"-noun-es
"mahometano"-noun-es "mahometano"-noun-eo
"mahometano"-noun-eo "mahometano"-noun-es
"polla"-noun-es "kokidino"-noun-eo
"kokidino"-noun-eo "polla"-noun-es
"decrépito"-adjective-es "elvivinta"-adjective-eo
"elvivinta"-adjective-eo "decrépito"-adjective-es
"grado Kelvin"-noun-es "kelvina grado"-noun-eo
"kelvina grado"-noun-eo "grado Kelvin"-noun-es
"kia"-pronoun-eo "como_kia"-pronoun-es
"como_kia"-pronoun-es "kia"-pronoun-eo
"como_kia"-pronoun-es "kia"-relativePronoun-eo
"kia"-relativePronoun-eo "como_kia"-pronoun-es
"climatológicamente"-adverb-es "klimatologe"-adverb-eo
"climatológicamente"-adverb-es "klimatologie"-adverb-eo
"klimatologe"-adverb-eo "climatológicamente"-adverb-es
"klimatologie"-adverb-eo "climatológicamente"-adverb-es
"climatólogo"-noun-es "klimatologiisto"-noun-eo
"klimatologiisto"-noun-eo "climatólogo"-noun-es
"homólogo"-noun-es "samoficiulo"-noun-eo
"samoficiulo"-noun-eo "homólogo"-noun-es
"pichón"-noun-es "kolombido"-noun-eo
"kolombido"-noun-eo "pichón"-noun-es
"misericordioso"-adjective-es "favorkora"-adjective-eo
"favorkora"-adjective-eo "misericordioso"-adjective-es
"Constantino"-properNoun-es "Constantino"-properNoun-eo
"Constantino"-properNoun-eo "Constantino"-properNoun-es
"inválido"-adjective-es "invalida"-adjective-eo
"invalida"-adjective-eo "inválido"-adjective-es
"inclinado"-adjective-es "klinita"-adjective-eo
"klinita"-adjective-eo "inclinado"-adjective-es
"costurero"-noun-es "kudroskatolo"-noun-eo
"costurero"-noun-es "kudrotableto"-noun-eo
"kudroskatolo"-noun-eo "costurero"-noun-es
"kudrotableto"-noun-eo "costurero"-noun-es
"profano"-noun-es "neinicito"-noun-eo
"neinicito"-noun-eo "profano"-noun-es
"longitudinalmente"-adverb-es "longitude"-adverb-eo
"longitude"-adverb-eo "longitudinalmente"-adverb-es
"legitimación"-noun-es "legitimigo"-noun-eo
"legitimigo"-noun-eo "legitimación"-noun-es
"peca"-noun-es "efelido"-noun-eo
"efelido"-noun-eo "peca"-noun-es
"libertario"-noun-es "libertariano"-noun-eo
"libertariano"-noun-eo "libertario"-noun-es
"luxemburgués"-noun-es "luksemburgiano"-noun-eo
"luxemburgués"-noun-es "luksemburgia"-noun-eo
"luksemburgiano"-noun-eo "luxemburgués"-noun-es
"luksemburgia"-noun-eo "luxemburgués"-noun-es
"mecedora"-noun-es "balancoseĝo"-noun-eo
"balancoseĝo"-noun-eo "mecedora"-noun-es
"recámara"-noun-es "vesto-ĉambro"-noun-eo
"vesto-ĉambro"-noun-eo "recámara"-noun-es
"oprimido"-adjective-es "premata"-adjective-eo
"premata"-adjective-eo "oprimido"-adjective-es
"heterosexualidad"-noun-es "heteroseksemeco"-noun-eo
"heterosexualidad"-noun-es "aliseksemeco"-noun-eo
"heteroseksemeco"-noun-eo "heterosexualidad"-noun-es
"aliseksemeco"-noun-eo "heterosexualidad"-noun-es
"insolentemente"-adverb-es "insolente"-adverb-eo
"insolente"-adverb-eo "insolentemente"-adverb-es
"empequeñecimiento"-noun-es "etiĝo"-noun-eo
"empequeñecimiento"-noun-es "malgrandiĝo"-noun-eo
"empequeñecimiento"-noun-es "etigo"-noun-eo
"etiĝo"-noun-eo "empequeñecimiento"-noun-es
"malgrandiĝo"-noun-eo "empequeñecimiento"-noun-es
"etigo"-noun-eo "empequeñecimiento"-noun-es
"infamante"-adjective-es "infamia"-adjective-eo
"infamia"-adjective-eo "infamante"-adjective-es
"marseljezo"-noun-eo "marsellesa"-noun-es
"marsellesa"-noun-es "marseljezo"-noun-eo
"metropolitano"-noun-es "metropolito"-noun-eo
"metropolito"-noun-eo "metropolitano"-noun-es
"microeconomía"-noun-es "mikroekonomiko"-noun-eo
"mikroekonomiko"-noun-eo "microeconomía"-noun-es
"mesurado"-adjective-es "deteniĝema"-adjective-eo
"deteniĝema"-adjective-eo "mesurado"-adjective-es
"mesuradamente"-adverb-es "deteniĝeme"-adverb-eo
"deteniĝeme"-adverb-eo "mesuradamente"-adverb-es
"monástico"-adjective-es "monakeja"-adjective-eo
"monakeja"-adjective-eo "monástico"-adjective-es
"loma"-noun-es "rifuĝmonteto"-noun-eo
"rifuĝmonteto"-noun-eo "loma"-noun-es
"mucoso"-adjective-es "mukoza"-adjective-eo
"mukoza"-adjective-eo "mucoso"-adjective-es
"inasumible"-adjective-es "nesuprenebla"-adjective-eo
"nesuprenebla"-adjective-eo "inasumible"-adjective-es
"inasumiblemente"-adverb-es "nesupreneble"-adverb-eo
"nesupreneble"-adverb-eo "inasumiblemente"-adverb-es
"inactivo"-adjective-es "senaga"-adjective-eo
"senaga"-adjective-eo "inactivo"-adjective-es
"nada"-noun-es "neniom"-noun-eo
"neniom"-noun-eo "nada"-noun-es
"matización"-noun-es "nuancigo"-noun-eo
"nuancigo"-noun-eo "matización"-noun-es
"nublado"-adjective-es "nubkovrita"-adjective-eo
"nublado"-adjective-es "nuboplena"-adjective-eo
"nubkovrita"-adjective-eo "nublado"-adjective-es
"nubkovrita"-adjective-eo "cubierto"-adjective-es
"nuboplena"-adjective-eo "nublado"-adjective-es
"nuboplena"-adjective-eo "cubierto"-adjective-es
"diferencialmente"-adverb-es "diferenciale"-adverb-eo
"diferenciale"-adverb-eo "diferencialmente"-adverb-es
"estribo"-noun-es "piedbreto"-noun-eo
"piedbreto"-noun-eo "estribo"-noun-es
"vaguear"-verb-es "mallaboremi"-verb-eo
"mallaboremi"-verb-eo "vaguear"-verb-es
"pleistoceno"-noun-es "pleistoceno"-noun-eo
"pleistoceno"-noun-eo "pleistoceno"-noun-es
"interdisciplinariamente"-adverb-es "interdiscipline"-adverb-eo
"interdiscipline"-adverb-eo "interdisciplinariamente"-adverb-es
"polonés"-noun-es "pola"-noun-eo
"pola"-noun-eo "polonés"-noun-es
"pornográficamente"-adverb-es "porne"-adverb-eo
"porne"-adverb-eo "pornográficamente"-adverb-es
"penal"-noun-es "punejo"-noun-eo
"punejo"-noun-eo "penal"-noun-es
"es"-pronoun-es "prpers"-reflexivePersonalPronoun-eo
"prpers"-reflexivePersonalPronoun-eo "es"-pronoun-es
"prpers"-reflexivePersonalPronoun-eo "es"-reflexivePersonalPronoun-es
"prpers"-reflexivePersonalPronoun-eo "prpers_fort"-pronoun-es
"es"-reflexivePersonalPronoun-es "prpers"-reflexivePersonalPronoun-eo
"prpers_fort"-pronoun-es "prpers"-reflexivePersonalPronoun-eo
"prusiano"-noun-es "prusa"-noun-eo
"prusa"-noun-eo "prusiano"-noun-es
"Pushkin"-properNoun-es "Puŝkin"-noun-eo
"Puŝkin"-noun-eo "Pushkin"-properNoun-es
"Puŝkin"-noun-eo "Pushkin"-noun-es
"Pushkin"-noun-es "Puŝkin"-noun-eo
"reimplantación"-noun-es "reenplantado"-noun-eo
"reenplantado"-noun-eo "reimplantación"-noun-es
"regente"-adjective-es "regenta"-adjective-eo
"regenta"-adjective-eo "regente"-adjective-es
"rockero"-adjective-es "rokenrola"-adjective-eo
"rokenrola"-adjective-eo "rockero"-adjective-es
"rokenrola"-adjective-eo "rock"-adjective-es
"sacralización"-noun-es "sakraliĝo"-noun-eo
"sakraliĝo"-noun-eo "sacralización"-noun-es
"salto mortal"-noun-es "mortosalto"-noun-eo
"mortosalto"-noun-eo "salto mortal"-noun-es
"contemporáneo"-noun-es "nuntempulo"-noun-eo
"nuntempulo"-noun-eo "contemporáneo"-noun-es
"alterable"-adjective-es "modifebla"-adjective-eo
"modifebla"-adjective-eo "alterable"-adjective-es
"morcilla"-noun-es "budeno"-noun-eo
"budeno"-noun-eo "morcilla"-noun-es
"viaticar"-verb-es "viatiki"-verb-eo
"viatiki"-verb-eo "viaticar"-verb-es
"azada"-noun-es "hojo"-noun-eo
"hojo"-noun-eo "azada"-noun-es
"Arábia Saudita"-properNoun-es "Sauda Arabio"-properNoun-eo
"Sauda Arabio"-properNoun-eo "Arábia Saudita"-properNoun-es
"interesado"-adjective-es "profitema"-adjective-eo
"profitema"-adjective-eo "interesado"-adjective-es
"secundariamente"-adverb-es "malĉefe"-adverb-eo
"malĉefe"-adverb-eo "secundariamente"-adverb-es
"descuidado"-adjective-es "neatenta"-adjective-eo
"neatenta"-adjective-eo "descuidado"-adjective-es
"imperdible"-noun-es "fibolo"-noun-eo
"imperdible"-noun-es "sendanĝerapinglo"-noun-eo
"fibolo"-noun-eo "imperdible"-noun-es
"sendanĝerapinglo"-noun-eo "imperdible"-noun-es
"inmisericorde"-adjective-es "seninduga"-adjective-eo
"seninduga"-adjective-eo "inmisericorde"-adjective-es
"inmisericordemente"-adverb-es "seninduge"-adverb-eo
"seninduge"-adverb-eo "inmisericordemente"-adverb-es
"sinónimo"-noun-es "samsencaĵo"-noun-eo
"samsencaĵo"-noun-eo "sinónimo"-noun-es
"desgarro"-noun-es "ŝiraĵo"-noun-eo
"ŝiraĵo"-noun-eo "desgarro"-noun-es
"máquina de escribir"-noun-es "tajpilo"-noun-eo
"tajpilo"-noun-eo "máquina de escribir"-noun-es
"sociolingüista"-noun-es "sociolingvisto"-noun-eo
"sociolingvisto"-noun-eo "sociolingüista"-noun-es
"en solitario"-adverb-es "solece"-adverb-eo
"solece"-adverb-eo "en solitario"-adverb-es
"solece"-adverb-eo "solitariamente"-adverb-es
"lechuza"-noun-es "tur-strigo"-noun-eo
"tur-strigo"-noun-eo "lechuza"-noun-es
"gilipollez"-noun-es "stulto"-noun-eo
"stulto"-noun-eo "gilipollez"-noun-es
"Cruz del Sur"-properNoun-es "Kruco"-properNoun-eo
"Kruco"-properNoun-eo "Cruz del Sur"-properNoun-es
"surafricano"-adjective-es "sudafrika"-adjective-eo
"sudafrika"-adjective-eo "surafricano"-adjective-es
"asfixiante"-adjective-es "asfiksia"-adjective-eo
"asfiksia"-adjective-eo "asfixiante"-adjective-es
"suspicaz"-adjective-es "malfida"-adjective-eo
"malfida"-adjective-eo "suspicaz"-adjective-es
"borbotón"-noun-es "bobelkrevo"-noun-eo
"bobelkrevo"-noun-eo "borbotón"-noun-es
"talentoso"-adjective-es "naturdotita"-adjective-eo
"talentoso"-adjective-es "talenthava"-adjective-eo
"talentoso"-adjective-es "talentplena"-adjective-eo
"naturdotita"-adjective-eo "talentoso"-adjective-es
"talenthava"-adjective-eo "talentoso"-adjective-es
"talentplena"-adjective-eo "talentoso"-adjective-es
"virtuosamente"-adverb-es "virtuoze"-adverb-eo
"virtuoze"-adverb-eo "virtuosamente"-adverb-es
"tangente"-adjective-es "tangenta"-adjective-eo
"tangenta"-adjective-eo "tangente"-adjective-es
"tetera"-noun-es "teujo"-noun-eo
"teujo"-noun-eo "tetera"-noun-es
"mordaza"-noun-es "buŝo-ŝtopilo"-noun-eo
"buŝo-ŝtopilo"-noun-eo "mordaza"-noun-es
"térmica"-noun-es "termika centralo"-noun-eo
"térmica"-noun-es "termika elektrejo"-noun-eo
"termika centralo"-noun-eo "térmica"-noun-es
"termika elektrejo"-noun-eo "térmica"-noun-es
"timoratamente"-adverb-es "prude"-adverb-eo
"prude"-adverb-eo "timoratamente"-adverb-es
"prude"-adverb-eo "dengosamente"-adverb-es
"prude"-adverb-eo "melindrosamente"-adverb-es
"Tolstói"-properNoun-es "Tolstoj"-noun-eo
"Tolstoj"-noun-eo "Tolstói"-properNoun-es
"Tolstoj"-noun-eo "Tolstói"-noun-es
"Tolstói"-noun-es "Tolstoj"-noun-eo
"madero"-noun-es "lignopeco"-noun-eo
"madero"-noun-es "fipolicano"-noun-eo
"madero"-noun-es "policistaĉo"-noun-eo
"madero"-noun-es "fipolicisto"-noun-eo
"lignopeco"-noun-eo "madero"-noun-es
"fipolicano"-noun-eo "madero"-noun-es
"policistaĉo"-noun-eo "madero"-noun-es
"fipolicisto"-noun-eo "madero"-noun-es
"tricentenario"-noun-es "tricentjara datreveno"-noun-eo
"tricentjara datreveno"-noun-eo "tricentenario"-noun-es
"bayeta"-noun-es "krudlanŝtofo"-noun-eo
"krudlanŝtofo"-noun-eo "bayeta"-noun-es
"O"-noun-es "O"-noun-eo
"O"-noun-eo "O"-noun-es
"cantimplora"-noun-es "faldebla"-noun-eo
"faldebla"-noun-eo "cantimplora"-noun-es
"puntualización"-noun-es "preciziĝo"-noun-eo
"preciziĝo"-noun-eo "puntualización"-noun-es
"inutilización"-noun-es "difektigo"-noun-eo
"inutilización"-noun-es "sentaŭgiĝo"-noun-eo
"inutilización"-noun-es "sentaŭgigo"-noun-eo
"difektigo"-noun-eo "inutilización"-noun-es
"sentaŭgiĝo"-noun-eo "inutilización"-noun-es
"sentaŭgigo"-noun-eo "inutilización"-noun-es
"trivialización"-noun-es "bagateliĝo"-noun-eo
"bagateliĝo"-noun-eo "trivialización"-noun-es
"futuramente"-adverb-es "future"-adverb-eo
"future"-adverb-eo "futuramente"-adverb-es
"desmesuradamente"-adverb-es "senmezure"-adverb-eo
"desmesuradamente"-adverb-es "senmodere"-adverb-eo
"senmezure"-adverb-eo "desmesuradamente"-adverb-es
"senmezure"-adverb-eo "desmedidamente"-adverb-es
"senmodere"-adverb-eo "desmesuradamente"-adverb-es
"debutante"-noun-es "debutanto"-noun-eo
"debutanto"-noun-eo "debutante"-noun-es
"velludo"-adjective-es "viloza"-adjective-eo
"velludo"-adjective-es "hara"-adjective-eo
"viloza"-adjective-eo "velludo"-adjective-es
"hara"-adjective-eo "velludo"-adjective-es
"mezquino"-adjective-es "etspirita"-adjective-eo
"etspirita"-adjective-eo "mezquino"-adjective-es
"destacablemente"-adverb-es "elstarigeble"-adverb-eo
"destacablemente"-adverb-es "elstariginde"-adverb-eo
"elstarigeble"-adverb-eo "destacablemente"-adverb-es
"elstariginde"-adverb-eo "destacablemente"-adverb-es
"pretérito"-adjective-es "preterita"-adjective-eo
"preterita"-adjective-eo "pretérito"-adjective-es
"popularización"-noun-es "populariĝo"-noun-eo
"populariĝo"-noun-eo "popularización"-noun-es
"máquina neumática"-noun-es "aerpumpilo"-noun-eo
"aerpumpilo"-noun-eo "máquina neumática"-noun-es
"refortalecimiento"-noun-es "refortigo"-noun-eo
"refortigo"-noun-eo "refortalecimiento"-noun-es
"alterado"-adjective-es "pertubita"-adjective-eo
"pertubita"-adjective-eo "alterado"-adjective-es
"roblón"-noun-es "nitnajlo"-noun-eo
"nitnajlo"-noun-eo "roblón"-noun-es
"brutamente"-adverb-es "brute"-adverb-eo
"brute"-adverb-eo "brutamente"-adverb-es
"entronque"-noun-es "boparenceco"-noun-eo
"boparenceco"-noun-eo "entronque"-noun-es
"absolutista"-adjective-es "absolutista"-adjective-eo
"absolutista"-adjective-eo "absolutista"-adjective-es
"interesado"-noun-es "profitemulo"-noun-eo
"profitemulo"-noun-eo "interesado"-noun-es
"condenado"-adjective-es "damna"-adjective-eo
"damna"-adjective-eo "condenado"-adjective-es
"decodificación"-noun-es "malkodigo"-noun-eo
"malkodigo"-noun-eo "decodificación"-noun-es
"atrasado"-adjective-es "malfruiĝanta"-adjective-eo
"atrasado"-adjective-es "nefarita"-adjective-eo
"malfruiĝanta"-adjective-eo "atrasado"-adjective-es
"nefarita"-adjective-eo "atrasado"-adjective-es
"infamador"-adjective-es "misfamiga"-adjective-eo
"misfamiga"-adjective-eo "infamador"-adjective-es
"a primera hora"-adverb-es "plej frue"-adverb-eo
"plej frue"-adverb-eo "a primera hora"-adverb-es
"defraudador"-noun-es "fraŭdanto"-noun-eo
"fraŭdanto"-noun-eo "defraudador"-noun-es
"carné de identidad"-noun-es "idento-karto"-noun-eo
"idento-karto"-noun-eo "carné de identidad"-noun-es
"alineado"-adjective-es "vicigita"-adjective-eo
"alineado"-adjective-es "postenigita"-adjective-eo
"alineado"-adjective-es "engaĝita"-adjective-eo
"vicigita"-adjective-eo "alineado"-adjective-es
"postenigita"-adjective-eo "alineado"-adjective-es
"engaĝita"-adjective-eo "alineado"-adjective-es
"políglota"-noun-es "multlingvulo"-noun-eo
"políglota"-noun-es "plurlingvulo"-noun-eo
"multlingvulo"-noun-eo "políglota"-noun-es
"plurlingvulo"-noun-eo "políglota"-noun-es
"rapaz"-adjective-es "predema"-adjective-eo
"predema"-adjective-eo "rapaz"-adjective-es
"refinación"-noun-es "rafino"-noun-eo
"rafino"-noun-eo "refinación"-noun-es
"infamador"-noun-es "misfamiganto"-noun-eo
"infamador"-noun-es "senhonoriganto"-noun-eo
"misfamiganto"-noun-eo "infamador"-noun-es
"senhonoriganto"-noun-eo "infamador"-noun-es
"desprevenido"-adjective-es "neavertita"-adjective-eo
"neavertita"-adjective-eo "desprevenido"-adjective-es
"puesta al día"-noun-es "ĝisdatiĝo"-noun-eo
"ĝisdatiĝo"-noun-eo "puesta al día"-noun-es
"flaqueza"-noun-es "magreco"-noun-eo
"magreco"-noun-eo "flaqueza"-noun-es
"darvinista"-adjective-es "darvinista"-adjective-eo
"darvinista"-adjective-eo "darvinista"-adjective-es
"alucinantemente"-adverb-es "halucine"-adverb-eo
"halucine"-adverb-eo "alucinantemente"-adverb-es
"taifa"-noun-es "tajfo"-noun-eo
"tajfo"-noun-eo "taifa"-noun-es
"inmensamente"-adverb-es "nemezureble"-adverb-eo
"nemezureble"-adverb-eo "inmensamente"-adverb-es
"inflamado"-adjective-es "bruluma"-adjective-eo
"bruluma"-adjective-eo "inflamado"-adjective-es
"readmisión"-noun-es "reakcepto"-noun-eo
"reakcepto"-noun-eo "readmisión"-noun-es
"minusvaloración"-noun-es "subtaksado"-noun-eo
"subtaksado"-noun-eo "minusvaloración"-noun-es
"inconscientemente"-adverb-es "nekonscie"-adverb-eo
"nekonscie"-adverb-eo "inconscientemente"-adverb-es
"tímido"-noun-es "timidulo"-noun-eo
"timidulo"-noun-eo "tímido"-noun-es
"perrito"-noun-es "hundineto"-noun-eo
"hundineto"-noun-eo "perrito"-noun-es
"anabaptista"-noun-es "baptisto"-noun-eo
"baptisto"-noun-eo "anabaptista"-noun-es
"catalanización"-noun-es "kataluniĝo"-noun-eo
"kataluniĝo"-noun-eo "catalanización"-noun-es
"disco compacto"-noun-es "kompaktdisko"-noun-eo
"kompaktdisko"-noun-eo "disco compacto"-noun-es
"descoordinación"-noun-es "malkunordiĝo"-noun-eo
"descoordinación"-noun-es "malkunordigado"-noun-eo
"malkunordiĝo"-noun-eo "descoordinación"-noun-es
"malkunordigado"-noun-eo "descoordinación"-noun-es
"dogmáticamente"-adverb-es "dogmeme"-adverb-eo
