"Hermes"-properNoun-fr "Hermes"-properNoun-es
"président du pays basque"-noun-fr "lehendakari"-noun-es
"lehendakari"-noun-es "président du pays basque"-noun-fr
"poner en marcha"-verb-es "mettre en oeuvre"-verb-fr
"mettre en oeuvre"-verb-fr "poner en marcha"-verb-es
"Getxo"-properNoun-fr "Getxo"-properNoun-es
"Getxo"-properNoun-es "Getxo"-properNoun-fr
"machines"-noun-fr "maquinaria"-noun-es
"maquinaria"-noun-es "machines"-noun-fr
"Ibex 35"-properNoun-fr "Ibex 35"-properNoun-es
"Ibex 35"-properNoun-es "Ibex 35"-properNoun-fr
"Aoiz"-properNoun-fr "Aoiz"-properNoun-es
"Aoiz"-properNoun-es "Aoiz"-properNoun-fr
"Zarautz"-properNoun-fr "Zarautz"-properNoun-es
"Zarautz"-properNoun-es "Zarautz"-properNoun-fr
"petite et moyenne entreprise"-noun-fr "pequeña y mediana empresa"-noun-es
"pequeña y mediana empresa"-noun-es "petite et moyenne entreprise"-noun-fr
"Rabanera"-properNoun-fr "Rabanera"-properNoun-es
"Rabanera"-properNoun-es "Rabanera"-properNoun-fr
"de mode"-adjective-fr "de moda"-adjective-es
"de moda"-adjective-es "de mode"-adjective-fr
"Burguete"-properNoun-fr "Burguete"-properNoun-es
"Burguete"-properNoun-es "Burguete"-properNoun-fr
"Unai"-properNoun-fr "Unai"-properNoun-es
"Unai"-properNoun-es "Unai"-properNoun-fr
"Alcorcón"-properNoun-fr "Alcorcón"-properNoun-es
"Alcorcón"-properNoun-es "Alcorcón"-properNoun-fr
"Communauté Economique Européenne"-properNoun-fr "Comunidad Económica Europea"-properNoun-es
"Comunidad Económica Europea"-properNoun-es "Communauté Economique Européenne"-properNoun-fr
"meubles"-noun-fr "mobiliario"-noun-es
"mobiliario"-noun-es "meubles"-noun-fr
"analgésique"-noun-fr "analgésico"-noun-es
"analgésico"-noun-es "analgésique"-noun-fr
"Bédier"-properNoun-fr "Bédier"-properNoun-es
"Bédier"-properNoun-es "Bédier"-properNoun-fr
"mise en oeuvre"-noun-fr "puesta en marcha"-noun-es
"puesta en marcha"-noun-es "mise en oeuvre"-noun-fr
"superviviente"-adjective-es "rescapé"-adjective-fr
"rescapé"-adjective-fr "superviviente"-adjective-es
"urgentemente"-adverb-es "urgemment"-adverb-fr
"urgemment"-adverb-fr "urgentemente"-adverb-es
"Getaria"-properNoun-fr "Getaria"-properNoun-es
"Getaria"-properNoun-es "Getaria"-properNoun-fr
"de droite"-noun-fr "derechista"-noun-es
"derechista"-noun-es "de droite"-noun-fr
"prestatario"-noun-es "prestataire"-noun-fr
"prestataire"-noun-fr "prestatario"-noun-es
"Van Gogh"-properNoun-fr "Van Gogh"-properNoun-es
"Van Gogh"-properNoun-es "Van Gogh"-properNoun-fr
"San"-properNoun-fr "San"-properNoun-es
"San"-properNoun-es "San"-properNoun-fr
"Localia"-properNoun-fr "Localia"-properNoun-es
"Localia"-properNoun-es "Localia"-properNoun-fr
"de la manche"-adjective-fr "manchego"-adjective-es
"manchego"-adjective-es "de la manche"-adjective-fr
"Leganés"-properNoun-fr "Leganés"-properNoun-es
"Leganés"-properNoun-es "Leganés"-properNoun-fr
"faire abstraction de"-verb-fr "prescindir de"-verb-es
"prescindir de"-verb-es "faire abstraction de"-verb-fr
"Hanoï"-properNoun-fr "Hanoi"-properNoun-es
"Hanoi"-properNoun-es "Hanoï"-properNoun-fr
"irakien"-noun-fr "iraquí"-noun-es
"iraquí"-noun-es "irakien"-noun-fr
"Gordexola"-properNoun-fr "Gordexola"-properNoun-es
"Gordexola"-properNoun-es "Gordexola"-properNoun-fr
"gobierno"-noun-es "gouv"-noun-fr
"gouv"-noun-fr "gobierno"-noun-es
"extinción"-noun-es "exctinction"-noun-fr
"exctinction"-noun-fr "extinción"-noun-es
"en connaissance de cause"-adverb-fr "con conocimiento de causa"-adverb-es
"con conocimiento de causa"-adverb-es "en connaissance de cause"-adverb-fr
"Alcobendas"-properNoun-fr "Alcobendas"-properNoun-es
"Alcobendas"-properNoun-es "Alcobendas"-properNoun-fr
"Accra"-properNoun-fr "Accra"-properNoun-es
"Accra"-properNoun-es "Accra"-properNoun-fr
"buteur"-adjective-fr "goleador"-adjective-es
"goleador"-adjective-es "buteur"-adjective-fr
"Carglass"-properNoun-fr "Carglass"-properNoun-es
"Carglass"-properNoun-es "Carglass"-properNoun-fr
"Etxarri"-properNoun-fr "Etxarri"-properNoun-es
"Etxarri"-properNoun-es "Etxarri"-properNoun-fr
"Brno"-properNoun-fr "Brno"-properNoun-es
"Brno"-properNoun-es "Brno"-properNoun-fr
"adentro"-adverb-es "à dedans"-adverb-fr
"à dedans"-adverb-fr "adentro"-adverb-es
"en conclusion"-adverb-fr "en conclusión"-adverb-es
"en conclusión"-adverb-es "en conclusion"-adverb-fr
"mauvais traitements"-noun-fr "maltrato"-noun-es
"maltrato"-noun-es "mauvais traitements"-noun-fr
"maltrato"-noun-es "mauvais traitement"-noun-fr
"mauvais traitement"-noun-fr "maltrato"-noun-es
"Al-Qaida"-properNoun-fr "Al Qaeda"-properNoun-es
"Al Qaeda"-properNoun-es "Al-Qaida"-properNoun-fr
"Belmopan"-properNoun-fr "Belmopán"-properNoun-es
"Belmopán"-properNoun-es "Belmopan"-properNoun-fr
"Île du Nord"-properNoun-fr "Isla Norte"-properNoun-es
"Isla Norte"-properNoun-es "Île du Nord"-properNoun-fr
"braderie"-noun-fr "mercadillo"-noun-es
"mercadillo"-noun-es "braderie"-noun-fr
"londonien"-noun-fr "londinense"-noun-es
"londinense"-noun-es "londonien"-noun-fr
"supporters"-noun-fr "afición"-noun-es
"afición"-noun-es "supporters"-noun-fr
"serrement"-noun-fr "apretón"-noun-es
"apretón"-noun-es "serrement"-noun-fr
"bonificación"-noun-es "allègement"-noun-fr
"allègement"-noun-fr "bonificación"-noun-es
"informations"-noun-fr "noticiero"-noun-es
"noticiero"-noun-es "informations"-noun-fr
"de commerce et de gestion"-adjective-fr "empresarial"-adjective-es
"empresarial"-adjective-es "de commerce et de gestion"-adjective-fr
"empresarial"-adjective-es "des entreprises"-adjective-fr
"des entreprises"-adjective-fr "empresarial"-adjective-es
"Arrecife"-properNoun-fr "Arrecife"-properNoun-es
"Arrecife"-properNoun-es "Arrecife"-properNoun-fr
"nº"-noun-fr "nº"-noun-es
"nº"-noun-es "nº"-noun-fr
"Villafranca"-properNoun-fr "Villafranca"-properNoun-es
"Villafranca"-properNoun-es "Villafranca"-properNoun-fr
"cerca"-adverb-es "à coté"-adverb-fr
"à coté"-adverb-fr "cerca"-adverb-es
"Johannesburg"-properNoun-fr "Johannesburgo"-properNoun-es
"Johannesburgo"-properNoun-es "Johannesburg"-properNoun-fr
"chahuteur"-noun-fr "alborotador"-noun-es
"alborotador"-noun-es "chahuteur"-noun-fr
"journal officiel de province"-noun-fr "BOP"-noun-es
"BOP"-noun-es "journal officiel de province"-noun-fr
"Abu Dhabi"-properNoun-fr "Abu Dabi"-properNoun-es
"Abu Dabi"-properNoun-es "Abu Dhabi"-properNoun-fr
"Dow Jones"-properNoun-fr "Dow Jones"-properNoun-es
"Dow Jones"-properNoun-es "Dow Jones"-properNoun-fr
"Agurain"-properNoun-fr "Agurain"-properNoun-es
"Agurain"-properNoun-es "Agurain"-properNoun-fr
"Burlada"-properNoun-fr "Burlada"-properNoun-es
"Burlada"-properNoun-es "Burlada"-properNoun-fr
"quoi qu'il arrive"-adverb-fr "pase lo que pase"-adverb-es
"pase lo que pase"-adverb-es "quoi qu'il arrive"-adverb-fr
"Îles Cook"-properNoun-fr "Islas Cook"-properNoun-es
"Islas Cook"-properNoun-es "Îles Cook"-properNoun-fr
"Vía de las dos Castillas"-properNoun-fr "Vía de las dos Castillas"-properNoun-es
"Vía de las dos Castillas"-properNoun-es "Vía de las dos Castillas"-properNoun-fr
"Abadiño"-properNoun-fr "Abadiño"-properNoun-es
"Abadiño"-properNoun-es "Abadiño"-properNoun-fr
"moteur de recherche"-noun-fr "motor de búsqueda"-noun-es
"moteur de recherche"-noun-fr "buscador"-noun-es
"motor de búsqueda"-noun-es "moteur de recherche"-noun-fr
"buscador"-noun-es "moteur de recherche"-noun-fr
"Gernika-Lumo"-properNoun-fr "Gernika-Lumo"-properNoun-es
"Gernika-Lumo"-properNoun-es "Gernika-Lumo"-properNoun-fr
"Málaga"-properNoun-fr "Málaga"-properNoun-es
"Málaga"-properNoun-es "Málaga"-properNoun-fr
"Igon"-properNoun-fr "Igon"-properNoun-es
"Igon"-properNoun-es "Igon"-properNoun-fr
"Calcutta"-properNoun-fr "Calcuta"-properNoun-es
"Calcuta"-properNoun-es "Calcutta"-properNoun-fr
"élections"-noun-fr "comicios"-noun-es
"comicios"-noun-es "élections"-noun-fr
"République Démocratique Allemande"-properNoun-fr "República Democrática Alemana"-properNoun-es
"República Democrática Alemana"-properNoun-es "République Démocratique Allemande"-properNoun-fr
"Eneko"-properNoun-fr "Eneko"-properNoun-es
"Eneko"-properNoun-es "Eneko"-properNoun-fr
"Pasquier"-properNoun-fr "Pasquier"-properNoun-es
"Pasquier"-properNoun-es "Pasquier"-properNoun-fr
"antépénultième"-adjective-fr "antepenúltimo"-adjective-es
"antepenúltimo"-adjective-es "antépénultième"-adjective-fr
"Araitz"-properNoun-fr "Araitz"-properNoun-es
"Araitz"-properNoun-es "Araitz"-properNoun-fr
"de lasarte"-adjective-fr "lasartearra"-adjective-es
"lasartearra"-adjective-es "de lasarte"-adjective-fr
"blanc-azur"-adjective-fr "albiceleste"-adjective-es
"albiceleste"-adjective-es "blanc-azur"-adjective-fr
"et encore"-adverb-fr "aun así"-adverb-es
"aun así"-adverb-es "et encore"-adverb-fr
"Asie Mineure"-properNoun-fr "Asia Menor"-properNoun-es
"Asia Menor"-properNoun-es "Asie Mineure"-properNoun-fr
"d'une communauté autonome"-adjective-fr "autonómico"-adjective-es
"autonómico"-adjective-es "d'une communauté autonome"-adjective-fr
"bavardage"-noun-fr "charla"-noun-es
"charla"-noun-es "bavardage"-noun-fr
"Abuja"-properNoun-fr "Abuya"-properNoun-es
"Abuya"-properNoun-es "Abuja"-properNoun-fr
"Ayerbe"-properNoun-fr "Ayerbe"-properNoun-es
"Ayerbe"-properNoun-es "Ayerbe"-properNoun-fr
"arrondisement"-noun-fr "distrito"-noun-es
"distrito"-noun-es "arrondisement"-noun-fr
"polygone industriel"-noun-fr "polígono industrial"-noun-es
"polígono industrial"-noun-es "polygone industriel"-noun-fr
"Guillaume Tell"-properNoun-fr "Guillermo Tell"-properNoun-es
"Guillermo Tell"-properNoun-es "Guillaume Tell"-properNoun-fr
"bon soir"-interjection-fr "buenas noches"-interjection-es
"buenas noches"-interjection-es "bon soir"-interjection-fr
"buenas noches"-interjection-es "bonne nuit"-interjection-fr
"bonne nuit"-interjection-fr "buenas noches"-interjection-es
"Daphné"-properNoun-fr "Dafne"-properNoun-es
"Dafne"-properNoun-es "Daphné"-properNoun-fr
"Almendralejo"-properNoun-fr "Almendralejo"-properNoun-es
"Almendralejo"-properNoun-es "Almendralejo"-properNoun-fr
"sin embargo"-adverb-es "pour autant"-adverb-fr
"pour autant"-adverb-fr "sin embargo"-adverb-es
"Villabona"-properNoun-fr "Villabona"-properNoun-es
"Villabona"-properNoun-es "Villabona"-properNoun-fr
"Altzaga"-properNoun-fr "Altzaga"-properNoun-es
"Altzaga"-properNoun-es "Altzaga"-properNoun-fr
"Teguise"-properNoun-fr "Teguise"-properNoun-es
"Teguise"-properNoun-es "Teguise"-properNoun-fr
"Muskiz"-properNoun-fr "Muskiz"-properNoun-es
"Muskiz"-properNoun-es "Muskiz"-properNoun-fr
"Arrasate"-properNoun-fr "Arrasate"-properNoun-es
"Arrasate"-properNoun-es "Arrasate"-properNoun-fr
"Lekeitio"-properNoun-fr "Lekeitio"-properNoun-es
"Lekeitio"-properNoun-es "Lekeitio"-properNoun-fr
"en todas partes"-adverb-es "partout dans le monde"-adverb-fr
"partout dans le monde"-adverb-fr "en todas partes"-adverb-es
"declaration"-noun-fr "declaración"-noun-es
"declaración"-noun-es "declaration"-noun-fr
"augmentation du capital"-noun-fr "ampliación de capital"-noun-es
"ampliación de capital"-noun-es "augmentation du capital"-noun-fr
"bulletin de livraison"-noun-fr "albarán"-noun-es
"albarán"-noun-es "bulletin de livraison"-noun-fr
"Isabelle Ire la Catholique"-properNoun-fr "Isabel I la Católica"-properNoun-es
"Isabel I la Católica"-properNoun-es "Isabelle Ire la Catholique"-properNoun-fr
"Ea"-properNoun-fr "Ea"-properNoun-es
"Ea"-properNoun-es "Ea"-properNoun-fr
"Antzuola"-properNoun-fr "Antzuola"-properNoun-es
"Antzuola"-properNoun-es "Antzuola"-properNoun-fr
"cuarto de baño"-noun-es "cabinet de toilette"-noun-fr
"cabinet de toilette"-noun-fr "cuarto de baño"-noun-es
"casbah"-noun-fr "alcazaba"-noun-es
"alcazaba"-noun-es "casbah"-noun-fr
"Ezkurra"-properNoun-fr "Ezkurra"-properNoun-es
"Ezkurra"-properNoun-es "Ezkurra"-properNoun-fr
"de crédit"-adjective-fr "crediticio"-adjective-es
"crediticio"-adjective-es "de crédit"-adjective-fr
"Outón"-properNoun-fr "Outón"-properNoun-es
"Outón"-properNoun-es "Outón"-properNoun-fr
"Ferrol"-properNoun-fr "Ferrol"-properNoun-es
"Ferrol"-properNoun-es "Ferrol"-properNoun-fr
"afghan"-noun-fr "afgano"-noun-es
"afgano"-noun-es "afghan"-noun-fr
"abertzale"-adjective-es "nationaliste basque radical"-adjective-fr
"abertzale"-adjective-es "nationaliste basque radicale"-adjective-fr
"nationaliste basque radical"-adjective-fr "abertzale"-adjective-es
"nationaliste basque radicale"-adjective-fr "abertzale"-adjective-es
"près"-preposition-fr "cerca de"-preposition-es
"cerca de"-preposition-es "près"-preposition-fr
"en cas d'émergence"-adverb-fr "en caso de emergencia"-adverb-es
"en caso de emergencia"-adverb-es "en cas d'émergence"-adverb-fr
"Carolines"-properNoun-fr "Carolinas"-properNoun-es
"Carolinas"-properNoun-es "Carolines"-properNoun-fr
"mer de Barents"-properNoun-fr "Mar de Barents"-properNoun-es
"Mar de Barents"-properNoun-es "mer de Barents"-properNoun-fr
"Indaux"-properNoun-fr "Indaux"-properNoun-es
"Indaux"-properNoun-es "Indaux"-properNoun-fr
"rancoeur"-noun-fr "rencor"-noun-es
"rencor"-noun-es "rancoeur"-noun-fr
"El Greco"-properNoun-fr "El Greco"-properNoun-es
"El Greco"-properNoun-es "El Greco"-properNoun-fr
"Abanto"-properNoun-fr "Abanto"-properNoun-es
"Abanto"-properNoun-es "Abanto"-properNoun-fr
"parisien"-noun-fr "parisiense"-noun-es
"parisiense"-noun-es "parisien"-noun-fr
"coup de fouet"-noun-fr "empujón"-noun-es
"empujón"-noun-es "coup de fouet"-noun-fr
"Guipuscoa"-properNoun-fr "Gipuzkoa"-properNoun-es
"Gipuzkoa"-properNoun-es "Guipuscoa"-properNoun-fr
"por la tarde"-adverb-es "au soir"-adverb-fr
"au soir"-adverb-fr "por la tarde"-adverb-es
"délai maximal"-noun-fr "plazo máximo"-noun-es
"plazo máximo"-noun-es "délai maximal"-noun-fr
"costumbre"-noun-es "moeurs"-noun-fr
"moeurs"-noun-fr "costumbre"-noun-es
"ponctuable"-adjective-fr "puntuable"-adjective-es
"puntuable"-adjective-es "ponctuable"-adjective-fr
"d’une façon surprenante"-adverb-fr "sorprendentemente"-adverb-es
"sorprendentemente"-adverb-es "d’une façon surprenante"-adverb-fr
"sorprendentemente"-adverb-es "surprenamment"-adverb-fr
"surprenamment"-adverb-fr "sorprendentemente"-adverb-es
"Guadiana"-properNoun-fr "Guadiana"-properNoun-es
"Guadiana"-properNoun-es "Guadiana"-properNoun-fr
"Tirán"-properNoun-fr "Tirán"-properNoun-es
"Tirán"-properNoun-es "Tirán"-properNoun-fr
"matraque"-noun-fr "porra"-noun-es
"porra"-noun-es "matraque"-noun-fr
"de façon exponentielle"-adverb-fr "exponencialmente"-adverb-es
"exponencialmente"-adverb-es "de façon exponentielle"-adverb-fr
"aphrodisiaque"-adjective-fr "afrodisíaco"-adjective-es
"afrodisíaco"-adjective-es "aphrodisiaque"-adjective-fr
"code à barres"-noun-fr "código de barras"-noun-es
"código de barras"-noun-es "code à barres"-noun-fr
"código de barras"-noun-es "code-barres"-noun-fr
"code-barres"-noun-fr "código de barras"-noun-es
"Club de rame de Zumaia"-properNoun-fr "Zumaiako Arraun Elkartea"-properNoun-es
"Zumaiako Arraun Elkartea"-properNoun-es "Club de rame de Zumaia"-properNoun-fr
"de Burgos"-adjective-fr "burgalés"-adjective-es
"burgalés"-adjective-es "de Burgos"-adjective-fr
"communicant"-noun-fr "comunicante"-noun-es
"comunicante"-noun-es "communicant"-noun-fr
"Alcampo"-properNoun-fr "Alcampo"-properNoun-es
"Alcampo"-properNoun-es "Alcampo"-properNoun-fr
"Itsasondo"-properNoun-fr "Itsasondo"-properNoun-es
"Itsasondo"-properNoun-es "Itsasondo"-properNoun-fr
"Augsburg"-properNoun-fr "Augsburgo"-properNoun-es
"Augsburgo"-properNoun-es "Augsburg"-properNoun-fr
"Antton"-properNoun-fr "Antton"-properNoun-es
"Antton"-properNoun-es "Antton"-properNoun-fr
"Îles Ioniennes"-properNoun-fr "Islas Jónicas"-properNoun-es
"Islas Jónicas"-properNoun-es "Îles Ioniennes"-properNoun-fr
"Arguedas"-properNoun-fr "Arguedas"-properNoun-es
"Arguedas"-properNoun-es "Arguedas"-properNoun-fr
"manoeuvre"-noun-fr "maniobra"-noun-es
"maniobra"-noun-es "manoeuvre"-noun-fr
"Renshaw"-properNoun-fr "Renshaw"-properNoun-es
"Renshaw"-properNoun-es "Renshaw"-properNoun-fr
"departamental"-adjective-es "départamentale"-adjective-fr
"départamentale"-adjective-fr "departamental"-adjective-es
"Diario Vasco"-properNoun-fr "Diario Vasco"-properNoun-es
"Diario Vasco"-properNoun-es "Diario Vasco"-properNoun-fr
"mettre les points sur les i"-verb-fr "poner los puntos sobre las íes"-verb-es
"poner los puntos sobre las íes"-verb-es "mettre les points sur les i"-verb-fr
"péruvien"-noun-fr "peruano"-noun-es
"peruano"-noun-es "péruvien"-noun-fr
"Apia"-properNoun-fr "Apia"-properNoun-es
"Apia"-properNoun-es "Apia"-properNoun-fr
"Aranjuez"-properNoun-fr "Aranjuez"-properNoun-es
"Aranjuez"-properNoun-es "Aranjuez"-properNoun-fr
"dépistage"-noun-fr "detección"-noun-es
"detección"-noun-es "dépistage"-noun-fr
"Ampudia"-properNoun-fr "Ampudia"-properNoun-es
"Ampudia"-properNoun-es "Ampudia"-properNoun-fr
"sans but lucratif"-adjective-fr "sin ánimo de lucro"-adjective-es
"sin ánimo de lucro"-adjective-es "sans but lucratif"-adjective-fr
"sin ánimo de lucro"-adjective-es "à but non lucratif"-adjective-fr
"à but non lucratif"-adjective-fr "sin ánimo de lucro"-adjective-es
"Îles sous le Vent"-properNoun-fr "Islas de Sotavento"-properNoun-es
"Islas de Sotavento"-properNoun-es "Îles sous le Vent"-properNoun-fr
"en conséquence"-adverb-fr "consecuentemente"-adverb-es
"consecuentemente"-adverb-es "en conséquence"-adverb-fr
"Alquézar"-properNoun-fr "Alquézar"-properNoun-es
"Alquézar"-properNoun-es "Alquézar"-properNoun-fr
"Marcial"-properNoun-fr "Marcial"-properNoun-es
"Marcial"-properNoun-es "Marcial"-properNoun-fr
"Agoitz"-properNoun-fr "Agoitz"-properNoun-es
"Agoitz"-properNoun-es "Agoitz"-properNoun-fr
"Confucius"-properNoun-fr "Confucio"-properNoun-es
"Confucio"-properNoun-es "Confucius"-properNoun-fr
"Moustapha"-properNoun-fr "Moustapha"-properNoun-es
"Moustapha"-properNoun-es "Moustapha"-properNoun-fr
"chilien"-noun-fr "chileno"-noun-es
"chileno"-noun-es "chilien"-noun-fr
"par cas"-adverb-fr "por casualidad"-adverb-es
"por casualidad"-adverb-es "par cas"-adverb-fr
"Sestao"-properNoun-fr "Sestao"-properNoun-es
"Sestao"-properNoun-es "Sestao"-properNoun-fr
"catering"-noun-fr "catering"-noun-es
"catering"-noun-es "catering"-noun-fr
"Euskadi Irratia"-properNoun-fr "Euskadi Irratia"-properNoun-es
"Euskadi Irratia"-properNoun-es "Euskadi Irratia"-properNoun-fr
"Ganymède"-properNoun-fr "Ganímedes"-properNoun-es
"Ganímedes"-properNoun-es "Ganymède"-properNoun-fr
"Elgoibar"-properNoun-fr "Elgoibar"-properNoun-es
"Elgoibar"-properNoun-es "Elgoibar"-properNoun-fr
"Koxtape"-properNoun-fr "Koxtape"-properNoun-es
"Koxtape"-properNoun-es "Koxtape"-properNoun-fr
"Ecolmare"-properNoun-fr "Ecolmare"-properNoun-es
"Ecolmare"-properNoun-es "Ecolmare"-properNoun-fr
"Cudeyo"-properNoun-fr "Cudeyo"-properNoun-es
"Cudeyo"-properNoun-es "Cudeyo"-properNoun-fr
"Îles de la Madeleine"-properNoun-fr "Islas de la Magdalena"-properNoun-es
"Islas de la Magdalena"-properNoun-es "Îles de la Madeleine"-properNoun-fr
"sablonneux"-adjective-fr "arenoso"-adjective-es
"arenoso"-adjective-es "sablonneux"-adjective-fr
"Adeje"-properNoun-fr "Adeje"-properNoun-es
"Adeje"-properNoun-es "Adeje"-properNoun-fr
"Guantánamo"-properNoun-es "Guantanamo"-properNoun-fr
"Guantanamo"-properNoun-fr "Guantánamo"-properNoun-es
"Servicristal"-properNoun-fr "Servicristal"-properNoun-es
"Servicristal"-properNoun-es "Servicristal"-properNoun-fr
"déclencheur"-noun-fr "desencadenante"-noun-es
"desencadenante"-noun-es "déclencheur"-noun-fr
"Goierri"-properNoun-fr "Goierri"-properNoun-es
"Goierri"-properNoun-es "Goierri"-properNoun-fr
"en l'occurence"-adverb-fr "en este caso"-adverb-es
"en este caso"-adverb-es "en l'occurence"-adverb-fr
"en este caso"-adverb-es "en l'occurrence"-adverb-fr
"en l'occurrence"-adverb-fr "en este caso"-adverb-es
"de pontevedra"-adjective-fr "pontevedrés"-adjective-es
"pontevedrés"-adjective-es "de pontevedra"-adjective-fr
"en tout temps"-adverb-fr "en cualquier momento"-adverb-es
"en cualquier momento"-adverb-es "en tout temps"-adverb-fr
"en cualquier momento"-adverb-es "à tout instant"-adverb-fr
"en cualquier momento"-adverb-es "à tout moment"-adverb-fr
"à tout instant"-adverb-fr "en cualquier momento"-adverb-es
"à tout moment"-adverb-fr "en cualquier momento"-adverb-es
"coup de pistolet"-noun-fr "pistoletazo"-noun-es
"pistoletazo"-noun-es "coup de pistolet"-noun-fr
"antidoping"-adjective-fr "antidoping"-adjective-es
"antidoping"-adjective-es "antidoping"-adjective-fr
"Arkote"-properNoun-fr "Arkote"-properNoun-es
"Arkote"-properNoun-es "Arkote"-properNoun-fr
"Palma de Majorque"-properNoun-fr "Palma de Mallorca"-properNoun-es
"Palma de Mallorca"-properNoun-es "Palma de Majorque"-properNoun-fr
"Zumarraga"-properNoun-fr "Zumarraga"-properNoun-es
"Zumarraga"-properNoun-es "Zumarraga"-properNoun-fr
"bien-fondé"-adjective-fr "pertinente"-adjective-es
"pertinente"-adjective-es "bien-fondé"-adjective-fr
"anti-émeute"-adjective-fr "antidisturbios"-adjective-es
"antidisturbios"-adjective-es "anti-émeute"-adjective-fr
"de cette manière"-adverb-fr "de este modo"-adverb-es
"de este modo"-adverb-es "de cette manière"-adverb-fr
"de este modo"-adverb-es "par ainsi"-adverb-fr
"par ainsi"-adverb-fr "de este modo"-adverb-es
"prendre position"-verb-fr "posicionar"-verb-es
"posicionar"-verb-es "prendre position"-verb-fr
"Leioa"-properNoun-fr "Leioa"-properNoun-es
"Leioa"-properNoun-es "Leioa"-properNoun-fr
"effet de levier"-noun-fr "apalancamiento"-noun-es
"apalancamiento"-noun-es "effet de levier"-noun-fr
"Mundaka"-properNoun-fr "Mundaka"-properNoun-es
"Mundaka"-properNoun-es "Mundaka"-properNoun-fr
"Amieva"-properNoun-fr "Amieva"-properNoun-es
"Amieva"-properNoun-es "Amieva"-properNoun-fr
"Joserra"-properNoun-fr "Joserra"-properNoun-es
"Joserra"-properNoun-es "Joserra"-properNoun-fr
"Ordizia"-properNoun-fr "Ordizia"-properNoun-es
"Ordizia"-properNoun-es "Ordizia"-properNoun-fr
"tout au plus"-adverb-fr "a lo sumo"-adverb-es
"a lo sumo"-adverb-es "tout au plus"-adverb-fr
"Mecque"-properNoun-fr "Meca"-properNoun-es
"Meca"-properNoun-es "Mecque"-properNoun-fr
"desequilibrado"-adjective-es "balourd"-adjective-fr
"balourd"-adjective-fr "desequilibrado"-adjective-es
"tellement"-adjective-fr "tanto"-adjective-es
"tanto"-adjective-es "tellement"-adjective-fr
"bataille d'Austerlitz"-properNoun-fr "batalla de Austerlitz"-properNoun-es
"batalla de Austerlitz"-properNoun-es "bataille d'Austerlitz"-properNoun-fr
"vente en gros"-noun-fr "venta al por mayor"-noun-es
"venta al por mayor"-noun-es "vente en gros"-noun-fr
"africain"-noun-fr "africano"-noun-es
"africano"-noun-es "africain"-noun-fr
"Pasai San Pedro"-properNoun-fr "Pasai San Pedro"-properNoun-es
"Pasai San Pedro"-properNoun-es "Pasai San Pedro"-properNoun-fr
"ex"-adjective-fr "ex"-adjective-es
"ex"-adjective-es "ex"-adjective-fr
"IRPP"-noun-fr "IRPF"-noun-es
"IRPF"-noun-es "IRPP"-noun-fr
"panne d'électricité"-noun-fr "apagón"-noun-es
"apagón"-noun-es "panne d'électricité"-noun-fr
"iranien"-noun-fr "iraní"-noun-es
"iraní"-noun-es "iranien"-noun-fr
"Elorrio"-properNoun-fr "Elorrio"-properNoun-es
