"avoir l'habitude de"-verb-fr "soler"-verb-es
"Minnesota"-properNoun-fr "Minnesota"-properNoun-es
"Minnesota"-properNoun-es "Minnesota"-properNoun-fr
"insulter"-verb-fr "insultar"-verb-es
"insultar"-verb-es "insulter"-verb-fr
"surf"-noun-fr "surf"-noun-es
"surf"-noun-es "surf"-noun-fr
"Anne"-properNoun-fr "Anne"-properNoun-es
"Anne"-properNoun-es "Anne"-properNoun-fr
"sciure"-noun-fr "serrín"-noun-es
"serrín"-noun-es "sciure"-noun-fr
"Arturo"-properNoun-fr "Arturo"-properNoun-es
"Arturo"-properNoun-es "Arturo"-properNoun-fr
"Suzuki"-properNoun-fr "Suzuki"-properNoun-es
"Suzuki"-properNoun-es "Suzuki"-properNoun-fr
"incrédulité"-noun-fr "incredulidad"-noun-es
"incredulidad"-noun-es "incrédulité"-noun-fr
"Julieta"-properNoun-fr "Julieta"-properNoun-es
"Julieta"-properNoun-es "Julieta"-properNoun-fr
"coordonner"-verb-fr "coordinar"-verb-es
"coordinar"-verb-es "coordonner"-verb-fr
"aménagement"-noun-fr "planeamiento"-noun-es
"planeamiento"-noun-es "aménagement"-noun-fr
"planeamiento"-noun-es "organisation"-noun-fr
"organisation"-noun-fr "planeamiento"-noun-es
"animateur"-noun-fr "animador"-noun-es
"animateur"-noun-fr "locutor"-noun-es
"animador"-noun-es "animateur"-noun-fr
"locutor"-noun-es "animateur"-noun-fr
"Adelaida"-properNoun-fr "Adelaida"-properNoun-es
"Adelaida"-properNoun-es "Adelaida"-properNoun-fr
"Abyssinie"-properNoun-fr "Abisinia"-properNoun-es
"Abisinia"-properNoun-es "Abyssinie"-properNoun-fr
"Benito"-properNoun-fr "Benito"-properNoun-es
"Benito"-properNoun-es "Benito"-properNoun-fr
"Petrella"-properNoun-fr "Petrella"-properNoun-es
"Petrella"-properNoun-es "Petrella"-properNoun-fr
"généralité"-noun-fr "generalidad"-noun-es
"generalidad"-noun-es "généralité"-noun-fr
"quatre-vingt-onze"-numeral-fr "noventa y uno"-numeral-es
"noventa y uno"-numeral-es "quatre-vingt-onze"-numeral-fr
"soupe"-noun-fr "sopa"-noun-es
"sopa"-noun-es "soupe"-noun-fr
"Stewart"-properNoun-fr "Stewart"-properNoun-es
"Stewart"-properNoun-es "Stewart"-properNoun-fr
"couche"-noun-fr "corteza"-noun-es
"corteza"-noun-es "couche"-noun-fr
"postguerre"-noun-fr "posguerra"-noun-es
"posguerra"-noun-es "postguerre"-noun-fr
"Thèbes"-properNoun-fr "Tebas"-properNoun-es
"Tebas"-properNoun-es "Thèbes"-properNoun-fr
"Baker"-properNoun-fr "Baker"-properNoun-es
"Baker"-properNoun-es "Baker"-properNoun-fr
"expressivité"-noun-fr "expresividad"-noun-es
"expresividad"-noun-es "expressivité"-noun-fr
"exploitation"-noun-fr "aprovechamiento"-noun-es
"aprovechamiento"-noun-es "exploitation"-noun-fr
"Gard"-properNoun-fr "Gard"-properNoun-es
"Gard"-properNoun-es "Gard"-properNoun-fr
"adición"-noun-es "ajout"-noun-fr
"adición"-noun-es "rajout"-noun-fr
"ajout"-noun-fr "adición"-noun-es
"rajout"-noun-fr "adición"-noun-es
"Rita"-properNoun-fr "Rita"-properNoun-es
"Rita"-properNoun-es "Rita"-properNoun-fr
"inconvénient"-noun-fr "inconveniente"-noun-es
"inconveniente"-noun-es "inconvénient"-noun-fr
"ingestion"-noun-fr "ingesta"-noun-es
"ingesta"-noun-es "ingestion"-noun-fr
"Cartagena"-properNoun-es "Carthagène"-properNoun-fr
"Carthagène"-properNoun-fr "Cartagena"-properNoun-es
"tomber sur"-verb-fr "topar"-verb-es
"topar"-verb-es "tomber sur"-verb-fr
"précieux"-adjective-fr "valioso"-adjective-es
"valioso"-adjective-es "précieux"-adjective-fr
"valioso"-adjective-es "de valeur"-adjective-fr
"de valeur"-adjective-fr "valioso"-adjective-es
"hilarité"-noun-fr "hilaridad"-noun-es
"hilaridad"-noun-es "hilarité"-noun-fr
"subsidiaire"-adjective-fr "subsidiario"-adjective-es
"subsidiario"-adjective-es "subsidiaire"-adjective-fr
"virtuose"-adjective-fr "virtuoso"-adjective-es
"virtuoso"-adjective-es "virtuose"-adjective-fr
"épargnant"-noun-fr "ahorrador"-noun-es
"ahorrador"-noun-es "épargnant"-noun-fr
"fruits de mer"-noun-fr "marisco"-noun-es
"marisco"-noun-es "fruits de mer"-noun-fr
"Imaz"-properNoun-fr "Imaz"-properNoun-es
"Imaz"-properNoun-es "Imaz"-properNoun-fr
"une fois"-adverb-fr "una vez"-adverb-es
"una vez"-adverb-es "une fois"-adverb-fr
"convier"-verb-fr "invitar"-verb-es
"invitar"-verb-es "convier"-verb-fr
"invitar"-verb-es "inviter"-verb-fr
"inviter"-verb-fr "invitar"-verb-es
"comprimé"-noun-fr "pastilla"-noun-es
"pastilla"-noun-es "comprimé"-noun-fr
"pastilla"-noun-es "cachet"-noun-fr
"cachet"-noun-fr "pastilla"-noun-es
"Martha"-properNoun-fr "Martha"-properNoun-es
"Martha"-properNoun-es "Martha"-properNoun-fr
"octet"-noun-fr "octeto"-noun-es
"octeto"-noun-es "octet"-noun-fr
"email"-noun-fr "email"-noun-es
"email"-noun-es "email"-noun-fr
"indemne"-adjective-fr "ileso"-adjective-es
"indemne"-adjective-fr "indemne"-adjective-es
"ileso"-adjective-es "indemne"-adjective-fr
"indemne"-adjective-es "indemne"-adjective-fr
"double"-noun-fr "doble"-noun-es
"doble"-noun-es "double"-noun-fr
"Nadine"-properNoun-fr "Nadine"-properNoun-es
"Nadine"-properNoun-es "Nadine"-properNoun-fr
"soñar"-verb-es "songer"-verb-fr
"songer"-verb-fr "soñar"-verb-es
"desde entonces"-adverb-es "depuis lors"-adverb-fr
"depuis lors"-adverb-fr "desde entonces"-adverb-es
"prolongement"-noun-fr "alargamiento"-noun-es
"alargamiento"-noun-es "prolongement"-noun-fr
"amélioration"-noun-fr "mejoría"-noun-es
"mejoría"-noun-es "amélioration"-noun-fr
"publicitaire"-adjective-fr "publicitario"-adjective-es
"publicitario"-adjective-es "publicitaire"-adjective-fr
"sérénité"-noun-fr "serenidad"-noun-es
"serenidad"-noun-es "sérénité"-noun-fr
"instable"-adjective-fr "inestable"-adjective-es
"inestable"-adjective-es "instable"-adjective-fr
"devenir"-verb-fr "resultar"-verb-es
"resultar"-verb-es "devenir"-verb-fr
"acontecer"-verb-es "survenir"-verb-fr
"survenir"-verb-fr "acontecer"-verb-es
"Etxaniz"-properNoun-fr "Etxaniz"-properNoun-es
"Etxaniz"-properNoun-es "Etxaniz"-properNoun-fr
"fichage"-noun-fr "fichaje"-noun-es
"fichaje"-noun-es "fichage"-noun-fr
"fichaje"-noun-es "inscription"-noun-fr
"inscription"-noun-fr "fichaje"-noun-es
"inscription"-noun-fr "matriculación"-noun-es
"inscription"-noun-fr "inscripción"-noun-es
"baie vitrée"-noun-fr "ventanal"-noun-es
"ventanal"-noun-es "baie vitrée"-noun-fr
"pénitence"-noun-fr "penitencia"-noun-es
"penitencia"-noun-es "pénitence"-noun-fr
"Lynch"-properNoun-fr "Lynch"-properNoun-es
"Lynch"-properNoun-es "Lynch"-properNoun-fr
"rose"-adjective-fr "rosa"-adjective-es
"rosa"-adjective-es "rose"-adjective-fr
"caractérisation"-noun-fr "caracterización"-noun-es
"caracterización"-noun-es "caractérisation"-noun-fr
"Helguera"-properNoun-fr "Helguera"-properNoun-es
"Helguera"-properNoun-es "Helguera"-properNoun-fr
"Nouvelle-Calédonie"-properNoun-fr "Nueva Caledonia"-properNoun-es
"Nueva Caledonia"-properNoun-es "Nouvelle-Calédonie"-properNoun-fr
"mépris"-noun-fr "desprecio"-noun-es
"desprecio"-noun-es "mépris"-noun-fr
"de moins en moins"-adverb-fr "cada vez menos"-adverb-es
"cada vez menos"-adverb-es "de moins en moins"-adverb-fr
"effectuer"-verb-fr "efectuar"-verb-es
"efectuar"-verb-es "effectuer"-verb-fr
"réduire"-verb-fr "achicar"-verb-es
"achicar"-verb-es "réduire"-verb-fr
"appréciable"-adjective-fr "apreciable"-adjective-es
"apreciable"-adjective-es "appréciable"-adjective-fr
"cime"-noun-fr "cumbre"-noun-es
"cumbre"-noun-es "cime"-noun-fr
"nomination"-noun-fr "nominación"-noun-es
"nominación"-noun-es "nomination"-noun-fr
"León"-properNoun-fr "León"-properNoun-es
"León"-properNoun-es "León"-properNoun-fr
"prévention"-noun-fr "apercibimiento"-noun-es
"apercibimiento"-noun-es "prévention"-noun-fr
"prevención"-noun-es "prevention"-noun-fr
"prevention"-noun-fr "prevención"-noun-es
"Muguruza"-properNoun-fr "Muguruza"-properNoun-es
"Muguruza"-properNoun-es "Muguruza"-properNoun-fr
"marketing"-noun-fr "marketing"-noun-es
"marketing"-noun-es "marketing"-noun-fr
"marketing"-noun-es "mercatique"-noun-fr
"mercatique"-noun-fr "marketing"-noun-es
"facilitation"-noun-fr "facilitación"-noun-es
"facilitación"-noun-es "facilitation"-noun-fr
"Tage"-properNoun-fr "Tajo"-properNoun-es
"Tajo"-properNoun-es "Tage"-properNoun-fr
"incontesté"-adjective-fr "indiscutible"-adjective-es
"indiscutible"-adjective-es "incontesté"-adjective-fr
"contrairement à"-preposition-fr "contra"-preposition-es
"contra"-preposition-es "contrairement à"-preposition-fr
"Isabel"-properNoun-fr "Isabel"-properNoun-es
"Isabel"-properNoun-es "Isabel"-properNoun-fr
"véhiculer"-verb-fr "transportar"-verb-es
"transportar"-verb-es "véhiculer"-verb-fr
"transportar"-verb-es "transporter"-verb-fr
"transportar"-verb-es "voiturer"-verb-fr
"transporter"-verb-fr "transportar"-verb-es
"voiturer"-verb-fr "transportar"-verb-es
"dégrader"-verb-fr "degradar"-verb-es
"degradar"-verb-es "dégrader"-verb-fr
"désambiguïsation"-noun-fr "desambiguación"-noun-es
"desambiguación"-noun-es "désambiguïsation"-noun-fr
"radicalisme"-noun-fr "radicalismo"-noun-es
"radicalismo"-noun-es "radicalisme"-noun-fr
"embryonnaire"-adjective-fr "embrionario"-adjective-es
"embrionario"-adjective-es "embryonnaire"-adjective-fr
"lanceur"-noun-fr "lanzador"-noun-es
"lanzador"-noun-es "lanceur"-noun-fr
"triomphal"-adjective-fr "triunfal"-adjective-es
"triunfal"-adjective-es "triomphal"-adjective-fr
"Iñaki"-properNoun-fr "Iñaki"-properNoun-es
"Iñaki"-properNoun-es "Iñaki"-properNoun-fr
"redresser"-verb-fr "erguir"-verb-es
"redresser"-verb-fr "enderezar"-verb-es
"erguir"-verb-es "redresser"-verb-fr
"enderezar"-verb-es "redresser"-verb-fr
"saturation"-noun-fr "saturación"-noun-es
"saturación"-noun-es "saturation"-noun-fr
"cognitif"-adjective-fr "cognitivo"-adjective-es
"cognitivo"-adjective-es "cognitif"-adjective-fr
"biscaïen"-adjective-fr "vizcaíno"-adjective-es
"vizcaíno"-adjective-es "biscaïen"-adjective-fr
"vizcaíno"-adjective-es "biscayen"-adjective-fr
"biscayen"-adjective-fr "vizcaíno"-adjective-es
"officialité"-noun-fr "oficialidad"-noun-es
"oficialidad"-noun-es "officialité"-noun-fr
"recteur"-noun-fr "rector"-noun-es
"rector"-noun-es "recteur"-noun-fr
"Brême"-properNoun-fr "Bremen"-properNoun-es
"Bremen"-properNoun-es "Brême"-properNoun-fr
"El Prat"-properNoun-fr "El Prat"-properNoun-es
"El Prat"-properNoun-es "El Prat"-properNoun-fr
"enclave"-noun-fr "enclave"-noun-es
"enclave"-noun-es "enclave"-noun-fr
"Korta"-properNoun-fr "Korta"-properNoun-es
"Korta"-properNoun-es "Korta"-properNoun-fr
"station-service"-noun-fr "gasolinera"-noun-es
"gasolinera"-noun-es "station-service"-noun-fr
"Atienza"-properNoun-fr "Atienza"-properNoun-es
"Atienza"-properNoun-es "Atienza"-properNoun-fr
"clef"-noun-fr "llave"-noun-es
"llave"-noun-es "clef"-noun-fr
"llave"-noun-es "clé"-noun-fr
"clé"-noun-fr "llave"-noun-es
"Eiffel"-properNoun-fr "Eiffel"-properNoun-es
"Eiffel"-properNoun-es "Eiffel"-properNoun-fr
"gage"-noun-fr "prenda"-noun-es
"prenda"-noun-es "gage"-noun-fr
"inciter"-verb-fr "incitar"-verb-es
"incitar"-verb-es "inciter"-verb-fr
"triathlon"-noun-fr "triatlón"-noun-es
"triatlón"-noun-es "triathlon"-noun-fr
"Ecuador"-properNoun-es "Equateur"-properNoun-fr
"Equateur"-properNoun-fr "Ecuador"-properNoun-es
"eux"-pronoun-fr "él"-pronoun-es
"él"-pronoun-es "eux"-pronoun-fr
"él"-pronoun-es "lui"-pronoun-fr
"él"-pronoun-es "il"-pronoun-fr
"lui"-pronoun-fr "él"-pronoun-es
"lui"-pronoun-fr "le"-pronoun-es
"il"-pronoun-fr "él"-pronoun-es
"empreindre"-verb-fr "imprimir"-verb-es
"imprimir"-verb-es "empreindre"-verb-fr
"imprimir"-verb-es "imprimer"-verb-fr
"imprimer"-verb-fr "imprimir"-verb-es
"milliard"-noun-fr "millardo"-noun-es
"millardo"-noun-es "milliard"-noun-fr
"Elena"-properNoun-fr "Elena"-properNoun-es
"Elena"-properNoun-es "Elena"-properNoun-fr
"Forest"-properNoun-fr "Forest"-properNoun-es
"Forest"-properNoun-es "Forest"-properNoun-fr
"Adrià"-properNoun-fr "Adrià"-properNoun-es
"Adrià"-properNoun-es "Adrià"-properNoun-fr
"Jessica"-properNoun-fr "Jessica"-properNoun-es
"Jessica"-properNoun-es "Jessica"-properNoun-fr
"Télémaque"-properNoun-fr "Telémaco"-properNoun-es
"Telémaco"-properNoun-es "Télémaque"-properNoun-fr
"insécurité"-noun-fr "inseguridad"-noun-es
"inseguridad"-noun-es "insécurité"-noun-fr
"Claudia"-properNoun-fr "Claudia"-properNoun-es
"Claudia"-properNoun-es "Claudia"-properNoun-fr
"jordanien"-adjective-fr "jordano"-adjective-es
"jordano"-adjective-es "jordanien"-adjective-fr
"Iphigénie"-properNoun-fr "Ifigenia"-properNoun-es
"Ifigenia"-properNoun-es "Iphigénie"-properNoun-fr
"Costa Brava"-properNoun-fr "Costa Brava"-properNoun-es
"Costa Brava"-properNoun-es "Costa Brava"-properNoun-fr
"abrupt"-adjective-fr "abrupto"-adjective-es
"abrupto"-adjective-es "abrupt"-adjective-fr
"festivo"-adjective-es "chômé"-adjective-fr
"festivo"-adjective-es "férié"-adjective-fr
"chômé"-adjective-fr "festivo"-adjective-es
"férié"-adjective-fr "festivo"-adjective-es
"vérifiable"-adjective-fr "verificable"-adjective-es
"verificable"-adjective-es "vérifiable"-adjective-fr
"allaiter"-verb-fr "amamantar"-verb-es
"amamantar"-verb-es "allaiter"-verb-fr
"Bohême"-properNoun-fr "Bohemia"-properNoun-es
"Bohemia"-properNoun-es "Bohême"-properNoun-fr
"Cartier"-properNoun-fr "Cartier"-properNoun-es
"Cartier"-properNoun-es "Cartier"-properNoun-fr
"léguer"-verb-fr "legar"-verb-es
"legar"-verb-es "léguer"-verb-fr
"de travail"-adjective-fr "laboral"-adjective-es
"laboral"-adjective-es "de travail"-adjective-fr
"conjecture"-noun-fr "conjetura"-noun-es
"conjetura"-noun-es "conjecture"-noun-fr
"poignarder"-verb-fr "acuchillar"-verb-es
"poignarder"-verb-fr "apuñalar"-verb-es
"acuchillar"-verb-es "poignarder"-verb-fr
"apuñalar"-verb-es "poignarder"-verb-fr
"compagnie aérienne"-noun-fr "aerolínea"-noun-es
"aerolínea"-noun-es "compagnie aérienne"-noun-fr
"antimondialisation"-noun-fr "antiglobalización"-noun-es
"antiglobalización"-noun-es "antimondialisation"-noun-fr
"antiglobalización"-noun-es "antiglobalisation"-noun-fr
"antiglobalisation"-noun-fr "antiglobalización"-noun-es
"coordinateur"-adjective-fr "coordinador"-adjective-es
"coordinador"-adjective-es "coordinateur"-adjective-fr
"occuper"-verb-fr "desempeñar"-verb-es
"desempeñar"-verb-es "occuper"-verb-fr
"chewing-gum"-noun-fr "chicle"-noun-es
"chicle"-noun-es "chewing-gum"-noun-fr
"convenir verbalement de"-verb-fr "apalabrar"-verb-es
"apalabrar"-verb-es "convenir verbalement de"-verb-fr
"sonique"-adjective-fr "sónico"-adjective-es
"sónico"-adjective-es "sonique"-adjective-fr
"pèlerinage"-noun-fr "peregrinación"-noun-es
"pèlerinage"-noun-fr "peregrinaje"-noun-es
"peregrinación"-noun-es "pèlerinage"-noun-fr
"peregrinación"-noun-es "pérégrination"-noun-fr
"peregrinaje"-noun-es "pèlerinage"-noun-fr
"pérégrination"-noun-fr "peregrinación"-noun-es
"Anheuser-Busch"-properNoun-fr "Anheuser-Busch"-properNoun-es
"Anheuser-Busch"-properNoun-es "Anheuser-Busch"-properNoun-fr
"hétérosexuel"-noun-fr "heterosexual"-noun-es
"heterosexual"-noun-es "hétérosexuel"-noun-fr
"Cadaqués"-properNoun-fr "Cadaqués"-properNoun-es
"Cadaqués"-properNoun-es "Cadaqués"-properNoun-fr
"Indiana"-properNoun-fr "Indiana"-properNoun-es
"Indiana"-properNoun-es "Indiana"-properNoun-fr
"ceindre"-verb-fr "ceñir"-verb-es
"ceñir"-verb-es "ceindre"-verb-fr
"ceñir"-verb-es "ceinturer"-verb-fr
"ceinturer"-verb-fr "ceñir"-verb-es
"préférablement"-adverb-fr "preferiblemente"-adverb-es
"preferiblemente"-adverb-es "préférablement"-adverb-fr
"personnalisation"-noun-fr "personalización"-noun-es
"personalización"-noun-es "personnalisation"-noun-fr
"Ribeiro"-properNoun-fr "Ribeiro"-properNoun-es
"Ribeiro"-properNoun-es "Ribeiro"-properNoun-fr
"martyre"-noun-fr "martirio"-noun-es
"martirio"-noun-es "martyre"-noun-fr
"Mésopotamie"-properNoun-fr "Mesopotamia"-properNoun-es
"Mesopotamia"-properNoun-es "Mésopotamie"-properNoun-fr
"démarche"-noun-fr "paso"-noun-es
"démarche"-noun-fr "tramitación"-noun-es
"démarche"-noun-fr "trámite"-noun-es
"paso"-noun-es "démarche"-noun-fr
"tramitación"-noun-es "démarche"-noun-fr
"trámite"-noun-es "démarche"-noun-fr
"Stephen"-properNoun-fr "Stephen"-properNoun-es
"Stephen"-properNoun-es "Stephen"-properNoun-fr
"Lorenzo"-properNoun-fr "Lorenzo"-properNoun-es
"Lorenzo"-properNoun-es "Lorenzo"-properNoun-fr
"intégralité"-noun-fr "integridad"-noun-es
"integridad"-noun-es "intégralité"-noun-fr
"siffler"-verb-fr "silbar"-verb-es
"siffler"-verb-fr "pitar"-verb-es
"silbar"-verb-es "siffler"-verb-fr
"silbar"-verb-es "flûter"-verb-fr
"pitar"-verb-es "siffler"-verb-fr
"flûter"-verb-fr "silbar"-verb-es
"joueur de tennis"-noun-fr "tenista"-noun-es
"tenista"-noun-es "joueur de tennis"-noun-fr
"reforestation"-noun-fr "reforestación"-noun-es
"reforestación"-noun-es "reforestation"-noun-fr
"brique"-noun-fr "ladrillo"-noun-es
"ladrillo"-noun-es "brique"-noun-fr
"queja"-noun-es "grief"-noun-fr
"grief"-noun-fr "queja"-noun-es
"malade"-noun-fr "enfermo"-noun-es
"enfermo"-noun-es "malade"-noun-fr
"comme par enchantement"-adverb-fr "por arte de magia"-adverb-es
"por arte de magia"-adverb-es "comme par enchantement"-adverb-fr
"Vatican"-properNoun-fr "Vaticano"-properNoun-es
"Vaticano"-properNoun-es "Vatican"-properNoun-fr
"renfermer"-verb-fr "encerrar"-verb-es
"encerrar"-verb-es "renfermer"-verb-fr
"encerrar"-verb-es "enfermer"-verb-fr
"enfermer"-verb-fr "encerrar"-verb-es
"enfermer"-verb-fr "candar"-verb-es
"hospital"-noun-es "hopital"-noun-fr
"hopital"-noun-fr "hospital"-noun-es
"Arnau"-properNoun-fr "Arnau"-properNoun-es
"Arnau"-properNoun-es "Arnau"-properNoun-fr
"cautionner"-verb-fr "afianzar"-verb-es
"afianzar"-verb-es "cautionner"-verb-fr
"Agnew"-properNoun-fr "Agnew"-properNoun-es
"Agnew"-properNoun-es "Agnew"-properNoun-fr
"serrer"-verb-fr "achuchar"-verb-es
"serrer"-verb-fr "apretar"-verb-es
"achuchar"-verb-es "serrer"-verb-fr
"apretar"-verb-es "serrer"-verb-fr
"apretar"-verb-es "enserrer"-verb-fr
"enserrer"-verb-fr "apretar"-verb-es
"friandise"-noun-fr "chuchería"-noun-es
"chuchería"-noun-es "friandise"-noun-fr
"pierre tombale"-noun-fr "lápida"-noun-es
"lápida"-noun-es "pierre tombale"-noun-fr
"apéritif"-noun-fr "aperitivo"-noun-es
"aperitivo"-noun-es "apéritif"-noun-fr
"mettre en place"-verb-fr "poner en marcha"-verb-es
"poner en marcha"-verb-es "mettre en place"-verb-fr
"Jean"-properNoun-fr "Jean"-properNoun-es
"Jean"-properNoun-es "Jean"-properNoun-fr
"locomotive"-noun-fr "locomotora"-noun-es
"locomotora"-noun-es "locomotive"-noun-fr
"Esteve"-properNoun-fr "Esteve"-properNoun-es
"Esteve"-properNoun-es "Esteve"-properNoun-fr
"maquinaria"-noun-es "engin"-noun-fr
"engin"-noun-fr "maquinaria"-noun-es
"engin"-noun-fr "artefacto"-noun-es
"Dordogne"-properNoun-fr "Dordoña"-properNoun-es
"Dordoña"-properNoun-es "Dordogne"-properNoun-fr
"soutane"-noun-fr "sotana"-noun-es
"sotana"-noun-es "soutane"-noun-fr
"surexcitation"-noun-fr "sobreexcitación"-noun-es
"sobreexcitación"-noun-es "surexcitation"-noun-fr
"V"-numeral-fr "V"-numeral-es
"V"-numeral-es "V"-numeral-fr
"Bombay"-properNoun-fr "Bombay"-properNoun-es
"Bombay"-properNoun-es "Bombay"-properNoun-fr
"Bombay"-properNoun-es "Mumbai"-properNoun-fr
"Mumbai"-properNoun-fr "Bombay"-properNoun-es
"dogme"-noun-fr "dogma"-noun-es
"dogma"-noun-es "dogme"-noun-fr
"aéronef"-noun-fr "aeronave"-noun-es
"aeronave"-noun-es "aéronef"-noun-fr
"Ambrosio"-properNoun-fr "Ambrosio"-properNoun-es
"Ambrosio"-properNoun-es "Ambrosio"-properNoun-fr
"Ambrosio"-properNoun-es "Ambroise"-properNoun-fr
"Ambroise"-properNoun-fr "Ambrosio"-properNoun-es
"monographique"-adjective-fr "monográfico"-adjective-es
"monográfico"-adjective-es "monographique"-adjective-fr
"cargaison"-noun-fr "cargamento"-noun-es
"cargamento"-noun-es "cargaison"-noun-fr
"surpasser"-verb-fr "superar"-verb-es
"superar"-verb-es "surpasser"-verb-fr
"superar"-verb-es "repasser"-verb-fr
"superar"-verb-es "surmonter"-verb-fr
"superar"-verb-es "franchir"-verb-fr
"repasser"-verb-fr "superar"-verb-es
"surmonter"-verb-fr "superar"-verb-es
"franchir"-verb-fr "superar"-verb-es
"franchir"-verb-fr "franquear"-verb-es
"Gardner"-properNoun-fr "Gardner"-properNoun-es
"Gardner"-properNoun-es "Gardner"-properNoun-fr
"colossal"-adjective-fr "colosal"-adjective-es
"colosal"-adjective-es "colossal"-adjective-fr
"prospérité"-noun-fr "prosperidad"-noun-es
"prosperidad"-noun-es "prospérité"-noun-fr
"gorger"-verb-fr "cebar"-verb-es
"cebar"-verb-es "gorger"-verb-fr
"sélectivité"-noun-fr "selectividad"-noun-es
"selectividad"-noun-es "sélectivité"-noun-fr
"selectividad"-noun-es "baccalauréat"-noun-fr
"selectividad"-noun-es "bac"-noun-fr
"baccalauréat"-noun-fr "selectividad"-noun-es
"bac"-noun-fr "selectividad"-noun-es
"immense"-adjective-fr "inmenso"-adjective-es
"inmenso"-adjective-es "immense"-adjective-fr
"systématisation"-noun-fr "sistematización"-noun-es
"sistematización"-noun-es "systématisation"-noun-fr
"de façon ininterrompue"-adverb-fr "ininterrumpidamente"-adverb-es
"ininterrumpidamente"-adverb-es "de façon ininterrompue"-adverb-fr
"rectification"-noun-fr "rectificación"-noun-es
"rectificación"-noun-es "rectification"-noun-fr
"muscle"-noun-fr "músculo"-noun-es
"músculo"-noun-es "muscle"-noun-fr
"secrétariat"-noun-fr "secretaría"-noun-es
"secrétariat"-noun-fr "secretariado"-noun-es
"secretaría"-noun-es "secrétariat"-noun-fr
"secretariado"-noun-es "secrétariat"-noun-fr
"coucher"-verb-fr "acostar"-verb-es
"acostar"-verb-es "coucher"-verb-fr
"réglementaire"-adjective-fr "reglamentario"-adjective-es
"reglamentario"-adjective-es "réglementaire"-adjective-fr
"confusion"-noun-fr "revuelo"-noun-es
"confusion"-noun-fr "lío"-noun-es
"revuelo"-noun-es "confusion"-noun-fr
"lío"-noun-es "confusion"-noun-fr
"fisc"-noun-fr "fisco"-noun-es
"fisco"-noun-es "fisc"-noun-fr
"harmonisation"-noun-fr "armonización"-noun-es
"armonización"-noun-es "harmonisation"-noun-fr
"Mabel"-properNoun-fr "Mabel"-properNoun-es
