derrochar	verb	spa	malgastar	verb	spa	0	0.84
juntamente	adverb	spa	juntas	adverb	spa	0	0.84
fidedigno	adjective	spa	confiable	adjective	spa	0	0.98
crianza	noun	spa	ganadería	noun	spa	0	0.84
zapato	noun	spa	zapata	noun	spa	0	1
dar la matraca	verb	spa	dar la lata	verb	spa	0	0.5
saxo	noun	spa	saxofón	noun	spa	0	0.7
en todas partes	adverb	spa	por doquier	adverb	spa	0	0.533333
aplastante	adjective	spa	agobiante	adjective	spa	0	0.98
auxiliar	noun	spa	ayudante	noun	spa	0	0.98
lucha	noun	spa	forcejeo	noun	spa	0	0.98
costado	noun	spa	aspecto	noun	spa	0	0.746667
seísmo	noun	spa	sismo	noun	spa	0	1
aumento	noun	spa	crecimiento	noun	spa	0	0.533333
culo	noun	spa	pompis	noun	spa	0	0.746667
colegiado	noun	spa	árbitro	noun	spa	0	0.98
afiliado	noun	spa	miembro	noun	spa	0	0.84
acopio	noun	spa	abasto	noun	spa	0	0.746667
recopilación	noun	spa	compilación	noun	spa	0	0.98
aviso	noun	spa	anuncio	noun	spa	0	0.533333
pantano	noun	spa	marisma	noun	spa	0	1
área	noun	spa	espacio	noun	spa	0	0.933333
muestra	noun	spa	espécimen	noun	spa	0	0.6
tiquete	noun	spa	billete	noun	spa	0	1
competición	noun	spa	certamen	noun	spa	0	0.533333
planteamiento	noun	spa	propuesta	noun	spa	0	0.98
reino	noun	spa	reinado	noun	spa	0	0.533333
retraso	noun	spa	retardo	noun	spa	0	0.98
chiquillo	noun	spa	muchacho	noun	spa	0	1
recto	adjective	spa	derecho	adjective	spa	0	1
guardia	noun	spa	guarda	noun	spa	0	0.653333
remanente	noun	spa	resto	noun	spa	0	0.84
proposición	noun	spa	propuesta	noun	spa	0	1
encuadrar	verb	spa	enmarcar	verb	spa	0	0.84
aleatorio	adjective	spa	casual	adjective	spa	0	0.84
labriego	noun	spa	campesino	noun	spa	0	0.98
prestamista	noun	spa	prestador	noun	spa	0	0.746667
tanto	adverb	spa	tan	adverb	spa	0	0.98
anciano	noun	spa	viejo	noun	spa	0	0.653333
excrecencia	noun	spa	excrescencia	noun	spa	0	0.98
oleaje	noun	spa	oleada	noun	spa	0	0.653333
párroco	noun	spa	rector	noun	spa	0	0.98
bailar	verb	spa	danzar	verb	spa	0	0.98
dar a la fuga	verb	spa	huir	verb	spa	0	0.746667
dulzura	noun	spa	dulzor	noun	spa	0	0.98
mezclar	verb	spa	mezclarse	verb	spa	0	0.533333
adónde	adverb	spa	adonde	adverb	spa	0	0.84
otorgar	verb	spa	entregar	verb	spa	0	0.746667
estafar	verb	spa	timar	verb	spa	0	0.84
friolera	noun	spa	bagatela	noun	spa	0	0.84
jaque	noun	spa	ajedrez	noun	spa	0	0.98
de ahora en adelante	adverb	spa	en adelante	adverb	spa	0	1
reclamar	verb	spa	exigir	verb	spa	0	0.84
keniata	adjective	spa	keniano	adjective	spa	0	0.746667
ideario	noun	spa	ideología	noun	spa	0	0.84
sencillo	adjective	spa	simple	adjective	spa	0	1
conducir	verb	spa	llevar	verb	spa	0	0.84
fundir	verb	spa	derretir	verb	spa	0	0.98
rebaja	noun	spa	reducción	noun	spa	0	1
gana	noun	spa	hambre	noun	spa	0	1
retrasar	verb	spa	atrasar	verb	spa	0	0.746667
temporal	noun	spa	tormenta	noun	spa	0	1
aciago	adjective	spa	infausto	adjective	spa	0	0.84
certamen	noun	spa	competición	noun	spa	0	0.533333
cacerola	noun	spa	cazuela	noun	spa	0	0.98
pronto	adjective	spa	rápido	adjective	spa	0	1
cambio	noun	spa	alteración	noun	spa	0	0.98
muñeca	noun	spa	muñeco	noun	spa	0	1
rascadura	noun	spa	arañazo	noun	spa	0	0.533333
lámina	noun	spa	cuchilla	noun	spa	0	0.746667
mil	numeral	spa	millar	numeral	spa	0	1
por adelantado	adverb	spa	por anticipado	adverb	spa	0	0.84
convenio	noun	spa	acuerdo	noun	spa	0	1
retraso	noun	spa	dilación	noun	spa	0	0.98
muchísimo	adverb	spa	muy	adverb	spa	0	0.533333
usualmente	adverb	spa	corrientemente	adverb	spa	0	0.533333
precedente	adjective	spa	delantero	adjective	spa	0	0.84
dieta	noun	spa	régimen	noun	spa	0	0.98
día	noun	spa	jornada	noun	spa	0	1
