"algun"-determiner-ca "certain"-determiner-fr
"promptement"-adverb-fr "de pressa"-adverb-ca
"subitement"-adverb-fr "de sobte"-adverb-ca
"de sobte"-adverb-ca "subitement"-adverb-fr
"pour l'instant"-adverb-fr "ara com ara"-adverb-ca
"ara com ara"-adverb-ca "pour l'instant"-adverb-fr
"provisionalment"-adverb-ca "provisoirement"-adverb-fr
"provisoirement"-adverb-fr "provisionalment"-adverb-ca
"ensemble"-adverb-fr "juntament"-adverb-ca
"juntament"-adverb-ca "ensemble"-adverb-fr
"conjointement"-adverb-fr "ensems"-adverb-ca
"ensems"-adverb-ca "conjointement"-adverb-fr
"contínuament"-adverb-ca "constamment"-adverb-fr
"constamment"-adverb-fr "contínuament"-adverb-ca
"possiblement"-adverb-ca "vraisemblablement"-adverb-fr
"vraisemblablement"-adverb-fr "possiblement"-adverb-ca
"dehors"-adverb-fr "enfora"-adverb-ca
"enfora"-adverb-ca "dehors"-adverb-fr
"enllà"-adverb-ca "là-bas"-adverb-fr
"là-bas"-adverb-fr "enllà"-adverb-ca
"là-bas"-adverb-fr "allí"-adverb-ca
"allí"-adverb-ca "là-bas"-adverb-fr
"ací"-adverb-ca "ci"-adverb-fr
"ci"-adverb-fr "ací"-adverb-ca
"lentament"-adverb-ca "doucement"-adverb-fr
"doucement"-adverb-fr "lentament"-adverb-ca
"assurément"-adverb-fr "certament"-adverb-ca
"certament"-adverb-ca "assurément"-adverb-fr
"ainsi"-adverb-fr "així mateix"-adverb-ca
"així mateix"-adverb-ca "ainsi"-adverb-fr
"així mateix"-adverb-ca "également"-adverb-fr
"également"-adverb-fr "així mateix"-adverb-ca
"després"-adverb-ca "puis"-adverb-fr
"després"-adverb-ca "par la suite"-adverb-fr
"puis"-adverb-fr "després"-adverb-ca
"par la suite"-adverb-fr "després"-adverb-ca
"seulement"-adverb-fr "únicament"-adverb-ca
"únicament"-adverb-ca "seulement"-adverb-fr
"només"-adverb-ca "uniquement"-adverb-fr
"uniquement"-adverb-fr "només"-adverb-ca
"uniquement"-adverb-fr "solament"-adverb-ca
"solament"-adverb-ca "uniquement"-adverb-fr
"surtout"-adverb-fr "especialment"-adverb-ca
"especialment"-adverb-ca "surtout"-adverb-fr
"moltíssim"-adverb-ca "extrêmement"-adverb-fr
"moltíssim"-adverb-ca "énormément"-adverb-fr
"extrêmement"-adverb-fr "moltíssim"-adverb-ca
"extrêmement"-adverb-fr "altament"-adverb-ca
"énormément"-adverb-fr "moltíssim"-adverb-ca
"énormément"-adverb-fr "enormement"-adverb-ca
"altament"-adverb-ca "extrêmement"-adverb-fr
"enormement"-adverb-ca "énormément"-adverb-fr
"senzillament"-adverb-ca "bonnement"-adverb-fr
"bonnement"-adverb-fr "senzillament"-adverb-ca
"précisément"-adverb-fr "justament"-adverb-ca
"justament"-adverb-ca "précisément"-adverb-fr
"exactament"-adverb-ca "juste"-adverb-fr
"juste"-adverb-fr "exactament"-adverb-ca
"completament"-adverb-ca "entièrement"-adverb-fr
"entièrement"-adverb-fr "completament"-adverb-ca
"complètement"-adverb-fr "enterament"-adverb-ca
"enterament"-adverb-ca "complètement"-adverb-fr
"aussi"-adverb-fr "tant"-adverb-ca
"tant"-adverb-ca "aussi"-adverb-fr
"normalment"-adverb-ca "habituellement"-adverb-fr
"habituellement"-adverb-fr "normalment"-adverb-ca
"habituellement"-adverb-fr "usualment"-adverb-ca
"usualment"-adverb-ca "habituellement"-adverb-fr
"normalement"-adverb-fr "ordinàriament"-adverb-ca
"ordinàriament"-adverb-ca "normalement"-adverb-fr
"endavant"-adverb-ca "avant"-adverb-fr
"avant"-adverb-fr "endavant"-adverb-ca
"al davant"-adverb-ca "devant"-adverb-fr
"devant"-adverb-fr "al davant"-adverb-ca
"devant"-adverb-fr "al capdavant"-adverb-ca
"al capdavant"-adverb-ca "devant"-adverb-fr
"par contre"-adverb-fr "per contra"-adverb-ca
"per contra"-adverb-ca "par contre"-adverb-fr
"en canvi"-adverb-ca "en revanche"-adverb-fr
"en revanche"-adverb-fr "en canvi"-adverb-ca
"realment"-adverb-ca "véritablement"-adverb-fr
"realment"-adverb-ca "vraiment"-adverb-fr
"véritablement"-adverb-fr "realment"-adverb-ca
"vraiment"-adverb-fr "realment"-adverb-ca
"réellement"-adverb-fr "veritablement"-adverb-ca
"veritablement"-adverb-ca "réellement"-adverb-fr
"força"-adverb-ca "assez"-adverb-fr
"assez"-adverb-fr "força"-adverb-ca
"assez"-adverb-fr "suficientment"-adverb-ca
"suficientment"-adverb-ca "assez"-adverb-fr
"a baix"-adverb-ca "en dessous"-adverb-fr
"a baix"-adverb-ca "au-dessous"-adverb-fr
"a baix"-adverb-ca "dessous"-adverb-fr
"en dessous"-adverb-fr "a baix"-adverb-ca
"en dessous"-adverb-fr "avall"-adverb-ca
"en dessous"-adverb-fr "sota"-adverb-ca
"en dessous"-adverb-fr "davall"-adverb-ca
"au-dessous"-adverb-fr "a baix"-adverb-ca
"au-dessous"-adverb-fr "sota"-adverb-ca
"dessous"-adverb-fr "a baix"-adverb-ca
"dessous"-adverb-fr "davall"-adverb-ca
"dessous"-adverb-fr "a sota"-adverb-ca
"avall"-adverb-ca "en dessous"-adverb-fr
"sota"-adverb-ca "en dessous"-adverb-fr
"sota"-adverb-ca "au-dessous"-adverb-fr
"sota"-adverb-ca "en bas"-adverb-fr
"davall"-adverb-ca "en dessous"-adverb-fr
"davall"-adverb-ca "dessous"-adverb-fr
"davall"-adverb-ca "en bas"-adverb-fr
"en bas"-adverb-fr "sota"-adverb-ca
"en bas"-adverb-fr "davall"-adverb-ca
"en bas"-adverb-fr "a sota"-adverb-ca
"a sota"-adverb-ca "dessous"-adverb-fr
"a sota"-adverb-ca "en bas"-adverb-fr
"bien sûr"-adverb-fr "naturalment"-adverb-ca
"naturalment"-adverb-ca "bien sûr"-adverb-fr
"mi"-pronoun-ca "le"-pronoun-fr
"mi"-pronoun-ca "toi"-pronoun-fr
"le"-pronoun-fr "mi"-pronoun-ca
"toi"-pronoun-fr "mi"-pronoun-ca
"toi"-pronoun-fr "ho"-pronoun-ca
"moi"-pronoun-fr "ho"-pronoun-ca
"ho"-pronoun-ca "toi"-pronoun-fr
"ho"-pronoun-ca "moi"-pronoun-fr
"que"-relativePronoun-fr "qui"-pronoun-ca
"que"-relativePronoun-fr "què"-pronoun-ca
"que"-relativePronoun-fr "la qual cosa"-relativePronoun-ca
"que"-relativePronoun-fr "cosa que"-relativePronoun-ca
"qui"-pronoun-ca "que"-relativePronoun-fr
"qui"-pronoun-ca "que"-pronoun-fr
"qui"-pronoun-ca "lequel"-relativePronoun-fr
"qui"-pronoun-ca "quel"-pronoun-fr
"qui"-pronoun-ca "qui"-relativePronoun-fr
"què"-pronoun-ca "que"-relativePronoun-fr
"la qual cosa"-relativePronoun-ca "que"-relativePronoun-fr
"la qual cosa"-relativePronoun-ca "que"-pronoun-fr
"la qual cosa"-relativePronoun-ca "quoi"-pronoun-fr
"la qual cosa"-relativePronoun-ca "qu'est-ce que"-pronoun-fr
"la qual cosa"-relativePronoun-ca "qu'est-ce que c'est que"-pronoun-fr
"cosa que"-relativePronoun-ca "que"-relativePronoun-fr
"cosa que"-relativePronoun-ca "que"-pronoun-fr
"cosa que"-relativePronoun-ca "quoi"-pronoun-fr
"cosa que"-relativePronoun-ca "qu'est-ce que"-pronoun-fr
"cosa que"-relativePronoun-ca "qu'est-ce que c'est que"-pronoun-fr
"que"-pronoun-fr "qui"-pronoun-ca
"que"-pronoun-fr "la qual cosa"-relativePronoun-ca
"que"-pronoun-fr "cosa que"-relativePronoun-ca
"lequel"-relativePronoun-fr "qui"-pronoun-ca
"quel"-pronoun-fr "qui"-pronoun-ca
"qui"-relativePronoun-fr "qui"-pronoun-ca
"quoi"-pronoun-fr "la qual cosa"-relativePronoun-ca
"quoi"-pronoun-fr "cosa que"-relativePronoun-ca
"qu'est-ce que"-pronoun-fr "la qual cosa"-relativePronoun-ca
"qu'est-ce que"-pronoun-fr "cosa que"-relativePronoun-ca
"qu'est-ce que c'est que"-pronoun-fr "la qual cosa"-relativePronoun-ca
"qu'est-ce que c'est que"-pronoun-fr "cosa que"-relativePronoun-ca
"el qual"-relativePronoun-ca "celui que"-relativePronoun-fr
"el qual"-relativePronoun-ca "celui qui"-relativePronoun-fr
"celui que"-relativePronoun-fr "el qual"-relativePronoun-ca
"celui qui"-relativePronoun-fr "el qual"-relativePronoun-ca
"celui-là"-pronoun-fr "aqueix"-pronoun-ca
"celui-là"-pronoun-fr "eixe"-pronoun-ca
"aqueix"-pronoun-ca "celui-là"-pronoun-fr
"aqueix"-pronoun-ca "celui"-pronoun-fr
"eixe"-pronoun-ca "celui-là"-pronoun-fr
"eixe"-pronoun-ca "celui"-pronoun-fr
"celui"-pronoun-fr "aqueix"-pronoun-ca
"celui"-pronoun-fr "eixe"-pronoun-ca
"ça"-pronoun-fr "allò"-pronoun-ca
"allò"-pronoun-ca "ça"-pronoun-fr
"açò"-pronoun-ca "cela"-pronoun-fr
"açò"-pronoun-ca "ceci"-pronoun-fr
"cela"-pronoun-fr "açò"-pronoun-ca
"ceci"-pronoun-fr "açò"-pronoun-ca
"où"-relativePronoun-fr "on"-adverb-ca
"on"-adverb-ca "où"-relativePronoun-fr
"où"-adverb-fr "on"-relativePronoun-ca
"on"-relativePronoun-ca "où"-adverb-fr
"mitjançant"-preposition-ca "au moyen de"-preposition-fr
"au moyen de"-preposition-fr "mitjançant"-preposition-ca
"moyennant"-preposition-fr "per mitjà de"-preposition-ca
"per mitjà de"-preposition-ca "moyennant"-preposition-fr
"per mitjà de"-preposition-ca "par l'intermédiaire de"-preposition-fr
"par l'intermédiaire de"-preposition-fr "per mitjà de"-preposition-ca
"a més a més de"-preposition-ca "outre"-preposition-fr
"outre"-preposition-fr "a més a més de"-preposition-ca
"a partir de"-preposition-ca "depuis"-preposition-fr
"a partir de"-preposition-ca "dès"-preposition-fr
"depuis"-preposition-fr "a partir de"-preposition-ca
"dès"-preposition-fr "a partir de"-preposition-ca
"després de"-preposition-ca "derrière"-preposition-fr
"derrière"-preposition-fr "després de"-preposition-ca
"conformément à"-preposition-fr "segons"-preposition-ca
"segons"-preposition-ca "conformément à"-preposition-fr
"à"-preposition-fr "cap a"-preposition-ca
"cap a"-preposition-ca "à"-preposition-fr
"a"-preposition-ca "envers"-preposition-fr
"a"-preposition-ca "vers"-preposition-fr
"envers"-preposition-fr "a"-preposition-ca
"vers"-preposition-fr "a"-preposition-ca
"vers"-preposition-fr "envers"-preposition-ca
"envers"-preposition-ca "vers"-preposition-fr
"de la part de"-preposition-fr "per part de"-preposition-ca
"per part de"-preposition-ca "de la part de"-preposition-fr
"par"-preposition-fr "per a"-preposition-ca
"per a"-preposition-ca "par"-preposition-fr
"au cours de"-preposition-fr "durant"-preposition-ca
"durant"-preposition-ca "au cours de"-preposition-fr
"durant"-preposition-ca "lors de"-preposition-fr
"lors de"-preposition-fr "durant"-preposition-ca
"pour"-preposition-fr "per tal de"-preposition-ca
"per tal de"-preposition-ca "pour"-preposition-fr
"quant a"-preposition-ca "en ce qui concerne"-preposition-fr
"en ce qui concerne"-preposition-fr "quant a"-preposition-ca
"au sujet de"-preposition-fr "pel que fa a"-preposition-ca
"pel que fa a"-preposition-ca "au sujet de"-preposition-fr
"en"-preposition-fr "dins"-preposition-ca
"en"-preposition-fr "dins de"-preposition-ca
"dins"-preposition-ca "en"-preposition-fr
"dins de"-preposition-ca "en"-preposition-fr
"sota"-preposition-ca "au-dessous de"-preposition-fr
"au-dessous de"-preposition-fr "sota"-preposition-ca
"sous"-preposition-fr "sota de"-preposition-ca
"sota de"-preposition-ca "sous"-preposition-fr
"confondre"-verb-fr "equivocar"-verb-ca
"equivocar"-verb-ca "confondre"-verb-fr
"lamentar"-verb-ca "plaindre"-verb-fr
"plaindre"-verb-fr "lamentar"-verb-ca
"photo"-noun-fr "fotografia"-noun-ca
"fotografia"-noun-ca "photo"-noun-fr
"foto"-noun-ca "photographie"-noun-fr
"photographie"-noun-fr "foto"-noun-ca
"glaç"-noun-ca "glace"-noun-fr
"glace"-noun-fr "glaç"-noun-ca
"farce"-noun-fr "farsa"-noun-ca
"farsa"-noun-ca "farce"-noun-fr
"inspector"-noun-ca "superviseur"-noun-fr
"superviseur"-noun-fr "inspector"-noun-ca
"expérience"-noun-fr "experiment"-noun-ca
"experiment"-noun-ca "expérience"-noun-fr
"invention"-noun-fr "imaginació"-noun-ca
"imaginació"-noun-ca "invention"-noun-fr
"bomba"-noun-ca "pompe"-noun-fr
"pompe"-noun-fr "bomba"-noun-ca
"agraïment"-noun-ca "reconnaissance"-noun-fr
"reconnaissance"-noun-fr "agraïment"-noun-ca
"estímul"-noun-ca "stimulation"-noun-fr
"stimulation"-noun-fr "estímul"-noun-ca
"tarda"-noun-ca "soirée"-noun-fr
"tarda"-noun-ca "soir"-noun-fr
"soirée"-noun-fr "tarda"-noun-ca
"soir"-noun-fr "tarda"-noun-ca
"parell"-noun-ca "couple"-noun-fr
"couple"-noun-fr "parell"-noun-ca
"brume"-noun-fr "boira"-noun-ca
"boira"-noun-ca "brume"-noun-fr
"palma"-noun-ca "paume"-noun-fr
"paume"-noun-fr "palma"-noun-ca
"agrupació"-noun-ca "groupement"-noun-fr
"groupement"-noun-fr "agrupació"-noun-ca
"marijuana"-noun-fr "haixix"-noun-ca
"haixix"-noun-ca "marijuana"-noun-fr
"pèl"-noun-ca "cheveu"-noun-fr
"cheveu"-noun-fr "pèl"-noun-ca
"poil"-noun-fr "cabell"-noun-ca
"cabell"-noun-ca "poil"-noun-fr
"viande"-noun-fr "polpa"-noun-ca
"polpa"-noun-ca "viande"-noun-fr
"polpa"-noun-ca "chair"-noun-fr
"chair"-noun-fr "polpa"-noun-ca
"pollastre"-noun-ca "coq"-noun-fr
"coq"-noun-fr "pollastre"-noun-ca
"pop"-noun-ca "poulpe"-noun-fr
"poulpe"-noun-fr "pop"-noun-ca
"os"-noun-ca "ours"-noun-fr
"ours"-noun-fr "os"-noun-ca
"puny"-noun-ca "poignet"-noun-fr
"poignet"-noun-fr "puny"-noun-ca
"maléfice"-noun-fr "maledicció"-noun-ca
"maledicció"-noun-ca "maléfice"-noun-fr
"hàbit"-noun-ca "habitude"-noun-fr
"habitude"-noun-fr "hàbit"-noun-ca
"comerciant"-noun-ca "marchand"-noun-fr
"marchand"-noun-fr "comerciant"-noun-ca
"lluentor"-noun-ca "éclat"-noun-fr
"éclat"-noun-fr "lluentor"-noun-ca
"cadre"-noun-fr "àmbit"-noun-ca
"cadre"-noun-fr "quadre"-noun-ca
"àmbit"-noun-ca "cadre"-noun-fr
"quadre"-noun-ca "cadre"-noun-fr
"bâtiment"-noun-fr "construcció"-noun-ca
"construcció"-noun-ca "bâtiment"-noun-fr
"residu"-noun-ca "reste"-noun-fr
"residu"-noun-ca "restant"-noun-fr
"residu"-noun-ca "débris"-noun-fr
"reste"-noun-fr "residu"-noun-ca
"restant"-noun-fr "residu"-noun-ca
"restant"-noun-fr "resta"-noun-ca
"débris"-noun-fr "residu"-noun-ca
"resta"-noun-ca "restant"-noun-fr
"sorte"-noun-fr "tipus"-noun-ca
"tipus"-noun-ca "sorte"-noun-fr
"tipus"-noun-ca "mec"-noun-fr
"mec"-noun-fr "tipus"-noun-ca
"roba"-noun-ca "étoffe"-noun-fr
"roba"-noun-ca "toile"-noun-fr
"étoffe"-noun-fr "roba"-noun-ca
"toile"-noun-fr "roba"-noun-ca
"personal"-noun-ca "effectif"-noun-fr
"effectif"-noun-fr "personal"-noun-ca
"sol"-noun-fr "fons"-noun-ca
"fons"-noun-ca "sol"-noun-fr
"propòsit"-noun-ca "intention"-noun-fr
"intention"-noun-fr "propòsit"-noun-ca
"propos"-noun-fr "intenció"-noun-ca
"intenció"-noun-ca "propos"-noun-fr
"intenció"-noun-ca "dessein"-noun-fr
"dessein"-noun-fr "intenció"-noun-ca
"vaisseau"-noun-fr "vaixell"-noun-ca
"vaixell"-noun-ca "vaisseau"-noun-fr
"bateau"-noun-fr "navili"-noun-ca
"navili"-noun-ca "bateau"-noun-fr
"garde"-noun-fr "vigilància"-noun-ca
"vigilància"-noun-ca "garde"-noun-fr
"regidor"-noun-ca "conseiller municipal"-noun-fr
"conseiller municipal"-noun-fr "regidor"-noun-ca
"lien"-noun-fr "vincle"-noun-ca
"vincle"-noun-ca "lien"-noun-fr
"taula"-noun-ca "tableau"-noun-fr
"tableau"-noun-fr "taula"-noun-ca
"ascendent"-noun-ca "ancêtre"-noun-fr
"ancêtre"-noun-fr "ascendent"-noun-ca
"banda"-noun-ca "ruban"-noun-fr
"ruban"-noun-fr "banda"-noun-ca
"montagne"-noun-fr "serra"-noun-ca
"serra"-noun-ca "montagne"-noun-fr
"réduction"-noun-fr "rebaixa"-noun-ca
"rebaixa"-noun-ca "réduction"-noun-fr
"iniciativa"-noun-ca "entreprise"-noun-fr
"entreprise"-noun-fr "iniciativa"-noun-ca
"cop d'estat"-noun-ca "putsch"-noun-fr
"putsch"-noun-fr "cop d'estat"-noun-ca
"unió"-noun-ca "unification"-noun-fr
"unification"-noun-fr "unió"-noun-ca
"contribution"-noun-fr "aportació"-noun-ca
"aportació"-noun-ca "contribution"-noun-fr
"reunió"-noun-ca "session"-noun-fr
"reunió"-noun-ca "séance"-noun-fr
"session"-noun-fr "reunió"-noun-ca
"séance"-noun-fr "reunió"-noun-ca
"arena"-noun-ca "sable"-noun-fr
"sable"-noun-fr "arena"-noun-ca
"arène"-noun-fr "sorra"-noun-ca
"sorra"-noun-ca "arène"-noun-fr
"portefeuille"-noun-fr "dossier"-noun-ca
"portefeuille"-noun-fr "carpeta"-noun-ca
"dossier"-noun-ca "portefeuille"-noun-fr
"carpeta"-noun-ca "portefeuille"-noun-fr
"ceinture"-noun-fr "cintura"-noun-ca
"cintura"-noun-ca "ceinture"-noun-fr
"altitude"-noun-fr "altura"-noun-ca
"altura"-noun-ca "altitude"-noun-fr
"vague"-noun-fr "onada"-noun-ca
"onada"-noun-ca "vague"-noun-fr
"rock"-noun-ca "roche"-noun-fr
"roche"-noun-fr "rock"-noun-ca
"roca"-noun-ca "rocher"-noun-fr
"rocher"-noun-fr "roca"-noun-ca
"précipice"-noun-fr "abisme"-noun-ca
"abisme"-noun-ca "précipice"-noun-fr
"pantà"-noun-ca "marécage"-noun-fr
"marécage"-noun-fr "pantà"-noun-ca
"lagune"-noun-fr "estany"-noun-ca
"estany"-noun-ca "lagune"-noun-fr
"llacuna"-noun-ca "étang"-noun-fr
"étang"-noun-fr "llacuna"-noun-ca
"cabina"-noun-ca "kiosque"-noun-fr
"kiosque"-noun-fr "cabina"-noun-ca
"bourse"-noun-fr "bossa"-noun-ca
"bossa"-noun-ca "bourse"-noun-fr
"columna"-noun-ca "file"-noun-fr
"file"-noun-fr "columna"-noun-ca
"file"-noun-fr "filera"-noun-ca
"filera"-noun-ca "file"-noun-fr
"mamelle"-noun-fr "pit"-noun-ca
"pit"-noun-ca "mamelle"-noun-fr
"pit"-noun-ca "sein"-noun-fr
"sein"-noun-fr "pit"-noun-ca
"caisse"-noun-fr "capsa"-noun-ca
"capsa"-noun-ca "caisse"-noun-fr
"aparador"-noun-ca "vitrine"-noun-fr
"vitrine"-noun-fr "aparador"-noun-ca
"chance"-noun-fr "fortuna"-noun-ca
"fortuna"-noun-ca "chance"-noun-fr
"sort"-noun-ca "sort"-noun-fr
"sort"-noun-fr "sort"-noun-ca
"sort"-noun-fr "fatalitat"-noun-ca
"fatalitat"-noun-ca "sort"-noun-fr
"demande"-noun-fr "petició"-noun-ca
"demande"-noun-fr "requeriment"-noun-ca
"petició"-noun-ca "demande"-noun-fr
"requeriment"-noun-ca "demande"-noun-fr
"pétition"-noun-fr "sol·licitud"-noun-ca
"sol·licitud"-noun-ca "pétition"-noun-fr
"treball"-noun-ca "emploi"-noun-fr
"emploi"-noun-fr "treball"-noun-ca
"métier"-noun-fr "càrrec"-noun-ca
"càrrec"-noun-ca "métier"-noun-fr
"càrrec"-noun-ca "office"-noun-fr
"office"-noun-fr "càrrec"-noun-ca
"canonada"-noun-ca "conduit"-noun-fr
"conduit"-noun-fr "canonada"-noun-ca
"itinerari"-noun-ca "route"-noun-fr
"route"-noun-fr "itinerari"-noun-ca
"volant"-noun-fr "timó"-noun-ca
"timó"-noun-ca "volant"-noun-fr
"zone"-noun-fr "àrea"-noun-ca
"àrea"-noun-ca "zone"-noun-fr
"compagnon"-noun-fr "acompanyant"-noun-ca
"acompanyant"-noun-ca "compagnon"-noun-fr
"home"-noun-ca "femme"-noun-fr
"femme"-noun-fr "home"-noun-ca
"muller"-noun-ca "époux"-noun-fr
"époux"-noun-fr "muller"-noun-ca
"encàrrec"-noun-ca "requête"-noun-fr
"requête"-noun-fr "encàrrec"-noun-ca
"utilisation"-noun-fr "ús"-noun-ca
"ús"-noun-ca "utilisation"-noun-fr
"père"-noun-fr "mossèn"-noun-ca
"mossèn"-noun-ca "père"-noun-fr
"équipe"-noun-fr "colla"-noun-ca
"équipe"-noun-fr "brigada"-noun-ca
"colla"-noun-ca "équipe"-noun-fr
"brigada"-noun-ca "équipe"-noun-fr
"radi"-noun-ca "radio"-noun-fr
"radio"-noun-fr "radi"-noun-ca
"tapís"-noun-ca "tapis"-noun-fr
"tapis"-noun-fr "tapís"-noun-ca
"auto"-noun-ca "automobile"-noun-fr
"automobile"-noun-fr "auto"-noun-ca
"automobile"-noun-fr "cotxe"-noun-ca
"cotxe"-noun-ca "automobile"-noun-fr
"cotxe"-noun-ca "auto"-noun-fr
"auto"-noun-fr "cotxe"-noun-ca
"accueil"-noun-fr "recepció"-noun-ca
"recepció"-noun-ca "accueil"-noun-fr
"grapat"-noun-ca "poignée"-noun-fr
"poignée"-noun-fr "grapat"-noun-ca
"queue"-noun-fr "titola"-noun-ca
"titola"-noun-ca "queue"-noun-fr
"dépôt"-noun-fr "ingrés"-noun-ca
"ingrés"-noun-ca "dépôt"-noun-fr
"ingrés"-noun-ca "entrée"-noun-fr
"entrée"-noun-fr "ingrés"-noun-ca
"cause"-noun-fr "cosa"-noun-ca
"cosa"-noun-ca "cause"-noun-fr
"cosa"-noun-ca "objet"-noun-fr
"causa"-noun-ca "raison"-noun-fr
"causa"-noun-ca "pourquoi"-noun-fr
"raison"-noun-fr "causa"-noun-ca
"raison"-noun-fr "motiu"-noun-ca
"pourquoi"-noun-fr "causa"-noun-ca
"pourquoi"-noun-fr "motiu"-noun-ca
"pourquoi"-noun-fr "raó"-noun-ca
"objet"-noun-fr "cosa"-noun-ca
"motiu"-noun-ca "raison"-noun-fr
"motiu"-noun-ca "pourquoi"-noun-fr
"raó"-noun-ca "pourquoi"-noun-fr
"végétal"-noun-fr "planta"-noun-ca
"planta"-noun-ca "végétal"-noun-fr
"jove"-noun-ca "jeune fille"-noun-fr
"jeune fille"-noun-fr "jove"-noun-ca
"noi"-noun-ca "enfant"-noun-fr
"enfant"-noun-fr "noi"-noun-ca
"chaise"-noun-fr "càtedra"-noun-ca
"càtedra"-noun-ca "chaise"-noun-fr
"siège"-noun-fr "assetjament"-noun-ca
"assetjament"-noun-ca "siège"-noun-fr
"vue"-noun-fr "visió"-noun-ca
"visió"-noun-ca "vue"-noun-fr
"vista"-noun-ca "vision"-noun-fr
"vision"-noun-fr "vista"-noun-ca
"destinació"-noun-ca "destin"-noun-fr
"destin"-noun-fr "destinació"-noun-ca
"évènement"-noun-fr "succés"-noun-ca
"succés"-noun-ca "évènement"-noun-fr
"conte"-noun-ca "récit"-noun-fr
"récit"-noun-fr "conte"-noun-ca
"race"-noun-fr "casta"-noun-ca
"casta"-noun-ca "race"-noun-fr
"ètnia"-noun-ca "peuple"-noun-fr
"peuple"-noun-fr "ètnia"-noun-ca
"municipi"-noun-ca "municipalité"-noun-fr
"municipalité"-noun-fr "municipi"-noun-ca
"plafó"-noun-ca "plafond"-noun-fr
"plafond"-noun-fr "plafó"-noun-ca
"toit"-noun-fr "sostre"-noun-ca
"sostre"-noun-ca "toit"-noun-fr
"índex"-noun-ca "indice"-noun-fr
"indice"-noun-fr "índex"-noun-ca
"regal"-noun-ca "présent"-noun-fr
"présent"-noun-fr "regal"-noun-ca
"traitement"-noun-fr "tracte"-noun-ca
"tracte"-noun-ca "traitement"-noun-fr
"bâton"-noun-fr "pal"-noun-ca
"pal"-noun-ca "bâton"-noun-fr
"rive"-noun-fr "vora"-noun-ca
"rive"-noun-fr "riba"-noun-ca
"vora"-noun-ca "rive"-noun-fr
"vora"-noun-ca "berge"-noun-fr
"vora"-noun-ca "marge"-noun-fr
"riba"-noun-ca "rive"-noun-fr
"berge"-noun-fr "vora"-noun-ca
"marge"-noun-fr "vora"-noun-ca
"bord"-noun-fr "marge"-noun-ca
"marge"-noun-ca "bord"-noun-fr
"rivière"-noun-fr "ribera"-noun-ca
"ribera"-noun-ca "rivière"-noun-fr
"riu"-noun-ca "ruisseau"-noun-fr
"ruisseau"-noun-fr "riu"-noun-ca
"troupe"-noun-fr "companyia"-noun-ca
"companyia"-noun-ca "troupe"-noun-fr
"gage"-noun-fr "garantia"-noun-ca
"garantia"-noun-ca "gage"-noun-fr
"correu"-noun-ca "poste"-noun-fr
"poste"-noun-fr "correu"-noun-ca
"accord"-noun-fr "concordança"-noun-ca
"concordança"-noun-ca "accord"-noun-fr
"medi ambient"-noun-ca "entourage"-noun-fr
"entourage"-noun-fr "medi ambient"-noun-ca
"coque"-noun-fr "closca"-noun-ca
"closca"-noun-ca "coque"-noun-fr
"jambe"-noun-fr "pota"-noun-ca
"pota"-noun-ca "jambe"-noun-fr
