"Guida"-properNoun-fr "Guida"-properNoun-ca
"Colli"-properNoun-ca "Colli"-noun-fr
"Colli"-properNoun-ca "Colli"-properNoun-fr
"Colli"-properNoun-fr "Colli"-noun-ca
"Colli"-properNoun-fr "Colli"-properNoun-ca
"Dudley"-noun-fr "Dudley"-noun-ca
"Dudley"-noun-fr "Dudley"-properNoun-ca
"Dudley"-noun-ca "Dudley"-noun-fr
"Dudley"-noun-ca "Dudley"-properNoun-fr
"Dudley"-properNoun-ca "Dudley"-noun-fr
"Dudley"-properNoun-ca "Dudley"-properNoun-fr
"Dudley"-properNoun-fr "Dudley"-noun-ca
"Dudley"-properNoun-fr "Dudley"-properNoun-ca
"esponsorització"-noun-ca "sponsorisation"-noun-fr
"sponsorisation"-noun-fr "esponsorització"-noun-ca
"Saya"-properNoun-fr "Saya"-properNoun-ca
"Saya"-properNoun-ca "Saya"-properNoun-fr
"interferomètre"-noun-fr "interferòmetre"-noun-ca
"interferòmetre"-noun-ca "interferomètre"-noun-fr
"indivisiblement"-adverb-fr "indivisiblement"-adverb-ca
"indivisiblement"-adverb-ca "indivisiblement"-adverb-fr
"formiate"-noun-fr "formiat"-noun-ca
"formiat"-noun-ca "formiate"-noun-fr
"les Vosges"-properNoun-fr "els Vosges"-properNoun-ca
"els Vosges"-properNoun-ca "les Vosges"-properNoun-fr
"Cihărean"-noun-fr "Cihărean"-noun-ca
"Cihărean"-noun-fr "Cihărean"-properNoun-ca
"Cihărean"-noun-ca "Cihărean"-noun-fr
"Cihărean"-noun-ca "Cihărean"-properNoun-fr
"Cihărean"-properNoun-ca "Cihărean"-noun-fr
"Cihărean"-properNoun-ca "Cihărean"-properNoun-fr
"Cihărean"-properNoun-fr "Cihărean"-noun-ca
"Cihărean"-properNoun-fr "Cihărean"-properNoun-ca
"Lorefice"-noun-fr "Lorefice"-noun-ca
"Lorefice"-noun-fr "Lorefice"-properNoun-ca
"Lorefice"-noun-ca "Lorefice"-noun-fr
"Lorefice"-noun-ca "Lorefice"-properNoun-fr
"Lorefice"-properNoun-ca "Lorefice"-noun-fr
"Lorefice"-properNoun-ca "Lorefice"-properNoun-fr
"Lorefice"-properNoun-fr "Lorefice"-noun-ca
"Lorefice"-properNoun-fr "Lorefice"-properNoun-ca
"Peri"-noun-fr "Peri"-noun-ca
"Peri"-noun-fr "Peri"-properNoun-ca
"Peri"-noun-ca "Peri"-noun-fr
"Peri"-noun-ca "Peri"-properNoun-fr
"Peri"-properNoun-ca "Peri"-noun-fr
"Peri"-properNoun-ca "Peri"-properNoun-fr
"Peri"-properNoun-fr "Peri"-noun-ca
"Peri"-properNoun-fr "Peri"-properNoun-ca
"Edelia"-properNoun-fr "Edelia"-properNoun-ca
"Edelia"-properNoun-ca "Edelia"-properNoun-fr
"sarment"-noun-fr "sarment"-noun-ca
"sarment"-noun-ca "sarment"-noun-fr
"Proca"-noun-fr "Proca"-noun-ca
"Proca"-noun-fr "Proca"-properNoun-ca
"Proca"-noun-ca "Proca"-noun-fr
"Proca"-noun-ca "Proca"-properNoun-fr
"Proca"-properNoun-ca "Proca"-noun-fr
"Proca"-properNoun-ca "Proca"-properNoun-fr
"Proca"-properNoun-fr "Proca"-noun-ca
"Proca"-properNoun-fr "Proca"-properNoun-ca
"biocompatible"-adjective-fr "biocompatible"-adjective-ca
"biocompatible"-adjective-ca "biocompatible"-adjective-fr
"Anaximandre"-properNoun-fr "Anaximandre"-properNoun-ca
"Anaximandre"-properNoun-ca "Anaximandre"-properNoun-fr
"dactylologique"-adjective-fr "dactilològic"-adjective-ca
"dactilològic"-adjective-ca "dactylologique"-adjective-fr
"Belsito"-noun-fr "Belsito"-noun-ca
"Belsito"-noun-fr "Belsito"-properNoun-ca
"Belsito"-noun-ca "Belsito"-noun-fr
"Belsito"-noun-ca "Belsito"-properNoun-fr
"Belsito"-properNoun-ca "Belsito"-noun-fr
"Belsito"-properNoun-ca "Belsito"-properNoun-fr
"Belsito"-properNoun-fr "Belsito"-noun-ca
"Belsito"-properNoun-fr "Belsito"-properNoun-ca
"déclarant"-adjective-fr "declarant"-adjective-ca
"declarant"-adjective-ca "déclarant"-adjective-fr
"cicatrisation"-noun-fr "cicatrització"-noun-ca
"cicatrització"-noun-ca "cicatrisation"-noun-fr
"Saraiva"-noun-fr "Saraiva"-noun-ca
"Saraiva"-noun-fr "Saraiva"-properNoun-ca
"Saraiva"-noun-ca "Saraiva"-noun-fr
"Saraiva"-noun-ca "Saraiva"-properNoun-fr
"Saraiva"-properNoun-ca "Saraiva"-noun-fr
"Saraiva"-properNoun-ca "Saraiva"-properNoun-fr
"Saraiva"-properNoun-fr "Saraiva"-noun-ca
"Saraiva"-properNoun-fr "Saraiva"-properNoun-ca
"El Mundo Deportivo"-properNoun-fr "El Mundo Deportivo"-properNoun-ca
"El Mundo Deportivo"-properNoun-ca "El Mundo Deportivo"-properNoun-fr
"Zarattini"-noun-fr "Zarattini"-noun-ca
"Zarattini"-noun-fr "Zarattini"-properNoun-ca
"Zarattini"-noun-ca "Zarattini"-noun-fr
"Zarattini"-noun-ca "Zarattini"-properNoun-fr
"Zarattini"-properNoun-ca "Zarattini"-noun-fr
"Zarattini"-properNoun-ca "Zarattini"-properNoun-fr
"Zarattini"-properNoun-fr "Zarattini"-noun-ca
"Zarattini"-properNoun-fr "Zarattini"-properNoun-ca
"titillation"-noun-fr "titil·lació"-noun-ca
"titil·lació"-noun-ca "titillation"-noun-fr
"pyrrolidine"-noun-fr "pirrolidina"-noun-ca
"pirrolidina"-noun-ca "pyrrolidine"-noun-fr
"Moskova"-properNoun-fr "Moskvà"-properNoun-ca
"Moskvà"-properNoun-ca "Moskova"-properNoun-fr
"Gileberte"-properNoun-fr "Gileberte"-properNoun-ca
"Gileberte"-properNoun-ca "Gileberte"-properNoun-fr
"antipodiste"-noun-fr "antipodista"-noun-ca
"antipodista"-noun-ca "antipodiste"-noun-fr
"butiner"-verb-fr "libar"-verb-ca
"libar"-verb-ca "butiner"-verb-fr
"performatif"-adjective-fr "performatiu"-adjective-ca
"performatiu"-adjective-ca "performatif"-adjective-fr
"Carrozzo"-noun-fr "Carrozzo"-noun-ca
"Carrozzo"-noun-fr "Carrozzo"-properNoun-ca
"Carrozzo"-noun-ca "Carrozzo"-noun-fr
"Carrozzo"-noun-ca "Carrozzo"-properNoun-fr
"Carrozzo"-properNoun-ca "Carrozzo"-noun-fr
"Carrozzo"-properNoun-ca "Carrozzo"-properNoun-fr
"Carrozzo"-properNoun-fr "Carrozzo"-noun-ca
"Carrozzo"-properNoun-fr "Carrozzo"-properNoun-ca
"clarisse"-noun-fr "clarissa"-noun-ca
"clarissa"-noun-ca "clarisse"-noun-fr
"hittite"-adjective-fr "hitita"-adjective-ca
"hitita"-adjective-ca "hittite"-adjective-fr
"Koeman"-noun-fr "Koeman"-noun-ca
"Koeman"-noun-fr "Koeman"-properNoun-ca
"Koeman"-noun-ca "Koeman"-noun-fr
"Koeman"-noun-ca "Koeman"-properNoun-fr
"Koeman"-properNoun-ca "Koeman"-noun-fr
"Koeman"-properNoun-ca "Koeman"-properNoun-fr
"Koeman"-properNoun-fr "Koeman"-noun-ca
"Koeman"-properNoun-fr "Koeman"-properNoun-ca
"fenestration"-noun-fr "fenestració"-noun-ca
"fenestració"-noun-ca "fenestration"-noun-fr
"unimodulaire"-adjective-fr "unimodular"-adjective-ca
"unimodular"-adjective-ca "unimodulaire"-adjective-fr
"Vlentina"-properNoun-fr "Vlentina"-properNoun-ca
"Vlentina"-properNoun-ca "Vlentina"-properNoun-fr
"purine"-noun-fr "purina"-noun-ca
"purina"-noun-ca "purine"-noun-fr
"conscient"-noun-ca "conscient"-noun-fr
"conscient"-noun-fr "conscient"-noun-ca
"lambda"-noun-fr "lambda"-noun-ca
"lambda"-noun-ca "lambda"-noun-fr
"Lesina"-noun-fr "Lesina"-noun-ca
"Lesina"-noun-fr "Lesina"-properNoun-ca
"Lesina"-noun-ca "Lesina"-noun-fr
"Lesina"-noun-ca "Lesina"-properNoun-fr
"Lesina"-properNoun-ca "Lesina"-noun-fr
"Lesina"-properNoun-ca "Lesina"-properNoun-fr
"Lesina"-properNoun-fr "Lesina"-noun-ca
"Lesina"-properNoun-fr "Lesina"-properNoun-ca
"Borghezio"-noun-fr "Borghezio"-noun-ca
"Borghezio"-noun-fr "Borghezio"-properNoun-ca
"Borghezio"-noun-ca "Borghezio"-noun-fr
"Borghezio"-noun-ca "Borghezio"-properNoun-fr
"Borghezio"-properNoun-ca "Borghezio"-noun-fr
"Borghezio"-properNoun-ca "Borghezio"-properNoun-fr
"Borghezio"-properNoun-fr "Borghezio"-noun-ca
"Borghezio"-properNoun-fr "Borghezio"-properNoun-ca
"automutilation"-noun-fr "automutilació"-noun-ca
"automutilació"-noun-ca "automutilation"-noun-fr
"perfectibilité"-noun-fr "perfectibilitat"-noun-ca
"perfectibilitat"-noun-ca "perfectibilité"-noun-fr
"prostatisme"-noun-fr "prostatisme"-noun-ca
"prostatisme"-noun-ca "prostatisme"-noun-fr
"radiogoniométrie"-noun-fr "radiogoniometria"-noun-ca
"radiogoniometria"-noun-ca "radiogoniométrie"-noun-fr
"germaniste"-adjective-fr "germanista"-adjective-ca
"germanista"-adjective-ca "germaniste"-adjective-fr
"flamingant"-adjective-fr "flamingant"-adjective-ca
"flamingant"-adjective-ca "flamingant"-adjective-fr
"Veneranda"-properNoun-fr "Veneranda"-properNoun-ca
"Veneranda"-properNoun-ca "Veneranda"-properNoun-fr
"minarine"-noun-fr "minarina"-noun-ca
"minarina"-noun-ca "minarine"-noun-fr
"Girondins"-properNoun-fr "Girondins"-properNoun-ca
"Girondins"-properNoun-ca "Girondins"-properNoun-fr
"lilliputien"-adjective-fr "lil·liputenc"-adjective-ca
"lil·liputenc"-adjective-ca "lilliputien"-adjective-fr
"codicologue"-noun-fr "codicòleg"-noun-ca
"codicòleg"-noun-ca "codicologue"-noun-fr
"Kalyn"-properNoun-fr "Kalyn"-properNoun-ca
"Kalyn"-properNoun-ca "Kalyn"-properNoun-fr
"Jacqui"-properNoun-fr "Jacqui"-properNoun-ca
"Jacqui"-properNoun-ca "Jacqui"-properNoun-fr
"mandingue"-noun-fr "mandinga"-noun-ca
"mandinga"-noun-ca "mandingue"-noun-fr
"hémostatique"-adjective-fr "hemostàtic"-adjective-ca
"hemostàtic"-adjective-ca "hémostatique"-adjective-fr
"Leme"-noun-fr "Leme"-noun-ca
"Leme"-noun-fr "Leme"-properNoun-ca
"Leme"-noun-ca "Leme"-noun-fr
"Leme"-noun-ca "Leme"-properNoun-fr
"Leme"-properNoun-ca "Leme"-noun-fr
"Leme"-properNoun-ca "Leme"-properNoun-fr
"Leme"-properNoun-fr "Leme"-noun-ca
"Leme"-properNoun-fr "Leme"-properNoun-ca
"Suray"-properNoun-fr "Suray"-properNoun-ca
"Suray"-properNoun-ca "Suray"-properNoun-fr
"péristaltique"-adjective-fr "peristàltic"-adjective-ca
"peristàltic"-adjective-ca "péristaltique"-adjective-fr
"spectrographe"-noun-fr "espectrògraf"-noun-ca
"espectrògraf"-noun-ca "spectrographe"-noun-fr
"Maiorino"-noun-fr "Maiorino"-noun-ca
"Maiorino"-noun-fr "Maiorino"-properNoun-ca
"Maiorino"-noun-ca "Maiorino"-noun-fr
"Maiorino"-noun-ca "Maiorino"-properNoun-fr
"Maiorino"-properNoun-ca "Maiorino"-noun-fr
"Maiorino"-properNoun-ca "Maiorino"-properNoun-fr
"Maiorino"-properNoun-fr "Maiorino"-noun-ca
"Maiorino"-properNoun-fr "Maiorino"-properNoun-ca
"contagiosité"-noun-fr "contagiositat"-noun-ca
"contagiositat"-noun-ca "contagiosité"-noun-fr
"Serapia"-properNoun-fr "Serapia"-properNoun-ca
"Serapia"-properNoun-ca "Serapia"-properNoun-fr
"polytonalité"-noun-fr "politonalitat"-noun-ca
"politonalitat"-noun-ca "polytonalité"-noun-fr
"subnormal"-adjective-fr "subnormal"-adjective-ca
"subnormal"-adjective-ca "subnormal"-adjective-fr
"mésomérie"-noun-fr "mesomeria"-noun-ca
"mesomeria"-noun-ca "mésomérie"-noun-fr
"épisiotomie"-noun-fr "episiotomia"-noun-ca
"episiotomia"-noun-ca "épisiotomie"-noun-fr
"coaptation"-noun-fr "coaptació"-noun-ca
"coaptació"-noun-ca "coaptation"-noun-fr
"Andrione"-noun-fr "Andrione"-noun-ca
"Andrione"-noun-fr "Andrione"-properNoun-ca
"Andrione"-noun-ca "Andrione"-noun-fr
"Andrione"-noun-ca "Andrione"-properNoun-fr
"Andrione"-properNoun-ca "Andrione"-noun-fr
"Andrione"-properNoun-ca "Andrione"-properNoun-fr
"Andrione"-properNoun-fr "Andrione"-noun-ca
"Andrione"-properNoun-fr "Andrione"-properNoun-ca
"inféoder"-verb-fr "infeudar"-verb-ca
"infeudar"-verb-ca "inféoder"-verb-fr
"Pep Consciències"-properNoun-fr "Pep Consciències"-properNoun-ca
"Pep Consciències"-properNoun-ca "Pep Consciències"-properNoun-fr
"arsénopyrite"-noun-fr "arsenopirita"-noun-ca
"arsenopirita"-noun-ca "arsénopyrite"-noun-fr
"Burkinabais"-noun-fr "burkinès"-noun-ca
"burkinès"-noun-ca "Burkinabais"-noun-fr
"burkinès"-noun-ca "Burkinais"-noun-fr
"Burkinais"-noun-fr "burkinès"-noun-ca
"pneumopathie"-noun-fr "pneumopatia"-noun-ca
"pneumopatia"-noun-ca "pneumopathie"-noun-fr
"Bark"-noun-fr "Bark"-noun-ca
"Bark"-noun-fr "Bark"-properNoun-ca
"Bark"-noun-ca "Bark"-noun-fr
"Bark"-noun-ca "Bark"-properNoun-fr
"Bark"-properNoun-ca "Bark"-noun-fr
"Bark"-properNoun-ca "Bark"-properNoun-fr
"Bark"-properNoun-fr "Bark"-noun-ca
"Bark"-properNoun-fr "Bark"-properNoun-ca
"Anna"-noun-ca "Anna"-noun-fr
"Anna"-noun-fr "Anna"-noun-ca
"Wayca"-properNoun-fr "Wayca"-properNoun-ca
"Wayca"-properNoun-ca "Wayca"-properNoun-fr
"István"-properNoun-fr "István"-properNoun-ca
"István"-properNoun-ca "István"-properNoun-fr
"mutin"-adjective-fr "entremaliat"-adjective-ca
"entremaliat"-adjective-ca "mutin"-adjective-fr
"Misasi"-noun-fr "Misasi"-noun-ca
"Misasi"-noun-fr "Misasi"-properNoun-ca
"Misasi"-noun-ca "Misasi"-noun-fr
"Misasi"-noun-ca "Misasi"-properNoun-fr
"Misasi"-properNoun-ca "Misasi"-noun-fr
"Misasi"-properNoun-ca "Misasi"-properNoun-fr
"Misasi"-properNoun-fr "Misasi"-noun-ca
"Misasi"-properNoun-fr "Misasi"-properNoun-ca
"écotaxe"-noun-fr "ecotaxa"-noun-ca
"ecotaxa"-noun-ca "écotaxe"-noun-fr
"alginique"-adjective-fr "algínic"-adjective-ca
"algínic"-adjective-ca "alginique"-adjective-fr
"startup"-noun-fr "startup"-noun-ca
"startup"-noun-ca "startup"-noun-fr
"méthyle"-noun-fr "metil"-noun-ca
"metil"-noun-ca "méthyle"-noun-fr
"Branson"-noun-fr "Branson"-noun-ca
"Branson"-noun-fr "Branson"-properNoun-ca
"Branson"-noun-ca "Branson"-noun-fr
"Branson"-noun-ca "Branson"-properNoun-fr
"Branson"-properNoun-ca "Branson"-noun-fr
"Branson"-properNoun-ca "Branson"-properNoun-fr
"Branson"-properNoun-fr "Branson"-noun-ca
"Branson"-properNoun-fr "Branson"-properNoun-ca
"Joan Carles"-properNoun-fr "Joan Carles"-properNoun-ca
"Joan Carles"-properNoun-ca "Joan Carles"-properNoun-fr
"Joan Carles"-properNoun-ca "Juan Carlos"-properNoun-fr
"Juan Carlos"-properNoun-fr "Joan Carles"-properNoun-ca
"Juan Carlos"-properNoun-fr "Juan Carlos"-properNoun-ca
"acétylcholine"-noun-fr "acetilcolina"-noun-ca
"acetilcolina"-noun-ca "acétylcholine"-noun-fr
"János"-properNoun-fr "János"-properNoun-ca
"János"-properNoun-ca "János"-properNoun-fr
"bipolarisme"-noun-fr "bipolarisme"-noun-ca
"bipolarisme"-noun-ca "bipolarisme"-noun-fr
"Ashlynn"-properNoun-fr "Ashlynn"-properNoun-ca
"Ashlynn"-properNoun-ca "Ashlynn"-properNoun-fr
"Lins"-noun-fr "Lins"-noun-ca
"Lins"-noun-fr "Lins"-properNoun-ca
"Lins"-noun-ca "Lins"-noun-fr
"Lins"-noun-ca "Lins"-properNoun-fr
"Lins"-properNoun-ca "Lins"-noun-fr
"Lins"-properNoun-ca "Lins"-properNoun-fr
"Lins"-properNoun-fr "Lins"-noun-ca
"Lins"-properNoun-fr "Lins"-properNoun-ca
"Lesley"-properNoun-fr "Lesley"-properNoun-ca
"Lesley"-properNoun-ca "Lesley"-properNoun-fr
"Endrizzi"-noun-fr "Endrizzi"-noun-ca
"Endrizzi"-noun-fr "Endrizzi"-properNoun-ca
"Endrizzi"-noun-ca "Endrizzi"-noun-fr
"Endrizzi"-noun-ca "Endrizzi"-properNoun-fr
"Endrizzi"-properNoun-ca "Endrizzi"-noun-fr
"Endrizzi"-properNoun-ca "Endrizzi"-properNoun-fr
"Endrizzi"-properNoun-fr "Endrizzi"-noun-ca
"Endrizzi"-properNoun-fr "Endrizzi"-properNoun-ca
"Ambrosine"-properNoun-fr "Ambrosine"-properNoun-ca
"Ambrosine"-properNoun-ca "Ambrosine"-properNoun-fr
"misogyne"-noun-fr "misogin"-noun-ca
"misogin"-noun-ca "misogyne"-noun-fr
"Benassal"-properNoun-fr "Benassal"-properNoun-ca
"Benassal"-properNoun-ca "Benassal"-properNoun-fr
"gazéification"-noun-fr "gasificació"-noun-ca
"gasificació"-noun-ca "gazéification"-noun-fr
"théorématique"-adjective-fr "teoremàtic"-adjective-ca
"teoremàtic"-adjective-ca "théorématique"-adjective-fr
"Cortopassi"-noun-fr "Cortopassi"-noun-ca
"Cortopassi"-noun-fr "Cortopassi"-properNoun-ca
"Cortopassi"-noun-ca "Cortopassi"-noun-fr
"Cortopassi"-noun-ca "Cortopassi"-properNoun-fr
"Cortopassi"-properNoun-ca "Cortopassi"-noun-fr
"Cortopassi"-properNoun-ca "Cortopassi"-properNoun-fr
"Cortopassi"-properNoun-fr "Cortopassi"-noun-ca
"Cortopassi"-properNoun-fr "Cortopassi"-properNoun-ca
"Martinciglio"-noun-fr "Martinciglio"-noun-ca
"Martinciglio"-noun-fr "Martinciglio"-properNoun-ca
"Martinciglio"-noun-ca "Martinciglio"-noun-fr
"Martinciglio"-noun-ca "Martinciglio"-properNoun-fr
"Martinciglio"-properNoun-ca "Martinciglio"-noun-fr
"Martinciglio"-properNoun-ca "Martinciglio"-properNoun-fr
"Martinciglio"-properNoun-fr "Martinciglio"-noun-ca
"Martinciglio"-properNoun-fr "Martinciglio"-properNoun-ca
"lingala"-noun-fr "lingala"-noun-ca
"lingala"-noun-ca "lingala"-noun-fr
"Voiculescu"-noun-fr "Voiculescu"-noun-ca
"Voiculescu"-noun-fr "Voiculescu"-properNoun-ca
"Voiculescu"-noun-ca "Voiculescu"-noun-fr
"Voiculescu"-noun-ca "Voiculescu"-properNoun-fr
"Voiculescu"-properNoun-ca "Voiculescu"-noun-fr
"Voiculescu"-properNoun-ca "Voiculescu"-properNoun-fr
"Voiculescu"-properNoun-fr "Voiculescu"-noun-ca
"Voiculescu"-properNoun-fr "Voiculescu"-properNoun-ca
"Txékhov"-noun-ca "Tchékhov"-noun-fr
"Txékhov"-noun-ca "Tchékhov"-properNoun-fr
"Tchékhov"-noun-fr "Txékhov"-noun-ca
"Tchékhov"-noun-fr "Txékhov"-properNoun-ca
"Tchékhov"-properNoun-fr "Txékhov"-noun-ca
"Tchékhov"-properNoun-fr "Txékhov"-properNoun-ca
"Txékhov"-properNoun-ca "Tchékhov"-noun-fr
"Txékhov"-properNoun-ca "Tchékhov"-properNoun-fr
"Benito"-noun-fr "Benito"-noun-ca
"Benito"-noun-ca "Benito"-noun-fr
"von Erdődy"-noun-fr "von Erdődy"-noun-ca
"von Erdődy"-noun-fr "von Erdődy"-properNoun-ca
"von Erdődy"-noun-ca "von Erdődy"-noun-fr
"von Erdődy"-noun-ca "von Erdődy"-properNoun-fr
"von Erdődy"-properNoun-ca "von Erdődy"-noun-fr
"von Erdődy"-properNoun-ca "von Erdődy"-properNoun-fr
"von Erdődy"-properNoun-fr "von Erdődy"-noun-ca
"von Erdődy"-properNoun-fr "von Erdődy"-properNoun-ca
"Bongo"-noun-fr "Bongo"-noun-ca
"Bongo"-noun-fr "Bongo"-properNoun-ca
"Bongo"-noun-ca "Bongo"-noun-fr
"Bongo"-noun-ca "Bongo"-properNoun-fr
"Bongo"-properNoun-ca "Bongo"-noun-fr
"Bongo"-properNoun-ca "Bongo"-properNoun-fr
"Bongo"-properNoun-fr "Bongo"-noun-ca
"Bongo"-properNoun-fr "Bongo"-properNoun-ca
"avoir du mal à"-verb-fr "tenir dificultats per a"-verb-ca
"tenir dificultats per a"-verb-ca "avoir du mal à"-verb-fr
"l'Argentera"-properNoun-fr "l'Argentera"-properNoun-ca
"l'Argentera"-properNoun-ca "l'Argentera"-properNoun-fr
"Lenck"-noun-fr "Lenck"-noun-ca
"Lenck"-noun-fr "Lenck"-properNoun-ca
"Lenck"-noun-ca "Lenck"-noun-fr
"Lenck"-noun-ca "Lenck"-properNoun-fr
"Lenck"-properNoun-ca "Lenck"-noun-fr
"Lenck"-properNoun-ca "Lenck"-properNoun-fr
"Lenck"-properNoun-fr "Lenck"-noun-ca
"Lenck"-properNoun-fr "Lenck"-properNoun-ca
"euroobligation"-noun-fr "euroobligació"-noun-ca
"euroobligació"-noun-ca "euroobligation"-noun-fr
"euroobligació"-noun-ca "euro-obligation"-noun-fr
"euro-obligation"-noun-fr "euroobligació"-noun-ca
"glamour"-noun-fr "encís"-noun-ca
"encís"-noun-ca "glamour"-noun-fr
"encís"-noun-ca "féerie"-noun-fr
"féerie"-noun-fr "encís"-noun-ca
"bimodal"-adjective-fr "bimodal"-adjective-ca
"bimodal"-adjective-ca "bimodal"-adjective-fr
"Irmina"-properNoun-fr "Irmina"-properNoun-ca
"Irmina"-properNoun-ca "Irmina"-properNoun-fr
"nucléophile"-noun-fr "nucleòfil"-noun-ca
"nucleòfil"-noun-ca "nucléophile"-noun-fr
"anticongelant"-adjective-ca "antigel"-adjective-fr
"antigel"-adjective-fr "anticongelant"-adjective-ca
"thermorétractable"-adjective-fr "termoretractable"-adjective-ca
"termoretractable"-adjective-ca "thermorétractable"-adjective-fr
"Agénor"-noun-fr "Agénor"-noun-ca
"Agénor"-noun-fr "Agénor"-properNoun-ca
"Agénor"-noun-ca "Agénor"-noun-fr
"Agénor"-properNoun-ca "Agénor"-noun-fr
"Costa i Llobera"-noun-fr "Costa i Llobera"-noun-ca
"Costa i Llobera"-noun-fr "Costa i Llobera"-properNoun-ca
"Costa i Llobera"-noun-ca "Costa i Llobera"-noun-fr
"Costa i Llobera"-noun-ca "Costa i Llobera"-properNoun-fr
"Costa i Llobera"-properNoun-ca "Costa i Llobera"-noun-fr
"Costa i Llobera"-properNoun-ca "Costa i Llobera"-properNoun-fr
"Costa i Llobera"-properNoun-fr "Costa i Llobera"-noun-ca
"Costa i Llobera"-properNoun-fr "Costa i Llobera"-properNoun-ca
"futurologue"-noun-fr "futuròleg"-noun-ca
"futuròleg"-noun-ca "futurologue"-noun-fr
"coproducteur"-adjective-fr "coproductor"-adjective-ca
"coproductor"-adjective-ca "coproducteur"-adjective-fr
"Federika"-properNoun-fr "Federika"-properNoun-ca
"Federika"-properNoun-ca "Federika"-properNoun-fr
"Célica"-properNoun-fr "Célica"-properNoun-ca
"Célica"-properNoun-ca "Célica"-properNoun-fr
"Volpi"-noun-fr "Volpi"-noun-ca
"Volpi"-noun-fr "Volpi"-properNoun-ca
"Volpi"-noun-ca "Volpi"-noun-fr
"Volpi"-noun-ca "Volpi"-properNoun-fr
"Volpi"-properNoun-ca "Volpi"-noun-fr
"Volpi"-properNoun-ca "Volpi"-properNoun-fr
"Volpi"-properNoun-fr "Volpi"-noun-ca
"Volpi"-properNoun-fr "Volpi"-properNoun-ca
"swahili"-adjective-fr "suahili"-adjective-ca
"suahili"-adjective-ca "swahili"-adjective-fr
"avoir pour objectif"-verb-fr "tenir l'objectiu"-verb-ca
"tenir l'objectiu"-verb-ca "avoir pour objectif"-verb-fr
"cystographie"-noun-fr "cistografia"-noun-ca
"cistografia"-noun-ca "cystographie"-noun-fr
"Cazzaniga"-noun-fr "Cazzaniga"-noun-ca
"Cazzaniga"-noun-fr "Cazzaniga"-properNoun-ca
"Cazzaniga"-noun-ca "Cazzaniga"-noun-fr
"Cazzaniga"-noun-ca "Cazzaniga"-properNoun-fr
"Cazzaniga"-properNoun-ca "Cazzaniga"-noun-fr
"Cazzaniga"-properNoun-ca "Cazzaniga"-properNoun-fr
"Cazzaniga"-properNoun-fr "Cazzaniga"-noun-ca
"Cazzaniga"-properNoun-fr "Cazzaniga"-properNoun-ca
"creditor"-adjective-ca "créancier"-adjective-fr
"créancier"-adjective-fr "creditor"-adjective-ca
