"France"-noun-fr "França"-properNoun-ca
"ohmique"-adjective-fr "òhmic"-adjective-ca
"òhmic"-adjective-ca "ohmique"-adjective-fr
"Benito"-noun-fr "Benito"-properNoun-ca
"Benito"-properNoun-ca "Benito"-noun-fr
"bolquer"-noun-ca "couche-culotte"-noun-fr
"couche-culotte"-noun-fr "bolquer"-noun-ca
"glamour"-noun-fr "encant"-noun-ca
"encant"-noun-ca "glamour"-noun-fr
"postguerra"-noun-ca "après-guerre"-noun-fr
"après-guerre"-noun-fr "postguerra"-noun-ca
"au dépourvu"-adjective-fr "desprevingut"-adjective-ca
"desprevingut"-adjective-ca "au dépourvu"-adjective-fr
"Sulamita"-properNoun-fr "Sulamita"-properNoun-ca
"Sulamita"-properNoun-ca "Sulamita"-properNoun-fr
"Esmirna"-properNoun-ca "Izmir"-properNoun-fr
"Izmir"-properNoun-fr "Esmirna"-properNoun-ca
"Magreb"-properNoun-fr "Magrib"-properNoun-ca
"Magreb"-properNoun-fr "Magreb"-properNoun-ca
"Magrib"-properNoun-ca "Magreb"-properNoun-fr
"Magreb"-properNoun-ca "Magreb"-properNoun-fr
"tinter"-verb-fr "dringar"-verb-ca
"dringar"-verb-ca "tinter"-verb-fr
"déclination"-noun-fr "declinació"-noun-ca
"declinació"-noun-ca "déclination"-noun-fr
"gale"-noun-fr "sarna"-noun-ca
"sarna"-noun-ca "gale"-noun-fr
"audiovisual"-adjective-ca "audio-visuel"-adjective-fr
"audio-visuel"-adjective-fr "audiovisual"-adjective-ca
"Cartagena"-properNoun-ca "Cartagène"-properNoun-fr
"Cartagène"-properNoun-fr "Cartagena"-properNoun-ca
"autogestionnaire"-adjective-fr "autogestionari"-adjective-ca
"autogestionari"-adjective-ca "autogestionnaire"-adjective-fr
"ajouté"-noun-fr "afegit"-noun-ca
"afegit"-noun-ca "ajouté"-noun-fr
"Tàrbena"-properNoun-fr "Tàrbena"-properNoun-ca
"Tàrbena"-properNoun-ca "Tàrbena"-properNoun-fr
"Alta Ribagorça"-properNoun-fr "Alta Ribagorça"-properNoun-ca
"Alta Ribagorça"-properNoun-ca "Alta Ribagorça"-properNoun-fr
"métalliser"-verb-fr "metal·litzar"-verb-ca
"metal·litzar"-verb-ca "métalliser"-verb-fr
"diner"-verb-fr "sopar"-verb-ca
"sopar"-verb-ca "diner"-verb-fr
"métaboliser"-verb-fr "metabolitzar"-verb-ca
"metabolitzar"-verb-ca "métaboliser"-verb-fr
"kényan"-adjective-fr "kenià"-adjective-ca
"kenià"-adjective-ca "kényan"-adjective-fr
"Alt Urgell"-properNoun-fr "Alt Urgell"-properNoun-ca
"Alt Urgell"-properNoun-ca "Alt Urgell"-properNoun-fr
"Naiala"-properNoun-fr "Naiala"-properNoun-ca
"Naiala"-properNoun-ca "Naiala"-properNoun-fr
"minauder"-verb-fr "afectar"-verb-ca
"afectar"-verb-ca "minauder"-verb-fr
"diccionari"-noun-ca "dico"-noun-fr
"dico"-noun-fr "diccionari"-noun-ca
"Sant Llorenç de Morunys"-properNoun-fr "Sant Llorenç de Morunys"-properNoun-ca
"Sant Llorenç de Morunys"-properNoun-ca "Sant Llorenç de Morunys"-properNoun-fr
"trànsit"-noun-ca "trafic routier"-noun-fr
"trafic routier"-noun-fr "trànsit"-noun-ca
"Aiguamúrcia"-properNoun-fr "Aiguamúrcia"-properNoun-ca
"Aiguamúrcia"-properNoun-ca "Aiguamúrcia"-properNoun-fr
"monocyclique"-adjective-fr "monocíclic"-adjective-ca
"monocíclic"-adjective-ca "monocyclique"-adjective-fr
"reduir"-verb-ca "enrayer"-verb-fr
"enrayer"-verb-fr "reduir"-verb-ca
"sanitat"-noun-ca "sanité"-noun-fr
"sanitat"-noun-ca "service de santé"-noun-fr
"sanité"-noun-fr "sanitat"-noun-ca
"service de santé"-noun-fr "sanitat"-noun-ca
"Nintendo Entertainment System"-properNoun-fr "Nintendo Entertainment System"-properNoun-ca
"Nintendo Entertainment System"-properNoun-ca "Nintendo Entertainment System"-properNoun-fr
"Benicàssim"-properNoun-fr "Benicàssim"-properNoun-ca
"Benicàssim"-properNoun-ca "Benicàssim"-properNoun-fr
"Alexandru"-noun-fr "Alexandru"-properNoun-ca
"Alexandru"-properNoun-ca "Alexandru"-noun-fr
"Alexandru"-properNoun-ca "Alexandru"-properNoun-fr
"Alexandru"-properNoun-fr "Alexandru"-properNoun-ca
"Altafulla"-properNoun-fr "Altafulla"-properNoun-ca
"Altafulla"-properNoun-ca "Altafulla"-properNoun-fr
"caver"-verb-fr "soscavar"-verb-ca
"soscavar"-verb-ca "caver"-verb-fr
"León"-noun-fr "León"-properNoun-ca
"León"-properNoun-ca "León"-noun-fr
"asfaltar"-verb-ca "goudronner"-verb-fr
"goudronner"-verb-fr "asfaltar"-verb-ca
"goudronner"-verb-fr "enquitranar"-verb-ca
"Bolbaite"-properNoun-fr "Bolbaite"-properNoun-ca
"Bolbaite"-properNoun-ca "Bolbaite"-properNoun-fr
"titularitat"-noun-ca "titularité"-noun-fr
"titularité"-noun-fr "titularitat"-noun-ca
"argutie"-noun-fr "argúcia"-noun-ca
"argúcia"-noun-ca "argutie"-noun-fr
"pobre"-adjective-ca "piètre"-adjective-fr
"piètre"-adjective-fr "pobre"-adjective-ca
"piètre"-adjective-fr "pèssim"-adjective-ca
"Zucaina"-properNoun-fr "Zucaina"-properNoun-ca
"Zucaina"-properNoun-ca "Zucaina"-properNoun-fr
"Vilaverd"-properNoun-fr "Vilaverd"-properNoun-ca
"Vilaverd"-properNoun-ca "Vilaverd"-properNoun-fr
"déréglementation"-noun-fr "desregulació"-noun-ca
"déréglementation"-noun-fr "desregularització"-noun-ca
"desregulació"-noun-ca "déréglementation"-noun-fr
"desregulació"-noun-ca "dérèglementation"-noun-fr
"desregulació"-noun-ca "déregulation"-noun-fr
"desregularització"-noun-ca "déréglementation"-noun-fr
"dérèglementation"-noun-fr "desregulació"-noun-ca
"déregulation"-noun-fr "desregulació"-noun-ca
"recurs"-noun-ca "pourvoi"-noun-fr
"pourvoi"-noun-fr "recurs"-noun-ca
"bourlingueur"-noun-fr "rodamón"-noun-ca
"rodamón"-noun-ca "bourlingueur"-noun-fr
"excepte"-preposition-ca "à la reserve de"-preposition-fr
"excepte"-preposition-ca "ôté"-preposition-fr
"à la reserve de"-preposition-fr "excepte"-preposition-ca
"ôté"-preposition-fr "excepte"-preposition-ca
"despérado"-noun-fr "bandit"-noun-ca
"bandit"-noun-ca "despérado"-noun-fr
"bandit"-noun-ca "outlaw"-noun-fr
"bandit"-noun-ca "desperado"-noun-fr
"outlaw"-noun-fr "bandit"-noun-ca
"desperado"-noun-fr "bandit"-noun-ca
"Caterina"-noun-fr "Caterina"-properNoun-ca
"Caterina"-properNoun-ca "Caterina"-noun-fr
"cimier"-noun-fr "cimera"-noun-ca
"cimera"-noun-ca "cimier"-noun-fr
"poncer"-verb-fr "allisar"-verb-ca
"allisar"-verb-ca "poncer"-verb-fr
"allisar"-verb-ca "lisser"-verb-fr
"lisser"-verb-fr "allisar"-verb-ca
"polir"-verb-fr "polir"-verb-ca
"polir"-verb-ca "polir"-verb-fr
"Benimeli"-properNoun-fr "Benimeli"-properNoun-ca
"Benimeli"-properNoun-ca "Benimeli"-properNoun-fr
"goinfre"-noun-fr "golafre"-noun-ca
"golafre"-noun-ca "goinfre"-noun-fr
"spiral"-adjective-fr "espiral"-adjective-ca
"espiral"-adjective-ca "spiral"-adjective-fr
"espiral"-adjective-ca "spirale"-adjective-fr
"spirale"-adjective-fr "espiral"-adjective-ca
"Daniel"-noun-fr "Daniel"-properNoun-ca
"Daniel"-properNoun-ca "Daniel"-noun-fr
"Safaa"-properNoun-fr "Safaa"-properNoun-ca
"Safaa"-properNoun-ca "Safaa"-properNoun-fr
"excursionnisme"-noun-fr "excursionisme"-noun-ca
"excursionisme"-noun-ca "excursionnisme"-noun-fr
"Télémaque"-noun-fr "Télémaque"-properNoun-ca
"Télémaque"-properNoun-ca "Télémaque"-noun-fr
"bétoire"-noun-fr "avenc"-noun-ca
"avenc"-noun-ca "bétoire"-noun-fr
"bailliage"-noun-fr "batllia"-noun-ca
"batllia"-noun-ca "bailliage"-noun-fr
"Penàguila"-properNoun-fr "Penàguila"-properNoun-ca
"Penàguila"-properNoun-ca "Penàguila"-properNoun-fr
"Cicely"-properNoun-fr "Cicely"-properNoun-ca
"Cicely"-properNoun-ca "Cicely"-properNoun-fr
"Santa Coloma de Cervelló"-properNoun-fr "Santa Coloma de Cervelló"-properNoun-ca
"Santa Coloma de Cervelló"-properNoun-ca "Santa Coloma de Cervelló"-properNoun-fr
"Constantí"-properNoun-fr "Constantí"-properNoun-ca
"Constantí"-properNoun-ca "Constantí"-properNoun-fr
"défigurer"-verb-fr "desfigurar"-verb-ca
"desfigurar"-verb-ca "défigurer"-verb-fr
"Pau"-properNoun-ca "Paul"-noun-fr
"Paul"-noun-fr "Pau"-properNoun-ca
"Paul"-noun-fr "Paul"-properNoun-ca
"Buñuel"-noun-fr "Buñuel"-properNoun-ca
"Buñuel"-properNoun-ca "Buñuel"-noun-fr
"Buñuel"-properNoun-ca "Buñuel"-properNoun-fr
"Buñuel"-properNoun-fr "Buñuel"-properNoun-ca
"escalier en colimaçon"-noun-fr "escala de cargol"-noun-ca
"escala de cargol"-noun-ca "escalier en colimaçon"-noun-fr
"dislocar"-verb-ca "déboîter"-verb-fr
"déboîter"-verb-fr "dislocar"-verb-ca
"jachère"-noun-fr "guaret"-noun-ca
"guaret"-noun-ca "jachère"-noun-fr
"Llançà"-properNoun-fr "Llançà"-properNoun-ca
"Llançà"-properNoun-ca "Llançà"-properNoun-fr
"Alella"-properNoun-fr "Alella"-properNoun-ca
"Alella"-properNoun-ca "Alella"-properNoun-fr
"gaule"-noun-fr "barra"-noun-ca
"barra"-noun-ca "gaule"-noun-fr
"Pía"-properNoun-fr "Pía"-properNoun-ca
"Pía"-properNoun-ca "Pía"-properNoun-fr
"Xin"-properNoun-fr "Xin"-properNoun-ca
"Xin"-properNoun-ca "Xin"-properNoun-fr
"Wijdan"-properNoun-fr "Wijdan"-properNoun-ca
"Wijdan"-properNoun-ca "Wijdan"-properNoun-fr
"Pavia"-noun-fr "Pavia"-properNoun-ca
"Pavia"-properNoun-ca "Pavia"-noun-fr
"Pavia"-properNoun-ca "Pavia"-properNoun-fr
"Pavia"-properNoun-fr "Pavia"-properNoun-ca
"Vallfogona de Riucorb"-properNoun-fr "Vallfogona de Riucorb"-properNoun-ca
"Vallfogona de Riucorb"-properNoun-ca "Vallfogona de Riucorb"-properNoun-fr
"énergéticien"-adjective-fr "energètic"-adjective-ca
"energètic"-adjective-ca "énergéticien"-adjective-fr
"rifle"-noun-fr "rifle"-noun-ca
"rifle"-noun-ca "rifle"-noun-fr
"niquer"-verb-fr "fotre"-verb-ca
"fotre"-verb-ca "niquer"-verb-fr
"fotre"-verb-ca "emmerder"-verb-fr
"emmerder"-verb-fr "fotre"-verb-ca
"Salima"-properNoun-fr "Salima"-properNoun-ca
"Salima"-properNoun-ca "Salima"-properNoun-fr
"Monòver"-properNoun-fr "Monòver"-properNoun-ca
"Monòver"-properNoun-ca "Monòver"-properNoun-fr
"Lorenzo"-noun-fr "Lorenzo"-properNoun-ca
"Lorenzo"-properNoun-ca "Lorenzo"-noun-fr
"Debian Sarge"-properNoun-fr "Debian Sarge"-properNoun-ca
"Debian Sarge"-properNoun-ca "Debian Sarge"-properNoun-fr
"inélastique"-adjective-fr "inelàstic"-adjective-ca
"inelàstic"-adjective-ca "inélastique"-adjective-fr
"stigmatique"-adjective-fr "estigmàtic"-adjective-ca
"estigmàtic"-adjective-ca "stigmatique"-adjective-fr
"contraposition"-noun-fr "contraposició"-noun-ca
"contraposició"-noun-ca "contraposition"-noun-fr
"peu après"-adverb-fr "poc després"-adverb-ca
"poc després"-adverb-ca "peu après"-adverb-fr
"per se"-adverb-fr "per se"-adverb-ca
"per se"-adverb-ca "per se"-adverb-fr
"Aixa"-properNoun-fr "Aixa"-properNoun-ca
"Aixa"-properNoun-ca "Aixa"-properNoun-fr
"Castell-Platja d'Aro"-properNoun-fr "Castell-Platja d'Aro"-properNoun-ca
"Castell-Platja d'Aro"-properNoun-ca "Castell-Platja d'Aro"-properNoun-fr
"rectum"-noun-fr "recte"-noun-ca
"recte"-noun-ca "rectum"-noun-fr
"Vilamarxant"-properNoun-fr "Vilamarxant"-properNoun-ca
"Vilamarxant"-properNoun-ca "Vilamarxant"-properNoun-fr
"clapoter"-verb-fr "xipollar"-verb-ca
"xipollar"-verb-ca "clapoter"-verb-fr
"astrobiologie"-noun-fr "astrobiologia"-noun-ca
"astrobiologia"-noun-ca "astrobiologie"-noun-fr
"Vallanca"-properNoun-fr "Vallanca"-properNoun-ca
"Vallanca"-properNoun-ca "Vallanca"-properNoun-fr
"dormeur"-adjective-fr "dormilega"-adjective-ca
"dormilega"-adjective-ca "dormeur"-adjective-fr
"Canet de Mar"-properNoun-fr "Canet de Mar"-properNoun-ca
"Canet de Mar"-properNoun-ca "Canet de Mar"-properNoun-fr
"Kateryn"-properNoun-fr "Kateryn"-properNoun-ca
"Kateryn"-properNoun-ca "Kateryn"-properNoun-fr
"émerveiller"-verb-fr "embadalir"-verb-ca
"embadalir"-verb-ca "émerveiller"-verb-fr
"Belo Horizonte"-properNoun-fr "Belo Horizonte"-properNoun-ca
"Belo Horizonte"-properNoun-ca "Belo Horizonte"-properNoun-fr
"Arnau"-noun-fr "Arnau"-properNoun-ca
"Arnau"-properNoun-ca "Arnau"-noun-fr
"pupille_pers"-noun-fr "pupil"-noun-ca
"pupil"-noun-ca "pupille_pers"-noun-fr
"dégueulasserie"-noun-fr "fàstic"-noun-ca
"fàstic"-noun-ca "dégueulasserie"-noun-fr
"afermar"-verb-ca "affermir"-verb-fr
"affermir"-verb-fr "afermar"-verb-ca
"Sant Martí de Llémena"-properNoun-fr "Sant Martí de Llémena"-properNoun-ca
"Sant Martí de Llémena"-properNoun-ca "Sant Martí de Llémena"-properNoun-fr
"astatique"-adjective-fr "astàtic"-adjective-ca
"astàtic"-adjective-ca "astatique"-adjective-fr
"insalivation"-noun-fr "insalivació"-noun-ca
"insalivació"-noun-ca "insalivation"-noun-fr
"Esteve"-noun-fr "Esteve"-properNoun-ca
"Esteve"-properNoun-ca "Esteve"-noun-fr
"fiscaliser"-verb-fr "fiscalitzar"-verb-ca
"fiscalitzar"-verb-ca "fiscaliser"-verb-fr
"dépurer"-verb-fr "depurar"-verb-ca
"depurar"-verb-ca "dépurer"-verb-fr
"phénoménologique"-adjective-fr "fenomenològic"-adjective-ca
"fenomenològic"-adjective-ca "phénoménologique"-adjective-fr
"Castellví de la Marca"-properNoun-fr "Castellví de la Marca"-properNoun-ca
"Castellví de la Marca"-properNoun-ca "Castellví de la Marca"-properNoun-fr
"introductoire"-adjective-fr "introductori"-adjective-ca
"introductori"-adjective-ca "introductoire"-adjective-fr
"Vallcebre"-properNoun-fr "Vallcebre"-properNoun-ca
"Vallcebre"-properNoun-ca "Vallcebre"-properNoun-fr
"Kath"-properNoun-fr "Kath"-properNoun-ca
"Kath"-properNoun-ca "Kath"-properNoun-fr
"afectuós"-adjective-ca "câlineur"-adjective-fr
"câlineur"-adjective-fr "afectuós"-adjective-ca
"d'une certaine façon"-adverb-fr "d'alguna manera"-adverb-ca
"d'alguna manera"-adverb-ca "d'une certaine façon"-adverb-fr
"irradier"-verb-fr "irradiar"-verb-ca
"irradiar"-verb-ca "irradier"-verb-fr
"Supercoupe"-properNoun-fr "Supercopa"-properNoun-ca
"Supercopa"-properNoun-ca "Supercoupe"-properNoun-fr
"etymologie"-noun-fr "etimologia"-noun-ca
"etimologia"-noun-ca "etymologie"-noun-fr
"estoc"-noun-fr "estoc"-noun-ca
"estoc"-noun-ca "estoc"-noun-fr
"pondre"-verb-ca "pondre"-verb-fr
"pondre"-verb-fr "pondre"-verb-ca
"derrière de"-preposition-fr "darrere de"-preposition-ca
"darrere de"-preposition-ca "derrière de"-preposition-fr
"paternellement"-adverb-fr "paternalment"-adverb-ca
"paternalment"-adverb-ca "paternellement"-adverb-fr
"Janat"-properNoun-fr "Janat"-properNoun-ca
"Janat"-properNoun-ca "Janat"-properNoun-fr
"hydrodynamique"-adjective-fr "hidrodinàmic"-adjective-ca
"hidrodinàmic"-adjective-ca "hydrodynamique"-adjective-fr
"acide aminé"-noun-fr "aminoàcid"-noun-ca
"aminoàcid"-noun-ca "acide aminé"-noun-fr
"gite d'étape"-noun-fr "alberg"-noun-ca
"alberg"-noun-ca "gite d'étape"-noun-fr
"alberg"-noun-ca "gîte d'étape"-noun-fr
"gîte d'étape"-noun-fr "alberg"-noun-ca
"mortification"-noun-fr "mortificació"-noun-ca
"mortificació"-noun-ca "mortification"-noun-fr
"abrahamique"-adjective-fr "abrahàmic"-adjective-ca
"abrahàmic"-adjective-ca "abrahamique"-adjective-fr
"Matadepera"-properNoun-fr "Matadepera"-properNoun-ca
"Matadepera"-properNoun-ca "Matadepera"-properNoun-fr
"XIIIe"-adjective-fr "XIII"-adjective-ca
"XIII"-adjective-ca "XIIIe"-adjective-fr
"cliqueter"-verb-fr "cloquejar"-verb-ca
"cloquejar"-verb-ca "cliqueter"-verb-fr
"bestial"-adjective-fr "bestial"-adjective-ca
"bestial"-adjective-ca "bestial"-adjective-fr
"artéfact"-noun-fr "artefacte"-noun-ca
"artefacte"-noun-ca "artéfact"-noun-fr
"appréciablement"-adverb-fr "apreciablement"-adverb-ca
"apreciablement"-adverb-ca "appréciablement"-adverb-fr
"rendre folle"-verb-fr "embogir"-verb-ca
"embogir"-verb-ca "rendre folle"-verb-fr
"embogir"-verb-ca "devenir foux"-verb-fr
"embogir"-verb-ca "rendre folles"-verb-fr
"embogir"-verb-ca "devenir folles"-verb-fr
"embogir"-verb-ca "rendre foux"-verb-fr
"embogir"-verb-ca "rendre fou"-verb-fr
"embogir"-verb-ca "devenir folle"-verb-fr
"embogir"-verb-ca "devenir fou"-verb-fr
"devenir foux"-verb-fr "embogir"-verb-ca
"devenir foux"-verb-fr "enfollir"-verb-ca
"rendre folles"-verb-fr "embogir"-verb-ca
"devenir folles"-verb-fr "embogir"-verb-ca
"devenir folles"-verb-fr "enfollir"-verb-ca
"rendre foux"-verb-fr "embogir"-verb-ca
"rendre fou"-verb-fr "embogir"-verb-ca
"devenir folle"-verb-fr "embogir"-verb-ca
"devenir folle"-verb-fr "enfollir"-verb-ca
"devenir fou"-verb-fr "embogir"-verb-ca
"devenir fou"-verb-fr "enfollir"-verb-ca
"Yasmina"-properNoun-fr "Yasmina"-properNoun-ca
"Yasmina"-properNoun-ca "Yasmina"-properNoun-fr
"Navàs"-properNoun-fr "Navàs"-properNoun-ca
"Navàs"-properNoun-ca "Navàs"-properNoun-fr
"Europa"-properNoun-fr "Europa"-properNoun-ca
"Europa"-properNoun-ca "Europa"-properNoun-fr
"Ainoa"-properNoun-fr "Ainoa"-properNoun-ca
"Ainoa"-properNoun-ca "Ainoa"-properNoun-fr
"Carpates"-properNoun-fr "Carpats"-properNoun-ca
"Carpats"-properNoun-ca "Carpates"-properNoun-fr
"rafraîchir"-verb-fr "refrescar"-verb-ca
"refrescar"-verb-ca "rafraîchir"-verb-fr
"refrescar"-verb-ca "fraîchir"-verb-fr
"fraîchir"-verb-fr "refrescar"-verb-ca
"provisionnel"-adjective-fr "provisional"-adjective-ca
"provisional"-adjective-ca "provisionnel"-adjective-fr
"femme d'État"-noun-fr "estadista"-noun-ca
"estadista"-noun-ca "femme d'État"-noun-fr
"estadista"-noun-ca "homme d'État"-noun-fr
"homme d'État"-noun-fr "estadista"-noun-ca
"nonne"-noun-fr "monjo"-noun-ca
"monjo"-noun-ca "nonne"-noun-fr
"monjo"-noun-ca "monial"-noun-fr
"monjo"-noun-ca "bonne sœur"-noun-fr
"monial"-noun-fr "monjo"-noun-ca
"bonne sœur"-noun-fr "monjo"-noun-ca
"urbs"-noun-ca "grande ville"-noun-fr
"grande ville"-noun-fr "urbs"-noun-ca
"rester à"-verb-fr "quedar"-verb-ca
"quedar"-verb-ca "rester à"-verb-fr
"trapézoïdal"-adjective-fr "trapezoidal"-adjective-ca
"trapezoidal"-adjective-ca "trapézoïdal"-adjective-fr
"esthéticien"-noun-fr "esteticista"-noun-ca
"esteticista"-noun-ca "esthéticien"-noun-fr
"assenyat"-adjective-ca "sensé"-adjective-fr
"sensé"-adjective-fr "assenyat"-adjective-ca
"Damià"-properNoun-fr "Damià"-properNoun-ca
"Damià"-properNoun-ca "Damià"-properNoun-fr
"germen"-noun-ca "germen"-noun-fr
"germen"-noun-fr "germen"-noun-ca
"senador"-noun-ca "sénatrice"-noun-fr
"sénatrice"-noun-fr "senador"-noun-ca
"apariar"-verb-ca "apparier"-verb-fr
"apparier"-verb-fr "apariar"-verb-ca
"Balones"-properNoun-fr "Balones"-properNoun-ca
"Balones"-properNoun-ca "Balones"-properNoun-fr
"New Nintendo 2DS"-properNoun-fr "New Nintendo 2DS"-properNoun-ca
"New Nintendo 2DS"-properNoun-ca "New Nintendo 2DS"-properNoun-fr
"jouer de"-verb-fr "tocar"-verb-ca
"tocar"-verb-ca "jouer de"-verb-fr
"tocar"-verb-ca "faire de"-verb-fr
"faire de"-verb-fr "tocar"-verb-ca
"Sant Joan de Vilatorrada"-properNoun-fr "Sant Joan de Vilatorrada"-properNoun-ca
"Sant Joan de Vilatorrada"-properNoun-ca "Sant Joan de Vilatorrada"-properNoun-fr
"Magdebourg"-properNoun-fr "Magdeburg"-properNoun-ca
"Magdeburg"-properNoun-ca "Magdebourg"-properNoun-fr
"Mariannes"-properNoun-fr "Mariannes"-properNoun-ca
"Mariannes"-properNoun-ca "Mariannes"-properNoun-fr
"translitérer"-verb-fr "transliterar"-verb-ca
"transliterar"-verb-ca "translitérer"-verb-fr
"Altea"-noun-fr "Altea"-properNoun-ca
"Altea"-properNoun-ca "Altea"-noun-fr
"polymorphique"-adjective-fr "polimòrfic"-adjective-ca
"polimòrfic"-adjective-ca "polymorphique"-adjective-fr
"FMI"-noun-fr "FMI"-noun-ca
"FMI"-noun-ca "FMI"-noun-fr
"efficience"-noun-fr "eficiència"-noun-ca
"eficiència"-noun-ca "efficience"-noun-fr
"primevère"-noun-fr "prímula"-noun-ca
"prímula"-noun-ca "primevère"-noun-fr
"Microsoft PowerPoint"-properNoun-fr "Microsoft PowerPoint"-properNoun-ca
"Microsoft PowerPoint"-properNoun-ca "Microsoft PowerPoint"-properNoun-fr
"ensorceleur"-adjective-fr "encisador"-adjective-ca
"encisador"-adjective-ca "ensorceleur"-adjective-fr
"encisador"-adjective-ca "ravissant"-adjective-fr
"encisador"-adjective-ca "envoûtant"-adjective-fr
"ravissant"-adjective-fr "encisador"-adjective-ca
"envoûtant"-adjective-fr "encisador"-adjective-ca
"Vallbona d'Anoia"-properNoun-fr "Vallbona d'Anoia"-properNoun-ca
"Vallbona d'Anoia"-properNoun-ca "Vallbona d'Anoia"-properNoun-fr
"mécompte"-noun-fr "desengany"-noun-ca
"mécompte"-noun-fr "equivocació"-noun-ca
"desengany"-noun-ca "mécompte"-noun-fr
"desengany"-noun-ca "déconvenue"-noun-fr
"equivocació"-noun-ca "mécompte"-noun-fr
"equivocació"-noun-ca "méprise"-noun-fr
"déconvenue"-noun-fr "desengany"-noun-ca
"méprise"-noun-fr "equivocació"-noun-ca
"Elia"-noun-fr "Elia"-properNoun-ca
"Elia"-properNoun-ca "Elia"-noun-fr
"Cullera"-properNoun-fr "Cullera"-properNoun-ca
