"the"-determiner-en "lo"-determiner-es
"with no"-preposition-en "sin"-preposition-es
"from"-preposition-en "proveniente de"-preposition-es
"from"-preposition-en "provenientes de"-preposition-es
"from"-preposition-en "a partir de"-preposition-es
"proveniente de"-preposition-es "from"-preposition-en
"provenientes de"-preposition-es "from"-preposition-en
"a partir de"-preposition-es "from"-preposition-en
"a"-preposition-es "at"-preposition-en
"a"-preposition-es "into"-preposition-en
"into"-preposition-en "a"-preposition-es
"beside"-preposition-en "junto a"-preposition-es
"junto a"-preposition-es "beside"-preposition-en
"junto a"-preposition-es "alongside"-preposition-en
"alongside"-preposition-en "junto a"-preposition-es
"former"-adjective-en "anterior"-adjective-es
"anterior"-adjective-es "former"-adjective-en
"anterior"-adjective-es "previous"-adjective-en
"previous"-adjective-en "anterior"-adjective-es
"above"-preposition-en "por encima de"-preposition-es
"por encima de"-preposition-es "above"-preposition-en
"after"-preposition-en "en pos de"-preposition-es
"en pos de"-preposition-es "after"-preposition-en
"by"-preposition-en "por parte de"-preposition-es
"por parte de"-preposition-es "by"-preposition-en
"excepto"-preposition-es "except for"-preposition-en
"except for"-preposition-en "excepto"-preposition-es
"outside"-preposition-en "fuera de"-preposition-es
"fuera de"-preposition-es "outside"-preposition-en
"fuera de"-preposition-es "out"-preposition-en
"fuera de"-preposition-es "out of"-preposition-en
"out"-preposition-en "fuera de"-preposition-es
"out of"-preposition-en "fuera de"-preposition-es
"around"-preposition-en "alrededor de"-preposition-es
"alrededor de"-preposition-es "around"-preposition-en
"alrededor de"-preposition-es "round"-preposition-en
"round"-preposition-en "alrededor de"-preposition-es
"in front of"-preposition-en "frente a"-preposition-es
"frente a"-preposition-es "in front of"-preposition-en
"dentro de"-preposition-es "within"-preposition-en
"within"-preposition-en "dentro de"-preposition-es
"according to"-preposition-en "conforme a"-preposition-es
"conforme a"-preposition-es "according to"-preposition-en
"together with"-preposition-en "junto con"-preposition-es
"junto con"-preposition-es "together with"-preposition-en
"junto con"-preposition-es "along with"-preposition-en
"along with"-preposition-en "junto con"-preposition-es
"concerning"-preposition-en "respecto de"-preposition-es
"concerning"-preposition-en "referente a"-preposition-es
"respecto de"-preposition-es "concerning"-preposition-en
"referente a"-preposition-es "concerning"-preposition-en
"more than"-preposition-en "más de"-preposition-es
"más de"-preposition-es "more than"-preposition-en
"in the middle of"-preposition-en "en medio de"-preposition-es
"en medio de"-preposition-es "in the middle of"-preposition-en
"in accordance with"-preposition-en "acorde con"-preposition-es
"in accordance with"-preposition-en "de acuerdo con"-preposition-es
"in accordance with"-preposition-en "en consonancia con"-preposition-es
"acorde con"-preposition-es "in accordance with"-preposition-en
"de acuerdo con"-preposition-es "in accordance with"-preposition-en
"en consonancia con"-preposition-es "in accordance with"-preposition-en
"at the beginning of"-preposition-en "a principios de"-preposition-es
"a principios de"-preposition-es "at the beginning of"-preposition-en
"hundred"-numeral-en "mil"-numeral-es
"mil"-numeral-es "hundred"-numeral-en
"mil"-numeral-es "ten hundred"-numeral-en
"ten hundred"-numeral-en "mil"-numeral-es
"and"-coordinatingConjunction-en "como"-coordinatingConjunction-es
"como"-coordinatingConjunction-es "and"-coordinatingConjunction-en
"but"-coordinatingConjunction-en "mas"-coordinatingConjunction-es
"mas"-coordinatingConjunction-es "but"-coordinatingConjunction-en
"sino"-coordinatingConjunction-es "but rather"-coordinatingConjunction-en
"but rather"-coordinatingConjunction-en "sino"-coordinatingConjunction-es
"or"-coordinatingConjunction-en "ni"-coordinatingConjunction-es
"or"-coordinatingConjunction-en "o bien"-coordinatingConjunction-es
"ni"-coordinatingConjunction-es "or"-coordinatingConjunction-en
"o bien"-coordinatingConjunction-es "or"-coordinatingConjunction-en
"o"-coordinatingConjunction-es "either"-coordinatingConjunction-en
"either"-coordinatingConjunction-en "o"-coordinatingConjunction-es
"namely"-adverb-en "concretamente"-adverb-es
"concretamente"-adverb-es "namely"-adverb-en
"at the same time"-adverb-en "al mismo tiempo"-adverb-es
"al mismo tiempo"-adverb-es "at the same time"-adverb-en
"al mismo tiempo"-adverb-es "concurrently"-adverb-en
"concurrently"-adverb-en "al mismo tiempo"-adverb-es
"a la vez"-adverb-es "at any one time"-adverb-en
"at any one time"-adverb-en "a la vez"-adverb-es
"usually"-adverb-en "corrientemente"-adverb-es
"usually"-adverb-en "usualmente"-adverb-es
"corrientemente"-adverb-es "usually"-adverb-en
"usualmente"-adverb-es "usually"-adverb-en
"normalmente"-adverb-es "normally"-adverb-en
"normally"-adverb-en "normalmente"-adverb-es
"exactly"-adverb-en "talmente"-adverb-es
"talmente"-adverb-es "exactly"-adverb-en
"exactamente"-adverb-es "just"-adverb-en
"just"-adverb-en "exactamente"-adverb-es
"just"-adverb-en "justo"-adverb-es
"sólo"-adverb-es "alone"-adverb-en
"alone"-adverb-en "sólo"-adverb-es
"acá"-adverb-es "up to here"-adverb-en
"up to here"-adverb-en "acá"-adverb-es
"overnight"-adverb-en "por la noche"-adverb-es
"por la noche"-adverb-es "overnight"-adverb-en
"por la noche"-adverb-es "at night"-adverb-en
"por la noche"-adverb-es "during the night"-adverb-en
"at night"-adverb-en "por la noche"-adverb-es
"during the night"-adverb-en "por la noche"-adverb-es
"fuera"-adverb-es "away"-adverb-en
"away"-adverb-en "fuera"-adverb-es
"abajo"-adverb-es "down"-adverb-en
"abajo"-adverb-es "low"-adverb-en
"down"-adverb-en "abajo"-adverb-es
"low"-adverb-en "abajo"-adverb-es
"debajo"-adverb-es "underneath"-adverb-en
"debajo"-adverb-es "under"-adverb-en
"underneath"-adverb-en "debajo"-adverb-es
"under"-adverb-en "debajo"-adverb-es
"even"-adverb-en "incluso"-adverb-es
"incluso"-adverb-es "even"-adverb-en
"of course"-adverb-en "desde luego"-adverb-es
"of course"-adverb-en "por supuesto"-adverb-es
"desde luego"-adverb-es "of course"-adverb-en
"por supuesto"-adverb-es "of course"-adverb-en
"increasingly"-adverb-en "cada vez más"-adverb-es
"cada vez más"-adverb-es "increasingly"-adverb-en
"remarkably"-adverb-en "extraordinariamente"-adverb-es
"extraordinariamente"-adverb-es "remarkably"-adverb-en
"extraordinariamente"-adverb-es "extraordinarily"-adverb-en
"extraordinarily"-adverb-en "extraordinariamente"-adverb-es
"extremely"-adverb-en "sumamente"-adverb-es
"sumamente"-adverb-es "extremely"-adverb-en
"extremadamente"-adverb-es "exceedingly"-adverb-en
"extremadamente"-adverb-es "monumentally"-adverb-en
"exceedingly"-adverb-en "extremadamente"-adverb-es
"monumentally"-adverb-en "extremadamente"-adverb-es
"luego"-adverb-es "anon"-adverb-en
"anon"-adverb-en "luego"-adverb-es
"nunca"-adverb-es "ever"-adverb-en
"ever"-adverb-en "nunca"-adverb-es
"however"-adverb-en "sin embargo"-adverb-es
"however"-adverb-en "aun así"-adverb-es
"however"-adverb-en "ni aun así"-adverb-es
"sin embargo"-adverb-es "however"-adverb-en
"aun así"-adverb-es "however"-adverb-en
"aun así"-adverb-es "though"-adverb-en
"ni aun así"-adverb-es "however"-adverb-en
"though"-adverb-en "aun así"-adverb-es
"after all"-adverb-en "después de todo"-adverb-es
"después de todo"-adverb-es "after all"-adverb-en
"etc"-adverb-en "etc"-adverb-es
"etc"-adverb-es "etc"-adverb-en
"rather"-adverb-en "bastante"-adverb-es
"rather"-adverb-en "más bien"-adverb-es
"bastante"-adverb-es "rather"-adverb-en
"bastante"-adverb-es "pretty much"-adverb-en
"más bien"-adverb-es "rather"-adverb-en
"pretty much"-adverb-en "bastante"-adverb-es
"neither"-adverb-en "tampoco"-adverb-es
"tampoco"-adverb-es "neither"-adverb-en
"tampoco"-adverb-es "either"-adverb-en
"either"-adverb-en "tampoco"-adverb-es
"allá"-adverb-es "thither"-adverb-en
"thither"-adverb-en "allá"-adverb-es
"again"-adverb-en "novedosamente"-adverb-es
"again"-adverb-en "otra vez"-adverb-es
"again"-adverb-en "de nuevo"-adverb-es
"novedosamente"-adverb-es "again"-adverb-en
"otra vez"-adverb-es "again"-adverb-en
"de nuevo"-adverb-es "again"-adverb-en
"de nuevo"-adverb-es "anew"-adverb-en
"nuevamente"-adverb-es "newly"-adverb-en
"newly"-adverb-en "nuevamente"-adverb-es
"anew"-adverb-en "de nuevo"-adverb-es
"this year"-adverb-en "este año"-adverb-es
"este año"-adverb-es "this year"-adverb-en
"encima"-adverb-es "over"-adverb-en
"over"-adverb-en "encima"-adverb-es
"beyond"-adverb-en "más allá"-adverb-es
"más allá"-adverb-es "beyond"-adverb-en
"más allá"-adverb-es "further"-adverb-en
"further"-adverb-en "más allá"-adverb-es
"up until now"-adverb-en "hasta ahora"-adverb-es
"hasta ahora"-adverb-es "up until now"-adverb-en
"hasta ahora"-adverb-es "as yet"-adverb-en
"hasta ahora"-adverb-es "heretofore"-adverb-en
"hasta ahora"-adverb-es "to this very day"-adverb-en
"hasta ahora"-adverb-es "up till now"-adverb-en
"hasta ahora"-adverb-es "up to now"-adverb-en
"hasta ahora"-adverb-es "up to the present"-adverb-en
"as yet"-adverb-en "hasta ahora"-adverb-es
"heretofore"-adverb-en "hasta ahora"-adverb-es
"to this very day"-adverb-en "hasta ahora"-adverb-es
"up till now"-adverb-en "hasta ahora"-adverb-es
"up to now"-adverb-en "hasta ahora"-adverb-es
"up to the present"-adverb-en "hasta ahora"-adverb-es
"sí"-adverb-es "aye"-adverb-en
"aye"-adverb-en "sí"-adverb-es
"arriba"-adverb-es "upward"-adverb-en
"upward"-adverb-en "arriba"-adverb-es
"to the right"-adverb-en "a la derecha"-adverb-es
"a la derecha"-adverb-es "to the right"-adverb-en
"nowhere"-adverb-en "en ninguna parte"-adverb-es
"en ninguna parte"-adverb-es "nowhere"-adverb-en
"any more"-adverb-en "más"-adverb-es
"más"-adverb-es "any more"-adverb-en
"más"-adverb-es "best"-adverb-en
"más"-adverb-es "else"-adverb-en
"más"-adverb-es "most"-adverb-en
"best"-adverb-en "más"-adverb-es
"else"-adverb-en "más"-adverb-es
"most"-adverb-en "más"-adverb-es
"why"-adverb-en "por qué"-adverb-es
"por qué"-adverb-es "why"-adverb-en
"por qué"-adverb-es "how come"-adverb-en
"how come"-adverb-en "por qué"-adverb-es
"somehow"-adverb-en "de alguna manera"-adverb-es
"de alguna manera"-adverb-es "somehow"-adverb-en
"the next day"-adverb-en "al día siguiente"-adverb-es
"al día siguiente"-adverb-es "the next day"-adverb-en
"once"-adverb-en "una vez"-adverb-es
"una vez"-adverb-es "once"-adverb-en
"once and for all"-adverb-en "de una vez por todas"-adverb-es
"de una vez por todas"-adverb-es "once and for all"-adverb-en
"sometimes"-adverb-en "a veces"-adverb-es
"a veces"-adverb-es "sometimes"-adverb-en
"afar"-adverb-en "lejos"-adverb-es
"lejos"-adverb-es "afar"-adverb-en
"lejos"-adverb-es "far"-adverb-en
"far"-adverb-en "lejos"-adverb-es
"furthermore"-adverb-en "además"-adverb-es
"además"-adverb-es "furthermore"-adverb-en
"además"-adverb-es "additionally"-adverb-en
"además"-adverb-es "besides"-adverb-en
"additionally"-adverb-en "además"-adverb-es
"besides"-adverb-en "además"-adverb-es
"everywhere"-adverb-en "en todas partes"-adverb-es
"en todas partes"-adverb-es "everywhere"-adverb-en
"en todas partes"-adverb-es "all around"-adverb-en
"all around"-adverb-en "en todas partes"-adverb-es
"aproximadamente"-adverb-es "roughly"-adverb-en
"roughly"-adverb-en "aproximadamente"-adverb-es
"previously"-adverb-en "con anterioridad"-adverb-es
"con anterioridad"-adverb-es "previously"-adverb-en
"entirely"-adverb-en "íntegramente"-adverb-es
"íntegramente"-adverb-es "entirely"-adverb-en
"back"-adverb-en "atrás"-adverb-es
"atrás"-adverb-es "back"-adverb-en
"atrás"-adverb-es "backwards"-adverb-en
"backwards"-adverb-en "atrás"-adverb-es
"eel"-noun-en "anguila"-noun-es
"anguila"-noun-es "eel"-noun-en
"carpet"-noun-en "alfombra"-noun-es
"alfombra"-noun-es "carpet"-noun-en
"alfombra"-noun-es "rug"-noun-en
"rug"-noun-en "alfombra"-noun-es
"rug"-noun-en "manta"-noun-es
"bail"-noun-en "fianza"-noun-es
"fianza"-noun-es "bail"-noun-en
"melody"-noun-en "melodía"-noun-es
"melodía"-noun-es "melody"-noun-en
"bag"-noun-en "bolsa"-noun-es
"bag"-noun-en "bolso"-noun-es
"bolsa"-noun-es "bag"-noun-en
"bolso"-noun-es "bag"-noun-en
"crown"-noun-en "corona"-noun-es
"crown"-noun-en "coronilla"-noun-es
"corona"-noun-es "crown"-noun-en
"coronilla"-noun-es "crown"-noun-en
"sleep"-noun-en "sueño"-noun-es
"sueño"-noun-es "sleep"-noun-en
"composer"-noun-en "compositor"-noun-es
"compositor"-noun-es "composer"-noun-en
"compositor"-noun-es "songwriter"-noun-en
"songwriter"-noun-en "compositor"-noun-es
"provision"-noun-en "prestación"-noun-es
"provision"-noun-en "provisión"-noun-es
"prestación"-noun-es "provision"-noun-en
"prestación"-noun-es "benefit"-noun-en
"prestación"-noun-es "feature"-noun-en
"provisión"-noun-es "provision"-noun-en
"benefit"-noun-en "prestación"-noun-es
"benefit"-noun-en "beneficio"-noun-es
"benefit"-noun-en "provecho"-noun-es
"feature"-noun-en "prestación"-noun-es
"feature"-noun-en "característica"-noun-es
"throne"-noun-en "trono"-noun-es
"trono"-noun-es "throne"-noun-en
"service"-noun-en "servicio"-noun-es
"servicio"-noun-es "service"-noun-en
"pavilion"-noun-en "pabellón"-noun-es
"pabellón"-noun-es "pavilion"-noun-en
"runner"-noun-en "corredor"-noun-es
"corredor"-noun-es "runner"-noun-en
"string"-noun-en "cadena"-noun-es
"string"-noun-en "serie"-noun-es
"string"-noun-en "retahíla"-noun-es
"string"-noun-en "cordel"-noun-es
"cadena"-noun-es "string"-noun-en
"cadena"-noun-es "line"-noun-en
"serie"-noun-es "string"-noun-en
"serie"-noun-es "series"-noun-en
"retahíla"-noun-es "string"-noun-en
"cordel"-noun-es "string"-noun-en
"cuerda"-noun-es "rope"-noun-en
"rope"-noun-en "cuerda"-noun-es
"rope"-noun-en "soga"-noun-es
"line"-noun-en "cadena"-noun-es
"line"-noun-en "raya"-noun-es
"line"-noun-en "renglón"-noun-es
"series"-noun-en "serie"-noun-es
"series"-noun-en "racha"-noun-es
"knife"-noun-en "cuchillo"-noun-es
"cuchillo"-noun-es "knife"-noun-en
"weariness"-noun-en "cansancio"-noun-es
"cansancio"-noun-es "weariness"-noun-en
"cheek"-noun-en "mejilla"-noun-es
"mejilla"-noun-es "cheek"-noun-en
"branch"-noun-en "rama"-noun-es
"branch"-noun-en "sucursal"-noun-es
"branch"-noun-en "bifurcación"-noun-es
"rama"-noun-es "branch"-noun-en
"rama"-noun-es "offshoot"-noun-en
"sucursal"-noun-es "branch"-noun-en
"bifurcación"-noun-es "branch"-noun-en
"offshoot"-noun-en "rama"-noun-es
"anger"-noun-en "rabia"-noun-es
"rabia"-noun-es "anger"-noun-en
"rabia"-noun-es "rage"-noun-en
"rage"-noun-en "rabia"-noun-es
"rage"-noun-en "cólera"-noun-es
"bee"-noun-en "abeja"-noun-es
"abeja"-noun-es "bee"-noun-en
"dew"-noun-en "rocío"-noun-es
"rocío"-noun-es "dew"-noun-en
"swarm"-noun-en "enjambre"-noun-es
"enjambre"-noun-es "swarm"-noun-en
"happiness"-noun-en "felicidad"-noun-es
"felicidad"-noun-es "happiness"-noun-en
"ash"-noun-en "ceniza"-noun-es
"ash"-noun-en "fresno"-noun-es
"ceniza"-noun-es "ash"-noun-en
"fresno"-noun-es "ash"-noun-en
"bush"-noun-en "arbusto"-noun-es
"arbusto"-noun-es "bush"-noun-en
"arbusto"-noun-es "shrub"-noun-en
"shrub"-noun-en "arbusto"-noun-es
"velvet"-noun-en "terciopelo"-noun-es
"terciopelo"-noun-es "velvet"-noun-en
"harp"-noun-en "arpa"-noun-es
"harp"-noun-en "garra"-noun-es
"arpa"-noun-es "harp"-noun-en
"garra"-noun-es "harp"-noun-en
"sadness"-noun-en "tristeza"-noun-es
"tristeza"-noun-es "sadness"-noun-en
"exaggeration"-noun-en "exageración"-noun-es
"exageración"-noun-es "exaggeration"-noun-en
"relaxation"-noun-en "relajación"-noun-es
"relajación"-noun-es "relaxation"-noun-en
"firmness"-noun-en "firmeza"-noun-es
"firmeza"-noun-es "firmness"-noun-en
"deportation"-noun-en "deportación"-noun-es
"deportación"-noun-es "deportation"-noun-en
"brutality"-noun-en "brutalidad"-noun-es
"brutalidad"-noun-es "brutality"-noun-en
"espionage"-noun-en "espionaje"-noun-es
"espionaje"-noun-es "espionage"-noun-en
"nicotine"-noun-en "nicotina"-noun-es
"nicotina"-noun-es "nicotine"-noun-en
"irradiation"-noun-en "irradiación"-noun-es
"irradiación"-noun-es "irradiation"-noun-en
"pessimism"-noun-en "pesimismo"-noun-es
"pesimismo"-noun-es "pessimism"-noun-en
"regularity"-noun-en "regularidad"-noun-es
"regularidad"-noun-es "regularity"-noun-en
"nitrate"-noun-en "nitrato"-noun-es
"nitrato"-noun-es "nitrate"-noun-en
"barbarism"-noun-en "barbarismo"-noun-es
"barbarism"-noun-en "barbarie"-noun-es
"barbarismo"-noun-es "barbarism"-noun-en
"barbarie"-noun-es "barbarism"-noun-en
"ecology"-noun-en "ecología"-noun-es
"ecología"-noun-es "ecology"-noun-en
"absurdity"-noun-en "absurdidad"-noun-es
"absurdidad"-noun-es "absurdity"-noun-en
"discontent"-noun-en "disgusto"-noun-es
"disgusto"-noun-es "discontent"-noun-en
"jurisprudence"-noun-en "jurisprudencia"-noun-es
"jurisprudencia"-noun-es "jurisprudence"-noun-en
"deliberation"-noun-en "deliberación"-noun-es
"deliberación"-noun-es "deliberation"-noun-en
"whisky"-noun-en "whisky"-noun-es
"whisky"-noun-es "whisky"-noun-en
"penetration"-noun-en "penetración"-noun-es
"penetración"-noun-es "penetration"-noun-en
"breathing"-noun-en "respiración"-noun-es
"respiración"-noun-es "breathing"-noun-en
"respiración"-noun-es "breath"-noun-en
"breath"-noun-en "respiración"-noun-es
"breath"-noun-en "aliento"-noun-es
"popularity"-noun-en "popularidad"-noun-es
"popularidad"-noun-es "popularity"-noun-en
"ivory"-noun-en "marfil"-noun-es
"marfil"-noun-es "ivory"-noun-en
"distillation"-noun-en "destilación"-noun-es
"destilación"-noun-es "distillation"-noun-en
"homage"-noun-en "homenaje"-noun-es
"homenaje"-noun-es "homage"-noun-en
"humanism"-noun-en "humanismo"-noun-es
"humanismo"-noun-es "humanism"-noun-en
"oxide"-noun-en "óxido"-noun-es
"óxido"-noun-es "oxide"-noun-en
"bitterness"-noun-en "amargura"-noun-es
"bitterness"-noun-en "amargor"-noun-es
"amargura"-noun-es "bitterness"-noun-en
"amargor"-noun-es "bitterness"-noun-en
"siege"-noun-en "asedio"-noun-es
"siege"-noun-en "cerco"-noun-es
"asedio"-noun-es "siege"-noun-en
"cerco"-noun-es "siege"-noun-en
"cerco"-noun-es "ring"-noun-en
"ring"-noun-en "cerco"-noun-es
"ring"-noun-en "anillo"-noun-es
"ring"-noun-en "aro"-noun-es
"ring"-noun-en "círculo"-noun-es
"ring"-noun-en "red"-noun-es
"ring"-noun-en "trompo"-noun-es
"ring"-noun-en "sortija"-noun-es
"ring"-noun-en "anilla"-noun-es
"homosexuality"-noun-en "homosexualidad"-noun-es
"homosexualidad"-noun-es "homosexuality"-noun-en
"rubber"-noun-en "caucho"-noun-es
"rubber"-noun-en "goma"-noun-es
"caucho"-noun-es "rubber"-noun-en
"goma"-noun-es "rubber"-noun-en
"herald"-noun-en "heraldo"-noun-es
"heraldo"-noun-es "herald"-noun-en
"stadium"-noun-en "estadio"-noun-es
"estadio"-noun-es "stadium"-noun-en
"estadio"-noun-es "arena"-noun-en
"arena"-noun-en "estadio"-noun-es
"arena"-noun-en "escenario"-noun-es
"arena"-noun-en "arena"-noun-es
"narcotic"-noun-en "narcótico"-noun-es
"narcótico"-noun-es "narcotic"-noun-en
"tomato"-noun-en "tomate"-noun-es
"tomate"-noun-es "tomato"-noun-en
"familiarity"-noun-en "familiaridad"-noun-es
"familiaridad"-noun-es "familiarity"-noun-en
"journalism"-noun-en "periodismo"-noun-es
"periodismo"-noun-es "journalism"-noun-en
"litany"-noun-en "letanía"-noun-es
"letanía"-noun-es "litany"-noun-en
"fertility"-noun-en "fertilidad"-noun-es
"fertilidad"-noun-es "fertility"-noun-en
"vandalism"-noun-en "vandalismo"-noun-es
"vandalismo"-noun-es "vandalism"-noun-en
