"cualquier"-determiner-es "whatsoever"-determiner-en
"podología"-noun-es "podiatry"-noun-en
"neurasthenia"-noun-en "neurastenia"-noun-es
"neurastenia"-noun-es "neurasthenia"-noun-en
"neuralgia"-noun-en "neuralgia"-noun-es
"neuralgia"-noun-es "neuralgia"-noun-en
"misanthropy"-noun-en "misantropía"-noun-es
"misantropía"-noun-es "misanthropy"-noun-en
"metonymy"-noun-en "metonimia"-noun-es
"metonimia"-noun-es "metonymy"-noun-en
"madrigal"-noun-en "madrigal"-noun-es
"madrigal"-noun-es "madrigal"-noun-en
"hyssop"-noun-en "hisopo"-noun-es
"hisopo"-noun-es "hyssop"-noun-en
"hernia"-noun-en "hernia"-noun-es
"hernia"-noun-es "hernia"-noun-en
"cathode"-noun-en "cátodo"-noun-es
"cátodo"-noun-es "cathode"-noun-en
"cafetería"-noun-es "café"-noun-en
"café"-noun-en "cafetería"-noun-es
"atomism"-noun-en "atomismo"-noun-es
"atomismo"-noun-es "atomism"-noun-en
"anise"-noun-en "anís"-noun-es
"anís"-noun-es "anise"-noun-en
"anís"-noun-es "aniseed"-noun-en
"aniseed"-noun-en "anís"-noun-es
"shamanism"-noun-en "chamanismo"-noun-es
"chamanismo"-noun-es "shamanism"-noun-en
"Marxism"-noun-en "marxismo"-noun-es
"marxismo"-noun-es "Marxism"-noun-en
"Nazism"-noun-en "nazismo"-noun-es
"nazismo"-noun-es "Nazism"-noun-en
"Zionism"-noun-en "sionismo"-noun-es
"sionismo"-noun-es "Zionism"-noun-en
"Taoism"-noun-en "taoísmo"-noun-es
"taoísmo"-noun-es "Taoism"-noun-en
"recuperación"-noun-es "reclamation"-noun-en
"reclamation"-noun-en "recuperación"-noun-es
"bloqueo"-noun-es "blocking"-noun-en
"blocking"-noun-en "bloqueo"-noun-es
"billete"-noun-es "bank note"-noun-en
"billete"-noun-es "banknote"-noun-en
"bank note"-noun-en "billete"-noun-es
"banknote"-noun-en "billete"-noun-es
"alto"-noun-es "alto"-noun-en
"alto"-noun-en "alto"-noun-es
"alto"-noun-en "contralto"-noun-es
"adorno"-noun-es "adornment"-noun-en
"adornment"-noun-en "adorno"-noun-es
"edificio"-noun-es "edifice"-noun-en
"edifice"-noun-en "edificio"-noun-es
"reset"-noun-en "reinicialización"-noun-es
"reinicialización"-noun-es "reset"-noun-en
"registro"-noun-es "registry"-noun-en
"registry"-noun-en "registro"-noun-es
"incompatibility"-noun-en "incompatibilidad"-noun-es
"incompatibilidad"-noun-es "incompatibility"-noun-en
"injusticia"-noun-es "inequity"-noun-en
"inequity"-noun-en "injusticia"-noun-es
"hemeroteca"-noun-es "newspaper library"-noun-en
"newspaper library"-noun-en "hemeroteca"-noun-es
"auditoría"-noun-es "auditing"-noun-en
"auditing"-noun-en "auditoría"-noun-es
"olor"-noun-es "odour"-noun-en
"odour"-noun-en "olor"-noun-es
"reparación"-noun-es "reparation"-noun-en
"reparación"-noun-es "redress"-noun-en
"reparation"-noun-en "reparación"-noun-es
"redress"-noun-en "reparación"-noun-es
"kite"-noun-en "cometa"-noun-es
"cometa"-noun-es "kite"-noun-en
"adjudication"-noun-en "adjudicación"-noun-es
"adjudicación"-noun-es "adjudication"-noun-en
"atajo"-noun-es "short cut"-noun-en
"short cut"-noun-en "atajo"-noun-es
"prisión"-noun-es "lockup"-noun-en
"lockup"-noun-en "prisión"-noun-es
"mango"-noun-es "mango"-noun-en
"mango"-noun-en "mango"-noun-es
"cairn"-noun-en "mojón"-noun-es
"mojón"-noun-es "cairn"-noun-en
"centilitre"-noun-en "centilitro"-noun-es
"centilitro"-noun-es "centilitre"-noun-en
"cuento"-noun-es "short story"-noun-en
"short story"-noun-en "cuento"-noun-es
"paréntesis"-noun-es "parenthesis"-noun-en
"parenthesis"-noun-en "paréntesis"-noun-es
"resumen"-noun-es "round-up"-noun-en
"round-up"-noun-en "resumen"-noun-es
"round-up"-noun-en "rodeo"-noun-es
"compass"-noun-en "compás"-noun-es
"compass"-noun-en "brújula"-noun-es
"compás"-noun-es "compass"-noun-en
"brújula"-noun-es "compass"-noun-en
"alocución"-noun-es "allocution"-noun-en
"allocution"-noun-en "alocución"-noun-es
"restricción"-noun-es "curtailment"-noun-en
"curtailment"-noun-en "restricción"-noun-es
"personaje"-noun-es "personage"-noun-en
"personage"-noun-en "personaje"-noun-es
"compression"-noun-en "compresión"-noun-es
"compresión"-noun-es "compression"-noun-en
"ordenamiento"-noun-es "arranging"-noun-en
"arranging"-noun-en "ordenamiento"-noun-es
"diagnostic"-noun-en "diagnóstico"-noun-es
"diagnóstico"-noun-es "diagnostic"-noun-en
"authentication"-noun-en "autentificación"-noun-es
"autentificación"-noun-es "authentication"-noun-en
"regreso"-noun-es "homecoming"-noun-en
"homecoming"-noun-en "regreso"-noun-es
"retorno"-noun-es "comeback"-noun-en
"comeback"-noun-en "retorno"-noun-es
"comeback"-noun-en "reaparición"-noun-es
"himno"-noun-es "anthem"-noun-en
"anthem"-noun-en "himno"-noun-es
"vertex"-noun-en "vértice"-noun-es
"vértice"-noun-es "vertex"-noun-en
"explosión"-noun-es "outburst"-noun-en
"outburst"-noun-en "explosión"-noun-es
"violet"-noun-en "violeta"-noun-es
"violeta"-noun-es "violet"-noun-en
"adhesión"-noun-es "adhesion"-noun-en
"adhesion"-noun-en "adhesión"-noun-es
"custodia"-noun-es "safekeeping"-noun-en
"safekeeping"-noun-en "custodia"-noun-es
"pradera"-noun-es "grassland"-noun-en
"grassland"-noun-en "pradera"-noun-es
"marca"-noun-es "branding"-noun-en
"branding"-noun-en "marca"-noun-es
"conocimiento"-noun-es "ken"-noun-en
"ken"-noun-en "conocimiento"-noun-es
"estrato"-noun-es "stratum"-noun-en
"stratum"-noun-en "estrato"-noun-es
"anuncio"-noun-es "ad"-noun-en
"ad"-noun-en "anuncio"-noun-es
"firma"-noun-es "byline"-noun-en
"byline"-noun-en "firma"-noun-es
"congratulation"-noun-en "felicitación"-noun-es
"congratulation"-noun-en "enhorabuena"-noun-es
"felicitación"-noun-es "congratulation"-noun-en
"enhorabuena"-noun-es "congratulation"-noun-en
"bramble"-noun-en "zarza"-noun-es
"zarza"-noun-es "bramble"-noun-en
"millilitre"-noun-en "mililitro"-noun-es
"mililitro"-noun-es "millilitre"-noun-en
"mayoría"-noun-es "coming"-noun-en
"coming"-noun-en "mayoría"-noun-es
"salón"-noun-es "living room"-noun-en
"living room"-noun-en "salón"-noun-es
"octagon"-noun-en "octágono"-noun-es
"octágono"-noun-es "octagon"-noun-en
"periódico"-noun-es "daily newspaper"-noun-en
"daily newspaper"-noun-en "periódico"-noun-es
"dolor"-noun-es "ache"-noun-en
"ache"-noun-en "dolor"-noun-es
"polyhedron"-noun-en "poliedro"-noun-es
"poliedro"-noun-es "polyhedron"-noun-en
"poliedro"-noun-es "polihedron"-noun-en
"polihedron"-noun-en "poliedro"-noun-es
"hacienda"-noun-es "inland revenue"-noun-en
"inland revenue"-noun-en "hacienda"-noun-es
"graduación"-noun-es "alcohol content"-noun-en
"alcohol content"-noun-en "graduación"-noun-es
"regla"-noun-es "straightedge"-noun-en
"straightedge"-noun-en "regla"-noun-es
"zero"-noun-en "cero"-noun-es
"cero"-noun-es "zero"-noun-en
"cero"-noun-es "nil"-noun-en
"nil"-noun-en "cero"-noun-es
"tecnología"-noun-es "tech"-noun-en
"tech"-noun-en "tecnología"-noun-es
"telecomunicación"-noun-es "telecom"-noun-en
"telecom"-noun-en "telecomunicación"-noun-es
"golpe"-noun-es "swipe"-noun-en
"swipe"-noun-en "golpe"-noun-es
"tobogán"-noun-es "toboggan"-noun-en
"toboggan"-noun-en "tobogán"-noun-es
"sindicato"-noun-es "trade union"-noun-en
"sindicato"-noun-es "labour union"-noun-en
"trade union"-noun-en "sindicato"-noun-es
"labour union"-noun-en "sindicato"-noun-es
"investigación"-noun-es "inquest"-noun-en
"inquest"-noun-en "investigación"-noun-es
"empress"-noun-en "emperador"-noun-es
"emperador"-noun-es "empress"-noun-en
"exclusivity"-noun-en "exclusividad"-noun-es
"exclusividad"-noun-es "exclusivity"-noun-en
"ribera"-noun-es "riverside"-noun-en
"riverside"-noun-en "ribera"-noun-es
"biodiversity"-noun-en "biodiversidad"-noun-es
"biodiversidad"-noun-es "biodiversity"-noun-en
"placer"-noun-es "placer"-noun-en
"placer"-noun-en "placer"-noun-es
"covariance"-noun-en "covarianza"-noun-es
"covarianza"-noun-es "covariance"-noun-en
"abastecimiento"-noun-es "supplying"-noun-en
"supplying"-noun-en "abastecimiento"-noun-es
"alimentación"-noun-es "feeding"-noun-en
"feeding"-noun-en "alimentación"-noun-es
"informática"-noun-es "computer science"-noun-en
"computer science"-noun-en "informática"-noun-es
"progreso"-noun-es "headway"-noun-en
"headway"-noun-en "progreso"-noun-es
"eficacia"-noun-es "efficacy"-noun-en
"efficacy"-noun-en "eficacia"-noun-es
"derroche"-noun-es "splurge"-noun-en
"splurge"-noun-en "derroche"-noun-es
"abundance"-noun-en "abundancia"-noun-es
"abundancia"-noun-es "abundance"-noun-en
"subdirectory"-noun-en "subdirectorio"-noun-es
"subdirectorio"-noun-es "subdirectory"-noun-en
"jargon"-noun-en "jerga"-noun-es
"jerga"-noun-es "jargon"-noun-en
"magnetism"-noun-en "magnetismo"-noun-es
"magnetismo"-noun-es "magnetism"-noun-en
"distanciamiento"-noun-es "estrangement"-noun-en
"estrangement"-noun-en "distanciamiento"-noun-es
"adaptador"-noun-es "adaptor"-noun-en
"adaptor"-noun-en "adaptador"-noun-es
"finder"-noun-en "visor"-noun-es
"visor"-noun-es "finder"-noun-en
"mixer"-noun-en "batidora"-noun-es
"batidora"-noun-es "mixer"-noun-en
"concejal"-noun-es "alderman"-noun-en
"concejal"-noun-es "alderwoman"-noun-en
"alderman"-noun-en "concejal"-noun-es
"alderwoman"-noun-en "concejal"-noun-es
"analyser"-noun-en "analizador"-noun-es
"analizador"-noun-es "analyser"-noun-en
"designer"-noun-en "diseñador"-noun-es
"diseñador"-noun-es "designer"-noun-en
"emulator"-noun-en "emulador"-noun-es
"emulador"-noun-es "emulator"-noun-en
"heater"-noun-en "calentador"-noun-es
"calentador"-noun-es "heater"-noun-en
"narración"-noun-es "narration"-noun-en
"narration"-noun-en "narración"-noun-es
"podiatrist"-noun-en "podólogo"-noun-es
"podólogo"-noun-es "podiatrist"-noun-en
"byte"-noun-en "byte"-noun-es
"byte"-noun-es "byte"-noun-en
"colina"-noun-es "choline"-noun-en
"choline"-noun-en "colina"-noun-es
"kilobyte"-noun-en "kilobyte"-noun-es
"kilobyte"-noun-es "kilobyte"-noun-en
"die"-noun-en "dado"-noun-es
"dado"-noun-es "die"-noun-en
"lima"-noun-es "lime"-noun-en
"lime"-noun-en "lima"-noun-es
"subvención"-noun-es "subvention"-noun-en
"subvention"-noun-en "subvención"-noun-es
"bote"-noun-es "keelboat"-noun-en
"keelboat"-noun-en "bote"-noun-es
"huelga"-noun-es "walkout"-noun-en
"walkout"-noun-en "huelga"-noun-es
"niñera"-noun-es "baby-sitter"-noun-en
"niñera"-noun-es "baby sitter"-noun-en
"baby-sitter"-noun-en "niñera"-noun-es
"baby sitter"-noun-en "niñera"-noun-es
"signer"-noun-en "firmante"-noun-es
"firmante"-noun-es "signer"-noun-en
"comprador"-noun-es "purchaser"-noun-en
"purchaser"-noun-en "comprador"-noun-es
"longitud"-noun-es "longitude"-noun-en
"longitude"-noun-en "longitud"-noun-es
"cauce"-noun-es "gully"-noun-en
"gully"-noun-en "cauce"-noun-es
"condado"-noun-es "shire"-noun-en
"shire"-noun-en "condado"-noun-es
"hueco"-noun-es "hollow"-noun-en
"hollow"-noun-en "hueco"-noun-es
"hollow"-noun-en "cuenco"-noun-es
"hollow"-noun-en "hondonada"-noun-es
"avión"-noun-es "airliner"-noun-en
"airliner"-noun-en "avión"-noun-es
"chapa"-noun-es "ply"-noun-en
"ply"-noun-en "chapa"-noun-es
"sábana"-noun-es "bedsheet"-noun-en
"bedsheet"-noun-en "sábana"-noun-es
"variable"-noun-en "variable"-noun-es
"variable"-noun-es "variable"-noun-en
"amor"-noun-es "amour"-noun-en
"amour"-noun-en "amor"-noun-es
"dieta"-noun-es "per diem"-noun-en
"per diem"-noun-en "dieta"-noun-es
"congruence"-noun-en "congruencia"-noun-es
"congruencia"-noun-es "congruence"-noun-en
"washing machine"-noun-en "lavadora"-noun-es
"lavadora"-noun-es "washing machine"-noun-en
"marcador"-noun-es "scoreboard"-noun-en
"scoreboard"-noun-en "marcador"-noun-es
"vinculación"-noun-es "bonding"-noun-en
"bonding"-noun-en "vinculación"-noun-es
"abogacía"-noun-es "legal profession"-noun-en
"legal profession"-noun-en "abogacía"-noun-es
"mechanics"-noun-en "mecánico"-noun-es
"mecánico"-noun-es "mechanics"-noun-en
"intercambio"-noun-es "interchange"-noun-en
"intercambio"-noun-es "swapping"-noun-en
"interchange"-noun-en "intercambio"-noun-es
"swapping"-noun-en "intercambio"-noun-es
"trago"-noun-es "swallow"-noun-en
"swallow"-noun-en "trago"-noun-es
"alga"-noun-es "alga"-noun-en
"alga"-noun-en "alga"-noun-es
"particular"-noun-es "private citizen"-noun-en
"private citizen"-noun-en "particular"-noun-es
"prólogo"-noun-es "prologue"-noun-en
"prologue"-noun-en "prólogo"-noun-es
"zorro"-noun-es "vixen"-noun-en
"vixen"-noun-en "zorro"-noun-es
"spoonful"-noun-en "cucharada"-noun-es
"cucharada"-noun-es "spoonful"-noun-en
"adjudicator"-noun-en "adjudicatario"-noun-es
"adjudicatario"-noun-es "adjudicator"-noun-en
"clover"-noun-en "trébol"-noun-es
"trébol"-noun-es "clover"-noun-en
"thistle"-noun-en "cardo"-noun-es
"cardo"-noun-es "thistle"-noun-en
"artefacto"-noun-es "artefact"-noun-en
"artefact"-noun-en "artefacto"-noun-es
"cartón"-noun-es "carton"-noun-en
"carton"-noun-en "cartón"-noun-es
"piece of furniture"-noun-en "mueble"-noun-es
"mueble"-noun-es "piece of furniture"-noun-en
"talla"-noun-es "carving"-noun-en
"carving"-noun-en "talla"-noun-es
"esposo"-noun-es "manacles"-noun-en
"manacles"-noun-en "esposo"-noun-es
"rayo"-noun-es "thunderbolt"-noun-en
"thunderbolt"-noun-en "rayo"-noun-es
"concha"-noun-es "seashell"-noun-en
"seashell"-noun-en "concha"-noun-es
"milenio"-noun-es "millenium"-noun-en
"millenium"-noun-en "milenio"-noun-es
"ensayo"-noun-es "assay"-noun-en
"assay"-noun-en "ensayo"-noun-es
"octet"-noun-en "octeto"-noun-es
"octeto"-noun-es "octet"-noun-en
"interrelación"-noun-es "interrelation"-noun-en
"interrelation"-noun-en "interrelación"-noun-es
"dedo"-noun-es "flip"-noun-en
"flip"-noun-en "dedo"-noun-es
"palo"-noun-es "mast"-noun-en
"mast"-noun-en "palo"-noun-es
"falta"-noun-es "foul"-noun-en
"foul"-noun-en "falta"-noun-es
"sirviente"-noun-es "manservant"-noun-en
"manservant"-noun-en "sirviente"-noun-es
"dragonfly"-noun-en "libélula"-noun-es
"libélula"-noun-es "dragonfly"-noun-en
"corteza"-noun-es "rind"-noun-en
"rind"-noun-en "corteza"-noun-es
"aeródromo"-noun-es "aerodrome"-noun-en
"aerodrome"-noun-en "aeródromo"-noun-es
"vapor"-noun-es "vapour"-noun-en
"vapour"-noun-en "vapor"-noun-es
"vapour"-noun-en "vaho"-noun-es
"capacitación"-noun-es "enabling"-noun-en
"enabling"-noun-en "capacitación"-noun-es
"clamour"-noun-en "clamor"-noun-es
"clamor"-noun-es "clamour"-noun-en
"leek"-noun-en "puerro"-noun-es
"puerro"-noun-es "leek"-noun-en
"orden del día"-noun-es "order of the day"-noun-en
"order of the day"-noun-en "orden del día"-noun-es
"rollo"-noun-es "scroll"-noun-en
"scroll"-noun-en "rollo"-noun-es
"ausente"-adjective-es "absentee"-adjective-en
"absentee"-adjective-en "ausente"-adjective-es
"irregular"-adjective-es "fitful"-adjective-en
"fitful"-adjective-en "irregular"-adjective-es
"ambiental"-adjective-es "ambient"-adjective-en
"ambient"-adjective-en "ambiental"-adjective-es
"integral"-adjective-es "whole-grain"-adjective-en
"whole-grain"-adjective-en "integral"-adjective-es
"insuperable"-adjective-es "insurmountable"-adjective-en
"insurmountable"-adjective-en "insuperable"-adjective-es
"litoral"-adjective-es "longshore"-adjective-en
"longshore"-adjective-en "litoral"-adjective-es
"binomial"-adjective-en "binomial"-adjective-es
"binomial"-adjective-es "binomial"-adjective-en
"satisfactorio"-adjective-es "savings"-adjective-en
"savings"-adjective-en "satisfactorio"-adjective-es
"allowable"-adjective-en "permisible"-adjective-es
"permisible"-adjective-es "allowable"-adjective-en
"ágil"-adjective-es "agile"-adjective-en
"agile"-adjective-en "ágil"-adjective-es
"torpe"-adjective-es "blundering"-adjective-en
"blundering"-adjective-en "torpe"-adjective-es
"congruent"-adjective-en "congruente"-adjective-es
"congruente"-adjective-es "congruent"-adjective-en
"acogedor"-adjective-es "cosy"-adjective-en
"cosy"-adjective-en "acogedor"-adjective-es
"proportional"-adjective-en "proporcional"-adjective-es
"proporcional"-adjective-es "proportional"-adjective-en
"social"-adjective-es "societal"-adjective-en
"societal"-adjective-en "social"-adjective-es
"aceptable"-adjective-es "palatable"-adjective-en
"palatable"-adjective-en "aceptable"-adjective-es
"creciente"-adjective-es "gathering"-adjective-en
"gathering"-adjective-en "creciente"-adjective-es
"accesible"-adjective-es "approachable"-adjective-en
"approachable"-adjective-en "accesible"-adjective-es
"developing"-adjective-en "en desarrollo"-adjective-es
"en desarrollo"-adjective-es "developing"-adjective-en
"two-dimensional"-adjective-en "bidimensional"-adjective-es
"bidimensional"-adjective-es "two-dimensional"-adjective-en
"dental"-adjective-en "dental"-adjective-es
"dental"-adjective-es "dental"-adjective-en
"atractivo"-adjective-es "comely"-adjective-en
"comely"-adjective-en "atractivo"-adjective-es
"depreciable"-adjective-en "amortizable"-adjective-es
"amortizable"-adjective-es "depreciable"-adjective-en
"amortizable"-adjective-es "amortizable"-adjective-en
"amortizable"-adjective-en "amortizable"-adjective-es
"inalámbrico"-adjective-es "cordless"-adjective-en
"cordless"-adjective-en "inalámbrico"-adjective-es
"non-profit"-adjective-en "sin ánimo de lucro"-adjective-es
"sin ánimo de lucro"-adjective-es "non-profit"-adjective-en
"excepcional"-adjective-es "superlative"-adjective-en
"superlative"-adjective-en "excepcional"-adjective-es
"elemental"-adjective-es "elemental"-adjective-en
"elemental"-adjective-en "elemental"-adjective-es
"ascending"-adjective-en "ascendente"-adjective-es
"ascendente"-adjective-es "ascending"-adjective-en
"extensible"-adjective-en "extensible"-adjective-es
"extensible"-adjective-es "extensible"-adjective-en
"executable"-adjective-en "ejecutable"-adjective-es
"ejecutable"-adjective-es "executable"-adjective-en
"desenfadado"-adjective-es "jaunty"-adjective-en
"jaunty"-adjective-en "desenfadado"-adjective-es
"isosceles"-adjective-en "isósceles"-adjective-es
"isósceles"-adjective-es "isosceles"-adjective-en
"beige"-adjective-en "beige"-adjective-es
"beige"-adjective-es "beige"-adjective-en
"comercial"-adjective-es "trading"-adjective-en
"trading"-adjective-en "comercial"-adjective-es
"preparado"-adjective-es "poised"-adjective-en
"poised"-adjective-en "preparado"-adjective-es
"pertinente"-adjective-es "apropos"-adjective-en
"apropos"-adjective-en "pertinente"-adjective-es
"pesimista"-adjective-es "pessimist"-adjective-en
"pessimist"-adjective-en "pesimista"-adjective-es
"lindo"-adjective-es "cute"-adjective-en
"cute"-adjective-en "lindo"-adjective-es
"podrido"-adjective-es "addled"-adjective-en
"addled"-adjective-en "podrido"-adjective-es
"realista"-adjective-es "realist"-adjective-en
"realist"-adjective-en "realista"-adjective-es
"octal"-adjective-en "octal"-adjective-es
"octal"-adjective-es "octal"-adjective-en
"hacer"-verb-es "make up"-verb-en
"make up"-verb-en "hacer"-verb-es
"make up"-verb-en "inventar"-verb-es
"usar"-verb-es "use"-presentParticipleAdjective-en
"use"-presentParticipleAdjective-en "usar"-verb-es
"use"-presentParticipleAdjective-en "utilizar"-verb-es
"utilizar"-verb-es "use"-presentParticipleAdjective-en
"prometer"-verb-es "promise"-presentParticipleAdjective-en
"promise"-presentParticipleAdjective-en "prometer"-verb-es
"reorganizar"-verb-es "shake up"-verb-en
"shake up"-verb-en "reorganizar"-verb-es
"estropear"-verb-es "foul up"-verb-en
"foul up"-verb-en "estropear"-verb-es
"salir"-verb-es "set off for"-verb-en
"set off for"-verb-en "salir"-verb-es
"aumentar"-verb-es "hike up"-verb-en
"hike up"-verb-en "aumentar"-verb-es
"imposibilitar"-verb-es "make impossible"-verb-en
"make impossible"-verb-en "imposibilitar"-verb-es
"olvidar"-verb-es "forget about"-verb-en
"forget about"-verb-en "olvidar"-verb-es
"evaporar"-verb-es "evaporate"-presentParticipleAdjective-en
"evaporate"-presentParticipleAdjective-en "evaporar"-verb-es
"responder"-verb-es "reply"-presentParticipleAdjective-en
"reply"-presentParticipleAdjective-en "responder"-verb-es
"apoyar"-verb-es "support"-presentParticipleAdjective-en
"support"-presentParticipleAdjective-en "apoyar"-verb-es
"support"-presentParticipleAdjective-en "apadrinar"-verb-es
"apadrinar"-verb-es "support"-presentParticipleAdjective-en
"acordar"-verb-es "remind"-presentParticipleAdjective-en
"remind"-presentParticipleAdjective-en "acordar"-verb-es
"remind"-presentParticipleAdjective-en "recordar"-verb-es
"recordar"-verb-es "remind"-presentParticipleAdjective-en
"cansar"-verb-es "tire"-presentParticipleAdjective-en
"tire"-presentParticipleAdjective-en "cansar"-verb-es
"bloquear"-verb-es "blow out of the water"-verb-en
"blow out of the water"-verb-en "bloquear"-verb-es
"florecer"-verb-es "flower"-presentParticipleAdjective-en
"flower"-presentParticipleAdjective-en "florecer"-verb-es
"gritar"-verb-es "cry"-presentParticipleAdjective-en
"cry"-presentParticipleAdjective-en "gritar"-verb-es
"cry"-presentParticipleAdjective-en "llorar"-verb-es
"criar"-verb-es "breed"-presentParticipleAdjective-en
"breed"-presentParticipleAdjective-en "criar"-verb-es
"mantener"-verb-es "maintain"-presentParticipleAdjective-en
"maintain"-presentParticipleAdjective-en "mantener"-verb-es
"alcanzar"-verb-es "reach"-presentParticipleAdjective-en
"reach"-presentParticipleAdjective-en "alcanzar"-verb-es
"reach"-presentParticipleAdjective-en "lograr"-verb-es
"amar"-verb-es "love"-presentParticipleAdjective-en
"love"-presentParticipleAdjective-en "amar"-verb-es
"love"-presentParticipleAdjective-en "encantar"-verb-es
"love"-presentParticipleAdjective-en "querer"-verb-es
"encantar"-verb-es "love"-presentParticipleAdjective-en
"querer"-verb-es "love"-presentParticipleAdjective-en
"querer"-verb-es "want"-presentParticipleAdjective-en
"want"-presentParticipleAdjective-en "querer"-verb-es
"confundir"-verb-es "confuse the heck out of"-verb-en
"confundir"-verb-es "confuse the hell out of"-verb-en
"confuse the heck out of"-verb-en "confundir"-verb-es
"confuse the hell out of"-verb-en "confundir"-verb-es
"desperdigar"-verb-es "scatter"-presentParticipleAdjective-en
"scatter"-presentParticipleAdjective-en "desperdigar"-verb-es
"scatter"-presentParticipleAdjective-en "escampar"-verb-es
"scatter"-presentParticipleAdjective-en "esparcir"-verb-es
"escampar"-verb-es "scatter"-presentParticipleAdjective-en
"esparcir"-verb-es "scatter"-presentParticipleAdjective-en
"agitar"-verb-es "churn up"-verb-en
"churn up"-verb-en "agitar"-verb-es
"mirar"-verb-es "look"-presentParticipleAdjective-en
"look"-presentParticipleAdjective-en "mirar"-verb-es
"look"-presentParticipleAdjective-en "aparentar"-verb-es
"look"-presentParticipleAdjective-en "parecer"-verb-es
"apalear"-verb-es "beat"-presentParticipleAdjective-en
"beat"-presentParticipleAdjective-en "apalear"-verb-es
"beat"-presentParticipleAdjective-en "batir"-verb-es
"batir"-verb-es "beat"-presentParticipleAdjective-en
"conmemorar"-verb-es "memorialize"-verb-en
"memorialize"-verb-en "conmemorar"-verb-es
"llorar"-verb-es "cry"-presentParticipleAdjective-en
"ahorcar"-verb-es "hang"-presentParticipleAdjective-en
"hang"-presentParticipleAdjective-en "ahorcar"-verb-es
"hang"-presentParticipleAdjective-en "colgar"-verb-es
"hang"-presentParticipleAdjective-en "pender"-verb-es
"colgar"-verb-es "hang"-presentParticipleAdjective-en
"colgar"-verb-es "hang -up"-verb-en
"hang -up"-verb-en "colgar"-verb-es
"pender"-verb-es "hang"-presentParticipleAdjective-en
"vagar"-verb-es "wander"-presentParticipleAdjective-en
"wander"-presentParticipleAdjective-en "vagar"-verb-es
"estar de acuerdo"-verb-es "go along with"-verb-en
