"l"-noun-oc "l"-noun-fr
"nosautres"-pronoun-oc "nous"-pronoun-fr
"nous"-pronoun-fr "nosautres"-pronoun-oc
"me"-pronoun-oc "me"-pronoun-fr
"me"-pronoun-fr "me"-pronoun-oc
"te"-pronoun-oc "te"-pronoun-fr
"te"-pronoun-fr "te"-pronoun-oc
"leur"-pronoun-fr "li"-pronoun-oc
"i"-pronoun-oc "y"-pronoun-fr
"y"-pronoun-fr "i"-pronoun-oc
"qué"-pronoun-oc "que"-relativePronoun-fr
"que"-relativePronoun-fr "qué"-pronoun-oc
"que"-relativePronoun-fr "que"-relativePronoun-oc
"que"-relativePronoun-oc "que"-relativePronoun-fr
"que"-relativePronoun-oc "qui"-relativePronoun-fr
"quelque chose"-pronoun-fr "quauquarrés"-pronoun-oc
"quauquarrés"-pronoun-oc "quelque chose"-pronoun-fr
"quin"-pronoun-oc "quel"-pronoun-fr
"quel"-pronoun-fr "quin"-pronoun-oc
"quel"-pronoun-fr "quau"-pronoun-oc
"quau"-pronoun-oc "quel"-pronoun-fr
"qual"-pronoun-oc "qui"-relativePronoun-fr
"qui"-relativePronoun-fr "que"-relativePronoun-oc
"qui"-relativePronoun-fr "qual"-pronoun-oc
"quin"-adjective-oc "quel"-adjective-fr
"quel"-adjective-fr "quin"-adjective-oc
"quel"-adjective-fr "quau"-adjective-oc
"quau"-adjective-oc "quel"-adjective-fr
"quant"-pronoun-oc "combien"-pronoun-fr
"combien"-pronoun-fr "quant"-pronoun-oc
"ont"-adverb-oc "où"-relativePronoun-fr
"où"-relativePronoun-fr "ont"-adverb-oc
"où"-relativePronoun-fr "ont"-relativePronoun-oc
"où"-adverb-fr "ont"-relativePronoun-oc
"ont"-relativePronoun-oc "où"-relativePronoun-fr
"ont"-relativePronoun-oc "où"-adverb-fr
"un"-determiner-oc "un"-determiner-fr
"un"-determiner-fr "un"-determiner-oc
"cap de"-determiner-oc "aucun"-determiner-fr
"aucun"-determiner-fr "cap de"-determiner-oc
"aucun"-determiner-fr "cap"-determiner-oc
"cap"-determiner-oc "aucun"-determiner-fr
"lo mieu"-pronoun-oc "le mien"-pronoun-fr
"le mien"-pronoun-fr "lo mieu"-pronoun-oc
"le mien"-pronoun-fr "eth mèn"-pronoun-oc
"eth mèn"-pronoun-oc "le mien"-pronoun-fr
"lo tieu"-pronoun-oc "le tien"-pronoun-fr
"le tien"-pronoun-fr "lo tieu"-pronoun-oc
"lo sieu"-pronoun-oc "le sien"-pronoun-fr
"le sien"-pronoun-fr "lo sieu"-pronoun-oc
"lo nòstre"-pronoun-oc "le nôtre"-pronoun-fr
"le nôtre"-pronoun-fr "lo nòstre"-pronoun-oc
"lo vòstre"-pronoun-oc "le vôtre"-pronoun-fr
"le vôtre"-pronoun-fr "lo vòstre"-pronoun-oc
"lo que"-noun-oc "celui que"-relativePronoun-fr
"lo que"-noun-oc "celui qui"-relativePronoun-fr
"celui que"-relativePronoun-fr "lo que"-noun-oc
"celui que"-relativePronoun-fr "lo que"-relativePronoun-oc
"celui que"-relativePronoun-fr "lo qui"-noun-oc
"celui que"-relativePronoun-fr "lo qui"-relativePronoun-oc
"celui qui"-relativePronoun-fr "lo que"-noun-oc
"celui qui"-relativePronoun-fr "lo que"-relativePronoun-oc
"celui qui"-relativePronoun-fr "lo qui"-noun-oc
"celui qui"-relativePronoun-fr "lo qui"-relativePronoun-oc
"lo que"-relativePronoun-oc "celui que"-relativePronoun-fr
"lo que"-relativePronoun-oc "celui qui"-relativePronoun-fr
"lo qui"-noun-oc "celui que"-relativePronoun-fr
"lo qui"-noun-oc "celui qui"-relativePronoun-fr
"lo qui"-relativePronoun-oc "celui que"-relativePronoun-fr
"lo qui"-relativePronoun-oc "celui qui"-relativePronoun-fr
"dont"-relativePronoun-oc "dont"-relativePronoun-fr
"dont"-relativePronoun-fr "dont"-relativePronoun-oc
"zèro"-numeral-oc "zéro"-numeral-fr
"zéro"-numeral-fr "zèro"-numeral-oc
"un"-numeral-oc "un"-numeral-fr
"un"-numeral-fr "un"-numeral-oc
"dos"-numeral-oc "deux"-numeral-fr
"deux"-numeral-fr "dos"-numeral-oc
"deux"-numeral-fr "dus"-numeral-oc
"dus"-numeral-oc "deux"-numeral-fr
"tres"-numeral-oc "trois"-numeral-fr
"trois"-numeral-fr "tres"-numeral-oc
"quatre"-numeral-oc "quatre"-numeral-fr
"quatre"-numeral-fr "quatre"-numeral-oc
"quatre"-numeral-fr "quate"-numeral-oc
"quate"-numeral-oc "quatre"-numeral-fr
"cinc"-numeral-oc "cinq"-numeral-fr
"cinq"-numeral-fr "cinc"-numeral-oc
"sièis"-numeral-oc "six"-numeral-fr
"six"-numeral-fr "sièis"-numeral-oc
"sèt"-numeral-oc "sept"-numeral-fr
"sept"-numeral-fr "sèt"-numeral-oc
"uèch"-numeral-oc "huit"-numeral-fr
"huit"-numeral-fr "uèch"-numeral-oc
"huit"-numeral-fr "uèit"-numeral-oc
"huit"-numeral-fr "ueit"-numeral-oc
"uèit"-numeral-oc "huit"-numeral-fr
"ueit"-numeral-oc "huit"-numeral-fr
"nòu"-numeral-oc "neuf"-numeral-fr
"neuf"-numeral-fr "nòu"-numeral-oc
"neuf"-numeral-fr "nau"-numeral-oc
"nau"-numeral-oc "neuf"-numeral-fr
"onze"-numeral-oc "onze"-numeral-fr
"onze"-numeral-fr "onze"-numeral-oc
"dotze"-numeral-oc "douze"-numeral-fr
"douze"-numeral-fr "dotze"-numeral-oc
"tretze"-numeral-oc "treize"-numeral-fr
"treize"-numeral-fr "tretze"-numeral-oc
"quatorze"-numeral-fr "catorze"-numeral-oc
"catorze"-numeral-oc "quatorze"-numeral-fr
"quinze"-numeral-oc "quinze"-numeral-fr
"quinze"-numeral-fr "quinze"-numeral-oc
"setze"-numeral-oc "seize"-numeral-fr
"seize"-numeral-fr "setze"-numeral-oc
"dètz-e-nòu"-numeral-oc "dix-neuf"-numeral-fr
"dix-neuf"-numeral-fr "dètz-e-nòu"-numeral-oc
"vint"-numeral-oc "vingt"-numeral-fr
"vingt"-numeral-fr "vint"-numeral-oc
"vint-e-un"-numeral-oc "vingt et un"-numeral-fr
"vint-e-un"-numeral-oc "vingt-et-un"-numeral-fr
"vingt et un"-numeral-fr "vint-e-un"-numeral-oc
"vingt-et-un"-numeral-fr "vint-e-un"-numeral-oc
"vint-e-dos"-numeral-oc "vingt-deux"-numeral-fr
"vingt-deux"-numeral-fr "vint-e-dos"-numeral-oc
"vint-e-tres"-numeral-oc "vingt-trois"-numeral-fr
"vingt-trois"-numeral-fr "vint-e-tres"-numeral-oc
"vint-e-quatre"-numeral-oc "vingt-quatre"-numeral-fr
"vingt-quatre"-numeral-fr "vint-e-quatre"-numeral-oc
"vint-e-cinc"-numeral-oc "vingt-cinq"-numeral-fr
"vingt-cinq"-numeral-fr "vint-e-cinc"-numeral-oc
"vint-e-sièis"-numeral-oc "vingt-six"-numeral-fr
"vingt-six"-numeral-fr "vint-e-sièis"-numeral-oc
"vint-e-sèt"-numeral-oc "vingt-sept"-numeral-fr
"vingt-sept"-numeral-fr "vint-e-sèt"-numeral-oc
"vint-e-uèch"-numeral-oc "vingt-huit"-numeral-fr
"vingt-huit"-numeral-fr "vint-e-uèch"-numeral-oc
"vingt-huit"-numeral-fr "vint-e-uèit"-numeral-oc
"vint-e-uèit"-numeral-oc "vingt-huit"-numeral-fr
"vingt-neuf"-numeral-fr "vint-e-nau"-numeral-oc
"vint-e-nau"-numeral-oc "vingt-neuf"-numeral-fr
"trenta"-numeral-oc "trente"-numeral-fr
"trente"-numeral-fr "trenta"-numeral-oc
"trenta un"-numeral-oc "trente et un"-numeral-fr
"trenta un"-numeral-oc "trente-et-un"-numeral-fr
"trente et un"-numeral-fr "trenta un"-numeral-oc
"trente-et-un"-numeral-fr "trenta un"-numeral-oc
"trenta dos"-numeral-oc "trente-deux"-numeral-fr
"trente-deux"-numeral-fr "trenta dos"-numeral-oc
"trenta tres"-numeral-oc "trente-trois"-numeral-fr
"trente-trois"-numeral-fr "trenta tres"-numeral-oc
"trenta quatre"-numeral-oc "trente-quatre"-numeral-fr
"trente-quatre"-numeral-fr "trenta quatre"-numeral-oc
"trenta cinc"-numeral-oc "trente-cinq"-numeral-fr
"trente-cinq"-numeral-fr "trenta cinc"-numeral-oc
"trenta sièis"-numeral-oc "trente-six"-numeral-fr
"trente-six"-numeral-fr "trenta sièis"-numeral-oc
"trenta sèt"-numeral-oc "trente-sept"-numeral-fr
"trente-sept"-numeral-fr "trenta sèt"-numeral-oc
"trenta uèch"-numeral-oc "trente-huit"-numeral-fr
"trente-huit"-numeral-fr "trenta uèch"-numeral-oc
"trente-huit"-numeral-fr "trenta uèit"-numeral-oc
"trenta uèit"-numeral-oc "trente-huit"-numeral-fr
"trenta nòu"-numeral-oc "quarante-neuf"-numeral-fr
"quarante-neuf"-numeral-fr "trenta nòu"-numeral-oc
"quarante-neuf"-numeral-fr "trenta nau"-numeral-oc
"quarante-neuf"-numeral-fr "quaranta nòu"-numeral-oc
"quarante-neuf"-numeral-fr "quaranta nau"-numeral-oc
"trenta nau"-numeral-oc "quarante-neuf"-numeral-fr
"quaranta nòu"-numeral-oc "quarante-neuf"-numeral-fr
"quaranta nau"-numeral-oc "quarante-neuf"-numeral-fr
"quaranta"-numeral-oc "quarante"-numeral-fr
"quarante"-numeral-fr "quaranta"-numeral-oc
"quaranta un"-numeral-oc "quarante et un"-numeral-fr
"quaranta un"-numeral-oc "quarante-et-un"-numeral-fr
"quarante et un"-numeral-fr "quaranta un"-numeral-oc
"quarante-et-un"-numeral-fr "quaranta un"-numeral-oc
"quaranta dos"-numeral-oc "quarante-deux"-numeral-fr
"quarante-deux"-numeral-fr "quaranta dos"-numeral-oc
"quaranta tres"-numeral-oc "quarante-trois"-numeral-fr
"quarante-trois"-numeral-fr "quaranta tres"-numeral-oc
"quaranta quatre"-numeral-oc "quarante-quatre"-numeral-fr
"quarante-quatre"-numeral-fr "quaranta quatre"-numeral-oc
"quaranta cinc"-numeral-oc "quarante-cinq"-numeral-fr
"quarante-cinq"-numeral-fr "quaranta cinc"-numeral-oc
"quaranta sièis"-numeral-oc "quarante-six"-numeral-fr
"quarante-six"-numeral-fr "quaranta sièis"-numeral-oc
"quaranta uèch"-numeral-oc "quarante-huit"-numeral-fr
"quarante-huit"-numeral-fr "quaranta uèch"-numeral-oc
"quarante-huit"-numeral-fr "quaranta uèit"-numeral-oc
"quaranta uèit"-numeral-oc "quarante-huit"-numeral-fr
"cinquanta"-numeral-oc "cinquante"-numeral-fr
"cinquante"-numeral-fr "cinquanta"-numeral-oc
"cinquanta un"-numeral-oc "cinquante et un"-numeral-fr
"cinquanta un"-numeral-oc "cinquante-et-un"-numeral-fr
"cinquante et un"-numeral-fr "cinquanta un"-numeral-oc
"cinquante-et-un"-numeral-fr "cinquanta un"-numeral-oc
"cinquanta dos"-numeral-oc "cinquante-deux"-numeral-fr
"cinquante-deux"-numeral-fr "cinquanta dos"-numeral-oc
"cinquanta tres"-numeral-oc "cinquante-trois"-numeral-fr
"cinquante-trois"-numeral-fr "cinquanta tres"-numeral-oc
"cinquanta quatre"-numeral-oc "cinquante-quatre"-numeral-fr
"cinquante-quatre"-numeral-fr "cinquanta quatre"-numeral-oc
"cinquanta cinc"-numeral-oc "cinquante-cinq"-numeral-fr
"cinquante-cinq"-numeral-fr "cinquanta cinc"-numeral-oc
"cinquanta sièis"-numeral-oc "cinquante-six"-numeral-fr
"cinquante-six"-numeral-fr "cinquanta sièis"-numeral-oc
"cinquanta sèt"-numeral-oc "cinquante-sept"-numeral-fr
"cinquante-sept"-numeral-fr "cinquanta sèt"-numeral-oc
"cinquanta uèch"-numeral-oc "cinquante-huit"-numeral-fr
"cinquante-huit"-numeral-fr "cinquanta uèch"-numeral-oc
"cinquante-huit"-numeral-fr "cinquanta uèit"-numeral-oc
"cinquanta uèit"-numeral-oc "cinquante-huit"-numeral-fr
"cinquanta nòu"-numeral-oc "cinquante-neuf"-numeral-fr
"cinquante-neuf"-numeral-fr "cinquanta nòu"-numeral-oc
"cinquante-neuf"-numeral-fr "cinquanta nau"-numeral-oc
"cinquanta nau"-numeral-oc "cinquante-neuf"-numeral-fr
"seissanta"-numeral-oc "soixante"-numeral-fr
"soixante"-numeral-fr "seissanta"-numeral-oc
"seissanta un"-numeral-oc "soixante et un"-numeral-fr
"seissanta un"-numeral-oc "soixante-et-un"-numeral-fr
"soixante et un"-numeral-fr "seissanta un"-numeral-oc
"soixante-et-un"-numeral-fr "seissanta un"-numeral-oc
"seissanta dos"-numeral-oc "soixante-deux"-numeral-fr
"soixante-deux"-numeral-fr "seissanta dos"-numeral-oc
"seissanta tres"-numeral-oc "soixante-trois"-numeral-fr
"soixante-trois"-numeral-fr "seissanta tres"-numeral-oc
"seissanta quatre"-numeral-oc "soixante-quatre"-numeral-fr
"soixante-quatre"-numeral-fr "seissanta quatre"-numeral-oc
"seissanta cinc"-numeral-oc "soixante-cinq"-numeral-fr
"soixante-cinq"-numeral-fr "seissanta cinc"-numeral-oc
"seissanta sièis"-numeral-oc "soixante-six"-numeral-fr
"soixante-six"-numeral-fr "seissanta sièis"-numeral-oc
"seissanta sèt"-numeral-oc "soixante-sept"-numeral-fr
"soixante-sept"-numeral-fr "seissanta sèt"-numeral-oc
"seissanta uèch"-numeral-oc "soixante-huit"-numeral-fr
"soixante-huit"-numeral-fr "seissanta uèch"-numeral-oc
"soixante-huit"-numeral-fr "seissanta uèit"-numeral-oc
"seissanta uèit"-numeral-oc "soixante-huit"-numeral-fr
"seissanta nòu"-numeral-oc "soixante-neuf"-numeral-fr
"soixante-neuf"-numeral-fr "seissanta nòu"-numeral-oc
"setanta"-numeral-oc "soixante-dix"-numeral-fr
"soixante-dix"-numeral-fr "setanta"-numeral-oc
"setanta un"-numeral-oc "soixante-et-onze"-numeral-fr
"soixante-et-onze"-numeral-fr "setanta un"-numeral-oc
"setanta dos"-numeral-oc "soixante-douze"-numeral-fr
"soixante-douze"-numeral-fr "setanta dos"-numeral-oc
"setanta tres"-numeral-oc "soixante-treize"-numeral-fr
"soixante-treize"-numeral-fr "setanta tres"-numeral-oc
"setanta quatre"-numeral-oc "soixante-quatorze"-numeral-fr
"soixante-quatorze"-numeral-fr "setanta quatre"-numeral-oc
"setanta cinc"-numeral-oc "soixante-quinze"-numeral-fr
"soixante-quinze"-numeral-fr "setanta cinc"-numeral-oc
"setanta sièis"-numeral-oc "soixante-seize"-numeral-fr
"soixante-seize"-numeral-fr "setanta sièis"-numeral-oc
"setanta sèt"-numeral-oc "soixante-dix-sept"-numeral-fr
"soixante-dix-sept"-numeral-fr "setanta sèt"-numeral-oc
"setanta uèch"-numeral-oc "soixante-dix-huit"-numeral-fr
"soixante-dix-huit"-numeral-fr "setanta uèch"-numeral-oc
"soixante-dix-huit"-numeral-fr "setanta uèit"-numeral-oc
"setanta uèit"-numeral-oc "soixante-dix-huit"-numeral-fr
"setanta nòu"-numeral-oc "soixante-dix-neuf"-numeral-fr
"soixante-dix-neuf"-numeral-fr "setanta nòu"-numeral-oc
"soixante-dix-neuf"-numeral-fr "setanta nau"-numeral-oc
"setanta nau"-numeral-oc "soixante-dix-neuf"-numeral-fr
"ochanta"-numeral-oc "quatre-vingt"-numeral-fr
"quatre-vingt"-numeral-fr "ochanta"-numeral-oc
"quatre-vingt"-numeral-fr "oitanta"-numeral-oc
"quatre-vingt"-numeral-fr "ueitanta"-numeral-oc
"oitanta"-numeral-oc "quatre-vingt"-numeral-fr
"ueitanta"-numeral-oc "quatre-vingt"-numeral-fr
"ochanta un"-numeral-oc "quatre-vingt-un"-numeral-fr
"quatre-vingt-un"-numeral-fr "ochanta un"-numeral-oc
"quatre-vingt-un"-numeral-fr "oitanta un"-numeral-oc
"quatre-vingt-un"-numeral-fr "ueitanta un"-numeral-oc
"oitanta un"-numeral-oc "quatre-vingt-un"-numeral-fr
"ueitanta un"-numeral-oc "quatre-vingt-un"-numeral-fr
"ochanta dos"-numeral-oc "quatre-vingt-deux"-numeral-fr
"quatre-vingt-deux"-numeral-fr "ochanta dos"-numeral-oc
"quatre-vingt-deux"-numeral-fr "oitanta dos"-numeral-oc
"oitanta dos"-numeral-oc "quatre-vingt-deux"-numeral-fr
"ochanta tres"-numeral-oc "quatre-vingt-trois"-numeral-fr
"quatre-vingt-trois"-numeral-fr "ochanta tres"-numeral-oc
"quatre-vingt-trois"-numeral-fr "oitanta tres"-numeral-oc
"quatre-vingt-trois"-numeral-fr "ueitanta tres"-numeral-oc
"oitanta tres"-numeral-oc "quatre-vingt-trois"-numeral-fr
"ueitanta tres"-numeral-oc "quatre-vingt-trois"-numeral-fr
"ochanta quatre"-numeral-oc "quatre-vingt-quatre"-numeral-fr
"quatre-vingt-quatre"-numeral-fr "ochanta quatre"-numeral-oc
"quatre-vingt-quatre"-numeral-fr "oitanta quatre"-numeral-oc
"oitanta quatre"-numeral-oc "quatre-vingt-quatre"-numeral-fr
"ochanta cinc"-numeral-oc "quatre-vingt-cinq"-numeral-fr
"quatre-vingt-cinq"-numeral-fr "ochanta cinc"-numeral-oc
"quatre-vingt-cinq"-numeral-fr "oitanta cinc"-numeral-oc
"quatre-vingt-cinq"-numeral-fr "ueitanta cinc"-numeral-oc
"oitanta cinc"-numeral-oc "quatre-vingt-cinq"-numeral-fr
"ueitanta cinc"-numeral-oc "quatre-vingt-cinq"-numeral-fr
"ochanta sièis"-numeral-oc "quatre-vingt-six"-numeral-fr
"quatre-vingt-six"-numeral-fr "ochanta sièis"-numeral-oc
"quatre-vingt-six"-numeral-fr "oitanta sièis"-numeral-oc
"oitanta sièis"-numeral-oc "quatre-vingt-six"-numeral-fr
"ochanta sèt"-numeral-oc "quatre-vingt-sept"-numeral-fr
"quatre-vingt-sept"-numeral-fr "ochanta sèt"-numeral-oc
"quatre-vingt-sept"-numeral-fr "oitanta sèt"-numeral-oc
"quatre-vingt-sept"-numeral-fr "ueitanta sèt"-numeral-oc
"oitanta sèt"-numeral-oc "quatre-vingt-sept"-numeral-fr
"ueitanta sèt"-numeral-oc "quatre-vingt-sept"-numeral-fr
"ochanta uèch"-numeral-oc "quatre-vingt-huit"-numeral-fr
"quatre-vingt-huit"-numeral-fr "ochanta uèch"-numeral-oc
"quatre-vingt-huit"-numeral-fr "oitanta uèit"-numeral-oc
"oitanta uèit"-numeral-oc "quatre-vingt-huit"-numeral-fr
"ochanta nòu"-numeral-oc "quatre-vingt-neuf"-numeral-fr
"quatre-vingt-neuf"-numeral-fr "ochanta nòu"-numeral-oc
"quatre-vingt-neuf"-numeral-fr "oitanta nòu"-numeral-oc
"quatre-vingt-neuf"-numeral-fr "ueitanta nau"-numeral-oc
"oitanta nòu"-numeral-oc "quatre-vingt-neuf"-numeral-fr
"ueitanta nau"-numeral-oc "quatre-vingt-neuf"-numeral-fr
"nonanta"-numeral-oc "quatre-vingt-dix"-numeral-fr
"quatre-vingt-dix"-numeral-fr "nonanta"-numeral-oc
"nonanta un"-numeral-oc "quatre-vingt-onze"-numeral-fr
"quatre-vingt-onze"-numeral-fr "nonanta un"-numeral-oc
"nonanta dos"-numeral-oc "quatre-vingt-douze"-numeral-fr
"quatre-vingt-douze"-numeral-fr "nonanta dos"-numeral-oc
"nonanta tres"-numeral-oc "quatre-vingt-treize"-numeral-fr
"quatre-vingt-treize"-numeral-fr "nonanta tres"-numeral-oc
"nonanta quatre"-numeral-oc "quatre-vingt-quatorze"-numeral-fr
"quatre-vingt-quatorze"-numeral-fr "nonanta quatre"-numeral-oc
"nonanta cinc"-numeral-oc "quatre-vingt-quinze"-numeral-fr
"quatre-vingt-quinze"-numeral-fr "nonanta cinc"-numeral-oc
"nonanta sièis"-numeral-oc "quatre-vingt-seize"-numeral-fr
"quatre-vingt-seize"-numeral-fr "nonanta sièis"-numeral-oc
"nonanta sèt"-numeral-oc "quatre-vingt-dix-sept"-numeral-fr
"quatre-vingt-dix-sept"-numeral-fr "nonanta sèt"-numeral-oc
"nonanta uèch"-numeral-oc "quatre-vingt-dix-huit"-numeral-fr
"quatre-vingt-dix-huit"-numeral-fr "nonanta uèch"-numeral-oc
"quatre-vingt-dix-huit"-numeral-fr "nonanta uèit"-numeral-oc
"nonanta uèit"-numeral-oc "quatre-vingt-dix-huit"-numeral-fr
"nonanta nòu"-numeral-oc "quatre-vingt-dix-neuf"-numeral-fr
"quatre-vingt-dix-neuf"-numeral-fr "nonanta nòu"-numeral-oc
"cent"-numeral-oc "cent"-numeral-fr
"cent"-numeral-fr "cent"-numeral-oc
"dos cents"-numeral-oc "deux cent"-numeral-fr
"deux cent"-numeral-fr "dos cents"-numeral-oc
"tres cents"-numeral-oc "trois cent"-numeral-fr
