proper	adjective	en	adecuado	adjective	es	Y
visually	adverb	en	visualmente	adverb	es	Y
abolish	verb	en	abrogar	verb	es	Y
investigator	noun	en	investigador	noun	es	Y
gateway	noun	en	portal	noun	es	Y
likewise	adverb	en	igualmente	adverb	es	Y
Finnish	adjective	en	finés	adjective	es	Y
sixty	two	numeral	sesenta y dos	numeral	es	Y
essentially	adverb	en	máxime	adverb	es	N
like this	adverb	en	tanto	adverb	es	N
timid	adjective	en	cobarde	adjective	es	Y
sixtieth	adjective	en	sexagésimo	adjective	es	Y
cup	noun	en	cáliz	noun	es	Y
especially	adverb	en	particularmente	adverb	es	Y
damage	verb	en	estropear	verb	es	Y
set off	verb	en	salir	verb	es	Y
encouraging	adjective	en	esperanzador	adjective	es	Y
stuff	verb	en	rellenar	verb	es	Y
hunger	noun	en	antojo	noun	es	N
complete	adjective	en	total	adjective	es	Y
wholly	adverb	en	por entero	adverb	es	Y
prime	adjective	en	primero	adjective	es	Y
Wikipedia	properNoun	en	Viquipèdia	properNoun	es	N
the UK	properNoun	en	Reino Unido	properNoun	es	N
Bosnian	noun	en	bosnio	noun	es	Y
with great difficulty	adverb	en	apenas	adverb	es	Y
Scottish	adjective	en	escocés	adjective	es	Y
ECB	properNoun	en	BCE	properNoun	es	Y
jam	verb	en	bloquear	verb	es	Y
Second World War	properNoun	en	Primera Guerra mundial	properNoun	es	N
Castile	properNoun	en	Castella	properNoun	es	N
