"cuando"-relativePronoun-es "quan"-relativePronoun-oc
"lingüístico"-adjective-es "lingüístic"-adjective-oc
"lingüístic"-adjective-oc "lingüístico"-adjective-es
"otro"-adjective-es "d'aute"-adjective-oc
"otro"-adjective-es "d'autre"-adjective-oc
"otro"-adjective-es "un aute"-adjective-oc
"otro"-adjective-es "un autre"-adjective-oc
"d'aute"-adjective-oc "otro"-adjective-es
"d'autre"-adjective-oc "otro"-adjective-es
"un aute"-adjective-oc "otro"-adjective-es
"un autre"-adjective-oc "otro"-adjective-es
"gratuitamente"-adverb-es "de franc"-adverb-oc
"de franc"-adverb-oc "gratuitamente"-adverb-es
"demasiado"-adverb-es "massa"-adverb-oc
"massa"-adverb-oc "demasiado"-adverb-es
"por otro lado"-adverb-es "per un aute costat"-adverb-oc
"por otro lado"-adverb-es "per un autre costat"-adverb-oc
"per un aute costat"-adverb-oc "por otro lado"-adverb-es
"per un autre costat"-adverb-oc "por otro lado"-adverb-es
"por primera vez"-adverb-es "per prumèr còp"-adverb-oc
"por primera vez"-adverb-es "per prumèr viatge"-adverb-oc
"per prumèr còp"-adverb-oc "por primera vez"-adverb-es
"per prumèr viatge"-adverb-oc "por primera vez"-adverb-es
"directamente"-adverb-es "directament"-adverb-oc
"directament"-adverb-oc "directamente"-adverb-es
"especialmente"-adverb-es "especiuament"-adverb-oc
"especiuament"-adverb-oc "especialmente"-adverb-es
"aderezar"-verb-es "amanir"-verb-oc
"amanir"-verb-oc "aderezar"-verb-es
"amanir"-verb-oc "aliñar"-verb-es
"instar"-verb-es "instar"-verb-oc
"instar"-verb-oc "instar"-verb-es
"perjudicar"-verb-es "perjudiciar"-verb-oc
"perjudiciar"-verb-oc "perjudicar"-verb-es
"Cataluña"-properNoun-es "Catalunya"-properNoun-oc
"Catalunya"-properNoun-oc "Cataluña"-properNoun-es
"regidor"-noun-es "regidor"-noun-oc
"regidor"-noun-oc "regidor"-noun-es
"consumo"-noun-es "consum"-noun-oc
"consum"-noun-oc "consumo"-noun-es
"cierre"-noun-es "tancament"-noun-oc
"tancament"-noun-oc "cierre"-noun-es
"minoría"-noun-es "minoria"-noun-oc
"minoria"-noun-oc "minoría"-noun-es
"exclusiva"-noun-es "exclusiva"-noun-oc
"exclusiva"-noun-oc "exclusiva"-noun-es
"sonoro"-adjective-es "sonor"-adjective-oc
"sonor"-adjective-oc "sonoro"-adjective-es
"presupuestario"-adjective-es "pressupostari"-adjective-oc
"pressupostari"-adjective-oc "presupuestario"-adjective-es
"autónomo"-adjective-es "autònom"-adjective-oc
"autònom"-adjective-oc "autónomo"-adjective-es
"amplio"-adjective-es "ampli"-adjective-oc
"ampli"-adjective-oc "amplio"-adjective-es
"voluntario"-adjective-es "voluntari"-adjective-oc
"voluntari"-adjective-oc "voluntario"-adjective-es
"además"-adverb-es "a mès a mès"-adverb-oc
"a mès a mès"-adverb-oc "además"-adverb-es
"gira"-noun-es "gira"-noun-oc
"gira"-noun-oc "gira"-noun-es
"proceso"-noun-es "procés"-noun-oc
"procés"-noun-oc "proceso"-noun-es
"recinto"-noun-es "recinte"-noun-oc
"recinte"-noun-oc "recinto"-noun-es
"trazo"-noun-es "traç"-noun-oc
"traç"-noun-oc "trazo"-noun-es
"esquiador"-noun-es "esquiador"-noun-oc
"esquiador"-noun-oc "esquiador"-noun-es
"Congo"-properNoun-es "Congo"-properNoun-oc
"Congo"-properNoun-oc "Congo"-properNoun-es
"Noruega"-properNoun-es "Noruega"-properNoun-oc
"Noruega"-properNoun-oc "Noruega"-properNoun-es
"Singapur"-properNoun-es "Singapur"-properNoun-oc
"Singapur"-properNoun-oc "Singapur"-properNoun-es
"Beirut"-properNoun-es "Beirut"-properNoun-oc
"Beirut"-properNoun-oc "Beirut"-properNoun-es
"Bangkok"-properNoun-es "Bangkok"-properNoun-oc
"Bangkok"-properNoun-oc "Bangkok"-properNoun-es
"igualitario"-adjective-es "igualitari"-adjective-oc
"igualitari"-adjective-oc "igualitario"-adjective-es
"coordinador"-noun-es "coordinador"-noun-oc
"coordinador"-noun-oc "coordinador"-noun-es
"gitano"-noun-es "gitano"-noun-oc
"gitano"-noun-oc "gitano"-noun-es
"Belén"-properNoun-es "Belén"-properNoun-oc
"Belén"-properNoun-oc "Belén"-properNoun-es
"la rèsta"-pronoun-oc "lo demás"-pronoun-es
"lo demás"-pronoun-es "la rèsta"-pronoun-oc
"un aute"-pronoun-oc "otro"-pronoun-es
"otro"-pronoun-es "un aute"-pronoun-oc
"otro"-pronoun-es "un autre"-pronoun-oc
"un autre"-pronoun-oc "otro"-pronoun-es
"Adela"-properNoun-oc "Adela"-properNoun-es
"Adela"-properNoun-es "Adela"-properNoun-oc
"Adelaida"-properNoun-oc "Adelaida"-properNoun-es
"Adelaida"-properNoun-es "Adelaida"-properNoun-oc
"Adeslas"-properNoun-oc "Adeslas"-properNoun-es
"Adeslas"-properNoun-es "Adeslas"-properNoun-oc
"Adrián"-properNoun-oc "Adrián"-properNoun-es
"Adrián"-properNoun-es "Adrián"-properNoun-oc
"Aena"-properNoun-oc "Aena"-properNoun-es
"Aena"-properNoun-es "Aena"-properNoun-oc
"Ainé"-properNoun-oc "Aisne"-properNoun-es
"Aisne"-properNoun-es "Ainé"-properNoun-oc
"Albaida"-properNoun-oc "Albaida"-properNoun-es
"Albaida"-properNoun-es "Albaida"-properNoun-oc
"Albatera"-properNoun-oc "Albatera"-properNoun-es
"Albatera"-properNoun-es "Albatera"-properNoun-oc
"Alcàsser"-properNoun-oc "Alcácer"-properNoun-es
"Alcàsser"-properNoun-oc "Alcàsser"-properNoun-es
"Alcácer"-properNoun-es "Alcàsser"-properNoun-oc
"Alcàsser"-properNoun-es "Alcàsser"-properNoun-oc
"Aldaia"-properNoun-oc "Aldaya"-properNoun-es
"Aldaia"-properNoun-oc "Aldaia"-properNoun-es
"Aldaya"-properNoun-es "Aldaia"-properNoun-oc
"Aldaia"-properNoun-es "Aldaia"-properNoun-oc
"Alejandra"-properNoun-oc "Alejandra"-properNoun-es
"Alejandra"-properNoun-es "Alejandra"-properNoun-oc
"Alfaguara"-properNoun-oc "Alfaguara"-properNoun-es
"Alfaguara"-properNoun-es "Alfaguara"-properNoun-oc
"Altea"-properNoun-oc "Altea"-properNoun-es
"Altea"-properNoun-es "Altea"-properNoun-oc
"Alzira"-properNoun-oc "Alcira"-properNoun-es
"Alzira"-properNoun-oc "Alzira"-properNoun-es
"Alcira"-properNoun-es "Alzira"-properNoun-oc
"Alzira"-properNoun-es "Alzira"-properNoun-oc
"Amaia"-properNoun-oc "Amaia"-properNoun-es
"Amaia"-properNoun-es "Amaia"-properNoun-oc
"Angélica"-properNoun-oc "Angélica"-properNoun-es
"Angélica"-properNoun-es "Angélica"-properNoun-oc
"Apertium"-properNoun-oc "Apertium"-properNoun-es
"Apertium"-properNoun-es "Apertium"-properNoun-oc
"Araceli"-properNoun-oc "Araceli"-properNoun-es
"Araceli"-properNoun-es "Araceli"-properNoun-oc
"Arganda"-properNoun-oc "Arganda"-properNoun-es
"Arganda"-properNoun-es "Arganda"-properNoun-oc
"Ariadna"-properNoun-oc "Ariadna"-properNoun-es
"Ariadna"-properNoun-es "Ariadna"-properNoun-oc
"Asepeyo"-properNoun-oc "Asepeyo"-properNoun-es
"Asepeyo"-properNoun-es "Asepeyo"-properNoun-oc
"Auxiliadora"-properNoun-oc "Auxiliadora"-properNoun-es
"Auxiliadora"-properNoun-es "Auxiliadora"-properNoun-oc
"BSCH"-properNoun-oc "BSCH"-properNoun-es
"BSCH"-properNoun-es "BSCH"-properNoun-oc
"Badalona"-properNoun-oc "Badalona"-properNoun-es
"Badalona"-properNoun-es "Badalona"-properNoun-oc
"Bages"-properNoun-oc "Bages"-properNoun-es
"Bages"-properNoun-es "Bages"-properNoun-oc
"Bancaixa"-properNoun-oc "Bancaixa"-properNoun-es
"Bancaixa"-properNoun-oc "Bancaja"-properNoun-es
"Bancaixa"-properNoun-es "Bancaixa"-properNoun-oc
"Bancaja"-properNoun-es "Bancaixa"-properNoun-oc
"Barcelonès"-properNoun-oc "Barcelonès"-properNoun-es
"Barcelonès"-properNoun-es "Barcelonès"-properNoun-oc
"Benidorm"-properNoun-oc "Benidorm"-properNoun-es
"Benidorm"-properNoun-es "Benidorm"-properNoun-oc
"Berna"-properNoun-oc "Berna"-properNoun-es
"Berna"-properNoun-es "Berna"-properNoun-oc
"Besòs"-properNoun-oc "Besòs"-properNoun-es
"Besòs"-properNoun-es "Besòs"-properNoun-oc
"Betis"-properNoun-oc "Betis"-properNoun-es
"Betis"-properNoun-es "Betis"-properNoun-oc
"Biscaia"-properNoun-oc "Vizcaya"-properNoun-es
"Vizcaya"-properNoun-es "Biscaia"-properNoun-oc
"Bucarest"-properNoun-oc "Bucarest"-properNoun-es
"Bucarest"-properNoun-es "Bucarest"-properNoun-oc
"Bugs"-properNoun-oc "Bugs"-properNoun-es
"Bugs"-properNoun-es "Bugs"-properNoun-oc
"Bunny"-properNoun-oc "Bunny"-properNoun-es
"Bunny"-properNoun-es "Bunny"-properNoun-oc
"Bétera"-properNoun-oc "Bétera"-properNoun-es
"Bétera"-properNoun-es "Bétera"-properNoun-oc
"Calp"-properNoun-oc "Calpe"-properNoun-es
"Calp"-properNoun-oc "Calp"-properNoun-es
"Calpe"-properNoun-es "Calp"-properNoun-oc
"Calp"-properNoun-es "Calp"-properNoun-oc
"Candelaria"-properNoun-oc "Candelaria"-properNoun-es
"Candelaria"-properNoun-es "Candelaria"-properNoun-oc
"Casinos"-properNoun-oc "Casinos"-properNoun-es
"Casinos"-properNoun-es "Casinos"-properNoun-oc
"Castelldefels"-properNoun-oc "Castelldefels"-properNoun-es
"Castelldefels"-properNoun-es "Castelldefels"-properNoun-oc
"Celia"-properNoun-oc "Celia"-properNoun-es
"Celia"-properNoun-es "Celia"-properNoun-oc
"Chamartín"-properNoun-oc "Chamartín"-properNoun-es
"Chamartín"-properNoun-es "Chamartín"-properNoun-oc
"Ciutat"-properNoun-oc "Ciutat"-properNoun-es
"Ciutat"-properNoun-es "Ciutat"-properNoun-oc
"Cofrents"-properNoun-oc "Cofrents"-properNoun-es
"Cofrents"-properNoun-oc "Cofrentes"-properNoun-es
"Cofrents"-properNoun-es "Cofrents"-properNoun-oc
"Cofrentes"-properNoun-es "Cofrents"-properNoun-oc
"Colmenar"-properNoun-oc "Colmenar"-properNoun-es
"Colmenar"-properNoun-es "Colmenar"-properNoun-oc
"Conchi"-properNoun-oc "Conchi"-properNoun-es
"Conchi"-properNoun-es "Conchi"-properNoun-oc
"Consell"-properNoun-oc "Consell"-properNoun-es
"Consell"-properNoun-es "Consell"-properNoun-oc
"Cornellà"-properNoun-oc "Cornellá"-properNoun-es
"Cornellà"-properNoun-oc "Cornellà"-properNoun-es
"Cornellá"-properNoun-es "Cornellà"-properNoun-oc
"Cornellà"-properNoun-es "Cornellà"-properNoun-oc
"Cupido"-properNoun-oc "Cupido"-properNoun-es
"Cupido"-properNoun-es "Cupido"-properNoun-oc
"Càrcer"-properNoun-oc "Càrcer"-properNoun-es
"Càrcer"-properNoun-oc "Cárcer"-properNoun-es
"Càrcer"-properNoun-es "Càrcer"-properNoun-oc
"Cárcer"-properNoun-es "Càrcer"-properNoun-oc
"César"-properNoun-oc "César"-properNoun-es
"César"-properNoun-es "César"-properNoun-oc
"Còria"-properNoun-oc "Coria"-properNoun-es
"Coria"-properNoun-es "Còria"-properNoun-oc
"Doubs"-properNoun-oc "Doubs"-properNoun-es
"Doubs"-properNoun-es "Doubs"-properNoun-oc
"Doñana"-properNoun-oc "Doñana"-properNoun-es
"Doñana"-properNoun-es "Doñana"-properNoun-oc
"Dénia"-properNoun-oc "Dénia"-properNoun-es
"Dénia"-properNoun-es "Dénia"-properNoun-oc
"El Prat"-properNoun-oc "El Prat"-properNoun-es
"El Prat"-properNoun-es "El Prat"-properNoun-oc
"Elda"-properNoun-oc "Elda"-properNoun-es
"Elda"-properNoun-es "Elda"-properNoun-oc
"Elx"-properNoun-oc "Elche"-properNoun-es
"Elx"-properNoun-oc "Elx"-properNoun-es
"Elche"-properNoun-es "Elx"-properNoun-oc
"Elx"-properNoun-es "Elx"-properNoun-oc
"Eroski"-properNoun-oc "Eroski"-properNoun-es
"Eroski"-properNoun-es "Eroski"-properNoun-oc
"Esplugues"-properNoun-oc "Esplugues"-properNoun-es
"Esplugues"-properNoun-es "Esplugues"-properNoun-oc
"Estanislao"-properNoun-oc "Estanislao"-properNoun-es
"Estanislao"-properNoun-es "Estanislao"-properNoun-oc
"Estefanía"-properNoun-oc "Estefanía"-properNoun-es
"Estefanía"-properNoun-es "Estefanía"-properNoun-oc
"Eth Caire"-properNoun-oc "El Cairo"-properNoun-es
"El Cairo"-properNoun-es "Eth Caire"-properNoun-oc
"Fermín"-properNoun-oc "Fermín"-properNoun-es
"Fermín"-properNoun-es "Fermín"-properNoun-oc
"Florentino"-properNoun-oc "Florentino"-properNoun-es
"Florentino"-properNoun-es "Florentino"-properNoun-oc
"Fonteta"-properNoun-oc "Fonteta"-properNoun-es
"Fonteta"-properNoun-es "Fonteta"-properNoun-oc
"Francisca"-properNoun-oc "Francisca"-properNoun-es
"Francisca"-properNoun-es "Francisca"-properNoun-oc
"Gabino"-properNoun-oc "Gabino"-properNoun-es
"Gabino"-properNoun-es "Gabino"-properNoun-oc
"Garrigues"-properNoun-oc "Garrigues"-properNoun-es
"Garrigues"-properNoun-es "Garrigues"-properNoun-oc
"Garrotxa"-properNoun-oc "Garrotxa"-properNoun-es
"Garrotxa"-properNoun-es "Garrotxa"-properNoun-oc
"Gavà"-properNoun-oc "Gavà"-properNoun-es
"Gavà"-properNoun-es "Gavà"-properNoun-oc
"Gessa"-properNoun-oc "Gessa"-properNoun-es
"Gessa"-properNoun-es "Gessa"-properNoun-oc
"Godella"-properNoun-oc "Godella"-properNoun-es
"Godella"-properNoun-es "Godella"-properNoun-oc
"Gorka"-properNoun-oc "Gorka"-properNoun-es
"Gorka"-properNoun-es "Gorka"-properNoun-oc
"Gràcia"-properNoun-oc "Gràcia"-properNoun-es
"Gràcia"-properNoun-es "Gràcia"-properNoun-oc
"Guillena"-properNoun-oc "Guillena"-properNoun-es
"Guillena"-properNoun-es "Guillena"-properNoun-oc
"Helguera"-properNoun-oc "Helguera"-properNoun-es
"Helguera"-properNoun-es "Helguera"-properNoun-oc
"Hermes"-properNoun-oc "Hermes"-properNoun-es
"Hermes"-properNoun-es "Hermes"-properNoun-oc
"Herminia"-properNoun-oc "Herminia"-properNoun-es
"Herminia"-properNoun-es "Herminia"-properNoun-oc
"IU"-properNoun-oc "IU"-properNoun-es
"IU"-properNoun-es "IU"-properNoun-oc
"Iberia"-properNoun-oc "Iberia"-properNoun-es
"Iberia"-properNoun-es "Iberia"-properNoun-oc
"Ilhes Cook"-properNoun-oc "Islas Cook"-properNoun-es
"Islas Cook"-properNoun-es "Ilhes Cook"-properNoun-oc
"Imma"-properNoun-oc "Imma"-properNoun-es
"Imma"-properNoun-es "Imma"-properNoun-oc
"Inma"-properNoun-oc "Inma"-properNoun-es
"Inma"-properNoun-es "Inma"-properNoun-oc
"Inmaculada"-properNoun-oc "Inmaculada"-properNoun-es
"Inmaculada"-properNoun-es "Inmaculada"-properNoun-oc
"Isidoro"-properNoun-oc "Isidoro"-properNoun-es
"Isidoro"-properNoun-es "Isidoro"-properNoun-oc
"Jamaica"-properNoun-oc "Jamaica"-properNoun-es
"Jamaica"-properNoun-es "Jamaica"-properNoun-oc
"Jon"-properNoun-oc "Jon"-properNoun-es
"Jon"-properNoun-es "Jon"-properNoun-oc
"Júpiter"-properNoun-oc "Júpiter"-properNoun-es
"Júpiter"-properNoun-es "Júpiter"-properNoun-oc
"Koldo"-properNoun-oc "Koldo"-properNoun-es
"Koldo"-properNoun-es "Koldo"-properNoun-oc
"L'Aia"-properNoun-oc "La Haya"-properNoun-es
"La Haya"-properNoun-es "L'Aia"-properNoun-oc
"LOCE"-properNoun-oc "LOCE"-properNoun-es
"LOCE"-properNoun-es "LOCE"-properNoun-oc
"Ligúria"-properNoun-oc "Liguria"-properNoun-es
"Liguria"-properNoun-es "Ligúria"-properNoun-oc
"Lisboa"-properNoun-oc "Lisboa"-properNoun-es
"Lisboa"-properNoun-es "Lisboa"-properNoun-oc
"Loli"-properNoun-oc "Loli"-properNoun-es
"Loli"-properNoun-es "Loli"-properNoun-oc
"Mahoma"-properNoun-oc "Mahoma"-properNoun-es
"Mahoma"-properNoun-es "Mahoma"-properNoun-oc
"Mallorca"-properNoun-oc "Mallorca"-properNoun-es
"Mallorca"-properNoun-es "Mallorca"-properNoun-oc
"Maribel"-properNoun-oc "Maribel"-properNoun-es
"Maribel"-properNoun-es "Maribel"-properNoun-oc
"Marisol"-properNoun-oc "Marisol"-properNoun-es
"Marisol"-properNoun-es "Marisol"-properNoun-oc
"Mayte"-properNoun-oc "Mayte"-properNoun-es
"Mayte"-properNoun-es "Mayte"-properNoun-oc
"Mediterrani"-properNoun-oc "Mediterráneo"-properNoun-es
"Mediterráneo"-properNoun-es "Mediterrani"-properNoun-oc
"Menorca"-properNoun-oc "Menorca"-properNoun-es
"Menorca"-properNoun-es "Menorca"-properNoun-oc
"Milena"-properNoun-oc "Milena"-properNoun-es
"Milena"-properNoun-es "Milena"-properNoun-oc
"Minerva"-properNoun-oc "Minerva"-properNoun-es
"Minerva"-properNoun-es "Minerva"-properNoun-oc
"Mislata"-properNoun-oc "Mislata"-properNoun-es
"Mislata"-properNoun-es "Mislata"-properNoun-oc
"Montañana"-properNoun-oc "Montañana"-properNoun-es
"Montañana"-properNoun-es "Montañana"-properNoun-oc
"Montcada"-properNoun-oc "Moncada"-properNoun-es
"Montcada"-properNoun-oc "Montcada"-properNoun-es
"Moncada"-properNoun-es "Montcada"-properNoun-oc
"Montcada"-properNoun-es "Montcada"-properNoun-oc
"Montmeló"-properNoun-oc "Montmeló"-properNoun-es
"Montmeló"-properNoun-es "Montmeló"-properNoun-oc
"Moskva"-properNoun-oc "Moscova"-properNoun-es
"Moscova"-properNoun-es "Moskva"-properNoun-oc
"Mosso"-properNoun-oc "Mosso"-properNoun-es
"Mosso"-properNoun-es "Mosso"-properNoun-oc
"Mossos"-properNoun-oc "Mossos"-properNoun-es
"Mossos"-properNoun-es "Mossos"-properNoun-oc
"Mutxamel"-properNoun-oc "Muchamiel"-properNoun-es
"Mutxamel"-properNoun-oc "Mutxamel"-properNoun-es
"Muchamiel"-properNoun-es "Mutxamel"-properNoun-oc
"Mutxamel"-properNoun-es "Mutxamel"-properNoun-oc
"Napster"-properNoun-oc "Napster"-properNoun-es
"Napster"-properNoun-es "Napster"-properNoun-oc
"Noelia"-properNoun-oc "Noelia"-properNoun-es
"Noelia"-properNoun-es "Noelia"-properNoun-oc
"Norberto"-properNoun-oc "Norberto"-properNoun-es
"Norberto"-properNoun-es "Norberto"-properNoun-oc
"Núria"-properNoun-oc "Núria"-properNoun-es
"Núria"-properNoun-es "Núria"-properNoun-oc
"Oslo"-properNoun-oc "Oslo"-properNoun-es
"Oslo"-properNoun-es "Oslo"-properNoun-oc
"Palmera"-properNoun-oc "Palmera"-properNoun-es
"Palmera"-properNoun-es "Palmera"-properNoun-oc
"Picanya"-properNoun-oc "Picaña"-properNoun-es
"Picanya"-properNoun-oc "Picanya"-properNoun-es
"Picaña"-properNoun-es "Picanya"-properNoun-oc
"Picanya"-properNoun-es "Picanya"-properNoun-oc
"Postiguet"-properNoun-oc "Postiguet"-properNoun-es
"Postiguet"-properNoun-es "Postiguet"-properNoun-oc
"Prada de Conflent"-properNoun-oc "Prades"-properNoun-es
"Prades"-properNoun-es "Prada de Conflent"-properNoun-oc
"Pío"-properNoun-oc "Pío"-properNoun-es
"Pío"-properNoun-es "Pío"-properNoun-oc
"Quart"-properNoun-oc "Quart"-properNoun-es
"Quart"-properNoun-es "Quart"-properNoun-oc
"Quique"-properNoun-oc "Quique"-properNoun-es
"Quique"-properNoun-es "Quique"-properNoun-oc
"Rabobank"-properNoun-oc "Rabobank"-properNoun-es
"Rabobank"-properNoun-es "Rabobank"-properNoun-oc
"Rajadell"-properNoun-oc "Rajadell"-properNoun-es
"Rajadell"-properNoun-es "Rajadell"-properNoun-oc
"Remei"-properNoun-oc "Remei"-properNoun-es
"Remei"-properNoun-es "Remei"-properNoun-oc
"Saco"-properNoun-oc "Saco"-properNoun-es
"Saco"-properNoun-es "Saco"-properNoun-oc
"Sadam"-properNoun-oc "Sadam"-properNoun-es
"Sadam"-properNoun-es "Sadam"-properNoun-oc
"Sagra"-properNoun-oc "Sagra"-properNoun-es
"Sagra"-properNoun-es "Sagra"-properNoun-oc
"Sagunt"-properNoun-oc "Sagunto"-properNoun-es
"Sagunt"-properNoun-oc "Sagunt"-properNoun-es
"Sagunto"-properNoun-es "Sagunt"-properNoun-oc
"Sagunt"-properNoun-es "Sagunt"-properNoun-oc
"Salines"-properNoun-oc "Salines"-properNoun-es
"Salines"-properNoun-oc "Salinas"-properNoun-es
"Salines"-properNoun-es "Salines"-properNoun-oc
"Salinas"-properNoun-es "Salines"-properNoun-oc
"San"-properNoun-oc "San"-properNoun-es
"San"-properNoun-es "San"-properNoun-oc
"Santaliestra"-properNoun-oc "Santaliestra"-properNoun-es
"Santaliestra"-properNoun-es "Santaliestra"-properNoun-oc
"Sofía"-properNoun-oc "Sofía"-properNoun-es
"Sofía"-properNoun-es "Sofía"-properNoun-oc
"Sultà"-properNoun-oc "Sultà"-properNoun-es
"Sultà"-properNoun-es "Sultà"-properNoun-oc
"TVE"-properNoun-oc "TVE"-properNoun-es
"TVE"-properNoun-es "TVE"-properNoun-oc
"Tabarca"-properNoun-oc "Tabarca"-properNoun-es
"Tabarca"-properNoun-es "Tabarca"-properNoun-oc
"Telecinco"-properNoun-oc "Telecinco"-properNoun-es
"Telecinco"-properNoun-es "Telecinco"-properNoun-oc
"Tere"-properNoun-oc "Tere"-properNoun-es
"Tere"-properNoun-es "Tere"-properNoun-oc
"Torrevella"-properNoun-oc "Torrevella"-properNoun-es
"Torrevella"-properNoun-oc "Torrevieja"-properNoun-es
"Torrevella"-properNoun-es "Torrevella"-properNoun-oc
"Torrevieja"-properNoun-es "Torrevella"-properNoun-oc
"Toscana"-properNoun-oc "Toscana"-properNoun-es
"Toscana"-properNoun-es "Toscana"-properNoun-oc
"Tremp"-properNoun-oc "Tremp"-properNoun-es
"Tremp"-properNoun-es "Tremp"-properNoun-oc
"Vanesa"-properNoun-oc "Vanesa"-properNoun-es
"Vanesa"-properNoun-es "Vanesa"-properNoun-oc
"Venus"-properNoun-oc "Venus"-properNoun-es
"Venus"-properNoun-es "Venus"-properNoun-oc
"Verdú"-properNoun-oc "Verdú"-properNoun-es
"Verdú"-properNoun-es "Verdú"-properNoun-oc
"Verónica"-properNoun-oc "Verónica"-properNoun-es
"Verónica"-properNoun-es "Verónica"-properNoun-oc
"Vicenta"-properNoun-oc "Vicenta"-properNoun-es
"Vicenta"-properNoun-es "Vicenta"-properNoun-oc
"Vila-real"-properNoun-oc "Villarreal"-properNoun-es
