"despacio"-adverb-es "peu à peu"-adverb-fr
"patrono"-noun-es "protecteur"-noun-fr
"protecteur"-noun-fr "patrono"-noun-es
"protecteur"-noun-fr "patrocinador"-noun-es
"empresario"-noun-es "imprésario"-noun-fr
"imprésario"-noun-fr "empresario"-noun-es
"señor"-noun-es "sire"-noun-fr
"sire"-noun-fr "señor"-noun-es
"retorno"-noun-es "refrain"-noun-fr
"refrain"-noun-fr "retorno"-noun-es
"chœur"-noun-fr "coro"-noun-es
"chœur"-noun-fr "corazón"-noun-es
"coro"-noun-es "chœur"-noun-fr
"coro"-noun-es "cœur"-noun-fr
"corazón"-noun-es "chœur"-noun-fr
"corazón"-noun-es "cœur"-noun-fr
"cœur"-noun-fr "coro"-noun-es
"cœur"-noun-fr "corazón"-noun-es
"pueblo"-noun-es "ethnie"-noun-fr
"ethnie"-noun-fr "pueblo"-noun-es
"bóveda"-noun-es "voute"-noun-fr
"bóveda"-noun-es "voûte"-noun-fr
"voute"-noun-fr "bóveda"-noun-es
"voûte"-noun-fr "bóveda"-noun-es
"nœud"-noun-fr "nudo"-noun-es
"nudo"-noun-es "nœud"-noun-fr
"radio"-noun-es "radius"-noun-fr
"radius"-noun-fr "radio"-noun-es
"coche"-noun-es "auto"-noun-fr
"auto"-noun-fr "coche"-noun-es
"auto"-noun-fr "automóvil"-noun-es
"automóvil"-noun-es "auto"-noun-fr
"fila"-noun-es "rangée"-noun-fr
"rangée"-noun-fr "fila"-noun-es
"caballero"-noun-es "chevalier"-noun-fr
"chevalier"-noun-fr "caballero"-noun-es
"joven"-noun-es "jeunes gens"-noun-fr
"jeunes gens"-noun-fr "joven"-noun-es
"encadrement"-noun-fr "marco"-noun-es
"marco"-noun-es "encadrement"-noun-fr
"valle"-noun-es "val"-noun-fr
"val"-noun-fr "valle"-noun-es
"catarata"-noun-es "cataracte"-noun-fr
"cataracte"-noun-fr "catarata"-noun-es
"derrota"-noun-es "déroute"-noun-fr
"déroute"-noun-fr "derrota"-noun-es
"apellido"-noun-es "nom de famille"-noun-fr
"apellido"-noun-es "patronyme"-noun-fr
"nom de famille"-noun-fr "apellido"-noun-es
"patronyme"-noun-fr "apellido"-noun-es
"aparición"-noun-es "parution"-noun-fr
"parution"-noun-fr "aparición"-noun-es
"agradecimiento"-noun-es "gratitude"-noun-fr
"gratitude"-noun-fr "agradecimiento"-noun-es
"avancement"-noun-fr "avance"-noun-es
"avance"-noun-es "avancement"-noun-fr
"capital"-noun-es "chef-lieu"-noun-fr
"chef-lieu"-noun-fr "capital"-noun-es
"profesor"-noun-es "instituteur"-noun-fr
"profesor"-noun-es "prof"-noun-fr
"instituteur"-noun-fr "profesor"-noun-es
"prof"-noun-fr "profesor"-noun-es
"patrocinador"-noun-es "protecteur"-noun-fr
"maestro"-noun-es "maitre"-noun-fr
"maitre"-noun-fr "maestro"-noun-es
"auditorio"-noun-es "auditoire"-noun-fr
"auditoire"-noun-fr "auditorio"-noun-es
"résidant"-noun-fr "residente"-noun-es
"residente"-noun-es "résidant"-noun-fr
"vergüenza"-noun-es "vergogne"-noun-fr
"vergogne"-noun-fr "vergüenza"-noun-es
"sabor"-noun-es "saveur"-noun-fr
"saveur"-noun-fr "sabor"-noun-es
"muestra"-noun-es "spécimen"-noun-fr
"spécimen"-noun-fr "muestra"-noun-es
"chariot"-noun-fr "carro"-noun-es
"carro"-noun-es "chariot"-noun-fr
"caste"-noun-fr "casta"-noun-es
"casta"-noun-es "caste"-noun-fr
"fuga"-noun-es "fugue"-noun-fr
"fugue"-noun-fr "fuga"-noun-es
"robo"-noun-es "cambriolage"-noun-fr
"cambriolage"-noun-fr "robo"-noun-es
"costumbre"-noun-es "mœurs"-noun-fr
"mœurs"-noun-fr "costumbre"-noun-es
"homicidio"-noun-es "homicide"-noun-fr
"homicide"-noun-fr "homicidio"-noun-es
"encaje"-noun-es "dentelle"-noun-fr
"dentelle"-noun-fr "encaje"-noun-es
"relief"-noun-fr "relieve"-noun-es
"relief"-noun-fr "relevo"-noun-es
"relieve"-noun-es "relief"-noun-fr
"relevo"-noun-es "relief"-noun-fr
"barro"-noun-es "fange"-noun-fr
"fange"-noun-fr "barro"-noun-es
"barco"-noun-es "vaisseau"-noun-fr
"vaisseau"-noun-fr "barco"-noun-es
"vaisseau"-noun-fr "navío"-noun-es
"navío"-noun-es "vaisseau"-noun-fr
"nave"-noun-es "nef"-noun-fr
"nef"-noun-fr "nave"-noun-es
"corteza"-noun-es "écorce"-noun-fr
"écorce"-noun-fr "corteza"-noun-es
"ardoise"-noun-fr "pizarra"-noun-es
"pizarra"-noun-es "ardoise"-noun-fr
"tube"-noun-fr "tubo"-noun-es
"tubo"-noun-es "tube"-noun-fr
"superficie"-noun-es "superficie"-noun-fr
"superficie"-noun-fr "superficie"-noun-es
"œuvre"-noun-fr "obra"-noun-es
"obra"-noun-es "œuvre"-noun-fr
"col"-noun-fr "cuello"-noun-es
"cuello"-noun-es "col"-noun-fr
"graine"-noun-fr "pepita"-noun-es
"graine"-noun-fr "semilla"-noun-es
"pepita"-noun-es "graine"-noun-fr
"semilla"-noun-es "graine"-noun-fr
"semilla"-noun-es "semence"-noun-fr
"semence"-noun-fr "semilla"-noun-es
"gorra"-noun-es "casquette"-noun-fr
"casquette"-noun-fr "gorra"-noun-es
"cerdo"-noun-es "porc"-noun-fr
"porc"-noun-fr "cerdo"-noun-es
"silla"-noun-es "chaire"-noun-fr
"chaire"-noun-fr "silla"-noun-es
"desarrollo"-noun-es "déroulement"-noun-fr
"déroulement"-noun-fr "desarrollo"-noun-es
"decadencia"-noun-es "décadence"-noun-fr
"décadence"-noun-fr "decadencia"-noun-es
"joya"-noun-es "joyau"-noun-fr
"joya"-noun-es "bijou"-noun-fr
"joyau"-noun-fr "joya"-noun-es
"joyau"-noun-fr "alegría"-noun-es
"bijou"-noun-fr "joya"-noun-es
"bijou"-noun-fr "alegría"-noun-es
"alegría"-noun-es "joyau"-noun-fr
"alegría"-noun-es "bijou"-noun-fr
"ira"-noun-es "ire"-noun-fr
"ire"-noun-fr "ira"-noun-es
"zumo"-noun-es "suc"-noun-fr
"suc"-noun-fr "zumo"-noun-es
"suc"-noun-fr "jugo"-noun-es
"jugo"-noun-es "suc"-noun-fr
"lazo"-noun-es "lacet"-noun-fr
"lacet"-noun-fr "lazo"-noun-es
"predecesor"-noun-es "devancier"-noun-fr
"devancier"-noun-fr "predecesor"-noun-es
"dormitorio"-noun-es "chambre à coucher"-noun-fr
"chambre à coucher"-noun-fr "dormitorio"-noun-es
"barraca"-noun-es "baraque"-noun-fr
"baraque"-noun-fr "barraca"-noun-es
"injuria"-noun-es "affront"-noun-fr
"affront"-noun-fr "injuria"-noun-es
"faillite"-noun-fr "quiebra"-noun-es
"faillite"-noun-fr "bancarrota"-noun-es
"quiebra"-noun-es "faillite"-noun-fr
"bancarrota"-noun-es "faillite"-noun-fr
"fuente"-noun-es "fontaine"-noun-fr
"fontaine"-noun-fr "fuente"-noun-es
"allongement"-noun-fr "alargamiento"-noun-es
"alargamiento"-noun-es "allongement"-noun-fr
"calibrer"-verb-fr "calibrar"-verb-es
"calibrar"-verb-es "calibrer"-verb-fr
"espionner"-verb-fr "espiar"-verb-es
"espiar"-verb-es "espionner"-verb-fr
"maduro"-adjective-es "mature"-adjective-fr
"mature"-adjective-fr "maduro"-adjective-es
"autochtone"-adjective-fr "indígena"-adjective-es
"indígena"-adjective-es "autochtone"-adjective-fr
"escandalizar"-verb-es "scandaliser"-verb-fr
"scandaliser"-verb-fr "escandalizar"-verb-es
"aparcar"-verb-es "parquer"-verb-fr
"parquer"-verb-fr "aparcar"-verb-es
"absolver"-verb-es "absoudre"-verb-fr
"absoudre"-verb-fr "absolver"-verb-es
"catalogar"-verb-es "répertorier"-verb-fr
"répertorier"-verb-fr "catalogar"-verb-es
"aprovechar"-verb-es "profiter"-verb-fr
"profiter"-verb-fr "aprovechar"-verb-es
"culminar"-verb-es "culminer"-verb-fr
"culminer"-verb-fr "culminar"-verb-es
"commode"-adjective-fr "cómodo"-adjective-es
"cómodo"-adjective-es "commode"-adjective-fr
"cómodo"-adjective-es "à son aise"-adjective-fr
"cómodo"-adjective-es "à l'aise"-adjective-fr
"à son aise"-adjective-fr "cómodo"-adjective-es
"à l'aise"-adjective-fr "cómodo"-adjective-es
"harmonique"-adjective-fr "armónico"-adjective-es
"armónico"-adjective-es "harmonique"-adjective-fr
"adecuado"-adjective-es "adéquat"-adjective-fr
"adéquat"-adjective-fr "adecuado"-adjective-es
"adéquat"-adjective-fr "apropiado"-adjective-es
"adéquat"-adjective-fr "conforme"-adjective-es
"apropiado"-adjective-es "adéquat"-adjective-fr
"conforme"-adjective-es "adéquat"-adjective-fr
"apagar"-verb-es "mettre hors circuit"-verb-fr
"mettre hors circuit"-verb-fr "apagar"-verb-es
"incluir"-verb-es "inclure"-verb-fr
"inclure"-verb-fr "incluir"-verb-es
"feroz"-adjective-es "farouche"-adjective-fr
"farouche"-adjective-fr "feroz"-adjective-es
"insignificante"-adjective-es "négligeable"-adjective-fr
"négligeable"-adjective-fr "insignificante"-adjective-es
"plano"-adjective-es "plan"-adjective-fr
"plan"-adjective-fr "plano"-adjective-es
"alegre"-adjective-es "allègre"-adjective-fr
"allègre"-adjective-fr "alegre"-adjective-es
"afortunado"-adjective-es "chanceux"-adjective-fr
"chanceux"-adjective-fr "afortunado"-adjective-es
"inadecuado"-adjective-es "inadéquat"-adjective-fr
"inadéquat"-adjective-fr "inadecuado"-adjective-es
"inesperado"-adjective-es "inespéré"-adjective-fr
"inespéré"-adjective-fr "inesperado"-adjective-es
"informar"-verb-es "renseigner"-verb-fr
"renseigner"-verb-fr "informar"-verb-es
"conceder"-verb-es "concéder"-verb-fr
"concéder"-verb-fr "conceder"-verb-es
"seguro"-adjective-es "assuré"-adjective-fr
"seguro"-adjective-es "certain"-adjective-fr
"assuré"-adjective-fr "seguro"-adjective-es
"certain"-adjective-fr "seguro"-adjective-es
"authentique"-adjective-fr "auténtico"-adjective-es
"auténtico"-adjective-es "authentique"-adjective-fr
"braver"-verb-fr "desafiar"-verb-es
"desafiar"-verb-es "braver"-verb-fr
"conectar"-verb-es "connecter"-verb-fr
"connecter"-verb-fr "conectar"-verb-es
"explotar"-verb-es "crever"-verb-fr
"crever"-verb-fr "explotar"-verb-es
"agudo"-adjective-es "perçant"-adjective-fr
"perçant"-adjective-fr "agudo"-adjective-es
"inevitable"-adjective-es "inéluctable"-adjective-fr
"inéluctable"-adjective-fr "inevitable"-adjective-es
"desmesurado"-adjective-es "immodéré"-adjective-fr
"immodéré"-adjective-fr "desmesurado"-adjective-es
"rusé"-adjective-fr "astuto"-adjective-es
"astuto"-adjective-es "rusé"-adjective-fr
"passionné"-adjective-fr "ardiente"-adjective-es
"ardiente"-adjective-es "passionné"-adjective-fr
"incómodo"-adjective-es "incommode"-adjective-fr
"incommode"-adjective-fr "incómodo"-adjective-es
"lascif"-adjective-fr "sensual"-adjective-es
"sensual"-adjective-es "lascif"-adjective-fr
"doméstico"-adjective-es "ménager"-adjective-fr
"ménager"-adjective-fr "doméstico"-adjective-es
"plantureux"-adjective-fr "abundante"-adjective-es
"abundante"-adjective-es "plantureux"-adjective-fr
"laico"-adjective-es "laïc"-adjective-fr
"laïc"-adjective-fr "laico"-adjective-es
"lamentar"-verb-es "lamenter"-verb-fr
"lamenter"-verb-fr "lamentar"-verb-es
"susurrar"-verb-es "chuchoter"-verb-fr
"chuchoter"-verb-fr "susurrar"-verb-es
"affranchir"-verb-fr "franquear"-verb-es
"franquear"-verb-es "affranchir"-verb-fr
"entrenar"-verb-es "entrainer"-verb-fr
"entrainer"-verb-fr "entrenar"-verb-es
"abrupto"-adjective-es "brusque"-adjective-fr
"brusque"-adjective-fr "abrupto"-adjective-es
"áspero"-adjective-es "rêche"-adjective-fr
"áspero"-adjective-es "rugueux"-adjective-fr
"rêche"-adjective-fr "áspero"-adjective-es
"rugueux"-adjective-fr "áspero"-adjective-es
"classifier"-verb-fr "clasificar"-verb-es
"clasificar"-verb-es "classifier"-verb-fr
"solventar"-verb-es "solutionner"-verb-fr
"solutionner"-verb-fr "solventar"-verb-es
"solutionner"-verb-fr "solucionar"-verb-es
"solucionar"-verb-es "solutionner"-verb-fr
"sueño"-noun-es "sommeil"-noun-fr
"sommeil"-noun-fr "sueño"-noun-es
"constructor"-noun-es "bâtisseur"-noun-fr
"bâtisseur"-noun-fr "constructor"-noun-es
"césped"-noun-es "gazon"-noun-fr
"gazon"-noun-fr "césped"-noun-es
"alias"-noun-fr "seudónimo"-noun-es
"seudónimo"-noun-es "alias"-noun-fr
"huevo"-noun-es "œuf"-noun-fr
"œuf"-noun-fr "huevo"-noun-es
"Gran Bretaña"-properNoun-es "Grande Bretagne"-properNoun-fr
"Grande Bretagne"-properNoun-fr "Gran Bretaña"-properNoun-es
"March"-properNoun-es "March"-noun-fr
"March"-noun-fr "March"-properNoun-es
"Russe"-noun-fr "ruso"-noun-es
"ruso"-noun-es "Russe"-noun-fr
"milla"-noun-es "mile"-noun-fr
"mile"-noun-fr "milla"-noun-es
"usager"-noun-fr "usuario"-noun-es
"usuario"-noun-es "usager"-noun-fr
"ojo"-noun-es "œil"-noun-fr
"œil"-noun-fr "ojo"-noun-es
"mobiliario"-noun-es "mobilier"-noun-fr
"mobilier"-noun-fr "mobiliario"-noun-es
"carpintero"-noun-es "charpentier"-noun-fr
"charpentier"-noun-fr "carpintero"-noun-es
"concierto"-noun-es "concerto"-noun-fr
"concerto"-noun-fr "concierto"-noun-es
"autobús"-noun-es "car"-noun-fr
"car"-noun-fr "autobús"-noun-es
"nevera"-noun-es "frigo"-noun-fr
"frigo"-noun-fr "nevera"-noun-es
"valide"-adjective-fr "válido"-adjective-es
"válido"-adjective-es "valide"-adjective-fr
"mecánico"-adjective-es "mécanique"-adjective-fr
"mécanique"-adjective-fr "mecánico"-adjective-es
"médico"-adjective-es "médique"-adjective-fr
"médique"-adjective-fr "médico"-adjective-es
"structurel"-adjective-fr "estructural"-adjective-es
"estructural"-adjective-es "structurel"-adjective-fr
"peinar"-verb-es "peigner"-verb-fr
"peigner"-verb-fr "peinar"-verb-es
"Candela"-properNoun-es "Candela"-noun-fr
"Candela"-noun-fr "Candela"-properNoun-es
"Adam"-properNoun-es "Adam"-noun-fr
"Adam"-noun-fr "Adam"-properNoun-es
"Adán"-properNoun-es "Adán"-noun-fr
"Adán"-noun-fr "Adán"-properNoun-es
"Albert"-properNoun-es "Albert"-noun-fr
"Albert"-noun-fr "Albert"-properNoun-es
"Dennis"-noun-fr "Dennis"-properNoun-es
"Dennis"-properNoun-es "Dennis"-noun-fr
"Hugo"-properNoun-es "Hugo"-noun-fr
"Hugo"-noun-fr "Hugo"-properNoun-es
"Simon"-properNoun-es "Simon"-noun-fr
"Simon"-noun-fr "Simon"-properNoun-es
"Richard"-properNoun-es "Richard"-noun-fr
"Richard"-noun-fr "Richard"-properNoun-es
"Martí"-properNoun-es "Martí"-noun-fr
"Martí"-noun-fr "Martí"-properNoun-es
"Campbell"-properNoun-es "Campbell"-noun-fr
"Campbell"-noun-fr "Campbell"-properNoun-es
"Henry"-properNoun-es "Henry"-noun-fr
"Henry"-noun-fr "Henry"-properNoun-es
"Gabriel"-properNoun-es "Gabriel"-noun-fr
"Gabriel"-noun-fr "Gabriel"-properNoun-es
"Jackson"-properNoun-es "Jackson"-noun-fr
"Jackson"-noun-fr "Jackson"-properNoun-es
"Jordana"-properNoun-es "Jordana"-noun-fr
"Jordana"-noun-fr "Jordana"-properNoun-es
"Blair"-properNoun-es "Blair"-noun-fr
"Blair"-noun-fr "Blair"-properNoun-es
"Christopher"-noun-fr "Christopher"-properNoun-es
"Christopher"-properNoun-es "Christopher"-noun-fr
"Joseph"-noun-fr "Joseph"-properNoun-es
"Joseph"-properNoun-es "Joseph"-noun-fr
"Josep"-properNoun-es "Josep"-noun-fr
"Josep"-noun-fr "Josep"-properNoun-es
"Michael"-properNoun-es "Michael"-noun-fr
"Michael"-noun-fr "Michael"-properNoun-es
"David"-properNoun-es "David"-noun-fr
"David"-noun-fr "David"-properNoun-es
"Lewis"-properNoun-es "Lewis"-noun-fr
"Lewis"-noun-fr "Lewis"-properNoun-es
"Andreu"-properNoun-es "Andreu"-noun-fr
"Andreu"-noun-fr "Andreu"-properNoun-es
"Bartomeu"-properNoun-es "Bartomeu"-noun-fr
"Bartomeu"-noun-fr "Bartomeu"-properNoun-es
"Bernard"-properNoun-es "Bernard"-noun-fr
"Bernard"-noun-fr "Bernard"-properNoun-es
"Biel"-properNoun-es "Biel"-noun-fr
"Biel"-noun-fr "Biel"-properNoun-es
