"alguno"-determiner-es "certain"-determiner-fr
"aquello"-pronoun-es "ça"-pronoun-fr
"cuál"-pronoun-es "lequel"-relativePronoun-fr
"cuál"-pronoun-es "qui est-ce qui"-pronoun-fr
"cuál"-pronoun-es "que"-relativePronoun-fr
"cuál"-pronoun-es "que"-pronoun-fr
"cuál"-pronoun-es "qui"-relativePronoun-fr
"cuál"-pronoun-es "qui"-pronoun-fr
"lequel"-relativePronoun-fr "cuál"-pronoun-es
"lequel"-relativePronoun-fr "que"-relativePronoun-es
"lequel"-relativePronoun-fr "quién"-pronoun-es
"qui est-ce qui"-pronoun-fr "cuál"-pronoun-es
"qui est-ce qui"-pronoun-fr "que"-relativePronoun-es
"que"-relativePronoun-fr "cuál"-pronoun-es
"que"-relativePronoun-fr "quién"-pronoun-es
"que"-relativePronoun-fr "qué"-pronoun-es
"que"-pronoun-fr "cuál"-pronoun-es
"que"-pronoun-fr "que"-relativePronoun-es
"que"-pronoun-fr "quién"-pronoun-es
"qui"-relativePronoun-fr "cuál"-pronoun-es
"qui"-relativePronoun-fr "quién"-pronoun-es
"qui"-pronoun-fr "cuál"-pronoun-es
"qui"-pronoun-fr "que"-relativePronoun-es
"que"-relativePronoun-es "lequel"-relativePronoun-fr
"que"-relativePronoun-es "qui est-ce qui"-pronoun-fr
"que"-relativePronoun-es "que"-pronoun-fr
"que"-relativePronoun-es "qui"-pronoun-fr
"que"-relativePronoun-es "quel"-pronoun-fr
"quién"-pronoun-es "lequel"-relativePronoun-fr
"quién"-pronoun-es "que"-relativePronoun-fr
"quién"-pronoun-es "que"-pronoun-fr
"quién"-pronoun-es "qui"-relativePronoun-fr
"quién"-pronoun-es "quel"-pronoun-fr
"qué"-pronoun-es "que"-relativePronoun-fr
"quel"-pronoun-fr "que"-relativePronoun-es
"quel"-pronoun-fr "quién"-pronoun-es
"celui-ci"-pronoun-fr "ése"-pronoun-es
"celui-ci"-pronoun-fr "ese"-pronoun-es
"celui-ci"-pronoun-fr "aquel"-pronoun-es
"celui-ci"-pronoun-fr "aquél"-pronoun-es
"ése"-pronoun-es "celui-ci"-pronoun-fr
"ése"-pronoun-es "celui"-pronoun-fr
"ese"-pronoun-es "celui-ci"-pronoun-fr
"ese"-pronoun-es "celui"-pronoun-fr
"aquel"-pronoun-es "celui-ci"-pronoun-fr
"aquél"-pronoun-es "celui-ci"-pronoun-fr
"aquél"-pronoun-es "celui"-pronoun-fr
"celui"-pronoun-fr "ése"-pronoun-es
"celui"-pronoun-fr "ese"-pronoun-es
"celui"-pronoun-fr "aquél"-pronoun-es
"te"-pronoun-fr "ti"-pronoun-es
"te"-pronoun-fr "mí"-pronoun-es
"te"-pronoun-fr "lo"-pronoun-es
"ti"-pronoun-es "te"-pronoun-fr
"ti"-pronoun-es "me"-pronoun-fr
"ti"-pronoun-es "vous"-pronoun-fr
"ti"-pronoun-es "nous"-pronoun-fr
"ti"-pronoun-es "moi"-pronoun-fr
"ti"-pronoun-es "le"-pronoun-fr
"ti"-pronoun-es "tu"-pronoun-fr
"mí"-pronoun-es "te"-pronoun-fr
"mí"-pronoun-es "me"-pronoun-fr
"mí"-pronoun-es "vous"-pronoun-fr
"mí"-pronoun-es "nous"-pronoun-fr
"mí"-pronoun-es "le"-pronoun-fr
"lo"-pronoun-es "te"-pronoun-fr
"lo"-pronoun-es "me"-pronoun-fr
"lo"-pronoun-es "vous"-pronoun-fr
"lo"-pronoun-es "nous"-pronoun-fr
"lo"-pronoun-es "moi"-pronoun-fr
"me"-pronoun-fr "ti"-pronoun-es
"me"-pronoun-fr "mí"-pronoun-es
"me"-pronoun-fr "lo"-pronoun-es
"vous"-pronoun-fr "ti"-pronoun-es
"vous"-pronoun-fr "mí"-pronoun-es
"vous"-pronoun-fr "lo"-pronoun-es
"nous"-pronoun-fr "ti"-pronoun-es
"nous"-pronoun-fr "mí"-pronoun-es
"nous"-pronoun-fr "lo"-pronoun-es
"moi"-pronoun-fr "ti"-pronoun-es
"moi"-pronoun-fr "lo"-pronoun-es
"moi"-pronoun-fr "yo"-pronoun-es
"yo"-pronoun-es "moi"-pronoun-fr
"le"-pronoun-fr "ti"-pronoun-es
"le"-pronoun-fr "mí"-pronoun-es
"tu"-pronoun-fr "ti"-pronoun-es
"sí"-pronoun-es "se"-reflexivePersonalPronoun-fr
"sí"-pronoun-es "se"-pronoun-fr
"se"-reflexivePersonalPronoun-fr "sí"-pronoun-es
"se"-pronoun-fr "sí"-pronoun-es
"on"-pronoun-fr "uno"-pronoun-es
"uno"-pronoun-es "on"-pronoun-fr
"tout le monde"-pronoun-fr "todo"-pronoun-es
"todo"-pronoun-es "tout le monde"-pronoun-fr
"où"-adverb-fr "donde"-relativePronoun-es
"donde"-relativePronoun-es "où"-adverb-fr
"por medio de"-preposition-es "moyennant"-preposition-fr
"moyennant"-preposition-fr "por medio de"-preposition-es
"conforme a"-preposition-es "selon"-preposition-fr
"selon"-preposition-fr "conforme a"-preposition-es
"debido a"-preposition-es "à cause de"-preposition-fr
"à cause de"-preposition-fr "debido a"-preposition-es
"excepto"-preposition-es "hors"-preposition-fr
"excepto"-preposition-es "sauf"-preposition-fr
"hors"-preposition-fr "excepto"-preposition-es
"hors"-preposition-fr "salvo"-preposition-es
"sauf"-preposition-fr "excepto"-preposition-es
"salvo"-preposition-es "hors"-preposition-fr
"salvo"-preposition-es "à l'exception de"-preposition-fr
"à l'exception de"-preposition-fr "salvo"-preposition-es
"hacia"-preposition-es "à"-preposition-fr
"à"-preposition-fr "hacia"-preposition-es
"envers"-preposition-fr "a"-preposition-es
"a"-preposition-es "envers"-preposition-fr
"a"-preposition-es "vers"-preposition-fr
"vers"-preposition-fr "a"-preposition-es
"de"-preposition-es "dès"-preposition-fr
"dès"-preposition-fr "de"-preposition-es
"de"-preposition-fr "desde"-preposition-es
"de"-preposition-fr "proveniente de"-preposition-es
"desde"-preposition-es "de"-preposition-fr
"proveniente de"-preposition-es "de"-preposition-fr
"par"-preposition-fr "para"-preposition-es
"para"-preposition-es "par"-preposition-fr
"para"-preposition-es "afin de"-preposition-fr
"derrière"-preposition-fr "tras"-preposition-es
"tras"-preposition-es "derrière"-preposition-fr
"après"-preposition-fr "en pos de"-preposition-es
"en pos de"-preposition-es "après"-preposition-fr
"par rapport à"-preposition-fr "en cuanto a"-preposition-es
"par rapport à"-preposition-fr "respecto a"-preposition-es
"par rapport à"-preposition-fr "en lo que se refiere a"-preposition-es
"par rapport à"-preposition-fr "en lo que respecta a"-preposition-es
"en cuanto a"-preposition-es "par rapport à"-preposition-fr
"en cuanto a"-preposition-es "pour ce qui est de"-preposition-fr
"en cuanto a"-preposition-es "quant à"-preposition-fr
"en cuanto a"-preposition-es "au sujet de"-preposition-fr
"respecto a"-preposition-es "par rapport à"-preposition-fr
"en lo que se refiere a"-preposition-es "par rapport à"-preposition-fr
"en lo que se refiere a"-preposition-es "pour ce qui est de"-preposition-fr
"en lo que se refiere a"-preposition-es "en ce qui concerne"-preposition-fr
"en lo que respecta a"-preposition-es "par rapport à"-preposition-fr
"en lo que respecta a"-preposition-es "pour ce qui est de"-preposition-fr
"en lo que respecta a"-preposition-es "quant à"-preposition-fr
"pour ce qui est de"-preposition-fr "en cuanto a"-preposition-es
"pour ce qui est de"-preposition-fr "en lo que se refiere a"-preposition-es
"pour ce qui est de"-preposition-fr "en lo que respecta a"-preposition-es
"pour ce qui est de"-preposition-fr "por lo que respecta a"-preposition-es
"por lo que respecta a"-preposition-es "pour ce qui est de"-preposition-fr
"por lo que respecta a"-preposition-es "en ce qui concerne"-preposition-fr
"quant à"-preposition-fr "en cuanto a"-preposition-es
"quant à"-preposition-fr "en lo que respecta a"-preposition-es
"en ce qui concerne"-preposition-fr "en lo que se refiere a"-preposition-es
"en ce qui concerne"-preposition-fr "por lo que respecta a"-preposition-es
"en ce qui concerne"-preposition-fr "con respecto a"-preposition-es
"en ce qui concerne"-preposition-fr "en lo relativo a"-preposition-es
"con respecto a"-preposition-es "en ce qui concerne"-preposition-fr
"en lo relativo a"-preposition-es "en ce qui concerne"-preposition-fr
"au sujet de"-preposition-fr "en cuanto a"-preposition-es
"por"-preposition-es "pour"-preposition-fr
"pour"-preposition-fr "por"-preposition-es
"afin de"-preposition-fr "para"-preposition-es
"bajo"-preposition-es "au-dessous de"-preposition-fr
"au-dessous de"-preposition-fr "bajo"-preposition-es
"au-dessous de"-preposition-fr "so"-preposition-es
"so"-preposition-es "au-dessous de"-preposition-fr
"parmi"-preposition-fr "por entre"-preposition-es
"por entre"-preposition-es "parmi"-preposition-fr
"devant"-preposition-fr "frente a"-preposition-es
"frente a"-preposition-es "devant"-preposition-fr
"parfait"-adjective-fr "impecable"-adjective-es
"impecable"-adjective-es "parfait"-adjective-fr
"igual"-adjective-es "pareil"-adjective-fr
"pareil"-adjective-fr "igual"-adjective-es
"avancer"-verb-fr "avanzar"-verb-es
"avanzar"-verb-es "avancer"-verb-fr
"photo"-noun-fr "fotografía"-noun-es
"fotografía"-noun-es "photo"-noun-fr
"frère"-noun-fr "fraile"-noun-es
"fraile"-noun-es "frère"-noun-fr
"vendedor"-noun-es "marchand"-noun-fr
"marchand"-noun-fr "vendedor"-noun-es
"tapis"-noun-fr "tapiz"-noun-es
"tapiz"-noun-es "tapis"-noun-fr
"alfombra"-noun-es "tapisserie"-noun-fr
"tapisserie"-noun-fr "alfombra"-noun-es
"trafic"-noun-fr "tránsito"-noun-es
"tránsito"-noun-es "trafic"-noun-fr
"alumno"-noun-es "écolier"-noun-fr
"écolier"-noun-fr "alumno"-noun-es
"farol"-noun-es "lanterne"-noun-fr
"lanterne"-noun-fr "farol"-noun-es
"futuro"-noun-es "avenir"-noun-fr
"avenir"-noun-fr "futuro"-noun-es
"futur"-noun-fr "porvenir"-noun-es
"porvenir"-noun-es "futur"-noun-fr
"expérience"-noun-fr "intento"-noun-es
"intento"-noun-es "expérience"-noun-fr
"intento"-noun-es "test"-noun-fr
"intento"-noun-es "essai"-noun-fr
"test"-noun-fr "intento"-noun-es
"essai"-noun-fr "intento"-noun-es
"brigand"-noun-fr "bandido"-noun-es
"bandido"-noun-es "brigand"-noun-fr
"couvent"-noun-fr "monasterio"-noun-es
"monasterio"-noun-es "couvent"-noun-fr
"connaissance"-noun-fr "saber"-noun-es
"saber"-noun-es "connaissance"-noun-fr
"contingence"-noun-fr "eventualidad"-noun-es
"eventualidad"-noun-es "contingence"-noun-fr
"espejo"-noun-es "glace"-noun-fr
"glace"-noun-fr "espejo"-noun-es
"glace"-noun-fr "hielo"-noun-es
"hielo"-noun-es "glace"-noun-fr
"entierro"-noun-es "enfouissement"-noun-fr
"enfouissement"-noun-fr "entierro"-noun-es
"tempête"-noun-fr "vendaval"-noun-es
"vendaval"-noun-es "tempête"-noun-fr
"similitud"-noun-es "similarité"-noun-fr
"similarité"-noun-fr "similitud"-noun-es
"aprovechamiento"-noun-es "profit"-noun-fr
"profit"-noun-fr "aprovechamiento"-noun-es
"arca"-noun-es "malle"-noun-fr
"malle"-noun-fr "arca"-noun-es
"pata"-noun-es "jambe"-noun-fr
"pata"-noun-es "pied"-noun-fr
"jambe"-noun-fr "pata"-noun-es
"pied"-noun-fr "pata"-noun-es
"recueil"-noun-fr "compilación"-noun-es
"compilación"-noun-es "recueil"-noun-fr
"estímulo"-noun-es "stimulant"-noun-fr
"stimulant"-noun-fr "estímulo"-noun-es
"annonce"-noun-fr "comunicado"-noun-es
"comunicado"-noun-es "annonce"-noun-fr
"comunicado"-noun-es "communication"-noun-fr
"comunicado"-noun-es "rapport"-noun-fr
"comunicado"-noun-es "information"-noun-fr
"comunicado"-noun-es "faire-part"-noun-fr
"comunicado"-noun-es "exposé"-noun-fr
"comunicado"-noun-es "déclaration"-noun-fr
"communication"-noun-fr "comunicado"-noun-es
"rapport"-noun-fr "comunicado"-noun-es
"rapport"-noun-fr "relación"-noun-es
"information"-noun-fr "comunicado"-noun-es
"faire-part"-noun-fr "comunicado"-noun-es
"exposé"-noun-fr "comunicado"-noun-es
"déclaration"-noun-fr "comunicado"-noun-es
"garçon"-noun-fr "niño"-noun-es
"niño"-noun-es "garçon"-noun-fr
"niño"-noun-es "infant"-noun-fr
"infant"-noun-fr "niño"-noun-es
"chico"-noun-es "enfant"-noun-fr
"enfant"-noun-fr "chico"-noun-es
"enfant"-noun-fr "muchacho"-noun-es
"enfant"-noun-fr "chaval"-noun-es
"enfant"-noun-fr "infante"-noun-es
"muchacho"-noun-es "enfant"-noun-fr
"chaval"-noun-es "enfant"-noun-fr
"infante"-noun-es "enfant"-noun-fr
"fille"-noun-fr "hijo"-noun-es
"hijo"-noun-es "fille"-noun-fr
"altitud"-noun-es "hauteur"-noun-fr
"hauteur"-noun-fr "altitud"-noun-es
"hauteur"-noun-fr "elevación"-noun-es
"elevación"-noun-es "hauteur"-noun-fr
"ligne"-noun-fr "raya"-noun-es
"raya"-noun-es "ligne"-noun-fr
"chef"-noun-fr "líder"-noun-es
"líder"-noun-es "chef"-noun-fr
"cabeza"-noun-es "cap"-noun-fr
"cap"-noun-fr "cabeza"-noun-es
"obtention"-noun-fr "consecución"-noun-es
"consecución"-noun-es "obtention"-noun-fr
"introduction"-noun-fr "prólogo"-noun-es
"prólogo"-noun-es "introduction"-noun-fr
"ofensa"-noun-es "offense"-noun-fr
"offense"-noun-fr "ofensa"-noun-es
"caso"-noun-es "situation"-noun-fr
"situation"-noun-fr "caso"-noun-es
"recherche"-noun-fr "exploración"-noun-es
"exploración"-noun-es "recherche"-noun-fr
"iniciativa"-noun-es "entreprise"-noun-fr
"entreprise"-noun-fr "iniciativa"-noun-es
"entreprise"-noun-fr "establecimiento"-noun-es
"establecimiento"-noun-es "entreprise"-noun-fr
"establecimiento"-noun-es "firme"-noun-fr
"firme"-noun-fr "establecimiento"-noun-es
"terre"-noun-fr "suelo"-noun-es
"suelo"-noun-es "terre"-noun-fr
"tierra"-noun-es "sol"-noun-fr
"sol"-noun-fr "tierra"-noun-es
"carretera"-noun-es "voie"-noun-fr
"voie"-noun-fr "carretera"-noun-es
"voie"-noun-fr "camino"-noun-es
"camino"-noun-es "voie"-noun-fr
"campo"-noun-es "campagne"-noun-fr
"campagne"-noun-fr "campo"-noun-es
"tir"-noun-fr "disparo"-noun-es
"disparo"-noun-es "tir"-noun-fr
"distribución"-noun-es "répartition"-noun-fr
"répartition"-noun-fr "distribución"-noun-es
"reparto"-noun-es "division"-noun-fr
"division"-noun-fr "reparto"-noun-es
"dominio"-noun-es "domaine"-noun-fr
"domaine"-noun-fr "dominio"-noun-es
"milieu"-noun-fr "entorno"-noun-es
"entorno"-noun-es "milieu"-noun-fr
"salle"-noun-fr "salón"-noun-es
"salle"-noun-fr "habitación"-noun-es
"salón"-noun-es "salle"-noun-fr
"habitación"-noun-es "salle"-noun-fr
"conductor"-noun-es "chauffeur"-noun-fr
"chauffeur"-noun-fr "conductor"-noun-es
"estimación"-noun-es "évaluation"-noun-fr
"estimación"-noun-es "appréciation"-noun-fr
"évaluation"-noun-fr "estimación"-noun-es
"évaluation"-noun-fr "apreciación"-noun-es
"évaluation"-noun-fr "valoración"-noun-es
"appréciation"-noun-fr "estimación"-noun-es
"appréciation"-noun-fr "valoración"-noun-es
"apreciación"-noun-es "évaluation"-noun-fr
"valoración"-noun-es "évaluation"-noun-fr
"valoración"-noun-es "appréciation"-noun-fr
"trace"-noun-fr "vestigio"-noun-es
"vestigio"-noun-es "trace"-noun-fr
"facultad"-noun-es "aptitude"-noun-fr
"aptitude"-noun-fr "facultad"-noun-es
"colegio"-noun-es "école"-noun-fr
"école"-noun-fr "colegio"-noun-es
"nourriture"-noun-fr "comida"-noun-es
"comida"-noun-es "nourriture"-noun-fr
"papel"-noun-es "rôle"-noun-fr
"rôle"-noun-fr "papel"-noun-es
"carta"-noun-es "carte"-noun-fr
"carte"-noun-fr "carta"-noun-es
"construction"-noun-fr "edificación"-noun-es
"edificación"-noun-es "construction"-noun-fr
"edificación"-noun-es "bâtiment"-noun-fr
"construcción"-noun-es "bâtiment"-noun-fr
"bâtiment"-noun-fr "edificación"-noun-es
"bâtiment"-noun-fr "construcción"-noun-es
"coopération"-noun-fr "colaboración"-noun-es
"colaboración"-noun-es "coopération"-noun-fr
"contribution"-noun-fr "aportación"-noun-es
"aportación"-noun-es "contribution"-noun-fr
"langue"-noun-fr "idioma"-noun-es
"idioma"-noun-es "langue"-noun-fr
"accord"-noun-fr "convenio"-noun-es
"convenio"-noun-es "accord"-noun-fr
"utilisation"-noun-fr "empleo"-noun-es
"empleo"-noun-es "utilisation"-noun-fr
"empleo"-noun-es "usage"-noun-fr
"utilización"-noun-es "usage"-noun-fr
"usage"-noun-fr "empleo"-noun-es
"usage"-noun-fr "utilización"-noun-es
"emploi"-noun-fr "uso"-noun-es
"emploi"-noun-fr "oficio"-noun-es
"uso"-noun-es "emploi"-noun-fr
"oficio"-noun-es "emploi"-noun-fr
"oficio"-noun-es "travail"-noun-fr
"oficio"-noun-es "charge"-noun-fr
"oficio"-noun-es "poste"-noun-fr
"faena"-noun-es "travail"-noun-fr
"travail"-noun-fr "oficio"-noun-es
"travail"-noun-fr "faena"-noun-es
"travail"-noun-fr "curro"-noun-es
"charge"-noun-fr "oficio"-noun-es
"poste"-noun-fr "oficio"-noun-es
"poste"-noun-fr "correo"-noun-es
"curro"-noun-es "travail"-noun-fr
"correo"-noun-es "poste"-noun-fr
"tenedor"-noun-es "bifurcation"-noun-fr
"bifurcation"-noun-fr "tenedor"-noun-es
"hutte"-noun-fr "cabaña"-noun-es
"cabaña"-noun-es "hutte"-noun-fr
"cabaña"-noun-es "cahute"-noun-fr
"cahute"-noun-fr "cabaña"-noun-es
"puesto"-noun-es "site"-noun-fr
"puesto"-noun-es "endroit"-noun-fr
"puesto"-noun-es "lieu"-noun-fr
"puesto"-noun-es "place"-noun-fr
"site"-noun-fr "puesto"-noun-es
"site"-noun-fr "sitio"-noun-es
"site"-noun-fr "lugar"-noun-es
"endroit"-noun-fr "puesto"-noun-es
"endroit"-noun-fr "lugar"-noun-es
"lieu"-noun-fr "puesto"-noun-es
"lieu"-noun-fr "sitio"-noun-es
"place"-noun-fr "puesto"-noun-es
"place"-noun-fr "sitio"-noun-es
"sitio"-noun-es "site"-noun-fr
"sitio"-noun-es "lieu"-noun-fr
"sitio"-noun-es "place"-noun-fr
"lugar"-noun-es "site"-noun-fr
"lugar"-noun-es "endroit"-noun-fr
"prêtre"-noun-fr "cura"-noun-es
"cura"-noun-es "prêtre"-noun-fr
"padre"-noun-es "parent"-noun-fr
"parent"-noun-fr "padre"-noun-es
"causa"-noun-es "raison"-noun-fr
"causa"-noun-es "chose"-noun-fr
"raison"-noun-fr "causa"-noun-es
"raison"-noun-fr "porqué"-noun-es
"chose"-noun-fr "causa"-noun-es
"porqué"-noun-es "raison"-noun-fr
"expediente"-noun-es "fichier"-noun-fr
"fichier"-noun-fr "expediente"-noun-es
"échec"-noun-fr "revés"-noun-es
"revés"-noun-es "échec"-noun-fr
"remise"-noun-fr "rebaja"-noun-es
"rebaja"-noun-es "remise"-noun-fr
"réduction"-noun-fr "descuento"-noun-es
"descuento"-noun-es "réduction"-noun-fr
"chambre"-noun-fr "cámara"-noun-es
"cámara"-noun-es "chambre"-noun-fr
"boca"-noun-es "gueule"-noun-fr
"gueule"-noun-fr "boca"-noun-es
"sommet"-noun-fr "cima"-noun-es
"cima"-noun-es "sommet"-noun-fr
"putsch"-noun-fr "golpe"-noun-es
"golpe"-noun-es "putsch"-noun-fr
"golpe"-noun-es "fois"-noun-fr
"fois"-noun-fr "golpe"-noun-es
"coup"-noun-fr "vez"-noun-es
"vez"-noun-es "coup"-noun-fr
"garantía"-noun-es "gage"-noun-fr
"garantía"-noun-es "aval"-noun-fr
"gage"-noun-fr "garantía"-noun-es
"aval"-noun-fr "garantía"-noun-es
"côté"-noun-fr "lateral"-noun-es
"lateral"-noun-es "côté"-noun-fr
"lado"-noun-es "canton"-noun-fr
"canton"-noun-fr "lado"-noun-es
"falta"-noun-es "manque"-noun-fr
"manque"-noun-fr "falta"-noun-es
"faute"-noun-fr "carencia"-noun-es
"faute"-noun-fr "culpa"-noun-es
"carencia"-noun-es "faute"-noun-fr
