"intimement"-adverb-fr "íntimamente"-adverb-es
"con anterioridad"-adverb-es "précédemment"-adverb-fr
"précédemment"-adverb-fr "con anterioridad"-adverb-es
"espontáneamente"-adverb-es "spontanément"-adverb-fr
"spontanément"-adverb-fr "espontáneamente"-adverb-es
"brevemente"-adverb-es "brièvement"-adverb-fr
"brièvement"-adverb-fr "brevemente"-adverb-es
"au moyen de"-preposition-fr "por intermedio de"-preposition-es
"por intermedio de"-preposition-es "au moyen de"-preposition-fr
"a partir de"-preposition-es "à partir de"-preposition-fr
"à partir de"-preposition-fr "a partir de"-preposition-es
"de la part de"-preposition-fr "por parte de"-preposition-es
"por parte de"-preposition-es "de la part de"-preposition-fr
"junto a"-preposition-es "à côté de"-preposition-fr
"à côté de"-preposition-fr "junto a"-preposition-es
"antes de"-preposition-es "avant"-preposition-fr
"avant"-preposition-fr "antes de"-preposition-es
"concis"-adjective-fr "conciso"-adjective-es
"conciso"-adjective-es "concis"-adjective-fr
"caritatif"-adjective-fr "caritativo"-adjective-es
"caritativo"-adjective-es "caritatif"-adjective-fr
"caritativo"-adjective-es "charitable"-adjective-fr
"charitable"-adjective-fr "caritativo"-adjective-es
"récolte"-noun-fr "cosecha"-noun-es
"cosecha"-noun-es "récolte"-noun-fr
"cosecha"-noun-es "moisson"-noun-fr
"moisson"-noun-fr "cosecha"-noun-es
"clerc"-noun-fr "clérigo"-noun-es
"clérigo"-noun-es "clerc"-noun-fr
"Romain"-properNoun-fr "Romain"-properNoun-es
"Romain"-properNoun-es "Romain"-properNoun-fr
"Romain"-properNoun-es "Romain"-noun-fr
"Romain"-noun-fr "Romain"-properNoun-es
"Romain"-noun-fr "romano"-noun-es
"romano"-noun-es "Romain"-noun-fr
"idylle"-noun-fr "idilio"-noun-es
"idilio"-noun-es "idylle"-noun-fr
"cataclisme"-noun-fr "cataclismo"-noun-es
"cataclismo"-noun-es "cataclisme"-noun-fr
"antipathie"-noun-fr "antipatía"-noun-es
"antipatía"-noun-es "antipathie"-noun-fr
"antithèse"-noun-fr "antítesis"-noun-es
"antítesis"-noun-es "antithèse"-noun-fr
"narcótico"-noun-es "narcotique"-noun-fr
"narcotique"-noun-fr "narcótico"-noun-es
"monseñor"-noun-es "monseigneur"-noun-fr
"monseigneur"-noun-fr "monseñor"-noun-es
"vocal"-noun-es "voyelle"-noun-fr
"voyelle"-noun-fr "vocal"-noun-es
"colono"-noun-es "colon"-noun-fr
"colon"-noun-fr "colono"-noun-es
"renacimiento"-noun-es "renaissance"-noun-fr
"renaissance"-noun-fr "renacimiento"-noun-es
"essaim"-noun-fr "enjambre"-noun-es
"enjambre"-noun-es "essaim"-noun-fr
"contagion"-noun-fr "contagio"-noun-es
"contagio"-noun-es "contagion"-noun-fr
"épervier"-noun-fr "gavilán"-noun-es
"gavilán"-noun-es "épervier"-noun-fr
"ciment"-noun-fr "cemento"-noun-es
"cemento"-noun-es "ciment"-noun-fr
"écume"-noun-fr "espuma"-noun-es
"espuma"-noun-es "écume"-noun-fr
"espuma"-noun-es "mousse"-noun-fr
"mousse"-noun-fr "espuma"-noun-es
"tempérament"-noun-fr "temperamento"-noun-es
"temperamento"-noun-es "tempérament"-noun-fr
"puerro"-noun-es "poireau"-noun-fr
"poireau"-noun-fr "puerro"-noun-es
"encens"-noun-fr "incienso"-noun-es
"incienso"-noun-es "encens"-noun-fr
"radical"-noun-es "radical"-noun-fr
"radical"-noun-fr "radical"-noun-es
"buey"-noun-es "bœuf"-noun-fr
"bœuf"-noun-fr "buey"-noun-es
"comte"-noun-fr "conde"-noun-es
"conde"-noun-es "comte"-noun-fr
"conde"-noun-es "comtesse"-noun-fr
"comtesse"-noun-fr "conde"-noun-es
"cereal"-noun-es "céréale"-noun-fr
"céréale"-noun-fr "cereal"-noun-es
"condimento"-noun-es "condiment"-noun-fr
"condiment"-noun-fr "condimento"-noun-es
"blindage"-noun-fr "blindaje"-noun-es
"blindaje"-noun-es "blindage"-noun-fr
"zueco"-noun-es "sabot"-noun-fr
"sabot"-noun-fr "zueco"-noun-es
"sabot"-noun-fr "pezuña"-noun-es
"pezuña"-noun-es "sabot"-noun-fr
"costra"-noun-es "croûte"-noun-fr
"croûte"-noun-fr "costra"-noun-es
"chauffage"-noun-fr "calefacción"-noun-es
"calefacción"-noun-es "chauffage"-noun-fr
"cucharón"-noun-es "louche"-noun-fr
"louche"-noun-fr "cucharón"-noun-es
"meeting"-noun-fr "mitin"-noun-es
"mitin"-noun-es "meeting"-noun-fr
"nodriza"-noun-es "nourrice"-noun-fr
"nourrice"-noun-fr "nodriza"-noun-es
"parodie"-noun-fr "parodia"-noun-es
"parodia"-noun-es "parodie"-noun-fr
"tablier"-noun-fr "delantal"-noun-es
"delantal"-noun-es "tablier"-noun-fr
"remords"-noun-fr "remordimiento"-noun-es
"remordimiento"-noun-es "remords"-noun-fr
"entusiasmo"-noun-es "enthousiasme"-noun-fr
"entusiasmo"-noun-es "engouement"-noun-fr
"enthousiasme"-noun-fr "entusiasmo"-noun-es
"engouement"-noun-fr "entusiasmo"-noun-es
"enigma"-noun-es "énigme"-noun-fr
"énigme"-noun-fr "enigma"-noun-es
"seigle"-noun-fr "centeno"-noun-es
"centeno"-noun-es "seigle"-noun-fr
"colmillo"-noun-es "canine"-noun-fr
"canine"-noun-fr "colmillo"-noun-es
"calomnie"-noun-fr "calumnia"-noun-es
"calumnia"-noun-es "calomnie"-noun-fr
"Sierra"-properNoun-es "Sierra"-properNoun-fr
"Sierra"-properNoun-es "Sierra"-noun-fr
"Sierra"-properNoun-fr "Sierra"-properNoun-es
"Sierra"-noun-fr "Sierra"-properNoun-es
"abaque"-noun-fr "ábaco"-noun-es
"ábaco"-noun-es "abaque"-noun-fr
"cafétéria"-noun-fr "cafetería"-noun-es
"cafetería"-noun-es "cafétéria"-noun-fr
"coincidencia"-noun-es "coïncidence"-noun-fr
"coïncidence"-noun-fr "coincidencia"-noun-es
"concilio"-noun-es "concile"-noun-fr
"concile"-noun-fr "concilio"-noun-es
"civisme"-noun-fr "civismo"-noun-es
"civismo"-noun-es "civisme"-noun-fr
"difunto"-noun-es "défunt"-noun-fr
"défunt"-noun-fr "difunto"-noun-es
"imperfection"-noun-fr "imperfección"-noun-es
"imperfección"-noun-es "imperfection"-noun-fr
"appareil photo"-noun-fr "cámara fotográfica"-noun-es
"cámara fotográfica"-noun-es "appareil photo"-noun-fr
"raisin sec"-noun-fr "pasa"-noun-es
"pasa"-noun-es "raisin sec"-noun-fr
"processeur"-noun-fr "procesador"-noun-es
"procesador"-noun-es "processeur"-noun-fr
"rouille"-noun-fr "óxido"-noun-es
"óxido"-noun-es "rouille"-noun-fr
"joug"-noun-fr "yugo"-noun-es
"yugo"-noun-es "joug"-noun-fr
"encía"-noun-es "gencive"-noun-fr
"gencive"-noun-fr "encía"-noun-es
"corbeau"-noun-fr "cuervo"-noun-es
"cuervo"-noun-es "corbeau"-noun-fr
"coral"-noun-es "chorale"-noun-fr
"chorale"-noun-fr "coral"-noun-es
"fée"-noun-fr "hada"-noun-es
"hada"-noun-es "fée"-noun-fr
"ascenseur"-noun-fr "ascensor"-noun-es
"ascensor"-noun-es "ascenseur"-noun-fr
"charnière"-noun-fr "bisagra"-noun-es
"bisagra"-noun-es "charnière"-noun-fr
"museau"-noun-fr "morro"-noun-es
"morro"-noun-es "museau"-noun-fr
"symposium"-noun-fr "simposio"-noun-es
"simposio"-noun-es "symposium"-noun-fr
"nomenclatura"-noun-es "nomenclature"-noun-fr
"nomenclature"-noun-fr "nomenclatura"-noun-es
"basse"-noun-fr "bajo"-noun-es
"bajo"-noun-es "basse"-noun-fr
"disciple"-noun-fr "discípulo"-noun-es
"discípulo"-noun-es "disciple"-noun-fr
"concorde"-noun-fr "concordia"-noun-es
"concordia"-noun-es "concorde"-noun-fr
"chanvre"-noun-fr "cáñamo"-noun-es
"cáñamo"-noun-es "chanvre"-noun-fr
"aviateur"-noun-fr "aviador"-noun-es
"aviador"-noun-es "aviateur"-noun-fr
"flûte"-noun-fr "flauta"-noun-es
"flauta"-noun-es "flûte"-noun-fr
"analogie"-noun-fr "analogía"-noun-es
"analogía"-noun-es "analogie"-noun-fr
"commandant"-noun-fr "comandante"-noun-es
"comandante"-noun-es "commandant"-noun-fr
"sorcellerie"-noun-fr "brujería"-noun-es
"brujería"-noun-es "sorcellerie"-noun-fr
"cajón"-noun-es "tiroir"-noun-fr
"tiroir"-noun-fr "cajón"-noun-es
"broussaille"-noun-fr "matorral"-noun-es
"matorral"-noun-es "broussaille"-noun-fr
"preámbulo"-noun-es "préambule"-noun-fr
"préambule"-noun-fr "preámbulo"-noun-es
"reporter"-noun-fr "reportero"-noun-es
"reportero"-noun-es "reporter"-noun-fr
"chaussée"-noun-fr "calzada"-noun-es
"calzada"-noun-es "chaussée"-noun-fr
"camping"-noun-fr "camping"-noun-es
"camping"-noun-es "camping"-noun-fr
"surco"-noun-es "sillon"-noun-fr
"sillon"-noun-fr "surco"-noun-es
"sillon"-noun-fr "arruga"-noun-es
"arruga"-noun-es "sillon"-noun-fr
"arruga"-noun-es "ride"-noun-fr
"ride"-noun-fr "arruga"-noun-es
"escisión"-noun-es "scission"-noun-fr
"scission"-noun-fr "escisión"-noun-es
"règne"-noun-fr "reinado"-noun-es
"reinado"-noun-es "règne"-noun-fr
"faubourg"-noun-fr "suburbio"-noun-es
"suburbio"-noun-es "faubourg"-noun-fr
"parking"-noun-es "parking"-noun-fr
"parking"-noun-fr "parking"-noun-es
"concordancia"-noun-es "entente"-noun-fr
"entente"-noun-fr "concordancia"-noun-es
"discorde"-noun-fr "discordia"-noun-es
"discordia"-noun-es "discorde"-noun-fr
"doblez"-noun-es "pliure"-noun-fr
"pliure"-noun-fr "doblez"-noun-es
"étang"-noun-fr "estaño"-noun-es
"estaño"-noun-es "étang"-noun-fr
"crête"-noun-fr "cresta"-noun-es
"cresta"-noun-es "crête"-noun-fr
"culminación"-noun-es "culmination"-noun-fr
"culmination"-noun-fr "culminación"-noun-es
"briquet"-noun-fr "mechero"-noun-es
"briquet"-noun-fr "encendedor"-noun-es
"mechero"-noun-es "briquet"-noun-fr
"encendedor"-noun-es "briquet"-noun-fr
"pile"-noun-fr "pila"-noun-es
"pila"-noun-es "pile"-noun-fr
"armada"-noun-es "armada"-noun-fr
"armada"-noun-fr "armada"-noun-es
"arpa"-noun-es "harpe"-noun-fr
"harpe"-noun-fr "arpa"-noun-es
"edicto"-noun-es "édit"-noun-fr
"édit"-noun-fr "edicto"-noun-es
"misericordia"-noun-es "miséricorde"-noun-fr
"miséricorde"-noun-fr "misericordia"-noun-es
"buste"-noun-fr "busto"-noun-es
"busto"-noun-es "buste"-noun-fr
"hilera"-noun-es "rangée"-noun-fr
"rangée"-noun-fr "hilera"-noun-es
"junco"-noun-es "jonc"-noun-fr
"jonc"-noun-fr "junco"-noun-es
"slogan"-noun-fr "eslogan"-noun-es
"eslogan"-noun-es "slogan"-noun-fr
"caracol"-noun-es "escargot"-noun-fr
"escargot"-noun-fr "caracol"-noun-es
"tornillo"-noun-es "vis"-noun-fr
"vis"-noun-fr "tornillo"-noun-es
"gratitud"-noun-es "gratitude"-noun-fr
"gratitude"-noun-fr "gratitud"-noun-es
"bêtise"-noun-fr "estupidez"-noun-es
"bêtise"-noun-fr "gilipollez"-noun-es
"estupidez"-noun-es "bêtise"-noun-fr
"estupidez"-noun-es "stupidité"-noun-fr
"estupidez"-noun-es "idiotie"-noun-fr
"gilipollez"-noun-es "bêtise"-noun-fr
"stupidité"-noun-fr "estupidez"-noun-es
"idiotie"-noun-fr "estupidez"-noun-es
"estime"-noun-fr "estima"-noun-es
"estima"-noun-es "estime"-noun-fr
"spécimen"-noun-fr "espécimen"-noun-es
"espécimen"-noun-es "spécimen"-noun-fr
"trenza"-noun-es "tresse"-noun-fr
"tresse"-noun-fr "trenza"-noun-es
"chariot"-noun-fr "carreta"-noun-es
"carreta"-noun-es "chariot"-noun-fr
"turbine"-noun-fr "turbina"-noun-es
"turbina"-noun-es "turbine"-noun-fr
"hobby"-noun-fr "pasatiempo"-noun-es
"pasatiempo"-noun-es "hobby"-noun-fr
"arête"-noun-fr "arista"-noun-es
"arista"-noun-es "arête"-noun-fr
"fable"-noun-fr "patraña"-noun-es
"patraña"-noun-es "fable"-noun-fr
"cruzada"-noun-es "croisade"-noun-fr
"croisade"-noun-fr "cruzada"-noun-es
"chemin de fer"-noun-fr "ferrocarril"-noun-es
"ferrocarril"-noun-es "chemin de fer"-noun-fr
"perseverancia"-noun-es "persévérance"-noun-fr
"persévérance"-noun-fr "perseverancia"-noun-es
"prouesse"-noun-fr "proeza"-noun-es
"proeza"-noun-es "prouesse"-noun-fr
"arrogance"-noun-fr "arrogancia"-noun-es
"arrogancia"-noun-es "arrogance"-noun-fr
"manufactura"-noun-es "manufacture"-noun-fr
"manufacture"-noun-fr "manufactura"-noun-es
"caldera"-noun-es "chaudron"-noun-fr
"caldera"-noun-es "chaudière"-noun-fr
"chaudron"-noun-fr "caldera"-noun-es
"chaudière"-noun-fr "caldera"-noun-es
"jarre"-noun-fr "jarra"-noun-es
"jarra"-noun-es "jarre"-noun-fr
"membrane"-noun-fr "membrana"-noun-es
"membrana"-noun-es "membrane"-noun-fr
"renoncement"-noun-fr "renuncia"-noun-es
"renuncia"-noun-es "renoncement"-noun-fr
"gemme"-noun-fr "gema"-noun-es
"gema"-noun-es "gemme"-noun-fr
"gema"-noun-es "bourgeon"-noun-fr
"bourgeon"-noun-fr "gema"-noun-es
"alfiler"-noun-es "épingle"-noun-fr
"épingle"-noun-fr "alfiler"-noun-es
"cañería"-noun-es "tube"-noun-fr
"tube"-noun-fr "cañería"-noun-es
"tube"-noun-fr "hit"-noun-es
"hit"-noun-es "tube"-noun-fr
"hit"-noun-es "chanson à succès"-noun-fr
"hit"-noun-es "hit"-noun-fr
"chanson à succès"-noun-fr "hit"-noun-es
"hit"-noun-fr "hit"-noun-es
"trompa"-noun-es "trompe"-noun-fr
"trompe"-noun-fr "trompa"-noun-es
"flanco"-noun-es "flanc"-noun-fr
"flanc"-noun-fr "flanco"-noun-es
"prairie"-noun-fr "pradera"-noun-es
"pradera"-noun-es "prairie"-noun-fr
"burbuja"-noun-es "bulle"-noun-fr
"bulle"-noun-fr "burbuja"-noun-es
"fosse"-noun-fr "fosa"-noun-es
"fosa"-noun-es "fosse"-noun-fr
"balançoire"-noun-fr "columpio"-noun-es
"columpio"-noun-es "balançoire"-noun-fr
"desenvolvimiento"-noun-es "déroulement"-noun-fr
"déroulement"-noun-fr "desenvolvimiento"-noun-es
"locuteur"-noun-fr "hablante"-noun-es
"hablante"-noun-es "locuteur"-noun-fr
"hedor"-noun-es "pudeur"-noun-fr
"pudeur"-noun-fr "hedor"-noun-es
"pudeur"-noun-fr "pudor"-noun-es
"pudor"-noun-es "pudeur"-noun-fr
"azote"-noun-es "fouet"-noun-fr
"fouet"-noun-fr "azote"-noun-es
"éclatement"-noun-fr "estallido"-noun-es
"estallido"-noun-es "éclatement"-noun-fr
"agüero"-noun-es "présage"-noun-fr
"présage"-noun-fr "agüero"-noun-es
"indulgence"-noun-fr "indulgencia"-noun-es
"indulgencia"-noun-es "indulgence"-noun-fr
"excremento"-noun-es "excrément"-noun-fr
"excrément"-noun-fr "excremento"-noun-es
"ascendant"-noun-fr "ascendencia"-noun-es
"ascendant"-noun-fr "ascendiente"-noun-es
"ascendencia"-noun-es "ascendant"-noun-fr
"ascendiente"-noun-es "ascendant"-noun-fr
"imprevisto"-adjective-es "imprévu"-adjective-fr
"imprévu"-adjective-fr "imprevisto"-adjective-es
"osar"-verb-es "oser"-verb-fr
"oser"-verb-fr "osar"-verb-es
"oser"-verb-fr "atrever"-verb-es
"atrever"-verb-es "oser"-verb-fr
"impur"-adjective-fr "impuro"-adjective-es
"impuro"-adjective-es "impur"-adjective-fr
"nutritivo"-adjective-es "nutritif"-adjective-fr
"nutritif"-adjective-fr "nutritivo"-adjective-es
"commuter"-verb-fr "conmutar"-verb-es
"conmutar"-verb-es "commuter"-verb-fr
"converger"-verb-fr "converger"-verb-es
"converger"-verb-es "converger"-verb-fr
"immaculé"-adjective-fr "inmaculado"-adjective-es
"inmaculado"-adjective-es "immaculé"-adjective-fr
"sporadique"-adjective-fr "esporádico"-adjective-es
"esporádico"-adjective-es "sporadique"-adjective-fr
"montagnard"-adjective-fr "montañoso"-adjective-es
"montañoso"-adjective-es "montagnard"-adjective-fr
"montañoso"-adjective-es "montagneux"-adjective-fr
"montagneux"-adjective-fr "montañoso"-adjective-es
"escénico"-adjective-es "scénique"-adjective-fr
"scénique"-adjective-fr "escénico"-adjective-es
"ésotérique"-adjective-fr "esotérico"-adjective-es
"esotérico"-adjective-es "ésotérique"-adjective-fr
"combativo"-adjective-es "combatif"-adjective-fr
"combatif"-adjective-fr "combativo"-adjective-es
"fatigué"-adjective-fr "cansado"-adjective-es
"cansado"-adjective-es "fatigué"-adjective-fr
"sédentaire"-adjective-fr "sedentario"-adjective-es
"sedentario"-adjective-es "sédentaire"-adjective-fr
"obscène"-adjective-fr "obsceno"-adjective-es
"obsceno"-adjective-es "obscène"-adjective-fr
"pessimiste"-adjective-fr "pesimista"-adjective-es
"pesimista"-adjective-es "pessimiste"-adjective-fr
"galante"-adjective-es "galant"-adjective-fr
"galant"-adjective-fr "galante"-adjective-es
"humble"-adjective-fr "humilde"-adjective-es
"humilde"-adjective-es "humble"-adjective-fr
"celoso"-adjective-es "jaloux"-adjective-fr
"jaloux"-adjective-fr "celoso"-adjective-es
"aristocratique"-adjective-fr "aristocrático"-adjective-es
"aristocrático"-adjective-es "aristocratique"-adjective-fr
"diacrítico"-adjective-es "diacritique"-adjective-fr
"diacritique"-adjective-fr "diacrítico"-adjective-es
"inné"-adjective-fr "innato"-adjective-es
"innato"-adjective-es "inné"-adjective-fr
"autochtone"-adjective-fr "autóctono"-adjective-es
"autóctono"-adjective-es "autochtone"-adjective-fr
"inertiel"-adjective-fr "inercial"-adjective-es
"inercial"-adjective-es "inertiel"-adjective-fr
"inercial"-adjective-es "d'inertie"-adjective-fr
"d'inertie"-adjective-fr "inercial"-adjective-es
"inerte"-adjective-es "inerte"-adjective-fr
"inerte"-adjective-fr "inerte"-adjective-es
"cultivé"-adjective-fr "culto"-adjective-es
"culto"-adjective-es "cultivé"-adjective-fr
"mamar"-verb-es "téter"-verb-fr
"téter"-verb-fr "mamar"-verb-es
"lubrifier"-verb-fr "lubricar"-verb-es
"lubricar"-verb-es "lubrifier"-verb-fr
"tejer"-verb-es "tisser"-verb-fr
"tisser"-verb-fr "tejer"-verb-es
"involuntario"-adjective-es "involontaire"-adjective-fr
"involontaire"-adjective-fr "involuntario"-adjective-es
"coder"-verb-fr "codificar"-verb-es
"codificar"-verb-es "coder"-verb-fr
"inventariar"-verb-es "inventorier"-verb-fr
"inventorier"-verb-fr "inventariar"-verb-es
"émaner"-verb-fr "emanar"-verb-es
"emanar"-verb-es "émaner"-verb-fr
"conmemorar"-verb-es "commémorer"-verb-fr
"commémorer"-verb-fr "conmemorar"-verb-es
"divergent"-adjective-fr "divergente"-adjective-es
"divergente"-adjective-es "divergent"-adjective-fr
"incohérent"-adjective-fr "incoherente"-adjective-es
"incoherente"-adjective-es "incohérent"-adjective-fr
"déporter"-verb-fr "deportar"-verb-es
"deportar"-verb-es "déporter"-verb-fr
"neutre"-adjective-fr "neutro"-adjective-es
"neutre"-adjective-fr "neutral"-adjective-es
"neutro"-adjective-es "neutre"-adjective-fr
"neutral"-adjective-es "neutre"-adjective-fr
"prématuré"-adjective-fr "prematuro"-adjective-es
"prematuro"-adjective-es "prématuré"-adjective-fr
"malhonnête"-adjective-fr "deshonesto"-adjective-es
"deshonesto"-adjective-es "malhonnête"-adjective-fr
"imaginatif"-adjective-fr "imaginativo"-adjective-es
"imaginativo"-adjective-es "imaginatif"-adjective-fr
"convexo"-adjective-es "convexe"-adjective-fr
"convexe"-adjective-fr "convexo"-adjective-es
"strident"-adjective-fr "estridente"-adjective-es
"estridente"-adjective-es "strident"-adjective-fr
"erótico"-adjective-es "érotique"-adjective-fr
"érotique"-adjective-fr "erótico"-adjective-es
"diabolique"-adjective-fr "diabólico"-adjective-es
"diabólico"-adjective-es "diabolique"-adjective-fr
"sobrevivir"-verb-es "survivre"-verb-fr
"survivre"-verb-fr "sobrevivir"-verb-es
"lúcido"-adjective-es "lucide"-adjective-fr
"lucide"-adjective-fr "lúcido"-adjective-es
"separado"-adjective-es "séparé"-adjective-fr
"séparé"-adjective-fr "separado"-adjective-es
"mignon"-adjective-fr "encantador"-adjective-es
"encantador"-adjective-es "mignon"-adjective-fr
"encantador"-adjective-es "charmant"-adjective-fr
"charmant"-adjective-fr "encantador"-adjective-es
"indigne"-adjective-fr "indigno"-adjective-es
"indigno"-adjective-es "indigne"-adjective-fr
"obtus"-adjective-fr "obtuso"-adjective-es
"obtuso"-adjective-es "obtus"-adjective-fr
"frivole"-adjective-fr "frívolo"-adjective-es
"frívolo"-adjective-es "frivole"-adjective-fr
"animado"-adjective-es "animé"-adjective-fr
"animé"-adjective-fr "animado"-adjective-es
"viviente"-adjective-es "vivant"-adjective-fr
"vivant"-adjective-fr "viviente"-adjective-es
"penetrante"-adjective-es "pénétrant"-adjective-fr
"pénétrant"-adjective-fr "penetrante"-adjective-es
"harto"-adjective-es "repu"-adjective-fr
"repu"-adjective-fr "harto"-adjective-es
"gruñir"-verb-es "grogner"-verb-fr
"grogner"-verb-fr "gruñir"-verb-es
"inadéquat"-adjective-fr "inapropiado"-adjective-es
"inapropiado"-adjective-es "inadéquat"-adjective-fr
"enclin"-adjective-fr "propenso"-adjective-es
"propenso"-adjective-es "enclin"-adjective-fr
"légitimer"-verb-fr "legitimar"-verb-es
"legitimar"-verb-es "légitimer"-verb-fr
"confisquer"-verb-fr "incautar"-verb-es
"confisquer"-verb-fr "confiscar"-verb-es
"incautar"-verb-es "confisquer"-verb-fr
"confiscar"-verb-es "confisquer"-verb-fr
"impertinente"-adjective-es "impertinent"-adjective-fr
"impertinent"-adjective-fr "impertinente"-adjective-es
"éhonté"-adjective-fr "desvergonzado"-adjective-es
"desvergonzado"-adjective-es "éhonté"-adjective-fr
"nulo"-adjective-es "nul"-adjective-fr
"nul"-adjective-fr "nulo"-adjective-es
"loyal"-adjective-fr "leal"-adjective-es
"leal"-adjective-es "loyal"-adjective-fr
"corrompre"-verb-fr "corromper"-verb-es
"corromper"-verb-es "corrompre"-verb-fr
"divergir"-verb-es "diverger"-verb-fr
"diverger"-verb-fr "divergir"-verb-es
"modéré"-adjective-fr "moderado"-adjective-es
"moderado"-adjective-es "modéré"-adjective-fr
"morder"-verb-es "mordre"-verb-fr
"mordre"-verb-fr "morder"-verb-es
"diluer"-verb-fr "diluir"-verb-es
"diluir"-verb-es "diluer"-verb-fr
"désintéressé"-adjective-fr "desinteresado"-adjective-es
"desinteresado"-adjective-es "désintéressé"-adjective-fr
"árido"-adjective-es "aride"-adjective-fr
"aride"-adjective-fr "árido"-adjective-es
"pointu"-adjective-fr "puntiagudo"-adjective-es
"puntiagudo"-adjective-es "pointu"-adjective-fr
"holgazán"-adjective-es "nonchalant"-adjective-fr
"holgazán"-adjective-es "indolent"-adjective-fr
"nonchalant"-adjective-fr "holgazán"-adjective-es
"indolent"-adjective-fr "holgazán"-adjective-es
"maligne"-adjective-fr "maligno"-adjective-es
"maligno"-adjective-es "maligne"-adjective-fr
"molesto"-adjective-es "ennuyeux"-adjective-fr
"ennuyeux"-adjective-fr "molesto"-adjective-es
"ennuyeux"-adjective-fr "aburrido"-adjective-es
"aburrido"-adjective-es "ennuyeux"-adjective-fr
"craintif"-adjective-fr "temeroso"-adjective-es
"temeroso"-adjective-es "craintif"-adjective-fr
"obstiné"-adjective-fr "obstinado"-adjective-es
"obstinado"-adjective-es "obstiné"-adjective-fr
"insipide"-adjective-fr "insípido"-adjective-es
"insípido"-adjective-es "insipide"-adjective-fr
"arrogante"-adjective-es "prétentieux"-adjective-fr
"prétentieux"-adjective-fr "arrogante"-adjective-es
"avare"-adjective-fr "avaro"-adjective-es
"avaro"-adjective-es "avare"-adjective-fr
"lascivo"-adjective-es "lascif"-adjective-fr
"lascif"-adjective-fr "lascivo"-adjective-es
"élastique"-adjective-fr "elástico"-adjective-es
"elástico"-adjective-es "élastique"-adjective-fr
"comprensivo"-adjective-es "compréhensif"-adjective-fr
"compréhensif"-adjective-fr "comprensivo"-adjective-es
"penoso"-adjective-es "pénible"-adjective-fr
"pénible"-adjective-fr "penoso"-adjective-es
"indécis"-adjective-fr "indeciso"-adjective-es
"indeciso"-adjective-es "indécis"-adjective-fr
"annexe"-adjective-fr "anejo"-adjective-es
"anejo"-adjective-es "annexe"-adjective-fr
"primitivo"-adjective-es "primitif"-adjective-fr
"primitif"-adjective-fr "primitivo"-adjective-es
"défunt"-adjective-fr "difunto"-adjective-es
"difunto"-adjective-es "défunt"-adjective-fr
"approximatif"-adjective-fr "aproximado"-adjective-es
