"avoir l'habitude de"-verb-fr "tener la costumbre de"-verb-es
"management"-noun-fr "dirección y gestión de empresas"-noun-es
"dirección y gestión de empresas"-noun-es "management"-noun-fr
"Daddy"-properNoun-fr "Daddy"-properNoun-es
"Daddy"-properNoun-es "Daddy"-properNoun-fr
"gestuel"-adjective-fr "gestual"-adjective-es
"gestual"-adjective-es "gestuel"-adjective-fr
"Seine-Saint Denis"-properNoun-fr "Sena-San Denis"-properNoun-es
"Sena-San Denis"-properNoun-es "Seine-Saint Denis"-properNoun-fr
"Akinfeev"-properNoun-fr "Akinfeev"-properNoun-es
"Akinfeev"-properNoun-es "Akinfeev"-properNoun-fr
"Nostra"-properNoun-fr "Nostra"-properNoun-es
"Nostra"-properNoun-es "Nostra"-properNoun-fr
"Libremail"-properNoun-fr "Libremail"-properNoun-es
"Libremail"-properNoun-es "Libremail"-properNoun-fr
"travail manuel"-noun-fr "manualidad"-noun-es
"manualidad"-noun-es "travail manuel"-noun-fr
"trafic"-noun-fr "trasiego"-noun-es
"trasiego"-noun-es "trafic"-noun-fr
"Nouvelle-Calédonie"-properNoun-fr "Nouvelle-Calédonie"-properNoun-es
"Nouvelle-Calédonie"-properNoun-es "Nouvelle-Calédonie"-properNoun-fr
"Bullock"-properNoun-fr "Bullock"-properNoun-es
"Bullock"-properNoun-es "Bullock"-properNoun-fr
"Aube"-properNoun-fr "Aube"-properNoun-es
"Aube"-properNoun-es "Aube"-properNoun-fr
"étourdir"-verb-fr "aturdir"-verb-es
"aturdir"-verb-es "étourdir"-verb-fr
"titularisation"-noun-fr "titularización"-noun-es
"titularización"-noun-es "titularisation"-noun-fr
"Brazzaville"-properNoun-fr "Brazzaville"-properNoun-es
"Brazzaville"-properNoun-es "Brazzaville"-properNoun-fr
"muer"-verb-fr "mudar"-verb-es
"mudar"-verb-es "muer"-verb-fr
"triomphal"-adjective-fr "apoteósico"-adjective-es
"apoteósico"-adjective-es "triomphal"-adjective-fr
"à l'exception de"-preposition-fr "exceptuando a"-preposition-es
"exceptuando a"-preposition-es "à l'exception de"-preposition-fr
"redresser"-verb-fr "repuntar"-verb-es
"repuntar"-verb-es "redresser"-verb-fr
"El Aaiún"-properNoun-es "Laâyoune"-properNoun-fr
"Laâyoune"-properNoun-fr "El Aaiún"-properNoun-es
"Slavonie"-properNoun-fr "Eslavonia"-properNoun-es
"Eslavonia"-properNoun-es "Slavonie"-properNoun-fr
"cognitif"-adjective-fr "cognoscitivo"-adjective-es
"cognoscitivo"-adjective-es "cognitif"-adjective-fr
"Civic"-properNoun-fr "Civic"-properNoun-es
"Civic"-properNoun-es "Civic"-properNoun-fr
"Cupidon"-properNoun-fr "Cupidon"-properNoun-es
"Cupidon"-properNoun-es "Cupidon"-properNoun-fr
"Saint-Pierre"-properNoun-fr "Saint-Pierre"-properNoun-es
"Saint-Pierre"-properNoun-es "Saint-Pierre"-properNoun-fr
"Douarnenez"-properNoun-fr "Douarnenez"-properNoun-es
"Douarnenez"-properNoun-es "Douarnenez"-properNoun-fr
"texan"-adjective-fr "tejano"-adjective-es
"tejano"-adjective-es "texan"-adjective-fr
"Rodolphe"-properNoun-fr "Rodolphe"-properNoun-es
"Rodolphe"-properNoun-es "Rodolphe"-properNoun-fr
"Berezovski"-properNoun-fr "Berezovski"-properNoun-es
"Berezovski"-properNoun-es "Berezovski"-properNoun-fr
"Guernica"-properNoun-fr "Guernica"-properNoun-es
"Guernica"-properNoun-es "Guernica"-properNoun-fr
"épicier"-noun-fr "especiero"-noun-es
"especiero"-noun-es "épicier"-noun-fr
"Rhône"-properNoun-fr "Ródano"-properNoun-es
"Ródano"-properNoun-es "Rhône"-properNoun-fr
"Ésope"-properNoun-fr "Esopo"-properNoun-es
"Esopo"-properNoun-es "Ésope"-properNoun-fr
"Vespasien"-properNoun-fr "Vespasiano"-properNoun-es
"Vespasiano"-properNoun-es "Vespasien"-properNoun-fr
"Anfield"-properNoun-fr "Anfield"-properNoun-es
"Anfield"-properNoun-es "Anfield"-properNoun-fr
"Bamberg"-properNoun-fr "Bamberg"-properNoun-es
"Bamberg"-properNoun-es "Bamberg"-properNoun-fr
"Louisiane"-properNoun-fr "Louisiana"-properNoun-es
"Louisiana"-properNoun-es "Louisiane"-properNoun-fr
"est-ce que"-pronoun-fr "¿"-pronoun-es
"¿"-pronoun-es "est-ce que"-pronoun-fr
"incontestable"-adjective-fr "incontrovertido"-adjective-es
"incontrovertido"-adjective-es "incontestable"-adjective-fr
"moquetteur"-noun-fr "enmoquetador"-noun-es
"enmoquetador"-noun-es "moquetteur"-noun-fr
"Ajax"-properNoun-fr "Ajax"-properNoun-es
"Ajax"-properNoun-es "Ajax"-properNoun-fr
"Ibargoyen"-properNoun-fr "Ibargoyen"-properNoun-es
"Ibargoyen"-properNoun-es "Ibargoyen"-properNoun-fr
"Meryl"-properNoun-fr "Meryl"-properNoun-es
"Meryl"-properNoun-es "Meryl"-properNoun-fr
"Otaegi"-properNoun-fr "Otaegi"-properNoun-es
"Otaegi"-properNoun-es "Otaegi"-properNoun-fr
"artificier"-noun-fr "artificiero"-noun-es
"artificiero"-noun-es "artificier"-noun-fr
"à l'époque"-adverb-fr "en aquellos tiempos"-adverb-es
"en aquellos tiempos"-adverb-es "à l'époque"-adverb-fr
"mandaté"-adjective-fr "comisionado"-adjective-es
"comisionado"-adjective-es "mandaté"-adjective-fr
"Erevan"-properNoun-fr "Ereván"-properNoun-es
"Ereván"-properNoun-es "Erevan"-properNoun-fr
"demandeur"-adjective-fr "peticionario"-adjective-es
"peticionario"-adjective-es "demandeur"-adjective-fr
"Nairobi"-properNoun-fr "Nairobi"-properNoun-es
"Nairobi"-properNoun-es "Nairobi"-properNoun-fr
"beaucoup de"-adjective-fr "mucho"-adjective-es
"mucho"-adjective-es "beaucoup de"-adjective-fr
"chronométrage"-noun-fr "cronometraje"-noun-es
"cronometraje"-noun-es "chronométrage"-noun-fr
"entonner"-verb-fr "entonar"-verb-es
"entonar"-verb-es "entonner"-verb-fr
"Abrams"-properNoun-fr "Abrams"-properNoun-es
"Abrams"-properNoun-es "Abrams"-properNoun-fr
"poser à nouveau"-verb-fr "replantear"-verb-es
"replantear"-verb-es "poser à nouveau"-verb-fr
"Natascha"-properNoun-fr "Natascha"-properNoun-es
"Natascha"-properNoun-es "Natascha"-properNoun-fr
"Alexey"-properNoun-fr "Alexey"-properNoun-es
"Alexey"-properNoun-es "Alexey"-properNoun-fr
"désarchivage"-noun-fr "desasemblage"-noun-es
"desasemblage"-noun-es "désarchivage"-noun-fr
"fumeur"-adjective-fr "fumador"-adjective-es
"fumador"-adjective-es "fumeur"-adjective-fr
"réinstallation"-noun-fr "reinstalación"-noun-es
"reinstalación"-noun-es "réinstallation"-noun-fr
"de nos jours"-adverb-fr "hoy en dia"-adverb-es
"hoy en dia"-adverb-es "de nos jours"-adverb-fr
"prestidigitation"-noun-fr "prestidigitación"-noun-es
"prestidigitación"-noun-es "prestidigitation"-noun-fr
"Netanyahou"-properNoun-fr "Netanyahu"-properNoun-es
"Netanyahu"-properNoun-es "Netanyahou"-properNoun-fr
"coucher"-verb-fr "encamar"-verb-es
"encamar"-verb-es "coucher"-verb-fr
"bouc"-noun-fr "akerra"-noun-es
"akerra"-noun-es "bouc"-noun-fr
"Akrami"-properNoun-fr "Akrami"-properNoun-es
"Akrami"-properNoun-es "Akrami"-properNoun-fr
"saint François Borgia"-properNoun-fr "San Francisco de Borja"-properNoun-es
"San Francisco de Borja"-properNoun-es "saint François Borgia"-properNoun-fr
"Seine-Maritime"-properNoun-fr "Seine-Maritime"-properNoun-es
"Seine-Maritime"-properNoun-es "Seine-Maritime"-properNoun-fr
"Brigitte"-properNoun-fr "Brigitte"-properNoun-es
"Brigitte"-properNoun-es "Brigitte"-properNoun-fr
"du point de vue de"-preposition-fr "desde el punto de vista de"-preposition-es
"desde el punto de vista de"-preposition-es "du point de vue de"-preposition-fr
"majorité"-noun-fr "mayoría de edad"-noun-es
"mayoría de edad"-noun-es "majorité"-noun-fr
"Filipacchi"-properNoun-fr "Filipacchi"-properNoun-es
"Filipacchi"-properNoun-es "Filipacchi"-properNoun-fr
"rémunéré"-adjective-fr "remunerado"-adjective-es
"remunerado"-adjective-es "rémunéré"-adjective-fr
"Agurtzane"-properNoun-fr "Agurtzane"-properNoun-es
"Agurtzane"-properNoun-es "Agurtzane"-properNoun-fr
"Andonegi"-properNoun-fr "Andonegi"-properNoun-es
"Andonegi"-properNoun-es "Andonegi"-properNoun-fr
"Deux-Sèvres"-properNoun-fr "Deux-Sèvres"-properNoun-es
"Deux-Sèvres"-properNoun-es "Deux-Sèvres"-properNoun-fr
"métropole"-noun-fr "territorio metropolitano"-noun-es
"territorio metropolitano"-noun-es "métropole"-noun-fr
"Elton"-properNoun-fr "Elton"-properNoun-es
"Elton"-properNoun-es "Elton"-properNoun-fr
"adorateur"-adjective-fr "adorador"-adjective-es
"adorador"-adjective-es "adorateur"-adjective-fr
"dans l'entourage de"-preposition-fr "en los medios allegados de"-preposition-es
"en los medios allegados de"-preposition-es "dans l'entourage de"-preposition-fr
"Khamenei"-properNoun-fr "Khamenei"-properNoun-es
"Khamenei"-properNoun-es "Khamenei"-properNoun-fr
"Clerc"-properNoun-fr "Clerc"-properNoun-es
"Clerc"-properNoun-es "Clerc"-properNoun-fr
"fastidieux"-adjective-fr "fastidioso"-adjective-es
"fastidioso"-adjective-es "fastidieux"-adjective-fr
"Wim"-properNoun-fr "Wim"-properNoun-es
"Wim"-properNoun-es "Wim"-properNoun-fr
"Ur"-properNoun-fr "Ur"-properNoun-es
"Ur"-properNoun-es "Ur"-properNoun-fr
"Angelina Jolie"-properNoun-fr "Angelina Jolie"-properNoun-es
"Angelina Jolie"-properNoun-es "Angelina Jolie"-properNoun-fr
"Vespuce"-properNoun-fr "Vespucio"-properNoun-es
"Vespucio"-properNoun-es "Vespuce"-properNoun-fr
"grand-mère"-noun-fr "abuela"-noun-es
"abuela"-noun-es "grand-mère"-noun-fr
"unipersonnel"-adjective-fr "unipersonal"-adjective-es
"unipersonal"-adjective-es "unipersonnel"-adjective-fr
"Galatas"-properNoun-fr "Galatas"-properNoun-es
"Galatas"-properNoun-es "Galatas"-properNoun-fr
"Gianni"-properNoun-fr "Gianni"-properNoun-es
"Gianni"-properNoun-es "Gianni"-properNoun-fr
"HP"-properNoun-fr "HP"-properNoun-es
"HP"-properNoun-es "HP"-properNoun-fr
"tentative"-noun-fr "amago"-noun-es
"amago"-noun-es "tentative"-noun-fr
"Québécois"-noun-fr "quebequés"-noun-es
"quebequés"-noun-es "Québécois"-noun-fr
"Singleton"-properNoun-fr "Singleton"-properNoun-es
"Singleton"-properNoun-es "Singleton"-properNoun-fr
"audace"-noun-fr "atrevimiento"-noun-es
"atrevimiento"-noun-es "audace"-noun-fr
"diesel"-noun-fr "diesel"-noun-es
"diesel"-noun-es "diesel"-noun-fr
"autorégénération"-noun-fr "autoregeneración"-noun-es
"autoregeneración"-noun-es "autorégénération"-noun-fr
"Keith"-properNoun-fr "Keith"-properNoun-es
"Keith"-properNoun-es "Keith"-properNoun-fr
"écrasement"-noun-fr "aplastamiento"-noun-es
"aplastamiento"-noun-es "écrasement"-noun-fr
"pdf"-properNoun-fr "pdf"-properNoun-es
"pdf"-properNoun-es "pdf"-properNoun-fr
"Luca"-properNoun-fr "Luca"-properNoun-es
"Luca"-properNoun-es "Luca"-properNoun-fr
"sonorisation"-noun-fr "sonorización"-noun-es
"sonorización"-noun-es "sonorisation"-noun-fr
"Béatrice"-properNoun-fr "Béatrice"-properNoun-es
"Béatrice"-properNoun-es "Béatrice"-properNoun-fr
"Lecuona"-properNoun-fr "Lecuona"-properNoun-es
"Lecuona"-properNoun-es "Lecuona"-properNoun-fr
"mer Morte"-properNoun-fr "Mar Muerto"-properNoun-es
"Mar Muerto"-properNoun-es "mer Morte"-properNoun-fr
"Aierdi"-properNoun-fr "Aierdi"-properNoun-es
"Aierdi"-properNoun-es "Aierdi"-properNoun-fr
"Hervé"-properNoun-fr "Hervé"-properNoun-es
"Hervé"-properNoun-es "Hervé"-properNoun-fr
"Abou"-properNoun-fr "Abou"-properNoun-es
"Abou"-properNoun-es "Abou"-properNoun-fr
"Iturriaga"-properNoun-fr "Iturriaga"-properNoun-es
"Iturriaga"-properNoun-es "Iturriaga"-properNoun-fr
"Muravyev"-properNoun-fr "Muravyev"-properNoun-es
"Muravyev"-properNoun-es "Muravyev"-properNoun-fr
"GMT"-noun-fr "GMT"-noun-es
"GMT"-noun-es "GMT"-noun-fr
"Versace"-properNoun-fr "Versace"-properNoun-es
"Versace"-properNoun-es "Versace"-properNoun-fr
"Michelangelo"-properNoun-fr "Michelangelo"-properNoun-es
"Michelangelo"-properNoun-es "Michelangelo"-properNoun-fr
"Chanel"-properNoun-fr "Chanel"-properNoun-es
"Chanel"-properNoun-es "Chanel"-properNoun-fr
"surcharge"-noun-fr "recargo"-noun-es
"surcharge"-noun-fr "sobrecarga"-noun-es
"recargo"-noun-es "surcharge"-noun-fr
"sobrecarga"-noun-es "surcharge"-noun-fr
"Andikoetxea"-properNoun-fr "Andikoetxea"-properNoun-es
"Andikoetxea"-properNoun-es "Andikoetxea"-properNoun-fr
"fatigant"-adjective-fr "fatigante"-adjective-es
"fatigante"-adjective-es "fatigant"-adjective-fr
"Antxustegi"-properNoun-fr "Antxustegi"-properNoun-es
"Antxustegi"-properNoun-es "Antxustegi"-properNoun-fr
"Vaduz"-properNoun-fr "Vaduz"-properNoun-es
"Vaduz"-properNoun-es "Vaduz"-properNoun-fr
"fort"-adverb-fr "fuerte"-adverb-es
"fuerte"-adverb-es "fort"-adverb-fr
"Alpes-de-Haute-Provence"-properNoun-fr "Alpes de Alta Provenza"-properNoun-es
"Alpes de Alta Provenza"-properNoun-es "Alpes-de-Haute-Provence"-properNoun-fr
"Afaadas"-properNoun-fr "Afaadas"-properNoun-es
"Afaadas"-properNoun-es "Afaadas"-properNoun-fr
"Amundsen"-properNoun-fr "Amundsen"-properNoun-es
"Amundsen"-properNoun-es "Amundsen"-properNoun-fr
"Aurèle"-properNoun-fr "Aurèle"-properNoun-es
"Aurèle"-properNoun-es "Aurèle"-properNoun-fr
"Touraine"-properNoun-fr "Touraine"-properNoun-es
"Touraine"-properNoun-es "Touraine"-properNoun-fr
"banaliser"-verb-fr "banalizar"-verb-es
"banalizar"-verb-es "banaliser"-verb-fr
"Schivardi"-properNoun-fr "Schivardi"-properNoun-es
"Schivardi"-properNoun-es "Schivardi"-properNoun-fr
"géophysique"-adjective-fr "geofísico"-adjective-es
"geofísico"-adjective-es "géophysique"-adjective-fr
"Creusot"-properNoun-fr "Creusot"-properNoun-es
"Creusot"-properNoun-es "Creusot"-properNoun-fr
"sunnite"-noun-fr "sunní"-noun-es
"sunnite"-noun-fr "sunnita"-noun-es
"sunní"-noun-es "sunnite"-noun-fr
"sunnita"-noun-es "sunnite"-noun-fr
"Liberty"-properNoun-fr "Liberty"-properNoun-es
"Liberty"-properNoun-es "Liberty"-properNoun-fr
"Ardatza"-properNoun-fr "Ardatza"-properNoun-es
"Ardatza"-properNoun-es "Ardatza"-properNoun-fr
"Strabon"-properNoun-fr "Estrabón"-properNoun-es
"Estrabón"-properNoun-es "Strabon"-properNoun-fr
"quiz"-noun-fr "quiz"-noun-es
"quiz"-noun-es "quiz"-noun-fr
"interdiction"-noun-fr "veda"-noun-es
"veda"-noun-es "interdiction"-noun-fr
"mer Ionienne"-properNoun-fr "Mar Jónico"-properNoun-es
"Mar Jónico"-properNoun-es "mer Ionienne"-properNoun-fr
"ironiser"-verb-fr "ironizar"-verb-es
"ironizar"-verb-es "ironiser"-verb-fr
"ruralité"-noun-fr "ruralidad"-noun-es
"ruralidad"-noun-es "ruralité"-noun-fr
"Notre-Dame"-properNoun-fr "Notre-Dame"-properNoun-es
"Notre-Dame"-properNoun-es "Notre-Dame"-properNoun-fr
"subroger"-verb-fr "subrogar"-verb-es
"subrogar"-verb-es "subroger"-verb-fr
"Alceste"-properNoun-fr "Alcestis"-properNoun-es
"Alceste"-properNoun-fr "Alceste"-properNoun-es
"Alcestis"-properNoun-es "Alceste"-properNoun-fr
"Alceste"-properNoun-es "Alceste"-properNoun-fr
"Vannes"-properNoun-fr "Vannes"-properNoun-es
"Vannes"-properNoun-es "Vannes"-properNoun-fr
"Afalah"-properNoun-fr "Afalah"-properNoun-es
"Afalah"-properNoun-es "Afalah"-properNoun-fr
"G8"-noun-fr "G8"-noun-es
"G8"-noun-es "G8"-noun-fr
"Antena 3"-properNoun-fr "Antena 3"-properNoun-es
"Antena 3"-properNoun-es "Antena 3"-properNoun-fr
"Polaris"-properNoun-fr "Polaris"-properNoun-es
"Polaris"-properNoun-es "Polaris"-properNoun-fr
"voûté"-adjective-fr "abovedado"-adjective-es
"abovedado"-adjective-es "voûté"-adjective-fr
"Roscoff"-properNoun-fr "Roscoff"-properNoun-es
"Roscoff"-properNoun-es "Roscoff"-properNoun-fr
"à ras de"-preposition-fr "a ras de"-preposition-es
"a ras de"-preposition-es "à ras de"-preposition-fr
"soumissionner"-verb-fr "licitar"-verb-es
"licitar"-verb-es "soumissionner"-verb-fr
"licitar"-verb-es "enchérir"-verb-fr
"enchérir"-verb-fr "licitar"-verb-es
"prévisibilité"-noun-fr "previsibilidad"-noun-es
"previsibilidad"-noun-es "prévisibilité"-noun-fr
"accaparer"-verb-fr "copar"-verb-es
"copar"-verb-es "accaparer"-verb-fr
"superproduction"-noun-fr "superproducción"-noun-es
"superproducción"-noun-es "superproduction"-noun-fr
"persique"-adjective-fr "pérsico"-adjective-es
"pérsico"-adjective-es "persique"-adjective-fr
"libérateur"-adjective-fr "librador"-adjective-es
"librador"-adjective-es "libérateur"-adjective-fr
"Alloatti"-properNoun-fr "Alloatti"-properNoun-es
"Alloatti"-properNoun-es "Alloatti"-properNoun-fr
"Aguirresarobe"-properNoun-fr "Aguirresarobe"-properNoun-es
"Aguirresarobe"-properNoun-es "Aguirresarobe"-properNoun-fr
"AGR"-noun-fr "AGR"-noun-es
"AGR"-noun-es "AGR"-noun-fr
"Xabier"-properNoun-fr "Xabier"-properNoun-es
"Xabier"-properNoun-es "Xabier"-properNoun-fr
"Prairie"-properNoun-fr "Pradera"-properNoun-es
"Pradera"-properNoun-es "Prairie"-properNoun-fr
"Windhoek"-properNoun-fr "Windhoek"-properNoun-es
"Windhoek"-properNoun-es "Windhoek"-properNoun-fr
"en fonction"-adverb-fr "en funciones"-adverb-es
"en funciones"-adverb-es "en fonction"-adverb-fr
"Wake"-properNoun-fr "Wake"-properNoun-es
"Wake"-properNoun-es "Wake"-properNoun-fr
"Annabel"-properNoun-fr "Annabel"-properNoun-es
"Annabel"-properNoun-es "Annabel"-properNoun-fr
"sur le plan"-adverb-fr "a efectos"-adverb-es
"a efectos"-adverb-es "sur le plan"-adverb-fr
"Cosworth"-properNoun-fr "Cosworth"-properNoun-es
"Cosworth"-properNoun-es "Cosworth"-properNoun-fr
"Guimet"-properNoun-fr "Guimet"-properNoun-es
"Guimet"-properNoun-es "Guimet"-properNoun-fr
"Pompidou"-properNoun-fr "Pompidou"-properNoun-es
"Pompidou"-properNoun-es "Pompidou"-properNoun-fr
"Ken"-properNoun-fr "Ken"-properNoun-es
"Ken"-properNoun-es "Ken"-properNoun-fr
"brouhaha"-noun-fr "algarada"-noun-es
"algarada"-noun-es "brouhaha"-noun-fr
"Eisenstein"-properNoun-fr "Eisenstein"-properNoun-es
"Eisenstein"-properNoun-es "Eisenstein"-properNoun-fr
"pestilence"-noun-fr "pestilencia"-noun-es
"pestilencia"-noun-es "pestilence"-noun-fr
"Hulot"-properNoun-fr "Hulot"-properNoun-es
"Hulot"-properNoun-es "Hulot"-properNoun-fr
"microentreprise"-noun-fr "microempresa"-noun-es
"microempresa"-noun-es "microentreprise"-noun-fr
"cogner"-verb-fr "aporrear"-verb-es
"aporrear"-verb-es "cogner"-verb-fr
"advection"-noun-fr "advección"-noun-es
"advección"-noun-es "advection"-noun-fr
"vraiment"-adverb-fr "verdad"-adverb-es
"verdad"-adverb-es "vraiment"-adverb-fr
"vulnérabilité"-noun-fr "vulerabilidad"-noun-es
"vulerabilidad"-noun-es "vulnérabilité"-noun-fr
"fournisseur"-noun-fr "proveedor y suministrador"-noun-es
"proveedor y suministrador"-noun-es "fournisseur"-noun-fr
"bourrelet"-noun-fr "burlete"-noun-es
"burlete"-noun-es "bourrelet"-noun-fr
"Éric"-properNoun-fr "Éric"-properNoun-es
"Éric"-properNoun-es "Éric"-properNoun-fr
"Atomium"-properNoun-fr "Atomium"-properNoun-es
"Atomium"-properNoun-es "Atomium"-properNoun-fr
"mettre en cause"-verb-fr "poner en entredicho"-verb-es
"poner en entredicho"-verb-es "mettre en cause"-verb-fr
"Bennati"-properNoun-fr "Bennati"-properNoun-es
"Bennati"-properNoun-es "Bennati"-properNoun-fr
"tribulation"-noun-fr "tribulación"-noun-es
"tribulación"-noun-es "tribulation"-noun-fr
"Prusse-Orientale"-properNoun-fr "Prusia Oriental"-properNoun-es
"Prusia Oriental"-properNoun-es "Prusse-Orientale"-properNoun-fr
"Aden"-properNoun-fr "Aden"-properNoun-es
"Aden"-properNoun-es "Aden"-properNoun-fr
"Air"-properNoun-fr "Air"-properNoun-es
"Air"-properNoun-es "Air"-properNoun-fr
"planétarium"-noun-fr "planetarium"-noun-es
"planetarium"-noun-es "planétarium"-noun-fr
"Stalinabad"-properNoun-fr "Dushambe"-properNoun-es
"Dushambe"-properNoun-es "Stalinabad"-properNoun-fr
"parachutiste"-adjective-fr "paracaidista"-adjective-es
"paracaidista"-adjective-es "parachutiste"-adjective-fr
"Agirretxe"-properNoun-fr "Agirretxe"-properNoun-es
"Agirretxe"-properNoun-es "Agirretxe"-properNoun-fr
"Iztueta"-properNoun-fr "Iztueta"-properNoun-es
"Iztueta"-properNoun-es "Iztueta"-properNoun-fr
"projectif"-adjective-fr "proyectivo"-adjective-es
"proyectivo"-adjective-es "projectif"-adjective-fr
"Hariri"-properNoun-fr "Hariri"-properNoun-es
"Hariri"-properNoun-es "Hariri"-properNoun-fr
"Zagreb"-properNoun-fr "Zagreb"-properNoun-es
"Zagreb"-properNoun-es "Zagreb"-properNoun-fr
"scinder"-verb-fr "escindir"-verb-es
"escindir"-verb-es "scinder"-verb-fr
"sectarisme"-noun-fr "sectarismo"-noun-es
"sectarismo"-noun-es "sectarisme"-noun-fr
"Laguiller"-properNoun-fr "Laguiller"-properNoun-es
"Laguiller"-properNoun-es "Laguiller"-properNoun-fr
"Albéniz"-properNoun-fr "Albéniz"-properNoun-es
"Albéniz"-properNoun-es "Albéniz"-properNoun-fr
"Lemercier"-properNoun-fr "Lemercier"-properNoun-es
"Lemercier"-properNoun-es "Lemercier"-properNoun-fr
"Klarsfeld"-properNoun-fr "Klarsfeld"-properNoun-es
"Klarsfeld"-properNoun-es "Klarsfeld"-properNoun-fr
"Hauts-de-Seine"-properNoun-fr "Hauts-de-Seine"-properNoun-es
"Hauts-de-Seine"-properNoun-fr "Altos del Sena"-properNoun-es
"Hauts-de-Seine"-properNoun-es "Hauts-de-Seine"-properNoun-fr
"Altos del Sena"-properNoun-es "Hauts-de-Seine"-properNoun-fr
"obligatoirement"-adverb-fr "obligadamente"-adverb-es
"obligadamente"-adverb-es "obligatoirement"-adverb-fr
"foral"-adjective-fr "foral"-adjective-es
"foral"-adjective-es "foral"-adjective-fr
"Côte-d'Or"-properNoun-fr "Côte-d'Or"-properNoun-es
"Côte-d'Or"-properNoun-es "Côte-d'Or"-properNoun-fr
"lustration"-noun-fr "lustración"-noun-es
"lustración"-noun-es "lustration"-noun-fr
"conjuration"-noun-fr "conjuración"-noun-es
"conjuración"-noun-es "conjuration"-noun-fr
"polluant"-adjective-fr "contaminante"-adjective-es
"contaminante"-adjective-es "polluant"-adjective-fr
"Larreina"-properNoun-fr "Larreina"-properNoun-es
"Larreina"-properNoun-es "Larreina"-properNoun-fr
"serrurier"-noun-fr "cerrajero"-noun-es
"cerrajero"-noun-es "serrurier"-noun-fr
"Champagne-Ardennes"-properNoun-fr "Champaña-Ardenas"-properNoun-es
"Champaña-Ardenas"-properNoun-es "Champagne-Ardennes"-properNoun-fr
"enlever"-verb-fr "raptar"-verb-es
"raptar"-verb-es "enlever"-verb-fr
"Anje"-properNoun-fr "Anje"-properNoun-es
"Anje"-properNoun-es "Anje"-properNoun-fr
"Bourgogne"-properNoun-fr "Borgoña"-properNoun-es
"Borgoña"-properNoun-es "Bourgogne"-properNoun-fr
"rentabiliser"-verb-fr "rentabilizar"-verb-es
"rentabilizar"-verb-es "rentabiliser"-verb-fr
"EST"-noun-fr "EST"-noun-es
"EST"-noun-es "EST"-noun-fr
"Britney Spears"-properNoun-fr "Britney Spears"-properNoun-es
"Britney Spears"-properNoun-es "Britney Spears"-properNoun-fr
"mise en examen"-noun-fr "imputación"-noun-es
"imputación"-noun-es "mise en examen"-noun-fr
