"accidentalament"-adverb-oc "accidentalmente"-adverb-es
"revocación"-noun-es "revocacion"-noun-oc
"nadiu"-adjective-oc "nativo"-adjective-es
"nativo"-adjective-es "nadiu"-adjective-oc
"nativo"-adjective-es "natiu"-adjective-oc
"natiu"-adjective-oc "nativo"-adjective-es
"escandaloso"-adjective-es "escandalós"-adjective-oc
"escandalós"-adjective-oc "escandaloso"-adjective-es
"incomprensible"-adjective-es "incomprensible"-adjective-oc
"incomprensible"-adjective-oc "incomprensible"-adjective-es
"malaut"-adjective-oc "enfermo"-adjective-es
"enfermo"-adjective-es "malaut"-adjective-oc
"inibir"-verb-oc "inhibir"-verb-es
"inhibir"-verb-es "inibir"-verb-oc
"preciós"-adjective-oc "valioso"-adjective-es
"preciós"-adjective-oc "precioso"-adjective-es
"valioso"-adjective-es "preciós"-adjective-oc
"precioso"-adjective-es "preciós"-adjective-oc
"estúpido"-adjective-es "estupid"-adjective-oc
"estupid"-adjective-oc "estúpido"-adjective-es
"accessòri"-adjective-oc "accesorio"-adjective-es
"accesorio"-adjective-es "accessòri"-adjective-oc
"flexible"-adjective-oc "flexible"-adjective-es
"flexible"-adjective-es "flexible"-adjective-oc
"esteril"-adjective-oc "estéril"-adjective-es
"estéril"-adjective-es "esteril"-adjective-oc
"avenent"-adjective-oc "afable"-adjective-es
"afable"-adjective-es "avenent"-adjective-oc
"periférico"-adjective-es "periferic"-adjective-oc
"periferic"-adjective-oc "periférico"-adjective-es
"licit"-adjective-oc "lícito"-adjective-es
"lícito"-adjective-es "licit"-adjective-oc
"intervenir"-verb-oc "intermediar"-verb-es
"intermediar"-verb-es "intervenir"-verb-oc
"instantanèu"-adjective-oc "instantáneo"-adjective-es
"instantáneo"-adjective-es "instantanèu"-adjective-oc
"distint"-adjective-oc "distinto"-adjective-es
"distinto"-adjective-es "distint"-adjective-oc
"inondar"-verb-oc "inundar"-verb-es
"inundar"-verb-es "inondar"-verb-oc
"ponchut"-adjective-oc "agudo"-adjective-es
"agudo"-adjective-es "ponchut"-adjective-oc
"televisor"-noun-oc "televisor"-noun-es
"televisor"-noun-es "televisor"-noun-oc
"neutralidad"-noun-es "neutralitat"-noun-oc
"neutralitat"-noun-oc "neutralidad"-noun-es
"malentendut"-noun-oc "malentendido"-noun-es
"malentendido"-noun-es "malentendut"-noun-oc
"quilogram"-noun-oc "kilogramo"-noun-es
"kilogramo"-noun-es "quilogram"-noun-oc
"verin"-noun-oc "veneno"-noun-es
"veneno"-noun-es "verin"-noun-oc
"hexágono"-noun-es "exagòn"-noun-oc
"exagòn"-noun-oc "hexágono"-noun-es
"millimètre"-noun-oc "milímetro"-noun-es
"milímetro"-noun-es "millimètre"-noun-oc
"mineral"-noun-oc "mineral"-noun-es
"mineral"-noun-es "mineral"-noun-oc
"autenticidad"-noun-es "autenticitat"-noun-oc
"autenticitat"-noun-oc "autenticidad"-noun-es
"dentista"-noun-oc "dentista"-noun-es
"dentista"-noun-es "dentista"-noun-oc
"visat"-noun-oc "visado"-noun-es
"visat"-noun-oc "visa"-noun-es
"visado"-noun-es "visat"-noun-oc
"visa"-noun-es "visat"-noun-oc
"etnic"-adjective-oc "étnico"-adjective-es
"étnico"-adjective-es "etnic"-adjective-oc
"desnudo"-adjective-es "nus"-adjective-oc
"nus"-adjective-oc "desnudo"-adjective-es
"Luc"-properNoun-es "Luc"-noun-oc
"Luc"-properNoun-es "Luc"-properNoun-oc
"Luc"-noun-oc "Luc"-properNoun-es
"Luc"-properNoun-oc "Luc"-properNoun-es
"Marie"-properNoun-oc "Marie"-properNoun-es
"Marie"-properNoun-es "Marie"-properNoun-oc
"Bogotà"-properNoun-oc "Bogotá"-properNoun-es
"Bogotá"-properNoun-es "Bogotà"-properNoun-oc
"Republica Chèca"-properNoun-oc "República Checa"-properNoun-es
"República Checa"-properNoun-es "Republica Chèca"-properNoun-oc
"Escandinàvia"-properNoun-oc "Escandinavia"-properNoun-es
"Escandinavia"-properNoun-es "Escandinàvia"-properNoun-oc
"Hawái"-properNoun-es "Hawaii"-properNoun-oc
"Hawaii"-properNoun-oc "Hawái"-properNoun-es
"Iran"-properNoun-oc "Irán"-properNoun-es
"Irán"-properNoun-es "Iran"-properNoun-oc
"Kabol"-properNoun-oc "Kabul"-properNoun-es
"Kabul"-properNoun-es "Kabol"-properNoun-oc
"Marshall"-properNoun-es "Marshall"-noun-oc
"Marshall"-properNoun-es "Marshall"-properNoun-oc
"Marshall"-noun-oc "Marshall"-properNoun-es
"Marshall"-properNoun-oc "Marshall"-properNoun-es
"Nòva Jersey"-properNoun-oc "Nueva Jersey"-properNoun-es
"Nueva Jersey"-properNoun-es "Nòva Jersey"-properNoun-oc
"Oceania"-properNoun-oc "Oceanía"-properNoun-es
"Oceanía"-properNoun-es "Oceania"-properNoun-oc
"Rabat"-properNoun-es "Rabat"-noun-oc
"Rabat"-properNoun-es "Rabat"-properNoun-oc
"Rabat"-noun-oc "Rabat"-properNoun-es
"Rabat"-properNoun-oc "Rabat"-properNoun-es
"Estocòlme"-properNoun-oc "Estocolmo"-properNoun-es
"Estocolmo"-properNoun-es "Estocòlme"-properNoun-oc
"Swaziland"-properNoun-oc "Swazilandia"-properNoun-es
"Swazilandia"-properNoun-es "Swaziland"-properNoun-oc
"Varsòvia"-properNoun-oc "Varsovia"-properNoun-es
"Varsovia"-properNoun-es "Varsòvia"-properNoun-oc
"Iemèn"-properNoun-oc "Yemen"-properNoun-es
"Yemen"-properNoun-es "Iemèn"-properNoun-oc
"Iogoslavia"-properNoun-oc "Yugoslavia"-properNoun-es
"Yugoslavia"-properNoun-es "Iogoslavia"-properNoun-oc
"Corèa del Sud"-properNoun-oc "Corea del Sur"-properNoun-es
"Corea del Sur"-properNoun-es "Corèa del Sud"-properNoun-oc
"Corèa del Nòrd"-properNoun-oc "Corea del Norte"-properNoun-es
"Corea del Norte"-properNoun-es "Corèa del Nòrd"-properNoun-oc
"Micronesia"-properNoun-oc "Micronesia"-properNoun-es
"Micronesia"-properNoun-es "Micronesia"-properNoun-oc
"lamentablament"-adverb-oc "lamentablemente"-adverb-es
"lamentablemente"-adverb-es "lamentablament"-adverb-oc
"Aristotil"-properNoun-oc "Aristóteles"-properNoun-es
"Aristóteles"-properNoun-es "Aristotil"-properNoun-oc
"Platon"-properNoun-oc "Platón"-properNoun-es
"Platón"-properNoun-es "Platon"-properNoun-oc
"Budapèst"-properNoun-oc "Budapest"-properNoun-es
"Budapest"-properNoun-es "Budapèst"-properNoun-oc
"Païses Basses"-properNoun-oc "Países Bajos"-properNoun-es
"Países Bajos"-properNoun-es "Païses Basses"-properNoun-oc
"Houston"-properNoun-es "Houston"-noun-oc
"Houston"-properNoun-es "Houston"-properNoun-oc
"Houston"-noun-oc "Houston"-properNoun-es
"Houston"-properNoun-oc "Houston"-properNoun-es
"Lima"-noun-oc "Lima"-properNoun-es
"Lima"-properNoun-es "Lima"-noun-oc
"Lima"-properNoun-es "Lima"-properNoun-oc
"Lima"-properNoun-oc "Lima"-properNoun-es
"abat"-noun-oc "abad"-noun-es
"abad"-noun-es "abat"-noun-oc
"merluça"-noun-oc "bacalao"-noun-es
"bacalao"-noun-es "merluça"-noun-oc
"delegat"-noun-oc "delegado"-noun-es
"delegado"-noun-es "delegat"-noun-oc
"emigrant"-noun-oc "emigrante"-noun-es
"emigrante"-noun-es "emigrant"-noun-oc
"improvisacion"-noun-oc "improvisación"-noun-es
"improvisación"-noun-es "improvisacion"-noun-oc
"solista"-noun-oc "solista"-noun-es
"solista"-noun-es "solista"-noun-oc
"antropologic"-adjective-oc "antropológico"-adjective-es
"antropológico"-adjective-es "antropologic"-adjective-oc
"biblic"-adjective-oc "bíblico"-adjective-es
"bíblico"-adjective-es "biblic"-adjective-oc
"cronologic"-adjective-oc "cronológico"-adjective-es
"cronológico"-adjective-es "cronologic"-adjective-oc
"malcontent"-adjective-oc "descontento"-adjective-es
"descontento"-adjective-es "malcontent"-adjective-oc
"intolerable"-adjective-oc "intolerable"-adjective-es
"intolerable"-adjective-es "intolerable"-adjective-oc
"optic"-adjective-oc "óptico"-adjective-es
"óptico"-adjective-es "optic"-adjective-oc
"xenofòb"-adjective-oc "xenófobo"-adjective-es
"xenófobo"-adjective-es "xenofòb"-adjective-oc
"discriminar"-verb-oc "discriminar"-verb-es
"discriminar"-verb-es "discriminar"-verb-oc
"Maiança"-properNoun-oc "Maguncia"-properNoun-es
"Maguncia"-properNoun-es "Maiança"-properNoun-oc
"Nicosia"-properNoun-oc "Nicosia"-properNoun-es
"Nicosia"-properNoun-es "Nicosia"-properNoun-oc
"beluga"-noun-oc "chispa"-noun-es
"chispa"-noun-es "beluga"-noun-oc
"auca"-noun-oc "ganso"-noun-es
"ganso"-noun-es "auca"-noun-oc
"Vatican"-properNoun-oc "Vaticano"-properNoun-es
"Vaticano"-properNoun-es "Vatican"-properNoun-oc
"Istambol"-properNoun-oc "Estambul"-properNoun-es
"Estambul"-properNoun-es "Istambol"-properNoun-oc
"municion"-noun-oc "munición"-noun-es
"munición"-noun-es "municion"-noun-oc
"Sicilia"-properNoun-es "Sicília"-noun-oc
"Sicilia"-properNoun-es "Sicília"-properNoun-oc
"Sicília"-noun-oc "Sicilia"-properNoun-es
"Sicília"-properNoun-oc "Sicilia"-properNoun-es
"Boèmia"-properNoun-oc "Bohemia"-properNoun-es
"Bohemia"-properNoun-es "Boèmia"-properNoun-oc
"Anvèrs"-properNoun-oc "Amberes"-properNoun-es
"Amberes"-properNoun-es "Anvèrs"-properNoun-oc
"motociclista"-noun-oc "motociclista"-noun-es
"motociclista"-noun-es "motociclista"-noun-oc
"Gènoa"-properNoun-oc "Génova"-properNoun-es
"Génova"-properNoun-es "Gènoa"-properNoun-oc
"Constantinòple"-properNoun-oc "Constantinopla"-properNoun-es
"Constantinopla"-properNoun-es "Constantinòple"-properNoun-oc
"Quimper"-properNoun-es "Kemper"-properNoun-oc
"Kemper"-properNoun-oc "Quimper"-properNoun-es
"Lapònia"-properNoun-oc "Laponia"-properNoun-es
"Laponia"-properNoun-es "Lapònia"-properNoun-oc
"Valonia"-properNoun-oc "Valonia"-properNoun-es
"Valonia"-properNoun-es "Valonia"-properNoun-oc
"breton"-adjective-oc "bretón"-adjective-es
"bretón"-adjective-es "breton"-adjective-oc
"irangièr"-noun-oc "naranjo"-noun-es
"naranjo"-noun-es "irangièr"-noun-oc
"Florença"-properNoun-oc "Florencia"-properNoun-es
"Florencia"-properNoun-es "Florença"-properNoun-oc
"Flandra"-properNoun-oc "Flandes"-properNoun-es
"Flandes"-properNoun-es "Flandra"-properNoun-oc
"Pisa"-properNoun-es "Pisa"-noun-oc
"Pisa"-properNoun-es "Pisa"-properNoun-oc
"Pisa"-noun-oc "Pisa"-properNoun-es
"Pisa"-properNoun-oc "Pisa"-properNoun-es
"Bach"-properNoun-es "Bach"-noun-oc
"Bach"-properNoun-es "Bach"-properNoun-oc
"Bach"-noun-oc "Bach"-properNoun-es
"Bach"-properNoun-oc "Bach"-properNoun-es
"Palestina"-properNoun-oc "Palestina"-properNoun-es
"Palestina"-properNoun-es "Palestina"-properNoun-oc
"Genèva"-properNoun-oc "Ginebra"-properNoun-es
"Ginebra"-properNoun-es "Genèva"-properNoun-oc
"Quito"-properNoun-oc "Quito"-properNoun-es
"Quito"-properNoun-es "Quito"-properNoun-oc
"tibetan"-adjective-oc "tibetano"-adjective-es
"tibetano"-adjective-es "tibetan"-adjective-oc
"Colombo"-properNoun-es "Colombo"-noun-oc
"Colombo"-properNoun-es "Colombo"-properNoun-oc
"Colombo"-noun-oc "Colombo"-properNoun-es
"Colombo"-properNoun-oc "Colombo"-properNoun-es
"Siberia"-properNoun-oc "Siberia"-properNoun-es
"Siberia"-properNoun-es "Siberia"-properNoun-oc
"Asunción"-noun-oc "Asunción"-properNoun-es
"Asunción"-properNoun-es "Asunción"-noun-oc
"Asunción"-properNoun-es "Asunción"-properNoun-oc
"Asunción"-properNoun-oc "Asunción"-properNoun-es
"Ottawa"-properNoun-es "Ottawa"-noun-oc
"Ottawa"-properNoun-es "Ottawa"-properNoun-oc
"Ottawa"-noun-oc "Ottawa"-properNoun-es
"Ottawa"-properNoun-oc "Ottawa"-properNoun-es
"Diana"-properNoun-es "Diana"-properNoun-oc
"Diana"-properNoun-es "Diana"-noun-oc
"Diana"-properNoun-oc "Diana"-properNoun-es
"Diana"-noun-oc "Diana"-properNoun-es
"Messina"-properNoun-es "Messina"-noun-oc
"Messina"-properNoun-es "Messina"-properNoun-oc
"Messina"-noun-oc "Messina"-properNoun-es
"Messina"-properNoun-oc "Messina"-properNoun-es
"Amposta"-properNoun-es "Amposta"-noun-oc
"Amposta"-properNoun-es "Amposta"-properNoun-oc
"Amposta"-noun-oc "Amposta"-properNoun-es
"Amposta"-properNoun-oc "Amposta"-properNoun-es
"Madèira"-properNoun-oc "Madeira"-properNoun-es
"Madeira"-properNoun-es "Madèira"-properNoun-oc
