"quand"-relativePronoun-oc "en cuanto"-relativePronoun-es
"puntilla"-noun-es "punta"-noun-oc
"trauèssa"-noun-oc "traviesa"-noun-es
"traviesa"-noun-es "trauèssa"-noun-oc
"cèc"-noun-oc "ciego"-noun-es
"ciego"-noun-es "cèc"-noun-oc
"brot"-noun-oc "rebrote"-noun-es
"rebrote"-noun-es "brot"-noun-oc
"rebrote"-noun-es "broton"-noun-oc
"broton"-noun-oc "rebrote"-noun-es
"capricòrn"-noun-oc "capricornio"-noun-es
"capricornio"-noun-es "capricòrn"-noun-oc
"flaçada"-noun-oc "frazada"-noun-es
"frazada"-noun-es "flaçada"-noun-oc
"travèrs"-noun-oc "través"-noun-es
"través"-noun-es "travèrs"-noun-oc
"través"-noun-es "trauèrs"-noun-oc
"través"-noun-es "trauès"-noun-oc
"trauèrs"-noun-oc "través"-noun-es
"trauès"-noun-oc "través"-noun-es
"fregadís"-noun-oc "frote"-noun-es
"frote"-noun-es "fregadís"-noun-oc
"frote"-noun-es "heiregada"-noun-oc
"heiregada"-noun-oc "frote"-noun-es
"jornal"-noun-oc "jornal"-noun-es
"jornal"-noun-es "jornal"-noun-oc
"jornal"-noun-es "jornau"-noun-oc
"jornau"-noun-oc "jornal"-noun-es
"magazin"-noun-oc "magacín"-noun-es
"magacín"-noun-es "magazin"-noun-oc
"penon"-noun-oc "pendón"-noun-es
"pendón"-noun-es "penon"-noun-oc
"pendón"-noun-es "pendon"-noun-oc
"pendon"-noun-oc "pendón"-noun-es
"semblança"-noun-oc "semblanza"-noun-es
"semblanza"-noun-es "semblança"-noun-oc
"abelhaire"-noun-oc "abejero"-noun-es
"abejero"-noun-es "abelhaire"-noun-oc
"aragonés"-adjective-oc "maño"-adjective-es
"maño"-adjective-es "aragonés"-adjective-oc
"flamenc"-noun-oc "flamenco"-noun-es
"flamenco"-noun-es "flamenc"-noun-oc
"abestit"-adjective-oc "abestiado"-adjective-es
"abestiado"-adjective-es "abestit"-adjective-oc
"abestiado"-adjective-es "abrutit"-adjective-oc
"abrutit"-adjective-oc "abestiado"-adjective-es
"bearnés"-adjective-oc "bearnés"-adjective-es
"bearnés"-adjective-es "bearnés"-adjective-oc
"escarrabilhat"-adjective-oc "avispado"-adjective-es
"avispado"-adjective-es "escarrabilhat"-adjective-oc
"avispado"-adjective-es "esperdigalhat"-adjective-oc
"esperdigalhat"-adjective-oc "avispado"-adjective-es
"risolièr"-adjective-oc "risueño"-adjective-es
"risueño"-adjective-es "risolièr"-adjective-oc
"risueño"-adjective-es "arridolent"-adjective-oc
"risueño"-adjective-es "arridolèr"-adjective-oc
"arridolent"-adjective-oc "risueño"-adjective-es
"arridolèr"-adjective-oc "risueño"-adjective-es
"lengadocian"-adjective-oc "lenguadociano"-adjective-es
"lenguadociano"-adjective-es "lengadocian"-adjective-oc
"lenguadociano"-adjective-es "lenguadocian"-adjective-oc
"lenguadocian"-adjective-oc "lenguadociano"-adjective-es
"lemosin"-adjective-oc "lemosín"-adjective-es
"lemosín"-adjective-es "lemosin"-adjective-oc
"mistralenc"-adjective-oc "mistral"-adjective-es
"mistral"-adjective-es "mistralenc"-adjective-oc
"occitanista"-adjective-oc "occitanista"-adjective-es
"occitanista"-adjective-es "occitanista"-adjective-oc
"plasent"-adjective-oc "placiente"-adjective-es
"placiente"-adjective-es "plasent"-adjective-oc
"remarcable"-adjective-oc "remarcable"-adjective-es
"remarcable"-adjective-es "remarcable"-adjective-oc
"remarcable"-adjective-es "remercable"-adjective-oc
"remercable"-adjective-oc "remarcable"-adjective-es
"successor"-adjective-oc "sucesor"-adjective-es
"sucesor"-adjective-es "successor"-adjective-oc
"occitanocatalan"-adjective-oc "occitano-catalán"-adjective-es
"occitano-catalán"-adjective-es "occitanocatalan"-adjective-oc
"epistolar"-adjective-oc "epistolar"-adjective-es
"epistolar"-adjective-es "epistolar"-adjective-oc
"incontestable"-adjective-oc "incontestable"-adjective-es
"incontestable"-adjective-es "incontestable"-adjective-oc
"incontinent"-adjective-oc "incontinente"-adjective-es
"incontinente"-adjective-es "incontinent"-adjective-oc
"calligrafic"-adjective-oc "caligráfico"-adjective-es
"caligráfico"-adjective-es "calligrafic"-adjective-oc
"quilometric"-adjective-oc "quilométrico"-adjective-es
"quilométrico"-adjective-es "quilometric"-adjective-oc
"excessiu"-adjective-oc "extremado"-adjective-es
"extremado"-adjective-es "excessiu"-adjective-oc
"figuratiu"-adjective-oc "figurativo"-adjective-es
"figurativo"-adjective-es "figuratiu"-adjective-oc
"tanlèu"-adverb-oc "tan pronto"-adverb-es
"tan pronto"-adverb-es "tanlèu"-adverb-oc
"depès"-adverb-oc "de pie"-adverb-es
"de pie"-adverb-es "depès"-adverb-oc
"segur"-adverb-oc "claro está"-adverb-es
"claro está"-adverb-es "segur"-adverb-oc
"amassa"-adverb-oc "todo junto"-adverb-es
"todo junto"-adverb-es "amassa"-adverb-oc
"çai sus"-adverb-oc "aquí sobre"-adverb-es
"aquí sobre"-adverb-es "çai sus"-adverb-oc
"aquí sobre"-adverb-es "aquí dessús"-adverb-oc
"aquí sobre"-adverb-es "çai sobre"-adverb-oc
"aquí sobre"-adverb-es "çai subre"-adverb-oc
"aquí sobre"-adverb-es "çaisús"-adverb-oc
"aquí sobre"-adverb-es "çai-sus"-adverb-oc
"aquí dessús"-adverb-oc "aquí sobre"-adverb-es
"çai sobre"-adverb-oc "aquí sobre"-adverb-es
"çai subre"-adverb-oc "aquí sobre"-adverb-es
"çaisús"-adverb-oc "aquí sobre"-adverb-es
"çai-sus"-adverb-oc "aquí sobre"-adverb-es
"arunan"-adverb-oc "el año pasado"-adverb-es
"el año pasado"-adverb-es "arunan"-adverb-oc
"el año pasado"-adverb-es "antan"-adverb-oc
"el año pasado"-adverb-es "est'an passat"-adverb-oc
"el año pasado"-adverb-es "est an passat"-adverb-oc
"el año pasado"-adverb-es "araiguan"-adverb-oc
"antan"-adverb-oc "el año pasado"-adverb-es
"est'an passat"-adverb-oc "el año pasado"-adverb-es
"est an passat"-adverb-oc "el año pasado"-adverb-es
"araiguan"-adverb-oc "el año pasado"-adverb-es
"ath madeish viatge"-adverb-oc "a la vegada"-adverb-es
"a la vegada"-adverb-es "ath madeish viatge"-adverb-oc
"a la vegada"-adverb-es "al còp"-adverb-oc
"a la vegada"-adverb-es "ath viatge"-adverb-oc
"al còp"-adverb-oc "a la vegada"-adverb-es
"ath viatge"-adverb-oc "a la vegada"-adverb-es
"e mai"-adverb-oc "y más"-adverb-es
"y más"-adverb-es "e mai"-adverb-oc
"per qué"-adverb-oc "para qué"-adverb-es
"para qué"-adverb-es "per qué"-adverb-oc
"para qué"-adverb-es "entà qué"-adverb-oc
"para qué"-adverb-es "tà qué"-adverb-oc
"entà qué"-adverb-oc "para qué"-adverb-es
"tà qué"-adverb-oc "para qué"-adverb-es
"issar"-verb-oc "izar"-verb-es
"izar"-verb-es "issar"-verb-oc
"cobejar"-verb-oc "codiciar"-verb-es
"codiciar"-verb-es "cobejar"-verb-oc
"esboçar"-verb-oc "esbozar"-verb-es
"esbozar"-verb-es "esboçar"-verb-oc
"oprimir"-verb-oc "oprimir"-verb-es
"oprimir"-verb-es "oprimir"-verb-oc
"esglasiar"-verb-oc "sobrecoger"-verb-es
"sobrecoger"-verb-es "esglasiar"-verb-oc
"dinamizar"-verb-oc "dinamizar"-verb-es
"dinamizar"-verb-es "dinamizar"-verb-oc
"rememoriar"-verb-oc "rememorar"-verb-es
"rememorar"-verb-es "rememoriar"-verb-oc
"martirizar"-verb-oc "martirizar"-verb-es
"martirizar"-verb-es "martirizar"-verb-oc
"esquivar"-verb-oc "esquivar"-verb-es
"esquivar"-verb-es "esquivar"-verb-oc
"crestar"-verb-oc "capar"-verb-es
"capar"-verb-es "crestar"-verb-oc
"sanar"-verb-oc "sanar"-verb-es
"sanar"-verb-es "sanar"-verb-oc
"intercedir"-verb-oc "interceder"-verb-es
"interceder"-verb-es "intercedir"-verb-oc
"acordar"-verb-oc "poner de acuerdo"-verb-es
"poner de acuerdo"-verb-es "acordar"-verb-oc
"abituar"-verb-oc "habituar"-verb-es
"abituar"-verb-oc "avezar"-verb-es
"habituar"-verb-es "abituar"-verb-oc
"avezar"-verb-es "abituar"-verb-oc
"capvirar"-verb-oc "tergiversar"-verb-es
"tergiversar"-verb-es "capvirar"-verb-oc
"escarraunhar"-verb-oc "arañar"-verb-es
"arañar"-verb-es "escarraunhar"-verb-oc
"arañar"-verb-es "arpar"-verb-oc
"arañar"-verb-es "engarrapar"-verb-oc
"arañar"-verb-es "grapinhar"-verb-oc
"arañar"-verb-es "graufinhar"-verb-oc
"arañar"-verb-es "unglassejar"-verb-oc
"arpar"-verb-oc "arañar"-verb-es
"engarrapar"-verb-oc "arañar"-verb-es
"grapinhar"-verb-oc "arañar"-verb-es
"graufinhar"-verb-oc "arañar"-verb-es
"unglassejar"-verb-oc "arañar"-verb-es
"descauçar"-verb-oc "descalzar"-verb-es
"descalzar"-verb-es "descauçar"-verb-oc
"trucar"-verb-oc "trucar"-verb-es
"trucar"-verb-es "trucar"-verb-oc
"desvestir"-verb-oc "desvestir"-verb-es
"desvestir"-verb-es "desvestir"-verb-oc
"prene"-verb-oc "prender"-verb-es
"prender"-verb-es "prene"-verb-oc
"prender"-verb-es "préner"-verb-oc
"préner"-verb-oc "prender"-verb-es
"atacar"-verb-oc "hostilizar"-verb-es
"hostilizar"-verb-es "atacar"-verb-oc
"clarejar"-verb-oc "clarear"-verb-es
"clarear"-verb-es "clarejar"-verb-oc
"confiar"-verb-oc "fiar"-verb-es
"fiar"-verb-es "confiar"-verb-oc
"conjurar"-verb-oc "conjurar"-verb-es
"conjurar"-verb-es "conjurar"-verb-oc
"conjurar"-verb-es "esconjurar"-verb-oc
"esconjurar"-verb-oc "conjurar"-verb-es
"defuntar"-verb-oc "finar"-verb-es
"finar"-verb-es "defuntar"-verb-oc
"demorar"-verb-oc "demorar"-verb-es
"demorar"-verb-es "demorar"-verb-oc
"desgahetar"-verb-oc "desapegar"-verb-es
"desgahetar"-verb-oc "desenganchar"-verb-es
"desapegar"-verb-es "desgahetar"-verb-oc
"desenganchar"-verb-es "desgahetar"-verb-oc
"despopar"-verb-oc "destetar"-verb-es
"destetar"-verb-es "despopar"-verb-oc
"caler"-modal-oc "ser necesario"-modal-es
"ser necesario"-modal-es "caler"-modal-oc
"encalhar"-verb-oc "varar"-verb-es
"varar"-verb-es "encalhar"-verb-oc
"endreçar"-verb-oc "asear"-verb-es
"asear"-verb-es "endreçar"-verb-oc
"exemptar"-verb-oc "exentar"-verb-es
"exentar"-verb-es "exemptar"-verb-oc
"explicitar"-verb-oc "explicitar"-verb-es
"explicitar"-verb-es "explicitar"-verb-oc
"gausar"-verb-oc "atrever"-verb-es
"atrever"-verb-es "gausar"-verb-oc
"atrever"-verb-es "ausar"-verb-oc
"ausar"-verb-oc "atrever"-verb-es
"instituir"-verb-oc "instituir"-verb-es
"instituir"-verb-es "instituir"-verb-oc
"instituir"-verb-es "instituïr"-verb-oc
"instituïr"-verb-oc "instituir"-verb-es
"lançar"-verb-oc "espetar"-verb-es
"espetar"-verb-es "lançar"-verb-oc
"liberar"-verb-oc "libertar"-verb-es
"libertar"-verb-es "liberar"-verb-oc
"mesurar"-verb-oc "mesurar"-verb-es
"mesurar"-verb-es "mesurar"-verb-oc
"orientar"-verb-oc "encarrilar"-verb-es
"encarrilar"-verb-es "orientar"-verb-oc
"plaidejar"-verb-oc "advocar"-verb-es
"advocar"-verb-es "plaidejar"-verb-oc
"recapitular"-verb-oc "recapitular"-verb-es
"recapitular"-verb-es "recapitular"-verb-oc
"recobrir"-verb-oc "recubrir"-verb-es
"recubrir"-verb-es "recobrir"-verb-oc
"recubrir"-verb-es "recurbir"-verb-oc
"recurbir"-verb-oc "recubrir"-verb-es
"reglar"-verb-oc "reglar"-verb-es
"reglar"-verb-es "reglar"-verb-oc
"sagnar"-verb-oc "sangrar"-verb-es
"sangrar"-verb-es "sagnar"-verb-oc
"segar"-verb-oc "segar"-verb-es
"segar"-verb-es "segar"-verb-oc
"tustar"-verb-oc "golpetear"-verb-es
"golpetear"-verb-es "tustar"-verb-oc
"golpetear"-verb-es "tumar"-verb-oc
"tumar"-verb-oc "golpetear"-verb-es
"suplantar"-verb-oc "suplantar"-verb-es
"suplantar"-verb-es "suplantar"-verb-oc
"pontificar"-verb-oc "pontificar"-verb-es
"pontificar"-verb-es "pontificar"-verb-oc
"clicar"-verb-oc "clicar"-verb-es
"clicar"-verb-es "clicar"-verb-oc
"desmobilizar"-verb-oc "desmovilizar"-verb-es
"desmovilizar"-verb-es "desmobilizar"-verb-oc
"bacin"-noun-oc "bacín"-noun-es
"bacín"-noun-es "bacin"-noun-oc
"gravadura"-noun-oc "gravación"-noun-es
"gravación"-noun-es "gravadura"-noun-oc
"telefilm"-noun-oc "telefilm"-noun-es
"telefilm"-noun-es "telefilm"-noun-oc
"leiçon"-noun-oc "escarmiento"-noun-es
"escarmiento"-noun-es "leiçon"-noun-oc
"escarmiento"-noun-es "leçon"-noun-oc
"leçon"-noun-oc "escarmiento"-noun-es
"dimenjada"-noun-oc "fines de semana"-noun-es
"fines de semana"-noun-es "dimenjada"-noun-oc
"recitacion"-noun-oc "recitación"-noun-es
"recitación"-noun-es "recitacion"-noun-oc
"disputat"-adjective-oc "disputado"-adjective-es
"disputado"-adjective-es "disputat"-adjective-oc
"famós"-adjective-oc "preclaro"-adjective-es
"preclaro"-adjective-es "famós"-adjective-oc
"culminant"-adjective-oc "culminante"-adjective-es
"culminante"-adjective-es "culminant"-adjective-oc
"consultatiu"-adjective-oc "consultativo"-adjective-es
"consultativo"-adjective-es "consultatiu"-adjective-oc
"omonim"-adjective-oc "tocayo"-adjective-es
"tocayo"-adjective-es "omonim"-adjective-oc
"partidari"-adjective-oc "partidario"-adjective-es
"partidario"-adjective-es "partidari"-adjective-oc
"delimitar"-verb-oc "deslindar"-verb-es
"deslindar"-verb-es "delimitar"-verb-oc
"revestir"-verb-oc "revestir"-verb-es
"revestir"-verb-es "revestir"-verb-oc
"subrevolar"-verb-oc "sobrevolar"-verb-es
"sobrevolar"-verb-es "subrevolar"-verb-oc
"sobrevolar"-verb-es "subervolar"-verb-oc
"subervolar"-verb-oc "sobrevolar"-verb-es
"desactivar"-verb-oc "desactivar"-verb-es
"desactivar"-verb-es "desactivar"-verb-oc
"escalabrar"-verb-oc "escarmentar"-verb-es
"escarmentar"-verb-es "escalabrar"-verb-oc
"empoisonar"-verb-oc "emponzoñar"-verb-es
"emponzoñar"-verb-es "empoisonar"-verb-oc
"emponzoñar"-verb-es "empodoar"-verb-oc
"empodoar"-verb-oc "emponzoñar"-verb-es
"engolir"-verb-oc "engullir"-verb-es
"engullir"-verb-es "engolir"-verb-oc
"coexistir"-verb-oc "coexistir"-verb-es
"coexistir"-verb-es "coexistir"-verb-oc
"refondre"-verb-oc "refundir"-verb-es
"refundir"-verb-es "refondre"-verb-oc
"refundir"-verb-es "rehóner"-verb-oc
"rehóner"-verb-oc "refundir"-verb-es
"diocesan"-adjective-oc "diocesano"-adjective-es
"diocesano"-adjective-es "diocesan"-adjective-oc
"indicador"-adjective-oc "indicador"-adjective-es
"indicador"-adjective-es "indicador"-adjective-oc
"bacterian"-adjective-oc "bacteriano"-adjective-es
"bacteriano"-adjective-es "bacterian"-adjective-oc
"articulat"-adjective-oc "articulado"-adjective-es
"articulado"-adjective-es "articulat"-adjective-oc
"a l'interior"-adverb-oc "en el interior"-adverb-es
"en el interior"-adverb-es "a l'interior"-adverb-oc
"en el interior"-adverb-es "al dedins"-adverb-oc
"en el interior"-adverb-es "ath laguens"-adverb-oc
"al dedins"-adverb-oc "en el interior"-adverb-es
"ath laguens"-adverb-oc "en el interior"-adverb-es
"edat mejana"-noun-oc "edad media"-noun-es
"edad media"-noun-es "edat mejana"-noun-oc
"decòr"-noun-oc "decorado"-noun-es
"decorado"-noun-es "decòr"-noun-oc
"taxon"-noun-oc "taxón"-noun-es
"taxón"-noun-es "taxon"-noun-oc
"notable"-noun-oc "notable"-noun-es
"notable"-noun-es "notable"-noun-oc
"fabla"-noun-oc "patraña"-noun-es
"patraña"-noun-es "fabla"-noun-oc
"patraña"-noun-es "faula"-noun-oc
"faula"-noun-oc "patraña"-noun-es
"cristianizacion"-noun-oc "cristianización"-noun-es
"cristianización"-noun-es "cristianizacion"-noun-oc
"grafèma"-noun-oc "grafema"-noun-es
"grafema"-noun-es "grafèma"-noun-oc
"missal"-noun-oc "misal"-noun-es
"misal"-noun-es "missal"-noun-oc
"misal"-noun-es "missau"-noun-oc
"missau"-noun-oc "misal"-noun-es
"escórrer"-verb-oc "escurrir"-verb-es
"escurrir"-verb-es "escórrer"-verb-oc
"Alibèrt"-properNoun-oc "Alibèrt"-properNoun-es
"Alibèrt"-properNoun-es "Alibèrt"-properNoun-oc
"Alibèrt"-properNoun-es "Alibèrt"-noun-oc
"Alibèrt"-noun-oc "Alibèrt"-properNoun-es
"Antes"-properNoun-oc "Antes"-properNoun-es
"Antes"-properNoun-es "Antes"-properNoun-oc
"Antes"-properNoun-es "Antes"-noun-oc
"Antes"-noun-oc "Antes"-properNoun-es
"Ané"-properNoun-oc "Ané"-properNoun-es
"Ané"-properNoun-es "Ané"-properNoun-oc
"Ané"-properNoun-es "Ané"-noun-oc
"Ané"-noun-oc "Ané"-properNoun-es
"Aribau"-properNoun-oc "Aribau"-properNoun-es
"Aribau"-properNoun-es "Aribau"-properNoun-oc
"Aribau"-properNoun-es "Aribau"-noun-oc
"Aribau"-noun-oc "Aribau"-properNoun-es
"Arisa"-properNoun-oc "Arisa"-properNoun-es
"Arisa"-properNoun-es "Arisa"-properNoun-oc
"Arisa"-properNoun-es "Arisa"-noun-oc
"Arisa"-noun-oc "Arisa"-properNoun-es
"Armentano"-properNoun-oc "Armentano"-properNoun-es
"Armentano"-properNoun-es "Armentano"-properNoun-oc
"Armentano"-properNoun-es "Armentano"-noun-oc
"Armentano"-noun-oc "Armentano"-properNoun-es
"Bardeen"-properNoun-oc "Bardeen"-properNoun-es
"Bardeen"-properNoun-es "Bardeen"-properNoun-oc
"Bardeen"-properNoun-es "Bardeen"-noun-oc
"Bardeen"-noun-oc "Bardeen"-properNoun-es
"Bartau"-properNoun-oc "Bartau"-properNoun-es
"Bartau"-properNoun-es "Bartau"-properNoun-oc
"Bartau"-properNoun-es "Bartau"-noun-oc
"Bartau"-noun-oc "Bartau"-properNoun-es
"Beckham"-properNoun-oc "Beckham"-properNoun-es
"Beckham"-properNoun-es "Beckham"-properNoun-oc
"Beckham"-properNoun-es "Beckham"-noun-oc
"Beckham"-noun-oc "Beckham"-properNoun-es
"Belbel"-properNoun-oc "Belbel"-properNoun-es
"Belbel"-properNoun-es "Belbel"-properNoun-oc
"Belbel"-properNoun-es "Belbel"-noun-oc
"Belbel"-noun-oc "Belbel"-properNoun-es
"Belletti"-properNoun-oc "Belletti"-properNoun-es
"Belletti"-properNoun-es "Belletti"-properNoun-oc
"Belletti"-properNoun-es "Belletti"-noun-oc
"Belletti"-noun-oc "Belletti"-properNoun-es
"Bertrana"-properNoun-oc "Bertrana"-properNoun-es
"Bertrana"-properNoun-es "Bertrana"-properNoun-oc
"Bertrana"-properNoun-es "Bertrana"-noun-oc
"Bertrana"-noun-oc "Bertrana"-properNoun-es
"Boquer"-properNoun-oc "Boquer"-properNoun-es
"Boquer"-properNoun-es "Boquer"-properNoun-oc
"Boquer"-properNoun-es "Boquer"-noun-oc
"Boquer"-noun-oc "Boquer"-properNoun-es
"Borbonés"-properNoun-oc "Borbonés"-properNoun-es
"Borbonés"-properNoun-es "Borbonés"-properNoun-oc
"Bouvet"-properNoun-oc "Isla Bouvet"-properNoun-es
"Isla Bouvet"-properNoun-es "Bouvet"-properNoun-oc
"Isla Bouvet"-properNoun-es "Bouvet"-noun-oc
"Bouvet"-noun-oc "Isla Bouvet"-properNoun-es
"Boya"-properNoun-oc "Boya"-properNoun-es
"Boya"-properNoun-es "Boya"-properNoun-oc
"Boya"-properNoun-es "Boya"-noun-oc
"Boya"-noun-oc "Boya"-properNoun-es
"Brandes"-properNoun-oc "Brandes"-properNoun-es
"Brandes"-properNoun-es "Brandes"-properNoun-oc
"Brandes"-properNoun-es "Brandes"-noun-oc
"Brandes"-noun-oc "Brandes"-properNoun-es
"Braque"-properNoun-oc "Braque"-properNoun-es
"Braque"-properNoun-es "Braque"-properNoun-oc
"Braque"-properNoun-es "Braque"-noun-oc
"Braque"-noun-oc "Braque"-properNoun-es
"Buenafuente"-properNoun-oc "Buenafuente"-properNoun-es
"Buenafuente"-properNoun-es "Buenafuente"-properNoun-oc
"Buenafuente"-properNoun-es "Buenafuente"-noun-oc
"Buenafuente"-noun-oc "Buenafuente"-properNoun-es
"Bugié"-properNoun-oc "Bugié"-properNoun-es
"Bugié"-properNoun-es "Bugié"-properNoun-oc
"Bugié"-properNoun-es "Bugié"-noun-oc
"Bugié"-noun-oc "Bugié"-properNoun-es
"Cadafalch"-properNoun-oc "Cadafalch"-properNoun-es
"Cadafalch"-properNoun-es "Cadafalch"-properNoun-oc
"Cadafalch"-properNoun-es "Cadafalch"-noun-oc
"Cadafalch"-noun-oc "Cadafalch"-properNoun-es
"Caine"-properNoun-oc "Caine"-properNoun-es
"Caine"-properNoun-es "Caine"-properNoun-oc
"Caine"-properNoun-es "Caine"-noun-oc
"Caine"-noun-oc "Caine"-properNoun-es
"Calbetó"-properNoun-oc "Calbetó"-properNoun-es
"Calbetó"-properNoun-es "Calbetó"-properNoun-oc
"Calbetó"-properNoun-es "Calbetó"-noun-oc
"Calbetó"-noun-oc "Calbetó"-properNoun-es
"Carnes"-properNoun-oc "Carnes"-properNoun-es
"Carnes"-properNoun-es "Carnes"-properNoun-oc
"Carnes"-properNoun-es "Carnes"-noun-oc
"Carnes"-noun-oc "Carnes"-properNoun-es
"Carrey"-properNoun-oc "Carrey"-properNoun-es
"Carrey"-properNoun-es "Carrey"-properNoun-oc
"Carrey"-properNoun-es "Carrey"-noun-oc
"Carrey"-noun-oc "Carrey"-properNoun-es
"Casarilh"-properNoun-oc "Casarilh"-properNoun-es
"Casarilh"-properNoun-es "Casarilh"-properNoun-oc
"Casarilh"-properNoun-es "Casarilh"-noun-oc
"Casarilh"-noun-oc "Casarilh"-properNoun-es
"Casasses"-properNoun-oc "Casasses"-properNoun-es
"Casasses"-properNoun-es "Casasses"-properNoun-oc
"Casasses"-properNoun-es "Casasses"-noun-oc
"Casasses"-noun-oc "Casasses"-properNoun-es
"Cerquiglini"-properNoun-oc "Cerquiglini"-properNoun-es
"Cerquiglini"-properNoun-es "Cerquiglini"-properNoun-oc
"Cerquiglini"-properNoun-es "Cerquiglini"-noun-oc
"Cerquiglini"-noun-oc "Cerquiglini"-properNoun-es
"Colomines"-properNoun-oc "Colomines"-properNoun-es
"Colomines"-properNoun-es "Colomines"-properNoun-oc
"Colomines"-properNoun-es "Colomines"-noun-oc
"Colomines"-noun-oc "Colomines"-properNoun-es
"Colomèrs"-properNoun-oc "Colomèrs"-properNoun-es
"Colomèrs"-properNoun-es "Colomèrs"-properNoun-oc
"Colomèrs"-properNoun-es "Colomèrs"-noun-oc
"Colomèrs"-noun-oc "Colomèrs"-properNoun-es
"Condò"-properNoun-oc "Condò"-properNoun-es
"Condò"-properNoun-es "Condò"-properNoun-oc
"Condò"-properNoun-es "Condò"-noun-oc
"Condò"-noun-oc "Condò"-properNoun-es
"Coromines"-properNoun-oc "Coromines"-properNoun-es
"Coromines"-properNoun-es "Coromines"-properNoun-oc
"Coromines"-properNoun-es "Coromines"-noun-oc
"Coromines"-noun-oc "Coromines"-properNoun-es
