"l"-noun-oc "l"-noun-es
"en lugar de"-preposition-es "al luòc de"-preposition-oc
"en lugar de"-preposition-es "en plaça de"-preposition-oc
"en lugar de"-preposition-es "en lòc de"-preposition-oc
"en lugar de"-preposition-es "en luòc de"-preposition-oc
"al luòc de"-preposition-oc "en lugar de"-preposition-es
"en plaça de"-preposition-oc "en lugar de"-preposition-es
"en lòc de"-preposition-oc "en lugar de"-preposition-es
"en luòc de"-preposition-oc "en lugar de"-preposition-es
"a partir de"-preposition-oc "a partir de"-preposition-es
"a partir de"-preposition-es "a partir de"-preposition-oc
"a partir de"-preposition-es "tre"-preposition-oc
"a partir de"-preposition-es "a compdar de"-preposition-oc
"a partir de"-preposition-es "a comptar de"-preposition-oc
"tre"-preposition-oc "a partir de"-preposition-es
"a compdar de"-preposition-oc "a partir de"-preposition-es
"a comptar de"-preposition-oc "a partir de"-preposition-es
"mejançant"-preposition-oc "por intermedio de"-preposition-es
"mejançant"-preposition-oc "por medio de"-preposition-es
"por intermedio de"-preposition-es "mejançant"-preposition-oc
"por medio de"-preposition-es "mejançant"-preposition-oc
"por medio de"-preposition-es "per miei de"-preposition-oc
"per miei de"-preposition-oc "por medio de"-preposition-es
"a través de"-preposition-es "al travèrs de"-preposition-oc
"a través de"-preposition-es "a trauès de"-preposition-oc
"al travèrs de"-preposition-oc "a través de"-preposition-es
"a trauès de"-preposition-oc "a través de"-preposition-es
"hacia"-preposition-es "envers"-preposition-oc
"envers"-preposition-oc "hacia"-preposition-es
"contra"-preposition-oc "contra"-preposition-es
"contra"-preposition-es "contra"-preposition-oc
"cossent damb"-preposition-oc "acorde con"-preposition-es
"cossent damb"-preposition-oc "de acuerdo con"-preposition-es
"cossent damb"-preposition-oc "en consonancia con"-preposition-es
"acorde con"-preposition-es "cossent damb"-preposition-oc
"de acuerdo con"-preposition-es "cossent damb"-preposition-oc
"de acuerdo con"-preposition-es "cossent a"-preposition-oc
"de acuerdo con"-preposition-es "cossent tamb"-preposition-oc
"en consonancia con"-preposition-es "cossent damb"-preposition-oc
"cossent a"-preposition-oc "de acuerdo con"-preposition-es
"cossent tamb"-preposition-oc "de acuerdo con"-preposition-es
"detrás"-adverb-es "al darrièr"-adverb-oc
"detrás"-adverb-es "ath darrèr"-adverb-oc
"detrás"-adverb-es "darrèr"-adverb-oc
"al darrièr"-adverb-oc "detrás"-adverb-es
"ath darrèr"-adverb-oc "detrás"-adverb-es
"darrèr"-adverb-oc "detrás"-adverb-es
"davant"-adverb-oc "a la cabeza"-adverb-es
"davant"-adverb-oc "al frente"-adverb-es
"a la cabeza"-adverb-es "davant"-adverb-oc
"a la cabeza"-adverb-es "deuant"-adverb-oc
"al frente"-adverb-es "davant"-adverb-oc
"al frente"-adverb-es "deuant"-adverb-oc
"deuant"-adverb-oc "a la cabeza"-adverb-es
"deuant"-adverb-oc "al frente"-adverb-es
"entre"-preposition-es "entre"-preposition-oc
"entre"-preposition-oc "entre"-preposition-es
"entre"-preposition-oc "por entre"-preposition-es
"sobre"-preposition-es "sobre"-preposition-oc
"sobre"-preposition-es "sur"-preposition-oc
"sobre"-preposition-es "demont"-preposition-oc
"sobre"-preposition-oc "sobre"-preposition-es
"sur"-preposition-oc "sobre"-preposition-es
"demont"-preposition-oc "sobre"-preposition-es
"ante"-preposition-es "dauant"-preposition-oc
"ante"-preposition-es "deuant"-preposition-oc
"dauant"-preposition-oc "ante"-preposition-es
"deuant"-preposition-oc "ante"-preposition-es
"deuant"-preposition-oc "delante de"-preposition-es
"deuant"-preposition-oc "en frente de"-preposition-es
"en cas de"-preposition-oc "en caso de"-preposition-es
"en caso de"-preposition-es "en cas de"-preposition-oc
"en caso de"-preposition-es "dins lo cas de"-preposition-oc
"dins lo cas de"-preposition-oc "en caso de"-preposition-es
"en cuanto a"-preposition-es "en çò que tanh"-preposition-oc
"en cuanto a"-preposition-es "entad açò que tanh"-preposition-oc
"en cuanto a"-preposition-es "entad aiçò que tanh"-preposition-oc
"en cuanto a"-preposition-es "per çò que tanh"-preposition-oc
"en cuanto a"-preposition-es "per çò qu'ei de"-preposition-oc
"en cuanto a"-preposition-es "per çò qu'es de"-preposition-oc
"en çò que tanh"-preposition-oc "en cuanto a"-preposition-es
"entad açò que tanh"-preposition-oc "en cuanto a"-preposition-es
"entad aiçò que tanh"-preposition-oc "en cuanto a"-preposition-es
"per çò que tanh"-preposition-oc "en cuanto a"-preposition-es
"per çò qu'ei de"-preposition-oc "en cuanto a"-preposition-es
"per çò qu'es de"-preposition-oc "en cuanto a"-preposition-es
"dins"-preposition-oc "dentro de"-preposition-es
"dentro de"-preposition-es "dins"-preposition-oc
"dentro de"-preposition-es "laguens"-preposition-oc
"dentro de"-preposition-es "dins de"-preposition-oc
"dentro de"-preposition-es "laguens de"-preposition-oc
"laguens"-preposition-oc "dentro de"-preposition-es
"dins de"-preposition-oc "dentro de"-preposition-es
"laguens de"-preposition-oc "dentro de"-preposition-es
"en mai de"-preposition-oc "además de"-preposition-es
"además de"-preposition-es "en mai de"-preposition-oc
"además de"-preposition-es "ath delà de"-preposition-oc
"ath delà de"-preposition-oc "además de"-preposition-es
"para"-preposition-es "per'mor de"-preposition-oc
"per'mor de"-preposition-oc "para"-preposition-es
"por entre"-preposition-es "entre"-preposition-oc
"envèrs"-preposition-oc "para con"-preposition-es
"para con"-preposition-es "envèrs"-preposition-oc
"bajo"-preposition-es "dejós de"-preposition-oc
"dejós de"-preposition-oc "bajo"-preposition-es
"por"-preposition-es "pr'amor de"-preposition-oc
"pr'amor de"-preposition-oc "por"-preposition-es
"prèp de"-preposition-oc "cerca de"-preposition-es
"cerca de"-preposition-es "prèp de"-preposition-oc
"cerca de"-preposition-es "près de"-preposition-oc
"près de"-preposition-oc "cerca de"-preposition-es
"per rapòrt a"-preposition-oc "con relación a"-preposition-es
"con relación a"-preposition-es "per rapòrt a"-preposition-oc
"esto"-pronoun-es "aiçò"-pronoun-oc
"esto"-pronoun-es "açò"-pronoun-oc
"aiçò"-pronoun-oc "esto"-pronoun-es
"aiçò"-pronoun-oc "ello"-pronoun-es
"aiçò"-pronoun-oc "eso"-pronoun-es
"açò"-pronoun-oc "esto"-pronoun-es
"açò"-pronoun-oc "ello"-pronoun-es
"açò"-pronoun-oc "eso"-pronoun-es
"aquello"-pronoun-es "aquerò"-pronoun-oc
"aquello"-pronoun-es "aquerò d'aquiu delà"-pronoun-oc
"aquerò"-pronoun-oc "aquello"-pronoun-es
"aquerò d'aquiu delà"-pronoun-oc "aquello"-pronoun-es
"aquel"-pronoun-es "aqueth"-pronoun-oc
"aquel"-pronoun-es "aqueth d'aquiu delà"-pronoun-oc
"aqueth"-pronoun-oc "aquel"-pronoun-es
"aqueth"-pronoun-oc "aquél"-pronoun-es
"aqueth d'aquiu delà"-pronoun-oc "aquel"-pronoun-es
"aquél"-pronoun-es "aqueth"-pronoun-oc
"aqueste"-pronoun-oc "ese"-pronoun-es
"aqueste"-pronoun-oc "ése"-pronoun-es
"ese"-pronoun-es "aqueste"-pronoun-oc
"ese"-pronoun-es "aguest"-pronoun-oc
"ése"-pronoun-es "aqueste"-pronoun-oc
"ése"-pronoun-es "aguest"-pronoun-oc
"aguest"-pronoun-oc "ese"-pronoun-es
"aguest"-pronoun-oc "ése"-pronoun-es
"se"-pronoun-oc "sí"-pronoun-es
"sí"-pronoun-es "se"-pronoun-oc
"sin"-preposition-es "sense"-preposition-oc
"sense"-preposition-oc "sin"-preposition-es
"ieu"-pronoun-oc "yo"-pronoun-es
"yo"-pronoun-es "ieu"-pronoun-oc
"yo"-pronoun-es "jo"-pronoun-oc
"yo"-pronoun-es "ièu"-pronoun-oc
"jo"-pronoun-oc "yo"-pronoun-es
"ièu"-pronoun-oc "yo"-pronoun-es
"tu"-pronoun-oc "tú"-pronoun-es
"tú"-pronoun-es "tu"-pronoun-oc
"él"-pronoun-es "eth"-pronoun-oc
"eth"-pronoun-oc "él"-pronoun-es
"nosautres"-pronoun-oc "nosotros"-pronoun-es
"nosotros"-pronoun-es "nosautres"-pronoun-oc
"nosotros"-pronoun-es "nos"-pronoun-oc
"nosotros"-pronoun-es "nosati"-pronoun-oc
"nos"-pronoun-oc "nosotros"-pronoun-es
"nos"-pronoun-oc "nos"-pronoun-es
"nosati"-pronoun-oc "nosotros"-pronoun-es
"vosautres"-pronoun-oc "usted"-pronoun-es
"vosautres"-pronoun-oc "vosotros"-pronoun-es
"usted"-pronoun-es "vosautres"-pronoun-oc
"usted"-pronoun-es "vos"-pronoun-oc
"usted"-pronoun-es "vosati"-pronoun-oc
"usted"-pronoun-es "vosté"-pronoun-oc
"vosotros"-pronoun-es "vosautres"-pronoun-oc
"vosotros"-pronoun-es "vosati"-pronoun-oc
"vos"-pronoun-oc "usted"-pronoun-es
"vos"-pronoun-oc "os"-pronoun-es
"vosati"-pronoun-oc "usted"-pronoun-es
"vosati"-pronoun-oc "vosotros"-pronoun-es
"vosté"-pronoun-oc "usted"-pronoun-es
"me"-pronoun-oc "me"-pronoun-es
"me"-pronoun-es "me"-pronoun-oc
"te"-pronoun-oc "te"-pronoun-es
"te"-pronoun-es "te"-pronoun-oc
"li"-pronoun-oc "le"-pronoun-es
"le"-pronoun-es "li"-pronoun-oc
"nos"-pronoun-es "nos"-pronoun-oc
"nos"-pronoun-es "mos"-pronoun-oc
"mos"-pronoun-oc "nos"-pronoun-es
"os"-pronoun-es "vos"-pronoun-oc
"lo"-pronoun-es "ac"-pronoun-oc
"lo"-pronoun-es "va"-pronoun-oc
"ac"-pronoun-oc "lo"-pronoun-es
"va"-pronoun-oc "lo"-pronoun-es
"òm"-pronoun-oc "uno"-pronoun-es
"uno"-pronoun-es "òm"-pronoun-oc
"algo"-pronoun-es "bèra causa"-pronoun-oc
"bèra causa"-pronoun-oc "algo"-pronoun-es
"quauquarrés"-pronoun-oc "alguien"-pronoun-es
"alguien"-pronoun-es "quauquarrés"-pronoun-oc
"nadie"-pronoun-es "quauquadegun"-pronoun-oc
"quauquadegun"-pronoun-oc "nadie"-pronoun-es
"alguno"-pronoun-es "mantun"-pronoun-oc
"alguno"-pronoun-es "bèth un"-pronoun-oc
"alguno"-pronoun-es "quauqu'un"-pronoun-oc
"mantun"-pronoun-oc "alguno"-pronoun-es
"bèth un"-pronoun-oc "alguno"-pronoun-es
"quauqu'un"-pronoun-oc "alguno"-pronoun-es
"quin"-pronoun-oc "cuál"-pronoun-es
"cuál"-pronoun-es "quin"-pronoun-oc
"quin"-adjective-oc "qué"-adjective-es
"qué"-adjective-es "quin"-adjective-oc
"quant"-pronoun-oc "cuánto"-pronoun-es
"cuánto"-pronoun-es "quant"-pronoun-oc
"cuánto"-pronoun-es "guaire"-pronoun-oc
"cuánto"-pronoun-es "quaire"-pronoun-oc
"cuánto"-pronoun-es "gaire"-pronoun-oc
"guaire"-pronoun-oc "cuánto"-pronoun-es
"quaire"-pronoun-oc "cuánto"-pronoun-es
"gaire"-pronoun-oc "cuánto"-pronoun-es
"adónde"-adverb-es "a on"-adverb-oc
"a on"-adverb-oc "adónde"-adverb-es
"a on"-adverb-oc "dónde"-adverb-es
"dónde"-adverb-es "a on"-adverb-oc
"un"-determiner-oc "uno"-determiner-es
"uno"-determiner-es "un"-determiner-oc
"cap"-determiner-oc "ninguno"-determiner-es
"ninguno"-determiner-es "cap"-determiner-oc
"alguno"-determiner-es "mantun"-determiner-oc
"alguno"-determiner-es "bèth"-determiner-oc
"alguno"-determiner-es "bèth un"-determiner-oc
"alguno"-determiner-es "qualqu'un"-determiner-oc
"alguno"-determiner-es "quauque"-determiner-oc
"mantun"-determiner-oc "alguno"-determiner-es
"bèth"-determiner-oc "alguno"-determiner-es
"bèth un"-determiner-oc "alguno"-determiner-es
"qualqu'un"-determiner-oc "alguno"-determiner-es
"quauque"-determiner-oc "alguno"-determiner-es
"tuyo"-determiner-es "eth tòn"-determiner-oc
"tuyo"-determiner-es "ta"-determiner-oc
"eth tòn"-determiner-oc "tuyo"-determiner-es
"ta"-determiner-oc "tuyo"-determiner-es
"suyo"-determiner-es "eth sòn"-determiner-oc
"suyo"-determiner-es "sa"-determiner-oc
"eth sòn"-determiner-oc "suyo"-determiner-es
"sa"-determiner-oc "suyo"-determiner-es
"nuestro"-determiner-es "eth nòste"-determiner-oc
"eth nòste"-determiner-oc "nuestro"-determiner-es
"vuestro"-determiner-es "eth vòste"-determiner-oc
"eth vòste"-determiner-oc "vuestro"-determiner-es
"lo mieu"-pronoun-oc "el mío"-pronoun-es
"el mío"-pronoun-es "lo mieu"-pronoun-oc
"el mío"-pronoun-es "eth mèn"-pronoun-oc
"eth mèn"-pronoun-oc "el mío"-pronoun-es
"lo tieu"-pronoun-oc "el tuyo"-pronoun-es
"el tuyo"-pronoun-es "lo tieu"-pronoun-oc
"el tuyo"-pronoun-es "eth tòn"-pronoun-oc
"eth tòn"-pronoun-oc "el tuyo"-pronoun-es
"lo sieu"-pronoun-oc "el suyo"-pronoun-es
"el suyo"-pronoun-es "lo sieu"-pronoun-oc
"el suyo"-pronoun-es "eth sòn"-pronoun-oc
"el suyo"-pronoun-es "lor"-pronoun-oc
"eth sòn"-pronoun-oc "el suyo"-pronoun-es
"lor"-pronoun-oc "el suyo"-pronoun-es
"lo nòstre"-pronoun-oc "el nuestro"-pronoun-es
"el nuestro"-pronoun-es "lo nòstre"-pronoun-oc
"el nuestro"-pronoun-es "eth nòste"-pronoun-oc
"eth nòste"-pronoun-oc "el nuestro"-pronoun-es
"lo vòstre"-pronoun-oc "el vuestro"-pronoun-es
"el vuestro"-pronoun-es "lo vòstre"-pronoun-oc
"el vuestro"-pronoun-es "eth vòste"-pronoun-oc
"eth vòste"-pronoun-oc "el vuestro"-pronoun-es
"aquel"-determiner-es "aqueth d'aquiu delà"-determiner-oc
"aqueth d'aquiu delà"-determiner-oc "aquel"-determiner-es
"eth quau"-relativePronoun-oc "el cual"-relativePronoun-es
"eth quau"-relativePronoun-oc "el que"-relativePronoun-es
"el cual"-relativePronoun-es "eth quau"-relativePronoun-oc
"el que"-relativePronoun-es "eth quau"-relativePronoun-oc
"que"-relativePronoun-es "dont"-relativePronoun-oc
"que"-relativePronoun-es "qué"-relativePronoun-oc
"dont"-relativePronoun-oc "que"-relativePronoun-es
"qué"-relativePronoun-oc "que"-relativePronoun-es
"qui"-noun-oc "quien"-noun-es
"qui"-noun-oc "quien"-relativePronoun-es
"quien"-noun-es "qui"-noun-oc
"quien"-noun-es "qui"-relativePronoun-oc
"quien"-relativePronoun-es "qui"-noun-oc
"quien"-relativePronoun-es "qui"-relativePronoun-oc
"qui"-relativePronoun-oc "quien"-noun-es
"qui"-relativePronoun-oc "quien"-relativePronoun-es
"zèro"-numeral-oc "cero"-numeral-es
"cero"-numeral-es "zèro"-numeral-oc
"un"-numeral-oc "uno"-numeral-es
"uno"-numeral-es "un"-numeral-oc
"dos"-numeral-oc "dos"-numeral-es
"dos"-numeral-es "dos"-numeral-oc
"dos"-numeral-es "dus"-numeral-oc
"dus"-numeral-oc "dos"-numeral-es
"tres"-numeral-oc "tres"-numeral-es
"tres"-numeral-es "tres"-numeral-oc
"quatre"-numeral-oc "cuatro"-numeral-es
"cuatro"-numeral-es "quatre"-numeral-oc
"cuatro"-numeral-es "quate"-numeral-oc
"quate"-numeral-oc "cuatro"-numeral-es
"cinc"-numeral-oc "cinco"-numeral-es
"cinco"-numeral-es "cinc"-numeral-oc
"sièis"-numeral-oc "seis"-numeral-es
"seis"-numeral-es "sièis"-numeral-oc
"seis"-numeral-es "sies"-numeral-oc
"sies"-numeral-oc "seis"-numeral-es
"sèt"-numeral-oc "siete"-numeral-es
"siete"-numeral-es "sèt"-numeral-oc
"uèch"-numeral-oc "ocho"-numeral-es
"ocho"-numeral-es "uèch"-numeral-oc
"ocho"-numeral-es "uèit"-numeral-oc
"ocho"-numeral-es "ueit"-numeral-oc
"uèit"-numeral-oc "ocho"-numeral-es
"ueit"-numeral-oc "ocho"-numeral-es
"nòu"-numeral-oc "nueve"-numeral-es
"nueve"-numeral-es "nòu"-numeral-oc
"nueve"-numeral-es "nau"-numeral-oc
"nau"-numeral-oc "nueve"-numeral-es
"onze"-numeral-oc "once"-numeral-es
"once"-numeral-es "onze"-numeral-oc
"dotze"-numeral-oc "doce"-numeral-es
"doce"-numeral-es "dotze"-numeral-oc
"tretze"-numeral-oc "trece"-numeral-es
"trece"-numeral-es "tretze"-numeral-oc
"catorze"-numeral-oc "catorce"-numeral-es
"catorce"-numeral-es "catorze"-numeral-oc
"quinze"-numeral-oc "quince"-numeral-es
"quince"-numeral-es "quinze"-numeral-oc
"setze"-numeral-oc "dieciséis"-numeral-es
"dieciséis"-numeral-es "setze"-numeral-oc
"dètz-e-sèt"-numeral-oc "diecisiete"-numeral-es
"diecisiete"-numeral-es "dètz-e-sèt"-numeral-oc
"dètz-e-uèch"-numeral-oc "dieciocho"-numeral-es
"dieciocho"-numeral-es "dètz-e-uèch"-numeral-oc
"dieciocho"-numeral-es "dètz-e-uèit"-numeral-oc
"dieciocho"-numeral-es "dètz-e-ueit"-numeral-oc
"dètz-e-uèit"-numeral-oc "dieciocho"-numeral-es
"dètz-e-ueit"-numeral-oc "dieciocho"-numeral-es
"dètz-e-nau"-numeral-oc "diecinueve"-numeral-es
"diecinueve"-numeral-es "dètz-e-nau"-numeral-oc
"vint"-numeral-oc "veinte"-numeral-es
"veinte"-numeral-es "vint"-numeral-oc
"vint-e-un"-numeral-oc "veintiuno"-numeral-es
"veintiuno"-numeral-es "vint-e-un"-numeral-oc
"vint-e-dos"-numeral-oc "veintidós"-numeral-es
"veintidós"-numeral-es "vint-e-dos"-numeral-oc
"veintidós"-numeral-es "vint-e-dus"-numeral-oc
"vint-e-dus"-numeral-oc "veintidós"-numeral-es
"vint-e-tres"-numeral-oc "veintitrés"-numeral-es
"veintitrés"-numeral-es "vint-e-tres"-numeral-oc
"vint-e-quatre"-numeral-oc "veinticuatro"-numeral-es
"veinticuatro"-numeral-es "vint-e-quatre"-numeral-oc
"veinticuatro"-numeral-es "vint-e-quate"-numeral-oc
"vint-e-quate"-numeral-oc "veinticuatro"-numeral-es
"vint-e-cinc"-numeral-oc "veinticinco"-numeral-es
"veinticinco"-numeral-es "vint-e-cinc"-numeral-oc
"vint-e-sièis"-numeral-oc "veintiséis"-numeral-es
"veintiséis"-numeral-es "vint-e-sièis"-numeral-oc
"veintiséis"-numeral-es "vint-e-sies"-numeral-oc
"vint-e-sies"-numeral-oc "veintiséis"-numeral-es
"vint-e-sèt"-numeral-oc "veintisiete"-numeral-es
"veintisiete"-numeral-es "vint-e-sèt"-numeral-oc
"vint-e-uèch"-numeral-oc "veintiocho"-numeral-es
"veintiocho"-numeral-es "vint-e-uèch"-numeral-oc
"veintiocho"-numeral-es "vint-e-uèit"-numeral-oc
"veintiocho"-numeral-es "vint-e-ueit"-numeral-oc
"vint-e-uèit"-numeral-oc "veintiocho"-numeral-es
"vint-e-ueit"-numeral-oc "veintiocho"-numeral-es
"vint-e-nau"-numeral-oc "veintinueve"-numeral-es
"veintinueve"-numeral-es "vint-e-nau"-numeral-oc
"trenta"-numeral-oc "treinta"-numeral-es
"treinta"-numeral-es "trenta"-numeral-oc
"trenta un"-numeral-oc "treinta y uno"-numeral-es
"treinta y uno"-numeral-es "trenta un"-numeral-oc
"trenta dos"-numeral-oc "treinta y dos"-numeral-es
"treinta y dos"-numeral-es "trenta dos"-numeral-oc
"treinta y dos"-numeral-es "trenta dus"-numeral-oc
"trenta dus"-numeral-oc "treinta y dos"-numeral-es
"trenta tres"-numeral-oc "treinta y tres"-numeral-es
"treinta y tres"-numeral-es "trenta tres"-numeral-oc
"trenta quatre"-numeral-oc "treinta y cuatro"-numeral-es
"treinta y cuatro"-numeral-es "trenta quatre"-numeral-oc
"treinta y cuatro"-numeral-es "trenta quate"-numeral-oc
"trenta quate"-numeral-oc "treinta y cuatro"-numeral-es
"trenta cinc"-numeral-oc "treinta y cinco"-numeral-es
"treinta y cinco"-numeral-es "trenta cinc"-numeral-oc
"trenta sièis"-numeral-oc "treinta y seis"-numeral-es
"treinta y seis"-numeral-es "trenta sièis"-numeral-oc
"treinta y seis"-numeral-es "trenta sies"-numeral-oc
"trenta sies"-numeral-oc "treinta y seis"-numeral-es
"trenta sèt"-numeral-oc "treinta y siete"-numeral-es
"treinta y siete"-numeral-es "trenta sèt"-numeral-oc
"trenta uèch"-numeral-oc "treinta y ocho"-numeral-es
"treinta y ocho"-numeral-es "trenta uèch"-numeral-oc
"treinta y ocho"-numeral-es "trenta uèit"-numeral-oc
"treinta y ocho"-numeral-es "trenta ueit"-numeral-oc
"trenta uèit"-numeral-oc "treinta y ocho"-numeral-es
"trenta ueit"-numeral-oc "treinta y ocho"-numeral-es
"trenta nòu"-numeral-oc "treinta y nueve"-numeral-es
"treinta y nueve"-numeral-es "trenta nòu"-numeral-oc
"treinta y nueve"-numeral-es "trenta nau"-numeral-oc
"trenta nau"-numeral-oc "treinta y nueve"-numeral-es
"quaranta"-numeral-oc "cuarenta"-numeral-es
"cuarenta"-numeral-es "quaranta"-numeral-oc
"quaranta un"-numeral-oc "cuarenta y uno"-numeral-es
"cuarenta y uno"-numeral-es "quaranta un"-numeral-oc
"quaranta dos"-numeral-oc "cuarenta y dos"-numeral-es
"cuarenta y dos"-numeral-es "quaranta dos"-numeral-oc
"cuarenta y dos"-numeral-es "quaranta dus"-numeral-oc
"quaranta dus"-numeral-oc "cuarenta y dos"-numeral-es
"quaranta tres"-numeral-oc "cuarenta y tres"-numeral-es
"cuarenta y tres"-numeral-es "quaranta tres"-numeral-oc
"quaranta quatre"-numeral-oc "cuarenta y cuatro"-numeral-es
"cuarenta y cuatro"-numeral-es "quaranta quatre"-numeral-oc
"cuarenta y cuatro"-numeral-es "quaranta quate"-numeral-oc
"quaranta quate"-numeral-oc "cuarenta y cuatro"-numeral-es
"quaranta cinc"-numeral-oc "cuarenta y cinco"-numeral-es
"cuarenta y cinco"-numeral-es "quaranta cinc"-numeral-oc
"quaranta sièis"-numeral-oc "cuarenta y seis"-numeral-es
"cuarenta y seis"-numeral-es "quaranta sièis"-numeral-oc
"cuarenta y seis"-numeral-es "quaranta sies"-numeral-oc
"quaranta sies"-numeral-oc "cuarenta y seis"-numeral-es
"quaranta uèch"-numeral-oc "cuarenta y ocho"-numeral-es
"cuarenta y ocho"-numeral-es "quaranta uèch"-numeral-oc
"cuarenta y ocho"-numeral-es "quaranta uèit"-numeral-oc
"cuarenta y ocho"-numeral-es "quaranta ueit"-numeral-oc
"quaranta uèit"-numeral-oc "cuarenta y ocho"-numeral-es
"quaranta ueit"-numeral-oc "cuarenta y ocho"-numeral-es
"quaranta nòu"-numeral-oc "cuarenta y nueve"-numeral-es
"cuarenta y nueve"-numeral-es "quaranta nòu"-numeral-oc
"cuarenta y nueve"-numeral-es "quaranta nau"-numeral-oc
"quaranta nau"-numeral-oc "cuarenta y nueve"-numeral-es
"cinquanta"-numeral-oc "cincuenta"-numeral-es
"cincuenta"-numeral-es "cinquanta"-numeral-oc
"cinquanta un"-numeral-oc "cincuenta y uno"-numeral-es
"cincuenta y uno"-numeral-es "cinquanta un"-numeral-oc
"cinquanta dos"-numeral-oc "cincuenta y dos"-numeral-es
"cincuenta y dos"-numeral-es "cinquanta dos"-numeral-oc
"cincuenta y dos"-numeral-es "cinquanta dus"-numeral-oc
"cinquanta dus"-numeral-oc "cincuenta y dos"-numeral-es
"cinquanta tres"-numeral-oc "cincuenta y tres"-numeral-es
"cincuenta y tres"-numeral-es "cinquanta tres"-numeral-oc
"cinquanta quatre"-numeral-oc "cincuenta y cuatro"-numeral-es
"cincuenta y cuatro"-numeral-es "cinquanta quatre"-numeral-oc
"cincuenta y cuatro"-numeral-es "cinquanta quate"-numeral-oc
"cinquanta quate"-numeral-oc "cincuenta y cuatro"-numeral-es
"cinquanta cinc"-numeral-oc "cincuenta y cinco"-numeral-es
"cincuenta y cinco"-numeral-es "cinquanta cinc"-numeral-oc
"cinquanta sièis"-numeral-oc "cincuenta y seis"-numeral-es
"cincuenta y seis"-numeral-es "cinquanta sièis"-numeral-oc
"cincuenta y seis"-numeral-es "cinquanta sies"-numeral-oc
"cinquanta sies"-numeral-oc "cincuenta y seis"-numeral-es
"cinquanta sèt"-numeral-oc "cincuenta y siete"-numeral-es
"cincuenta y siete"-numeral-es "cinquanta sèt"-numeral-oc
"cinquanta uèch"-numeral-oc "cincuenta y ocho"-numeral-es
"cincuenta y ocho"-numeral-es "cinquanta uèch"-numeral-oc
"cincuenta y ocho"-numeral-es "cinquanta uèit"-numeral-oc
"cincuenta y ocho"-numeral-es "cinquanta ueit"-numeral-oc
"cinquanta uèit"-numeral-oc "cincuenta y ocho"-numeral-es
"cinquanta ueit"-numeral-oc "cincuenta y ocho"-numeral-es
"cinquanta nòu"-numeral-oc "cincuenta y nueve"-numeral-es
"cincuenta y nueve"-numeral-es "cinquanta nòu"-numeral-oc
"cincuenta y nueve"-numeral-es "cinquanta nau"-numeral-oc
