"n'importe quel"-determiner-fr "qualsevol"-determiner-ca
"plenament"-adverb-ca "pleinement"-adverb-fr
"accidentellement"-adverb-fr "accidentalment"-adverb-ca
"accidentalment"-adverb-ca "accidentellement"-adverb-fr
"rarament"-adverb-ca "rarement"-adverb-fr
"rarement"-adverb-fr "rarament"-adverb-ca
"occasionnellement"-adverb-fr "ocasionalment"-adverb-ca
"ocasionalment"-adverb-ca "occasionnellement"-adverb-fr
"parfois"-adverb-fr "a vegades"-adverb-ca
"parfois"-adverb-fr "de vegades"-adverb-ca
"a vegades"-adverb-ca "parfois"-adverb-fr
"de vegades"-adverb-ca "parfois"-adverb-fr
"involuntàriament"-adverb-ca "involontairement"-adverb-fr
"involontairement"-adverb-fr "involuntàriament"-adverb-ca
"en dehors"-adverb-fr "fora"-adverb-ca
"fora"-adverb-ca "en dehors"-adverb-fr
"fora"-adverb-ca "hors"-adverb-fr
"fora"-adverb-ca "dehors"-adverb-fr
"hors"-adverb-fr "fora"-adverb-ca
"dehors"-adverb-fr "fora"-adverb-ca
"au-delà"-adverb-fr "més enllà"-adverb-ca
"més enllà"-adverb-ca "au-delà"-adverb-fr
"a més"-adverb-ca "en plus"-adverb-fr
"a més"-adverb-ca "en outre"-adverb-fr
"en plus"-adverb-fr "a més"-adverb-ca
"en plus"-adverb-fr "a més a més"-adverb-ca
"en outre"-adverb-fr "a més"-adverb-ca
"a més a més"-adverb-ca "en plus"-adverb-fr
"là-bas"-adverb-fr "allà"-adverb-ca
"allà"-adverb-ca "là-bas"-adverb-fr
"allà"-adverb-ca "là"-adverb-fr
"là"-adverb-fr "allà"-adverb-ca
"là"-adverb-fr "allí"-adverb-ca
"allí"-adverb-ca "là"-adverb-fr
"ací"-adverb-ca "ici"-adverb-fr
"ici"-adverb-fr "ací"-adverb-ca
"ici"-adverb-fr "aquí"-adverb-ca
"ci"-adverb-fr "aquí"-adverb-ca
"aquí"-adverb-ca "ici"-adverb-fr
"aquí"-adverb-ca "ci"-adverb-fr
"lluny"-adverb-ca "loin"-adverb-fr
"loin"-adverb-fr "lluny"-adverb-ca
"séparément"-adverb-fr "separadament"-adverb-ca
"separadament"-adverb-ca "séparément"-adverb-fr
"fonamentalment"-adverb-ca "fondamentalement"-adverb-fr
"fondamentalement"-adverb-fr "fonamentalment"-adverb-ca
"successivament"-adverb-ca "successivement"-adverb-fr
"successivement"-adverb-fr "successivament"-adverb-ca
"quan"-adverb-ca "quand"-adverb-fr
"quand"-adverb-fr "quan"-adverb-ca
"positivament"-adverb-ca "positivement"-adverb-fr
"positivement"-adverb-fr "positivament"-adverb-ca
"lògicament"-adverb-ca "logiquement"-adverb-fr
"logiquement"-adverb-fr "lògicament"-adverb-ca
"lentement"-adverb-fr "lentament"-adverb-ca
"lentement"-adverb-fr "a poc a poc"-adverb-ca
"lentament"-adverb-ca "lentement"-adverb-fr
"a poc a poc"-adverb-ca "lentement"-adverb-fr
"doucement"-adverb-fr "dolçament"-adverb-ca
"dolçament"-adverb-ca "doucement"-adverb-fr
"lleugerament"-adverb-ca "légèrement"-adverb-fr
"légèrement"-adverb-fr "lleugerament"-adverb-ca
"una mica"-adverb-ca "un peu"-adverb-fr
"un peu"-adverb-fr "una mica"-adverb-ca
"sincerament"-adverb-ca "sincèrement"-adverb-fr
"sincèrement"-adverb-fr "sincerament"-adverb-ca
"francament"-adverb-ca "franchement"-adverb-fr
"franchement"-adverb-fr "francament"-adverb-ca
"evidentment"-adverb-ca "évidemment"-adverb-fr
"évidemment"-adverb-fr "evidentment"-adverb-ca
"évidemment"-adverb-fr "òbviament"-adverb-ca
"òbviament"-adverb-ca "évidemment"-adverb-fr
"oui"-adverb-fr "sí"-adverb-ca
"sí"-adverb-ca "oui"-adverb-fr
"sí"-adverb-ca "si"-adverb-fr
"si"-adverb-fr "sí"-adverb-ca
"així"-adverb-ca "ainsi"-adverb-fr
"ainsi"-adverb-fr "així"-adverb-ca
"així mateix"-adverb-ca "de même"-adverb-fr
"de même"-adverb-fr "així mateix"-adverb-ca
"posteriorment"-adverb-ca "postérieurement"-adverb-fr
"postérieurement"-adverb-fr "posteriorment"-adverb-ca
"després"-adverb-ca "tantôt"-adverb-fr
"després"-adverb-ca "ensuite"-adverb-fr
"després"-adverb-ca "après"-adverb-fr
"tantôt"-adverb-fr "després"-adverb-ca
"ensuite"-adverb-fr "després"-adverb-ca
"après"-adverb-fr "després"-adverb-ca
"directament"-adverb-ca "directement"-adverb-fr
"directement"-adverb-fr "directament"-adverb-ca
"seulement"-adverb-fr "només"-adverb-ca
"seulement"-adverb-fr "solament"-adverb-ca
"seulement"-adverb-fr "sols"-adverb-ca
"només"-adverb-ca "seulement"-adverb-fr
"solament"-adverb-ca "seulement"-adverb-fr
"sols"-adverb-ca "seulement"-adverb-fr
"únicament"-adverb-ca "uniquement"-adverb-fr
"uniquement"-adverb-fr "únicament"-adverb-ca
"principalment"-adverb-ca "principalement"-adverb-fr
"principalement"-adverb-fr "principalment"-adverb-ca
"sobretot"-adverb-ca "surtout"-adverb-fr
"sobretot"-adverb-ca "notamment"-adverb-fr
"surtout"-adverb-fr "sobretot"-adverb-ca
"notamment"-adverb-fr "sobretot"-adverb-ca
"especialment"-adverb-ca "spécialement"-adverb-fr
"spécialement"-adverb-fr "especialment"-adverb-ca
"extrêmement"-adverb-fr "extremadament"-adverb-ca
"extrêmement"-adverb-fr "extremament"-adverb-ca
"extremadament"-adverb-ca "extrêmement"-adverb-fr
"extremament"-adverb-ca "extrêmement"-adverb-fr
"altament"-adverb-ca "hautement"-adverb-fr
"hautement"-adverb-fr "altament"-adverb-ca
"molt"-adverb-ca "beaucoup"-adverb-fr
"beaucoup"-adverb-fr "molt"-adverb-ca
"guère"-adverb-fr "gaire"-adverb-ca
"gaire"-adverb-ca "guère"-adverb-fr
"bé"-adverb-ca "bien"-adverb-fr
"bien"-adverb-fr "bé"-adverb-ca
"purament"-adverb-ca "purement"-adverb-fr
"purement"-adverb-fr "purament"-adverb-ca
"merament"-adverb-ca "simplement"-adverb-fr
"simplement"-adverb-fr "merament"-adverb-ca
"simplement"-adverb-fr "simplement"-adverb-ca
"simplement"-adverb-fr "senzillament"-adverb-ca
"simplement"-adverb-ca "simplement"-adverb-fr
"simplement"-adverb-ca "bonnement"-adverb-fr
"senzillament"-adverb-ca "simplement"-adverb-fr
"bonnement"-adverb-fr "simplement"-adverb-ca
"spontanément"-adverb-fr "espontàniament"-adverb-ca
"espontàniament"-adverb-ca "spontanément"-adverb-fr
"précisément"-adverb-fr "precisament"-adverb-ca
"precisament"-adverb-ca "précisément"-adverb-fr
"precisament"-adverb-ca "justement"-adverb-fr
"justement"-adverb-fr "precisament"-adverb-ca
"justement"-adverb-fr "justament"-adverb-ca
"justament"-adverb-ca "justement"-adverb-fr
"exactament"-adverb-ca "exactement"-adverb-fr
"exactement"-adverb-fr "exactament"-adverb-ca
"recentment"-adverb-ca "récemment"-adverb-fr
"récemment"-adverb-fr "recentment"-adverb-ca
"novament"-adverb-ca "à nouveau"-adverb-fr
"à nouveau"-adverb-fr "novament"-adverb-ca
"finalment"-adverb-ca "enfin"-adverb-fr
"finalment"-adverb-ca "finalement"-adverb-fr
"enfin"-adverb-fr "finalment"-adverb-ca
"finalement"-adverb-fr "finalment"-adverb-ca
"últimament"-adverb-ca "dernièrement"-adverb-fr
"dernièrement"-adverb-fr "últimament"-adverb-ca
"dernièrement"-adverb-fr "darrerament"-adverb-ca
"darrerament"-adverb-ca "dernièrement"-adverb-fr
"bàsicament"-adverb-ca "basiquement"-adverb-fr
"basiquement"-adverb-fr "bàsicament"-adverb-ca
"essentiellement"-adverb-fr "essencialment"-adverb-ca
"essencialment"-adverb-ca "essentiellement"-adverb-fr
"completament"-adverb-ca "complètement"-adverb-fr
"complètement"-adverb-fr "completament"-adverb-ca
"segurament"-adverb-ca "sûrement"-adverb-fr
"sûrement"-adverb-fr "segurament"-adverb-ca
"fortament"-adverb-ca "fortement"-adverb-fr
"fortement"-adverb-fr "fortament"-adverb-ca
"substantiellement"-adverb-fr "substancialment"-adverb-ca
"substancialment"-adverb-ca "substantiellement"-adverb-fr
"notablement"-adverb-ca "notablement"-adverb-fr
"notablement"-adverb-fr "notablement"-adverb-ca
"clarament"-adverb-ca "nettement"-adverb-fr
"clarament"-adverb-ca "clairement"-adverb-fr
"nettement"-adverb-fr "clarament"-adverb-ca
"clairement"-adverb-fr "clarament"-adverb-ca
"fàcilment"-adverb-ca "aisément"-adverb-fr
"fàcilment"-adverb-ca "facilement"-adverb-fr
"aisément"-adverb-fr "fàcilment"-adverb-ca
"facilement"-adverb-fr "fàcilment"-adverb-ca
"correctament"-adverb-ca "correctement"-adverb-fr
"correctement"-adverb-fr "correctament"-adverb-ca
"igualment"-adverb-ca "également"-adverb-fr
"également"-adverb-fr "igualment"-adverb-ca
"també"-adverb-ca "aussi"-adverb-fr
"aussi"-adverb-fr "també"-adverb-ca
"tant"-adverb-ca "tant"-adverb-fr
"tant"-adverb-ca "autant"-adverb-fr
"tant"-adverb-fr "tant"-adverb-ca
"autant"-adverb-fr "tant"-adverb-ca
"voluntàriament"-adverb-ca "volontairement"-adverb-fr
"volontairement"-adverb-fr "voluntàriament"-adverb-ca
"puntualment"-adverb-ca "ponctuellement"-adverb-fr
"ponctuellement"-adverb-fr "puntualment"-adverb-ca
"régulièrement"-adverb-fr "regularment"-adverb-ca
"regularment"-adverb-ca "régulièrement"-adverb-fr
"normalment"-adverb-ca "normalement"-adverb-fr
"normalement"-adverb-fr "normalment"-adverb-ca
"habituellement"-adverb-fr "habitualment"-adverb-ca
"habitualment"-adverb-ca "habituellement"-adverb-fr
"freqüentment"-adverb-ca "fréquemment"-adverb-fr
"fréquemment"-adverb-fr "freqüentment"-adverb-ca
"generalment"-adverb-ca "généralement"-adverb-fr
"généralement"-adverb-fr "generalment"-adverb-ca
"àmpliament"-adverb-ca "largement"-adverb-fr
"largement"-adverb-fr "àmpliament"-adverb-ca
"profundament"-adverb-ca "profondément"-adverb-fr
"profondément"-adverb-fr "profundament"-adverb-ca
"globalment"-adverb-ca "globalement"-adverb-fr
"globalement"-adverb-fr "globalment"-adverb-ca
"expressament"-adverb-ca "expressément"-adverb-fr
"expressément"-adverb-fr "expressament"-adverb-ca
"délibérément"-adverb-fr "deliberadament"-adverb-ca
"deliberadament"-adverb-ca "délibérément"-adverb-fr
"avant"-adverb-fr "abans"-adverb-ca
"abans"-adverb-ca "avant"-adverb-fr
"abans"-adverb-ca "auparavant"-adverb-fr
"auparavant"-adverb-fr "abans"-adverb-ca
"devant"-adverb-fr "enfront"-adverb-ca
"devant"-adverb-fr "davant"-adverb-ca
"enfront"-adverb-ca "devant"-adverb-fr
"davant"-adverb-ca "devant"-adverb-fr
"par contre"-adverb-fr "en canvi"-adverb-ca
"en canvi"-adverb-ca "par contre"-adverb-fr
"per contra"-adverb-ca "en revanche"-adverb-fr
"en revanche"-adverb-fr "per contra"-adverb-ca
"rere"-adverb-ca "derrière"-adverb-fr
"derrière"-adverb-fr "rere"-adverb-ca
"derrière"-adverb-fr "darrere"-adverb-ca
"derrière"-adverb-fr "enrere"-adverb-ca
"derrière"-adverb-fr "endarrere"-adverb-ca
"derrière"-adverb-fr "endarrera"-adverb-ca
"derrière"-adverb-fr "darrera"-adverb-ca
"darrere"-adverb-ca "derrière"-adverb-fr
"enrere"-adverb-ca "derrière"-adverb-fr
"endarrere"-adverb-ca "derrière"-adverb-fr
"endarrera"-adverb-ca "derrière"-adverb-fr
"darrera"-adverb-ca "derrière"-adverb-fr
"més aviat"-adverb-ca "plutôt"-adverb-fr
"plutôt"-adverb-fr "més aviat"-adverb-ca
"de fet"-adverb-ca "en fait"-adverb-fr
"en fait"-adverb-fr "de fet"-adverb-ca
"realment"-adverb-ca "réellement"-adverb-fr
"réellement"-adverb-fr "realment"-adverb-ca
"véritablement"-adverb-fr "veritablement"-adverb-ca
"veritablement"-adverb-ca "véritablement"-adverb-fr
"veritablement"-adverb-ca "vraiment"-adverb-fr
"vraiment"-adverb-fr "veritablement"-adverb-ca
"assez"-adverb-fr "bastant"-adverb-ca
"assez"-adverb-fr "prou"-adverb-ca
"bastant"-adverb-ca "assez"-adverb-fr
"prou"-adverb-ca "assez"-adverb-fr
"prou"-adverb-ca "suffisamment"-adverb-fr
"suficientment"-adverb-ca "suffisamment"-adverb-fr
"suffisamment"-adverb-fr "prou"-adverb-ca
"suffisamment"-adverb-fr "suficientment"-adverb-ca
"a baix"-adverb-ca "en bas"-adverb-fr
"en bas"-adverb-fr "a baix"-adverb-ca
"en bas"-adverb-fr "avall"-adverb-ca
"en dessous"-adverb-fr "a sota"-adverb-ca
"a sota"-adverb-ca "en dessous"-adverb-fr
"a sota"-adverb-ca "au-dessous"-adverb-fr
"au-dessous"-adverb-fr "a sota"-adverb-ca
"au-dessous"-adverb-fr "davall"-adverb-ca
"davall"-adverb-ca "au-dessous"-adverb-fr
"avall"-adverb-ca "en bas"-adverb-fr
"dessous"-adverb-fr "sota"-adverb-ca
"sota"-adverb-ca "dessous"-adverb-fr
"malament"-adverb-ca "mal"-adverb-fr
"mal"-adverb-fr "malament"-adverb-ca
"sensiblement"-adverb-ca "sensiblement"-adverb-fr
"sensiblement"-adverb-fr "sensiblement"-adverb-ca
"seriosament"-adverb-ca "sérieusement"-adverb-fr
"sérieusement"-adverb-fr "seriosament"-adverb-ca
"totalment"-adverb-ca "totalement"-adverb-fr
"totalement"-adverb-fr "totalment"-adverb-ca
"particularment"-adverb-ca "particulièrement"-adverb-fr
"particulièrement"-adverb-fr "particularment"-adverb-ca
"naturalment"-adverb-ca "naturellement"-adverb-fr
"naturellement"-adverb-fr "naturalment"-adverb-ca
"es"-reflexivePersonalPronoun-ca "on"-pronoun-fr
"es"-reflexivePersonalPronoun-ca "se"-reflexivePersonalPronoun-fr
"es"-reflexivePersonalPronoun-ca "se"-pronoun-fr
"on"-pronoun-fr "es"-reflexivePersonalPronoun-ca
"on"-pronoun-fr "es"-pronoun-ca
"se"-reflexivePersonalPronoun-fr "es"-reflexivePersonalPronoun-ca
"se"-reflexivePersonalPronoun-fr "es"-pronoun-ca
"se"-pronoun-fr "es"-reflexivePersonalPronoun-ca
"se"-pronoun-fr "es"-pronoun-ca
"es"-pronoun-ca "on"-pronoun-fr
"es"-pronoun-ca "se"-reflexivePersonalPronoun-fr
"es"-pronoun-ca "se"-pronoun-fr
"vostè"-pronoun-ca "vous"-pronoun-fr
"vous"-pronoun-fr "vostè"-pronoun-ca
"vous"-pronoun-fr "vosaltres"-pronoun-ca
"vosaltres"-pronoun-ca "vous"-pronoun-fr
"nosaltres"-pronoun-ca "nous"-pronoun-fr
"nous"-pronoun-fr "nosaltres"-pronoun-ca
"nous"-pronoun-fr "ens"-pronoun-ca
"ens"-pronoun-ca "nous"-pronoun-fr
"mi"-pronoun-ca "moi"-pronoun-fr
"moi"-pronoun-fr "mi"-pronoun-ca
"le"-pronoun-fr "ho"-pronoun-ca
"le"-pronoun-fr "el"-pronoun-ca
"ho"-pronoun-ca "le"-pronoun-fr
"el"-pronoun-ca "le"-pronoun-fr
"jo"-pronoun-ca "je"-pronoun-fr
"je"-pronoun-fr "jo"-pronoun-ca
"que"-pronoun-fr "què"-pronoun-ca
"què"-pronoun-ca "que"-pronoun-fr
"què"-pronoun-ca "quoi"-pronoun-fr
"què"-pronoun-ca "qu'est-ce que"-pronoun-fr
"què"-pronoun-ca "qu'est-ce que c'est que"-pronoun-fr
