"França"-properNoun-ca "France"-properNoun-fr
"Kane"-properNoun-ca "Kane"-properNoun-fr
"Kane"-properNoun-fr "Kane"-properNoun-ca
"Prado"-noun-fr "Prado"-properNoun-ca
"Prado"-properNoun-ca "Prado"-noun-fr
"Prado"-properNoun-ca "Prado"-properNoun-fr
"Prado"-properNoun-fr "Prado"-properNoun-ca
"étrier"-noun-fr "estrep"-noun-ca
"estrep"-noun-ca "étrier"-noun-fr
"Acevedo"-noun-fr "Acevedo"-properNoun-ca
"Acevedo"-properNoun-ca "Acevedo"-noun-fr
"Acevedo"-properNoun-ca "Acevedo"-properNoun-fr
"Acevedo"-properNoun-fr "Acevedo"-properNoun-ca
"Margalef"-noun-fr "Margalef"-properNoun-ca
"Margalef"-properNoun-ca "Margalef"-noun-fr
"Margalef"-properNoun-ca "Margalef"-properNoun-fr
"Margalef"-properNoun-fr "Margalef"-properNoun-ca
"veau"-noun-fr "vedell"-noun-ca
"vedell"-noun-ca "veau"-noun-fr
"eminentment"-adverb-ca "surtout"-adverb-fr
"surtout"-adverb-fr "eminentment"-adverb-ca
"fregar"-verb-ca "effleurer"-verb-fr
"effleurer"-verb-fr "fregar"-verb-ca
"louche"-noun-fr "cullerot"-noun-ca
"cullerot"-noun-ca "louche"-noun-fr
"estímul"-noun-ca "stimulant"-noun-fr
"stimulant"-noun-fr "estímul"-noun-ca
"stimulant"-noun-fr "al·licient"-noun-ca
"stimulant"-noun-fr "incentiu"-noun-ca
"cleptomanie"-noun-fr "cleptomania"-noun-ca
"cleptomania"-noun-ca "cleptomanie"-noun-fr
"constater"-verb-fr "comprovar"-verb-ca
"comprovar"-verb-ca "constater"-verb-fr
"inusual"-adjective-ca "inhabituel"-adjective-fr
"inhabituel"-adjective-fr "inusual"-adjective-ca
"totalité"-noun-fr "totalitat"-noun-ca
"totalitat"-noun-ca "totalité"-noun-fr
"postsynchronisation"-noun-fr "doblatge"-noun-ca
"doblatge"-noun-ca "postsynchronisation"-noun-fr
"doblatge"-noun-ca "doublage"-noun-fr
"doublage"-noun-fr "doblatge"-noun-ca
"Borris"-noun-fr "Borris"-properNoun-ca
"Borris"-properNoun-ca "Borris"-noun-fr
"Borris"-properNoun-ca "Borris"-properNoun-fr
"Borris"-properNoun-fr "Borris"-properNoun-ca
"Portell"-noun-fr "Portell"-properNoun-ca
"Portell"-properNoun-ca "Portell"-noun-fr
"Portell"-properNoun-ca "Portell"-properNoun-fr
"Portell"-properNoun-fr "Portell"-properNoun-ca
"rapatriement"-noun-fr "repatriació"-noun-ca
"repatriació"-noun-ca "rapatriement"-noun-fr
"inoffensif"-adjective-fr "innocu"-adjective-ca
"innocu"-adjective-ca "inoffensif"-adjective-fr
"dévier"-verb-fr "desviar"-verb-ca
"desviar"-verb-ca "dévier"-verb-fr
"desviar"-verb-ca "détourner"-verb-fr
"desviar"-verb-ca "infléchir"-verb-fr
"détourner"-verb-fr "desviar"-verb-ca
"infléchir"-verb-fr "desviar"-verb-ca
"Aibar"-noun-fr "Aibar"-properNoun-ca
"Aibar"-properNoun-ca "Aibar"-noun-fr
"Aibar"-properNoun-ca "Aibar"-properNoun-fr
"Aibar"-properNoun-fr "Aibar"-properNoun-ca
"à grande échelle"-adverb-fr "a gran escala"-adverb-ca
"a gran escala"-adverb-ca "à grande échelle"-adverb-fr
"Deladurantaye"-noun-fr "Deladurantaye"-properNoun-ca
"Deladurantaye"-properNoun-ca "Deladurantaye"-noun-fr
"Deladurantaye"-properNoun-ca "Deladurantaye"-properNoun-fr
"Deladurantaye"-properNoun-fr "Deladurantaye"-properNoun-ca
"ruisseau"-noun-fr "rierol"-noun-ca
"ruisseau"-noun-fr "riera"-noun-ca
"rierol"-noun-ca "ruisseau"-noun-fr
"riera"-noun-ca "ruisseau"-noun-fr
"criminaliser"-verb-fr "criminalitzar"-verb-ca
"criminalitzar"-verb-ca "criminaliser"-verb-fr
"Cunha"-noun-fr "Cunha"-properNoun-ca
"Cunha"-properNoun-ca "Cunha"-noun-fr
"Cunha"-properNoun-ca "Cunha"-properNoun-fr
"Cunha"-properNoun-fr "Cunha"-properNoun-ca
"Biel"-noun-fr "Biel"-properNoun-ca
"Biel"-properNoun-ca "Biel"-noun-fr
"Biel"-properNoun-ca "Biel"-properNoun-fr
"Biel"-properNoun-fr "Biel"-properNoun-ca
"Montilla"-noun-fr "Montilla"-properNoun-ca
"Montilla"-properNoun-ca "Montilla"-noun-fr
"Montilla"-properNoun-ca "Montilla"-properNoun-fr
"Montilla"-properNoun-fr "Montilla"-properNoun-ca
"Llaveria"-noun-fr "Llaveria"-properNoun-ca
"Llaveria"-properNoun-ca "Llaveria"-noun-fr
"Llaveria"-properNoun-ca "Llaveria"-properNoun-fr
"Llaveria"-properNoun-fr "Llaveria"-properNoun-ca
"Ashini"-noun-fr "Ashini"-properNoun-ca
"Ashini"-properNoun-ca "Ashini"-noun-fr
"Ashini"-properNoun-ca "Ashini"-properNoun-fr
"Ashini"-properNoun-fr "Ashini"-properNoun-ca
"Blázquez"-noun-fr "Blázquez"-properNoun-ca
"Blázquez"-properNoun-ca "Blázquez"-noun-fr
"Blázquez"-properNoun-ca "Blázquez"-properNoun-fr
"Blázquez"-properNoun-fr "Blázquez"-properNoun-ca
"acheteur"-noun-fr "comprador"-noun-ca
"comprador"-noun-ca "acheteur"-noun-fr
"gérance"-noun-fr "gerència"-noun-ca
"gerència"-noun-ca "gérance"-noun-fr
"pertinence"-noun-fr "conveniència"-noun-ca
"conveniència"-noun-ca "pertinence"-noun-fr
"conveniència"-noun-ca "convenance"-noun-fr
"convenance"-noun-fr "conveniència"-noun-ca
"Levasseur"-noun-fr "Levasseur"-properNoun-ca
"Levasseur"-properNoun-ca "Levasseur"-noun-fr
"Levasseur"-properNoun-ca "Levasseur"-properNoun-fr
"Levasseur"-properNoun-fr "Levasseur"-properNoun-ca
"Fradera"-noun-fr "Fradera"-properNoun-ca
"Fradera"-properNoun-ca "Fradera"-noun-fr
"Fradera"-properNoun-ca "Fradera"-properNoun-fr
"Fradera"-properNoun-fr "Fradera"-properNoun-ca
"Lacharité"-noun-fr "Lacharité"-properNoun-ca
"Lacharité"-properNoun-ca "Lacharité"-noun-fr
"Lacharité"-properNoun-ca "Lacharité"-properNoun-fr
"Lacharité"-properNoun-fr "Lacharité"-properNoun-ca
"Duaso"-noun-fr "Duaso"-properNoun-ca
"Duaso"-properNoun-ca "Duaso"-noun-fr
"Duaso"-properNoun-ca "Duaso"-properNoun-fr
"Duaso"-properNoun-fr "Duaso"-properNoun-ca
"Piton"-noun-fr "Piton"-properNoun-ca
"Piton"-properNoun-ca "Piton"-noun-fr
"Piton"-properNoun-ca "Piton"-properNoun-fr
"Piton"-properNoun-fr "Piton"-properNoun-ca
"Coiteux"-noun-fr "Coiteux"-properNoun-ca
"Coiteux"-properNoun-ca "Coiteux"-noun-fr
"Coiteux"-properNoun-ca "Coiteux"-properNoun-fr
"Coiteux"-properNoun-fr "Coiteux"-properNoun-ca
"nourrisson"-noun-fr "nadó"-noun-ca
"nadó"-noun-ca "nourrisson"-noun-fr
"nadó"-noun-ca "bébé"-noun-fr
"bébé"-noun-fr "nadó"-noun-ca
"bébé"-noun-fr "bebè"-noun-ca
"métaphysique"-adjective-fr "metafísic"-adjective-ca
"metafísic"-adjective-ca "métaphysique"-adjective-fr
"Péladeau"-noun-fr "Péladeau"-properNoun-ca
"Péladeau"-properNoun-ca "Péladeau"-noun-fr
"Péladeau"-properNoun-ca "Péladeau"-properNoun-fr
"Péladeau"-properNoun-fr "Péladeau"-properNoun-ca
"copie"-noun-fr "còpia"-noun-ca
"còpia"-noun-ca "copie"-noun-fr
"dessèchement"-noun-fr "dessecació"-noun-ca
"dessecació"-noun-ca "dessèchement"-noun-fr
"dessecació"-noun-ca "assèchement"-noun-fr
"assèchement"-noun-fr "dessecació"-noun-ca
"aliénation"-noun-fr "alienació"-noun-ca
"alienació"-noun-ca "aliénation"-noun-fr
"euphonie"-noun-fr "eufonia"-noun-ca
"eufonia"-noun-ca "euphonie"-noun-fr
"espacer"-verb-fr "espaiar"-verb-ca
"espaiar"-verb-ca "espacer"-verb-fr
"Solá"-noun-fr "Solá"-properNoun-ca
"Solá"-properNoun-ca "Solá"-noun-fr
"Solá"-properNoun-ca "Solá"-properNoun-fr
"Solá"-properNoun-fr "Solá"-properNoun-ca
"Pociello"-noun-fr "Pociello"-properNoun-ca
"Pociello"-properNoun-ca "Pociello"-noun-fr
"Pociello"-properNoun-ca "Pociello"-properNoun-fr
"Pociello"-properNoun-fr "Pociello"-properNoun-ca
"Turin"-properNoun-fr "Torí"-properNoun-ca
"Torí"-properNoun-ca "Turin"-properNoun-fr
"Bagnasco"-noun-fr "Bagnasco"-properNoun-ca
"Bagnasco"-properNoun-ca "Bagnasco"-noun-fr
"Bagnasco"-properNoun-ca "Bagnasco"-properNoun-fr
"Bagnasco"-properNoun-fr "Bagnasco"-properNoun-ca
"biologue"-noun-fr "biòleg"-noun-ca
"biòleg"-noun-ca "biologue"-noun-fr
"Minnesota"-properNoun-fr "Minnesota"-properNoun-ca
"Minnesota"-properNoun-ca "Minnesota"-properNoun-fr
"Filteau"-noun-fr "Filteau"-properNoun-ca
"Filteau"-properNoun-ca "Filteau"-noun-fr
"Filteau"-properNoun-ca "Filteau"-properNoun-fr
"Filteau"-properNoun-fr "Filteau"-properNoun-ca
"Novell"-noun-fr "Novell"-properNoun-ca
"Novell"-properNoun-ca "Novell"-noun-fr
"Novell"-properNoun-ca "Novell"-properNoun-fr
"Novell"-properNoun-fr "Novell"-properNoun-ca
"segell"-noun-ca "sceau"-noun-fr
"segell"-noun-ca "timbre"-noun-fr
"segell"-noun-ca "cachet"-noun-fr
"segell"-noun-ca "label"-noun-fr
"sceau"-noun-fr "segell"-noun-ca
"timbre"-noun-fr "segell"-noun-ca
"cachet"-noun-fr "segell"-noun-ca
"label"-noun-fr "segell"-noun-ca
"label"-noun-fr "etiqueta"-noun-ca
"insulter"-verb-fr "insultar"-verb-ca
"insultar"-verb-ca "insulter"-verb-fr
"Angrill"-noun-fr "Angrill"-properNoun-ca
"Angrill"-properNoun-ca "Angrill"-noun-fr
"Angrill"-properNoun-ca "Angrill"-properNoun-fr
"Angrill"-properNoun-fr "Angrill"-properNoun-ca
"surf"-noun-fr "surf"-noun-ca
"surf"-noun-ca "surf"-noun-fr
"Anne"-properNoun-fr "Anna"-properNoun-ca
"Anne"-properNoun-fr "Anne"-properNoun-ca
"Anna"-properNoun-ca "Anne"-properNoun-fr
"Anna"-properNoun-ca "Anna"-properNoun-fr
"Anne"-properNoun-ca "Anne"-properNoun-fr
"Anna"-properNoun-fr "Anna"-properNoun-ca
"Pintos"-noun-fr "Pintos"-properNoun-ca
"Pintos"-properNoun-ca "Pintos"-noun-fr
"Pintos"-properNoun-ca "Pintos"-properNoun-fr
"Pintos"-properNoun-fr "Pintos"-properNoun-ca
"linéaire"-adjective-fr "lineal"-adjective-ca
"lineal"-adjective-ca "linéaire"-adjective-fr
"Arturo"-properNoun-fr "Arturo"-properNoun-ca
"Arturo"-properNoun-ca "Arturo"-properNoun-fr
"Mascort"-noun-fr "Mascort"-properNoun-ca
"Mascort"-properNoun-ca "Mascort"-noun-fr
"Mascort"-properNoun-ca "Mascort"-properNoun-fr
"Mascort"-properNoun-fr "Mascort"-properNoun-ca
"Suzuki"-noun-fr "Suzuki"-noun-ca
"Suzuki"-noun-fr "Suzuki"-properNoun-ca
"Suzuki"-noun-ca "Suzuki"-noun-fr
"Suzuki"-noun-ca "Suzuki"-properNoun-fr
"Suzuki"-properNoun-ca "Suzuki"-noun-fr
"Suzuki"-properNoun-ca "Suzuki"-properNoun-fr
"Suzuki"-properNoun-fr "Suzuki"-noun-ca
"Suzuki"-properNoun-fr "Suzuki"-properNoun-ca
"Palos"-noun-fr "Palos"-properNoun-ca
"Palos"-properNoun-ca "Palos"-noun-fr
"Palos"-properNoun-ca "Palos"-properNoun-fr
"Palos"-properNoun-fr "Palos"-properNoun-ca
"Beauséjour"-noun-fr "Beauséjour"-properNoun-ca
"Beauséjour"-properNoun-ca "Beauséjour"-noun-fr
"Beauséjour"-properNoun-ca "Beauséjour"-properNoun-fr
"Beauséjour"-properNoun-fr "Beauséjour"-properNoun-ca
"incliné"-adjective-fr "inclinat"-adjective-ca
"inclinat"-adjective-ca "incliné"-adjective-fr
"Julieta"-properNoun-fr "Julieta"-properNoun-ca
"Julieta"-properNoun-ca "Julieta"-properNoun-fr
"arachide"-noun-fr "cacauet"-noun-ca
"cacauet"-noun-ca "arachide"-noun-fr
"cacauet"-noun-ca "cacahuète"-noun-fr
"cacahuète"-noun-fr "cacauet"-noun-ca
"Cañete"-noun-fr "Cañete"-properNoun-ca
"Cañete"-properNoun-ca "Cañete"-noun-fr
"Cañete"-properNoun-ca "Cañete"-properNoun-fr
"Cañete"-properNoun-fr "Cañete"-properNoun-ca
"Asselin"-noun-fr "Asselin"-properNoun-ca
"Asselin"-properNoun-ca "Asselin"-noun-fr
"Asselin"-properNoun-ca "Asselin"-properNoun-fr
"Asselin"-properNoun-fr "Asselin"-properNoun-ca
"Soledad"-properNoun-fr "Soledad"-properNoun-ca
"Soledad"-properNoun-ca "Soledad"-properNoun-fr
"coordonner"-verb-fr "coordinar"-verb-ca
"coordinar"-verb-ca "coordonner"-verb-fr
"Parellada"-noun-fr "Parellada"-properNoun-ca
"Parellada"-properNoun-ca "Parellada"-noun-fr
"Parellada"-properNoun-ca "Parellada"-properNoun-fr
"Parellada"-properNoun-fr "Parellada"-properNoun-ca
"défunt"-adjective-fr "difunt"-adjective-ca
"difunt"-adjective-ca "défunt"-adjective-fr
"animateur"-noun-fr "presentador"-noun-ca
"presentador"-noun-ca "animateur"-noun-fr
"presentador"-noun-ca "montreur"-noun-fr
"montreur"-noun-fr "presentador"-noun-ca
"Fonts"-noun-fr "Fonts"-properNoun-ca
"Fonts"-properNoun-ca "Fonts"-noun-fr
"Fonts"-properNoun-ca "Fonts"-properNoun-fr
"Fonts"-properNoun-fr "Fonts"-properNoun-ca
"Margry"-noun-fr "Margry"-properNoun-ca
"Margry"-properNoun-ca "Margry"-noun-fr
"Margry"-properNoun-ca "Margry"-properNoun-fr
"Margry"-properNoun-fr "Margry"-properNoun-ca
"rayonnement"-noun-fr "radiació"-noun-ca
"radiació"-noun-ca "rayonnement"-noun-fr
"radiació"-noun-ca "radiation"-noun-fr
"radiation"-noun-fr "radiació"-noun-ca
"radiation"-noun-fr "baixa"-noun-ca
"Benito"-properNoun-ca "Benito"-properNoun-fr
"Benito"-properNoun-fr "Benito"-properNoun-ca
"aménité"-noun-fr "amenitat"-noun-ca
"amenitat"-noun-ca "aménité"-noun-fr
"Petrella"-noun-fr "Petrella"-properNoun-ca
"Petrella"-properNoun-ca "Petrella"-noun-fr
"Petrella"-properNoun-ca "Petrella"-properNoun-fr
"Petrella"-properNoun-fr "Petrella"-properNoun-ca
"Merlós"-noun-fr "Merlós"-properNoun-ca
"Merlós"-properNoun-ca "Merlós"-noun-fr
"Merlós"-properNoun-ca "Merlós"-properNoun-fr
"Merlós"-properNoun-fr "Merlós"-properNoun-ca
"généralité"-noun-fr "generalitat"-noun-ca
"generalitat"-noun-ca "généralité"-noun-fr
"désactiver"-verb-fr "desactivar"-verb-ca
"desactivar"-verb-ca "désactiver"-verb-fr
"Gaouette"-noun-fr "Gaouette"-properNoun-ca
"Gaouette"-properNoun-ca "Gaouette"-noun-fr
"Gaouette"-properNoun-ca "Gaouette"-properNoun-fr
"Gaouette"-properNoun-fr "Gaouette"-properNoun-ca
"Pardillo"-noun-fr "Pardillo"-properNoun-ca
"Pardillo"-properNoun-ca "Pardillo"-noun-fr
"Pardillo"-properNoun-ca "Pardillo"-properNoun-fr
"Pardillo"-properNoun-fr "Pardillo"-properNoun-ca
"Le Havre"-properNoun-fr "Le Havre"-properNoun-ca
"Le Havre"-properNoun-ca "Le Havre"-properNoun-fr
"encrypter"-verb-fr "encriptar"-verb-ca
"encriptar"-verb-ca "encrypter"-verb-fr
"encriptar"-verb-ca "crypter"-verb-fr
"crypter"-verb-fr "encriptar"-verb-ca
"del Río"-noun-fr "del Río"-properNoun-ca
"del Río"-properNoun-ca "del Río"-noun-fr
"del Río"-properNoun-ca "del Río"-properNoun-fr
"del Río"-properNoun-fr "del Río"-properNoun-ca
"soupe"-noun-fr "sopa"-noun-ca
"sopa"-noun-ca "soupe"-noun-fr
"sopa"-noun-ca "potage"-noun-fr
"potage"-noun-fr "sopa"-noun-ca
"Stewart"-noun-fr "Stewart"-properNoun-ca
"Stewart"-properNoun-ca "Stewart"-noun-fr
"Stewart"-properNoun-ca "Stewart"-properNoun-fr
"Stewart"-properNoun-fr "Stewart"-properNoun-ca
"pes"-noun-ca "haltère"-noun-fr
"haltère"-noun-fr "pes"-noun-ca
"bible"-noun-fr "bíblia"-noun-ca
"bíblia"-noun-ca "bible"-noun-fr
"couche"-noun-fr "capa"-noun-ca
"couche"-noun-fr "bolquer"-noun-ca
"capa"-noun-ca "couche"-noun-fr
"bolquer"-noun-ca "couche"-noun-fr
"encant"-noun-ca "charme"-noun-fr
"charme"-noun-fr "encant"-noun-ca
"Pugés"-noun-fr "Pugés"-properNoun-ca
"Pugés"-properNoun-ca "Pugés"-noun-fr
"Pugés"-properNoun-ca "Pugés"-properNoun-fr
"Pugés"-properNoun-fr "Pugés"-properNoun-ca
"postguerre"-noun-fr "postguerra"-noun-ca
"postguerra"-noun-ca "postguerre"-noun-fr
"thermodynamiquement"-adverb-fr "termodinàmicament"-adverb-ca
"termodinàmicament"-adverb-ca "thermodynamiquement"-adverb-fr
"Baker"-noun-fr "Baker"-properNoun-ca
"Baker"-properNoun-ca "Baker"-noun-fr
"Baker"-properNoun-ca "Baker"-properNoun-fr
"Baker"-properNoun-fr "Baker"-properNoun-ca
"Cerón"-noun-fr "Cerón"-properNoun-ca
"Cerón"-properNoun-ca "Cerón"-noun-fr
"Cerón"-properNoun-ca "Cerón"-properNoun-fr
"Cerón"-properNoun-fr "Cerón"-properNoun-ca
"anormalement"-adverb-fr "anormalment"-adverb-ca
"anormalment"-adverb-ca "anormalement"-adverb-fr
"expressivité"-noun-fr "expressivitat"-noun-ca
"expressivitat"-noun-ca "expressivité"-noun-fr
"Arbiol"-noun-fr "Arbiol"-properNoun-ca
"Arbiol"-properNoun-ca "Arbiol"-noun-fr
"Arbiol"-properNoun-ca "Arbiol"-properNoun-fr
"Arbiol"-properNoun-fr "Arbiol"-properNoun-ca
"Collell"-noun-fr "Collell"-properNoun-ca
"Collell"-properNoun-ca "Collell"-noun-fr
"Collell"-properNoun-ca "Collell"-properNoun-fr
"Collell"-properNoun-fr "Collell"-properNoun-ca
"perdrix"-noun-fr "guatlla"-noun-ca
"perdrix"-noun-fr "perdiu"-noun-ca
"guatlla"-noun-ca "perdrix"-noun-fr
"guatlla"-noun-ca "caille"-noun-fr
"perdiu"-noun-ca "perdrix"-noun-fr
"caille"-noun-fr "guatlla"-noun-ca
"sud"-noun-fr "sud"-noun-ca
"sud"-noun-ca "sud"-noun-fr
"Smyrne"-properNoun-fr "Esmirna"-properNoun-ca
"Esmirna"-properNoun-ca "Smyrne"-properNoun-fr
"Landau"-noun-fr "Landau"-properNoun-ca
"Landau"-properNoun-ca "Landau"-noun-fr
"Landau"-properNoun-ca "Landau"-properNoun-fr
"Landau"-properNoun-fr "Landau"-properNoun-ca
"à l'unanimité"-adverb-fr "per unanimitat"-adverb-ca
"per unanimitat"-adverb-ca "à l'unanimité"-adverb-fr
"Miret"-noun-fr "Miret"-properNoun-ca
"Miret"-properNoun-ca "Miret"-noun-fr
"Miret"-properNoun-ca "Miret"-properNoun-fr
"Miret"-properNoun-fr "Miret"-properNoun-ca
"Wikipedia"-properNoun-fr "Wikipedia"-properNoun-ca
"Wikipedia"-properNoun-ca "Wikipedia"-properNoun-fr
"Magrib"-properNoun-ca "Maghreb"-properNoun-fr
"Maghreb"-properNoun-fr "Magrib"-properNoun-ca
"Maghreb"-properNoun-fr "Magreb"-properNoun-ca
"Magreb"-properNoun-ca "Maghreb"-properNoun-fr
"à elle"-adjective-fr "seu"-adjective-ca
"seu"-adjective-ca "à elle"-adjective-fr
"seu"-adjective-ca "à eux"-adjective-fr
"seu"-adjective-ca "à lui"-adjective-fr
"à eux"-adjective-fr "seu"-adjective-ca
"à lui"-adjective-fr "seu"-adjective-ca
"Reguant"-noun-fr "Reguant"-properNoun-ca
"Reguant"-properNoun-ca "Reguant"-noun-fr
"Reguant"-properNoun-ca "Reguant"-properNoun-fr
"Reguant"-properNoun-fr "Reguant"-properNoun-ca
"détergent"-noun-fr "detergent"-noun-ca
