"l"-noun-oc "l"-noun-es
"dempuèi"-preposition-oc "desde"-preposition-es
"denquia"-preposition-oc "hasta"-preposition-es
"enquia"-preposition-oc "hasta"-preposition-es
"fins"-preposition-oc "hasta"-preposition-es
"après"-preposition-oc "tras de"-preposition-es
"après"-preposition-oc "tras"-preposition-es
"après"-preposition-oc "después de"-preposition-es
"despús de"-preposition-oc "después de"-preposition-es
"dempús de"-preposition-oc "tras de"-preposition-es
"dempús de"-preposition-oc "tras"-preposition-es
"dempús de"-preposition-oc "después de"-preposition-es
"dessús de"-preposition-oc "sobre"-preposition-es
"devant"-preposition-oc "ante"-preposition-es
"devèrs"-preposition-oc "hacia"-preposition-es
"dinca"-preposition-oc "hasta"-preposition-es
"dinc"-preposition-oc "hasta"-preposition-es
"durant"-preposition-oc "durante"-preposition-es
"en"-preposition-oc "en"-preposition-es
"en cas de"-preposition-oc "en caso de"-preposition-es
"en çò que fa a"-preposition-oc "en cuanto a"-preposition-es
"en çò que fa a"-preposition-oc "en relación con"-preposition-es
"en çò que hè a"-preposition-oc "con respecto a"-preposition-es
"en çò que tanh a"-preposition-oc "en cuanto a"-preposition-es
"en çò que tanh a"-preposition-oc "en lo relativo a"-preposition-es
"en çò que tanh"-preposition-oc "en cuanto a"-preposition-es
"en çò que toque a"-preposition-oc "con respecto a"-preposition-es
"en çò que toque a"-preposition-oc "en lo que respecta a"-preposition-es
"en çò que toque a"-preposition-oc "en lo que se refiere a"-preposition-es
"en çò que toque a"-preposition-oc "por lo que respecta a"-preposition-es
"dins"-preposition-oc "dentro de"-preposition-es
"en escambi de"-preposition-oc "a cambio de"-preposition-es
"en mai de"-preposition-oc "además de"-preposition-es
"en plaça de"-preposition-oc "en lugar de"-preposition-es
"entad açò qu'ei a"-preposition-oc "con respecto a"-preposition-es
"entad açò que tanh"-preposition-oc "en cuanto a"-preposition-es
"entad aiçò qu'ei a"-preposition-oc "con respecto a"-preposition-es
"entad aiçò que tanh"-preposition-oc "en cuanto a"-preposition-es
"entad"-preposition-oc "para"-preposition-es
"entà per'mor de"-preposition-oc "para"-preposition-es
"entre"-preposition-oc "entre"-preposition-es
"entre"-preposition-oc "por entre"-preposition-es
"envers"-preposition-oc "hacia"-preposition-es
"envèrs"-preposition-oc "hacia"-preposition-es
"envèrs"-preposition-oc "para con"-preposition-es
"fins a"-preposition-oc "hasta"-preposition-es
"jos"-preposition-oc "bajo"-preposition-es
"jos"-preposition-oc "debajo de"-preposition-es
"jos"-preposition-oc "so"-preposition-es
"mercés a"-preposition-oc "gracias a"-preposition-es
"mercés a"-preposition-oc "merced a"-preposition-es
"pendent"-preposition-oc "durante"-preposition-es
"per"-preposition-oc "por"-preposition-es
"per"-preposition-oc "para"-preposition-es
"per a"-preposition-oc "para"-preposition-es
"per causa de"-preposition-oc "debido a"-preposition-es
"per çò que tanh"-preposition-oc "en cuanto a"-preposition-es
"per encausa de"-preposition-oc "debido a"-preposition-es
"per medi de"-preposition-oc "por medio de"-preposition-es
"per'mor de"-preposition-oc "para"-preposition-es
"pertocant"-preposition-oc "con respecto a"-preposition-es
"prèp de"-preposition-oc "cerca de"-preposition-es
"près de"-preposition-oc "a orillas de"-preposition-es
"près de"-preposition-oc "cerca de"-preposition-es
"per rapòrt a"-preposition-oc "con relación a"-preposition-es
"segons"-preposition-oc "según"-preposition-es
"segon"-preposition-oc "según"-preposition-es
"segontes"-preposition-oc "según"-preposition-es
"sobre"-preposition-oc "sobre"-preposition-es
"sus"-preposition-oc "sobre"-preposition-es
"sus"-preposition-oc "acerca de"-preposition-es
"tà"-preposition-oc "para"-preposition-es
"tre"-preposition-oc "a partir de"-preposition-es
"aquò"-pronoun-oc "esto"-pronoun-es
"aquò"-pronoun-oc "aquello"-pronoun-es
"çò"-pronoun-oc "esto"-pronoun-es
"aquel"-pronoun-oc "aquel"-pronoun-es
"aquel"-pronoun-oc "aquél"-pronoun-es
"aqueste"-pronoun-oc "este"-pronoun-es
"aqueste"-pronoun-oc "ese"-pronoun-es
"aqueste"-pronoun-oc "ése"-pronoun-es
"aqueste"-pronoun-oc "éste"-pronoun-es
"aqueth"-pronoun-oc "aquel"-pronoun-es
"aqueth"-pronoun-oc "aquél"-pronoun-es
"aguest"-pronoun-oc "este"-pronoun-es
"aguest"-pronoun-oc "ese"-pronoun-es
"aguest"-pronoun-oc "ése"-pronoun-es
"aguest"-pronoun-oc "éste"-pronoun-es
"se"-pronoun-oc "sí"-pronoun-es
"se"-pronoun-oc "se"-pronoun-es
"se"-pronoun-oc "se"-reflexivePersonalPronoun-es
"enta"-preposition-oc "para"-preposition-es
"entà"-preposition-oc "para"-preposition-es
"enter"-preposition-oc "entre"-preposition-es
"amb"-preposition-oc "con"-preposition-es
"ambe"-preposition-oc "con"-preposition-es
"dab"-preposition-oc "con"-preposition-es
"damb"-preposition-oc "con"-preposition-es
"emb"-preposition-oc "con"-preposition-es
"embe"-preposition-oc "con"-preposition-es
"tab"-preposition-oc "con"-preposition-es
"tamb"-preposition-oc "con"-preposition-es
"sens"-preposition-oc "sin"-preposition-es
"sense"-preposition-oc "sin"-preposition-es
"dempuòi"-preposition-oc "desde"-preposition-es
"desempuèi"-preposition-oc "desde"-preposition-es
"desespuèi"-preposition-oc "desde"-preposition-es
"despuèi"-preposition-oc "desde"-preposition-es
"despuòi"-preposition-oc "desde"-preposition-es
"entrò a"-preposition-oc "hasta"-preposition-es
"entrò"-preposition-oc "hasta"-preposition-es
"dusca"-preposition-oc "hasta"-preposition-es
"duscas"-preposition-oc "hasta"-preposition-es
"jusca"-preposition-oc "hasta"-preposition-es
"juscas"-preposition-oc "hasta"-preposition-es
"sota"-preposition-oc "bajo"-preposition-es
"malgrat"-preposition-oc "a pesar de"-preposition-es
"malgrat"-preposition-oc "pese a"-preposition-es
"maugrat"-preposition-oc "a pesar de"-preposition-es
"maugrat"-preposition-oc "pese a"-preposition-es
"pr'amor de"-preposition-oc "por"-preposition-es
"ieu"-pronoun-oc "yo"-pronoun-es
"jo"-pronoun-oc "yo"-pronoun-es
"tu"-pronoun-oc "tú"-pronoun-es
"tu"-pronoun-oc "ti"-pronoun-es
"el"-pronoun-oc "él"-pronoun-es
"nosautres"-pronoun-oc "nosotros"-pronoun-es
"vosautres"-pronoun-oc "usted"-pronoun-es
"vosautres"-pronoun-oc "vosotros"-pronoun-es
"me"-pronoun-oc "me"-pronoun-es
"te"-pronoun-oc "te"-pronoun-es
"li"-pronoun-oc "le"-pronoun-es
"nos"-pronoun-oc "nosotros"-pronoun-es
"nos"-pronoun-oc "nos"-pronoun-es
"vos"-pronoun-oc "os"-pronoun-es
"vos"-pronoun-oc "usted"-pronoun-es
"o"-pronoun-oc "lo"-pronoun-es
"lo"-pronoun-oc "lo"-pronoun-es
"cadun"-pronoun-oc "cada uno"-pronoun-es
"cadun"-pronoun-oc "cada cual"-pronoun-es
"tot"-pronoun-oc "todo"-pronoun-es
"òm"-pronoun-oc "se"-pronoun-es
"òm"-pronoun-oc "se"-reflexivePersonalPronoun-es
"òm"-pronoun-oc "uno"-pronoun-es
"qué"-pronoun-oc "qué"-pronoun-es
"quicòm"-pronoun-oc "algo"-pronoun-es
"quauquarren"-pronoun-oc "algo"-pronoun-es
"qualquarren"-pronoun-oc "algo"-pronoun-es
"quauquarrés"-pronoun-oc "alguien"-pronoun-es
"ren"-pronoun-oc "nada"-pronoun-es
"res"-pronoun-oc "nada"-pronoun-es
"arren"-pronoun-oc "nada"-pronoun-es
"degun"-pronoun-oc "nadie"-pronoun-es
"arrés"-pronoun-oc "nadie"-pronoun-es
"qualqu'un"-pronoun-oc "alguno"-pronoun-es
"quin"-pronoun-oc "cuál"-pronoun-es
"qual"-pronoun-oc "cuál"-pronoun-es
"quin"-adjective-oc "qué"-adjective-es
"quau"-adjective-oc "que"-adjective-es
"quant"-pronoun-oc "cuánto"-pronoun-es
"ont"-adverb-oc "adónde"-adverb-es
"ont"-adverb-oc "dónde"-adverb-es
"on"-adverb-oc "dónde"-adverb-es
"lo"-determiner-oc "el"-determiner-es
"eth"-determiner-oc "el"-determiner-es
"un"-determiner-oc "uno"-determiner-es
"cap"-determiner-oc "ninguno"-determiner-es
"qualque"-determiner-oc "alguno"-determiner-es
"mantun"-determiner-oc "alguno"-determiner-es
"mantun"-pronoun-oc "alguno"-pronoun-es
"mon"-determiner-oc "mío"-determiner-es
"lo mieu"-determiner-oc "mío"-determiner-es
"eth mèn"-determiner-oc "mío"-determiner-es
"ton"-determiner-oc "tuyo"-determiner-es
"lo tieu"-determiner-oc "tuyo"-determiner-es
"son"-determiner-oc "suyo"-determiner-es
"lo sieu"-determiner-oc "suyo"-determiner-es
"lo nòstre"-determiner-oc "nuestro"-determiner-es
"lo vòstre"-determiner-oc "vuestro"-determiner-es
"lor"-determiner-oc "suyo"-determiner-es
"lo mieu"-pronoun-oc "el mío"-pronoun-es
"eth mèn"-pronoun-oc "el mío"-pronoun-es
"lo tieu"-pronoun-oc "el tuyo"-pronoun-es
"lo sieu"-pronoun-oc "el suyo"-pronoun-es
"lo nòstre"-pronoun-oc "el nuestro"-pronoun-es
"lo vòstre"-pronoun-oc "el vuestro"-pronoun-es
"aqueste"-determiner-oc "este"-determiner-es
"aqueste"-determiner-oc "ese"-determiner-es
"aqueth"-determiner-oc "aquel"-determiner-es
"aguest"-determiner-oc "este"-determiner-es
"aguest"-determiner-oc "ese"-determiner-es
"aquel"-determiner-oc "aquel"-determiner-es
"cèrt"-determiner-oc "cierto"-determiner-es
"certan"-determiner-oc "cierto"-determiner-es
"eth quau"-relativePronoun-oc "el cual"-relativePronoun-es
"eth quau"-relativePronoun-oc "el que"-relativePronoun-es
"que"-relativePronoun-oc "que"-relativePronoun-es
"qui"-noun-oc "quien"-noun-es
"qui"-noun-oc "quien"-relativePronoun-es
"qui"-relativePronoun-oc "quien"-noun-es
"qui"-relativePronoun-oc "quien"-relativePronoun-es
"dont"-relativePronoun-oc "que"-relativePronoun-es
"zèro"-numeral-oc "cero"-numeral-es
"un"-numeral-oc "uno"-numeral-es
"dos"-numeral-oc "dos"-numeral-es
"dus"-numeral-oc "dos"-numeral-es
"tres"-numeral-oc "tres"-numeral-es
"quatre"-numeral-oc "cuatro"-numeral-es
"quate"-numeral-oc "cuatro"-numeral-es
"cinc"-numeral-oc "cinco"-numeral-es
"sièis"-numeral-oc "seis"-numeral-es
"sèt"-numeral-oc "siete"-numeral-es
"uèch"-numeral-oc "ocho"-numeral-es
"uèit"-numeral-oc "ocho"-numeral-es
"ueit"-numeral-oc "ocho"-numeral-es
"nòu"-numeral-oc "nueve"-numeral-es
"nau"-numeral-oc "nueve"-numeral-es
"dètz"-numeral-oc "diez"-numeral-es
"onze"-numeral-oc "once"-numeral-es
"dotze"-numeral-oc "doce"-numeral-es
"tretze"-numeral-oc "trece"-numeral-es
"catorze"-numeral-oc "catorce"-numeral-es
"quinze"-numeral-oc "quince"-numeral-es
"setze"-numeral-oc "dieciséis"-numeral-es
"dètz-e-sèt"-numeral-oc "diecisiete"-numeral-es
"dètz-e-uèch"-numeral-oc "dieciocho"-numeral-es
"dètz-e-uèit"-numeral-oc "dieciocho"-numeral-es
"dètz-e-ueit"-numeral-oc "dieciocho"-numeral-es
"dètz-e-nau"-numeral-oc "diecinueve"-numeral-es
"vint"-numeral-oc "veinte"-numeral-es
"vint-e-un"-numeral-oc "veintiuno"-numeral-es
"vint-e-dos"-numeral-oc "veintidós"-numeral-es
"vint-e-tres"-numeral-oc "veintitrés"-numeral-es
"vint-e-quatre"-numeral-oc "veinticuatro"-numeral-es
"vint-e-cinc"-numeral-oc "veinticinco"-numeral-es
"vint-e-sièis"-numeral-oc "veintiséis"-numeral-es
"vint-e-sèt"-numeral-oc "veintisiete"-numeral-es
"vint-e-uèch"-numeral-oc "veintiocho"-numeral-es
"vint-e-uèit"-numeral-oc "veintiocho"-numeral-es
"vint-e-nau"-numeral-oc "veintinueve"-numeral-es
"trenta"-numeral-oc "treinta"-numeral-es
"trenta un"-numeral-oc "treinta y uno"-numeral-es
"trenta dos"-numeral-oc "treinta y dos"-numeral-es
"trenta tres"-numeral-oc "treinta y tres"-numeral-es
"trenta quatre"-numeral-oc "treinta y cuatro"-numeral-es
"trenta cinc"-numeral-oc "treinta y cinco"-numeral-es
"trenta sièis"-numeral-oc "treinta y seis"-numeral-es
"trenta sèt"-numeral-oc "treinta y siete"-numeral-es
"trenta uèch"-numeral-oc "treinta y ocho"-numeral-es
"trenta uèit"-numeral-oc "treinta y ocho"-numeral-es
"trenta nòu"-numeral-oc "treinta y nueve"-numeral-es
"trenta nau"-numeral-oc "treinta y nueve"-numeral-es
"quaranta"-numeral-oc "cuarenta"-numeral-es
"quaranta un"-numeral-oc "cuarenta y uno"-numeral-es
"quaranta dos"-numeral-oc "cuarenta y dos"-numeral-es
"quaranta tres"-numeral-oc "cuarenta y tres"-numeral-es
"quaranta quatre"-numeral-oc "cuarenta y cuatro"-numeral-es
"quaranta cinc"-numeral-oc "cuarenta y cinco"-numeral-es
"quaranta sièis"-numeral-oc "cuarenta y seis"-numeral-es
"quaranta uèch"-numeral-oc "cuarenta y ocho"-numeral-es
"quaranta uèit"-numeral-oc "cuarenta y ocho"-numeral-es
"quaranta nòu"-numeral-oc "cuarenta y nueve"-numeral-es
"quaranta nau"-numeral-oc "cuarenta y nueve"-numeral-es
"cinquanta"-numeral-oc "cincuenta"-numeral-es
"cinquanta un"-numeral-oc "cincuenta y uno"-numeral-es
"cinquanta dos"-numeral-oc "cincuenta y dos"-numeral-es
"cinquanta tres"-numeral-oc "cincuenta y tres"-numeral-es
"cinquanta quatre"-numeral-oc "cincuenta y cuatro"-numeral-es
"cinquanta cinc"-numeral-oc "cincuenta y cinco"-numeral-es
"cinquanta sièis"-numeral-oc "cincuenta y seis"-numeral-es
"cinquanta sèt"-numeral-oc "cincuenta y siete"-numeral-es
"cinquanta uèch"-numeral-oc "cincuenta y ocho"-numeral-es
"cinquanta uèit"-numeral-oc "cincuenta y ocho"-numeral-es
"cinquanta nòu"-numeral-oc "cincuenta y nueve"-numeral-es
"cinquanta nau"-numeral-oc "cincuenta y nueve"-numeral-es
"seissanta"-numeral-oc "sesenta"-numeral-es
"seissanta un"-numeral-oc "sesenta y uno"-numeral-es
"seissanta dos"-numeral-oc "sesenta y dos"-numeral-es
"seissanta tres"-numeral-oc "sesenta y tres"-numeral-es
"seissanta quatre"-numeral-oc "sesenta y cuatro"-numeral-es
"seissanta cinc"-numeral-oc "sesenta y cinco"-numeral-es
"seissanta sièis"-numeral-oc "sesenta y seis"-numeral-es
"seissanta sèt"-numeral-oc "sesenta y siete"-numeral-es
"seissanta uèch"-numeral-oc "sesenta y ocho"-numeral-es
"seissanta uèit"-numeral-oc "sesenta y ocho"-numeral-es
"seissanta nòu"-numeral-oc "sesenta y nueve"-numeral-es
"setanta"-numeral-oc "setenta"-numeral-es
"setanta un"-numeral-oc "setenta y uno"-numeral-es
"setanta dos"-numeral-oc "setenta y dos"-numeral-es
"setanta tres"-numeral-oc "setenta y tres"-numeral-es
"setanta quatre"-numeral-oc "setenta y cuatro"-numeral-es
"setanta cinc"-numeral-oc "setenta y cinco"-numeral-es
"setanta sièis"-numeral-oc "setenta y seis"-numeral-es
"setanta sèt"-numeral-oc "setenta y siete"-numeral-es
"setanta uèch"-numeral-oc "setenta y ocho"-numeral-es
"setanta uèit"-numeral-oc "setenta y ocho"-numeral-es
"setanta nòu"-numeral-oc "setenta y nueve"-numeral-es
"setanta nau"-numeral-oc "setenta y nueve"-numeral-es
"ochanta"-numeral-oc "ochenta"-numeral-es
"oitanta"-numeral-oc "ochenta"-numeral-es
"ueitanta"-numeral-oc "ochenta"-numeral-es
"ochanta un"-numeral-oc "ochenta y uno"-numeral-es
"oitanta un"-numeral-oc "ochenta y uno"-numeral-es
"ueitanta un"-numeral-oc "ochenta y uno"-numeral-es
"ochanta dos"-numeral-oc "ochenta y dos"-numeral-es
"oitanta dos"-numeral-oc "ochenta y dos"-numeral-es
"ochanta tres"-numeral-oc "ochenta y tres"-numeral-es
"oitanta tres"-numeral-oc "ochenta y tres"-numeral-es
"ueitanta tres"-numeral-oc "ochenta y tres"-numeral-es
"ochanta quatre"-numeral-oc "ochenta y cuatro"-numeral-es
"oitanta quatre"-numeral-oc "ochenta y cuatro"-numeral-es
"ochanta cinc"-numeral-oc "ochenta y cinco"-numeral-es
"oitanta cinc"-numeral-oc "ochenta y cinco"-numeral-es
"ueitanta cinc"-numeral-oc "ochenta y cinco"-numeral-es
"ochanta sièis"-numeral-oc "ochenta y seis"-numeral-es
"oitanta sièis"-numeral-oc "ochenta y seis"-numeral-es
"ochanta sèt"-numeral-oc "ochenta y siete"-numeral-es
"oitanta sèt"-numeral-oc "ochenta y siete"-numeral-es
"ueitanta sèt"-numeral-oc "ochenta y siete"-numeral-es
"ochanta uèch"-numeral-oc "ochenta y ocho"-numeral-es
"oitanta uèit"-numeral-oc "ochenta y ocho"-numeral-es
"ochanta nòu"-numeral-oc "ochenta y nueve"-numeral-es
"oitanta nòu"-numeral-oc "ochenta y nueve"-numeral-es
"ueitanta nau"-numeral-oc "ochenta y nueve"-numeral-es
"nonanta"-numeral-oc "noventa"-numeral-es
"nonanta un"-numeral-oc "noventa y uno"-numeral-es
"nonanta dos"-numeral-oc "noventa y dos"-numeral-es
"nonanta tres"-numeral-oc "noventa y tres"-numeral-es
"nonanta quatre"-numeral-oc "noventa y cuatro"-numeral-es
"nonanta cinc"-numeral-oc "noventa y cinco"-numeral-es
"nonanta sièis"-numeral-oc "noventa y seis"-numeral-es
"nonanta sèt"-numeral-oc "noventa y siete"-numeral-es
"nonanta uèch"-numeral-oc "noventa y ocho"-numeral-es
"nonanta uèit"-numeral-oc "noventa y ocho"-numeral-es
"nonanta nòu"-numeral-oc "noventa y nueve"-numeral-es
"cent"-numeral-oc "cien"-numeral-es
"cent"-numeral-oc "ciento"-numeral-es
"dos cents"-numeral-oc "doscientos"-numeral-es
"tres cents"-numeral-oc "trescientos"-numeral-es
"quatre cents"-numeral-oc "cuatrocientos"-numeral-es
"cinc cents"-numeral-oc "quinientos"-numeral-es
"sièis cents"-numeral-oc "seiscientos"-numeral-es
"sèt cents"-numeral-oc "setecientos"-numeral-es
"uèch cents"-numeral-oc "ochocientos"-numeral-es
"uèit cents"-numeral-oc "ochocientos"-numeral-es
"nòu cents"-numeral-oc "novecientos"-numeral-es
"nau cents"-numeral-oc "novecientos"-numeral-es
"I"-numeral-oc "I"-numeral-es
"II"-numeral-oc "II"-numeral-es
"III"-numeral-oc "III"-numeral-es
"IV"-numeral-oc "IV"-numeral-es
"V"-numeral-oc "V"-numeral-es
"VI"-numeral-oc "VI"-numeral-es
"VII"-numeral-oc "VII"-numeral-es
"VIII"-numeral-oc "VIII"-numeral-es
"IX"-numeral-oc "IX"-numeral-es
"X"-numeral-oc "X"-numeral-es
"XI"-numeral-oc "XI"-numeral-es
"XII"-numeral-oc "XII"-numeral-es
"XIII"-numeral-oc "XIII"-numeral-es
"XIV"-numeral-oc "XIV"-numeral-es
"XV"-numeral-oc "XV"-numeral-es
"XVI"-numeral-oc "XVI"-numeral-es
"XVII"-numeral-oc "XVII"-numeral-es
"XVIII"-numeral-oc "XVIII"-numeral-es
"XIX"-numeral-oc "XIX"-numeral-es
"XX"-numeral-oc "XX"-numeral-es
"XXI"-numeral-oc "XXI"-numeral-es
"L"-numeral-oc "L"-numeral-es
"C"-numeral-oc "C"-numeral-es
"D"-numeral-oc "D"-numeral-es
"M"-numeral-oc "M"-numeral-es
"Anna"-properNoun-oc "Anna"-properNoun-es
"Bill"-properNoun-oc "Bill"-properNoun-es
"Bob"-properNoun-oc "Bob"-properNoun-es
"Claude"-properNoun-oc "Claude"-properNoun-es
"Dominique"-properNoun-oc "Dominique"-properNoun-es
"Dominique"-noun-oc "Dominique"-properNoun-es
"Donald"-properNoun-oc "Donald"-properNoun-es
"Donald"-noun-oc "Donald"-properNoun-es
"Enric"-properNoun-oc "Enric"-properNoun-es
"Ernest"-properNoun-oc "Ernest"-properNoun-es
"Ernesto"-properNoun-oc "Ernesto"-properNoun-es
"Esteve"-properNoun-oc "Esteve"-properNoun-es
"Francesca"-properNoun-oc "Francesca"-properNoun-es
"Francesco"-properNoun-oc "Francesco"-properNoun-es
"Hans"-properNoun-oc "Hans"-properNoun-es
"Hèctor"-properNoun-oc "Hèctor"-properNoun-es
"Ivan"-properNoun-oc "Ivan"-properNoun-es
"Jacinto"-properNoun-oc "Jacinto"-properNoun-es
"Jacme"-properNoun-oc "Jacme"-properNoun-es
"Jacques"-properNoun-oc "Jacques"-properNoun-es
"James"-properNoun-oc "James"-properNoun-es
"Jean"-properNoun-oc "Jean"-properNoun-es
"Joan"-properNoun-oc "Joan"-properNoun-es
"Joana"-properNoun-oc "Joana"-properNoun-es
"John"-properNoun-oc "John"-properNoun-es
"Josep"-properNoun-oc "Josep"-properNoun-es
"Josep"-noun-oc "Josep"-properNoun-es
"Josèp"-properNoun-oc "Josèp"-properNoun-es
"Joseph"-properNoun-oc "Joseph"-properNoun-es
"Joseph"-noun-oc "Joseph"-properNoun-es
"Jusèp"-properNoun-oc "Jusèp"-properNoun-es
"Justin"-properNoun-oc "Justin"-properNoun-es
"Karl"-properNoun-oc "Karl"-properNoun-es
"Kevin"-properNoun-oc "Kevin"-properNoun-es
"Laura"-properNoun-oc "Laura"-properNoun-es
"Marc"-properNoun-oc "Marc"-properNoun-es
"Marco"-properNoun-oc "Marco"-properNoun-es
"Marco"-noun-oc "Marco"-properNoun-es
"Mark"-properNoun-oc "Mark"-properNoun-es
"Max"-properNoun-oc "Max"-properNoun-es
"Paul"-properNoun-oc "Paul"-properNoun-es
"Pep"-properNoun-oc "Pep"-properNoun-es
"Pepe"-properNoun-oc "Pepe"-properNoun-es
"Pepe"-noun-oc "Pepe"-properNoun-es
"Pèire"-properNoun-oc "Pèire"-properNoun-es
"Peter"-properNoun-oc "Peter"-properNoun-es
"Pierre"-properNoun-oc "Pierre"-properNoun-es
"Robert"-properNoun-oc "Robert"-properNoun-es
"Roberto"-properNoun-oc "Roberto"-properNoun-es
"Stephen"-properNoun-oc "Stephen"-properNoun-es
"Steve"-properNoun-oc "Steve"-properNoun-es
"William"-properNoun-oc "William"-properNoun-es
"Bush"-properNoun-oc "Bush"-properNoun-es
"Bush"-noun-oc "Bush"-properNoun-es
"Chirac"-properNoun-oc "Chirac"-properNoun-es
"Chirac"-noun-oc "Chirac"-properNoun-es
"Fontan"-properNoun-oc "Fontan"-properNoun-es
"Fontan"-noun-oc "Fontan"-properNoun-es
"Lafont"-properNoun-oc "Lafont"-properNoun-es
"Lafont"-noun-oc "Lafont"-properNoun-es
"Mistral"-properNoun-oc "Mistral"-properNoun-es
"Mistral"-noun-oc "Mistral"-properNoun-es
"Obama"-properNoun-oc "Obama"-properNoun-es
"Obama"-noun-oc "Obama"-properNoun-es
"Anglatèrra"-properNoun-oc "Inglaterra"-properNoun-es
"Barcelona"-properNoun-oc "Barcelona"-properNoun-es
"Barcelona"-noun-oc "Barcelona"-properNoun-es
"Bordèu"-properNoun-oc "Burdeos"-properNoun-es
"França"-properNoun-oc "Francia"-properNoun-es
"Gasconha"-properNoun-oc "Gascuña"-properNoun-es
"Itàlia"-properNoun-oc "Italia"-properNoun-es
"Lengadòc"-properNoun-oc "Languedoc"-properNoun-es
"Marselha"-properNoun-oc "Marsella"-properNoun-es
"Montpelhièr"-properNoun-oc "Montpellier"-properNoun-es
"Nimes"-properNoun-oc "Nimes"-properNoun-es
"Pau"-properNoun-oc "Pau"-properNoun-es
"Provença"-properNoun-oc "Provenza"-properNoun-es
"Roma"-properNoun-oc "Roma"-properNoun-es
"Roma"-noun-oc "Roma"-properNoun-es
"Tarragona"-properNoun-oc "Tarragona"-properNoun-es
"Tarragona"-noun-oc "Tarragona"-properNoun-es
"Tolosa"-properNoun-oc "Tolosa"-properNoun-es
"Tolosa"-noun-oc "Tolosa"-properNoun-es
"Valéncia"-properNoun-oc "Valencia"-properNoun-es
"Valéncia"-properNoun-oc "València"-properNoun-es
"València"-properNoun-oc "València"-properNoun-es
"València"-noun-oc "València"-properNoun-es
"Carrefour"-properNoun-oc "Carrefour"-properNoun-es
"congrès"-noun-oc "congreso"-noun-es
"còp"-noun-oc "vez"-noun-es
"còp"-noun-oc "golpe"-noun-es
"lenga"-noun-oc "lengua"-noun-es
"lengua"-noun-oc "lengua"-noun-es
"escalièr"-noun-oc "escala"-noun-es
"escalièr"-noun-oc "escalera"-noun-es
"abandon"-noun-oc "abandono"-noun-es
"abisme"-noun-oc "abismo"-noun-es
"abitat"-noun-oc "hábitat"-noun-es
"abocament"-noun-oc "vertido"-noun-es
"abric"-noun-oc "abrigo"-noun-es
"accent"-noun-oc "acento"-noun-es
"accident"-noun-oc "accidente"-noun-es
"acid"-noun-oc "ácido"-noun-es
"acièr"-noun-oc "acero"-noun-es
"acogament"-noun-oc "entierro"-noun-es
"acompanhament"-noun-oc "acompañamiento"-noun-es
"acondicionament"-noun-oc "acondicionamiento"-noun-es
"aconjadament"-noun-oc "despido"-noun-es
"acòrd"-noun-oc "convenio"-noun-es
"acòrd"-noun-oc "acuerdo"-noun-es
