"1a"-numeral-eo "1st"-numeral-en
"akapari"-verb-eo "hoard"-verb-en
"akaro"-noun-eo "mite"-noun-en
"akcelado"-noun-eo "promotion"-noun-en
"akcelilo"-noun-eo "accelerator"-noun-en
"akcelo"-noun-eo "boost"-noun-en
"akcelo"-noun-eo "acceleration"-noun-en
"akcenta"-adjective-eo "accentual"-adjective-en
"akcento"-noun-eo "accent"-noun-en
"akceptebla"-adjective-eo "reasonable"-adjective-en
"akceptebla"-adjective-eo "acceptable"-adjective-en
"akceptebla"-adjective-eo "admissible"-adjective-en
"akcepteble"-adverb-eo "reasonably"-adverb-en
"akceptejo"-noun-eo "lobby"-noun-en
"akceptema"-adjective-eo "receptive"-adjective-en
"akceptisto"-noun-eo "receptionist"-noun-en
"akcepto"-noun-eo "acceptance"-noun-en
"akcesora"-adjective-eo "subsidiary"-adjective-en
"akcesora"-adjective-eo "accessory"-adjective-en
"akcesoraĵo"-noun-eo "accessory"-noun-en
"akcidento"-noun-eo "accident"-noun-en
"akcio"-noun-eo "share"-noun-en
"akcipitro"-noun-eo "hawk"-noun-en
"akciulo"-noun-eo "shareholder"-noun-en
"akciulo"-noun-eo "stockholder"-noun-en
"akiraĵo"-noun-eo "gain"-noun-en
"aklami"-verb-eo "acclaim"-verb-en
"aklami"-verb-eo "hail"-verb-en
"akno"-noun-eo "grain"-noun-en
"akno"-noun-eo "acne"-noun-en
"akomodi"-verb-eo "accommodate"-verb-en
"akomodi"-verb-eo "accomodate"-verb-en
"akompanantaro"-noun-eo "entourage"-noun-en
"akompananto"-noun-eo "attendant"-noun-en
"akompano"-noun-eo "accompaniment"-noun-en
"akonito"-noun-eo "aconite"-noun-en
"akorda"-adjective-eo "consistent"-adjective-en
"akordi"-verb-eo "agree"-verb-en
"akordi"-verb-eo "accord"-verb-en
"akordo"-noun-eo "accord"-noun-en
"akra"-adjective-eo "cutting"-adjective-en
"akra"-adjective-eo "sharp"-adjective-en
"akra"-adjective-eo "strident"-adjective-en
"akra"-adjective-eo "spiky"-adjective-en
"akra"-adjective-eo "acrimonious"-adjective-en
"akra"-adjective-eo "stark"-adjective-en
"akraĵo"-noun-eo "edge"-noun-en
"akre"-adverb-eo "sharply"-adverb-en
"akrediti"-verb-eo "accredit"-verb-en
"akreo"-noun-eo "acre"-noun-en
"akrobataĵo"-noun-eo "acrobatics"-noun-en
"akrobato"-noun-eo "acrobat"-noun-en
"akselo"-noun-eo "armpit"-noun-en
"aksingo"-noun-eo "hub"-noun-en
"aksiomo"-noun-eo "axiom"-noun-en
"akso"-noun-eo "axis"-noun-en
"akso"-noun-eo "axle"-noun-en
"aktiva"-adjective-eo "active"-adjective-en
"aktiva"-adjective-eo "committed"-adjective-en
"aktive"-adverb-eo "actively"-adverb-en
"aktiveco"-noun-eo "activity"-noun-en
"aktivigo"-noun-eo "setting"-noun-en
"aktiviĝo"-noun-eo "involvement"-noun-en
"aktivo"-noun-eo "asset"-noun-en
"aktivulo"-noun-eo "militant"-noun-en
"aktivulo"-noun-eo "activist"-noun-en
"akto"-noun-eo "document"-noun-en
"aktori"-verb-eo "act"-verb-en
"aktoro"-noun-eo "actor"-noun-en
"aktuala"-adjective-eo "present"-adjective-en
"aktuala"-adjective-eo "incumbent"-adjective-en
"aktuala"-adjective-eo "topical"-adjective-en
"aktualeco"-noun-eo "actuality"-noun-en
"akumula"-adjective-eo "cumulative"-adjective-en
"akumulatoro"-noun-eo "accumulator"-noun-en
"akumuli"-verb-eo "accrue"-verb-en
"akumulo"-noun-eo "accumulation"-noun-en
"akupunkturo"-noun-eo "acupuncture"-noun-en
"akurata"-adjective-eo "punctual"-adjective-en
"akurata"-adjective-eo "prompt"-adjective-en
"akurate"-adverb-eo "on time"-adverb-en
"akurate"-adverb-eo "regularly"-adverb-en
"akurateco"-noun-eo "regularity"-noun-en
"akuŝistino"-noun-eo "midwife"-noun-en
"akuŝo"-noun-eo "birth"-noun-en
"akuŝo"-noun-eo "childbirth"-noun-en
"akuŝo"-noun-eo "maternity"-noun-en
"akustika"-adjective-eo "acoustic"-adjective-en
"akustiko"-noun-eo "acoustics"-noun-en
"akuta"-adjective-eo "acute"-adjective-en
"akuzaĵo"-noun-eo "charge"-noun-en
"akuzanto"-noun-eo "plaintiff"-noun-en
"akuzanto"-noun-eo "accuser"-noun-en
"akuzi"-verb-eo "accuse"-verb-en
"akuzi"-verb-eo "charge"-verb-en
"akuzito"-noun-eo "defendant"-noun-en
"akuzo"-noun-eo "charge"-noun-en
"akuzo"-noun-eo "accusation"-noun-en
"akuzo"-noun-eo "allegation"-noun-en
"akva"-adjective-eo "aquatic"-adjective-en
"akva"-adjective-eo "watery"-adjective-en
"akvaforto"-noun-eo "etching"-noun-en
"akvamarino"-noun-eo "aquamarine"-noun-en
"akvarelo"-noun-eo "watercolour"-noun-en
"akvario"-noun-eo "aquarium"-noun-en
"akvedukto"-noun-eo "aqueduct"-noun-en
"akvo"-noun-eo "water"-noun-en
"akvofalo"-noun-eo "fall"-noun-en
"akvofalo"-noun-eo "waterfall"-noun-en
"akvomelono"-noun-eo "watermelon"-noun-en
"al"-preposition-eo "to"-preposition-en
"al"-preposition-eo "onto"-preposition-en
"al"-preposition-eo "upon"-preposition-en
"al"-preposition-eo "towards"-preposition-en
"alarma"-adjective-eo "alarming"-adjective-en
"alarmi"-verb-eo "alarm"-verb-en
"alarmi"-verb-eo "startle"-verb-en
"alarmo"-noun-eo "alarm"-noun-en
"Alasko"-properNoun-eo "Alaska"-properNoun-en
"alaŭdo"-noun-eo "lark"-noun-en
"albana"-adjective-eo "Albanian"-adjective-en
"Albanio"-properNoun-eo "Albania"-properNoun-en
"albano"-noun-eo "Albanian"-noun-en
"albatroso"-noun-eo "albatross"-noun-en
"albordiĝejo"-noun-eo "jetty"-noun-en
"albumo"-noun-eo "album"-noun-en
"aldifino"-noun-eo "nomination"-noun-en
"aldonaĵo"-noun-eo "additive"-noun-en
"aldonaĵo"-noun-eo "appendix"-noun-en
"aldone"-adverb-eo "incidentally"-adverb-en
"aldono"-noun-eo "appendix"-noun-en
"aldono"-noun-eo "addition"-noun-en
"alegorio"-noun-eo "allegory"-noun-en
"aleo"-noun-eo "avenue"-noun-en
"alergia"-adjective-eo "allergic"-adjective-en
"alergio"-noun-eo "allergy"-noun-en
"alfabeta"-adjective-eo "alphabetic"-adjective-en
"alfabeto"-noun-eo "alphabet"-noun-en
"alfluanto"-noun-eo "tributary"-noun-en
"alfluo"-noun-eo "stream"-noun-en
"alfrontiĝo"-noun-eo "encounter"-noun-en
"alfrontiĝo"-noun-eo "confrontation"-noun-en
"alfrontiĝo"-noun-eo "standoff"-noun-en
"algebra"-adjective-eo "algebraic"-adjective-en
"algebro"-noun-eo "algebra"-noun-en
"Alĝerio"-properNoun-eo "Algeria"-properNoun-en
"Alĝero"-properNoun-eo "Algiers"-properNoun-en
"algo"-noun-eo "seaweed"-noun-en
"algoritmo"-noun-eo "algorithm"-noun-en
"alia"-determiner-eo "another"-determiner-en
"alia"-determiner-eo "other"-determiner-en
"alianci"-verb-eo "ally"-verb-en
"alianco"-noun-eo "alliance"-noun-en
"alie"-adverb-eo "otherwise"-adverb-en
"aliflanke"-adverb-eo "on the other hand"-adverb-en
"aliflanke"-adverb-eo "on the other side"-adverb-en
"aliformiĝo"-noun-eo "conversion"-noun-en
"aligatoro"-noun-eo "alligator"-noun-en
"aliĝilo"-noun-eo "entry"-noun-en
"aliĝinto"-noun-eo "member"-noun-en
"aliĝo"-noun-eo "commitment"-noun-en
"aliĝo"-noun-eo "accession"-noun-en
"aliĝo"-noun-eo "adherence"-noun-en
"aliĝo"-noun-eo "allegiance"-noun-en
"aliiĝo"-noun-eo "change"-noun-en
"aliloke"-adverb-eo "elsewhere"-adverb-en
"alineo"-noun-eo "paragraph"-noun-en
"alinomo"-noun-eo "alias"-noun-en
"alirebla"-adjective-eo "accessible"-adjective-en
"alirebleco"-noun-eo "access"-noun-en
"alirebleco"-noun-eo "accessibility"-noun-en
"alireblo"-noun-eo "accessibility"-noun-en
"alirejo"-noun-eo "gateway"-noun-en
"aliro"-noun-eo "access"-noun-en
"alispeca"-adjective-eo "different"-adjective-en
"aliteracio"-noun-eo "alliteration"-noun-en
"alkemio"-noun-eo "alchemy"-noun-en
"alko"-noun-eo "elk"-noun-en
"alkoholismo"-noun-eo "alcoholism"-noun-en
"alkoholo"-noun-eo "alcohol"-noun-en
"alkonduko"-noun-eo "delivery"-noun-en
"alkovo"-noun-eo "recess"-noun-en
"allasebla"-adjective-eo "admissible"-adjective-en
"alloga"-adjective-eo "attractive"-adjective-en
"alloga"-adjective-eo "alluring"-adjective-en
"alloge"-adverb-eo "persuasively"-adverb-en
"alloge"-adverb-eo "inviting"-adverb-en
"allogo"-noun-eo "attraction"-noun-en
"almanako"-noun-eo "almanac"-noun-en
"almenaŭ"-adverb-eo "at least"-adverb-en
"almetaĵo"-noun-eo "attachment"-noun-en
"almetaĵo"-noun-eo "appendage"-noun-en
"almeto"-noun-eo "application"-noun-en
"almozo"-noun-eo "alms"-noun-en
"almozo"-noun-eo "handout"-noun-en
"almozpetado"-noun-eo "begging"-noun-en
"almozulo"-noun-eo "beggar"-noun-en
"alo"-noun-eo "wing"-noun-en
"alojo"-noun-eo "alloy"-noun-en
"alpa"-adjective-eo "alpine"-adjective-en
"alpako"-noun-eo "alpaca"-noun-en
"alparoli"-verb-eo "address"-verb-en
"Alpoj"-properNoun-eo "Alps"-properNoun-en
"Alpoj"-properNoun-eo "the Alps"-properNoun-en
"alpreĝi"-verb-eo "invoke"-verb-en
"alpremi"-verb-eo "press"-verb-en
"alproksimiĝo"-noun-eo "approach"-noun-en
"alproprigo"-noun-eo "acquisition"-noun-en
"alproprigo"-noun-eo "appropriation"-noun-en
"alrigardi"-verb-eo "look"-verb-en
"alta"-adjective-eo "high"-adjective-en
"alta"-adjective-eo "tall"-adjective-en
"alta"-adjective-eo "lofty"-adjective-en
"altaĵo"-noun-eo "eminence"-noun-en
"altano"-noun-eo "terrace"-noun-en
"altaro"-noun-eo "altar"-noun-en
"altebenaĵo"-noun-eo "plateau"-noun-en
"alteco"-noun-eo "height"-noun-en
"alteco"-noun-eo "elevation"-noun-en
"alternativo"-noun-eo "alternative"-noun-en
"altigo"-noun-eo "rise"-noun-en
"altiĝo"-noun-eo "hiking"-noun-en
"altiĝo"-noun-eo "rise"-noun-en
"altiĝo"-noun-eo "hike"-noun-en
"altiro"-noun-eo "attraction"-noun-en
"altitudo"-noun-eo "altitude"-noun-en
"alto"-noun-eo "height"-noun-en
"alto"-noun-eo "high"-noun-en
"altranga"-adjective-eo "leading"-adjective-en
"altranga"-adjective-eo "senior"-adjective-en
"altrangulo"-noun-eo "official"-noun-en
"altrudo"-noun-eo "imposition"-noun-en
"altruismo"-noun-eo "altruism"-noun-en
"altvalora"-adjective-eo "precious"-adjective-en
"aludo"-noun-eo "allusion"-noun-en
"alumeto"-noun-eo "match"-noun-en
"aluminio"-noun-eo "aluminium"-noun-en
"aluminio"-noun-eo "aluminum"-noun-en
"alveninto"-noun-eo "arrival"-noun-en
"alveno"-noun-eo "arrival"-noun-en
"alveno"-noun-eo "advent"-noun-en
"alvokiĝo"-noun-eo "vocation"-noun-en
"alvoko"-noun-eo "appeal"-noun-en
"alvoko"-noun-eo "summons"-noun-en
"amafero"-noun-eo "affair"-noun-en
"amaĵisto"-noun-eo "lover"-noun-en
"amaĵisto"-noun-eo "gigolo"-noun-en
"amaĵo"-noun-eo "affair"-noun-en
"amalgami"-verb-eo "amalgamate"-verb-en
"amalgamo"-noun-eo "amalgam"-noun-en
"amanto"-noun-eo "lover"-noun-en
"amara"-adjective-eo "bitter"-adjective-en
"amara"-adjective-eo "sour"-adjective-en
"amareco"-noun-eo "bitterness"-noun-en
"amase"-adverb-eo "heavily"-adverb-en
"amas-elmigrado"-noun-eo "exodus"-noun-en
"amasiĝo"-noun-eo "collection"-noun-en
"amaso"-noun-eo "crowd"-noun-en
"amaso"-noun-eo "mass"-noun-en
"amaso"-noun-eo "pack"-noun-en
"amaso"-noun-eo "cumulus"-noun-en
"amaso"-noun-eo "heap"-noun-en
"amato"-noun-eo "love"-noun-en
"amatora"-adjective-eo "amateur"-adjective-en
"amatoro"-noun-eo "amateur"-noun-en
"Amazonio"-properNoun-eo "Amazonia"-properNoun-en
"Amazono"-properNoun-eo "Amazon"-properNoun-en
"ambasadejo"-noun-eo "embassy"-noun-en
"ambasado"-noun-eo "embassy"-noun-en
"ambasadoro"-noun-eo "ambassador"-noun-en
"ambaŭ"-adverb-eo "both"-adverb-en
"ambaŭ"-determiner-eo "both"-determiner-en
"ambaŭ"-pronoun-eo "both"-pronoun-en
"ambicia"-adjective-eo "ambitious"-adjective-en
"ambicii"-verb-eo "seek"-verb-en
"ambicio"-noun-eo "ambition"-noun-en
"ambigua"-adjective-eo "ambiguous"-adjective-en
"ambigua"-adjective-eo "equivocal"-adjective-en
"ambigueco"-noun-eo "ambiguity"-noun-en
"ambivalenca"-adjective-eo "ambivalent"-adjective-en
"ambivalenco"-noun-eo "ambivalence"-noun-en
"ambono"-noun-eo "pulpit"-noun-en
"ambulanco"-noun-eo "ambulance"-noun-en
"ambulatorio"-noun-eo "dispensary"-noun-en
"amelo"-noun-eo "starch"-noun-en
"amema"-adjective-eo "loving"-adjective-en
"amendi"-verb-eo "amend"-verb-en
"amendo"-noun-eo "revision"-noun-en
"amerika"-adjective-eo "American"-adjective-en
"amerikano"-noun-eo "American"-noun-en
"Ameriko"-properNoun-eo "America"-properNoun-en
"Amerikoj"-properNoun-eo "Americas"-properNoun-en
"amfibio"-noun-eo "amphibian"-noun-en
"amfiteatro"-noun-eo "amphitheatre"-noun-en
"amika"-adjective-eo "cordial"-adjective-en
"amika"-adjective-eo "friendly"-adjective-en
"amikeco"-noun-eo "affection"-noun-en
"amikeco"-noun-eo "friendship"-noun-en
"amiko"-noun-eo "friend"-noun-en
"amiko"-noun-eo "mate"-noun-en
"amiko"-noun-eo "buddy"-noun-en
"amiko"-noun-eo "pal"-noun-en
"amiko"-noun-eo "chum"-noun-en
"amintrigo"-noun-eo "affair"-noun-en
"amnestio"-noun-eo "amnesty"-noun-en
"amo"-noun-eo "love"-noun-en
"amoniako"-noun-eo "ammonia"-noun-en
"amorfa"-adjective-eo "amorphous"-adjective-en
"amoristino"-noun-eo "courtesan"-noun-en
"amoro"-noun-eo "sex"-noun-en
"amortizi"-verb-eo "amortise"-verb-en
"amortizo"-noun-eo "amortisation"-noun-en
"amortizo"-noun-eo "depreciation"-noun-en
"ampleksa"-adjective-eo "comprehensive"-adjective-en
"amplekse"-adverb-eo "extensively"-adverb-en
"amplekse"-adverb-eo "comprehensively"-adverb-en
"amplekso"-noun-eo "scope"-noun-en
"amplekso"-noun-eo "breadth"-noun-en
"amplifi"-verb-eo "amplify"-verb-en
"amplifilo"-noun-eo "amplifier"-noun-en
"amplitudo"-noun-eo "amplitude"-noun-en
"ampolo"-noun-eo "light bulb"-noun-en
"ampolo"-noun-eo "tube"-noun-en
"ampolo"-noun-eo "bulb"-noun-en
"amputi"-verb-eo "amputate"-verb-en
"Amsterdamo"-properNoun-eo "Amsterdam"-properNoun-en
"amuleto"-noun-eo "amulet"-noun-en
"amuza"-adjective-eo "fun"-adjective-en
"amuza"-adjective-eo "funny"-adjective-en
"amuza"-adjective-eo "amusing"-adjective-en
