"10a"-adjective-eo "X"-adjective-es
"abelo"-noun-eo "abeja"-noun-es
"Abelo"-properNoun-eo "Abel"-properNoun-es
"Abelo"-properNoun-eo "Abel"-noun-es
"abelsvarmo"-noun-eo "enjambre"-noun-es
"abelujo"-noun-eo "abejera"-noun-es
"abelujo"-noun-eo "colmena"-noun-es
"abelujo"-noun-eo "colmenar"-noun-es
"aberacio"-noun-eo "aberración"-noun-es
"abio"-noun-eo "abeto"-noun-es
"Abisenio"-properNoun-eo "Abisenia"-properNoun-es
"Abisenio"-properNoun-eo "Abisinia"-properNoun-es
"abisma"-adjective-eo "abismal"-adjective-es
"abisme"-adverb-eo "abismalmente"-adverb-es
"abismo"-noun-eo "abismo"-noun-es
"abismo"-noun-eo "despeñadero"-noun-es
"abismo"-noun-eo "precipicio"-noun-es
"abiturienteco"-noun-eo "bachillerato"-noun-es
"abituriento"-noun-eo "bachiller"-noun-es
"ablacio"-noun-eo "ablación"-noun-es
"ablativo"-noun-eo "ablativo"-noun-es
"abnegacio"-noun-eo "abnegación"-noun-es
"aboco"-noun-eo "abecé"-noun-es
"aboli"-verb-eo "abolir"-verb-es
"aboli"-verb-eo "abrogar"-verb-es
"aboli"-verb-eo "derogar"-verb-es
"abolicii"-verb-eo "abolir"-verb-es
"abolicii"-verb-eo "abrogar"-verb-es
"abolicio"-noun-eo "abolición"-noun-es
"abolo"-noun-eo "abolición"-noun-es
"abolo"-noun-eo "derogación"-noun-es
"abomeninda"-adjective-eo "abominable"-adjective-es
"abomeninda"-adjective-eo "execrable"-adjective-es
"abomeninde"-adverb-eo "abominablemente"-adverb-es
"abomeninde"-adverb-eo "execrablemente"-adverb-es
"abomeno"-noun-eo "abominación"-noun-es
"abonanto"-noun-eo "abonado"-noun-es
"abonanto"-noun-eo "subscriptor"-noun-es
"abonanto"-noun-eo "suscriptor"-noun-es
"abonilo"-noun-eo "formulario de inscripción"-noun-es
"abonilo"-noun-eo "hoja de suscripción"-noun-es
"abono"-noun-eo "subscripción"-noun-es
"abono"-noun-eo "suscripción"-noun-es
"aborti"-verb-eo "abortar"-verb-es
"aborto"-noun-eo "aborto"-noun-es
"abrikotarbo"-noun-eo "albaricoquero"-noun-es
"abrikoto"-noun-eo "albaricoque"-noun-es
"abrikotujo"-noun-eo "albaricoquero"-noun-es
"abrupta"-adjective-eo "abrupto"-adjective-es
"absceso"-noun-eo "absceso"-noun-es
"absciso"-noun-eo "abscisa"-noun-es
"absido"-noun-eo "ábside"-noun-es
"absintaĵo"-noun-eo "absenta"-noun-es
"absinto"-noun-eo "ajenjo"-noun-es
"absoluta"-adjective-eo "absoluto"-adjective-es
"absolute"-adverb-eo "absolutamente"-adverb-es
"absolutismo"-noun-eo "absolutismo"-noun-es
"absolvi"-verb-eo "absolver"-verb-es
"absolvo"-noun-eo "absolución"-noun-es
"absolvo"-noun-eo "exculpación"-noun-es
"abstemio"-noun-eo "abstinencia"-noun-es
"abstini"-verb-eo "abstener"-verb-es
"abstino"-noun-eo "vigilia"-noun-es
"abstrakta"-adjective-eo "abstracto"-adjective-es
"abstrakte"-adverb-eo "abstractamente"-adverb-es
"absurda"-adjective-eo "absurdo"-adjective-es
"absurda"-adjective-eo "disparatado"-adjective-es
"absurde"-adverb-eo "absurdamente"-adverb-es
"absurde"-adverb-eo "disparatadamente"-adverb-es
"abunda"-adjective-eo "abundante"-adjective-es
"abunda"-adjective-eo "copioso"-adjective-es
"abunde"-adverb-eo "abundantemente"-adverb-es
"abunde"-adverb-eo "copiosamente"-adverb-es
"abundeco"-noun-eo "abundancia"-noun-es
"abundi"-verb-eo "abundar"-verb-es
"abundo"-noun-eo "plétora"-noun-es
"abutmento"-noun-eo "contrafuerte"-noun-es
"Accenture"-properNoun-eo "Accenture"-properNoun-es
"Acer"-properNoun-eo "Acer"-properNoun-es
"acero"-noun-eo "arce"-noun-es
"aĉetanto"-noun-eo "comprador"-noun-es
"acetato"-noun-eo "acetato"-noun-es
"aĉetebla"-adjective-eo "comprable"-adjective-es
"aĉetebla"-adjective-eo "en venta"-adjective-es
"acetileno"-noun-eo "acetileno"-noun-es
"aceto"-noun-eo "ácido acético"-noun-es
"aĉeto"-noun-eo "compra"-noun-es
"acetono"-noun-eo "acetona"-noun-es
"acida"-adjective-eo "agrio"-adjective-es
"acida"-adjective-eo "ácido"-adjective-es
"acide"-adverb-eo "agriamente"-adverb-es
"acide"-adverb-eo "ácidamente"-adverb-es
"acido"-noun-eo "ácido"-noun-es
"Acoroj"-properNoun-eo "Azores"-properNoun-es
"ACS"-properNoun-eo "ACS"-properNoun-es
"aĉulo"-noun-eo "desgraciado"-noun-es
"adaĝo"-noun-eo "adagio"-noun-es
"Adam"-properNoun-eo "Adam"-properNoun-es
"Adam"-properNoun-eo "Adam"-noun-es
"Adam"-properNoun-eo "Adán"-properNoun-es
"Adam"-properNoun-eo "Adán"-noun-es
"Adam"-noun-eo "Adam"-properNoun-es
"Adam"-noun-eo "Adam"-noun-es
"Adam"-noun-eo "Adán"-properNoun-es
"Adam"-noun-eo "Adán"-noun-es
"Adamo"-properNoun-eo "Adán"-properNoun-es
"Adamo"-properNoun-eo "Adán"-noun-es
"adaptado"-noun-eo "adaptación"-noun-es
"adapti"-verb-eo "adaptar"-verb-es
"adaptilo"-noun-eo "adaptador"-noun-es
"adapto"-noun-eo "adaptación"-noun-es
"Adecco"-properNoun-eo "Adecco"-properNoun-es
"adekvata"-adjective-eo "apropiado"-adjective-es
"adekvata"-adjective-eo "idóneo"-adjective-es
"adekvata"-adjective-eo "pertinente"-adjective-es
"adekvate"-adverb-eo "adecuadamente"-adverb-es
"adekvate"-adverb-eo "idóneamente"-adverb-es
"adekvate"-adverb-eo "pertinentemente"-adverb-es
"adepto"-noun-eo "adepto"-noun-es
"adhera"-adjective-eo "adhesivo"-adjective-es
"adhera"-adjective-eo "cohesivo"-adjective-es
"adhero"-noun-eo "adherencia"-noun-es
"adhero"-noun-eo "adhesión"-noun-es
"adhero"-noun-eo "cohesión"-noun-es
"adiaŭ"-interjection-eo "adiós"-interjection-es
"adiaŭdiri"-verb-eo "decir adiós"-verb-es
"adiaŭo"-noun-eo "adiós"-noun-es
"adiaŭo"-noun-eo "despedida"-noun-es
"adiciato"-noun-eo "sumando"-noun-es
"adicii"-verb-eo "adicionar"-verb-es
"adicii"-verb-eo "sumar"-verb-es
"adicio"-noun-eo "suma"-noun-es
"adjektivo"-noun-eo "adjetivo"-noun-es
"adjudiko"-noun-eo "adjudicación"-noun-es
"adjutanto"-noun-eo "edecán"-noun-es
"administra"-adjective-eo "administrador"-adjective-es
"administra"-adjective-eo "administrativo"-adjective-es
"administracia"-adjective-eo "administrativo"-adjective-es
"administracie"-adverb-eo "administrativamente"-adverb-es
"administracio"-noun-eo "administración"-noun-es
"administranto"-noun-eo "administrador"-noun-es
"administre"-adverb-eo "administrativamente"-adverb-es
"admiralo"-noun-eo "almirante"-noun-es
"admirinda"-adjective-eo "admirable"-adjective-es
"admirinde"-adverb-eo "admirablemente"-adverb-es
"admiro"-noun-eo "admiración"-noun-es
"admitanco"-noun-eo "admitancia"-noun-es
"admono"-noun-eo "exhortación"-noun-es
"admono"-noun-eo "reprimenda"-noun-es
"adobo"-noun-eo "adobe"-noun-es
"adoleskanto"-noun-eo "adolescente"-noun-es
"adolesko"-noun-eo "adolescencia"-noun-es
"Adolfo"-properNoun-eo "Adolfo"-properNoun-es
"adolto"-noun-eo "adulto"-noun-es
"adoptado"-noun-eo "adopción"-noun-es
"adopti"-verb-eo "adoptar"-verb-es
"adopti"-verb-eo "prohijar"-verb-es
"adoptita"-adjective-eo "adoptivo"-adjective-es
"adopto"-noun-eo "adopción"-noun-es
"adorado"-noun-eo "adoración"-noun-es
"adoro"-noun-eo "adoración"-noun-es
"adrenalino"-noun-eo "adrenalina"-noun-es
"adresaro"-noun-eo "directorio"-noun-es
"adresato"-noun-eo "destinatario"-noun-es
"adreso"-noun-eo "señas"-noun-es
"adstringa"-adjective-eo "astringente"-adjective-es
"adulta"-adjective-eo "adúltero"-adjective-es
"adulto"-noun-eo "adulterio"-noun-es
"adulto"-noun-eo "adúltero"-noun-es
"advento"-noun-eo "Adviento"-noun-es
"adverbo"-noun-eo "adverbio"-noun-es
"adversa"-adjective-eo "adverso"-adjective-es
"adverse"-adverb-eo "adversamente"-adverb-es
"advokato"-noun-eo "abogado"-noun-es
"advokato"-noun-eo "letrado"-noun-es
"advokato"-noun-eo "licenciado"-noun-es
"Aegon"-properNoun-eo "Aegon"-properNoun-es
"AEON"-properNoun-eo "AEON"-properNoun-es
"aera"-adjective-eo "aéreo"-adjective-es
"aerkuseno"-noun-eo "airbag"-noun-es
"aero"-noun-eo "aire"-noun-es
"aerobia"-adjective-eo "aerobio"-adjective-es
"aerodromo"-noun-eo "aerodromo"-noun-es
"aerodromo"-noun-eo "aeródromo"-noun-es
"aerofloto"-noun-eo "flota aérea"-noun-es
"aerolito"-noun-eo "aerolito"-noun-es
"aerometro"-noun-eo "aerómetro"-noun-es
"aeronaŭtika"-adjective-eo "aeronáutico"-adjective-es
"aeronaŭtiko"-noun-eo "aeronáutica"-noun-es
"aeronaŭto"-noun-eo "aeronauta"-noun-es
"aeroplano"-noun-eo "aeroplano"-noun-es
"aerostato"-noun-eo "aeróstato"-noun-es
"aerpirato"-noun-eo "pirata aéreo"-noun-es
"Aetna"-properNoun-eo "Aetna"-properNoun-es
"afabla"-adjective-eo "afable"-adjective-es
"afabla"-adjective-eo "amable"-adjective-es
"afabla"-adjective-eo "apacible"-adjective-es
"afabla"-adjective-eo "cariñoso"-adjective-es
"afable"-adverb-eo "afablemente"-adverb-es
"afable"-adverb-eo "apaciblemente"-adverb-es
"afable"-adverb-eo "cariñosamente"-adverb-es
"afableco"-noun-eo "afectuosidad"-noun-es
"afazio"-noun-eo "afasia"-noun-es
"afekcii"-verb-eo "afectar"-verb-es
"afekcio"-noun-eo "afección"-noun-es
"afekta"-adjective-eo "rebuscado"-adjective-es
"afekte"-adverb-eo "rebuscadamente"-adverb-es
"afektema"-adjective-eo "remilgado"-adjective-es
"afekteme"-adverb-eo "remilgadamente"-adverb-es
"afektiva"-adjective-eo "afectivo"-adjective-es
"afekto"-noun-eo "afectación"-noun-es
"afelio"-noun-eo "afelio"-noun-es
"afero"-noun-eo "asunto"-noun-es
"afgana"-adjective-eo "afgano"-adjective-es
"Afganio"-properNoun-eo "Afganistán"-properNoun-es
"afgano"-noun-eo "afgano"-noun-es
"afikso"-noun-eo "afijo"-noun-es
"afina"-adjective-eo "afín"-adjective-es
"afineco"-noun-eo "afinidad"-noun-es
"afiŝi"-verb-eo "pegar carteles"-verb-es
"afiŝo"-noun-eo "cartel"-noun-es
"afiŝo"-noun-eo "póster"-noun-es
"afiŝo"-noun-eo "rótulo"-noun-es
"afiŝtabulo"-noun-eo "cartelera"-noun-es
"Aflac"-properNoun-eo "Aflac"-properNoun-es
"afliktiĝo"-noun-eo "desolación"-noun-es
"aflikto"-noun-eo "aflicción"-noun-es
"aflikto"-noun-eo "pesadumbre"-noun-es
"afonio"-noun-eo "afonía"-noun-es
"aforismo"-noun-eo "aforismo"-noun-es
"afranki"-verb-eo "franquear"-verb-es
"afrika"-adjective-eo "africano"-adjective-es
"Afrika Unio"-properNoun-eo "Unión Africana"-properNoun-es
"afrikano"-noun-eo "africano"-noun-es
"afrikato"-noun-eo "africada"-noun-es
"Afriko"-properNoun-eo "África"-properNoun-es
"afrik-usona"-adjective-eo "afro-americano"-adjective-es
"Afrodita"-properNoun-eo "Afrodita"-properNoun-es
"Afrodito"-properNoun-eo "Afrodita"-properNoun-es
"afto"-noun-eo "afta"-noun-es
"aftozo"-noun-eo "fiebre aftosa"-noun-es
"aĝa"-adjective-eo "mayor"-adjective-es
"agaci"-verb-eo "causar dentera"-verb-es
"agado"-noun-eo "actuación"-noun-es
"agato"-noun-eo "ágata"-noun-es
"agavo"-noun-eo "agave"-noun-es
"Ageas"-properNoun-eo "Ageas"-properNoun-es
"agendo"-noun-eo "agenda"-noun-es
"agendo"-noun-eo "dietario"-noun-es
"agenteco"-noun-eo "agencia"-noun-es
"agentejo"-noun-eo "agencia"-noun-es
"agentejo"-noun-eo "gestoría"-noun-es
"agento"-noun-eo "agente"-noun-es
"agitiĝo"-noun-eo "agitación"-noun-es
"agitiĝo"-noun-eo "efervescencia"-noun-es
"agleca"-adjective-eo "aguileño"-adjective-es
"aglo"-noun-eo "águila"-noun-es
"aglomeri"-verb-eo "aglomerar"-verb-es
"aglomero"-noun-eo "aglomeración"-noun-es
"aglutina"-adjective-eo "aglutinante"-adjective-es
"aglutini"-verb-eo "aglutinar"-verb-es
"agnato"-noun-eo "agnado"-noun-es
"Agnesa"-properNoun-eo "Inés"-properNoun-es
"agnoski"-verb-eo "homologar"-verb-es
"agnostika"-adjective-eo "agnóstico"-adjective-es
"agnostikismo"-noun-eo "agnosticismo"-noun-es
"ago"-noun-eo "acción"-noun-es
"ago"-noun-eo "acto"-noun-es
"aĝo"-noun-eo "edad"-noun-es
"agoni"-verb-eo "agonizar"-verb-es
"agonio"-noun-eo "agonía"-noun-es
"agorafobio"-noun-eo "agorafobia"-noun-es
"agordo"-noun-eo "afinación"-noun-es
"agordo"-noun-eo "configuración"-noun-es
"agordo"-noun-eo "sintonización"-noun-es
"agordo"-noun-eo "sintonía"-noun-es
"agrabla"-adjective-eo "agradable"-adjective-es
"agrabla"-adjective-eo "placentero"-adjective-es
"agrable"-adverb-eo "agradablemente"-adverb-es
"agrable"-adverb-eo "gratamente"-adverb-es
"agrable"-adverb-eo "placenteramente"-adverb-es
"agrafi"-verb-eo "cerrar con corchetes"-verb-es
"agrafo"-noun-eo "corchete"-noun-es
"agrafo"-noun-eo "grapa"-noun-es
"agrara"-adjective-eo "agrario"-adjective-es
"agresa"-adjective-eo "agresor"-adjective-es
"agresanto"-noun-eo "agresor"-noun-es
"agresema"-adjective-eo "agresivo"-adjective-es
"agreseme"-adverb-eo "agresivamente"-adverb-es
"agresemo"-noun-eo "agresividad"-noun-es
"agresi"-verb-eo "agredir"-verb-es
"agreso"-noun-eo "agresión"-noun-es
"Agricultural Bank of China"-properNoun-eo "Agricultural Bank of China"-properNoun-es
"agrikultura"-adjective-eo "agrícola"-adjective-es
"agrikulturo"-noun-eo "agricultura"-noun-es
"agro"-noun-eo "agro"-noun-es
"agrokultura"-adjective-eo "agrícola"-adjective-es
"agrokulturo"-noun-eo "agricultura"-noun-es
"agronomio"-noun-eo "agronomía"-noun-es
"agronomo"-noun-eo "agrónomo"-noun-es
"agroturismo"-noun-eo "turismo rural"-noun-es
"aha"-interjection-eo "ajá"-interjection-es
"Aĥilo"-properNoun-eo "Aquiles"-properNoun-es
"aidoso"-noun-eo "sida"-noun-es
"aidoso"-noun-eo "SIDA"-noun-es
"aidosulo"-noun-eo "sidoso"-noun-es
"aikido"-noun-eo "aikido"-noun-es
"Air France"-properNoun-eo "Air France"-properNoun-es
"Air France-KLM"-properNoun-eo "Air France-KLM"-properNoun-es
"Air France-KLM Group"-properNoun-eo "Air France-KLM Group"-properNoun-es
"Aisin"-properNoun-eo "Aisin"-properNoun-es
"Aisin Seiki"-properNoun-eo "Aisin Seiki"-properNoun-es
"ajatolo"-noun-eo "ayatolá"-noun-es
"ajgeno"-noun-eo "eigenvalor"-noun-es
"ajgeno"-noun-eo "valor propio"-noun-es
"aĵgenro"-noun-eo "género inanimado"-noun-es
"ajlo"-noun-eo "ajo"-noun-es
"ajmara"-adjective-eo "aimara"-adjective-es
"ajmaro"-noun-eo "aimara"-noun-es
"ajna"-adjective-eo "cualquiera"-adjective-es
"aĵo"-noun-eo "cosa"-noun-es
"ajudiki"-verb-eo "adjudicar"-verb-es
"aĵura"-adjective-eo "calado"-adjective-es
"ajuto"-noun-eo "vaporizador"-noun-es
"aK"-noun-eo "aC"-noun-es
"akacio"-noun-eo "acacia"-noun-es
"akademia"-adjective-eo "académico"-adjective-es
"akademiano"-noun-eo "académico"-noun-es
"akademie"-adverb-eo "académicamente"-adverb-es
"akademio"-noun-eo "academia"-noun-es
"akaĵuarbo"-noun-eo "anacardo"-noun-es
"akaĵunukso"-noun-eo "nuez de caoba"-noun-es
"akaĵuujo"-noun-eo "anacardo"-noun-es
"akapari"-verb-eo "acaparar"-verb-es
"akaro"-noun-eo "ácaro"-noun-es
"akcelado"-noun-eo "fomento"-noun-es
"akcelilo"-noun-eo "acelerador"-noun-es
"akcelo"-noun-eo "aceleración"-noun-es
"akcento"-noun-eo "acento"-noun-es
"akceptebla"-adjective-eo "aceptable"-adjective-es
"akceptebla"-adjective-eo "asumible"-adjective-es
"akceptebla"-adjective-eo "pasable"-adjective-es
"akcepteble"-adverb-eo "aceptablemente"-adverb-es
"akcepteble"-adverb-eo "asumiblemente"-adverb-es
"akcepteble"-adverb-eo "pasablemente"-adverb-es
"akceptema"-adjective-eo "receptivo"-adjective-es
"akcepteme"-adverb-eo "receptivamente"-adverb-es
"akceptisto"-noun-eo "recepcionista"-noun-es
"akcepto"-noun-eo "aceptación"-noun-es
"akcepto"-noun-eo "admisión"-noun-es
"akcepto"-noun-eo "recibimiento"-noun-es
"akcesora"-adjective-eo "accesorio"-adjective-es
"akcidento"-noun-eo "accidente"-noun-es
"akcidento"-noun-eo "desgracia"-noun-es
"akcidento"-noun-eo "percance"-noun-es
"akcipitredo"-noun-eo "accipítrido"-noun-es
"akciulo"-noun-eo "accionista"-noun-es
"akcizo"-noun-eo "tributo"-noun-es
"akiraĵo"-noun-eo "adquisición"-noun-es
"aklami"-verb-eo "aclamar"-verb-es
"akmeo"-noun-eo "acmé"-noun-es
"akno"-noun-eo "acné"-noun-es
"akno"-noun-eo "grano"-noun-es
"akolito"-noun-eo "acólito"-noun-es
"akomodi"-verb-eo "acomodar"-verb-es
"akompanantaro"-noun-eo "comitiva"-noun-es
"akompano"-noun-eo "acompañamiento"-noun-es
"akordi"-verb-eo "cuadrar"-verb-es
"akordi"-verb-eo "estar de acuerdo"-verb-es
"akordiono"-noun-eo "acordeón"-noun-es
"akordo"-noun-eo "acorde"-noun-es
"akordo"-noun-eo "concordancia"-noun-es
"akra"-adjective-eo "afilado"-adjective-es
"akra"-adjective-eo "agudo"-adjective-es
"akra"-adjective-eo "cortante"-adjective-es
"akra"-adjective-eo "penetrante"-adjective-es
"akra"-adjective-eo "perspicaz"-adjective-es
"akra"-adjective-eo "picante"-adjective-es
"akra"-adjective-eo "puntiagudo"-adjective-es
"akre"-adverb-eo "afiladamente"-adverb-es
"akre"-adverb-eo "agudamente"-adverb-es
"akrediti"-verb-eo "acreditar"-verb-es
"akrido"-noun-eo "langosta"-noun-es
"akrido"-noun-eo "saltamontes"-noun-es
"akrigilo"-noun-eo "afilador"-noun-es
"akrigilo"-noun-eo "piedra de afilar"-noun-es
"akrigo"-noun-eo "agudización"-noun-es
"akriĝo"-noun-eo "agudización"-noun-es
"akrila"-adjective-eo "acrílico"-adjective-es
"akro"-noun-eo "acre"-noun-es
"akrobataĵo"-noun-eo "acrobacia"-noun-es
"akrobato"-noun-eo "acróbata"-noun-es
"akromata"-adjective-eo "acromático"-adjective-es
"akropolo"-noun-eo "acrópolis"-noun-es
"akrostiĥo"-noun-eo "acróstico"-noun-es
"akselo"-noun-eo "axila"-noun-es
"akselo"-noun-eo "sobaco"-noun-es
"aksiomo"-noun-eo "axioma"-noun-es
"akso"-noun-eo "eje"-noun-es
"aktinio"-noun-eo "actinia"-noun-es
"aktinio"-noun-eo "actinio"-noun-es
"aktisto"-noun-eo "escribano"-noun-es
"aktiva"-adjective-eo "activo"-adjective-es
"aktivaĵo"-noun-eo "actividad"-noun-es
"aktive"-adverb-eo "activamente"-adverb-es
"aktiveco"-noun-eo "actividad"-noun-es
"aktivigo"-noun-eo "activación"-noun-es
"aktiviĝo"-noun-eo "activación"-noun-es
"aktivo"-noun-eo "activo"-noun-es
"aktivo"-noun-eo "voz activa"-noun-es
"aktivulo"-noun-eo "militante"-noun-es
"akto"-noun-eo "acta"-noun-es
"akto"-noun-eo "acto"-noun-es
"aktoro"-noun-eo "actor"-noun-es
"aktoro"-noun-eo "actriz"-noun-es
"aktuala"-adjective-eo "actual"-adjective-es
"aktualeco"-noun-eo "actualidad"-noun-es
"akumulado"-noun-eo "acumulación"-noun-es
"akumulatoro"-noun-eo "acumulador"-noun-es
"akumuli"-verb-eo "acumular"-verb-es
"akupunkturisto"-noun-eo "acupuntor"-noun-es
"akupunkturisto"-noun-eo "acupunturista"-noun-es
"akupunkturo"-noun-eo "acupuntura"-noun-es
"akurata"-adjective-eo "cumplidor"-adjective-es
"akurata"-adjective-eo "puntual"-adjective-es
"akurate"-adverb-eo "cumplidoramente"-adverb-es
"akurate"-adverb-eo "puntualmente"-adverb-es
"akurateco"-noun-eo "puntualidad"-noun-es
"akuŝigistino"-noun-eo "partera"-noun-es
"akuŝistino"-noun-eo "partera"-noun-es
"akuŝo"-noun-eo "parto"-noun-es
"akustika"-adjective-eo "acústico"-adjective-es
"akustike"-adverb-eo "acústicamente"-adverb-es
"akustiko"-noun-eo "acústica"-noun-es
"akuta"-adjective-eo "fulminante"-adjective-es
"akuzanto"-noun-eo "demandante"-noun-es
"akuzativo"-noun-eo "acusativo"-noun-es
"akuzi"-verb-eo "acusar"-verb-es
"akuzito"-noun-eo "acusado"-noun-es
"akuzito"-noun-eo "procesado"-noun-es
"akuzito"-noun-eo "reo"-noun-es
"akuzo"-noun-eo "acusación"-noun-es
"akva"-adjective-eo "acuático"-adjective-es
"akva"-adjective-eo "hídrico"-adjective-es
"akvaforto"-noun-eo "aguafuerte"-noun-es
"akvamarino"-noun-eo "aguamarina"-noun-es
"akvarelo"-noun-eo "acuarela"-noun-es
"akvario"-noun-eo "acuario"-noun-es
"akve"-adverb-eo "acuáticamente"-adverb-es
"akvedukto"-noun-eo "acueducto"-noun-es
"Akvitanio"-properNoun-eo "Aquitania"-properNoun-es
"akvo"-noun-eo "agua"-noun-es
"akvofalo"-noun-eo "cascada"-noun-es
"akvomelono"-noun-eo "sandía"-noun-es
"akvopilkado"-noun-eo "waterpolo"-noun-es
"akvotruo"-noun-eo "charco"-noun-es
"Akzo"-properNoun-eo "Akzo"-properNoun-es
"Akzo Nobel"-properNoun-eo "Akzo Nobel"-properNoun-es
"al"-preposition-eo "a"-preposition-es
"al"-preposition-eo "hacia"-preposition-es
"alabastro"-noun-eo "alabastro"-noun-es
"Alaho"-properNoun-eo "Alá"-properNoun-es
"alambiko"-noun-eo "alambique"-noun-es
"alarmi"-verb-eo "alarmar"-verb-es
"alarmi"-verb-eo "alertar"-verb-es
"alarmi"-verb-eo "dar la alarma"-verb-es
"alarmo"-noun-eo "alarma"-noun-es
"Alasko"-properNoun-eo "Alaska"-properNoun-es
"alaŭdo"-noun-eo "alondra"-noun-es
"albana"-adjective-eo "albanés"-adjective-es
"Albanio"-properNoun-eo "Albania"-properNoun-es
"albano"-noun-eo "albanés"-noun-es
"albatroso"-noun-eo "albatros"-noun-es
"Alberto"-properNoun-eo "Alberto"-properNoun-es
"Alberto"-properNoun-eo "Alberto"-noun-es
"Alberto"-noun-eo "Alberto"-properNoun-es
"Alberto"-noun-eo "Alberto"-noun-es
"Albi"-properNoun-eo "Albi"-properNoun-es
"Albi"-properNoun-eo "Albi"-noun-es
"Albi"-noun-eo "Albi"-properNoun-es
"Albi"-noun-eo "Albi"-noun-es
"albino"-noun-eo "albino"-noun-es
"albordiĝejo"-noun-eo "amarradero"-noun-es
"albordiĝejo"-noun-eo "desembarcadero"-noun-es
"albumino"-noun-eo "albúmina"-noun-es
"albumo"-noun-eo "álbum"-noun-es
"alburno"-noun-eo "alburno"-noun-es
"Alcatel"-properNoun-eo "Alcatel"-properNoun-es
"Alcatel-Lucent"-properNoun-eo "Alcatel-Lucent"-properNoun-es
"alciono"-noun-eo "alción"-noun-es
"Alcoa"-properNoun-eo "Alcoa"-properNoun-es
"aldehido"-noun-eo "aldehído"-noun-es
"aldifino"-noun-eo "asignación"-noun-es
"aldo"-noun-eo "viola"-noun-es
"aldonaĵo"-noun-eo "aditivo"-noun-es
"aldone"-adverb-eo "adicionalmente"-adverb-es
"aldonvalora imposto"-noun-eo "impuesto al valor agregado"-noun-es
"aldonvalora imposto"-noun-eo "impuesto sobre el valor añadido"-noun-es
"alegoria"-adjective-eo "alegórico"-adjective-es
"alegorio"-noun-eo "alegoría"-noun-es
"alegro"-noun-eo "alegro"-noun-es
"Aleksandrio"-properNoun-eo "Alejandría"-properNoun-es
"Aleksandro"-properNoun-eo "Alejandro"-properNoun-es
"Aleksandro"-properNoun-eo "Alejandro"-noun-es
"Aleksandro la Granda"-properNoun-eo "Alejandro Magno"-properNoun-es
"aleo"-noun-eo "rambla"-noun-es
"alergia"-adjective-eo "alérgico"-adjective-es
"alergie"-adverb-eo "alérgicamente"-adverb-es
"alergiiga"-adjective-eo "alergénico"-adjective-es
"alergio"-noun-eo "alergia"-noun-es
"alero"-noun-eo "alero"-noun-es
"alero"-noun-eo "cobertizo"-noun-es
"alerono"-noun-eo "alerón"-noun-es
"alfabeta"-adjective-eo "alfabético"-adjective-es
"alfabete"-adverb-eo "alfabéticamente"-adverb-es
"alfabeto"-noun-eo "abecedario"-noun-es
"alfabeto"-noun-eo "abecé"-noun-es
"alfabeto"-noun-eo "alfabeto"-noun-es
"alfenido"-noun-eo "alfenide"-noun-es
"alfluanto"-noun-eo "afluente"-noun-es
"alfluo"-noun-eo "afluencia"-noun-es
"Alfonso"-properNoun-eo "Alfonso"-properNoun-es
"Alfonso"-properNoun-eo "Alfonso"-noun-es
"Alfonso"-noun-eo "Alfonso"-properNoun-es
"Alfonso"-noun-eo "Alfonso"-noun-es
