"a càrrec de"-preposition-ca "a la carga de"-preposition-oc
"bua"-noun-oc "espurna"-noun-ca
"bualh"-noun-oc "espurna"-noun-ca
"buarla"-noun-oc "espurna"-noun-ca
"esperla"-noun-oc "espurna"-noun-ca
"mala sort"-noun-ca "mala sòrt"-noun-oc
"mala sòrt"-noun-oc "mala sort"-noun-ca
"arna"-noun-ca "arla"-noun-oc
"arna"-noun-ca "quèra"-noun-oc
"arla"-noun-oc "arna"-noun-ca
"quèra"-noun-oc "arna"-noun-ca
"parc"-noun-ca "parque"-noun-oc
"parque"-noun-oc "parc"-noun-ca
"pou"-noun-ca "putz"-noun-oc
"putz"-noun-oc "pou"-noun-ca
"àrab"-adjective-ca "arabe"-adjective-oc
"arabe"-adjective-oc "àrab"-adjective-ca
"pallasso"-noun-ca "pantre"-noun-oc
"pallasso"-noun-ca "pefon"-noun-oc
"pantre"-noun-oc "pallasso"-noun-ca
"pefon"-noun-oc "pallasso"-noun-ca
"circumstancial"-adjective-ca "circonstancial"-adjective-oc
"circonstancial"-adjective-oc "circumstancial"-adjective-ca
"mandrós"-adjective-ca "guiterós"-adjective-oc
"mandrós"-adjective-ca "orens"-adjective-oc
"guiterós"-adjective-oc "mandrós"-adjective-ca
"orens"-adjective-oc "mandrós"-adjective-ca
"vinent"-adjective-ca "que ven"-adjective-oc
"que ven"-adjective-oc "vinent"-adjective-ca
"insatisfet"-adjective-ca "insatisfèt"-adjective-oc
"insatisfèt"-adjective-oc "insatisfet"-adjective-ca
"accidentalment"-adverb-ca "accidentaument"-adverb-oc
"accidentalment"-adverb-ca "accidentauments"-adverb-oc
"accidentaument"-adverb-oc "accidentalment"-adverb-ca
"accidentauments"-adverb-oc "accidentalment"-adverb-ca
"jurídicament"-adverb-ca "juridicaments"-adverb-oc
"juridicaments"-adverb-oc "jurídicament"-adverb-ca
"fins i tot"-adverb-ca "emai"-adverb-oc
"emai"-adverb-oc "fins i tot"-adverb-ca
"és a dir"-adverb-ca "ei a díder"-adverb-oc
"ei a díder"-adverb-oc "és a dir"-adverb-ca
"per què"-adverb-ca "a qué"-adverb-oc
"a qué"-adverb-oc "per què"-adverb-ca
"regularment"-adverb-ca "regularaments"-adverb-oc
"regularaments"-adverb-oc "regularment"-adverb-ca
"desvincular"-verb-ca "desestacar"-verb-oc
"desestacar"-verb-oc "desvincular"-verb-ca
"desestacar"-verb-oc "deslligar"-verb-ca
"deslligar"-verb-ca "desestacar"-verb-oc
"deixar"-verb-ca "quitar"-verb-oc
"quitar"-verb-oc "deixar"-verb-ca
"ficar al llit"-verb-ca "calar en lhet"-verb-oc
"calar en lhet"-verb-oc "ficar al llit"-verb-ca
"agafar"-verb-ca "agafar"-verb-oc
"agafar"-verb-oc "agafar"-verb-ca
"donar suport"-verb-ca "balhar supòrt"-verb-oc
"donar suport"-verb-ca "balhar sosten"-verb-oc
"donar suport"-verb-ca "donar supòrt"-verb-oc
"donar suport"-verb-ca "donar sosten"-verb-oc
"balhar supòrt"-verb-oc "donar suport"-verb-ca
"balhar sosten"-verb-oc "donar suport"-verb-ca
"donar supòrt"-verb-oc "donar suport"-verb-ca
"donar sosten"-verb-oc "donar suport"-verb-ca
"reunir"-verb-ca "recampar"-verb-oc
"recampar"-verb-oc "reunir"-verb-ca
"aprofitar"-verb-ca "profiechar"-verb-oc
"aprofitar"-verb-ca "aprofieitar"-verb-oc
"aprofitar"-verb-ca "profieitar"-verb-oc
"profiechar"-verb-oc "aprofitar"-verb-ca
"aprofieitar"-verb-oc "aprofitar"-verb-ca
"profieitar"-verb-oc "aprofitar"-verb-ca
"tenir"-verb-ca "aver de"-verb-oc
"aver de"-verb-oc "tenir"-verb-ca
"construir"-verb-ca "construire"-verb-oc
"construire"-verb-oc "construir"-verb-ca
"callar"-verb-ca "taisar"-verb-oc
"taisar"-verb-oc "callar"-verb-ca
"consumir"-verb-ca "consomar"-verb-oc
"consomar"-verb-oc "consumir"-verb-ca
"dinar"-verb-ca "disnar"-verb-oc
"disnar"-verb-oc "dinar"-verb-ca
"envoltar"-verb-ca "environar"-verb-oc
"environar"-verb-oc "envoltar"-verb-ca
"intercanviar"-verb-ca "eschamnhar"-verb-oc
"eschamnhar"-verb-oc "intercanviar"-verb-ca
"acabar"-verb-ca "achabar"-verb-oc
"achabar"-verb-oc "acabar"-verb-ca
"investigar"-verb-ca "metre en examen"-verb-oc
"metre en examen"-verb-oc "investigar"-verb-ca
"manllevar"-verb-ca "manlheuar"-verb-oc
"manlheuar"-verb-oc "manllevar"-verb-ca
"esmentar"-verb-ca "mençonar"-verb-oc
"mençonar"-verb-oc "esmentar"-verb-ca
"seguir"-verb-ca "sègre"-verb-oc
"sègre"-verb-oc "seguir"-verb-ca
"pondre"-verb-ca "pondre"-verb-oc
"pondre"-verb-oc "pondre"-verb-ca
"produir"-verb-ca "produire"-verb-oc
"produire"-verb-oc "produir"-verb-ca
"recordar"-verb-ca "sovenir"-verb-oc
"sovenir"-verb-oc "recordar"-verb-ca
"reproduir"-verb-ca "reproduire"-verb-oc
"reproduire"-verb-oc "reproduir"-verb-ca
"retardar"-verb-ca "atardivar"-verb-oc
"atardivar"-verb-oc "retardar"-verb-ca
"seduir"-verb-ca "seduire"-verb-oc
"seduire"-verb-oc "seduir"-verb-ca
"seure"-verb-ca "sièire"-verb-oc
"sièire"-verb-oc "seure"-verb-ca
"traduir"-verb-ca "traduire"-verb-oc
"traduire"-verb-oc "traduir"-verb-ca
"perjudicar"-verb-ca "prejudiciar"-verb-oc
"prejudiciar"-verb-oc "perjudicar"-verb-ca
"manlleu"-noun-ca "manlhèu"-noun-oc
"manlhèu"-noun-oc "manlleu"-noun-ca
"entrecreuar"-verb-ca "entrecrotzar"-verb-oc
"entrecrotzar"-verb-oc "entrecreuar"-verb-ca
"encadenar"-verb-ca "acadiar"-verb-oc
"acadiar"-verb-oc "encadenar"-verb-ca
"inundar"-verb-ca "enaiguar"-verb-oc
"enaiguar"-verb-oc "inundar"-verb-ca
"renéixer"-verb-ca "renèisher"-verb-oc
"renèisher"-verb-oc "renéixer"-verb-ca
"pertanyent"-adjective-ca "pertenent"-adjective-oc
"pertanyent"-adjective-ca "pertanhent"-adjective-oc
"pertenent"-adjective-oc "pertanyent"-adjective-ca
"pertanhent"-adjective-oc "pertanyent"-adjective-ca
"anunci"-noun-ca "anonci"-noun-oc
"anonci"-noun-oc "anunci"-noun-ca
"enginyeria"-noun-ca "engenharia"-noun-oc
"engenharia"-noun-oc "enginyeria"-noun-ca
"Alcanyís"-properNoun-ca "Alcanyiz"-properNoun-oc
"Alcanyiz"-properNoun-oc "Alcanyís"-properNoun-ca
"Calataiud"-properNoun-ca "Calatayú"-properNoun-oc
"Calatayú"-properNoun-oc "Calataiud"-properNoun-ca
"Cusco"-properNoun-ca "Cuzco"-properNoun-oc
"Cusco"-properNoun-ca "Qusqu"-properNoun-oc
"Cuzco"-properNoun-oc "Cusco"-properNoun-ca
"Qusqu"-properNoun-oc "Cusco"-properNoun-ca
"Homs"-properNoun-ca "Hòms"-properNoun-oc
"Hòms"-properNoun-oc "Homs"-properNoun-ca
"Kazan"-properNoun-ca "Qazan"-properNoun-oc
"Qazan"-properNoun-oc "Kazan"-properNoun-ca
"Urgell"-properNoun-ca "Urgèl"-properNoun-oc
"Urgèl"-properNoun-oc "Urgell"-properNoun-ca
"Flandes"-properNoun-ca "Flandes"-properNoun-oc
"Flandes"-properNoun-oc "Flandes"-properNoun-ca
"Venècia"-properNoun-ca "Venèsia"-properNoun-oc
"Venèsia"-properNoun-oc "Venècia"-properNoun-ca
"Nova Zelanda"-properNoun-ca "Aotearoa"-properNoun-oc
"Aotearoa"-properNoun-oc "Nova Zelanda"-properNoun-ca
"Angers"-properNoun-ca "Angièrs"-properNoun-oc
"Angièrs"-properNoun-oc "Angers"-properNoun-ca
"Kosovo"-properNoun-ca "Kosovë"-properNoun-oc
"Kosovë"-properNoun-oc "Kosovo"-properNoun-ca
"Anjou"-properNoun-ca "Anjó"-properNoun-oc
"Anjó"-properNoun-oc "Anjou"-properNoun-ca
"Xipre"-properNoun-ca "Cipre"-properNoun-oc
"Cipre"-properNoun-oc "Xipre"-properNoun-ca
"Guadeloupe"-properNoun-ca "Güadalope"-properNoun-oc
"Güadalope"-properNoun-oc "Guadeloupe"-properNoun-ca
"Uruguai"-properNoun-ca "Urugüai"-properNoun-oc
"Urugüai"-properNoun-oc "Uruguai"-properNoun-ca
"Beirut"-properNoun-ca "Barut"-properNoun-oc
"Barut"-properNoun-oc "Beirut"-properNoun-ca
"País Basc"-properNoun-ca "País Basco"-properNoun-oc
"País Basc"-properNoun-ca "País Bàscol"-properNoun-oc
"País Basco"-properNoun-oc "País Basc"-properNoun-ca
"País Bàscol"-properNoun-oc "País Basc"-properNoun-ca
"Nicaragua"-properNoun-ca "Nicaragüa"-properNoun-oc
"Nicaragüa"-properNoun-oc "Nicaragua"-properNoun-ca
"Belfast"-properNoun-ca "Bíal Feirste"-properNoun-oc
"Bíal Feirste"-properNoun-oc "Belfast"-properNoun-ca
"Magúncia"-properNoun-ca "Magóncia"-properNoun-oc
"Magóncia"-properNoun-oc "Magúncia"-properNoun-ca
"Hannover"-properNoun-ca "Hannober"-properNoun-oc
"Hannober"-properNoun-oc "Hannover"-properNoun-ca
"Alier"-properNoun-ca "Alièr"-properNoun-oc
"Alièr"-properNoun-oc "Alier"-properNoun-ca
"Guaiana"-properNoun-ca "Güaiana"-properNoun-oc
"Güaiana"-properNoun-oc "Guaiana"-properNoun-ca
"Glasgow"-properNoun-ca "Glaschu"-properNoun-oc
"Glaschu"-properNoun-oc "Glasgow"-properNoun-ca
"Minsk"-properNoun-ca "Miensk"-properNoun-oc
"Miensk"-properNoun-oc "Minsk"-properNoun-ca
"Cardiff"-properNoun-ca "Caerdydd"-properNoun-oc
"Caerdydd"-properNoun-oc "Cardiff"-properNoun-ca
"Guam"-properNoun-ca "Güam"-properNoun-oc
"Güam"-properNoun-oc "Guam"-properNoun-ca
"Franc Comtat"-properNoun-ca "Franc Comtat"-properNoun-oc
"Franc Comtat"-properNoun-oc "Franc Comtat"-properNoun-ca
"valorització"-noun-ca "mesa en valor"-noun-oc
"mesa en valor"-noun-oc "valorització"-noun-ca
"Alta Normandia"-properNoun-ca "Auta Normandia"-properNoun-oc
"Auta Normandia"-properNoun-oc "Alta Normandia"-properNoun-ca
"Everest"-properNoun-ca "Chomolangma"-properNoun-oc
"Chomolangma"-properNoun-oc "Everest"-properNoun-ca
"Swazilàndia"-properNoun-ca "Ngwane"-properNoun-oc
"Ngwane"-properNoun-oc "Swazilàndia"-properNoun-ca
"Paraguai"-properNoun-ca "Paragüai"-properNoun-oc
"Paragüai"-properNoun-oc "Paraguai"-properNoun-ca
"Kuwait"-properNoun-ca "Ciutat de Kowait"-properNoun-oc
"Ciutat de Kowait"-properNoun-oc "Kuwait"-properNoun-ca
"lluent"-adjective-ca "ludent"-adjective-oc
"lluent"-adjective-ca "ludentós"-adjective-oc
"ludent"-adjective-oc "lluent"-adjective-ca
"ludentós"-adjective-oc "lluent"-adjective-ca
"La Paz"-properNoun-ca "Chukiyawu"-properNoun-oc
"Chukiyawu"-properNoun-oc "La Paz"-properNoun-ca
"lamentablement"-adverb-ca "lamentablaments"-adverb-oc
"lamentablaments"-adverb-oc "lamentablement"-adverb-ca
"inexorablement"-adverb-ca "inexorablaments"-adverb-oc
"inexorablaments"-adverb-oc "inexorablement"-adverb-ca
"afirmativament"-adverb-ca "afirmativaments"-adverb-oc
"afirmativaments"-adverb-oc "afirmativament"-adverb-ca
"barbàrie"-noun-ca "barbaria"-noun-oc
"barbaria"-noun-oc "barbàrie"-noun-ca
"extracte"-noun-ca "extrait"-noun-oc
"extrait"-noun-oc "extracte"-noun-ca
"Damasc"-properNoun-ca "Damàs"-properNoun-oc
"Damàs"-properNoun-oc "Damasc"-properNoun-ca
"Teheran"-properNoun-ca "Teeran"-properNoun-oc
"Teeran"-properNoun-oc "Teheran"-properNoun-ca
"Vitòria"-properNoun-ca "Gasteiz"-properNoun-oc
"Gasteiz"-properNoun-oc "Vitòria"-properNoun-ca
"Bozen"-properNoun-ca "Bolzano"-properNoun-oc
"Bolzano"-properNoun-oc "Bozen"-properNoun-ca
"Pondicherry"-properNoun-ca "Putuchcheri"-properNoun-oc
"Putuchcheri"-properNoun-oc "Pondicherry"-properNoun-ca
"tossuderia"-noun-ca "testardariá"-noun-oc
"testardariá"-noun-oc "tossuderia"-noun-ca
"xeringa"-noun-ca "chiringa"-noun-oc
"chiringa"-noun-oc "xeringa"-noun-ca
"falsedat"-noun-ca "falsesa"-noun-oc
"falsesa"-noun-oc "falsedat"-noun-ca
"escassetat"-noun-ca "escassesa"-noun-oc
"escassesa"-noun-oc "escassetat"-noun-ca
"Gdansk"-properNoun-ca "Gdunsk"-properNoun-oc
"Gdunsk"-properNoun-oc "Gdansk"-properNoun-ca
"ambdós"-determiner-ca "andús"-determiner-oc
"andús"-determiner-oc "ambdós"-determiner-ca
"Aberdeen"-properNoun-ca "Abair Eahdhain"-properNoun-oc
"Abair Eahdhain"-properNoun-oc "Aberdeen"-properNoun-ca
"Antàrtida"-properNoun-ca "Antartica"-properNoun-oc
"Antartica"-properNoun-oc "Antàrtida"-properNoun-ca
"Apenins"-properNoun-ca "Apenins"-properNoun-oc
"Apenins"-properNoun-oc "Apenins"-properNoun-ca
"Bangalore"-properNoun-ca "Bengaluru"-properNoun-oc
"Bengaluru"-properNoun-oc "Bangalore"-properNoun-ca
"Canàries"-properNoun-ca "Canàrias"-properNoun-oc
"Canàrias"-properNoun-oc "Canàries"-properNoun-ca
"Ebre"-properNoun-ca "Èbre"-properNoun-oc
"Èbre"-properNoun-oc "Ebre"-properNoun-ca
"Malvines"-properNoun-ca "Malvinas"-properNoun-oc
"Malvinas"-properNoun-oc "Malvines"-properNoun-ca
"Maó"-properNoun-ca "Maon"-properNoun-oc
"Maon"-properNoun-oc "Maó"-properNoun-ca
"Hondures"-properNoun-ca "Honduras"-properNoun-oc
"Honduras"-properNoun-oc "Hondures"-properNoun-ca
"Ourense"-properNoun-ca "Ourense"-properNoun-oc
"Ourense"-properNoun-oc "Ourense"-properNoun-ca
"Ourense"-properNoun-oc "Orense"-properNoun-ca
"República Centreafricana"-properNoun-ca "Republica Centrafricana*"-properNoun-oc
"Republica Centrafricana*"-properNoun-oc "República Centreafricana"-properNoun-ca
"Sàhara"-properNoun-ca "Saara"-properNoun-oc
"Saara"-properNoun-oc "Sàhara"-properNoun-ca
"Treviso"-properNoun-ca "Trevís"-properNoun-oc
"Trevís"-properNoun-oc "Treviso"-properNoun-ca
"Vallès"-properNoun-ca "Valés"-properNoun-oc
"Valés"-properNoun-oc "Vallès"-properNoun-ca
"descompte"-noun-ca "descompte"-noun-oc
"descompte"-noun-oc "descompte"-noun-ca
"rentamans"-noun-ca "lavamans"-noun-oc
"lavamans"-noun-oc "rentamans"-noun-ca
"noces"-noun-ca "nòças"-noun-oc
"nòças"-noun-oc "noces"-noun-ca
"trucada"-noun-ca "sonada"-noun-oc
"sonada"-noun-oc "trucada"-noun-ca
"osset"-noun-ca "orsardet"-noun-oc
"orsardet"-noun-oc "osset"-noun-ca
"festa major"-noun-ca "hèsta major"-noun-oc
"hèsta major"-noun-oc "festa major"-noun-ca
"hola"-interjection-ca "òla"-interjection-oc
"òla"-interjection-oc "hola"-interjection-ca
"agosarat"-adjective-ca "ausard"-adjective-oc
"ausard"-adjective-oc "agosarat"-adjective-ca
"mutu"-adjective-ca "mutual"-adjective-oc
"mutual"-adjective-oc "mutu"-adjective-ca
"segon"-adjective-ca "dus"-adjective-oc
"segon"-adjective-ca "dos"-adjective-oc
"dus"-adjective-oc "segon"-adjective-ca
"dos"-adjective-oc "segon"-adjective-ca
"dur a terme"-verb-ca "metre en plaça"-verb-oc
"dur a terme"-verb-ca "méter en plaça"-verb-oc
"metre en plaça"-verb-oc "dur a terme"-verb-ca
"méter en plaça"-verb-oc "dur a terme"-verb-ca
"encarir"-verb-ca "encaresir"-verb-oc
"encarir"-verb-ca "encharir"-verb-oc
"encaresir"-verb-oc "encarir"-verb-ca
"encharir"-verb-oc "encarir"-verb-ca
"rebaixar"-verb-ca "rebaissar"-verb-oc
"rebaissar"-verb-oc "rebaixar"-verb-ca
"cremar"-verb-ca "brutlar"-verb-oc
"cremar"-verb-ca "brullar"-verb-oc
"brutlar"-verb-oc "cremar"-verb-ca
"brullar"-verb-oc "cremar"-verb-ca
"acostumar de"-verb-oc "soler"-verb-ca
"soler"-verb-ca "acostumar de"-verb-oc
"de vegades"-adverb-ca "de vegades"-adverb-oc
"de vegades"-adverb-oc "de vegades"-adverb-ca
"entremig"-adverb-ca "entremièg"-adverb-oc
"entremièg"-adverb-oc "entremig"-adverb-ca
"al matí"-adverb-ca "lo matin"-adverb-oc
"lo matin"-adverb-oc "al matí"-adverb-ca
"enmig"-adverb-ca "ath miei"-adverb-oc
"ath miei"-adverb-oc "enmig"-adverb-ca
"com a màxim"-adverb-ca "coma maximom"-adverb-oc
"coma maximom"-adverb-oc "com a màxim"-adverb-ca
"cort suprèma"-noun-oc "tribunal suprem"-noun-ca
"tribunal suprem"-noun-ca "cort suprèma"-noun-oc
"Lourdes"-properNoun-oc "Lorda"-properNoun-ca
"Lorda"-properNoun-ca "Lourdes"-properNoun-oc
"era Seu d'Urgelh"-properNoun-oc "la Seu d'Urgell"-properNoun-ca
"la Seu d'Urgell"-properNoun-ca "era Seu d'Urgelh"-properNoun-oc
"la Seu d'Urgell"-properNoun-ca "la Seu d'Urgelh"-properNoun-oc
"la Seu d'Urgell"-properNoun-ca "La Sèu d'Urgèl"-properNoun-oc
"la Seu d'Urgelh"-properNoun-oc "la Seu d'Urgell"-properNoun-ca
"La Sèu d'Urgèl"-properNoun-oc "la Seu d'Urgell"-properNoun-ca
"literau"-adjective-oc "literal"-adjective-ca
"literal"-adjective-ca "literau"-adjective-oc
"literal"-adjective-ca "literal"-adjective-oc
"literal"-adjective-oc "literal"-adjective-ca
"matrimoniau"-adjective-oc "matrimonial"-adjective-ca
"matrimonial"-adjective-ca "matrimoniau"-adjective-oc
"matrimonial"-adjective-ca "matrimonial"-adjective-oc
"matrimonial"-adjective-oc "matrimonial"-adjective-ca
"frontau"-adjective-oc "frontal"-adjective-ca
"frontal"-adjective-ca "frontau"-adjective-oc
"frontal"-adjective-ca "frontal"-adjective-oc
"frontal"-adjective-oc "frontal"-adjective-ca
"ornamentau"-adjective-oc "ornamental"-adjective-ca
"ornamental"-adjective-ca "ornamentau"-adjective-oc
"ornamental"-adjective-ca "ornamental"-adjective-oc
"ornamental"-adjective-oc "ornamental"-adjective-ca
"auer a veir"-verb-oc "tenir a veure"-verb-ca
"tenir a veure"-verb-ca "auer a veir"-verb-oc
"tenir a veure"-verb-ca "aver a veire"-verb-oc
"aver a veire"-verb-oc "tenir a veure"-verb-ca
"anivelament"-noun-oc "anivellament"-noun-ca
"anivellament"-noun-ca "anivelament"-noun-oc
"a lèu"-interjection-oc "fins aviat"-interjection-ca
"fins aviat"-interjection-ca "a lèu"-interjection-oc
"reutilizar"-verb-oc "reutilitzar"-verb-ca
"reutilitzar"-verb-ca "reutilizar"-verb-oc
"hèr aulor"-verb-oc "fer olor"-verb-ca
"fer olor"-verb-ca "hèr aulor"-verb-oc
"fer olor"-verb-ca "far odor"-verb-oc
"far odor"-verb-oc "fer olor"-verb-ca
"hèr conéisher"-verb-oc "donar a conèixer"-verb-ca
"donar a conèixer"-verb-ca "hèr conéisher"-verb-oc
"donar a conèixer"-verb-ca "far conéisser"-verb-oc
"far conéisser"-verb-oc "donar a conèixer"-verb-ca
"porgir"-verb-oc "proporcionar"-verb-ca
"proporcionar"-verb-ca "porgir"-verb-oc
"pelodir"-verb-oc "pidolar"-verb-ca
"pidolar"-verb-ca "pelodir"-verb-oc
"hèr impacte"-verb-oc "impactar"-verb-ca
"impactar"-verb-ca "hèr impacte"-verb-oc
"impactar"-verb-ca "far impacte"-verb-oc
"far impacte"-verb-oc "impactar"-verb-ca
"intèrnament"-noun-oc "internament"-noun-ca
"internament"-noun-ca "intèrnament"-noun-oc
"passacarrèr"-noun-oc "cercavila"-noun-ca
"cercavila"-noun-ca "passacarrèr"-noun-oc
"cercavila"-noun-ca "passacarrièra"-noun-oc
"cercavila"-noun-ca "passacarrièira"-noun-oc
"passacarrièra"-noun-oc "cercavila"-noun-ca
"passacarrièira"-noun-oc "cercavila"-noun-ca
"aqüifèr"-noun-oc "aqüífer"-noun-ca
"aqüífer"-noun-ca "aqüifèr"-noun-oc
"quitar de"-verb-oc "deixar de"-verb-ca
"deixar de"-verb-ca "quitar de"-verb-oc
"tier en compde"-verb-oc "tenir en compte"-verb-ca
"tenir en compte"-verb-ca "tier en compde"-verb-oc
"tenir en compte"-verb-ca "prene en compte"-verb-oc
"tenir en compte"-verb-ca "téner compte"-verb-oc
"prene en compte"-verb-oc "tenir en compte"-verb-ca
"téner compte"-verb-oc "tenir en compte"-verb-ca
"téner compte"-verb-oc "anar amb compte"-verb-ca
"anar amb compte"-verb-ca "téner compte"-verb-oc
"anar amb compte"-verb-ca "far atencion"-verb-oc
"anar amb compte"-verb-ca "hèr atencion"-verb-oc
"anar amb compte"-verb-ca "tier compde"-verb-oc
"far atencion"-verb-oc "anar amb compte"-verb-ca
"hèr atencion"-verb-oc "anar amb compte"-verb-ca
"tier compde"-verb-oc "anar amb compte"-verb-ca
"far independent"-verb-oc "independitzar"-verb-ca
"independitzar"-verb-ca "far independent"-verb-oc
"independitzar"-verb-ca "far independents"-verb-oc
"independitzar"-verb-ca "far independenta"-verb-oc
"independitzar"-verb-ca "far independentas"-verb-oc
"independitzar"-verb-ca "venir independent"-verb-oc
"independitzar"-verb-ca "venir independents"-verb-oc
"independitzar"-verb-ca "venir independenta"-verb-oc
"independitzar"-verb-ca "venir independentas"-verb-oc
"independitzar"-verb-ca "hèr independent"-verb-oc
"independitzar"-verb-ca "hèr independents"-verb-oc
"independitzar"-verb-ca "hèr independenti"-verb-oc
"independitzar"-verb-ca "hèr independenta"-verb-oc
"independitzar"-verb-ca "hèr independentes"-verb-oc
"independitzar"-verb-ca "independizar"-verb-oc
"far independents"-verb-oc "independitzar"-verb-ca
"far independenta"-verb-oc "independitzar"-verb-ca
"far independentas"-verb-oc "independitzar"-verb-ca
"venir independent"-verb-oc "independitzar"-verb-ca
"venir independents"-verb-oc "independitzar"-verb-ca
"venir independenta"-verb-oc "independitzar"-verb-ca
"venir independentas"-verb-oc "independitzar"-verb-ca
"hèr independent"-verb-oc "independitzar"-verb-ca
"hèr independents"-verb-oc "independitzar"-verb-ca
"hèr independenti"-verb-oc "independitzar"-verb-ca
"hèr independenta"-verb-oc "independitzar"-verb-ca
"hèr independentes"-verb-oc "independitzar"-verb-ca
"independizar"-verb-oc "independitzar"-verb-ca
"fòbia"-noun-oc "fòbia"-noun-ca
"fòbia"-noun-ca "fòbia"-noun-oc
"troglodita"-adjective-oc "cavernícola"-adjective-ca
"cavernícola"-adjective-ca "troglodita"-adjective-oc
"comuns"-noun-oc "lavabo"-noun-ca
"lavabo"-noun-ca "comuns"-noun-oc
"vira-solei"-noun-oc "gira-sol"-noun-ca
"gira-sol"-noun-ca "vira-solei"-noun-oc
"gira-sol"-noun-ca "vira-solelh"-noun-oc
"vira-solelh"-noun-oc "gira-sol"-noun-ca
"de vertat"-adverb-oc "de veritat"-adverb-ca
"de vertat"-adverb-oc "de debò"-adverb-ca
"de veritat"-adverb-ca "de vertat"-adverb-oc
"de debò"-adverb-ca "de vertat"-adverb-oc
"natal"-adjective-oc "natal"-adjective-ca
"natal"-adjective-ca "natal"-adjective-oc
"natal"-adjective-ca "natau"-adjective-oc
"natau"-adjective-oc "natal"-adjective-ca
"rizòma"-noun-oc "rizoma"-noun-ca
"rizoma"-noun-ca "rizòma"-noun-oc
"eqüidistància"-noun-oc "equidistància"-noun-ca
"equidistància"-noun-ca "eqüidistància"-noun-oc
"procediment arbitrari"-noun-oc "arbitrarietat"-noun-ca
"arbitrarietat"-noun-ca "procediment arbitrari"-noun-oc
"non-conformisme"-noun-oc "inconformisme"-noun-ca
"inconformisme"-noun-ca "non-conformisme"-noun-oc
"indobtable"-adjective-oc "indubtable"-adjective-ca
"indobtable"-adjective-oc "inequívoc"-adjective-ca
"indubtable"-adjective-ca "indobtable"-adjective-oc
"inequívoc"-adjective-ca "indobtable"-adjective-oc
"sosproducte"-noun-oc "subproducte"-noun-ca
"subproducte"-noun-ca "sosproducte"-noun-oc
"tres"-adjective-oc "tercer"-adjective-ca
"tercer"-adjective-ca "tres"-adjective-oc
"quate"-adjective-oc "quart"-adjective-ca
