"tanmateix"-adverb-ca "pasmens"-adverb-oc
"terrorisme"-noun-oc "terrorisme"-noun-ca
"terrorisme"-noun-ca "terrorisme"-noun-oc
"finançament"-noun-oc "finançament"-noun-ca
"finançament"-noun-ca "finançament"-noun-oc
"gastronomia"-noun-oc "gastronomia"-noun-ca
"gastronomia"-noun-ca "gastronomia"-noun-oc
"exemple"-noun-oc "exemple"-noun-ca
"exemple"-noun-ca "exemple"-noun-oc
"entrevista"-noun-oc "entrevista"-noun-ca
"entrevista"-noun-ca "entrevista"-noun-oc
"teatre"-noun-oc "teatre"-noun-ca
"teatre"-noun-ca "teatre"-noun-oc
"ortografia"-noun-ca "ortografia"-noun-oc
"ortografia"-noun-oc "ortografia"-noun-ca
"carnet"-noun-ca "carnet"-noun-oc
"carnet"-noun-oc "carnet"-noun-ca
"goma"-noun-ca "goma"-noun-oc
"goma"-noun-oc "goma"-noun-ca
"piscina"-noun-oc "piscina"-noun-ca
"piscina"-noun-ca "piscina"-noun-oc
"suplement"-noun-oc "suplement"-noun-ca
"suplement"-noun-ca "suplement"-noun-oc
"data"-noun-oc "data"-noun-ca
"data"-noun-ca "data"-noun-oc
"identitat"-noun-oc "identitat"-noun-ca
"identitat"-noun-ca "identitat"-noun-oc
"miracle"-noun-oc "miracle"-noun-ca
"miracle"-noun-ca "miracle"-noun-oc
"perfil"-noun-oc "perfil"-noun-ca
"perfil"-noun-ca "perfil"-noun-oc
"glòria"-noun-oc "glòria"-noun-ca
"glòria"-noun-ca "glòria"-noun-oc
"castanya"-noun-ca "castanha"-noun-oc
"castanha"-noun-oc "castanya"-noun-ca
"amic"-noun-oc "amic"-noun-ca
"amic"-noun-ca "amic"-noun-oc
"consulta"-noun-oc "consulta"-noun-ca
"consulta"-noun-ca "consulta"-noun-oc
"amistat"-noun-oc "amistat"-noun-ca
"amistat"-noun-ca "amistat"-noun-oc
"qualitat"-noun-oc "qualitat"-noun-ca
"qualitat"-noun-ca "qualitat"-noun-oc
"terrassa"-noun-ca "terrassa"-noun-oc
"terrassa"-noun-oc "terrassa"-noun-ca
"esquí"-noun-oc "esquí"-noun-ca
"esquí"-noun-ca "esquí"-noun-oc
"licor"-noun-oc "licor"-noun-ca
"licor"-noun-ca "licor"-noun-oc
"artista"-noun-oc "artista"-noun-ca
"artista"-noun-ca "artista"-noun-oc
"actor"-noun-ca "actor"-noun-oc
"actor"-noun-oc "actor"-noun-ca
"president"-noun-oc "president"-noun-ca
"president"-noun-ca "president"-noun-oc
"protagonista"-noun-oc "protagonista"-noun-ca
"protagonista"-noun-ca "protagonista"-noun-oc
"nacionalitat"-noun-oc "nacionalitat"-noun-ca
"nacionalitat"-noun-ca "nacionalitat"-noun-oc
"calendari"-noun-oc "calendari"-noun-ca
"calendari"-noun-ca "calendari"-noun-oc
"escuèlh"-noun-oc "escull"-noun-ca
"escull"-noun-ca "escuèlh"-noun-oc
"pacte"-noun-ca "pacte"-noun-oc
"pacte"-noun-oc "pacte"-noun-ca
"assegurança"-noun-oc "assegurança"-noun-ca
"assegurança"-noun-ca "assegurança"-noun-oc
"continent"-noun-oc "continent"-noun-ca
"continent"-noun-ca "continent"-noun-oc
"administrador"-noun-oc "administrador"-noun-ca
"administrador"-noun-ca "administrador"-noun-oc
"mecanisme"-noun-oc "mecanisme"-noun-ca
"mecanisme"-noun-ca "mecanisme"-noun-oc
"nombre"-noun-oc "nombre"-noun-ca
"nombre"-noun-ca "nombre"-noun-oc
"vapor"-noun-oc "vapor"-noun-ca
"vapor"-noun-ca "vapor"-noun-oc
"curiositat"-noun-ca "curiositat"-noun-oc
"curiositat"-noun-oc "curiositat"-noun-ca
"Sierra"-properNoun-ca "Sierra"-noun-oc
"Sierra"-properNoun-ca "Sierra"-properNoun-oc
"Sierra"-noun-oc "Sierra"-properNoun-ca
"Sierra"-noun-oc "Sierra"-noun-ca
"Sierra"-properNoun-oc "Sierra"-properNoun-ca
"Sierra"-properNoun-oc "Sierra"-noun-ca
"Sierra"-noun-ca "Sierra"-noun-oc
"Sierra"-noun-ca "Sierra"-properNoun-oc
"magistrat"-noun-oc "magistrat"-noun-ca
"magistrat"-noun-ca "magistrat"-noun-oc
"desequilibri"-noun-oc "desequilibri"-noun-ca
"desequilibri"-noun-ca "desequilibri"-noun-oc
"autor"-noun-oc "autor"-noun-ca
"autor"-noun-ca "autor"-noun-oc
"politician"-noun-oc "polític"-noun-ca
"polític"-noun-ca "politician"-noun-oc
"plor"-noun-oc "plor"-noun-ca
"plor"-noun-ca "plor"-noun-oc
"electricitat"-noun-oc "electricitat"-noun-ca
"electricitat"-noun-ca "electricitat"-noun-oc
"sector"-noun-oc "sector"-noun-ca
"sector"-noun-ca "sector"-noun-oc
"elector"-noun-oc "elector"-noun-ca
"elector"-noun-ca "elector"-noun-oc
"cine"-noun-ca "cine"-noun-oc
"cine"-noun-oc "cine"-noun-ca
"taxi"-noun-oc "taxi"-noun-ca
"taxi"-noun-ca "taxi"-noun-oc
"sufix"-noun-oc "sufix"-noun-ca
"sufix"-noun-ca "sufix"-noun-oc
"cicle"-noun-oc "cicle"-noun-ca
"cicle"-noun-ca "cicle"-noun-oc
"autonomia"-noun-oc "autonomia"-noun-ca
"autonomia"-noun-ca "autonomia"-noun-oc
"programa"-noun-oc "programa"-noun-ca
"programa"-noun-ca "programa"-noun-oc
"arc"-noun-oc "arc"-noun-ca
"arc"-noun-ca "arc"-noun-oc
"tronc"-noun-oc "tronc"-noun-ca
"tronc"-noun-ca "tronc"-noun-oc
"article"-noun-oc "article"-noun-ca
"article"-noun-ca "article"-noun-oc
"títol"-noun-oc "títol"-noun-ca
"títol"-noun-ca "títol"-noun-oc
"estructura"-noun-oc "estructura"-noun-ca
"estructura"-noun-ca "estructura"-noun-oc
"estima"-noun-oc "estima"-noun-ca
"estima"-noun-ca "estima"-noun-oc
"distància"-noun-oc "distància"-noun-ca
"distància"-noun-ca "distància"-noun-oc
"vigilància"-noun-ca "vigilància"-noun-oc
"vigilància"-noun-oc "vigilància"-noun-ca
"paraula"-noun-oc "paraula"-noun-ca
"paraula"-noun-ca "paraula"-noun-oc
"paraula"-noun-ca "mot"-noun-oc
"mot"-noun-oc "paraula"-noun-ca
"mot"-noun-oc "mot"-noun-ca
"mot"-noun-ca "mot"-noun-oc
"estil"-noun-oc "estil"-noun-ca
"estil"-noun-ca "estil"-noun-oc
"comentari"-noun-ca "comentari"-noun-oc
"comentari"-noun-oc "comentari"-noun-ca
"barraca"-noun-oc "barraca"-noun-ca
"barraca"-noun-ca "barraca"-noun-oc
"estat"-noun-ca "estat"-noun-oc
"estat"-noun-oc "estat"-noun-ca
"estatut"-noun-oc "estatut"-noun-ca
"estatut"-noun-ca "estatut"-noun-oc
"benefici"-noun-oc "benefici"-noun-ca
"benefici"-noun-ca "benefici"-noun-oc
"possibilitat"-noun-oc "possibilitat"-noun-ca
"possibilitat"-noun-ca "possibilitat"-noun-oc
"comtat"-noun-oc "comtat"-noun-ca
"comtat"-noun-ca "comtat"-noun-oc
"país"-noun-oc "país"-noun-ca
"país"-noun-ca "país"-noun-oc
"bar"-noun-oc "bar"-noun-ca
"bar"-noun-ca "bar"-noun-oc
"calor"-noun-oc "calor"-noun-ca
"calor"-noun-ca "calor"-noun-oc
"equilibri"-noun-oc "equilibri"-noun-ca
"equilibri"-noun-ca "equilibri"-noun-oc
"pagament"-noun-ca "pagament"-noun-oc
"pagament"-noun-oc "pagament"-noun-ca
"residu"-noun-ca "residu"-noun-oc
"residu"-noun-oc "residu"-noun-ca
"oportunitat"-noun-oc "oportunitat"-noun-ca
"oportunitat"-noun-ca "oportunitat"-noun-oc
"cas"-noun-oc "cas"-noun-ca
"cas"-noun-ca "cas"-noun-oc
"autoritat"-noun-oc "autoritat"-noun-ca
"autoritat"-noun-ca "autoritat"-noun-oc
"alfabet"-noun-oc "alfabet"-noun-ca
"alfabet"-noun-ca "alfabet"-noun-oc
"objectiu"-noun-oc "objectiu"-noun-ca
"objectiu"-noun-ca "objectiu"-noun-oc
"personalitat"-noun-oc "personalitat"-noun-ca
"personalitat"-noun-ca "personalitat"-noun-oc
"volum"-noun-oc "volum"-noun-ca
"volum"-noun-ca "volum"-noun-oc
"revista"-noun-ca "revista"-noun-oc
"revista"-noun-oc "revista"-noun-ca
"viatge"-noun-oc "viatge"-noun-ca
"viatge"-noun-ca "viatge"-noun-oc
"corrent"-noun-oc "corrent"-noun-ca
"corrent"-noun-ca "corrent"-noun-oc
"formulari"-noun-oc "formulari"-noun-ca
"formulari"-noun-ca "formulari"-noun-oc
"temple"-noun-oc "temple"-noun-ca
"temple"-noun-ca "temple"-noun-oc
"contracte"-noun-oc "contracte"-noun-ca
"contracte"-noun-ca "contracte"-noun-oc
"vestigi"-noun-ca "vestigi"-noun-oc
"vestigi"-noun-oc "vestigi"-noun-ca
"barca"-noun-oc "barca"-noun-ca
"barca"-noun-oc "llanxa"-noun-ca
"barca"-noun-ca "barca"-noun-oc
"llanxa"-noun-ca "barca"-noun-oc
"estudi"-noun-oc "estudi"-noun-ca
"estudi"-noun-ca "estudi"-noun-oc
"dificultat"-noun-ca "dificultat"-noun-oc
"dificultat"-noun-oc "dificultat"-noun-ca
"puig"-noun-ca "puèg"-noun-oc
"puèg"-noun-oc "puig"-noun-ca
"disciplina"-noun-oc "disciplina"-noun-ca
"disciplina"-noun-ca "disciplina"-noun-oc
"expedient"-noun-oc "expedient"-noun-ca
"expedient"-noun-ca "expedient"-noun-oc
"apartament"-noun-ca "apartament"-noun-oc
"apartament"-noun-oc "apartament"-noun-ca
"planta"-noun-ca "planta"-noun-oc
"planta"-noun-oc "planta"-noun-ca
"casc"-noun-oc "casc"-noun-ca
"casc"-noun-ca "casc"-noun-oc
"clau"-noun-ca "clau"-noun-oc
"clau"-noun-oc "clau"-noun-ca
"mercat"-noun-oc "mercat"-noun-ca
"mercat"-noun-ca "mercat"-noun-oc
"botiga"-noun-ca "botiga"-noun-oc
"botiga"-noun-oc "botiga"-noun-ca
"deteriorament"-noun-oc "desperfecte"-noun-ca
"desperfecte"-noun-ca "deteriorament"-noun-oc
"accident"-noun-oc "accident"-noun-ca
"accident"-noun-ca "accident"-noun-oc
"policia"-noun-oc "mosso d'esquadra"-noun-ca
"mosso d'esquadra"-noun-ca "policia"-noun-oc
"agent"-noun-oc "agent"-noun-ca
"agent"-noun-ca "agent"-noun-oc
"oncle"-noun-oc "oncle"-noun-ca
"oncle"-noun-ca "oncle"-noun-oc
"antecessor"-noun-ca "predecessor"-noun-oc
"predecessor"-noun-oc "antecessor"-noun-ca
"predecessor"-noun-oc "predecessor"-noun-ca
"predecessor"-noun-ca "predecessor"-noun-oc
"promotor"-noun-oc "promotor"-noun-ca
"promotor"-noun-ca "promotor"-noun-oc
"gamma"-noun-oc "gamma"-noun-ca
"gamma"-noun-ca "gamma"-noun-oc
"bèstia"-noun-oc "bèstia"-noun-ca
"bèstia"-noun-ca "bèstia"-noun-oc
"organisme"-noun-oc "organisme"-noun-ca
"organisme"-noun-ca "organisme"-noun-oc
"aventura"-noun-oc "aventura"-noun-ca
"aventura"-noun-ca "aventura"-noun-oc
"ambient"-noun-oc "ambient"-noun-ca
"ambient"-noun-ca "ambient"-noun-oc
"especialista"-noun-oc "especialista"-noun-ca
"especialista"-noun-ca "especialista"-noun-oc
"gentilesa"-noun-oc "gentilesa"-noun-ca
"gentilesa"-noun-ca "gentilesa"-noun-oc
"espasa"-noun-oc "espasa"-noun-ca
"espasa"-noun-ca "espasa"-noun-oc
"planura"-noun-ca "plana"-noun-oc
"plana"-noun-oc "planura"-noun-ca
"pati"-noun-oc "pati"-noun-ca
"pati"-noun-ca "pati"-noun-oc
"parlament"-noun-oc "parlament"-noun-ca
"parlament"-noun-ca "parlament"-noun-oc
"camisa"-noun-oc "camisa"-noun-ca
"camisa"-noun-ca "camisa"-noun-oc
"refugi"-noun-ca "refugi"-noun-oc
"refugi"-noun-oc "refugi"-noun-ca
"cobertura"-noun-oc "cobertura"-noun-ca
"cobertura"-noun-ca "cobertura"-noun-oc
"capacitat"-noun-oc "capacitat"-noun-ca
"capacitat"-noun-ca "capacitat"-noun-oc
"procediment"-noun-oc "procediment"-noun-ca
"procediment"-noun-ca "procediment"-noun-oc
"plet"-noun-ca "litigi"-noun-oc
"litigi"-noun-oc "plet"-noun-ca
"acte"-noun-oc "acte"-noun-ca
"acte"-noun-ca "acte"-noun-oc
"monitor"-noun-oc "monitor"-noun-ca
"monitor"-noun-ca "monitor"-noun-oc
"comandament"-noun-oc "comandament"-noun-ca
"comandament"-noun-ca "comandament"-noun-oc
"varietat"-noun-ca "varietat"-noun-oc
"varietat"-noun-oc "varietat"-noun-ca
"campana"-noun-oc "campana"-noun-ca
"campana"-noun-ca "campana"-noun-oc
"copa"-noun-oc "copa"-noun-ca
"copa"-noun-ca "copa"-noun-oc
"pausa"-noun-oc "pausa"-noun-ca
"pausa"-noun-ca "pausa"-noun-oc
"marc"-noun-oc "marc"-noun-ca
"marc"-noun-ca "marc"-noun-oc
"pòdium"-noun-oc "podi"-noun-ca
"pòdium"-noun-oc "pòdium"-noun-ca
"podi"-noun-ca "pòdium"-noun-oc
"pòdium"-noun-ca "pòdium"-noun-oc
"editor"-noun-oc "editor"-noun-ca
"editor"-noun-ca "editor"-noun-oc
"unitat"-noun-oc "unitat"-noun-ca
"unitat"-noun-ca "unitat"-noun-oc
"sindicat"-noun-oc "sindicat"-noun-ca
"sindicat"-noun-ca "sindicat"-noun-oc
"societat"-noun-oc "societat"-noun-ca
"societat"-noun-ca "societat"-noun-oc
"altitud"-noun-oc "altitud"-noun-ca
"altitud"-noun-ca "altitud"-noun-oc
"professor"-noun-ca "professor"-noun-oc
"professor"-noun-oc "professor"-noun-ca
"ministre"-noun-oc "ministre"-noun-ca
"ministre"-noun-ca "ministre"-noun-oc
"director"-noun-ca "director"-noun-oc
"director"-noun-oc "director"-noun-ca
"durada"-noun-oc "durada"-noun-ca
"durada"-noun-oc "duració"-noun-ca
"durada"-noun-ca "durada"-noun-oc
"duració"-noun-ca "durada"-noun-oc
"interès"-noun-oc "interès"-noun-ca
"interès"-noun-ca "interès"-noun-oc
"seguretat"-noun-ca "seguretat"-noun-oc
"seguretat"-noun-oc "seguretat"-noun-ca
"plat"-noun-oc "plat"-noun-ca
"plat"-noun-ca "plat"-noun-oc
"itinerari"-noun-oc "itinerari"-noun-ca
"itinerari"-noun-ca "itinerari"-noun-oc
"plaça"-noun-oc "plaça"-noun-ca
"plaça"-noun-ca "plaça"-noun-oc
"comportament"-noun-oc "comportament"-noun-ca
"comportament"-noun-ca "comportament"-noun-oc
"persona"-noun-oc "persona"-noun-ca
"persona"-noun-ca "persona"-noun-oc
"contacte"-noun-ca "contacte"-noun-oc
"contacte"-noun-oc "contacte"-noun-ca
"inici"-noun-oc "inici"-noun-ca
"inici"-noun-oc "començament"-noun-ca
"inici"-noun-ca "inici"-noun-oc
"inici"-noun-ca "començament"-noun-oc
"començament"-noun-ca "inici"-noun-oc
"començament"-noun-ca "començament"-noun-oc
"començament"-noun-oc "inici"-noun-ca
"començament"-noun-oc "començament"-noun-ca
"boca"-noun-oc "boca"-noun-ca
"boca"-noun-ca "boca"-noun-oc
"vestit"-noun-oc "vestit"-noun-ca
"vestit"-noun-ca "vestit"-noun-oc
"club"-noun-oc "club"-noun-ca
"club"-noun-ca "club"-noun-oc
"aiguamoll"-noun-ca "sanha"-noun-oc
"sanha"-noun-oc "aiguamoll"-noun-ca
"fortuna"-noun-ca "fortuna"-noun-oc
"fortuna"-noun-oc "fortuna"-noun-ca
"futur"-noun-oc "futur"-noun-ca
"futur"-noun-ca "futur"-noun-oc
"proximitat"-noun-ca "proximitat"-noun-oc
"proximitat"-noun-oc "proximitat"-noun-ca
"conformitat"-noun-oc "conformitat"-noun-ca
"conformitat"-noun-ca "conformitat"-noun-oc
"fragment"-noun-ca "fragment"-noun-oc
"fragment"-noun-oc "fragment"-noun-ca
"taula"-noun-ca "taula"-noun-oc
"taula"-noun-oc "taula"-noun-ca
"taula"-noun-oc "post"-noun-ca
"post"-noun-ca "taula"-noun-oc
"lector"-noun-oc "lector"-noun-ca
"lector"-noun-ca "lector"-noun-oc
"signe"-noun-oc "signe"-noun-ca
"signe"-noun-ca "signe"-noun-oc
"aire"-noun-oc "aire"-noun-ca
"aire"-noun-ca "aire"-noun-oc
"part"-noun-oc "part"-noun-ca
"part"-noun-ca "part"-noun-oc
"membre"-noun-oc "membre"-noun-ca
"membre"-noun-ca "membre"-noun-oc
"accent"-noun-oc "accent"-noun-ca
"accent"-noun-ca "accent"-noun-oc
"inclinacion"-noun-oc "inclinació"-noun-ca
"inclinació"-noun-ca "inclinacion"-noun-oc
"prestatge"-noun-ca "prestatge"-noun-oc
"prestatge"-noun-oc "prestatge"-noun-ca
"motiu"-noun-oc "motiu"-noun-ca
"motiu"-noun-ca "motiu"-noun-oc
"paret"-noun-oc "paret"-noun-ca
"paret"-noun-ca "paret"-noun-oc
"argument"-noun-oc "argument"-noun-ca
"argument"-noun-ca "argument"-noun-oc
"rescat"-noun-ca "rescat"-noun-oc
"rescat"-noun-oc "rescat"-noun-ca
"cinta"-noun-oc "cinta"-noun-ca
"cinta"-noun-ca "cinta"-noun-oc
"etiqueta"-noun-oc "etiqueta"-noun-ca
"etiqueta"-noun-ca "etiqueta"-noun-oc
"camp"-noun-ca "camp"-noun-oc
"camp"-noun-oc "camp"-noun-ca
"matís"-noun-oc "matís"-noun-ca
"matís"-noun-ca "matís"-noun-oc
"exercici"-noun-oc "exercici"-noun-ca
"exercici"-noun-ca "exercici"-noun-oc
"amor"-noun-oc "amor"-noun-ca
"amor"-noun-ca "amor"-noun-oc
"servidor"-noun-oc "servent"-noun-ca
"servidor"-noun-oc "servidor"-noun-ca
"servent"-noun-ca "servidor"-noun-oc
"servidor"-noun-ca "servidor"-noun-oc
"armari"-noun-oc "armari"-noun-ca
"armari"-noun-ca "armari"-noun-oc
"departament"-noun-ca "departament"-noun-oc
"departament"-noun-oc "departament"-noun-ca
"complement"-noun-oc "complement"-noun-ca
"complement"-noun-ca "complement"-noun-oc
"factura"-noun-oc "factura"-noun-ca
"factura"-noun-ca "factura"-noun-oc
"avenc"-noun-oc "avenc"-noun-ca
"avenc"-noun-ca "avenc"-noun-oc
"massa"-noun-oc "massa"-noun-ca
"massa"-noun-ca "massa"-noun-oc
"pasta"-noun-ca "pasta"-noun-oc
"pasta"-noun-oc "pasta"-noun-ca
"categoria"-noun-oc "categoria"-noun-ca
"categoria"-noun-ca "categoria"-noun-oc
"document"-noun-oc "document"-noun-ca
"document"-noun-ca "document"-noun-oc
"figura"-noun-oc "figura"-noun-ca
"figura"-noun-ca "figura"-noun-oc
"registre"-noun-oc "registre"-noun-ca
"registre"-noun-ca "registre"-noun-oc
"inventari"-noun-oc "inventari"-noun-ca
"inventari"-noun-ca "inventari"-noun-oc
"publicitat"-noun-ca "publicitat"-noun-oc
"publicitat"-noun-oc "publicitat"-noun-ca
"ritme"-noun-oc "ritme"-noun-ca
"ritme"-noun-ca "ritme"-noun-oc
"compliment"-noun-oc "compliment"-noun-ca
"compliment"-noun-ca "compliment"-noun-oc
"prejudici"-noun-oc "prejudici"-noun-ca
"prejudici"-noun-ca "prejudici"-noun-oc
"facultat"-noun-ca "facultat"-noun-oc
"facultat"-noun-oc "facultat"-noun-ca
"gràcia"-noun-oc "gràcia"-noun-ca
"gràcia"-noun-ca "gràcia"-noun-oc
"escut"-noun-oc "escut"-noun-ca
"escut"-noun-ca "escut"-noun-oc
"passat"-noun-oc "passat"-noun-ca
"passat"-noun-oc "pretèrit"-noun-ca
"passat"-noun-ca "passat"-noun-oc
"pretèrit"-noun-ca "passat"-noun-oc
"sac"-noun-oc "sac"-noun-ca
"sac"-noun-ca "sac"-noun-oc
"sentiment"-noun-oc "sentiment"-noun-ca
"sentiment"-noun-ca "sentiment"-noun-oc
"centre"-noun-oc "centre"-noun-ca
"centre"-noun-ca "centre"-noun-oc
"element"-noun-oc "element"-noun-ca
"element"-noun-ca "element"-noun-oc
"identificar"-verb-oc "identificar"-verb-ca
"identificar"-verb-ca "identificar"-verb-oc
"interessar"-verb-oc "interessar"-verb-ca
"interessar"-verb-ca "interessar"-verb-oc
"culte"-adjective-oc "culte"-adjective-ca
"culte"-adjective-ca "culte"-adjective-oc
"representatiu"-adjective-oc "representatiu"-adjective-ca
"representatiu"-adjective-ca "representatiu"-adjective-oc
"votar"-verb-oc "votar"-verb-ca
"votar"-verb-ca "votar"-verb-oc
"respectiu"-adjective-oc "respectiu"-adjective-ca
"respectiu"-adjective-ca "respectiu"-adjective-oc
"relatiu"-adjective-oc "relatiu"-adjective-ca
"relatiu"-adjective-ca "relatiu"-adjective-oc
"immobiliari"-adjective-oc "immobiliari"-adjective-ca
"immobiliari"-adjective-ca "immobiliari"-adjective-oc
"nociu"-adjective-oc "nociu"-adjective-ca
"nociu"-adjective-ca "nociu"-adjective-oc
"grotesc"-adjective-ca "grotesc"-adjective-oc
"grotesc"-adjective-oc "grotesc"-adjective-ca
"citar"-verb-oc "citar"-verb-ca
"citar"-verb-ca "citar"-verb-oc
"viatjar"-verb-oc "viatjar"-verb-ca
"viatjar"-verb-ca "viatjar"-verb-oc
"acceptar"-verb-ca "acceptar"-verb-oc
"acceptar"-verb-oc "acceptar"-verb-ca
"plantar"-verb-oc "plantar"-verb-ca
"plantar"-verb-ca "plantar"-verb-oc
"reglamentar"-verb-ca "reglamentar"-verb-oc
"reglamentar"-verb-oc "reglamentar"-verb-ca
"evacuar"-verb-oc "evacuar"-verb-ca
"evacuar"-verb-ca "evacuar"-verb-oc
"imperatiu"-adjective-oc "imperatiu"-adjective-ca
"imperatiu"-adjective-ca "imperatiu"-adjective-oc
"sanitari"-adjective-oc "sanitari"-adjective-ca
"sanitari"-adjective-ca "sanitari"-adjective-oc
"costar"-verb-ca "costar"-verb-oc
