"confortablement"-adverb-fr "komforte"-adverb-eo
"kisi"-verb-eo "embrasser"-verb-fr
"brakumi"-verb-eo "embrasser"-verb-fr
"malkonfirmi"-verb-eo "démentir"-verb-fr
"démentir"-verb-fr "malkonfirmi"-verb-eo
"senkreditigi"-verb-eo "discréditer"-verb-fr
"discréditer"-verb-fr "senkreditigi"-verb-eo
"malkondamni"-verb-eo "acquitter"-verb-fr
"acquitter"-verb-fr "malkondamni"-verb-eo
"preĝi"-verb-eo "supplier"-verb-fr
"supplier"-verb-fr "preĝi"-verb-eo
"supplier"-verb-fr "petegi"-verb-eo
"petegi"-verb-eo "supplier"-verb-fr
"rekomendi"-verb-eo "recommander"-verb-fr
"recommander"-verb-fr "rekomendi"-verb-eo
"favorata"-adjective-eo "favori"-adjective-fr
"favori"-adjective-fr "favorata"-adjective-eo
"dubi"-verb-eo "douter"-verb-fr
"douter"-verb-fr "dubi"-verb-eo
"riski"-verb-eo "risquer"-verb-fr
"risquer"-verb-fr "riski"-verb-eo
"produkti"-verb-eo "produire"-verb-fr
"produire"-verb-fr "produkti"-verb-eo
"krei"-verb-eo "créer"-verb-fr
"créer"-verb-fr "krei"-verb-eo
"intermédiaire"-adjective-fr "intera"-adjective-eo
"intera"-adjective-eo "intermédiaire"-adjective-fr
"praktika"-adjective-eo "pratique"-adjective-fr
"pratique"-adjective-fr "praktika"-adjective-eo
"moindre"-adjective-fr "pli malgranda"-adjective-eo
"pli malgranda"-adjective-eo "moindre"-adjective-fr
"civitana"-adjective-eo "civique"-adjective-fr
"civique"-adjective-fr "civitana"-adjective-eo
"mûr"-adjective-fr "maturaĝa"-adjective-eo
"maturaĝa"-adjective-eo "mûr"-adjective-fr
"kulpigi"-verb-eo "blâmer"-verb-fr
"blâmer"-verb-fr "kulpigi"-verb-eo
"kritiki"-verb-eo "critiquer"-verb-fr
"critiquer"-verb-fr "kritiki"-verb-eo
"inspiri"-verb-eo "inspirer"-verb-fr
"inspirer"-verb-fr "inspiri"-verb-eo
"ĝustigi"-verb-eo "rectifier"-verb-fr
"rectifier"-verb-fr "ĝustigi"-verb-eo
"réhabiliter"-verb-fr "rekapabligi"-verb-eo
"rekapabligi"-verb-eo "réhabiliter"-verb-fr
"humide"-adjective-fr "malseketa"-adjective-eo
"malseketa"-adjective-eo "humide"-adjective-fr
"harmoniigi"-verb-eo "harmoniser"-verb-fr
"harmoniser"-verb-fr "harmoniigi"-verb-eo
"indépendance"-noun-fr "sendependiĝo"-noun-eo
"sendependiĝo"-noun-eo "indépendance"-noun-fr
"connotation"-noun-fr "konotacio"-noun-eo
"konotacio"-noun-eo "connotation"-noun-fr
"parité"-noun-fr "alparo"-noun-eo
"alparo"-noun-eo "parité"-noun-fr
"Romain"-properNoun-eo "Romain"-noun-fr
"Romain"-noun-fr "Romain"-properNoun-eo
"Romain"-noun-fr "Romain"-noun-eo
"Romain"-noun-eo "Romain"-noun-fr
"aŭdado"-noun-eo "audition"-noun-fr
"audition"-noun-fr "aŭdado"-noun-eo
"vidéo"-noun-fr "video"-noun-eo
"video"-noun-eo "vidéo"-noun-fr
"liquide"-noun-fr "likvo"-noun-eo
"likvo"-noun-eo "liquide"-noun-fr
"éloignement"-noun-fr "malproksimiĝo"-noun-eo
"éloignement"-noun-fr "malproksimigo"-noun-eo
"malproksimiĝo"-noun-eo "éloignement"-noun-fr
"malproksimigo"-noun-eo "éloignement"-noun-fr
"konspiro"-noun-eo "conspiration"-noun-fr
"conspiration"-noun-fr "konspiro"-noun-eo
"krizokazo"-noun-eo "émergence"-noun-fr
"émergence"-noun-fr "krizokazo"-noun-eo
"réparation"-noun-fr "reparacio"-noun-eo
"reparacio"-noun-eo "réparation"-noun-fr
"église"-noun-fr "kirko"-noun-eo
"kirko"-noun-eo "église"-noun-fr
"basket-ball"-noun-fr "korbopilko"-noun-eo
"korbopilko"-noun-eo "basket-ball"-noun-fr
"match"-noun-fr "matĉo"-noun-eo
"matĉo"-noun-eo "match"-noun-fr
"matĉo"-noun-eo "parti"-noun-fr
"parti"-noun-fr "matĉo"-noun-eo
"interpretado"-noun-eo "interprétation"-noun-fr
"interprétation"-noun-fr "interpretado"-noun-eo
"téléchargement"-noun-fr "elŝuto"-noun-eo
"elŝuto"-noun-eo "téléchargement"-noun-fr
"commérage"-noun-fr "klaĉado"-noun-eo
"klaĉado"-noun-eo "commérage"-noun-fr
"reguligo"-noun-eo "régulation"-noun-fr
"régulation"-noun-fr "reguligo"-noun-eo
"régulation"-noun-fr "reguliĝo"-noun-eo
"reguliĝo"-noun-eo "régulation"-noun-fr
"tante"-noun-fr "onklino"-noun-eo
"onklino"-noun-eo "tante"-noun-fr
"représentation"-noun-fr "reprezento"-noun-eo
"reprezento"-noun-eo "représentation"-noun-fr
"trejniĝo"-noun-eo "entraînement"-noun-fr
"entraînement"-noun-fr "trejniĝo"-noun-eo
"chasse"-noun-fr "ĉasado"-noun-eo
"ĉasado"-noun-eo "chasse"-noun-fr
"doyen"-noun-fr "dojeno"-noun-eo
"dojeno"-noun-eo "doyen"-noun-fr
"véhicule"-noun-fr "vehiklo"-noun-eo
"vehiklo"-noun-eo "véhicule"-noun-fr
"médicament"-noun-fr "farmaciaĵo"-noun-eo
"farmaciaĵo"-noun-eo "médicament"-noun-fr
"restaŭrado"-noun-eo "restauration"-noun-fr
"restauration"-noun-fr "restaŭrado"-noun-eo
"pumpilo"-noun-eo "bombe"-noun-fr
"bombe"-noun-fr "pumpilo"-noun-eo
"approximation"-noun-fr "alproksimigo"-noun-eo
"alproksimigo"-noun-eo "approximation"-noun-fr
"poentaro"-noun-eo "ponctuation"-noun-fr
"ponctuation"-noun-fr "poentaro"-noun-eo
"prerogativo"-noun-eo "prérogative"-noun-fr
"prérogative"-noun-fr "prerogativo"-noun-eo
"malfacilo"-noun-eo "difficulté"-noun-fr
"difficulté"-noun-fr "malfacilo"-noun-eo
"difficulté"-noun-fr "malfacileco"-noun-eo
"malfacileco"-noun-eo "difficulté"-noun-fr
"incapacité"-noun-fr "malkapablo"-noun-eo
"malkapablo"-noun-eo "incapacité"-noun-fr
"servuto"-noun-eo "servitude"-noun-fr
"servitude"-noun-fr "servuto"-noun-eo
"voĉdonanto"-noun-eo "électeur"-noun-fr
"électeur"-noun-fr "voĉdonanto"-noun-eo
"particule"-noun-fr "partikulo"-noun-eo
"particule"-noun-fr "partiklo"-noun-eo
"partikulo"-noun-eo "particule"-noun-fr
"partiklo"-noun-eo "particule"-noun-fr
"manque"-noun-fr "malesto"-noun-eo
"malesto"-noun-eo "manque"-noun-fr
"exploitation"-noun-fr "ekspluato"-noun-eo
"ekspluato"-noun-eo "exploitation"-noun-fr
"proprigo"-noun-eo "appropriation"-noun-fr
"appropriation"-noun-fr "proprigo"-noun-eo
"charge"-noun-fr "ŝarĝo"-noun-eo
"ŝarĝo"-noun-eo "charge"-noun-fr
"alĝustigo"-noun-eo "ajustement"-noun-fr
"ajustement"-noun-fr "alĝustigo"-noun-eo
"graduation"-noun-fr "gradigo"-noun-eo
"gradigo"-noun-eo "graduation"-noun-fr
"promotion"-noun-fr "stimulado"-noun-eo
"stimulado"-noun-eo "promotion"-noun-fr
"suggestion"-noun-fr "sugestio"-noun-eo
"sugestio"-noun-eo "suggestion"-noun-fr
"signature"-noun-fr "signaturo"-noun-eo
"signaturo"-noun-eo "signature"-noun-fr
"élection"-noun-fr "elektado"-noun-eo
"elektado"-noun-eo "élection"-noun-fr
"office"-noun-fr "metio"-noun-eo
"office"-noun-fr "entreprenejo"-noun-eo
"metio"-noun-eo "office"-noun-fr
"metio"-noun-eo "métier"-noun-fr
"entreprenejo"-noun-eo "office"-noun-fr
"entreprenejo"-noun-eo "bureau"-noun-fr
"bureau"-noun-fr "entreprenejo"-noun-eo
"métier"-noun-fr "metio"-noun-eo
"vision"-noun-fr "vizio"-noun-eo
"vizio"-noun-eo "vision"-noun-fr
"séparation"-noun-fr "disiĝo"-noun-eo
"disiĝo"-noun-eo "séparation"-noun-fr
"liveraĵo"-noun-eo "livraison"-noun-fr
"livraison"-noun-fr "liveraĵo"-noun-eo
"livraison"-noun-fr "liverado"-noun-eo
"livraison"-noun-fr "livero"-noun-eo
"liverado"-noun-eo "livraison"-noun-fr
"livero"-noun-eo "livraison"-noun-fr
"accent"-noun-fr "akĉento"-noun-eo
"akĉento"-noun-eo "accent"-noun-fr
"obstacle"-noun-fr "tubero"-noun-eo
"tubero"-noun-eo "obstacle"-noun-fr
"logement"-noun-fr "gastigado"-noun-eo
"gastigado"-noun-eo "logement"-noun-fr
"gastigado"-noun-eo "hébergement"-noun-fr
"hébergement"-noun-fr "gastigado"-noun-eo
"recherche"-noun-fr "serĉado"-noun-eo
"recherche"-noun-fr "serĉo"-noun-eo
"serĉado"-noun-eo "recherche"-noun-fr
"serĉo"-noun-eo "recherche"-noun-fr
"serĉo"-noun-eo "quête"-noun-fr
"quête"-noun-fr "serĉo"-noun-eo
"gage"-noun-fr "gaĝo"-noun-eo
"gaĝo"-noun-eo "gage"-noun-fr
"diskuto"-noun-eo "discussion"-noun-fr
"diskuto"-noun-eo "délibération"-noun-fr
"discussion"-noun-fr "diskuto"-noun-eo
"délibération"-noun-fr "diskuto"-noun-eo
"langue"-noun-fr "parolkapablo"-noun-eo
"parolkapablo"-noun-eo "langue"-noun-fr
"partition"-noun-fr "partituro"-noun-eo
"partituro"-noun-eo "partition"-noun-fr
"siège"-noun-fr "sidloko"-noun-eo
"sidloko"-noun-eo "siège"-noun-fr
"prisonnier"-noun-fr "prizonulo"-noun-eo
"prisonnier"-noun-fr "kaptito"-noun-eo
"prizonulo"-noun-eo "prisonnier"-noun-fr
"kaptito"-noun-eo "prisonnier"-noun-fr
"kalmo"-noun-eo "calme"-noun-fr
"calme"-noun-fr "kalmo"-noun-eo
"reziduo"-noun-eo "résidu"-noun-fr
"résidu"-noun-fr "reziduo"-noun-eo
"résidu"-noun-fr "postrestaĵo"-noun-eo
"postrestaĵo"-noun-eo "résidu"-noun-fr
"postrestaĵo"-noun-eo "déchet"-noun-fr
"déchet"-noun-fr "postrestaĵo"-noun-eo
"fille"-noun-fr "gefiloj"-noun-eo
"gefiloj"-noun-eo "fille"-noun-fr
"gefiloj"-noun-eo "fils"-noun-fr
"fils"-noun-fr "gefiloj"-noun-eo
"créature"-noun-fr "kreitaĵo"-noun-eo
"kreitaĵo"-noun-eo "créature"-noun-fr
"métro"-noun-fr "subtrajno"-noun-eo
"subtrajno"-noun-eo "métro"-noun-fr
"vol"-noun-fr "rabo"-noun-eo
"vol"-noun-fr "ŝtelado"-noun-eo
"rabo"-noun-eo "vol"-noun-fr
"ŝtelado"-noun-eo "vol"-noun-fr
"vito"-noun-eo "vigne"-noun-fr
"vigne"-noun-fr "vito"-noun-eo
"retrovo"-noun-eo "récupération"-noun-fr
"récupération"-noun-fr "retrovo"-noun-eo
"fourchette"-noun-fr "forketo"-noun-eo
"forketo"-noun-eo "fourchette"-noun-fr
"portalo"-noun-eo "portail"-noun-fr
"portail"-noun-fr "portalo"-noun-eo
"amélioration"-noun-fr "pliboniĝo"-noun-eo
"pliboniĝo"-noun-eo "amélioration"-noun-fr
"entrée"-noun-fr "eniro"-noun-eo
"eniro"-noun-eo "entrée"-noun-fr
"discorde"-noun-fr "malkonkordo"-noun-eo
"malkonkordo"-noun-eo "discorde"-noun-fr
"fiancé"-noun-fr "gefianĉoj"-noun-eo
"gefianĉoj"-noun-eo "fiancé"-noun-fr
"loyer"-noun-fr "luado"-noun-eo
"loyer"-noun-fr "lupago"-noun-eo
"luado"-noun-eo "loyer"-noun-fr
"lupago"-noun-eo "loyer"-noun-fr
"étang"-noun-fr "stano"-noun-eo
"stano"-noun-eo "étang"-noun-fr
"feuille"-noun-fr "lameno"-noun-eo
"lameno"-noun-eo "feuille"-noun-fr
"lameno"-noun-eo "lame"-noun-fr
"lame"-noun-fr "lameno"-noun-eo
"enregistrement"-noun-fr "surbendigo"-noun-eo
"surbendigo"-noun-eo "enregistrement"-noun-fr
"sierra"-noun-fr "segilo"-noun-eo
"segilo"-noun-eo "sierra"-noun-fr
"don"-noun-fr "do"-noun-eo
"do"-noun-eo "don"-noun-fr
"persécution"-noun-fr "persekuto"-noun-eo
"persekuto"-noun-eo "persécution"-noun-fr
"persekuto"-noun-eo "poursuite"-noun-fr
"poursuite"-noun-fr "persekuto"-noun-eo
"formiĝo"-noun-eo "formation"-noun-fr
"formation"-noun-fr "formiĝo"-noun-eo
"administrado"-noun-eo "gérance"-noun-fr
"administrado"-noun-eo "gestion"-noun-fr
"gérance"-noun-fr "administrado"-noun-eo
"gestion"-noun-fr "administrado"-noun-eo
"femme"-noun-fr "virino"-noun-eo
"virino"-noun-eo "femme"-noun-fr
"assistant"-noun-fr "ĉeestanto"-noun-eo
"ĉeestanto"-noun-eo "assistant"-noun-fr
"voko"-noun-eo "appel"-noun-fr
"appel"-noun-fr "voko"-noun-eo
"femelle"-noun-fr "femalo"-noun-eo
"femalo"-noun-eo "femelle"-noun-fr
"principe"-noun-fr "principo"-noun-eo
"principo"-noun-eo "principe"-noun-fr
"patrino"-noun-eo "mère"-noun-fr
"mère"-noun-fr "patrino"-noun-eo
"ordination"-noun-fr "ordigo"-noun-eo
"ordigo"-noun-eo "ordination"-noun-fr
"arierulo"-noun-eo "défense"-noun-fr
"défense"-noun-fr "arierulo"-noun-eo
"test"-noun-fr "florpoto"-noun-eo
"florpoto"-noun-eo "test"-noun-fr
"consommation"-noun-fr "konsumo"-noun-eo
"konsumo"-noun-eo "consommation"-noun-fr
"poule"-noun-fr "kokino"-noun-eo
"kokino"-noun-eo "poule"-noun-fr
"kokaĵo"-noun-eo "poulet"-noun-fr
"poulet"-noun-fr "kokaĵo"-noun-eo
"pêle-mêle"-noun-fr "mikskonfuzo"-noun-eo
"mikskonfuzo"-noun-eo "pêle-mêle"-noun-fr
"proklamado"-noun-eo "proclamation"-noun-fr
"proclamation"-noun-fr "proklamado"-noun-eo
"articulation"-noun-fr "artikulacio"-noun-eo
"artikulacio"-noun-eo "articulation"-noun-fr
"caractère"-noun-fr "karaktro"-noun-eo
"karaktro"-noun-eo "caractère"-noun-fr
"aspiration"-noun-fr "aspiro"-noun-eo
"aspiro"-noun-eo "aspiration"-noun-fr
"précipitation"-noun-fr "precipito"-noun-eo
"precipito"-noun-eo "précipitation"-noun-fr
"festado"-noun-eo "célébration"-noun-fr
"célébration"-noun-fr "festado"-noun-eo
"prévention"-noun-fr "prevento"-noun-eo
"prevento"-noun-eo "prévention"-noun-fr
"effondrement"-noun-fr "disfalo"-noun-eo
"disfalo"-noun-eo "effondrement"-noun-fr
"ekskludo"-noun-eo "exclusion"-noun-fr
"exclusion"-noun-fr "ekskludo"-noun-eo
"autorité"-noun-fr "aŭtoritateco"-noun-eo
"aŭtoritateco"-noun-eo "autorité"-noun-fr
"rencontre"-noun-fr "renkontiĝo"-noun-eo
"renkontiĝo"-noun-eo "rencontre"-noun-fr
"implication"-noun-fr "implikiĝo"-noun-eo
"implikiĝo"-noun-eo "implication"-noun-fr
"complication"-noun-fr "komplikaĵo"-noun-eo
"komplikaĵo"-noun-eo "complication"-noun-fr
"développement"-noun-fr "evoluigo"-noun-eo
"evoluigo"-noun-eo "développement"-noun-fr
"impresi"-verb-eo "impressionner"-verb-fr
"impressionner"-verb-fr "impresi"-verb-eo
"trudi"-verb-eo "imposer"-verb-fr
"imposer"-verb-fr "trudi"-verb-eo
"formi"-verb-eo "former"-verb-fr
"former"-verb-fr "formi"-verb-eo
"aĉeti"-verb-eo "acheter"-verb-fr
"acheter"-verb-fr "aĉeti"-verb-eo
"voĉdoni"-verb-eo "voter"-verb-fr
"voter"-verb-fr "voĉdoni"-verb-eo
"antaŭi"-verb-eo "avancer"-verb-fr
"avancer"-verb-fr "antaŭi"-verb-eo
"avancer"-verb-fr "antaŭeniri"-verb-eo
"antaŭeniri"-verb-eo "avancer"-verb-fr
"gratuli"-verb-eo "féliciter"-verb-fr
"féliciter"-verb-fr "gratuli"-verb-eo
"solvable"-adjective-fr "solventa"-adjective-eo
"solventa"-adjective-eo "solvable"-adjective-fr
"fandi"-verb-eo "fondre"-verb-fr
"fondre"-verb-fr "fandi"-verb-eo
"rosti"-verb-eo "rôtir"-verb-fr
"rôtir"-verb-fr "rosti"-verb-eo
"provi"-verb-eo "essayer"-verb-fr
"provi"-verb-eo "prouver"-verb-fr
"essayer"-verb-fr "provi"-verb-eo
"prouver"-verb-fr "provi"-verb-eo
"vidi"-verb-eo "voir"-verb-fr
"voir"-verb-fr "vidi"-verb-eo
"amasser"-verb-fr "amasigi"-verb-eo
"amasigi"-verb-eo "amasser"-verb-fr
"amasigi"-verb-eo "accumuler"-verb-fr
"accumuler"-verb-fr "amasigi"-verb-eo
"trouzi"-verb-eo "abuser"-verb-fr
"abuser"-verb-fr "trouzi"-verb-eo
"malŝpari"-verb-eo "gaspiller"-verb-fr
"gaspiller"-verb-fr "malŝpari"-verb-eo
"deturni"-verb-eo "dévier"-verb-fr
"deturni"-verb-eo "détourner"-verb-fr
"dévier"-verb-fr "deturni"-verb-eo
"détourner"-verb-fr "deturni"-verb-eo
"fragile"-adjective-fr "fragila"-adjective-eo
"fragila"-adjective-eo "fragile"-adjective-fr
"doux"-adjective-fr "malakra"-adjective-eo
"malakra"-adjective-eo "doux"-adjective-fr
"lanĉi"-verb-eo "lancer"-verb-fr
"lancer"-verb-fr "lanĉi"-verb-eo
"lancer"-verb-fr "ĵeti"-verb-eo
"ĵeti"-verb-eo "lancer"-verb-fr
"ĵeti"-verb-eo "jeter"-verb-fr
"jeter"-verb-fr "ĵeti"-verb-eo
"jeter"-verb-fr "elĵeti"-verb-eo
"elĵeti"-verb-eo "jeter"-verb-fr
"eltiri"-verb-eo "extraire"-verb-fr
"extraire"-verb-fr "eltiri"-verb-eo
"kunigi"-verb-eo "joindre"-verb-fr
"joindre"-verb-fr "kunigi"-verb-eo
"enfermer"-verb-fr "fermi"-verb-eo
"fermi"-verb-eo "enfermer"-verb-fr
"fermi"-verb-eo "fermer"-verb-fr
"fermi"-verb-eo "renfermer"-verb-fr
"fermer"-verb-fr "fermi"-verb-eo
"renfermer"-verb-fr "fermi"-verb-eo
"enhavi"-verb-eo "contenir"-verb-fr
"contenir"-verb-fr "enhavi"-verb-eo
"trompi"-verb-eo "tromper"-verb-fr
"tromper"-verb-fr "trompi"-verb-eo
"miksi"-verb-eo "mêler"-verb-fr
"mêler"-verb-fr "miksi"-verb-eo
"nomi"-verb-eo "nommer"-verb-fr
"nommer"-verb-fr "nomi"-verb-eo
"aranĝi"-verb-eo "arranger"-verb-fr
"arranger"-verb-fr "aranĝi"-verb-eo
"teni"-verb-eo "entretenir"-verb-fr
"entretenir"-verb-fr "teni"-verb-eo
"jurer"-verb-fr "ĵuri"-verb-eo
"ĵuri"-verb-eo "jurer"-verb-fr
"attendre"-verb-fr "atendi"-verb-eo
"atendi"-verb-eo "attendre"-verb-fr
"atendi"-verb-eo "espérer"-verb-fr
"espérer"-verb-fr "atendi"-verb-eo
"souhaiter"-verb-fr "deziri"-verb-eo
"deziri"-verb-eo "souhaiter"-verb-fr
"ravi"-verb-eo "charmer"-verb-fr
"charmer"-verb-fr "ravi"-verb-eo
"faible"-adjective-fr "senforta"-adjective-eo
"senforta"-adjective-eo "faible"-adjective-fr
"pli granda"-adjective-eo "majeur"-adjective-fr
"majeur"-adjective-fr "pli granda"-adjective-eo
"vif"-adjective-fr "vivanta"-adjective-eo
"vivanta"-adjective-eo "vif"-adjective-fr
"skui"-verb-eo "secouer"-verb-fr
"secouer"-verb-fr "skui"-verb-eo
"comprendre"-verb-fr "kompreni"-verb-eo
"kompreni"-verb-eo "comprendre"-verb-fr
"provizi"-verb-eo "munir"-verb-fr
"munir"-verb-fr "provizi"-verb-eo
"atteindre"-verb-fr "atingi"-verb-eo
"atingi"-verb-eo "atteindre"-verb-fr
"kapti"-verb-eo "prendre"-verb-fr
"kapti"-verb-eo "attraper"-verb-fr
"kapti"-verb-eo "saisir"-verb-fr
"prendre"-verb-fr "kapti"-verb-eo
"prendre"-verb-fr "preni"-verb-eo
"attraper"-verb-fr "kapti"-verb-eo
"saisir"-verb-fr "kapti"-verb-eo
"saisir"-verb-fr "preni"-verb-eo
"preni"-verb-eo "prendre"-verb-fr
"preni"-verb-eo "saisir"-verb-fr
"klarigi"-verb-eo "expliquer"-verb-fr
"expliquer"-verb-fr "klarigi"-verb-eo
"taksi"-verb-eo "évaluer"-verb-fr
"évaluer"-verb-fr "taksi"-verb-eo
"calculer"-verb-fr "kalkuli"-verb-eo
"kalkuli"-verb-eo "calculer"-verb-fr
"monter"-verb-fr "supreniri"-verb-eo
"supreniri"-verb-eo "monter"-verb-fr
"élever"-verb-fr "levi"-verb-eo
"levi"-verb-eo "élever"-verb-fr
"louer"-verb-fr "lui"-verb-eo
"louer"-verb-fr "laŭdi"-verb-eo
"lui"-verb-eo "louer"-verb-fr
"laŭdi"-verb-eo "louer"-verb-fr
"premplatigi"-verb-eo "écraser"-verb-fr
"écraser"-verb-fr "premplatigi"-verb-eo
"reveni"-verb-eo "retourner"-verb-fr
"retourner"-verb-fr "reveni"-verb-eo
"bati"-verb-eo "battre"-verb-fr
"battre"-verb-fr "bati"-verb-eo
"voler"-verb-fr "ŝteli"-verb-eo
"voler"-verb-fr "flugi"-verb-eo
"ŝteli"-verb-eo "voler"-verb-fr
"flugi"-verb-eo "voler"-verb-fr
"proponi"-verb-eo "offrir"-verb-fr
"offrir"-verb-fr "proponi"-verb-eo
"pagi"-verb-eo "payer"-verb-fr
"payer"-verb-fr "pagi"-verb-eo
"ataki"-verb-eo "attaquer"-verb-fr
"attaquer"-verb-fr "ataki"-verb-eo
"charger"-verb-fr "ŝarĝi"-verb-eo
"ŝarĝi"-verb-eo "charger"-verb-fr
"ordigi"-verb-eo "ranger"-verb-fr
"ordigi"-verb-eo "ordonner"-verb-fr
"ranger"-verb-fr "ordigi"-verb-eo
"ordonner"-verb-fr "ordigi"-verb-eo
"postuli"-verb-eo "réclamer"-verb-fr
"réclamer"-verb-fr "postuli"-verb-eo
"contaminer"-verb-fr "infekti"-verb-eo
"infekti"-verb-eo "contaminer"-verb-fr
"trairi"-verb-eo "parcourir"-verb-fr
"parcourir"-verb-fr "trairi"-verb-eo
"amener"-verb-fr "porti"-verb-eo
"porti"-verb-eo "amener"-verb-fr
"amasa"-adjective-eo "massif"-adjective-fr
"massif"-adjective-fr "amasa"-adjective-eo
"ĝeni"-verb-eo "déranger"-verb-fr
"déranger"-verb-fr "ĝeni"-verb-eo
"trista"-adjective-eo "triste"-adjective-fr
"triste"-adjective-fr "trista"-adjective-eo
"remarquable"-adjective-fr "rimarkinda"-adjective-eo
"rimarkinda"-adjective-eo "remarquable"-adjective-fr
"rimarkinda"-adjective-eo "notable"-adjective-fr
"notable"-adjective-fr "rimarkinda"-adjective-eo
"mirer"-verb-fr "rigardi"-verb-eo
"rigardi"-verb-eo "mirer"-verb-fr
"rigardi"-verb-eo "dévisager"-verb-fr
"rigardi"-verb-eo "regarder"-verb-fr
"dévisager"-verb-fr "rigardi"-verb-eo
"regarder"-verb-fr "rigardi"-verb-eo
"imagi"-verb-eo "imaginer"-verb-fr
"imaginer"-verb-fr "imagi"-verb-eo
"plenigi"-verb-eo "remplir"-verb-fr
"plenigi"-verb-eo "farcir"-verb-fr
"remplir"-verb-fr "plenigi"-verb-eo
"farcir"-verb-fr "plenigi"-verb-eo
"malŝarĝi"-verb-eo "décharger"-verb-fr
"décharger"-verb-fr "malŝarĝi"-verb-eo
"décharger"-verb-fr "elŝuti"-verb-eo
"elŝuti"-verb-eo "décharger"-verb-fr
"klini"-verb-eo "incliner"-verb-fr
"incliner"-verb-fr "klini"-verb-eo
"soutenir"-verb-fr "apogi"-verb-eo
"soutenir"-verb-fr "subteni"-verb-eo
"apogi"-verb-eo "soutenir"-verb-fr
"subteni"-verb-eo "soutenir"-verb-fr
"tourner"-verb-fr "turni"-verb-eo
"turni"-verb-eo "tourner"-verb-fr
"forcer"-verb-fr "devigi"-verb-eo
"devigi"-verb-eo "forcer"-verb-fr
"différent"-adjective-fr "malegala"-adjective-eo
"malegala"-adjective-eo "différent"-adjective-fr
"variable"-adjective-fr "nekonstanta"-adjective-eo
"nekonstanta"-adjective-eo "variable"-adjective-fr
"montrer"-verb-fr "montri"-verb-eo
"montri"-verb-eo "montrer"-verb-fr
"substreki"-verb-eo "souligner"-verb-fr
"souligner"-verb-fr "substreki"-verb-eo
"enkonduki"-verb-eo "introduire"-verb-fr
"introduire"-verb-fr "enkonduki"-verb-eo
"introduire"-verb-fr "enigi"-verb-eo
"enigi"-verb-eo "introduire"-verb-fr
"anonci"-verb-eo "annoncer"-verb-fr
"anonci"-verb-eo "afficher"-verb-fr
"annoncer"-verb-fr "anonci"-verb-eo
"afficher"-verb-fr "anonci"-verb-eo
"longigi"-verb-eo "allonger"-verb-fr
"allonger"-verb-fr "longigi"-verb-eo
"etendi"-verb-eo "tendre"-verb-fr
"etendi"-verb-eo "étendre"-verb-fr
"tendre"-verb-fr "etendi"-verb-eo
"étendre"-verb-fr "etendi"-verb-eo
"soigner"-verb-fr "kuraci"-verb-eo
