"Aalst"-properNoun-eo "Aalst"-properNoun-fr
"Abymes"-properNoun-eo "Abymes"-properNoun-fr
"Abymes"-properNoun-fr "Abymes"-properNoun-eo
"aĉakaturo"-noun-eo "acciaccatura"-noun-fr
"acciaccatura"-noun-fr "aĉakaturo"-noun-eo
"aceraco"-noun-eo "acéracée"-noun-fr
"acéracée"-noun-fr "aceraco"-noun-eo
"acerba"-adjective-eo "acéré"-adjective-fr
"acerba"-adjective-eo "cinglant"-adjective-fr
"acéré"-adjective-fr "acerba"-adjective-eo
"cinglant"-adjective-fr "acerba"-adjective-eo
"acerbe"-adverb-eo "acerbement"-adverb-fr
"acerbe"-adverb-eo "corrosivement"-adverb-fr
"acerbement"-adverb-fr "acerbe"-adverb-eo
"corrosivement"-adverb-fr "acerbe"-adverb-eo
"corrosivement"-adverb-fr "kaŭstike"-adverb-eo
"kaŭstike"-adverb-eo "corrosivement"-adverb-fr
"acetilo"-noun-eo "acétyle"-noun-fr
"acétyle"-noun-fr "acetilo"-noun-eo
"acipenseredo"-noun-eo "acipenséridé"-noun-fr
"acipenséridé"-noun-fr "acipenseredo"-noun-eo
"acipenserforma"-adjective-eo "acipensériforme"-adjective-fr
"acipensériforme"-adjective-fr "acipenserforma"-adjective-eo
"adaĝe"-adverb-eo "adagio"-adverb-fr
"adagio"-adverb-fr "adaĝe"-adverb-eo
"adianto"-noun-eo "capillaire"-noun-fr
"capillaire"-noun-fr "adianto"-noun-eo
"adjudiki"-verb-eo "faire un appel d'offres"-verb-fr
"adjudiki"-verb-eo "mettre en adjudication"-verb-fr
"faire un appel d'offres"-verb-fr "adjudiki"-verb-eo
"mettre en adjudication"-verb-fr "adjudiki"-verb-eo
"adultado"-noun-eo "cocufiage"-noun-fr
"cocufiage"-noun-fr "adultado"-noun-eo
"aerarmeo"-noun-eo "armée de l'air"-noun-fr
"armée de l'air"-noun-fr "aerarmeo"-noun-eo
"aerkondukilo"-noun-eo "conduit d'aération"-noun-fr
"aerkondukilo"-noun-eo "galerie d'aération"-noun-fr
"conduit d'aération"-noun-fr "aerkondukilo"-noun-eo
"conduit d'aération"-noun-fr "aerokondukilo"-noun-eo
"galerie d'aération"-noun-fr "aerkondukilo"-noun-eo
"galerie d'aération"-noun-fr "aerokondukilo"-noun-eo
"aerokondukilo"-noun-eo "conduit d'aération"-noun-fr
"aerokondukilo"-noun-eo "galerie d'aération"-noun-fr
"aerodinamismo"-noun-eo "aérodynamisme"-noun-fr
"aérodynamisme"-noun-fr "aerodinamismo"-noun-eo
"aeronaŭtike"-adverb-eo "aéronautiquement"-adverb-fr
"aéronautiquement"-adverb-fr "aeronaŭtike"-adverb-eo
"pirate de l'air"-noun-fr "kaperanto"-noun-eo
"kaperanto"-noun-eo "pirate de l'air"-noun-fr
"afara"-adjective-eo "afar"-adjective-fr
"afar"-adjective-fr "afara"-adjective-eo
"afekcie"-adverb-eo "affectivement"-adverb-fr
"affectivement"-adverb-fr "afekcie"-adverb-eo
"affectivement"-adverb-fr "afektive"-adverb-eo
"afektive"-adverb-eo "affectivement"-adverb-fr
"commotionner"-verb-fr "komocii"-verb-eo
"komocii"-verb-eo "commotionner"-verb-fr
"afektulo"-noun-eo "personne affectée"-noun-fr
"afektulo"-noun-eo "poseur"-noun-fr
"personne affectée"-noun-fr "afektulo"-noun-eo
"poseur"-noun-fr "afektulo"-noun-eo
"afera"-adjective-eo "d'affaire"-adjective-fr
"afera"-adjective-eo "de chose"-adjective-fr
"d'affaire"-adjective-fr "afera"-adjective-eo
"de chose"-adjective-fr "afera"-adjective-eo
"aferema"-adjective-eo "affairé"-adjective-fr
"affairé"-adjective-fr "aferema"-adjective-eo
"aferisto"-noun-eo "businessman"-noun-fr
"aferisto"-noun-eo "homme d'affaires"-noun-fr
"aferisto"-noun-eo "business-man"-noun-fr
"businessman"-noun-fr "aferisto"-noun-eo
"homme d'affaires"-noun-fr "aferisto"-noun-eo
"business-man"-noun-fr "aferisto"-noun-eo
"afidedo"-noun-eo "aphidien"-noun-fr
"aphidien"-noun-fr "afidedo"-noun-eo
"afina ebeno"-noun-eo "plan affine"-noun-fr
"plan affine"-noun-fr "afina ebeno"-noun-eo
"afina hiperebeno"-noun-eo "hyperplan affine"-noun-fr
"hyperplan affine"-noun-fr "afina hiperebeno"-noun-eo
"afina rekto"-noun-eo "droite affine"-noun-fr
"droite affine"-noun-fr "afina rekto"-noun-eo
"afina rotacio"-noun-eo "rotation affine"-noun-fr
"rotation affine"-noun-fr "afina rotacio"-noun-eo
"afina spaco"-noun-eo "espace affine"-noun-fr
"espace affine"-noun-fr "afina spaco"-noun-eo
"afina subspaco"-noun-eo "variété affine"-noun-fr
"variété affine"-noun-fr "afina subspaco"-noun-eo
"afiŝebla"-adjective-eo "affichable"-adjective-fr
"affichable"-adjective-fr "afiŝebla"-adjective-eo
"afliktiĝema"-adjective-eo "chagrin"-adjective-fr
"chagrin"-adjective-fr "afliktiĝema"-adjective-eo
"chagrin"-adjective-fr "tristema"-adjective-eo
"tristema"-adjective-eo "chagrin"-adjective-fr
"afrik-usonano"-noun-eo "Afro-américain"-noun-fr
"Afro-américain"-noun-fr "afrik-usonano"-noun-eo
"agaragaro"-noun-eo "agar-agar"-noun-fr
"agar-agar"-noun-fr "agaragaro"-noun-eo
"agarikaco"-noun-eo "agaricacée"-noun-fr
"agaricacée"-noun-fr "agarikaco"-noun-eo
"Agde"-properNoun-eo "Agde"-properNoun-fr
"Agde"-properNoun-fr "Agde"-properNoun-eo
"aĝioti"-verb-eo "agioter"-verb-fr
"agioter"-verb-fr "aĝioti"-verb-eo
"Agnio"-properNoun-eo "Agni"-properNoun-fr
"Agni"-properNoun-fr "Agnio"-properNoun-eo
"agnostike"-adverb-eo "agnostiquement"-adverb-fr
"agnostiquement"-adverb-fr "agnostike"-adverb-eo
"aĥi"-verb-eo "pousser des oh des ah"-verb-fr
"pousser des oh des ah"-verb-fr "aĥi"-verb-eo
"ailanto"-noun-eo "ailante"-noun-fr
"ailante"-noun-fr "ailanto"-noun-eo
"aj"-interjection-eo "aïe"-interjection-fr
"aj"-interjection-eo "zut"-interjection-fr
"aïe"-interjection-fr "aj"-interjection-eo
"aïe"-interjection-fr "ve"-interjection-eo
"zut"-interjection-fr "aj"-interjection-eo
"ve"-interjection-eo "aïe"-interjection-fr
"ajgenspaco"-noun-eo "sous-espace propre"-noun-fr
"sous-espace propre"-noun-fr "ajgenspaco"-noun-eo
"sous-espace propre"-noun-fr "ajgensubspaco"-noun-eo
"ajgensubspaco"-noun-eo "sous-espace propre"-noun-fr
"ajgenvektoro"-noun-eo "vecteur propre"-noun-fr
"vecteur propre"-noun-fr "ajgenvektoro"-noun-eo
"ajurvedo"-noun-eo "ayurveda"-noun-fr
"ayurveda"-noun-fr "ajurvedo"-noun-eo
"akada"-adjective-eo "accadien"-adjective-fr
"akada"-adjective-eo "akkadien"-adjective-fr
"accadien"-adjective-fr "akada"-adjective-eo
"akkadien"-adjective-fr "akada"-adjective-eo
"akadano"-noun-eo "Accadien"-noun-fr
"akadano"-noun-eo "akkadien"-noun-fr
"Accadien"-noun-fr "akadano"-noun-eo
"akkadien"-noun-fr "akadano"-noun-eo
"akado"-noun-eo "acadien"-noun-fr
"acadien"-noun-fr "akado"-noun-eo
"Akado"-properNoun-eo "Accad"-properNoun-fr
"Akado"-properNoun-eo "Agadé"-properNoun-fr
"Akado"-properNoun-eo "Akkadie"-properNoun-fr
"Accad"-properNoun-fr "Akado"-properNoun-eo
"Agadé"-properNoun-fr "Akado"-properNoun-eo
"Akkadie"-properNoun-fr "Akado"-properNoun-eo
"akaĵuo"-noun-eo "pomme de cajou"-noun-fr
"pomme de cajou"-noun-fr "akaĵuo"-noun-eo
"akara"-adjective-eo "acarien"-adjective-fr
"acarien"-adjective-fr "akara"-adjective-eo
"accentué"-adjective-fr "akcentita"-adjective-eo
"akcentita"-adjective-eo "accentué"-adjective-fr
"admissiblement"-adverb-fr "allaseble"-adverb-eo
"allaseble"-adverb-eo "admissiblement"-adverb-fr
"akcia societo"-noun-eo "société par actions"-noun-fr
"société par actions"-noun-fr "akcia societo"-noun-eo
"akcizisto"-noun-eo "accisien"-noun-fr
"akcizisto"-noun-eo "collecteur d'impôts"-noun-fr
"accisien"-noun-fr "akcizisto"-noun-eo
"collecteur d'impôts"-noun-fr "akcizisto"-noun-eo
"akileo"-noun-eo "achillée"-noun-fr
"akileo"-noun-eo "millefeuille"-noun-fr
"achillée"-noun-fr "akileo"-noun-eo
"millefeuille"-noun-fr "akileo"-noun-eo
"akompanate de"-preposition-eo "accompagné de"-preposition-fr
"accompagné de"-preposition-fr "akompanate de"-preposition-eo
"accompagné de"-preposition-fr "en akompano de"-preposition-eo
"accompagné de"-preposition-fr "en kompanio de"-preposition-eo
"en akompano de"-preposition-eo "accompagné de"-preposition-fr
"en kompanio de"-preposition-eo "accompagné de"-preposition-fr
"akompane al"-preposition-eo "de compagnie avec"-preposition-fr
"de compagnie avec"-preposition-fr "akompane al"-preposition-eo
"akordigeble"-adverb-eo "conciliablement"-adverb-fr
"akordigeble"-adverb-eo "compatiblement"-adverb-fr
"conciliablement"-adverb-fr "akordigeble"-adverb-eo
"compatiblement"-adverb-fr "akordigeble"-adverb-eo
"identité de vues"-noun-fr "interakordo"-noun-eo
"identité de vues"-noun-fr "samopinieco"-noun-eo
"interakordo"-noun-eo "identité de vues"-noun-fr
"samopinieco"-noun-eo "identité de vues"-noun-fr
"akreditive"-adverb-eo "accréditivement"-adverb-fr
"accréditivement"-adverb-fr "akreditive"-adverb-eo
"accréditivement"-adverb-fr "kreditige"-adverb-eo
"kreditige"-adverb-eo "accréditivement"-adverb-fr
"akreditivo"-noun-eo "accréditif"-noun-fr
"accréditif"-noun-fr "akreditivo"-noun-eo
"accréditif"-noun-fr "kreditletero"-noun-eo
"kreditletero"-noun-eo "accréditif"-noun-fr
"kreditletero"-noun-eo "lettre de crédit"-noun-fr
"akridedo"-noun-eo "acridien"-noun-fr
"acridien"-noun-fr "akridedo"-noun-eo
"akrilo"-noun-eo "acrylique"-noun-fr
"acrylique"-noun-fr "akrilo"-noun-eo
"akromate"-adverb-eo "achromatiquement"-adverb-fr
"achromatiquement"-adverb-fr "akromate"-adverb-eo
"akroniĉo"-noun-eo "acronychie"-noun-fr
"acronychie"-noun-fr "akroniĉo"-noun-eo
"jouer un rôle"-verb-fr "roli"-verb-eo
"roli"-verb-eo "jouer un rôle"-verb-fr
"roli"-verb-eo "être impliqué dans"-verb-fr
"akumule"-adverb-eo "accumulativement"-adverb-fr
"accumulativement"-adverb-fr "akumule"-adverb-eo
"akumuliĝa"-adjective-eo "d'accumulation"-adjective-fr
"d'accumulation"-adjective-fr "akumuliĝa"-adjective-eo
"akuŝintino"-noun-eo "accouchée"-noun-fr
"accouchée"-noun-fr "akuŝintino"-noun-eo
"akvatinto"-noun-eo "aquatinte"-noun-fr
"aquatinte"-noun-fr "akvatinto"-noun-eo
"akvero"-noun-eo "goutte d'eau"-noun-fr
"goutte d'eau"-noun-fr "akvero"-noun-eo
"akvifoliaco"-noun-eo "aquifoliacée"-noun-fr
"aquifoliacée"-noun-fr "akvifoliaco"-noun-eo
"akvodislimo"-noun-eo "ligne de partage des eaux"-noun-fr
"ligne de partage des eaux"-noun-fr "akvodislimo"-noun-eo
"akvohorloĝo"-noun-eo "clepsydre"-noun-fr
"akvohorloĝo"-noun-eo "horloge à eau"-noun-fr
"clepsydre"-noun-fr "akvohorloĝo"-noun-eo
"clepsydre"-noun-fr "klepsidro"-noun-eo
"horloge à eau"-noun-fr "akvohorloĝo"-noun-eo
"horloge à eau"-noun-fr "klepsidro"-noun-eo
"klepsidro"-noun-eo "clepsydre"-noun-fr
"klepsidro"-noun-eo "horloge à eau"-noun-fr
"akvoimune"-adverb-eo "imperméablement"-adverb-fr
"imperméablement"-adverb-fr "akvoimune"-adverb-eo
"imperméablement"-adverb-fr "nepermeable"-adverb-eo
"imperméablement"-adverb-fr "nesorbeme"-adverb-eo
"imperméablement"-adverb-fr "tralaseme"-adverb-eo
"nepermeable"-adverb-eo "imperméablement"-adverb-fr
"nesorbeme"-adverb-eo "imperméablement"-adverb-fr
"tralaseme"-adverb-eo "imperméablement"-adverb-fr
"akvoimunigo"-noun-eo "imperméabilisation"-noun-fr
"imperméabilisation"-noun-fr "akvoimunigo"-noun-eo
"imperméabilisation"-noun-fr "akvoimuniĝo"-noun-eo
"imperméabilisation"-noun-fr "nepermeabligo"-noun-eo
"imperméabilisation"-noun-fr "nepermeabliĝo"-noun-eo
"akvoimuniĝo"-noun-eo "imperméabilisation"-noun-fr
"nepermeabligo"-noun-eo "imperméabilisation"-noun-fr
"nepermeabliĝo"-noun-eo "imperméabilisation"-noun-fr
"akvokondukilo"-noun-eo "conduite d'eau"-noun-fr
"conduite d'eau"-noun-fr "akvokondukilo"-noun-eo
"akvolilio"-noun-eo "nénuphar"-noun-fr
"nénuphar"-noun-fr "akvolilio"-noun-eo
"akvopipo"-noun-eo "narguilé"-noun-fr
"akvopipo"-noun-eo "pipe à eau"-noun-fr
"narguilé"-noun-fr "akvopipo"-noun-eo
"narguilé"-noun-fr "nargileo"-noun-eo
"pipe à eau"-noun-fr "akvopipo"-noun-eo
"nargileo"-noun-eo "narguilé"-noun-fr
"akvostacio"-noun-eo "château d'eau"-noun-fr
"château d'eau"-noun-fr "akvostacio"-noun-eo
"alaĵo"-noun-eo "adalék"-noun-fr
"alaĵo"-noun-eo "kiegészíté"-noun-fr
"adalék"-noun-fr "alaĵo"-noun-eo
"kiegészíté"-noun-fr "alaĵo"-noun-eo
"Alaska Golfo"-properNoun-eo "Golfe d'Alaska"-properNoun-fr
"Golfe d'Alaska"-properNoun-fr "Alaska Golfo"-properNoun-eo
"alaŭdedo"-noun-eo "alaudidé"-noun-fr
"alaudidé"-noun-fr "alaŭdedo"-noun-eo
"albatredo"-noun-eo "diomédéidé"-noun-fr
"diomédéidé"-noun-fr "albatredo"-noun-eo
"albizio"-noun-eo "albizzia"-noun-fr
"albizio"-noun-eo "albizia"-noun-fr
"albizzia"-noun-fr "albizio"-noun-eo
"albizia"-noun-fr "albizio"-noun-eo
"al kiu"-pronoun-eo "auquel"-pronoun-fr
"auquel"-pronoun-fr "al kiu"-pronoun-eo
"auquel"-pronoun-fr "al kiu"-relativePronoun-eo
"auquel"-pronoun-fr "pri kiu"-pronoun-eo
"auquel"-pronoun-fr "pri kiu"-relativePronoun-eo
"al kiu"-relativePronoun-eo "auquel"-pronoun-fr
"pri kiu"-pronoun-eo "auquel"-pronoun-fr
"pri kiu"-relativePronoun-eo "auquel"-pronoun-fr
"alceo"-noun-eo "rose trémière"-noun-fr
"rose trémière"-noun-fr "alceo"-noun-eo
"rose trémière"-noun-fr "rozalteo"-noun-eo
"rozalteo"-noun-eo "rose trémière"-noun-fr
"alcionedo"-noun-eo "alcédinidé"-noun-fr
"alcédinidé"-noun-fr "alcionedo"-noun-eo
"alda"-adjective-eo "alto"-adjective-fr
"alto"-adjective-fr "alda"-adjective-eo
"alegrete"-adverb-eo "allegretto"-adverb-fr
"allegretto"-adverb-fr "alegrete"-adverb-eo
"alegreto"-noun-eo "allegretto"-noun-fr
"allegretto"-noun-fr "alegreto"-noun-eo
"alemana"-adjective-eo "alamannique"-adjective-fr
"alamannique"-adjective-fr "alemana"-adjective-eo
"alemane"-adverb-eo "alamanniquement"-adverb-fr
"alamanniquement"-adverb-fr "alemane"-adverb-eo
"Alemanio"-properNoun-eo "Alémanie"-properNoun-fr
"Alemanio"-properNoun-eo "Suisse Alémanique"-properNoun-fr
"Alémanie"-properNoun-fr "Alemanio"-properNoun-eo
"Suisse Alémanique"-properNoun-fr "Alemanio"-properNoun-eo
"alemano"-noun-eo "Alémanique"-noun-fr
"alemano"-noun-eo "alamannique"-noun-fr
"Alémanique"-noun-fr "alemano"-noun-eo
"alamannique"-noun-fr "alemano"-noun-eo
"aleuta"-adjective-eo "aléoute"-adjective-fr
"aleuta"-adjective-eo "aléoutien"-adjective-fr
"aléoute"-adjective-fr "aleuta"-adjective-eo
"aléoutien"-adjective-fr "aleuta"-adjective-eo
"Aleutaj Insuloj"-properNoun-eo "îles Aléoutiennes"-properNoun-fr
"îles Aléoutiennes"-properNoun-fr "Aleutaj Insuloj"-properNoun-eo
"aleuto"-noun-eo "Aléoute"-noun-fr
"aleuto"-noun-eo "Aléoutien"-noun-fr
"Aléoute"-noun-fr "aleuto"-noun-eo
"Aléoutien"-noun-fr "aleuto"-noun-eo
"alezi"-verb-eo "aléser"-verb-fr
"aléser"-verb-fr "alezi"-verb-eo
"alezilo"-noun-eo "alésoir"-noun-fr
"alésoir"-noun-fr "alezilo"-noun-eo
"marée montante"-noun-fr "forfluo"-noun-eo
"forfluo"-noun-eo "marée montante"-noun-fr
"alfo"-noun-eo "alfa"-noun-fr
"alfa"-noun-fr "alfo"-noun-eo
"Alfortville"-properNoun-eo "Alfortville"-properNoun-fr
"Alfortville"-properNoun-fr "Alfortville"-properNoun-eo
"algebra dualo"-noun-eo "dual algébrique"-noun-fr
"dual algébrique"-noun-fr "algebra dualo"-noun-eo
"algebra strukturo"-noun-eo "structure algébrique"-noun-fr
"structure algébrique"-noun-fr "algebra strukturo"-noun-eo
"algonkeno"-noun-eo "Algonquien"-noun-fr
"Algonquien"-noun-fr "algonkeno"-noun-eo
"apparentement"-noun-fr "parencigo"-noun-eo
"apparentement"-noun-fr "parenciĝo"-noun-eo
"parencigo"-noun-eo "apparentement"-noun-fr
"parenciĝo"-noun-eo "apparentement"-noun-fr
"aligatoredo"-noun-eo "alligatoridé"-noun-fr
"alligatoridé"-noun-fr "aligatoredo"-noun-eo
"alikvanto"-noun-eo "partie aliquante"-noun-fr
"partie aliquante"-noun-fr "alikvanto"-noun-eo
"alikvoto"-noun-eo "partie aliquote"-noun-fr
"partie aliquote"-noun-fr "alikvoto"-noun-eo
"alimondisma"-adjective-eo "altermondialiste"-adjective-fr
"altermondialiste"-adjective-fr "alimondisma"-adjective-eo
"altermondialiste"-adjective-fr "alimondista"-adjective-eo
"alimondista"-adjective-eo "altermondialiste"-adjective-fr
"alireble"-adverb-eo "accessiblement"-adverb-fr
"accessiblement"-adverb-fr "alireble"-adverb-eo
"alizarbo"-noun-eo "alizier"-noun-fr
"alizier"-noun-fr "alizarbo"-noun-eo
"alizo"-noun-eo "alise"-noun-fr
"alise"-noun-fr "alizo"-noun-eo
"alkado"-noun-eo "alcade"-noun-fr
"alcade"-noun-fr "alkado"-noun-eo
"alkoholaĵo"-noun-eo "spiritueux"-noun-fr
"spiritueux"-noun-fr "alkoholaĵo"-noun-eo
"alpo"-noun-eo "alpage"-noun-fr
"alpage"-noun-fr "alpo"-noun-eo
"altaja lingvo"-noun-eo "langue altaïque"-noun-fr
"langue altaïque"-noun-fr "altaja lingvo"-noun-eo
"belvédère"-noun-fr "belvedero"-noun-eo
"belvedero"-noun-eo "belvédère"-noun-fr
"altefluga"-adjective-eo "de haute volée"-adjective-fr
"de haute volée"-adjective-fr "altefluga"-adjective-eo
"de haute volée"-adjective-fr "altfluga"-adjective-eo
"altfluga"-adjective-eo "de haute volée"-adjective-fr
"alteno"-noun-eo "catastase"-noun-fr
"catastase"-noun-fr "alteno"-noun-eo
"alteo"-noun-eo "althée"-noun-fr
"alteo"-noun-eo "althaea"-noun-fr
"althée"-noun-fr "alteo"-noun-eo
"althaea"-noun-fr "alteo"-noun-eo
"alteregoo"-noun-eo "alter ego"-noun-fr
"alter ego"-noun-fr "alteregoo"-noun-eo
"alterna grupo"-noun-eo "groupe alterné"-noun-fr
"groupe alterné"-noun-fr "alterna grupo"-noun-eo
"marée haute"-noun-fr "basa tajdo"-noun-eo
"marée haute"-noun-fr "malalta tajdo"-noun-eo
"basa tajdo"-noun-eo "marée haute"-noun-fr
"malalta tajdo"-noun-eo "marée haute"-noun-fr
"altocentro"-noun-eo "orthocentre"-noun-fr
"orthocentre"-noun-fr "altocentro"-noun-eo
"alvenanto"-noun-eo "arrivant"-noun-fr
"arrivant"-noun-fr "alvenanto"-noun-eo
"alzacano"-noun-eo "Alsacien"-noun-fr
"Alsacien"-noun-fr "alzacano"-noun-eo
"Alsacien"-noun-fr "elzacano"-noun-eo
"elzacano"-noun-eo "Alsacien"-noun-fr
"amaĵema"-adjective-eo "dragueur"-adjective-fr
"dragueur"-adjective-fr "amaĵema"-adjective-eo
"dragueur"-adjective-fr "flirtema"-adjective-eo
"flirtema"-adjective-eo "dragueur"-adjective-fr
"flirtema"-adjective-eo "flirteur"-adjective-fr
"gigolo"-noun-fr "amoristo"-noun-eo
"gigolo"-noun-fr "amovendisto"-noun-eo
"gigolo"-noun-fr "malĉastisto"-noun-eo
"gigolo"-noun-fr "prostituito"-noun-eo
"amoristo"-noun-eo "gigolo"-noun-fr
"amovendisto"-noun-eo "gigolo"-noun-fr
"malĉastisto"-noun-eo "gigolo"-noun-fr
"prostituito"-noun-eo "gigolo"-noun-fr
"prostituito"-noun-eo "prostitué"-noun-fr
"amarilidaco"-noun-eo "amaryllidacée"-noun-fr
"amaryllidacée"-noun-fr "amarilidaco"-noun-eo
"amarilido"-noun-eo "amaryllis"-noun-fr
"amaryllis"-noun-fr "amarilido"-noun-eo
"amasmurda"-adjective-eo "massacreur"-adjective-fr
"massacreur"-adjective-fr "amasmurda"-adjective-eo
"amasmurdisto"-noun-eo "massacreur"-noun-fr
"massacreur"-noun-fr "amasmurdisto"-noun-eo
"multitude"-noun-fr "milmilo"-noun-eo
"milmilo"-noun-eo "multitude"-noun-fr
"amataĵo"-noun-eo "dada"-noun-fr
"amataĵo"-noun-eo "marotte"-noun-fr
"dada"-noun-fr "amataĵo"-noun-eo
"marotte"-noun-fr "amataĵo"-noun-eo
"marotte"-noun-fr "maroto"-noun-eo
"maroto"-noun-eo "marotte"-noun-fr
"amazoniano"-noun-eo "Amazonien"-noun-fr
"Amazonien"-noun-fr "amazoniano"-noun-eo
"ambaŭdekstra"-adjective-eo "ambidextre"-adjective-fr
"ambidextre"-adjective-fr "ambaŭdekstra"-adjective-eo
"ambaŭseksulo"-noun-eo "androgyne"-noun-fr
"androgyne"-noun-fr "ambaŭseksulo"-noun-eo
"androgyne"-noun-fr "androgino"-noun-eo
"androgino"-noun-eo "androgyne"-noun-fr
"hôpital de campagne"-noun-fr "lazareto"-noun-eo
"lazareto"-noun-eo "hôpital de campagne"-noun-fr
"lazareto"-noun-eo "lazaret"-noun-fr
"amen"-interjection-eo "amen"-interjection-fr
"amen"-interjection-fr "amen"-interjection-eo
"amoniaka"-adjective-eo "ammoniac"-adjective-fr
"ammoniac"-adjective-fr "amoniaka"-adjective-eo
"fille publique"-noun-fr "amovendistino"-noun-eo
"fille publique"-noun-fr "malĉastistino"-noun-eo
"amovendistino"-noun-eo "fille publique"-noun-fr
"malĉastistino"-noun-eo "fille publique"-noun-fr
"relation sexuelle"-noun-fr "seksa kuniĝo"-noun-eo
"seksa kuniĝo"-noun-eo "relation sexuelle"-noun-fr
"ampelopso"-noun-eo "ampélopsis"-noun-fr
"ampelopso"-noun-eo "vigne vierge"-noun-fr
"ampélopsis"-noun-fr "ampelopso"-noun-eo
"vigne vierge"-noun-fr "ampelopso"-noun-eo
"amuseur"-noun-fr "burleskulo"-noun-eo
"burleskulo"-noun-eo "amuseur"-noun-fr
"burleskulo"-noun-eo "comique burlesque"-noun-fr
"analekto"-noun-eo "analectes"-noun-fr
"analekto"-noun-eo "analecta"-noun-fr
"analectes"-noun-fr "analekto"-noun-eo
"analecta"-noun-fr "analekto"-noun-eo
"analfabete"-adverb-eo "analphabètement"-adverb-fr
"analphabètement"-adverb-fr "analfabete"-adverb-eo
"analitika funkcio"-noun-eo "fonction analytique"-noun-fr
"fonction analytique"-noun-fr "analitika funkcio"-noun-eo
"anastigmate"-adverb-eo "anastigmatiquement"-adverb-fr
"anastigmatiquement"-adverb-fr "anastigmate"-adverb-eo
"anastigmato"-noun-eo "anastigmat"-noun-fr
"anastigmat"-noun-fr "anastigmato"-noun-eo
"Andenne"-properNoun-eo "Andenne"-properNoun-fr
"Andenne"-properNoun-fr "Andenne"-properNoun-eo
"anekdotaro"-noun-eo "recueil d'anecdotes"-noun-fr
"recueil d'anecdotes"-noun-fr "anekdotaro"-noun-eo
"pièce jointe"-noun-fr "kunsendaĵo"-noun-eo
"kunsendaĵo"-noun-eo "pièce jointe"-noun-fr
"kunsendaĵo"-noun-eo "fichier joint"-noun-fr
"anestezilo"-noun-eo "anesthésique"-noun-fr
"anesthésique"-noun-fr "anestezilo"-noun-eo
"Angaro"-properNoun-eo "Angara"-properNoun-fr
"Angara"-properNoun-fr "Angaro"-properNoun-eo
"angeliko"-noun-eo "angélique"-noun-fr
"angélique"-noun-fr "angeliko"-noun-eo
"anglalingva kanadano"-noun-eo "Anglo-canadien"-noun-fr
"Anglo-canadien"-noun-fr "anglalingva kanadano"-noun-eo
"angl-kanada"-adjective-eo "anglo-canadien"-adjective-fr
"anglo-canadien"-adjective-fr "angl-kanada"-adjective-eo
"anglonormando"-noun-eo "Anglo-normand"-noun-fr
"Anglo-normand"-noun-fr "anglonormando"-noun-eo
"angula distanco"-noun-eo "distance angulaire"-noun-fr
"angula distanco"-noun-eo "écart angulaire"-noun-fr
"distance angulaire"-noun-fr "angula distanco"-noun-eo
"écart angulaire"-noun-fr "angula distanco"-noun-eo
"angula koeficiento"-noun-eo "coefficient directeur"-noun-fr
"coefficient directeur"-noun-fr "angula koeficiento"-noun-eo
"anhelo"-noun-eo "halètement"-noun-fr
"halètement"-noun-fr "anhelo"-noun-eo
"animala regno"-noun-eo "règne animal"-noun-fr
"règne animal"-noun-fr "animala regno"-noun-eo
