"n'importe quel"-determiner-fr "ajna"-determiner-eo
"samtempe"-adverb-eo "à la fois"-adverb-fr
"samtempe"-adverb-eo "simultanément"-adverb-fr
"à la fois"-adverb-fr "samtempe"-adverb-eo
"simultanément"-adverb-fr "samtempe"-adverb-eo
"paralele"-adverb-eo "parallèlement"-adverb-fr
"parallèlement"-adverb-fr "paralele"-adverb-eo
"mallarĝe"-adverb-eo "étroitement"-adverb-fr
"étroitement"-adverb-fr "mallarĝe"-adverb-eo
"près"-adverb-fr "apude"-adverb-eo
"apude"-adverb-eo "près"-adverb-fr
"apude"-adverb-eo "à côté"-adverb-fr
"apude"-adverb-eo "auprès"-adverb-fr
"à côté"-adverb-fr "apude"-adverb-eo
"auprès"-adverb-fr "apude"-adverb-eo
"approchant"-adverb-fr "proksimume"-adverb-eo
"proksimume"-adverb-eo "approchant"-adverb-fr
"proksimume"-adverb-eo "quelque"-adverb-fr
"proksimume"-adverb-eo "environ"-adverb-fr
"quelque"-adverb-fr "proksimume"-adverb-eo
"environ"-adverb-fr "proksimume"-adverb-eo
"quand"-adverb-fr "kiam"-adverb-eo
"kiam"-adverb-eo "quand"-adverb-fr
"agréablement"-adverb-fr "agrable"-adverb-eo
"agrable"-adverb-eo "agréablement"-adverb-fr
"konsiderinde"-adverb-eo "considérablement"-adverb-fr
"considérablement"-adverb-fr "konsiderinde"-adverb-eo
"plimulte"-adverb-eo "majoritairement"-adverb-fr
"majoritairement"-adverb-fr "plimulte"-adverb-eo
"majoritairement"-adverb-fr "majoritate"-adverb-eo
"majoritate"-adverb-eo "majoritairement"-adverb-fr
"aparte"-adverb-eo "à part"-adverb-fr
"aparte"-adverb-eo "séparément"-adverb-fr
"aparte"-adverb-eo "particulièrement"-adverb-fr
"à part"-adverb-fr "aparte"-adverb-eo
"séparément"-adverb-fr "aparte"-adverb-eo
"particulièrement"-adverb-fr "aparte"-adverb-eo
"spécialement"-adverb-fr "speciale"-adverb-eo
"speciale"-adverb-eo "spécialement"-adverb-fr
"rekte"-adverb-eo "directement"-adverb-fr
"directement"-adverb-fr "rekte"-adverb-eo
"sinsekve"-adverb-eo "successivement"-adverb-fr
"successivement"-adverb-fr "sinsekve"-adverb-eo
"fundamente"-adverb-eo "fondamentalement"-adverb-fr
"fondamentalement"-adverb-fr "fundamente"-adverb-eo
"videble"-adverb-eo "visiblement"-adverb-fr
"visiblement"-adverb-fr "videble"-adverb-eo
"ekstere"-adverb-eo "en dehors"-adverb-fr
"ekstere"-adverb-eo "hors"-adverb-fr
"ekstere"-adverb-eo "dehors"-adverb-fr
"en dehors"-adverb-fr "ekstere"-adverb-eo
"hors"-adverb-fr "ekstere"-adverb-eo
"dehors"-adverb-fr "ekstere"-adverb-eo
"abunde"-adverb-eo "abondamment"-adverb-fr
"abondamment"-adverb-fr "abunde"-adverb-eo
"facile"-adverb-eo "facilement"-adverb-fr
"facile"-adverb-eo "aisément"-adverb-fr
"facilement"-adverb-fr "facile"-adverb-eo
"aisément"-adverb-fr "facile"-adverb-eo
"popole"-adverb-eo "populairement"-adverb-fr
"populairement"-adverb-fr "popole"-adverb-eo
"ensemble"-adverb-fr "kune"-adverb-eo
"kune"-adverb-eo "ensemble"-adverb-fr
"kune"-adverb-eo "conjointement"-adverb-fr
"kune"-adverb-eo "de concert"-adverb-fr
"conjointement"-adverb-fr "kune"-adverb-eo
"de concert"-adverb-fr "kune"-adverb-eo
"ofte"-adverb-eo "fréquemment"-adverb-fr
"ofte"-adverb-eo "souvent"-adverb-fr
"fréquemment"-adverb-fr "ofte"-adverb-eo
"souvent"-adverb-fr "ofte"-adverb-eo
"librement"-adverb-fr "libere"-adverb-eo
"libere"-adverb-eo "librement"-adverb-fr
"tute ne"-adverb-eo "pas du tout"-adverb-fr
"pas du tout"-adverb-fr "tute ne"-adverb-eo
"exclusivement"-adverb-fr "ekskluzive"-adverb-eo
"ekskluzive"-adverb-eo "exclusivement"-adverb-fr
"absolute"-adverb-eo "absolument"-adverb-fr
"absolument"-adverb-fr "absolute"-adverb-eo
"jamais"-adverb-fr "neniam"-adverb-eo
"neniam"-adverb-eo "jamais"-adverb-fr
"laŭdeve"-adverb-eo "dûment"-adverb-fr
"dûment"-adverb-fr "laŭdeve"-adverb-eo
"personnellement"-adverb-fr "persone"-adverb-eo
"persone"-adverb-eo "personnellement"-adverb-fr
"leĝe"-adverb-eo "légalement"-adverb-fr
"légalement"-adverb-fr "leĝe"-adverb-eo
"légalement"-adverb-fr "laŭleĝe"-adverb-eo
"laŭleĝe"-adverb-eo "légalement"-adverb-fr
"tiel"-adverb-eo "ainsi"-adverb-fr
"tiel"-adverb-eo "tant"-adverb-fr
"tiel"-adverb-eo "autant"-adverb-fr
"ainsi"-adverb-fr "tiel"-adverb-eo
"tant"-adverb-fr "tiel"-adverb-eo
"autant"-adverb-fr "tiel"-adverb-eo
"aussi"-adverb-fr "ankaŭ"-adverb-eo
"ankaŭ"-adverb-eo "aussi"-adverb-fr
"également"-adverb-fr "same"-adverb-eo
"same"-adverb-eo "également"-adverb-fr
"same"-adverb-eo "de même"-adverb-fr
"de même"-adverb-fr "same"-adverb-eo
"ĝuste"-adverb-eo "exactement"-adverb-fr
"ĝuste"-adverb-eo "correctement"-adverb-fr
"ĝuste"-adverb-eo "justement"-adverb-fr
"ĝuste"-adverb-eo "précisément"-adverb-fr
"exactement"-adverb-fr "ĝuste"-adverb-eo
"correctement"-adverb-fr "ĝuste"-adverb-eo
"justement"-adverb-fr "ĝuste"-adverb-eo
"précisément"-adverb-fr "ĝuste"-adverb-eo
"complètement"-adverb-fr "tute"-adverb-eo
"tute"-adverb-eo "complètement"-adverb-fr
"plene"-adverb-eo "pleinement"-adverb-fr
"pleinement"-adverb-fr "plene"-adverb-eo
"sincere"-adverb-eo "sincèrement"-adverb-fr
"sincere"-adverb-eo "franchement"-adverb-fr
"sincèrement"-adverb-fr "sincere"-adverb-eo
"franchement"-adverb-fr "sincere"-adverb-eo
"franchement"-adverb-fr "sincere dirite"-adverb-eo
"sincere dirite"-adverb-eo "franchement"-adverb-fr
"aimablement"-adverb-fr "ĝentile"-adverb-eo
"ĝentile"-adverb-eo "aimablement"-adverb-fr
"un peu"-adverb-fr "iom"-adverb-eo
"iom"-adverb-eo "un peu"-adverb-fr
"kutime"-adverb-eo "régulièrement"-adverb-fr
"kutime"-adverb-eo "habituellement"-adverb-fr
"régulièrement"-adverb-fr "kutime"-adverb-eo
"régulièrement"-adverb-fr "regule"-adverb-eo
"habituellement"-adverb-fr "kutime"-adverb-eo
"regule"-adverb-eo "régulièrement"-adverb-fr
"normalement"-adverb-fr "ordinare"-adverb-eo
"ordinare"-adverb-eo "normalement"-adverb-fr
"généralement"-adverb-fr "ĝenerale"-adverb-eo
"ĝenerale"-adverb-eo "généralement"-adverb-fr
"profunde"-adverb-eo "profondément"-adverb-fr
"profondément"-adverb-fr "profunde"-adverb-eo
"fortement"-adverb-fr "forte"-adverb-eo
"forte"-adverb-eo "fortement"-adverb-fr
"vaste"-adverb-eo "largement"-adverb-fr
"largement"-adverb-fr "vaste"-adverb-eo
"ekstreme"-adverb-eo "extrêmement"-adverb-fr
"extrêmement"-adverb-fr "ekstreme"-adverb-eo
"precipe"-adverb-eo "principalement"-adverb-fr
"precipe"-adverb-eo "surtout"-adverb-fr
"principalement"-adverb-fr "precipe"-adverb-eo
"principalement"-adverb-fr "ĉefe"-adverb-eo
"surtout"-adverb-fr "precipe"-adverb-eo
"ĉefe"-adverb-eo "principalement"-adverb-fr
"uniquement"-adverb-fr "nur"-adverb-eo
"nur"-adverb-eo "uniquement"-adverb-fr
"nur"-adverb-eo "seulement"-adverb-fr
"seulement"-adverb-fr "nur"-adverb-eo
"esence"-adverb-eo "basiquement"-adverb-fr
"basiquement"-adverb-fr "esence"-adverb-eo
"notinde"-adverb-eo "notablement"-adverb-fr
"notablement"-adverb-fr "notinde"-adverb-eo
"multe"-adverb-eo "beaucoup"-adverb-fr
"beaucoup"-adverb-fr "multe"-adverb-eo
"tre"-adverb-eo "hautement"-adverb-fr
"hautement"-adverb-fr "tre"-adverb-eo
"plus"-adverb-fr "pli"-adverb-eo
"pli"-adverb-eo "plus"-adverb-fr
"pli"-adverb-eo "davantage"-adverb-fr
"davantage"-adverb-fr "pli"-adverb-eo
"jam"-adverb-eo "déjà"-adverb-fr
"déjà"-adverb-fr "jam"-adverb-eo
"massivement"-adverb-fr "amase"-adverb-eo
"amase"-adverb-eo "massivement"-adverb-fr
"derrière"-adverb-fr "malantaŭe"-adverb-eo
"derrière"-adverb-fr "malantaŭen"-adverb-eo
"malantaŭe"-adverb-eo "derrière"-adverb-fr
"malantaŭen"-adverb-eo "derrière"-adverb-fr
"poste"-adverb-eo "puis"-adverb-fr
"poste"-adverb-eo "après"-adverb-fr
"poste"-adverb-eo "tantôt"-adverb-fr
"poste"-adverb-eo "ensuite"-adverb-fr
"poste"-adverb-eo "postérieurement"-adverb-fr
"puis"-adverb-fr "poste"-adverb-eo
"après"-adverb-fr "poste"-adverb-eo
"tantôt"-adverb-fr "poste"-adverb-eo
"ensuite"-adverb-fr "poste"-adverb-eo
"postérieurement"-adverb-fr "poste"-adverb-eo
"tuj"-adverb-eo "immédiatement"-adverb-fr
"tuj"-adverb-eo "aussitôt"-adverb-fr
"immédiatement"-adverb-fr "tuj"-adverb-eo
"aussitôt"-adverb-fr "tuj"-adverb-eo
"avant"-adverb-fr "antaŭe"-adverb-eo
"avant"-adverb-fr "antaŭen"-adverb-eo
"antaŭe"-adverb-eo "avant"-adverb-fr
"antaŭe"-adverb-eo "devant"-adverb-fr
"antaŭe"-adverb-eo "auparavant"-adverb-fr
"antaŭe"-adverb-eo "préalablement"-adverb-fr
"antaŭe"-adverb-eo "antérieurement"-adverb-fr
"antaŭe"-adverb-eo "au-devant"-adverb-fr
"antaŭen"-adverb-eo "avant"-adverb-fr
"devant"-adverb-fr "antaŭe"-adverb-eo
"devant"-adverb-fr "fronte"-adverb-eo
"auparavant"-adverb-fr "antaŭe"-adverb-eo
"préalablement"-adverb-fr "antaŭe"-adverb-eo
"antérieurement"-adverb-fr "antaŭe"-adverb-eo
"au-devant"-adverb-fr "antaŭe"-adverb-eo
"fronte"-adverb-eo "devant"-adverb-fr
"kontraŭe"-adverb-eo "en revanche"-adverb-fr
"kontraŭe"-adverb-eo "par contre"-adverb-fr
"en revanche"-adverb-fr "kontraŭe"-adverb-eo
"en revanche"-adverb-fr "male"-adverb-eo
"par contre"-adverb-fr "kontraŭe"-adverb-eo
"male"-adverb-eo "en revanche"-adverb-fr
"bien"-adverb-fr "bone"-adverb-eo
"bone"-adverb-eo "bien"-adverb-fr
"sufiĉe"-adverb-eo "assez"-adverb-fr
"sufiĉe"-adverb-eo "suffisamment"-adverb-fr
"assez"-adverb-fr "sufiĉe"-adverb-eo
"suffisamment"-adverb-fr "sufiĉe"-adverb-eo
"continuellement"-adverb-fr "senĉese"-adverb-eo
"senĉese"-adverb-eo "continuellement"-adverb-fr
"senĉese"-adverb-eo "constamment"-adverb-fr
"constamment"-adverb-fr "senĉese"-adverb-eo
"clairement"-adverb-fr "klare"-adverb-eo
"klare"-adverb-eo "clairement"-adverb-fr
"klare"-adverb-eo "nettement"-adverb-fr
"nettement"-adverb-fr "klare"-adverb-eo
"evidente"-adverb-eo "évidemment"-adverb-fr
"évidemment"-adverb-fr "evidente"-adverb-eo
"nature"-adverb-eo "naturellement"-adverb-fr
"naturellement"-adverb-fr "nature"-adverb-eo
"sans doute"-adverb-fr "sendube"-adverb-eo
"sendube"-adverb-eo "sans doute"-adverb-fr
"catégoriquement"-adverb-fr "kategorie"-adverb-eo
"kategorie"-adverb-eo "catégoriquement"-adverb-fr
"akurate"-adverb-eo "ponctuellement"-adverb-fr
"akurate"-adverb-eo "à l'heure"-adverb-fr
"ponctuellement"-adverb-fr "akurate"-adverb-eo
"à l'heure"-adverb-fr "akurate"-adverb-eo
"intence"-adverb-eo "délibérément"-adverb-fr
"intence"-adverb-eo "expressément"-adverb-fr
"délibérément"-adverb-fr "intence"-adverb-eo
"expressément"-adverb-fr "intence"-adverb-eo
"supraĵe"-adverb-eo "légèrement"-adverb-fr
"légèrement"-adverb-fr "supraĵe"-adverb-eo
"légèrement"-adverb-fr "iomete"-adverb-eo
"iomete"-adverb-eo "légèrement"-adverb-fr
"vere"-adverb-eo "réellement"-adverb-fr
"vere"-adverb-eo "véritablement"-adverb-fr
"vere"-adverb-eo "vraiment"-adverb-fr
"réellement"-adverb-fr "vere"-adverb-eo
"véritablement"-adverb-fr "vere"-adverb-eo
"vraiment"-adverb-fr "vere"-adverb-eo
"sérieusement"-adverb-fr "serioze"-adverb-eo
"serioze"-adverb-eo "sérieusement"-adverb-fr
"dernièrement"-adverb-fr "lastatempe"-adverb-eo
"lastatempe"-adverb-eo "dernièrement"-adverb-fr
"de nouveau"-adverb-fr "denove"-adverb-eo
"denove"-adverb-eo "de nouveau"-adverb-fr
"denove"-adverb-eo "à nouveau"-adverb-fr
"à nouveau"-adverb-fr "denove"-adverb-eo
"finalement"-adverb-fr "fine"-adverb-eo
"fine"-adverb-eo "finalement"-adverb-fr
"fine"-adverb-eo "enfin"-adverb-fr
"enfin"-adverb-fr "fine"-adverb-eo
"enfin"-adverb-fr "finfine"-adverb-eo
"finfine"-adverb-eo "enfin"-adverb-fr
"en bas"-adverb-fr "sube"-adverb-eo
"sube"-adverb-eo "en bas"-adverb-fr
"sube"-adverb-eo "au-dessous"-adverb-fr
"sube"-adverb-eo "dessous"-adverb-fr
"sube"-adverb-eo "en dessous"-adverb-fr
"au-dessous"-adverb-fr "sube"-adverb-eo
"dessous"-adverb-fr "sube"-adverb-eo
"en dessous"-adverb-fr "sube"-adverb-eo
"encore"-adverb-fr "ankoraŭ"-adverb-eo
"ankoraŭ"-adverb-eo "encore"-adverb-fr
"eĉ"-adverb-eo "même"-adverb-fr
"même"-adverb-fr "eĉ"-adverb-eo
"kiel"-adverb-eo "comment"-adverb-fr
"comment"-adverb-fr "kiel"-adverb-eo
"mon"-determiner-fr "mia"-determiner-eo
"mia"-determiner-eo "mon"-determiner-fr
"ton"-determiner-fr "via"-determiner-eo
"via"-determiner-eo "ton"-determiner-fr
"via"-determiner-eo "votre"-determiner-fr
"votre"-determiner-fr "via"-determiner-eo
"ŝia"-determiner-eo "son"-determiner-fr
"son"-determiner-fr "ŝia"-determiner-eo
"son"-determiner-fr "ĝia"-determiner-eo
"son"-determiner-fr "lia"-determiner-eo
"son"-determiner-fr "sia"-determiner-eo
"ĝia"-determiner-eo "son"-determiner-fr
"lia"-determiner-eo "son"-determiner-fr
"sia"-determiner-eo "son"-determiner-fr
"leur"-determiner-fr "ilia"-determiner-eo
"ilia"-determiner-eo "leur"-determiner-fr
"notre"-determiner-fr "nia"-determiner-eo
"nia"-determiner-eo "notre"-determiner-fr
"nenio"-pronoun-eo "rien"-pronoun-fr
"rien"-pronoun-fr "nenio"-pronoun-eo
"ĉi tio"-pronoun-eo "ceci"-pronoun-fr
"ceci"-pronoun-fr "ĉi tio"-pronoun-eo
"ça"-pronoun-fr "tio"-pronoun-eo
"tio"-pronoun-eo "ça"-pronoun-fr
"tio"-pronoun-eo "cela"-pronoun-fr
"cela"-pronoun-fr "tio"-pronoun-eo
"kio"-pronoun-eo "que"-pronoun-fr
"kio"-pronoun-eo "quoi"-pronoun-fr
"kio"-pronoun-eo "qu'est-ce que"-pronoun-fr
"kio"-pronoun-eo "qu'est-ce que c'est que"-pronoun-fr
"que"-pronoun-fr "kio"-pronoun-eo
"que"-pronoun-fr "kio"-relativePronoun-eo
"quoi"-pronoun-fr "kio"-pronoun-eo
"quoi"-pronoun-fr "kio"-relativePronoun-eo
"qu'est-ce que"-pronoun-fr "kio"-pronoun-eo
"qu'est-ce que"-pronoun-fr "kio"-relativePronoun-eo
"qu'est-ce que c'est que"-pronoun-fr "kio"-pronoun-eo
"qu'est-ce que c'est que"-pronoun-fr "kio"-relativePronoun-eo
"kio"-relativePronoun-eo "que"-pronoun-fr
"kio"-relativePronoun-eo "quoi"-pronoun-fr
"kio"-relativePronoun-eo "qu'est-ce que"-pronoun-fr
"kio"-relativePronoun-eo "qu'est-ce que c'est que"-pronoun-fr
"kiom"-relativePronoun-eo "combien"-relativePronoun-fr
"combien"-relativePronoun-fr "kiom"-relativePronoun-eo
"combien"-adverb-fr "kiom"-adverb-eo
"kiom"-adverb-eo "combien"-adverb-fr
"qui"-relativePronoun-fr "kiu"-pronoun-eo
"qui"-relativePronoun-fr "kiu"-relativePronoun-eo
"kiu"-pronoun-eo "qui"-relativePronoun-fr
"kiu"-pronoun-eo "quel"-pronoun-fr
"kiu"-pronoun-eo "qui est-ce qui"-pronoun-fr
"kiu"-pronoun-eo "qui"-pronoun-fr
"kiu"-relativePronoun-eo "qui"-relativePronoun-fr
"kiu"-relativePronoun-eo "quel"-pronoun-fr
"kiu"-relativePronoun-eo "qui est-ce qui"-pronoun-fr
"kiu"-relativePronoun-eo "qui"-pronoun-fr
"kiu"-relativePronoun-eo "lequel"-relativePronoun-fr
"quel"-pronoun-fr "kiu"-pronoun-eo
"quel"-pronoun-fr "kiu"-relativePronoun-eo
"qui est-ce qui"-pronoun-fr "kiu"-pronoun-eo
"qui est-ce qui"-pronoun-fr "kiu"-relativePronoun-eo
"qui"-pronoun-fr "kiu"-pronoun-eo
"qui"-pronoun-fr "kiu"-relativePronoun-eo
"lequel"-relativePronoun-fr "kiu"-relativePronoun-eo
"celui-ci"-pronoun-fr "ĉi tiu"-pronoun-eo
"ĉi tiu"-pronoun-eo "celui-ci"-pronoun-fr
"celui-là"-pronoun-fr "tiu"-pronoun-eo
"tiu"-pronoun-eo "celui-là"-pronoun-fr
"tiu"-pronoun-eo "celui"-pronoun-fr
"celui"-pronoun-fr "tiu"-pronoun-eo
"prpers"-pronoun-eo "on"-pronoun-fr
"prpers"-pronoun-eo "moi"-pronoun-fr
"prpers"-pronoun-eo "le"-pronoun-fr
"on"-pronoun-fr "prpers"-pronoun-eo
"moi"-pronoun-fr "prpers"-pronoun-eo
"le"-pronoun-fr "prpers"-pronoun-eo
"ĉiu"-pronoun-eo "tout le monde"-pronoun-fr
"ĉiu"-pronoun-eo "tout"-pronoun-fr
"ĉiu"-pronoun-eo "chacun"-pronoun-fr
"tout le monde"-pronoun-fr "ĉiu"-pronoun-eo
"tout"-pronoun-fr "ĉiu"-pronoun-eo
"chacun"-pronoun-fr "ĉiu"-pronoun-eo
"neniu"-pronoun-eo "personne"-pronoun-fr
"neniu"-pronoun-eo "aucun"-pronoun-fr
"personne"-pronoun-fr "neniu"-pronoun-eo
"aucun"-pronoun-fr "neniu"-pronoun-eo
"iu"-pronoun-eo "quelqu'un"-pronoun-fr
"iu"-pronoun-eo "certains"-pronoun-fr
"quelqu'un"-pronoun-fr "iu"-pronoun-eo
"certains"-pronoun-fr "iu"-pronoun-eo
"quelque chose"-pronoun-fr "io"-pronoun-eo
"io"-pronoun-eo "quelque chose"-pronoun-fr
"où"-adverb-fr "kie"-adverb-eo
"kie"-adverb-eo "où"-adverb-fr
"où"-relativePronoun-fr "kie"-relativePronoun-eo
"kie"-relativePronoun-eo "où"-relativePronoun-fr
"per"-preposition-eo "moyennant"-preposition-fr
"moyennant"-preposition-fr "per"-preposition-eo
"pere de"-preposition-eo "par l'intermédiaire de"-preposition-fr
"pere de"-preposition-eo "au moyen de"-preposition-fr
"par l'intermédiaire de"-preposition-fr "pere de"-preposition-eo
"au moyen de"-preposition-fr "pere de"-preposition-eo
"laŭ"-preposition-eo "selon"-preposition-fr
"laŭ"-preposition-eo "au dire de"-preposition-fr
"laŭ"-preposition-eo "conformément à"-preposition-fr
"laŭ"-preposition-eo "suivant"-preposition-fr
"laŭ"-preposition-eo "d'après"-preposition-fr
"selon"-preposition-fr "laŭ"-preposition-eo
"au dire de"-preposition-fr "laŭ"-preposition-eo
"conformément à"-preposition-fr "laŭ"-preposition-eo
"suivant"-preposition-fr "laŭ"-preposition-eo
"d'après"-preposition-fr "laŭ"-preposition-eo
"pro"-preposition-eo "pour cause de"-preposition-fr
"pro"-preposition-eo "en raison de"-preposition-fr
"pro"-preposition-eo "à cause de"-preposition-fr
"pour cause de"-preposition-fr "pro"-preposition-eo
"en raison de"-preposition-fr "pro"-preposition-eo
"à cause de"-preposition-fr "pro"-preposition-eo
"ekster"-preposition-eo "en dehors de"-preposition-fr
"en dehors de"-preposition-fr "ekster"-preposition-eo
"à l'exception de"-preposition-fr "krom"-preposition-eo
"krom"-preposition-eo "à l'exception de"-preposition-fr
"krom"-preposition-eo "sauf"-preposition-fr
"krom"-preposition-eo "outre"-preposition-fr
"sauf"-preposition-fr "krom"-preposition-eo
"outre"-preposition-fr "krom"-preposition-eo
"kun"-preposition-eo "avec"-preposition-fr
"avec"-preposition-fr "kun"-preposition-eo
"ĉirkaŭ"-preposition-eo "autour de"-preposition-fr
"autour de"-preposition-fr "ĉirkaŭ"-preposition-eo
"envers"-preposition-fr "al"-preposition-eo
"al"-preposition-eo "envers"-preposition-fr
"al"-preposition-eo "vers"-preposition-fr
"al"-preposition-eo "à"-preposition-fr
"vers"-preposition-fr "al"-preposition-eo
"à"-preposition-fr "al"-preposition-eo
"en"-preposition-eo "en"-preposition-fr
"en"-preposition-eo "dans"-preposition-fr
"en"-preposition-fr "en"-preposition-eo
"dans"-preposition-fr "en"-preposition-eo
"sur"-preposition-fr "sur"-preposition-eo
"sur"-preposition-eo "sur"-preposition-fr
"de"-preposition-eo "de"-preposition-fr
"de"-preposition-eo "dès"-preposition-fr
"de"-preposition-fr "de"-preposition-eo
"dès"-preposition-fr "de"-preposition-eo
"depuis"-preposition-fr "ekde"-preposition-eo
"ekde"-preposition-eo "depuis"-preposition-fr
"après"-preposition-fr "post"-preposition-eo
"post"-preposition-eo "après"-preposition-fr
"far"-preposition-eo "par"-preposition-fr
"par"-preposition-fr "far"-preposition-eo
"par"-preposition-fr "fare de"-preposition-eo
"fare de"-preposition-eo "par"-preposition-fr
"por"-preposition-eo "pour"-preposition-fr
"pour"-preposition-fr "por"-preposition-eo
"durant"-preposition-fr "dum"-preposition-eo
"dum"-preposition-eo "durant"-preposition-fr
"dum"-preposition-eo "lors de"-preposition-fr
"dum"-preposition-eo "pendant"-preposition-fr
"lors de"-preposition-fr "dum"-preposition-eo
"pendant"-preposition-fr "dum"-preposition-eo
"par rapport à"-preposition-fr "koncerne al"-preposition-eo
