"cap"-determiner-oc "cap"-determiner-ca
"sobre"-preposition-oc "damunt"-preposition-ca
"damunt"-preposition-ca "sobre"-preposition-oc
"de"-preposition-oc "des de"-preposition-ca
"des de"-preposition-ca "de"-preposition-oc
"a través de"-preposition-ca "al travèrs de"-preposition-oc
"al travèrs de"-preposition-oc "a través de"-preposition-ca
"durant"-preposition-oc "durant"-preposition-ca
"durant"-preposition-ca "durant"-preposition-oc
"sense"-preposition-oc "sense"-preposition-ca
"sense"-preposition-ca "sense"-preposition-oc
"entre"-preposition-ca "entre"-preposition-oc
"entre"-preposition-oc "entre"-preposition-ca
"contra"-preposition-ca "contra"-preposition-oc
"contra"-preposition-oc "contra"-preposition-ca
"dimitir"-verb-oc "dimitir"-verb-ca
"dimitir"-verb-ca "dimitir"-verb-oc
"acumular"-verb-ca "acumular"-verb-oc
"acumular"-verb-oc "acumular"-verb-ca
"dreta"-noun-oc "dreta"-noun-ca
"dreta"-noun-ca "dreta"-noun-oc
"missa"-noun-ca "missa"-noun-oc
"missa"-noun-oc "missa"-noun-ca
"riquesa"-noun-oc "riquesa"-noun-ca
"riquesa"-noun-ca "riquesa"-noun-oc
"òrgan"-noun-oc "òrgan"-noun-ca
"òrgan"-noun-ca "òrgan"-noun-oc
"pastor"-noun-ca "pastor"-noun-oc
"pastor"-noun-oc "pastor"-noun-ca
"rei"-noun-oc "rei"-noun-ca
"rei"-noun-ca "rei"-noun-oc
"aprovació"-noun-ca "aprovacion"-noun-oc
"aprovacion"-noun-oc "aprovació"-noun-ca
"energia"-noun-oc "energia"-noun-ca
"energia"-noun-ca "energia"-noun-oc
"dia"-noun-oc "dia"-noun-ca
"dia"-noun-ca "dia"-noun-oc
"poesia"-noun-ca "poesia"-noun-oc
"poesia"-noun-oc "poesia"-noun-ca
"crèdit"-noun-oc "crèdit"-noun-ca
"crèdit"-noun-ca "crèdit"-noun-oc
"baró"-noun-ca "mascle"-noun-oc
"mascle"-noun-oc "baró"-noun-ca
"mascle"-noun-oc "home"-noun-ca
"home"-noun-ca "mascle"-noun-oc
"món"-noun-oc "món"-noun-ca
"món"-noun-ca "món"-noun-oc
"ciutadania"-noun-oc "ciutadania"-noun-ca
"ciutadania"-noun-ca "ciutadania"-noun-oc
"web"-noun-ca "web"-noun-oc
"web"-noun-oc "web"-noun-ca
"edat"-noun-oc "edat"-noun-ca
"edat"-noun-ca "edat"-noun-oc
"cinema"-noun-ca "cine"-noun-oc
"cine"-noun-oc "cinema"-noun-ca
"dret"-noun-oc "dret"-noun-ca
"dret"-noun-ca "dret"-noun-oc
"conductor"-noun-oc "conductor"-noun-ca
"conductor"-noun-ca "conductor"-noun-oc
"imatge"-noun-ca "imatge"-noun-oc
"imatge"-noun-oc "imatge"-noun-ca
"aliment"-noun-ca "aliment"-noun-oc
"aliment"-noun-oc "aliment"-noun-ca
"cim"-noun-ca "cim"-noun-oc
"cim"-noun-oc "cim"-noun-ca
"cim"-noun-oc "pic"-noun-ca
"pic"-noun-ca "cim"-noun-oc
"golf"-noun-oc "golf"-noun-ca
"golf"-noun-ca "golf"-noun-oc
"canvi"-noun-oc "canvi"-noun-ca
"canvi"-noun-ca "canvi"-noun-oc
"etapa"-noun-oc "etapa"-noun-ca
"etapa"-noun-ca "etapa"-noun-oc
"notícia"-noun-oc "notícia"-noun-ca
"notícia"-noun-ca "notícia"-noun-oc
"norma"-noun-ca "norma"-noun-oc
"norma"-noun-oc "norma"-noun-ca
"propòsit"-noun-ca "propòsit"-noun-oc
"propòsit"-noun-oc "propòsit"-noun-ca
"finalitat"-noun-oc "finalitat"-noun-ca
"finalitat"-noun-ca "finalitat"-noun-oc
"finalitat"-noun-ca "objectiu"-noun-oc
"objectiu"-noun-oc "finalitat"-noun-ca
"objectiu"-noun-oc "fi"-noun-ca
"fi"-noun-ca "objectiu"-noun-oc
"diari"-noun-ca "diari"-noun-oc
"diari"-noun-oc "diari"-noun-ca
"forma"-noun-ca "forma"-noun-oc
"forma"-noun-oc "forma"-noun-ca
"judici"-noun-ca "judici"-noun-oc
"judici"-noun-oc "judici"-noun-ca
"frase"-noun-oc "frase"-noun-ca
"frase"-noun-ca "frase"-noun-oc
"incentiu"-noun-oc "estímul"-noun-ca
"estímul"-noun-ca "incentiu"-noun-oc
"corredor"-noun-ca "corredor"-noun-oc
"corredor"-noun-oc "corredor"-noun-ca
"pas"-noun-oc "pas"-noun-ca
"pas"-noun-ca "pas"-noun-oc
"galeria"-noun-oc "galeria"-noun-ca
"galeria"-noun-ca "galeria"-noun-oc
"quantitat"-noun-oc "quantitat"-noun-ca
"quantitat"-noun-ca "quantitat"-noun-oc
"expedient"-noun-oc "dossier"-noun-ca
"dossier"-noun-ca "expedient"-noun-oc
"pis"-noun-ca "apartament"-noun-oc
"apartament"-noun-oc "pis"-noun-ca
"policia"-noun-oc "policia"-noun-ca
"policia"-noun-ca "policia"-noun-oc
"avi"-noun-ca "grand"-noun-oc
"grand"-noun-oc "avi"-noun-ca
"escala"-noun-ca "escala"-noun-oc
"escala"-noun-oc "escala"-noun-ca
"bèstia"-noun-oc "animal"-noun-ca
"animal"-noun-ca "bèstia"-noun-oc
"bestiar"-noun-oc "bestiar"-noun-ca
"bestiar"-noun-ca "bestiar"-noun-oc
"tropa"-noun-ca "tropa"-noun-oc
"tropa"-noun-oc "tropa"-noun-ca
"vista"-noun-oc "vista"-noun-ca
"vista"-noun-ca "vista"-noun-oc
"escenari"-noun-oc "escenari"-noun-ca
"escenari"-noun-ca "escenari"-noun-oc
"medi ambient"-noun-ca "ambient"-noun-oc
"ambient"-noun-oc "medi ambient"-noun-ca
"resultat"-noun-ca "resultat"-noun-oc
"resultat"-noun-oc "resultat"-noun-ca
"tub"-noun-oc "tub"-noun-ca
"tub"-noun-ca "tub"-noun-oc
"plana"-noun-ca "plana"-noun-oc
"plana"-noun-oc "plana"-noun-ca
"prat"-noun-oc "prat"-noun-ca
"prat"-noun-ca "prat"-noun-oc
"pati"-noun-oc "cort"-noun-ca
"cort"-noun-ca "pati"-noun-oc
"cort"-noun-ca "cort"-noun-oc
"cort"-noun-oc "cort"-noun-ca
"suburbi"-noun-ca "barri"-noun-oc
"barri"-noun-oc "suburbi"-noun-ca
"barri"-noun-oc "barri"-noun-ca
"barri"-noun-ca "barri"-noun-oc
"producte"-noun-oc "producte"-noun-ca
"producte"-noun-ca "producte"-noun-oc
"rendiment"-noun-oc "rendiment"-noun-ca
"rendiment"-noun-ca "rendiment"-noun-oc
"firma"-noun-ca "signatura"-noun-oc
"signatura"-noun-oc "firma"-noun-ca
"recerca"-noun-ca "recerca"-noun-oc
"recerca"-noun-oc "recerca"-noun-ca
"caça"-noun-ca "caça"-noun-oc
"caça"-noun-oc "caça"-noun-ca
"reserva"-noun-ca "reserva"-noun-oc
"reserva"-noun-ca "reservacion"-noun-oc
"reserva"-noun-oc "reserva"-noun-ca
"reservacion"-noun-oc "reserva"-noun-ca
"comunitat"-noun-oc "comunitat"-noun-ca
"comunitat"-noun-ca "comunitat"-noun-oc
"decret"-noun-ca "decret"-noun-oc
"decret"-noun-oc "decret"-noun-ca
"suc"-noun-ca "suc"-noun-oc
"suc"-noun-oc "suc"-noun-ca
"moment"-noun-oc "moment"-noun-ca
"moment"-noun-ca "moment"-noun-oc
"increment"-noun-ca "increment"-noun-oc
"increment"-noun-oc "increment"-noun-ca
"empresari"-noun-oc "empresari"-noun-ca
"empresari"-noun-ca "empresari"-noun-oc
"garantia"-noun-oc "garantia"-noun-ca
"garantia"-noun-ca "garantia"-noun-oc
"ofici"-noun-ca "ofici"-noun-oc
"ofici"-noun-oc "ofici"-noun-ca
"parc"-noun-oc "parc"-noun-ca
"parc"-noun-ca "parc"-noun-oc
"ciutat"-noun-oc "ciutat"-noun-ca
"ciutat"-noun-ca "ciutat"-noun-oc
"costum"-noun-ca "costuma"-noun-oc
"costuma"-noun-oc "costum"-noun-ca
"presa"-noun-ca "presa"-noun-oc
"presa"-noun-oc "presa"-noun-ca
"degrà"-noun-oc "grau"-noun-ca
"grau"-noun-ca "degrà"-noun-oc
"teta"-noun-oc "mamella"-noun-ca
"mamella"-noun-ca "teta"-noun-oc
"cara"-noun-ca "visatge"-noun-oc
"visatge"-noun-oc "cara"-noun-ca
"accent"-noun-oc "èmfasi"-noun-ca
"èmfasi"-noun-ca "accent"-noun-oc
"claredat"-noun-ca "claror"-noun-oc
"claror"-noun-oc "claredat"-noun-ca
"rapidesa"-noun-oc "rapidesa"-noun-ca
"rapidesa"-noun-ca "rapidesa"-noun-oc
"raó"-noun-ca "motiu"-noun-oc
"motiu"-noun-oc "raó"-noun-ca
"paret"-noun-oc "mur"-noun-ca
"mur"-noun-ca "paret"-noun-oc
"pintura"-noun-oc "pintura"-noun-ca
"pintura"-noun-ca "pintura"-noun-oc
"via"-noun-ca "carral"-noun-oc
"carral"-noun-oc "via"-noun-ca
"carral"-noun-oc "carril"-noun-ca
"carril"-noun-ca "carral"-noun-oc
"pregunta"-noun-ca "pregunta"-noun-oc
"pregunta"-noun-oc "pregunta"-noun-ca
"pregunta"-noun-oc "qüestió"-noun-ca
"qüestió"-noun-ca "pregunta"-noun-oc
"jove"-noun-ca "jove"-noun-oc
"jove"-noun-oc "jove"-noun-ca
"cartell"-noun-ca "placard"-noun-oc
"placard"-noun-oc "cartell"-noun-ca
"indústria"-noun-oc "indústria"-noun-ca
"indústria"-noun-ca "indústria"-noun-oc
"instrument"-noun-ca "instrument"-noun-oc
"instrument"-noun-oc "instrument"-noun-ca
"cistella"-noun-ca "banasta"-noun-oc
"banasta"-noun-oc "cistella"-noun-ca
"cafè"-noun-ca "cafè"-noun-oc
"cafè"-noun-oc "cafè"-noun-ca
"festivitat"-noun-oc "festivitat"-noun-ca
"festivitat"-noun-ca "festivitat"-noun-oc
"manera"-noun-ca "mòde"-noun-oc
"mòde"-noun-oc "manera"-noun-ca
"mòde"-noun-oc "mode"-noun-ca
"mode"-noun-ca "mòde"-noun-oc
"edifici"-noun-ca "edifici"-noun-oc
"edifici"-noun-oc "edifici"-noun-ca
"borsa"-noun-ca "bossa"-noun-oc
"bossa"-noun-oc "borsa"-noun-ca
"bossa"-noun-ca "sac"-noun-oc
"sac"-noun-oc "bossa"-noun-ca
"got"-noun-ca "gòt"-noun-oc
"gòt"-noun-oc "got"-noun-ca
"lavabo"-noun-ca "lavabo"-noun-oc
"lavabo"-noun-oc "lavabo"-noun-ca
"ràdio"-noun-ca "ràdio"-noun-oc
"ràdio"-noun-oc "ràdio"-noun-ca
"dormir"-verb-ca "dormir"-verb-oc
"dormir"-verb-oc "dormir"-verb-ca
"dormir"-verb-oc "adormir"-verb-ca
"adormir"-verb-ca "dormir"-verb-oc
"necessari"-adjective-oc "necessari"-adjective-ca
"necessari"-adjective-ca "necessari"-adjective-oc
"garantir"-verb-ca "garantir"-verb-oc
"garantir"-verb-oc "garantir"-verb-ca
"antic"-adjective-ca "antic"-adjective-oc
"antic"-adjective-oc "antic"-adjective-ca
"emparar"-verb-oc "protegir"-verb-ca
"protegir"-verb-ca "emparar"-verb-oc
"protegir"-verb-ca "protegir"-verb-oc
"protegir"-verb-oc "protegir"-verb-ca
"abreujar"-verb-oc "abreujar"-verb-ca
"abreujar"-verb-ca "abreujar"-verb-oc
"deixar"-verb-ca "abandonar"-verb-oc
"abandonar"-verb-oc "deixar"-verb-ca
"abandonar"-verb-oc "abandonar"-verb-ca
"abandonar"-verb-ca "abandonar"-verb-oc
"concórrer"-verb-oc "competir"-verb-ca
"competir"-verb-ca "concórrer"-verb-oc
"recordar"-verb-ca "recordar"-verb-oc
"recordar"-verb-oc "recordar"-verb-ca
"adoptar"-verb-ca "adoptar"-verb-oc
"adoptar"-verb-oc "adoptar"-verb-ca
"anomenar"-verb-ca "cridar"-verb-oc
"cridar"-verb-oc "anomenar"-verb-ca
"brut"-adjective-ca "brut"-adjective-oc
"brut"-adjective-oc "brut"-adjective-ca
"incrementar"-verb-oc "augmentar"-verb-ca
"incrementar"-verb-oc "incrementar"-verb-ca
"augmentar"-verb-ca "incrementar"-verb-oc
"augmentar"-verb-ca "augmentar"-verb-oc
"incrementar"-verb-ca "incrementar"-verb-oc
"augmentar"-verb-oc "augmentar"-verb-ca
"redactar"-verb-ca "redactar"-verb-oc
"redactar"-verb-oc "redactar"-verb-ca
"intentar"-verb-ca "provar"-verb-oc
"intentar"-verb-ca "tastar"-verb-oc
"provar"-verb-oc "intentar"-verb-ca
"tastar"-verb-oc "intentar"-verb-ca
"donar"-verb-oc "donar"-verb-ca
"donar"-verb-ca "donar"-verb-oc
"moderar"-verb-oc "moderar"-verb-ca
"moderar"-verb-ca "moderar"-verb-oc
"posar"-verb-ca "posar"-verb-oc
"posar"-verb-oc "posar"-verb-ca
"posar"-verb-oc "ficar"-verb-ca
"ficar"-verb-ca "posar"-verb-oc
"demanar"-verb-oc "demanar"-verb-ca
"demanar"-verb-oc "preguntar"-verb-ca
"demanar"-verb-ca "demanar"-verb-oc
"preguntar"-verb-ca "demanar"-verb-oc
"petit"-adjective-ca "petit"-adjective-oc
"petit"-adjective-oc "petit"-adjective-ca
"diferent"-adjective-ca "distint"-adjective-oc
"distint"-adjective-oc "diferent"-adjective-ca
"agradar"-verb-ca "agradar"-verb-oc
"agradar"-verb-oc "agradar"-verb-ca
"divertir"-verb-oc "entretenir"-verb-ca
"entretenir"-verb-ca "divertir"-verb-oc
"observar"-verb-oc "observar"-verb-ca
"observar"-verb-ca "observar"-verb-oc
"apel·lar"-verb-ca "recórrer"-verb-oc
"recórrer"-verb-oc "apel·lar"-verb-ca
"proporcionar"-verb-oc "proporcionar"-verb-ca
"proporcionar"-verb-ca "proporcionar"-verb-oc
"classificar"-verb-ca "classificar"-verb-oc
"classificar"-verb-oc "classificar"-verb-ca
"valorar"-verb-ca "valorar"-verb-oc
"valorar"-verb-oc "valorar"-verb-ca
"considerar"-verb-ca "considerar"-verb-oc
"considerar"-verb-oc "considerar"-verb-ca
"continuar"-verb-ca "continuar"-verb-oc
"continuar"-verb-oc "continuar"-verb-ca
"evitar"-verb-oc "evitar"-verb-ca
"evitar"-verb-ca "evitar"-verb-oc
"relacionar"-verb-ca "relacionar"-verb-oc
"relacionar"-verb-oc "relacionar"-verb-ca
"pretendre"-verb-ca "pretendre"-verb-oc
"pretendre"-verb-oc "pretendre"-verb-ca
"controlar"-verb-ca "controlar"-verb-oc
"controlar"-verb-oc "controlar"-verb-ca
"comprovar"-verb-ca "comprovar"-verb-oc
"comprovar"-verb-oc "comprovar"-verb-ca
"seguir"-verb-oc "seguir"-verb-ca
"seguir"-verb-ca "seguir"-verb-oc
"reforçar"-verb-ca "reforçar"-verb-oc
"reforçar"-verb-oc "reforçar"-verb-ca
"adjudicar"-verb-oc "atorgar"-verb-ca
"atorgar"-verb-ca "adjudicar"-verb-oc
"preparar"-verb-ca "preparar"-verb-oc
"preparar"-verb-oc "preparar"-verb-ca
"comprar"-verb-ca "comprar"-verb-oc
"comprar"-verb-oc "comprar"-verb-ca
"preventiu"-adjective-oc "cautelar"-adjective-ca
"cautelar"-adjective-ca "preventiu"-adjective-oc
"triar"-verb-ca "elegir"-verb-oc
"elegir"-verb-oc "triar"-verb-ca
"elegir"-verb-oc "escollir"-verb-ca
"escollir"-verb-ca "elegir"-verb-oc
"afirmar"-verb-ca "afirmar"-verb-oc
"afirmar"-verb-oc "afirmar"-verb-ca
"compartir"-verb-oc "compartir"-verb-ca
"compartir"-verb-ca "compartir"-verb-oc
"cenyir"-verb-ca "cénger"-verb-oc
"cénger"-verb-oc "cenyir"-verb-ca
"menor"-adjective-oc "menor"-adjective-ca
"menor"-adjective-ca "menor"-adjective-oc
"negar"-verb-ca "negar"-verb-oc
"negar"-verb-oc "negar"-verb-ca
"tancar"-verb-ca "tancar"-verb-oc
"tancar"-verb-oc "tancar"-verb-ca
"tancar"-verb-oc "cloure"-verb-ca
"cloure"-verb-ca "tancar"-verb-oc
"reflectir"-verb-ca "reflectir"-verb-oc
"reflectir"-verb-oc "reflectir"-verb-ca
"favorizar"-verb-oc "afavorir"-verb-ca
"afavorir"-verb-ca "favorizar"-verb-oc
"afavorir"-verb-ca "afavorir"-verb-oc
"afavorir"-verb-oc "afavorir"-verb-ca
"trobar"-verb-ca "trobar"-verb-oc
"trobar"-verb-oc "trobar"-verb-ca
"recomanar"-verb-oc "recomanar"-verb-ca
"recomanar"-verb-ca "recomanar"-verb-oc
"buscar"-verb-ca "quèrre"-verb-oc
"quèrre"-verb-oc "buscar"-verb-ca
"consolidar"-verb-oc "consolidar"-verb-ca
"consolidar"-verb-ca "consolidar"-verb-oc
"disminuir"-verb-oc "disminuir"-verb-ca
"disminuir"-verb-ca "disminuir"-verb-oc
"visitar"-verb-ca "visitar"-verb-oc
"visitar"-verb-oc "visitar"-verb-ca
"proposar"-verb-oc "proposar"-verb-ca
"proposar"-verb-ca "proposar"-verb-oc
"ampliar"-verb-oc "ampliar"-verb-ca
"ampliar"-verb-ca "ampliar"-verb-oc
"solucionar"-verb-ca "solucionar"-verb-oc
"solucionar"-verb-oc "solucionar"-verb-ca
"tresen"-adjective-oc "tercer"-adjective-ca
"tercer"-adjective-ca "tresen"-adjective-oc
"tercer"-adjective-ca "tresau"-adjective-oc
"tresau"-adjective-oc "tercer"-adjective-ca
"o"-coordinatingConjunction-ca "o"-coordinatingConjunction-oc
"o"-coordinatingConjunction-oc "o"-coordinatingConjunction-ca
"pelenc"-noun-oc "gespa"-noun-ca
"gespa"-noun-ca "pelenc"-noun-oc
"tomba"-noun-ca "tomba"-noun-oc
"tomba"-noun-oc "tomba"-noun-ca
"reforma"-noun-ca "reforma"-noun-oc
"reforma"-noun-oc "reforma"-noun-ca
"comitè"-noun-oc "comitè"-noun-ca
"comitè"-noun-ca "comitè"-noun-oc
"setmana"-noun-oc "setmana"-noun-ca
"setmana"-noun-ca "setmana"-noun-oc
"bicicleta"-noun-ca "bicicleta"-noun-oc
"bicicleta"-noun-oc "bicicleta"-noun-ca
"risc"-noun-oc "risc"-noun-ca
"risc"-noun-ca "risc"-noun-oc
"adversari"-noun-oc "opositor"-noun-ca
"opositor"-noun-ca "adversari"-noun-oc
"ordinador"-noun-ca "ordinador"-noun-oc
"ordinador"-noun-oc "ordinador"-noun-ca
"venda"-noun-ca "venda"-noun-oc
"venda"-noun-oc "venda"-noun-ca
"flor"-noun-ca "flor"-noun-oc
"flor"-noun-oc "flor"-noun-ca
"dit"-noun-ca "artelh"-noun-oc
"artelh"-noun-oc "dit"-noun-ca
"jove"-adjective-oc "jove"-adjective-ca
"jove"-adjective-ca "jove"-adjective-oc
"sagrat"-adjective-ca "sant"-adjective-oc
"sant"-adjective-oc "sagrat"-adjective-ca
"passejar"-verb-ca "passejar"-verb-oc
"passejar"-verb-oc "passejar"-verb-ca
"cremar"-verb-ca "cremar"-verb-oc
"cremar"-verb-oc "cremar"-verb-ca
"morir"-verb-oc "morir"-verb-ca
"morir"-verb-ca "morir"-verb-oc
"suposar"-verb-oc "suposar"-verb-ca
"suposar"-verb-ca "suposar"-verb-oc
"Benet"-properNoun-ca "Beneset"-properNoun-oc
"Benet"-properNoun-ca "Benoît"-noun-oc
"Benet"-properNoun-ca "Benoît"-properNoun-oc
"Beneset"-properNoun-oc "Benet"-properNoun-ca
"Benoît"-noun-oc "Benet"-properNoun-ca
"Benoît"-properNoun-oc "Benet"-properNoun-ca
"Jesús"-properNoun-oc "Jesús"-properNoun-ca
"Jesús"-properNoun-ca "Jesús"-properNoun-oc
"Aragó"-properNoun-ca "Aragó"-noun-oc
"Aragó"-properNoun-ca "Aragó"-properNoun-oc
"Aragó"-noun-oc "Aragó"-properNoun-ca
"Aragó"-properNoun-oc "Aragó"-properNoun-ca
"Damas"-noun-oc "Damasc"-properNoun-ca
"Damasc"-properNoun-ca "Damas"-noun-oc
"Damasc"-properNoun-ca "Damas"-properNoun-oc
"Damas"-properNoun-oc "Damasc"-properNoun-ca
"Dublín"-properNoun-oc "Dublín"-properNoun-ca
"Dublín"-properNoun-ca "Dublín"-properNoun-oc
"Gibraltar"-properNoun-oc "Gibraltar"-properNoun-ca
"Gibraltar"-properNoun-ca "Gibraltar"-properNoun-oc
"Guatemala"-properNoun-oc "Guatemala"-properNoun-ca
"Guatemala"-properNoun-ca "Guatemala"-properNoun-oc
"Israel"-properNoun-ca "Israël"-noun-oc
"Israel"-properNoun-ca "Israël"-properNoun-oc
"Israël"-noun-oc "Israel"-properNoun-ca
"Israël"-properNoun-oc "Israel"-properNoun-ca
"Luxemburg"-properNoun-ca "Luxembourg"-noun-oc
"Luxemburg"-properNoun-ca "Luxembourg"-properNoun-oc
"Luxembourg"-noun-oc "Luxemburg"-properNoun-ca
"Luxembourg"-properNoun-oc "Luxemburg"-properNoun-ca
"Madrid"-noun-oc "Madrid"-properNoun-ca
"Madrid"-properNoun-ca "Madrid"-noun-oc
"Madrid"-properNoun-ca "Madrid"-properNoun-oc
"Madrid"-properNoun-oc "Madrid"-properNoun-ca
"Milà"-properNoun-ca "Milà"-noun-oc
"Milà"-properNoun-ca "Milà"-properNoun-oc
"Milà"-noun-oc "Milà"-properNoun-ca
"Milà"-properNoun-oc "Milà"-properNoun-ca
"Monegue"-properNoun-oc "Mònaco"-properNoun-ca
"Mònaco"-properNoun-ca "Monegue"-properNoun-oc
"Mònaco"-properNoun-ca "Monaco"-noun-oc
"Mònaco"-properNoun-ca "Monaco"-properNoun-oc
"Monaco"-noun-oc "Mònaco"-properNoun-ca
"Monaco"-properNoun-oc "Mònaco"-properNoun-ca
"Estrasburg"-properNoun-ca "Estrasburg"-properNoun-oc
"Estrasburg"-properNoun-ca "Strasbourg"-noun-oc
"Estrasburg"-properNoun-ca "Strasbourg"-properNoun-oc
"Estrasburg"-properNoun-oc "Estrasburg"-properNoun-ca
"Strasbourg"-noun-oc "Estrasburg"-properNoun-ca
"Strasbourg"-properNoun-oc "Estrasburg"-properNoun-ca
"estrictament"-adverb-oc "estrictament"-adverb-ca
"estrictament"-adverb-ca "estrictament"-adverb-oc
"Napoléon"-noun-oc "Napoleó"-properNoun-ca
"Napoleó"-properNoun-ca "Napoléon"-noun-oc
"Napoleó"-properNoun-ca "Napoléon"-properNoun-oc
"Napoléon"-properNoun-oc "Napoleó"-properNoun-ca
"Virgile"-noun-oc "Virgili"-properNoun-ca
"Virgili"-properNoun-ca "Virgile"-noun-oc
"Virgili"-properNoun-ca "Virgile"-properNoun-oc
"Virgile"-properNoun-oc "Virgili"-properNoun-ca
"Holanda"-properNoun-ca "Hollande"-noun-oc
"Holanda"-properNoun-ca "Hollande"-properNoun-oc
"Hollande"-noun-oc "Holanda"-properNoun-ca
"Hollande"-properNoun-oc "Holanda"-properNoun-ca
"gàbia"-noun-oc "gàbia"-noun-ca
"gàbia"-noun-ca "gàbia"-noun-oc
"euro"-noun-ca "euro"-noun-oc
"euro"-noun-oc "euro"-noun-ca
"malària"-noun-ca "paludisme"-noun-oc
"paludisme"-noun-oc "malària"-noun-ca
"sardina"-noun-oc "sardina"-noun-ca
"sardina"-noun-ca "sardina"-noun-oc
"escultura"-noun-oc "escultura"-noun-ca
"escultura"-noun-ca "escultura"-noun-oc
"experimentar"-verb-ca "experimentar"-verb-oc
"experimentar"-verb-oc "experimentar"-verb-ca
"Sevilla"-properNoun-ca "Sevilla"-noun-oc
"Sevilla"-properNoun-ca "Sevilla"-properNoun-oc
"Sevilla"-noun-oc "Sevilla"-properNoun-ca
"Sevilla"-properNoun-oc "Sevilla"-properNoun-ca
"cordar"-verb-oc "cordar"-verb-ca
"cordar"-verb-ca "cordar"-verb-oc
"Barri"-noun-oc "Berry"-properNoun-ca
"Berry"-properNoun-ca "Barri"-noun-oc
"Berry"-properNoun-ca "Barri"-properNoun-oc
"Barri"-properNoun-oc "Berry"-properNoun-ca
"Rochefort"-noun-oc "Rochefort"-properNoun-ca
"Rochefort"-properNoun-ca "Rochefort"-noun-oc
"Rochefort"-properNoun-ca "Rochefort"-properNoun-oc
"Rochefort"-properNoun-oc "Rochefort"-properNoun-ca
"Pamplona"-properNoun-ca "Pamplona"-noun-oc
"Pamplona"-properNoun-ca "Pamplona"-properNoun-oc
"Pamplona"-noun-oc "Pamplona"-properNoun-ca
"Pamplona"-properNoun-oc "Pamplona"-properNoun-ca
"segond"-adjective-oc "segon"-adjective-ca
"segon"-adjective-ca "segond"-adjective-oc
"segon"-adjective-ca "dusau"-adjective-oc
"dusau"-adjective-oc "segon"-adjective-ca
"quatren"-adjective-oc "quart"-adjective-ca
"quart"-adjective-ca "quatren"-adjective-oc
"quart"-adjective-ca "quatau"-adjective-oc
"quatau"-adjective-oc "quart"-adjective-ca
"Léon"-noun-oc "Lleó"-properNoun-ca
