"adekvate"-adverb-eo "adequadament"-adverb-ca
"legalment"-adverb-ca "leĝe"-adverb-eo
"leĝe"-adverb-eo "legalment"-adverb-ca
"tant"-adverb-ca "tiom"-adverb-eo
"tiom"-adverb-eo "tant"-adverb-ca
"igualment"-adverb-ca "egale"-adverb-eo
"egale"-adverb-eo "igualment"-adverb-ca
"fàcilment"-adverb-ca "senpene"-adverb-eo
"senpene"-adverb-eo "fàcilment"-adverb-ca
"gaire"-adverb-ca "multe"-adverb-eo
"multe"-adverb-eo "gaire"-adverb-ca
"multe"-adverb-eo "molt"-adverb-ca
"molt"-adverb-ca "multe"-adverb-eo
"principalment"-adverb-ca "ĉefe"-adverb-eo
"ĉefe"-adverb-eo "principalment"-adverb-ca
"ĉefe"-adverb-eo "sobretot"-adverb-ca
"ĉefe"-adverb-eo "especialment"-adverb-ca
"sobretot"-adverb-ca "ĉefe"-adverb-eo
"especialment"-adverb-ca "ĉefe"-adverb-eo
"especialment"-adverb-ca "speciale"-adverb-eo
"speciale"-adverb-eo "especialment"-adverb-ca
"rimarkeble"-adverb-eo "sensiblement"-adverb-ca
"sensiblement"-adverb-ca "rimarkeble"-adverb-eo
"abominablement"-adverb-ca "abomeninde"-adverb-eo
"abomeninde"-adverb-eo "abominablement"-adverb-ca
"francament"-adverb-ca "sincere dirite"-adverb-eo
"sincere dirite"-adverb-eo "francament"-adverb-ca
"indubtablement"-adverb-ca "nedubeble"-adverb-eo
"nedubeble"-adverb-eo "indubtablement"-adverb-ca
"espontàniament"-adverb-ca "spontanee"-adverb-eo
"spontanee"-adverb-eo "espontàniament"-adverb-ca
"pure"-adverb-eo "purament"-adverb-ca
"purament"-adverb-ca "pure"-adverb-eo
"contínuament"-adverb-ca "kontinue"-adverb-eo
"contínuament"-adverb-ca "senhalte"-adverb-eo
"kontinue"-adverb-eo "contínuament"-adverb-ca
"senhalte"-adverb-eo "contínuament"-adverb-ca
"baix"-adverb-ca "malalte"-adverb-eo
"malalte"-adverb-eo "baix"-adverb-ca
"finalment"-adverb-ca "finfine"-adverb-eo
"finfine"-adverb-eo "finalment"-adverb-ca
"recentment"-adverb-ca "antaŭ nelonge"-adverb-eo
"antaŭ nelonge"-adverb-eo "recentment"-adverb-ca
"seriosament"-adverb-ca "serioze"-adverb-eo
"serioze"-adverb-eo "seriosament"-adverb-ca
"naturalment"-adverb-ca "nature"-adverb-eo
"nature"-adverb-eo "naturalment"-adverb-ca
"lleugerament"-adverb-ca "supraĵe"-adverb-eo
"lleugerament"-adverb-ca "leĝere"-adverb-eo
"supraĵe"-adverb-eo "lleugerament"-adverb-ca
"leĝere"-adverb-eo "lleugerament"-adverb-ca
"el seu"-determiner-ca "sia"-determiner-eo
"sia"-determiner-eo "el seu"-determiner-ca
"plura"-determiner-eo "divers"-determiner-ca
"divers"-determiner-ca "plura"-determiner-eo
"això"-pronoun-ca "ĉi tio"-pronoun-eo
"això"-pronoun-ca "tio ĉi"-pronoun-eo
"ĉi tio"-pronoun-eo "això"-pronoun-ca
"ĉi tio"-pronoun-eo "açò"-pronoun-ca
"tio ĉi"-pronoun-eo "això"-pronoun-ca
"allò"-pronoun-ca "tiu"-pronoun-eo
"tiu"-pronoun-eo "allò"-pronoun-ca
"tiu"-pronoun-eo "que"-pronoun-ca
"açò"-pronoun-ca "ĉi tio"-pronoun-eo
"que"-pronoun-ca "tiu"-pronoun-eo
"el que"-pronoun-ca "tiuj kiuj"-relativePronoun-eo
"tiuj kiuj"-relativePronoun-eo "el que"-pronoun-ca
"es"-reflexivePersonalPronoun-ca "si"-pronoun-eo
"es"-reflexivePersonalPronoun-ca "si"-reflexivePersonalPronoun-eo
"si"-pronoun-eo "es"-reflexivePersonalPronoun-ca
"si"-pronoun-eo "es"-pronoun-ca
"si"-reflexivePersonalPronoun-eo "es"-reflexivePersonalPronoun-ca
"si"-reflexivePersonalPronoun-eo "es"-pronoun-ca
"es"-pronoun-ca "si"-pronoun-eo
"es"-pronoun-ca "si"-reflexivePersonalPronoun-eo
"ningú"-pronoun-ca "iu ajn"-pronoun-eo
"iu ajn"-pronoun-eo "ningú"-pronoun-ca
"iu ajn"-pronoun-eo "algú"-pronoun-ca
"algú"-pronoun-ca "iu ajn"-pronoun-eo
"alguna cosa"-pronoun-ca "io"-pronoun-eo
"io"-pronoun-eo "alguna cosa"-pronoun-ca
"on"-adverb-ca "kie"-relativePronoun-eo
"kie"-relativePronoun-eo "on"-adverb-ca
"per"-preposition-eo "mitjançant"-preposition-ca
"per"-preposition-eo "per mitjà de"-preposition-ca
"mitjançant"-preposition-ca "per"-preposition-eo
"per mitjà de"-preposition-ca "per"-preposition-eo
"d'acord amb"-preposition-ca "en konsento kun"-preposition-eo
"en konsento kun"-preposition-eo "d'acord amb"-preposition-ca
"al llarg de"-preposition-ca "laŭlonge de"-preposition-eo
"laŭlonge de"-preposition-eo "al llarg de"-preposition-ca
"quant a"-preposition-ca "koncerne al"-preposition-eo
"koncerne al"-preposition-eo "quant a"-preposition-ca
"koncerne al"-preposition-eo "pel que fa a"-preposition-ca
"pel que fa a"-preposition-ca "koncerne al"-preposition-eo
"pel que fa a"-preposition-ca "koncerne"-preposition-eo
"da"-preposition-eo "de"-preposition-ca
"de"-preposition-ca "da"-preposition-eo
"des de"-preposition-ca "el"-preposition-eo
"des de"-preposition-ca "de post"-preposition-eo
"el"-preposition-eo "des de"-preposition-ca
"de post"-preposition-eo "des de"-preposition-ca
"dins"-preposition-ca "ene de"-preposition-eo
"ene de"-preposition-eo "dins"-preposition-ca
"ene de"-preposition-eo "dins de"-preposition-ca
"dins de"-preposition-ca "ene de"-preposition-eo
"excepte"-preposition-ca "escepte de"-preposition-eo
"escepte de"-preposition-eo "excepte"-preposition-ca
"koncerne"-preposition-eo "pel que fa a"-preposition-ca
"davant"-preposition-ca "fronte al"-preposition-eo
"fronte al"-preposition-eo "davant"-preposition-ca
"fronte al"-preposition-eo "davant de"-preposition-ca
"davant de"-preposition-ca "fronte al"-preposition-eo
"refer"-verb-ca "konvaleski"-verb-eo
"konvaleski"-verb-eo "refer"-verb-ca
"senpova"-adjective-eo "impotent"-adjective-ca
"impotent"-adjective-ca "senpova"-adjective-eo
"amendi"-verb-eo "esmenar"-verb-ca
"esmenar"-verb-ca "amendi"-verb-eo
"problemàtic"-adjective-ca "problema"-adjective-eo
"problema"-adjective-eo "problemàtic"-adjective-ca
"ekscentra"-adjective-eo "excèntric"-adjective-ca
"excèntric"-adjective-ca "ekscentra"-adjective-eo
"contaminar"-verb-ca "polui"-verb-eo
"polui"-verb-eo "contaminar"-verb-ca
"muntanyenc"-adjective-ca "monta"-adjective-eo
"monta"-adjective-eo "muntanyenc"-adjective-ca
"monta"-adjective-eo "muntanyós"-adjective-ca
"muntanyós"-adjective-ca "monta"-adjective-eo
"pera"-adjective-eo "intermedi"-adjective-ca
"intermedi"-adjective-ca "pera"-adjective-eo
"duona"-adjective-eo "mitjà"-adjective-ca
"mitjà"-adjective-ca "duona"-adjective-eo
"diskriminacia"-adjective-eo "discriminatori"-adjective-ca
"discriminatori"-adjective-ca "diskriminacia"-adjective-eo
"sensible"-adjective-ca "sentiva"-adjective-eo
"sentiva"-adjective-eo "sensible"-adjective-ca
"nuntempa"-adjective-eo "contemporani"-adjective-ca
"contemporani"-adjective-ca "nuntempa"-adjective-eo
"progresiva"-adjective-eo "progressiu"-adjective-ca
"progressiu"-adjective-ca "progresiva"-adjective-eo
"desaponti"-verb-eo "decebre"-verb-ca
"decebre"-verb-ca "desaponti"-verb-eo
"kadri"-verb-eo "emmarcar"-verb-ca
"emmarcar"-verb-ca "kadri"-verb-eo
"balanciĝi"-verb-eo "balancejar"-verb-ca
"balancejar"-verb-ca "balanciĝi"-verb-eo
"corroir"-verb-ca "korodi"-verb-eo
"korodi"-verb-eo "corroir"-verb-ca
"bo"-adjective-ca "esperiga"-adjective-eo
"esperiga"-adjective-eo "bo"-adjective-ca
"malpliiĝo"-noun-eo "disminució"-noun-ca
"disminució"-noun-ca "malpliiĝo"-noun-eo
"malutilo"-noun-eo "detriment"-noun-ca
"detriment"-noun-ca "malutilo"-noun-eo
"cabellera"-noun-ca "longa hararo"-noun-eo
"longa hararo"-noun-eo "cabellera"-noun-ca
"reflex"-noun-ca "spegulbildo"-noun-eo
"spegulbildo"-noun-eo "reflex"-noun-ca
"pulvoro"-noun-eo "pólvora"-noun-ca
"pólvora"-noun-ca "pulvoro"-noun-eo
"neegaleco"-noun-eo "desigualtat"-noun-ca
"desigualtat"-noun-ca "neegaleco"-noun-eo
"tuketo"-noun-eo "mocador"-noun-ca
"mocador"-noun-ca "tuketo"-noun-eo
"kohereco"-noun-eo "coherència"-noun-ca
"coherència"-noun-ca "kohereco"-noun-eo
"vespermanĝo"-noun-eo "sopar"-noun-ca
"sopar"-noun-ca "vespermanĝo"-noun-eo
"renaskiĝo"-noun-eo "renaixement"-noun-ca
"renaixement"-noun-ca "renaskiĝo"-noun-eo
"guarderia"-noun-ca "infanejo"-noun-eo
"infanejo"-noun-eo "guarderia"-noun-ca
"discoteca"-noun-ca "diskoteko"-noun-eo
"diskoteko"-noun-eo "discoteca"-noun-ca
"execució"-noun-ca "ekzekuto"-noun-eo
"ekzekuto"-noun-eo "execució"-noun-ca
"badia"-noun-ca "golfeto"-noun-eo
"golfeto"-noun-eo "badia"-noun-ca
"integreco"-noun-eo "integritat"-noun-ca
"integritat"-noun-ca "integreco"-noun-eo
"urbanització"-noun-ca "urbanizado"-noun-eo
"urbanizado"-noun-eo "urbanització"-noun-ca
"presidència"-noun-ca "prezidanteco"-noun-eo
"prezidanteco"-noun-eo "presidència"-noun-ca
"irregularitat"-noun-ca "neregulaĵo"-noun-eo
"neregulaĵo"-noun-eo "irregularitat"-noun-ca
"drogoaddicte"-noun-ca "narkotaĵemulo"-noun-eo
"drogoaddicte"-noun-ca "drogemulo"-noun-eo
"narkotaĵemulo"-noun-eo "drogoaddicte"-noun-ca
"drogemulo"-noun-eo "drogoaddicte"-noun-ca
"passatemps"-noun-ca "amataĵo"-noun-eo
"amataĵo"-noun-eo "passatemps"-noun-ca
"concepció"-noun-ca "koncipado"-noun-eo
"koncipado"-noun-eo "concepció"-noun-ca
"heleco"-noun-eo "claredat"-noun-ca
"claredat"-noun-ca "heleco"-noun-eo
"selva"-noun-ca "praarbaro"-noun-eo
"praarbaro"-noun-eo "selva"-noun-ca
"refredat"-noun-ca "nazkataro"-noun-eo
"nazkataro"-noun-eo "refredat"-noun-ca
"premiero"-noun-eo "estrena"-noun-ca
"estrena"-noun-ca "premiero"-noun-eo
"orientiĝo"-noun-eo "orientació"-noun-ca
"orientació"-noun-ca "orientiĝo"-noun-eo
"bàsquet"-noun-ca "korbopilkado"-noun-eo
"korbopilkado"-noun-eo "bàsquet"-noun-ca
"korbopilkado"-noun-eo "basquetbol"-noun-ca
"basquetbol"-noun-ca "korbopilkado"-noun-eo
"supermercat"-noun-ca "supermagazeno"-noun-eo
"supermagazeno"-noun-eo "supermercat"-noun-ca
"retejo"-noun-eo "web"-noun-ca
"web"-noun-ca "retejo"-noun-eo
"tanc"-noun-ca "benzinujo"-noun-eo
"benzinujo"-noun-eo "tanc"-noun-ca
"pendado"-noun-eo "suspensió"-noun-ca
"suspensió"-noun-ca "pendado"-noun-eo
"fabrikanto"-noun-eo "fabricant"-noun-ca
"fabricant"-noun-ca "fabrikanto"-noun-eo
"emigració"-noun-ca "elmigrintaro"-noun-eo
"elmigrintaro"-noun-eo "emigració"-noun-ca
"navegació"-noun-ca "navigado"-noun-eo
"navigado"-noun-eo "navegació"-noun-ca
"golf"-noun-ca "golfludo"-noun-eo
"golfludo"-noun-eo "golf"-noun-ca
"diseco"-noun-eo "dispersió"-noun-ca
"dispersió"-noun-ca "diseco"-noun-eo
"jarduono"-noun-eo "semestre"-noun-ca
"semestre"-noun-ca "jarduono"-noun-eo
"trimonato"-noun-eo "trimestre"-noun-ca
"trimestre"-noun-ca "trimonato"-noun-eo
"trimestre"-noun-ca "jarkvarono"-noun-eo
"jarkvarono"-noun-eo "trimestre"-noun-ca
"invent"-noun-ca "inventado"-noun-eo
"inventado"-noun-eo "invent"-noun-ca
"inventado"-noun-eo "invenció"-noun-ca
"invenció"-noun-ca "inventado"-noun-eo
"ofero"-noun-eo "sacrifici"-noun-ca
"sacrifici"-noun-ca "ofero"-noun-eo
"amareco"-noun-eo "amargor"-noun-ca
"amargor"-noun-ca "amareco"-noun-eo
"pastís"-noun-ca "kukaĵo"-noun-eo
"kukaĵo"-noun-eo "pastís"-noun-ca
"significat"-noun-ca "signifo"-noun-eo
"signifo"-noun-eo "significat"-noun-ca
"golejulo"-noun-eo "porter"-noun-ca
"porter"-noun-ca "golejulo"-noun-eo
"porter"-noun-ca "pordisto"-noun-eo
"pordisto"-noun-eo "porter"-noun-ca
"agenteco"-noun-eo "agència"-noun-ca
"agència"-noun-ca "agenteco"-noun-eo
"preparatiu"-noun-ca "preparo"-noun-eo
"preparo"-noun-eo "preparatiu"-noun-ca
"folibeto"-noun-eo "bleda"-noun-ca
"bleda"-noun-ca "folibeto"-noun-eo
"malobservo"-noun-eo "infracció"-noun-ca
"infracció"-noun-ca "malobservo"-noun-eo
"pneumàtic"-noun-ca "pneŭo"-noun-eo
"pneŭo"-noun-eo "pneumàtic"-noun-ca
"llaminadura"-noun-ca "frandaĵo"-noun-eo
"frandaĵo"-noun-eo "llaminadura"-noun-ca
"kontentigo"-noun-eo "satisfacció"-noun-ca
"satisfacció"-noun-ca "kontentigo"-noun-eo
"nekapablo"-noun-eo "incapacitat"-noun-ca
"incapacitat"-noun-ca "nekapablo"-noun-eo
"trompo"-noun-eo "engany"-noun-ca
"engany"-noun-ca "trompo"-noun-eo
"vegetació"-noun-ca "vegetaĵaro"-noun-eo
"vegetaĵaro"-noun-eo "vegetació"-noun-ca
"komplekseco"-noun-eo "complexitat"-noun-ca
"complexitat"-noun-ca "komplekseco"-noun-eo
"aspecte"-noun-ca "muaro"-noun-eo
"muaro"-noun-eo "aspecte"-noun-ca
"probabilitat"-noun-ca "probablo"-noun-eo
"probablo"-noun-eo "probabilitat"-noun-ca
"forigo"-noun-eo "supressió"-noun-ca
"forigo"-noun-eo "abolició"-noun-ca
"forigo"-noun-eo "exclusió"-noun-ca
"forigo"-noun-eo "eliminació"-noun-ca
"supressió"-noun-ca "forigo"-noun-eo
"abolició"-noun-ca "forigo"-noun-eo
"abolició"-noun-ca "abolicio"-noun-eo
"exclusió"-noun-ca "forigo"-noun-eo
"eliminació"-noun-ca "forigo"-noun-eo
"abolicio"-noun-eo "abolició"-noun-ca
"necessitat"-noun-ca "neceseco"-noun-eo
"neceseco"-noun-eo "necessitat"-noun-ca
"parkadejo"-noun-eo "estacionament"-noun-ca
"parkadejo"-noun-eo "pàrquing"-noun-ca
"parkadejo"-noun-eo "aparcament"-noun-ca
"estacionament"-noun-ca "parkadejo"-noun-eo
"pàrquing"-noun-ca "parkadejo"-noun-eo
"pàrquing"-noun-ca "parkejo"-noun-eo
"aparcament"-noun-ca "parkadejo"-noun-eo
"aparcament"-noun-ca "parkejo"-noun-eo
"parkejo"-noun-eo "pàrquing"-noun-ca
"parkejo"-noun-eo "aparcament"-noun-ca
"identificació"-noun-ca "identigo"-noun-eo
"identigo"-noun-eo "identificació"-noun-ca
"koloniado"-noun-eo "colonització"-noun-ca
"colonització"-noun-ca "koloniado"-noun-eo
"spektantaro"-noun-eo "públic"-noun-ca
"públic"-noun-ca "spektantaro"-noun-eo
"superrigardo"-noun-eo "supervisió"-noun-ca
"supervisió"-noun-ca "superrigardo"-noun-eo
"odoro"-noun-eo "olor"-noun-ca
"olor"-noun-ca "odoro"-noun-eo
"retruc"-noun-ca "resalto"-noun-eo
"resalto"-noun-eo "retruc"-noun-ca
"càmping"-noun-ca "kampadejo"-noun-eo
"kampadejo"-noun-eo "càmping"-noun-ca
"publicació"-noun-ca "publikigaĵo"-noun-eo
"publicació"-noun-ca "eldonado"-noun-eo
"publikigaĵo"-noun-eo "publicació"-noun-ca
"eldonado"-noun-eo "publicació"-noun-ca
"dany"-noun-ca "damaĝo"-noun-eo
"damaĝo"-noun-eo "dany"-noun-ca
"kuirilaro"-noun-eo "bateria"-noun-ca
"bateria"-noun-ca "kuirilaro"-noun-eo
"feina"-noun-ca "dungiteco"-noun-eo
"dungiteco"-noun-eo "feina"-noun-ca
"protecció"-noun-ca "protektado"-noun-eo
"protektado"-noun-eo "protecció"-noun-ca
"guàrdia"-noun-ca "gvardio"-noun-eo
"gvardio"-noun-eo "guàrdia"-noun-ca
"tallada"-noun-ca "tranĉaĵo"-noun-eo
"tranĉaĵo"-noun-eo "tallada"-noun-ca
"soci"-noun-ca "kompaniano"-noun-eo
"kompaniano"-noun-eo "soci"-noun-ca
"unió"-noun-ca "kuniĝo"-noun-eo
"kuniĝo"-noun-eo "unió"-noun-ca
"composició"-noun-ca "komponado"-noun-eo
"komponado"-noun-eo "composició"-noun-ca
"informació"-noun-ca "informado"-noun-eo
"informado"-noun-eo "informació"-noun-ca
"aplec"-noun-ca "renkonto"-noun-eo
"renkonto"-noun-eo "aplec"-noun-ca
"renkonto"-noun-eo "trobada"-noun-ca
"trobada"-noun-ca "renkonto"-noun-eo
"komparo"-noun-eo "comparació"-noun-ca
"comparació"-noun-ca "komparo"-noun-eo
"panjo"-noun-eo "mama"-noun-ca
"mama"-noun-ca "panjo"-noun-eo
"elecció"-noun-ca "baloto"-noun-eo
"baloto"-noun-eo "elecció"-noun-ca
"balotado"-noun-eo "votació"-noun-ca
"votació"-noun-ca "balotado"-noun-eo
"vot"-noun-ca "voĉdono"-noun-eo
"voĉdono"-noun-eo "vot"-noun-ca
"stiristo"-noun-eo "conductor"-noun-ca
"conductor"-noun-ca "stiristo"-noun-eo
"conductor"-noun-ca "kondukanto"-noun-eo
"conductor"-noun-ca "konduktilo"-noun-eo
"kondukanto"-noun-eo "conductor"-noun-ca
"konduktilo"-noun-eo "conductor"-noun-ca
"empresari"-noun-ca "entreprenisto"-noun-eo
"entreprenisto"-noun-eo "empresari"-noun-ca
"komunikado"-noun-eo "comunicació"-noun-ca
"comunicació"-noun-ca "komunikado"-noun-eo
"forĵetaĵo"-noun-eo "escombraries"-noun-ca
"escombraries"-noun-ca "forĵetaĵo"-noun-eo
"gradeco"-noun-eo "graduació"-noun-ca
"graduació"-noun-ca "gradeco"-noun-eo
"kolizio"-noun-eo "xoc"-noun-ca
"xoc"-noun-ca "kolizio"-noun-eo
"bono"-noun-eo "bé"-noun-ca
"bé"-noun-ca "bono"-noun-eo
"anunci"-noun-ca "anonco"-noun-eo
"anonco"-noun-eo "anunci"-noun-ca
"vestaĵo"-noun-eo "peça"-noun-ca
"peça"-noun-ca "vestaĵo"-noun-eo
"igualtat"-noun-ca "egaleco"-noun-eo
"egaleco"-noun-eo "igualtat"-noun-ca
"transakcio"-noun-eo "transacció"-noun-ca
"transacció"-noun-ca "transakcio"-noun-eo
"adhesió"-noun-ca "adhero"-noun-eo
"adhero"-noun-eo "adhesió"-noun-ca
"vigleco"-noun-eo "animació"-noun-ca
"animació"-noun-ca "vigleco"-noun-eo
"animació"-noun-ca "kuraĝigo"-noun-eo
"animació"-noun-ca "viglo"-noun-eo
"kuraĝigo"-noun-eo "animació"-noun-ca
"viglo"-noun-eo "animació"-noun-ca
"reakiro"-noun-eo "recuperació"-noun-ca
"recuperació"-noun-ca "reakiro"-noun-eo
"vanteco"-noun-eo "vanitat"-noun-ca
"vanitat"-noun-ca "vanteco"-noun-eo
"acord"-noun-ca "interakordo"-noun-eo
"interakordo"-noun-eo "acord"-noun-ca
"aparença"-noun-ca "ŝajno"-noun-eo
"ŝajno"-noun-eo "aparença"-noun-ca
"segell"-noun-ca "stampo"-noun-eo
"stampo"-noun-eo "segell"-noun-ca
"manera"-noun-ca "afektaĵo"-noun-eo
"afektaĵo"-noun-eo "manera"-noun-ca
"konfuzaĵo"-noun-eo "confusió"-noun-ca
"confusió"-noun-ca "konfuzaĵo"-noun-eo
"confusió"-noun-ca "konfuzo"-noun-eo
"konfuzo"-noun-eo "confusió"-noun-ca
"rebuig"-noun-ca "malakcepto"-noun-eo
"malakcepto"-noun-eo "rebuig"-noun-ca
"veturo"-noun-eo "trajecte"-noun-ca
"trajecte"-noun-ca "veturo"-noun-eo
"riparo"-noun-eo "reparació"-noun-ca
"reparació"-noun-ca "riparo"-noun-eo
"reparació"-noun-ca "riparado"-noun-eo
"riparado"-noun-eo "reparació"-noun-ca
"limigo"-noun-eo "restricció"-noun-ca
"restricció"-noun-ca "limigo"-noun-eo
"frontera"-noun-ca "landlimo"-noun-eo
"landlimo"-noun-eo "frontera"-noun-ca
"limtempo"-noun-eo "terme"-noun-ca
"terme"-noun-ca "limtempo"-noun-eo
"prononco"-noun-eo "pronunciació"-noun-ca
"pronunciació"-noun-ca "prononco"-noun-eo
"inversió"-noun-ca "inversio"-noun-eo
"inversio"-noun-eo "inversió"-noun-ca
"pròrroga"-noun-ca "pluvalidigo"-noun-eo
"pluvalidigo"-noun-eo "pròrroga"-noun-ca
"meravella"-noun-ca "mirindaĵo"-noun-eo
"mirindaĵo"-noun-eo "meravella"-noun-ca
"celebració"-noun-ca "okazigo"-noun-eo
"okazigo"-noun-eo "celebració"-noun-ca
"mànec"-noun-ca "tenilo"-noun-eo
"tenilo"-noun-eo "mànec"-noun-ca
"línia"-noun-ca "lineo"-noun-eo
"lineo"-noun-eo "línia"-noun-ca
"troo"-noun-eo "excés"-noun-ca
"excés"-noun-ca "troo"-noun-eo
"malbono"-noun-eo "mal"-noun-ca
"mal"-noun-ca "malbono"-noun-eo
"presentador"-noun-ca "parolisto"-noun-eo
"parolisto"-noun-eo "presentador"-noun-ca
"recull"-noun-ca "kompilaĵo"-noun-eo
"kompilaĵo"-noun-eo "recull"-noun-ca
"interligo"-noun-eo "lligam"-noun-ca
"interligo"-noun-eo "enllaç"-noun-ca
"lligam"-noun-ca "interligo"-noun-eo
"enllaç"-noun-ca "interligo"-noun-eo
"final"-noun-ca "finalo"-noun-eo
"finalo"-noun-eo "final"-noun-ca
"tranoktejo"-noun-eo "allotjament"-noun-ca
"allotjament"-noun-ca "tranoktejo"-noun-eo
"expiració"-noun-ca "finiĝo"-noun-eo
"finiĝo"-noun-eo "expiració"-noun-ca
"konfirmo"-noun-eo "confirmació"-noun-ca
"confirmació"-noun-ca "konfirmo"-noun-eo
"klasigo"-noun-eo "classificació"-noun-ca
"classificació"-noun-ca "klasigo"-noun-eo
"classificació"-noun-ca "klasado"-noun-eo
"klasado"-noun-eo "classificació"-noun-ca
"impreso"-noun-eo "impressió"-noun-ca
"impressió"-noun-ca "impreso"-noun-eo
"impressió"-noun-ca "preso"-noun-eo
"preso"-noun-eo "impressió"-noun-ca
"benestar"-noun-ca "bonstato"-noun-eo
"bonstato"-noun-eo "benestar"-noun-ca
"fondo"-noun-eo "fundació"-noun-ca
"fundació"-noun-ca "fondo"-noun-eo
"fundació"-noun-ca "fondado"-noun-eo
"fondado"-noun-eo "fundació"-noun-ca
"kunlaboro"-noun-eo "cooperació"-noun-ca
"kunlaboro"-noun-eo "col·laboració"-noun-ca
"cooperació"-noun-ca "kunlaboro"-noun-eo
"col·laboració"-noun-ca "kunlaboro"-noun-eo
"ésser"-noun-ca "estulo"-noun-eo
"estulo"-noun-eo "ésser"-noun-ca
"estado"-noun-eo "estada"-noun-ca
"estada"-noun-ca "estado"-noun-eo
"rezidejo"-noun-eo "residència"-noun-ca
"residència"-noun-ca "rezidejo"-noun-eo
"residència"-noun-ca "registara sidejo"-noun-eo
"registara sidejo"-noun-eo "residència"-noun-ca
"devoteco"-noun-eo "devoció"-noun-ca
"devoció"-noun-ca "devoteco"-noun-eo
"conducció"-noun-ca "kondukado"-noun-eo
"kondukado"-noun-eo "conducció"-noun-ca
"translokado"-noun-eo "mudança"-noun-ca
"mudança"-noun-ca "translokado"-noun-eo
"prudència"-noun-ca "singardeco"-noun-eo
"singardeco"-noun-eo "prudència"-noun-ca
"proklamo"-noun-eo "proclamació"-noun-ca
"proclamació"-noun-ca "proklamo"-noun-eo
"insistència"-noun-ca "insistado"-noun-eo
"insistado"-noun-eo "insistència"-noun-ca
"solvado"-noun-eo "dissolució"-noun-ca
"dissolució"-noun-ca "solvado"-noun-eo
"demisio"-noun-eo "dimissió"-noun-ca
"dimissió"-noun-ca "demisio"-noun-eo
"molèstia"-noun-ca "ĝenado"-noun-eo
"ĝenado"-noun-eo "molèstia"-noun-ca
