"alta"-noun-ca "malalitigo"-noun-eo
"dolĉacida"-adjective-eo "agredolç"-adjective-ca
"agredolç"-adjective-ca "dolĉacida"-adjective-eo
"farungluo"-noun-eo "aiguacuit"-noun-ca
"aiguacuit"-noun-ca "farungluo"-noun-eo
"lavŝtono"-noun-eo "aigüera"-noun-ca
"aigüera"-noun-ca "lavŝtono"-noun-eo
"ĉirkaŭ mi"-adverb-eo "als meus voltants"-adverb-ca
"als meus voltants"-adverb-ca "ĉirkaŭ mi"-adverb-eo
"ĉirkaŭ ni"-adverb-eo "als nostres voltants"-adverb-ca
"als nostres voltants"-adverb-ca "ĉirkaŭ ni"-adverb-eo
"ĉirkaŭ li"-adverb-eo "al seu voltant"-adverb-ca
"ĉirkaŭ li"-adverb-eo "als seus voltants"-adverb-ca
"al seu voltant"-adverb-ca "ĉirkaŭ li"-adverb-eo
"al seu voltant"-adverb-ca "ĉirkaŭ ŝi"-adverb-eo
"al seu voltant"-adverb-ca "ĉirkaŭ ĝi"-adverb-eo
"al seu voltant"-adverb-ca "ĉirkaŭ ili"-adverb-eo
"als seus voltants"-adverb-ca "ĉirkaŭ li"-adverb-eo
"ĉirkaŭ ŝi"-adverb-eo "al seu voltant"-adverb-ca
"ĉirkaŭ ĝi"-adverb-eo "al seu voltant"-adverb-ca
"ĉirkaŭ ili"-adverb-eo "al seu voltant"-adverb-ca
"ĉirkaŭ vi"-adverb-eo "als teus voltants"-adverb-ca
"ĉirkaŭ vi"-adverb-eo "als vostres voltants"-adverb-ca
"als teus voltants"-adverb-ca "ĉirkaŭ vi"-adverb-eo
"als vostres voltants"-adverb-ca "ĉirkaŭ vi"-adverb-eo
"ektagiĝo"-noun-eo "albada"-noun-ca
"albada"-noun-ca "ektagiĝo"-noun-eo
"aĉetatesto"-noun-eo "albarà"-noun-ca
"albarà"-noun-ca "aĉetatesto"-noun-eo
"poplejo"-noun-eo "pollancreda"-noun-ca
"pollancreda"-noun-ca "poplejo"-noun-eo
"morfotaktiko"-noun-eo "morfotàctica"-noun-ca
"morfotàctica"-noun-ca "morfotaktiko"-noun-eo
"baŝkiro"-noun-eo "baixkort"-noun-ca
"baixkort"-noun-ca "baŝkiro"-noun-eo
"baŝkira"-adjective-eo "baixkort"-adjective-ca
"baixkort"-adjective-ca "baŝkira"-adjective-eo
"Alcalatén"-properNoun-eo "Alcalatén"-properNoun-ca
"Alcalatén"-properNoun-ca "Alcalatén"-properNoun-eo
"fisvatisto"-noun-eo "alcavot"-noun-ca
"alcavot"-noun-ca "fisvatisto"-noun-eo
"alegoria"-adverb-eo "alegòricament"-adverb-ca
"alegòricament"-adverb-ca "alegoria"-adverb-eo
"Algero"-properNoun-eo "Alguer"-properNoun-ca
"Alguer"-properNoun-ca "Algero"-properNoun-eo
"algera"-adjective-eo "algerès"-adjective-ca
"algerès"-adjective-ca "algera"-adjective-eo
"algerano"-noun-eo "algerès"-noun-ca
"algerès"-noun-ca "algerano"-noun-eo
"Alianore-"-properNoun-eo "Alianore-"-properNoun-ca
"Alianore-"-properNoun-ca "Alianore-"-properNoun-eo
"tinunkolo"-noun-eo "aligot"-noun-ca
"aligot"-noun-ca "tinunkolo"-noun-eo
"signalfajro"-noun-eo "alimara"-noun-ca
"alimara"-noun-ca "signalfajro"-noun-eo
"kontraŭtutmondisma"-adjective-eo "alimundialista"-adjective-ca
"kontraŭtutmondisma"-adjective-eo "altermundialista"-adjective-ca
"kontraŭtutmondisma"-adjective-eo "altermundista"-adjective-ca
"kontraŭtutmondisma"-adjective-eo "antiglobalitzador"-adjective-ca
"alimundialista"-adjective-ca "kontraŭtutmondisma"-adjective-eo
"altermundialista"-adjective-ca "kontraŭtutmondisma"-adjective-eo
"altermundista"-adjective-ca "kontraŭtutmondisma"-adjective-eo
"antiglobalitzador"-adjective-ca "kontraŭtutmondisma"-adjective-eo
"alpista"-adjective-eo "alpinista"-adjective-ca
"alpinista"-adjective-ca "alpista"-adjective-eo
"alpinista"-adjective-ca "alpisma"-adjective-eo
"alpisma"-adjective-eo "alpinista"-adjective-ca
"senambiguigilo"-noun-eo "desambiguador"-noun-ca
"desambiguador"-noun-ca "senambiguigilo"-noun-eo
"desambiguador"-noun-ca "senambiguilo"-noun-eo
"senambiguilo"-noun-eo "desambiguador"-noun-ca
"laŭta"-adverb-eo "altisonant"-adverb-ca
"altisonant"-adverb-ca "laŭta"-adverb-eo
"alia fojo"-noun-eo "altre colp"-noun-ca
"alia fojo"-noun-eo "altre cop"-noun-ca
"altre colp"-noun-ca "alia fojo"-noun-eo
"altre cop"-noun-ca "alia fojo"-noun-eo
"kverkejo"-noun-eo "rovira"-noun-ca
"rovira"-noun-ca "kverkejo"-noun-eo
"rapidema"-adjective-eo "alíger"-adjective-ca
"alíger"-adjective-ca "rapidema"-adjective-eo
"spicado"-noun-eo "amaniment"-noun-ca
"amaniment"-noun-ca "spicado"-noun-eo
"gurdi"-verb-eo "amaçar"-verb-ca
"amaçar"-verb-ca "gurdi"-verb-eo
"kun ekonomiaj problemoj"-adverb-eo "amb problemes econòmics"-adverb-ca
"amb problemes econòmics"-adverb-ca "kun ekonomiaj problemoj"-adverb-eo
"amerikofobio"-noun-eo "americanofòbia"-noun-ca
"americanofòbia"-noun-ca "amerikofobio"-noun-eo
"americanofòbia"-noun-ca "usonofobio"-noun-eo
"usonofobio"-noun-eo "americanofòbia"-noun-ca
"amerikamika"-adjective-eo "americanòfil"-adjective-ca
"americanòfil"-adjective-ca "amerikamika"-adjective-eo
"americanòfil"-adjective-ca "usonamika"-adjective-eo
"usonamika"-adjective-eo "americanòfil"-adjective-ca
"amerikamiko"-noun-eo "americanòfil"-noun-ca
"americanòfil"-noun-ca "amerikamiko"-noun-eo
"americanòfil"-noun-ca "usonamiko"-noun-eo
"usonamiko"-noun-eo "americanòfil"-noun-ca
"amerikofoba"-adjective-eo "americanòfob"-adjective-ca
"americanòfob"-adjective-ca "amerikofoba"-adjective-eo
"americanòfob"-adjective-ca "amerikmalamika"-adjective-eo
"americanòfob"-adjective-ca "usonofoba"-adjective-eo
"amerikmalamika"-adjective-eo "americanòfob"-adjective-ca
"usonofoba"-adjective-eo "americanòfob"-adjective-ca
"amerikofobo"-noun-eo "americanòfob"-noun-ca
"americanòfob"-noun-ca "amerikofobo"-noun-eo
"americanòfob"-noun-ca "amerikmalamiko"-noun-eo
"americanòfob"-noun-ca "usonofobo"-noun-eo
"amerikmalamiko"-noun-eo "americanòfob"-noun-ca
"usonofobo"-noun-eo "americanòfob"-noun-ca
"amianto"-noun-eo "amiant"-noun-ca
"amiant"-noun-ca "amianto"-noun-eo
"konkubo"-noun-eo "amistançament"-noun-ca
"amistançament"-noun-ca "konkubo"-noun-eo
"konkubanto"-noun-eo "amistançat"-noun-ca
"amistançat"-noun-ca "konkubanto"-noun-eo
"Amano"-properNoun-eo "Ammân"-properNoun-ca
"Ammân"-properNoun-ca "Amano"-properNoun-eo
"glatumi"-verb-eo "amoixar"-verb-ca
"amoixar"-verb-ca "glatumi"-verb-eo
"kungregiĝi"-verb-eo "amoltonar-se"-verb-ca
"kungregiĝi"-verb-eo "arramadar-se"-verb-ca
"amoltonar-se"-verb-ca "kungregiĝi"-verb-eo
"arramadar-se"-verb-ca "kungregiĝi"-verb-eo
"amorfa"-adverb-eo "amorf"-adverb-ca
"amorf"-adverb-ca "amorfa"-adverb-eo
"analgezio"-noun-eo "analgèsic"-noun-ca
"analgèsic"-noun-ca "analgezio"-noun-eo
"angla-germana"-adjective-eo "angloalemany"-adjective-ca
"angloalemany"-adjective-ca "angla-germana"-adjective-eo
"Anglonormandaj insuloj"-properNoun-eo "Anglonormandes"-properNoun-ca
"Anglonormandaj insuloj"-properNoun-eo "illes Anglonormandes"-properNoun-ca
"Anglonormandes"-properNoun-ca "Anglonormandaj insuloj"-properNoun-eo
"illes Anglonormandes"-properNoun-ca "Anglonormandaj insuloj"-properNoun-eo
"angla-rusa"-adjective-eo "anglorús"-adjective-ca
"anglorús"-adjective-ca "angla-rusa"-adjective-eo
"anglamika"-adjective-eo "anglòfil"-adjective-ca
"anglòfil"-adjective-ca "anglamika"-adjective-eo
"streta"-adjective-eo "angost"-adjective-ca
"angost"-adjective-ca "streta"-adjective-eo
"dezirega"-adjective-eo "anhelós"-adjective-ca
"anhelós"-adjective-ca "dezirega"-adjective-eo
"malizotropa"-adverb-eo "anisotròpicament"-adverb-ca
"anisotròpicament"-adverb-ca "malizotropa"-adverb-eo
"Anna Maria"-properNoun-eo "Anna Maria"-properNoun-ca
"Anna Maria"-properNoun-ca "Anna Maria"-properNoun-eo
"antagone"-adverb-eo "antagònicament"-adverb-ca
"antagònicament"-adverb-ca "antagone"-adverb-eo
"kontraŭaristokratia"-adjective-eo "antiaristocràtic"-adjective-ca
"antiaristocràtic"-adjective-ca "kontraŭaristokratia"-adjective-eo
"antiaristocràtic"-adjective-ca "kontraŭaristokrata"-adjective-eo
"kontraŭaristokrata"-adjective-eo "antiaristocràtic"-adjective-ca
"kontraŭaristokratia"-adverb-eo "antiaristocràticament"-adverb-ca
"antiaristocràticament"-adverb-ca "kontraŭaristokratia"-adverb-eo
"antiaristocràticament"-adverb-ca "kontraŭaristokrata"-adverb-eo
"kontraŭaristokrata"-adverb-eo "antiaristocràticament"-adverb-ca
"atakpolicano"-noun-eo "antiavalot"-noun-ca
"antiavalot"-noun-ca "atakpolicano"-noun-eo
"antikoncipilo"-noun-eo "contraceptiu"-noun-ca
"contraceptiu"-noun-ca "antikoncipilo"-noun-eo
"kontraŭdemokrata"-adverb-eo "antidemocràticament"-adverb-ca
"antidemocràticament"-adverb-ca "kontraŭdemokrata"-adverb-eo
"kontraŭestetika"-adjective-eo "antiestètic"-adjective-ca
"antiestètic"-adjective-ca "kontraŭestetika"-adjective-eo
"kontraŭestetike"-adverb-eo "antiestèticament"-adverb-ca
"antiestèticament"-adverb-ca "kontraŭestetike"-adverb-eo
"kontraŭgerontokratia"-adverb-eo "antigerontocràticament"-adverb-ca
"antigerontocràticament"-adverb-ca "kontraŭgerontokratia"-adverb-eo
"antigerontocràticament"-adverb-ca "kontraŭgerontokrata"-adverb-eo
"kontraŭgerontokrata"-adverb-eo "antigerontocràticament"-adverb-ca
"kontraŭgerontokratia"-adjective-eo "antigerontocràtic"-adjective-ca
"antigerontocràtic"-adjective-ca "kontraŭgerontokratia"-adjective-eo
"antigerontocràtic"-adjective-ca "kontraŭgerontokrata"-adjective-eo
"kontraŭgerontokrata"-adjective-eo "antigerontocràtic"-adjective-ca
"kontraŭtutmondisto"-noun-eo "antiglobalitzador"-noun-ca
"antiglobalitzador"-noun-ca "kontraŭtutmondisto"-noun-eo
"kontraŭtutmondisma"-adverb-eo "antiglobalitzador"-adverb-ca
"antiglobalitzador"-adverb-ca "kontraŭtutmondisma"-adverb-eo
"antinomo"-noun-eo "antinomi"-noun-ca
"antinomi"-noun-ca "antinomo"-noun-eo
"kontraŭlaboristo"-noun-eo "antiobrer"-noun-ca
"kontraŭlaboristo"-noun-eo "antiobrerista"-noun-ca
"antiobrer"-noun-ca "kontraŭlaboristo"-noun-eo
"antiobrerista"-noun-ca "kontraŭlaboristo"-noun-eo
"kontraŭlaborista"-adjective-eo "antiobrer"-adjective-ca
"kontraŭlaborista"-adjective-eo "antiobrerista"-adjective-ca
"antiobrer"-adjective-ca "kontraŭlaborista"-adjective-eo
"antiobrerista"-adjective-ca "kontraŭlaborista"-adjective-eo
"antiobrerista"-adjective-ca "kontraŭlaborisma"-adjective-eo
"kontraŭlaborisma"-adjective-eo "antiobrerista"-adjective-ca
"kontraŭlaborismo"-noun-eo "antiobrerisme"-noun-ca
"antiobrerisme"-noun-ca "kontraŭlaborismo"-noun-eo
"kontraŭfebra"-adverb-eo "antipirèticament"-adverb-ca
"antipirèticament"-adverb-ca "kontraŭfebra"-adverb-eo
"kontraŭreglamenta"-adjective-eo "antireglamentari"-adjective-ca
"antireglamentari"-adjective-ca "kontraŭreglamenta"-adjective-eo
"kontraŭsubprema"-adjective-eo "antirepressiu"-adjective-ca
"antirepressiu"-adjective-ca "kontraŭsubprema"-adjective-eo
"kontraŭsubpremo"-noun-eo "antirepressió"-noun-ca
"antirepressió"-noun-ca "kontraŭsubpremo"-noun-eo
"antisepsa"-adverb-eo "antisèpticament"-adverb-ca
"antisèpticament"-adverb-ca "antisepsa"-adverb-eo
"antisèpticament"-adverb-ca "kontraŭsepsa"-adverb-eo
"kontraŭsepsa"-adverb-eo "antisèpticament"-adverb-ca
"kontraŭteokratia"-adverb-eo "antiteocràticament"-adverb-ca
"antiteocràticament"-adverb-ca "kontraŭteokratia"-adverb-eo
"antiteocràticament"-adverb-ca "kontraŭteokrata"-adverb-eo
"kontraŭteokrata"-adverb-eo "antiteocràticament"-adverb-ca
"kontraŭteokratia"-adjective-eo "antiteocràtic"-adjective-ca
"antiteocràtic"-adjective-ca "kontraŭteokratia"-adjective-eo
"antiteocràtic"-adjective-ca "kontraŭteokrata"-adjective-eo
"kontraŭteokrata"-adjective-eo "antiteocràtic"-adjective-ca
"Antarkta oceano"-properNoun-eo "Antàrtic"-properNoun-ca
"Antarkta oceano"-properNoun-eo "Oceà Antàrtic"-properNoun-ca
"Antàrtic"-properNoun-ca "Antarkta oceano"-properNoun-eo
"Oceà Antàrtic"-properNoun-ca "Antarkta oceano"-properNoun-eo
"antarkta"-adverb-eo "antàrticament"-adverb-ca
"antàrticament"-adverb-ca "antarkta"-adverb-eo
"Anys"-properNoun-eo "Anys"-properNoun-ca
"Anys"-properNoun-ca "Anys"-properNoun-eo
"anime"-adverb-eo "anímicament"-adverb-ca
"anímicament"-adverb-ca "anime"-adverb-eo
"anonima"-adverb-eo "anònim"-adverb-ca
"anònim"-adverb-ca "anonima"-adverb-eo
"spanigi"-verb-eo "apamar"-verb-ca
"apamar"-verb-ca "spanigi"-verb-eo
"murlampo"-noun-eo "aplic"-noun-ca
"aplic"-noun-ca "murlampo"-noun-eo
"Apokalipso"-properNoun-eo "Apocalipsi"-properNoun-ca
"Apocalipsi"-properNoun-ca "Apokalipso"-properNoun-eo
"apologetiko"-noun-eo "apologètica"-noun-ca
"apologètica"-noun-ca "apologetiko"-noun-eo
"apoteoze"-adverb-eo "apoteòsicament"-adverb-ca
"apoteòsicament"-adverb-ca "apoteoze"-adverb-eo
"sufloro"-noun-eo "apuntador"-noun-ca
"apuntador"-noun-ca "sufloro"-noun-eo
"akva"-adverb-eo "aquàticament"-adverb-ca
"akva"-adverb-eo "nàuticament"-adverb-ca
"aquàticament"-adverb-ca "akva"-adverb-eo
"nàuticament"-adverb-ca "akva"-adverb-eo
"arbarizi"-verb-eo "arbrar"-verb-ca
"arbrar"-verb-ca "arbarizi"-verb-eo
"arkaika"-adverb-eo "arcaicament"-adverb-ca
"arkaika"-adverb-eo "arcàicament"-adverb-ca
"arcaicament"-adverb-ca "arkaika"-adverb-eo
"arcàicament"-adverb-ca "arkaika"-adverb-eo
"arcàicament"-adverb-ca "arĥaika"-adverb-eo
"arĥaika"-adverb-eo "arcàicament"-adverb-ca
"varmega"-adverb-eo "ardent"-adverb-ca
"varmega"-adverb-eo "bullent"-adverb-ca
"ardent"-adverb-ca "varmega"-adverb-eo
"bullent"-adverb-ca "varmega"-adverb-eo
"subtilema"-adjective-eo "arguciós"-adjective-ca
"arguciós"-adjective-ca "subtilema"-adjective-eo
"aristotela"-adverb-eo "aristotèlicament"-adverb-ca
"aristotèlicament"-adverb-ca "aristotela"-adverb-eo
"arome"-adverb-eo "aromàticament"-adverb-ca
"aromàticament"-adverb-ca "arome"-adverb-eo
"modele"-adverb-eo "arquetípicament"-adverb-ca
"arquetípicament"-adverb-ca "modele"-adverb-eo
"alproksimigi"-verb-eo "arrambar"-verb-ca
"arrambar"-verb-ca "alproksimigi"-verb-eo
"atuti"-verb-eo "arrastrar"-verb-ca
"arrastrar"-verb-ca "atuti"-verb-eo
"buliĝi"-verb-eo "arraulir-se"-verb-ca
"buliĝi"-verb-eo "arronsar-se"-verb-ca
"buliĝi"-verb-eo "arrupir-se"-verb-ca
"arraulir-se"-verb-ca "buliĝi"-verb-eo
"arronsar-se"-verb-ca "buliĝi"-verb-eo
"arrupir-se"-verb-ca "buliĝi"-verb-eo
"atingi la sekvan pagon de sia salajro"-verb-eo "arribar a final de mes"-verb-ca
"arribar a final de mes"-verb-ca "atingi la sekvan pagon de sia salajro"-verb-eo
"mulisto"-noun-eo "arrier"-noun-ca
"arrier"-noun-ca "mulisto"-noun-eo
"rondforma"-adjective-eo "arrodoniment"-adjective-ca
"arrodoniment"-adjective-ca "rondforma"-adjective-eo
"aroganta"-adverb-eo "arrogant"-adverb-ca
"arrogant"-adverb-ca "aroganta"-adverb-eo
"mostsiropo"-noun-eo "arrop"-noun-ca
"arrop"-noun-ca "mostsiropo"-noun-eo
"artefarita"-adverb-eo "artificial"-adverb-ca
"artificial"-adverb-ca "artefarita"-adverb-eo
"artificial"-adverb-ca "arta"-adverb-eo
"arta"-adverb-eo "artificial"-adverb-ca
"arkipastrejo"-noun-eo "arxiprestat"-noun-ca
"arxiprestat"-noun-ca "arkipastrejo"-noun-eo
"aritmio"-noun-eo "arítmia"-noun-ca
"arítmia"-noun-ca "aritmio"-noun-eo
"asketa"-adverb-eo "ascèticament"-adverb-ca
"ascèticament"-adverb-ca "asketa"-adverb-eo
"asimetria"-adjective-eo "asimètríc"-adjective-ca
"asimètríc"-adjective-ca "asimetria"-adjective-eo
"kondimentisto"-noun-eo "assaonador"-noun-ca
"assaonador"-noun-ca "kondimentisto"-noun-eo
"sidprotesto"-noun-eo "asseguda"-noun-ca
"sidprotesto"-noun-eo "sentada"-noun-ca
"asseguda"-noun-ca "sidprotesto"-noun-eo
"sentada"-noun-ca "sidprotesto"-noun-eo
"sieĝo por elhejmigi"-noun-eo "assetjament immobiliari"-noun-ca
"assetjament immobiliari"-noun-ca "sieĝo por elhejmigi"-noun-eo
"sieĝo en la laboro"-noun-eo "assetjament laboral"-noun-ca
"assetjament laboral"-noun-ca "sieĝo en la laboro"-noun-eo
"seksa sieĝo en la laboro"-noun-eo "assetjament sexual"-noun-ca
"assetjament sexual"-noun-ca "seksa sieĝo en la laboro"-noun-eo
"astigmata"-adverb-eo "astigmàticament"-adverb-ca
"astigmàticament"-adverb-ca "astigmata"-adverb-eo
"astrofizika"-adjective-eo "astrofísic"-adjective-ca
"astrofísic"-adjective-ca "astrofizika"-adjective-eo
"ruza"-adverb-eo "astut"-adverb-ca
"astut"-adverb-ca "ruza"-adverb-eo
"senĝerma"-adverb-eo "estèril"-adverb-ca
