"qualsevol"-determiner-ca "neniu"-determiner-eo
"pri"-preposition-eo "sobre"-preposition-ca
"sobre"-preposition-ca "pri"-preposition-eo
"sur"-preposition-eo "en"-preposition-ca
"ĉe"-preposition-eo "en"-preposition-ca
"en"-preposition-eo "a"-preposition-ca
"a"-preposition-ca "en"-preposition-eo
"komponi"-verb-eo "construir"-verb-ca
"construir"-verb-ca "komponi"-verb-eo
"malprospera"-adjective-eo "infructuós"-adjective-ca
"infructuós"-adjective-ca "malprospera"-adjective-eo
"kruda"-adjective-eo "groller"-adjective-ca
"kruda"-adjective-eo "grosser"-adjective-ca
"groller"-adjective-ca "kruda"-adjective-eo
"grosser"-adjective-ca "kruda"-adjective-eo
"kuntiri"-verb-eo "contractar"-verb-ca
"kuntiri"-verb-eo "contreure"-verb-ca
"contractar"-verb-ca "kuntiri"-verb-eo
"contreure"-verb-ca "kuntiri"-verb-eo
"kapabla"-adjective-eo "bo"-adjective-ca
"bo"-adjective-ca "kapabla"-adjective-eo
"disminució"-noun-ca "malkresko"-noun-eo
"malkresko"-noun-eo "disminució"-noun-ca
"monaĥo"-noun-eo "frare"-noun-ca
"frare"-noun-ca "monaĥo"-noun-eo
"roba"-noun-ca "vesto"-noun-eo
"vesto"-noun-eo "roba"-noun-ca
"supereco"-noun-eo "superioritat"-noun-ca
"superioritat"-noun-ca "supereco"-noun-eo
"privilegio"-noun-eo "prerrogativa"-noun-ca
"prerrogativa"-noun-ca "privilegio"-noun-eo
"passatemps"-noun-ca "hobio"-noun-eo
"hobio"-noun-eo "passatemps"-noun-ca
"experiència"-noun-ca "eksperimento"-noun-eo
"eksperimento"-noun-eo "experiència"-noun-ca
"koncepto"-noun-eo "concepte"-noun-ca
"concepte"-noun-ca "koncepto"-noun-eo
"refredat"-noun-ca "kataro"-noun-eo
"kataro"-noun-eo "refredat"-noun-ca
"varo"-noun-eo "gènere"-noun-ca
"gènere"-noun-ca "varo"-noun-eo
"memoro"-noun-eo "record"-noun-ca
"record"-noun-ca "memoro"-noun-eo
"altrudo"-noun-eo "imposició"-noun-ca
"imposició"-noun-ca "altrudo"-noun-eo
"kolono"-noun-eo "pilar"-noun-ca
"pilar"-noun-ca "kolono"-noun-eo
"migrado"-noun-eo "emigració"-noun-ca
"emigració"-noun-ca "migrado"-noun-eo
"invento"-noun-eo "invent"-noun-ca
"invent"-noun-ca "invento"-noun-eo
"pupo"-noun-eo "titella"-noun-ca
"titella"-noun-ca "pupo"-noun-eo
"pojno"-noun-eo "nina"-noun-ca
"nina"-noun-ca "pojno"-noun-eo
"graveco"-noun-eo "gravetat"-noun-ca
"graveco"-noun-eo "rellevància"-noun-ca
"gravetat"-noun-ca "graveco"-noun-eo
"rellevància"-noun-ca "graveco"-noun-eo
"patro"-noun-eo "mare"-noun-ca
"mare"-noun-ca "patro"-noun-eo
"pare"-noun-ca "parenco"-noun-eo
"parenco"-noun-eo "pare"-noun-ca
"prioritato"-noun-eo "preferència"-noun-ca
"preferència"-noun-ca "prioritato"-noun-eo
"reganto"-noun-eo "governador"-noun-ca
"governador"-noun-ca "reganto"-noun-eo
"caramel"-noun-ca "bombono"-noun-eo
"bombono"-noun-eo "caramel"-noun-ca
"ribelo"-noun-eo "insurrecció"-noun-ca
"insurrecció"-noun-ca "ribelo"-noun-eo
"amplària"-noun-ca "larĝeco"-noun-eo
"larĝeco"-noun-eo "amplària"-noun-ca
"fizionomio"-noun-eo "aspecte"-noun-ca
"aspecte"-noun-ca "fizionomio"-noun-eo
"lerteco"-noun-eo "agilitat"-noun-ca
"lerteco"-noun-eo "habilitat"-noun-ca
"agilitat"-noun-ca "lerteco"-noun-eo
"habilitat"-noun-ca "lerteco"-noun-eo
"akcepto"-noun-eo "acceptació"-noun-ca
"acceptació"-noun-ca "akcepto"-noun-eo
"enkonduko"-noun-eo "preludi"-noun-ca
"enkonduko"-noun-eo "pròleg"-noun-ca
"preludi"-noun-ca "enkonduko"-noun-eo
"pròleg"-noun-ca "enkonduko"-noun-eo
"moderació"-noun-ca "modereco"-noun-eo
"modereco"-noun-eo "moderació"-noun-ca
"restarigo"-noun-eo "restauració"-noun-ca
"restauració"-noun-ca "restarigo"-noun-eo
"trafiko"-noun-eo "tràfic"-noun-ca
"tràfic"-noun-ca "trafiko"-noun-eo
"ago"-noun-eo "actuació"-noun-ca
"actuació"-noun-ca "ago"-noun-eo
"eldono"-noun-eo "publicació"-noun-ca
"publicació"-noun-ca "eldono"-noun-eo
"pudor"-noun-ca "fetoro"-noun-eo
"fetoro"-noun-eo "pudor"-noun-ca
"construcció"-noun-ca "konstruaĵo"-noun-eo
"konstruaĵo"-noun-eo "construcció"-noun-ca
"lloc"-noun-ca "ejo"-noun-eo
"ejo"-noun-eo "lloc"-noun-ca
"guàrdia"-noun-ca "gardado"-noun-eo
"gardado"-noun-eo "guàrdia"-noun-ca
"dirigent"-noun-ca "estro"-noun-eo
"estro"-noun-eo "dirigent"-noun-ca
"kristalo"-noun-eo "vidre"-noun-ca
"vidre"-noun-ca "kristalo"-noun-eo
"vidre"-noun-ca "glaso"-noun-eo
"glaso"-noun-eo "vidre"-noun-ca
"vitro"-noun-eo "got"-noun-ca
"got"-noun-ca "vitro"-noun-eo
"ŝipo"-noun-eo "nau"-noun-ca
"nau"-noun-ca "ŝipo"-noun-eo
"kelnero"-noun-eo "mosso"-noun-ca
"mosso"-noun-ca "kelnero"-noun-eo
"mosso"-noun-ca "knabo"-noun-eo
"knabo"-noun-eo "mosso"-noun-ca
"knabo"-noun-eo "fill"-noun-ca
"knabo"-noun-eo "infant"-noun-ca
"unió"-noun-ca "unueco"-noun-eo
"unueco"-noun-eo "unió"-noun-ca
"unuiĝo"-noun-eo "unificació"-noun-ca
"unificació"-noun-ca "unuiĝo"-noun-eo
"pell"-noun-ca "ŝelo"-noun-eo
"ŝelo"-noun-eo "pell"-noun-ca
"cultiu"-noun-ca "plantado"-noun-eo
"plantado"-noun-eo "cultiu"-noun-ca
"plantado"-noun-eo "conreu"-noun-ca
"conreu"-noun-ca "plantado"-noun-eo
"deziro"-noun-eo "anhel"-noun-ca
"anhel"-noun-ca "deziro"-noun-eo
"conductor"-noun-ca "kondukilo"-noun-eo
"kondukilo"-noun-eo "conductor"-noun-ca
"rimedo"-noun-eo "medi"-noun-ca
"medi"-noun-ca "rimedo"-noun-eo
"medi"-noun-ca "mezo"-noun-eo
"mezo"-noun-eo "medi"-noun-ca
"mitjà"-noun-ca "duono"-noun-eo
"duono"-noun-eo "mitjà"-noun-ca
"medio"-noun-eo "ambient"-noun-ca
"medio"-noun-eo "entorn"-noun-ca
"ambient"-noun-ca "medio"-noun-eo
"entorn"-noun-ca "medio"-noun-eo
"estimació"-noun-ca "taksado"-noun-eo
"taksado"-noun-eo "estimació"-noun-ca
"taksado"-noun-eo "avaluació"-noun-ca
"avaluació"-noun-ca "taksado"-noun-eo
"propono"-noun-eo "proposició"-noun-ca
"proposició"-noun-ca "propono"-noun-eo
"proposta"-noun-ca "propozicio"-noun-eo
"propozicio"-noun-eo "proposta"-noun-ca
"konsumado"-noun-eo "despesa"-noun-ca
"konsumado"-noun-eo "consum"-noun-ca
"despesa"-noun-ca "konsumado"-noun-eo
"consum"-noun-ca "konsumado"-noun-eo
"restaĵo"-noun-eo "resta"-noun-ca
"resta"-noun-ca "restaĵo"-noun-eo
"mono"-noun-eo "plata"-noun-ca
"plata"-noun-ca "mono"-noun-eo
"promoció"-noun-ca "promocio"-noun-eo
"promocio"-noun-eo "promoció"-noun-ca
"entrada"-noun-ca "enspezo"-noun-eo
"enspezo"-noun-eo "entrada"-noun-ca
"konkurso"-noun-eo "certamen"-noun-ca
"certamen"-noun-ca "konkurso"-noun-eo
"denominació"-noun-ca "nomado"-noun-eo
"nomado"-noun-eo "denominació"-noun-ca
"divisa"-noun-ca "valuto"-noun-eo
"valuto"-noun-eo "divisa"-noun-ca
"tros"-noun-ca "fragmento"-noun-eo
"tros"-noun-ca "ekstrakto"-noun-eo
"fragmento"-noun-eo "tros"-noun-ca
"ekstrakto"-noun-eo "tros"-noun-ca
"palisaro"-noun-eo "tanca"-noun-ca
"tanca"-noun-ca "palisaro"-noun-eo
"forto"-noun-eo "fortalesa"-noun-ca
"fortalesa"-noun-ca "forto"-noun-eo
"qüestió"-noun-ca "afero"-noun-eo
"afero"-noun-eo "qüestió"-noun-ca
"materio"-noun-eo "assignatura"-noun-ca
"assignatura"-noun-ca "materio"-noun-eo
"kabano"-noun-eo "barraca"-noun-ca
"barraca"-noun-ca "kabano"-noun-eo
"litero"-noun-eo "carta"-noun-ca
"carta"-noun-ca "litero"-noun-eo
"manera"-noun-ca "modo"-noun-eo
"modo"-noun-eo "manera"-noun-ca
"confusió"-noun-ca "embaraso"-noun-eo
"embaraso"-noun-eo "confusió"-noun-ca
"reveno"-noun-eo "tornada"-noun-ca
"tornada"-noun-ca "reveno"-noun-eo
"parla"-noun-ca "lingvo"-noun-eo
"lingvo"-noun-eo "parla"-noun-ca
"cadena"-noun-ca "kanalo"-noun-eo
"kanalo"-noun-eo "cadena"-noun-ca
"kulmino"-noun-eo "cim"-noun-ca
"cim"-noun-ca "kulmino"-noun-eo
"cim"-noun-ca "pinto"-noun-eo
"pinto"-noun-eo "cim"-noun-ca
"pinto"-noun-eo "cimera"-noun-ca
"cimera"-noun-ca "pinto"-noun-eo
"combinació"-noun-ca "ĉifro"-noun-eo
"ĉifro"-noun-eo "combinació"-noun-ca
"dispositiu"-noun-ca "mekanismo"-noun-eo
"mekanismo"-noun-eo "dispositiu"-noun-ca
"celo"-noun-eo "objecte"-noun-ca
"celo"-noun-eo "propòsit"-noun-ca
"objecte"-noun-ca "celo"-noun-eo
"propòsit"-noun-ca "celo"-noun-eo
"angulo"-noun-eo "cantó"-noun-ca
"cantó"-noun-ca "angulo"-noun-eo
"ranura"-noun-ca "fendo"-noun-eo
"fendo"-noun-eo "ranura"-noun-ca
"buit"-noun-ca "kavo"-noun-eo
"kavo"-noun-eo "buit"-noun-ca
"clot"-noun-ca "truo"-noun-eo
"truo"-noun-eo "clot"-noun-ca
"dekadenco"-noun-eo "ocàs"-noun-ca
"ocàs"-noun-ca "dekadenco"-noun-eo
"enketo"-noun-eo "recerca"-noun-ca
"recerca"-noun-ca "enketo"-noun-eo
"investigació"-noun-ca "esploro"-noun-eo
"investigació"-noun-ca "esplorado"-noun-eo
"esploro"-noun-eo "investigació"-noun-ca
"esplorado"-noun-eo "investigació"-noun-ca
"rekono"-noun-eo "recolzament"-noun-ca
"recolzament"-noun-ca "rekono"-noun-eo
"fino"-noun-eo "fi"-noun-ca
"fi"-noun-ca "fino"-noun-eo
"vestiblo"-noun-eo "portal"-noun-ca
"portal"-noun-ca "vestiblo"-noun-eo
"tero"-noun-eo "sòl"-noun-ca
"sòl"-noun-ca "tero"-noun-eo
"intrigo"-noun-eo "trama"-noun-ca
"trama"-noun-ca "intrigo"-noun-eo
"comanda"-noun-ca "komisio"-noun-eo
"komisio"-noun-eo "comanda"-noun-ca
"encàrrec"-noun-ca "mesaĝo"-noun-eo
"mesaĝo"-noun-eo "encàrrec"-noun-ca
"repercussió"-noun-ca "sensacio"-noun-eo
"sensacio"-noun-eo "repercussió"-noun-ca
"rastre"-noun-ca "pulbazaro"-noun-eo
"pulbazaro"-noun-eo "rastre"-noun-ca
"spirito"-noun-eo "ment"-noun-ca
"ment"-noun-ca "spirito"-noun-eo
"esperit"-noun-ca "menso"-noun-eo
"menso"-noun-eo "esperit"-noun-ca
"anstataŭo"-noun-eo "substitució"-noun-ca
"substitució"-noun-ca "anstataŭo"-noun-eo
"líder"-noun-ca "ĉefo"-noun-eo
"ĉefo"-noun-eo "líder"-noun-ca
"cooperació"-noun-ca "kunlaborado"-noun-eo
"kunlaborado"-noun-eo "cooperació"-noun-ca
"contribució"-noun-ca "kontribuaĵo"-noun-eo
"kontribuaĵo"-noun-eo "contribució"-noun-ca
"expert"-noun-ca "fakulo"-noun-eo
"fakulo"-noun-eo "expert"-noun-ca
"senyal"-noun-ca "signo"-noun-eo
"signo"-noun-eo "senyal"-noun-ca
"posteno"-noun-eo "ús"-noun-ca
"posteno"-noun-eo "ocupació"-noun-ca
"ús"-noun-ca "posteno"-noun-eo
"ocupació"-noun-ca "posteno"-noun-eo
"longitudo"-noun-eo "llargària"-noun-ca
"llargària"-noun-ca "longitudo"-noun-eo
"pauta"-noun-ca "liniaro"-noun-eo
"liniaro"-noun-eo "pauta"-noun-ca
"solvo"-noun-eo "desenllaç"-noun-ca
"desenllaç"-noun-ca "solvo"-noun-eo
"preocupació"-noun-ca "maltrankvilo"-noun-eo
"maltrankvilo"-noun-eo "preocupació"-noun-ca
"kverelo"-noun-eo "querella"-noun-ca
"querella"-noun-ca "kverelo"-noun-eo
"llavor"-noun-ca "grajno"-noun-eo
"grajno"-noun-eo "llavor"-noun-ca
"stulteco"-noun-eo "ximpleria"-noun-ca
"ximpleria"-noun-ca "stulteco"-noun-eo
"gerro"-noun-ca "kruĉo"-noun-eo
"kruĉo"-noun-eo "gerro"-noun-ca
"descens"-noun-ca "malsupreniro"-noun-eo
"malsupreniro"-noun-eo "descens"-noun-ca
"sugesto"-noun-eo "suggestió"-noun-ca
"suggestió"-noun-ca "sugesto"-noun-eo
"heredaĵo"-noun-eo "patrimoni"-noun-ca
"patrimoni"-noun-ca "heredaĵo"-noun-eo
"kresko"-noun-eo "augment"-noun-ca
"kresko"-noun-eo "increment"-noun-ca
"augment"-noun-ca "kresko"-noun-eo
"increment"-noun-ca "kresko"-noun-eo
"elevació"-noun-ca "alto"-noun-eo
"alto"-noun-eo "elevació"-noun-ca
"tir"-noun-ca "ŝoto"-noun-eo
"ŝoto"-noun-eo "tir"-noun-ca
"municipi"-noun-ca "komunumo"-noun-eo
"komunumo"-noun-eo "municipi"-noun-ca
"fracàs"-noun-ca "malsukceso"-noun-eo
"malsukceso"-noun-eo "fracàs"-noun-ca
"eraro"-noun-eo "errada"-noun-ca
"errada"-noun-ca "eraro"-noun-eo
"afliktiĝo"-noun-eo "pena"-noun-ca
"pena"-noun-ca "afliktiĝo"-noun-eo
"kolero"-noun-eo "coratge"-noun-ca
"kolero"-noun-eo "ràbia"-noun-ca
"coratge"-noun-ca "kolero"-noun-eo
"ràbia"-noun-ca "kolero"-noun-eo
"joia"-noun-ca "gajeco"-noun-eo
"gajeco"-noun-eo "joia"-noun-ca
"gajeco"-noun-eo "alegria"-noun-ca
"alegria"-noun-ca "gajeco"-noun-eo
"sort"-noun-ca "hazardo"-noun-eo
"hazardo"-noun-eo "sort"-noun-ca
"hazardo"-noun-eo "casualitat"-noun-ca
"casualitat"-noun-ca "hazardo"-noun-eo
"organització"-noun-ca "organizaĵo"-noun-eo
"organizaĵo"-noun-eo "organització"-noun-ca
"fill"-noun-ca "knabo"-noun-eo
"fill"-noun-ca "infano"-noun-eo
"infant"-noun-ca "knabo"-noun-eo
"nen"-noun-ca "infano"-noun-eo
"infano"-noun-eo "fill"-noun-ca
"infano"-noun-eo "nen"-noun-ca
"infano"-noun-eo "xiquet"-noun-ca
"xiquet"-noun-ca "infano"-noun-eo
"donaco"-noun-eo "donació"-noun-ca
"donació"-noun-ca "donaco"-noun-eo
"konversacio"-noun-eo "col·loqui"-noun-ca
"col·loqui"-noun-ca "konversacio"-noun-eo
"inquietud"-noun-ca "maltrankvileco"-noun-eo
"maltrankvileco"-noun-eo "inquietud"-noun-ca
"seksperforto"-noun-eo "violació"-noun-ca
"violació"-noun-ca "seksperforto"-noun-eo
"kondamno"-noun-eo "prohibició"-noun-ca
"prohibició"-noun-ca "kondamno"-noun-eo
"regne"-noun-ca "reĝado"-noun-eo
"reĝado"-noun-eo "regne"-noun-ca
"garantio"-noun-eo "aval"-noun-ca
"aval"-noun-ca "garantio"-noun-eo
"provekzemplero"-noun-eo "espècimen"-noun-ca
"espècimen"-noun-ca "provekzemplero"-noun-eo
"fervoro"-noun-eo "gelosia"-noun-ca
"gelosia"-noun-ca "fervoro"-noun-eo
"cita"-noun-ca "citaĵo"-noun-eo
"citaĵo"-noun-eo "cita"-noun-ca
"demanda"-noun-ca "peto"-noun-eo
"peto"-noun-eo "demanda"-noun-ca
"premio"-noun-eo "guardó"-noun-ca
"guardó"-noun-ca "premio"-noun-eo
"bosc"-noun-ca "ligno"-noun-eo
"ligno"-noun-eo "bosc"-noun-ca
"arbaro"-noun-eo "fusta"-noun-ca
"fusta"-noun-ca "arbaro"-noun-eo
"destí"-noun-ca "fatalo"-noun-eo
"destí"-noun-ca "destino"-noun-eo
"fatalo"-noun-eo "destí"-noun-ca
"destino"-noun-eo "destí"-noun-ca
"posedanto"-noun-eo "propietari"-noun-ca
"propietari"-noun-ca "posedanto"-noun-eo
"majstro"-noun-eo "amo"-noun-ca
"amo"-noun-ca "majstro"-noun-eo
"estel"-noun-ca "stelulo"-noun-eo
"stelulo"-noun-eo "estel"-noun-ca
"altaĵo"-noun-eo "turó"-noun-ca
"altaĵo"-noun-eo "pujol"-noun-ca
"turó"-noun-ca "altaĵo"-noun-eo
"pujol"-noun-ca "altaĵo"-noun-eo
"konkludo"-noun-eo "cloenda"-noun-ca
"cloenda"-noun-ca "konkludo"-noun-eo
"sumo"-noun-eo "import"-noun-ca
"import"-noun-ca "sumo"-noun-eo
"zono"-noun-eo "cintura"-noun-ca
"zono"-noun-eo "talla"-noun-ca
"cintura"-noun-ca "zono"-noun-eo
"talla"-noun-ca "zono"-noun-eo
"cinturó"-noun-ca "talio"-noun-eo
"talio"-noun-eo "cinturó"-noun-ca
"ĉemizo"-noun-eo "samarreta"-noun-ca
"samarreta"-noun-ca "ĉemizo"-noun-eo
"atako"-noun-eo "escomesa"-noun-ca
"escomesa"-noun-ca "atako"-noun-eo
"profundo"-noun-eo "fondària"-noun-ca
"fondària"-noun-ca "profundo"-noun-eo
"vojo"-noun-eo "carretera"-noun-ca
"carretera"-noun-ca "vojo"-noun-eo
"carretera"-noun-ca "itinero"-noun-eo
"itinero"-noun-eo "carretera"-noun-ca
"itinero"-noun-eo "ruta"-noun-ca
"ruta"-noun-ca "itinero"-noun-eo
"stango"-noun-eo "barra"-noun-ca
"barra"-noun-ca "stango"-noun-eo
"volta"-noun-ca "deĵoro"-noun-eo
"deĵoro"-noun-eo "volta"-noun-ca
"deĵoro"-noun-eo "tanda"-noun-ca
"tanda"-noun-ca "deĵoro"-noun-eo
"aŭto"-noun-eo "automòbil"-noun-ca
"automòbil"-noun-ca "aŭto"-noun-eo
"drap"-noun-ca "ĉifono"-noun-eo
"ĉifono"-noun-eo "drap"-noun-ca
"olla"-noun-ca "marmito"-noun-eo
"marmito"-noun-eo "olla"-noun-ca
"sako"-noun-eo "beca"-noun-ca
"sako"-noun-eo "borsa"-noun-ca
"beca"-noun-ca "sako"-noun-eo
"beca"-noun-ca "borso"-noun-eo
"borsa"-noun-ca "sako"-noun-eo
"borso"-noun-eo "beca"-noun-ca
"maniko"-noun-eo "mànega"-noun-ca
"mànega"-noun-ca "maniko"-noun-eo
"kelo"-noun-eo "cava"-noun-ca
"kelo"-noun-eo "soterrani"-noun-ca
"cava"-noun-ca "kelo"-noun-eo
"soterrani"-noun-ca "kelo"-noun-eo
"magatzem"-noun-ca "tenejo"-noun-eo
