"desagradable"-adjective-ca "neagrabla"-adjective-eo
"kontraŭamerikanismo"-noun-eo "antiamericanisme"-noun-ca
"antiusonanismo"-noun-eo "antiamericanisme"-noun-ca
"kontraŭusonanismo"-noun-eo "antiamericanisme"-noun-ca
"antiamerikismo"-noun-eo "antiamericanisme"-noun-ca
"kontraŭamerikismo"-noun-eo "antiamericanisme"-noun-ca
"maquinari"-noun-ca "hardvaro"-noun-eo
"hardvaro"-noun-eo "maquinari"-noun-ca
"apòstrof"-noun-ca "streketo"-noun-eo
"streketo"-noun-eo "apòstrof"-noun-ca
"streketo"-noun-eo "marca"-noun-ca
"streketo"-noun-eo "senyal"-noun-ca
"streketo"-noun-eo "barra"-noun-ca
"streketo"-noun-eo "guionet"-noun-ca
"pissarra"-noun-ca "nigra tabulo"-noun-eo
"pissarra"-noun-ca "nigra"-noun-eo
"nigra tabulo"-noun-eo "pissarra"-noun-ca
"nigra"-noun-eo "pissarra"-noun-ca
"aristocràtic"-adjective-ca "aristokratia"-adjective-eo
"aristokratia"-adjective-eo "aristocràtic"-adjective-ca
"arma"-noun-ca "armo"-noun-eo
"armo"-noun-eo "arma"-noun-ca
"àrnica"-noun-ca "arnikaĵo"-noun-eo
"arnikaĵo"-noun-eo "àrnica"-noun-ca
"espàrrec"-noun-ca "tenono"-noun-eo
"tenono"-noun-eo "espàrrec"-noun-ca
"tenono"-noun-eo "clavilla"-noun-ca
"tenono"-noun-eo "mascle"-noun-ca
"tenono"-noun-eo "passador"-noun-ca
"tenono"-noun-eo "espiga"-noun-ca
"atles"-noun-ca "atlanto"-noun-eo
"atlanto"-noun-eo "atles"-noun-ca
"atlanto"-noun-eo "atlant"-noun-ca
"auricular"-noun-ca "orelumo"-noun-eo
"orelumo"-noun-eo "auricular"-noun-ca
"padrí"-noun-ca "gebaptopatroj"-noun-eo
"gebaptopatroj"-noun-eo "padrí"-noun-ca
"beisbol"-noun-ca "bazopilko"-noun-eo
"bazopilko"-noun-eo "beisbol"-noun-ca
"raïm"-noun-ca "uvo"-noun-eo
"uvo"-noun-eo "raïm"-noun-ca
"figura"-noun-ca "personulo"-noun-eo
"personulo"-noun-eo "figura"-noun-ca
"personulo"-noun-eo "personalitat"-noun-ca
"bitllet"-noun-ca "bankbileto"-noun-eo
"bankbileto"-noun-eo "bitllet"-noun-ca
"blanc"-noun-ca "celpunkto"-noun-eo
"celpunkto"-noun-eo "blanc"-noun-ca
"celpunkto"-noun-eo "diana"-noun-ca
"bombolla"-noun-ca "sapveziko"-noun-eo
"sapveziko"-noun-eo "bombolla"-noun-ca
"butaca"-noun-ca "apogseĝo"-noun-eo
"apogseĝo"-noun-eo "butaca"-noun-ca
"brigada"-noun-ca "brigadisto"-noun-eo
"brigadisto"-noun-eo "brigada"-noun-ca
"castany"-adjective-ca "kaŝtanbruna"-adjective-eo
"kaŝtanbruna"-adjective-eo "castany"-adjective-ca
"cabina"-noun-ca "nacelo"-noun-eo
"nacelo"-noun-eo "cabina"-noun-ca
"pom"-noun-ca "manilo"-noun-eo
"manilo"-noun-eo "pom"-noun-ca
"manilo"-noun-eo "maneta"-noun-ca
"oral"-adjective-ca "perbuŝa"-adjective-eo
"perbuŝa"-adjective-eo "oral"-adjective-ca
"tovalló"-noun-ca "telertuko"-noun-eo
"telertuko"-noun-eo "tovalló"-noun-ca
"Txad"-properNoun-ca "Ĉadlando"-properNoun-eo
"Ĉadlando"-properNoun-eo "Txad"-properNoun-ca
"cava"-noun-ca "vinkelo"-noun-eo
"vinkelo"-noun-eo "cava"-noun-ca
"carret"-noun-ca "puŝĉaro"-noun-eo
"puŝĉaro"-noun-eo "carret"-noun-ca
"txetxè"-adjective-ca "noĥĉa"-adjective-eo
"noĥĉa"-adjective-eo "txetxè"-adjective-ca
"txetxè"-noun-ca "noĥĉo"-noun-eo
"noĥĉo"-noun-eo "txetxè"-noun-ca
"cirera"-noun-ca "merizo"-noun-eo
"merizo"-noun-eo "cirera"-noun-ca
"escarola"-noun-ca "skarolo"-noun-eo
"skarolo"-noun-eo "escarola"-noun-ca
"citació"-noun-ca "citato"-noun-eo
"citato"-noun-eo "citació"-noun-ca
"llimona"-noun-ca "limono"-noun-eo
"limono"-noun-eo "llimona"-noun-ca
"limono"-noun-eo "llimó"-noun-ca
"civilització"-noun-ca "civilizado"-noun-eo
"civilizado"-noun-eo "civilització"-noun-ca
"cisell"-noun-ca "skulptilo"-noun-eo
"skulptilo"-noun-eo "cisell"-noun-ca
"defensa"-noun-ca "defenda partio"-noun-eo
"defenda partio"-noun-eo "defensa"-noun-ca
"dinovè"-adjective-ca "dek-naŭa"-adjective-eo
"dek-naŭa"-adjective-eo "dinovè"-adjective-ca
"dreta"-noun-ca "dekstrularo"-noun-eo
"dekstrularo"-noun-eo "dreta"-noun-ca
"exquisit"-adjective-ca "eskvizita"-adjective-eo
"eskvizita"-adjective-eo "exquisit"-adjective-ca
"demogràfic"-adjective-ca "demografa"-adjective-eo
"demografa"-adjective-eo "demogràfic"-adjective-ca
"demogràficament"-adverb-ca "demografia"-adverb-eo
"demografia"-adverb-eo "demogràficament"-adverb-ca
"democràticament"-adverb-ca "demokratia"-adverb-eo
"demokratia"-adverb-eo "democràticament"-adverb-ca
"despatx"-noun-ca "entreprenejo"-noun-eo
"dossier"-noun-ca "dokumentujo"-noun-eo
"dokumentujo"-noun-eo "dossier"-noun-ca
"droga"-noun-ca "toksiko"-noun-eo
"toksiko"-noun-eo "droga"-noun-ca
"duo"-noun-ca "duo"-noun-eo
"duo"-noun-eo "duo"-noun-ca
"duo"-noun-eo "parell"-noun-ca
"duo"-noun-eo "duet"-noun-ca
"parell"-noun-ca "duo"-noun-eo
"cara"-noun-ca "frontflanko"-noun-eo
"frontflanko"-noun-eo "cara"-noun-ca
"frontflanko"-noun-eo "anvers"-noun-ca
"ecològicament"-adverb-ca "ekologia"-adverb-eo
"ekologia"-adverb-eo "ecològicament"-adverb-ca
"expansionisme"-noun-ca "ekspansionismo"-noun-eo
"ekspansionismo"-noun-eo "expansionisme"-noun-ca
"expulsió"-noun-ca "elpelado"-noun-eo
"elpelado"-noun-eo "expulsió"-noun-ca
"esmalt"-noun-ca "smalto"-noun-eo
"smalto"-noun-eo "esmalt"-noun-ca
"posta"-noun-ca "subiro"-noun-eo
"subiro"-noun-eo "posta"-noun-ca
"destacar"-verb-ca "elstarigi"-verb-eo
"elstarigi"-verb-eo "destacar"-verb-ca
"índex"-noun-ca "montra fingro"-noun-eo
"montra fingro"-noun-eo "índex"-noun-ca
"Unió Europea"-properNoun-ca "Eŭrop-Unio"-properNoun-eo
"Eŭrop-Unio"-properNoun-eo "Unió Europea"-properNoun-ca
"facultatiu"-adjective-ca "nedeva"-adjective-eo
"nedeva"-adjective-eo "facultatiu"-adjective-ca
"facultat"-noun-ca "fakulto"-noun-eo
"fakulto"-noun-eo "facultat"-noun-ca
"falç"-noun-ca "rikoltilo"-noun-eo
"rikoltilo"-noun-eo "falç"-noun-ca
"franquisme"-noun-ca "hispana faŝismo"-noun-eo
"hispana faŝismo"-noun-eo "franquisme"-noun-ca
"pel·lícula"-noun-ca "haŭteto"-noun-eo
"haŭteto"-noun-eo "pel·lícula"-noun-ca
"filosòfic"-adjective-ca "filozofa"-adjective-eo
"filozofa"-adjective-eo "filosòfic"-adjective-ca
"firma"-noun-ca "signaturo"-noun-eo
"signaturo"-noun-eo "firma"-noun-ca
"signaturo"-noun-eo "signatura"-noun-ca
"olfacte"-noun-ca "olfakto"-noun-eo
"olfakto"-noun-eo "olfacte"-noun-ca
"groc"-adjective-ca "flavkolora"-adjective-eo
"flavkolora"-adjective-eo "groc"-adjective-ca
"pic"-noun-ca "pikpioĉo"-noun-eo
"pikpioĉo"-noun-eo "pic"-noun-ca
"llunyà"-adjective-ca "lontana"-adjective-eo
"lontana"-adjective-eo "llunyà"-adjective-ca
"forqueta"-noun-ca "forketo"-noun-eo
"forketo"-noun-eo "forqueta"-noun-ca
"forketo"-noun-eo "forquilla"-noun-ca
"forquilla"-noun-ca "forketo"-noun-eo
"fotogràfic"-adjective-ca "fota"-adjective-eo
"fota"-adjective-eo "fotogràfic"-adjective-ca
"corrent"-noun-ca "travento"-noun-eo
"travento"-noun-eo "corrent"-noun-ca
"fracció"-noun-ca "partumo"-noun-eo
"fracció"-noun-ca "nombrono"-noun-eo
"partumo"-noun-eo "fracció"-noun-ca
"nombrono"-noun-eo "fracció"-noun-ca
"fresc"-adjective-ca "friska"-adjective-eo
"friska"-adjective-eo "fresc"-adjective-ca
"frisó"-noun-ca "frisano"-noun-eo
"frisano"-noun-eo "frisó"-noun-ca
"bolet"-noun-ca "bulĉapelo"-noun-eo
"bulĉapelo"-noun-eo "bolet"-noun-ca
"fortí"-noun-ca "fortikaĵeto"-noun-eo
"fortikaĵeto"-noun-eo "fortí"-noun-ca
"cama"-noun-ca "stipo"-noun-eo
"stipo"-noun-eo "cama"-noun-ca
"vigilància"-noun-ca "vigligado"-noun-eo
"vigligado"-noun-eo "vigilància"-noun-ca
"premsa"-noun-ca "presmaŝino"-noun-eo
"presmaŝino"-noun-eo "premsa"-noun-ca
"generació"-noun-ca "genero"-noun-eo
"genero"-noun-eo "generació"-noun-ca
"patí"-noun-ca "rulsketilo"-noun-eo
"patí"-noun-ca "sketilo"-noun-eo
"rulsketilo"-noun-eo "patí"-noun-ca
"sketilo"-noun-eo "patí"-noun-ca
"estable"-noun-ca "bestejo"-noun-eo
"bestejo"-noun-eo "estable"-noun-ca
"estil"-noun-ca "stiluso"-noun-eo
"stiluso"-noun-eo "estil"-noun-ca
"a temps"-adverb-ca "laŭtakte"-adverb-eo
"laŭtakte"-adverb-eo "a temps"-adverb-ca
"sabor"-noun-ca "saporo"-noun-eo
"saporo"-noun-eo "sabor"-noun-ca
"trena"-noun-ca "harplektaĵo"-noun-eo
"harplektaĵo"-noun-eo "trena"-noun-ca
"jeroglífic"-noun-ca "rebuso"-noun-eo
"rebuso"-noun-eo "jeroglífic"-noun-ca
"hipocresia"-noun-ca "hipokrito"-noun-eo
"hipokrito"-noun-eo "hipocresia"-noun-ca
"present"-adjective-ca "estanta"-adjective-eo
"estanta"-adjective-eo "present"-adjective-ca
"plomall"-noun-ca "plumviŝilo"-noun-eo
"plumviŝilo"-noun-eo "plomall"-noun-ca
"ideològic"-adjective-ca "ideologa"-adjective-eo
"ideologa"-adjective-eo "ideològic"-adjective-ca
"il·luminació"-noun-ca "iluminacio"-noun-eo
"iluminacio"-noun-eo "il·luminació"-noun-ca
"iluminacio"-noun-eo "enllumenat"-noun-ca
"impuls"-noun-ca "elano"-noun-eo
"elano"-noun-eo "impuls"-noun-ca
"elano"-noun-eo "embranzida"-noun-ca
"femella"-noun-ca "ŝraŭbino"-noun-eo
"ŝraŭbino"-noun-eo "femella"-noun-ca
"mestre"-noun-ca "instruanto"-noun-eo
"instruanto"-noun-eo "mestre"-noun-ca
"instruanto"-noun-eo "professor"-noun-ca
"professor"-noun-ca "instruanto"-noun-eo
"Israel"-properNoun-ca "Izraelo"-properNoun-eo
"Izraelo"-properNoun-eo "Israel"-properNoun-ca
"quinquenni"-noun-ca "kvinjaro"-noun-eo
"kvinjaro"-noun-eo "quinquenni"-noun-ca
"funicular"-noun-ca "funikularo"-noun-eo
"funikularo"-noun-eo "funicular"-noun-ca
"cacau"-noun-ca "kakaarbo"-noun-eo
"kakaarbo"-noun-eo "cacau"-noun-ca
"cal·ligrafia"-noun-ca "kaligrafarto"-noun-eo
"kaligrafarto"-noun-eo "cal·ligrafia"-noun-ca
"caprici"-noun-ca "ekdeziro"-noun-eo
"ekdeziro"-noun-eo "caprici"-noun-ca
"ekdeziro"-noun-eo "capritx"-noun-ca
"capritx"-noun-ca "ekdeziro"-noun-eo
"cep"-noun-ca "rebo"-noun-eo
"rebo"-noun-eo "cep"-noun-ca
"mareig"-noun-ca "veturmalsano"-noun-eo
"veturmalsano"-noun-eo "mareig"-noun-ca
"caramel"-noun-ca "karamelbombono"-noun-eo
"karamelbombono"-noun-eo "caramel"-noun-ca
"caravana"-noun-ca "domveturilo"-noun-eo
"domveturilo"-noun-eo "caravana"-noun-ca
"clavilla"-noun-ca "tenono"-noun-eo
"celler"-noun-ca "vinejo"-noun-eo
"vinejo"-noun-eo "celler"-noun-ca
"remolí"-noun-ca "akvoturniĝo"-noun-eo
"remolí"-noun-ca "turnakvo"-noun-eo
"akvoturniĝo"-noun-eo "remolí"-noun-ca
"turnakvo"-noun-eo "remolí"-noun-ca
"culte"-adjective-ca "instruita"-adjective-eo
"instruita"-adjective-eo "culte"-adjective-ca
"instruita"-adjective-eo "docte"-adjective-ca
"cocoter"-noun-ca "kokosujo"-noun-eo
"kokosujo"-noun-eo "cocoter"-noun-ca
"collaret"-noun-ca "kolringo"-noun-eo
"kolringo"-noun-eo "collaret"-noun-ca
"còmic"-noun-ca "komikisto"-noun-eo
"komikisto"-noun-eo "còmic"-noun-ca
"comunitat"-noun-ca "konvento"-noun-eo
"konvento"-noun-eo "comunitat"-noun-ca
"konvento"-noun-eo "convent"-noun-ca
"oficina"-noun-ca "entreprenejo"-noun-eo
"antiamericà"-adjective-ca "antiamerika"-adjective-eo
"antiamericà"-adjective-ca "kontraŭamerika"-adjective-eo
"antiamericà"-adjective-ca "antiusona"-adjective-eo
"antiamerika"-adjective-eo "antiamericà"-adjective-ca
"kontraŭamerika"-adjective-eo "antiamericà"-adjective-ca
"antiusona"-adjective-eo "antiamericà"-adjective-ca
"cèrcol"-noun-ca "rulringo"-noun-eo
"rulringo"-noun-eo "cèrcol"-noun-ca
"finestró"-noun-ca "fenestrumo"-noun-eo
"fenestrumo"-noun-eo "finestró"-noun-ca
"creient"-noun-ca "dikredanto"-noun-eo
"dikredanto"-noun-eo "creient"-noun-ca
"creixent"-adjective-ca "kreska"-adjective-eo
"kreska"-adjective-eo "creixent"-adjective-ca
"xenòfob"-adjective-ca "ksenofoba"-adjective-eo
"ksenofoba"-adjective-eo "xenòfob"-adjective-ca
"llet"-noun-ca "ĉuro"-noun-eo
"llet"-noun-ca "laktumo"-noun-eo
"ĉuro"-noun-eo "llet"-noun-ca
"laktumo"-noun-eo "llet"-noun-ca
"hort"-noun-ca "legomejo"-noun-eo
"legomejo"-noun-eo "hort"-noun-ca
"legomejo"-noun-eo "horta"-noun-ca
"alumne"-noun-ca "instruato"-noun-eo
"instruato"-noun-eo "alumne"-noun-ca
"aprenent"-noun-ca "lernoknabo"-noun-eo
"lernoknabo"-noun-eo "aprenent"-noun-ca
"bústia"-noun-ca "leterskatolo"-noun-eo
"leterskatolo"-noun-eo "bústia"-noun-ca
"llibreria"-noun-ca "libroservo"-noun-eo
"libroservo"-noun-eo "llibreria"-noun-ca
"limítrof"-adjective-ca "apudlima"-adjective-eo
"apudlima"-adjective-eo "limítrof"-adjective-ca
"fita"-noun-ca "mejlŝtono"-noun-eo
"mejlŝtono"-noun-eo "fita"-noun-ca
"lírica"-noun-ca "lirikismo"-noun-eo
"lirikismo"-noun-eo "lírica"-noun-ca
"litografia"-noun-ca "litografo"-noun-eo
"litografo"-noun-eo "litografia"-noun-ca
"malgaix"-adjective-ca "malgaŝa"-adjective-eo
"malgaŝa"-adjective-eo "malgaix"-adjective-ca
"malgaix"-noun-ca "malgaŝo"-noun-eo
"malgaŝo"-noun-eo "malgaix"-noun-ca
"lleig"-adjective-ca "turpa"-adjective-eo
"turpa"-adjective-eo "lleig"-adjective-ca
"esquerra"-noun-ca "maldekstrularo"-noun-eo
"maldekstrularo"-noun-eo "esquerra"-noun-ca
"bast"-adjective-ca "malfajna"-adjective-eo
"malfajna"-adjective-eo "bast"-adjective-ca
"dur"-adjective-ca "dura"-adjective-eo
"dura"-adjective-eo "dur"-adjective-ca
"descens"-noun-ca "descendo"-noun-eo
"descendo"-noun-eo "descens"-noun-ca
"estret"-adjective-ca "streta"-adjective-eo
"streta"-adjective-eo "estret"-adjective-ca
"breu"-adjective-ca "kurta"-adjective-eo
"kurta"-adjective-eo "breu"-adjective-ca
"kurta"-adjective-eo "curt"-adjective-ca
"curt"-adjective-ca "kurta"-adjective-eo
"lent"-adjective-ca "lanta"-adjective-eo
"lanta"-adjective-eo "lent"-adjective-ca
"lanta"-adjective-eo "pausat"-adjective-ca
"pausat"-adjective-ca "lanta"-adjective-eo
"diferentment"-adverb-ca "malegale"-adverb-eo
"malegale"-adverb-eo "diferentment"-adverb-ca
"desestabilització"-noun-ca "malfirmiĝo"-noun-eo
"desestabilització"-noun-ca "malfirmigo"-noun-eo
"malfirmiĝo"-noun-eo "desestabilització"-noun-ca
"malfirmigo"-noun-eo "desestabilització"-noun-ca
"insuficiència"-noun-ca "insuficienco"-noun-eo
"insuficienco"-noun-eo "insuficiència"-noun-ca
"marca"-noun-ca "streketo"-noun-eo
"mascle"-noun-ca "tenono"-noun-eo
"Mèxic"-properNoun-ca "Meksikio"-properNoun-eo
"Meksikio"-properNoun-eo "Mèxic"-properNoun-ca
"autogestió"-noun-ca "memadministrado"-noun-eo
"memadministrado"-noun-eo "autogestió"-noun-ca
"mil·lenari"-adjective-ca "jarmila"-adjective-eo
"jarmila"-adjective-eo "mil·lenari"-adjective-ca
"abús"-noun-ca "trouzo"-noun-eo
"trouzo"-noun-eo "abús"-noun-ca
"muntatge"-noun-ca "trukaĵo"-noun-eo
"trukaĵo"-noun-eo "muntatge"-noun-ca
"moscatell"-noun-ca "moskatelo"-noun-eo
"moskatelo"-noun-eo "moscatell"-noun-ca
"nap"-noun-ca "brasiknapo"-noun-eo
"nap"-noun-ca "rapo"-noun-eo
"brasiknapo"-noun-eo "nap"-noun-ca
"rapo"-noun-eo "nap"-noun-ca
"lavabo"-noun-ca "lavabo"-noun-eo
"lavabo"-noun-eo "lavabo"-noun-ca
"Blancaneu"-properNoun-ca "Neĝblankulino"-properNoun-eo
"Neĝblankulino"-properNoun-eo "Blancaneu"-properNoun-ca
"irresponsable"-adjective-ca "senrespondeca"-adjective-eo
"irresponsable"-adjective-ca "malrespondeca"-adjective-eo
"irresponsable"-adjective-ca "malresponsa"-adjective-eo
"irresponsable"-adjective-ca "neresponsa"-adjective-eo
"senrespondeca"-adjective-eo "irresponsable"-adjective-ca
"malrespondeca"-adjective-eo "irresponsable"-adjective-ca
"malresponsa"-adjective-eo "irresponsable"-adjective-ca
"neresponsa"-adjective-eo "irresponsable"-adjective-ca
"irresponsablement"-adverb-ca "senrespondece"-adverb-eo
"irresponsablement"-adverb-ca "malrespondece"-adverb-eo
"irresponsablement"-adverb-ca "malresponse"-adverb-eo
"irresponsablement"-adverb-ca "neresponse"-adverb-eo
"senrespondece"-adverb-eo "irresponsablement"-adverb-ca
"malrespondece"-adverb-eo "irresponsablement"-adverb-ca
"malresponse"-adverb-eo "irresponsablement"-adverb-ca
"neresponse"-adverb-eo "irresponsablement"-adverb-ca
"nervi"-noun-ca "nervuro"-noun-eo
"nervuro"-noun-eo "nervi"-noun-ca
"asimetria"-noun-ca "asimetrio"-noun-eo
"asimetrio"-noun-eo "asimetria"-noun-ca
"asimetrio"-noun-eo "dissimetria"-noun-ca
"Nova York"-properNoun-ca "Novjorko"-properNoun-eo
"Novjorko"-properNoun-eo "Nova York"-properNoun-ca
"matrícula"-noun-ca "matrikulo"-noun-eo
"matrikulo"-noun-eo "matrícula"-noun-ca
"occident"-noun-ca "uesto"-noun-eo
"uesto"-noun-eo "occident"-noun-ca
"uesto"-noun-eo "oest"-noun-ca
"oest"-noun-ca "uesto"-noun-eo
"organització"-noun-ca "organizacio"-noun-eo
"organizacio"-noun-eo "organització"-noun-ca
"est"-noun-ca "eosto"-noun-eo
"eosto"-noun-eo "est"-noun-ca
"eosto"-noun-eo "orient"-noun-ca
"orient"-noun-ca "eosto"-noun-eo
"pacifisme"-noun-ca "pacmovado"-noun-eo
"pacmovado"-noun-eo "pacifisme"-noun-ca
"pancarta"-noun-ca "tolafiŝo"-noun-eo
"tolafiŝo"-noun-eo "pancarta"-noun-ca
"molla"-noun-ca "panmolo"-noun-eo
"panmolo"-noun-eo "molla"-noun-ca
"lloro"-noun-ca "psitako"-noun-eo
"psitako"-noun-eo "lloro"-noun-ca
"passió"-noun-ca "pasiono"-noun-eo
"pasiono"-noun-eo "passió"-noun-ca
"desgavell"-noun-ca "mikskonfuzo"-noun-eo
"mikskonfuzo"-noun-eo "desgavell"-noun-ca
"mikskonfuzo"-noun-eo "desori"-noun-ca
"mikskonfuzo"-noun-eo "poti-poti"-noun-ca
"mikskonfuzo"-noun-eo "confusió"-noun-ca
"desori"-noun-ca "mikskonfuzo"-noun-eo
"poti-poti"-noun-ca "mikskonfuzo"-noun-eo
"violent"-adjective-ca "violenta"-adjective-eo
"violenta"-adjective-eo "violent"-adjective-ca
"periòdicament"-adverb-ca "perioda"-adverb-eo
"perioda"-adverb-eo "periòdicament"-adverb-ca
"personalitat"-noun-ca "personulo"-noun-eo
"pessimista"-noun-ca "nigravidulo"-noun-eo
"nigravidulo"-noun-eo "pessimista"-noun-ca
"pes"-noun-ca "ĵetglobo"-noun-eo
"ĵetglobo"-noun-eo "pes"-noun-ca
"picada"-noun-ca "pikvundo"-noun-eo
"pikvundo"-noun-eo "picada"-noun-ca
"pilota"-noun-ca "peloto"-noun-eo
"peloto"-noun-eo "pilota"-noun-ca
"cimera"-noun-ca "pintkunsido"-noun-eo
"pintkunsido"-noun-eo "cimera"-noun-ca
"Pius"-properNoun-ca "Pius"-properNoun-eo
"Pius"-properNoun-eo "Pius"-properNoun-ca
"pivot"-noun-ca "meza avanulo"-noun-eo
"meza avanulo"-noun-eo "pivot"-noun-ca
"calçada"-noun-ca "veturejo"-noun-eo
"veturejo"-noun-eo "calçada"-noun-ca
"contaminació"-noun-ca "poluo"-noun-eo
"poluo"-noun-eo "contaminació"-noun-ca
"supervivència"-noun-ca "transvivado"-noun-eo
"transvivado"-noun-eo "supervivència"-noun-ca
"poderós"-adjective-ca "multpova"-adjective-eo
"multpova"-adjective-eo "poderós"-adjective-ca
"pragmàticament"-adverb-ca "pragmatika"-adverb-eo
"pragmatika"-adverb-eo "pragmàticament"-adverb-ca
"impremta"-noun-ca "preseraro"-noun-eo
"preseraro"-noun-eo "impremta"-noun-ca
"preseraro"-noun-eo "errada"-noun-ca
"preseraro"-noun-eo "errata"-noun-ca
"presidencial"-adjective-ca "prezida"-adjective-eo
"prezida"-adjective-eo "presidencial"-adjective-ca
"primavera"-noun-ca "primolo"-noun-eo
"primolo"-noun-eo "primavera"-noun-ca
"primolo"-noun-eo "prímula"-noun-ca
"rendible"-adjective-ca "rentebla"-adjective-eo
"rentebla"-adjective-eo "rendible"-adjective-ca
"mostra"-noun-ca "muestro"-noun-eo
"muestro"-noun-eo "mostra"-noun-ca
"provocació"-noun-ca "provokado"-noun-eo
"provokado"-noun-eo "provocació"-noun-ca
"psiquiàtric"-adjective-ca "psikiatra"-adjective-eo
"psikiatra"-adjective-eo "psiquiàtric"-adjective-ca
"púrpura"-noun-ca "purpuraĵo"-noun-eo
"purpuraĵo"-noun-eo "púrpura"-noun-ca
"rebaixa"-noun-ca "malkariĝo"-noun-eo
"malkariĝo"-noun-eo "rebaixa"-noun-ca
"prompte"-adjective-ca "prompta"-adjective-eo
"prompta"-adjective-eo "prompte"-adjective-ca
"ratificar"-verb-ca "ratifi"-verb-eo
"ratifi"-verb-eo "ratificar"-verb-ca
"redacció"-noun-ca "redaktistaro"-noun-eo
"redaktistaro"-noun-eo "redacció"-noun-ca
"regeneració"-noun-ca "regenero"-noun-eo
"regenero"-noun-eo "regeneració"-noun-ca
"gravació"-noun-ca "gravurado"-noun-eo
"gravurado"-noun-eo "gravació"-noun-ca
"reclam"-noun-ca "logbirdo"-noun-eo
"reclam"-noun-ca "logfajfilo"-noun-eo
"logbirdo"-noun-eo "reclam"-noun-ca
"logfajfilo"-noun-eo "reclam"-noun-ca
"responsabilitat"-noun-ca "respondumo"-noun-eo
"respondumo"-noun-eo "responsabilitat"-noun-ca
"resultat"-noun-ca "rezultato"-noun-eo
"rezultato"-noun-eo "resultat"-noun-ca
"rosa"-noun-ca "rubeolo"-noun-eo
"rubeolo"-noun-eo "rosa"-noun-ca
"rubeolo"-noun-eo "rubèola"-noun-ca
"corró"-noun-ca "rultrabo"-noun-eo
"rultrabo"-noun-eo "corró"-noun-ca
"sàbat"-noun-ca "ŝabato"-noun-eo
"ŝabato"-noun-eo "sàbat"-noun-ca
"interruptor"-noun-ca "interuptoro"-noun-eo
"interuptoro"-noun-eo "interruptor"-noun-ca
"homòleg"-adjective-ca "sampostena"-adjective-eo
"homòleg"-adjective-ca "samofica"-adjective-eo
"sampostena"-adjective-eo "homòleg"-adjective-ca
"samofica"-adjective-eo "homòleg"-adjective-ca
"homòleg"-noun-ca "samoficulo"-noun-eo
"samoficulo"-noun-eo "homòleg"-noun-ca
"simultani"-adjective-ca "simultana"-adjective-eo
"simultana"-adjective-eo "simultani"-adjective-ca
"indemne"-adjective-ca "sendamaĝa"-adjective-eo
"sendamaĝa"-adjective-eo "indemne"-adjective-ca
"esquirol"-noun-ca "strikorompanto"-noun-eo
"strikorompanto"-noun-eo "esquirol"-noun-ca
"sèu"-noun-ca "sebumo"-noun-eo
"sebumo"-noun-eo "sèu"-noun-ca
"senat"-noun-ca "senatejo"-noun-eo
"senatejo"-noun-eo "senat"-noun-ca
"estèril"-adjective-ca "senĝerma"-adjective-eo
"senĝerma"-adjective-eo "estèril"-adjective-ca
"senĝerma"-adjective-eo "asèptic"-adjective-ca
"senyal"-noun-ca "streketo"-noun-eo
"simplicitat"-noun-ca "simplo"-noun-eo
