"10a"-adjective-eo "Xème"-adjective-fr
"reĝo"-noun-eo "reine"-noun-fr
"abelsvarmo"-noun-eo "essaim"-noun-fr
"essaim"-noun-fr "abelsvarmo"-noun-eo
"essaim"-noun-fr "svarmo"-noun-eo
"svarmo"-noun-eo "essaim"-noun-fr
"svarmo"-noun-eo "nuée"-noun-fr
"svarmo"-noun-eo "infinité"-noun-fr
"svarmo"-noun-eo "déchaînement"-noun-fr
"abelujo"-noun-eo "ruche"-noun-fr
"ruche"-noun-fr "abelujo"-noun-eo
"Abisenio"-properNoun-eo "Abyssinie"-properNoun-fr
"Abyssinie"-properNoun-fr "Abisenio"-properNoun-eo
"abisma"-adjective-eo "abyssal"-adjective-fr
"abisma"-adjective-eo "incommensurable"-adjective-fr
"abisma"-adjective-eo "insondable"-adjective-fr
"abisma"-adjective-eo "illimité"-adjective-fr
"abisma"-adjective-eo "infini"-adjective-fr
"abisma"-adjective-eo "profond"-adjective-fr
"abyssal"-adjective-fr "abisma"-adjective-eo
"incommensurable"-adjective-fr "abisma"-adjective-eo
"insondable"-adjective-fr "abisma"-adjective-eo
"illimité"-adjective-fr "abisma"-adjective-eo
"illimité"-adjective-fr "absoluta"-adjective-eo
"infini"-adjective-fr "abisma"-adjective-eo
"infini"-adjective-fr "infinita"-adjective-eo
"infini"-adjective-fr "nefinia"-adjective-eo
"infini"-adjective-fr "senfina"-adjective-eo
"profond"-adjective-fr "abisma"-adjective-eo
"profond"-adjective-fr "funda"-adjective-eo
"profond"-adjective-fr "intima"-adjective-eo
"profond"-adjective-fr "pensiga"-adjective-eo
"absoluta"-adjective-eo "illimité"-adjective-fr
"absoluta"-adjective-eo "complet"-adjective-fr
"absoluta"-adjective-eo "total"-adjective-fr
"infinita"-adjective-eo "infini"-adjective-fr
"nefinia"-adjective-eo "infini"-adjective-fr
"senfina"-adjective-eo "infini"-adjective-fr
"funda"-adjective-eo "profond"-adjective-fr
"funda"-adjective-eo "essentiel"-adjective-fr
"funda"-adjective-eo "foncier"-adjective-fr
"intima"-adjective-eo "profond"-adjective-fr
"intima"-adjective-eo "privé"-adjective-fr
"intima"-adjective-eo "secret"-adjective-fr
"pensiga"-adjective-eo "profond"-adjective-fr
"abismo"-noun-eo "abysse"-noun-fr
"abismo"-noun-eo "gouffre"-noun-fr
"abysse"-noun-fr "abismo"-noun-eo
"gouffre"-noun-fr "abismo"-noun-eo
"gouffre"-noun-fr "profundegaĵo"-noun-eo
"profundegaĵo"-noun-eo "gouffre"-noun-fr
"précipice"-noun-fr "senfundaĵo"-noun-eo
"senfundaĵo"-noun-eo "précipice"-noun-fr
"abiturienteco"-noun-eo "baccalauréat"-noun-fr
"baccalauréat"-noun-fr "abiturienteco"-noun-eo
"abituriento"-noun-eo "bachelier"-noun-fr
"bachelier"-noun-fr "abituriento"-noun-eo
"bachelier"-noun-fr "bakalaŭro"-noun-eo
"bakalaŭro"-noun-eo "bachelier"-noun-fr
"ablacio"-noun-eo "ablation"-noun-fr
"ablation"-noun-fr "ablacio"-noun-eo
"ablativo"-noun-eo "ablatif"-noun-fr
"ablatif"-noun-fr "ablativo"-noun-eo
"désintéressé"-adjective-fr "neprofitema"-adjective-eo
"neprofitema"-adjective-eo "désintéressé"-adjective-fr
"aboco"-noun-eo "abécédaire"-noun-fr
"aboco"-noun-eo "rudiment"-noun-fr
"aboco"-noun-eo "alphabet"-noun-fr
"abécédaire"-noun-fr "aboco"-noun-eo
"abécédaire"-noun-fr "alfabetumo"-noun-eo
"rudiment"-noun-fr "aboco"-noun-eo
"alphabet"-noun-fr "aboco"-noun-eo
"alphabet"-noun-fr "kodo"-noun-eo
"alfabetumo"-noun-eo "abécédaire"-noun-fr
"kodo"-noun-eo "alphabet"-noun-fr
"kodo"-noun-eo "codage"-noun-fr
"aboli"-verb-eo "abolir"-verb-fr
"aboli"-verb-eo "abroger"-verb-fr
"aboli"-verb-eo "annuler"-verb-fr
"abolir"-verb-fr "aboli"-verb-eo
"abolir"-verb-fr "abolicii"-verb-eo
"abroger"-verb-fr "aboli"-verb-eo
"abroger"-verb-fr "abolicii"-verb-eo
"annuler"-verb-fr "aboli"-verb-eo
"annuler"-verb-fr "abolicii"-verb-eo
"annuler"-verb-fr "kasacii"-verb-eo
"abolicii"-verb-eo "abolir"-verb-fr
"abolicii"-verb-eo "abroger"-verb-fr
"abolicii"-verb-eo "annuler"-verb-fr
"kasacii"-verb-eo "annuler"-verb-fr
"kasacii"-verb-eo "marier"-verb-fr
"kasacii"-verb-eo "casser"-verb-fr
"abolicio"-noun-eo "abolition"-noun-fr
"abolition"-noun-fr "abolicio"-noun-eo
"abolition"-noun-fr "forigo"-noun-eo
"forigo"-noun-eo "abolition"-noun-fr
"forigo"-noun-eo "élimination"-noun-fr
"forigo"-noun-eo "exclusion"-noun-fr
"forigo"-noun-eo "mise hors course"-noun-fr
"forigo"-noun-eo "suppression"-noun-fr
"abomena"-adjective-eo "abominable"-adjective-fr
"abomena"-adjective-eo "dégoûtant"-adjective-fr
"abomena"-adjective-eo "détestable"-adjective-fr
"abomena"-adjective-eo "horrible"-adjective-fr
"abominable"-adjective-fr "abomena"-adjective-eo
"abominable"-adjective-fr "abomeninda"-adjective-eo
"dégoûtant"-adjective-fr "abomena"-adjective-eo
"dégoûtant"-adjective-fr "abomeninda"-adjective-eo
"détestable"-adjective-fr "abomena"-adjective-eo
"détestable"-adjective-fr "abomeninda"-adjective-eo
"horrible"-adjective-fr "abomena"-adjective-eo
"horrible"-adjective-fr "abomeninda"-adjective-eo
"horrible"-adjective-fr "aĉa"-adjective-eo
"horrible"-adjective-fr "horora"-adjective-eo
"abomeninda"-adjective-eo "abominable"-adjective-fr
"abomeninda"-adjective-eo "dégoûtant"-adjective-fr
"abomeninda"-adjective-eo "détestable"-adjective-fr
"abomeninda"-adjective-eo "horrible"-adjective-fr
"abomeninda"-adjective-eo "affreux"-adjective-fr
"aĉa"-adjective-eo "horrible"-adjective-fr
"aĉa"-adjective-eo "dégueulasse"-adjective-fr
"aĉa"-adjective-eo "salaud"-adjective-fr
"aĉa"-adjective-eo "mauvais"-adjective-fr
"horora"-adjective-eo "horrible"-adjective-fr
"horora"-adjective-eo "affreux"-adjective-fr
"abomenaĵo"-noun-eo "ignominie"-noun-fr
"abomenaĵo"-noun-eo "abomination"-noun-fr
"abomenaĵo"-noun-eo "honte"-noun-fr
"abomenaĵo"-noun-eo "horreur"-noun-fr
"ignominie"-noun-fr "abomenaĵo"-noun-eo
"abomination"-noun-fr "abomenaĵo"-noun-eo
"abomination"-noun-fr "abomeno"-noun-eo
"honte"-noun-fr "abomenaĵo"-noun-eo
"honte"-noun-fr "malgloro"-noun-eo
"horreur"-noun-fr "abomenaĵo"-noun-eo
"abomeno"-noun-eo "abomination"-noun-fr
"abomeno"-noun-eo "aversion"-noun-fr
"abomeno"-noun-eo "détestation"-noun-fr
"abomeno"-noun-eo "répulsion"-noun-fr
"abomeno"-noun-eo "dégoût"-noun-fr
"malgloro"-noun-eo "honte"-noun-fr
"abomene"-adverb-eo "abominablement"-adverb-fr
"abomene"-adverb-eo "détestablement"-adverb-fr
"abomene"-adverb-eo "horriblement"-adverb-fr
"abominablement"-adverb-fr "abomene"-adverb-eo
"abominablement"-adverb-fr "abomeninde"-adverb-eo
"détestablement"-adverb-fr "abomene"-adverb-eo
"détestablement"-adverb-fr "abomeninde"-adverb-eo
"horriblement"-adverb-fr "abomene"-adverb-eo
"horriblement"-adverb-fr "abomeninde"-adverb-eo
"horriblement"-adverb-fr "aĉe"-adverb-eo
"horriblement"-adverb-fr "hide"-adverb-eo
"horriblement"-adverb-fr "horore"-adverb-eo
"horriblement"-adverb-fr "terure"-adverb-eo
"abomeninde"-adverb-eo "abominablement"-adverb-fr
"abomeninde"-adverb-eo "détestablement"-adverb-fr
"abomeninde"-adverb-eo "horriblement"-adverb-fr
"aĉe"-adverb-eo "horriblement"-adverb-fr
"hide"-adverb-eo "horriblement"-adverb-fr
"horore"-adverb-eo "horriblement"-adverb-fr
"terure"-adverb-eo "horriblement"-adverb-fr
"terure"-adverb-eo "épouvantablement"-adverb-fr
"terure"-adverb-eo "terriblement"-adverb-fr
"affreux"-adjective-fr "abomeninda"-adjective-eo
"affreux"-adjective-fr "horora"-adjective-eo
"affreux"-adjective-fr "hida"-adjective-eo
"affreux"-adjective-fr "malbelega"-adjective-eo
"affreux"-adjective-fr "terura"-adjective-eo
"affreux"-adjective-fr "timiga"-adjective-eo
"hida"-adjective-eo "affreux"-adjective-fr
"hida"-adjective-eo "hideux"-adjective-fr
"malbelega"-adjective-eo "affreux"-adjective-fr
"terura"-adjective-eo "affreux"-adjective-fr
"terura"-adjective-eo "effrayant"-adjective-fr
"terura"-adjective-eo "épouvantable"-adjective-fr
"timiga"-adjective-eo "affreux"-adjective-fr
"timiga"-adjective-eo "effroyable"-adjective-fr
"aversion"-noun-fr "abomeno"-noun-eo
"détestation"-noun-fr "abomeno"-noun-eo
"répulsion"-noun-fr "abomeno"-noun-eo
"dégoût"-noun-fr "abomeno"-noun-eo
"dégoût"-noun-fr "naŭzo"-noun-eo
"naŭzo"-noun-eo "dégoût"-noun-fr
"naŭzo"-noun-eo "nausée"-noun-fr
"abonanto"-noun-eo "abonné"-noun-fr
"abonné"-noun-fr "abonanto"-noun-eo
"aborigena"-adjective-eo "aborigène"-adjective-fr
"aborigena"-adjective-eo "autochtone"-adjective-fr
"aborigène"-adjective-fr "aborigena"-adjective-eo
"autochtone"-adjective-fr "aborigena"-adjective-eo
"autochtone"-adjective-fr "indiĝena"-adjective-eo
"indiĝena"-adjective-eo "autochtone"-adjective-fr
"aborigeno"-noun-eo "autochtone"-noun-fr
"autochtone"-noun-fr "aborigeno"-noun-eo
"autochtone"-noun-fr "aŭtoktono"-noun-eo
"autochtone"-noun-fr "indiĝeno"-noun-eo
"aŭtoktono"-noun-eo "autochtone"-noun-fr
"indiĝeno"-noun-eo "autochtone"-noun-fr
"indiĝeno"-noun-eo "natif"-noun-fr
"indiĝeno"-noun-eo "aborigène"-noun-fr
"aborto"-noun-eo "avortement"-noun-fr
"avortement"-noun-fr "aborto"-noun-eo
"abrikotarbo"-noun-eo "abricotier"-noun-fr
"abricotier"-noun-fr "abrikotarbo"-noun-eo
"abricotier"-noun-fr "abrikotujo"-noun-eo
"abrikotujo"-noun-eo "abricotier"-noun-fr
"abrikoto"-noun-eo "abricot"-noun-fr
"abricot"-noun-fr "abrikoto"-noun-eo
"abrupta"-adjective-eo "abrupt"-adjective-fr
"abrupta"-adjective-eo "brusque"-adjective-fr
"abrupta"-adjective-eo "brutal"-adjective-fr
"abrupta"-adjective-eo "rude"-adjective-fr
"abrupta"-adjective-eo "inattendu"-adjective-fr
"abrupt"-adjective-fr "abrupta"-adjective-eo
"brusque"-adjective-fr "abrupta"-adjective-eo
"brutal"-adjective-fr "abrupta"-adjective-eo
"rude"-adjective-fr "abrupta"-adjective-eo
"inattendu"-adjective-fr "abrupta"-adjective-eo
"absceso"-noun-eo "abcès"-noun-fr
"abcès"-noun-fr "absceso"-noun-eo
"absciso"-noun-eo "abscisse"-noun-fr
"abscisse"-noun-fr "absciso"-noun-eo
"déambulatoire"-noun-fr "ambulatorio"-noun-eo
"ambulatorio"-noun-eo "déambulatoire"-noun-fr
"absido"-noun-eo "abside"-noun-fr
"abside"-noun-fr "absido"-noun-eo
"absintaĵo"-noun-eo "absinthe"-noun-fr
"absinthe"-noun-fr "absintaĵo"-noun-eo
"absinthe"-noun-fr "absinto"-noun-eo
"absinto"-noun-eo "absinthe"-noun-fr
"complet"-adjective-fr "absoluta"-adjective-eo
"complet"-adjective-fr "plena"-adjective-eo
"total"-adjective-fr "absoluta"-adjective-eo
"total"-adjective-fr "kompleta"-adjective-eo
"total"-adjective-fr "plena"-adjective-eo
"total"-adjective-fr "totala"-adjective-eo
"total"-adjective-fr "tuta"-adjective-eo
"absolu"-adjective-fr "kompleta"-adjective-eo
"kompleta"-adjective-eo "total"-adjective-fr
"kompleta"-adjective-eo "absolu"-adjective-fr
"kompleta"-adjective-eo "intégral"-adjective-fr
"kompleta"-adjective-eo "plein"-adjective-fr
"plena"-adjective-eo "complet"-adjective-fr
"plena"-adjective-eo "total"-adjective-fr
"plena"-adjective-eo "entier"-adjective-fr
"plena"-adjective-eo "catégorique"-adjective-fr
"totala"-adjective-eo "total"-adjective-fr
"tuta"-adjective-eo "total"-adjective-fr
"absolument"-adverb-fr "tute"-adverb-eo
"tute"-adverb-eo "absolument"-adverb-fr
"tute"-adverb-eo "tout à fait"-adverb-fr
"absolvi"-verb-eo "absoudre"-verb-fr
"absoudre"-verb-fr "absolvi"-verb-eo
"absolvo"-noun-eo "absolution"-noun-fr
"absolution"-noun-fr "absolvo"-noun-eo
"absorbi"-verb-eo "absorber"-verb-fr
"absorbi"-verb-eo "accaparer"-verb-fr
"absorbi"-verb-eo "occuper"-verb-fr
"absorbi"-verb-eo "prendre"-verb-fr
"absorber"-verb-fr "absorbi"-verb-eo
"accaparer"-verb-fr "absorbi"-verb-eo
"accaparer"-verb-fr "kaperi"-verb-eo
"occuper"-verb-fr "absorbi"-verb-eo
"prendre"-verb-fr "absorbi"-verb-eo
"prendre"-verb-fr "adopti"-verb-eo
"kaperi"-verb-eo "accaparer"-verb-fr
"kaperi"-verb-eo "détourner"-verb-fr
"kaperi"-verb-eo "prendre d'assaut"-verb-fr
"kaperi"-verb-eo "aborder"-verb-fr
"kaperi"-verb-eo "emparer"-verb-fr
"adopti"-verb-eo "prendre"-verb-fr
"adopti"-verb-eo "choisir"-verb-fr
"adopti"-verb-eo "ranger"-verb-fr
"abstemio"-noun-eo "abstinence"-noun-fr
"abstinence"-noun-fr "abstemio"-noun-eo
"abstinence"-noun-fr "abstinado"-noun-eo
"abstinado"-noun-eo "abstinence"-noun-fr
"abstinado"-noun-eo "ascèse"-noun-fr
"abstinado"-noun-eo "privation"-noun-fr
"ascèse"-noun-fr "abstinado"-noun-eo
"privation"-noun-fr "abstinado"-noun-eo
"abstino"-noun-eo "veille"-noun-fr
"veille"-noun-fr "abstino"-noun-eo
"veille"-noun-fr "antaŭa tago"-noun-eo
"veille"-noun-fr "antaŭtago"-noun-eo
"veille"-noun-fr "antaŭvespero"-noun-eo
"veille"-noun-fr "hieraŭo"-noun-eo
"antaŭa tago"-noun-eo "veille"-noun-fr
"antaŭtago"-noun-eo "veille"-noun-fr
"antaŭvespero"-noun-eo "veille"-noun-fr
"hieraŭo"-noun-eo "veille"-noun-fr
"abstrakta"-adjective-eo "formel"-adjective-fr
"abstrakta"-adjective-eo "théorique"-adjective-fr
"formel"-adjective-fr "abstrakta"-adjective-eo
"formel"-adjective-fr "forma"-adjective-eo
"théorique"-adjective-fr "abstrakta"-adjective-eo
"forma"-adjective-eo "formel"-adjective-fr
"absurda"-adjective-eo "aberrant"-adjective-fr
"absurda"-adjective-eo "illogique"-adjective-fr
"absurda"-adjective-eo "fou"-adjective-fr
"absurda"-adjective-eo "idiot"-adjective-fr
"absurda"-adjective-eo "incohérent"-adjective-fr
"absurda"-adjective-eo "stupide"-adjective-fr
"aberrant"-adjective-fr "absurda"-adjective-eo
"illogique"-adjective-fr "absurda"-adjective-eo
"fou"-adjective-fr "absurda"-adjective-eo
"fou"-adjective-fr "fola"-adjective-eo
"idiot"-adjective-fr "absurda"-adjective-eo
"idiot"-adjective-fr "stulta"-adjective-eo
"incohérent"-adjective-fr "absurda"-adjective-eo
"incohérent"-adjective-fr "malakorda"-adjective-eo
"incohérent"-adjective-fr "nekohera"-adjective-eo
"stupide"-adjective-fr "absurda"-adjective-eo
"absurde"-adjective-fr "sensenca"-adjective-eo
"sensenca"-adjective-eo "absurde"-adjective-fr
"sensenca"-adjective-eo "inepte"-adjective-fr
"fola"-adjective-eo "fou"-adjective-fr
"fola"-adjective-eo "étourdi"-adjective-fr
"stulta"-adjective-eo "idiot"-adjective-fr
"stulta"-adjective-eo "imbécile"-adjective-fr
"stulta"-adjective-eo "bête"-adjective-fr
"stulta"-adjective-eo "sot"-adjective-fr
"malakorda"-adjective-eo "incohérent"-adjective-fr
"malakorda"-adjective-eo "divergent"-adjective-fr
"malakorda"-adjective-eo "contraire"-adjective-fr
"malakorda"-adjective-eo "opposé"-adjective-fr
"malakorda"-adjective-eo "contradictoire"-adjective-fr
"malakorda"-adjective-eo "inharmonieux"-adjective-fr
"nekohera"-adjective-eo "incohérent"-adjective-fr
"absurde"-adverb-eo "absurdement"-adverb-fr
"absurde"-adverb-eo "illogiquement"-adverb-fr
"absurdement"-adverb-fr "absurde"-adverb-eo
"absurdement"-adverb-fr "sensence"-adverb-eo
"illogiquement"-adverb-fr "absurde"-adverb-eo
"sensence"-adverb-eo "absurdement"-adverb-fr
"abunda"-adjective-eo "copieux"-adjective-fr
"abunda"-adjective-eo "luxuriant"-adjective-fr
"abunda"-adjective-eo "plantureux"-adjective-fr
"abunda"-adjective-eo "prolixe"-adjective-fr
"abunda"-adjective-eo "ample"-adjective-fr
"abunda"-adjective-eo "fécond"-adjective-fr
"abunda"-adjective-eo "large"-adjective-fr
"abunda"-adjective-eo "multiple"-adjective-fr
"abunda"-adjective-eo "riche"-adjective-fr
"copieux"-adjective-fr "abunda"-adjective-eo
"luxuriant"-adjective-fr "abunda"-adjective-eo
"plantureux"-adjective-fr "abunda"-adjective-eo
"prolixe"-adjective-fr "abunda"-adjective-eo
"ample"-adjective-fr "abunda"-adjective-eo
"ample"-adjective-fr "larĝa"-adjective-eo
"ample"-adjective-fr "multampleksa"-adjective-eo
"fécond"-adjective-fr "abunda"-adjective-eo
"fécond"-adjective-fr "fekunda"-adjective-eo
"fécond"-adjective-fr "fruktodona"-adjective-eo
"fécond"-adjective-fr "fruktoporta"-adjective-eo
"large"-adjective-fr "abunda"-adjective-eo
"large"-adjective-fr "malavara"-adjective-eo
"large"-adjective-fr "vasta"-adjective-eo
"multiple"-adjective-fr "abunda"-adjective-eo
"multiple"-adjective-fr "multnombra"-adjective-eo
"multiple"-adjective-fr "multobla"-adjective-eo
"riche"-adjective-fr "abunda"-adjective-eo
"riche"-adjective-fr "fekunda"-adjective-eo
"riche"-adjective-fr "grasa"-adjective-eo
"larĝa"-adjective-eo "ample"-adjective-fr
"multampleksa"-adjective-eo "ample"-adjective-fr
"multampleksa"-adjective-eo "étendu"-adjective-fr
"fekunda"-adjective-eo "fécond"-adjective-fr
"fekunda"-adjective-eo "riche"-adjective-fr
"fekunda"-adjective-eo "fertile"-adjective-fr
"fekunda"-adjective-eo "prolifique"-adjective-fr
"fekunda"-adjective-eo "productif"-adjective-fr
"fruktodona"-adjective-eo "fécond"-adjective-fr
"fruktodona"-adjective-eo "fertile"-adjective-fr
"fruktodona"-adjective-eo "fructueux"-adjective-fr
"fruktoporta"-adjective-eo "fécond"-adjective-fr
"fruktoporta"-adjective-eo "fertile"-adjective-fr
"malavara"-adjective-eo "large"-adjective-fr
"malavara"-adjective-eo "prodigue"-adjective-fr
"vasta"-adjective-eo "large"-adjective-fr
"vasta"-adjective-eo "ouvert"-adjective-fr
"vasta"-adjective-eo "lâche"-adjective-fr
"vasta"-adjective-eo "spacieux"-adjective-fr
"multnombra"-adjective-eo "multiple"-adjective-fr
"multobla"-adjective-eo "multiple"-adjective-fr
"grasa"-adjective-eo "riche"-adjective-fr
"grasa"-adjective-eo "gras"-adjective-fr
"abunde"-adverb-eo "copieusement"-adverb-fr
"copieusement"-adverb-fr "abunde"-adverb-eo
"abundeco"-noun-eo "profusion"-noun-fr
"abundeco"-noun-eo "abondance"-noun-fr
"abundeco"-noun-eo "ampleur"-noun-fr
"abundeco"-noun-eo "générosité"-noun-fr
"abundeco"-noun-eo "richesse"-noun-fr
"profusion"-noun-fr "abundeco"-noun-eo
"profusion"-noun-fr "abundo"-noun-eo
"abondance"-noun-fr "abundeco"-noun-eo
"abondance"-noun-fr "abundo"-noun-eo
"ampleur"-noun-fr "abundeco"-noun-eo
"ampleur"-noun-fr "abundo"-noun-eo
"générosité"-noun-fr "abundeco"-noun-eo
"générosité"-noun-fr "abundo"-noun-eo
"richesse"-noun-fr "abundeco"-noun-eo
"richesse"-noun-fr "abundo"-noun-eo
"richesse"-noun-fr "riĉaĵo"-noun-eo
"abundo"-noun-eo "profusion"-noun-fr
"abundo"-noun-eo "abondance"-noun-fr
"abundo"-noun-eo "ampleur"-noun-fr
"abundo"-noun-eo "générosité"-noun-fr
"abundo"-noun-eo "richesse"-noun-fr
"riĉaĵo"-noun-eo "richesse"-noun-fr
"riĉaĵo"-noun-eo "bien"-noun-fr
"abundi"-verb-eo "abonder"-verb-fr
"abundi"-verb-eo "foisonner"-verb-fr
"abundi"-verb-eo "fourmiller"-verb-fr
"abonder"-verb-fr "abundi"-verb-eo
"foisonner"-verb-fr "abundi"-verb-eo
"fourmiller"-verb-fr "abundi"-verb-eo
"abutmento"-noun-eo "contrefort"-noun-fr
"contrefort"-noun-fr "abutmento"-noun-eo
"dégueulasse"-adjective-fr "aĉa"-adjective-eo
"salaud"-adjective-fr "aĉa"-adjective-eo
"mauvais"-adjective-fr "aĉa"-adjective-eo
"aĉaĵo"-noun-eo "cochonnerie"-noun-fr
"cochonnerie"-noun-fr "aĉaĵo"-noun-eo
"cochonnerie"-noun-fr "fiaĵo"-noun-eo
"fiaĵo"-noun-eo "cochonnerie"-noun-fr
"fiaĵo"-noun-eo "bassesse"-noun-fr
"acerbe"-adjective-fr "akra"-adjective-eo
"akra"-adjective-eo "acerbe"-adjective-fr
"akra"-adjective-eo "âpre"-adjective-fr
"akra"-adjective-eo "aiguisé"-adjective-fr
"akra"-adjective-eo "maussade"-adjective-fr
"akra"-adjective-eo "perçant"-adjective-fr
"akra"-adjective-eo "piquant"-adjective-fr
"akra"-adjective-eo "pointu"-adjective-fr
"akra"-adjective-eo "vif"-adjective-fr
"akra"-adjective-eo "fort"-adjective-fr
"âpre"-adjective-fr "akra"-adjective-eo
"caustique"-adjective-fr "kaŭstika"-adjective-eo
"kaŭstika"-adjective-eo "caustique"-adjective-fr
"kaŭstika"-adjective-eo "corrosif"-adjective-fr
"corrosif"-adjective-fr "kaŭstika"-adjective-eo
"aigrement"-adverb-fr "acide"-adverb-eo
"acide"-adverb-eo "aigrement"-adverb-fr
"aĉetanto"-noun-eo "acquéreur"-noun-fr
"acquéreur"-noun-fr "aĉetanto"-noun-eo
"acheteur"-noun-fr "aĉetisto"-noun-eo
"aĉetisto"-noun-eo "acheteur"-noun-fr
"acetato"-noun-eo "acétate"-noun-fr
"acétate"-noun-fr "acetato"-noun-eo
"acetileno"-noun-eo "acétylène"-noun-fr
"acétylène"-noun-fr "acetileno"-noun-eo
"aĉetkapablo"-noun-eo "pouvoir d'achat"-noun-fr
"pouvoir d'achat"-noun-fr "aĉetkapablo"-noun-eo
"acetono"-noun-eo "acétone"-noun-fr
"acétone"-noun-fr "acetono"-noun-eo
"acipensero"-noun-eo "esturgeon"-noun-fr
