"la"-determiner-eo "un"-determiner-fr
"ĉi tio"-pronoun-eo "ce"-pronoun-fr
"ĉi tio"-pronoun-eo "ça"-pronoun-fr
"ce"-pronoun-fr "ĉi tio"-pronoun-eo
"ça"-pronoun-fr "ĉi tio"-pronoun-eo
"kiom"-relativePronoun-eo "combien"-adverb-fr
"combien"-adverb-fr "kiom"-relativePronoun-eo
"combien"-relativePronoun-fr "kiom"-adverb-eo
"kiom"-adverb-eo "combien"-relativePronoun-fr
"prpers"-pronoun-eo "se"-reflexivePersonalPronoun-fr
"prpers"-pronoun-eo "se"-pronoun-fr
"se"-reflexivePersonalPronoun-fr "prpers"-pronoun-eo
"se"-pronoun-fr "prpers"-pronoun-eo
"kie"-adverb-eo "où"-relativePronoun-fr
"où"-relativePronoun-fr "kie"-adverb-eo
"moyennant"-preposition-fr "pere de"-preposition-eo
"pere de"-preposition-eo "moyennant"-preposition-fr
"hors"-preposition-fr "ekster"-preposition-eo
"ekster"-preposition-eo "hors"-preposition-fr
"à"-preposition-fr "en"-preposition-eo
"en"-preposition-eo "à"-preposition-fr
"en"-preposition-eo "ès"-preposition-fr
"en"-preposition-eo "chez"-preposition-fr
"en"-preposition-eo "sur"-preposition-fr
"ès"-preposition-fr "en"-preposition-eo
"chez"-preposition-fr "en"-preposition-eo
"sur"-preposition-fr "en"-preposition-eo
"sur"-preposition-fr "pri"-preposition-eo
"sur"-preposition-fr "super"-preposition-eo
"pri"-preposition-eo "sur"-preposition-fr
"super"-preposition-eo "sur"-preposition-fr
"de"-preposition-eo "depuis"-preposition-fr
"depuis"-preposition-fr "de"-preposition-eo
"par"-preposition-fr "por"-preposition-eo
"por"-preposition-eo "par"-preposition-fr
"por"-preposition-eo "afin de"-preposition-fr
"afin de"-preposition-fr "por"-preposition-eo
"par rapport à"-preposition-fr "rilate al"-preposition-eo
"rilate al"-preposition-eo "par rapport à"-preposition-fr
"rilate al"-preposition-eo "pour ce qui est de"-preposition-fr
"rilate al"-preposition-eo "quant à"-preposition-fr
"rilate al"-preposition-eo "en ce qui concerne"-preposition-fr
"pour ce qui est de"-preposition-fr "rilate al"-preposition-eo
"quant à"-preposition-fr "rilate al"-preposition-eo
"en ce qui concerne"-preposition-fr "rilate al"-preposition-eo
"énergétique"-adjective-fr "energidona"-adjective-eo
"energidona"-adjective-eo "énergétique"-adjective-fr
"malvasta"-adjective-eo "petit"-adjective-fr
"petit"-adjective-fr "malvasta"-adjective-eo
"adopter"-verb-fr "muldi"-verb-eo
"muldi"-verb-eo "adopter"-verb-fr
"laborista"-adjective-eo "travailliste"-adjective-fr
"travailliste"-adjective-fr "laborista"-adjective-eo
"nedifinita"-adjective-eo "indéterminé"-adjective-fr
"indéterminé"-adjective-fr "nedifinita"-adjective-eo
"konstanta"-adjective-eo "ferme"-adjective-fr
"ferme"-adjective-fr "konstanta"-adjective-eo
"pionira"-adjective-eo "innovateur"-adjective-fr
"innovateur"-adjective-fr "pionira"-adjective-eo
"nekongrua"-adjective-eo "incompatible"-adjective-fr
"incompatible"-adjective-fr "nekongrua"-adjective-eo
"sukcesa"-adjective-eo "réussi"-adjective-fr
"réussi"-adjective-fr "sukcesa"-adjective-eo
"viable"-adjective-fr "realigebla"-adjective-eo
"viable"-adjective-fr "efektivigebla"-adjective-eo
"realigebla"-adjective-eo "viable"-adjective-fr
"efektivigebla"-adjective-eo "viable"-adjective-fr
"moindre"-adjective-fr "minora"-adjective-eo
"minora"-adjective-eo "moindre"-adjective-fr
"vasta"-adjective-eo "étendu"-adjective-fr
"étendu"-adjective-fr "vasta"-adjective-eo
"nediskutebla"-adjective-eo "incontesté"-adjective-fr
"incontesté"-adjective-fr "nediskutebla"-adjective-eo
"etoso"-noun-eo "environnement"-noun-fr
"environnement"-noun-fr "etoso"-noun-eo
"pudoro"-noun-eo "puanteur"-noun-fr
"puanteur"-noun-fr "pudoro"-noun-eo
"aŭtoŝoseo"-noun-eo "autoroute"-noun-fr
"autoroute"-noun-fr "aŭtoŝoseo"-noun-eo
"collège"-noun-fr "lernejo"-noun-eo
"lernejo"-noun-eo "collège"-noun-fr
"providenco"-noun-eo "ordonnance"-noun-fr
"ordonnance"-noun-fr "providenco"-noun-eo
"parole"-noun-fr "vorto"-noun-eo
"vorto"-noun-eo "parole"-noun-fr
"nouvelle"-noun-fr "sciigo"-noun-eo
"sciigo"-noun-eo "nouvelle"-noun-fr
"sciigo"-noun-eo "dépêche"-noun-fr
"dépêche"-noun-fr "sciigo"-noun-eo
"aiguille"-noun-fr "kudrilo"-noun-eo
"kudrilo"-noun-eo "aiguille"-noun-fr
"lernanto"-noun-eo "écolier"-noun-fr
"écolier"-noun-fr "lernanto"-noun-eo
"nuligo"-noun-eo "révocation"-noun-fr
"révocation"-noun-fr "nuligo"-noun-eo
"komunumo"-noun-eo "municipalité"-noun-fr
"municipalité"-noun-fr "komunumo"-noun-eo
"servanto"-noun-eo "serveur"-noun-fr
"serveur"-noun-fr "servanto"-noun-eo
"somme"-noun-fr "adicio"-noun-eo
"adicio"-noun-eo "somme"-noun-fr
"tendaro"-noun-eo "match"-noun-fr
"tendaro"-noun-eo "parti"-noun-fr
"match"-noun-fr "tendaro"-noun-eo
"parti"-noun-fr "tendaro"-noun-eo
"brevet"-noun-fr "diplomo"-noun-eo
"diplomo"-noun-eo "brevet"-noun-fr
"servo"-noun-eo "performance"-noun-fr
"performance"-noun-fr "servo"-noun-eo
"chaudière"-noun-fr "kaldrono"-noun-eo
"kaldrono"-noun-eo "chaudière"-noun-fr
"kutimo"-noun-eo "habit"-noun-fr
"habit"-noun-fr "kutimo"-noun-eo
"normaligo"-noun-eo "standardisation"-noun-fr
"standardisation"-noun-fr "normaligo"-noun-eo
"kontribuo"-noun-eo "apport"-noun-fr
"apport"-noun-fr "kontribuo"-noun-eo
"cemento"-noun-eo "lien"-noun-fr
"lien"-noun-fr "cemento"-noun-eo
"substitut"-noun-fr "anstataŭanto"-noun-eo
"anstataŭanto"-noun-eo "substitut"-noun-fr
"impresario"-noun-eo "employeur"-noun-fr
"employeur"-noun-fr "impresario"-noun-eo
"karto"-noun-eo "carnet"-noun-fr
"carnet"-noun-fr "karto"-noun-eo
"marbordo"-noun-eo "côte"-noun-fr
"côte"-noun-fr "marbordo"-noun-eo
"vespero"-noun-eo "après-midi"-noun-fr
"après-midi"-noun-fr "vespero"-noun-eo
"soir"-noun-fr "posttagmezo"-noun-eo
"posttagmezo"-noun-eo "soir"-noun-fr
"batalo"-noun-eo "affrontement"-noun-fr
"batalo"-noun-eo "lutte"-noun-fr
"affrontement"-noun-fr "batalo"-noun-eo
"lutte"-noun-fr "batalo"-noun-eo
"violation"-noun-fr "perforto"-noun-eo
"perforto"-noun-eo "violation"-noun-fr
"respondo"-noun-eo "contestation"-noun-fr
"contestation"-noun-fr "respondo"-noun-eo
"règne"-noun-fr "reĝlando"-noun-eo
"reĝlando"-noun-eo "règne"-noun-fr
"chair"-noun-fr "viando"-noun-eo
"viando"-noun-eo "chair"-noun-fr
"plilongigo"-noun-eo "prolongement"-noun-fr
"prolongement"-noun-fr "plilongigo"-noun-eo
"forêt"-noun-fr "ĝangalo"-noun-eo
"ĝangalo"-noun-eo "forêt"-noun-fr
"kapitulo"-noun-eo "chapitre"-noun-fr
"chapitre"-noun-fr "kapitulo"-noun-eo
"reliefo"-noun-eo "relais"-noun-fr
"relais"-noun-fr "reliefo"-noun-eo
"substitution"-noun-fr "anstataŭigo"-noun-eo
"anstataŭigo"-noun-eo "substitution"-noun-fr
"klasifiko"-noun-eo "classement"-noun-fr
"classement"-noun-fr "klasifiko"-noun-eo
"gravito"-noun-eo "gravité"-noun-fr
"gravité"-noun-fr "gravito"-noun-eo
"crédibilité"-noun-fr "kredebleco"-noun-eo
"kredebleco"-noun-eo "crédibilité"-noun-fr
"levilo"-noun-eo "ascenseur"-noun-fr
"ascenseur"-noun-fr "levilo"-noun-eo
"iniciato"-noun-eo "initiation"-noun-fr
"initiation"-noun-fr "iniciato"-noun-eo
"tribuno"-noun-eo "plate-forme"-noun-fr
"tribuno"-noun-eo "plateforme"-noun-fr
"plate-forme"-noun-fr "tribuno"-noun-eo
"plateforme"-noun-fr "tribuno"-noun-eo
"oraison"-noun-fr "preĝo"-noun-eo
"preĝo"-noun-eo "oraison"-noun-fr
"sottise"-noun-fr "stultaĵo"-noun-eo
"stultaĵo"-noun-eo "sottise"-noun-fr
"police"-noun-fr "policano"-noun-eo
"policano"-noun-eo "police"-noun-fr
"policano"-noun-eo "garde"-noun-fr
"garde"-noun-fr "policano"-noun-eo
"polico"-noun-eo "policier"-noun-fr
"policier"-noun-fr "polico"-noun-eo
"passionné"-noun-fr "amatoro"-noun-eo
"amatoro"-noun-eo "passionné"-noun-fr
"tago"-noun-eo "journée"-noun-fr
"journée"-noun-fr "tago"-noun-eo
"muro"-noun-eo "paroi"-noun-fr
"paroi"-noun-fr "muro"-noun-eo
"manko"-noun-eo "défaut"-noun-fr
"défaut"-noun-fr "manko"-noun-eo
"surfaco"-noun-eo "superficie"-noun-fr
"superficie"-noun-fr "surfaco"-noun-eo
"coma"-noun-fr "komo"-noun-eo
"komo"-noun-eo "coma"-noun-fr
"aliĝo"-noun-eo "adhésion"-noun-fr
"adhésion"-noun-fr "aliĝo"-noun-eo
"antaŭeco"-noun-eo "priorité"-noun-fr
"priorité"-noun-fr "antaŭeco"-noun-eo
"medio"-noun-eo "moyen"-noun-fr
"moyen"-noun-fr "medio"-noun-eo
"milieu"-noun-fr "duono"-noun-eo
"duono"-noun-eo "milieu"-noun-fr
"camp"-noun-fr "kamparo"-noun-eo
"kamparo"-noun-eo "camp"-noun-fr
"kamparo"-noun-eo "champ"-noun-fr
"champ"-noun-fr "kamparo"-noun-eo
"necesejo"-noun-eo "lavabo"-noun-fr
"lavabo"-noun-fr "necesejo"-noun-eo
"classe"-noun-fr "klasĉambro"-noun-eo
"klasĉambro"-noun-eo "classe"-noun-fr
"posteno"-noun-eo "endroit"-noun-fr
"posteno"-noun-eo "lieu"-noun-fr
"endroit"-noun-fr "posteno"-noun-eo
"lieu"-noun-fr "posteno"-noun-eo
"loko"-noun-eo "post"-noun-fr
"post"-noun-fr "loko"-noun-eo
"uzo"-noun-eo "emploi"-noun-fr
"emploi"-noun-fr "uzo"-noun-eo
"emploi"-noun-fr "uzado"-noun-eo
"uzado"-noun-eo "emploi"-noun-fr
"uzado"-noun-eo "usage"-noun-fr
"usage"-noun-fr "uzado"-noun-eo
"navire"-noun-fr "navo"-noun-eo
"navo"-noun-eo "navire"-noun-fr
"inversion"-noun-fr "investo"-noun-eo
"investo"-noun-eo "inversion"-noun-fr
"fortikaĵo"-noun-eo "forteresse"-noun-fr
"forteresse"-noun-fr "fortikaĵo"-noun-eo
"voie"-noun-fr "koridoro"-noun-eo
"koridoro"-noun-eo "voie"-noun-fr
"koridoro"-noun-eo "coureur"-noun-fr
"coureur"-noun-fr "koridoro"-noun-eo
"subskribo"-noun-eo "enseigne"-noun-fr
"enseigne"-noun-fr "subskribo"-noun-eo
"office"-noun-fr "kontoro"-noun-eo
"kontoro"-noun-eo "office"-noun-fr
"kontoro"-noun-eo "bureau"-noun-fr
"bureau"-noun-fr "kontoro"-noun-eo
"vundo"-noun-eo "lésion"-noun-fr
"lésion"-noun-fr "vundo"-noun-eo
"parenthèse"-noun-fr "krampo"-noun-eo
"krampo"-noun-eo "parenthèse"-noun-fr
"vazo"-noun-eo "pichet"-noun-fr
"pichet"-noun-fr "vazo"-noun-eo
"variété"-noun-fr "varieteo"-noun-eo
"varieteo"-noun-eo "variété"-noun-fr
"stango"-noun-eo "poteau"-noun-fr
"poteau"-noun-fr "stango"-noun-eo
"poteau"-noun-fr "bastono"-noun-eo
"bastono"-noun-eo "poteau"-noun-fr
"route"-noun-fr "ŝoseo"-noun-eo
"ŝoseo"-noun-eo "route"-noun-fr
"barilo"-noun-eo "haie"-noun-fr
"haie"-noun-fr "barilo"-noun-eo
"loĝejo"-noun-eo "chambre"-noun-fr
"chambre"-noun-fr "loĝejo"-noun-eo
"chambre"-noun-fr "dormoĉambro"-noun-eo
"appartement"-noun-fr "etaĝo"-noun-eo
"etaĝo"-noun-eo "appartement"-noun-fr
"dormoĉambro"-noun-eo "chambre"-noun-fr
"planko"-noun-eo "fond"-noun-fr
"fond"-noun-fr "planko"-noun-eo
"ilaro"-noun-eo "équipement"-noun-fr
"équipement"-noun-fr "ilaro"-noun-eo
"teko"-noun-eo "dossier"-noun-fr
"dossier"-noun-fr "teko"-noun-eo
"dossier"-noun-fr "paperujo"-noun-eo
"paperujo"-noun-eo "dossier"-noun-fr
"poste"-noun-fr "placo"-noun-eo
"placo"-noun-eo "poste"-noun-fr
"échiquier"-noun-fr "tabulo"-noun-eo
"tabulo"-noun-eo "échiquier"-noun-fr
"événement"-noun-fr "evento"-noun-eo
"evento"-noun-eo "événement"-noun-fr
"halle"-noun-fr "loĝio"-noun-eo
"loĝio"-noun-eo "halle"-noun-fr
"golejo"-noun-eo "loge"-noun-fr
"loge"-noun-fr "golejo"-noun-eo
"celo"-noun-eo "fin"-noun-fr
"fin"-noun-fr "celo"-noun-eo
"cause"-noun-fr "kialo"-noun-eo
"kialo"-noun-eo "cause"-noun-fr
"puno"-noun-eo "peine"-noun-fr
"peine"-noun-fr "puno"-noun-eo
"semo"-noun-eo "graine"-noun-fr
"graine"-noun-fr "semo"-noun-eo
"tour"-noun-fr "turno"-noun-eo
"turno"-noun-eo "tour"-noun-fr
"rundo"-noun-eo "assaut"-noun-fr
"assaut"-noun-fr "rundo"-noun-eo
"nomo"-noun-eo "réputation"-noun-fr
"nomo"-noun-eo "renommée"-noun-fr
"réputation"-noun-fr "nomo"-noun-eo
"renommée"-noun-fr "nomo"-noun-eo
"course"-noun-fr "kariero"-noun-eo
"kariero"-noun-eo "course"-noun-fr
"étude"-noun-fr "studio"-noun-eo
"studio"-noun-eo "étude"-noun-fr
"investigation"-noun-fr "esploro"-noun-eo
"investigation"-noun-fr "esplorado"-noun-eo
"esploro"-noun-eo "investigation"-noun-fr
"esplorado"-noun-eo "investigation"-noun-fr
"demandosigno"-noun-eo "interrogation"-noun-fr
"interrogation"-noun-fr "demandosigno"-noun-eo
"attribution"-noun-fr "atribuo"-noun-eo
"attribution"-noun-fr "asigno"-noun-eo
"atribuo"-noun-eo "attribution"-noun-fr
"asigno"-noun-eo "attribution"-noun-fr
"demande"-noun-fr "postulo"-noun-eo
"postulo"-noun-eo "demande"-noun-fr
"cou"-noun-fr "kolumo"-noun-eo
"kolumo"-noun-eo "cou"-noun-fr
"kolo"-noun-eo "collet"-noun-fr
"collet"-noun-fr "kolo"-noun-eo
"col"-noun-fr "selo"-noun-eo
"selo"-noun-eo "col"-noun-fr
"efekto"-noun-eo "impression"-noun-fr
"impression"-noun-fr "efekto"-noun-eo
"kapableco"-noun-eo "habilité"-noun-fr
"habilité"-noun-fr "kapableco"-noun-eo
"puissance"-noun-fr "povo"-noun-eo
"povo"-noun-eo "puissance"-noun-fr
"potenco"-noun-eo "pouvoir"-noun-fr
"pouvoir"-noun-fr "potenco"-noun-eo
"coup"-noun-fr "fojo"-noun-eo
"fojo"-noun-eo "coup"-noun-fr
"bato"-noun-eo "fois"-noun-fr
"fois"-noun-fr "bato"-noun-eo
"ligne"-noun-fr "streko"-noun-eo
"streko"-noun-eo "ligne"-noun-fr
"strio"-noun-eo "bande"-noun-fr
"bande"-noun-fr "strio"-noun-eo
"appréciation"-noun-fr "estimo"-noun-eo
"estimo"-noun-eo "appréciation"-noun-fr
"langue"-noun-fr "idiomo"-noun-eo
"idiomo"-noun-eo "langue"-noun-fr
"lingvo"-noun-eo "idiome"-noun-fr
"idiome"-noun-fr "lingvo"-noun-eo
"pointe"-noun-fr "punto"-noun-eo
"punto"-noun-eo "pointe"-noun-fr
"démarcation"-noun-fr "distrikto"-noun-eo
"distrikto"-noun-eo "démarcation"-noun-fr
"distrikto"-noun-eo "arrondissement"-noun-fr
"arrondissement"-noun-fr "distrikto"-noun-eo
"rando"-noun-eo "rive"-noun-fr
"rive"-noun-fr "rando"-noun-eo
"rive"-noun-fr "marĝeno"-noun-eo
"marĝeno"-noun-eo "rive"-noun-fr
"marĝeno"-noun-eo "berge"-noun-fr
"berge"-noun-fr "marĝeno"-noun-eo
"benko"-noun-eo "banque"-noun-fr
"banque"-noun-fr "benko"-noun-eo
"banc"-noun-fr "banko"-noun-eo
"banko"-noun-eo "banc"-noun-fr
"etato"-noun-eo "liste"-noun-fr
"liste"-noun-fr "etato"-noun-eo
"okazo"-noun-eo "cas"-noun-fr
"cas"-noun-fr "okazo"-noun-eo
"tubo"-noun-eo "tuyauterie"-noun-fr
"tuyauterie"-noun-fr "tubo"-noun-eo
"stelulo"-noun-eo "étoile"-noun-fr
"étoile"-noun-fr "stelulo"-noun-eo
"star"-noun-fr "stelo"-noun-eo
"stelo"-noun-eo "star"-noun-fr
"sorto"-noun-eo "destin"-noun-fr
"destin"-noun-fr "sorto"-noun-eo
"dissendo"-noun-eo "transmission"-noun-fr
"transmission"-noun-fr "dissendo"-noun-eo
"taglibro"-noun-eo "quotidien"-noun-fr
"quotidien"-noun-fr "taglibro"-noun-eo
"magasin"-noun-fr "staplo"-noun-eo
"staplo"-noun-eo "magasin"-noun-fr
"staplo"-noun-eo "entrepôt"-noun-fr
"entrepôt"-noun-fr "staplo"-noun-eo
"avance"-noun-fr "antaŭeniro"-noun-eo
"antaŭeniro"-noun-eo "avance"-noun-fr
"progreso"-noun-eo "progression"-noun-fr
"progression"-noun-fr "progreso"-noun-eo
"table"-noun-fr "tabelo"-noun-eo
"tabelo"-noun-eo "table"-noun-fr
"predo"-noun-eo "prise"-noun-fr
"prise"-noun-fr "predo"-noun-eo
"estimation"-noun-fr "takso"-noun-eo
"takso"-noun-eo "estimation"-noun-fr
"takso"-noun-eo "expertise"-noun-fr
"expertise"-noun-fr "takso"-noun-eo
"restaĵo"-noun-eo "débris"-noun-fr
"débris"-noun-fr "restaĵo"-noun-eo
"stationnement"-noun-fr "parko"-noun-eo
"parko"-noun-eo "stationnement"-noun-fr
"parko"-noun-eo "parking"-noun-fr
"parking"-noun-fr "parko"-noun-eo
"vilaĝo"-noun-eo "peuple"-noun-fr
"peuple"-noun-fr "vilaĝo"-noun-eo
"village"-noun-fr "popolo"-noun-eo
"village"-noun-fr "gento"-noun-eo
"popolo"-noun-eo "village"-noun-fr
"gento"-noun-eo "village"-noun-fr
"gento"-noun-eo "gens"-noun-fr
"gens"-noun-fr "gento"-noun-eo
"ville"-noun-fr "urbeto"-noun-eo
"urbeto"-noun-eo "ville"-noun-fr
"mairie"-noun-fr "magistrato"-noun-eo
"magistrato"-noun-eo "mairie"-noun-fr
"knabo"-noun-eo "fille"-noun-fr
"fille"-noun-fr "knabo"-noun-eo
"fille"-noun-fr "infano"-noun-eo
"garçon"-noun-fr "infano"-noun-eo
"infano"-noun-eo "fille"-noun-fr
"infano"-noun-eo "garçon"-noun-fr
"infano"-noun-eo "créature"-noun-fr
"créature"-noun-fr "infano"-noun-eo
"créature"-noun-fr "bebo"-noun-eo
"bebo"-noun-eo "créature"-noun-fr
"animal"-noun-fr "bruto"-noun-eo
"bruto"-noun-eo "animal"-noun-fr
"tenejo"-noun-eo "avoir"-noun-fr
"avoir"-noun-fr "tenejo"-noun-eo
"bourse"-noun-fr "stipendio"-noun-eo
"stipendio"-noun-eo "bourse"-noun-fr
"domo"-noun-eo "ferme"-noun-fr
"ferme"-noun-fr "domo"-noun-eo
"kortumo"-noun-eo "tribunal"-noun-fr
"tribunal"-noun-fr "kortumo"-noun-eo
"koro"-noun-eo "chœur"-noun-fr
"chœur"-noun-fr "koro"-noun-eo
"kruro"-noun-eo "patte"-noun-fr
"patte"-noun-fr "kruro"-noun-eo
"patte"-noun-fr "gambo"-noun-eo
"gambo"-noun-eo "patte"-noun-fr
"acte"-noun-fr "aranĝo"-noun-eo
"aranĝo"-noun-eo "acte"-noun-fr
"vigne"-noun-fr "vinberujo"-noun-eo
"vigne"-noun-fr "vinberejo"-noun-eo
"vinberujo"-noun-eo "vigne"-noun-fr
"vinberejo"-noun-eo "vigne"-noun-fr
"nappe"-noun-fr "tavolo"-noun-eo
"tavolo"-noun-eo "nappe"-noun-fr
"tavolo"-noun-eo "cape"-noun-fr
"cape"-noun-fr "tavolo"-noun-eo
"vidaĵo"-noun-eo "panorama"-noun-fr
"panorama"-noun-fr "vidaĵo"-noun-eo
"gustumado"-noun-eo "goût"-noun-fr
"goût"-noun-fr "gustumado"-noun-eo
"ŝraŭbo"-noun-eo "escargot"-noun-fr
"escargot"-noun-fr "ŝraŭbo"-noun-eo
"kudrero"-noun-eo "point"-noun-fr
"point"-noun-fr "kudrero"-noun-eo
"punkto"-noun-eo "maille"-noun-fr
"maille"-noun-fr "punkto"-noun-eo
"char"-noun-fr "ĉareto"-noun-eo
"ĉareto"-noun-eo "char"-noun-fr
"groupe"-noun-fr "fasko"-noun-eo
"fasko"-noun-eo "groupe"-noun-fr
"maître"-noun-fr "instruisto"-noun-eo
"instruisto"-noun-eo "maître"-noun-fr
"ŝablono"-noun-eo "personnel"-noun-fr
"personnel"-noun-fr "ŝablono"-noun-eo
"dirigeant"-noun-fr "gvidanto"-noun-eo
"gvidanto"-noun-eo "dirigeant"-noun-fr
"séance"-noun-fr "sesio"-noun-eo
"sesio"-noun-eo "séance"-noun-fr
"délai"-noun-fr "malfruo"-noun-eo
"malfruo"-noun-eo "délai"-noun-fr
"retard"-noun-fr "prokrasto"-noun-eo
"prokrasto"-noun-eo "retard"-noun-fr
"sterko"-noun-eo "boue"-noun-fr
"boue"-noun-fr "sterko"-noun-eo
"boue"-noun-fr "ŝlimo"-noun-eo
"ŝlimo"-noun-eo "boue"-noun-fr
"koto"-noun-eo "fange"-noun-fr
"fange"-noun-fr "koto"-noun-eo
"prétention"-noun-fr "pretendo"-noun-eo
"pretendo"-noun-eo "prétention"-noun-fr
"ordono"-noun-eo "mandat"-noun-fr
"mandat"-noun-fr "ordono"-noun-eo
"areo"-noun-eo "espace"-noun-fr
"espace"-noun-fr "areo"-noun-eo
"salon"-noun-fr "halo"-noun-eo
"halo"-noun-eo "salon"-noun-fr
"vestibule"-noun-fr "antaŭĉambro"-noun-eo
"antaŭĉambro"-noun-eo "vestibule"-noun-fr
"taux"-noun-fr "imposto"-noun-eo
"imposto"-noun-eo "taux"-noun-fr
"imposto"-noun-eo "taxe"-noun-fr
"taxe"-noun-fr "imposto"-noun-eo
"prix"-noun-fr "kosto"-noun-eo
"kosto"-noun-eo "prix"-noun-fr
"gepatroj"-noun-eo "père"-noun-fr
"père"-noun-fr "gepatroj"-noun-eo
"patro"-noun-eo "parent"-noun-fr
"parent"-noun-fr "patro"-noun-eo
"papier"-noun-fr "rolo"-noun-eo
"rolo"-noun-eo "papier"-noun-fr
"manĝaĵo"-noun-eo "repas"-noun-fr
"manĝaĵo"-noun-eo "déjeuner"-noun-fr
"repas"-noun-fr "manĝaĵo"-noun-eo
"déjeuner"-noun-fr "manĝaĵo"-noun-eo
"colère"-noun-fr "kolerao"-noun-eo
"colère"-noun-fr "ĥolero"-noun-eo
"kolerao"-noun-eo "colère"-noun-fr
"ĥolero"-noun-eo "colère"-noun-fr
"proceso"-noun-eo "processus"-noun-fr
"processus"-noun-fr "proceso"-noun-eo
"malvenko"-noun-eo "déroute"-noun-fr
"déroute"-noun-fr "malvenko"-noun-eo
"emeritiĝo"-noun-eo "jubilation"-noun-fr
"jubilation"-noun-fr "emeritiĝo"-noun-eo
"côtelette"-noun-fr "ripo"-noun-eo
"ripo"-noun-eo "côtelette"-noun-fr
"avenue"-noun-fr "aleo"-noun-eo
"aleo"-noun-eo "avenue"-noun-fr
"fiancé"-noun-fr "koramiko"-noun-eo
"koramiko"-noun-eo "fiancé"-noun-fr
"letero"-noun-eo "charte"-noun-fr
"charte"-noun-fr "letero"-noun-eo
"longitude"-noun-fr "longeco"-noun-eo
"longeco"-noun-eo "longitude"-noun-fr
