"2a"-adjective-eo "IInd"-adjective-fr
"aeronaŭto"-noun-eo "aérostier"-noun-fr
"aérostier"-noun-fr "aeronaŭto"-noun-eo
"aerpirato"-noun-eo "pirate de l'air"-noun-fr
"pirate de l'air"-noun-fr "aerpirato"-noun-eo
"aertransporto"-noun-eo "transport aérien"-noun-fr
"transport aérien"-noun-fr "aertransporto"-noun-eo
"Aetna"-properNoun-eo "Aetna"-properNoun-fr
"Aetna"-properNoun-fr "Aetna"-properNoun-eo
"afekcii"-verb-eo "commotionner"-verb-fr
"commotionner"-verb-fr "afekcii"-verb-eo
"afekcio"-noun-eo "affection de l'âme"-noun-fr
"afekcio"-noun-eo "transport nerveux"-noun-fr
"affection de l'âme"-noun-fr "afekcio"-noun-eo
"transport nerveux"-noun-fr "afekcio"-noun-eo
"afekta"-adjective-eo "chichiteux"-adjective-fr
"afekta"-adjective-eo "de commande"-adjective-fr
"afekta"-adjective-eo "feint"-adjective-fr
"afekta"-adjective-eo "minaudier"-adjective-fr
"afekta"-adjective-eo "peu naturel"-adjective-fr
"afekta"-adjective-eo "qui affecte"-adjective-fr
"chichiteux"-adjective-fr "afekta"-adjective-eo
"chichiteux"-adjective-fr "afektema"-adjective-eo
"de commande"-adjective-fr "afekta"-adjective-eo
"feint"-adjective-fr "afekta"-adjective-eo
"minaudier"-adjective-fr "afekta"-adjective-eo
"minaudier"-adjective-fr "afektema"-adjective-eo
"peu naturel"-adjective-fr "afekta"-adjective-eo
"peu naturel"-adjective-fr "afektema"-adjective-eo
"qui affecte"-adjective-fr "afekta"-adjective-eo
"afektema"-adjective-eo "chichiteux"-adjective-fr
"afektema"-adjective-eo "minaudier"-adjective-fr
"afektema"-adjective-eo "peu naturel"-adjective-fr
"afektaĵo"-noun-eo "chichi"-noun-fr
"afektaĵo"-noun-eo "simagrée"-noun-fr
"afektaĵo"-noun-eo "minauderie"-noun-fr
"afektaĵo"-noun-eo "singerie"-noun-fr
"chichi"-noun-fr "afektaĵo"-noun-eo
"simagrée"-noun-fr "afektaĵo"-noun-eo
"minauderie"-noun-fr "afektaĵo"-noun-eo
"minauderie"-noun-fr "afekto"-noun-eo
"singerie"-noun-fr "afektaĵo"-noun-eo
"afekto"-noun-eo "minauderie"-noun-fr
"afekto"-noun-eo "afféterie"-noun-fr
"afekte"-adverb-eo "chichiteusement"-adverb-fr
"chichiteusement"-adverb-fr "afekte"-adverb-eo
"chichiteusement"-adverb-fr "afekteme"-adverb-eo
"afekteme"-adverb-eo "chichiteusement"-adverb-fr
"afféterie"-noun-fr "afekto"-noun-eo
"afina"-adjective-eo "affine"-adjective-fr
"affine"-adjective-fr "afina"-adjective-eo
"afiŝi"-verb-eo "apposer une affiche"-verb-fr
"afiŝi"-verb-eo "placarder"-verb-fr
"afiŝi"-verb-eo "poster"-verb-fr
"apposer une affiche"-verb-fr "afiŝi"-verb-eo
"placarder"-verb-fr "afiŝi"-verb-eo
"poster"-verb-fr "afiŝi"-verb-eo
"Aflac"-properNoun-eo "Aflac"-properNoun-fr
"Aflac"-properNoun-fr "Aflac"-properNoun-eo
"aflikta"-adjective-eo "chagrinant"-adjective-fr
"chagrinant"-adjective-fr "aflikta"-adjective-eo
"chagrinant"-adjective-fr "ĉagrena"-adjective-eo
"ĉagrena"-adjective-eo "chagrinant"-adjective-fr
"ĉagrena"-adjective-eo "contrariant"-adjective-fr
"ĉagrena"-adjective-eo "désolant"-adjective-fr
"aflikti"-verb-eo "navrer"-verb-fr
"navrer"-verb-fr "aflikti"-verb-eo
"Afrika Unio"-properNoun-eo "Union Africaine"-properNoun-fr
"Union Africaine"-properNoun-fr "Afrika Unio"-properNoun-eo
"aftozo"-noun-eo "fièvre aphteuse"-noun-fr
"fièvre aphteuse"-noun-fr "aftozo"-noun-eo
"agaci"-verb-eo "porter sur les nerfs"-verb-fr
"porter sur les nerfs"-verb-fr "agaci"-verb-eo
"agato"-noun-eo "agathe"-noun-fr
"agathe"-noun-fr "agato"-noun-eo
"Ageas"-properNoun-eo "Ageas"-properNoun-fr
"Ageas"-properNoun-fr "Ageas"-properNoun-eo
"agiti"-verb-eo "soumettre à examen"-verb-fr
"agiti"-verb-eo "cogiter"-verb-fr
"soumettre à examen"-verb-fr "agiti"-verb-eo
"cogiter"-verb-fr "agiti"-verb-eo
"agleca"-adjective-eo "d'aigle"-adjective-fr
"d'aigle"-adjective-fr "agleca"-adjective-eo
"agordilo"-noun-eo "programme de configuration"-noun-fr
"programme de configuration"-noun-fr "agordilo"-noun-eo
"agordo"-noun-eo "état d'esprit"-noun-fr
"agordo"-noun-eo "paramétrage"-noun-fr
"état d'esprit"-noun-fr "agordo"-noun-eo
"paramétrage"-noun-fr "agordo"-noun-eo
"agrafi"-verb-eo "agrafer"-verb-fr
"agrafer"-verb-fr "agrafi"-verb-eo
"agresa"-adjective-eo "agresseur"-adjective-fr
"agresseur"-adjective-fr "agresa"-adjective-eo
"agresseur"-adjective-fr "atakanta"-adjective-eo
"atakanta"-adjective-eo "agresseur"-adjective-fr
"Agricultural Bank of China"-properNoun-eo "Agricultural Bank of China"-properNoun-fr
"Agricultural Bank of China"-properNoun-fr "Agricultural Bank of China"-properNoun-eo
"agro"-noun-eo "champ cultivé"-noun-fr
"champ cultivé"-noun-fr "agro"-noun-eo
"agroturismo"-noun-eo "vacances à la ferme"-noun-fr
"vacances à la ferme"-noun-fr "agroturismo"-noun-eo
"aha"-interjection-eo "aha"-interjection-fr
"aha"-interjection-eo "tiens-tiens"-interjection-fr
"aha"-interjection-fr "aha"-interjection-eo
"tiens-tiens"-interjection-fr "aha"-interjection-eo
"aidosulo"-noun-eo "sidéen"-noun-fr
"aidosulo"-noun-eo "sidatique"-noun-fr
"sidéen"-noun-fr "aidosulo"-noun-eo
"sidatique"-noun-fr "aidosulo"-noun-eo
"Air France-KLM Group"-properNoun-eo "Air France-KLM Group"-properNoun-fr
"Air France-KLM Group"-properNoun-fr "Air France-KLM Group"-properNoun-eo
"Aisin"-properNoun-eo "Aisin"-properNoun-fr
"Aisin"-properNoun-fr "Aisin"-properNoun-eo
"Aisin Seiki"-properNoun-eo "Aisin Seiki"-properNoun-fr
"Aisin Seiki"-properNoun-fr "Aisin Seiki"-properNoun-eo
"ajgeno"-noun-eo "valeur propre"-noun-fr
"valeur propre"-noun-fr "ajgeno"-noun-eo
"aĵgenro"-noun-eo "genre neutre"-noun-fr
"genre neutre"-noun-fr "aĵgenro"-noun-eo
"genre neutre"-noun-fr "neŭtra genro"-noun-eo
"neŭtra genro"-noun-eo "genre neutre"-noun-fr
"neŭtra genro"-noun-eo "genre inanimé"-noun-fr
"ajmaro"-noun-eo "Aymara"-noun-fr
"Aymara"-noun-fr "ajmaro"-noun-eo
"ajna"-adjective-eo "quiconque"-adjective-fr
"quiconque"-adjective-fr "ajna"-adjective-eo
"aĵura"-adjective-eo "ajouré"-adjective-fr
"ajouré"-adjective-fr "aĵura"-adjective-eo
"ajuto"-noun-eo "ajutage"-noun-fr
"ajutage"-noun-fr "ajuto"-noun-eo
"aK"-noun-eo "aC"-noun-fr
"aC"-noun-fr "aK"-noun-eo
"akademio"-noun-eo "société savante"-noun-fr
"société savante"-noun-fr "akademio"-noun-eo
"akaĵunukso"-noun-eo "noix de cajou"-noun-fr
"noix de cajou"-noun-fr "akaĵunukso"-noun-eo
"akcelilo"-noun-eo "pédale de gaz"-noun-fr
"pédale de gaz"-noun-fr "akcelilo"-noun-eo
"akcenta"-adjective-eo "accentué"-adjective-fr
"accentué"-adjective-fr "akcenta"-adjective-eo
"akcepteble"-adverb-eo "admissiblement"-adverb-fr
"admissiblement"-adverb-fr "akcepteble"-adverb-eo
"akcepteme"-adverb-eo "réceptivement"-adverb-fr
"réceptivement"-adverb-fr "akcepteme"-adverb-eo
"akceptisto"-noun-eo "ouvreur"-noun-fr
"akceptisto"-noun-eo "personnel d'accueil"-noun-fr
"ouvreur"-noun-fr "akceptisto"-noun-eo
"personnel d'accueil"-noun-fr "akceptisto"-noun-eo
"akcizo"-noun-eo "accise"-noun-fr
"accise"-noun-fr "akcizo"-noun-eo
"millefeuille"-noun-fr "tavolkuko"-noun-eo
"tavolkuko"-noun-eo "millefeuille"-noun-fr
"akompananto"-noun-eo "membre de la suite"-noun-fr
"membre de la suite"-noun-fr "akompananto"-noun-eo
"membre de la suite"-noun-fr "kompaniano"-noun-eo
"membre de la suite"-noun-fr "kompaniulo"-noun-eo
"kompaniano"-noun-eo "membre de la suite"-noun-fr
"kompaniulo"-noun-eo "membre de la suite"-noun-fr
"akonito"-noun-eo "aconit"-noun-fr
"aconit"-noun-fr "akonito"-noun-eo
"akorda"-adjective-eo "d'accord"-adjective-fr
"akorda"-adjective-eo "en accord"-adjective-fr
"akorda"-adjective-eo "en adéquation"-adjective-fr
"akorda"-adjective-eo "en paix"-adjective-fr
"akorda"-adjective-eo "en phase"-adjective-fr
"akorda"-adjective-eo "en harmonie"-adjective-fr
"d'accord"-adjective-fr "akorda"-adjective-eo
"en accord"-adjective-fr "akorda"-adjective-eo
"en adéquation"-adjective-fr "akorda"-adjective-eo
"en paix"-adjective-fr "akorda"-adjective-eo
"en phase"-adjective-fr "akorda"-adjective-eo
"en harmonie"-adjective-fr "akorda"-adjective-eo
"en harmonie"-adjective-fr "harmonia"-adjective-eo
"harmonia"-adjective-eo "en harmonie"-adjective-fr
"harmonia"-adjective-eo "d'harmonie"-adjective-fr
"akordi"-verb-eo "aller avec"-verb-fr
"akordi"-verb-eo "être en phase"-verb-fr
"akordi"-verb-eo "être en harmonie"-verb-fr
"aller avec"-verb-fr "akordi"-verb-eo
"aller avec"-verb-fr "harmonii"-verb-eo
"être en phase"-verb-fr "akordi"-verb-eo
"être en harmonie"-verb-fr "akordi"-verb-eo
"être en harmonie"-verb-fr "harmonii"-verb-eo
"harmonii"-verb-eo "aller avec"-verb-fr
"harmonii"-verb-eo "être en harmonie"-verb-fr
"compatiblement"-adverb-fr "kongrue"-adverb-eo
"kongrue"-adverb-eo "compatiblement"-adverb-fr
"akordo"-noun-eo "identité de vues"-noun-fr
"identité de vues"-noun-fr "akordo"-noun-eo
"akrigilo"-noun-eo "aiguisoir"-noun-fr
"akrigilo"-noun-eo "pierre à aiguiser"-noun-fr
"aiguisoir"-noun-fr "akrigilo"-noun-eo
"pierre à aiguiser"-noun-fr "akrigilo"-noun-eo
"aksingo"-noun-eo "moyeu"-noun-fr
"moyeu"-noun-fr "aksingo"-noun-eo
"moyeu"-noun-fr "nabo"-noun-eo
"nabo"-noun-eo "moyeu"-noun-fr
"aktisto"-noun-eo "clerc de notaire"-noun-fr
"clerc de notaire"-noun-fr "aktisto"-noun-eo
"aktivo"-noun-eo "voix active"-noun-fr
"voix active"-noun-fr "aktivo"-noun-eo
"aktori"-verb-eo "jouer un rôle"-verb-fr
"jouer un rôle"-verb-fr "aktori"-verb-eo
"aktuala"-adjective-eo "en cours"-adjective-fr
"en cours"-adjective-fr "aktuala"-adjective-eo
"en cours"-adjective-fr "kuranta"-adjective-eo
"en cours"-adjective-fr "nuntempa"-adjective-eo
"kuranta"-adjective-eo "en cours"-adjective-fr
"nuntempa"-adjective-eo "en cours"-adjective-fr
"akumula"-adjective-eo "accumulatif"-adjective-fr
"accumulatif"-adjective-fr "akumula"-adjective-eo
"akupunkturo"-noun-eo "acuponcture"-noun-fr
"acuponcture"-noun-fr "akupunkturo"-noun-eo
"akuŝigistino"-noun-eo "accoucheuse"-noun-fr
"akuŝigistino"-noun-eo "sage-femme"-noun-fr
"accoucheuse"-noun-fr "akuŝigistino"-noun-eo
"accoucheuse"-noun-fr "akuŝistino"-noun-eo
"sage-femme"-noun-fr "akuŝigistino"-noun-eo
"sage-femme"-noun-fr "akuŝistino"-noun-eo
"akuŝistino"-noun-eo "accoucheuse"-noun-fr
"akuŝistino"-noun-eo "sage-femme"-noun-fr
"akva"-adjective-eo "d'eau"-adjective-fr
"d'eau"-adjective-fr "akva"-adjective-eo
"akvamarino"-noun-eo "aigue-marine"-noun-fr
"aigue-marine"-noun-fr "akvamarino"-noun-eo
"akve"-adverb-eo "aquatiquement"-adverb-fr
"akve"-adverb-eo "aqueusement"-adverb-fr
"aquatiquement"-adverb-fr "akve"-adverb-eo
"aqueusement"-adverb-fr "akve"-adverb-eo
"akvofalo"-noun-eo "chute d'eau"-noun-fr
"chute d'eau"-noun-fr "akvofalo"-noun-eo
"chute d'eau"-noun-fr "falakvo"-noun-eo
"falakvo"-noun-eo "chute d'eau"-noun-fr
"nénuphar"-noun-fr "nufaro"-noun-eo
"nufaro"-noun-eo "nénuphar"-noun-fr
"Akzo"-properNoun-eo "Akzo"-properNoun-fr
"Akzo"-properNoun-fr "Akzo"-properNoun-eo
"Akzo Nobel"-properNoun-eo "Akzo Nobel"-properNoun-fr
"Akzo Nobel"-properNoun-fr "Akzo Nobel"-properNoun-eo
"alambiko"-noun-eo "bouilleur de cru"-noun-fr
"bouilleur de cru"-noun-fr "alambiko"-noun-eo
"alaŭdo"-noun-eo "alouette des champs"-noun-fr
"alouette des champs"-noun-fr "alaŭdo"-noun-eo
"albano"-noun-eo "Albanais"-noun-fr
"albano"-noun-eo "Albanien"-noun-fr
"Albanais"-noun-fr "albano"-noun-eo
"Albanien"-noun-fr "albano"-noun-eo
"albatroso"-noun-eo "albatros"-noun-fr
"albatros"-noun-fr "albatroso"-noun-eo
"albino"-noun-eo "albinos"-noun-fr
"albinos"-noun-fr "albino"-noun-eo
"alburno"-noun-eo "ablette"-noun-fr
"ablette"-noun-fr "alburno"-noun-eo
"Aleksandro la Granda"-properNoun-eo "Alexandre le grand"-properNoun-fr
"Alexandre le grand"-properNoun-fr "Aleksandro la Granda"-properNoun-eo
"alergie"-adverb-eo "allergiquement"-adverb-fr
"allergiquement"-adverb-fr "alergie"-adverb-eo
"alfluo"-noun-eo "marée montante"-noun-fr
"marée montante"-noun-fr "alfluo"-noun-eo
"marée montante"-noun-fr "fluso"-noun-eo
"fluso"-noun-eo "marée montante"-noun-fr
"Alfresa"-properNoun-eo "Alfresa"-properNoun-fr
"Alfresa"-properNoun-fr "Alfresa"-properNoun-eo
"Alfresa Holdings"-properNoun-eo "Alfresa Holdings"-properNoun-fr
"Alfresa Holdings"-properNoun-fr "Alfresa Holdings"-properNoun-eo
"algebra frakcio"-noun-eo "fraction algébrique"-noun-fr
"fraction algébrique"-noun-fr "algebra frakcio"-noun-eo
"alianco"-noun-eo "apparentement"-noun-fr
"apparentement"-noun-fr "alianco"-noun-eo
"aliĝilo"-noun-eo "bulletin d'inscription"-noun-fr
"aliĝilo"-noun-eo "bulletin d'adhésion"-noun-fr
"bulletin d'inscription"-noun-fr "aliĝilo"-noun-eo
"bulletin d'adhésion"-noun-fr "aliĝilo"-noun-eo
"alimondisto"-noun-eo "altermondialiste"-noun-fr
"altermondialiste"-noun-fr "alimondisto"-noun-eo
"alineo"-noun-eo "indentation"-noun-fr
"indentation"-noun-fr "alineo"-noun-eo
"alinomo"-noun-eo "alias"-noun-fr
"alias"-noun-fr "alinomo"-noun-eo
"alias"-noun-fr "pseŭdonimo"-noun-eo
"alias"-noun-fr "pseŭdonomo"-noun-eo
"pseŭdonimo"-noun-eo "alias"-noun-fr
"pseŭdonimo"-noun-eo "nom alias"-noun-fr
"pseŭdonomo"-noun-eo "alias"-noun-fr
"accessiblement"-adverb-fr "atingeble"-adverb-eo
"atingeble"-adverb-eo "accessiblement"-adverb-fr
"Alliance Boots"-properNoun-eo "Alliance Boots"-properNoun-fr
"Alliance Boots"-properNoun-fr "Alliance Boots"-properNoun-eo
"alloge"-adverb-eo "attractivement"-adverb-fr
"attractivement"-adverb-fr "alloge"-adverb-eo
"Allstate"-properNoun-eo "Allstate"-properNoun-fr
"Allstate"-properNoun-fr "Allstate"-properNoun-eo
"almozi"-verb-eo "demander l'aumône"-verb-fr
"demander l'aumône"-verb-fr "almozi"-verb-eo
"aloo"-noun-eo "aloès"-noun-fr
"aloès"-noun-fr "aloo"-noun-eo
"alpako"-noun-eo "alpaca"-noun-fr
"alpako"-noun-eo "alpague"-noun-fr
"alpaca"-noun-fr "alpako"-noun-eo
"alpague"-noun-fr "alpako"-noun-eo
"alpremi"-verb-eo "blottir"-verb-fr
"blottir"-verb-fr "alpremi"-verb-eo
"alta frekvenco"-noun-eo "haute fréquence"-noun-fr
"haute fréquence"-noun-fr "alta frekvenco"-noun-eo
"Altairo"-properNoun-eo "Altaïr"-properNoun-fr
"Altaïr"-properNoun-fr "Altairo"-properNoun-eo
"altano"-noun-eo "belvédère"-noun-fr
"belvédère"-noun-fr "altano"-noun-eo
"alterna kurento"-noun-eo "courant alternatif"-noun-fr
"courant alternatif"-noun-fr "alterna kurento"-noun-eo
"alterne"-adverb-eo "alternement"-adverb-fr
"alternement"-adverb-fr "alterne"-adverb-eo
"altmaro"-noun-eo "marée haute"-noun-fr
"marée haute"-noun-fr "altmaro"-noun-eo
"orthocentre"-noun-fr "ortocentro"-noun-eo
"ortocentro"-noun-eo "orthocentre"-noun-fr
"altranga"-adjective-eo "haut placé"-adjective-fr
"haut placé"-adjective-fr "altranga"-adjective-eo
"altruisto"-noun-eo "altruiste"-noun-fr
"altruiste"-noun-fr "altruisto"-noun-eo
"alttemperatura"-adjective-eo "à haute température"-adjective-fr
"à haute température"-adjective-fr "alttemperatura"-adjective-eo
"arrivant"-noun-fr "alveninto"-noun-eo
"alveninto"-noun-eo "arrivant"-noun-fr
