"in order to"-preposition-en "per tal de"-preposition-ca
"alt"-adjective-ca "high"-adjective-en
"alt"-adjective-ca "tall"-adjective-en
"high"-adjective-en "alt"-adjective-ca
"tall"-adjective-en "alt"-adjective-ca
"sharp"-adjective-en "aspre"-adjective-ca
"aspre"-adjective-ca "sharp"-adjective-en
"aspre"-adjective-ca "rough"-adjective-en
"rough"-adjective-en "aspre"-adjective-ca
"rough"-adjective-en "rugós"-adjective-ca
"àcid"-adjective-ca "sour"-adjective-en
"sour"-adjective-en "àcid"-adjective-ca
"petty"-adjective-en "insignificant"-adjective-ca
"insignificant"-adjective-ca "petty"-adjective-en
"coherent"-adjective-ca "coherent"-adjective-en
"coherent"-adjective-en "coherent"-adjective-ca
"útil"-adjective-ca "useful"-adjective-en
"useful"-adjective-en "útil"-adjective-ca
"amable"-adjective-ca "kind"-adjective-en
"kind"-adjective-en "amable"-adjective-ca
"tender"-adjective-en "tendre"-adjective-ca
"tendre"-adjective-ca "tender"-adjective-en
"fi"-adjective-ca "fine"-adjective-en
"fine"-adjective-en "fi"-adjective-ca
"sec"-adjective-ca "dry"-adjective-en
"dry"-adjective-en "sec"-adjective-ca
"dry"-adjective-en "eixut"-adjective-ca
"eixut"-adjective-ca "dry"-adjective-en
"ferotge"-adjective-ca "fierce"-adjective-en
"fierce"-adjective-en "ferotge"-adjective-ca
"full"-adjective-en "ple"-adjective-ca
"ple"-adjective-ca "full"-adjective-en
"radical"-adjective-ca "radical"-adjective-en
"radical"-adjective-en "radical"-adjective-ca
"notable"-adjective-ca "remarkable"-adjective-en
"notable"-adjective-ca "notable"-adjective-en
"remarkable"-adjective-en "notable"-adjective-ca
"remarkable"-adjective-en "destacable"-adjective-ca
"notable"-adjective-en "notable"-adjective-ca
"destacable"-adjective-ca "remarkable"-adjective-en
"barren"-adjective-en "estèril"-adjective-ca
"estèril"-adjective-ca "barren"-adjective-en
"ignorant"-adjective-ca "ignorant"-adjective-en
"ignorant"-adjective-en "ignorant"-adjective-ca
"gran"-adjective-ca "large"-adjective-en
"gran"-adjective-ca "big"-adjective-en
"large"-adjective-en "gran"-adjective-ca
"big"-adjective-en "gran"-adjective-ca
"urgent"-adjective-ca "urgent"-adjective-en
"urgent"-adjective-en "urgent"-adjective-ca
"addicional"-adjective-ca "extra"-adjective-en
"addicional"-adjective-ca "additional"-adjective-en
"extra"-adjective-en "addicional"-adjective-ca
"additional"-adjective-en "addicional"-adjective-ca
"main"-adjective-en "principal"-adjective-ca
"principal"-adjective-ca "main"-adjective-en
"principal"-adjective-ca "principal"-adjective-en
"principal"-adjective-en "principal"-adjective-ca
"pobre"-adjective-ca "poor"-adjective-en
"poor"-adjective-en "pobre"-adjective-ca
"desagradable"-adjective-ca "unpleasant"-adjective-en
"unpleasant"-adjective-en "desagradable"-adjective-ca
"fred"-adjective-ca "cold"-adjective-en
"cold"-adjective-en "fred"-adjective-ca
"agradable"-adjective-ca "pleasant"-adjective-en
"agradable"-adjective-ca "agreeable"-adjective-en
"pleasant"-adjective-en "agradable"-adjective-ca
"agreeable"-adjective-en "agradable"-adjective-ca
"afable"-adjective-ca "affable"-adjective-en
"afable"-adjective-ca "genial"-adjective-en
"affable"-adjective-en "afable"-adjective-ca
"genial"-adjective-en "afable"-adjective-ca
"elegant"-adjective-ca "fancy"-adjective-en
"elegant"-adjective-ca "elegant"-adjective-en
"fancy"-adjective-en "elegant"-adjective-ca
"elegant"-adjective-en "elegant"-adjective-ca
"nasty"-adjective-en "dolent"-adjective-ca
"dolent"-adjective-ca "nasty"-adjective-en
"dolent"-adjective-ca "mean"-adjective-en
"mean"-adjective-en "dolent"-adjective-ca
"costós"-adjective-ca "costly"-adjective-en
"costly"-adjective-en "costós"-adjective-ca
"difficult"-adjective-en "difícil"-adjective-ca
"difícil"-adjective-ca "difficult"-adjective-en
"perceptible"-adjective-ca "perceivable"-adjective-en
"perceivable"-adjective-en "perceptible"-adjective-ca
"particular"-adjective-en "particular"-adjective-ca
"particular"-adjective-ca "particular"-adjective-en
"desigual"-adjective-ca "uneven"-adjective-en
"desigual"-adjective-ca "unequal"-adjective-en
"uneven"-adjective-en "desigual"-adjective-ca
"unequal"-adjective-en "desigual"-adjective-ca
"rugós"-adjective-ca "rough"-adjective-en
"just"-adjective-ca "fair"-adjective-en
"fair"-adjective-en "just"-adjective-ca
"legal"-adjective-ca "legal"-adjective-en
"legal"-adjective-en "legal"-adjective-ca
"enormous"-adjective-en "enorme"-adjective-ca
"enorme"-adjective-ca "enormous"-adjective-en
"enorme"-adjective-ca "huge"-adjective-en
"huge"-adjective-en "enorme"-adjective-ca
"useless"-adjective-en "inútil"-adjective-ca
"inútil"-adjective-ca "useless"-adjective-en
"entusiasta"-adjective-ca "enthusiastic"-adjective-en
"enthusiastic"-adjective-en "entusiasta"-adjective-ca
"veloç"-adjective-ca "quick"-adjective-en
"veloç"-adjective-ca "fast"-adjective-en
"quick"-adjective-en "veloç"-adjective-ca
"quick"-adjective-en "prompte"-adjective-ca
"fast"-adjective-en "veloç"-adjective-ca
"fast"-adjective-en "prompte"-adjective-ca
"prompte"-adjective-ca "quick"-adjective-en
"prompte"-adjective-ca "fast"-adjective-en
"prompt"-adjective-en "puntual"-adjective-ca
"puntual"-adjective-ca "prompt"-adjective-en
"puntual"-adjective-ca "punctual"-adjective-en
"punctual"-adjective-en "puntual"-adjective-ca
"llest"-adjective-ca "clever"-adjective-en
"llest"-adjective-ca "smart"-adjective-en
"clever"-adjective-en "llest"-adjective-ca
"smart"-adjective-en "llest"-adjective-ca
"prest"-adjective-ca "ready"-adjective-en
"ready"-adjective-en "prest"-adjective-ca
"lliure"-adjective-ca "free"-adjective-en
"free"-adjective-en "lliure"-adjective-ca
"free"-adjective-en "gratuït"-adjective-ca
"gratuït"-adjective-ca "free"-adjective-en
"cert"-adjective-ca "true"-adjective-en
"true"-adjective-en "cert"-adjective-ca
"true"-adjective-en "verdader"-adjective-ca
"true"-adjective-en "veritable"-adjective-ca
"true"-adjective-en "vertader"-adjective-ca
"verdader"-adjective-ca "true"-adjective-en
"veritable"-adjective-ca "true"-adjective-en
"vertader"-adjective-ca "true"-adjective-en
"final"-adjective-ca "final"-adjective-en
"final"-adjective-en "final"-adjective-ca
"mortal"-adjective-ca "mortal"-adjective-en
"mortal"-adjective-en "mortal"-adjective-ca
"indispensable"-adjective-ca "indispensable"-adjective-en
"indispensable"-adjective-en "indispensable"-adjective-ca
"posterior"-adjective-ca "posterior"-adjective-en
"posterior"-adjective-en "posterior"-adjective-ca
"probable"-adjective-ca "likely"-adjective-en
"likely"-adjective-en "probable"-adjective-ca
"possible"-adjective-ca "possible"-adjective-en
"possible"-adjective-en "possible"-adjective-ca
"feasible"-adjective-en "viable"-adjective-ca
"viable"-adjective-ca "feasible"-adjective-en
"viable"-adjective-ca "viable"-adjective-en
"viable"-adjective-en "viable"-adjective-ca
"baix"-adjective-ca "low"-adjective-en
"low"-adjective-en "baix"-adjective-ca
"variable"-adjective-ca "variable"-adjective-en
"variable"-adjective-ca "varying"-adjective-en
"variable"-adjective-en "variable"-adjective-ca
"varying"-adjective-en "variable"-adjective-ca
"brillant"-adjective-ca "bright"-adjective-en
"bright"-adjective-en "brillant"-adjective-ca
"bright"-adjective-en "lluent"-adjective-ca
"lluent"-adjective-ca "bright"-adjective-en
"global"-adjective-ca "global"-adjective-en
"global"-adjective-en "global"-adjective-ca
"mundial"-adjective-ca "world"-adjective-en
"world"-adjective-en "mundial"-adjective-ca
"simple"-adjective-en "senzill"-adjective-ca
"simple"-adjective-en "simple"-adjective-ca
"senzill"-adjective-ca "simple"-adjective-en
"senzill"-adjective-ca "plain"-adjective-en
"senzill"-adjective-ca "facile"-adjective-en
"simple"-adjective-ca "simple"-adjective-en
"simple"-adjective-ca "plain"-adjective-en
"simple"-adjective-ca "facile"-adjective-en
"plain"-adjective-en "senzill"-adjective-ca
"plain"-adjective-en "simple"-adjective-ca
"facile"-adjective-en "senzill"-adjective-ca
"facile"-adjective-en "simple"-adjective-ca
"flat"-adjective-en "pla"-adjective-ca
"pla"-adjective-ca "flat"-adjective-en
"fàcil"-adjective-ca "easy"-adjective-en
"easy"-adjective-en "fàcil"-adjective-ca
"gras"-adjective-ca "fat"-adjective-en
"fat"-adjective-en "gras"-adjective-ca
"fat"-adjective-en "gros"-adjective-ca
"gros"-adjective-ca "fat"-adjective-en
"gros"-adjective-ca "thick"-adjective-en
"thick"-adjective-en "gros"-adjective-ca
"thick"-adjective-en "gruixut"-adjective-ca
"vulgar"-adjective-en "tosc"-adjective-ca
"vulgar"-adjective-en "grosser"-adjective-ca
"tosc"-adjective-ca "vulgar"-adjective-en
"grosser"-adjective-ca "vulgar"-adjective-en
"fort"-adjective-ca "strong"-adjective-en
"fort"-adjective-ca "loud"-adjective-en
"fort"-adjective-ca "hardy"-adjective-en
"strong"-adjective-en "fort"-adjective-ca
"loud"-adjective-en "fort"-adjective-ca
"hardy"-adjective-en "fort"-adjective-ca
"considerable"-adjective-ca "considerable"-adjective-en
"considerable"-adjective-en "considerable"-adjective-ca
"constant"-adjective-ca "constant"-adjective-en
"constant"-adjective-en "constant"-adjective-ca
"permanent"-adjective-en "persistent"-adjective-ca
"permanent"-adjective-en "permanent"-adjective-ca
"persistent"-adjective-ca "permanent"-adjective-en
"permanent"-adjective-ca "permanent"-adjective-en
"immòbil"-adjective-ca "motionless"-adjective-en
"motionless"-adjective-en "immòbil"-adjective-ca
"estret"-adjective-ca "narrow"-adjective-en
"narrow"-adjective-en "estret"-adjective-ca
"worthy"-adjective-en "digne"-adjective-ca
"digne"-adjective-ca "worthy"-adjective-en
"natural"-adjective-ca "natural"-adjective-en
"natural"-adjective-en "natural"-adjective-ca
"trist"-adjective-ca "sad"-adjective-en
"sad"-adjective-en "trist"-adjective-ca
"il·legal"-adjective-ca "illegal"-adjective-en
"illegal"-adjective-en "il·legal"-adjective-ca
"evident"-adjective-en "evident"-adjective-ca
"evident"-adjective-ca "evident"-adjective-en
"insuficient"-adjective-ca "insufficient"-adjective-en
"insufficient"-adjective-en "insuficient"-adjective-ca
"rare"-adjective-en "rar"-adjective-ca
"rar"-adjective-ca "rare"-adjective-en
"incompatible"-adjective-en "incompatible"-adjective-ca
"incompatible"-adjective-ca "incompatible"-adjective-en
"clar"-adjective-ca "clear"-adjective-en
"clear"-adjective-en "clar"-adjective-ca
"light"-adjective-en "lleu"-adjective-ca
"lleu"-adjective-ca "light"-adjective-en
"undoubted"-adjective-en "indubtable"-adjective-ca
"indubtable"-adjective-ca "undoubted"-adjective-en
"terrible"-adjective-en "terrible"-adjective-ca
"terrible"-adjective-ca "terrible"-adjective-en
"terrible"-adjective-ca "dreadful"-adjective-en
"terrible"-adjective-ca "awful"-adjective-en
"dreadful"-adjective-en "terrible"-adjective-ca
"awful"-adjective-en "terrible"-adjective-ca
"horrible"-adjective-ca "horrible"-adjective-en
"horrible"-adjective-en "horrible"-adjective-ca
"familiar"-adjective-ca "colloquial"-adjective-en
"familiar"-adjective-ca "family"-adjective-en
"colloquial"-adjective-en "familiar"-adjective-ca
"family"-adjective-en "familiar"-adjective-ca
"suau"-adjective-ca "gentle"-adjective-en
"suau"-adjective-ca "mild"-adjective-en
"gentle"-adjective-en "suau"-adjective-ca
"mild"-adjective-en "suau"-adjective-ca
"flexible"-adjective-ca "floppy"-adjective-en
"floppy"-adjective-en "flexible"-adjective-ca
"indifferent"-adjective-en "indiferent"-adjective-ca
"indiferent"-adjective-ca "indifferent"-adjective-en
"cruel"-adjective-en "cruel"-adjective-ca
"cruel"-adjective-ca "cruel"-adjective-en
"orgullós"-adjective-ca "proud"-adjective-en
"proud"-adjective-en "orgullós"-adjective-ca
"calent"-adjective-ca "hot"-adjective-en
"calent"-adjective-ca "warm"-adjective-en
"hot"-adjective-en "calent"-adjective-ca
"hot"-adjective-en "calorós"-adjective-ca
"hot"-adjective-en "càlid"-adjective-ca
"warm"-adjective-en "calent"-adjective-ca
"warm"-adjective-en "càlid"-adjective-ca
"calorós"-adjective-ca "hot"-adjective-en
"càlid"-adjective-ca "hot"-adjective-en
"càlid"-adjective-ca "warm"-adjective-en
"wild"-adjective-en "salvatge"-adjective-ca
"salvatge"-adjective-ca "wild"-adjective-en
"brutal"-adjective-ca "brutal"-adjective-en
"brutal"-adjective-en "brutal"-adjective-ca
"deslleial"-adjective-ca "disloyal"-adjective-en
"disloyal"-adjective-en "deslleial"-adjective-ca
"piercing"-adjective-en "penetrant"-adjective-ca
"penetrant"-adjective-ca "piercing"-adjective-en
"penetrant"-adjective-ca "penetrating"-adjective-en
"penetrating"-adjective-en "penetrant"-adjective-ca
"exigent"-adjective-ca "demanding"-adjective-en
"demanding"-adjective-en "exigent"-adjective-ca
"superficial"-adjective-ca "shallow"-adjective-en
"shallow"-adjective-en "superficial"-adjective-ca
"fràgil"-adjective-ca "brittle"-adjective-en
"fràgil"-adjective-ca "fragile"-adjective-en
"brittle"-adjective-en "fràgil"-adjective-ca
"fragile"-adjective-en "fràgil"-adjective-ca
"heavy"-adjective-en "pesant"-adjective-ca
"pesant"-adjective-ca "heavy"-adjective-en
"espès"-adjective-ca "dense"-adjective-en
"dense"-adjective-en "espès"-adjective-ca
"dense"-adjective-en "dens"-adjective-ca
"dens"-adjective-ca "dense"-adjective-en
"estable"-adjective-ca "stable"-adjective-en
"stable"-adjective-en "estable"-adjective-ca
"sòlid"-adjective-ca "solid"-adjective-en
"solid"-adjective-en "sòlid"-adjective-ca
"consistent"-adjective-en "consegüent"-adjective-ca
"consistent"-adjective-en "conseqüent"-adjective-ca
"consegüent"-adjective-ca "consistent"-adjective-en
"conseqüent"-adjective-ca "consistent"-adjective-en
"present"-adjective-en "actual"-adjective-ca
"actual"-adjective-ca "present"-adjective-en
"gruixut"-adjective-ca "thick"-adjective-en
"pur"-adjective-ca "pure"-adjective-en
"pure"-adjective-en "pur"-adjective-ca
"total"-adjective-ca "total"-adjective-en
"total"-adjective-en "total"-adjective-ca
"inestable"-adjective-ca "unstable"-adjective-en
"unstable"-adjective-en "inestable"-adjective-ca
"tranquil"-adjective-ca "quiet"-adjective-en
"tranquil"-adjective-ca "calm"-adjective-en
"quiet"-adjective-en "tranquil"-adjective-ca
"quiet"-adjective-en "quiet"-adjective-ca
"calm"-adjective-en "tranquil"-adjective-ca
"quiet"-adjective-ca "quiet"-adjective-en
"inevitable"-adjective-en "ineludible"-adjective-ca
"ineludible"-adjective-ca "inevitable"-adjective-en
"ineludible"-adjective-ca "unavoidable"-adjective-en
"unavoidable"-adjective-en "ineludible"-adjective-ca
"real"-adjective-en "real"-adjective-ca
"real"-adjective-ca "real"-adjective-en
"real"-adjective-ca "actual"-adjective-en
"actual"-adjective-en "real"-adjective-ca
"lazy"-adjective-en "mandrós"-adjective-ca
"lazy"-adjective-en "indolent"-adjective-ca
"mandrós"-adjective-ca "lazy"-adjective-en
"indolent"-adjective-ca "lazy"-adjective-en
"llunyà"-adjective-ca "distant"-adjective-en
"llunyà"-adjective-ca "far"-adjective-en
"distant"-adjective-en "llunyà"-adjective-ca
"distant"-adjective-en "distant"-adjective-ca
"distant"-adjective-en "allunyat"-adjective-ca
"far"-adjective-en "llunyà"-adjective-ca
"far"-adjective-en "allunyat"-adjective-ca
"distant"-adjective-ca "distant"-adjective-en
"allunyat"-adjective-ca "distant"-adjective-en
"allunyat"-adjective-ca "far"-adjective-en
"especial"-adjective-ca "special"-adjective-en
"special"-adjective-en "especial"-adjective-ca
"diferent"-adjective-ca "different"-adjective-en
"different"-adjective-en "diferent"-adjective-ca
"boig"-adjective-ca "mad"-adjective-en
"boig"-adjective-ca "crazy"-adjective-en
"mad"-adjective-en "boig"-adjective-ca
"crazy"-adjective-en "boig"-adjective-ca
"alegre"-adjective-ca "merry"-adjective-en
"merry"-adjective-en "alegre"-adjective-ca
"feliç"-adjective-ca "happy"-adjective-en
"happy"-adjective-en "feliç"-adjective-ca
"normal"-adjective-ca "normal"-adjective-en
"normal"-adjective-en "normal"-adjective-ca
"loyal"-adjective-en "lleial"-adjective-ca
"lleial"-adjective-ca "loyal"-adjective-en
"superior"-adjective-ca "superior"-adjective-en
"superior"-adjective-ca "upper"-adjective-en
"superior"-adjective-en "superior"-adjective-ca
"upper"-adjective-en "superior"-adjective-ca
"general"-adjective-en "general"-adjective-ca
"general"-adjective-ca "general"-adjective-en
"freqüent"-adjective-ca "frequent"-adjective-en
"frequent"-adjective-en "freqüent"-adjective-ca
"dear"-adjective-en "benvolgut"-adjective-ca
"benvolgut"-adjective-ca "dear"-adjective-en
"racional"-adjective-ca "rational"-adjective-en
"rational"-adjective-en "racional"-adjective-ca
"rational"-adjective-en "raonable"-adjective-ca
"raonable"-adjective-ca "rational"-adjective-en
"comprehensive"-adjective-en "ampli"-adjective-ca
"ampli"-adjective-ca "comprehensive"-adjective-en
"vast"-adjective-ca "vast"-adjective-en
"vast"-adjective-en "vast"-adjective-ca
"ample"-adjective-ca "wide"-adjective-en
"ample"-adjective-ca "broad"-adjective-en
"wide"-adjective-en "ample"-adjective-ca
"broad"-adjective-en "ample"-adjective-ca
"compatible"-adjective-ca "compatible"-adjective-en
"compatible"-adjective-en "compatible"-adjective-ca
"platitudinous"-adjective-en "banal"-adjective-ca
"banal"-adjective-ca "platitudinous"-adjective-en
"tank"-noun-en "tanc"-noun-ca
"tanc"-noun-ca "tank"-noun-en
"proporció"-noun-ca "proportion"-noun-en
"proportion"-noun-en "proporció"-noun-ca
"missa"-noun-ca "mass"-noun-en
"mass"-noun-en "missa"-noun-ca
"mass"-noun-en "massa"-noun-ca
"massa"-noun-ca "mass"-noun-en
"fermentation"-noun-en "fermentació"-noun-ca
"fermentació"-noun-ca "fermentation"-noun-en
"excrement"-noun-ca "excrement"-noun-en
"excrement"-noun-en "excrement"-noun-ca
"freqüència"-noun-ca "frequency"-noun-en
"frequency"-noun-en "freqüència"-noun-ca
"reunificació"-noun-ca "reunification"-noun-en
"reunification"-noun-en "reunificació"-noun-ca
"rally"-noun-en "míting"-noun-ca
