"el teu"-determiner-ca "thy"-determiner-en
"agrobiologia"-noun-ca "agrobiology"-noun-en
"agrometeorology"-noun-en "agrometeorologia"-noun-ca
"agrometeorologia"-noun-ca "agrometeorology"-noun-en
"apuntar"-verb-ca "notate"-verb-en
"notate"-verb-en "apuntar"-verb-ca
"airport"-adjective-en "aeroportuari"-adjective-ca
"aeroportuari"-adjective-ca "airport"-adjective-en
"anestèsic"-adjective-ca "anesthetic"-adjective-en
"anesthetic"-adjective-en "anestèsic"-adjective-ca
"Andalusian"-adjective-en "andalús"-adjective-ca
"Andalusian"-adjective-en "andalusí"-adjective-ca
"andalús"-adjective-ca "Andalusian"-adjective-en
"andalusí"-adjective-ca "Andalusian"-adjective-en
"Andorran"-adjective-en "andorrà"-adjective-ca
"andorrà"-adjective-ca "Andorran"-adjective-en
"angiology"-noun-en "angiologia"-noun-ca
"angiologia"-noun-ca "angiology"-noun-en
"angle"-verb-en "doblegar"-verb-ca
"doblegar"-verb-ca "angle"-verb-en
"Aragonese"-adjective-en "aragonès"-adjective-ca
"aragonès"-adjective-ca "Aragonese"-adjective-en
"archery"-noun-en "arquer"-noun-ca
"arquer"-noun-ca "archery"-noun-en
"arheism"-noun-en "arreisme"-noun-ca
"arreisme"-noun-ca "arheism"-noun-en
"arthrosis"-noun-en "artrosi"-noun-ca
"artrosi"-noun-ca "arthrosis"-noun-en
"asiàtic"-adjective-ca "Asiatic"-adjective-en
"Asiatic"-adjective-en "asiàtic"-adjective-ca
"Assyrian"-adjective-en "assiri"-adjective-ca
"assiri"-adjective-ca "Assyrian"-adjective-en
"Asturian"-adjective-en "asturià"-adjective-ca
"asturià"-adjective-ca "Asturian"-adjective-en
"australià"-adjective-ca "Aussie"-adjective-en
"Aussie"-adjective-en "australià"-adjective-ca
"author"-verb-en "escriure"-verb-ca
"escriure"-verb-ca "author"-verb-en
"autolysis"-noun-en "autòlisi"-noun-ca
"autòlisi"-noun-ca "autolysis"-noun-en
"mitjà"-adjective-ca "average"-verb-en
"average"-verb-en "mitjà"-adjective-ca
"aviculture"-noun-en "avicultura"-noun-ca
"avicultura"-noun-ca "aviculture"-noun-en
"avitaminosis"-noun-en "avitaminosi"-noun-ca
"avitaminosi"-noun-ca "avitaminosis"-noun-en
"Babylonian"-adjective-en "babilònic"-adjective-ca
"babilònic"-adjective-ca "Babylonian"-adjective-en
"band"-verb-en "embolcar"-verb-ca
"band"-verb-en "lligar"-verb-ca
"embolcar"-verb-ca "band"-verb-en
"lligar"-verb-ca "band"-verb-en
"Basque"-adjective-en "basc"-adjective-ca
"basc"-adjective-ca "Basque"-adjective-en
"Bavarian"-adjective-en "bavarès"-adjective-ca
"bavarès"-adjective-ca "Bavarian"-adjective-en
"encastar"-verb-ca "embed"-verb-en
"embed"-verb-en "encastar"-verb-ca
"big bang"-noun-en "big bang"-noun-ca
"big bang"-noun-ca "big bang"-noun-en
"bioclimatology"-noun-en "bioclimatologia"-noun-ca
"bioclimatologia"-noun-ca "bioclimatology"-noun-en
"BIOS"-noun-en "BIOS"-noun-ca
"BIOS"-noun-ca "BIOS"-noun-en
"blastulation"-noun-en "blastulació"-noun-ca
"blastulació"-noun-ca "blastulation"-noun-en
"blockade"-verb-en "bloquejar"-verb-ca
"bloquejar"-verb-ca "blockade"-verb-en
"sanguini"-adjective-ca "blood"-verb-en
"blood"-verb-en "sanguini"-adjective-ca
"Bolivian"-adjective-en "bolivià"-adjective-ca
"bolivià"-adjective-ca "Bolivian"-adjective-en
"bond"-verb-en "enganxar"-verb-ca
"enganxar"-verb-ca "bond"-verb-en
"explotar"-verb-ca "mine"-verb-en
"mine"-verb-en "explotar"-verb-ca
"bourgeois"-adjective-en "burgès"-adjective-ca
"burgès"-adjective-ca "bourgeois"-adjective-en
"Burmese"-adjective-en "birmà"-adjective-ca
"birmà"-adjective-ca "Burmese"-adjective-en
"bielorús"-adjective-ca "Belorussian"-adjective-en
"Belorussian"-adjective-en "bielorús"-adjective-ca
"caesium"-noun-en "cesi"-noun-ca
"cesi"-noun-ca "caesium"-noun-en
"Cameroonian"-adjective-en "camerunès"-adjective-ca
"camerunès"-adjective-ca "Cameroonian"-adjective-en
"carbonate"-verb-en "carbonatar"-verb-ca
"carbonatar"-verb-ca "carbonate"-verb-en
"carbonitriding"-noun-en "carbonitruració"-noun-ca
"carbonitruració"-noun-ca "carbonitriding"-noun-en
"centrifuge"-verb-en "centrifugar"-verb-ca
"centrifugar"-verb-ca "centrifuge"-verb-en
"tallar"-verb-ca "crop"-verb-en
"crop"-verb-en "tallar"-verb-ca
"chrome"-verb-en "cromar"-verb-ca
"cromar"-verb-ca "chrome"-verb-en
"CiU"-noun-en "CiU"-noun-ca
"CiU"-noun-ca "CiU"-noun-en
"classificar"-verb-ca "categorise"-verb-en
"categorise"-verb-en "classificar"-verb-ca
"encunyar"-verb-ca "mint"-verb-en
"mint"-verb-en "encunyar"-verb-ca
"colombià"-adjective-ca "Columbian"-adjective-en
"Columbian"-adjective-en "colombià"-adjective-ca
"Columbian"-adjective-en "colombí"-adjective-ca
"colombí"-adjective-ca "Columbian"-adjective-en
"conferencing"-noun-en "audioconferència"-noun-ca
"audioconferència"-noun-ca "conferencing"-noun-en
"Congolese"-adjective-en "congolès"-adjective-ca
"congolès"-adjective-ca "Congolese"-adjective-en
"culture"-verb-en "cultivar"-verb-ca
"cultivar"-verb-ca "culture"-verb-en
"cursive"-adjective-en "cursiu"-adjective-ca
"cursiu"-adjective-ca "cursive"-adjective-en
"damascene"-verb-en "damasquinar"-verb-ca
"damasquinar"-verb-ca "damascene"-verb-en
"declinar"-verb-ca "inflect"-verb-en
"inflect"-verb-en "declinar"-verb-ca
"delegar"-verb-ca "devolve"-verb-en
"devolve"-verb-en "delegar"-verb-ca
"densimetry"-noun-en "densimetria"-noun-ca
"densimetria"-noun-ca "densimetry"-noun-en
"derusting"-noun-en "desoxidació"-noun-ca
"desoxidació"-noun-ca "derusting"-noun-en
"disadvantage"-verb-en "desfavorir"-verb-ca
"desfavorir"-verb-ca "disadvantage"-verb-en
"enviar"-verb-ca "route"-verb-en
"route"-verb-en "enviar"-verb-ca
"dock"-verb-en "atracar"-verb-ca
"atracar"-verb-ca "dock"-verb-en
"DOS"-noun-en "DOS"-noun-ca
"DOS"-noun-ca "DOS"-noun-en
"reclutar"-verb-ca "conscript"-verb-en
"conscript"-verb-en "reclutar"-verb-ca
"impulsar"-verb-ca "bootstrap"-verb-en
"bootstrap"-verb-en "impulsar"-verb-ca
"baixar"-verb-ca "dismount"-verb-en
"dismount"-verb-en "baixar"-verb-ca
"fals"-adjective-ca "counterfeit"-adjective-en
"counterfeit"-adjective-en "fals"-adjective-ca
"duramen"-noun-en "duramen"-noun-ca
"duramen"-noun-ca "duramen"-noun-en
"repetir"-verb-ca "reprise"-verb-en
"reprise"-verb-en "repetir"-verb-ca
"ecliptic"-adjective-en "eclíptic"-adjective-ca
"eclíptic"-adjective-ca "ecliptic"-adjective-en
"ecotoxicology"-noun-en "ecotoxicologia"-noun-ca
"ecotoxicologia"-noun-ca "ecotoxicology"-noun-en
"epidermis"-noun-en "epidermis"-noun-ca
"epidermis"-noun-ca "epidermis"-noun-en
"ergotherapy"-noun-en "ergoteràpia"-noun-ca
"ergoteràpia"-noun-ca "ergotherapy"-noun-en
"Etruscology"-noun-en "etruscologia"-noun-ca
"etruscologia"-noun-ca "Etruscology"-noun-en
"evidence"-verb-en "demostrar"-verb-ca
"demostrar"-verb-ca "evidence"-verb-en
"far right"-noun-en "ultradreta"-noun-ca
"ultradreta"-noun-ca "far right"-noun-en
"fate"-verb-en "destinar"-verb-ca
"destinar"-verb-ca "fate"-verb-en
"father"-verb-en "concebre"-verb-ca
"concebre"-verb-ca "father"-verb-en
"favorit"-adjective-ca "favorite"-adjective-en
"favorite"-adjective-en "favorit"-adjective-ca
"afavorir"-verb-ca "favor"-verb-en
"favor"-verb-en "afavorir"-verb-ca
"forest"-verb-en "poblar"-verb-ca
"poblar"-verb-ca "forest"-verb-en
"format"-verb-en "formatar"-verb-ca
"formatar"-verb-ca "format"-verb-en
"front"-verb-en "liderar"-verb-ca
"liderar"-verb-ca "front"-verb-en
"Galician"-adjective-en "gallec"-adjective-ca
"gallec"-adjective-ca "Galician"-adjective-en
"garrison"-verb-en "aquarterar"-verb-ca
"aquarterar"-verb-ca "garrison"-verb-en
"gift"-verb-en "regalar"-verb-ca
"regalar"-verb-ca "gift"-verb-en
"graffiti"-noun-en "grafit"-noun-ca
"grafit"-noun-ca "graffiti"-noun-en
"graphometry"-noun-en "grafometria"-noun-ca
"grafometria"-noun-ca "graphometry"-noun-en
"gross"-verb-en "brut"-adjective-ca
"gross"-verb-en "guanyar"-verb-ca
"brut"-adjective-ca "gross"-verb-en
"guanyar"-verb-ca "gross"-verb-en
"Guatemalan"-adjective-en "guatemalenc"-adjective-ca
"guatemalenc"-adjective-ca "Guatemalan"-adjective-en
"Hawaiian"-adjective-en "hawaià"-adjective-ca
"hawaià"-adjective-ca "Hawaiian"-adjective-en
"headline"-verb-en "titular"-verb-ca
"headline"-verb-en "encapçalar"-verb-ca
"titular"-verb-ca "headline"-verb-en
"encapçalar"-verb-ca "headline"-verb-en
"hepatology"-noun-en "hepatologia"-noun-ca
"hepatologia"-noun-ca "hepatology"-noun-en
"destacar"-verb-ca "excel"-verb-en
"excel"-verb-en "destacar"-verb-ca
"hinge"-verb-en "dependre"-verb-ca
"dependre"-verb-ca "hinge"-verb-en
"hiragana"-noun-en "hiragana"-noun-ca
"hiragana"-noun-ca "hiragana"-noun-en
"contractar"-verb-ca "indenture"-verb-en
"indenture"-verb-en "contractar"-verb-ca
"Hispanic"-adjective-en "hispà"-adjective-ca
"Hispanic"-adjective-en "hispànic"-adjective-ca
"hispà"-adjective-ca "Hispanic"-adjective-en
"hispànic"-adjective-ca "Hispanic"-adjective-en
"horseriding"-noun-en "equitació"-noun-ca
"equitació"-noun-ca "horseriding"-noun-en
"humà"-adjective-ca "humane"-adjective-en
"humane"-adjective-en "humà"-adjective-ca
"hydrobiology"-noun-en "hidrobiologia"-noun-ca
"hidrobiologia"-noun-ca "hydrobiology"-noun-en
"hydrodynamics"-noun-en "hidrodinàmica"-noun-ca
"hidrodinàmica"-noun-ca "hydrodynamics"-noun-en
"hypsometry"-noun-en "hipsometria"-noun-ca
"hipsometria"-noun-ca "hypsometry"-noun-en
"IBM"-properNoun-en "IBM"-properNoun-ca
"IBM"-properNoun-ca "IBM"-properNoun-en
"Icelandic"-adjective-en "islandès"-adjective-ca
"islandès"-adjective-ca "Icelandic"-adjective-en
"imperforation"-noun-en "imperforació"-noun-ca
"imperforació"-noun-ca "imperforation"-noun-en
"imputableness"-noun-en "imputabilitat"-noun-ca
"imputabilitat"-noun-ca "imputableness"-noun-en
"indivision"-noun-en "indivisió"-noun-ca
"indivisió"-noun-ca "indivision"-noun-en
"insalivation"-noun-en "insalivació"-noun-ca
"insalivació"-noun-ca "insalivation"-noun-en
"intermediary"-adjective-en "intermediari"-adjective-ca
"intermediari"-adjective-ca "intermediary"-adjective-en
"intern"-verb-en "intern"-adjective-ca
"intern"-verb-en "detenir"-verb-ca
"intern"-adjective-ca "intern"-verb-en
"detenir"-verb-ca "intern"-verb-en
"intersexuality"-noun-en "intersexualitat"-noun-ca
"intersexualitat"-noun-ca "intersexuality"-noun-en
"intrigue"-verb-en "intrigar"-verb-ca
"intrigar"-verb-ca "intrigue"-verb-en
"nul"-adjective-ca "null"-adjective-en
"null"-adjective-en "nul"-adjective-ca
"invasive"-adjective-en "invasiu"-adjective-ca
"invasiu"-adjective-ca "invasive"-adjective-en
"joia"-noun-ca "jewelry"-noun-en
"jewelry"-noun-en "joia"-noun-ca
"saltar"-verb-ca "bound"-verb-en
"bound"-verb-en "saltar"-verb-ca
"katakana"-noun-en "katakana"-noun-ca
"katakana"-noun-ca "katakana"-noun-en
"Kenyan"-adjective-en "kenià"-adjective-ca
"kenià"-adjective-ca "Kenyan"-adjective-en
"laryngology"-noun-en "laringologia"-noun-ca
"laringologia"-noun-ca "laryngology"-noun-en
"estendre"-verb-ca "protract"-verb-en
"protract"-verb-en "estendre"-verb-ca
"Lebanese"-adjective-en "libanès"-adjective-ca
"libanès"-adjective-ca "Lebanese"-adjective-en
"libidinousness"-noun-en "libidinositat"-noun-ca
"libidinositat"-noun-ca "libidinousness"-noun-en
"encendre"-verb-ca "turn on"-verb-en
"turn on"-verb-en "encendre"-verb-ca
"lowercase"-noun-en "minúscula"-noun-ca
"minúscula"-noun-ca "lowercase"-noun-en
"lumber"-verb-en "endossar"-verb-ca
"endossar"-verb-ca "lumber"-verb-en
"Majorcan"-adjective-en "mallorquí"-adjective-ca
"mallorquí"-adjective-ca "Majorcan"-adjective-en
"Malaysian"-adjective-en "malai"-adjective-ca
"malai"-adjective-ca "Malaysian"-adjective-en
"Maltese"-adjective-en "maltès"-adjective-ca
"maltès"-adjective-ca "Maltese"-adjective-en
"ordenar"-verb-ca "sequence"-verb-en
"sequence"-verb-en "ordenar"-verb-ca
"maquis"-noun-en "màquia"-noun-ca
"màquia"-noun-ca "maquis"-noun-en
"puntuar"-verb-ca "punctuate"-verb-en
"punctuate"-verb-en "puntuar"-verb-ca
"martyr"-verb-en "martiritzar"-verb-ca
"martiritzar"-verb-ca "martyr"-verb-en
"massacre"-verb-en "massacrar"-verb-ca
"massacrar"-verb-ca "massacre"-verb-en
"microcinematography"-noun-en "microcinematografia"-noun-ca
"microcinematografia"-noun-ca "microcinematography"-noun-en
"microprogramming"-noun-en "microprogramació"-noun-ca
"microprogramació"-noun-ca "microprogramming"-noun-en
"microsociology"-noun-en "microsociologia"-noun-ca
"microsociologia"-noun-ca "microsociology"-noun-en
"misology"-noun-en "misologia"-noun-ca
"misologia"-noun-ca "misology"-noun-en
"Nepalese"-adjective-en "nepalès"-adjective-ca
"nepalès"-adjective-ca "Nepalese"-adjective-en
"nephelometry"-noun-en "nefelometria"-noun-ca
"nefelometria"-noun-ca "nephelometry"-noun-en
"Nicaraguan"-adjective-en "nicaragüenc"-adjective-ca
"nicaragüenc"-adjective-ca "Nicaraguan"-adjective-en
"onomasiology"-noun-en "onomasiologia"-noun-ca
"onomasiologia"-noun-ca "onomasiology"-noun-en
"onomastics"-noun-en "onomàstica"-noun-ca
"onomàstica"-noun-ca "onomastics"-noun-en
"ophthalmometry"-noun-en "oftalmometria"-noun-ca
"oftalmometria"-noun-ca "ophthalmometry"-noun-en
"opotherapy"-noun-en "opoteràpia"-noun-ca
"opoteràpia"-noun-ca "opotherapy"-noun-en
"contrari"-adjective-ca "converse"-adjective-en
"converse"-adjective-en "contrari"-adjective-ca
"converse"-adjective-en "conversar"-verb-ca
"converse"-adjective-en "enraonar"-verb-ca
"Orthodox"-adjective-en "ortodox"-adjective-ca
"ortodox"-adjective-ca "Orthodox"-adjective-en
"orthoeducation"-noun-en "ortopedagogia"-noun-ca
"ortopedagogia"-noun-ca "orthoeducation"-noun-en
"orthogonality"-noun-en "ortogonalitat"-noun-ca
"ortogonalitat"-noun-ca "orthogonality"-noun-en
"oxidimetry"-noun-en "oxidimetria"-noun-ca
"oxidimetria"-noun-ca "oxidimetry"-noun-en
"panty"-noun-en "pantis"-noun-ca
"pantis"-noun-ca "panty"-noun-en
"Paraguayan"-adjective-en "paraguaià"-adjective-ca
"paraguaià"-adjective-ca "Paraguayan"-adjective-en
"Parisian"-adjective-en "parisenc"-adjective-ca
"parisenc"-adjective-ca "Parisian"-adjective-en
"parody"-verb-en "parodiar"-verb-ca
"parodiar"-verb-ca "parody"-verb-en
"partition"-verb-en "dividir"-verb-ca
"dividir"-verb-ca "partition"-verb-en
"Peronism"-noun-en "peronisme"-noun-ca
"peronisme"-noun-ca "Peronism"-noun-en
"sincronitzar"-verb-ca "sync"-verb-en
"sync"-verb-en "sincronitzar"-verb-ca
"phlebography"-noun-en "flebografia"-noun-ca
"flebografia"-noun-ca "phlebography"-noun-en
"phoniatrics"-noun-en "foniatria"-noun-ca
"foniatria"-noun-ca "phoniatrics"-noun-en
"pictography"-noun-en "pictografia"-noun-ca
"pictografia"-noun-ca "pictography"-noun-en
"pinyin"-noun-en "pinyin"-noun-ca
"pinyin"-noun-ca "pinyin"-noun-en
"iniciar"-verb-ca "induct"-verb-en
"induct"-verb-en "iniciar"-verb-ca
"PM"-noun-en "primer ministre"-noun-ca
"primer ministre"-noun-ca "PM"-noun-en
"polarimetry"-noun-en "polarimetria"-noun-ca
"polarimetria"-noun-ca "polarimetry"-noun-en
"portuari"-adjective-ca "port"-verb-en
"port"-verb-en "portuari"-adjective-ca
"port"-verb-en "transferir"-verb-ca
"transferir"-verb-ca "port"-verb-en
"postulate"-verb-en "postular"-verb-ca
"postular"-verb-ca "postulate"-verb-en
"pressionar"-verb-ca "lobby"-verb-en
"lobby"-verb-en "pressionar"-verb-ca
"proceeding"-noun-en "plet"-noun-ca
"plet"-noun-ca "proceeding"-noun-en
"pyretotherapy"-noun-en "piretoteràpia"-noun-ca
"piretoteràpia"-noun-ca "pyretotherapy"-noun-en
"pyrosis"-noun-en "pirosi"-noun-ca
"pirosi"-noun-ca "pyrosis"-noun-en
"quadraphony"-noun-en "quadrifonia"-noun-ca
"quadrifonia"-noun-ca "quadraphony"-noun-en
"radiometallography"-noun-en "radiometal·lografia"-noun-ca
"radiometal·lografia"-noun-ca "radiometallography"-noun-en
"radiophony"-noun-en "radiofonia"-noun-ca
"radiofonia"-noun-ca "radiophony"-noun-en
"rediffusion"-noun-en "reemissió"-noun-ca
"reemissió"-noun-ca "rediffusion"-noun-en
"reed"-noun-en "canya"-noun-ca
"canya"-noun-ca "reed"-noun-en
"considerar"-verb-ca "esteem"-verb-en
"esteem"-verb-en "considerar"-verb-ca
"demanar"-verb-ca "petition"-verb-en
"petition"-verb-en "demanar"-verb-ca
"reuse"-verb-en "reutilitzar"-verb-ca
"reutilitzar"-verb-ca "reuse"-verb-en
"revolucionari"-adjective-ca "groundbreaking"-adjective-en
"groundbreaking"-adjective-en "revolucionari"-adjective-ca
"Roman"-adjective-en "romà"-adjective-ca
"romà"-adjective-ca "Roman"-adjective-en
"arruïnar"-verb-ca "shipwreck"-verb-en
"arruïnar"-verb-ca "dilapidate"-verb-en
"shipwreck"-verb-en "arruïnar"-verb-ca
"shipwreck"-verb-en "naufragar"-verb-ca
"dilapidate"-verb-en "arruïnar"-verb-ca
"scintillography"-noun-en "escintil·lografia"-noun-ca
"escintil·lografia"-noun-ca "scintillography"-noun-en
"scorbutus"-noun-en "escorbut"-noun-ca
"escorbut"-noun-ca "scorbutus"-noun-en
"script"-verb-en "dictar"-verb-ca
"dictar"-verb-ca "script"-verb-en
"self-incrimination"-noun-en "autoacusació"-noun-ca
"autoacusació"-noun-ca "self-incrimination"-noun-en
"semeiotics"-noun-en "semiòtica"-noun-ca
"semiòtica"-noun-ca "semeiotics"-noun-en
"shear"-noun-en "cisalla"-noun-ca
"cisalla"-noun-ca "shear"-noun-en
"naufragar"-verb-ca "shipwreck"-verb-en
"shorts"-noun-en "pantalons curts"-noun-ca
"pantalons curts"-noun-ca "shorts"-noun-en
"side"-verb-en "donar suport"-verb-ca
"donar suport"-verb-ca "side"-verb-en
"sight"-verb-en "albirar"-verb-ca
"albirar"-verb-ca "sight"-verb-en
"site"-verb-en "ubicar"-verb-ca
"ubicar"-verb-ca "site"-verb-en
"size"-verb-en "medir"-verb-ca
"medir"-verb-ca "size"-verb-en
"sociography"-noun-en "sociografia"-noun-ca
"sociografia"-noun-ca "sociography"-noun-en
"sociometry"-noun-en "sociometria"-noun-ca
"sociometria"-noun-ca "sociometry"-noun-en
"spectrography"-noun-en "espectrografia"-noun-ca
"espectrografia"-noun-ca "spectrography"-noun-en
"SQL"-properNoun-en "SQL"-properNoun-ca
"SQL"-properNoun-ca "SQL"-properNoun-en
"Stalinism"-noun-en "estalinisme"-noun-ca
"estalinisme"-noun-ca "Stalinism"-noun-en
"stereophony"-noun-en "estereofonia"-noun-ca
"estereofonia"-noun-ca "stereophony"-noun-en
"strand"-verb-en "encallar"-verb-ca
"encallar"-verb-ca "strand"-verb-en
"encallar"-verb-ca "run aground"-verb-en
"run aground"-verb-en "encallar"-verb-ca
"tirant"-noun-ca "suspender"-noun-en
"suspender"-noun-en "tirant"-noun-ca
"substituir"-verb-ca "supersed"-verb-en
"supersed"-verb-en "substituir"-verb-ca
"Sudanese"-adjective-en "sudanès"-adjective-ca
"sudanès"-adjective-ca "Sudanese"-adjective-en
"Sumerian"-adjective-en "sumeri"-adjective-ca
"sumeri"-adjective-ca "Sumerian"-adjective-en
"sum"-verb-en "sumar"-verb-ca
"sumar"-verb-ca "sum"-verb-en
"superconduction"-noun-en "superconductivitat"-noun-ca
"superconductivitat"-noun-ca "superconduction"-noun-en
"syphilis"-noun-en "sífilis"-noun-ca
"sífilis"-noun-ca "syphilis"-noun-en
"systematics"-noun-en "sistemàtica"-noun-ca
"sistemàtica"-noun-ca "systematics"-noun-en
"Taiwanese"-adjective-en "taiwanès"-adjective-ca
"taiwanès"-adjective-ca "Taiwanese"-adjective-en
"task"-verb-en "assignar"-verb-ca
"assignar"-verb-ca "task"-verb-en
"teleprinting"-noun-en "teleimpressió"-noun-ca
"teleimpressió"-noun-ca "teleprinting"-noun-en
"texturing"-noun-en "texturació"-noun-ca
"texturació"-noun-ca "texturing"-noun-en
"TGV"-noun-en "TGV"-noun-ca
"TGV"-noun-ca "TGV"-noun-en
"Thai"-adjective-en "tailandès"-adjective-ca
"tailandès"-adjective-ca "Thai"-adjective-en
"therapeutics"-noun-en "terapèutica"-noun-ca
"terapèutica"-noun-ca "therapeutics"-noun-en
"thermogravimetry"-noun-en "termogravimetria"-noun-ca
"termogravimetria"-noun-ca "thermogravimetry"-noun-en
"thrombolysis"-noun-en "trombòlisi"-noun-ca
"trombòlisi"-noun-ca "thrombolysis"-noun-en
"tocology"-noun-en "tocologia"-noun-ca
"tocologia"-noun-ca "tocology"-noun-en
"turbidimetry"-noun-en "turbidimetria"-noun-ca
"turbidimetria"-noun-ca "turbidimetry"-noun-en
"Uruguayan"-adjective-en "uruguaià"-adjective-ca
"uruguaià"-adjective-ca "Uruguayan"-adjective-en
"Venetian"-adjective-en "venecià"-adjective-ca
"venecià"-adjective-ca "Venetian"-adjective-en
"Venezuelan"-adjective-en "veneçolà"-adjective-ca
"veneçolà"-adjective-ca "Venezuelan"-adjective-en
"Victorian"-adjective-en "victorià"-adjective-ca
"victorià"-adjective-ca "Victorian"-adjective-en
