"supausadaments"-adverb-oc "soi-disant"-adverb-fr
"tot lo mond"-pronoun-oc "tout le monde"-pronoun-fr
"tot lo mon"-pronoun-oc "tout le monde"-pronoun-fr
"deuant"-preposition-oc "au-devant de"-preposition-fr
"au-devant de"-preposition-fr "deuant"-preposition-oc
"fondamentau"-adjective-oc "fondamental"-adjective-fr
"fondamental"-adjective-fr "fondamentau"-adjective-oc
"fondamental"-adjective-fr "fondamental"-adjective-oc
"fondamental"-adjective-fr "fonamentau"-adjective-oc
"fondamental"-adjective-fr "fonamental"-adjective-oc
"fondamental"-adjective-oc "fondamental"-adjective-fr
"fonamentau"-adjective-oc "fondamental"-adjective-fr
"fonamental"-adjective-oc "fondamental"-adjective-fr
"perche"-noun-fr "portamantèl"-noun-oc
"perche"-noun-fr "hurga"-noun-oc
"portamantèl"-noun-oc "perche"-noun-fr
"hurga"-noun-oc "perche"-noun-fr
"espia"-noun-oc "barbouze"-noun-fr
"barbouze"-noun-fr "espia"-noun-oc
"desaubediment"-noun-oc "désobéissance"-noun-fr
"désobéissance"-noun-fr "desaubediment"-noun-oc
"désobéissance"-noun-fr "desaubediença"-noun-oc
"desaubediença"-noun-oc "désobéissance"-noun-fr
"caishòla"-noun-oc "canine"-noun-fr
"canine"-noun-fr "caishòla"-noun-oc
"escopeta"-noun-oc "fusil de chasse"-noun-fr
"fusil de chasse"-noun-fr "escopeta"-noun-oc
"golf"-noun-fr "gòlf"-noun-oc
"gòlf"-noun-oc "golf"-noun-fr
"embarg"-noun-oc "saisie"-noun-fr
"saisie"-noun-fr "embarg"-noun-oc
"appeau"-noun-fr "reclam"-noun-oc
"reclam"-noun-oc "appeau"-noun-fr
"cognòm"-noun-oc "nom de famille"-noun-fr
"nom de famille"-noun-fr "cognòm"-noun-oc
"prorròga"-noun-oc "sursis"-noun-fr
"sursis"-noun-fr "prorròga"-noun-oc
"minjador"-noun-oc "salle à manger"-noun-fr
"salle à manger"-noun-fr "minjador"-noun-oc
"cantierada"-noun-oc "monceau"-noun-fr
"monceau"-noun-fr "cantierada"-noun-oc
"cava"-noun-oc "cave"-noun-fr
"cave"-noun-fr "cava"-noun-oc
"cave"-noun-fr "chai"-noun-oc
"cave"-noun-fr "cerèr"-noun-oc
"cave"-noun-fr "celièr"-noun-oc
"cave"-noun-fr "celhèr"-noun-oc
"chai"-noun-oc "cave"-noun-fr
"cerèr"-noun-oc "cave"-noun-fr
"celièr"-noun-oc "cave"-noun-fr
"celhèr"-noun-oc "cave"-noun-fr
"crambèr"-noun-oc "steward"-noun-fr
"steward"-noun-fr "crambèr"-noun-oc
"boîte aux lettres"-noun-fr "boèta"-noun-oc
"boèta"-noun-oc "boîte aux lettres"-noun-fr
"gouvernant"-noun-fr "governant"-noun-oc
"governant"-noun-oc "gouvernant"-noun-fr
"conseiller municipal"-noun-fr "còsso"-noun-oc
"còsso"-noun-oc "conseiller municipal"-noun-fr
"plata"-noun-oc "plate"-noun-fr
"plate"-noun-fr "plata"-noun-oc
"faisceau"-noun-fr "grapada"-noun-oc
"grapada"-noun-oc "faisceau"-noun-fr
"empach"-noun-oc "empêchement"-noun-fr
"empêchement"-noun-fr "empach"-noun-oc
"vaillance"-noun-fr "valença"-noun-oc
"valença"-noun-oc "vaillance"-noun-fr
"pépite"-noun-fr "seme"-noun-oc
"seme"-noun-oc "pépite"-noun-fr
"jadiment"-noun-oc "gisement"-noun-fr
"gisement"-noun-fr "jadiment"-noun-oc
"gisement"-noun-fr "jaciment"-noun-oc
"jaciment"-noun-oc "gisement"-noun-fr
"corron"-noun-oc "rouleau"-noun-fr
"rouleau"-noun-fr "corron"-noun-oc
"rouleau"-noun-fr "arrodeth"-noun-oc
"arrodeth"-noun-oc "rouleau"-noun-fr
"malèsser"-noun-oc "malaise"-noun-fr
"malaise"-noun-fr "malèsser"-noun-oc
"gelosia"-noun-oc "zèle"-noun-fr
"zèle"-noun-fr "gelosia"-noun-oc
"ser"-noun-oc "tombée de la nuit"-noun-fr
"ser"-noun-oc "crépuscule"-noun-fr
"tombée de la nuit"-noun-fr "ser"-noun-oc
"crépuscule"-noun-fr "ser"-noun-oc
"sospèita"-noun-oc "soupçon"-noun-fr
"soupçon"-noun-fr "sospèita"-noun-oc
"soupçon"-noun-fr "sospècha"-noun-oc
"sospècha"-noun-oc "soupçon"-noun-fr
"vitz"-noun-oc "vis"-noun-fr
"vis"-noun-fr "vitz"-noun-oc
"vis"-noun-fr "avitz"-noun-oc
"avitz"-noun-oc "vis"-noun-fr
"balançader"-noun-oc "balançoire"-noun-fr
"balançoire"-noun-fr "balançader"-noun-oc
"alendada"-noun-oc "haleine"-noun-fr
"haleine"-noun-fr "alendada"-noun-oc
"haleine"-noun-fr "alend"-noun-oc
"alend"-noun-oc "haleine"-noun-fr
"apprêt"-noun-fr "hiem"-noun-oc
"apprêt"-noun-fr "fem"-noun-oc
"hiem"-noun-oc "apprêt"-noun-fr
"fem"-noun-oc "apprêt"-noun-fr
"maudíder"-verb-oc "maudire"-verb-fr
"maudire"-verb-fr "maudíder"-verb-oc
"maudire"-verb-fr "maudire"-verb-oc
"maudire"-verb-oc "maudire"-verb-fr
"artificiau"-adjective-oc "artificiel"-adjective-fr
"artificiel"-adjective-fr "artificiau"-adjective-oc
"artificiel"-adjective-fr "artificial"-adjective-oc
"artificial"-adjective-oc "artificiel"-adjective-fr
"verbal"-adjective-fr "verbau"-adjective-oc
"verbal"-adjective-fr "verbal"-adjective-oc
"verbau"-adjective-oc "verbal"-adjective-fr
"verbal"-adjective-oc "verbal"-adjective-fr
"orau"-adjective-oc "oral"-adjective-fr
"oral"-adjective-fr "orau"-adjective-oc
"oral"-adjective-fr "oral"-adjective-oc
"oral"-adjective-oc "oral"-adjective-fr
"sentimentau"-adjective-oc "sentimental"-adjective-fr
"sentimental"-adjective-fr "sentimentau"-adjective-oc
"sentimental"-adjective-fr "sentimental"-adjective-oc
"sentimental"-adjective-oc "sentimental"-adjective-fr
"initial"-adjective-fr "iniciau"-adjective-oc
"initial"-adjective-fr "inicial"-adjective-oc
"iniciau"-adjective-oc "initial"-adjective-fr
"inicial"-adjective-oc "initial"-adjective-fr
"letau"-adjective-oc "létal"-adjective-fr
"létal"-adjective-fr "letau"-adjective-oc
"létal"-adjective-fr "letal"-adjective-oc
"letal"-adjective-oc "létal"-adjective-fr
"informel"-adjective-fr "informau"-adjective-oc
"informel"-adjective-fr "informal"-adjective-oc
"informau"-adjective-oc "informel"-adjective-fr
"informal"-adjective-oc "informel"-adjective-fr
"abituau"-adjective-oc "habituel"-adjective-fr
"habituel"-adjective-fr "abituau"-adjective-oc
"habituel"-adjective-fr "abitual"-adjective-oc
"abitual"-adjective-oc "habituel"-adjective-fr
"instrumentau"-adjective-oc "instrumental"-adjective-fr
"instrumental"-adjective-fr "instrumentau"-adjective-oc
"instrumental"-adjective-fr "instrumental"-adjective-oc
"instrumental"-adjective-fr "esturmentau"-adjective-oc
"instrumental"-adjective-fr "esturmental"-adjective-oc
"instrumental"-adjective-oc "instrumental"-adjective-fr
"esturmentau"-adjective-oc "instrumental"-adjective-fr
"esturmental"-adjective-oc "instrumental"-adjective-fr
"emocionau"-adjective-oc "émotionnel"-adjective-fr
"émotionnel"-adjective-fr "emocionau"-adjective-oc
"émotionnel"-adjective-fr "emocional"-adjective-oc
"emocional"-adjective-oc "émotionnel"-adjective-fr
"rivau"-adjective-oc "rival"-adjective-fr
"rival"-adjective-fr "rivau"-adjective-oc
"rival"-adjective-fr "rival"-adjective-oc
"rival"-adjective-oc "rival"-adjective-fr
"temible"-adjective-oc "redoutable"-adjective-fr
"redoutable"-adjective-fr "temible"-adjective-oc
"igual"-adjective-oc "égal"-adjective-fr
"égal"-adjective-fr "igual"-adjective-oc
"égal"-adjective-fr "egal"-adjective-oc
"egal"-adjective-oc "égal"-adjective-fr
"irréel"-adjective-fr "irreau"-adjective-oc
"irréel"-adjective-fr "irreal"-adjective-oc
"irreau"-adjective-oc "irréel"-adjective-fr
"irreal"-adjective-oc "irréel"-adjective-fr
"virtuau"-adjective-oc "virtuel"-adjective-fr
"virtuel"-adjective-fr "virtuau"-adjective-oc
"virtuel"-adjective-fr "virtual"-adjective-oc
"virtual"-adjective-oc "virtuel"-adjective-fr
"commercial"-adjective-fr "comerciau"-adjective-oc
"commercial"-adjective-fr "comercial"-adjective-oc
"comerciau"-adjective-oc "commercial"-adjective-fr
"comercial"-adjective-oc "commercial"-adjective-fr
"patronau"-adjective-oc "patronal"-adjective-fr
"patronal"-adjective-fr "patronau"-adjective-oc
"patronal"-adjective-fr "patronal"-adjective-oc
"patronal"-adjective-oc "patronal"-adjective-fr
"soscríuer"-verb-oc "soussigner"-verb-fr
"soussigner"-verb-fr "soscríuer"-verb-oc
"royal"-adjective-fr "reiau"-adjective-oc
"royal"-adjective-fr "reial"-adjective-oc
"reiau"-adjective-oc "royal"-adjective-fr
"reial"-adjective-oc "royal"-adjective-fr
"unilaterau"-adjective-oc "unilatéral"-adjective-fr
"unilatéral"-adjective-fr "unilaterau"-adjective-oc
"unilatéral"-adjective-fr "unilateral"-adjective-oc
"unilateral"-adjective-oc "unilatéral"-adjective-fr
"local"-adjective-fr "locau"-adjective-oc
"local"-adjective-fr "local"-adjective-oc
"locau"-adjective-oc "local"-adjective-fr
"local"-adjective-oc "local"-adjective-fr
"provincial"-adjective-fr "provinciau"-adjective-oc
"provincial"-adjective-fr "provincial"-adjective-oc
"provinciau"-adjective-oc "provincial"-adjective-fr
"provincial"-adjective-oc "provincial"-adjective-fr
"régional"-adjective-fr "regionau"-adjective-oc
"régional"-adjective-fr "regional"-adjective-oc
"régional"-adjective-fr "comarcau"-adjective-oc
"régional"-adjective-fr "comarcal"-adjective-oc
"regionau"-adjective-oc "régional"-adjective-fr
"regional"-adjective-oc "régional"-adjective-fr
"comarcau"-adjective-oc "régional"-adjective-fr
"comarcal"-adjective-oc "régional"-adjective-fr
"colossal"-adjective-fr "colossau"-adjective-oc
"colossal"-adjective-fr "colossal"-adjective-oc
"colossau"-adjective-oc "colossal"-adjective-fr
"colossal"-adjective-oc "colossal"-adjective-fr
"monumentau"-adjective-oc "monumental"-adjective-fr
"monumental"-adjective-fr "monumentau"-adjective-oc
"monumental"-adjective-fr "monumental"-adjective-oc
"monumental"-adjective-oc "monumental"-adjective-fr
"perjudiciau"-adjective-oc "préjudiciable"-adjective-fr
"préjudiciable"-adjective-fr "perjudiciau"-adjective-oc
"préjudiciable"-adjective-fr "perjudicial"-adjective-oc
"perjudicial"-adjective-oc "préjudiciable"-adjective-fr
"mutuau"-adjective-oc "mutuel"-adjective-fr
"mutuel"-adjective-fr "mutuau"-adjective-oc
"municipau"-adjective-oc "municipal"-adjective-fr
"municipal"-adjective-fr "municipau"-adjective-oc
"municipal"-adjective-fr "municipal"-adjective-oc
"municipal"-adjective-oc "municipal"-adjective-fr
"culturel"-adjective-fr "culturau"-adjective-oc
"culturel"-adjective-fr "cultural"-adjective-oc
"culturau"-adjective-oc "culturel"-adjective-fr
"cultural"-adjective-oc "culturel"-adjective-fr
"visuau"-adjective-oc "visuel"-adjective-fr
"visuel"-adjective-fr "visuau"-adjective-oc
"visuel"-adjective-fr "visual"-adjective-oc
"visual"-adjective-oc "visuel"-adjective-fr
"matériel"-adjective-fr "materiau"-adjective-oc
"matériel"-adjective-fr "material"-adjective-oc
"materiau"-adjective-oc "matériel"-adjective-fr
"material"-adjective-oc "matériel"-adjective-fr
"individuel"-adjective-fr "individuau"-adjective-oc
"individuel"-adjective-fr "individual"-adjective-oc
"individuau"-adjective-oc "individuel"-adjective-fr
"individual"-adjective-oc "individuel"-adjective-fr
"libéral"-adjective-fr "liberau"-adjective-oc
"libéral"-adjective-fr "liberal"-adjective-oc
"liberau"-adjective-oc "libéral"-adjective-fr
"liberal"-adjective-oc "libéral"-adjective-fr
"formel"-adjective-fr "formau"-adjective-oc
"formel"-adjective-fr "formal"-adjective-oc
"formau"-adjective-oc "formel"-adjective-fr
"formal"-adjective-oc "formel"-adjective-fr
"traditionnel"-adjective-fr "tradicionau"-adjective-oc
"traditionnel"-adjective-fr "tradicional"-adjective-oc
"tradicionau"-adjective-oc "traditionnel"-adjective-fr
"tradicional"-adjective-oc "traditionnel"-adjective-fr
"convencionau"-adjective-oc "conventionnel"-adjective-fr
"conventionnel"-adjective-fr "convencionau"-adjective-oc
"conventionnel"-adjective-fr "convencional"-adjective-oc
"convencional"-adjective-oc "conventionnel"-adjective-fr
"centrau"-adjective-oc "central"-adjective-fr
"central"-adjective-fr "centrau"-adjective-oc
"central"-adjective-fr "central"-adjective-oc
"central"-adjective-oc "central"-adjective-fr
"personau"-adjective-oc "personnel"-adjective-fr
"personnel"-adjective-fr "personau"-adjective-oc
"personnel"-adjective-fr "personal"-adjective-oc
"personal"-adjective-oc "personnel"-adjective-fr
"anormau"-adjective-oc "anormal"-adjective-fr
"anormal"-adjective-fr "anormau"-adjective-oc
"anormal"-adjective-fr "anormal"-adjective-oc
"anormal"-adjective-oc "anormal"-adjective-fr
"latéral"-adjective-fr "laterau"-adjective-oc
"latéral"-adjective-fr "lateral"-adjective-oc
"laterau"-adjective-oc "latéral"-adjective-fr
"lateral"-adjective-oc "latéral"-adjective-fr
"marginau"-adjective-oc "marginal"-adjective-fr
"marginal"-adjective-fr "marginau"-adjective-oc
"marginal"-adjective-fr "marginal"-adjective-oc
"marginal"-adjective-oc "marginal"-adjective-fr
"espirituau"-adjective-oc "spirituel"-adjective-fr
"spirituel"-adjective-fr "espirituau"-adjective-oc
"spirituel"-adjective-fr "espiritual"-adjective-oc
"spirituel"-adjective-fr "esperitau"-adjective-oc
"spirituel"-adjective-fr "esperital"-adjective-oc
"espiritual"-adjective-oc "spirituel"-adjective-fr
"esperitau"-adjective-oc "spirituel"-adjective-fr
"esperital"-adjective-oc "spirituel"-adjective-fr
"parciau"-adjective-oc "partiel"-adjective-fr
"partiel"-adjective-fr "parciau"-adjective-oc
"partiel"-adjective-fr "parcial"-adjective-oc
"parcial"-adjective-oc "partiel"-adjective-fr
"excepcionau"-adjective-oc "exceptionnel"-adjective-fr
"exceptionnel"-adjective-fr "excepcionau"-adjective-oc
"exceptionnel"-adjective-fr "excepcional"-adjective-oc
"excepcional"-adjective-oc "exceptionnel"-adjective-fr
"electorau"-adjective-oc "électoral"-adjective-fr
"électoral"-adjective-fr "electorau"-adjective-oc
"électoral"-adjective-fr "electoral"-adjective-oc
"electoral"-adjective-oc "électoral"-adjective-fr
"retraire"-verb-fr "retrèir"-verb-oc
"retraire"-verb-fr "retraire"-verb-oc
"retrèir"-verb-oc "retraire"-verb-fr
"retraire"-verb-oc "retraire"-verb-fr
"prim"-adjective-oc "mince"-adjective-fr
"mince"-adjective-fr "prim"-adjective-oc
"banal"-adjective-oc "banal"-adjective-fr
"banal"-adjective-fr "banal"-adjective-oc
"éventuel"-adjective-fr "eventuau"-adjective-oc
"éventuel"-adjective-fr "eventual"-adjective-oc
"eventuau"-adjective-oc "éventuel"-adjective-fr
"eventual"-adjective-oc "éventuel"-adjective-fr
"final"-adjective-fr "finau"-adjective-oc
"final"-adjective-fr "final"-adjective-oc
"finau"-adjective-oc "final"-adjective-fr
"final"-adjective-oc "final"-adjective-fr
"terminal"-adjective-fr "terminau"-adjective-oc
"terminal"-adjective-fr "terminal"-adjective-oc
"terminau"-adjective-oc "terminal"-adjective-fr
"terminal"-adjective-oc "terminal"-adjective-fr
"fatal"-adjective-oc "fatal"-adjective-fr
"fatal"-adjective-fr "fatal"-adjective-oc
"amable"-adjective-oc "aimable"-adjective-fr
"aimable"-adjective-fr "amable"-adjective-oc
"sajar de"-verb-oc "essayer de"-verb-fr
"essayer de"-verb-fr "sajar de"-verb-oc
"essayer de"-verb-fr "ensajar de"-verb-oc
"ensajar de"-verb-oc "essayer de"-verb-fr
"afectuos"-adjective-oc "aimant"-adjective-fr
"afectuos"-adjective-oc "caressant"-adjective-fr
"aimant"-adjective-fr "afectuos"-adjective-oc
"caressant"-adjective-fr "afectuos"-adjective-oc
"essentiel"-adjective-fr "essenciau"-adjective-oc
"essentiel"-adjective-fr "essencial"-adjective-oc
"essenciau"-adjective-oc "essentiel"-adjective-fr
"essencial"-adjective-oc "essentiel"-adjective-fr
"addicionau"-adjective-oc "additionnel"-adjective-fr
"additionnel"-adjective-fr "addicionau"-adjective-oc
"additionnel"-adjective-fr "addicional"-adjective-oc
"addicional"-adjective-oc "additionnel"-adjective-fr
"sensuel"-adjective-fr "sensuau"-adjective-oc
"sensuel"-adjective-fr "sensual"-adjective-oc
"sensuau"-adjective-oc "sensuel"-adjective-fr
"sensuau"-adjective-oc "lascif"-adjective-fr
"sensual"-adjective-oc "sensuel"-adjective-fr
"sensual"-adjective-oc "lascif"-adjective-fr
"lascif"-adjective-fr "sensuau"-adjective-oc
"lascif"-adjective-fr "sensual"-adjective-oc
"relheuar"-verb-oc "prendre la relève de"-verb-fr
"prendre la relève de"-verb-fr "relheuar"-verb-oc
"originau"-adjective-oc "original"-adjective-fr
"original"-adjective-fr "originau"-adjective-oc
"original"-adjective-fr "original"-adjective-oc
"original"-adjective-oc "original"-adjective-fr
"radicau"-adjective-oc "radical"-adjective-fr
"radical"-adjective-fr "radicau"-adjective-oc
"radical"-adjective-fr "radical"-adjective-oc
"radical"-adjective-oc "radical"-adjective-fr
"indobtable"-adjective-oc "indubitable"-adjective-fr
"indubitable"-adjective-fr "indobtable"-adjective-oc
"superficiau"-adjective-oc "superficiel"-adjective-fr
"superficiel"-adjective-fr "superficiau"-adjective-oc
"superficiel"-adjective-fr "superficial"-adjective-oc
"superficial"-adjective-oc "superficiel"-adjective-fr
"herotge"-adjective-oc "féroce"-adjective-fr
"féroce"-adjective-fr "herotge"-adjective-oc
"fier"-adjective-fr "capinaut"-adjective-oc
"capinaut"-adjective-oc "fier"-adjective-fr
"spécial"-adjective-fr "especiau"-adjective-oc
"spécial"-adjective-fr "especial"-adjective-oc
"especiau"-adjective-oc "spécial"-adjective-fr
"especial"-adjective-oc "spécial"-adjective-fr
"primordiau"-adjective-oc "primordial"-adjective-fr
"primordial"-adjective-fr "primordiau"-adjective-oc
"primordial"-adjective-fr "primordial"-adjective-oc
"primordial"-adjective-oc "primordial"-adjective-fr
"principau"-adjective-oc "principal"-adjective-fr
"principau"-adjective-oc "capital"-adjective-fr
"principal"-adjective-fr "principau"-adjective-oc
"principal"-adjective-fr "principal"-adjective-oc
"capital"-adjective-fr "principau"-adjective-oc
"capital"-adjective-fr "principal"-adjective-oc
"principal"-adjective-oc "principal"-adjective-fr
"principal"-adjective-oc "capital"-adjective-fr
"légal"-adjective-fr "legau"-adjective-oc
"légal"-adjective-fr "legal"-adjective-oc
"legau"-adjective-oc "légal"-adjective-fr
"legal"-adjective-oc "légal"-adjective-fr
"racionau"-adjective-oc "rationnel"-adjective-fr
"rationnel"-adjective-fr "racionau"-adjective-oc
"rationnel"-adjective-fr "racional"-adjective-oc
"racional"-adjective-oc "rationnel"-adjective-fr
"generau"-adjective-oc "général"-adjective-fr
"général"-adjective-fr "generau"-adjective-oc
"général"-adjective-fr "general"-adjective-oc
"general"-adjective-oc "général"-adjective-fr
"normal"-adjective-fr "normau"-adjective-oc
"normal"-adjective-fr "normal"-adjective-oc
"normau"-adjective-oc "normal"-adjective-fr
"normal"-adjective-oc "normal"-adjective-fr
"leial"-adjective-oc "loyal"-adjective-fr
"loyal"-adjective-fr "leial"-adjective-oc
"loyal"-adjective-fr "leiau"-adjective-oc
"leiau"-adjective-oc "loyal"-adjective-fr
"pièger"-adjective-oc "pire"-adjective-fr
"pièger"-adjective-oc "pis"-adjective-fr
"pire"-adjective-fr "pièger"-adjective-oc
"pire"-adjective-fr "petjor"-adjective-oc
"pire"-adjective-fr "pejor"-adjective-oc
"pis"-adjective-fr "pièger"-adjective-oc
"pis"-adjective-fr "petjor"-adjective-oc
"pis"-adjective-fr "pejor"-adjective-oc
"petjor"-adjective-oc "pire"-adjective-fr
"petjor"-adjective-oc "pis"-adjective-fr
"pejor"-adjective-oc "pire"-adjective-fr
"pejor"-adjective-oc "pis"-adjective-fr
"incresible"-adjective-oc "incroyable"-adjective-fr
"incroyable"-adjective-fr "incresible"-adjective-oc
"familial"-adjective-oc "familial"-adjective-fr
"familial"-adjective-fr "familial"-adjective-oc
"familial"-adjective-fr "familhau"-adjective-oc
"familhau"-adjective-oc "familial"-adjective-fr
"naturel"-adjective-fr "naturau"-adjective-oc
"naturel"-adjective-fr "natural"-adjective-oc
"naturau"-adjective-oc "naturel"-adjective-fr
"natural"-adjective-oc "naturel"-adjective-fr
"brutal"-adjective-fr "brutau"-adjective-oc
"brutal"-adjective-fr "brutal"-adjective-oc
"brutau"-adjective-oc "brutal"-adjective-fr
"brutal"-adjective-oc "brutal"-adjective-fr
"enganhós"-adjective-oc "trompeur"-adjective-fr
"trompeur"-adjective-fr "enganhós"-adjective-oc
"illegau"-adjective-oc "illégal"-adjective-fr
"illégal"-adjective-fr "illegau"-adjective-oc
"illégal"-adjective-fr "illegal"-adjective-oc
"illegal"-adjective-oc "illégal"-adjective-fr
"desleiau"-adjective-oc "déloyal"-adjective-fr
"déloyal"-adjective-fr "desleiau"-adjective-oc
"déloyal"-adjective-fr "desleial"-adjective-oc
"déloyal"-adjective-fr "desleau"-adjective-oc
"déloyal"-adjective-fr "desleal"-adjective-oc
"desleial"-adjective-oc "déloyal"-adjective-fr
"desleau"-adjective-oc "déloyal"-adjective-fr
"desleal"-adjective-oc "déloyal"-adjective-fr
"réel"-adjective-fr "reau"-adjective-oc
"réel"-adjective-fr "real"-adjective-oc
"reau"-adjective-oc "réel"-adjective-fr
"real"-adjective-oc "réel"-adjective-fr
"auçar"-verb-oc "hausser"-verb-fr
"hausser"-verb-fr "auçar"-verb-oc
"global"-adjective-fr "globau"-adjective-oc
"global"-adjective-fr "global"-adjective-oc
"globau"-adjective-oc "global"-adjective-fr
"global"-adjective-oc "global"-adjective-fr
"mondial"-adjective-fr "mondiau"-adjective-oc
"mondial"-adjective-fr "mondial"-adjective-oc
"mondiau"-adjective-oc "mondial"-adjective-fr
"mondial"-adjective-oc "mondial"-adjective-fr
"totau"-adjective-oc "total"-adjective-fr
"total"-adjective-fr "totau"-adjective-oc
"total"-adjective-fr "total"-adjective-oc
"total"-adjective-oc "total"-adjective-fr
"ponctuel"-adjective-fr "puntuau"-adjective-oc
"ponctuel"-adjective-fr "puntual"-adjective-oc
"puntuau"-adjective-oc "ponctuel"-adjective-fr
"puntual"-adjective-oc "ponctuel"-adjective-fr
"barlòca"-adjective-oc "bavard"-adjective-fr
"bavard"-adjective-fr "barlòca"-adjective-oc
"actuau"-adjective-oc "actuel"-adjective-fr
"actuel"-adjective-fr "actuau"-adjective-oc
"actuel"-adjective-fr "actual"-adjective-oc
"actual"-adjective-oc "actuel"-adjective-fr
"foncionau"-adjective-oc "fonctionnel"-adjective-fr
"fonctionnel"-adjective-fr "foncionau"-adjective-oc
"fonctionnel"-adjective-fr "foncional"-adjective-oc
"foncional"-adjective-oc "fonctionnel"-adjective-fr
"faisable"-adjective-fr "factible"-adjective-oc
"factible"-adjective-oc "faisable"-adjective-fr
"geniau"-adjective-oc "génial"-adjective-fr
"génial"-adjective-fr "geniau"-adjective-oc
"génial"-adjective-fr "genial"-adjective-oc
"genial"-adjective-oc "génial"-adjective-fr
"mortel"-adjective-fr "mortau"-adjective-oc
"mortel"-adjective-fr "mortal"-adjective-oc
"mortau"-adjective-oc "mortel"-adjective-fr
"mortal"-adjective-oc "mortel"-adjective-fr
"mener à bien"-verb-fr "menar a tèrme"-verb-oc
"mener à bien"-verb-fr "amiar a tèrme"-verb-oc
"menar a tèrme"-verb-oc "mener à bien"-verb-fr
"amiar a tèrme"-verb-oc "mener à bien"-verb-fr
"ombriu"-adjective-oc "sombre"-adjective-fr
"sombre"-adjective-fr "ombriu"-adjective-oc
"inconvenient"-adjective-oc "inconvenant"-adjective-fr
"inconvenant"-adjective-fr "inconvenient"-adjective-oc
"vitau"-adjective-oc "vital"-adjective-fr
"vital"-adjective-fr "vitau"-adjective-oc
"vital"-adjective-fr "vital"-adjective-oc
"vital"-adjective-oc "vital"-adjective-fr
"mil"-numeral-oc "mil"-numeral-fr
"mil"-numeral-fr "mil"-numeral-oc
"vellot"-noun-oc "velours"-noun-fr
"velours"-noun-fr "vellot"-noun-oc
"imprimeire"-noun-oc "imprimeur"-noun-fr
"imprimeur"-noun-fr "imprimeire"-noun-oc
"imprimeur"-noun-fr "estampaire"-noun-oc
"estampaire"-noun-oc "imprimeur"-noun-fr
"gelèra"-noun-oc "réfrigérateur"-noun-fr
"réfrigérateur"-noun-fr "gelèra"-noun-oc
"ambientau"-adjective-oc "environnemental"-adjective-fr
"environnemental"-adjective-fr "ambientau"-adjective-oc
"environnemental"-adjective-fr "ambiental"-adjective-oc
"environnemental"-adjective-fr "mieiambientau"-adjective-oc
"environnemental"-adjective-fr "mieiambiental"-adjective-oc
"ambiental"-adjective-oc "environnemental"-adjective-fr
"mieiambientau"-adjective-oc "environnemental"-adjective-fr
