"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"à dessein de"-preposition-fr "amb l'intencion de"-preposition-oc
"de mon costat de"-preposition-oc "pour ma part"-preposition-fr
"pour ma part"-preposition-fr "de mon costat de"-preposition-oc
"en memòria de"-preposition-oc "à la mémoire de"-preposition-fr
"à la mémoire de"-preposition-fr "en memòria de"-preposition-oc
"en sortir de"-preposition-oc "au sortir de"-preposition-fr
"au sortir de"-preposition-fr "en sortir de"-preposition-oc
"au sortir de"-preposition-fr "al sortent de"-preposition-oc
"al sortent de"-preposition-oc "au sortir de"-preposition-fr
"en forma de"-preposition-oc "en forme de"-preposition-fr
"en forme de"-preposition-fr "en forma de"-preposition-oc
"en forme de"-preposition-fr "en fòrma de"-preposition-oc
"en fòrma de"-preposition-oc "en forme de"-preposition-fr
"en qualitat de"-preposition-oc "en qualité de"-preposition-fr
"en qualité de"-preposition-fr "en qualitat de"-preposition-oc
"entretant de"-preposition-oc "en attendant de"-preposition-fr
"en attendant de"-preposition-fr "entretant de"-preposition-oc
"tenent"-preposition-oc "attenant"-preposition-fr
"attenant"-preposition-fr "tenent"-preposition-oc
"per provar"-preposition-oc "à l'appui de"-preposition-fr
"à l'appui de"-preposition-fr "per provar"-preposition-oc
"à l'appui de"-preposition-fr "a pròva de"-preposition-oc
"a pròva de"-preposition-oc "à l'appui de"-preposition-fr
"segon los dires de"-preposition-oc "aux dires de"-preposition-fr
"aux dires de"-preposition-fr "segon los dires de"-preposition-oc
"catòrze"-numeral-oc "quatòrze"-numeral-fr
"quatòrze"-numeral-fr "catòrze"-numeral-oc
"21n"-adjective-oc "21ème"-adjective-fr
"21ème"-adjective-fr "21n"-adjective-oc
"22n"-adjective-oc "22ème"-adjective-fr
"22ème"-adjective-fr "22n"-adjective-oc
"23n"-adjective-oc "23ème"-adjective-fr
"23ème"-adjective-fr "23n"-adjective-oc
"24n"-adjective-oc "24ème"-adjective-fr
"24ème"-adjective-fr "24n"-adjective-oc
"25n"-adjective-oc "25ème"-adjective-fr
"25ème"-adjective-fr "25n"-adjective-oc
"26n"-adjective-oc "26ème"-adjective-fr
"26ème"-adjective-fr "26n"-adjective-oc
"27n"-adjective-oc "27ème"-adjective-fr
"27ème"-adjective-fr "27n"-adjective-oc
"28n"-adjective-oc "28ème"-adjective-fr
"28ème"-adjective-fr "28n"-adjective-oc
"29n"-adjective-oc "29ème"-adjective-fr
"29ème"-adjective-fr "29n"-adjective-oc
"30n"-adjective-oc "30ème"-adjective-fr
"30ème"-adjective-fr "30n"-adjective-oc
"31n"-adjective-oc "31ème"-adjective-fr
"31ème"-adjective-fr "31n"-adjective-oc
"32n"-adjective-oc "32ème"-adjective-fr
"32ème"-adjective-fr "32n"-adjective-oc
"33n"-adjective-oc "33ème"-adjective-fr
"33ème"-adjective-fr "33n"-adjective-oc
"34n"-adjective-oc "34ème"-adjective-fr
"34ème"-adjective-fr "34n"-adjective-oc
"35n"-adjective-oc "35ème"-adjective-fr
"35ème"-adjective-fr "35n"-adjective-oc
"36n"-adjective-oc "36ème"-adjective-fr
"36ème"-adjective-fr "36n"-adjective-oc
"37n"-adjective-oc "37ème"-adjective-fr
"37ème"-adjective-fr "37n"-adjective-oc
"38n"-adjective-oc "38ème"-adjective-fr
"38ème"-adjective-fr "38n"-adjective-oc
"39n"-adjective-oc "39ème"-adjective-fr
"39ème"-adjective-fr "39n"-adjective-oc
"40n"-adjective-oc "40ème"-adjective-fr
"40ème"-adjective-fr "40n"-adjective-oc
"41n"-adjective-oc "41ème"-adjective-fr
"41ème"-adjective-fr "41n"-adjective-oc
"42n"-adjective-oc "42ème"-adjective-fr
"42ème"-adjective-fr "42n"-adjective-oc
"43n"-adjective-oc "43ème"-adjective-fr
"43ème"-adjective-fr "43n"-adjective-oc
"44n"-adjective-oc "44ème"-adjective-fr
"44ème"-adjective-fr "44n"-adjective-oc
"45n"-adjective-oc "45ème"-adjective-fr
"45ème"-adjective-fr "45n"-adjective-oc
"46n"-adjective-oc "46ème"-adjective-fr
"46ème"-adjective-fr "46n"-adjective-oc
"47n"-adjective-oc "47ème"-adjective-fr
"47ème"-adjective-fr "47n"-adjective-oc
"48n"-adjective-oc "48ème"-adjective-fr
"48ème"-adjective-fr "48n"-adjective-oc
"49n"-adjective-oc "49ème"-adjective-fr
"49ème"-adjective-fr "49n"-adjective-oc
"50n"-adjective-oc "50ème"-adjective-fr
"50ème"-adjective-fr "50n"-adjective-oc
"51n"-adjective-oc "51ème"-adjective-fr
"51ème"-adjective-fr "51n"-adjective-oc
"52n"-adjective-oc "52ème"-adjective-fr
"52ème"-adjective-fr "52n"-adjective-oc
"53n"-adjective-oc "53ème"-adjective-fr
"53ème"-adjective-fr "53n"-adjective-oc
"54n"-adjective-oc "54ème"-adjective-fr
"54ème"-adjective-fr "54n"-adjective-oc
"55n"-adjective-oc "55ème"-adjective-fr
"55ème"-adjective-fr "55n"-adjective-oc
"56n"-adjective-oc "56ème"-adjective-fr
"56ème"-adjective-fr "56n"-adjective-oc
"57n"-adjective-oc "57ème"-adjective-fr
"57ème"-adjective-fr "57n"-adjective-oc
"58n"-adjective-oc "58ème"-adjective-fr
"58ème"-adjective-fr "58n"-adjective-oc
"59n"-adjective-oc "59ème"-adjective-fr
"59ème"-adjective-fr "59n"-adjective-oc
"60n"-adjective-oc "60ème"-adjective-fr
"60ème"-adjective-fr "60n"-adjective-oc
"61n"-adjective-oc "61ème"-adjective-fr
"61ème"-adjective-fr "61n"-adjective-oc
"62n"-adjective-oc "62ème"-adjective-fr
"62ème"-adjective-fr "62n"-adjective-oc
"63n"-adjective-oc "63ème"-adjective-fr
"63ème"-adjective-fr "63n"-adjective-oc
"64n"-adjective-oc "64ème"-adjective-fr
"64ème"-adjective-fr "64n"-adjective-oc
"65n"-adjective-oc "65ème"-adjective-fr
"65ème"-adjective-fr "65n"-adjective-oc
"66n"-adjective-oc "66ème"-adjective-fr
"66ème"-adjective-fr "66n"-adjective-oc
"67n"-adjective-oc "67ème"-adjective-fr
"67ème"-adjective-fr "67n"-adjective-oc
"68n"-adjective-oc "68ème"-adjective-fr
"68ème"-adjective-fr "68n"-adjective-oc
"69n"-adjective-oc "69ème"-adjective-fr
"69ème"-adjective-fr "69n"-adjective-oc
"70n"-adjective-oc "70ème"-adjective-fr
"70ème"-adjective-fr "70n"-adjective-oc
"71n"-adjective-oc "71ème"-adjective-fr
"71ème"-adjective-fr "71n"-adjective-oc
"72n"-adjective-oc "72ème"-adjective-fr
"72ème"-adjective-fr "72n"-adjective-oc
"73n"-adjective-oc "73ème"-adjective-fr
"73ème"-adjective-fr "73n"-adjective-oc
"74n"-adjective-oc "74ème"-adjective-fr
"74ème"-adjective-fr "74n"-adjective-oc
"75n"-adjective-oc "75ème"-adjective-fr
"75ème"-adjective-fr "75n"-adjective-oc
"76n"-adjective-oc "76ème"-adjective-fr
"76ème"-adjective-fr "76n"-adjective-oc
"77n"-adjective-oc "77ème"-adjective-fr
"77ème"-adjective-fr "77n"-adjective-oc
"78n"-adjective-oc "78ème"-adjective-fr
"78ème"-adjective-fr "78n"-adjective-oc
"79n"-adjective-oc "79ème"-adjective-fr
"79ème"-adjective-fr "79n"-adjective-oc
"80n"-adjective-oc "80ème"-adjective-fr
"80ème"-adjective-fr "80n"-adjective-oc
"81n"-adjective-oc "81ème"-adjective-fr
"81ème"-adjective-fr "81n"-adjective-oc
"82n"-adjective-oc "82ème"-adjective-fr
"82ème"-adjective-fr "82n"-adjective-oc
"83n"-adjective-oc "83ème"-adjective-fr
"83ème"-adjective-fr "83n"-adjective-oc
"84n"-adjective-oc "84ème"-adjective-fr
"84ème"-adjective-fr "84n"-adjective-oc
"85n"-adjective-oc "85ème"-adjective-fr
"85ème"-adjective-fr "85n"-adjective-oc
"86n"-adjective-oc "86ème"-adjective-fr
"86ème"-adjective-fr "86n"-adjective-oc
"87n"-adjective-oc "87ème"-adjective-fr
"87ème"-adjective-fr "87n"-adjective-oc
"88n"-adjective-oc "88ème"-adjective-fr
"88ème"-adjective-fr "88n"-adjective-oc
"89n"-adjective-oc "89ème"-adjective-fr
"89ème"-adjective-fr "89n"-adjective-oc
"90n"-adjective-oc "90ème"-adjective-fr
"90ème"-adjective-fr "90n"-adjective-oc
"91n"-adjective-oc "91ème"-adjective-fr
"91ème"-adjective-fr "91n"-adjective-oc
"92n"-adjective-oc "92ème"-adjective-fr
"92ème"-adjective-fr "92n"-adjective-oc
"93n"-adjective-oc "93ème"-adjective-fr
"93ème"-adjective-fr "93n"-adjective-oc
"94n"-adjective-oc "94ème"-adjective-fr
"94ème"-adjective-fr "94n"-adjective-oc
"95n"-adjective-oc "95ème"-adjective-fr
"95ème"-adjective-fr "95n"-adjective-oc
"96n"-adjective-oc "96ème"-adjective-fr
"96ème"-adjective-fr "96n"-adjective-oc
"97n"-adjective-oc "97ème"-adjective-fr
"97ème"-adjective-fr "97n"-adjective-oc
"98n"-adjective-oc "98ème"-adjective-fr
"98ème"-adjective-fr "98n"-adjective-oc
"99n"-adjective-oc "99ème"-adjective-fr
"99ème"-adjective-fr "99n"-adjective-oc
"100n"-adjective-oc "100ème"-adjective-fr
"100ème"-adjective-fr "100n"-adjective-oc
"Anatòli"-properNoun-oc "Anatòli"-properNoun-fr
"Anatòli"-properNoun-fr "Anatòli"-properNoun-oc
"Billy"-properNoun-oc "Billy"-properNoun-fr
"Billy"-properNoun-fr "Billy"-properNoun-oc
"Domergue"-properNoun-oc "Domergue"-properNoun-fr
"Domergue"-properNoun-fr "Domergue"-properNoun-oc
"Ernèst"-properNoun-oc "Ernèst"-properNoun-fr
"Ernèst"-properNoun-fr "Ernèst"-properNoun-oc
"Ernestina"-properNoun-oc "Ernestina"-properNoun-fr
"Ernestina"-properNoun-fr "Ernestina"-properNoun-oc
"Ernestine"-properNoun-oc "Ernestine"-properNoun-fr
"Ernestine"-properNoun-fr "Ernestine"-properNoun-oc
"Estève"-properNoun-oc "Estève"-properNoun-fr
"Estève"-properNoun-fr "Estève"-properNoun-oc
"Pepito"-properNoun-oc "Pepito"-properNoun-fr
"Pepito"-properNoun-fr "Pepito"-properNoun-oc
"Robèrt"-properNoun-oc "Robèrt"-properNoun-fr
"Robèrt"-properNoun-fr "Robèrt"-properNoun-oc
"Godolin"-properNoun-oc "Goudelin"-properNoun-fr
"Godolin"-properNoun-oc "Goudelin"-noun-fr
"Goudelin"-properNoun-fr "Godolin"-properNoun-oc
"Goudelin"-properNoun-fr "Godolin"-noun-oc
"Goudelin"-noun-fr "Godolin"-properNoun-oc
"Goudelin"-noun-fr "Godolin"-noun-oc
"Godolin"-noun-oc "Goudelin"-properNoun-fr
"Godolin"-noun-oc "Goudelin"-noun-fr
"Usès"-properNoun-oc "Uzès"-properNoun-fr
"Uzès"-properNoun-fr "Usès"-properNoun-oc
"Jornalet"-properNoun-oc "Jornalet"-properNoun-fr
"Jornalet"-properNoun-fr "Jornalet"-properNoun-oc
"La Setmana"-properNoun-oc "La Setmana"-properNoun-fr
"La Setmana"-properNoun-fr "La Setmana"-properNoun-oc
"Nationalia"-properNoun-oc "Nationalia"-properNoun-fr
"Nationalia"-properNoun-fr "Nationalia"-properNoun-oc
"Sapiéncia"-properNoun-oc "Sapiéncia"-properNoun-fr
"Sapiéncia"-properNoun-fr "Sapiéncia"-properNoun-oc
"CIRDC"-properNoun-oc "CIRDOC"-properNoun-fr
"CIRDOC"-properNoun-fr "CIRDC"-properNoun-oc
"adagi"-noun-oc "adage"-noun-fr
"adage"-noun-fr "adagi"-noun-oc
"aquitament"-noun-oc "aquittement"-noun-fr
"aquitament"-noun-oc "acquittement"-noun-fr
"aquittement"-noun-fr "aquitament"-noun-oc
"acquittement"-noun-fr "aquitament"-noun-oc
"avenent"-noun-oc "avenant"-noun-fr
"avenant"-noun-fr "avenent"-noun-oc
"balenat"-noun-oc "baleineau"-noun-fr
"baleineau"-noun-fr "balenat"-noun-oc
"beure"-noun-oc "boire"-noun-fr
"boire"-noun-fr "beure"-noun-oc
"bonser"-noun-oc "bonsoir"-noun-fr
"bonsoir"-noun-fr "bonser"-noun-oc
"futaie"-noun-fr "fustada"-noun-oc
"fustada"-noun-oc "futaie"-noun-fr
"caçolet"-noun-oc "cassoulet"-noun-fr
"cassoulet"-noun-fr "caçolet"-noun-oc
"canhòt"-noun-oc "petit chien"-noun-fr
"canhòt"-noun-oc "chenet"-noun-fr
"petit chien"-noun-fr "canhòt"-noun-oc
"chenet"-noun-fr "canhòt"-noun-oc
"chenet"-noun-fr "capfoguièr"-noun-oc
"capfoguièr"-noun-oc "chenet"-noun-fr
"carreton"-noun-oc "landau"-noun-fr
"landau"-noun-fr "carreton"-noun-oc
"landau"-noun-fr "veitureta"-noun-oc
"veitureta"-noun-oc "landau"-noun-fr
"centuple"-noun-oc "centuple"-noun-fr
"centuple"-noun-fr "centuple"-noun-oc
"suc"-noun-oc "tertre"-noun-fr
"tertre"-noun-fr "suc"-noun-oc
"tertre"-noun-fr "suquet"-noun-oc
"suquet"-noun-oc "tertre"-noun-fr
"concubinatge"-noun-oc "concubinage"-noun-fr
"concubinage"-noun-fr "concubinatge"-noun-oc
"decuple"-noun-oc "décuple"-noun-fr
"décuple"-noun-fr "decuple"-noun-oc
"doblament"-noun-oc "doublement"-noun-fr
"doublement"-noun-fr "doblament"-noun-oc
"étain"-noun-fr "estam"-noun-oc
"estam"-noun-oc "étain"-noun-fr
"fotre"-noun-oc "foutre"-noun-fr
"foutre"-noun-fr "fotre"-noun-oc
"galinièr"-noun-oc "volailler"-noun-fr
"volailler"-noun-fr "galinièr"-noun-oc
"gaton"-noun-oc "minou"-noun-fr
"minou"-noun-fr "gaton"-noun-oc
"minou"-noun-fr "gatet"-noun-oc
"gatet"-noun-oc "minou"-noun-fr
"gibon"-noun-oc "gibbon"-noun-fr
"gibbon"-noun-fr "gibon"-noun-oc
"idronim"-noun-oc "hydronyme"-noun-fr
"hydronyme"-noun-fr "idronim"-noun-oc
"hydronyme"-noun-fr "idronime"-noun-oc
"idronime"-noun-oc "hydronyme"-noun-fr
"lampion"-noun-oc "lampion"-noun-fr
"lampion"-noun-fr "lampion"-noun-oc
"lampion"-noun-fr "lumenon"-noun-oc
"lumenon"-noun-oc "lampion"-noun-fr
"paredon"-noun-oc "muret"-noun-fr
"muret"-noun-fr "paredon"-noun-oc
"oèd"-noun-oc "oued"-noun-fr
"oued"-noun-fr "oèd"-noun-oc
"pompilh"-noun-oc "mollet"-noun-fr
"mollet"-noun-fr "pompilh"-noun-oc
"mollet"-noun-fr "botelh"-noun-oc
"botelh"-noun-oc "mollet"-noun-fr
"protoplasma"-noun-oc "protoplasma"-noun-fr
"protoplasma"-noun-oc "protoplasme"-noun-fr
"protoplasma"-noun-fr "protoplasma"-noun-oc
"protoplasme"-noun-fr "protoplasma"-noun-oc
"pugilat"-noun-oc "pugilat"-noun-fr
"pugilat"-noun-fr "pugilat"-noun-oc
"recomptatge"-noun-oc "recomptage"-noun-fr
"recomptage"-noun-fr "recomptatge"-noun-oc
"sanscrit"-noun-oc "sanskrit"-noun-fr
"sanskrit"-noun-fr "sanscrit"-noun-oc
"silenciós"-noun-oc "silencieux"-noun-fr
"silencieux"-noun-fr "silenciós"-noun-oc
"tap"-noun-oc "tuf"-noun-fr
"tuf"-noun-fr "tap"-noun-oc
"tuf"-noun-fr "marrana"-noun-oc
"tuf"-noun-fr "tuve"-noun-oc
"marrana"-noun-oc "tuf"-noun-fr
"tuve"-noun-oc "tuf"-noun-fr
"nu"-noun-fr "nus"-noun-oc
"nus"-noun-oc "nu"-noun-fr
"audiofòn"-noun-oc "audiophone"-noun-fr
"audiophone"-noun-fr "audiofòn"-noun-oc
"fotofòn"-noun-oc "photophone"-noun-fr
"photophone"-noun-fr "fotofòn"-noun-oc
"gramofòn"-noun-oc "grammophone"-noun-fr
"grammophone"-noun-fr "gramofòn"-noun-oc
"interfòn"-noun-oc "interphone"-noun-fr
"interphone"-noun-fr "interfòn"-noun-oc
"omofòn"-noun-oc "homophone"-noun-fr
"homophone"-noun-fr "omofòn"-noun-oc
"metallofòn"-noun-oc "métallophone"-noun-fr
"métallophone"-noun-fr "metallofòn"-noun-oc
"sarrussofòn"-noun-oc "sarrussophone"-noun-fr
"sarrussophone"-noun-fr "sarrussofòn"-noun-oc
"termofòn"-noun-oc "thermophone"-noun-fr
"thermophone"-noun-fr "termofòn"-noun-oc
"ensaladièr"-noun-oc "saladier"-noun-fr
"saladier"-noun-fr "ensaladièr"-noun-oc
"mandarinièr"-noun-oc "mandarinier"-noun-fr
"mandarinier"-noun-fr "mandarinièr"-noun-oc
"vinagrièr"-noun-oc "vinaigrier"-noun-fr
"vinaigrier"-noun-fr "vinagrièr"-noun-oc
"abolicionisme"-noun-oc "abolitionisme"-noun-fr
"abolitionisme"-noun-fr "abolicionisme"-noun-oc
"betacisme"-noun-oc "bétalisme"-noun-fr
"bétalisme"-noun-fr "betacisme"-noun-oc
"binarisme"-noun-oc "binarisme"-noun-fr
"binarisme"-noun-fr "binarisme"-noun-oc
"classisme"-noun-oc "classisme"-noun-fr
"classisme"-noun-fr "classisme"-noun-oc
"estetisme"-noun-oc "esthétisme"-noun-fr
"esthétisme"-noun-fr "estetisme"-noun-oc
"francisme"-noun-oc "francisme"-noun-fr
"francisme"-noun-fr "francisme"-noun-oc
"geomagnetisme"-noun-oc "géomagnétisme"-noun-fr
"géomagnétisme"-noun-fr "geomagnetisme"-noun-oc
"ignorantisme"-noun-oc "ignorantisme"-noun-fr
"ignorantisme"-noun-fr "ignorantisme"-noun-oc
"maquiavelisme"-noun-oc "machiavélisme"-noun-fr
"machiavélisme"-noun-fr "maquiavelisme"-noun-oc
"antioccitanisme"-noun-oc "antioccitanisme"-noun-fr
"antioccitanisme"-noun-fr "antioccitanisme"-noun-oc
"ocultisme"-noun-oc "ocultisme"-noun-fr
"ocultisme"-noun-fr "ocultisme"-noun-oc
"raquitisme"-noun-oc "rachitisme"-noun-fr
"rachitisme"-noun-fr "raquitisme"-noun-oc
"reialisme"-noun-oc "royalisme"-noun-fr
"royalisme"-noun-fr "reialisme"-noun-oc
"sandinisme"-noun-oc "sandinisme"-noun-fr
"sandinisme"-noun-fr "sandinisme"-noun-oc
"secretisme"-noun-oc "sécrétisme"-noun-fr
"sécrétisme"-noun-fr "secretisme"-noun-oc
"sensacionalisme"-noun-oc "sensationnalisme"-noun-fr
"sensationnalisme"-noun-fr "sensacionalisme"-noun-oc
"sigmatisme"-noun-oc "sigmatisme"-noun-fr
"sigmatisme"-noun-fr "sigmatisme"-noun-oc
"socratisme"-noun-oc "socratisme"-noun-fr
"socratisme"-noun-fr "socratisme"-noun-oc
"sufragisme"-noun-oc "suffragisme"-noun-fr
"suffragisme"-noun-fr "sufragisme"-noun-oc
"tecnicisme"-noun-oc "technicisme"-noun-fr
"technicisme"-noun-fr "tecnicisme"-noun-oc
"tenebrisme"-noun-oc "ténébrisme"-noun-fr
"ténébrisme"-noun-fr "tenebrisme"-noun-oc
"teocratisme"-noun-oc "théocratisme"-noun-fr
"théocratisme"-noun-fr "teocratisme"-noun-oc
"tradicionalisme"-noun-oc "traditionalisme"-noun-fr
"traditionalisme"-noun-fr "tradicionalisme"-noun-oc
"trumpisme"-noun-oc "trumpisme"-noun-fr
"trumpisme"-noun-fr "trumpisme"-noun-oc
"anarcosindicalista"-noun-oc "anarcho-syndicaliste"-noun-fr
"anarcho-syndicaliste"-noun-fr "anarcosindicalista"-noun-oc
"anarcosindicalista"-adjective-oc "anarcho-syndicaliste"-adjective-fr
"anarcho-syndicaliste"-adjective-fr "anarcosindicalista"-adjective-oc
"etnobiologista"-noun-oc "ethnobiologiste"-noun-fr
"ethnobiologiste"-noun-fr "etnobiologista"-noun-oc
"fetichista"-noun-oc "fétichiste"-noun-fr
"fétichiste"-noun-fr "fetichista"-noun-oc
"morfologista"-noun-oc "morphologiste"-noun-fr
"morphologiste"-noun-fr "morfologista"-noun-oc
"antioccitanista"-noun-oc "antioccitaniste"-noun-fr
"antioccitaniste"-noun-fr "antioccitanista"-noun-oc
"protesista"-noun-oc "prothésiste"-noun-fr
"prothésiste"-noun-fr "protesista"-noun-oc
"epentèsi"-noun-oc "épenthèse"-noun-fr
"épenthèse"-noun-fr "epentèsi"-noun-oc
"colorizacion"-noun-oc "colorisation"-noun-fr
"colorisation"-noun-fr "colorizacion"-noun-oc
"desnasalizacion"-noun-oc "dénasalisation"-noun-fr
"dénasalisation"-noun-fr "desnasalizacion"-noun-oc
"mistificacion"-noun-oc "mistification"-noun-fr
"mistification"-noun-fr "mistificacion"-noun-oc
"immobilisme"-noun-oc "immobilisme"-noun-fr
"immobilisme"-noun-fr "immobilisme"-noun-oc
"indigestion"-noun-oc "indigestion"-noun-fr
"indigestion"-noun-fr "indigestion"-noun-oc
"interpretariat"-noun-oc "interprétariat"-noun-fr
"interprétariat"-noun-fr "interpretariat"-noun-oc
"sintonizacion"-noun-oc "syntonisation"-noun-fr
"syntonisation"-noun-fr "sintonizacion"-noun-oc
"dessalinizacion"-noun-oc "désalinisation"-noun-fr
"désalinisation"-noun-fr "dessalinizacion"-noun-oc
"nominalizacion"-noun-oc "nominalisation"-noun-fr
"nominalisation"-noun-fr "nominalizacion"-noun-oc
"pronominalizacion"-noun-oc "pronominalisation"-noun-fr
"pronominalisation"-noun-fr "pronominalizacion"-noun-oc
"salinizacion"-noun-oc "salinisation"-noun-fr
"salinisation"-noun-fr "salinizacion"-noun-oc
"universalizacion"-noun-oc "universalisation"-noun-fr
"universalisation"-noun-fr "universalizacion"-noun-oc
"velarizacion"-noun-oc "vélarisation"-noun-fr
"vélarisation"-noun-fr "velarizacion"-noun-oc
"vulcanizacion"-noun-oc "vulcanisation"-noun-fr
"vulcanisation"-noun-fr "vulcanizacion"-noun-oc
"africanitat"-noun-oc "africanité"-noun-fr
"africanité"-noun-fr "africanitat"-noun-oc
"barbaritat"-noun-oc "barbarité"-noun-fr
"barbarité"-noun-fr "barbaritat"-noun-oc
"constructivitat"-noun-oc "constructivité"-noun-fr
"constructivité"-noun-fr "constructivitat"-noun-oc
"domesticitat"-noun-oc "domesticité"-noun-fr
"domesticité"-noun-fr "domesticitat"-noun-oc
"imbecilitat"-noun-oc "imbécilité"-noun-fr
"imbécilité"-noun-fr "imbecilitat"-noun-oc
"liberalitat"-noun-oc "liberalité"-noun-fr
"liberalité"-noun-fr "liberalitat"-noun-oc
"maniabilitat"-noun-oc "maniabilité"-noun-fr
"maniabilité"-noun-fr "maniabilitat"-noun-oc
"miserabilitat"-noun-oc "misérabilité"-noun-fr
"misérabilité"-noun-fr "miserabilitat"-noun-oc
"occitanitat"-noun-oc "occitanité"-noun-fr
"occitanité"-noun-fr "occitanitat"-noun-oc
"cooficialitat"-noun-oc "co-officialité"-noun-fr
"co-officialité"-noun-fr "cooficialitat"-noun-oc
"permissibilitat"-noun-oc "permissibilité"-noun-fr
"permissibilité"-noun-fr "permissibilitat"-noun-oc
"ductilitat"-noun-oc "ducilité"-noun-fr
"ducilité"-noun-fr "ductilitat"-noun-oc
"criminalitat"-noun-oc "crimimalité"-noun-fr
"crimimalité"-noun-fr "criminalitat"-noun-oc
"esfericitat"-noun-oc "sphéricité"-noun-fr
"sphéricité"-noun-fr "esfericitat"-noun-oc
"motricitat"-noun-oc "motricité"-noun-fr
"motricité"-noun-fr "motricitat"-noun-oc
"palatalitat"-noun-oc "palatalité"-noun-fr
"palatalité"-noun-fr "palatalitat"-noun-oc
"sistematicitat"-noun-oc "systématicité"-noun-fr
