"quelque"-determiner-fr "qualque"-determiner-oc
"ci"-adverb-fr "aicí"-adverb-oc
"considérablement"-adverb-fr "considerablament"-adverb-oc
"considerablament"-adverb-oc "considérablement"-adverb-fr
"dejà"-adverb-oc "déjà"-adverb-fr
"déjà"-adverb-fr "dejà"-adverb-oc
"davantage"-adverb-fr "mes"-adverb-oc
"davantage"-adverb-fr "mei"-adverb-oc
"davantage"-adverb-fr "pus"-adverb-oc
"davantage"-adverb-fr "mai"-adverb-oc
"davantage"-adverb-fr "mas"-adverb-oc
"mes"-adverb-oc "davantage"-adverb-fr
"mes"-adverb-oc "plus"-adverb-fr
"mei"-adverb-oc "davantage"-adverb-fr
"mei"-adverb-oc "plus"-adverb-fr
"pus"-adverb-oc "davantage"-adverb-fr
"pus"-adverb-oc "plus"-adverb-fr
"mai"-adverb-oc "davantage"-adverb-fr
"mai"-adverb-oc "plus"-adverb-fr
"mas"-adverb-oc "davantage"-adverb-fr
"mas"-adverb-oc "plus"-adverb-fr
"plus"-adverb-fr "mes"-adverb-oc
"plus"-adverb-fr "mei"-adverb-oc
"plus"-adverb-fr "pus"-adverb-oc
"plus"-adverb-fr "mai"-adverb-oc
"plus"-adverb-fr "mas"-adverb-oc
"plus"-adverb-fr "plus"-adverb-oc
"plus"-adverb-oc "plus"-adverb-fr
"hors"-adverb-fr "fòra"-adverb-oc
"fòra"-adverb-oc "hors"-adverb-fr
"defòra"-adverb-oc "dehors"-adverb-fr
"dehors"-adverb-fr "defòra"-adverb-oc
"injustement"-adverb-fr "injustament"-adverb-oc
"injustament"-adverb-oc "injustement"-adverb-fr
"indéfiniment"-adverb-fr "indefinidament"-adverb-oc
"indefinidament"-adverb-oc "indéfiniment"-adverb-fr
"constamment"-adverb-fr "constantament"-adverb-oc
"constantament"-adverb-oc "constamment"-adverb-fr
"périodiquement"-adverb-fr "periodicament"-adverb-oc
"periodicament"-adverb-oc "périodiquement"-adverb-fr
"mentretant"-adverb-oc "entre-temps"-adverb-fr
"entre-temps"-adverb-fr "mentretant"-adverb-oc
"aujourd'hui"-adverb-fr "ué"-adverb-oc
"aujourd'hui"-adverb-fr "uèi"-adverb-oc
"aujourd'hui"-adverb-fr "uèi lo jorn"-adverb-oc
"ué"-adverb-oc "aujourd'hui"-adverb-fr
"uèi"-adverb-oc "aujourd'hui"-adverb-fr
"uèi lo jorn"-adverb-oc "aujourd'hui"-adverb-fr
"peth prumèr viatge"-adverb-oc "pour la première fois"-adverb-fr
"pour la première fois"-adverb-fr "peth prumèr viatge"-adverb-oc
"pour la première fois"-adverb-fr "pel primièr còp"-adverb-oc
"pel primièr còp"-adverb-oc "pour la première fois"-adverb-fr
"d'abord"-adverb-fr "prumèrament"-adverb-oc
"d'abord"-adverb-fr "primièrament"-adverb-oc
"prumèrament"-adverb-oc "d'abord"-adverb-fr
"prumèrament"-adverb-oc "tout d'abord"-adverb-fr
"primièrament"-adverb-oc "d'abord"-adverb-fr
"tout d'abord"-adverb-fr "prumèrament"-adverb-oc
"actuellement"-adverb-fr "a l'ora d'ara"-adverb-oc
"actuellement"-adverb-fr "actualament"-adverb-oc
"a l'ora d'ara"-adverb-oc "actuellement"-adverb-fr
"actualament"-adverb-oc "actuellement"-adverb-fr
"longtemps"-adverb-oc "longtemps"-adverb-fr
"longtemps"-adverb-fr "longtemps"-adverb-oc
"systématiquement"-adverb-fr "sistematicament"-adverb-oc
"sistematicament"-adverb-oc "systématiquement"-adverb-fr
"populairement"-adverb-fr "popularament"-adverb-oc
"popularament"-adverb-oc "populairement"-adverb-fr
"souvent"-adverb-fr "sovent"-adverb-oc
"sovent"-adverb-oc "souvent"-adverb-fr
"conjointement"-adverb-fr "conjuntament"-adverb-oc
"conjuntament"-adverb-oc "conjointement"-adverb-fr
"conjuntament"-adverb-oc "ensemble"-adverb-fr
"ensemble"-adverb-fr "conjuntament"-adverb-oc
"ensemble"-adverb-fr "amassa"-adverb-oc
"amassa"-adverb-oc "ensemble"-adverb-fr
"initialement"-adverb-fr "inicialament"-adverb-oc
"inicialament"-adverb-oc "initialement"-adverb-fr
"fidèlement"-adverb-fr "fisèlament"-adverb-oc
"fidèlement"-adverb-fr "fidèlament"-adverb-oc
"fisèlament"-adverb-oc "fidèlement"-adverb-fr
"fidèlament"-adverb-oc "fidèlement"-adverb-fr
"absolument"-adverb-fr "absoludament"-adverb-oc
"absoludament"-adverb-oc "absolument"-adverb-fr
"logiquement"-adverb-fr "logicament"-adverb-oc
"logicament"-adverb-oc "logiquement"-adverb-fr
"visiblement"-adverb-fr "visiblament"-adverb-oc
"visiblament"-adverb-oc "visiblement"-adverb-fr
"personnellement"-adverb-fr "personalament"-adverb-oc
"personalament"-adverb-oc "personnellement"-adverb-fr
"légalement"-adverb-fr "legalament"-adverb-oc
"legalament"-adverb-oc "légalement"-adverb-fr
"tanplan"-adverb-oc "aussi"-adverb-fr
"aussi"-adverb-fr "tanplan"-adverb-oc
"aussi"-adverb-fr "tanben"-adverb-oc
"aussi"-adverb-fr "a mai"-adverb-oc
"aussi"-adverb-fr "atanben"-adverb-oc
"tanben"-adverb-oc "aussi"-adverb-fr
"a mai"-adverb-oc "aussi"-adverb-fr
"atanben"-adverb-oc "aussi"-adverb-fr
"encara"-adverb-oc "encore"-adverb-fr
"encore"-adverb-fr "encara"-adverb-oc
"encore"-adverb-fr "enquera"-adverb-oc
"encore"-adverb-fr "enqüèra"-adverb-oc
"enquera"-adverb-oc "encore"-adverb-fr
"enqüèra"-adverb-oc "encore"-adverb-fr
"quitament"-adverb-oc "même"-adverb-fr
"quitament"-adverb-oc "voire"-adverb-fr
"quitament"-adverb-oc "voire même"-adverb-fr
"même"-adverb-fr "quitament"-adverb-oc
"même"-adverb-fr "autanplan"-adverb-oc
"voire"-adverb-fr "quitament"-adverb-oc
"voire"-adverb-fr "autanplan"-adverb-oc
"voire même"-adverb-fr "quitament"-adverb-oc
"voire même"-adverb-fr "autanplan"-adverb-oc
"autanplan"-adverb-oc "même"-adverb-fr
"autanplan"-adverb-oc "voire"-adverb-fr
"autanplan"-adverb-oc "voire même"-adverb-fr
"ainsi"-adverb-fr "atal"-adverb-oc
"ainsi"-adverb-fr "aital"-adverb-oc
"atal"-adverb-oc "ainsi"-adverb-fr
"aital"-adverb-oc "ainsi"-adverb-fr
"également"-adverb-fr "egalament"-adverb-oc
"egalament"-adverb-oc "également"-adverb-fr
"exactement"-adverb-fr "exactament"-adverb-oc
"exactament"-adverb-oc "exactement"-adverb-fr
"correctement"-adverb-fr "corrèctament"-adverb-oc
"corrèctament"-adverb-oc "correctement"-adverb-fr
"aisément"-adverb-fr "aisidament"-adverb-oc
"aisidament"-adverb-oc "aisément"-adverb-fr
"aisidament"-adverb-oc "facilement"-adverb-fr
"facilement"-adverb-fr "aisidament"-adverb-oc
"facilement"-adverb-fr "facilament"-adverb-oc
"facilament"-adverb-oc "facilement"-adverb-fr
"volontairement"-adverb-fr "volontàriament"-adverb-oc
"volontàriament"-adverb-oc "volontairement"-adverb-fr
"sincèrement"-adverb-fr "sincèrament"-adverb-oc
"sincèrament"-adverb-oc "sincèrement"-adverb-fr
"francament"-adverb-oc "franchement"-adverb-fr
"franchement"-adverb-fr "francament"-adverb-oc
"complètement"-adverb-fr "complètament"-adverb-oc
"complètement"-adverb-fr "completament"-adverb-oc
"complètament"-adverb-oc "complètement"-adverb-fr
"completament"-adverb-oc "complètement"-adverb-fr
"fortement"-adverb-fr "fòrtament"-adverb-oc
"fòrtament"-adverb-oc "fortement"-adverb-fr
"assez"-adverb-fr "pro"-adverb-oc
"pro"-adverb-oc "assez"-adverb-fr
"fòrça"-adverb-oc "beaucoup"-adverb-fr
"beaucoup"-adverb-fr "fòrça"-adverb-oc
"suffisamment"-adverb-fr "sufisentament"-adverb-oc
"sufisentament"-adverb-oc "suffisamment"-adverb-fr
"promptement"-adverb-fr "lestament"-adverb-oc
"lestament"-adverb-oc "promptement"-adverb-fr
"lestament"-adverb-oc "vite"-adverb-fr
"lestament"-adverb-oc "rapidement"-adverb-fr
"vite"-adverb-fr "lestament"-adverb-oc
"vite"-adverb-fr "lèu"-adverb-oc
"vite"-adverb-fr "aviat"-adverb-oc
"lèu"-adverb-oc "vite"-adverb-fr
"lèu"-adverb-oc "rapidement"-adverb-fr
"lèu"-adverb-oc "tôt"-adverb-fr
"lèu"-adverb-oc "bientôt"-adverb-fr
"aviat"-adverb-oc "vite"-adverb-fr
"aviat"-adverb-oc "rapidement"-adverb-fr
"rapidement"-adverb-fr "lestament"-adverb-oc
"rapidement"-adverb-fr "lèu"-adverb-oc
"rapidement"-adverb-fr "aviat"-adverb-oc
"rapidement"-adverb-fr "rapidament"-adverb-oc
"rapidament"-adverb-oc "rapidement"-adverb-fr
"tôt"-adverb-fr "lèu"-adverb-oc
"tôt"-adverb-fr "d'ora"-adverb-oc
"bientôt"-adverb-fr "lèu"-adverb-oc
"d'ora"-adverb-oc "tôt"-adverb-fr
"légèrement"-adverb-fr "leugièrament"-adverb-oc
"légèrement"-adverb-fr "leugèrament"-adverb-oc
"leugièrament"-adverb-oc "légèrement"-adverb-fr
"leugèrament"-adverb-oc "légèrement"-adverb-fr
"particulièrement"-adverb-fr "particularament"-adverb-oc
"particularament"-adverb-oc "particulièrement"-adverb-fr
"sustot"-adverb-oc "surtout"-adverb-fr
"surtout"-adverb-fr "sustot"-adverb-oc
"surtout"-adverb-fr "surtot"-adverb-oc
"surtout"-adverb-fr "subretot"-adverb-oc
"surtout"-adverb-fr "mai que mai"-adverb-oc
"surtot"-adverb-oc "surtout"-adverb-fr
"surtot"-adverb-oc "notamment"-adverb-fr
"subretot"-adverb-oc "surtout"-adverb-fr
"subretot"-adverb-oc "notamment"-adverb-fr
"mai que mai"-adverb-oc "surtout"-adverb-fr
"notamment"-adverb-fr "surtot"-adverb-oc
"notamment"-adverb-fr "subretot"-adverb-oc
"habituellement"-adverb-fr "abitualament"-adverb-oc
"abitualament"-adverb-oc "habituellement"-adverb-fr
"normalement"-adverb-fr "normalament"-adverb-oc
"normalament"-adverb-oc "normalement"-adverb-fr
"expressément"-adverb-fr "exprès"-adverb-oc
"expressément"-adverb-fr "exprèssament"-adverb-oc
"exprès"-adverb-oc "expressément"-adverb-fr
"exprèssament"-adverb-oc "expressément"-adverb-fr
"ponctuellement"-adverb-fr "pontualament"-adverb-oc
"pontualament"-adverb-oc "ponctuellement"-adverb-fr
"généralement"-adverb-fr "generalament"-adverb-oc
"generalament"-adverb-oc "généralement"-adverb-fr
"largement"-adverb-fr "largament"-adverb-oc
"largament"-adverb-oc "largement"-adverb-fr
"profondément"-adverb-fr "prigondament"-adverb-oc
"prigondament"-adverb-oc "profondément"-adverb-fr
"puèi"-adverb-oc "ensuite"-adverb-fr
"ensuite"-adverb-fr "puèi"-adverb-oc
"après"-adverb-fr "despús"-adverb-oc
"après"-adverb-fr "aprèp"-adverb-oc
"après"-adverb-fr "après"-adverb-oc
"despús"-adverb-oc "après"-adverb-fr
"aprèp"-adverb-oc "après"-adverb-fr
"après"-adverb-oc "après"-adverb-fr
"immediatament"-adverb-oc "immédiatement"-adverb-fr
"immédiatement"-adverb-fr "immediatament"-adverb-oc
"postérieurement"-adverb-fr "posteriorament"-adverb-oc
"posteriorament"-adverb-oc "postérieurement"-adverb-fr
"seulement"-adverb-fr "sonca"-adverb-oc
"seulement"-adverb-fr "sonque"-adverb-oc
"seulement"-adverb-fr "nonmàs"-adverb-oc
"seulement"-adverb-fr "solament"-adverb-oc
"sonca"-adverb-oc "seulement"-adverb-fr
"sonque"-adverb-oc "seulement"-adverb-fr
"nonmàs"-adverb-oc "seulement"-adverb-fr
"solament"-adverb-oc "seulement"-adverb-fr
"spontanément"-adverb-fr "espontanèament"-adverb-oc
"espontanèament"-adverb-oc "spontanément"-adverb-fr
"simplement"-adverb-fr "simplament"-adverb-oc
"simplament"-adverb-oc "simplement"-adverb-fr
"purement"-adverb-fr "purament"-adverb-oc
"purament"-adverb-oc "purement"-adverb-fr
"ben"-adverb-oc "bien"-adverb-fr
"bien"-adverb-fr "ben"-adverb-oc
"bien"-adverb-fr "plan"-adverb-oc
"plan"-adverb-oc "bien"-adverb-fr
"en revanche"-adverb-fr "per contra"-adverb-oc
"per contra"-adverb-oc "en revanche"-adverb-fr
"per contra"-adverb-oc "par contre"-adverb-fr
"par contre"-adverb-fr "per contra"-adverb-oc
"davant"-adverb-oc "devant"-adverb-fr
"devant"-adverb-fr "davant"-adverb-oc
"devant"-adverb-fr "deuant"-adverb-oc
"devant"-adverb-fr "dauant"-adverb-oc
"devant"-adverb-fr "devant"-adverb-oc
"deuant"-adverb-oc "devant"-adverb-fr
"dauant"-adverb-oc "devant"-adverb-fr
"devant"-adverb-oc "devant"-adverb-fr
"avant"-adverb-fr "abantes"-adverb-oc
"avant"-adverb-fr "abant"-adverb-oc
"avant"-adverb-fr "abans"-adverb-oc
"abantes"-adverb-oc "avant"-adverb-fr
"abant"-adverb-oc "avant"-adverb-fr
"abant"-adverb-oc "auparavant"-adverb-fr
"abans"-adverb-oc "avant"-adverb-fr
"auparavant"-adverb-fr "abant"-adverb-oc
"anteriorament"-adverb-oc "antérieurement"-adverb-fr
"antérieurement"-adverb-fr "anteriorament"-adverb-oc
"dejós"-adverb-oc "dessous"-adverb-fr
"dessous"-adverb-fr "dejós"-adverb-oc
"dessous"-adverb-fr "jos"-adverb-oc
"jos"-adverb-oc "dessous"-adverb-fr
"en bas"-adverb-fr "tà baish"-adverb-oc
"en bas"-adverb-fr "auath"-adverb-oc
"tà baish"-adverb-oc "en bas"-adverb-fr
"auath"-adverb-oc "en bas"-adverb-fr
"mal"-adverb-fr "mal"-adverb-oc
"mal"-adverb-oc "mal"-adverb-fr
"contrairement"-adverb-fr "contràriament"-adverb-oc
"contràriament"-adverb-oc "contrairement"-adverb-fr
"d'una autra faiçon"-adverb-oc "d'autre part"-adverb-fr
"d'autre part"-adverb-fr "d'una autra faiçon"-adverb-oc
"d'autre part"-adverb-fr "d'ua auta faiçon"-adverb-oc
"d'autre part"-adverb-fr "d'autra banda"-adverb-oc
"d'ua auta faiçon"-adverb-oc "d'autre part"-adverb-fr
"d'autra banda"-adverb-oc "d'autre part"-adverb-fr
"en plus"-adverb-fr "en mai"-adverb-oc
"en mai"-adverb-oc "en plus"-adverb-fr
"loin"-adverb-fr "lonh"-adverb-oc
"loin"-adverb-fr "luènh"-adverb-oc
"lonh"-adverb-oc "loin"-adverb-fr
"luènh"-adverb-oc "loin"-adverb-fr
"extrêmement"-adverb-fr "extrèmament"-adverb-oc
"extrèmament"-adverb-oc "extrêmement"-adverb-fr
"derrière"-adverb-fr "darrièr"-adverb-oc
"darrièr"-adverb-oc "derrière"-adverb-fr
"directement"-adverb-fr "dirèctament"-adverb-oc
"dirèctament"-adverb-oc "directement"-adverb-fr
"uniquement"-adverb-fr "unicament"-adverb-oc
"unicament"-adverb-oc "uniquement"-adverb-fr
"spécialement"-adverb-fr "especialment"-adverb-oc
"spécialement"-adverb-fr "especialament"-adverb-oc
"especialment"-adverb-oc "spécialement"-adverb-fr
"especialament"-adverb-oc "spécialement"-adverb-fr
"principalement"-adverb-fr "principalament"-adverb-oc
"principalament"-adverb-oc "principalement"-adverb-fr
"sérieusement"-adverb-fr "seriosament"-adverb-oc
"seriosament"-adverb-oc "sérieusement"-adverb-fr
"réellement"-adverb-fr "realament"-adverb-oc
"realament"-adverb-oc "réellement"-adverb-fr
"véritablement"-adverb-fr "veritablament"-adverb-oc
"veritablament"-adverb-oc "véritablement"-adverb-fr
"en fait"-adverb-fr "en fait"-adverb-oc
"en fait"-adverb-fr "en fach"-adverb-oc
"en fait"-adverb-oc "en fait"-adverb-fr
"en fach"-adverb-oc "en fait"-adverb-fr
"plutôt"-adverb-fr "mèsalèu"-adverb-oc
"plutôt"-adverb-fr "mèslèu"-adverb-oc
"plutôt"-adverb-fr "puslèu"-adverb-oc
"mèsalèu"-adverb-oc "plutôt"-adverb-fr
"mèslèu"-adverb-oc "plutôt"-adverb-fr
"puslèu"-adverb-oc "plutôt"-adverb-fr
"sí"-adverb-oc "oui"-adverb-fr
"oui"-adverb-fr "sí"-adverb-oc
"oui"-adverb-fr "òc"-adverb-oc
"òc"-adverb-oc "oui"-adverb-fr
"notablement"-adverb-fr "notablament"-adverb-oc
"notablament"-adverb-oc "notablement"-adverb-fr
"finalement"-adverb-fr "finalament"-adverb-oc
"finalement"-adverb-fr "fin finala"-adverb-oc
"finalament"-adverb-oc "finalement"-adverb-fr
"fin finala"-adverb-oc "finalement"-adverb-fr
"enfin"-adverb-fr "enfin"-adverb-oc
"enfin"-adverb-oc "enfin"-adverb-fr
"dernièrement"-adverb-fr "darrièrament"-adverb-oc
"dernièrement"-adverb-fr "darrèrament"-adverb-oc
"darrièrament"-adverb-oc "dernièrement"-adverb-fr
"darrèrament"-adverb-oc "dernièrement"-adverb-fr
"récemment"-adverb-fr "recentament"-adverb-oc
"recentament"-adverb-oc "récemment"-adverb-fr
"globalement"-adverb-fr "globalament"-adverb-oc
"globalament"-adverb-oc "globalement"-adverb-fr
"basiquement"-adverb-fr "basicament"-adverb-oc
"basicament"-adverb-oc "basiquement"-adverb-fr
"doucement"-adverb-fr "docetament"-adverb-oc
"doucement"-adverb-fr "doçament"-adverb-oc
"docetament"-adverb-oc "doucement"-adverb-fr
"doçament"-adverb-oc "doucement"-adverb-fr
"un shinhau"-adverb-oc "un peu"-adverb-fr
"un peu"-adverb-fr "un shinhau"-adverb-oc
"un peu"-adverb-fr "un pauc"-adverb-oc
"un pauc"-adverb-oc "un peu"-adverb-fr
"environ"-adverb-fr "aproximadament"-adverb-oc
"environ"-adverb-fr "aperaquí"-adverb-oc
"aproximadament"-adverb-oc "environ"-adverb-fr
"aperaquí"-adverb-oc "environ"-adverb-fr
"aperaquí"-adverb-oc "près"-adverb-fr
"près"-adverb-fr "aperaquí"-adverb-oc
"près"-adverb-fr "près"-adverb-oc
"près"-adverb-fr "prèp"-adverb-oc
"près"-adverb-fr "pròp"-adverb-oc
"près"-adverb-fr "al bòrd"-adverb-oc
"près"-adverb-oc "près"-adverb-fr
"près"-adverb-oc "auprès"-adverb-fr
"prèp"-adverb-oc "près"-adverb-fr
"pròp"-adverb-oc "près"-adverb-fr
"al bòrd"-adverb-oc "près"-adverb-fr
"autour"-adverb-fr "a l'entorn"-adverb-oc
"a l'entorn"-adverb-oc "autour"-adverb-fr
"auprès"-adverb-fr "près"-adverb-oc
"totalement"-adverb-fr "totalament"-adverb-oc
"totalament"-adverb-oc "totalement"-adverb-fr
"plenament"-adverb-oc "pleinement"-adverb-fr
"pleinement"-adverb-fr "plenament"-adverb-oc
"pleinement"-adverb-fr "pleament"-adverb-oc
"pleament"-adverb-oc "pleinement"-adverb-fr
"sûrement"-adverb-fr "segurament"-adverb-oc
"segurament"-adverb-oc "sûrement"-adverb-fr
"justement"-adverb-fr "justament"-adverb-oc
"justament"-adverb-oc "justement"-adverb-fr
"precisament"-adverb-oc "précisément"-adverb-fr
"précisément"-adverb-fr "precisament"-adverb-oc
"évidemment"-adverb-fr "evidentament"-adverb-oc
"evidentament"-adverb-oc "évidemment"-adverb-fr
"naturellement"-adverb-fr "naturalament"-adverb-oc
"naturalament"-adverb-oc "naturellement"-adverb-fr
"autant"-adverb-fr "tant"-adverb-oc
"autant"-adverb-fr "autant"-adverb-oc
"tant"-adverb-oc "autant"-adverb-fr
"tant"-adverb-oc "tant"-adverb-fr
"autant"-adverb-oc "autant"-adverb-fr
"autant"-adverb-oc "tant"-adverb-fr
"tant"-adverb-fr "tant"-adverb-oc
"tant"-adverb-fr "autant"-adverb-oc
"comment"-adverb-fr "cossí"-adverb-oc
"comment"-adverb-fr "consí"-adverb-oc
"cossí"-adverb-oc "comment"-adverb-fr
"consí"-adverb-oc "comment"-adverb-fr
"lo mieu"-determiner-oc "mon"-determiner-fr
"mon"-determiner-fr "lo mieu"-determiner-oc
"mon"-determiner-fr "eth mèn"-determiner-oc
"mon"-determiner-fr "mon"-determiner-oc
"eth mèn"-determiner-oc "mon"-determiner-fr
"mon"-determiner-oc "mon"-determiner-fr
"ton"-determiner-fr "lo tieu"-determiner-oc
"ton"-determiner-fr "ton"-determiner-oc
"lo tieu"-determiner-oc "ton"-determiner-fr
"ton"-determiner-oc "ton"-determiner-fr
"votre"-determiner-fr "lo vòstre"-determiner-oc
"lo vòstre"-determiner-oc "votre"-determiner-fr
"leur"-determiner-fr "lor"-determiner-oc
"lor"-determiner-oc "leur"-determiner-fr
"son"-determiner-fr "lo sieu"-determiner-oc
"son"-determiner-fr "son"-determiner-oc
"lo sieu"-determiner-oc "son"-determiner-fr
"son"-determiner-oc "son"-determiner-fr
"notre"-determiner-fr "lo nòstre"-determiner-oc
"lo nòstre"-determiner-oc "notre"-determiner-fr
"arren"-pronoun-oc "rien"-pronoun-fr
"rien"-pronoun-fr "arren"-pronoun-oc
"rien"-pronoun-fr "res"-pronoun-oc
"rien"-pronoun-fr "ren"-pronoun-oc
"res"-pronoun-oc "rien"-pronoun-fr
"ren"-pronoun-oc "rien"-pronoun-fr
"ce"-pronoun-fr "çò"-pronoun-oc
"çò"-pronoun-oc "ce"-pronoun-fr
"ça"-pronoun-fr "aquò"-pronoun-oc
"aquò"-pronoun-oc "ça"-pronoun-fr
"aquò"-pronoun-oc "cela"-pronoun-fr
"cela"-pronoun-fr "aquò"-pronoun-oc
"qué"-pronoun-oc "quoi"-pronoun-fr
"qué"-pronoun-oc "qu'est-ce que"-pronoun-fr
"qué"-pronoun-oc "que"-pronoun-fr
"quoi"-pronoun-fr "qué"-pronoun-oc
"qu'est-ce que"-pronoun-fr "qué"-pronoun-oc
"que"-pronoun-fr "qué"-pronoun-oc
"eth quau"-relativePronoun-oc "lequel"-relativePronoun-fr
"lequel"-relativePronoun-fr "eth quau"-relativePronoun-oc
"qual"-pronoun-oc "quel"-pronoun-fr
"qual"-pronoun-oc "qui"-pronoun-fr
"quel"-pronoun-fr "qual"-pronoun-oc
"qui"-pronoun-fr "qual"-pronoun-oc
"qui"-relativePronoun-oc "qui"-relativePronoun-fr
"qui"-relativePronoun-fr "qui"-relativePronoun-oc
"qui"-relativePronoun-fr "qui"-noun-oc
"qui"-noun-oc "qui"-relativePronoun-fr
"celui-là"-pronoun-fr "aquel"-pronoun-oc
"aquel"-pronoun-oc "celui-là"-pronoun-fr
"aquel"-pronoun-oc "celui"-pronoun-fr
"aqueste"-pronoun-oc "celui-ci"-pronoun-fr
"celui-ci"-pronoun-fr "aqueste"-pronoun-oc
"celui-ci"-pronoun-fr "aguest"-pronoun-oc
