"quelque"-determiner-fr "mantun"-determiner-oc
"aquel"-pronoun-oc "celui-ci"-pronoun-fr
"celui-ci"-pronoun-fr "aquel"-pronoun-oc
"celui"-pronoun-fr "aqueth"-pronoun-oc
"se"-reflexivePersonalPronoun-fr "òm"-pronoun-oc
"òm"-pronoun-oc "se"-reflexivePersonalPronoun-fr
"òm"-pronoun-oc "se"-pronoun-fr
"se"-pronoun-fr "òm"-pronoun-oc
"se"-pronoun-oc "on"-pronoun-fr
"on"-pronoun-fr "se"-pronoun-oc
"aucun"-pronoun-fr "arrés"-pronoun-oc
"aucun"-pronoun-fr "degun"-pronoun-oc
"arrés"-pronoun-oc "aucun"-pronoun-fr
"degun"-pronoun-oc "aucun"-pronoun-fr
"quelqu'un"-pronoun-fr "quauquarrés"-pronoun-oc
"quelqu'un"-pronoun-fr "mantun"-pronoun-oc
"quauquarrés"-pronoun-oc "quelqu'un"-pronoun-fr
"mantun"-pronoun-oc "quelqu'un"-pronoun-fr
"mantun"-pronoun-oc "certains"-pronoun-fr
"certains"-pronoun-fr "mantun"-pronoun-oc
"certains"-pronoun-fr "qualqu'un"-pronoun-oc
"qualqu'un"-pronoun-oc "certains"-pronoun-fr
"mejançant"-preposition-oc "par l'intermédiaire de"-preposition-fr
"par l'intermédiaire de"-preposition-fr "mejançant"-preposition-oc
"per encausa de"-preposition-oc "à cause de"-preposition-fr
"à cause de"-preposition-fr "per encausa de"-preposition-oc
"à cause de"-preposition-fr "per causa de"-preposition-oc
"per causa de"-preposition-oc "à cause de"-preposition-fr
"vers"-preposition-fr "envèrs"-preposition-oc
"envèrs"-preposition-oc "vers"-preposition-fr
"despuòi"-preposition-oc "de"-preposition-fr
"despuòi"-preposition-oc "dès"-preposition-fr
"de"-preposition-fr "despuòi"-preposition-oc
"de"-preposition-fr "despuèi"-preposition-oc
"de"-preposition-fr "desespuèi"-preposition-oc
"de"-preposition-fr "desempuèi"-preposition-oc
"de"-preposition-fr "dempuòi"-preposition-oc
"de"-preposition-fr "dempuèi"-preposition-oc
"dès"-preposition-fr "despuòi"-preposition-oc
"dès"-preposition-fr "despuèi"-preposition-oc
"dès"-preposition-fr "desespuèi"-preposition-oc
"dès"-preposition-fr "desempuèi"-preposition-oc
"dès"-preposition-fr "dempuòi"-preposition-oc
"dès"-preposition-fr "dempuèi"-preposition-oc
"despuèi"-preposition-oc "de"-preposition-fr
"despuèi"-preposition-oc "dès"-preposition-fr
"desespuèi"-preposition-oc "de"-preposition-fr
"desespuèi"-preposition-oc "dès"-preposition-fr
"desempuèi"-preposition-oc "de"-preposition-fr
"desempuèi"-preposition-oc "dès"-preposition-fr
"dempuòi"-preposition-oc "de"-preposition-fr
"dempuòi"-preposition-oc "dès"-preposition-fr
"dempuèi"-preposition-oc "de"-preposition-fr
"dempuèi"-preposition-oc "dès"-preposition-fr
"outre"-preposition-fr "en mai de"-preposition-oc
"en mai de"-preposition-oc "outre"-preposition-fr
"pour"-preposition-fr "per'mor de"-preposition-oc
"per'mor de"-preposition-oc "pour"-preposition-fr
"par rapport à"-preposition-fr "en çò que toque a"-preposition-oc
"en çò que toque a"-preposition-oc "par rapport à"-preposition-fr
"de la part de"-preposition-oc "par"-preposition-fr
"par"-preposition-fr "de la part de"-preposition-oc
"par"-preposition-fr "per part de"-preposition-oc
"per part de"-preposition-oc "par"-preposition-fr
"parmi"-preposition-fr "entre"-preposition-oc
"entre"-preposition-oc "parmi"-preposition-fr
"entre"-preposition-fr "demest"-preposition-oc
"demest"-preposition-oc "entre"-preposition-fr
"abondant"-adjective-fr "abondiu"-adjective-oc
"abondiu"-adjective-oc "abondant"-adjective-fr
"desliurança"-noun-oc "libération"-noun-fr
"libération"-noun-fr "desliurança"-noun-oc
"tempèsta"-noun-oc "tourmente"-noun-fr
"tourmente"-noun-fr "tempèsta"-noun-oc
"marchand"-noun-fr "vendeire"-noun-oc
"marchand"-noun-fr "comerçant"-noun-oc
"vendeire"-noun-oc "marchand"-noun-fr
"comerçant"-noun-oc "marchand"-noun-fr
"pofre"-noun-oc "pop"-noun-fr
"pop"-noun-fr "pofre"-noun-oc
"religieux"-noun-fr "monge"-noun-oc
"monge"-noun-oc "religieux"-noun-fr
"moine"-noun-fr "fraire"-noun-oc
"fraire"-noun-oc "moine"-noun-fr
"frère"-noun-fr "sòrre"-noun-oc
"frère"-noun-fr "sòr"-noun-oc
"sòrre"-noun-oc "frère"-noun-fr
"sòr"-noun-oc "frère"-noun-fr
"bandit"-noun-fr "brigand"-noun-oc
"brigand"-noun-oc "bandit"-noun-fr
"experiéncia"-noun-oc "acquis"-noun-fr
"acquis"-noun-fr "experiéncia"-noun-oc
"discotèca"-noun-oc "boîte"-noun-fr
"boîte"-noun-fr "discotèca"-noun-oc
"bóstia"-noun-oc "caisse"-noun-fr
"caisse"-noun-fr "bóstia"-noun-oc
"percepcion"-noun-oc "aperçu"-noun-fr
"aperçu"-noun-fr "percepcion"-noun-oc
"descarga"-noun-oc "téléchargement"-noun-fr
"téléchargement"-noun-fr "descarga"-noun-oc
"année"-noun-fr "an"-noun-oc
"an"-noun-oc "année"-noun-fr
"annada"-noun-oc "an"-noun-fr
"an"-noun-fr "annada"-noun-oc
"montre"-noun-fr "relòtge"-noun-oc
"relòtge"-noun-oc "montre"-noun-fr
"majoritat"-noun-oc "plupart"-noun-fr
"plupart"-noun-fr "majoritat"-noun-oc
"nécessité"-noun-fr "besonh"-noun-oc
"besonh"-noun-oc "nécessité"-noun-fr
"net"-noun-oc "nuit"-noun-fr
"nuit"-noun-fr "net"-noun-oc
"déclin"-noun-fr "decadéncia"-noun-oc
"decadéncia"-noun-oc "déclin"-noun-fr
"normalizacion"-noun-oc "standardisation"-noun-fr
"standardisation"-noun-fr "normalizacion"-noun-oc
"standardisation"-noun-fr "normalisacion"-noun-oc
"normalisacion"-noun-oc "standardisation"-noun-fr
"gel"-noun-fr "glaça"-noun-oc
"glaça"-noun-oc "gel"-noun-fr
"aigat"-noun-oc "crue"-noun-fr
"aigat"-noun-oc "averse"-noun-fr
"crue"-noun-fr "aigat"-noun-oc
"averse"-noun-fr "aigat"-noun-oc
"coishin"-noun-oc "oreiller"-noun-fr
"oreiller"-noun-fr "coishin"-noun-oc
"oreiller"-noun-fr "coissin"-noun-oc
"coissin"-noun-oc "oreiller"-noun-fr
"esperança"-noun-oc "espoir"-noun-fr
"espoir"-noun-fr "esperança"-noun-oc
"dragon"-noun-fr "drac"-noun-oc
"drac"-noun-oc "dragon"-noun-fr
"bruma"-noun-oc "brouillard"-noun-fr
"brouillard"-noun-fr "bruma"-noun-oc
"fanal"-noun-fr "lantèrna"-noun-oc
"lantèrna"-noun-oc "fanal"-noun-fr
"adieu"-noun-fr "comjat"-noun-oc
"adieu"-noun-fr "adiu"-noun-oc
"comjat"-noun-oc "adieu"-noun-fr
"adiu"-noun-oc "adieu"-noun-fr
"jogaire"-noun-oc "équipier"-noun-fr
"équipier"-noun-fr "jogaire"-noun-oc
"équipier"-noun-fr "jogador"-noun-oc
"jogador"-noun-oc "équipier"-noun-fr
"web"-noun-fr "siti"-noun-oc
"siti"-noun-oc "web"-noun-fr
"trafic"-noun-fr "trànsit"-noun-oc
"trafic"-noun-fr "transit"-noun-oc
"trànsit"-noun-oc "trafic"-noun-fr
"transit"-noun-oc "trafic"-noun-fr
"essieu"-noun-fr "axe"-noun-oc
"axe"-noun-oc "essieu"-noun-fr
"satisfaccion"-noun-oc "contentement"-noun-fr
"contentement"-noun-fr "satisfaccion"-noun-oc
"desencusa"-noun-oc "prétexte"-noun-fr
"prétexte"-noun-fr "desencusa"-noun-oc
"balh"-noun-oc "danse"-noun-fr
"danse"-noun-fr "balh"-noun-oc
"pilòta"-noun-oc "ballon"-noun-fr
"ballon"-noun-fr "pilòta"-noun-oc
"usina"-noun-oc "fabrique"-noun-fr
"fabrique"-noun-fr "usina"-noun-oc
"carrière"-noun-fr "carrièra"-noun-oc
"carrièra"-noun-oc "carrière"-noun-fr
"carrièra"-noun-oc "course"-noun-fr
"course"-noun-fr "carrièra"-noun-oc
"malefici"-noun-oc "malédiction"-noun-fr
"malédiction"-noun-fr "malefici"-noun-oc
"limite"-noun-fr "confinh"-noun-oc
"confinh"-noun-oc "limite"-noun-fr
"reünion"-noun-oc "sommet"-noun-fr
"sommet"-noun-fr "reünion"-noun-oc
"sommet"-noun-fr "cresta"-noun-oc
"cresta"-noun-oc "sommet"-noun-fr
"cresta"-noun-oc "cime"-noun-fr
"bastiment"-noun-oc "construction"-noun-fr
"construction"-noun-fr "bastiment"-noun-oc
"office"-noun-fr "mestièr"-noun-oc
"mestièr"-noun-oc "office"-noun-fr
"nautor"-noun-oc "haut"-noun-fr
"haut"-noun-fr "nautor"-noun-oc
"desir"-noun-oc "appétit"-noun-fr
"desir"-noun-oc "faim"-noun-fr
"appétit"-noun-fr "desir"-noun-oc
"faim"-noun-fr "desir"-noun-oc
"refús"-noun-oc "dénégation"-noun-fr
"dénégation"-noun-fr "refús"-noun-oc
"fendascla"-noun-oc "fente"-noun-fr
"fente"-noun-fr "fendascla"-noun-oc
"fente"-noun-fr "fenda"-noun-oc
"fenda"-noun-oc "fente"-noun-fr
"tèrra"-noun-oc "sol"-noun-fr
"sol"-noun-fr "tèrra"-noun-oc
"fuite"-noun-fr "fuga"-noun-oc
"fuga"-noun-oc "fuite"-noun-fr
"but"-noun-fr "punt"-noun-oc
"but"-noun-fr "fin"-noun-oc
"punt"-noun-oc "but"-noun-fr
"fin"-noun-oc "but"-noun-fr
"fin"-noun-oc "final"-noun-fr
"fin"-noun-oc "finalité"-noun-fr
"final"-noun-fr "fin"-noun-oc
"finalité"-noun-fr "fin"-noun-oc
"repas"-noun-fr "minjar"-noun-oc
"repas"-noun-fr "manjar"-noun-oc
"repas"-noun-fr "gach"-noun-oc
"minjar"-noun-oc "repas"-noun-fr
"manjar"-noun-oc "repas"-noun-fr
"gach"-noun-oc "repas"-noun-fr
"conte"-noun-fr "raconte"-noun-oc
"raconte"-noun-oc "conte"-noun-fr
"lien"-noun-fr "laç"-noun-oc
"laç"-noun-oc "lien"-noun-fr
"detriment"-noun-oc "dépit"-noun-fr
"dépit"-noun-fr "detriment"-noun-oc
"arène"-noun-fr "sable"-noun-oc
"sable"-noun-oc "arène"-noun-fr
"soutien"-noun-fr "supòrt"-noun-oc
"supòrt"-noun-oc "soutien"-noun-fr
"mode"-noun-fr "faiçon"-noun-oc
"faiçon"-noun-oc "mode"-noun-fr
"façon"-noun-fr "biais"-noun-oc
"façon"-noun-fr "manièira"-noun-oc
"biais"-noun-oc "façon"-noun-fr
"manièira"-noun-oc "façon"-noun-fr
"aspècte"-noun-oc "allure"-noun-fr
"allure"-noun-fr "aspècte"-noun-oc
"échantillon"-noun-fr "mòstra"-noun-oc
"mòstra"-noun-oc "échantillon"-noun-fr
"gatge"-noun-oc "garantie"-noun-fr
"garantie"-noun-fr "gatge"-noun-oc
"lignée"-noun-fr "nom de familha"-noun-oc
"nom de familha"-noun-oc "lignée"-noun-fr
"referéncia"-noun-oc "référencement"-noun-fr
"référencement"-noun-fr "referéncia"-noun-oc
"retour"-noun-fr "tornada"-noun-oc
"retour"-noun-fr "repic"-noun-oc
"retour"-noun-fr "estriuet"-noun-oc
"tornada"-noun-oc "retour"-noun-fr
"repic"-noun-oc "retour"-noun-fr
"estriuet"-noun-oc "retour"-noun-fr
"malle"-noun-fr "arca"-noun-oc
"arca"-noun-oc "malle"-noun-fr
"arca"-noun-oc "coffre"-noun-fr
"coffre"-noun-fr "arca"-noun-oc
"égard"-noun-fr "consideracion"-noun-oc
"consideracion"-noun-oc "égard"-noun-fr
"langue"-noun-fr "parlar"-noun-oc
"langue"-noun-fr "idiòma"-noun-oc
"parlar"-noun-oc "langue"-noun-fr
"idiòma"-noun-oc "langue"-noun-fr
"comoditat"-noun-oc "confort"-noun-fr
"confort"-noun-fr "comoditat"-noun-oc
"grandeur"-noun-fr "magnitud"-noun-oc
"magnitud"-noun-oc "grandeur"-noun-fr
"offense"-noun-fr "grèuge"-noun-oc
"grèuge"-noun-oc "offense"-noun-fr
"commission"-noun-fr "comanda"-noun-oc
"comanda"-noun-oc "commission"-noun-fr
"jornal"-noun-oc "quotidien"-noun-fr
"quotidien"-noun-fr "jornal"-noun-oc
"dedicacion"-noun-oc "dévouement"-noun-fr
"dévouement"-noun-fr "dedicacion"-noun-oc
"correder"-noun-oc "corridor"-noun-fr
"correder"-noun-oc "coureur"-noun-fr
"corridor"-noun-fr "correder"-noun-oc
"coureur"-noun-fr "correder"-noun-oc
"porche"-noun-fr "portal"-noun-oc
"portal"-noun-oc "porche"-noun-fr
"intrada"-noun-oc "revenu"-noun-fr
"revenu"-noun-fr "intrada"-noun-oc
"cours"-noun-fr "cotizacion"-noun-oc
"cotizacion"-noun-oc "cours"-noun-fr
"ressorsa"-noun-oc "recours"-noun-fr
"recours"-noun-fr "ressorsa"-noun-oc
"recours"-noun-fr "ressorça"-noun-oc
"ressorça"-noun-oc "recours"-noun-fr
"ressource"-noun-fr "recors"-noun-oc
"recors"-noun-oc "ressource"-noun-fr
"question"-noun-fr "ahèr"-noun-oc
"ahèr"-noun-oc "question"-noun-fr
"ahèr"-noun-oc "sujet"-noun-fr
"sujet"-noun-fr "ahèr"-noun-oc
"sujet"-noun-fr "afar"-noun-oc
"afar"-noun-oc "sujet"-noun-fr
"void"-noun-oc "creux"-noun-fr
"creux"-noun-fr "void"-noun-oc
"manque"-noun-fr "fauta"-noun-oc
"manque"-noun-fr "falta"-noun-oc
"fauta"-noun-oc "manque"-noun-fr
"fauta"-noun-oc "tort"-noun-fr
"falta"-noun-oc "manque"-noun-fr
"manca"-noun-oc "faute"-noun-fr
"faute"-noun-fr "manca"-noun-oc
"faute"-noun-fr "mancança"-noun-oc
"tort"-noun-fr "fauta"-noun-oc
"tort"-noun-fr "colpa"-noun-oc
"mancança"-noun-oc "faute"-noun-fr
"colpa"-noun-oc "tort"-noun-fr
"pana"-noun-oc "avarie"-noun-fr
"avarie"-noun-fr "pana"-noun-oc
"banqueroute"-noun-fr "falhida"-noun-oc
"banqueroute"-noun-fr "falhita"-noun-oc
"falhida"-noun-oc "banqueroute"-noun-fr
"falhita"-noun-oc "banqueroute"-noun-fr
"sosterranh"-noun-oc "sous-sol"-noun-fr
"sous-sol"-noun-fr "sosterranh"-noun-oc
"jupe"-noun-fr "fauda"-noun-oc
"fauda"-noun-oc "jupe"-noun-fr
"remplacement"-noun-fr "substitucion"-noun-oc
"substitucion"-noun-oc "remplacement"-noun-fr
"tour"-noun-fr "vòlta"-noun-oc
"tour"-noun-fr "bastida"-noun-oc
"tour"-noun-fr "maset"-noun-oc
"vòlta"-noun-oc "tour"-noun-fr
"bastida"-noun-oc "tour"-noun-fr
"maset"-noun-oc "tour"-noun-fr
"torn"-noun-oc "virement"-noun-fr
"virement"-noun-fr "torn"-noun-oc
"cim"-noun-oc "cime"-noun-fr
"cime"-noun-fr "cresta"-noun-oc
"cime"-noun-fr "cim"-noun-oc
"cabana"-noun-oc "case"-noun-fr
"case"-noun-fr "cabana"-noun-oc
"hutte"-noun-fr "barraca"-noun-oc
"barraca"-noun-oc "hutte"-noun-fr
"detencion"-noun-oc "arrestation"-noun-fr
"arrestation"-noun-fr "detencion"-noun-oc
"arrestation"-noun-fr "arrèst"-noun-oc
"arrèst"-noun-oc "arrestation"-noun-fr
"escalèr"-noun-oc "échelle"-noun-fr
"échelle"-noun-fr "escalèr"-noun-oc
"échelle"-noun-fr "escalièr"-noun-oc
"escalièr"-noun-oc "échelle"-noun-fr
"domestique"-noun-fr "vailet"-noun-oc
"vailet"-noun-oc "domestique"-noun-fr
"renseignement"-noun-fr "informacion"-noun-oc
"informacion"-noun-oc "renseignement"-noun-fr
"linha"-noun-oc "trait"-noun-fr
"trait"-noun-fr "linha"-noun-oc
"trait"-noun-fr "rega"-noun-oc
"rega"-noun-oc "trait"-noun-fr
"enfant"-noun-fr "infant"-noun-oc
"infant"-noun-oc "enfant"-noun-fr
"enfant"-noun-oc "infant"-noun-fr
"infant"-noun-fr "enfant"-noun-oc
"pròva"-noun-oc "essai"-noun-fr
"essai"-noun-fr "pròva"-noun-oc
"essai"-noun-fr "espròva"-noun-oc
"essai"-noun-fr "pròba"-noun-oc
"preuve"-noun-fr "espròva"-noun-oc
"espròva"-noun-oc "essai"-noun-fr
"espròva"-noun-oc "preuve"-noun-fr
"pròba"-noun-oc "essai"-noun-fr
"assag"-noun-oc "tentative"-noun-fr
"tentative"-noun-fr "assag"-noun-oc
"pichet"-noun-fr "gèrla"-noun-oc
"gèrla"-noun-oc "pichet"-noun-fr
"banc"-noun-oc "banque"-noun-fr
"banque"-noun-fr "banc"-noun-oc
"emplacement"-noun-fr "localizacion"-noun-oc
"localizacion"-noun-oc "emplacement"-noun-fr
"plaçament"-noun-oc "situation"-noun-fr
"situation"-noun-fr "plaçament"-noun-oc
"place"-noun-fr "sit"-noun-oc
"place"-noun-fr "luec"-noun-oc
"place"-noun-fr "lòc"-noun-oc
"place"-noun-fr "luòc"-noun-oc
"place"-noun-fr "endret"-noun-oc
"sit"-noun-oc "place"-noun-fr
"sit"-noun-oc "lieu"-noun-fr
"sit"-noun-oc "endroit"-noun-fr
"luec"-noun-oc "place"-noun-fr
"luec"-noun-oc "endroit"-noun-fr
"luec"-noun-oc "site"-noun-fr
"lòc"-noun-oc "place"-noun-fr
"lòc"-noun-oc "endroit"-noun-fr
"lòc"-noun-oc "site"-noun-fr
"luòc"-noun-oc "place"-noun-fr
"luòc"-noun-oc "site"-noun-fr
"endret"-noun-oc "place"-noun-fr
"endret"-noun-oc "lieu"-noun-fr
"endret"-noun-oc "site"-noun-fr
"lieu"-noun-fr "sit"-noun-oc
"lieu"-noun-fr "endret"-noun-oc
"endroit"-noun-fr "sit"-noun-oc
"endroit"-noun-fr "luec"-noun-oc
"endroit"-noun-fr "lòc"-noun-oc
"site"-noun-fr "luec"-noun-oc
"site"-noun-fr "lòc"-noun-oc
"site"-noun-fr "luòc"-noun-oc
"site"-noun-fr "endret"-noun-oc
"felicitat"-noun-oc "bonheur"-noun-fr
"bonheur"-noun-fr "felicitat"-noun-oc
"borsa"-noun-oc "sac"-noun-fr
"sac"-noun-fr "borsa"-noun-oc
"sac"-noun-fr "bossa"-noun-oc
"bossa"-noun-oc "sac"-noun-fr
"tache"-noun-fr "desonor"-noun-oc
"desonor"-noun-oc "tache"-noun-fr
"intencion"-noun-oc "propos"-noun-fr
"intencion"-noun-oc "dessein"-noun-fr
"propos"-noun-fr "intencion"-noun-oc
"dessein"-noun-fr "intencion"-noun-oc
"dessein"-noun-fr "prepaus"-noun-oc
"prepaus"-noun-oc "dessein"-noun-fr
"sagesse"-noun-fr "sabença"-noun-oc
"sabença"-noun-oc "sagesse"-noun-fr
"personnel"-noun-fr "patron"-noun-oc
"patron"-noun-oc "personnel"-noun-fr
"patron"-noun-oc "protecteur"-noun-fr
"protecteur"-noun-fr "patron"-noun-oc
"logis"-noun-fr "abitatge"-noun-oc
"abitatge"-noun-oc "logis"-noun-fr
"environament"-noun-oc "entourage"-noun-fr
"entourage"-noun-fr "environament"-noun-oc
"suite"-noun-fr "contunha"-noun-oc
"suite"-noun-fr "contunhacion"-noun-oc
"contunha"-noun-oc "suite"-noun-fr
"contunhacion"-noun-oc "suite"-noun-fr
"collègi"-noun-oc "école"-noun-fr
"école"-noun-fr "collègi"-noun-oc
"vila"-noun-oc "bourg"-noun-fr
"bourg"-noun-fr "vila"-noun-oc
"capital"-noun-fr "capitala"-noun-oc
"capitala"-noun-oc "capital"-noun-fr
"capital"-noun-oc "capitale"-noun-fr
"capitale"-noun-fr "capital"-noun-oc
"erreur"-noun-fr "errança"-noun-oc
"errança"-noun-oc "erreur"-noun-fr
"errança"-noun-oc "maldonne"-noun-fr
"maldonne"-noun-fr "errança"-noun-oc
"maldonne"-noun-fr "error"-noun-oc
"error"-noun-oc "maldonne"-noun-fr
"fretament"-noun-oc "friction"-noun-fr
"friction"-noun-fr "fretament"-noun-oc
"aucupacion"-noun-oc "emploi"-noun-fr
"emploi"-noun-fr "aucupacion"-noun-oc
"emploi"-noun-fr "trabalh"-noun-oc
