"-"-punctuation-isl "-"-punctuation-eng
"fimmtugasti"-adjective-isl "fiftieth"-adjective-eng
"sextugasti"-adjective-isl "sixtieth"-adjective-eng
"sjötugasti"-adjective-isl "seventieth"-adjective-eng
"áttræðasti"-adjective-isl "eightieth"-adjective-eng
"níræðasti"-adjective-isl "ninetieth"-adjective-eng
"hundraðasti"-adjective-isl "hundredth"-adjective-eng
"þúsundasti"-adjective-isl "thousandth"-adjective-eng
"afbrýðisamur"-adjective-isl "jealous"-adjective-eng
"afbrýðisamur"-adjective-isl "envious"-adjective-eng
"afbrýðisamur"-adjective-isl "green-eyed"-adjective-eng
"afbrýðisamur"-adjective-isl "resentful"-adjective-eng
"afdrifaríkur"-adjective-isl "fateful"-adjective-eng
"afganskur"-adjective-isl "Afghan"-adjective-eng
"argentínskur"-adjective-isl "Argentinian"-adjective-eng
"afgerandi"-adjective-isl "decisive"-adjective-eng
"afmarkaður"-adjective-isl "specific"-adjective-eng
"afrískur"-adjective-isl "African"-adjective-eng
"agndofa"-adjective-isl "stunned"-adjective-eng
"aldraður"-adjective-isl "elderly"-adjective-eng
"aleinn"-adjective-isl "alone"-adjective-eng
"algengur"-adjective-isl "common"-adjective-eng
"alger"-adjective-isl "complete"-adjective-eng
"algjör"-adjective-isl "total"-adjective-eng
"allmargur"-adjective-isl "many"-adjective-eng
"allmikill"-adjective-isl "considerable"-adjective-eng
"allsráðandi"-adjective-isl "dominant"-adjective-eng
"allstór"-adjective-isl "sizable"-adjective-eng
"allt og sumt"-adjective-isl "that's all"-adjective-eng
"allverulegur"-adjective-isl "considerable"-adjective-eng
"almennilegur"-adjective-isl "proper"-adjective-eng
"almáttugur"-adjective-isl "almighty"-adjective-eng
"alvarlegur"-adjective-isl "serious"-adjective-eng
"alúðlegur"-adjective-isl "cordial"-adjective-eng
"alþjóðlegur"-adjective-isl "international"-adjective-eng
"amerískur"-adjective-isl "American"-adjective-eng
"andlegur"-adjective-isl "spiritual"-adjective-eng
"andsnúinn"-adjective-isl "against"-adjective-eng
"andstyggilegur"-adjective-isl "cruel"-adjective-eng
"andstæður"-adjective-isl "opposite"-adjective-eng
"andvígur"-adjective-isl "opposed"-adjective-eng
"annar"-adjective-isl "another"-adjective-eng
"arabískur"-adjective-isl "Arabic"-adjective-eng
"asnalegur"-adjective-isl "silly"-adjective-eng
"athugaður"-adjective-isl "checked"-adjective-eng
"athyglisverður"-adjective-isl "interesting"-adjective-eng
"augljós"-adjective-isl "clear"-adjective-eng
"aukinn"-adjective-isl "increased"-adjective-eng
"auðsjáanlegur"-adjective-isl "obvious"-adjective-eng
"auðugur"-adjective-isl "rich"-adjective-eng
"auður"-adjective-isl "empty"-adjective-eng
"auðveldur"-adjective-isl "easy"-adjective-eng
"aðfinnsluverður"-adjective-isl "objectionable"-adjective-eng
"aðgengilegur"-adjective-isl "accessible"-adjective-eng
"aðspurður"-adjective-isl "asked"-adjective-eng
"bandarískur"-adjective-isl "American"-adjective-eng
"beinn"-adjective-isl "straight"-adjective-eng
"ber"-adjective-isl "bare"-adjective-eng
"berfættur"-adjective-isl "barefoot"-adjective-eng
"berserkur"-adjective-isl "berserk"-adjective-eng
"bilaður"-adjective-isl "broken"-adjective-eng
"bithagur"-adjective-isl "pasture"-adjective-eng
"bitur"-adjective-isl "bitter"-adjective-eng
"bjartsýnn"-adjective-isl "optimistic"-adjective-eng
"bjartur"-adjective-isl "bright"-adjective-eng
"blandinn"-adjective-isl "mixed"-adjective-eng
"blautur"-adjective-isl "wet"-adjective-eng
"bleikur"-adjective-isl "pink"-adjective-eng
"blessaður"-adjective-isl "hello"-adjective-eng
"blindur"-adjective-isl "blind"-adjective-eng
"blíðlegur"-adjective-isl "affectionate"-adjective-eng
"blíður"-adjective-isl "tender"-adjective-eng
"boginn"-adjective-isl "curved"-adjective-eng
"borgaralegur"-adjective-isl "civil"-adjective-eng
"boðinn"-adjective-isl "ready"-adjective-eng
"brasilískur"-adjective-isl "Brazilian"-adjective-eng
"brattur"-adjective-isl "steep"-adjective-eng
"breiður"-adjective-isl "wide"-adjective-eng
"brennandi"-adjective-isl "burning"-adjective-eng
"breskur"-adjective-isl "british"-adjective-eng
"breytilegur"-adjective-isl "variable"-adjective-eng
"breyttur"-adjective-isl "changed"-adjective-eng
"brjálaður"-adjective-isl "crazy"-adjective-eng
"brosandi"-adjective-isl "smiling"-adjective-eng
"brotinn"-adjective-isl "broken"-adjective-eng
"brúnn"-adjective-isl "brown"-adjective-eng
"brýnn"-adjective-isl "urgent"-adjective-eng
"bundinn"-adjective-isl "tied"-adjective-eng
"byggður"-adjective-isl "built"-adjective-eng
"bágur"-adjective-isl "poor"-adjective-eng
"bættur"-adjective-isl "enhanced"-adjective-eng
"búinn"-adjective-isl "done"-adjective-eng
"búsettur"-adjective-isl "residing"-adjective-eng
"daglegur"-adjective-isl "daily"-adjective-eng
"danskur"-adjective-isl "Danish"-adjective-eng
"dapur"-adjective-isl "sad"-adjective-eng
"dapurlegur"-adjective-isl "bleak"-adjective-eng
"daufur"-adjective-isl "dim"-adjective-eng
"dauður"-adjective-isl "dead"-adjective-eng
"dimmblár"-adjective-isl "navy"-adjective-eng
"dimmur"-adjective-isl "dark"-adjective-eng
"djúpur"-adjective-isl "deep"-adjective-eng
"dreifður"-adjective-isl "scattered"-adjective-eng
"drengilegur"-adjective-isl "decent"-adjective-eng
"drjúgur"-adjective-isl "considerable"-adjective-eng
"drukkinn"-adjective-isl "drunk"-adjective-eng
"drungalegur"-adjective-isl "gloomy"-adjective-eng
"duglegur"-adjective-isl "hard-working"-adjective-eng
"dularfullur"-adjective-isl "mysterious"-adjective-eng
"dyggur"-adjective-isl "true"-adjective-eng
"dágóður"-adjective-isl "sizeable"-adjective-eng
"dáinn"-adjective-isl "dead"-adjective-eng
"dálítill"-adjective-isl "some"-adjective-eng
"dásamlegur"-adjective-isl "wonderful"-adjective-eng
"dæmdur"-adjective-isl "sentenced"-adjective-eng
"dæmigerður"-adjective-isl "typical"-adjective-eng
"dónalegur"-adjective-isl "rude"-adjective-eng
"dökkbrúnn"-adjective-isl "dark brown"-adjective-eng
"dökkhærður"-adjective-isl "dark-haired"-adjective-eng
"dökkur"-adjective-isl "dark"-adjective-eng
"dýr"-adjective-isl "expensive"-adjective-eng
"dýrmætur"-adjective-isl "valuable"-adjective-eng
"efnafræðilegur"-adjective-isl "chemical"-adjective-eng
"efnahagslegur"-adjective-isl "economic"-adjective-eng
"efnilegur"-adjective-isl "promising"-adjective-eng
"efnislegur"-adjective-isl "material"-adjective-eng
"efri"-adjective-isl "upper"-adjective-eng
"eftirfarandi"-adjective-isl "following"-adjective-eng
"eftirminnilegur"-adjective-isl "memorable"-adjective-eng
"eftirsóttur"-adjective-isl "in demand"-adjective-eng
"eiginlegur"-adjective-isl "natural"-adjective-eng
"eiginn"-adjective-isl "own"-adjective-eng
"eilífur"-adjective-isl "eternal"-adjective-eng
"einangraður"-adjective-isl "isolated"-adjective-eng
"einasti"-adjective-isl "only"-adjective-eng
"einbeittur"-adjective-isl "focused"-adjective-eng
"einfaldur"-adjective-isl "simple"-adjective-eng
"einhliða"-adjective-isl "one-sided"-adjective-eng
"einhverskonar"-adjective-isl "some kind of"-adjective-eng
"einkennilegur"-adjective-isl "strange"-adjective-eng
"einlitur"-adjective-isl "monochrome"-adjective-eng
"einlægur"-adjective-isl "sincere"-adjective-eng
"einmana"-adjective-isl "lonely"-adjective-eng
"einskonar"-adjective-isl "some kind of"-adjective-eng
"einstakur"-adjective-isl "unique"-adjective-eng
"eintyngdur"-adjective-isl "monolingual"-adjective-eng
"eintómur"-adjective-isl "sheer"-adjective-eng
"eldrauður"-adjective-isl "bright red"-adjective-eng
"elskulegur"-adjective-isl "adorable"-adjective-eng
"endalaus"-adjective-isl "endless"-adjective-eng
"fíkniefnalaus"-adjective-isl "drug-free"-adjective-eng
"endanlegur"-adjective-isl "final"-adjective-eng
"endilangur"-adjective-isl "longwise"-adjective-eng
"enskur"-adjective-isl "English"-adjective-eng
"skoskur"-adjective-isl "Scottish"-adjective-eng
"ergilegur"-adjective-isl "irritable"-adjective-eng
"erlendur"-adjective-isl "foreign"-adjective-eng
"evrópskur"-adjective-isl "European"-adjective-eng
"eðlilegur"-adjective-isl "normal"-adjective-eng
"faglegur"-adjective-isl "professional"-adjective-eng
"fagur"-adjective-isl "beautiful"-adjective-eng
"fallinn"-adjective-isl "fallen"-adjective-eng
"falskur"-adjective-isl "false"-adjective-eng
"farinn"-adjective-isl "gone"-adjective-eng
"farsæll"-adjective-isl "successful"-adjective-eng
"fastur"-adjective-isl "firm"-adjective-eng
"fatlaður"-adjective-isl "disabled"-adjective-eng
"feginn"-adjective-isl "relieved"-adjective-eng
"feiminn"-adjective-isl "shy"-adjective-eng
"feitur"-adjective-isl "fat"-adjective-eng
"felldur"-adjective-isl "collapsed"-adjective-eng
"ferskur"-adjective-isl "fresh"-adjective-eng
"fjandsamlegur"-adjective-isl "hostile"-adjective-eng
"fjarlægur"-adjective-isl "distant"-adjective-eng
"fjárhagslegur"-adjective-isl "financial"-adjective-eng
"fjólublár"-adjective-isl "purple"-adjective-eng
"fjölbreytilegur"-adjective-isl "diverse"-adjective-eng
"fjölbreyttur"-adjective-isl "varied"-adjective-eng
"fjölmargur"-adjective-isl "numerous"-adjective-eng
"fjölmennur"-adjective-isl "crowded"-adjective-eng
"fjöltyngdur"-adjective-isl "multilingual"-adjective-eng
"fjölþjóðlegur"-adjective-isl "multinational"-adjective-eng
"flatur"-adjective-isl "flat"-adjective-eng
"fleygur"-adjective-isl "fledged"-adjective-eng
"flissandi"-adjective-isl "giggling"-adjective-eng
"fljótandi"-adjective-isl "floating"-adjective-eng
"fljótur"-adjective-isl "fast"-adjective-eng
"flottur"-adjective-isl "cool"-adjective-eng
"flottur"-adjective-isl "smart"-adjective-eng
"flöktandi"-adjective-isl "flickering"-adjective-eng
"formlegur"-adjective-isl "formal"-adjective-eng
"forn"-adjective-isl "old"-adjective-eng
"forvitinn"-adjective-isl "curious"-adjective-eng
"forviða"-adjective-isl "puzzled"-adjective-eng
"framandi"-adjective-isl "exotic"-adjective-eng
"framangreindur"-adjective-isl "above-mentioned"-adjective-eng
"franskur"-adjective-isl "french"-adjective-eng
"frekur"-adjective-isl "demanding"-adjective-eng
"tímafrekur"-adjective-isl "time consuming"-adjective-eng
"fremri"-adjective-isl "superior"-adjective-eng
"friðsamlegur"-adjective-isl "peaceful"-adjective-eng
"friðsæll"-adjective-isl "peaceful"-adjective-eng
"frjálslyndur"-adjective-isl "liberal"-adjective-eng
"frumlegur"-adjective-isl "original"-adjective-eng
"frumstæður"-adjective-isl "primitive"-adjective-eng
"frábrugðinn"-adjective-isl "different"-adjective-eng
"frábær"-adjective-isl "great"-adjective-eng
"fráleitur"-adjective-isl "absurd"-adjective-eng
"frægur"-adjective-isl "famous"-adjective-eng
"fræðilegur"-adjective-isl "technical"-adjective-eng
"fríður"-adjective-isl "beautiful"-adjective-eng
"fróðlegur"-adjective-isl "informative"-adjective-eng
"fullkominn"-adjective-isl "perfect"-adjective-eng
"fullkunnugur"-adjective-isl "completely familiar"-adjective-eng
"fullorðinn"-adjective-isl "adult"-adjective-eng
"fullreistur"-adjective-isl "fully erect"-adjective-eng
"fullur"-adjective-isl "full"-adjective-eng
"að fullur"-adjective-isl "in full"-adjective-eng
"furðulegur"-adjective-isl "odd"-adjective-eng
"fundinn"-adjective-isl "found"-adjective-eng
"fyndinn"-adjective-isl "funny"-adjective-eng
"fyrir langa löngu"-adjective-isl "a very long time ago"-adjective-eng
"fyrir löngu"-adjective-isl "a long time ago"-adjective-eng
"fyrir margt löngu"-adjective-isl "a very long time ago"-adjective-eng
"fyrirhugaður"-adjective-isl "intended"-adjective-eng
"fyrri"-adjective-isl "former"-adjective-eng
"fyrrnefndur"-adjective-isl "forenamed"-adjective-eng
"fyrrverandi"-adjective-isl "former"-adjective-eng
"fáanlegur"-adjective-isl "available"-adjective-eng
"fágaður"-adjective-isl "sophisticated"-adjective-eng
"fáránlegur"-adjective-isl "ridiculous"-adjective-eng
"fátæklegur"-adjective-isl "skimpy"-adjective-eng
"fátækur"-adjective-isl "poor"-adjective-eng
"fæddur"-adjective-isl "born"-adjective-eng
"fær"-adjective-isl "able"-adjective-eng
"færeyskur"-adjective-isl "Faroese"-adjective-eng
"félagslegur"-adjective-isl "social"-adjective-eng
"fíngerður"-adjective-isl "fine"-adjective-eng
"fínn"-adjective-isl "fine"-adjective-eng
"fölur"-adjective-isl "pale"-adjective-eng
"fúll"-adjective-isl "grumpy"-adjective-eng
"gagnlegur"-adjective-isl "useful"-adjective-eng
"gamaldags"-adjective-isl "outdated"-adjective-eng
"gamall"-adjective-isl "old"-adjective-eng
"gamall"-adjective-isl "old"-adjective-eng
"gefinn"-adjective-isl "given"-adjective-eng
"gerður"-adjective-isl "made"-adjective-eng
"geysilegur"-adjective-isl "enormous"-adjective-eng
"giftur"-adjective-isl "married"-adjective-eng
"gildur"-adjective-isl "valid"-adjective-eng
"glansandi"-adjective-isl "shiny"-adjective-eng
"glataður"-adjective-isl "lost"-adjective-eng
"glaðlegur"-adjective-isl "cheerful"-adjective-eng
"glaður"-adjective-isl "happy"-adjective-eng
"gljáandi"-adjective-isl "glossy"-adjective-eng
"glottandi"-adjective-isl "grinning"-adjective-eng
"glæsilegur"-adjective-isl "magnificent"-adjective-eng
"glöggur"-adjective-isl "perceptive"-adjective-eng
"gotneskur"-adjective-isl "Gothic"-adjective-eng
"grafinn"-adjective-isl "buried"-adjective-eng
"grafkyrr"-adjective-isl "unmoving"-adjective-eng
"grafískur"-adjective-isl "graphic"-adjective-eng
"gramur"-adjective-isl "resentful"-adjective-eng
"greindur"-adjective-isl "intelligent"-adjective-eng
"greinilegur"-adjective-isl "apparent"-adjective-eng
"grimmur"-adjective-isl "cruel"-adjective-eng
"grænn"-adjective-isl "green"-adjective-eng
"grískur"-adjective-isl "Greek"-adjective-eng
"gríðarlegur"-adjective-isl "enormous"-adjective-eng
"grófur"-adjective-isl "coarse"-adjective-eng
"gróinn"-adjective-isl "healed"-adjective-eng
"gullinn"-adjective-isl "golden"-adjective-eng
"gulur"-adjective-isl "yellow"-adjective-eng
"gylltur"-adjective-isl "golden"-adjective-eng
"gáfaður"-adjective-isl "intelligent"-adjective-eng
"gífurlegur"-adjective-isl "massive"-adjective-eng
"góður"-adjective-isl "good"-adjective-eng
"göfugur"-adjective-isl "noble"-adjective-eng
"hagkvæmur"-adjective-isl "economic"-adjective-eng
"hagnýtur"-adjective-isl "practical"-adjective-eng
"hagstæður"-adjective-isl "favourable"-adjective-eng
