"ja"-coordinatingConjunction-sme "og"-coordinatingConjunction-nob
"fárus"-postposition-sme "med"-preposition-nob
"fárrui"-postposition-sme "med"-preposition-nob
"gaskal"-preposition-sme "mellom"-preposition-nob
"gaskka"-postposition-sme "mellom"-preposition-nob
"gaskkal"-preposition-sme "mellom"-preposition-nob
"gasku"-postposition-sme "midt i"-preposition-nob
"gasku"-preposition-sme "midt i"-preposition-nob
"geahčen"-postposition-sme "hos"-preposition-nob
"geahčen"-postposition-sme "om"-preposition-nob
"geažes"-preposition-sme "om"-preposition-nob
"geažes"-postposition-sme "om"-preposition-nob
"geažil"-preposition-sme "på grunn av"-preposition-nob
"geažil"-postposition-sme "på grunn av"-preposition-nob
"guoras"-postposition-sme "ved siden av"-preposition-nob
"guoras"-adverb-sme "ved siden av"-adverb-nob
"guovdu"-adverb-sme "midt på"-adverb-nob
"guovdu"-postposition-sme "midt på"-preposition-nob
"guovdu"-preposition-sme "midt på"-preposition-nob
"haga"-adverb-sme "uten"-adverb-nob
"haga"-postposition-sme "uten"-preposition-nob
"hárrái"-postposition-sme "vedrørende"-preposition-nob
"hárrái"-preposition-sme "vedrørende"-preposition-nob
"lahka"-postposition-sme "nær"-preposition-nob
"lahka"-preposition-sme "nær"-preposition-nob
"luhtte"-postposition-sme "hos"-preposition-nob
"luhtte"-adverb-sme "ved"-adverb-nob
"lusa"-postposition-sme "til"-preposition-nob
"maŋis"-postposition-sme "bak"-preposition-nob
"maŋis"-postposition-sme "etter"-preposition-nob
"maŋŋá"-postposition-sme "etter"-preposition-nob
"maŋŋái"-postposition-sme "etter"-preposition-nob
"maŋŋel"-postposition-sme "etter"-preposition-nob
"maŋŋel"-preposition-sme "etter"-preposition-nob
"meattá"-postposition-sme "forbi"-preposition-nob
"meattá"-preposition-sme "forbi"-preposition-nob
"meaddil"-postposition-sme "forbi"-preposition-nob
"meaddil"-preposition-sme "forbi"-preposition-nob
"meaddil"-adverb-sme "forbi"-adverb-nob
"miehtá"-preposition-sme "i hele"-preposition-nob
"miehtá"-preposition-sme "over"-preposition-nob
"miehtá"-preposition-sme "fra hele"-preposition-nob
"miehtá"-preposition-sme "langs"-preposition-nob
"miehtá"-postposition-sme "over"-preposition-nob
"mielde"-postposition-sme "i følge"-preposition-nob
"mielde"-postposition-sme "i løpet av"-preposition-nob
"mielde"-postposition-sme "etter"-preposition-nob
"mielde"-postposition-sme "med"-preposition-nob
"mielde"-postposition-sme "langs"-preposition-nob
"mielde"-adverb-sme "med"-adverb-nob
"gaskkas"-postposition-sme "mellom"-preposition-nob
"gaskkas"-postposition-sme "blant"-preposition-nob
"olggobealde"-postposition-sme "utenfor"-preposition-nob
"olggobealde"-preposition-sme "utenfor"-preposition-nob
"ovdal"-postposition-sme "før"-preposition-nob
"ovdal"-preposition-sme "før"-preposition-nob
"ovdal"-subordinatingConjunction-sme "før"-subordinatingConjunction-nob
"ovddabealde"-postposition-sme "foran"-preposition-nob
"ovddabealde"-preposition-sme "foran"-preposition-nob
"ovddabeale"-preposition-sme "foran"-preposition-nob
"ovddabeale"-postposition-sme "foran"-preposition-nob
"ovddabeale"-adverb-sme "foran"-adverb-nob
"ovddabeallai"-postposition-sme "foran"-preposition-nob
"ovddabeallai"-preposition-sme "foran"-preposition-nob
"ovddabeallai"-adverb-sme "foran"-adverb-nob
"ovddal"-postposition-sme "før"-preposition-nob
"ovddal"-adverb-sme "før"-adverb-nob
"ovdii"-postposition-sme "for"-preposition-nob
"rádjai"-postposition-sme "til"-preposition-nob
"ráje"-postposition-sme "som"-preposition-nob
"rájes"-postposition-sme "fra"-preposition-nob
"rastá"-postposition-sme "over"-preposition-nob
"rastá"-preposition-sme "over"-preposition-nob
"sisa"-postposition-sme "inn i"-preposition-nob
"sisa"-postposition-sme "innen"-preposition-nob
"siskkobealde"-postposition-sme "innenfor"-preposition-nob
"siskkobealde"-preposition-sme "innenfor"-preposition-nob
"siskkobealde"-adverb-sme "innenfor"-adverb-nob
"siskkobeallai"-postposition-sme "innenfor"-preposition-nob
"siskkobeallai"-preposition-sme "innenfor"-preposition-nob
"siskkobeallai"-adverb-sme "innenfor"-adverb-nob
"várás"-postposition-sme "for"-preposition-nob
"váste"-postposition-sme "for"-preposition-nob
"vuođul"-postposition-sme "i henhold til"-preposition-nob
"vuođul"-postposition-sme "på grunn av"-preposition-nob
"vuođul"-postposition-sme "på grunnlag av"-preposition-nob
"vuolábealde"-postposition-sme "nedenfor"-preposition-nob
"vuolábealde"-preposition-sme "nedenfor"-preposition-nob
"vuolábealde"-adverb-sme "nedenfor"-adverb-nob
"vulobeale"-postposition-sme "under"-preposition-nob
"vulobeale"-preposition-sme "under"-preposition-nob
"vulobeale"-adverb-sme "under"-adverb-nob
"vulobealde"-postposition-sme "under"-preposition-nob
"vulobealde"-preposition-sme "under"-preposition-nob
"vulobealde"-adverb-sme "under"-adverb-nob
"vuollel"-postposition-sme "under"-preposition-nob
"vuollel"-preposition-sme "under"-preposition-nob
"vuollil"-postposition-sme "under"-preposition-nob
"vuollil"-preposition-sme "under"-preposition-nob
"vuollil"-adverb-sme "under"-adverb-nob
"vuolde"-postposition-sme "under"-preposition-nob
"vuolde"-adverb-sme "under"-adverb-nob
"veardde"-postposition-sme "grad"-preposition-nob
"veardde"-preposition-sme "grad"-preposition-nob
"vuollai"-adverb-sme "under"-adverb-nob
"vuollai"-postposition-sme "under"-preposition-nob
"vuostá"-postposition-sme "mot"-preposition-nob
"vuostá"-preposition-sme "mot"-preposition-nob
"vuostá"-adverb-sme "mot"-adverb-nob
"vuostá"-adverb-sme "i mot"-adverb-nob
"vuostái"-postposition-sme "mot"-preposition-nob
"vuostái"-preposition-sme "mot"-preposition-nob
"vuostái"-adverb-sme "mot"-adverb-nob
"loahpageahčen"-postposition-sme "i slutten"-preposition-nob
"loahpageahčen"-preposition-sme "i slutten"-preposition-nob
"loahpageahčen"-adverb-sme "i slutten"-adverb-nob
"searvvis"-postposition-sme "blant"-preposition-nob
"searvái"-postposition-sme "blant"-preposition-nob
"miel"-postposition-sme "med"-preposition-nob
"galju"-postposition-sme "vid"-adverb-nob
"oktan"-adverb-sme "sammen med"-preposition-nob
"čađa gaskka"-adverb-sme "hele tiden"-adverb-nob
"njuoskkasnaga"-adverb-sme "våt"-adverb-nob
"vuostten"-adverb-sme "ennå"-adverb-nob
"nabai"-adverb-sme "enn"-adverb-nob
"mun"-pronoun-sme "jeg"-pronoun-nob
"don"-pronoun-sme "du"-pronoun-nob
"son"-pronoun-sme "han"-pronoun-nob
"son"-pronoun-sme "han"-pronoun-nob
"son"-pronoun-sme "hun"-pronoun-nob
"mun"-pronoun-sme "vi"-pronoun-nob
"don"-pronoun-sme "dere"-pronoun-nob
"son"-pronoun-sme "de"-pronoun-nob
"mun"-pronoun-sme "vi"-pronoun-nob
"don"-pronoun-sme "dere"-pronoun-nob
"son"-pronoun-sme "de"-pronoun-nob
"dat"-pronoun-sme "den"-pronoun-nob
"dat"-pronoun-sme "den"-pronoun-nob
"dat"-pronoun-sme "de"-pronoun-nob
"dat"-pronoun-sme "den"-pronoun-nob
"dat"-pronoun-sme "den"-pronoun-nob
"dat"-pronoun-sme "de"-pronoun-nob
"mun"-pronoun-sme "jeg"-pronoun-nob
"don"-pronoun-sme "du"-pronoun-nob
"son"-pronoun-sme "han"-pronoun-nob
"mii"-pronoun-sme "hva"-pronoun-nob
"gii"-pronoun-sme "hvem"-pronoun-nob
"goabbá"-pronoun-sme "hvem av de to"-pronoun-nob
"goabbá"-pronoun-sme "hvilken av de to"-pronoun-nob
"makkár"-pronoun-sme "hvilken"-determiner-nob
"guhte"-pronoun-sme "hva"-pronoun-nob
"guhte"-pronoun-sme "hvem"-pronoun-nob
"guhte"-pronoun-sme "hvilken"-pronoun-nob
"guhtemuš"-pronoun-sme "hvilken"-pronoun-nob
"veháš"-pronoun-sme "noe"-pronoun-nob
"guhte"-pronoun-sme "som"-subordinatingConjunction-nob
"guhtemuš"-pronoun-sme "som"-subordinatingConjunction-nob
"goabbá"-pronoun-sme "som"-subordinatingConjunction-nob
"gii"-pronoun-sme "som"-subordinatingConjunction-nob
"gii"-pronoun-sme "som"-subordinatingConjunction-nob
"gii"-pronoun-sme "hvem"-pronoun-nob
"gii"-pronoun-sme "hvem"-pronoun-nob
"gii"-pronoun-sme "hvis"-subordinatingConjunction-nob
"gii"-pronoun-sme "hvis"-subordinatingConjunction-nob
"gii"-pronoun-sme "som"-subordinatingConjunction-nob
"gii"-pronoun-sme "som"-subordinatingConjunction-nob
"gii"-pronoun-sme "av hvem"-subordinatingConjunction-nob
"gii"-pronoun-sme "av hvem"-subordinatingConjunction-nob
"gii"-pronoun-sme "til hvem"-subordinatingConjunction-nob
"gii"-pronoun-sme "til hvem"-subordinatingConjunction-nob
"gii"-pronoun-sme "med hvem"-subordinatingConjunction-nob
"gii"-pronoun-sme "med hvem"-subordinatingConjunction-nob
"mii"-pronoun-sme "til hvilke"-subordinatingConjunction-nob
"mii"-pronoun-sme "til hvilket"-subordinatingConjunction-nob
"mii"-pronoun-sme "som"-subordinatingConjunction-nob
"mii"-pronoun-sme "hvis"-subordinatingConjunction-nob
"mii"-pronoun-sme "hvilken"-pronoun-nob
"mii"-pronoun-sme "hvor"-subordinatingConjunction-nob
"mii"-pronoun-sme "hvor"-subordinatingConjunction-nob
"mii"-pronoun-sme "som"-subordinatingConjunction-nob
"mii"-pronoun-sme "som"-subordinatingConjunction-nob
"mii"-pronoun-sme "som"-subordinatingConjunction-nob
"mii"-pronoun-sme "hva"-subordinatingConjunction-nob
"mii"-pronoun-sme "hvor"-subordinatingConjunction-nob
"mii"-pronoun-sme "hva som"-subordinatingConjunction-nob
"juoga"-pronoun-sme "noe"-determiner-nob
"buot"-pronoun-sme "all"-determiner-nob
"buohkat"-pronoun-sme "all"-determiner-nob
"muhtin"-pronoun-sme "noe"-determiner-nob
"muhtin"-pronoun-sme "en"-determiner-nob
"muhtun"-pronoun-sme "noe"-determiner-nob
"muhtun"-pronoun-sme "en"-determiner-nob
"gii"-pronoun-sme "noe"-determiner-nob
"eará"-pronoun-sme "annen"-determiner-nob
"nubbi"-pronoun-sme "annen"-determiner-nob
"nubbi"-pronoun-sme "andre"-adjective-nob
"nubbi"-pronoun-sme "ene"-adverb-nob
"nubbi"-pronoun-sme "den ene sin"-determiner-nob
"nubbi"-pronoun-sme "den andre sin"-determiner-nob
"veaháš"-pronoun-sme "litt"-adjective-nob
"moanat"-pronoun-sme "noe"-pronoun-nob
"siste"-postposition-sme "i"-preposition-nob
"njeaiga"-postposition-sme "mot"-preposition-nob
"njeaiga"-postposition-sme "på"-preposition-nob
"ektui"-postposition-sme "mot"-preposition-nob
"ektui"-postposition-sme "for"-preposition-nob
"ektui"-postposition-sme "sammenlignet med"-preposition-nob
"beallai"-postposition-sme "siden"-adverb-nob
"ovddas"-postposition-sme "for"-preposition-nob
"veagas"-postposition-sme "for"-preposition-nob
"bealde"-preposition-sme "siden"-adverb-nob
"bealde"-postposition-sme "siden"-adverb-nob
"bealde"-adverb-sme "siden"-adverb-nob
"iežá"-pronoun-sme "annen"-determiner-nob
"nammii"-postposition-sme "for"-preposition-nob
"geahčai"-postposition-sme "hos"-preposition-nob
"geahčai"-preposition-sme "hos"-preposition-nob
"guora"-postposition-sme "langs"-preposition-nob
"aistton"-preposition-sme "ifølge"-preposition-nob
"aistton"-adverb-sme "ifølge"-adverb-nob
"aisttan"-preposition-sme "ifølge"-preposition-nob
"aisttan"-adverb-sme "ifølge"-adverb-nob
"badjebealde"-preposition-sme "ifølge"-preposition-nob
"badjebealde"-postposition-sme "ifølge"-preposition-nob
"badjelačča"-preposition-sme "over"-preposition-nob
"badjelačča"-postposition-sme "over"-preposition-nob
"badjelaččas"-preposition-sme "over"-preposition-nob
"badjelaččas"-postposition-sme "over"-preposition-nob
"badjelažžii"-preposition-sme "over"-preposition-nob
"badjelažžii"-postposition-sme "over"-preposition-nob
"badjeliidda"-preposition-sme "over"-preposition-nob
"badjeliidda"-postposition-sme "over"-preposition-nob
"badjelis"-preposition-sme "ovenfor"-preposition-nob
"badjelis"-postposition-sme "ovenfor"-preposition-nob
"seammá"-pronoun-sme "samme"-determiner-nob
"mii"-pronoun-sme "hva"-determiner-nob
"gii"-pronoun-sme "hvem"-determiner-nob
"juohke"-pronoun-sme "hver"-determiner-nob
"juohke"-pronoun-sme "all"-determiner-nob
"olus"-pronoun-sme "mange"-determiner-nob
"guhtet"-pronoun-sme "hver"-determiner-nob
"gallát"-pronoun-sme "hvilken"-determiner-nob
"goabbat"-pronoun-sme "hver"-determiner-nob
"gallis"-pronoun-sme "mange"-determiner-nob
"ollugat"-pronoun-sme "mange"-determiner-nob
"eatnagat"-pronoun-sme "mange"-determiner-nob
"gallis"-pronoun-sme "noe"-determiner-nob
"juohkehaš"-pronoun-sme "enhver"-determiner-nob
"mihkke"-pronoun-sme "noe"-determiner-nob
"soames"-pronoun-sme "noe"-determiner-nob
"vaikko makkár"-pronoun-sme "enhver"-determiner-nob
"vaikko makkár"-pronoun-sme "uansett hva"-determiner-nob
"feara mii"-pronoun-sme "en eller annen"-determiner-nob
"feara gii"-pronoun-sme "en eller annen"-determiner-nob
"gii nu"-pronoun-sme "hvem som helst"-determiner-nob
"makkár nu"-pronoun-sme "hva slags som helst"-determiner-nob
"makkáraš"-pronoun-sme "hva slags"-determiner-nob
"okta"-pronoun-sme "noe"-determiner-nob
"goabbá"-pronoun-sme "noe"-determiner-nob
"eanaš"-pronoun-sme "de fleste"-determiner-nob
"eanas"-pronoun-sme "de fleste"-determiner-nob
"galle"-pronoun-sme "så mange"-determiner-nob
"iešguhtet"-pronoun-sme "forskjellig"-determiner-nob
"iešguhtet"-pronoun-sme "ulik"-determiner-nob
"iešguđet"-pronoun-sme "forskjellig"-determiner-nob
"iešguđet"-pronoun-sme "ulik"-determiner-nob
"guhte"-pronoun-sme "hver"-determiner-nob
"iešguhte"-pronoun-sme "hver"-determiner-nob
"iešguhte"-pronoun-sme "forskjellig"-determiner-nob
"iešguhte"-pronoun-sme "ulik"-determiner-nob
"guhte"-pronoun-sme "noen"-noun-nob
"makkár"-pronoun-sme "noe slags"-determiner-nob
"dat"-pronoun-sme "den"-determiner-nob
"dat"-pronoun-sme "den"-determiner-nob
"dat"-pronoun-sme "denne"-determiner-nob
"dakkár"-pronoun-sme "slik"-determiner-nob
"dakkár"-pronoun-sme "noe slik"-determiner-nob
"dákkár"-pronoun-sme "slik"-determiner-nob
"duokkár"-pronoun-sme "slik"-determiner-nob
"dát"-pronoun-sme "denne"-determiner-nob
"dát"-pronoun-sme "nå"-adverb-nob
"diekkár"-pronoun-sme "slik"-determiner-nob
"diet"-pronoun-sme "denne"-determiner-nob
"duot"-pronoun-sme "den"-determiner-nob
"dot"-pronoun-sme "den"-determiner-nob
"guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"goabbat"-pronoun-sme "hverandre"-pronoun-nob
"nubbi"-pronoun-sme "hverandre"-pronoun-nob
"nubbi"-pronoun-sme "hverandre"-pronoun-nob
"nubbi"-pronoun-sme "hverandre"-pronoun-nob
"guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"guhtet guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"guhtet guoibmi"-pronoun-sme "hverandre"-pronoun-nob
"okta"-pronoun-sme "én"-pronoun-nob
"lohki"-pronoun-sme "ti"-pronoun-nob
"máŋggas"-noun-sme "mange personer"-noun-nob
"máŋgalogis"-noun-sme "flere titalls personer"-noun-nob
"čuohti"-pronoun-sme "hundre"-pronoun-nob
"čuođi"-pronoun-sme "hundre"-pronoun-nob
"čuođát"-adjective-sme "hundrede"-adjective-nob
"nuppelohkáičuođi"-pronoun-sme "elleve hundre"-pronoun-nob
"nuppelohkáičuohti"-pronoun-sme "elleve hundre"-pronoun-nob
"nuppelotčuođi"-pronoun-sme "elleve hundre"-pronoun-nob
"nuppelotčuohti"-pronoun-sme "elleve hundre"-pronoun-nob
"duhát"-pronoun-sme "tusen"-pronoun-nob
"oktaduhát"-pronoun-sme "et tusen"-pronoun-nob
"guokteduhát"-pronoun-sme "to tusen"-pronoun-nob
"nubbeduhát"-pronoun-sme "to tusen"-pronoun-nob
"golbmaduhát"-pronoun-sme "tre tusen"-pronoun-nob
"njealljeduhát"-pronoun-sme "fire tusen"-pronoun-nob
"vihttaduhát"-pronoun-sme "fem tusen"-pronoun-nob
"guhttaduhát"-pronoun-sme "seks tusen"-pronoun-nob
"giežaduhát"-pronoun-sme "sju tusen"-pronoun-nob
"čiežaduhát"-pronoun-sme "sju tusen"-pronoun-nob
"gávcciduhát"-pronoun-sme "åtte tusen"-pronoun-nob
"ovcciduhát"-pronoun-sme "ni tusen"-pronoun-nob
"duháhat"-adjective-sme "tusende"-adjective-nob
"oktaduháhat"-adjective-sme "et tusende"-adjective-nob
"guokteduháhat"-adjective-sme "to tusende"-adjective-nob
"nubbeduháhat"-adjective-sme "to tusende"-adjective-nob
"golbmaduháhat"-adjective-sme "tre tusende"-adjective-nob
"njealljeduháhat"-adjective-sme "fire tusende"-adjective-nob
"vihttaduháhat"-adjective-sme "fem tusende"-adjective-nob
"guhttaduháhat"-adjective-sme "seks tusende"-adjective-nob
"giežaduháhat"-adjective-sme "sju tusende"-adjective-nob
"čiežaduháhat"-adjective-sme "sju tusende"-adjective-nob
