"av"-preposition-swe "af"-preposition-dan
"noll"-determiner-swe "nul"-determiner-dan
"en"-determiner-swe "en"-determiner-dan
"två"-determiner-swe "to"-determiner-dan
"tre"-determiner-swe "tre"-determiner-dan
"fyra"-determiner-swe "fire"-determiner-dan
"fem"-determiner-swe "fem"-determiner-dan
"sex"-determiner-swe "seks"-determiner-dan
"sju"-determiner-swe "syv"-determiner-dan
"åtta"-determiner-swe "otte"-determiner-dan
"nio"-determiner-swe "ni"-determiner-dan
"tio"-determiner-swe "ti"-determiner-dan
"elva"-determiner-swe "elleve"-determiner-dan
"tolv"-determiner-swe "tolv"-determiner-dan
"tretton"-determiner-swe "tretten"-determiner-dan
"fjorton"-determiner-swe "fjorten"-determiner-dan
"femton"-determiner-swe "femten"-determiner-dan
"sexton"-determiner-swe "seksten"-determiner-dan
"sjutton"-determiner-swe "sytten"-determiner-dan
"arton"-determiner-swe "atten"-determiner-dan
"nitton"-determiner-swe "nitten"-determiner-dan
"tjugo"-determiner-swe "tyve"-determiner-dan
"tjugoen"-determiner-swe "enogtyve"-determiner-dan
"tjugotvå"-determiner-swe "toogtyve"-determiner-dan
"tjugotre"-determiner-swe "treogtyve"-determiner-dan
"tjugofyra"-determiner-swe "fireogtyve"-determiner-dan
"tjugofem"-determiner-swe "femogtyve"-determiner-dan
"tjugosex"-determiner-swe "seksogtyve"-determiner-dan
"tjugosju"-determiner-swe "syvogtyve"-determiner-dan
"tjugoåtta"-determiner-swe "åtteogtyve"-determiner-dan
"tjugonio"-determiner-swe "niogtyve"-determiner-dan
"trettio"-determiner-swe "tredive"-determiner-dan
"trettioen"-determiner-swe "enogtredive"-determiner-dan
"trettiotvå"-determiner-swe "toogtredive"-determiner-dan
"trettiotre"-determiner-swe "treogtredive"-determiner-dan
"fyrtio"-determiner-swe "fyrre"-determiner-dan
"femtio"-determiner-swe "halvtreds"-determiner-dan
"sextio"-determiner-swe "tres"-determiner-dan
"sjuttio"-determiner-swe "halvfjerds"-determiner-dan
"åttio"-determiner-swe "firs"-determiner-dan
"nittio"-determiner-swe "halvfems"-determiner-dan
"etthundra"-determiner-swe "ethundrede"-determiner-dan
"tusen"-determiner-swe "tusind"-determiner-dan
"hundra"-determiner-swe "hundrede"-determiner-dan
"jag"-pronoun-swe "jeg"-pronoun-dan
"min"-possessivePronoun-swe "min"-possessivePronoun-dan
"du"-pronoun-swe "du"-pronoun-dan
"din"-possessivePronoun-swe "din"-possessivePronoun-dan
"hon"-pronoun-swe "hun"-pronoun-dan
"hennes"-possessivePronoun-swe "hendes"-possessivePronoun-dan
"han"-pronoun-swe "han"-pronoun-dan
"hans"-possessivePronoun-swe "hans"-possessivePronoun-dan
"hen"-pronoun-swe "hun"-pronoun-dan
"hens"-possessivePronoun-swe "hendes"-possessivePronoun-dan
"hens"-possessivePronoun-swe "hans"-possessivePronoun-dan
"hen"-pronoun-swe "han"-pronoun-dan
"den"-pronoun-swe "den"-pronoun-dan
"dens"-possessivePronoun-swe "dens"-possessivePronoun-dan
"dess"-possessivePronoun-swe "dets"-possessivePronoun-dan
"vi"-pronoun-swe "vi"-pronoun-dan
"vår"-possessivePronoun-swe "vores"-possessivePronoun-dan
"ni"-pronoun-swe "i"-pronoun-dan
"er"-possessivePronoun-swe "jeres"-possessivePronoun-dan
"de"-pronoun-swe "de"-pronoun-dan
"deras"-possessivePronoun-swe "deres"-possessivePronoun-dan
"sig"-pronoun-swe "sig"-pronoun-dan
"sin"-possessivePronoun-swe "sin"-possessivePronoun-dan
"man"-pronoun-swe "man"-pronoun-dan
"ens"-possessivePronoun-swe "ens"-possessivePronoun-dan
"varandra"-pronoun-swe "hinanden"-pronoun-dan
"varandras"-possessivePronoun-swe "hinandens"-possessivePronoun-dan
"varann"-pronoun-swe "hinanden"-pronoun-dan
"varanns"-possessivePronoun-swe "hinandens"-possessivePronoun-dan
"allihop"-pronoun-swe "allesammen"-pronoun-dan
"allihops"-possessivePronoun-swe "allesammens"-possessivePronoun-dan
"alltihop"-pronoun-swe "altsammen"-pronoun-dan
"alltihops"-possessivePronoun-swe "altsammens"-possessivePronoun-dan
"allting"-pronoun-swe "alting"-pronoun-dan
"alltings"-possessivePronoun-swe "altings"-possessivePronoun-dan
"båda"-pronoun-swe "begge"-pronoun-dan
"bådas"-possessivePronoun-swe "begges"-possessivePronoun-dan
"envar"-pronoun-swe "enhver"-pronoun-dan
"envars"-possessivePronoun-swe "enhvers"-possessivePronoun-dan
"mandrom"-pronoun-swe "man"-pronoun-dan
"undertecknad"-pronoun-swe "undertegnede"-pronoun-dan
"författaren"-pronoun-swe "forfatteren"-pronoun-dan
"intet"-pronoun-swe "intet"-pronoun-dan
"ingenting"-pronoun-swe "ingenting"-pronoun-dan
"någonting"-pronoun-swe "nogen"-pronoun-dan
"somlig"-pronoun-swe "nogen"-pronoun-dan
"någon"-pronoun-swe "nogen"-pronoun-dan
"själv"-pronoun-swe "selv"-pronoun-dan
"enda"-pronoun-swe "eneste"-pronoun-dan
"sån"-pronoun-swe "sådan"-pronoun-dan
"varannan"-pronoun-swe "hver anden"-pronoun-dan
"varenda"-pronoun-swe "hver eneste"-pronoun-dan
"all"-pronoun-swe "al"-pronoun-dan
"samma"-pronoun-swe "samme"-pronoun-dan
"annan"-pronoun-swe "anden"-pronoun-dan
"ingen"-pronoun-swe "ingen"-pronoun-dan
"vilken"-pronoun-swe "hvilken"-pronoun-dan
"varje"-pronoun-swe "hver"-pronoun-dan
"vardera"-pronoun-swe "hver"-pronoun-dan
"dem"-pronoun-swe "dem"-pronoun-dan
"denna"-pronoun-swe "denne"-pronoun-dan
"densamma"-pronoun-swe "den samme"-pronoun-dan
"dessa"-pronoun-swe "disse"-pronoun-dan
"detta"-pronoun-swe "denne"-pronoun-dan
"vars"-pronoun-swe "hvis"-pronoun-dan
"vad"-pronoun-swe "hvad"-pronoun-dan
"vem"-pronoun-swe "hvem"-pronoun-dan
"en"-determiner-swe "en"-determiner-dan
"den"-determiner-swe "den"-determiner-dan
"denna"-determiner-swe "denne"-determiner-dan
"varje"-determiner-swe "hver"-determiner-dan
"flera"-determiner-swe "flere"-determiner-dan
"flest"-determiner-swe "flest"-determiner-dan
"ingen"-determiner-swe "ingen"-determiner-dan
"någon"-determiner-swe "nogen"-determiner-dan
"eller"-coordinatingConjunction-swe "eller"-coordinatingConjunction-dan
"men"-coordinatingConjunction-swe "men"-coordinatingConjunction-dan
"och"-coordinatingConjunction-swe "og"-coordinatingConjunction-dan
"samt"-coordinatingConjunction-swe "samt"-coordinatingConjunction-dan
"utan"-coordinatingConjunction-swe "uden"-coordinatingConjunction-dan
"både"-coordinatingConjunction-swe "både"-coordinatingConjunction-dan
"såväl"-coordinatingConjunction-swe "såvel som"-coordinatingConjunction-dan
"varken"-coordinatingConjunction-swe "hverken"-coordinatingConjunction-dan
"fast"-coordinatingConjunction-swe "men"-coordinatingConjunction-dan
"antingen"-subordinatingConjunction-swe "enten"-subordinatingConjunction-dan
"av"-subordinatingConjunction-swe "af"-subordinatingConjunction-dan
"då"-subordinatingConjunction-swe "da"-subordinatingConjunction-dan
"till"-subordinatingConjunction-swe "til"-subordinatingConjunction-dan
"efter"-subordinatingConjunction-swe "efter"-subordinatingConjunction-dan
"från"-subordinatingConjunction-swe "fra"-subordinatingConjunction-dan
"för"-subordinatingConjunction-swe "før"-subordinatingConjunction-dan
"medan"-subordinatingConjunction-swe "imens"-subordinatingConjunction-dan
"om"-subordinatingConjunction-swe "hvis"-subordinatingConjunction-dan
"just"-subordinatingConjunction-swe "netop"-subordinatingConjunction-dan
"till exempel"-subordinatingConjunction-swe "for eksempel"-subordinatingConjunction-dan
"när"-subordinatingConjunction-swe "da"-subordinatingConjunction-dan
"medan"-subordinatingConjunction-swe "mens"-subordinatingConjunction-dan
"eftersom"-subordinatingConjunction-swe "fordi"-subordinatingConjunction-dan
"emedan"-subordinatingConjunction-swe "fordi"-subordinatingConjunction-dan
"såsom"-subordinatingConjunction-swe "så som"-subordinatingConjunction-dan
"liksom"-subordinatingConjunction-swe "lige som"-subordinatingConjunction-dan
"eftersom"-subordinatingConjunction-swe "eftersom"-subordinatingConjunction-dan
"där"-subordinatingConjunction-swe "hvor"-subordinatingConjunction-dan
"att"-subordinatingConjunction-swe "at"-subordinatingConjunction-dan
"som"-subordinatingConjunction-swe "som"-subordinatingConjunction-dan
"för"-subordinatingConjunction-swe "for"-subordinatingConjunction-dan
"så"-subordinatingConjunction-swe "så"-subordinatingConjunction-dan
"ty"-subordinatingConjunction-swe "fordi"-subordinatingConjunction-dan
"ifall"-subordinatingConjunction-swe "hvis"-subordinatingConjunction-dan
"såvida"-subordinatingConjunction-swe "såfremt"-subordinatingConjunction-dan
"varvid"-subordinatingConjunction-swe "hvorved"-subordinatingConjunction-dan
"fast"-subordinatingConjunction-swe "skønt"-subordinatingConjunction-dan
"fastän"-subordinatingConjunction-swe "selv om"-subordinatingConjunction-dan
"såvitt"-subordinatingConjunction-swe "såfremt"-subordinatingConjunction-dan
"då"-subordinatingConjunction-swe "da"-subordinatingConjunction-dan
"sedan"-subordinatingConjunction-swe "siden"-subordinatingConjunction-dan
"där"-subordinatingConjunction-swe "der"-subordinatingConjunction-dan
"förrän"-subordinatingConjunction-swe "til"-subordinatingConjunction-dan
"förrän"-subordinatingConjunction-swe "før"-subordinatingConjunction-dan
"för att"-subordinatingConjunction-swe "for at"-subordinatingConjunction-dan
"abbedissa"-noun-swe "abbedisse"-noun-dan
"abborre"-noun-swe "aborre"-noun-dan
"abbot"-noun-swe "abbed"-noun-dan
"abdikation"-noun-swe "abdikation"-noun-dan
"aberration"-noun-swe "aberration"-noun-dan
"ablativ"-noun-swe "ablativ"-noun-dan
"abonnemang"-noun-swe "abonnement"-noun-dan
"addition"-noun-swe "addition"-noun-dan
"abort"-noun-swe "abort"-noun-dan
"abstraktion"-noun-swe "abstraktion"-noun-dan
"acceleration"-noun-swe "acceleration"-noun-dan
"accent"-noun-swe "accent"-noun-dan
"ackompanjemang"-noun-swe "akkompagnement"-noun-dan
"ackord"-noun-swe "akkord"-noun-dan
"ackusativ"-noun-swe "akkusativ"-noun-dan
"adel"-noun-swe "adel"-noun-dan
"adelskap"-noun-swe "adelskab"-noun-dan
"adjektiv"-noun-swe "tillægsord"-noun-dan
"adjektiv"-noun-swe "adjektiv"-noun-dan
"adjunkt"-noun-swe "adjunkt"-noun-dan
"adjutant"-noun-swe "adjudant"-noun-dan
"administration"-noun-swe "administration"-noun-dan
"administratör"-noun-swe "leder"-noun-dan
"administratör"-noun-swe "administrator"-noun-dan
"adoption"-noun-swe "adoption"-noun-dan
"adress"-noun-swe "adresse"-noun-dan
"adressändring"-noun-swe "adresseændring"-noun-dan
"adverb"-noun-swe "biord"-noun-dan
"adverbial"-noun-swe "adverbial"-noun-dan
"advent"-noun-swe "advent"-noun-dan
"advokat"-noun-swe "advokat"-noun-dan
"affix"-noun-swe "affiks"-noun-dan
"affär"-noun-swe "affære"-noun-dan
"affärsbrev"-noun-swe "forretningsbrev"-noun-dan
"affärsman"-noun-swe "forretningsmand"-noun-dan
"afghanska"-noun-swe "afghansk"-noun-dan
"agenda"-noun-swe "agenda"-noun-dan
"agent"-noun-swe "agent"-noun-dan
"agentur"-noun-swe "agentur"-noun-dan
"aggregat"-noun-swe "aggregat"-noun-dan
"akademi"-noun-swe "akademi"-noun-dan
"akronym"-noun-swe "akronym"-noun-dan
"akt"-noun-swe "akt"-noun-dan
"aktie"-noun-swe "aktie"-noun-dan
"aktiebolag"-noun-swe "aktieselskab"-noun-dan
"aktiebrev"-noun-swe "aktie"-noun-dan
"valfuktionär"-noun-swe "valgfunktionær"-noun-dan
"kandidat"-noun-swe "kandidat"-noun-dan
"lag"-noun-swe "lov"-noun-dan
"förmyndarskap"-noun-swe "formynderskab"-noun-dan
"administratör"-noun-swe "leder"-noun-dan
"administratör"-noun-swe "administrator"-noun-dan
"adoption"-noun-swe "adoption"-noun-dan
"adrenalin"-noun-swe "adrenalin"-noun-dan
"aktiekapital"-noun-swe "aktiekapital"-noun-dan
"aktieägare"-noun-swe "aktionær"-noun-dan
"aktris"-noun-swe "skuespillerinde"-noun-dan
"aktör"-noun-swe "skuespiller"-noun-dan
"akustik"-noun-swe "akustik"-noun-dan
"akutmottagning"-noun-swe "skadestue"-noun-dan
"akvarell"-noun-swe "akvarel"-noun-dan
"larm"-noun-swe "alarm"-noun-dan
"albanska"-noun-swe "albansk"-noun-dan
"album"-noun-swe "album"-noun-dan
"alfabet"-noun-swe "alfabet"-noun-dan
"algeriska"-noun-swe "algerisk"-noun-dan
"algoritm"-noun-swe "algoritme"-noun-dan
"alkohol"-noun-swe "alkohol"-noun-dan
"alkoholism"-noun-swe "alkoholisme"-noun-dan
"alkoholist"-noun-swe "alkoholiker"-noun-dan
"allergi"-noun-swe "allergi"-noun-dan
"allmänhet"-noun-swe "almenhed"-noun-dan
"allé"-noun-swe "allé"-noun-dan
"alm"-noun-swe "elm"-noun-dan
"almanacka"-noun-swe "kalender"-noun-dan
"altare"-noun-swe "alter"-noun-dan
"altarskåp"-noun-swe "alterskab"-noun-dan
"alternativ"-noun-swe "alternativ"-noun-dan
"aluminium"-noun-swe "aluminium"-noun-dan
"ambition"-noun-swe "ærgerrighed"-noun-dan
"ambition"-noun-swe "ambition"-noun-dan
"amerikan"-noun-swe "amerikaner"-noun-dan
"amerikanska"-noun-swe "amerikansk"-noun-dan
"amfetamin"-noun-swe "amfetamin"-noun-dan
"aminosyra"-noun-swe "aminosyre"-noun-dan
"amiral"-noun-swe "admiral"-noun-dan
"ammoniak"-noun-swe "ammoniak"-noun-dan
"ammunition"-noun-swe "ammunition"-noun-dan
"amplitud"-noun-swe "amplitude"-noun-dan
"amt"-noun-swe "amt"-noun-dan
"analogi"-noun-swe "analogi"-noun-dan
"analys"-noun-swe "analyse"-noun-dan
"ananas"-noun-swe "ananas"-noun-dan
"anarki"-noun-swe "anarki"-noun-dan
"anarkism"-noun-swe "anarkisme"-noun-dan
"anarkist"-noun-swe "anarkist"-noun-dan
"anbud"-noun-swe "forslag"-noun-dan
"and"-noun-swe "and"-noun-dan
"anda"-noun-swe "ånd"-noun-dan
"andetag"-noun-swe "åndepust"-noun-dan
"andning"-noun-swe "åndedræt"-noun-dan
"anekdot"-noun-swe "anekdote"-noun-dan
"anemi"-noun-swe "anæmi"-noun-dan
"anfall"-noun-swe "overfald"-noun-dan
"angrepp"-noun-swe "angreb"-noun-dan
"anhang"-noun-swe "påhæng"-noun-dan
"aning"-noun-swe "anelse"-noun-dan
"aning"-noun-swe "formodning"-noun-dan
"anka"-noun-swe "and"-noun-dan
"ankare"-noun-swe "anker"-noun-dan
"ankel"-noun-swe "ankel"-noun-dan
"anknytning"-noun-swe "tilknytning"-noun-dan
"ankomst"-noun-swe "ankomst"-noun-dan
"anlag"-noun-swe "anlæg"-noun-dan
"anledning"-noun-swe "anledning"-noun-dan
"anledning"-noun-swe "grund"-noun-dan
"anlopp"-noun-swe "tilløb"-noun-dan
"anläggning"-noun-swe "facilitet"-noun-dan
"anmälning"-noun-swe "anmeldelse"-noun-dan
"anmärkning"-noun-swe "bemærkning"-noun-dan
"annex"-noun-swe "anneks"-noun-dan
"annons"-noun-swe "annonce"-noun-dan
"anordning"-noun-swe "anordning"-noun-dan
"anpassning"-noun-swe "tilpasning"-noun-dan
"anrop"-noun-swe "opkald"-noun-dan
"ansamling"-noun-swe "ansamling"-noun-dan
"ansats"-noun-swe "tilløb"-noun-dan
"ansikte"-noun-swe "ansigt"-noun-dan
"ansiktsuttryck"-noun-swe "ansigtsudtryk"-noun-dan
"ansjovis"-noun-swe "ansjos"-noun-dan
"anslag"-noun-swe "opslag"-noun-dan
"anslutning"-noun-swe "forbindelse"-noun-dan
"anspelning"-noun-swe "hentydning"-noun-dan
"anspråk"-noun-swe "krav"-noun-dan
"ansträngning"-noun-swe "bestræbelse"-noun-dan
"anställning"-noun-swe "ansættelse"-noun-dan
"ansvar"-noun-swe "ansvar"-noun-dan
"ansökning"-noun-swe "ansøgning"-noun-dan
"anstalt"-noun-swe "anstalt"-noun-dan
"läroanstalt"-noun-swe "læreanstalt"-noun-dan
"arbetsplatsolycksfallsförsäkringsanstalt"-noun-swe "arbejdsulykkeforsikringsanstalt"-noun-dan
"antal"-noun-swe "antal"-noun-dan
"anteckning"-noun-swe "notat"-noun-dan
"antikropp"-noun-swe "antistof"-noun-dan
"antydning"-noun-swe "antydning"-noun-dan
"anvisning"-noun-swe "anvisning"-noun-dan
"användare"-noun-swe "bruger"-noun-dan
"apa"-noun-swe "abe"-noun-dan
"apelsin"-noun-swe "appelsin"-noun-dan
"apostel"-noun-swe "apostel"-noun-dan
"apotek"-noun-swe "apotek"-noun-dan
"apotekare"-noun-swe "apoteker"-noun-dan
"apparat"-noun-swe "apparat"-noun-dan
"appell"-noun-swe "appel"-noun-dan
"appendix"-noun-swe "appendiks"-noun-dan
"aprikos"-noun-swe "abrikos"-noun-dan
"ar"-noun-swe "ar"-noun-dan
"arab"-noun-swe "araber"-noun-dan
"arabiska"-noun-swe "arabisk"-noun-dan
"arbetare"-noun-swe "arbejder"-noun-dan
"arbete"-noun-swe "arbejde"-noun-dan
"arbetsdag"-noun-swe "arbejdsdag"-noun-dan
"arbetsförmedling"-noun-swe "arbejdsformidling"-noun-dan
"arbetsgivare"-noun-swe "arbejdsgiver"-noun-dan
"arbetslöshet"-noun-swe "arbejdsløshed"-noun-dan
"areal"-noun-swe "areal"-noun-dan
"argument"-noun-swe "argument"-noun-dan
"argumentation"-noun-swe "argumentation"-noun-dan
"aritmetik"-noun-swe "aritmetik"-noun-dan
"ark"-noun-swe "ark"-noun-dan
"arkitekt"-noun-swe "arkitekt"-noun-dan
"arkitektur"-noun-swe "arkitektur"-noun-dan
"arkiv"-noun-swe "arkiv"-noun-dan
"arm"-noun-swe "arm"-noun-dan
"armband"-noun-swe "armbånd"-noun-dan
"armborst"-noun-swe "armbrøst"-noun-dan
"armeniska"-noun-swe "armensk"-noun-dan
"armé"-noun-swe "armé"-noun-dan
"arrangemang"-noun-swe "arrangement"-noun-dan
"arsenik"-noun-swe "arsenik"-noun-dan
"art"-noun-swe "art"-noun-dan
"artikel"-noun-swe "artikel"-noun-dan
"artilleri"-noun-swe "artilleri"-noun-dan
"arv"-noun-swe "arv"-noun-dan
"asiat"-noun-swe "asiat"-noun-dan
"ask"-noun-swe "æske"-noun-dan
"aska"-noun-swe "aske"-noun-dan
"askkopp"-noun-swe "askebæger"-noun-dan
"asp"-noun-swe "asp"-noun-dan
"assistent"-noun-swe "assistent"-noun-dan
"asterisk"-noun-swe "asterisk"-noun-dan
"asteroid"-noun-swe "asteroide"-noun-dan
"astronom"-noun-swe "astronom"-noun-dan
"astronomi"-noun-swe "astronomi"-noun-dan
"ateism"-noun-swe "ateisme"-noun-dan
"ateist"-noun-swe "ateist"-noun-dan
"atlas"-noun-swe "atlas"-noun-dan
"atmosfär"-noun-swe "atmosfære"-noun-dan
"atom"-noun-swe "atom"-noun-dan
"atombomb"-noun-swe "atombombe"-noun-dan
"atomkraft"-noun-swe "atomkraft"-noun-dan
"attack"-noun-swe "angreb"-noun-dan
"attentat"-noun-swe "attentat"-noun-dan
"attest"-noun-swe "attest"-noun-dan
"attribut"-noun-swe "attribut"-noun-dan
"auktion"-noun-swe "auktion"-noun-dan
"automat"-noun-swe "automat"-noun-dan
"automatvapen"-noun-swe "automatvåben"-noun-dan
"avancemang"-noun-swe "forfremmelse"-noun-dan
"avbetalning"-noun-swe "afdrag"-noun-dan
"avbildning"-noun-swe "afbildning"-noun-dan
"avbrott"-noun-swe "afbrydelse"-noun-dan
"avdelning"-noun-swe "afdeling"-noun-dan
"avdrag"-noun-swe "fradrag"-noun-dan
"avelshingst"-noun-swe "avlshingst"-noun-dan
"avfall"-noun-swe "affald"-noun-dan
"avgång"-noun-swe "afgang"-noun-dan
"avhandling"-noun-swe "afhandling"-noun-dan
"avhopp"-noun-swe "afhopning"-noun-dan
"avkastning"-noun-swe "afkast"-noun-dan
"avlastning"-noun-swe "aflastning"-noun-dan
"avlopp"-noun-swe "afløb"-noun-dan
"avlyssning"-noun-swe "aflytning"-noun-dan
"avläsning"-noun-swe "aflæsning"-noun-dan
"avresa"-noun-swe "afrejse"-noun-dan
"avrättning"-noun-swe "henrettelse"-noun-dan
"avsked"-noun-swe "afsked"-noun-dan
"avskedsbrev"-noun-swe "afskedsbrev"-noun-dan
"avskrivning"-noun-swe "afskrivning"-noun-dan
"avsky"-noun-swe "afsky"-noun-dan
"avslag"-noun-swe "afslag"-noun-dan
"avslutning"-noun-swe "afslutning"-noun-dan
"avsnitt"-noun-swe "afsnit"-noun-dan
"avspärrning"-noun-swe "afspærring"-noun-dan
"avstamp"-noun-swe "afsæt"-noun-dan
"avsteg"-noun-swe "afvigelse"-noun-dan
"avstängning"-noun-swe "aflukning"-noun-dan
"avstånd"-noun-swe "afstand"-noun-dan
"avtal"-noun-swe "aftale"-noun-dan
"avtryck"-noun-swe "aftryk"-noun-dan
"avverkning"-noun-swe "fældning"-noun-dan
"ax"-noun-swe "aks"-noun-dan
"axiom"-noun-swe "aksiom"-noun-dan
"axon"-noun-swe "akson"-noun-dan
"azeriska"-noun-swe "azerisk"-noun-dan
"baby"-noun-swe "spædbarn"-noun-dan
"back"-noun-swe "back"-noun-dan
"bad"-noun-swe "bad"-noun-dan
"baddräkt"-noun-swe "badedragt"-noun-dan
"badhus"-noun-swe "brusekabine"-noun-dan
"badkar"-noun-swe "badekar"-noun-dan
"badrock"-noun-swe "badekåbe"-noun-dan
"bagare"-noun-swe "bager"-noun-dan
"bageri"-noun-swe "bageri"-noun-dan
"bajonett"-noun-swe "bajonet"-noun-dan
"bak"-noun-swe "bag"-noun-dan
"bakben"-noun-swe "bagben"-noun-dan
"bakdel"-noun-swe "bagdel"-noun-dan
"bakdörr"-noun-swe "bagdør"-noun-dan
"bakgrund"-noun-swe "baggrund"-noun-dan
"bakgård"-noun-swe "baggård"-noun-dan
"bakhåll"-noun-swe "baghold"-noun-dan
"baksida"-noun-swe "bagside"-noun-dan
"bakslag"-noun-swe "bagslag"-noun-dan
"bakverk"-noun-swe "bagværk"-noun-dan
"bal"-noun-swe "bal"-noun-dan
"balans"-noun-swe "balance"-noun-dan
"balett"-noun-swe "ballet"-noun-dan
"balja"-noun-swe "bælg"-noun-dan
"balk"-noun-swe "bjælke"-noun-dan
"balkong"-noun-swe "balkon"-noun-dan
"boll"-noun-swe "bold"-noun-dan
"ballerina"-noun-swe "ballerina"-noun-dan
"ballong"-noun-swe "ballon"-noun-dan
"balsam"-noun-swe "balsam"-noun-dan
"bambu"-noun-swe "bambus"-noun-dan
"bana"-noun-swe "bane"-noun-dan
"banan"-noun-swe "banan"-noun-dan
"bandupptagning"-noun-swe "båndoptagelse"-noun-dan
"bank"-noun-swe "bank"-noun-dan
"bankrån"-noun-swe "bankrøveri"-noun-dan
"bantning"-noun-swe "slankekur"-noun-dan
"banvall"-noun-swe "banevold"-noun-dan
"bar"-noun-swe "bar"-noun-dan
"barack"-noun-swe "lade"-noun-dan
"bark"-noun-swe "bark"-noun-dan
"barlast"-noun-swe "ballast"-noun-dan
"barn"-noun-swe "barn"-noun-dan
"barnbarn"-noun-swe "barnebarn"-noun-dan
"barnmorska"-noun-swe "jordemor"-noun-dan
"barnsäng"-noun-swe "barneseng"-noun-dan
