"'Ndrangheta"-properNoun-fra "'Ndrangheta"-properNoun-cat
"à l'origine"-adverb-fra "originàriament"-adverb-cat
"à l'unanimité"-adverb-fra "per unanimitat"-adverb-cat
"à la demande de"-preposition-fra "a petició de"-preposition-cat
"à la demande de"-preposition-fra "a petició de"-preposition-cat
"à la différence de"-preposition-fra "a diferència de"-preposition-cat
"à la fin"-adverb-fra "al final"-adverb-cat
"à la fin de"-preposition-fra "al final de"-preposition-cat
"à la fin de"-preposition-fra "a finals de"-preposition-cat
"à la fois"-adverb-fra "alhora"-adverb-cat
"à la main"-adverb-fra "a mà"-adverb-cat
"à la manière de"-preposition-fra "a la manera de"-preposition-cat
"à la mi-août"-adverb-fra "a mitjan agost"-adverb-cat
"à la mi-août"-adverb-fra "a mitjans de agost"-adverb-cat
"à la mi-avril"-adverb-fra "a mitjan abril"-adverb-cat
"à la mi-avril"-adverb-fra "a mitjans de abril"-adverb-cat
"à la mi-décembre"-adverb-fra "a mitjan desembre"-adverb-cat
"à la mi-décembre"-adverb-fra "a mitjans de desembre"-adverb-cat
"à la mi-février"-adverb-fra "a mitjan febrer"-adverb-cat
"à la mi-février"-adverb-fra "a mitjans de febrer"-adverb-cat
"à la mi-janvier"-adverb-fra "a mitjan gener"-adverb-cat
"à la mi-janvier"-adverb-fra "a mitjans de gener"-adverb-cat
"à la mi-juillet"-adverb-fra "a mitjan juliol"-adverb-cat
"à la mi-juillet"-adverb-fra "a mitjans de juliol"-adverb-cat
"à la mi-juin"-adverb-fra "a mitjan juny"-adverb-cat
"à la mi-juin"-adverb-fra "a mitjans de juny"-adverb-cat
"à la mi-mai"-adverb-fra "a mitjan maig"-adverb-cat
"à la mi-mai"-adverb-fra "a mitjans de maig"-adverb-cat
"à la mi-mars"-adverb-fra "a mitjan març"-adverb-cat
"à la mi-mars"-adverb-fra "a mitjans de març"-adverb-cat
"à la mi-novembre"-adverb-fra "a mitjan novembre"-adverb-cat
"à la mi-novembre"-adverb-fra "a mitjans de novembre"-adverb-cat
"à la mi-octobre"-adverb-fra "a mitjan octubre"-adverb-cat
"à la mi-octobre"-adverb-fra "a mitjans de octubre"-adverb-cat
"à la mi-septembre"-adverb-fra "a mitjan setembre"-adverb-cat
"à la mi-septembre"-adverb-fra "a mitjans de setembre"-adverb-cat
"à la périphérie"-adverb-fra "als afores"-adverb-cat
"à la rescousse"-adverb-fra "en auxili"-adverb-cat
"à la reserve de"-preposition-fra "excepte"-preposition-cat
"à la suite"-adverb-fra "seguit"-preposition-cat
"à la suite de"-preposition-fra "després de"-preposition-cat
"à leur aise"-adjective-fra "còmode"-adjective-cat
"à leur encontre"-adverb-fra "en contra seva"-adverb-cat
"à long terme"-adverb-fra "a la llarga"-adverb-cat
"à long terme"-adverb-fra "a llarg termini"-adverb-cat
"à lui"-adjective-fra "seu"-adjective-cat
"à mesure que"-subordinatingConjunction-fra "a mesura que"-subordinatingConjunction-cat
"à mi-chemin"-adverb-fra "a mig camí"-adverb-cat
"à mi-temps"-adverb-fra "a mitja jornada"-adverb-cat
"à mi-voix"-adverb-fra "en veu baixa"-adverb-cat
"à midi"-adverb-fra "al migdia"-adverb-cat
"à minuit"-adverb-fra "a mitjanit"-adverb-cat
"à moi"-adjective-fra "meu"-adjective-cat
"à moins que"-subordinatingConjunction-fra "a menys que"-subordinatingConjunction-cat
"à mon aise"-adjective-fra "còmode"-adjective-cat
"à mon encontre"-adverb-fra "en contra meva"-adverb-cat
"à mort"-adverb-fra "a mort"-adverb-cat
"à moto"-adverb-fra "en moto"-adverb-cat
"à moto"-adverb-fra "amb moto"-adverb-cat
"à moyen terme"-adverb-fra "a mitjà termini"-adverb-cat
"à notre aise"-adjective-fra "còmode"-adjective-cat
"à notre encontre"-adverb-fra "en contra nostra"-adverb-cat
"à nous"-adjective-fra "nostre"-adjective-cat
"à nouveau"-adverb-fra "novament"-adverb-cat
"à nouveau"-adverb-fra "de bell nou"-adverb-cat
"à part"-adverb-fra "a part"-adverb-cat
"à partir de"-preposition-fra "a partir de"-preposition-cat
"à peine"-adverb-fra "a penes"-adverb-cat
"à peine"-adverb-fra "a penes"-adverb-cat
"à peine"-adverb-fra "amb prou faenes"-adverb-cat
"à peine"-adverb-fra "amb prou feines"-adverb-cat
"à peine"-adverb-fra "escassament"-adverb-cat
"à peu près"-adverb-fra "si fa no fa"-adverb-cat
"à pied"-adverb-fra "a peu"-adverb-cat
"à plusieurs reprises"-adverb-fra "repetidament"-adverb-cat
"à point"-adverb-fra "al punt"-adverb-cat
"à portée"-adverb-fra "a l'abast"-adverb-cat
"à présent"-adverb-fra "actualment"-adverb-cat
"a priori"-adverb-fra "a priori"-adverb-cat
"à priori"-adverb-fra "a priori"-adverb-cat
"à propos de"-preposition-fra "en el cas de"-preposition-cat
"à proximité de"-preposition-fra "a la vora de"-preposition-cat
"à proximité de"-preposition-fra "a prop de"-preposition-cat
"à proximité de"-preposition-fra "vora de"-preposition-cat
"à quoi est-ce que"-pronoun-fra "a què"-pronoun-cat
"à quoi est-ce que"-pronoun-fra "en què"-pronoun-cat
"à ras de"-preposition-fra "arran de"-preposition-cat
"à regret"-adverb-fra "a desgrat"-adverb-cat
"à requête de"-preposition-fra "a petició de"-preposition-cat
"à requête de"-preposition-fra "a instàncies de"-preposition-cat
"à sa guise"-adverb-fra "al seu aire"-adverb-cat
"à son aise"-adjective-fra "còmode"-adjective-cat
"à son encontre"-adverb-fra "en contra seva"-adverb-cat
"à son tour"-adverb-fra "al seu torn"-adverb-cat
"à succès"-adjective-fra "d'èxit"-adjective-cat
"à toi"-adjective-fra "teu"-adjective-cat
"à ton aise"-adjective-fra "còmode"-adjective-cat
"à ton encontre"-adverb-fra "en contra teva"-adverb-cat
"à tort"-adverb-fra "falsament"-adverb-cat
"à toute épreuve"-adverb-fra "a prova de bombes"-adverb-cat
"à toute vitesse"-adverb-fra "a cuitacorrents"-adverb-cat
"à toute vitesse"-adverb-fra "a correcuita"-adverb-cat
"à toutes jambes"-adverb-fra "a cuitacorrents"-adverb-cat
"à travers"-adverb-fra "a través"-adverb-cat
"à travers"-preposition-fra "a través de"-preposition-cat
"à vélo"-adverb-fra "en bicicleta"-adverb-cat
"à vélo"-adverb-fra "amb bici"-adverb-cat
"à vélo"-adverb-fra "amb bicicleta"-adverb-cat
"à vélo"-adverb-fra "en bici"-adverb-cat
"à voix basse"-adverb-fra "en veu baixa"-adverb-cat
"à voix haute"-adverb-fra "en veu alta"-adverb-cat
"à votre aise"-adjective-fra "còmode"-adjective-cat
"à votre encontre"-adverb-fra "en contra vostra"-adverb-cat
"à vous"-adjective-fra "vostre"-adjective-cat
"à vous"-adjective-fra "vostre"-adjective-cat
"à vous"-adjective-fra "vostre"-adjective-cat
"à vous"-adjective-fra "vostre"-adjective-cat
"à vous"-adjective-fra "vostre"-adjective-cat
"Aablina"-properNoun-fra "Aablina"-properNoun-cat
"Aaliyah"-properNoun-fra "Aaliyah"-properNoun-cat
"Aarab"-properNoun-fra "Aarab"-properNoun-cat
"Aaron"-properNoun-fra "Aaron"-properNoun-cat
"Abad"-properNoun-fra "Abad"-properNoun-cat
"Abadal"-properNoun-fra "Abadal"-properNoun-cat
"Abadan"-properNoun-fra "Abadan"-properNoun-cat
"Abadia"-properNoun-fra "Abadia"-properNoun-cat
"Abadía"-properNoun-fra "Abadía"-properNoun-cat
"Abadias"-properNoun-fra "Abadias"-properNoun-cat
"Abadías"-properNoun-fra "Abadías"-properNoun-cat
"Abagail"-properNoun-fra "Abagail"-properNoun-cat
"abaissant"-adjective-fra "humiliant"-adjective-cat
"abaissé"-adjective-fra "rebaixat"-adjective-cat
"abaissement"-noun-fra "descens"-noun-cat
"abaisser"-verb-fra "baixar"-verb-cat
"abaisser"-verb-fra "abaixar"-verb-cat
"Ábalos"-properNoun-fra "Ábalos"-properNoun-cat
"Abando"-properNoun-fra "Abando"-properNoun-cat
"abandon"-noun-fra "abandó"-noun-cat
"abandon"-noun-fra "abandonament"-noun-cat
"abandonner"-verb-fra "abandonar"-verb-cat
"abandonnisme"-noun-fra "abandonisme"-noun-cat
"abaque"-noun-fra "àbac"-noun-cat
"Abarca"-properNoun-fra "Abarca"-properNoun-cat
"Abas"-properNoun-fra "Abas"-properNoun-cat
"Abás"-properNoun-fra "Abás"-properNoun-cat
"Abascal"-properNoun-fra "Abascal"-properNoun-cat
"Abasolo"-properNoun-fra "Abasolo"-properNoun-cat
"abasourdir"-verb-fra "consternar"-verb-cat
"Abate"-properNoun-fra "Abate"-properNoun-cat
"Abaterusso"-properNoun-fra "Abaterusso"-properNoun-cat
"Abati"-properNoun-fra "Abati"-properNoun-cat
"abattage"-noun-fra "abatiment"-noun-cat
"abattant"-noun-fra "batent"-noun-cat
"abattement"-noun-fra "abatiment"-noun-cat
"abattement"-noun-fra "decaïment"-noun-cat
"abattoir"-noun-fra "escorxador"-noun-cat
"abattre"-verb-fra "abatre"-verb-cat
"abattu"-adjective-fra "alacaigut"-adjective-cat
"ABBA"-properNoun-fra "ABBA"-properNoun-cat
"abbadide"-adjective-fra "abbadita"-adjective-cat
"abbadite"-adjective-fra "abbadita"-adjective-cat
"Abbado"-properNoun-fra "Abbado"-properNoun-cat
"Abbas"-properNoun-fra "Abbas"-properNoun-cat
"Abbas"-properNoun-fra "Abbas"-properNoun-cat
"abbasside"-adjective-fra "abbàssida"-adjective-cat
"abbasside"-adjective-fra "abbassí"-adjective-cat
"Abbasside"-noun-fra "abbàssida"-noun-cat
"Abbasside"-noun-fra "abbassí"-noun-cat
"Abbatangelo"-properNoun-fra "Abbatangelo"-properNoun-cat
"Abbate"-properNoun-fra "Abbate"-properNoun-cat
"abbatial"-adjective-fra "abacial"-adjective-cat
"Abbatucci"-properNoun-fra "Abbatucci"-properNoun-cat
"abbaye"-noun-fra "abadia"-noun-cat
"abbé"-noun-fra "abat"-noun-cat
"abbesse"-noun-fra "abat"-noun-cat
"Abbey"-properNoun-fra "Abbey"-properNoun-cat
"Abbiati"-properNoun-fra "Abbiati"-properNoun-cat
"Abbie"-properNoun-fra "Abbie"-properNoun-cat
"Abbigail"-properNoun-fra "Abbigail"-properNoun-cat
"Abbondanza"-properNoun-fra "Abbondanza"-properNoun-cat
"Abbondanzieri"-properNoun-fra "Abbondanzieri"-properNoun-cat
"Abbott"-properNoun-fra "Abbott"-properNoun-cat
"Abboud"-properNoun-fra "Abboud"-properNoun-cat
"Abbrescia"-properNoun-fra "Abbrescia"-properNoun-cat
"Abbruzzese"-properNoun-fra "Abbruzzese"-properNoun-cat
"Abby"-properNoun-fra "Abby"-properNoun-cat
"ABC"-properNoun-fra "ABC"-properNoun-cat
"abcès"-noun-fra "abscés"-noun-cat
"Abdallah"-properNoun-fra "Abdallah"-properNoun-cat
"Abdallah"-properNoun-fra "Abdallah"-properNoun-cat
"Abdel"-properNoun-fra "Abdel"-properNoun-cat
"Abdel"-properNoun-fra "Abdel"-properNoun-cat
"Abderrahman"-properNoun-fra "Abderrahman"-properNoun-cat
"abdication"-noun-fra "abdicació"-noun-cat
"abdiquer"-verb-fra "abdicar"-verb-cat
"Abdo"-properNoun-fra "Abdo"-properNoun-cat
"abdomen"-noun-fra "abdomen"-noun-cat
"abdominal"-adjective-fra "abdominal"-adjective-cat
"Abdon"-properNoun-fra "Abdon"-properNoun-cat
"Abdrazakov"-properNoun-fra "Abdrazakov"-properNoun-cat
"abducteur"-adjective-fra "abductor"-adjective-cat
"abducteur"-noun-fra "abductor"-noun-cat
"abduction"-noun-fra "abducció"-noun-cat
"Abdul"-properNoun-fra "Abdul"-properNoun-cat
"Abdullah"-properNoun-fra "Abdullah"-properNoun-cat
"Abdullah Ahmad Badawi"-properNoun-fra "Abdullah Ahmad Badawi"-properNoun-cat
"Abdullah Gül"-properNoun-fra "Abdullah Gül"-properNoun-cat
"Abe"-properNoun-fra "Abe"-properNoun-cat
"Abebe"-properNoun-fra "Abebe"-properNoun-cat
"Abecassis"-properNoun-fra "Abecassis"-properNoun-cat
"Abécassis"-properNoun-fra "Abécassis"-properNoun-cat
"abeille"-noun-fra "abella"-noun-cat
"Abel"-properNoun-fra "Abel"-properNoun-cat
"Abel"-properNoun-fra "Abel"-properNoun-cat
"Abelardo"-properNoun-fra "Abelardo"-properNoun-cat
"Abelie"-properNoun-fra "Abelie"-properNoun-cat
"abélien"-adjective-fra "abelià"-adjective-cat
"Abella"-properNoun-fra "Abella"-properNoun-cat
"Abella"-properNoun-fra "Abella"-properNoun-cat
"Abella de la Conca"-properNoun-fra "Abella de la Conca"-properNoun-cat
"Abellán"-properNoun-fra "Abellán"-properNoun-cat
"Abellard"-properNoun-fra "Abellard"-properNoun-cat
"Abelle"-properNoun-fra "Abelle"-properNoun-cat
"Abelleira"-properNoun-fra "Abelleira"-properNoun-cat
"Abelli"-properNoun-fra "Abelli"-properNoun-cat
"Abelló"-properNoun-fra "Abelló"-properNoun-cat
"Abelson"-properNoun-fra "Abelson"-properNoun-cat
"Abengoa"-properNoun-fra "Abengoa"-properNoun-cat
"Abenza"-properNoun-fra "Abenza"-properNoun-cat
"Aberasturi"-properNoun-fra "Aberasturi"-properNoun-cat
"Aberdeen"-properNoun-fra "Aberdeen"-properNoun-cat
"aberrance"-noun-fra "aberrància"-noun-cat
"aberrant"-adjective-fra "aberrant"-adjective-cat
"aberrantement"-adverb-fra "aberrantment"-adverb-cat
"aberration"-noun-fra "aberració"-noun-cat
"Aberta"-properNoun-fra "Aberta"-properNoun-cat
"abertzale"-adjective-fra "abertzale"-adjective-cat
"abêtir"-verb-fra "embrutir"-verb-cat
"abhorrer"-verb-fra "abominar"-verb-cat
"Abi"-properNoun-fra "Abi"-properNoun-cat
"Abi-Ackel"-properNoun-fra "Abi-Ackel"-properNoun-cat
"Abidal"-properNoun-fra "Abidal"-properNoun-cat
"Abidjan"-properNoun-fra "Abidjan"-properNoun-cat
"Abigail"-properNoun-fra "Abigail"-properNoun-cat
"Abigaïl"-properNoun-fra "Abigaïl"-properNoun-cat
"Abigale"-properNoun-fra "Abigale"-properNoun-cat
"Abigayle"-properNoun-fra "Abigayle"-properNoun-cat
"Abilio"-properNoun-fra "Abilio"-properNoun-cat
"abîme"-noun-fra "abisme"-noun-cat
"abîmer"-verb-fra "espatllar"-verb-cat
"abîmer"-verb-fra "danyar"-verb-cat
"abîmer"-verb-fra "fer malbé"-verb-cat
"abîmer"-verb-fra "malmetre"-verb-cat
"Abinahil"-properNoun-fra "Abinahil"-properNoun-cat
"abiotique"-adjective-fra "abiòtic"-adjective-cat
"Abitbol"-properNoun-fra "Abitbol"-properNoun-cat
"abject"-adjective-fra "abjecte"-adjective-cat
"abjection"-noun-fra "abjecció"-noun-cat
"abjuration"-noun-fra "abjuració"-noun-cat
"abjurer"-verb-fra "abjurar"-verb-cat
"ablactation"-noun-fra "ablactació"-noun-cat
"ablatif"-adjective-fra "ablatiu"-adjective-cat
"ablation"-noun-fra "ablació"-noun-cat
"ablution"-noun-fra "ablució"-noun-cat
"ABN"-noun-fra "ABN"-noun-cat
"ABN"-noun-fra "ABN"-noun-cat
"ABN-Amro"-properNoun-fra "ABN-Amro"-properNoun-cat
"abnegation"-noun-fra "abnegació"-noun-cat
"abnégation"-noun-fra "abnegació"-noun-cat
"aboiement"-noun-fra "lladrament"-noun-cat
"abolir"-verb-fra "abolir"-verb-cat
"abolition"-noun-fra "abolició"-noun-cat
"abolitionnisme"-noun-fra "abolicionisme"-noun-cat
"abolitionniste"-adjective-fra "abolicionista"-adjective-cat
"abolitionniste"-noun-fra "abolicionista"-noun-cat
"abominable"-adjective-fra "abominable"-adjective-cat
"abominablement"-adverb-fra "abominablement"-adverb-cat
"abomination"-noun-fra "abominació"-noun-cat
"abominer"-verb-fra "abominar"-verb-cat
"abondamment"-adverb-fra "abundantment"-adverb-cat
"abondance"-noun-fra "abundància"-noun-cat
"abondant"-adjective-fra "abundant"-adjective-cat
"abondant"-adjective-fra "abundant"-adjective-cat
"abondant"-adjective-fra "abundós"-adjective-cat
"abondant"-adjective-fra "abundós"-adjective-cat
"abondant"-adjective-fra "profús"-adjective-cat
"abondant"-adjective-fra "quantiós"-adjective-cat
"abondant"-adjective-fra "quantiós"-adjective-cat
"abonder"-verb-fra "abundar"-verb-cat
"aboné"-noun-fra "subscriptor"-noun-cat
"abonnement"-noun-fra "subscripció"-noun-cat
"abonner"-verb-fra "abonar"-verb-cat
"aboral"-adjective-fra "aboral"-adjective-cat
"abord"-noun-fra "abordament"-noun-cat
"abordable"-adjective-fra "assequible"-adjective-cat
"abordage"-noun-fra "abordatge"-noun-cat
"aborder"-verb-fra "abordar"-verb-cat
"abords"-noun-fra "immediatesa"-noun-cat
"aborigène"-noun-fra "aborigen"-noun-cat
"abortif"-adjective-fra "abortiu"-adjective-cat
"abortif"-noun-fra "abortiu"-noun-cat
"Abós"-properNoun-fra "Abós"-properNoun-cat
"Abou"-properNoun-fra "Abou"-properNoun-cat
"aboucher"-verb-fra "connectar"-verb-cat
"Aboujaoude"-properNoun-fra "Aboujaoude"-properNoun-cat
"aboulie"-noun-fra "abúlia"-noun-cat
"aboulique"-adjective-fra "abúlic"-adjective-cat
"aboulique"-noun-fra "abúlic"-noun-cat
"aboutir"-verb-fra "desembocar"-verb-cat
"aboutir"-verb-fra "resultar"-verb-cat
"aboutissement"-noun-fra "conseqüència"-noun-cat
"aboyer"-verb-fra "bordar"-verb-cat
"aboyer"-verb-fra "lladrar"-verb-cat
"Abraam"-properNoun-fra "Abraam"-properNoun-cat
"abracadabrant"-adjective-fra "abracadabrant"-adjective-cat
"Abraham"-properNoun-fra "Abraham"-properNoun-cat
"Abraham"-properNoun-fra "Abraham"-properNoun-cat
"abrahamique"-adjective-fra "abrahàmic"-adjective-cat
"Abrahams"-properNoun-fra "Abrahams"-properNoun-cat
"Abrahão"-properNoun-fra "Abrahão"-properNoun-cat
"Abramo"-properNoun-fra "Abramo"-properNoun-cat
"Abrams"-properNoun-fra "Abrams"-properNoun-cat
"Abran"-properNoun-fra "Abran"-properNoun-cat
"Abranis"-properNoun-fra "Abranis"-properNoun-cat
"Abrar"-properNoun-fra "Abrar"-properNoun-cat
"Abras"-properNoun-fra "Abras"-properNoun-cat
"abrasif"-adjective-fra "abrasiu"-adjective-cat
"abrasif"-noun-fra "abrasiu"-noun-cat
"abrasion"-noun-fra "abrasió"-noun-cat
"abréaction"-noun-fra "abreacció"-noun-cat
"abrégé"-noun-fra "resum"-noun-cat
"abrégement"-noun-fra "abreviació"-noun-cat
"abréger"-verb-fra "abreujar"-verb-cat
"abréger"-verb-fra "abreviar"-verb-cat
"abréger"-verb-fra "resumir"-verb-cat
"Abrera"-properNoun-fra "Abrera"-properNoun-cat
"Abreu"-properNoun-fra "Abreu"-properNoun-cat
"abreuver"-verb-fra "abeurar"-verb-cat
"abreuvoir"-noun-fra "abeurador"-noun-cat
"abréviatif"-adjective-fra "abreviatiu"-adjective-cat
"abréviation"-noun-fra "abreviatura"-noun-cat
"abri"-noun-fra "abric"-noun-cat
"abri"-noun-fra "aixopluc"-noun-cat
"abri"-noun-fra "empara"-noun-cat
"abri"-noun-fra "recer"-noun-cat
"Abric"-properNoun-fra "Abric"-properNoun-cat
"abricot"-noun-fra "albercoc"-noun-cat
"abricotier"-noun-fra "albercoquer"-noun-cat
"Abrignani"-properNoun-fra "Abrignani"-properNoun-cat
"Abril"-properNoun-fra "Abril"-properNoun-cat
"Abril"-properNoun-fra "Abril"-properNoun-cat
"abriter"-verb-fra "protegir"-verb-cat
"abriter"-verb-fra "abrigar"-verb-cat
"abrogatif"-adjective-fra "abrogatiu"-adjective-cat
"abrogation"-noun-fra "abrogació"-noun-cat
"abroger"-verb-fra "derogar"-verb-cat
"abroger"-verb-fra "abrogar"-verb-cat
"abrupte"-adjective-fra "abrupte"-adjective-cat
"abrupte"-adjective-fra "abrupte"-adjective-cat
"abruptement"-adverb-fra "abruptament"-adverb-cat
"abrutir"-verb-fra "embrutir"-verb-cat
"abrutissant"-adjective-fra "embrutidor"-adjective-cat
"abrutissement"-noun-fra "embrutiment"-noun-cat
"abrutisseur"-adjective-fra "embrutidor"-adjective-cat
"abscisse"-noun-fra "abscissa"-noun-cat
"absence"-noun-fra "absència"-noun-cat
"absent"-adjective-fra "absent"-adjective-cat
"absent"-adjective-fra "absent"-adjective-cat
"absentéisme"-noun-fra "absentisme"-noun-cat
"absenter"-verb-fra "absentar"-verb-cat
"absidal"-adjective-fra "absidal"-adjective-cat
"abside"-noun-fra "absis"-noun-cat
"abside"-noun-fra "àbsida"-noun-cat
"absinthe"-noun-fra "absenta"-noun-cat
"absinthine"-noun-fra "absintina"-noun-cat
"absinthisme"-noun-fra "absintisme"-noun-cat
"absolu"-adjective-fra "absolut"-adjective-cat
"absolument"-adverb-fra "absolutament"-adverb-cat
"absolution"-noun-fra "absolució"-noun-cat
"absolutisme"-noun-fra "absolutisme"-noun-cat
"absolutiste"-adjective-fra "absolutista"-adjective-cat
"absolutiste"-noun-fra "absolutista"-noun-cat
"absolutoire"-adjective-fra "absolutori"-adjective-cat
"absorbance"-noun-fra "absorbància"-noun-cat
"absorbant"-adjective-fra "absorbent"-adjective-cat
"absorber"-verb-fra "absorbir"-verb-cat
"absorption"-noun-fra "absorció"-noun-cat
"absoudre"-verb-fra "absoldre"-verb-cat
"abstenir"-verb-fra "abstenir"-verb-cat
"abstention"-noun-fra "abstenció"-noun-cat
"abstentionnisme"-noun-fra "abstencionisme"-noun-cat
"abstentionniste"-adjective-fra "abstencionista"-adjective-cat
"abstentionniste"-noun-fra "abstencionista"-noun-cat
"abstinence"-noun-fra "abstinència"-noun-cat
"abstinent"-adjective-fra "abstinent"-adjective-cat
"abstinent"-noun-fra "abstinent"-noun-cat
"abstractif"-adjective-fra "abstractiu"-adjective-cat
"abstraction"-noun-fra "abstracció"-noun-cat
"abstraire"-verb-fra "abstreure"-verb-cat
"abstrait"-adjective-fra "abstracte"-adjective-cat
"abstrait"-adjective-fra "abstracte"-adjective-cat
"abstraitement"-adverb-fra "abstractament"-adverb-cat
"abstrus"-adjective-fra "abstrús"-adjective-cat
"absurde"-adjective-fra "absurd"-adjective-cat
"absurde"-noun-fra "absurd"-noun-cat
"absurdement"-adverb-fra "absurdament"-adverb-cat
"Abu"-properNoun-fra "Abu"-properNoun-cat
"Abulafia"-properNoun-fra "Abulafia"-properNoun-cat
"Abuli"-properNoun-fra "Abuli"-properNoun-cat
"abus"-noun-fra "abús"-noun-cat
"abuser"-verb-fra "abusar"-verb-cat
"abuseur"-adjective-fra "abusador"-adjective-cat
"abuseur"-noun-fra "abusador"-noun-cat
"abusif"-adjective-fra "abusiu"-adjective-cat
"abusivement"-adverb-fra "abusivament"-adverb-cat
"Abyshev"-properNoun-fra "Abyshev"-properNoun-cat
"abyssal"-adjective-fra "abissal"-adjective-cat
"abyssopélagique"-adjective-fra "abissopelàgic"-adjective-cat
"acabit"-noun-fra "sort"-noun-cat
"acacia"-noun-fra "acàcia"-noun-cat
"académicien"-noun-fra "acadèmic"-noun-cat
