"10a"-adjective-epo "Xème"-adjective-fra
"abomeni"-verb-epo "avoir en horreur"-verb-fra
"abomeni"-verb-epo "exécrer"-verb-fra
"abomeni"-verb-epo "détester"-verb-fra
"abomeninda"-adjective-epo "abominable"-adjective-fra
"abomeninda"-adjective-epo "affreux"-adjective-fra
"abomeninda"-adjective-epo "dégoûtant"-adjective-fra
"abomeninda"-adjective-epo "détestable"-adjective-fra
"abomeninda"-adjective-epo "horrible"-adjective-fra
"abomeninda"-adjective-epo "répugnant"-adjective-fra
"abomeninde"-adverb-epo "abominablement"-adverb-fra
"abomeninde"-adverb-epo "affreusement"-adverb-fra
"abomeninde"-adverb-epo "détestablement"-adverb-fra
"abomeninde"-adverb-epo "horriblement"-adverb-fra
"abomeno"-noun-epo "abomination"-noun-fra
"abomeno"-noun-epo "aversion"-noun-fra
"abomeno"-noun-epo "détestation"-noun-fra
"abomeno"-noun-epo "répulsion"-noun-fra
"abomeno"-noun-epo "dégoût"-noun-fra
"abonanto"-noun-epo "abonné"-noun-fra
"aboni"-verb-epo "abonner"-verb-fra
"aboni"-verb-epo "être abonné"-verb-fra
"aboni"-verb-epo "inscrire"-verb-fra
"aboni"-verb-epo "souscrire un abonnement"-verb-fra
"abonigi"-verb-epo "abonner"-verb-fra
"abonilo"-noun-epo "bulletin d'abonnement"-noun-fra
"abono"-noun-epo "abonnement"-noun-fra
"abono"-noun-epo "souscription"-noun-fra
"aborigena"-adjective-epo "aborigène"-adjective-fra
"aborigena"-adjective-epo "autochtone"-adjective-fra
"aborigeno"-noun-epo "autochtone"-noun-fra
"abortaĵo"-noun-epo "avorton"-noun-fra
"aborti"-verb-epo "avorter"-verb-fra
"aborti"-verb-epo "capoter"-verb-fra
"aborti"-verb-epo "tourner court"-verb-fra
"abortigi"-verb-epo "avorter"-verb-fra
"abortigi"-verb-epo "faire avorter"-verb-fra
"abortigi"-verb-epo "faire capoter"-verb-fra
"abortigi"-verb-epo "provoquer l'avortement"-verb-fra
"aborto"-noun-epo "avortement"-noun-fra
"abortulo"-noun-epo "avorton"-noun-fra
"Abottsford"-properNoun-epo "Abottsford"-properNoun-fra
"abrakadabro"-noun-epo "abracadabra"-noun-fra
"abrikotarbo"-noun-epo "abricotier"-noun-fra
"abrikoto"-noun-epo "abricot"-noun-fra
"abrikotujo"-noun-epo "abricotier"-noun-fra
"abrotano"-noun-epo "aurone"-noun-fra
"abrupta"-adjective-epo "abrupt"-adjective-fra
"abrupta"-adjective-epo "brusque"-adjective-fra
"abrupta"-adjective-epo "brutal"-adjective-fra
"abrupta"-adjective-epo "rude"-adjective-fra
"abrupta"-adjective-epo "inattendu"-adjective-fra
"absceso"-noun-epo "abcès"-noun-fra
"absciso"-noun-epo "abscisse"-noun-fra
"absciso"-noun-epo "coordonnée x"-noun-fra
"absida koridoro"-noun-epo "déambulatoire"-noun-fra
"absida koridoro"-noun-epo "ambulatoire"-noun-fra
"absideto"-noun-epo "absidiole"-noun-fra
"absido"-noun-epo "abside"-noun-fra
"absintaĵo"-noun-epo "absinthe"-noun-fra
"absinto"-noun-epo "absinthe"-noun-fra
"absoluta"-adjective-epo "absolu"-adjective-fra
"absoluta"-adjective-epo "complet"-adjective-fra
"absoluta"-adjective-epo "illimité"-adjective-fra
"absoluta"-adjective-epo "total"-adjective-fra
"absoluta valoro"-noun-epo "valeur absolue"-noun-fra
"absolute"-adverb-epo "absolument"-adverb-fra
"absolute"-adverb-epo "suprêmement"-adverb-fra
"absolute konverĝa"-adjective-epo "absolument convergent"-adjective-fra
"absolutismo"-noun-epo "absolutisme"-noun-fra
"absolvi"-verb-epo "absoudre"-verb-fra
"absolvi"-verb-epo "acquitter"-verb-fra
"absolvo"-noun-epo "absolution"-noun-fra
"absorbi"-verb-epo "absorber"-verb-fra
"absorbi"-verb-epo "accaparer"-verb-fra
"absorbi"-verb-epo "occuper"-verb-fra
"absorbi"-verb-epo "prendre"-verb-fra
"absorbiĝi"-verb-epo "concentrer sur"-verb-fra
"absorbiĝi"-verb-epo "absorber"-verb-fra
"abstemio"-noun-epo "abstinence"-noun-fra
"abstinado"-noun-epo "abstinence"-noun-fra
"abstinado"-noun-epo "ascèse"-noun-fra
"abstinado"-noun-epo "privation"-noun-fra
"abstinenco"-noun-epo "abstinence"-noun-fra
"abstinenco"-noun-epo "ascèse"-noun-fra
"abstinenco"-noun-epo "privation"-noun-fra
"abstini"-verb-epo "faire abstinence"-verb-fra
"abstini"-verb-epo "faire maigre"-verb-fra
"abstini"-verb-epo "abstenir"-verb-fra
"abstino"-noun-epo "veille"-noun-fra
"abstrakta"-adjective-epo "abstrait"-adjective-fra
"abstrakta"-adjective-epo "non-figuratif"-adjective-fra
"abstrakta"-adjective-epo "formel"-adjective-fra
"abstrakta"-adjective-epo "théorique"-adjective-fra
"abstraktaĵo"-noun-epo "abstraction"-noun-fra
"abstrakte"-adverb-epo "non-figurativement"-adverb-fra
"abstrakteco"-noun-epo "abstraction"-noun-fra
"abstrakti"-verb-epo "abstraire"-verb-fra
"abstrakti"-verb-epo "isoler"-verb-fra
"abstrakti"-verb-epo "séparer"-verb-fra
"abstrakto"-noun-epo "abstraction"-noun-fra
"absurda"-adjective-epo "aberrant"-adjective-fra
"absurda"-adjective-epo "absurde"-adjective-fra
"absurda"-adjective-epo "farfelu"-adjective-fra
"absurda"-adjective-epo "illogique"-adjective-fra
"absurda"-adjective-epo "fou"-adjective-fra
"absurda"-adjective-epo "idiot"-adjective-fra
"absurda"-adjective-epo "incohérent"-adjective-fra
"absurda"-adjective-epo "stupide"-adjective-fra
"absurde"-adverb-epo "absurdement"-adverb-fra
"absurde"-adverb-epo "illogiquement"-adverb-fra
"absurde"-adverb-epo "stupidement"-adverb-fra
"abunda"-adjective-epo "abondant"-adjective-fra
"abunda"-adjective-epo "copieux"-adjective-fra
"abunda"-adjective-epo "fourni"-adjective-fra
"abunda"-adjective-epo "luxuriant"-adjective-fra
"abunda"-adjective-epo "opulant"-adjective-fra
"abunda"-adjective-epo "plantureux"-adjective-fra
"abunda"-adjective-epo "prolixe"-adjective-fra
"abunda"-adjective-epo "ample"-adjective-fra
"abunda"-adjective-epo "fécond"-adjective-fra
"abunda"-adjective-epo "large"-adjective-fra
"abunda"-adjective-epo "multiple"-adjective-fra
"abunda"-adjective-epo "riche"-adjective-fra
"abunde"-adverb-epo "abondamment"-adverb-fra
"abunde"-adverb-epo "copieusement"-adverb-fra
"abunde"-adverb-epo "plantureusement"-adverb-fra
"abundeco"-noun-epo "profusion"-noun-fra
"abundeco"-noun-epo "abondance"-noun-fra
"abundeco"-noun-epo "ampleur"-noun-fra
"abundeco"-noun-epo "foison"-noun-fra
"abundeco"-noun-epo "générosité"-noun-fra
"abundeco"-noun-epo "luxuriance"-noun-fra
"abundeco"-noun-epo "opulence"-noun-fra
"abundeco"-noun-epo "richesse"-noun-fra
"abundi"-verb-epo "abonder"-verb-fra
"abundi"-verb-epo "être plein"-verb-fra
"abundi"-verb-epo "foisonner"-verb-fra
"abundi"-verb-epo "fourmiller"-verb-fra
"abundi"-verb-epo "montrer abondant"-verb-fra
"abundi"-verb-epo "regorger"-verb-fra
"abundo"-noun-epo "abondance"-noun-fra
"abundo"-noun-epo "foison"-noun-fra
"abundo"-noun-epo "luxuriance"-noun-fra
"abundo"-noun-epo "opulence"-noun-fra
"abundo"-noun-epo "profusion"-noun-fra
"abundo"-noun-epo "ampleur"-noun-fra
"abundo"-noun-epo "générosité"-noun-fra
"abundo"-noun-epo "richesse"-noun-fra
"abutmento"-noun-epo "contrefort"-noun-fra
"Abymes"-properNoun-epo "Abymes"-properNoun-fra
"aĉa"-adjective-epo "dégueulasse"-adjective-fra
"aĉa"-adjective-epo "salaud"-adjective-fra
"aĉa"-adjective-epo "horrible"-adjective-fra
"aĉa"-adjective-epo "mauvais"-adjective-fra
"aĉaĵo"-noun-epo "cochonnerie"-noun-fra
"aĉaĵo"-noun-epo "saloperie"-noun-fra
"aĉakaturo"-noun-epo "acciaccatura"-noun-fra
"Accenture"-properNoun-epo "Accenture"-properNoun-fra
"aĉe"-adverb-epo "horriblement"-adverb-fra
"Acer"-properNoun-epo "Acer"-properNoun-fra
"aceraco"-noun-epo "acéracée"-noun-fra
"acerba"-adjective-epo "acerbe"-adjective-fra
"acerba"-adjective-epo "acéré"-adjective-fra
"acerba"-adjective-epo "âcre"-adjective-fra
"acerba"-adjective-epo "âpre"-adjective-fra
"acerba"-adjective-epo "cinglant"-adjective-fra
"acerba"-adjective-epo "mordant"-adjective-fra
"acerba"-adjective-epo "aigre"-adjective-fra
"acerba"-adjective-epo "caustique"-adjective-fra
"acerba"-adjective-epo "corrosif"-adjective-fra
"acerbe"-adverb-epo "acerbement"-adverb-fra
"acerbe"-adverb-epo "aigrement"-adverb-fra
"acerbe"-adverb-epo "caustiquement"-adverb-fra
"acerbe"-adverb-epo "corrosivement"-adverb-fra
"acero"-noun-epo "érable"-noun-fra
"acero"-noun-epo "faux platane"-noun-fra
"acero"-noun-epo "sycomore"-noun-fra
"aĉetanto"-noun-epo "acheteur"-noun-fra
"aĉetanto"-noun-epo "acquéreur"-noun-fra
"acetato"-noun-epo "acétate"-noun-fra
"aĉetebla"-adjective-epo "à vendre"-adjective-fra
"aĉetebla"-adjective-epo "achetable"-adjective-fra
"aĉetebla"-adjective-epo "en vente"-adjective-fra
"aĉeti"-verb-epo "acheter"-verb-fra
"acetileno"-noun-epo "acétylène"-noun-fra
"acetilo"-noun-epo "acétyle"-noun-fra
"aĉetisto"-noun-epo "acheteur"-noun-fra
"aĉetkapablo"-noun-epo "pouvoir d'achat"-noun-fra
"aceto"-noun-epo "acide acétique"-noun-fra
"aĉeto"-noun-epo "achat"-noun-fra
"acetono"-noun-epo "acétone"-noun-fra
"acida"-adjective-epo "acide"-adjective-fra
"acida"-adjective-epo "aigre"-adjective-fra
"acide"-adverb-epo "aigrement"-adverb-fra
"acide"-adverb-epo "acidement"-adverb-fra
"acido"-noun-epo "acide"-noun-fra
"aĉiĝi"-verb-epo "dégrader"-verb-fra
"acipenseredo"-noun-epo "acipenséridé"-noun-fra
"acipenserforma"-adjective-epo "acipensériforme"-adjective-fra
"acipensero"-noun-epo "esturgeon"-noun-fra
"Acoroj"-properNoun-epo "Açores"-properNoun-fra
"Acoroj"-properNoun-epo "les Açores"-properNoun-fra
"ACS"-properNoun-epo "ACS"-properNoun-fra
"aĉulo"-noun-epo "salaud"-noun-fra
"adaĝe"-adverb-epo "adagio"-adverb-fra
"adaĝo"-noun-epo "adagio"-noun-fra
"Adam"-properNoun-epo "Adam"-properNoun-fra
"Adamo"-properNoun-epo "Adam"-properNoun-fra
"adaptado"-noun-epo "adaptation"-noun-fra
"adapti"-verb-epo "adapter"-verb-fra
"adapti"-verb-epo "ajuster"-verb-fra
"adapti"-verb-epo "approprier"-verb-fra
"adapti"-verb-epo "assortir"-verb-fra
"adapti"-verb-epo "conformer"-verb-fra
"adapti"-verb-epo "remanier"-verb-fra
"adaptigo"-noun-epo "adaptation"-noun-fra
"adaptiĝo"-noun-epo "adaptation"-noun-fra
"adaptilo"-noun-epo "adaptateur"-noun-fra
"adapto"-noun-epo "adaptation"-noun-fra
"Adecco"-properNoun-epo "Adecco"-properNoun-fra
"adekvata"-adjective-epo "adéquat"-adjective-fra
"adekvata"-adjective-epo "idoine"-adjective-fra
"adekvata"-adjective-epo "pertinent"-adjective-fra
"adekvata"-adjective-epo "adapté"-adjective-fra
"adekvata"-adjective-epo "approprié"-adjective-fra
"adekvata"-adjective-epo "juste"-adjective-fra
"adekvata"-adjective-epo "opportun"-adjective-fra
"adekvata"-adjective-epo "propre"-adjective-fra
"adekvate"-adverb-epo "adéquatement"-adverb-fra
"adekvateco"-noun-epo "adéquation"-noun-fra
"adepta"-adjective-epo "adepte"-adjective-fra
"adeptigi"-verb-epo "enrôler"-verb-fra
"adeptigi"-verb-epo "initier"-verb-fra
"adeptigi"-verb-epo "recruter"-verb-fra
"adepto"-noun-epo "adepte"-noun-fra
"adepto"-noun-epo "fidèle"-noun-fra
"adepto"-noun-epo "supporter"-noun-fra
"adepto"-noun-epo "supporteur"-noun-fra
"adhera"-adjective-epo "adhésif"-adjective-fra
"adhera"-adjective-epo "adhérent"-adjective-fra
"adheraĵo"-noun-epo "adhérence"-noun-fra
"adheraĵo"-noun-epo "fermeture"-noun-fra
"adheri"-verb-epo "adhérer"-verb-fra
"adheri"-verb-epo "coller"-verb-fra
"adhero"-noun-epo "adhérence"-noun-fra
"adhero"-noun-epo "adhésion"-noun-fra
"adianto"-noun-epo "capillaire"-noun-fra
"adiaŭ"-interjection-epo "au revoir"-interjection-fra
"adiaŭdiri"-verb-epo "dire adieu"-verb-fra
"adiaŭdiri"-verb-epo "faire ses adieux"-verb-fra
"adiaŭdiri"-verb-epo "prendre congé"-verb-fra
"adiaŭdiri"-verb-epo "quitter"-verb-fra
"adiaŭi"-verb-epo "déloguer"-verb-fra
"adiaŭi"-verb-epo "dire adieu"-verb-fra
"adiaŭi"-verb-epo "faire ses adieux"-verb-fra
"adiaŭi"-verb-epo "fermer la session"-verb-fra
"adiaŭi"-verb-epo "prendre congé"-verb-fra
"adiaŭi"-verb-epo "tourner le dos"-verb-fra
"adiaŭi"-verb-epo "quitter"-verb-fra
"adiaŭi"-verb-epo "sépare"-verb-fra
"adiaŭo"-noun-epo "adieu"-noun-fra
"adicia"-adjective-epo "additif"-adjective-fra
"adiciato"-noun-epo "nombre à ajouter"-noun-fra
"adicie"-adverb-epo "additivement"-adverb-fra
"adicii"-verb-epo "additionner"-verb-fra
"adicii"-verb-epo "ajouter"-verb-fra
"adicio"-noun-epo "addition"-noun-fra
"adjektivo"-noun-epo "adjectif"-noun-fra
"adjudanto"-noun-epo "adjudant"-noun-fra
"adjudiki"-verb-epo "faire un appel d'offres"-verb-fra
"adjudiki"-verb-epo "mettre aux enchères"-verb-fra
"adjudiki"-verb-epo "mettre en adjudication"-verb-fra
"adjudiko"-noun-epo "adjudication"-noun-fra
"adjudiko"-noun-epo "appel d'offres"-noun-fra
"adjudiko"-noun-epo "enchères"-noun-fra
"adjunkta"-adjective-epo "adjoint"-adjective-fra
"adjunkto"-noun-epo "adjoint"-noun-fra
"adjunkto"-noun-epo "assistant"-noun-fra
"adjutanto"-noun-epo "aide-de-camp"-noun-fra
"administra"-adjective-epo "administratif"-adjective-fra
"administracia"-adjective-epo "administratif"-adjective-fra
"administracie"-adverb-epo "administrativement"-adverb-fra
"administracio"-noun-epo "administration"-noun-fra
"administrantaro"-noun-epo "administration"-noun-fra
"administranto"-noun-epo "administrateur"-noun-fra
"administranto"-noun-epo "administratif"-noun-fra
"administre"-adverb-epo "administrativement"-adverb-fra
"administrejo"-noun-epo "administration"-noun-fra
"administri"-verb-epo "administrer"-verb-fra
"administri"-verb-epo "gérer"-verb-fra
"administri"-verb-epo "diriger"-verb-fra
"administri"-verb-epo "piloter"-verb-fra
"admira"-adjective-epo "admiratif"-adjective-fra
"admiralitato"-noun-epo "amirauté"-noun-fra
"admiralo"-noun-epo "amiral"-noun-fra
"admiranta"-adjective-epo "admirateur"-adjective-fra
"admiranto"-noun-epo "admirateur"-noun-fra
"admire"-adverb-epo "admirativement"-adverb-fra
"admiri"-verb-epo "admirer"-verb-fra
"admiri"-verb-epo "emmerveiller"-verb-fra
"admiri"-verb-epo "enthousiasmer"-verb-fra
"admiri"-verb-epo "extasier"-verb-fra
"admirinda"-adjective-epo "admirable"-adjective-fra
"admirinde"-adverb-epo "admirablement"-adverb-fra
"admiro"-noun-epo "admiration"-noun-fra
"admitanco"-noun-epo "admittance"-noun-fra
"admoni"-verb-epo "admonester"-verb-fra
"admoni"-verb-epo "chapitrer"-verb-fra
"admoni"-verb-epo "exhorter"-verb-fra
"admoni"-verb-epo "mettre en garde"-verb-fra
"admoni"-verb-epo "réprimander"-verb-fra
"admoni"-verb-epo "avertir"-verb-fra
"admoni"-verb-epo "disputer"-verb-fra
"admoni"-verb-epo "gronder"-verb-fra
"admoni"-verb-epo "menacer"-verb-fra
"admoni"-verb-epo "ordonner"-verb-fra
"admoni"-verb-epo "reprocher"-verb-fra
"admoni"-verb-epo "requérir"-verb-fra
"admono"-noun-epo "admonestation"-noun-fra
"admono"-noun-epo "exhortation"-noun-fra
"admono"-noun-epo "mise en garde"-noun-fra
"admono"-noun-epo "réprimande"-noun-fra
"admono"-noun-epo "avertissement"-noun-fra
"admono"-noun-epo "ordre"-noun-fra
"admono"-noun-epo "reproche"-noun-fra
"adobo"-noun-epo "adobe"-noun-fra
"adoleska"-adjective-epo "adolescent"-adjective-fra
"adoleskanto"-noun-epo "adolescent"-noun-fra
"adolesko"-noun-epo "adolescence"-noun-fra
"adoleskulo"-noun-epo "adolescent"-noun-fra
"adoleskulo"-noun-epo "ado"-noun-fra
"Adolfo"-properNoun-epo "Adolphe"-properNoun-fra
"adolta"-adjective-epo "adulte"-adjective-fra
"adolteco"-noun-epo "âge adulte"-noun-fra
"adolteco"-noun-epo "maturité"-noun-fra
"adoltiĝi"-verb-epo "devenir adulte"-verb-fra
"adoltiĝi"-verb-epo "grandir"-verb-fra
"adoltiĝi"-verb-epo "mûrir"-verb-fra
"adoltiĝo"-noun-epo "maturation"-noun-fra
"adoltiĝo"-noun-epo "croissance"-noun-fra
"adolto"-noun-epo "adulte"-noun-fra
"adoptado"-noun-epo "adoption"-noun-fra
"adopti"-verb-epo "adopter"-verb-fra
"adopti"-verb-epo "choisir"-verb-fra
"adopti"-verb-epo "prendre"-verb-fra
"adopti"-verb-epo "ranger"-verb-fra
"adoptiĝo"-noun-epo "adoption"-noun-fra
"adoptita"-adjective-epo "adoptif"-adjective-fra
"adopto"-noun-epo "adoption"-noun-fra
"adorado"-noun-epo "adoration"-noun-fra
"adoranta"-adjective-epo "adorateur"-adjective-fra
"adoranto"-noun-epo "adorateur"-noun-fra
"adori"-verb-epo "adorer"-verb-fra
"adori"-verb-epo "chérir"-verb-fra
"adori"-verb-epo "rendre un culte"-verb-fra
"adori"-verb-epo "vénérer"-verb-fra
"adori"-verb-epo "révérer"-verb-fra
"adorkliniĝi"-verb-epo "prosterner"-verb-fra
"adoro"-noun-epo "adoration"-noun-fra
"adrenalino"-noun-epo "adrénaline"-noun-fra
"adrenalino"-noun-epo "épinéphrine"-noun-fra
"adresanto"-noun-epo "destinateur"-noun-fra
"adresanto"-noun-epo "expéditeur"-noun-fra
"adresaro"-noun-epo "carnet d'adresses"-noun-fra
"adresaro"-noun-epo "directoire"-noun-fra
"adresato"-noun-epo "destinataire"-noun-fra
"adresi"-verb-epo "adresser"-verb-fra
"adresi"-verb-epo "envoyer"-verb-fra
"adresi"-verb-epo "expédier"-verb-fra
"adresi"-verb-epo "exprimer"-verb-fra
"adresi"-verb-epo "poster"-verb-fra
"adresi"-verb-epo "présenter"-verb-fra
"adresita"-adjective-epo "destinataire"-adjective-fra
"adreso"-noun-epo "adresse"-noun-fra
"adstringa"-adjective-epo "astringent"-adjective-fra
"adulta"-adjective-epo "adultère"-adjective-fra
"adulta"-adjective-epo "adultérin"-adjective-fra
"adulta"-adjective-epo "infidéle"-adjective-fra
"adultado"-noun-epo "adultère"-noun-fra
"adultado"-noun-epo "cocufiage"-noun-fra
"adultado"-noun-epo "infidélité"-noun-fra
"adultema"-adjective-epo "adultère"-adjective-fra
"adultema"-adjective-epo "infidèle"-adjective-fra
"adulti"-verb-epo "cocufier son conjoint"-verb-fra
"adulti"-verb-epo "commettre l'adultère"-verb-fra
"adulti"-verb-epo "dénaturer"-verb-fra
"adulti"-verb-epo "faire cocu son conjoint"-verb-fra
"adulti"-verb-epo "tromper son conjoint"-verb-fra
"adultigi"-verb-epo "pousser à l'adultère"-verb-fra
"adultigi"-verb-epo "débaucher"-verb-fra
"adultigi"-verb-epo "dépraver"-verb-fra
"adultigi"-verb-epo "dévergonder"-verb-fra
"adulto"-noun-epo "cocufiage"-noun-fra
"adulto"-noun-epo "adultère"-noun-fra
"adulto"-noun-epo "infidélité"-noun-fra
"adultulo"-noun-epo "adultère"-noun-fra
"adultulo"-noun-epo "adultérin"-noun-fra
"adultulo"-noun-epo "homme adultère"-noun-fra
"adultulo"-noun-epo "femme adultère"-noun-fra
"advento"-noun-epo "avent"-noun-fra
"adverbo"-noun-epo "adverbe"-noun-fra
"adversa"-adjective-epo "adverse"-adjective-fra
"adverse"-adverb-epo "adversement"-adverb-fra
"advokato"-noun-epo "avocat"-noun-fra
