"Agustus"-noun-ind "agustus"-noun-zlm
"aborsi"-noun-ind "gugur"-verb-zlm
"aborsi"-noun-ind "gugur"-verb-zlm
"absah"-adjective-ind "sahih"-adjective-zlm
"absen"-verb-ind "absen"-verb-zlm
"absolut"-adjective-ind "mutlak"-adjective-zlm
"abstrak"-adjective-ind "abstrak"-adjective-zlm
"abstraksi"-noun-ind "abstraksi"-noun-zlm
"abu-abu"-noun-ind "kelabu"-noun-zlm
"abu"-noun-ind "abu"-noun-zlm
"abul"-verb-ind "abul"-verb-zlm
"acak"-adjective-ind "rawak"-adjective-zlm
"acap"-adjective-ind "acap"-adjective-zlm
"acap"-adverb-ind "acap"-adverb-zlm
"acar"-noun-ind "acar"-noun-zlm
"acara"-noun-ind "acara"-noun-zlm
"acara"-noun-ind "acara"-noun-zlm
"acara"-noun-ind "guam"-noun-zlm
"acara"-noun-ind "acara"-noun-zlm
"acu"-verb-ind "acu"-verb-zlm
"acu"-verb-ind "rujuk"-verb-zlm
"acu"-verb-ind "acu"-verb-zlm
"ada"-verb-ind "ada"-verb-zlm
"ada"-verb-ind "terdapat"-verb-zlm
"ada"-verb-ind "wujud"-noun-zlm
"ada"-verb-ind "ada"-verb-zlm
"ada"-verb-ind "ada"-verb-zlm
"ada"-verb-ind "ada"-verb-zlm
"ada"-verb-ind "ada"-verb-zlm
"ada"-verb-ind "wujud"-noun-zlm
"ada"-verb-ind "wujud"-noun-zlm
"ada"-verb-ind "ada"-verb-zlm
"ada"-verb-ind "ada"-verb-zlm
"ada"-verb-ind "perolehan"-noun-zlm
"adab"-noun-ind "adab"-noun-zlm
"adab"-noun-ind "tamadun"-noun-zlm
"adab"-noun-ind "tamadun"-noun-zlm
"adakala"-adverb-ind "adakala"-adverb-zlm
"adakalanya"-adverb-ind "adakalanya"-adverb-zlm
"adakan"-adverb-ind "adakan"-adverb-zlm
"adam"-noun-ind "adam"-noun-zlm
"adang"-verb-ind "adang"-verb-zlm
"adaptasi"-noun-ind "adaptasi"-noun-zlm
"adaptasi"-noun-ind "menyesuaikan"-verb-zlm
"adaptasi"-noun-ind "adaptasi"-noun-zlm
"adaptif"-adjective-ind "adaptif"-adjective-zlm
"adapun"-preposition-ind "adapun"-preposition-zlm
"adat"-noun-ind "adat"-noun-zlm
"adegan"-noun-ind "adegan"-noun-zlm
"adik"-noun-ind "adik"-noun-zlm
"adil"-adjective-ind "adil"-adjective-zlm
"adil"-adjective-ind "mengadili"-verb-zlm
"adil"-adjective-ind "adil"-adjective-zlm
"adil"-adjective-ind "mahkamah"-noun-zlm
"adil"-adjective-ind "adil"-adjective-zlm
"adil"-adjective-ind "mahkamah"-noun-zlm
"adil"-adjective-ind "tribunal"-noun-zlm
"adil"-adjective-ind "hakim"-noun-zlm
"adil"-adjective-ind "hakim"-noun-zlm
"adinda"-noun-ind "adinda"-noun-zlm
"adipati"-noun-ind "adipati"-noun-zlm
"adisi"-noun-ind "tambah"-noun-zlm
"aditif"-adjective-ind "aditif"-adjective-zlm
"adjektiva"-noun-ind "adjektif"-noun-zlm
"administrasi"-noun-ind "pentadbiran"-noun-zlm
"administrasi"-noun-ind "pentadbiran"-adjective-zlm
"administratif"-adjective-ind "administratif"-adjective-zlm
"administratif"-adjective-ind "pentadbiran"-noun-zlm
"administrator"-noun-ind "pentadbir"-noun-zlm
"admiral"-noun-ind "admiral"-noun-zlm
"adnan"-noun-ind "adnan"-noun-zlm
"adon"-verb-ind "adun"-adjective-zlm
"adopsi"-noun-ind "adopsi"-noun-zlm
"adopsi"-noun-ind "mengadopsi"-verb-zlm
"adu"-verb-ind "adu"-verb-zlm
"adu"-verb-ind "adu"-verb-zlm
"adu"-verb-ind "adu"-verb-zlm
"aduh"-interjection-ind "aduh"-interjection-zlm
"aduhai"-interjection-ind "aduhai"-interjection-zlm
"adun"-adjective-ind "adun"-adjective-zlm
"advokasi"-noun-ind "advokasi"-noun-zlm
"advokat"-noun-ind "advokat"-noun-zlm
"aerobik"-adjective-ind "aerobik"-adjective-zlm
"aerodinamik"-adjective-ind "aerodinamik"-adjective-zlm
"aerodinamika"-noun-ind "aerodinamik"-adjective-zlm
"afdeling"-noun-ind "afdeling"-noun-zlm
"afiliasi"-noun-ind "sekutu"-noun-zlm
"afrika"-properNoun-ind "afrika"-properNoun-zlm
"agak"-noun-ind "agak"-noun-zlm
"agaknya"-adverb-ind "agaknya"-adverb-zlm
"agam"-adjective-ind "agam"-adjective-zlm
"agam"-adjective-ind "pelbagai"-adjective-zlm
"agama"-noun-ind "agama"-noun-zlm
"agar"-subordinatingConjunction-ind "agar"-subordinatingConjunction-zlm
"agar"-subordinatingConjunction-ind "supaya"-subordinatingConjunction-zlm
"agen"-noun-ind "agen"-noun-zlm
"agenda"-noun-ind "agenda"-noun-zlm
"agraria"-noun-ind "agraria"-noun-zlm
"agraris"-adjective-ind "agrarian"-adjective-zlm
"agregat"-noun-ind "agregat"-noun-zlm
"agresi"-noun-ind "pencerobohan"-noun-zlm
"agresif"-adjective-ind "agresif"-adjective-zlm
"agribisnis"-noun-ind "agribisnis"-noun-zlm
"agung"-adjective-ind "agung"-adjective-zlm
"agus"-noun-ind "agus"-noun-zlm
"agustus"-noun-ind "ogos"-noun-zlm
"ah"-interjection-ind "ah"-interjection-zlm
"ahad"-noun-ind "ahad"-noun-zlm
"ahad"-noun-ind "ahad"-noun-zlm
"ahli"-noun-ind "pakar"-noun-zlm
"ahli"-noun-ind "keahliannya"-noun-zlm
"ahli"-noun-ind "ahli"-noun-zlm
"ahmad"-properNoun-ind "ahmad"-properNoun-zlm
"aib"-adjective-ind "aib"-adjective-zlm
"ain"-noun-ind "ain"-noun-zlm
"air"-noun-ind "mengairi"-verb-zlm
"air"-noun-ind "air"-noun-zlm
"air"-noun-ind "air"-noun-zlm
"air"-noun-ind "air"-noun-zlm
"air"-noun-ind "air"-noun-zlm
"air"-noun-ind "akuatik"-adjective-zlm
"aja"-noun-ind "aja"-noun-zlm
"ajaib"-adjective-ind "ajaib"-adjective-zlm
"ajak"-verb-ind "ajak"-verb-zlm
"ajal"-noun-ind "ajal"-noun-zlm
"ajang"-noun-ind "temasya"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "mengajarnya"-verb-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "kaji"-noun-zlm
"ajar"-noun-ind "mempelajarinya"-verb-zlm
"ajar"-noun-ind "mengajari"-verb-zlm
"ajar"-noun-ind "mengajarinya"-verb-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "dipelajarinya"-verb-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"ajar"-noun-ind "ajarannya"-noun-zlm
"ajar"-noun-ind "ajar"-noun-zlm
"aji"-adjective-ind "aji"-adjective-zlm
"aju"-verb-ind "aju"-verb-zlm
"aju"-verb-ind "muka"-noun-zlm
"aju"-verb-ind "muka"-noun-zlm
"aju"-verb-ind "cadang"-verb-zlm
"ajudan"-noun-ind "ajutan"-noun-zlm
"akad"-noun-ind "akad"-noun-zlm
"akademi"-noun-ind "akademi"-noun-zlm
"akademik"-adjective-ind "akademik"-adjective-zlm
"akademis"-adjective-ind "akademik"-adjective-zlm
"akademisi"-noun-ind "akademik"-adjective-zlm
"akal"-noun-ind "akal"-noun-zlm
"akan tetapi"-coordinatingConjunction-ind "akan tetapi"-coordinatingConjunction-zlm
"akan"-adverb-ind "akan"-adverb-zlm
"akan"-coordinatingConjunction-ind "akan"-coordinatingConjunction-zlm
"akar"-noun-ind "akar"-noun-zlm
"akbar"-adjective-ind "akbar"-adjective-zlm
"akhir-akhir"-adverb-ind "akhir-akhir"-adverb-zlm
"akhir"-noun-ind "akhir"-noun-zlm
"akhir"-noun-ind "akhir"-noun-zlm
"akhir"-noun-ind "tamat"-verb-zlm
"akhir"-noun-ind "akhir"-noun-zlm
"akhir"-noun-ind "tamat"-verb-zlm
"akhir"-noun-ind "akhir"-noun-zlm
"akhir"-noun-ind "akhir"-noun-zlm
"akhir"-noun-ind "akhir"-noun-zlm
"akhir"-noun-ind "akhir"-noun-zlm
"akhir"-noun-ind "hujung"-noun-zlm
"akhir"-noun-ind "muktamad"-adjective-zlm
"akhirat"-noun-ind "akhirat"-noun-zlm
"akhirnya"-adverb-ind "akhirnya"-adverb-zlm
"akhirnya"-adverb-ind "kelamaan"-noun-zlm
"akhlak"-noun-ind "akhlak"-noun-zlm
"aki"-noun-ind "aki"-noun-zlm
"akibat"-noun-ind "akibat"-noun-zlm
"akidah"-noun-ind "akidah"-noun-zlm
"akomodasi"-noun-ind "inap"-verb-zlm
"akomodasi"-noun-ind "inap"-verb-zlm
"akrab"-adjective-ind "akrab"-adjective-zlm
"akreditasi"-noun-ind "akreditasi"-noun-zlm
"akrobat"-noun-ind "akrobat"-noun-zlm
"akronim"-noun-ind "akronim"-noun-zlm
"aksara"-noun-ind "aksara"-noun-zlm
"aksara"-noun-ind "aksara"-noun-zlm
"akselerasi"-noun-ind "akselerasi"-noun-zlm
"aksen"-noun-ind "aksen"-noun-zlm
"akses"-noun-ind "akses"-noun-zlm
"akses"-noun-ind "akses"-noun-zlm
"akses"-noun-ind "capai"-verb-zlm
"aksesori"-noun-ind "aksesori"-noun-zlm
"aksi"-noun-ind "aksi"-noun-zlm
"aksioma"-noun-ind "aksiom"-noun-zlm
"akson"-noun-ind "akson"-noun-zlm
"akta"-noun-ind "akta"-noun-zlm
"akte"-noun-ind "sijil"-noun-zlm
"aktif"-adjective-ind "aktif"-adjective-zlm
"aktiva"-noun-ind "aset"-noun-zlm
"aktivis"-noun-ind "aktivis"-noun-zlm
"aktivitas"-noun-ind "aktiviti"-noun-zlm
"aktor"-noun-ind "aktor"-noun-zlm
"aktor"-noun-ind "lakon"-noun-zlm
"aktor"-noun-ind "lakon"-noun-zlm
"aktris"-noun-ind "aktres"-noun-zlm
"aktual"-adjective-ind "aktual"-adjective-zlm
"aku"-pronoun-ind "aku"-pronoun-zlm
"aku"-pronoun-ind "aku"-pronoun-zlm
"aku"-pronoun-ind "aku"-pronoun-zlm
"akuarium"-noun-ind "akuarium"-noun-zlm
"akuatik"-adjective-ind "akuatik"-adjective-zlm
"akuisisi"-noun-ind "ambil alih"-verb-zlm
"akuisisi"-noun-ind "ambil alih"-verb-zlm
"akumulasi"-noun-ind "akumulasi"-noun-zlm
"akumulasi"-noun-ind "kumpul"-verb-zlm
"akumulasi"-noun-ind "terakumulasi"-verb-zlm
"akumulasi"-noun-ind "akumulasi"-noun-zlm
"akun"-noun-ind "akaun"-noun-zlm
"akuntabilitas"-noun-ind "akauntabiliti"-noun-zlm
"akuntan"-noun-ind "akauntan"-noun-zlm
"akuntansi"-noun-ind "perakaunan"-noun-zlm
"akur"-adjective-ind "akur"-adjective-zlm
"akurasi"-noun-ind "tepat"-adjective-zlm
"akurasi"-noun-ind "tepat"-adjective-zlm
"akurat"-adjective-ind "tepat"-adjective-zlm
"akurat"-adjective-ind "keakuratan"-noun-zlm
"akurat"-adjective-ind "keakuratan"-noun-zlm
"akustik"-adjective-ind "akustik"-adjective-zlm
"akut"-adjective-ind "akut"-adjective-zlm
"alaf"-numeral-ind "alaf"-numeral-zlm
"alah"-adjective-ind "alah"-adjective-zlm
"alah"-adjective-ind "tumpas"-verb-zlm
"alah"-adjective-ind "tewas"-verb-zlm
"alam"-noun-ind "alam"-noun-zlm
"alamak"-interjection-ind "alamak"-interjection-zlm
"alamat"-noun-ind "alamat"-noun-zlm
"alami"-adjective-ind "alami"-adjective-zlm
"alami"-adjective-ind "semulajadi"-adjective-zlm
"alamiah"-adjective-ind "alamiah"-adjective-zlm
"alang-alang"-noun-ind "alang"-noun-zlm
"alang"-noun-ind "alang"-noun-zlm
"alangkah"-adverb-ind "alangkah"-adverb-zlm
"alarm"-noun-ind "penggera"-noun-zlm
"alas"-noun-ind "alas"-noun-zlm
"alat"-noun-ind "alat"-noun-zlm
"alat"-noun-ind "perkakas"-noun-zlm
"album"-noun-ind "album"-noun-zlm
"aldehida"-noun-ind "aldehid"-noun-zlm
"alel"-noun-ind "alel"-noun-zlm
"alergi"-noun-ind "alahan"-noun-zlm
"alergi"-noun-ind "alergi"-noun-zlm
"alfa"-noun-ind "alfa"-noun-zlm
"alfabet"-noun-ind "alfabet"-noun-zlm
"alga"-adjective-ind "alga"-adjective-zlm
"algoritma"-noun-ind "algoritma"-noun-zlm
"alhamdulillah"-interjection-ind "alhamdulillah"-interjection-zlm
"alhasil"-subordinatingConjunction-ind "alhasil"-subordinatingConjunction-zlm
"ali"-verb-ind "ali"-verb-zlm
"aliansi"-noun-ind "ikat"-noun-zlm
"aliansi"-noun-ind "ikat"-noun-zlm
"aliansi"-noun-ind "pakatan"-noun-zlm
"alih"-verb-ind "alih"-verb-zlm
"alih"-verb-ind "alih"-verb-zlm
"alih"-verb-ind "alih"-verb-zlm
"alih"-verb-ind "alih"-verb-zlm
"alih"-verb-ind "alih"-verb-zlm
"alih"-verb-ind "alihan"-noun-zlm
"alih"-verb-ind "alih"-verb-zlm
"alih"-verb-ind "alihan"-noun-zlm
"alih"-verb-ind "alih"-verb-zlm
"alik"-verb-ind "alik"-verb-zlm
"alim"-adjective-ind "alim"-adjective-zlm
"alim"-adjective-ind "zuhud"-noun-zlm
"alir"-verb-ind "alir"-verb-zlm
"alir"-verb-ind "alir"-verb-zlm
"alir"-verb-ind "alir"-verb-zlm
"alir"-verb-ind "alir"-verb-zlm
"alir"-verb-ind "alir"-verb-zlm
"alis"-noun-ind "kening"-noun-zlm
"alis"-noun-ind "kening"-noun-zlm
"alit"-noun-ind "alit"-noun-zlm
"aljabar"-noun-ind "algebra"-noun-zlm
"alkali"-noun-ind "alkali"-noun-zlm
"alkaloid"-noun-ind "alkaloid"-noun-zlm
"alkana"-noun-ind "alkana"-noun-zlm
"alkena"-noun-ind "alkena"-noun-zlm
"alkil"-noun-ind "alkil"-noun-zlm
"alkimia"-noun-ind "alkimia"-noun-zlm
"alkitab"-noun-ind "alkitab"-noun-zlm
"alkohol"-noun-ind "alkohol"-noun-zlm
"almarhum"-noun-ind "allahyarham"-noun-zlm
"almarhum"-noun-ind "almarhum"-noun-zlm
"almarhum"-noun-ind "allahyarham"-noun-zlm
"aloi"-noun-ind "aloi"-noun-zlm
"alokasi"-noun-ind "memperuntukkan"-verb-zlm
"alokasi"-noun-ind "peruntukan"-noun-zlm
"alquran"-noun-ind "alquran"-noun-zlm
"altar"-noun-ind "altar"-noun-zlm
"alternatif"-noun-ind "alternatif"-noun-zlm
"alto"-noun-ind "alto"-noun-zlm
"aluminium"-noun-ind "aluminium"-noun-zlm
"alumni"-noun-ind "alumni"-noun-zlm
"alumnus"-noun-ind "bekas"-noun-zlm
"alun-alun"-noun-ind "alun"-noun-zlm
"alun"-noun-ind "alun"-noun-zlm
"alur"-noun-ind "alur"-noun-zlm
"aluvial"-adjective-ind "aluvial"-adjective-zlm
"am"-adjective-ind "am"-adjective-zlm
"ama"-noun-ind "ama"-noun-zlm
"amal"-noun-ind "amal"-noun-zlm
"amal"-noun-ind "amal"-noun-zlm
"amal"-noun-ind "amal"-noun-zlm
"amal"-noun-ind "amal"-noun-zlm
"aman"-adjective-ind "aman"-adjective-zlm
"aman"-adjective-ind "jamin"-verb-zlm
"aman"-adjective-ind "aman"-adjective-zlm
"aman"-adjective-ind "selamat"-adjective-zlm
"aman"-adjective-ind "keselamatannya"-noun-zlm
"aman"-adjective-ind "aman"-adjective-zlm
"aman"-adjective-ind "keledar"-verb-zlm
"aman"-adjective-ind "aman"-adjective-zlm
"amanah"-noun-ind "amanah"-noun-zlm
"amanat"-noun-ind "amanat"-noun-zlm
"amandemen"-noun-ind "pinda"-verb-zlm
"amandemen"-noun-ind "pinda"-verb-zlm
"amar"-noun-ind "amar"-noun-zlm
"amar"-noun-ind "amar"-noun-zlm
"amarah"-adjective-ind "amarah"-adjective-zlm
"amat"-adverb-ind "amat"-adverb-zlm
"amat"-verb-ind "perhati"-verb-zlm
"amat"-verb-ind "pemerhatian"-noun-zlm
"amatir"-noun-ind "amatur"-noun-zlm
"amatlah"-adverb-ind "amatlah"-adverb-zlm
"ambang"-noun-ind "ambang"-noun-zlm
"ambar"-noun-ind "ambar"-noun-zlm
"ambigu"-adjective-ind "ambigu"-adjective-zlm
"ambil alih"-verb-ind "ambil alih"-verb-zlm
"ambil"-verb-ind "ambil"-verb-zlm
"ambil"-verb-ind "muat"-verb-zlm
"ambil"-verb-ind "ambil"-verb-zlm
"ambil"-verb-ind "ambil"-verb-zlm
"ambisi"-noun-ind "bercita-cita"-verb-zlm
"ambisi"-noun-ind "cita"-noun-zlm
"ambisius"-adjective-ind "bercita-cita"-verb-zlm
"ambruk"-verb-ind "ambruk"-verb-zlm
"ambulans"-noun-ind "ambulans"-noun-zlm
"amerika"-properNoun-ind "amerika"-properNoun-zlm
"amerta"-adjective-ind "amerta"-adjective-zlm
"amfibi"-noun-ind "amfibia"-noun-zlm
"ami"-adjective-ind "ami"-adjective-zlm
"amina"-noun-ind "amina"-noun-zlm
"amino"-noun-ind "amino"-noun-zlm
"amir"-noun-ind "amir"-noun-zlm
"amnesia"-noun-ind "amnesia"-noun-zlm
"amnesti"-noun-ind "amnesti"-noun-zlm
"amonia"-noun-ind "ammonia"-noun-zlm
"ampang"-adjective-ind "ampang"-adjective-zlm
"ampat"-numeral-ind "ampat"-numeral-zlm
"ampek"-noun-ind "ampek"-noun-zlm
"ampel"-noun-ind "ampel"-noun-zlm
"amplitudo"-noun-ind "amplitud"-noun-zlm
"amplop"-noun-ind "sampul"-noun-zlm
"ampuh"-adjective-ind "ampuh"-adjective-zlm
"ampun"-noun-ind "ampun"-noun-zlm
"amuk"-noun-ind "amuk"-noun-zlm
"amunisi"-noun-ind "peluru"-noun-zlm
"ana"-noun-ind "ana"-noun-zlm
"anaerob"-noun-ind "anaerob"-noun-zlm
"anaerobik"-adjective-ind "anaerobik"-adjective-zlm
"anak"-noun-ind "anak"-noun-zlm
"anak"-noun-ind "anak"-noun-zlm
"anak"-noun-ind "anak"-noun-zlm
"anak"-noun-ind "kanak-kanak"-noun-zlm
"anak"-noun-ind "anakan"-noun-zlm
"anak"-noun-ind "anakan"-noun-zlm
"anak"-noun-ind "anak"-noun-zlm
"anal"-adjective-ind "anal"-adjective-zlm
"analis"-noun-ind "analisis"-noun-zlm
"analis"-noun-ind "analisis"-noun-zlm
"analisa"-noun-ind "analisa"-noun-zlm
"analisis"-noun-ind "analisis"-noun-zlm
"analisis"-noun-ind "analisis"-noun-zlm
"analisis"-noun-ind "analisis"-noun-zlm
"analog"-adjective-ind "analog"-adjective-zlm
"analogi"-noun-ind "analogi"-noun-zlm
"ananda"-noun-ind "ananda"-noun-zlm
"anang"-noun-ind "anang"-noun-zlm
"anarki"-noun-ind "anarki"-noun-zlm
"anarkis"-noun-ind "anarkis"-noun-zlm
"anarkisme"-noun-ind "anarkisme"-noun-zlm
"anatomi"-noun-ind "anatomi"-noun-zlm
"anatomis"-adjective-ind "anatomis"-adjective-zlm
"ancam"-verb-ind "ancam"-verb-zlm
"ancam"-verb-ind "ugut"-noun-zlm
"ancam"-verb-ind "ugut"-noun-zlm
"ancol"-noun-ind "ancol"-noun-zlm
"anda"-pronoun-ind "anda"-pronoun-zlm
"andaikata"-subordinatingConjunction-ind "andaikata"-subordinatingConjunction-zlm
"andal"-adjective-ind "handalan"-noun-zlm
"andal"-adjective-ind "gantung"-verb-zlm
"andal"-adjective-ind "handalan"-noun-zlm
"andal"-adjective-ind "handalan"-adjective-zlm
"andalas"-noun-ind "andalas"-noun-zlm
"andam"-noun-ind "andam"-noun-zlm
"andesit"-noun-ind "andesit"-noun-zlm
"andika"-noun-ind "andika"-noun-zlm
"andil"-noun-ind "andil"-noun-zlm
"andong"-noun-ind "andong"-noun-zlm
"aneh-aneh"-adverb-ind "aneh-aneh"-adverb-zlm
"aneh"-adjective-ind "aneh"-adjective-zlm
"aneh"-adjective-ind "keanehan"-noun-zlm
"aneka"-numeral-ind "aneka"-numeral-zlm
"anekdot"-noun-ind "anekdot"-noun-zlm
"aneksasi"-noun-ind "aneksasi"-noun-zlm
"aneksasi"-noun-ind "menganeksasi"-verb-zlm
"anemia"-noun-ind "anemia"-noun-zlm
"anestesi"-noun-ind "anestesia"-noun-zlm
"anestesia"-noun-ind "anestesia"-noun-zlm
"angel"-adjective-ind "angel"-adjective-zlm
"angga"-verb-ind "tanduk"-noun-zlm
"anggap"-verb-ind "anggap"-verb-zlm
"anggar"-adverb-ind "anggar"-adverb-zlm
"anggar"-noun-ind "anggaran"-noun-zlm
"anggota"-noun-ind "ahli"-noun-zlm
"anggota"-noun-ind "anggota"-noun-zlm
"anggota"-noun-ind "anggota"-noun-zlm
"anggrek"-noun-ind "orkid"-noun-zlm
"anggun"-adjective-ind "anggun"-adjective-zlm
"anggur"-noun-ind "wain"-noun-zlm
"anggur"-verb-ind "anggur"-verb-zlm
"anggur"-verb-ind "anggur"-verb-zlm
"angin"-noun-ind "angin"-noun-zlm
"angin"-noun-ind "angin"-noun-zlm
"angka"-noun-ind "angka"-noun-zlm
"angka"-noun-ind "angka"-noun-zlm
"angkasa"-noun-ind "angkasa"-noun-zlm
"angkat"-verb-ind "angkat"-verb-zlm
"angkat"-verb-ind "angkat"-verb-zlm
"angkat"-verb-ind "mengangkatnya"-verb-zlm
"angkat"-verb-ind "lantik"-verb-zlm
"angkat"-verb-ind "pelantikannya"-noun-zlm
"angkat"-verb-ind "peranti"-noun-zlm
"angkat"-verb-ind "peranti"-noun-zlm
"angkat"-verb-ind "peranti"-noun-zlm
"angkat"-verb-ind "angkat"-verb-zlm
"angkat"-verb-ind "tentera"-noun-zlm
"angkat"-verb-ind "terangkat"-verb-zlm
"angker"-adjective-ind "angker"-adjective-zlm
"angklung"-noun-ind "angklung"-noun-zlm
"angkuh"-adjective-ind "angkuh"-adjective-zlm
"angkut"-verb-ind "angkut"-verb-zlm
"angkut"-verb-ind "angkut"-verb-zlm
"angkut"-verb-ind "angkut"-verb-zlm
"angkut"-verb-ind "angkut"-verb-zlm
"angkut"-verb-ind "angkut"-verb-zlm
"angsa"-noun-ind "angsa"-noun-zlm
"angsana"-noun-ind "angsana"-noun-zlm
"angsur"-verb-ind "beransur"-verb-zlm
"ani"-noun-ind "ani"-noun-zlm
"aniaya"-noun-ind "aniaya"-noun-zlm
"animasi"-noun-ind "animasi"-noun-zlm
"animisme"-noun-ind "animisme"-noun-zlm
"anion"-noun-ind "anion"-noun-zlm
"anis"-noun-ind "anis"-noun-zlm
"anjak"-verb-ind "beranjak"-verb-zlm
"anjal"-verb-ind "anjal"-verb-zlm
"anjing"-noun-ind "anjing"-noun-zlm
"anjung"-noun-ind "lantar"-verb-zlm
"anjung"-noun-ind "koridor"-noun-zlm
"anoa"-noun-ind "anoa"-noun-zlm
"anode"-noun-ind "anod"-noun-zlm
"anom"-adjective-ind "anom"-adjective-zlm
"anomali"-noun-ind "anomali"-noun-zlm
"anonim"-adjective-ind "anonim"-adjective-zlm
"anorganik"-adjective-ind "organik"-adjective-zlm
"anta"-adjective-ind "anta"-adjective-zlm
"antagonis"-noun-ind "antagonis"-noun-zlm
"antar"-verb-ind "antar"-verb-zlm
"antar"-verb-ind "mengantar"-verb-zlm
"antar"-verb-ind "mengantarkan"-verb-zlm
"antar"-verb-ind "mengantarkannya"-verb-zlm
"antar"-verb-ind "hantar"-verb-zlm
"antar"-verb-ind "antar"-verb-zlm
"antara"-noun-ind "antara"-noun-zlm
"antara"-noun-ind "antara"-noun-zlm
"antara"-noun-ind "antara"-noun-zlm
"antara"-noun-ind "antara"-noun-zlm
"antara"-preposition-ind "antara"-preposition-zlm
"antariksa"-noun-ind "lepas"-adjective-zlm
"antarmuka"-noun-ind "muka"-noun-zlm
"antarnegara"-adjective-ind "antarnegara"-adjective-zlm
"antartika"-noun-ind "antartika"-noun-zlm
"antena"-noun-ind "antena"-noun-zlm
"anterior"-adjective-ind "anterior"-adjective-zlm
"antibiotik"-noun-ind "antibiotik"-noun-zlm
"antibodi"-noun-ind "antibodi"-noun-zlm
"antigen"-noun-ind "antigen"-noun-zlm
"antik"-adjective-ind "antik"-adjective-zlm
"antiseptik"-adjective-ind "antiseptik"-adjective-zlm
"antisipasi"-noun-ind "jangka"-noun-zlm
"antisipasi"-noun-ind "jangka"-noun-zlm
"antologi"-noun-ind "antologi"-noun-zlm
"antropolog"-noun-ind "antropolog"-noun-zlm
"antropologi"-noun-ind "antropologi"-noun-zlm
"antusias"-adjective-ind "antusias"-adjective-zlm
"antusiasme"-noun-ind "keghairahan"-noun-zlm
"anugerah"-noun-ind "anugerah"-noun-zlm
"anugerah"-noun-ind "menganugerahi"-verb-zlm
"anugerah"-noun-ind "menganugerahinya"-verb-zlm
"anugerah"-noun-ind "anugerah"-noun-zlm
