"ac’h"-interjection-bre "arrg"-interjection-fra
"kenvroadezed ker"-interjection-bre "chères compatriotes"-interjection-fra
"ken warc’hoazh"-interjection-bre "à demain"-interjection-fra
"kevarc’h"-interjection-bre "salut"-interjection-fra
"koukou"-interjection-bre "coucou"-interjection-fra
"loñla"-interjection-bre "lonla"-interjection-fra
"la di ga dra"-interjection-bre "tralalère"-interjection-fra
"ma"-interjection-bre "bien"-interjection-fra
"mignon ker"-interjection-bre "cher ami"-interjection-fra
"mignoned ker"-interjection-bre "chers amis"-interjection-fra
"mignonez ker"-interjection-bre "chère amie"-interjection-fra
"mignonezed ker"-interjection-bre "chères amies"-interjection-fra
"mou"-interjection-bre "bon"-interjection-fra
"nebaon"-interjection-bre "soyez sans crainte"-interjection-fra
"nedeleg laouen"-interjection-bre "joyeux noël"-interjection-fra
"nedeleg laouen d’an holl"-interjection-bre "joyeux noël à tous"-interjection-fra
"nedeleg laouen dit"-interjection-bre "joyeux noël"-interjection-fra
"nedeleg laouen deoc’h"-interjection-bre "joyeux noël"-interjection-fra
"nedeleg laouen deoc’h-holl"-interjection-bre "joyeux noël à tous"-interjection-fra
"noz vat"-interjection-bre "bonsoir"-interjection-fra
"noz vat d’an holl"-interjection-bre "bonsoir à tous"-interjection-fra
"noz vat deoc’h"-interjection-bre "bonsoir"-interjection-fra
"noz vat deoc’h-holl"-interjection-bre "bonsoir à tous"-interjection-fra
"noz vat dit"-interjection-bre "bonsoir"-interjection-fra
"nozvezh vat"-interjection-bre "bonsoir"-interjection-fra
"nozvezh vat d’an holl"-interjection-bre "bonsoir à tous"-interjection-fra
"nozvezh vat deoc’h"-interjection-bre "bonsoir"-interjection-fra
"nozvezh vat deoc’h-holl"-interjection-bre "bonsoir à tous"-interjection-fra
"nozvezh vat dit"-interjection-bre "bonsoir"-interjection-fra
"o"-interjection-bre "oh"-interjection-fra
"pask laouen"-interjection-bre "joyeuses pâques"-interjection-fra
"pask laouen d’an holl"-interjection-bre "joyeuses pâques à tous"-interjection-fra
"pask laouen dit"-interjection-bre "joyeuses pâques"-interjection-fra
"pask laouen deoc’h"-interjection-bre "joyeuses pâques"-interjection-fra
"pask laouen deoc’h-holl"-interjection-bre "joyeuses pâques à tous"-interjection-fra
"salud"-interjection-bre "salut"-interjection-fra
"salud d’an holl"-interjection-bre "salut à tous"-interjection-fra
"salud dit"-interjection-bre "salut"-interjection-fra
"salud deoc’h"-interjection-bre "salut"-interjection-fra
"salud tout an dud"-interjection-bre "salut à tous"-interjection-fra
"siwazh"-interjection-bre "hélas"-interjection-fra
"tchin"-interjection-bre "tchin"-interjection-fra
"tra la la"-interjection-bre "tralalère"-interjection-fra
"trawalc’h"-interjection-bre "ça suffit"-interjection-fra
"trugarez d’an holl"-interjection-bre "merci à tous"-interjection-fra
"trugarez dit"-interjection-bre "merci"-interjection-fra
"trugarez deoc’h"-interjection-bre "merci"-interjection-fra
"trugarez deoc’h-holl"-interjection-bre "merci à vous tous"-interjection-fra
"trugarez vras"-interjection-bre "merci beaucoup"-interjection-fra
"trugarez vras d’an holl"-interjection-bre "merci beaucoup à tous"-interjection-fra
"trugarez vras deoc’h"-interjection-bre "merci beaucoup à vous"-interjection-fra
"trugarez vras deoc’h-holl"-interjection-bre "merci beaucoup à vous tous"-interjection-fra
"trugarez vras dit"-interjection-bre "merci beaucoup à toi"-interjection-fra
"holl"-determiner-bre "tout"-determiner-fra
"holl"-determiner-bre "tout"-determiner-fra
"holl"-determiner-bre "tout"-determiner-fra
"holl"-determiner-bre "tout"-determiner-fra
"holl"-determiner-bre "tout"-determiner-fra
"gwall"-determiner-bre "très"-determiner-fra
"an"-determiner-bre "le"-determiner-fra
"an"-determiner-bre "le"-determiner-fra
"an"-determiner-bre "le"-determiner-fra
"an"-determiner-bre "le"-determiner-fra
"un"-determiner-bre "un"-determiner-fra
"un"-determiner-bre "un"-determiner-fra
"un"-determiner-bre "un"-determiner-fra
"kement"-determiner-bre "chaque"-determiner-fra
"pep"-determiner-bre "chaque"-determiner-fra
"bep"-determiner-bre "tous les"-determiner-fra
"meur a"-determiner-bre "plusieurs"-determiner-fra
"nemeur a"-determiner-bre "guère"-determiner-fra
"pep tra"-pronoun-bre "tout"-pronoun-fra
"henn"-pronoun-bre "cela"-pronoun-fra
"kement-mañ"-pronoun-bre "ceci"-pronoun-fra
"kement-se"-pronoun-bre "cela"-pronoun-fra
"ma"-determiner-bre "mon"-determiner-fra
"ma"-determiner-bre "mon"-determiner-fra
"ma"-determiner-bre "mon"-determiner-fra
"ma"-determiner-bre "mon"-determiner-fra
"da"-determiner-bre "ton"-determiner-fra
"da"-determiner-bre "ton"-determiner-fra
"da"-determiner-bre "ton"-determiner-fra
"da"-determiner-bre "ton"-determiner-fra
"e"-determiner-bre "son"-determiner-fra
"e"-determiner-bre "son"-determiner-fra
"e"-determiner-bre "son"-determiner-fra
"e"-determiner-bre "son"-determiner-fra
"he"-determiner-bre "son"-determiner-fra
"he"-determiner-bre "son"-determiner-fra
"he"-determiner-bre "son"-determiner-fra
"he"-determiner-bre "son"-determiner-fra
"hon"-determiner-bre "notre"-determiner-fra
"hon"-determiner-bre "notre"-determiner-fra
"hon"-determiner-bre "notre"-determiner-fra
"ho"-determiner-bre "votre"-determiner-fra
"ho"-determiner-bre "votre"-determiner-fra
"ho"-determiner-bre "votre"-determiner-fra
"o"-determiner-bre "leur"-determiner-fra
"o"-determiner-bre "leur"-determiner-fra
"o"-determiner-bre "leur"-determiner-fra
"prpers"-pronoun-bre "je"-pronoun-fra
"prpers"-pronoun-bre "tu"-pronoun-fra
"prpers"-pronoun-bre "il"-pronoun-fra
"prpers"-pronoun-bre "il"-pronoun-fra
"prpers"-pronoun-bre "nous"-pronoun-fra
"prpers"-pronoun-bre "vous"-pronoun-fra
"prpers"-pronoun-bre "il"-pronoun-fra
"prpers"-pronoun-bre "il"-pronoun-fra
"prpers"-pronoun-bre "il"-pronoun-fra
"direct"-pronoun-bre "me"-pronoun-fra
"direct"-pronoun-bre "te"-pronoun-fra
"direct"-pronoun-bre "le"-pronoun-fra
"direct"-pronoun-bre "le"-pronoun-fra
"direct"-pronoun-bre "nous"-pronoun-fra
"direct"-pronoun-bre "vous"-pronoun-fra
"direct"-pronoun-bre "le"-pronoun-fra
"indirect"-pronoun-bre "moi"-pronoun-fra
"indirect"-pronoun-bre "toi"-pronoun-fra
"indirect"-pronoun-bre "lui"-pronoun-fra
"indirect"-pronoun-bre "lui"-pronoun-fra
"indirect"-pronoun-bre "il"-pronoun-fra
"indirect"-pronoun-bre "nous"-pronoun-fra
"indirect"-pronoun-bre "vous"-pronoun-fra
"indirect"-pronoun-bre "eux"-pronoun-fra
"direct"-pronoun-bre "moi-même"-pronoun-fra
"direct"-pronoun-bre "toi-même"-pronoun-fra
"direct"-pronoun-bre "lui-même"-pronoun-fra
"direct"-pronoun-bre "lui-même"-pronoun-fra
"direct"-pronoun-bre "lui-même"-pronoun-fra
"direct"-pronoun-bre "lui-même"-pronoun-fra
"direct"-pronoun-bre "soi-même"-pronoun-fra
"direct"-pronoun-bre "nous-mêmes"-pronoun-fra
"direct"-pronoun-bre "vous-mêmes"-pronoun-fra
"direct"-pronoun-bre "eux-mêmes"-pronoun-fra
"petra"-pronoun-bre "quoi"-pronoun-fra
"piv"-pronoun-bre "qui"-pronoun-fra
"daoust ha"-pronoun-bre "est-ce que"-pronoun-fra
"daoust hag-eñ"-pronoun-bre "est-ce que"-pronoun-fra
"hag-eñ"-pronoun-bre "est-ce que"-pronoun-fra
"peseurt"-pronoun-bre "quel"-pronoun-fra
"peseurt"-pronoun-bre "quel"-pronoun-fra
"peseurt"-pronoun-bre "quel"-pronoun-fra
"peseurt"-pronoun-bre "quel"-pronoun-fra
"peseurt"-pronoun-bre "quel"-pronoun-fra
"pegement"-pronoun-bre "combien"-pronoun-fra
"pet"-pronoun-bre "combien"-pronoun-fra
"pet eur eo"-interrogativePronoun-bre "quelle heure est-il"-pronoun-fra
"hemañ"-pronoun-bre "celui-ci"-pronoun-fra
"homañ"-pronoun-bre "celui-ci"-pronoun-fra
"houmañ"-pronoun-bre "celui-ci"-pronoun-fra
"ar re-mañ"-pronoun-bre "celui-ci"-pronoun-fra
"ar re-mañ"-pronoun-bre "celui-ci"-pronoun-fra
"ar re-mañ"-pronoun-bre "celui-ci"-pronoun-fra
"hennezh"-pronoun-bre "celui-là"-pronoun-fra
"honnezh"-pronoun-bre "celui-là"-pronoun-fra
"hounnezh"-pronoun-bre "celui-là"-pronoun-fra
"ar re-se"-pronoun-bre "celui-là"-pronoun-fra
"ar re-se"-pronoun-bre "celui-là"-pronoun-fra
"ar re-se"-pronoun-bre "celui-là"-pronoun-fra
"henhont"-pronoun-bre "celui-là"-pronoun-fra
"honhont"-pronoun-bre "celui-là"-pronoun-fra
"hounhont"-pronoun-bre "celui-là"-pronoun-fra
"ar re-hont"-pronoun-bre "celui-là"-pronoun-fra
"re"-pronoun-bre "celui"-pronoun-fra
"re"-pronoun-bre "celui"-pronoun-fra
"re"-pronoun-bre "celui"-pronoun-fra
"hini"-pronoun-bre "celui"-pronoun-fra
"hini"-pronoun-bre "celui"-pronoun-fra
"hini"-pronoun-bre "celui"-pronoun-fra
"hini"-pronoun-bre "celui"-pronoun-fra
"hini"-pronoun-bre "celui"-pronoun-fra
"holl"-pronoun-bre "tout"-pronoun-fra
"holl"-pronoun-bre "tout"-pronoun-fra
"holl"-pronoun-bre "tout"-pronoun-fra
"holl"-pronoun-bre "tout"-pronoun-fra
"holl"-pronoun-bre "tout"-pronoun-fra
"razh"-pronoun-bre "tout"-pronoun-fra
"razh"-pronoun-bre "tout"-pronoun-fra
"razh"-pronoun-bre "tout"-pronoun-fra
"razh"-pronoun-bre "tout"-pronoun-fra
"razh"-pronoun-bre "tout"-pronoun-fra
"an holl"-pronoun-bre "tout"-pronoun-fra
"an holl"-pronoun-bre "tout"-pronoun-fra
"an holl"-pronoun-bre "tout"-pronoun-fra
"an holl"-pronoun-bre "tout"-pronoun-fra
"an holl"-pronoun-bre "tout"-pronoun-fra
"tout"-pronoun-bre "tout"-pronoun-fra
"tout"-pronoun-bre "tout"-pronoun-fra
"tout"-pronoun-bre "tout"-pronoun-fra
"tout"-pronoun-bre "tout"-pronoun-fra
"tout"-pronoun-bre "tout"-pronoun-fra
"kement hini"-pronoun-bre "chacun"-pronoun-fra
"kement hini"-pronoun-bre "chacun"-pronoun-fra
"kement hini"-pronoun-bre "chacun"-pronoun-fra
"kement hini"-pronoun-bre "chacun"-pronoun-fra
"kement hini"-pronoun-bre "chacun"-pronoun-fra
"pep hini"-pronoun-bre "chacun"-pronoun-fra
"pep hini"-pronoun-bre "chacun"-pronoun-fra
"pep hini"-pronoun-bre "chacun"-pronoun-fra
"pep hini"-pronoun-bre "chacun"-pronoun-fra
"pep hini"-pronoun-bre "chacun"-pronoun-fra
"hini ebet"-pronoun-bre "aucun"-pronoun-fra
"hini ebet"-pronoun-bre "aucun"-pronoun-fra
"hini ebet"-pronoun-bre "aucun"-pronoun-fra
"hini ebet"-pronoun-bre "aucun"-pronoun-fra
"hini ebet"-pronoun-bre "aucun"-pronoun-fra
"egile"-pronoun-bre "l’autre"-pronoun-fra
"egile"-pronoun-bre "l’autre"-pronoun-fra
"egile"-pronoun-bre "l’autre"-pronoun-fra
"egile"-pronoun-bre "l’autre"-pronoun-fra
"ma hini"-pronoun-bre "le mien"-pronoun-fra
"ma hini"-pronoun-bre "le mien"-pronoun-fra
"ma hini"-pronoun-bre "le mien"-pronoun-fra
"da hini"-pronoun-bre "le tien"-pronoun-fra
"da hini"-pronoun-bre "le tien"-pronoun-fra
"da hini"-pronoun-bre "le tien"-pronoun-fra
"e hini"-pronoun-bre "le sien"-pronoun-fra
"e hini"-pronoun-bre "le sien"-pronoun-fra
"e hini"-pronoun-bre "le sien"-pronoun-fra
"he hini"-pronoun-bre "le sien"-pronoun-fra
"he hini"-pronoun-bre "le sien"-pronoun-fra
"he hini"-pronoun-bre "le sien"-pronoun-fra
"hon hini"-pronoun-bre "le nôtre"-pronoun-fra
"hon hini"-pronoun-bre "le nôtre"-pronoun-fra
"hon hini"-pronoun-bre "le nôtre"-pronoun-fra
"ho hini"-pronoun-bre "le vôtre"-pronoun-fra
"ho hini"-pronoun-bre "le vôtre"-pronoun-fra
"ho hini"-pronoun-bre "le vôtre"-pronoun-fra
"o hini"-pronoun-bre "le leur"-pronoun-fra
"o hini"-pronoun-bre "le leur"-pronoun-fra
"o hini"-pronoun-bre "le leur"-pronoun-fra
"neb"-pronoun-bre "quiconque"-pronoun-fra
"netra"-pronoun-bre "rien"-pronoun-fra
"petra bennak"-pronoun-bre "n’importe quoi"-pronoun-fra
"piv bennak"-pronoun-bre "quiconque"-pronoun-fra
"unan bennak"-pronoun-bre "quelqu’un"-pronoun-fra
"unanig bennak"-pronoun-bre "quelqu’un"-pronoun-fra
"unanik bennak"-pronoun-bre "quelqu’un"-pronoun-fra
"ur re bennak"-pronoun-bre "quelqu’un"-pronoun-fra
"un dra bennak"-pronoun-bre "quelque chose"-pronoun-fra
"se"-pronoun-bre "ça"-pronoun-fra
"ar re"-pronoun-bre "celui qui"-relativePronoun-fra
"ar pezh a"-pronoun-bre "ce qui"-relativePronoun-fra
"pezh a"-pronoun-bre "ce qui"-relativePronoun-fra
"ar pezh zo"-pronoun-bre "ce qu’il y a"-relativePronoun-fra
"pezh zo"-pronoun-bre "ce qu’il y a"-relativePronoun-fra
"abaoe ma"-subordinatingConjunction-bre "depuis que"-subordinatingConjunction-fra
"a-barzh ma"-subordinatingConjunction-bre "d’ici que"-subordinatingConjunction-fra
"a-benn ma"-subordinatingConjunction-bre "pour que"-subordinatingConjunction-fra
"adalek an deiz ma"-subordinatingConjunction-bre "à partir du jour où"-subordinatingConjunction-fra
"adalek ma"-subordinatingConjunction-bre "dès que"-subordinatingConjunction-fra
"a-feur ma"-subordinatingConjunction-bre "au fur et à mesure que"-subordinatingConjunction-fra
"an aliesañ"-subordinatingConjunction-bre "le plus souvent"-subordinatingConjunction-fra
"anat deoc’h"-subordinatingConjunction-bre "bien sûr que"-subordinatingConjunction-fra
"anat dit"-subordinatingConjunction-bre "bien sûr que"-subordinatingConjunction-fra
"an doare ma"-subordinatingConjunction-bre "la manière dont"-subordinatingConjunction-fra
"a-raok ma"-subordinatingConjunction-bre "avant que"-subordinatingConjunction-fra
"a-raok na"-subordinatingConjunction-bre "avant que"-subordinatingConjunction-fra
"ar mod ma"-subordinatingConjunction-bre "la manière dont"-subordinatingConjunction-fra
"bep gwech ma"-subordinatingConjunction-bre "à chaque fois que"-subordinatingConjunction-fra
"bep ma"-subordinatingConjunction-bre "au fur et à mesure que"-subordinatingConjunction-fra
"bep tro ma"-subordinatingConjunction-bre "à chaque fois que"-subordinatingConjunction-fra
"betek ma"-subordinatingConjunction-bre "jusqu’à ce que"-subordinatingConjunction-fra
"betek na"-subordinatingConjunction-bre "jusqu’à ce que"-subordinatingConjunction-fra
"bewech"-subordinatingConjunction-bre "chaque fois"-subordinatingConjunction-fra
"bewezh"-subordinatingConjunction-bre "chaque fois"-subordinatingConjunction-fra
"da lavaret eo"-subordinatingConjunction-bre "c’est-à-dire"-subordinatingConjunction-fra
"da lâret eo"-subordinatingConjunction-bre "c’est-à-dire"-subordinatingConjunction-fra
"da lavarout eo"-subordinatingConjunction-bre "c’est-à-dire"-subordinatingConjunction-fra
"da lârout eo"-subordinatingConjunction-bre "c’est-à-dire"-subordinatingConjunction-fra
"daoust ma"-subordinatingConjunction-bre "bien que"-subordinatingConjunction-fra
"d’ar mare ma"-subordinatingConjunction-bre "au moment où"-subordinatingConjunction-fra
"d’ur mare ma"-subordinatingConjunction-bre "à un moment où"-subordinatingConjunction-fra
"diouzh a"-subordinatingConjunction-bre "selon ce que"-subordinatingConjunction-fra
"diouzh penaos"-subordinatingConjunction-bre "selon comment"-subordinatingConjunction-fra
"diouzhtu pa"-subordinatingConjunction-bre "aussitôt que"-subordinatingConjunction-fra
"doc’h a"-subordinatingConjunction-bre "selon ce que"-subordinatingConjunction-fra
"e doare ma"-subordinatingConjunction-bre "de manière que"-subordinatingConjunction-fra
"e-keit ma"-subordinatingConjunction-bre "pendant que"-subordinatingConjunction-fra
"e keit-se"-subordinatingConjunction-bre "pendant ce temps"-subordinatingConjunction-fra
"e ken kaz ma"-subordinatingConjunction-bre "au cas où"-subordinatingConjunction-fra
"e ken kas ma"-subordinatingConjunction-bre "au cas où"-subordinatingConjunction-fra
"e-lec’h"-subordinatingConjunction-bre "alors que"-subordinatingConjunction-fra
"e-lec’h ma"-subordinatingConjunction-bre "tandis que"-subordinatingConjunction-fra
"emichañs"-subordinatingConjunction-bre "sans doute"-subordinatingConjunction-fra
"e-pad ar mare ma"-subordinatingConjunction-bre "durant le temps que"-subordinatingConjunction-fra
"e-pad ma"-subordinatingConjunction-bre "pendant que"-subordinatingConjunction-fra
"estreget"-subordinatingConjunction-bre "d’autres que"-subordinatingConjunction-fra
"estrevit"-subordinatingConjunction-bre "d’autres que"-subordinatingConjunction-fra
"eta"-subordinatingConjunction-bre "donc"-subordinatingConjunction-fra
"evel ma"-subordinatingConjunction-bre "comme"-subordinatingConjunction-fra
"evel pa"-subordinatingConjunction-bre "comme si"-subordinatingConjunction-fra
"evel rakwelet"-subordinatingConjunction-bre "comme prévu"-subordinatingConjunction-fra
"evit ma"-subordinatingConjunction-bre "pour que"-subordinatingConjunction-fra
"evit se"-subordinatingConjunction-bre "pour cela"-subordinatingConjunction-fra
"gant an aon na"-subordinatingConjunction-bre "de peur que"-subordinatingConjunction-fra
"gant aon na"-subordinatingConjunction-bre "de peur que"-subordinatingConjunction-fra
"gant ma"-subordinatingConjunction-bre "à la condition que"-subordinatingConjunction-fra
"goude ma"-subordinatingConjunction-bre "après que"-subordinatingConjunction-fra
"ha pa"-subordinatingConjunction-bre "quand bien même"-subordinatingConjunction-fra
"hep komz"-subordinatingConjunction-bre "sans parler que"-subordinatingConjunction-fra
"hep ma"-subordinatingConjunction-bre "sans que"-subordinatingConjunction-fra
"keit evel"-subordinatingConjunction-bre "tant que"-subordinatingConjunction-fra
"keit ha"-subordinatingConjunction-bre "tant que"-subordinatingConjunction-fra
"keit ha ma"-subordinatingConjunction-bre "tant que"-subordinatingConjunction-fra
"kement ha"-subordinatingConjunction-bre "tant que"-subordinatingConjunction-fra
"kement hag"-subordinatingConjunction-bre "tant que"-subordinatingConjunction-fra
"kement-se lavaret"-subordinatingConjunction-bre "ceci étant"-subordinatingConjunction-fra
"ken"-adverb-bre "si"-subordinatingConjunction-fra
"kement ha ken bihan ma"-subordinatingConjunction-bre "tant et si bien que"-subordinatingConjunction-fra
"kentañ tro"-subordinatingConjunction-bre "la prochaine fois"-subordinatingConjunction-fra
"kentañ tro ma"-subordinatingConjunction-bre "la prochaine fois que"-subordinatingConjunction-fra
"kent ma"-subordinatingConjunction-bre "avant que"-subordinatingConjunction-fra
"kenkoulz ha"-subordinatingConjunction-bre "aussi bien que"-subordinatingConjunction-fra
"kenkoulz hag"-subordinatingConjunction-bre "aussi bien que"-subordinatingConjunction-fra
"kerkent ha ma"-subordinatingConjunction-bre "dès que"-subordinatingConjunction-fra
"kenkent ha ma"-subordinatingConjunction-bre "dès que"-subordinatingConjunction-fra
"kerkoulz ha"-subordinatingConjunction-bre "aussi bien que"-subordinatingConjunction-fra
"kerkoulz hag"-subordinatingConjunction-bre "aussi bien que"-subordinatingConjunction-fra
"kerse eo"-subordinatingConjunction-bre "c’est dommage que"-subordinatingConjunction-fra
"koulz ha"-subordinatingConjunction-bre "ainsi que"-subordinatingConjunction-fra
"koulz hag"-subordinatingConjunction-bre "ainsi que"-subordinatingConjunction-fra
"muioc’h eget"-subordinatingConjunction-bre "plus que"-subordinatingConjunction-fra
"nebeutoc’h eget"-subordinatingConjunction-bre "moins que"-subordinatingConjunction-fra
"nemet ma"-subordinatingConjunction-bre "sauf si"-subordinatingConjunction-fra
"ouzhpenn"-subordinatingConjunction-bre "en plus"-subordinatingConjunction-fra
"o vezañ ma"-subordinatingConjunction-bre "étant donné que"-subordinatingConjunction-fra
"o welet kement-se"-subordinatingConjunction-bre "en voyant cela"-subordinatingConjunction-fra
"setu perak"-subordinatingConjunction-bre "voilà pourquoi"-subordinatingConjunction-fra
"se zo kaoz"-subordinatingConjunction-bre "c’est pourquoi"-subordinatingConjunction-fra
"sur awalc’h"-subordinatingConjunction-bre "il est probable que"-subordinatingConjunction-fra
"tra ma"-subordinatingConjunction-bre "pendant que"-subordinatingConjunction-fra
"tra ma"-subordinatingConjunction-bre "tant que"-subordinatingConjunction-fra
"tra ma"-subordinatingConjunction-bre "alors que"-subordinatingConjunction-fra
"un deiz ma"-subordinatingConjunction-bre "un jour que"-subordinatingConjunction-fra
"ur wech ma"-subordinatingConjunction-bre "une fois que"-subordinatingConjunction-fra
"nemet"-subordinatingConjunction-bre "que"-subordinatingConjunction-fra
